context: We're going to sally. response:	I-I beg your pardon?
context: I won't let you kill the man who'll soon be my Lord!\Let's go!\Well, this is it.\As for all the volunteers who showed up, let's send them away from the base.\Milza is a dangerous opponent.\Fighting him will lead to many casualties.\From here, the Lords and regular Knights will be enough.\If I may, sir, this isn't just your battle. It's also ours, the citizens of Altirks battle as well! response:	This is not Dartania!
context: Let's go!\Well, this is it.\As for all the volunteers who showed up, let's send them away from the base.\Milza is a dangerous opponent.\Fighting him will lead to many casualties.\From here, the Lords and regular Knights will be enough.\If I may, sir, this isn't just your battle. It's also ours, the citizens of Altirks battle as well!\This is not Dartania! response:	Please order us to fight!
context: Well, this is it.\As for all the volunteers who showed up, let's send them away from the base.\Milza is a dangerous opponent.\Fighting him will lead to many casualties.\From here, the Lords and regular Knights will be enough.\If I may, sir, this isn't just your battle. It's also ours, the citizens of Altirks battle as well!\This is not Dartania!\Please order us to fight! response:	Please give us courage by showing us that battle flag we've heard so much about!
context: As for all the volunteers who showed up, let's send them away from the base.\Milza is a dangerous opponent.\Fighting him will lead to many casualties.\From here, the Lords and regular Knights will be enough.\If I may, sir, this isn't just your battle. It's also ours, the citizens of Altirks battle as well!\This is not Dartania!\Please order us to fight!\Please give us courage by showing us that battle flag we've heard so much about! response:	- Please! - Sir Theo!
context: Milza is a dangerous opponent.\Fighting him will lead to many casualties.\From here, the Lords and regular Knights will be enough.\If I may, sir, this isn't just your battle. It's also ours, the citizens of Altirks battle as well!\This is not Dartania!\Please order us to fight!\Please give us courage by showing us that battle flag we've heard so much about!\- Please! - Sir Theo! response:	Sir Theo.
context: Fighting him will lead to many casualties.\From here, the Lords and regular Knights will be enough.\If I may, sir, this isn't just your battle. It's also ours, the citizens of Altirks battle as well!\This is not Dartania!\Please order us to fight!\Please give us courage by showing us that battle flag we've heard so much about!\- Please! - Sir Theo!\Sir Theo. response:	All right.
context: From here, the Lords and regular Knights will be enough.\If I may, sir, this isn't just your battle. It's also ours, the citizens of Altirks battle as well!\This is not Dartania!\Please order us to fight!\Please give us courage by showing us that battle flag we've heard so much about!\- Please! - Sir Theo!\Sir Theo.\All right. response:	If you all have something that you really want to protect.
context: If I may, sir, this isn't just your battle. It's also ours, the citizens of Altirks battle as well!\This is not Dartania!\Please order us to fight!\Please give us courage by showing us that battle flag we've heard so much about!\- Please! - Sir Theo!\Sir Theo.\All right.\If you all have something that you really want to protect. response:	To take back Altirk...
context: This is not Dartania!\Please order us to fight!\Please give us courage by showing us that battle flag we've heard so much about!\- Please! - Sir Theo!\Sir Theo.\All right.\If you all have something that you really want to protect.\To take back Altirk... response:	Let's fight together!
context: Please order us to fight!\Please give us courage by showing us that battle flag we've heard so much about!\- Please! - Sir Theo!\Sir Theo.\All right.\If you all have something that you really want to protect.\To take back Altirk...\Let's fight together! response:	Our target is the Earl of Sistina, Theo Cornaro!
context: Please give us courage by showing us that battle flag we've heard so much about!\- Please! - Sir Theo!\Sir Theo.\All right.\If you all have something that you really want to protect.\To take back Altirk...\Let's fight together!\Our target is the Earl of Sistina, Theo Cornaro! response:	If we can defeat him, victory will be ours!
context: - Please! - Sir Theo!\Sir Theo.\All right.\If you all have something that you really want to protect.\To take back Altirk...\Let's fight together!\Our target is the Earl of Sistina, Theo Cornaro!\If we can defeat him, victory will be ours! response:	Follow!
context: Sir Theo.\All right.\If you all have something that you really want to protect.\To take back Altirk...\Let's fight together!\Our target is the Earl of Sistina, Theo Cornaro!\If we can defeat him, victory will be ours!\Follow! response:	Is this devious, underhanded strategy Siluca Meletes' handiwork?
context: All right.\If you all have something that you really want to protect.\To take back Altirk...\Let's fight together!\Our target is the Earl of Sistina, Theo Cornaro!\If we can defeat him, victory will be ours!\Follow!\Is this devious, underhanded strategy Siluca Meletes' handiwork? response:	Damn that devilish woman!
context: If you all have something that you really want to protect.\To take back Altirk...\Let's fight together!\Our target is the Earl of Sistina, Theo Cornaro!\If we can defeat him, victory will be ours!\Follow!\Is this devious, underhanded strategy Siluca Meletes' handiwork?\Damn that devilish woman! response:	Where the hell is he?
context: To take back Altirk...\Let's fight together!\Our target is the Earl of Sistina, Theo Cornaro!\If we can defeat him, victory will be ours!\Follow!\Is this devious, underhanded strategy Siluca Meletes' handiwork?\Damn that devilish woman!\Where the hell is he? response:	I won't let you through!
context: Let's fight together!\Our target is the Earl of Sistina, Theo Cornaro!\If we can defeat him, victory will be ours!\Follow!\Is this devious, underhanded strategy Siluca Meletes' handiwork?\Damn that devilish woman!\Where the hell is he?\I won't let you through! response:	Such impudence!
context: Our target is the Earl of Sistina, Theo Cornaro!\If we can defeat him, victory will be ours!\Follow!\Is this devious, underhanded strategy Siluca Meletes' handiwork?\Damn that devilish woman!\Where the hell is he?\I won't let you through!\Such impudence! response:	Allow me to guide you...
context: If we can defeat him, victory will be ours!\Follow!\Is this devious, underhanded strategy Siluca Meletes' handiwork?\Damn that devilish woman!\Where the hell is he?\I won't let you through!\Such impudence!\Allow me to guide you... response:	to the afterlife!
context: Follow!\Is this devious, underhanded strategy Siluca Meletes' handiwork?\Damn that devilish woman!\Where the hell is he?\I won't let you through!\Such impudence!\Allow me to guide you...\to the afterlife! response:	And now...
context: Is this devious, underhanded strategy Siluca Meletes' handiwork?\Damn that devilish woman!\Where the hell is he?\I won't let you through!\Such impudence!\Allow me to guide you...\to the afterlife!\And now... response:	Prepare yourself!
context: Damn that devilish woman!\Where the hell is he?\I won't let you through!\Such impudence!\Allow me to guide you...\to the afterlife!\And now...\Prepare yourself! response:	Explode!
context: Where the hell is he?\I won't let you through!\Such impudence!\Allow me to guide you...\to the afterlife!\And now...\Prepare yourself!\Explode! response:	Die!
context: I won't let you through!\Such impudence!\Allow me to guide you...\to the afterlife!\And now...\Prepare yourself!\Explode!\Die! response:	There you are.
context: Such impudence!\Allow me to guide you...\to the afterlife!\And now...\Prepare yourself!\Explode!\Die!\There you are. response:	Theo Cornaro!
context: Allow me to guide you...\to the afterlife!\And now...\Prepare yourself!\Explode!\Die!\There you are.\Theo Cornaro! response:	Fight me one-on-one!
context: to the afterlife!\And now...\Prepare yourself!\Explode!\Die!\There you are.\Theo Cornaro!\Fight me one-on-one! response:	I accept!
context: And now...\Prepare yourself!\Explode!\Die!\There you are.\Theo Cornaro!\Fight me one-on-one!\I accept! response:	Sir Theo!
context: Prepare yourself!\Explode!\Die!\There you are.\Theo Cornaro!\Fight me one-on-one!\I accept!\Sir Theo! response:	Absolutely not! If you end up losing, you'll have played right into Milza's hands!
context: Explode!\Die!\There you are.\Theo Cornaro!\Fight me one-on-one!\I accept!\Sir Theo!\Absolutely not! If you end up losing, you'll have played right into Milza's hands! response:	What about the future of the Treaty, and the future of the Continent?
context: Die!\There you are.\Theo Cornaro!\Fight me one-on-one!\I accept!\Sir Theo!\Absolutely not! If you end up losing, you'll have played right into Milza's hands!\What about the future of the Treaty, and the future of the Continent? response:	It'll all work out somehow.
context: There you are.\Theo Cornaro!\Fight me one-on-one!\I accept!\Sir Theo!\Absolutely not! If you end up losing, you'll have played right into Milza's hands!\What about the future of the Treaty, and the future of the Continent?\It'll all work out somehow. response:	It's not like you to accept a duel!
context: Theo Cornaro!\Fight me one-on-one!\I accept!\Sir Theo!\Absolutely not! If you end up losing, you'll have played right into Milza's hands!\What about the future of the Treaty, and the future of the Continent?\It'll all work out somehow.\It's not like you to accept a duel! response:	This is also who I am.
context: Fight me one-on-one!\I accept!\Sir Theo!\Absolutely not! If you end up losing, you'll have played right into Milza's hands!\What about the future of the Treaty, and the future of the Continent?\It'll all work out somehow.\It's not like you to accept a duel!\This is also who I am. response:	Then...
context: I accept!\Sir Theo!\Absolutely not! If you end up losing, you'll have played right into Milza's hands!\What about the future of the Treaty, and the future of the Continent?\It'll all work out somehow.\It's not like you to accept a duel!\This is also who I am.\Then... response:	please make sure to win!
context: Sir Theo!\Absolutely not! If you end up losing, you'll have played right into Milza's hands!\What about the future of the Treaty, and the future of the Continent?\It'll all work out somehow.\It's not like you to accept a duel!\This is also who I am.\Then...\please make sure to win! response:	That might be impossible.
context: Absolutely not! If you end up losing, you'll have played right into Milza's hands!\What about the future of the Treaty, and the future of the Continent?\It'll all work out somehow.\It's not like you to accept a duel!\This is also who I am.\Then...\please make sure to win!\That might be impossible. response:	That's definitely not like me to do.
context: What about the future of the Treaty, and the future of the Continent?\It'll all work out somehow.\It's not like you to accept a duel!\This is also who I am.\Then...\please make sure to win!\That might be impossible.\That's definitely not like me to do. response:	But...
context: It'll all work out somehow.\It's not like you to accept a duel!\This is also who I am.\Then...\please make sure to win!\That might be impossible.\That's definitely not like me to do.\But... response:	I also have no intention of losing.
context: It's not like you to accept a duel!\This is also who I am.\Then...\please make sure to win!\That might be impossible.\That's definitely not like me to do.\But...\I also have no intention of losing. response:	Trust me.
context: This is also who I am.\Then...\please make sure to win!\That might be impossible.\That's definitely not like me to do.\But...\I also have no intention of losing.\Trust me. response:	Okay.
context: Then...\please make sure to win!\That might be impossible.\That's definitely not like me to do.\But...\I also have no intention of losing.\Trust me.\Okay. response:	Looks like you've said your goodbyes.
context: please make sure to win!\That might be impossible.\That's definitely not like me to do.\But...\I also have no intention of losing.\Trust me.\Okay.\Looks like you've said your goodbyes. response:	This was given to me as a reward for capturing the Black Witch.
context: That might be impossible.\That's definitely not like me to do.\But...\I also have no intention of losing.\Trust me.\Okay.\Looks like you've said your goodbyes.\This was given to me as a reward for capturing the Black Witch. response:	I hear it was made of metal from another world.
context: That's definitely not like me to do.\But...\I also have no intention of losing.\Trust me.\Okay.\Looks like you've said your goodbyes.\This was given to me as a reward for capturing the Black Witch.\I hear it was made of metal from another world. response:	Then all I have to do is chop off your head!
context: But...\I also have no intention of losing.\Trust me.\Okay.\Looks like you've said your goodbyes.\This was given to me as a reward for capturing the Black Witch.\I hear it was made of metal from another world.\Then all I have to do is chop off your head! response:	You coward!
context: I also have no intention of losing.\Trust me.\Okay.\Looks like you've said your goodbyes.\This was given to me as a reward for capturing the Black Witch.\I hear it was made of metal from another world.\Then all I have to do is chop off your head!\You coward! response:	Why do you refuse to attack me?
context: Trust me.\Okay.\Looks like you've said your goodbyes.\This was given to me as a reward for capturing the Black Witch.\I hear it was made of metal from another world.\Then all I have to do is chop off your head!\You coward!\Why do you refuse to attack me? response:	Because this is how I fight!
context: Okay.\Looks like you've said your goodbyes.\This was given to me as a reward for capturing the Black Witch.\I hear it was made of metal from another world.\Then all I have to do is chop off your head!\You coward!\Why do you refuse to attack me?\Because this is how I fight! response:	Curse you!
context: Looks like you've said your goodbyes.\This was given to me as a reward for capturing the Black Witch.\I hear it was made of metal from another world.\Then all I have to do is chop off your head!\You coward!\Why do you refuse to attack me?\Because this is how I fight!\Curse you! response:	You're weaker now than you were that day.
context: This was given to me as a reward for capturing the Black Witch.\I hear it was made of metal from another world.\Then all I have to do is chop off your head!\You coward!\Why do you refuse to attack me?\Because this is how I fight!\Curse you!\You're weaker now than you were that day. response:	What did you say?
context: I hear it was made of metal from another world.\Then all I have to do is chop off your head!\You coward!\Why do you refuse to attack me?\Because this is how I fight!\Curse you!\You're weaker now than you were that day.\What did you say? response:	Until now, you only used the power of your Crest for yourself.
context: Then all I have to do is chop off your head!\You coward!\Why do you refuse to attack me?\Because this is how I fight!\Curse you!\You're weaker now than you were that day.\What did you say?\Until now, you only used the power of your Crest for yourself. response:	But in order to take over Altirk, you've bestowed subjugated Crests on scores of your men.
context: You coward!\Why do you refuse to attack me?\Because this is how I fight!\Curse you!\You're weaker now than you were that day.\What did you say?\Until now, you only used the power of your Crest for yourself.\But in order to take over Altirk, you've bestowed subjugated Crests on scores of your men. response:	And your Crest has lost power accordingly.
context: Why do you refuse to attack me?\Because this is how I fight!\Curse you!\You're weaker now than you were that day.\What did you say?\Until now, you only used the power of your Crest for yourself.\But in order to take over Altirk, you've bestowed subjugated Crests on scores of your men.\And your Crest has lost power accordingly. response:	I can still continue fighting.
context: Because this is how I fight!\Curse you!\You're weaker now than you were that day.\What did you say?\Until now, you only used the power of your Crest for yourself.\But in order to take over Altirk, you've bestowed subjugated Crests on scores of your men.\And your Crest has lost power accordingly.\I can still continue fighting. response:	But you're already out of breath.
context: Curse you!\You're weaker now than you were that day.\What did you say?\Until now, you only used the power of your Crest for yourself.\But in order to take over Altirk, you've bestowed subjugated Crests on scores of your men.\And your Crest has lost power accordingly.\I can still continue fighting.\But you're already out of breath. response:	Your Crest's protection is preserving your strength,
context: You're weaker now than you were that day.\What did you say?\Until now, you only used the power of your Crest for yourself.\But in order to take over Altirk, you've bestowed subjugated Crests on scores of your men.\And your Crest has lost power accordingly.\I can still continue fighting.\But you're already out of breath.\Your Crest's protection is preserving your strength, response:	but you're almost at your limit.
context: What did you say?\Until now, you only used the power of your Crest for yourself.\But in order to take over Altirk, you've bestowed subjugated Crests on scores of your men.\And your Crest has lost power accordingly.\I can still continue fighting.\But you're already out of breath.\Your Crest's protection is preserving your strength,\but you're almost at your limit. response:	You don't know when to shut up.
context: Until now, you only used the power of your Crest for yourself.\But in order to take over Altirk, you've bestowed subjugated Crests on scores of your men.\And your Crest has lost power accordingly.\I can still continue fighting.\But you're already out of breath.\Your Crest's protection is preserving your strength,\but you're almost at your limit.\You don't know when to shut up. response:	It's not like I've won.
context: But in order to take over Altirk, you've bestowed subjugated Crests on scores of your men.\And your Crest has lost power accordingly.\I can still continue fighting.\But you're already out of breath.\Your Crest's protection is preserving your strength,\but you're almost at your limit.\You don't know when to shut up.\It's not like I've won. response:	But you've been defeated.
context: And your Crest has lost power accordingly.\I can still continue fighting.\But you're already out of breath.\Your Crest's protection is preserving your strength,\but you're almost at your limit.\You don't know when to shut up.\It's not like I've won.\But you've been defeated. response:	Just take a look around you.
context: I can still continue fighting.\But you're already out of breath.\Your Crest's protection is preserving your strength,\but you're almost at your limit.\You don't know when to shut up.\It's not like I've won.\But you've been defeated.\Just take a look around you. response:	None of your men are fighting anymore.
context: But you're already out of breath.\Your Crest's protection is preserving your strength,\but you're almost at your limit.\You don't know when to shut up.\It's not like I've won.\But you've been defeated.\Just take a look around you.\None of your men are fighting anymore. response:	What did you say?
context: Your Crest's protection is preserving your strength,\but you're almost at your limit.\You don't know when to shut up.\It's not like I've won.\But you've been defeated.\Just take a look around you.\None of your men are fighting anymore.\What did you say? response:	Theo!
context: but you're almost at your limit.\You don't know when to shut up.\It's not like I've won.\But you've been defeated.\Just take a look around you.\None of your men are fighting anymore.\What did you say?\Theo! response:	Earl of Sistina!
context: You don't know when to shut up.\It's not like I've won.\But you've been defeated.\Just take a look around you.\None of your men are fighting anymore.\What did you say?\Theo!\Earl of Sistina! response:	I will never be defeated!
context: It's not like I've won.\But you've been defeated.\Just take a look around you.\None of your men are fighting anymore.\What did you say?\Theo!\Earl of Sistina!\I will never be defeated! response:	I'm going to ask, as a formality.
context: But you've been defeated.\Just take a look around you.\None of your men are fighting anymore.\What did you say?\Theo!\Earl of Sistina!\I will never be defeated!\I'm going to ask, as a formality. response:	Your Crest, or your life?
context: Just take a look around you.\None of your men are fighting anymore.\What did you say?\Theo!\Earl of Sistina!\I will never be defeated!\I'm going to ask, as a formality.\Your Crest, or your life? response:	I will never beg for my life!
context: None of your men are fighting anymore.\What did you say?\Theo!\Earl of Sistina!\I will never be defeated!\I'm going to ask, as a formality.\Your Crest, or your life?\I will never beg for my life! response:	Understood.
context: What did you say?\Theo!\Earl of Sistina!\I will never be defeated!\I'm going to ask, as a formality.\Your Crest, or your life?\I will never beg for my life!\Understood. response:	Sir Milza!
context: Theo!\Earl of Sistina!\I will never be defeated!\I'm going to ask, as a formality.\Your Crest, or your life?\I will never beg for my life!\Understood.\Sir Milza! response:	If only... If only I had more talent to offer you...
context: Earl of Sistina!\I will never be defeated!\I'm going to ask, as a formality.\Your Crest, or your life?\I will never beg for my life!\Understood.\Sir Milza!\If only... If only I had more talent to offer you... response:	Both you and I did everything we could.
context: I will never be defeated!\I'm going to ask, as a formality.\Your Crest, or your life?\I will never beg for my life!\Understood.\Sir Milza!\If only... If only I had more talent to offer you...\Both you and I did everything we could. response:	But no matter how much knowledge we utilize and formulate strategies,
context: I'm going to ask, as a formality.\Your Crest, or your life?\I will never beg for my life!\Understood.\Sir Milza!\If only... If only I had more talent to offer you...\Both you and I did everything we could.\But no matter how much knowledge we utilize and formulate strategies, response:	that doesn't mean everything will go to plan.
context: Your Crest, or your life?\I will never beg for my life!\Understood.\Sir Milza!\If only... If only I had more talent to offer you...\Both you and I did everything we could.\But no matter how much knowledge we utilize and formulate strategies,\that doesn't mean everything will go to plan. response:	It all depends on whether we have destiny on our side.
context: I will never beg for my life!\Understood.\Sir Milza!\If only... If only I had more talent to offer you...\Both you and I did everything we could.\But no matter how much knowledge we utilize and formulate strategies,\that doesn't mean everything will go to plan.\It all depends on whether we have destiny on our side. response:	Even so, I still wanted Sir Milza to win.
context: Understood.\Sir Milza!\If only... If only I had more talent to offer you...\Both you and I did everything we could.\But no matter how much knowledge we utilize and formulate strategies,\that doesn't mean everything will go to plan.\It all depends on whether we have destiny on our side.\Even so, I still wanted Sir Milza to win. response:	I shall accompany you.
context: Sir Milza!\If only... If only I had more talent to offer you...\Both you and I did everything we could.\But no matter how much knowledge we utilize and formulate strategies,\that doesn't mean everything will go to plan.\It all depends on whether we have destiny on our side.\Even so, I still wanted Sir Milza to win.\I shall accompany you. response:	I've taken back the Crest of the Earl of Altirk, Villar Constance.
context: If only... If only I had more talent to offer you...\Both you and I did everything we could.\But no matter how much knowledge we utilize and formulate strategies,\that doesn't mean everything will go to plan.\It all depends on whether we have destiny on our side.\Even so, I still wanted Sir Milza to win.\I shall accompany you.\I've taken back the Crest of the Earl of Altirk, Villar Constance. response:	Sir Theo!
context: Both you and I did everything we could.\But no matter how much knowledge we utilize and formulate strategies,\that doesn't mean everything will go to plan.\It all depends on whether we have destiny on our side.\Even so, I still wanted Sir Milza to win.\I shall accompany you.\I've taken back the Crest of the Earl of Altirk, Villar Constance.\Sir Theo! response:	I'm so glad you're all right!
context: But no matter how much knowledge we utilize and formulate strategies,\that doesn't mean everything will go to plan.\It all depends on whether we have destiny on our side.\Even so, I still wanted Sir Milza to win.\I shall accompany you.\I've taken back the Crest of the Earl of Altirk, Villar Constance.\Sir Theo!\I'm so glad you're all right! response:	Sorry to make you worry.
context: that doesn't mean everything will go to plan.\It all depends on whether we have destiny on our side.\Even so, I still wanted Sir Milza to win.\I shall accompany you.\I've taken back the Crest of the Earl of Altirk, Villar Constance.\Sir Theo!\I'm so glad you're all right!\Sorry to make you worry. response:	Please...
context: It all depends on whether we have destiny on our side.\Even so, I still wanted Sir Milza to win.\I shall accompany you.\I've taken back the Crest of the Earl of Altirk, Villar Constance.\Sir Theo!\I'm so glad you're all right!\Sorry to make you worry.\Please... response:	Don't do anything like that again.
context: Even so, I still wanted Sir Milza to win.\I shall accompany you.\I've taken back the Crest of the Earl of Altirk, Villar Constance.\Sir Theo!\I'm so glad you're all right!\Sorry to make you worry.\Please...\Don't do anything like that again. response:	Yeah. It won't happen again.
context: I shall accompany you.\I've taken back the Crest of the Earl of Altirk, Villar Constance.\Sir Theo!\I'm so glad you're all right!\Sorry to make you worry.\Please...\Don't do anything like that again.\Yeah. It won't happen again. response:	Because there's no one else left that I want to take down myself.
context: I've taken back the Crest of the Earl of Altirk, Villar Constance.\Sir Theo!\I'm so glad you're all right!\Sorry to make you worry.\Please...\Don't do anything like that again.\Yeah. It won't happen again.\Because there's no one else left that I want to take down myself. response:	Okay.
context: Sir Theo!\I'm so glad you're all right!\Sorry to make you worry.\Please...\Don't do anything like that again.\Yeah. It won't happen again.\Because there's no one else left that I want to take down myself.\Okay. response:	After battling Theo Cornaro, the Earl of Sistina, in a dual, Sir Milza met a heroic death.
context: I'm so glad you're all right!\Sorry to make you worry.\Please...\Don't do anything like that again.\Yeah. It won't happen again.\Because there's no one else left that I want to take down myself.\Okay.\After battling Theo Cornaro, the Earl of Sistina, in a dual, Sir Milza met a heroic death. response:	Why didn't he wait for our forces to arrive?
context: Sorry to make you worry.\Please...\Don't do anything like that again.\Yeah. It won't happen again.\Because there's no one else left that I want to take down myself.\Okay.\After battling Theo Cornaro, the Earl of Sistina, in a dual, Sir Milza met a heroic death.\Why didn't he wait for our forces to arrive? response:	He must've determined that there would be no reinforcements from Dartania or Starck.
context: Please...\Don't do anything like that again.\Yeah. It won't happen again.\Because there's no one else left that I want to take down myself.\Okay.\After battling Theo Cornaro, the Earl of Sistina, in a dual, Sir Milza met a heroic death.\Why didn't he wait for our forces to arrive?\He must've determined that there would be no reinforcements from Dartania or Starck. response:	And even if we joined them, our forces alone would not guarantee victory.
context: Don't do anything like that again.\Yeah. It won't happen again.\Because there's no one else left that I want to take down myself.\Okay.\After battling Theo Cornaro, the Earl of Sistina, in a dual, Sir Milza met a heroic death.\Why didn't he wait for our forces to arrive?\He must've determined that there would be no reinforcements from Dartania or Starck.\And even if we joined them, our forces alone would not guarantee victory. response:	Moreover, he would have exposed you to danger.
context: Yeah. It won't happen again.\Because there's no one else left that I want to take down myself.\Okay.\After battling Theo Cornaro, the Earl of Sistina, in a dual, Sir Milza met a heroic death.\Why didn't he wait for our forces to arrive?\He must've determined that there would be no reinforcements from Dartania or Starck.\And even if we joined them, our forces alone would not guarantee victory.\Moreover, he would have exposed you to danger. response:	It seems he has belittled me.
context: Because there's no one else left that I want to take down myself.\Okay.\After battling Theo Cornaro, the Earl of Sistina, in a dual, Sir Milza met a heroic death.\Why didn't he wait for our forces to arrive?\He must've determined that there would be no reinforcements from Dartania or Starck.\And even if we joined them, our forces alone would not guarantee victory.\Moreover, he would have exposed you to danger.\It seems he has belittled me. response:	What will you do now?
context: Okay.\After battling Theo Cornaro, the Earl of Sistina, in a dual, Sir Milza met a heroic death.\Why didn't he wait for our forces to arrive?\He must've determined that there would be no reinforcements from Dartania or Starck.\And even if we joined them, our forces alone would not guarantee victory.\Moreover, he would have exposed you to danger.\It seems he has belittled me.\What will you do now? response:	Now that Sir Milza is dead, there's no reason to continue our advance.
context: After battling Theo Cornaro, the Earl of Sistina, in a dual, Sir Milza met a heroic death.\Why didn't he wait for our forces to arrive?\He must've determined that there would be no reinforcements from Dartania or Starck.\And even if we joined them, our forces alone would not guarantee victory.\Moreover, he would have exposed you to danger.\It seems he has belittled me.\What will you do now?\Now that Sir Milza is dead, there's no reason to continue our advance. response:	All forces, change course!
context: Why didn't he wait for our forces to arrive?\He must've determined that there would be no reinforcements from Dartania or Starck.\And even if we joined them, our forces alone would not guarantee victory.\Moreover, he would have exposed you to danger.\It seems he has belittled me.\What will you do now?\Now that Sir Milza is dead, there's no reason to continue our advance.\All forces, change course! response:	We're heading back north immediately.
context: He must've determined that there would be no reinforcements from Dartania or Starck.\And even if we joined them, our forces alone would not guarantee victory.\Moreover, he would have exposed you to danger.\It seems he has belittled me.\What will you do now?\Now that Sir Milza is dead, there's no reason to continue our advance.\All forces, change course!\We're heading back north immediately. response:	Before the Treaty can start pressuring us, we'll finish off the Earl of Le Couleurs!
context: And even if we joined them, our forces alone would not guarantee victory.\Moreover, he would have exposed you to danger.\It seems he has belittled me.\What will you do now?\Now that Sir Milza is dead, there's no reason to continue our advance.\All forces, change course!\We're heading back north immediately.\Before the Treaty can start pressuring us, we'll finish off the Earl of Le Couleurs! response:	Sir Milza...
context: Moreover, he would have exposed you to danger.\It seems he has belittled me.\What will you do now?\Now that Sir Milza is dead, there's no reason to continue our advance.\All forces, change course!\We're heading back north immediately.\Before the Treaty can start pressuring us, we'll finish off the Earl of Le Couleurs!\Sir Milza... response:	Rest in peace.
context: It seems he has belittled me.\What will you do now?\Now that Sir Milza is dead, there's no reason to continue our advance.\All forces, change course!\We're heading back north immediately.\Before the Treaty can start pressuring us, we'll finish off the Earl of Le Couleurs!\Sir Milza...\Rest in peace. response:	TWO HEROES
context: What will you do now?\Now that Sir Milza is dead, there's no reason to continue our advance.\All forces, change course!\We're heading back north immediately.\Before the Treaty can start pressuring us, we'll finish off the Earl of Le Couleurs!\Sir Milza...\Rest in peace.\TWO HEROES response:	EPISODE 18 LEADER
