context: Our life of two-timing cohabitation is off to a start. response:	Right off the bat, Saki-san had suspicions about me.
context: this relationship started with my own selfishness.\There'll be a ton of problems, but I'll work to deal with them.\I don't have any regrets.\I'm just glad I get to be with you, Minase-san.\Naoya-kun...\I'm definitely the one being the most selfish and causing the most trouble\by dating both of you.\No kidding! response:	Nagisa-chan's selfishness is cute by comparison.
context: There'll be a ton of problems, but I'll work to deal with them.\I don't have any regrets.\I'm just glad I get to be with you, Minase-san.\Naoya-kun...\I'm definitely the one being the most selfish and causing the most trouble\by dating both of you.\No kidding!\Nagisa-chan's selfishness is cute by comparison. response:	That's true.
context: I don't have any regrets.\I'm just glad I get to be with you, Minase-san.\Naoya-kun...\I'm definitely the one being the most selfish and causing the most trouble\by dating both of you.\No kidding!\Nagisa-chan's selfishness is cute by comparison.\That's true. response:	Sorry.
context: I'm just glad I get to be with you, Minase-san.\Naoya-kun...\I'm definitely the one being the most selfish and causing the most trouble\by dating both of you.\No kidding!\Nagisa-chan's selfishness is cute by comparison.\That's true.\Sorry. response:	Thanks, though.
context: Naoya-kun...\I'm definitely the one being the most selfish and causing the most trouble\by dating both of you.\No kidding!\Nagisa-chan's selfishness is cute by comparison.\That's true.\Sorry.\Thanks, though. response:	I want to eat with the three of you.
context: I'm definitely the one being the most selfish and causing the most trouble\by dating both of you.\No kidding!\Nagisa-chan's selfishness is cute by comparison.\That's true.\Sorry.\Thanks, though.\I want to eat with the three of you. response:	Okay, let's eat.
context: by dating both of you.\No kidding!\Nagisa-chan's selfishness is cute by comparison.\That's true.\Sorry.\Thanks, though.\I want to eat with the three of you.\Okay, let's eat. response:	Okay.
context: No kidding!\Nagisa-chan's selfishness is cute by comparison.\That's true.\Sorry.\Thanks, though.\I want to eat with the three of you.\Okay, let's eat.\Okay. response:	Time to eat.
context: Nagisa-chan's selfishness is cute by comparison.\That's true.\Sorry.\Thanks, though.\I want to eat with the three of you.\Okay, let's eat.\Okay.\Time to eat. response:	I'm stealing your rolled eggs!
context: That's true.\Sorry.\Thanks, though.\I want to eat with the three of you.\Okay, let's eat.\Okay.\Time to eat.\I'm stealing your rolled eggs! response:	Saki-chan?
context: Sorry.\Thanks, though.\I want to eat with the three of you.\Okay, let's eat.\Okay.\Time to eat.\I'm stealing your rolled eggs!\Saki-chan? response:	Yum!
context: Thanks, though.\I want to eat with the three of you.\Okay, let's eat.\Okay.\Time to eat.\I'm stealing your rolled eggs!\Saki-chan?\Yum! response:	Nagisa-chan's lunches are the best.
context: I want to eat with the three of you.\Okay, let's eat.\Okay.\Time to eat.\I'm stealing your rolled eggs!\Saki-chan?\Yum!\Nagisa-chan's lunches are the best. response:	I'm glad you like it.
context: Okay, let's eat.\Okay.\Time to eat.\I'm stealing your rolled eggs!\Saki-chan?\Yum!\Nagisa-chan's lunches are the best.\I'm glad you like it. response:	It's delicious, Minase-san.
context: Okay.\Time to eat.\I'm stealing your rolled eggs!\Saki-chan?\Yum!\Nagisa-chan's lunches are the best.\I'm glad you like it.\It's delicious, Minase-san. response:	This is such a weird situation, huh?
context: Time to eat.\I'm stealing your rolled eggs!\Saki-chan?\Yum!\Nagisa-chan's lunches are the best.\I'm glad you like it.\It's delicious, Minase-san.\This is such a weird situation, huh? response:	It's fun, though.
context: I'm stealing your rolled eggs!\Saki-chan?\Yum!\Nagisa-chan's lunches are the best.\I'm glad you like it.\It's delicious, Minase-san.\This is such a weird situation, huh?\It's fun, though. response:	I mean, it's not not fun.
context: Saki-chan?\Yum!\Nagisa-chan's lunches are the best.\I'm glad you like it.\It's delicious, Minase-san.\This is such a weird situation, huh?\It's fun, though.\I mean, it's not not fun. response:	Saki-chan...
context: Yum!\Nagisa-chan's lunches are the best.\I'm glad you like it.\It's delicious, Minase-san.\This is such a weird situation, huh?\It's fun, though.\I mean, it's not not fun.\Saki-chan... response:	Yes.
context: Nagisa-chan's lunches are the best.\I'm glad you like it.\It's delicious, Minase-san.\This is such a weird situation, huh?\It's fun, though.\I mean, it's not not fun.\Saki-chan...\Yes. response:	I look forward to doing this more often.
context: I'm glad you like it.\It's delicious, Minase-san.\This is such a weird situation, huh?\It's fun, though.\I mean, it's not not fun.\Saki-chan...\Yes.\I look forward to doing this more often. response:	It's so dusty in here, though.
context: It's delicious, Minase-san.\This is such a weird situation, huh?\It's fun, though.\I mean, it's not not fun.\Saki-chan...\Yes.\I look forward to doing this more often.\It's so dusty in here, though. response:	Let's clean up sometime.
context: This is such a weird situation, huh?\It's fun, though.\I mean, it's not not fun.\Saki-chan...\Yes.\I look forward to doing this more often.\It's so dusty in here, though.\Let's clean up sometime. response:	Should we bring snacks?
context: It's fun, though.\I mean, it's not not fun.\Saki-chan...\Yes.\I look forward to doing this more often.\It's so dusty in here, though.\Let's clean up sometime.\Should we bring snacks? response:	I'll work hard on lunch, too.
context: I mean, it's not not fun.\Saki-chan...\Yes.\I look forward to doing this more often.\It's so dusty in here, though.\Let's clean up sometime.\Should we bring snacks?\I'll work hard on lunch, too. response:	Happiness...
context: Saki-chan...\Yes.\I look forward to doing this more often.\It's so dusty in here, though.\Let's clean up sometime.\Should we bring snacks?\I'll work hard on lunch, too.\Happiness... response:	Yummy lunch...
context: Yes.\I look forward to doing this more often.\It's so dusty in here, though.\Let's clean up sometime.\Should we bring snacks?\I'll work hard on lunch, too.\Happiness...\Yummy lunch... response:	Girlfriend, Girlfriend
context: I look forward to doing this more often.\It's so dusty in here, though.\Let's clean up sometime.\Should we bring snacks?\I'll work hard on lunch, too.\Happiness...\Yummy lunch...\Girlfriend, Girlfriend response:	Bliss...
context: It's so dusty in here, though.\Let's clean up sometime.\Should we bring snacks?\I'll work hard on lunch, too.\Happiness...\Yummy lunch...\Girlfriend, Girlfriend\Bliss... response:	Omelet rice lunch!
context: Let's clean up sometime.\Should we bring snacks?\I'll work hard on lunch, too.\Happiness...\Yummy lunch...\Girlfriend, Girlfriend\Bliss...\Omelet rice lunch! response:	Cutlet sandwiches!
context: Should we bring snacks?\I'll work hard on lunch, too.\Happiness...\Yummy lunch...\Girlfriend, Girlfriend\Bliss...\Omelet rice lunch!\Cutlet sandwiches! response:	Holy!
context: I'll work hard on lunch, too.\Happiness...\Yummy lunch...\Girlfriend, Girlfriend\Bliss...\Omelet rice lunch!\Cutlet sandwiches!\Holy! response:	Tempura rice ball lunch!
context: Happiness...\Yummy lunch...\Girlfriend, Girlfriend\Bliss...\Omelet rice lunch!\Cutlet sandwiches!\Holy!\Tempura rice ball lunch! response:	Nagisa-chan always makes the most intricate lunches.
context: Yummy lunch...\Girlfriend, Girlfriend\Bliss...\Omelet rice lunch!\Cutlet sandwiches!\Holy!\Tempura rice ball lunch!\Nagisa-chan always makes the most intricate lunches. response:	I wanted to make Naoya-kun happy.
context: Girlfriend, Girlfriend\Bliss...\Omelet rice lunch!\Cutlet sandwiches!\Holy!\Tempura rice ball lunch!\Nagisa-chan always makes the most intricate lunches.\I wanted to make Naoya-kun happy. response:	You're so adorably selfless!
context: Bliss...\Omelet rice lunch!\Cutlet sandwiches!\Holy!\Tempura rice ball lunch!\Nagisa-chan always makes the most intricate lunches.\I wanted to make Naoya-kun happy.\You're so adorably selfless! response:	S-Saki-san...
context: Omelet rice lunch!\Cutlet sandwiches!\Holy!\Tempura rice ball lunch!\Nagisa-chan always makes the most intricate lunches.\I wanted to make Naoya-kun happy.\You're so adorably selfless!\S-Saki-san... response:	I need to try to make you both happy, too.
context: Cutlet sandwiches!\Holy!\Tempura rice ball lunch!\Nagisa-chan always makes the most intricate lunches.\I wanted to make Naoya-kun happy.\You're so adorably selfless!\S-Saki-san...\I need to try to make you both happy, too. response:	No, not at all.
context: Holy!\Tempura rice ball lunch!\Nagisa-chan always makes the most intricate lunches.\I wanted to make Naoya-kun happy.\You're so adorably selfless!\S-Saki-san...\I need to try to make you both happy, too.\No, not at all. response:	Is there anything more you'd like me to do?
context: Tempura rice ball lunch!\Nagisa-chan always makes the most intricate lunches.\I wanted to make Naoya-kun happy.\You're so adorably selfless!\S-Saki-san...\I need to try to make you both happy, too.\No, not at all.\Is there anything more you'd like me to do? response:	No, you're already doing too much.
context: Nagisa-chan always makes the most intricate lunches.\I wanted to make Naoya-kun happy.\You're so adorably selfless!\S-Saki-san...\I need to try to make you both happy, too.\No, not at all.\Is there anything more you'd like me to do?\No, you're already doing too much. response:	No, I want to do more for you.
context: I wanted to make Naoya-kun happy.\You're so adorably selfless!\S-Saki-san...\I need to try to make you both happy, too.\No, not at all.\Is there anything more you'd like me to do?\No, you're already doing too much.\No, I want to do more for you. response:	If you need money, I'll do any kind of work!
context: You're so adorably selfless!\S-Saki-san...\I need to try to make you both happy, too.\No, not at all.\Is there anything more you'd like me to do?\No, you're already doing too much.\No, I want to do more for you.\If you need money, I'll do any kind of work! response:	Any kind of work?
context: S-Saki-san...\I need to try to make you both happy, too.\No, not at all.\Is there anything more you'd like me to do?\No, you're already doing too much.\No, I want to do more for you.\If you need money, I'll do any kind of work!\Any kind of work? response:	Nagisa-chan...
context: I need to try to make you both happy, too.\No, not at all.\Is there anything more you'd like me to do?\No, you're already doing too much.\No, I want to do more for you.\If you need money, I'll do any kind of work!\Any kind of work?\Nagisa-chan... response:	It's fine.
context: No, not at all.\Is there anything more you'd like me to do?\No, you're already doing too much.\No, I want to do more for you.\If you need money, I'll do any kind of work!\Any kind of work?\Nagisa-chan...\It's fine. response:	But if it comes to that,
context: Is there anything more you'd like me to do?\No, you're already doing too much.\No, I want to do more for you.\If you need money, I'll do any kind of work!\Any kind of work?\Nagisa-chan...\It's fine.\But if it comes to that, response:	I'll take part in sketchy clinical trials or work on a tuna boat!
context: No, you're already doing too much.\No, I want to do more for you.\If you need money, I'll do any kind of work!\Any kind of work?\Nagisa-chan...\It's fine.\But if it comes to that,\I'll take part in sketchy clinical trials or work on a tuna boat! response:	You, too, Naoya! That's enough!
context: No, I want to do more for you.\If you need money, I'll do any kind of work!\Any kind of work?\Nagisa-chan...\It's fine.\But if it comes to that,\I'll take part in sketchy clinical trials or work on a tuna boat!\You, too, Naoya! That's enough! response:	Sheesh.
context: If you need money, I'll do any kind of work!\Any kind of work?\Nagisa-chan...\It's fine.\But if it comes to that,\I'll take part in sketchy clinical trials or work on a tuna boat!\You, too, Naoya! That's enough!\Sheesh. response:	Nagisa-chan sure does like Naoya, huh?
context: Any kind of work?\Nagisa-chan...\It's fine.\But if it comes to that,\I'll take part in sketchy clinical trials or work on a tuna boat!\You, too, Naoya! That's enough!\Sheesh.\Nagisa-chan sure does like Naoya, huh? response:	Saki-chan...
context: Nagisa-chan...\It's fine.\But if it comes to that,\I'll take part in sketchy clinical trials or work on a tuna boat!\You, too, Naoya! That's enough!\Sheesh.\Nagisa-chan sure does like Naoya, huh?\Saki-chan... response:	I'm sorry I made you feel left out.
context: It's fine.\But if it comes to that,\I'll take part in sketchy clinical trials or work on a tuna boat!\You, too, Naoya! That's enough!\Sheesh.\Nagisa-chan sure does like Naoya, huh?\Saki-chan...\I'm sorry I made you feel left out. response:	Huh?
context: But if it comes to that,\I'll take part in sketchy clinical trials or work on a tuna boat!\You, too, Naoya! That's enough!\Sheesh.\Nagisa-chan sure does like Naoya, huh?\Saki-chan...\I'm sorry I made you feel left out.\Huh? response:	Uh, n-no...
context: I'll take part in sketchy clinical trials or work on a tuna boat!\You, too, Naoya! That's enough!\Sheesh.\Nagisa-chan sure does like Naoya, huh?\Saki-chan...\I'm sorry I made you feel left out.\Huh?\Uh, n-no... response:	I think I've been getting complacent.
context: You, too, Naoya! That's enough!\Sheesh.\Nagisa-chan sure does like Naoya, huh?\Saki-chan...\I'm sorry I made you feel left out.\Huh?\Uh, n-no...\I think I've been getting complacent. response:	I'll tell you what I like about you every day!
context: Sheesh.\Nagisa-chan sure does like Naoya, huh?\Saki-chan...\I'm sorry I made you feel left out.\Huh?\Uh, n-no...\I think I've been getting complacent.\I'll tell you what I like about you every day! response:	I never asked for that much!
context: Nagisa-chan sure does like Naoya, huh?\Saki-chan...\I'm sorry I made you feel left out.\Huh?\Uh, n-no...\I think I've been getting complacent.\I'll tell you what I like about you every day!\I never asked for that much! response:	B-But tell me one thing a day.
context: Saki-chan...\I'm sorry I made you feel left out.\Huh?\Uh, n-no...\I think I've been getting complacent.\I'll tell you what I like about you every day!\I never asked for that much!\B-But tell me one thing a day. response:	All right.
context: I'm sorry I made you feel left out.\Huh?\Uh, n-no...\I think I've been getting complacent.\I'll tell you what I like about you every day!\I never asked for that much!\B-But tell me one thing a day.\All right. response:	Lucky...
context: Huh?\Uh, n-no...\I think I've been getting complacent.\I'll tell you what I like about you every day!\I never asked for that much!\B-But tell me one thing a day.\All right.\Lucky... response:	I'll tell you, too, Minase-san!
context: Uh, n-no...\I think I've been getting complacent.\I'll tell you what I like about you every day!\I never asked for that much!\B-But tell me one thing a day.\All right.\Lucky...\I'll tell you, too, Minase-san! response:	My point is...
context: I think I've been getting complacent.\I'll tell you what I like about you every day!\I never asked for that much!\B-But tell me one thing a day.\All right.\Lucky...\I'll tell you, too, Minase-san!\My point is... response:	You must really like him to work so hard for him.
context: I'll tell you what I like about you every day!\I never asked for that much!\B-But tell me one thing a day.\All right.\Lucky...\I'll tell you, too, Minase-san!\My point is...\You must really like him to work so hard for him. response:	You do, too, don't you?
context: I never asked for that much!\B-But tell me one thing a day.\All right.\Lucky...\I'll tell you, too, Minase-san!\My point is...\You must really like him to work so hard for him.\You do, too, don't you? response:	Huh? Well...
context: B-But tell me one thing a day.\All right.\Lucky...\I'll tell you, too, Minase-san!\My point is...\You must really like him to work so hard for him.\You do, too, don't you?\Huh? Well... response:	I think I'm doing a decent amount for Naoya, too.
context: All right.\Lucky...\I'll tell you, too, Minase-san!\My point is...\You must really like him to work so hard for him.\You do, too, don't you?\Huh? Well...\I think I'm doing a decent amount for Naoya, too. response:	More, please!
context: Lucky...\I'll tell you, too, Minase-san!\My point is...\You must really like him to work so hard for him.\You do, too, don't you?\Huh? Well...\I think I'm doing a decent amount for Naoya, too.\More, please! response:	Okay!
context: I'll tell you, too, Minase-san!\My point is...\You must really like him to work so hard for him.\You do, too, don't you?\Huh? Well...\I think I'm doing a decent amount for Naoya, too.\More, please!\Okay! response:	I suck at doing the chores.
context: My point is...\You must really like him to work so hard for him.\You do, too, don't you?\Huh? Well...\I think I'm doing a decent amount for Naoya, too.\More, please!\Okay!\I suck at doing the chores. response:	I'll take care of it.
context: You must really like him to work so hard for him.\You do, too, don't you?\Huh? Well...\I think I'm doing a decent amount for Naoya, too.\More, please!\Okay!\I suck at doing the chores.\I'll take care of it. response:	I'm in heaven!
context: You do, too, don't you?\Huh? Well...\I think I'm doing a decent amount for Naoya, too.\More, please!\Okay!\I suck at doing the chores.\I'll take care of it.\I'm in heaven! response:	Wait...
context: Huh? Well...\I think I'm doing a decent amount for Naoya, too.\More, please!\Okay!\I suck at doing the chores.\I'll take care of it.\I'm in heaven!\Wait... response:	Saki-chan?
context: I think I'm doing a decent amount for Naoya, too.\More, please!\Okay!\I suck at doing the chores.\I'll take care of it.\I'm in heaven!\Wait...\Saki-chan? response:	I haven't been doing shit.
context: More, please!\Okay!\I suck at doing the chores.\I'll take care of it.\I'm in heaven!\Wait...\Saki-chan?\I haven't been doing shit. response:	A-Am I in trouble as a girlfriend?
context: Okay!\I suck at doing the chores.\I'll take care of it.\I'm in heaven!\Wait...\Saki-chan?\I haven't been doing shit.\A-Am I in trouble as a girlfriend? response:	Between Nagisa-chan, who's cute and devoted and big-boobed...
context: I suck at doing the chores.\I'll take care of it.\I'm in heaven!\Wait...\Saki-chan?\I haven't been doing shit.\A-Am I in trouble as a girlfriend?\Between Nagisa-chan, who's cute and devoted and big-boobed... response:	and me, who does nothing...
context: I'll take care of it.\I'm in heaven!\Wait...\Saki-chan?\I haven't been doing shit.\A-Am I in trouble as a girlfriend?\Between Nagisa-chan, who's cute and devoted and big-boobed...\and me, who does nothing... response:	Naoya's going to fall more in love with Nagisa-chan than with me.
context: I'm in heaven!\Wait...\Saki-chan?\I haven't been doing shit.\A-Am I in trouble as a girlfriend?\Between Nagisa-chan, who's cute and devoted and big-boobed...\and me, who does nothing...\Naoya's going to fall more in love with Nagisa-chan than with me. response:	Two-timing is bad, huh?
context: Wait...\Saki-chan?\I haven't been doing shit.\A-Am I in trouble as a girlfriend?\Between Nagisa-chan, who's cute and devoted and big-boobed...\and me, who does nothing...\Naoya's going to fall more in love with Nagisa-chan than with me.\Two-timing is bad, huh? response:	It is.
context: Saki-chan?\I haven't been doing shit.\A-Am I in trouble as a girlfriend?\Between Nagisa-chan, who's cute and devoted and big-boobed...\and me, who does nothing...\Naoya's going to fall more in love with Nagisa-chan than with me.\Two-timing is bad, huh?\It is. response:	Naoya!
context: I haven't been doing shit.\A-Am I in trouble as a girlfriend?\Between Nagisa-chan, who's cute and devoted and big-boobed...\and me, who does nothing...\Naoya's going to fall more in love with Nagisa-chan than with me.\Two-timing is bad, huh?\It is.\Naoya! response:	The End
context: A-Am I in trouble as a girlfriend?\Between Nagisa-chan, who's cute and devoted and big-boobed...\and me, who does nothing...\Naoya's going to fall more in love with Nagisa-chan than with me.\Two-timing is bad, huh?\It is.\Naoya!\The End response:	Saki-san?
context: Between Nagisa-chan, who's cute and devoted and big-boobed...\and me, who does nothing...\Naoya's going to fall more in love with Nagisa-chan than with me.\Two-timing is bad, huh?\It is.\Naoya!\The End\Saki-san? response:	I can't!
context: and me, who does nothing...\Naoya's going to fall more in love with Nagisa-chan than with me.\Two-timing is bad, huh?\It is.\Naoya!\The End\Saki-san?\I can't! response:	S-Saki-chan?
context: Naoya's going to fall more in love with Nagisa-chan than with me.\Two-timing is bad, huh?\It is.\Naoya!\The End\Saki-san?\I can't!\S-Saki-chan? response:	I gotta keep up with Nagisa-chan!
context: Two-timing is bad, huh?\It is.\Naoya!\The End\Saki-san?\I can't!\S-Saki-chan?\I gotta keep up with Nagisa-chan! response:	Girlfriend, Girlfriend
context: It is.\Naoya!\The End\Saki-san?\I can't!\S-Saki-chan?\I gotta keep up with Nagisa-chan!\Girlfriend, Girlfriend response:	Huh? Sakisaki?
context: Naoya!\The End\Saki-san?\I can't!\S-Saki-chan?\I gotta keep up with Nagisa-chan!\Girlfriend, Girlfriend\Huh? Sakisaki? response:	Sorry, I'm skipping club today! Thanks!!
context: The End\Saki-san?\I can't!\S-Saki-chan?\I gotta keep up with Nagisa-chan!\Girlfriend, Girlfriend\Huh? Sakisaki?\Sorry, I'm skipping club today! Thanks!! response:	I have to think.
context: Saki-san?\I can't!\S-Saki-chan?\I gotta keep up with Nagisa-chan!\Girlfriend, Girlfriend\Huh? Sakisaki?\Sorry, I'm skipping club today! Thanks!!\I have to think. response:	What do I want to do for Naoya?
context: I can't!\S-Saki-chan?\I gotta keep up with Nagisa-chan!\Girlfriend, Girlfriend\Huh? Sakisaki?\Sorry, I'm skipping club today! Thanks!!\I have to think.\What do I want to do for Naoya? response:	What would make him happy?
context: S-Saki-chan?\I gotta keep up with Nagisa-chan!\Girlfriend, Girlfriend\Huh? Sakisaki?\Sorry, I'm skipping club today! Thanks!!\I have to think.\What do I want to do for Naoya?\What would make him happy? response:	***s always please a man
context: I gotta keep up with Nagisa-chan!\Girlfriend, Girlfriend\Huh? Sakisaki?\Sorry, I'm skipping club today! Thanks!!\I have to think.\What do I want to do for Naoya?\What would make him happy?\***s always please a man response:	Put on a ***y ***
context: Girlfriend, Girlfriend\Huh? Sakisaki?\Sorry, I'm skipping club today! Thanks!!\I have to think.\What do I want to do for Naoya?\What would make him happy?\***s always please a man\Put on a ***y *** response:	I can only think of sexy things.
context: Huh? Sakisaki?\Sorry, I'm skipping club today! Thanks!!\I have to think.\What do I want to do for Naoya?\What would make him happy?\***s always please a man\Put on a ***y ***\I can only think of sexy things. response:	Let him squeeze your ***s
context: Sorry, I'm skipping club today! Thanks!!\I have to think.\What do I want to do for Naoya?\What would make him happy?\***s always please a man\Put on a ***y ***\I can only think of sexy things.\Let him squeeze your ***s response:	Gently touch his ***
context: I have to think.\What do I want to do for Naoya?\What would make him happy?\***s always please a man\Put on a ***y ***\I can only think of sexy things.\Let him squeeze your ***s\Gently touch his *** response:	*** his ***
context: What do I want to do for Naoya?\What would make him happy?\***s always please a man\Put on a ***y ***\I can only think of sexy things.\Let him squeeze your ***s\Gently touch his ***\*** his *** response:	Naoya!
context: What would make him happy?\***s always please a man\Put on a ***y ***\I can only think of sexy things.\Let him squeeze your ***s\Gently touch his ***\*** his ***\Naoya! response:	Saki-chan!
context: ***s always please a man\Put on a ***y ***\I can only think of sexy things.\Let him squeeze your ***s\Gently touch his ***\*** his ***\Naoya!\Saki-chan! response:	I was worried. You suddenly disappeared.
context: Put on a ***y ***\I can only think of sexy things.\Let him squeeze your ***s\Gently touch his ***\*** his ***\Naoya!\Saki-chan!\I was worried. You suddenly disappeared. response:	Never mind that!
context: I can only think of sexy things.\Let him squeeze your ***s\Gently touch his ***\*** his ***\Naoya!\Saki-chan!\I was worried. You suddenly disappeared.\Never mind that! response:	Naoya, is there anything you want me to do?
context: Let him squeeze your ***s\Gently touch his ***\*** his ***\Naoya!\Saki-chan!\I was worried. You suddenly disappeared.\Never mind that!\Naoya, is there anything you want me to do? response:	No. In fact, is there anything you want me to do?
context: Gently touch his ***\*** his ***\Naoya!\Saki-chan!\I was worried. You suddenly disappeared.\Never mind that!\Naoya, is there anything you want me to do?\No. In fact, is there anything you want me to do? response:	Huh? No...
context: *** his ***\Naoya!\Saki-chan!\I was worried. You suddenly disappeared.\Never mind that!\Naoya, is there anything you want me to do?\No. In fact, is there anything you want me to do?\Huh? No... response:	Should I buy cake or something?
context: Naoya!\Saki-chan!\I was worried. You suddenly disappeared.\Never mind that!\Naoya, is there anything you want me to do?\No. In fact, is there anything you want me to do?\Huh? No...\Should I buy cake or something? response:	Cake?
context: Saki-chan!\I was worried. You suddenly disappeared.\Never mind that!\Naoya, is there anything you want me to do?\No. In fact, is there anything you want me to do?\Huh? No...\Should I buy cake or something?\Cake? response:	I want cake!
context: I was worried. You suddenly disappeared.\Never mind that!\Naoya, is there anything you want me to do?\No. In fact, is there anything you want me to do?\Huh? No...\Should I buy cake or something?\Cake?\I want cake! response:	I bought some cake.
context: Never mind that!\Naoya, is there anything you want me to do?\No. In fact, is there anything you want me to do?\Huh? No...\Should I buy cake or something?\Cake?\I want cake!\I bought some cake. response:	Yum!
context: Naoya, is there anything you want me to do?\No. In fact, is there anything you want me to do?\Huh? No...\Should I buy cake or something?\Cake?\I want cake!\I bought some cake.\Yum! response:	I made some tea.
context: No. In fact, is there anything you want me to do?\Huh? No...\Should I buy cake or something?\Cake?\I want cake!\I bought some cake.\Yum!\I made some tea. response:	Thanks...
context: Huh? No...\Should I buy cake or something?\Cake?\I want cake!\I bought some cake.\Yum!\I made some tea.\Thanks... response:	Wait, this is wrong!
context: Should I buy cake or something?\Cake?\I want cake!\I bought some cake.\Yum!\I made some tea.\Thanks...\Wait, this is wrong! response:	I'm just going to have to compete against Nagisa-chan in cooking.
context: Cake?\I want cake!\I bought some cake.\Yum!\I made some tea.\Thanks...\Wait, this is wrong!\I'm just going to have to compete against Nagisa-chan in cooking. response:	I'll make something fancy.
context: I want cake!\I bought some cake.\Yum!\I made some tea.\Thanks...\Wait, this is wrong!\I'm just going to have to compete against Nagisa-chan in cooking.\I'll make something fancy. response:	Sparkling Deliciousness!
context: I bought some cake.\Yum!\I made some tea.\Thanks...\Wait, this is wrong!\I'm just going to have to compete against Nagisa-chan in cooking.\I'll make something fancy.\Sparkling Deliciousness! response:	Sparkling Deliciousness!
context: Yum!\I made some tea.\Thanks...\Wait, this is wrong!\I'm just going to have to compete against Nagisa-chan in cooking.\I'll make something fancy.\Sparkling Deliciousness!\Sparkling Deliciousness! response:	Sparkling Deliciousness!
context: I made some tea.\Thanks...\Wait, this is wrong!\I'm just going to have to compete against Nagisa-chan in cooking.\I'll make something fancy.\Sparkling Deliciousness!\Sparkling Deliciousness!\Sparkling Deliciousness! response:	I've been wanting to try these!
context: Thanks...\Wait, this is wrong!\I'm just going to have to compete against Nagisa-chan in cooking.\I'll make something fancy.\Sparkling Deliciousness!\Sparkling Deliciousness!\Sparkling Deliciousness!\I've been wanting to try these! response:	I'm home.
context: Wait, this is wrong!\I'm just going to have to compete against Nagisa-chan in cooking.\I'll make something fancy.\Sparkling Deliciousness!\Sparkling Deliciousness!\Sparkling Deliciousness!\I've been wanting to try these!\I'm home. response:	What did you buy?
context: I'm just going to have to compete against Nagisa-chan in cooking.\I'll make something fancy.\Sparkling Deliciousness!\Sparkling Deliciousness!\Sparkling Deliciousness!\I've been wanting to try these!\I'm home.\What did you buy? response:	Gummies!
context: I'll make something fancy.\Sparkling Deliciousness!\Sparkling Deliciousness!\Sparkling Deliciousness!\I've been wanting to try these!\I'm home.\What did you buy?\Gummies! response:	Wait, I didn't buy cooking ingredients!
context: Sparkling Deliciousness!\Sparkling Deliciousness!\Sparkling Deliciousness!\I've been wanting to try these!\I'm home.\What did you buy?\Gummies!\Wait, I didn't buy cooking ingredients! response:	Whatever! I'll just feed him some curry!
context: Sparkling Deliciousness!\Sparkling Deliciousness!\I've been wanting to try these!\I'm home.\What did you buy?\Gummies!\Wait, I didn't buy cooking ingredients!\Whatever! I'll just feed him some curry! response:	You just have to chop stuff up and toss it in the pot, right?
context: Sparkling Deliciousness!\I've been wanting to try these!\I'm home.\What did you buy?\Gummies!\Wait, I didn't buy cooking ingredients!\Whatever! I'll just feed him some curry!\You just have to chop stuff up and toss it in the pot, right? response:	Now I just wait.
context: I've been wanting to try these!\I'm home.\What did you buy?\Gummies!\Wait, I didn't buy cooking ingredients!\Whatever! I'll just feed him some curry!\You just have to chop stuff up and toss it in the pot, right?\Now I just wait. response:	I'll watch some videos or something.
context: I'm home.\What did you buy?\Gummies!\Wait, I didn't buy cooking ingredients!\Whatever! I'll just feed him some curry!\You just have to chop stuff up and toss it in the pot, right?\Now I just wait.\I'll watch some videos or something. response:	3 Hours Later
context: What did you buy?\Gummies!\Wait, I didn't buy cooking ingredients!\Whatever! I'll just feed him some curry!\You just have to chop stuff up and toss it in the pot, right?\Now I just wait.\I'll watch some videos or something.\3 Hours Later response:	Let's give it a shot.
context: Gummies!\Wait, I didn't buy cooking ingredients!\Whatever! I'll just feed him some curry!\You just have to chop stuff up and toss it in the pot, right?\Now I just wait.\I'll watch some videos or something.\3 Hours Later\Let's give it a shot. response:	Yay! I got an SSR!
context: Wait, I didn't buy cooking ingredients!\Whatever! I'll just feed him some curry!\You just have to chop stuff up and toss it in the pot, right?\Now I just wait.\I'll watch some videos or something.\3 Hours Later\Let's give it a shot.\Yay! I got an SSR! response:	Yay!
context: Whatever! I'll just feed him some curry!\You just have to chop stuff up and toss it in the pot, right?\Now I just wait.\I'll watch some videos or something.\3 Hours Later\Let's give it a shot.\Yay! I got an SSR!\Yay! response:	Thanks, everyone!
context: You just have to chop stuff up and toss it in the pot, right?\Now I just wait.\I'll watch some videos or something.\3 Hours Later\Let's give it a shot.\Yay! I got an SSR!\Yay!\Thanks, everyone! response:	A-All these donations...
context: Now I just wait.\I'll watch some videos or something.\3 Hours Later\Let's give it a shot.\Yay! I got an SSR!\Yay!\Thanks, everyone!\A-All these donations... response:	Her evil boobs are making a killing!
context: I'll watch some videos or something.\3 Hours Later\Let's give it a shot.\Yay! I got an SSR!\Yay!\Thanks, everyone!\A-All these donations...\Her evil boobs are making a killing! response:	It's burnt!
context: 3 Hours Later\Let's give it a shot.\Yay! I got an SSR!\Yay!\Thanks, everyone!\A-All these donations...\Her evil boobs are making a killing!\It's burnt! response:	I'm sure burnt curry is good, too.
