context: That must've been hard. response:	No, Prince Zen and the people at Fort Laxdo were there with me.
context: I thought he was an outlaw, but he was yours, huh?\Well? I didn't see a report about the punishment of those at the fort.\They were not punished.\Why not?\They have the duty to patrol and protect the surrounding area.\During this incident, they were unable to perform this duty for quite some time.\They could not be prevented from going back to their duties any longer.\Well then, Zen, why don't we remove Laxdo from your jurisdiction for six months? response:	Even if it was the bandits' doing, there was fault in the fort's system.
context: Well? I didn't see a report about the punishment of those at the fort.\They were not punished.\Why not?\They have the duty to patrol and protect the surrounding area.\During this incident, they were unable to perform this duty for quite some time.\They could not be prevented from going back to their duties any longer.\Well then, Zen, why don't we remove Laxdo from your jurisdiction for six months?\Even if it was the bandits' doing, there was fault in the fort's system. response:	If you will not rebuke the soldiers,
context: They were not punished.\Why not?\They have the duty to patrol and protect the surrounding area.\During this incident, they were unable to perform this duty for quite some time.\They could not be prevented from going back to their duties any longer.\Well then, Zen, why don't we remove Laxdo from your jurisdiction for six months?\Even if it was the bandits' doing, there was fault in the fort's system.\If you will not rebuke the soldiers, response:	then you will receive the punishment.
context: Why not?\They have the duty to patrol and protect the surrounding area.\During this incident, they were unable to perform this duty for quite some time.\They could not be prevented from going back to their duties any longer.\Well then, Zen, why don't we remove Laxdo from your jurisdiction for six months?\Even if it was the bandits' doing, there was fault in the fort's system.\If you will not rebuke the soldiers,\then you will receive the punishment. response:	A punishment that will make the soldiers feel even more guilty, huh?
context: They have the duty to patrol and protect the surrounding area.\During this incident, they were unable to perform this duty for quite some time.\They could not be prevented from going back to their duties any longer.\Well then, Zen, why don't we remove Laxdo from your jurisdiction for six months?\Even if it was the bandits' doing, there was fault in the fort's system.\If you will not rebuke the soldiers,\then you will receive the punishment.\A punishment that will make the soldiers feel even more guilty, huh? response:	It must be hitting Zen hard.
context: During this incident, they were unable to perform this duty for quite some time.\They could not be prevented from going back to their duties any longer.\Well then, Zen, why don't we remove Laxdo from your jurisdiction for six months?\Even if it was the bandits' doing, there was fault in the fort's system.\If you will not rebuke the soldiers,\then you will receive the punishment.\A punishment that will make the soldiers feel even more guilty, huh?\It must be hitting Zen hard. response:	You're soft on yourself, so you don't want to blame them for something like this, right?
context: They could not be prevented from going back to their duties any longer.\Well then, Zen, why don't we remove Laxdo from your jurisdiction for six months?\Even if it was the bandits' doing, there was fault in the fort's system.\If you will not rebuke the soldiers,\then you will receive the punishment.\A punishment that will make the soldiers feel even more guilty, huh?\It must be hitting Zen hard.\You're soft on yourself, so you don't want to blame them for something like this, right? response:	I understand.
context: Well then, Zen, why don't we remove Laxdo from your jurisdiction for six months?\Even if it was the bandits' doing, there was fault in the fort's system.\If you will not rebuke the soldiers,\then you will receive the punishment.\A punishment that will make the soldiers feel even more guilty, huh?\It must be hitting Zen hard.\You're soft on yourself, so you don't want to blame them for something like this, right?\I understand. response:	Good. Next-
context: Even if it was the bandits' doing, there was fault in the fort's system.\If you will not rebuke the soldiers,\then you will receive the punishment.\A punishment that will make the soldiers feel even more guilty, huh?\It must be hitting Zen hard.\You're soft on yourself, so you don't want to blame them for something like this, right?\I understand.\Good. Next- response:	I've kept you waiting.
context: If you will not rebuke the soldiers,\then you will receive the punishment.\A punishment that will make the soldiers feel even more guilty, huh?\It must be hitting Zen hard.\You're soft on yourself, so you don't want to blame them for something like this, right?\I understand.\Good. Next-\I've kept you waiting. response:	Shirayuki?!
context: then you will receive the punishment.\A punishment that will make the soldiers feel even more guilty, huh?\It must be hitting Zen hard.\You're soft on yourself, so you don't want to blame them for something like this, right?\I understand.\Good. Next-\I've kept you waiting.\Shirayuki?! response:	Zen, you all can leave now.
context: A punishment that will make the soldiers feel even more guilty, huh?\It must be hitting Zen hard.\You're soft on yourself, so you don't want to blame them for something like this, right?\I understand.\Good. Next-\I've kept you waiting.\Shirayuki?!\Zen, you all can leave now. response:	You're busy, aren't you?
context: It must be hitting Zen hard.\You're soft on yourself, so you don't want to blame them for something like this, right?\I understand.\Good. Next-\I've kept you waiting.\Shirayuki?!\Zen, you all can leave now.\You're busy, aren't you? response:	Lord Brother...
context: You're soft on yourself, so you don't want to blame them for something like this, right?\I understand.\Good. Next-\I've kept you waiting.\Shirayuki?!\Zen, you all can leave now.\You're busy, aren't you?\Lord Brother... response:	Zen...
context: I understand.\Good. Next-\I've kept you waiting.\Shirayuki?!\Zen, you all can leave now.\You're busy, aren't you?\Lord Brother...\Zen... response:	Very well, we'll do as you say.
context: Good. Next-\I've kept you waiting.\Shirayuki?!\Zen, you all can leave now.\You're busy, aren't you?\Lord Brother...\Zen...\Very well, we'll do as you say. response:	See you later, Shirayuki.
context: I've kept you waiting.\Shirayuki?!\Zen, you all can leave now.\You're busy, aren't you?\Lord Brother...\Zen...\Very well, we'll do as you say.\See you later, Shirayuki. response:	I'll go see you, okay?
context: Shirayuki?!\Zen, you all can leave now.\You're busy, aren't you?\Lord Brother...\Zen...\Very well, we'll do as you say.\See you later, Shirayuki.\I'll go see you, okay? response:	Zen...?
context: Zen, you all can leave now.\You're busy, aren't you?\Lord Brother...\Zen...\Very well, we'll do as you say.\See you later, Shirayuki.\I'll go see you, okay?\Zen...? response:	Excuse me, Lord Brother.
context: You're busy, aren't you?\Lord Brother...\Zen...\Very well, we'll do as you say.\See you later, Shirayuki.\I'll go see you, okay?\Zen...?\Excuse me, Lord Brother. response:	Mitsuhide, Kiki. Let's go.
context: Lord Brother...\Zen...\Very well, we'll do as you say.\See you later, Shirayuki.\I'll go see you, okay?\Zen...?\Excuse me, Lord Brother.\Mitsuhide, Kiki. Let's go. response:	U-Um, you're Prince Zen's big brother... right?
context: Zen...\Very well, we'll do as you say.\See you later, Shirayuki.\I'll go see you, okay?\Zen...?\Excuse me, Lord Brother.\Mitsuhide, Kiki. Let's go.\U-Um, you're Prince Zen's big brother... right? response:	That's a refreshing way to address me.
context: Very well, we'll do as you say.\See you later, Shirayuki.\I'll go see you, okay?\Zen...?\Excuse me, Lord Brother.\Mitsuhide, Kiki. Let's go.\U-Um, you're Prince Zen's big brother... right?\That's a refreshing way to address me. response:	Did you summon me because of the Laxdo incident you spoke of earlier?
context: See you later, Shirayuki.\I'll go see you, okay?\Zen...?\Excuse me, Lord Brother.\Mitsuhide, Kiki. Let's go.\U-Um, you're Prince Zen's big brother... right?\That's a refreshing way to address me.\Did you summon me because of the Laxdo incident you spoke of earlier? response:	Nope.
context: I'll go see you, okay?\Zen...?\Excuse me, Lord Brother.\Mitsuhide, Kiki. Let's go.\U-Um, you're Prince Zen's big brother... right?\That's a refreshing way to address me.\Did you summon me because of the Laxdo incident you spoke of earlier?\Nope. response:	Then, why would you ask an outsider like me-
context: Zen...?\Excuse me, Lord Brother.\Mitsuhide, Kiki. Let's go.\U-Um, you're Prince Zen's big brother... right?\That's a refreshing way to address me.\Did you summon me because of the Laxdo incident you spoke of earlier?\Nope.\Then, why would you ask an outsider like me- response:	You are Zen's friend, and a favorite of his, right?
context: Excuse me, Lord Brother.\Mitsuhide, Kiki. Let's go.\U-Um, you're Prince Zen's big brother... right?\That's a refreshing way to address me.\Did you summon me because of the Laxdo incident you spoke of earlier?\Nope.\Then, why would you ask an outsider like me-\You are Zen's friend, and a favorite of his, right? response:	For Zen, from the royal family, to have a friend and keep her in the castle-
context: Mitsuhide, Kiki. Let's go.\U-Um, you're Prince Zen's big brother... right?\That's a refreshing way to address me.\Did you summon me because of the Laxdo incident you spoke of earlier?\Nope.\Then, why would you ask an outsider like me-\You are Zen's friend, and a favorite of his, right?\For Zen, from the royal family, to have a friend and keep her in the castle- response:	Anyone who hears of this would be interested...
context: U-Um, you're Prince Zen's big brother... right?\That's a refreshing way to address me.\Did you summon me because of the Laxdo incident you spoke of earlier?\Nope.\Then, why would you ask an outsider like me-\You are Zen's friend, and a favorite of his, right?\For Zen, from the royal family, to have a friend and keep her in the castle-\Anyone who hears of this would be interested... response:	I have high hopes, as well.
context: That's a refreshing way to address me.\Did you summon me because of the Laxdo incident you spoke of earlier?\Nope.\Then, why would you ask an outsider like me-\You are Zen's friend, and a favorite of his, right?\For Zen, from the royal family, to have a friend and keep her in the castle-\Anyone who hears of this would be interested...\I have high hopes, as well. response:	You must have something Zen deems very necessary, huh?
context: Did you summon me because of the Laxdo incident you spoke of earlier?\Nope.\Then, why would you ask an outsider like me-\You are Zen's friend, and a favorite of his, right?\For Zen, from the royal family, to have a friend and keep her in the castle-\Anyone who hears of this would be interested...\I have high hopes, as well.\You must have something Zen deems very necessary, huh? response:	I cannot answer whether or not it is something that would be evident to others.
context: Nope.\Then, why would you ask an outsider like me-\You are Zen's friend, and a favorite of his, right?\For Zen, from the royal family, to have a friend and keep her in the castle-\Anyone who hears of this would be interested...\I have high hopes, as well.\You must have something Zen deems very necessary, huh?\I cannot answer whether or not it is something that would be evident to others. response:	I see.
context: Then, why would you ask an outsider like me-\You are Zen's friend, and a favorite of his, right?\For Zen, from the royal family, to have a friend and keep her in the castle-\Anyone who hears of this would be interested...\I have high hopes, as well.\You must have something Zen deems very necessary, huh?\I cannot answer whether or not it is something that would be evident to others.\I see. response:	Sorry to keep you.
context: You are Zen's friend, and a favorite of his, right?\For Zen, from the royal family, to have a friend and keep her in the castle-\Anyone who hears of this would be interested...\I have high hopes, as well.\You must have something Zen deems very necessary, huh?\I cannot answer whether or not it is something that would be evident to others.\I see.\Sorry to keep you. response:	You are dismissed.
context: For Zen, from the royal family, to have a friend and keep her in the castle-\Anyone who hears of this would be interested...\I have high hopes, as well.\You must have something Zen deems very necessary, huh?\I cannot answer whether or not it is something that would be evident to others.\I see.\Sorry to keep you.\You are dismissed. response:	Yes, sir.
context: Anyone who hears of this would be interested...\I have high hopes, as well.\You must have something Zen deems very necessary, huh?\I cannot answer whether or not it is something that would be evident to others.\I see.\Sorry to keep you.\You are dismissed.\Yes, sir. response:	If you weren't being humble just now,
context: I have high hopes, as well.\You must have something Zen deems very necessary, huh?\I cannot answer whether or not it is something that would be evident to others.\I see.\Sorry to keep you.\You are dismissed.\Yes, sir.\If you weren't being humble just now, response:	then that means he happily invited a girl with strange hair from a foreign country into the castle,
context: You must have something Zen deems very necessary, huh?\I cannot answer whether or not it is something that would be evident to others.\I see.\Sorry to keep you.\You are dismissed.\Yes, sir.\If you weren't being humble just now,\then that means he happily invited a girl with strange hair from a foreign country into the castle, response:	and he's become a good-for-nothing prince.
context: I cannot answer whether or not it is something that would be evident to others.\I see.\Sorry to keep you.\You are dismissed.\Yes, sir.\If you weren't being humble just now,\then that means he happily invited a girl with strange hair from a foreign country into the castle,\and he's become a good-for-nothing prince. response:	What is it?
context: I see.\Sorry to keep you.\You are dismissed.\Yes, sir.\If you weren't being humble just now,\then that means he happily invited a girl with strange hair from a foreign country into the castle,\and he's become a good-for-nothing prince.\What is it? response:	It's nothing.
context: Sorry to keep you.\You are dismissed.\Yes, sir.\If you weren't being humble just now,\then that means he happily invited a girl with strange hair from a foreign country into the castle,\and he's become a good-for-nothing prince.\What is it?\It's nothing. response:	I wonder what Prince Izana summoned Shirayuki for...
context: You are dismissed.\Yes, sir.\If you weren't being humble just now,\then that means he happily invited a girl with strange hair from a foreign country into the castle,\and he's become a good-for-nothing prince.\What is it?\It's nothing.\I wonder what Prince Izana summoned Shirayuki for... response:	Did you hear that? She called me Zen's big brother.
context: Yes, sir.\If you weren't being humble just now,\then that means he happily invited a girl with strange hair from a foreign country into the castle,\and he's become a good-for-nothing prince.\What is it?\It's nothing.\I wonder what Prince Izana summoned Shirayuki for...\Did you hear that? She called me Zen's big brother. response:	That was kind of funny, at least.
context: If you weren't being humble just now,\then that means he happily invited a girl with strange hair from a foreign country into the castle,\and he's become a good-for-nothing prince.\What is it?\It's nothing.\I wonder what Prince Izana summoned Shirayuki for...\Did you hear that? She called me Zen's big brother.\That was kind of funny, at least. response:	Now...
context: then that means he happily invited a girl with strange hair from a foreign country into the castle,\and he's become a good-for-nothing prince.\What is it?\It's nothing.\I wonder what Prince Izana summoned Shirayuki for...\Did you hear that? She called me Zen's big brother.\That was kind of funny, at least.\Now... response:	Shall we finish this up all at once?
context: and he's become a good-for-nothing prince.\What is it?\It's nothing.\I wonder what Prince Izana summoned Shirayuki for...\Did you hear that? She called me Zen's big brother.\That was kind of funny, at least.\Now...\Shall we finish this up all at once? response:	Oh, I wanna go home.
context: What is it?\It's nothing.\I wonder what Prince Izana summoned Shirayuki for...\Did you hear that? She called me Zen's big brother.\That was kind of funny, at least.\Now...\Shall we finish this up all at once?\Oh, I wanna go home. response:	What are you saying so soon after arriving?
context: It's nothing.\I wonder what Prince Izana summoned Shirayuki for...\Did you hear that? She called me Zen's big brother.\That was kind of funny, at least.\Now...\Shall we finish this up all at once?\Oh, I wanna go home.\What are you saying so soon after arriving? response:	I'm saying this because I arrived!
context: I wonder what Prince Izana summoned Shirayuki for...\Did you hear that? She called me Zen's big brother.\That was kind of funny, at least.\Now...\Shall we finish this up all at once?\Oh, I wanna go home.\What are you saying so soon after arriving?\I'm saying this because I arrived! response:	Prince Izana went out of his way to summon you today to deepen your friendship.
context: Did you hear that? She called me Zen's big brother.\That was kind of funny, at least.\Now...\Shall we finish this up all at once?\Oh, I wanna go home.\What are you saying so soon after arriving?\I'm saying this because I arrived!\Prince Izana went out of his way to summon you today to deepen your friendship. response:	Besides, it is also important for your two countries.
context: That was kind of funny, at least.\Now...\Shall we finish this up all at once?\Oh, I wanna go home.\What are you saying so soon after arriving?\I'm saying this because I arrived!\Prince Izana went out of his way to summon you today to deepen your friendship.\Besides, it is also important for your two countries. response:	I know! But why invite just me, now, after all this time?
context: Now...\Shall we finish this up all at once?\Oh, I wanna go home.\What are you saying so soon after arriving?\I'm saying this because I arrived!\Prince Izana went out of his way to summon you today to deepen your friendship.\Besides, it is also important for your two countries.\I know! But why invite just me, now, after all this time? response:	Owww...
context: Shall we finish this up all at once?\Oh, I wanna go home.\What are you saying so soon after arriving?\I'm saying this because I arrived!\Prince Izana went out of his way to summon you today to deepen your friendship.\Besides, it is also important for your two countries.\I know! But why invite just me, now, after all this time?\Owww... response:	Pretending to be sick?
context: Oh, I wanna go home.\What are you saying so soon after arriving?\I'm saying this because I arrived!\Prince Izana went out of his way to summon you today to deepen your friendship.\Besides, it is also important for your two countries.\I know! But why invite just me, now, after all this time?\Owww...\Pretending to be sick? response:	No, I'm not!
context: What are you saying so soon after arriving?\I'm saying this because I arrived!\Prince Izana went out of his way to summon you today to deepen your friendship.\Besides, it is also important for your two countries.\I know! But why invite just me, now, after all this time?\Owww...\Pretending to be sick?\No, I'm not! response:	I am the second prince, Zen Wisteria. Nice to meet you.
context: I'm saying this because I arrived!\Prince Izana went out of his way to summon you today to deepen your friendship.\Besides, it is also important for your two countries.\I know! But why invite just me, now, after all this time?\Owww...\Pretending to be sick?\No, I'm not!\I am the second prince, Zen Wisteria. Nice to meet you. response:	Uh... Well, well. I am Raj Schenazade of Tanbarun!
context: Prince Izana went out of his way to summon you today to deepen your friendship.\Besides, it is also important for your two countries.\I know! But why invite just me, now, after all this time?\Owww...\Pretending to be sick?\No, I'm not!\I am the second prince, Zen Wisteria. Nice to meet you.\Uh... Well, well. I am Raj Schenazade of Tanbarun! response:	I am honored to make your acquaintance.
context: Besides, it is also important for your two countries.\I know! But why invite just me, now, after all this time?\Owww...\Pretending to be sick?\No, I'm not!\I am the second prince, Zen Wisteria. Nice to meet you.\Uh... Well, well. I am Raj Schenazade of Tanbarun!\I am honored to make your acquaintance. response:	As am I.
context: I know! But why invite just me, now, after all this time?\Owww...\Pretending to be sick?\No, I'm not!\I am the second prince, Zen Wisteria. Nice to meet you.\Uh... Well, well. I am Raj Schenazade of Tanbarun!\I am honored to make your acquaintance.\As am I. response:	I never thought that Prince Izana would invite Prince Raj.
context: Owww...\Pretending to be sick?\No, I'm not!\I am the second prince, Zen Wisteria. Nice to meet you.\Uh... Well, well. I am Raj Schenazade of Tanbarun!\I am honored to make your acquaintance.\As am I.\I never thought that Prince Izana would invite Prince Raj. response:	Even though he's a scandalous and hopeless prince
context: Pretending to be sick?\No, I'm not!\I am the second prince, Zen Wisteria. Nice to meet you.\Uh... Well, well. I am Raj Schenazade of Tanbarun!\I am honored to make your acquaintance.\As am I.\I never thought that Prince Izana would invite Prince Raj.\Even though he's a scandalous and hopeless prince response:	who wanted to force a town girl to be his concubine,
context: No, I'm not!\I am the second prince, Zen Wisteria. Nice to meet you.\Uh... Well, well. I am Raj Schenazade of Tanbarun!\I am honored to make your acquaintance.\As am I.\I never thought that Prince Izana would invite Prince Raj.\Even though he's a scandalous and hopeless prince\who wanted to force a town girl to be his concubine, response:	and then sent her poisoned apples...
context: I am the second prince, Zen Wisteria. Nice to meet you.\Uh... Well, well. I am Raj Schenazade of Tanbarun!\I am honored to make your acquaintance.\As am I.\I never thought that Prince Izana would invite Prince Raj.\Even though he's a scandalous and hopeless prince\who wanted to force a town girl to be his concubine,\and then sent her poisoned apples... response:	You've got a sharp tongue...
context: Uh... Well, well. I am Raj Schenazade of Tanbarun!\I am honored to make your acquaintance.\As am I.\I never thought that Prince Izana would invite Prince Raj.\Even though he's a scandalous and hopeless prince\who wanted to force a town girl to be his concubine,\and then sent her poisoned apples...\You've got a sharp tongue... response:	It was after he summoned Shirayuki. It bothers me.
context: I am honored to make your acquaintance.\As am I.\I never thought that Prince Izana would invite Prince Raj.\Even though he's a scandalous and hopeless prince\who wanted to force a town girl to be his concubine,\and then sent her poisoned apples...\You've got a sharp tongue...\It was after he summoned Shirayuki. It bothers me. response:	Yeah. Zen also said there must be a reason for it.
context: As am I.\I never thought that Prince Izana would invite Prince Raj.\Even though he's a scandalous and hopeless prince\who wanted to force a town girl to be his concubine,\and then sent her poisoned apples...\You've got a sharp tongue...\It was after he summoned Shirayuki. It bothers me.\Yeah. Zen also said there must be a reason for it. response:	What in the world is he thinking?
context: I never thought that Prince Izana would invite Prince Raj.\Even though he's a scandalous and hopeless prince\who wanted to force a town girl to be his concubine,\and then sent her poisoned apples...\You've got a sharp tongue...\It was after he summoned Shirayuki. It bothers me.\Yeah. Zen also said there must be a reason for it.\What in the world is he thinking? response:	Since we have the chance to meet like this, let's dispense with the formalities.
context: Even though he's a scandalous and hopeless prince\who wanted to force a town girl to be his concubine,\and then sent her poisoned apples...\You've got a sharp tongue...\It was after he summoned Shirayuki. It bothers me.\Yeah. Zen also said there must be a reason for it.\What in the world is he thinking?\Since we have the chance to meet like this, let's dispense with the formalities. response:	Come, let us go to the garden.
context: who wanted to force a town girl to be his concubine,\and then sent her poisoned apples...\You've got a sharp tongue...\It was after he summoned Shirayuki. It bothers me.\Yeah. Zen also said there must be a reason for it.\What in the world is he thinking?\Since we have the chance to meet like this, let's dispense with the formalities.\Come, let us go to the garden. response:	Are you curious?
context: and then sent her poisoned apples...\You've got a sharp tongue...\It was after he summoned Shirayuki. It bothers me.\Yeah. Zen also said there must be a reason for it.\What in the world is he thinking?\Since we have the chance to meet like this, let's dispense with the formalities.\Come, let us go to the garden.\Are you curious? response:	Why are you here?
context: You've got a sharp tongue...\It was after he summoned Shirayuki. It bothers me.\Yeah. Zen also said there must be a reason for it.\What in the world is he thinking?\Since we have the chance to meet like this, let's dispense with the formalities.\Come, let us go to the garden.\Are you curious?\Why are you here? response:	I got out of guard duty.
context: It was after he summoned Shirayuki. It bothers me.\Yeah. Zen also said there must be a reason for it.\What in the world is he thinking?\Since we have the chance to meet like this, let's dispense with the formalities.\Come, let us go to the garden.\Are you curious?\Why are you here?\I got out of guard duty. response:	Master and the others have been acting strange lately.
context: Yeah. Zen also said there must be a reason for it.\What in the world is he thinking?\Since we have the chance to meet like this, let's dispense with the formalities.\Come, let us go to the garden.\Are you curious?\Why are you here?\I got out of guard duty.\Master and the others have been acting strange lately. response:	You were born in Tanbarun, right?
context: What in the world is he thinking?\Since we have the chance to meet like this, let's dispense with the formalities.\Come, let us go to the garden.\Are you curious?\Why are you here?\I got out of guard duty.\Master and the others have been acting strange lately.\You were born in Tanbarun, right? response:	Did something happen between you and Prince Raj?
context: Since we have the chance to meet like this, let's dispense with the formalities.\Come, let us go to the garden.\Are you curious?\Why are you here?\I got out of guard duty.\Master and the others have been acting strange lately.\You were born in Tanbarun, right?\Did something happen between you and Prince Raj? response:	Anyway, that's why I came to get you, Miss.
context: Come, let us go to the garden.\Are you curious?\Why are you here?\I got out of guard duty.\Master and the others have been acting strange lately.\You were born in Tanbarun, right?\Did something happen between you and Prince Raj?\Anyway, that's why I came to get you, Miss. response:	Let's go spy on them!
context: Are you curious?\Why are you here?\I got out of guard duty.\Master and the others have been acting strange lately.\You were born in Tanbarun, right?\Did something happen between you and Prince Raj?\Anyway, that's why I came to get you, Miss.\Let's go spy on them! response:	Huh? W-Wai-
context: Why are you here?\I got out of guard duty.\Master and the others have been acting strange lately.\You were born in Tanbarun, right?\Did something happen between you and Prince Raj?\Anyway, that's why I came to get you, Miss.\Let's go spy on them!\Huh? W-Wai- response:	What's going on here?
context: I got out of guard duty.\Master and the others have been acting strange lately.\You were born in Tanbarun, right?\Did something happen between you and Prince Raj?\Anyway, that's why I came to get you, Miss.\Let's go spy on them!\Huh? W-Wai-\What's going on here? response:	Want some?
context: Master and the others have been acting strange lately.\You were born in Tanbarun, right?\Did something happen between you and Prince Raj?\Anyway, that's why I came to get you, Miss.\Let's go spy on them!\Huh? W-Wai-\What's going on here?\Want some? response:	All right, we can hear them.
context: You were born in Tanbarun, right?\Did something happen between you and Prince Raj?\Anyway, that's why I came to get you, Miss.\Let's go spy on them!\Huh? W-Wai-\What's going on here?\Want some?\All right, we can hear them. response:	Prince Zen, I hear you have a new attendant.
context: Did something happen between you and Prince Raj?\Anyway, that's why I came to get you, Miss.\Let's go spy on them!\Huh? W-Wai-\What's going on here?\Want some?\All right, we can hear them.\Prince Zen, I hear you have a new attendant. response:	Lord Haruka. Did my brother say that?
context: Anyway, that's why I came to get you, Miss.\Let's go spy on them!\Huh? W-Wai-\What's going on here?\Want some?\All right, we can hear them.\Prince Zen, I hear you have a new attendant.\Lord Haruka. Did my brother say that? response:	Yes.
context: Let's go spy on them!\Huh? W-Wai-\What's going on here?\Want some?\All right, we can hear them.\Prince Zen, I hear you have a new attendant.\Lord Haruka. Did my brother say that?\Yes. response:	He is very nimble and skilled. An interesting man.
context: Huh? W-Wai-\What's going on here?\Want some?\All right, we can hear them.\Prince Zen, I hear you have a new attendant.\Lord Haruka. Did my brother say that?\Yes.\He is very nimble and skilled. An interesting man. response:	As long as he is ready to fight when necessary.
context: What's going on here?\Want some?\All right, we can hear them.\Prince Zen, I hear you have a new attendant.\Lord Haruka. Did my brother say that?\Yes.\He is very nimble and skilled. An interesting man.\As long as he is ready to fight when necessary. response:	We cannot have someone by your side who does not pay attention to his surroundings.
context: Want some?\All right, we can hear them.\Prince Zen, I hear you have a new attendant.\Lord Haruka. Did my brother say that?\Yes.\He is very nimble and skilled. An interesting man.\As long as he is ready to fight when necessary.\We cannot have someone by your side who does not pay attention to his surroundings. response:	Zen!
context: All right, we can hear them.\Prince Zen, I hear you have a new attendant.\Lord Haruka. Did my brother say that?\Yes.\He is very nimble and skilled. An interesting man.\As long as he is ready to fight when necessary.\We cannot have someone by your side who does not pay attention to his surroundings.\Zen! response:	Yes?
context: Prince Zen, I hear you have a new attendant.\Lord Haruka. Did my brother say that?\Yes.\He is very nimble and skilled. An interesting man.\As long as he is ready to fight when necessary.\We cannot have someone by your side who does not pay attention to his surroundings.\Zen!\Yes? response:	I was just wondering what you two talked about when you went to greet him.
context: Lord Haruka. Did my brother say that?\Yes.\He is very nimble and skilled. An interesting man.\As long as he is ready to fight when necessary.\We cannot have someone by your side who does not pay attention to his surroundings.\Zen!\Yes?\I was just wondering what you two talked about when you went to greet him. response:	Nothing important.
context: Yes.\He is very nimble and skilled. An interesting man.\As long as he is ready to fight when necessary.\We cannot have someone by your side who does not pay attention to his surroundings.\Zen!\Yes?\I was just wondering what you two talked about when you went to greet him.\Nothing important. response:	He's right. We just met.
context: He is very nimble and skilled. An interesting man.\As long as he is ready to fight when necessary.\We cannot have someone by your side who does not pay attention to his surroundings.\Zen!\Yes?\I was just wondering what you two talked about when you went to greet him.\Nothing important.\He's right. We just met. response:	Oh?
context: As long as he is ready to fight when necessary.\We cannot have someone by your side who does not pay attention to his surroundings.\Zen!\Yes?\I was just wondering what you two talked about when you went to greet him.\Nothing important.\He's right. We just met.\Oh? response:	By the way, Raj, I heard you had fallen for a red-haired-
context: We cannot have someone by your side who does not pay attention to his surroundings.\Zen!\Yes?\I was just wondering what you two talked about when you went to greet him.\Nothing important.\He's right. We just met.\Oh?\By the way, Raj, I heard you had fallen for a red-haired- response:	The girl is in this castle right now.
context: Zen!\Yes?\I was just wondering what you two talked about when you went to greet him.\Nothing important.\He's right. We just met.\Oh?\By the way, Raj, I heard you had fallen for a red-haired-\The girl is in this castle right now. response:	Do you remember her name?
context: Yes?\I was just wondering what you two talked about when you went to greet him.\Nothing important.\He's right. We just met.\Oh?\By the way, Raj, I heard you had fallen for a red-haired-\The girl is in this castle right now.\Do you remember her name? response:	Oh... the red-haired...
context: I was just wondering what you two talked about when you went to greet him.\Nothing important.\He's right. We just met.\Oh?\By the way, Raj, I heard you had fallen for a red-haired-\The girl is in this castle right now.\Do you remember her name?\Oh... the red-haired... response:	That girl, huh...?
context: Nothing important.\He's right. We just met.\Oh?\By the way, Raj, I heard you had fallen for a red-haired-\The girl is in this castle right now.\Do you remember her name?\Oh... the red-haired...\That girl, huh...? response:	You can at least say her name, can't you?
context: He's right. We just met.\Oh?\By the way, Raj, I heard you had fallen for a red-haired-\The girl is in this castle right now.\Do you remember her name?\Oh... the red-haired...\That girl, huh...?\You can at least say her name, can't you? response:	It was Shirayuki... wasn't it?
context: Oh?\By the way, Raj, I heard you had fallen for a red-haired-\The girl is in this castle right now.\Do you remember her name?\Oh... the red-haired...\That girl, huh...?\You can at least say her name, can't you?\It was Shirayuki... wasn't it? response:	I don't like where this is going.
context: By the way, Raj, I heard you had fallen for a red-haired-\The girl is in this castle right now.\Do you remember her name?\Oh... the red-haired...\That girl, huh...?\You can at least say her name, can't you?\It was Shirayuki... wasn't it?\I don't like where this is going. response:	I heard that the girl left you,
context: The girl is in this castle right now.\Do you remember her name?\Oh... the red-haired...\That girl, huh...?\You can at least say her name, can't you?\It was Shirayuki... wasn't it?\I don't like where this is going.\I heard that the girl left you, response:	but if you have any lingering affection, I can prepare a seat for her here.
context: Do you remember her name?\Oh... the red-haired...\That girl, huh...?\You can at least say her name, can't you?\It was Shirayuki... wasn't it?\I don't like where this is going.\I heard that the girl left you,\but if you have any lingering affection, I can prepare a seat for her here. response:	Lord Brother, you are reading too much into things.
context: Oh... the red-haired...\That girl, huh...?\You can at least say her name, can't you?\It was Shirayuki... wasn't it?\I don't like where this is going.\I heard that the girl left you,\but if you have any lingering affection, I can prepare a seat for her here.\Lord Brother, you are reading too much into things. response:	Am I? It's a good chance, isn't it?
context: That girl, huh...?\You can at least say her name, can't you?\It was Shirayuki... wasn't it?\I don't like where this is going.\I heard that the girl left you,\but if you have any lingering affection, I can prepare a seat for her here.\Lord Brother, you are reading too much into things.\Am I? It's a good chance, isn't it? response:	The girl might want to go back to her home country, you know?
context: You can at least say her name, can't you?\It was Shirayuki... wasn't it?\I don't like where this is going.\I heard that the girl left you,\but if you have any lingering affection, I can prepare a seat for her here.\Lord Brother, you are reading too much into things.\Am I? It's a good chance, isn't it?\The girl might want to go back to her home country, you know? response:	Lord Brother!
context: It was Shirayuki... wasn't it?\I don't like where this is going.\I heard that the girl left you,\but if you have any lingering affection, I can prepare a seat for her here.\Lord Brother, you are reading too much into things.\Am I? It's a good chance, isn't it?\The girl might want to go back to her home country, you know?\Lord Brother! response:	Hey, wait, their conversation is turning into a bad joke...
