context: I wonder why the sky looks so lonely? response:	This is Edolas after Natsu and the others left.
context: The Great Demon Lord broke my roof! Can you repair it?\We don't got nearly enough brick-layers.\Someone help out!\We'd be happy to!\They're telling us to do things like fix the roof...\And baking bricks, too...\Witches...\Now, earn that cash! response:	She's too cruel...
context: We don't got nearly enough brick-layers.\Someone help out!\We'd be happy to!\They're telling us to do things like fix the roof...\And baking bricks, too...\Witches...\Now, earn that cash!\She's too cruel... response:	On the other hand, here is Earthland's Fairy Tail.
context: Someone help out!\We'd be happy to!\They're telling us to do things like fix the roof...\And baking bricks, too...\Witches...\Now, earn that cash!\She's too cruel...\On the other hand, here is Earthland's Fairy Tail. response:	And then...
context: We'd be happy to!\They're telling us to do things like fix the roof...\And baking bricks, too...\Witches...\Now, earn that cash!\She's too cruel...\On the other hand, here is Earthland's Fairy Tail.\And then... response:	S-Seriously?
context: They're telling us to do things like fix the roof...\And baking bricks, too...\Witches...\Now, earn that cash!\She's too cruel...\On the other hand, here is Earthland's Fairy Tail.\And then...\S-Seriously? response:	Y-You're alive?!
context: And baking bricks, too...\Witches...\Now, earn that cash!\She's too cruel...\On the other hand, here is Earthland's Fairy Tail.\And then...\S-Seriously?\Y-You're alive?! response:	Lisanna!
context: Witches...\Now, earn that cash!\She's too cruel...\On the other hand, here is Earthland's Fairy Tail.\And then...\S-Seriously?\Y-You're alive?!\Lisanna! response:	Don't you dare touch her with your filthy mitts!
context: Now, earn that cash!\She's too cruel...\On the other hand, here is Earthland's Fairy Tail.\And then...\S-Seriously?\Y-You're alive?!\Lisanna!\Don't you dare touch her with your filthy mitts! response:	That's the same reaction I had...
context: She's too cruel...\On the other hand, here is Earthland's Fairy Tail.\And then...\S-Seriously?\Y-You're alive?!\Lisanna!\Don't you dare touch her with your filthy mitts!\That's the same reaction I had... response:	Yeah!
context: On the other hand, here is Earthland's Fairy Tail.\And then...\S-Seriously?\Y-You're alive?!\Lisanna!\Don't you dare touch her with your filthy mitts!\That's the same reaction I had...\Yeah! response:	Oh, my...
context: And then...\S-Seriously?\Y-You're alive?!\Lisanna!\Don't you dare touch her with your filthy mitts!\That's the same reaction I had...\Yeah!\Oh, my... response:	Thank goodness. The guild's just like it was before.
context: S-Seriously?\Y-You're alive?!\Lisanna!\Don't you dare touch her with your filthy mitts!\That's the same reaction I had...\Yeah!\Oh, my...\Thank goodness. The guild's just like it was before. response:	I see. Looks like no one knows anything about the Anima.
context: Y-You're alive?!\Lisanna!\Don't you dare touch her with your filthy mitts!\That's the same reaction I had...\Yeah!\Oh, my...\Thank goodness. The guild's just like it was before.\I see. Looks like no one knows anything about the Anima. response:	Anyway, what's important is that everyone is safe.
context: Lisanna!\Don't you dare touch her with your filthy mitts!\That's the same reaction I had...\Yeah!\Oh, my...\Thank goodness. The guild's just like it was before.\I see. Looks like no one knows anything about the Anima.\Anyway, what's important is that everyone is safe. response:	This is messed up.
context: Don't you dare touch her with your filthy mitts!\That's the same reaction I had...\Yeah!\Oh, my...\Thank goodness. The guild's just like it was before.\I see. Looks like no one knows anything about the Anima.\Anyway, what's important is that everyone is safe.\This is messed up. response:	So, this is a wizard's guild...
context: That's the same reaction I had...\Yeah!\Oh, my...\Thank goodness. The guild's just like it was before.\I see. Looks like no one knows anything about the Anima.\Anyway, what's important is that everyone is safe.\This is messed up.\So, this is a wizard's guild... response:	Lisanna!
context: Yeah!\Oh, my...\Thank goodness. The guild's just like it was before.\I see. Looks like no one knows anything about the Anima.\Anyway, what's important is that everyone is safe.\This is messed up.\So, this is a wizard's guild...\Lisanna! response:	Master!
context: Oh, my...\Thank goodness. The guild's just like it was before.\I see. Looks like no one knows anything about the Anima.\Anyway, what's important is that everyone is safe.\This is messed up.\So, this is a wizard's guild...\Lisanna!\Master! response:	I believed...
context: Thank goodness. The guild's just like it was before.\I see. Looks like no one knows anything about the Anima.\Anyway, what's important is that everyone is safe.\This is messed up.\So, this is a wizard's guild...\Lisanna!\Master!\I believed... response:	Everyone raised in this guild is a child of this guild.
context: I see. Looks like no one knows anything about the Anima.\Anyway, what's important is that everyone is safe.\This is messed up.\So, this is a wizard's guild...\Lisanna!\Master!\I believed...\Everyone raised in this guild is a child of this guild. response:	And what parent is there that doesn't worry about their child?
context: Anyway, what's important is that everyone is safe.\This is messed up.\So, this is a wizard's guild...\Lisanna!\Master!\I believed...\Everyone raised in this guild is a child of this guild.\And what parent is there that doesn't worry about their child? response:	And what parent is there that doesn't believe in their child?
context: This is messed up.\So, this is a wizard's guild...\Lisanna!\Master!\I believed...\Everyone raised in this guild is a child of this guild.\And what parent is there that doesn't worry about their child?\And what parent is there that doesn't believe in their child? response:	You can tell me all about what happened later.
context: So, this is a wizard's guild...\Lisanna!\Master!\I believed...\Everyone raised in this guild is a child of this guild.\And what parent is there that doesn't worry about their child?\And what parent is there that doesn't believe in their child?\You can tell me all about what happened later. response:	You two, Natsu...
context: Lisanna!\Master!\I believed...\Everyone raised in this guild is a child of this guild.\And what parent is there that doesn't worry about their child?\And what parent is there that doesn't believe in their child?\You can tell me all about what happened later.\You two, Natsu... response:	Sure, Gramps!
context: Master!\I believed...\Everyone raised in this guild is a child of this guild.\And what parent is there that doesn't worry about their child?\And what parent is there that doesn't believe in their child?\You can tell me all about what happened later.\You two, Natsu...\Sure, Gramps! response:	Anyway, you did great in coming home!
context: I believed...\Everyone raised in this guild is a child of this guild.\And what parent is there that doesn't worry about their child?\And what parent is there that doesn't believe in their child?\You can tell me all about what happened later.\You two, Natsu...\Sure, Gramps!\Anyway, you did great in coming home! response:	Master...
context: Everyone raised in this guild is a child of this guild.\And what parent is there that doesn't worry about their child?\And what parent is there that doesn't believe in their child?\You can tell me all about what happened later.\You two, Natsu...\Sure, Gramps!\Anyway, you did great in coming home!\Master... response:	I am back home, aren't I?
context: And what parent is there that doesn't worry about their child?\And what parent is there that doesn't believe in their child?\You can tell me all about what happened later.\You two, Natsu...\Sure, Gramps!\Anyway, you did great in coming home!\Master...\I am back home, aren't I? response:	I'm back home, right?
context: And what parent is there that doesn't believe in their child?\You can tell me all about what happened later.\You two, Natsu...\Sure, Gramps!\Anyway, you did great in coming home!\Master...\I am back home, aren't I?\I'm back home, right? response:	That's right. This will always be your home.
context: You can tell me all about what happened later.\You two, Natsu...\Sure, Gramps!\Anyway, you did great in coming home!\Master...\I am back home, aren't I?\I'm back home, right?\That's right. This will always be your home. response:	I'm home!
context: You two, Natsu...\Sure, Gramps!\Anyway, you did great in coming home!\Master...\I am back home, aren't I?\I'm back home, right?\That's right. This will always be your home.\I'm home! response:	Ack! The Master!
context: Sure, Gramps!\Anyway, you did great in coming home!\Master...\I am back home, aren't I?\I'm back home, right?\That's right. This will always be your home.\I'm home!\Ack! The Master! response:	Lisanna-san, please calm down!
context: Anyway, you did great in coming home!\Master...\I am back home, aren't I?\I'm back home, right?\That's right. This will always be your home.\I'm home!\Ack! The Master!\Lisanna-san, please calm down! response:	Cry all you'd like... Before the party that is.
context: Master...\I am back home, aren't I?\I'm back home, right?\That's right. This will always be your home.\I'm home!\Ack! The Master!\Lisanna-san, please calm down!\Cry all you'd like... Before the party that is. response:	Anyone wanting seconds-kina?
context: I am back home, aren't I?\I'm back home, right?\That's right. This will always be your home.\I'm home!\Ack! The Master!\Lisanna-san, please calm down!\Cry all you'd like... Before the party that is.\Anyone wanting seconds-kina? response:	Kinana-chan!
context: I'm back home, right?\That's right. This will always be your home.\I'm home!\Ack! The Master!\Lisanna-san, please calm down!\Cry all you'd like... Before the party that is.\Anyone wanting seconds-kina?\Kinana-chan! response:	I'd like one over here!
context: That's right. This will always be your home.\I'm home!\Ack! The Master!\Lisanna-san, please calm down!\Cry all you'd like... Before the party that is.\Anyone wanting seconds-kina?\Kinana-chan!\I'd like one over here! response:	Let's live it up together!
context: I'm home!\Ack! The Master!\Lisanna-san, please calm down!\Cry all you'd like... Before the party that is.\Anyone wanting seconds-kina?\Kinana-chan!\I'd like one over here!\Let's live it up together! response:	The guild's changed, too...
context: Ack! The Master!\Lisanna-san, please calm down!\Cry all you'd like... Before the party that is.\Anyone wanting seconds-kina?\Kinana-chan!\I'd like one over here!\Let's live it up together!\The guild's changed, too... response:	You seem a little different too, Mira-nee.
context: Lisanna-san, please calm down!\Cry all you'd like... Before the party that is.\Anyone wanting seconds-kina?\Kinana-chan!\I'd like one over here!\Let's live it up together!\The guild's changed, too...\You seem a little different too, Mira-nee. response:	Do I?
context: Cry all you'd like... Before the party that is.\Anyone wanting seconds-kina?\Kinana-chan!\I'd like one over here!\Let's live it up together!\The guild's changed, too...\You seem a little different too, Mira-nee.\Do I? response:	But Fairy Tail is always Fairy Tail.
context: Anyone wanting seconds-kina?\Kinana-chan!\I'd like one over here!\Let's live it up together!\The guild's changed, too...\You seem a little different too, Mira-nee.\Do I?\But Fairy Tail is always Fairy Tail. response:	Lisanna.
context: Kinana-chan!\I'd like one over here!\Let's live it up together!\The guild's changed, too...\You seem a little different too, Mira-nee.\Do I?\But Fairy Tail is always Fairy Tail.\Lisanna. response:	This is a day to celebrate, Baby!
context: I'd like one over here!\Let's live it up together!\The guild's changed, too...\You seem a little different too, Mira-nee.\Do I?\But Fairy Tail is always Fairy Tail.\Lisanna.\This is a day to celebrate, Baby! response:	I really am glad you are safe.
context: Let's live it up together!\The guild's changed, too...\You seem a little different too, Mira-nee.\Do I?\But Fairy Tail is always Fairy Tail.\Lisanna.\This is a day to celebrate, Baby!\I really am glad you are safe. response:	The Raijinshuu! It's rare to see you in the guild.
context: The guild's changed, too...\You seem a little different too, Mira-nee.\Do I?\But Fairy Tail is always Fairy Tail.\Lisanna.\This is a day to celebrate, Baby!\I really am glad you are safe.\The Raijinshuu! It's rare to see you in the guild. response:	Oh, I wouldn't say that.
context: You seem a little different too, Mira-nee.\Do I?\But Fairy Tail is always Fairy Tail.\Lisanna.\This is a day to celebrate, Baby!\I really am glad you are safe.\The Raijinshuu! It's rare to see you in the guild.\Oh, I wouldn't say that. response:	After all, I myself am...
context: Do I?\But Fairy Tail is always Fairy Tail.\Lisanna.\This is a day to celebrate, Baby!\I really am glad you are safe.\The Raijinshuu! It's rare to see you in the guild.\Oh, I wouldn't say that.\After all, I myself am... response:	Her hairstyle's changed!
context: But Fairy Tail is always Fairy Tail.\Lisanna.\This is a day to celebrate, Baby!\I really am glad you are safe.\The Raijinshuu! It's rare to see you in the guild.\Oh, I wouldn't say that.\After all, I myself am...\Her hairstyle's changed! response:	*gloom*
context: Lisanna.\This is a day to celebrate, Baby!\I really am glad you are safe.\The Raijinshuu! It's rare to see you in the guild.\Oh, I wouldn't say that.\After all, I myself am...\Her hairstyle's changed!\*gloom* response:	So has her's!
context: This is a day to celebrate, Baby!\I really am glad you are safe.\The Raijinshuu! It's rare to see you in the guild.\Oh, I wouldn't say that.\After all, I myself am...\Her hairstyle's changed!\*gloom*\So has her's! response:	Rain?
context: I really am glad you are safe.\The Raijinshuu! It's rare to see you in the guild.\Oh, I wouldn't say that.\After all, I myself am...\Her hairstyle's changed!\*gloom*\So has her's!\Rain? response:	*gloom*
context: The Raijinshuu! It's rare to see you in the guild.\Oh, I wouldn't say that.\After all, I myself am...\Her hairstyle's changed!\*gloom*\So has her's!\Rain?\*gloom* response:	What's wrong with Juvia?
context: Oh, I wouldn't say that.\After all, I myself am...\Her hairstyle's changed!\*gloom*\So has her's!\Rain?\*gloom*\What's wrong with Juvia? response:	She seems down...
context: After all, I myself am...\Her hairstyle's changed!\*gloom*\So has her's!\Rain?\*gloom*\What's wrong with Juvia?\She seems down... response:	*gloom*
context: Her hairstyle's changed!\*gloom*\So has her's!\Rain?\*gloom*\What's wrong with Juvia?\She seems down...\*gloom* response:	In Edolas, it's Gray that's in love with Juvia.
context: *gloom*\So has her's!\Rain?\*gloom*\What's wrong with Juvia?\She seems down...\*gloom*\In Edolas, it's Gray that's in love with Juvia. response:	What?!
context: So has her's!\Rain?\*gloom*\What's wrong with Juvia?\She seems down...\*gloom*\In Edolas, it's Gray that's in love with Juvia.\What?! response:	Maybe the hairstyle?
context: Rain?\*gloom*\What's wrong with Juvia?\She seems down...\*gloom*\In Edolas, it's Gray that's in love with Juvia.\What?!\Maybe the hairstyle? response:	The you over there is...
context: *gloom*\What's wrong with Juvia?\She seems down...\*gloom*\In Edolas, it's Gray that's in love with Juvia.\What?!\Maybe the hairstyle?\The you over there is... response:	Damn, just remembering it makes me...
context: What's wrong with Juvia?\She seems down...\*gloom*\In Edolas, it's Gray that's in love with Juvia.\What?!\Maybe the hairstyle?\The you over there is...\Damn, just remembering it makes me... response:	Tell me already! My sake's gonna go bad.
context: She seems down...\*gloom*\In Edolas, it's Gray that's in love with Juvia.\What?!\Maybe the hairstyle?\The you over there is...\Damn, just remembering it makes me...\Tell me already! My sake's gonna go bad. response:	Juvia wants to go to Edolas!
context: *gloom*\In Edolas, it's Gray that's in love with Juvia.\What?!\Maybe the hairstyle?\The you over there is...\Damn, just remembering it makes me...\Tell me already! My sake's gonna go bad.\Juvia wants to go to Edolas! response:	So that's it...
context: In Edolas, it's Gray that's in love with Juvia.\What?!\Maybe the hairstyle?\The you over there is...\Damn, just remembering it makes me...\Tell me already! My sake's gonna go bad.\Juvia wants to go to Edolas!\So that's it... response:	Me, too.
context: What?!\Maybe the hairstyle?\The you over there is...\Damn, just remembering it makes me...\Tell me already! My sake's gonna go bad.\Juvia wants to go to Edolas!\So that's it...\Me, too. response:	M-Me, too.
context: Maybe the hairstyle?\The you over there is...\Damn, just remembering it makes me...\Tell me already! My sake's gonna go bad.\Juvia wants to go to Edolas!\So that's it...\Me, too.\M-Me, too. response:	This guild's really the best!
context: The you over there is...\Damn, just remembering it makes me...\Tell me already! My sake's gonna go bad.\Juvia wants to go to Edolas!\So that's it...\Me, too.\M-Me, too.\This guild's really the best! response:	So loud!
context: Damn, just remembering it makes me...\Tell me already! My sake's gonna go bad.\Juvia wants to go to Edolas!\So that's it...\Me, too.\M-Me, too.\This guild's really the best!\So loud! response:	Stop making a scene, Natsu!
context: Tell me already! My sake's gonna go bad.\Juvia wants to go to Edolas!\So that's it...\Me, too.\M-Me, too.\This guild's really the best!\So loud!\Stop making a scene, Natsu! response:	Was the Natsu over there like this?
context: Juvia wants to go to Edolas!\So that's it...\Me, too.\M-Me, too.\This guild's really the best!\So loud!\Stop making a scene, Natsu!\Was the Natsu over there like this? response:	My deepest apologizes-kina.
context: So that's it...\Me, too.\M-Me, too.\This guild's really the best!\So loud!\Stop making a scene, Natsu!\Was the Natsu over there like this?\My deepest apologizes-kina. response:	Well, about that.
context: Me, too.\M-Me, too.\This guild's really the best!\So loud!\Stop making a scene, Natsu!\Was the Natsu over there like this?\My deepest apologizes-kina.\Well, about that. response:	I-I'm being bullied by Lucy-san!
context: M-Me, too.\This guild's really the best!\So loud!\Stop making a scene, Natsu!\Was the Natsu over there like this?\My deepest apologizes-kina.\Well, about that.\I-I'm being bullied by Lucy-san! response:	He's like that.
context: This guild's really the best!\So loud!\Stop making a scene, Natsu!\Was the Natsu over there like this?\My deepest apologizes-kina.\Well, about that.\I-I'm being bullied by Lucy-san!\He's like that. response:	What's with that? Hilarious!
context: So loud!\Stop making a scene, Natsu!\Was the Natsu over there like this?\My deepest apologizes-kina.\Well, about that.\I-I'm being bullied by Lucy-san!\He's like that.\What's with that? Hilarious! response:	I totally, totally wanna see that Natsu.
context: Stop making a scene, Natsu!\Was the Natsu over there like this?\My deepest apologizes-kina.\Well, about that.\I-I'm being bullied by Lucy-san!\He's like that.\What's with that? Hilarious!\I totally, totally wanna see that Natsu. response:	My muscles hurt from laughing!
context: Was the Natsu over there like this?\My deepest apologizes-kina.\Well, about that.\I-I'm being bullied by Lucy-san!\He's like that.\What's with that? Hilarious!\I totally, totally wanna see that Natsu.\My muscles hurt from laughing! response:	What a hoot-kina!
context: My deepest apologizes-kina.\Well, about that.\I-I'm being bullied by Lucy-san!\He's like that.\What's with that? Hilarious!\I totally, totally wanna see that Natsu.\My muscles hurt from laughing!\What a hoot-kina! response:	I ain't some freak-show!
context: Well, about that.\I-I'm being bullied by Lucy-san!\He's like that.\What's with that? Hilarious!\I totally, totally wanna see that Natsu.\My muscles hurt from laughing!\What a hoot-kina!\I ain't some freak-show! response:	So cute!
context: I-I'm being bullied by Lucy-san!\He's like that.\What's with that? Hilarious!\I totally, totally wanna see that Natsu.\My muscles hurt from laughing!\What a hoot-kina!\I ain't some freak-show!\So cute! response:	Hey, Happy... Nice work there.
context: He's like that.\What's with that? Hilarious!\I totally, totally wanna see that Natsu.\My muscles hurt from laughing!\What a hoot-kina!\I ain't some freak-show!\So cute!\Hey, Happy... Nice work there. response:	Aye!
context: What's with that? Hilarious!\I totally, totally wanna see that Natsu.\My muscles hurt from laughing!\What a hoot-kina!\I ain't some freak-show!\So cute!\Hey, Happy... Nice work there.\Aye! response:	So then, can you please pulverize the Dragon Slayers that are overly excited and running amok?
context: I totally, totally wanna see that Natsu.\My muscles hurt from laughing!\What a hoot-kina!\I ain't some freak-show!\So cute!\Hey, Happy... Nice work there.\Aye!\So then, can you please pulverize the Dragon Slayers that are overly excited and running amok? response:	Once the party's over.
context: My muscles hurt from laughing!\What a hoot-kina!\I ain't some freak-show!\So cute!\Hey, Happy... Nice work there.\Aye!\So then, can you please pulverize the Dragon Slayers that are overly excited and running amok?\Once the party's over. response:	T-That conversation's pretty dark!
context: What a hoot-kina!\I ain't some freak-show!\So cute!\Hey, Happy... Nice work there.\Aye!\So then, can you please pulverize the Dragon Slayers that are overly excited and running amok?\Once the party's over.\T-That conversation's pretty dark! response:	I ain't waitin' that long!
context: I ain't some freak-show!\So cute!\Hey, Happy... Nice work there.\Aye!\So then, can you please pulverize the Dragon Slayers that are overly excited and running amok?\Once the party's over.\T-That conversation's pretty dark!\I ain't waitin' that long! response:	Let's fight right now!
context: So cute!\Hey, Happy... Nice work there.\Aye!\So then, can you please pulverize the Dragon Slayers that are overly excited and running amok?\Once the party's over.\T-That conversation's pretty dark!\I ain't waitin' that long!\Let's fight right now! response:	Q-Quite a lively guild...
context: Hey, Happy... Nice work there.\Aye!\So then, can you please pulverize the Dragon Slayers that are overly excited and running amok?\Once the party's over.\T-That conversation's pretty dark!\I ain't waitin' that long!\Let's fight right now!\Q-Quite a lively guild... response:	Everyone seems to get the same first impression.
context: Aye!\So then, can you please pulverize the Dragon Slayers that are overly excited and running amok?\Once the party's over.\T-That conversation's pretty dark!\I ain't waitin' that long!\Let's fight right now!\Q-Quite a lively guild...\Everyone seems to get the same first impression. response:	That's what makes it fun!
context: So then, can you please pulverize the Dragon Slayers that are overly excited and running amok?\Once the party's over.\T-That conversation's pretty dark!\I ain't waitin' that long!\Let's fight right now!\Q-Quite a lively guild...\Everyone seems to get the same first impression.\That's what makes it fun! response:	And everyone here has magic power inside their body?
context: Once the party's over.\T-That conversation's pretty dark!\I ain't waitin' that long!\Let's fight right now!\Q-Quite a lively guild...\Everyone seems to get the same first impression.\That's what makes it fun!\And everyone here has magic power inside their body? response:	Incredible...
context: T-That conversation's pretty dark!\I ain't waitin' that long!\Let's fight right now!\Q-Quite a lively guild...\Everyone seems to get the same first impression.\That's what makes it fun!\And everyone here has magic power inside their body?\Incredible... response:	That's right. These are Earthland wizards.
context: I ain't waitin' that long!\Let's fight right now!\Q-Quite a lively guild...\Everyone seems to get the same first impression.\That's what makes it fun!\And everyone here has magic power inside their body?\Incredible...\That's right. These are Earthland wizards. response:	Erza!
context: Let's fight right now!\Q-Quite a lively guild...\Everyone seems to get the same first impression.\That's what makes it fun!\And everyone here has magic power inside their body?\Incredible...\That's right. These are Earthland wizards.\Erza! response:	Oh yeah... In Edolas, you worked with Erza, yes?
context: Q-Quite a lively guild...\Everyone seems to get the same first impression.\That's what makes it fun!\And everyone here has magic power inside their body?\Incredible...\That's right. These are Earthland wizards.\Erza!\Oh yeah... In Edolas, you worked with Erza, yes? response:	And you're still together now.
context: Everyone seems to get the same first impression.\That's what makes it fun!\And everyone here has magic power inside their body?\Incredible...\That's right. These are Earthland wizards.\Erza!\Oh yeah... In Edolas, you worked with Erza, yes?\And you're still together now. response:	But what's important isn't magic itself.
context: That's what makes it fun!\And everyone here has magic power inside their body?\Incredible...\That's right. These are Earthland wizards.\Erza!\Oh yeah... In Edolas, you worked with Erza, yes?\And you're still together now.\But what's important isn't magic itself. response:	It's the heart of the person who uses it.
context: And everyone here has magic power inside their body?\Incredible...\That's right. These are Earthland wizards.\Erza!\Oh yeah... In Edolas, you worked with Erza, yes?\And you're still together now.\But what's important isn't magic itself.\It's the heart of the person who uses it. response:	Isn't that right, Lily?
context: Incredible...\That's right. These are Earthland wizards.\Erza!\Oh yeah... In Edolas, you worked with Erza, yes?\And you're still together now.\But what's important isn't magic itself.\It's the heart of the person who uses it.\Isn't that right, Lily? response:	Even if you are a different person, seeing a familiar face puts me slightly more as easy.
context: That's right. These are Earthland wizards.\Erza!\Oh yeah... In Edolas, you worked with Erza, yes?\And you're still together now.\But what's important isn't magic itself.\It's the heart of the person who uses it.\Isn't that right, Lily?\Even if you are a different person, seeing a familiar face puts me slightly more as easy. response:	Okay, Salamander, little girl!
context: Erza!\Oh yeah... In Edolas, you worked with Erza, yes?\And you're still together now.\But what's important isn't magic itself.\It's the heart of the person who uses it.\Isn't that right, Lily?\Even if you are a different person, seeing a familiar face puts me slightly more as easy.\Okay, Salamander, little girl! response:	Let's have a fight between my Lily, the blue cat, and the white cat!
context: Oh yeah... In Edolas, you worked with Erza, yes?\And you're still together now.\But what's important isn't magic itself.\It's the heart of the person who uses it.\Isn't that right, Lily?\Even if you are a different person, seeing a familiar face puts me slightly more as easy.\Okay, Salamander, little girl!\Let's have a fight between my Lily, the blue cat, and the white cat! response:	Sounds good to me.
context: And you're still together now.\But what's important isn't magic itself.\It's the heart of the person who uses it.\Isn't that right, Lily?\Even if you are a different person, seeing a familiar face puts me slightly more as easy.\Okay, Salamander, little girl!\Let's have a fight between my Lily, the blue cat, and the white cat!\Sounds good to me. response:	Looks like you've got the eye of a bigshot, there...
context: But what's important isn't magic itself.\It's the heart of the person who uses it.\Isn't that right, Lily?\Even if you are a different person, seeing a familiar face puts me slightly more as easy.\Okay, Salamander, little girl!\Let's have a fight between my Lily, the blue cat, and the white cat!\Sounds good to me.\Looks like you've got the eye of a bigshot, there... response:	You'll be fine. Probably.
context: It's the heart of the person who uses it.\Isn't that right, Lily?\Even if you are a different person, seeing a familiar face puts me slightly more as easy.\Okay, Salamander, little girl!\Let's have a fight between my Lily, the blue cat, and the white cat!\Sounds good to me.\Looks like you've got the eye of a bigshot, there...\You'll be fine. Probably. response:	I've been waitin' for you to ask!
context: Isn't that right, Lily?\Even if you are a different person, seeing a familiar face puts me slightly more as easy.\Okay, Salamander, little girl!\Let's have a fight between my Lily, the blue cat, and the white cat!\Sounds good to me.\Looks like you've got the eye of a bigshot, there...\You'll be fine. Probably.\I've been waitin' for you to ask! response:	Well, I sure haven't.
context: Even if you are a different person, seeing a familiar face puts me slightly more as easy.\Okay, Salamander, little girl!\Let's have a fight between my Lily, the blue cat, and the white cat!\Sounds good to me.\Looks like you've got the eye of a bigshot, there...\You'll be fine. Probably.\I've been waitin' for you to ask!\Well, I sure haven't. response:	Just so you know, my Lily is the strongest of the strong!
context: Okay, Salamander, little girl!\Let's have a fight between my Lily, the blue cat, and the white cat!\Sounds good to me.\Looks like you've got the eye of a bigshot, there...\You'll be fine. Probably.\I've been waitin' for you to ask!\Well, I sure haven't.\Just so you know, my Lily is the strongest of the strong! response:	And Happy's the cattiest of the cats, so there!
context: Let's have a fight between my Lily, the blue cat, and the white cat!\Sounds good to me.\Looks like you've got the eye of a bigshot, there...\You'll be fine. Probably.\I've been waitin' for you to ask!\Well, I sure haven't.\Just so you know, my Lily is the strongest of the strong!\And Happy's the cattiest of the cats, so there! response:	Um, I'd lose in an instant.
context: Sounds good to me.\Looks like you've got the eye of a bigshot, there...\You'll be fine. Probably.\I've been waitin' for you to ask!\Well, I sure haven't.\Just so you know, my Lily is the strongest of the strong!\And Happy's the cattiest of the cats, so there!\Um, I'd lose in an instant. response:	Lame... What's with giving up before even trying?
context: Looks like you've got the eye of a bigshot, there...\You'll be fine. Probably.\I've been waitin' for you to ask!\Well, I sure haven't.\Just so you know, my Lily is the strongest of the strong!\And Happy's the cattiest of the cats, so there!\Um, I'd lose in an instant.\Lame... What's with giving up before even trying? response:	S-She's expecting something from me?!
context: You'll be fine. Probably.\I've been waitin' for you to ask!\Well, I sure haven't.\Just so you know, my Lily is the strongest of the strong!\And Happy's the cattiest of the cats, so there!\Um, I'd lose in an instant.\Lame... What's with giving up before even trying?\S-She's expecting something from me?! response:	Enough. I may not look like it now, but I was a Regiment Commander in Edolas.
context: I've been waitin' for you to ask!\Well, I sure haven't.\Just so you know, my Lily is the strongest of the strong!\And Happy's the cattiest of the cats, so there!\Um, I'd lose in an instant.\Lame... What's with giving up before even trying?\S-She's expecting something from me?!\Enough. I may not look like it now, but I was a Regiment Commander in Edolas. response:	Useless fighting leads only to injury.
context: Well, I sure haven't.\Just so you know, my Lily is the strongest of the strong!\And Happy's the cattiest of the cats, so there!\Um, I'd lose in an instant.\Lame... What's with giving up before even trying?\S-She's expecting something from me?!\Enough. I may not look like it now, but I was a Regiment Commander in Edolas.\Useless fighting leads only to injury. response:	True...
context: Just so you know, my Lily is the strongest of the strong!\And Happy's the cattiest of the cats, so there!\Um, I'd lose in an instant.\Lame... What's with giving up before even trying?\S-She's expecting something from me?!\Enough. I may not look like it now, but I was a Regiment Commander in Edolas.\Useless fighting leads only to injury.\True... response:	You're quite mature.
context: And Happy's the cattiest of the cats, so there!\Um, I'd lose in an instant.\Lame... What's with giving up before even trying?\S-She's expecting something from me?!\Enough. I may not look like it now, but I was a Regiment Commander in Edolas.\Useless fighting leads only to injury.\True...\You're quite mature. response:	Aren't they simply being childish?
context: Um, I'd lose in an instant.\Lame... What's with giving up before even trying?\S-She's expecting something from me?!\Enough. I may not look like it now, but I was a Regiment Commander in Edolas.\Useless fighting leads only to injury.\True...\You're quite mature.\Aren't they simply being childish? response:	Anyway, let's all get along, Happy, Carla...
context: Lame... What's with giving up before even trying?\S-She's expecting something from me?!\Enough. I may not look like it now, but I was a Regiment Commander in Edolas.\Useless fighting leads only to injury.\True...\You're quite mature.\Aren't they simply being childish?\Anyway, let's all get along, Happy, Carla... response:	Lily!
context: S-She's expecting something from me?!\Enough. I may not look like it now, but I was a Regiment Commander in Edolas.\Useless fighting leads only to injury.\True...\You're quite mature.\Aren't they simply being childish?\Anyway, let's all get along, Happy, Carla...\Lily! response:	So? Why are the main people fighting?
context: Enough. I may not look like it now, but I was a Regiment Commander in Edolas.\Useless fighting leads only to injury.\True...\You're quite mature.\Aren't they simply being childish?\Anyway, let's all get along, Happy, Carla...\Lily!\So? Why are the main people fighting? response:	Even Gray and Elfman are in the fray.
context: Useless fighting leads only to injury.\True...\You're quite mature.\Aren't they simply being childish?\Anyway, let's all get along, Happy, Carla...\Lily!\So? Why are the main people fighting?\Even Gray and Elfman are in the fray. response:	The fierce clash of naked body against naked body!
context: True...\You're quite mature.\Aren't they simply being childish?\Anyway, let's all get along, Happy, Carla...\Lily!\So? Why are the main people fighting?\Even Gray and Elfman are in the fray.\The fierce clash of naked body against naked body! response:	Juvia wants in!
context: You're quite mature.\Aren't they simply being childish?\Anyway, let's all get along, Happy, Carla...\Lily!\So? Why are the main people fighting?\Even Gray and Elfman are in the fray.\The fierce clash of naked body against naked body!\Juvia wants in! response:	Don't even think about it!
context: Aren't they simply being childish?\Anyway, let's all get along, Happy, Carla...\Lily!\So? Why are the main people fighting?\Even Gray and Elfman are in the fray.\The fierce clash of naked body against naked body!\Juvia wants in!\Don't even think about it! response:	Sometimes cutting loose isn't such a bad idea.
