context: In order to protect something, you need power response:	and to obtain something requires even greater power.
context: Hate to break it to you, but I'm not much of a control artist.\Yeah, but still, I can't miss with these!\Julis! Focus on defense!\Right, I know!\Break down and vanish!\Amagiri Shinmei Style, Intermediate Skill...\Repulsing Crow!\You gotta be kidding me... response:	Julis!
context: Yeah, but still, I can't miss with these!\Julis! Focus on defense!\Right, I know!\Break down and vanish!\Amagiri Shinmei Style, Intermediate Skill...\Repulsing Crow!\You gotta be kidding me...\Julis! response:	Leave it to me!
context: Julis! Focus on defense!\Right, I know!\Break down and vanish!\Amagiri Shinmei Style, Intermediate Skill...\Repulsing Crow!\You gotta be kidding me...\Julis!\Leave it to me! response:	Come out - Gloriosa!
context: Right, I know!\Break down and vanish!\Amagiri Shinmei Style, Intermediate Skill...\Repulsing Crow!\You gotta be kidding me...\Julis!\Leave it to me!\Come out - Gloriosa! response:	I can see right through that trap!
context: Break down and vanish!\Amagiri Shinmei Style, Intermediate Skill...\Repulsing Crow!\You gotta be kidding me...\Julis!\Leave it to me!\Come out - Gloriosa!\I can see right through that trap! response:	That's just a decoy!
context: Amagiri Shinmei Style, Intermediate Skill...\Repulsing Crow!\You gotta be kidding me...\Julis!\Leave it to me!\Come out - Gloriosa!\I can see right through that trap!\That's just a decoy! response:	What the hell?!
context: Repulsing Crow!\You gotta be kidding me...\Julis!\Leave it to me!\Come out - Gloriosa!\I can see right through that trap!\That's just a decoy!\What the hell?! response:	This is the ultimate fire skill in my arsenal of setting-type powers.
context: You gotta be kidding me...\Julis!\Leave it to me!\Come out - Gloriosa!\I can see right through that trap!\That's just a decoy!\What the hell?!\This is the ultimate fire skill in my arsenal of setting-type powers. response:	I hope you enjoy it!
context: Julis!\Leave it to me!\Come out - Gloriosa!\I can see right through that trap!\That's just a decoy!\What the hell?!\This is the ultimate fire skill in my arsenal of setting-type powers.\I hope you enjoy it! response:	Damn!
context: Leave it to me!\Come out - Gloriosa!\I can see right through that trap!\That's just a decoy!\What the hell?!\This is the ultimate fire skill in my arsenal of setting-type powers.\I hope you enjoy it!\Damn! response:	Come out, Rafflesia!
context: Come out - Gloriosa!\I can see right through that trap!\That's just a decoy!\What the hell?!\This is the ultimate fire skill in my arsenal of setting-type powers.\I hope you enjoy it!\Damn!\Come out, Rafflesia! response:	Sister!
context: I can see right through that trap!\That's just a decoy!\What the hell?!\This is the ultimate fire skill in my arsenal of setting-type powers.\I hope you enjoy it!\Damn!\Come out, Rafflesia!\Sister! response:	No way...
context: That's just a decoy!\What the hell?!\This is the ultimate fire skill in my arsenal of setting-type powers.\I hope you enjoy it!\Damn!\Come out, Rafflesia!\Sister!\No way... response:	Don't tell me you held off the blast with the Gravi-Sheath's power?
context: What the hell?!\This is the ultimate fire skill in my arsenal of setting-type powers.\I hope you enjoy it!\Damn!\Come out, Rafflesia!\Sister!\No way...\Don't tell me you held off the blast with the Gravi-Sheath's power? response:	Thank goodness! Sister!
context: This is the ultimate fire skill in my arsenal of setting-type powers.\I hope you enjoy it!\Damn!\Come out, Rafflesia!\Sister!\No way...\Don't tell me you held off the blast with the Gravi-Sheath's power?\Thank goodness! Sister! response:	Sister?
context: I hope you enjoy it!\Damn!\Come out, Rafflesia!\Sister!\No way...\Don't tell me you held off the blast with the Gravi-Sheath's power?\Thank goodness! Sister!\Sister? response:	Sister?
context: Damn!\Come out, Rafflesia!\Sister!\No way...\Don't tell me you held off the blast with the Gravi-Sheath's power?\Thank goodness! Sister!\Sister?\Sister? response:	Not good!
context: Come out, Rafflesia!\Sister!\No way...\Don't tell me you held off the blast with the Gravi-Sheath's power?\Thank goodness! Sister!\Sister?\Sister?\Not good! response:	Wh-What is this?
context: Sister!\No way...\Don't tell me you held off the blast with the Gravi-Sheath's power?\Thank goodness! Sister!\Sister?\Sister?\Not good!\Wh-What is this? response:	What on earth is going on here?
context: No way...\Don't tell me you held off the blast with the Gravi-Sheath's power?\Thank goodness! Sister!\Sister?\Sister?\Not good!\Wh-What is this?\What on earth is going on here? response:	Most likely... that's not Irene.
context: Don't tell me you held off the blast with the Gravi-Sheath's power?\Thank goodness! Sister!\Sister?\Sister?\Not good!\Wh-What is this?\What on earth is going on here?\Most likely... that's not Irene. response:	It's the Gravi-Sheath!
context: Thank goodness! Sister!\Sister?\Sister?\Not good!\Wh-What is this?\What on earth is going on here?\Most likely... that's not Irene.\It's the Gravi-Sheath! response:	What did you say?
context: Sister?\Sister?\Not good!\Wh-What is this?\What on earth is going on here?\Most likely... that's not Irene.\It's the Gravi-Sheath!\What did you say? response:	Anyway, we've got to do something or Priscilla will be in danger!
context: Sister?\Not good!\Wh-What is this?\What on earth is going on here?\Most likely... that's not Irene.\It's the Gravi-Sheath!\What did you say?\Anyway, we've got to do something or Priscilla will be in danger! response:	Ayato!
context: Not good!\Wh-What is this?\What on earth is going on here?\Most likely... that's not Irene.\It's the Gravi-Sheath!\What did you say?\Anyway, we've got to do something or Priscilla will be in danger!\Ayato! response:	Irene!
context: Wh-What is this?\What on earth is going on here?\Most likely... that's not Irene.\It's the Gravi-Sheath!\What did you say?\Anyway, we've got to do something or Priscilla will be in danger!\Ayato!\Irene! response:	Open your eyes, Irene!
context: What on earth is going on here?\Most likely... that's not Irene.\It's the Gravi-Sheath!\What did you say?\Anyway, we've got to do something or Priscilla will be in danger!\Ayato!\Irene!\Open your eyes, Irene! response:	Don't confuse power with what's precious to you!
context: Most likely... that's not Irene.\It's the Gravi-Sheath!\What did you say?\Anyway, we've got to do something or Priscilla will be in danger!\Ayato!\Irene!\Open your eyes, Irene!\Don't confuse power with what's precious to you! response:	Irene! If it's really precious to you, grab it with both hands!
context: It's the Gravi-Sheath!\What did you say?\Anyway, we've got to do something or Priscilla will be in danger!\Ayato!\Irene!\Open your eyes, Irene!\Don't confuse power with what's precious to you!\Irene! If it's really precious to you, grab it with both hands! response:	So which is it that you want right now?!
context: What did you say?\Anyway, we've got to do something or Priscilla will be in danger!\Ayato!\Irene!\Open your eyes, Irene!\Don't confuse power with what's precious to you!\Irene! If it's really precious to you, grab it with both hands!\So which is it that you want right now?! response:	Irene...
context: Anyway, we've got to do something or Priscilla will be in danger!\Ayato!\Irene!\Open your eyes, Irene!\Don't confuse power with what's precious to you!\Irene! If it's really precious to you, grab it with both hands!\So which is it that you want right now?!\Irene... response:	Can you believe those shockwaves?
context: Ayato!\Irene!\Open your eyes, Irene!\Don't confuse power with what's precious to you!\Irene! If it's really precious to you, grab it with both hands!\So which is it that you want right now?!\Irene...\Can you believe those shockwaves? response:	This match isn't over yet!
context: Irene!\Open your eyes, Irene!\Don't confuse power with what's precious to you!\Irene! If it's really precious to you, grab it with both hands!\So which is it that you want right now?!\Irene...\Can you believe those shockwaves?\This match isn't over yet! response:	Well, their school badges haven't pronounced them unconscious yet!
context: Open your eyes, Irene!\Don't confuse power with what's precious to you!\Irene! If it's really precious to you, grab it with both hands!\So which is it that you want right now?!\Irene...\Can you believe those shockwaves?\This match isn't over yet!\Well, their school badges haven't pronounced them unconscious yet! response:	Is this...
context: Don't confuse power with what's precious to you!\Irene! If it's really precious to you, grab it with both hands!\So which is it that you want right now?!\Irene...\Can you believe those shockwaves?\This match isn't over yet!\Well, their school badges haven't pronounced them unconscious yet!\Is this... response:	Didn't you say that you hated being tested?
context: Irene! If it's really precious to you, grab it with both hands!\So which is it that you want right now?!\Irene...\Can you believe those shockwaves?\This match isn't over yet!\Well, their school badges haven't pronounced them unconscious yet!\Is this...\Didn't you say that you hated being tested? response:	Amagiri Shinmei Style, Intermediate Skill...
context: So which is it that you want right now?!\Irene...\Can you believe those shockwaves?\This match isn't over yet!\Well, their school badges haven't pronounced them unconscious yet!\Is this...\Didn't you say that you hated being tested?\Amagiri Shinmei Style, Intermediate Skill... response:	Reverse-gouging Shell!
context: Irene...\Can you believe those shockwaves?\This match isn't over yet!\Well, their school badges haven't pronounced them unconscious yet!\Is this...\Didn't you say that you hated being tested?\Amagiri Shinmei Style, Intermediate Skill...\Reverse-gouging Shell! response:	Game over!
context: Can you believe those shockwaves?\This match isn't over yet!\Well, their school badges haven't pronounced them unconscious yet!\Is this...\Didn't you say that you hated being tested?\Amagiri Shinmei Style, Intermediate Skill...\Reverse-gouging Shell!\Game over! response:	Round 4, Block C...
context: This match isn't over yet!\Well, their school badges haven't pronounced them unconscious yet!\Is this...\Didn't you say that you hated being tested?\Amagiri Shinmei Style, Intermediate Skill...\Reverse-gouging Shell!\Game over!\Round 4, Block C... response:	And the winners of this furious battle are...
context: Well, their school badges haven't pronounced them unconscious yet!\Is this...\Didn't you say that you hated being tested?\Amagiri Shinmei Style, Intermediate Skill...\Reverse-gouging Shell!\Game over!\Round 4, Block C...\And the winners of this furious battle are... response:	Ayato Amagiri and Julis-Alexia von Riessfeld!
context: Is this...\Didn't you say that you hated being tested?\Amagiri Shinmei Style, Intermediate Skill...\Reverse-gouging Shell!\Game over!\Round 4, Block C...\And the winners of this furious battle are...\Ayato Amagiri and Julis-Alexia von Riessfeld! response:	Ayato!
context: Didn't you say that you hated being tested?\Amagiri Shinmei Style, Intermediate Skill...\Reverse-gouging Shell!\Game over!\Round 4, Block C...\And the winners of this furious battle are...\Ayato Amagiri and Julis-Alexia von Riessfeld!\Ayato! response:	Well, I guess that's as much as I could expect.
context: Amagiri Shinmei Style, Intermediate Skill...\Reverse-gouging Shell!\Game over!\Round 4, Block C...\And the winners of this furious battle are...\Ayato Amagiri and Julis-Alexia von Riessfeld!\Ayato!\Well, I guess that's as much as I could expect. response:	Oh, my! Amagiri suddenly looks like he's in trouble!
context: Reverse-gouging Shell!\Game over!\Round 4, Block C...\And the winners of this furious battle are...\Ayato Amagiri and Julis-Alexia von Riessfeld!\Ayato!\Well, I guess that's as much as I could expect.\Oh, my! Amagiri suddenly looks like he's in trouble! response:	Does this mean that he's sustained significant damage?
context: Game over!\Round 4, Block C...\And the winners of this furious battle are...\Ayato Amagiri and Julis-Alexia von Riessfeld!\Ayato!\Well, I guess that's as much as I could expect.\Oh, my! Amagiri suddenly looks like he's in trouble!\Does this mean that he's sustained significant damage? response:	Hmm, I guess...
context: Round 4, Block C...\And the winners of this furious battle are...\Ayato Amagiri and Julis-Alexia von Riessfeld!\Ayato!\Well, I guess that's as much as I could expect.\Oh, my! Amagiri suddenly looks like he's in trouble!\Does this mean that he's sustained significant damage?\Hmm, I guess... response:	No, but this Manadite is clearly...
context: And the winners of this furious battle are...\Ayato Amagiri and Julis-Alexia von Riessfeld!\Ayato!\Well, I guess that's as much as I could expect.\Oh, my! Amagiri suddenly looks like he's in trouble!\Does this mean that he's sustained significant damage?\Hmm, I guess...\No, but this Manadite is clearly... response:	What? Huh?
context: Ayato Amagiri and Julis-Alexia von Riessfeld!\Ayato!\Well, I guess that's as much as I could expect.\Oh, my! Amagiri suddenly looks like he's in trouble!\Does this mean that he's sustained significant damage?\Hmm, I guess...\No, but this Manadite is clearly...\What? Huh? response:	Wh-What on earth was that?
context: Ayato!\Well, I guess that's as much as I could expect.\Oh, my! Amagiri suddenly looks like he's in trouble!\Does this mean that he's sustained significant damage?\Hmm, I guess...\No, but this Manadite is clearly...\What? Huh?\Wh-What on earth was that? response:	So Ayato Amagiri can only maintain that power for a specified length of time.
context: Well, I guess that's as much as I could expect.\Oh, my! Amagiri suddenly looks like he's in trouble!\Does this mean that he's sustained significant damage?\Hmm, I guess...\No, but this Manadite is clearly...\What? Huh?\Wh-What on earth was that?\So Ayato Amagiri can only maintain that power for a specified length of time. response:	Did I jump the gun, getting the Cats ready?
context: Oh, my! Amagiri suddenly looks like he's in trouble!\Does this mean that he's sustained significant damage?\Hmm, I guess...\No, but this Manadite is clearly...\What? Huh?\Wh-What on earth was that?\So Ayato Amagiri can only maintain that power for a specified length of time.\Did I jump the gun, getting the Cats ready? response:	No, probably not.
context: Does this mean that he's sustained significant damage?\Hmm, I guess...\No, but this Manadite is clearly...\What? Huh?\Wh-What on earth was that?\So Ayato Amagiri can only maintain that power for a specified length of time.\Did I jump the gun, getting the Cats ready?\No, probably not. response:	It's that woman's kid brother. Who knows what could happen?
context: Hmm, I guess...\No, but this Manadite is clearly...\What? Huh?\Wh-What on earth was that?\So Ayato Amagiri can only maintain that power for a specified length of time.\Did I jump the gun, getting the Cats ready?\No, probably not.\It's that woman's kid brother. Who knows what could happen? response:	If there's a red flag, it would be those Jie Long brats,
context: No, but this Manadite is clearly...\What? Huh?\Wh-What on earth was that?\So Ayato Amagiri can only maintain that power for a specified length of time.\Did I jump the gun, getting the Cats ready?\No, probably not.\It's that woman's kid brother. Who knows what could happen?\If there's a red flag, it would be those Jie Long brats, response:	but it depends on how much they'll butt in.
context: What? Huh?\Wh-What on earth was that?\So Ayato Amagiri can only maintain that power for a specified length of time.\Did I jump the gun, getting the Cats ready?\No, probably not.\It's that woman's kid brother. Who knows what could happen?\If there's a red flag, it would be those Jie Long brats,\but it depends on how much they'll butt in. response:	Not to mention, I'll have to settle the score with that Arlequint girl.
context: Wh-What on earth was that?\So Ayato Amagiri can only maintain that power for a specified length of time.\Did I jump the gun, getting the Cats ready?\No, probably not.\It's that woman's kid brother. Who knows what could happen?\If there's a red flag, it would be those Jie Long brats,\but it depends on how much they'll butt in.\Not to mention, I'll have to settle the score with that Arlequint girl. response:	Damn, what a pain in the ass!
context: So Ayato Amagiri can only maintain that power for a specified length of time.\Did I jump the gun, getting the Cats ready?\No, probably not.\It's that woman's kid brother. Who knows what could happen?\If there's a red flag, it would be those Jie Long brats,\but it depends on how much they'll butt in.\Not to mention, I'll have to settle the score with that Arlequint girl.\Damn, what a pain in the ass! response:	Looks like Amagiri's Prana levels have nosedived.
context: Did I jump the gun, getting the Cats ready?\No, probably not.\It's that woman's kid brother. Who knows what could happen?\If there's a red flag, it would be those Jie Long brats,\but it depends on how much they'll butt in.\Not to mention, I'll have to settle the score with that Arlequint girl.\Damn, what a pain in the ass!\Looks like Amagiri's Prana levels have nosedived. response:	You never know, that thing he does might not be a performance...
context: No, probably not.\It's that woman's kid brother. Who knows what could happen?\If there's a red flag, it would be those Jie Long brats,\but it depends on how much they'll butt in.\Not to mention, I'll have to settle the score with that Arlequint girl.\Damn, what a pain in the ass!\Looks like Amagiri's Prana levels have nosedived.\You never know, that thing he does might not be a performance... response:	What a pleasure this young boy is.
context: It's that woman's kid brother. Who knows what could happen?\If there's a red flag, it would be those Jie Long brats,\but it depends on how much they'll butt in.\Not to mention, I'll have to settle the score with that Arlequint girl.\Damn, what a pain in the ass!\Looks like Amagiri's Prana levels have nosedived.\You never know, that thing he does might not be a performance...\What a pleasure this young boy is. response:	Truly intriguing.
context: If there's a red flag, it would be those Jie Long brats,\but it depends on how much they'll butt in.\Not to mention, I'll have to settle the score with that Arlequint girl.\Damn, what a pain in the ass!\Looks like Amagiri's Prana levels have nosedived.\You never know, that thing he does might not be a performance...\What a pleasure this young boy is.\Truly intriguing. response:	How will it end up with those guys?
context: but it depends on how much they'll butt in.\Not to mention, I'll have to settle the score with that Arlequint girl.\Damn, what a pain in the ass!\Looks like Amagiri's Prana levels have nosedived.\You never know, that thing he does might not be a performance...\What a pleasure this young boy is.\Truly intriguing.\How will it end up with those guys? response:	It will be a sight to see!
context: Not to mention, I'll have to settle the score with that Arlequint girl.\Damn, what a pain in the ass!\Looks like Amagiri's Prana levels have nosedived.\You never know, that thing he does might not be a performance...\What a pleasure this young boy is.\Truly intriguing.\How will it end up with those guys?\It will be a sight to see! response:	I thought he was someone to watch out for.
context: Damn, what a pain in the ass!\Looks like Amagiri's Prana levels have nosedived.\You never know, that thing he does might not be a performance...\What a pleasure this young boy is.\Truly intriguing.\How will it end up with those guys?\It will be a sight to see!\I thought he was someone to watch out for. response:	But it looks like he's done after this point.
context: Looks like Amagiri's Prana levels have nosedived.\You never know, that thing he does might not be a performance...\What a pleasure this young boy is.\Truly intriguing.\How will it end up with those guys?\It will be a sight to see!\I thought he was someone to watch out for.\But it looks like he's done after this point. response:	I wouldn't be so sure.
context: You never know, that thing he does might not be a performance...\What a pleasure this young boy is.\Truly intriguing.\How will it end up with those guys?\It will be a sight to see!\I thought he was someone to watch out for.\But it looks like he's done after this point.\I wouldn't be so sure. response:	What?
context: What a pleasure this young boy is.\Truly intriguing.\How will it end up with those guys?\It will be a sight to see!\I thought he was someone to watch out for.\But it looks like he's done after this point.\I wouldn't be so sure.\What? response:	I think there's another twist in store.
context: Truly intriguing.\How will it end up with those guys?\It will be a sight to see!\I thought he was someone to watch out for.\But it looks like he's done after this point.\I wouldn't be so sure.\What?\I think there's another twist in store. response:	So that young swordsman's got a limiter, too.
context: How will it end up with those guys?\It will be a sight to see!\I thought he was someone to watch out for.\But it looks like he's done after this point.\I wouldn't be so sure.\What?\I think there's another twist in store.\So that young swordsman's got a limiter, too. response:	Looks like he can only release his power for about five minutes, tops.
context: It will be a sight to see!\I thought he was someone to watch out for.\But it looks like he's done after this point.\I wouldn't be so sure.\What?\I think there's another twist in store.\So that young swordsman's got a limiter, too.\Looks like he can only release his power for about five minutes, tops. response:	Well... it would be child's play for AR-D and RM-C to hold him off for five minutes.
context: I thought he was someone to watch out for.\But it looks like he's done after this point.\I wouldn't be so sure.\What?\I think there's another twist in store.\So that young swordsman's got a limiter, too.\Looks like he can only release his power for about five minutes, tops.\Well... it would be child's play for AR-D and RM-C to hold him off for five minutes. response:	No problem at all.
context: But it looks like he's done after this point.\I wouldn't be so sure.\What?\I think there's another twist in store.\So that young swordsman's got a limiter, too.\Looks like he can only release his power for about five minutes, tops.\Well... it would be child's play for AR-D and RM-C to hold him off for five minutes.\No problem at all. response:	Yeah, I guess.
context: I wouldn't be so sure.\What?\I think there's another twist in store.\So that young swordsman's got a limiter, too.\Looks like he can only release his power for about five minutes, tops.\Well... it would be child's play for AR-D and RM-C to hold him off for five minutes.\No problem at all.\Yeah, I guess. response:	Oh, but... But...
context: What?\I think there's another twist in store.\So that young swordsman's got a limiter, too.\Looks like he can only release his power for about five minutes, tops.\Well... it would be child's play for AR-D and RM-C to hold him off for five minutes.\No problem at all.\Yeah, I guess.\Oh, but... But... response:	I bet we'll be in for an even bigger spectacle!
context: I think there's another twist in store.\So that young swordsman's got a limiter, too.\Looks like he can only release his power for about five minutes, tops.\Well... it would be child's play for AR-D and RM-C to hold him off for five minutes.\No problem at all.\Yeah, I guess.\Oh, but... But...\I bet we'll be in for an even bigger spectacle! response:	Oh, boy, I can't wait!
context: So that young swordsman's got a limiter, too.\Looks like he can only release his power for about five minutes, tops.\Well... it would be child's play for AR-D and RM-C to hold him off for five minutes.\No problem at all.\Yeah, I guess.\Oh, but... But...\I bet we'll be in for an even bigger spectacle!\Oh, boy, I can't wait! response:	The battle can't start soon enough!
context: Looks like he can only release his power for about five minutes, tops.\Well... it would be child's play for AR-D and RM-C to hold him off for five minutes.\No problem at all.\Yeah, I guess.\Oh, but... But...\I bet we'll be in for an even bigger spectacle!\Oh, boy, I can't wait!\The battle can't start soon enough! response:	Wow! Amazing!
context: Well... it would be child's play for AR-D and RM-C to hold him off for five minutes.\No problem at all.\Yeah, I guess.\Oh, but... But...\I bet we'll be in for an even bigger spectacle!\Oh, boy, I can't wait!\The battle can't start soon enough!\Wow! Amazing! response:	Ayato Amagiri, eh?
context: No problem at all.\Yeah, I guess.\Oh, but... But...\I bet we'll be in for an even bigger spectacle!\Oh, boy, I can't wait!\The battle can't start soon enough!\Wow! Amazing!\Ayato Amagiri, eh? response:	Miss Sylvia! Please get ready to stand by!
context: Yeah, I guess.\Oh, but... But...\I bet we'll be in for an even bigger spectacle!\Oh, boy, I can't wait!\The battle can't start soon enough!\Wow! Amazing!\Ayato Amagiri, eh?\Miss Sylvia! Please get ready to stand by! response:	All right!
context: Oh, but... But...\I bet we'll be in for an even bigger spectacle!\Oh, boy, I can't wait!\The battle can't start soon enough!\Wow! Amazing!\Ayato Amagiri, eh?\Miss Sylvia! Please get ready to stand by!\All right! response:	Are you in any pain?
context: I bet we'll be in for an even bigger spectacle!\Oh, boy, I can't wait!\The battle can't start soon enough!\Wow! Amazing!\Ayato Amagiri, eh?\Miss Sylvia! Please get ready to stand by!\All right!\Are you in any pain? response:	No.
context: Oh, boy, I can't wait!\The battle can't start soon enough!\Wow! Amazing!\Ayato Amagiri, eh?\Miss Sylvia! Please get ready to stand by!\All right!\Are you in any pain?\No. response:	Um, why am I here?
context: The battle can't start soon enough!\Wow! Amazing!\Ayato Amagiri, eh?\Miss Sylvia! Please get ready to stand by!\All right!\Are you in any pain?\No.\Um, why am I here? response:	You ran out of Prana.
context: Wow! Amazing!\Ayato Amagiri, eh?\Miss Sylvia! Please get ready to stand by!\All right!\Are you in any pain?\No.\Um, why am I here?\You ran out of Prana. response:	Seems like I drained too much of your blood.
context: Ayato Amagiri, eh?\Miss Sylvia! Please get ready to stand by!\All right!\Are you in any pain?\No.\Um, why am I here?\You ran out of Prana.\Seems like I drained too much of your blood. response:	My bad!
context: Miss Sylvia! Please get ready to stand by!\All right!\Are you in any pain?\No.\Um, why am I here?\You ran out of Prana.\Seems like I drained too much of your blood.\My bad! response:	No, no.
context: All right!\Are you in any pain?\No.\Um, why am I here?\You ran out of Prana.\Seems like I drained too much of your blood.\My bad!\No, no. response:	So how did the match end?
context: Are you in any pain?\No.\Um, why am I here?\You ran out of Prana.\Seems like I drained too much of your blood.\My bad!\No, no.\So how did the match end? response:	We lost.
context: No.\Um, why am I here?\You ran out of Prana.\Seems like I drained too much of your blood.\My bad!\No, no.\So how did the match end?\We lost. response:	I see.
context: Um, why am I here?\You ran out of Prana.\Seems like I drained too much of your blood.\My bad!\No, no.\So how did the match end?\We lost.\I see. response:	Then what about the Gravi-Sheath?
context: You ran out of Prana.\Seems like I drained too much of your blood.\My bad!\No, no.\So how did the match end?\We lost.\I see.\Then what about the Gravi-Sheath? response:	It broke.
context: Seems like I drained too much of your blood.\My bad!\No, no.\So how did the match end?\We lost.\I see.\Then what about the Gravi-Sheath?\It broke. response:	That bastard Amagiri pulverized it like a madman.
context: My bad!\No, no.\So how did the match end?\We lost.\I see.\Then what about the Gravi-Sheath?\It broke.\That bastard Amagiri pulverized it like a madman. response:	I see... Amagiri did that?
context: No, no.\So how did the match end?\We lost.\I see.\Then what about the Gravi-Sheath?\It broke.\That bastard Amagiri pulverized it like a madman.\I see... Amagiri did that? response:	Oh, but won't you get yelled at by the student council chairman?
context: So how did the match end?\We lost.\I see.\Then what about the Gravi-Sheath?\It broke.\That bastard Amagiri pulverized it like a madman.\I see... Amagiri did that?\Oh, but won't you get yelled at by the student council chairman? response:	Nah. Can you believe it? No reprimand whatsoever.
context: We lost.\I see.\Then what about the Gravi-Sheath?\It broke.\That bastard Amagiri pulverized it like a madman.\I see... Amagiri did that?\Oh, but won't you get yelled at by the student council chairman?\Nah. Can you believe it? No reprimand whatsoever. response:	Really?
context: I see.\Then what about the Gravi-Sheath?\It broke.\That bastard Amagiri pulverized it like a madman.\I see... Amagiri did that?\Oh, but won't you get yelled at by the student council chairman?\Nah. Can you believe it? No reprimand whatsoever.\Really? response:	Yeah.
context: Then what about the Gravi-Sheath?\It broke.\That bastard Amagiri pulverized it like a madman.\I see... Amagiri did that?\Oh, but won't you get yelled at by the student council chairman?\Nah. Can you believe it? No reprimand whatsoever.\Really?\Yeah. response:	Well, since I didn't fulfill my mission, I can't pay down my debt.
context: It broke.\That bastard Amagiri pulverized it like a madman.\I see... Amagiri did that?\Oh, but won't you get yelled at by the student council chairman?\Nah. Can you believe it? No reprimand whatsoever.\Really?\Yeah.\Well, since I didn't fulfill my mission, I can't pay down my debt. response:	After all that, no pay? Jeez...
context: That bastard Amagiri pulverized it like a madman.\I see... Amagiri did that?\Oh, but won't you get yelled at by the student council chairman?\Nah. Can you believe it? No reprimand whatsoever.\Really?\Yeah.\Well, since I didn't fulfill my mission, I can't pay down my debt.\After all that, no pay? Jeez... response:	Well, maybe I panicked a little... guess it can't be helped, right?
context: I see... Amagiri did that?\Oh, but won't you get yelled at by the student council chairman?\Nah. Can you believe it? No reprimand whatsoever.\Really?\Yeah.\Well, since I didn't fulfill my mission, I can't pay down my debt.\After all that, no pay? Jeez...\Well, maybe I panicked a little... guess it can't be helped, right? response:	Listen, Sister...
context: Oh, but won't you get yelled at by the student council chairman?\Nah. Can you believe it? No reprimand whatsoever.\Really?\Yeah.\Well, since I didn't fulfill my mission, I can't pay down my debt.\After all that, no pay? Jeez...\Well, maybe I panicked a little... guess it can't be helped, right?\Listen, Sister... response:	I always thought the most important thing was for you to do whatever you wanted.
context: Nah. Can you believe it? No reprimand whatsoever.\Really?\Yeah.\Well, since I didn't fulfill my mission, I can't pay down my debt.\After all that, no pay? Jeez...\Well, maybe I panicked a little... guess it can't be helped, right?\Listen, Sister...\I always thought the most important thing was for you to do whatever you wanted. response:	Because you've always treasured me more than anyone else.
context: Really?\Yeah.\Well, since I didn't fulfill my mission, I can't pay down my debt.\After all that, no pay? Jeez...\Well, maybe I panicked a little... guess it can't be helped, right?\Listen, Sister...\I always thought the most important thing was for you to do whatever you wanted.\Because you've always treasured me more than anyone else. response:	But I want to become strong.
context: Yeah.\Well, since I didn't fulfill my mission, I can't pay down my debt.\After all that, no pay? Jeez...\Well, maybe I panicked a little... guess it can't be helped, right?\Listen, Sister...\I always thought the most important thing was for you to do whatever you wanted.\Because you've always treasured me more than anyone else.\But I want to become strong. response:	If you're going to fight, Sister, then I want to fight with you.
context: Well, since I didn't fulfill my mission, I can't pay down my debt.\After all that, no pay? Jeez...\Well, maybe I panicked a little... guess it can't be helped, right?\Listen, Sister...\I always thought the most important thing was for you to do whatever you wanted.\Because you've always treasured me more than anyone else.\But I want to become strong.\If you're going to fight, Sister, then I want to fight with you. response:	I don't just want to be protected by you, I want to stand by your side.
context: After all that, no pay? Jeez...\Well, maybe I panicked a little... guess it can't be helped, right?\Listen, Sister...\I always thought the most important thing was for you to do whatever you wanted.\Because you've always treasured me more than anyone else.\But I want to become strong.\If you're going to fight, Sister, then I want to fight with you.\I don't just want to be protected by you, I want to stand by your side. response:	Priscilla...
context: Well, maybe I panicked a little... guess it can't be helped, right?\Listen, Sister...\I always thought the most important thing was for you to do whatever you wanted.\Because you've always treasured me more than anyone else.\But I want to become strong.\If you're going to fight, Sister, then I want to fight with you.\I don't just want to be protected by you, I want to stand by your side.\Priscilla... response:	You can't stop me, okay?
context: Listen, Sister...\I always thought the most important thing was for you to do whatever you wanted.\Because you've always treasured me more than anyone else.\But I want to become strong.\If you're going to fight, Sister, then I want to fight with you.\I don't just want to be protected by you, I want to stand by your side.\Priscilla...\You can't stop me, okay? response:	And someday...
context: I always thought the most important thing was for you to do whatever you wanted.\Because you've always treasured me more than anyone else.\But I want to become strong.\If you're going to fight, Sister, then I want to fight with you.\I don't just want to be protected by you, I want to stand by your side.\Priscilla...\You can't stop me, okay?\And someday... response:	I swear I'm going to become even more powerful than you!
context: Because you've always treasured me more than anyone else.\But I want to become strong.\If you're going to fight, Sister, then I want to fight with you.\I don't just want to be protected by you, I want to stand by your side.\Priscilla...\You can't stop me, okay?\And someday...\I swear I'm going to become even more powerful than you! response:	Is that right?
context: But I want to become strong.\If you're going to fight, Sister, then I want to fight with you.\I don't just want to be protected by you, I want to stand by your side.\Priscilla...\You can't stop me, okay?\And someday...\I swear I'm going to become even more powerful than you!\Is that right? response:	That's something to look forward to!
context: If you're going to fight, Sister, then I want to fight with you.\I don't just want to be protected by you, I want to stand by your side.\Priscilla...\You can't stop me, okay?\And someday...\I swear I'm going to become even more powerful than you!\Is that right?\That's something to look forward to! response:	Well, your cover's been blown in spectacular fashion.
