context: So it's not in bloom yet. response:	I told you that it was too early.
context: I want to swim in a relay\with all of you.\With the best teammates I could ask for...\I'm sure you feel the same way, Haruka-senpai!\The race isn't important!\There's someone you want to swim with, right?!\I want to swim with Rin!\If you don't do something, Rin-san will stop swimming. response:	You're the only ones who can help him!
context: with all of you.\With the best teammates I could ask for...\I'm sure you feel the same way, Haruka-senpai!\The race isn't important!\There's someone you want to swim with, right?!\I want to swim with Rin!\If you don't do something, Rin-san will stop swimming.\You're the only ones who can help him! response:	But what are we supposed to do?
context: With the best teammates I could ask for...\I'm sure you feel the same way, Haruka-senpai!\The race isn't important!\There's someone you want to swim with, right?!\I want to swim with Rin!\If you don't do something, Rin-san will stop swimming.\You're the only ones who can help him!\But what are we supposed to do? response:	You still don't understand?!
context: I'm sure you feel the same way, Haruka-senpai!\The race isn't important!\There's someone you want to swim with, right?!\I want to swim with Rin!\If you don't do something, Rin-san will stop swimming.\You're the only ones who can help him!\But what are we supposed to do?\You still don't understand?! response:	Logically speaking, there's only one possible solution!
context: The race isn't important!\There's someone you want to swim with, right?!\I want to swim with Rin!\If you don't do something, Rin-san will stop swimming.\You're the only ones who can help him!\But what are we supposed to do?\You still don't understand?!\Logically speaking, there's only one possible solution! response:	Rei, are you really okay with that?
context: There's someone you want to swim with, right?!\I want to swim with Rin!\If you don't do something, Rin-san will stop swimming.\You're the only ones who can help him!\But what are we supposed to do?\You still don't understand?!\Logically speaking, there's only one possible solution!\Rei, are you really okay with that? response:	Of course!
context: I want to swim with Rin!\If you don't do something, Rin-san will stop swimming.\You're the only ones who can help him!\But what are we supposed to do?\You still don't understand?!\Logically speaking, there's only one possible solution!\Rei, are you really okay with that?\Of course! response:	No luck! Can't find them anywhere!
context: If you don't do something, Rin-san will stop swimming.\You're the only ones who can help him!\But what are we supposed to do?\You still don't understand?!\Logically speaking, there's only one possible solution!\Rei, are you really okay with that?\Of course!\No luck! Can't find them anywhere! response:	The medley relay swimmers are supposed to report soon.
context: You're the only ones who can help him!\But what are we supposed to do?\You still don't understand?!\Logically speaking, there's only one possible solution!\Rei, are you really okay with that?\Of course!\No luck! Can't find them anywhere!\The medley relay swimmers are supposed to report soon. response:	They'll be disqualified.
context: But what are we supposed to do?\You still don't understand?!\Logically speaking, there's only one possible solution!\Rei, are you really okay with that?\Of course!\No luck! Can't find them anywhere!\The medley relay swimmers are supposed to report soon.\They'll be disqualified. response:	No way!
context: You still don't understand?!\Logically speaking, there's only one possible solution!\Rei, are you really okay with that?\Of course!\No luck! Can't find them anywhere!\The medley relay swimmers are supposed to report soon.\They'll be disqualified.\No way! response:	He's not here!
context: Logically speaking, there's only one possible solution!\Rei, are you really okay with that?\Of course!\No luck! Can't find them anywhere!\The medley relay swimmers are supposed to report soon.\They'll be disqualified.\No way!\He's not here! response:	Let's split up and look!
context: Rei, are you really okay with that?\Of course!\No luck! Can't find them anywhere!\The medley relay swimmers are supposed to report soon.\They'll be disqualified.\No way!\He's not here!\Let's split up and look! response:	Got it!
context: Of course!\No luck! Can't find them anywhere!\The medley relay swimmers are supposed to report soon.\They'll be disqualified.\No way!\He's not here!\Let's split up and look!\Got it! response:	Yes!
context: No luck! Can't find them anywhere!\The medley relay swimmers are supposed to report soon.\They'll be disqualified.\No way!\He's not here!\Let's split up and look!\Got it!\Yes! response:	Rin!
context: The medley relay swimmers are supposed to report soon.\They'll be disqualified.\No way!\He's not here!\Let's split up and look!\Got it!\Yes!\Rin! response:	Rin-chan!
context: They'll be disqualified.\No way!\He's not here!\Let's split up and look!\Got it!\Yes!\Rin!\Rin-chan! response:	Rin-san!
context: No way!\He's not here!\Let's split up and look!\Got it!\Yes!\Rin!\Rin-chan!\Rin-san! response:	Rin!
context: He's not here!\Let's split up and look!\Got it!\Yes!\Rin!\Rin-chan!\Rin-san!\Rin! response:	Rin! Where are you?!
context: Let's split up and look!\Got it!\Yes!\Rin!\Rin-chan!\Rin-san!\Rin!\Rin! Where are you?! response:	We're running out of time!
context: Got it!\Yes!\Rin!\Rin-chan!\Rin-san!\Rin!\Rin! Where are you?!\We're running out of time! response:	Rin!
context: Yes!\Rin!\Rin-chan!\Rin-san!\Rin!\Rin! Where are you?!\We're running out of time!\Rin! response:	Maybe...
context: Rin!\Rin-chan!\Rin-san!\Rin!\Rin! Where are you?!\We're running out of time!\Rin!\Maybe... response:	Haru...
context: Rin-chan!\Rin-san!\Rin!\Rin! Where are you?!\We're running out of time!\Rin!\Maybe...\Haru... response:	Why are you here?
context: Rin-san!\Rin!\Rin! Where are you?!\We're running out of time!\Rin!\Maybe...\Haru...\Why are you here? response:	Come to laugh at my pathetic loss?
context: Rin!\Rin! Where are you?!\We're running out of time!\Rin!\Maybe...\Haru...\Why are you here?\Come to laugh at my pathetic loss? response:	Rin...
context: Rin! Where are you?!\We're running out of time!\Rin!\Maybe...\Haru...\Why are you here?\Come to laugh at my pathetic loss?\Rin... response:	You saw what happened in the free.
context: We're running out of time!\Rin!\Maybe...\Haru...\Why are you here?\Come to laugh at my pathetic loss?\Rin...\You saw what happened in the free. response:	And I was taken out of the relay.
context: Rin!\Maybe...\Haru...\Why are you here?\Come to laugh at my pathetic loss?\Rin...\You saw what happened in the free.\And I was taken out of the relay. response:	The world is laughing at me.
context: Maybe...\Haru...\Why are you here?\Come to laugh at my pathetic loss?\Rin...\You saw what happened in the free.\And I was taken out of the relay.\The world is laughing at me. response:	So join in!
context: Haru...\Why are you here?\Come to laugh at my pathetic loss?\Rin...\You saw what happened in the free.\And I was taken out of the relay.\The world is laughing at me.\So join in! response:	No need to pity me.
context: Why are you here?\Come to laugh at my pathetic loss?\Rin...\You saw what happened in the free.\And I was taken out of the relay.\The world is laughing at me.\So join in!\No need to pity me. response:	I told you to laugh!
context: Come to laugh at my pathetic loss?\Rin...\You saw what happened in the free.\And I was taken out of the relay.\The world is laughing at me.\So join in!\No need to pity me.\I told you to laugh! response:	That's all I'm good for, anyway.
context: Rin...\You saw what happened in the free.\And I was taken out of the relay.\The world is laughing at me.\So join in!\No need to pity me.\I told you to laugh!\That's all I'm good for, anyway. response:	I'm not even good enough to race you guys in a relay!
context: You saw what happened in the free.\And I was taken out of the relay.\The world is laughing at me.\So join in!\No need to pity me.\I told you to laugh!\That's all I'm good for, anyway.\I'm not even good enough to race you guys in a relay! response:	Calm down, Rin!
context: And I was taken out of the relay.\The world is laughing at me.\So join in!\No need to pity me.\I told you to laugh!\That's all I'm good for, anyway.\I'm not even good enough to race you guys in a relay!\Calm down, Rin! response:	Shut up!
context: The world is laughing at me.\So join in!\No need to pity me.\I told you to laugh!\That's all I'm good for, anyway.\I'm not even good enough to race you guys in a relay!\Calm down, Rin!\Shut up! response:	What would you know?!
context: So join in!\No need to pity me.\I told you to laugh!\That's all I'm good for, anyway.\I'm not even good enough to race you guys in a relay!\Calm down, Rin!\Shut up!\What would you know?! response:	I know!
context: No need to pity me.\I told you to laugh!\That's all I'm good for, anyway.\I'm not even good enough to race you guys in a relay!\Calm down, Rin!\Shut up!\What would you know?!\I know! response:	How fun it is to swim with friends...
context: I told you to laugh!\That's all I'm good for, anyway.\I'm not even good enough to race you guys in a relay!\Calm down, Rin!\Shut up!\What would you know?!\I know!\How fun it is to swim with friends... response:	How good it feels to swim in a relay together...
context: That's all I'm good for, anyway.\I'm not even good enough to race you guys in a relay!\Calm down, Rin!\Shut up!\What would you know?!\I know!\How fun it is to swim with friends...\How good it feels to swim in a relay together... response:	You were the one who taught me that, Rin!
context: I'm not even good enough to race you guys in a relay!\Calm down, Rin!\Shut up!\What would you know?!\I know!\How fun it is to swim with friends...\How good it feels to swim in a relay together...\You were the one who taught me that, Rin! response:	You're the reason I...
context: Calm down, Rin!\Shut up!\What would you know?!\I know!\How fun it is to swim with friends...\How good it feels to swim in a relay together...\You were the one who taught me that, Rin!\You're the reason I... response:	Shut up!
context: Shut up!\What would you know?!\I know!\How fun it is to swim with friends...\How good it feels to swim in a relay together...\You were the one who taught me that, Rin!\You're the reason I...\Shut up! response:	I understand now!
context: What would you know?!\I know!\How fun it is to swim with friends...\How good it feels to swim in a relay together...\You were the one who taught me that, Rin!\You're the reason I...\Shut up!\I understand now! response:	I found the answer!
context: I know!\How fun it is to swim with friends...\How good it feels to swim in a relay together...\You were the one who taught me that, Rin!\You're the reason I...\Shut up!\I understand now!\I found the answer! response:	Why it is I swim!
context: How fun it is to swim with friends...\How good it feels to swim in a relay together...\You were the one who taught me that, Rin!\You're the reason I...\Shut up!\I understand now!\I found the answer!\Why it is I swim! response:	Who I'm swimming for!
context: How good it feels to swim in a relay together...\You were the one who taught me that, Rin!\You're the reason I...\Shut up!\I understand now!\I found the answer!\Why it is I swim!\Who I'm swimming for! response:	I told you to shut up!
context: You were the one who taught me that, Rin!\You're the reason I...\Shut up!\I understand now!\I found the answer!\Why it is I swim!\Who I'm swimming for!\I told you to shut up! response:	This tree looks like
context: You're the reason I...\Shut up!\I understand now!\I found the answer!\Why it is I swim!\Who I'm swimming for!\I told you to shut up!\This tree looks like response:	the cherry blossom tree that was in the school yard.
context: Shut up!\I understand now!\I found the answer!\Why it is I swim!\Who I'm swimming for!\I told you to shut up!\This tree looks like\the cherry blossom tree that was in the school yard. response:	Isn't that why you were here?
context: I understand now!\I found the answer!\Why it is I swim!\Who I'm swimming for!\I told you to shut up!\This tree looks like\the cherry blossom tree that was in the school yard.\Isn't that why you were here? response:	Why?
context: I found the answer!\Why it is I swim!\Who I'm swimming for!\I told you to shut up!\This tree looks like\the cherry blossom tree that was in the school yard.\Isn't that why you were here?\Why? response:	Why can't I be free?
context: Why it is I swim!\Who I'm swimming for!\I told you to shut up!\This tree looks like\the cherry blossom tree that was in the school yard.\Isn't that why you were here?\Why?\Why can't I be free? response:	I want to swim with you guys.
context: Who I'm swimming for!\I told you to shut up!\This tree looks like\the cherry blossom tree that was in the school yard.\Isn't that why you were here?\Why?\Why can't I be free?\I want to swim with you guys. response:	I want to swim in a relay with you guys.
context: I told you to shut up!\This tree looks like\the cherry blossom tree that was in the school yard.\Isn't that why you were here?\Why?\Why can't I be free?\I want to swim with you guys.\I want to swim in a relay with you guys. response:	But it's too late now.
context: This tree looks like\the cherry blossom tree that was in the school yard.\Isn't that why you were here?\Why?\Why can't I be free?\I want to swim with you guys.\I want to swim in a relay with you guys.\But it's too late now. response:	No, it's not too late.
context: the cherry blossom tree that was in the school yard.\Isn't that why you were here?\Why?\Why can't I be free?\I want to swim with you guys.\I want to swim in a relay with you guys.\But it's too late now.\No, it's not too late. response:	Let's go, Rin.
context: Isn't that why you were here?\Why?\Why can't I be free?\I want to swim with you guys.\I want to swim in a relay with you guys.\But it's too late now.\No, it's not too late.\Let's go, Rin. response:	Oh, there they are.
context: Why?\Why can't I be free?\I want to swim with you guys.\I want to swim in a relay with you guys.\But it's too late now.\No, it's not too late.\Let's go, Rin.\Oh, there they are. response:	Rin-chan!
context: Why can't I be free?\I want to swim with you guys.\I want to swim in a relay with you guys.\But it's too late now.\No, it's not too late.\Let's go, Rin.\Oh, there they are.\Rin-chan! response:	You guys...
context: I want to swim with you guys.\I want to swim in a relay with you guys.\But it's too late now.\No, it's not too late.\Let's go, Rin.\Oh, there they are.\Rin-chan!\You guys... response:	Honestly...
context: I want to swim in a relay with you guys.\But it's too late now.\No, it's not too late.\Let's go, Rin.\Oh, there they are.\Rin-chan!\You guys...\Honestly... response:	Watching you irritates me so much.
context: But it's too late now.\No, it's not too late.\Let's go, Rin.\Oh, there they are.\Rin-chan!\You guys...\Honestly...\Watching you irritates me so much. response:	If you want to swim, go ahead.
context: No, it's not too late.\Let's go, Rin.\Oh, there they are.\Rin-chan!\You guys...\Honestly...\Watching you irritates me so much.\If you want to swim, go ahead. response:	Rin, come.
context: Let's go, Rin.\Oh, there they are.\Rin-chan!\You guys...\Honestly...\Watching you irritates me so much.\If you want to swim, go ahead.\Rin, come. response:	It's my turn to show you
context: Oh, there they are.\Rin-chan!\You guys...\Honestly...\Watching you irritates me so much.\If you want to swim, go ahead.\Rin, come.\It's my turn to show you response:	a sight you've never seen before.
context: Rin-chan!\You guys...\Honestly...\Watching you irritates me so much.\If you want to swim, go ahead.\Rin, come.\It's my turn to show you\a sight you've never seen before. response:	Men's medley relay, heat one.
context: You guys...\Honestly...\Watching you irritates me so much.\If you want to swim, go ahead.\Rin, come.\It's my turn to show you\a sight you've never seen before.\Men's medley relay, heat one. response:	Damn, it's already starting.
context: Honestly...\Watching you irritates me so much.\If you want to swim, go ahead.\Rin, come.\It's my turn to show you\a sight you've never seen before.\Men's medley relay, heat one.\Damn, it's already starting. response:	They came all this way to be disqualified?
context: Watching you irritates me so much.\If you want to swim, go ahead.\Rin, come.\It's my turn to show you\a sight you've never seen before.\Men's medley relay, heat one.\Damn, it's already starting.\They came all this way to be disqualified? response:	They're here!
context: If you want to swim, go ahead.\Rin, come.\It's my turn to show you\a sight you've never seen before.\Men's medley relay, heat one.\Damn, it's already starting.\They came all this way to be disqualified?\They're here! response:	It looks like they made it in time.
context: Rin, come.\It's my turn to show you\a sight you've never seen before.\Men's medley relay, heat one.\Damn, it's already starting.\They came all this way to be disqualified?\They're here!\It looks like they made it in time. response:	What a relief.
context: It's my turn to show you\a sight you've never seen before.\Men's medley relay, heat one.\Damn, it's already starting.\They came all this way to be disqualified?\They're here!\It looks like they made it in time.\What a relief. response:	Men's medley relay, heat two.
context: a sight you've never seen before.\Men's medley relay, heat one.\Damn, it's already starting.\They came all this way to be disqualified?\They're here!\It looks like they made it in time.\What a relief.\Men's medley relay, heat two. response:	Makoto!
context: Men's medley relay, heat one.\Damn, it's already starting.\They came all this way to be disqualified?\They're here!\It looks like they made it in time.\What a relief.\Men's medley relay, heat two.\Makoto! response:	Makoto-senpai!
context: Damn, it's already starting.\They came all this way to be disqualified?\They're here!\It looks like they made it in time.\What a relief.\Men's medley relay, heat two.\Makoto!\Makoto-senpai! response:	Set.
context: They came all this way to be disqualified?\They're here!\It looks like they made it in time.\What a relief.\Men's medley relay, heat two.\Makoto!\Makoto-senpai!\Set. response:	Go!
context: They're here!\It looks like they made it in time.\What a relief.\Men's medley relay, heat two.\Makoto!\Makoto-senpai!\Set.\Go! response:	Go, go, go, go, go, Makoto!
context: It looks like they made it in time.\What a relief.\Men's medley relay, heat two.\Makoto!\Makoto-senpai!\Set.\Go!\Go, go, go, go, go, Makoto! response:	Swim, swim, swim, swim, swim, Makoto!
context: What a relief.\Men's medley relay, heat two.\Makoto!\Makoto-senpai!\Set.\Go!\Go, go, go, go, go, Makoto!\Swim, swim, swim, swim, swim, Makoto! response:	This is...
context: Men's medley relay, heat two.\Makoto!\Makoto-senpai!\Set.\Go!\Go, go, go, go, go, Makoto!\Swim, swim, swim, swim, swim, Makoto!\This is... response:	Nagisa!
context: Makoto!\Makoto-senpai!\Set.\Go!\Go, go, go, go, go, Makoto!\Swim, swim, swim, swim, swim, Makoto!\This is...\Nagisa! response:	Wait for me! I'm coming!
context: Makoto-senpai!\Set.\Go!\Go, go, go, go, go, Makoto!\Swim, swim, swim, swim, swim, Makoto!\This is...\Nagisa!\Wait for me! I'm coming! response:	They're in third place, ahead of top schools!
context: Set.\Go!\Go, go, go, go, go, Makoto!\Swim, swim, swim, swim, swim, Makoto!\This is...\Nagisa!\Wait for me! I'm coming!\They're in third place, ahead of top schools! response:	Amazing!
context: Go!\Go, go, go, go, go, Makoto!\Swim, swim, swim, swim, swim, Makoto!\This is...\Nagisa!\Wait for me! I'm coming!\They're in third place, ahead of top schools!\Amazing! response:	That's a personal best!
context: Go, go, go, go, go, Makoto!\Swim, swim, swim, swim, swim, Makoto!\This is...\Nagisa!\Wait for me! I'm coming!\They're in third place, ahead of top schools!\Amazing!\That's a personal best! response:	Rei's up next.
context: Swim, swim, swim, swim, swim, Makoto!\This is...\Nagisa!\Wait for me! I'm coming!\They're in third place, ahead of top schools!\Amazing!\That's a personal best!\Rei's up next. response:	What?!
context: This is...\Nagisa!\Wait for me! I'm coming!\They're in third place, ahead of top schools!\Amazing!\That's a personal best!\Rei's up next.\What?! response:	Matsuoka-senpai?!
context: Nagisa!\Wait for me! I'm coming!\They're in third place, ahead of top schools!\Amazing!\That's a personal best!\Rei's up next.\What?!\Matsuoka-senpai?! response:	What's he doing?!
context: Wait for me! I'm coming!\They're in third place, ahead of top schools!\Amazing!\That's a personal best!\Rei's up next.\What?!\Matsuoka-senpai?!\What's he doing?! response:	Rin-chan!
context: They're in third place, ahead of top schools!\Amazing!\That's a personal best!\Rei's up next.\What?!\Matsuoka-senpai?!\What's he doing?!\Rin-chan! response:	I told them to be free,
context: Amazing!\That's a personal best!\Rei's up next.\What?!\Matsuoka-senpai?!\What's he doing?!\Rin-chan!\I told them to be free, response:	but they went too far.
context: That's a personal best!\Rei's up next.\What?!\Matsuoka-senpai?!\What's he doing?!\Rin-chan!\I told them to be free,\but they went too far. response:	His entry angle was five degrees off, but I suppose it will do.
context: Rei's up next.\What?!\Matsuoka-senpai?!\What's he doing?!\Rin-chan!\I told them to be free,\but they went too far.\His entry angle was five degrees off, but I suppose it will do. response:	Why are you here?!
context: What?!\Matsuoka-senpai?!\What's he doing?!\Rin-chan!\I told them to be free,\but they went too far.\His entry angle was five degrees off, but I suppose it will do.\Why are you here?! response:	I'll explain everything later.
context: Matsuoka-senpai?!\What's he doing?!\Rin-chan!\I told them to be free,\but they went too far.\His entry angle was five degrees off, but I suppose it will do.\Why are you here?!\I'll explain everything later. response:	We need to cheer them on now.
context: What's he doing?!\Rin-chan!\I told them to be free,\but they went too far.\His entry angle was five degrees off, but I suppose it will do.\Why are you here?!\I'll explain everything later.\We need to cheer them on now. response:	Gou-san.
context: Rin-chan!\I told them to be free,\but they went too far.\His entry angle was five degrees off, but I suppose it will do.\Why are you here?!\I'll explain everything later.\We need to cheer them on now.\Gou-san. response:	Uh-huh!
context: I told them to be free,\but they went too far.\His entry angle was five degrees off, but I suppose it will do.\Why are you here?!\I'll explain everything later.\We need to cheer them on now.\Gou-san.\Uh-huh! response:	Go, go, go, go, go, Rin!
context: but they went too far.\His entry angle was five degrees off, but I suppose it will do.\Why are you here?!\I'll explain everything later.\We need to cheer them on now.\Gou-san.\Uh-huh!\Go, go, go, go, go, Rin! response:	He's fast...
context: His entry angle was five degrees off, but I suppose it will do.\Why are you here?!\I'll explain everything later.\We need to cheer them on now.\Gou-san.\Uh-huh!\Go, go, go, go, go, Rin!\He's fast... response:	Matsuoka-senpai!
context: Why are you here?!\I'll explain everything later.\We need to cheer them on now.\Gou-san.\Uh-huh!\Go, go, go, go, go, Rin!\He's fast...\Matsuoka-senpai! response:	Haru!
context: I'll explain everything later.\We need to cheer them on now.\Gou-san.\Uh-huh!\Go, go, go, go, go, Rin!\He's fast...\Matsuoka-senpai!\Haru! response:	Haru!
context: We need to cheer them on now.\Gou-san.\Uh-huh!\Go, go, go, go, go, Rin!\He's fast...\Matsuoka-senpai!\Haru!\Haru! response:	Haru-chan!
context: Gou-san.\Uh-huh!\Go, go, go, go, go, Rin!\He's fast...\Matsuoka-senpai!\Haru!\Haru!\Haru-chan! response:	Haruka-senpai!
context: Uh-huh!\Go, go, go, go, go, Rin!\He's fast...\Matsuoka-senpai!\Haru!\Haru!\Haru-chan!\Haruka-senpai! response:	Haru!
context: Go, go, go, go, go, Rin!\He's fast...\Matsuoka-senpai!\Haru!\Haru!\Haru-chan!\Haruka-senpai!\Haru! response:	Haru!
context: He's fast...\Matsuoka-senpai!\Haru!\Haru!\Haru-chan!\Haruka-senpai!\Haru!\Haru! response:	Haru-chan!
context: Matsuoka-senpai!\Haru!\Haru!\Haru-chan!\Haruka-senpai!\Haru!\Haru!\Haru-chan! response:	Haru-senpai!
context: Haru!\Haru!\Haru-chan!\Haruka-senpai!\Haru!\Haru!\Haru-chan!\Haru-senpai! response:	Go!
context: Haru!\Haru-chan!\Haruka-senpai!\Haru!\Haru!\Haru-chan!\Haru-senpai!\Go! response:	Hurry!
context: Haru-chan!\Haruka-senpai!\Haru!\Haru!\Haru-chan!\Haru-senpai!\Go!\Hurry! response:	Iwatobi
context: Haruka-senpai!\Haru!\Haru!\Haru-chan!\Haru-senpai!\Go!\Hurry!\Iwatobi response:	Haru!
context: Haru!\Haru!\Haru-chan!\Haru-senpai!\Go!\Hurry!\Iwatobi\Haru! response:	Haru-chan! Haru-chan!
context: Haru!\Haru-chan!\Haru-senpai!\Go!\Hurry!\Iwatobi\Haru!\Haru-chan! Haru-chan! response:	Stop crying, Nagisa.
context: Haru-chan!\Haru-senpai!\Go!\Hurry!\Iwatobi\Haru!\Haru-chan! Haru-chan!\Stop crying, Nagisa. response:	Haru!
context: Haru-senpai!\Go!\Hurry!\Iwatobi\Haru!\Haru-chan! Haru-chan!\Stop crying, Nagisa.\Haru! response:	Haru-chan!
context: Go!\Hurry!\Iwatobi\Haru!\Haru-chan! Haru-chan!\Stop crying, Nagisa.\Haru!\Haru-chan! response:	Hey!
context: Hurry!\Iwatobi\Haru!\Haru-chan! Haru-chan!\Stop crying, Nagisa.\Haru!\Haru-chan!\Hey! response:	Haru!
context: Iwatobi\Haru!\Haru-chan! Haru-chan!\Stop crying, Nagisa.\Haru!\Haru-chan!\Hey!\Haru! response:	You showed me the best sight I could've asked for!
context: Haru!\Haru-chan! Haru-chan!\Stop crying, Nagisa.\Haru!\Haru-chan!\Hey!\Haru!\You showed me the best sight I could've asked for! response:	Haru...
context: Haru-chan! Haru-chan!\Stop crying, Nagisa.\Haru!\Haru-chan!\Hey!\Haru!\You showed me the best sight I could've asked for!\Haru... response:	Yeah.
context: Stop crying, Nagisa.\Haru!\Haru-chan!\Hey!\Haru!\You showed me the best sight I could've asked for!\Haru...\Yeah. response:	Makoto! Nagisa!
context: Haru!\Haru-chan!\Hey!\Haru!\You showed me the best sight I could've asked for!\Haru...\Yeah.\Makoto! Nagisa! response:	Rin!
context: Haru-chan!\Hey!\Haru!\You showed me the best sight I could've asked for!\Haru...\Yeah.\Makoto! Nagisa!\Rin! response:	Rin-rin!
context: Hey!\Haru!\You showed me the best sight I could've asked for!\Haru...\Yeah.\Makoto! Nagisa!\Rin!\Rin-rin! response:	It's been too long!
context: Haru!\You showed me the best sight I could've asked for!\Haru...\Yeah.\Makoto! Nagisa!\Rin!\Rin-rin!\It's been too long! response:	Big brother...
context: You showed me the best sight I could've asked for!\Haru...\Yeah.\Makoto! Nagisa!\Rin!\Rin-rin!\It's been too long!\Big brother... response:	Rin's really fast.
context: Haru...\Yeah.\Makoto! Nagisa!\Rin!\Rin-rin!\It's been too long!\Big brother...\Rin's really fast. response:	I was shocked at first, but this is touching.
context: Yeah.\Makoto! Nagisa!\Rin!\Rin-rin!\It's been too long!\Big brother...\Rin's really fast.\I was shocked at first, but this is touching. response:	I know!
context: Makoto! Nagisa!\Rin!\Rin-rin!\It's been too long!\Big brother...\Rin's really fast.\I was shocked at first, but this is touching.\I know! response:	You guys are truly beautiful.
context: Rin!\Rin-rin!\It's been too long!\Big brother...\Rin's really fast.\I was shocked at first, but this is touching.\I know!\You guys are truly beautiful. response:	Okay, and so...
context: Rin-rin!\It's been too long!\Big brother...\Rin's really fast.\I was shocked at first, but this is touching.\I know!\You guys are truly beautiful.\Okay, and so... response:	After that emotional performance, you were disqualified.
context: It's been too long!\Big brother...\Rin's really fast.\I was shocked at first, but this is touching.\I know!\You guys are truly beautiful.\Okay, and so...\After that emotional performance, you were disqualified. response:	Naturally.
context: Big brother...\Rin's really fast.\I was shocked at first, but this is touching.\I know!\You guys are truly beautiful.\Okay, and so...\After that emotional performance, you were disqualified.\Naturally. response:	It wasn't easy to endure the staff members scolding us.
context: Rin's really fast.\I was shocked at first, but this is touching.\I know!\You guys are truly beautiful.\Okay, and so...\After that emotional performance, you were disqualified.\Naturally.\It wasn't easy to endure the staff members scolding us. response:	They've never had someone swim in a relay for a different school's team.
context: I was shocked at first, but this is touching.\I know!\You guys are truly beautiful.\Okay, and so...\After that emotional performance, you were disqualified.\Naturally.\It wasn't easy to endure the staff members scolding us.\They've never had someone swim in a relay for a different school's team. response:	We're very sorry.
context: I know!\You guys are truly beautiful.\Okay, and so...\After that emotional performance, you were disqualified.\Naturally.\It wasn't easy to endure the staff members scolding us.\They've never had someone swim in a relay for a different school's team.\We're very sorry. response:	Well, it's okay.
context: You guys are truly beautiful.\Okay, and so...\After that emotional performance, you were disqualified.\Naturally.\It wasn't easy to endure the staff members scolding us.\They've never had someone swim in a relay for a different school's team.\We're very sorry.\Well, it's okay. response:	Young people get to do crazy things.
context: Okay, and so...\After that emotional performance, you were disqualified.\Naturally.\It wasn't easy to endure the staff members scolding us.\They've never had someone swim in a relay for a different school's team.\We're very sorry.\Well, it's okay.\Young people get to do crazy things. response:	Why did you pull that stunt?
context: After that emotional performance, you were disqualified.\Naturally.\It wasn't easy to endure the staff members scolding us.\They've never had someone swim in a relay for a different school's team.\We're very sorry.\Well, it's okay.\Young people get to do crazy things.\Why did you pull that stunt? response:	Because...
context: Naturally.\It wasn't easy to endure the staff members scolding us.\They've never had someone swim in a relay for a different school's team.\We're very sorry.\Well, it's okay.\Young people get to do crazy things.\Why did you pull that stunt?\Because... response:	It was only right.
context: It wasn't easy to endure the staff members scolding us.\They've never had someone swim in a relay for a different school's team.\We're very sorry.\Well, it's okay.\Young people get to do crazy things.\Why did you pull that stunt?\Because...\It was only right. response:	Yep, we may be on different teams...
context: They've never had someone swim in a relay for a different school's team.\We're very sorry.\Well, it's okay.\Young people get to do crazy things.\Why did you pull that stunt?\Because...\It was only right.\Yep, we may be on different teams... response:	What does that mean?
context: We're very sorry.\Well, it's okay.\Young people get to do crazy things.\Why did you pull that stunt?\Because...\It was only right.\Yep, we may be on different teams...\What does that mean? response:	I'm very sorry!
context: Well, it's okay.\Young people get to do crazy things.\Why did you pull that stunt?\Because...\It was only right.\Yep, we may be on different teams...\What does that mean?\I'm very sorry! response:	I will take responsibility for my actions.
context: Young people get to do crazy things.\Why did you pull that stunt?\Because...\It was only right.\Yep, we may be on different teams...\What does that mean?\I'm very sorry!\I will take responsibility for my actions. response:	Please kick me off the swim team.
context: Why did you pull that stunt?\Because...\It was only right.\Yep, we may be on different teams...\What does that mean?\I'm very sorry!\I will take responsibility for my actions.\Please kick me off the swim team. response:	Matsuoka-senpai...
context: Because...\It was only right.\Yep, we may be on different teams...\What does that mean?\I'm very sorry!\I will take responsibility for my actions.\Please kick me off the swim team.\Matsuoka-senpai... response:	Nitori,
context: It was only right.\Yep, we may be on different teams...\What does that mean?\I'm very sorry!\I will take responsibility for my actions.\Please kick me off the swim team.\Matsuoka-senpai...\Nitori, response:	sorry for yelling at you.
context: Yep, we may be on different teams...\What does that mean?\I'm very sorry!\I will take responsibility for my actions.\Please kick me off the swim team.\Matsuoka-senpai...\Nitori,\sorry for yelling at you. response:	You don't have to worry about that!
context: What does that mean?\I'm very sorry!\I will take responsibility for my actions.\Please kick me off the swim team.\Matsuoka-senpai...\Nitori,\sorry for yelling at you.\You don't have to worry about that! response:	And anyway, we can't kick you off...
context: I'm very sorry!\I will take responsibility for my actions.\Please kick me off the swim team.\Matsuoka-senpai...\Nitori,\sorry for yelling at you.\You don't have to worry about that!\And anyway, we can't kick you off... response:	I won't accept that!
context: I will take responsibility for my actions.\Please kick me off the swim team.\Matsuoka-senpai...\Nitori,\sorry for yelling at you.\You don't have to worry about that!\And anyway, we can't kick you off...\I won't accept that! response:	I have a better way for you to own up to your actions.
context: Please kick me off the swim team.\Matsuoka-senpai...\Nitori,\sorry for yelling at you.\You don't have to worry about that!\And anyway, we can't kick you off...\I won't accept that!\I have a better way for you to own up to your actions. response:	Swim the way you just did for our team.
