context: Hey, hey! A human's transformed into a monster! response:	There's no way I can punish him!
context: because she got into a fight.\You'd better stay away from her, Miss Usagi. If you're not careful...\Huh?\Oh, Miss Usagi!\Wow! Her lunch looks so cute and yummy!\Her pouch is adorable, too!\Oh, those seasoned rice balls look so yummy!\Who's there?! response:	Hello!
context: You'd better stay away from her, Miss Usagi. If you're not careful...\Huh?\Oh, Miss Usagi!\Wow! Her lunch looks so cute and yummy!\Her pouch is adorable, too!\Oh, those seasoned rice balls look so yummy!\Who's there?!\Hello! response:	Oh, it's you. I didn't know you went to this school.
context: Huh?\Oh, Miss Usagi!\Wow! Her lunch looks so cute and yummy!\Her pouch is adorable, too!\Oh, those seasoned rice balls look so yummy!\Who's there?!\Hello!\Oh, it's you. I didn't know you went to this school. response:	I'm Usagi Tsukino!
context: Oh, Miss Usagi!\Wow! Her lunch looks so cute and yummy!\Her pouch is adorable, too!\Oh, those seasoned rice balls look so yummy!\Who's there?!\Hello!\Oh, it's you. I didn't know you went to this school.\I'm Usagi Tsukino! response:	Why don't you join me?
context: Wow! Her lunch looks so cute and yummy!\Her pouch is adorable, too!\Oh, those seasoned rice balls look so yummy!\Who's there?!\Hello!\Oh, it's you. I didn't know you went to this school.\I'm Usagi Tsukino!\Why don't you join me? response:	Oh, okay! Thank you for this morning.
context: Her pouch is adorable, too!\Oh, those seasoned rice balls look so yummy!\Who's there?!\Hello!\Oh, it's you. I didn't know you went to this school.\I'm Usagi Tsukino!\Why don't you join me?\Oh, okay! Thank you for this morning. response:	What?!
context: Oh, those seasoned rice balls look so yummy!\Who's there?!\Hello!\Oh, it's you. I didn't know you went to this school.\I'm Usagi Tsukino!\Why don't you join me?\Oh, okay! Thank you for this morning.\What?! response:	Would you like to have some?
context: Who's there?!\Hello!\Oh, it's you. I didn't know you went to this school.\I'm Usagi Tsukino!\Why don't you join me?\Oh, okay! Thank you for this morning.\What?!\Would you like to have some? response:	What?! But I don't eat too much, though...
context: Hello!\Oh, it's you. I didn't know you went to this school.\I'm Usagi Tsukino!\Why don't you join me?\Oh, okay! Thank you for this morning.\What?!\Would you like to have some?\What?! But I don't eat too much, though... response:	What?
context: Oh, it's you. I didn't know you went to this school.\I'm Usagi Tsukino!\Why don't you join me?\Oh, okay! Thank you for this morning.\What?!\Would you like to have some?\What?! But I don't eat too much, though...\What? response:	What? What?
context: I'm Usagi Tsukino!\Why don't you join me?\Oh, okay! Thank you for this morning.\What?!\Would you like to have some?\What?! But I don't eat too much, though...\What?\What? What? response:	What?
context: Why don't you join me?\Oh, okay! Thank you for this morning.\What?!\Would you like to have some?\What?! But I don't eat too much, though...\What?\What? What?\What? response:	Thanks for the food! What?
context: Oh, okay! Thank you for this morning.\What?!\Would you like to have some?\What?! But I don't eat too much, though...\What?\What? What?\What?\Thanks for the food! What? response:	Thanks for the food!
context: What?!\Would you like to have some?\What?! But I don't eat too much, though...\What?\What? What?\What?\Thanks for the food! What?\Thanks for the food! response:	It's good!
context: Would you like to have some?\What?! But I don't eat too much, though...\What?\What? What?\What?\Thanks for the food! What?\Thanks for the food!\It's good! response:	I'm glad you like it!
context: What?! But I don't eat too much, though...\What?\What? What?\What?\Thanks for the food! What?\Thanks for the food!\It's good!\I'm glad you like it! response:	I don't know why,
context: What?\What? What?\What?\Thanks for the food! What?\Thanks for the food!\It's good!\I'm glad you like it!\I don't know why, response:	but everyone here's scared of me and won't talk to me.
context: What? What?\What?\Thanks for the food! What?\Thanks for the food!\It's good!\I'm glad you like it!\I don't know why,\but everyone here's scared of me and won't talk to me. response:	Hey, Mako. Oh, sorry, you're okay with Mako, right?
context: What?\Thanks for the food! What?\Thanks for the food!\It's good!\I'm glad you like it!\I don't know why,\but everyone here's scared of me and won't talk to me.\Hey, Mako. Oh, sorry, you're okay with Mako, right? response:	Oh, sure.
context: Thanks for the food! What?\Thanks for the food!\It's good!\I'm glad you like it!\I don't know why,\but everyone here's scared of me and won't talk to me.\Hey, Mako. Oh, sorry, you're okay with Mako, right?\Oh, sure. response:	Your mother must be a genius chef!
context: Thanks for the food!\It's good!\I'm glad you like it!\I don't know why,\but everyone here's scared of me and won't talk to me.\Hey, Mako. Oh, sorry, you're okay with Mako, right?\Oh, sure.\Your mother must be a genius chef! response:	Oh, this? I made it myself.
context: It's good!\I'm glad you like it!\I don't know why,\but everyone here's scared of me and won't talk to me.\Hey, Mako. Oh, sorry, you're okay with Mako, right?\Oh, sure.\Your mother must be a genius chef!\Oh, this? I made it myself. response:	What?! That's amazing! Wow! Teach me, teach me!
context: I'm glad you like it!\I don't know why,\but everyone here's scared of me and won't talk to me.\Hey, Mako. Oh, sorry, you're okay with Mako, right?\Oh, sure.\Your mother must be a genius chef!\Oh, this? I made it myself.\What?! That's amazing! Wow! Teach me, teach me! response:	Oh, maybe I should get you to fix my lunch! Just kidding!
context: I don't know why,\but everyone here's scared of me and won't talk to me.\Hey, Mako. Oh, sorry, you're okay with Mako, right?\Oh, sure.\Your mother must be a genius chef!\Oh, this? I made it myself.\What?! That's amazing! Wow! Teach me, teach me!\Oh, maybe I should get you to fix my lunch! Just kidding! response:	Miss Usagi is a genius when it comes to making friends.
context: but everyone here's scared of me and won't talk to me.\Hey, Mako. Oh, sorry, you're okay with Mako, right?\Oh, sure.\Your mother must be a genius chef!\Oh, this? I made it myself.\What?! That's amazing! Wow! Teach me, teach me!\Oh, maybe I should get you to fix my lunch! Just kidding!\Miss Usagi is a genius when it comes to making friends. response:	Crown
context: Hey, Mako. Oh, sorry, you're okay with Mako, right?\Oh, sure.\Your mother must be a genius chef!\Oh, this? I made it myself.\What?! That's amazing! Wow! Teach me, teach me!\Oh, maybe I should get you to fix my lunch! Just kidding!\Miss Usagi is a genius when it comes to making friends.\Crown response:	Crown Hey, Mako, why don't you wear our school uniform?
context: Oh, sure.\Your mother must be a genius chef!\Oh, this? I made it myself.\What?! That's amazing! Wow! Teach me, teach me!\Oh, maybe I should get you to fix my lunch! Just kidding!\Miss Usagi is a genius when it comes to making friends.\Crown\Crown Hey, Mako, why don't you wear our school uniform? response:	Crown This is more my style.
context: Your mother must be a genius chef!\Oh, this? I made it myself.\What?! That's amazing! Wow! Teach me, teach me!\Oh, maybe I should get you to fix my lunch! Just kidding!\Miss Usagi is a genius when it comes to making friends.\Crown\Crown Hey, Mako, why don't you wear our school uniform?\Crown This is more my style. response:	Crown I see.
context: Oh, this? I made it myself.\What?! That's amazing! Wow! Teach me, teach me!\Oh, maybe I should get you to fix my lunch! Just kidding!\Miss Usagi is a genius when it comes to making friends.\Crown\Crown Hey, Mako, why don't you wear our school uniform?\Crown This is more my style.\Crown I see. response:	I see.
context: What?! That's amazing! Wow! Teach me, teach me!\Oh, maybe I should get you to fix my lunch! Just kidding!\Miss Usagi is a genius when it comes to making friends.\Crown\Crown Hey, Mako, why don't you wear our school uniform?\Crown This is more my style.\Crown I see.\I see. response:	Oh? I wonder if Motoki's not working today?
context: Oh, maybe I should get you to fix my lunch! Just kidding!\Miss Usagi is a genius when it comes to making friends.\Crown\Crown Hey, Mako, why don't you wear our school uniform?\Crown This is more my style.\Crown I see.\I see.\Oh? I wonder if Motoki's not working today? response:	Who is this Motoki? Oh, is he...
context: Miss Usagi is a genius when it comes to making friends.\Crown\Crown Hey, Mako, why don't you wear our school uniform?\Crown This is more my style.\Crown I see.\I see.\Oh? I wonder if Motoki's not working today?\Who is this Motoki? Oh, is he... response:	your older brother?
context: Crown\Crown Hey, Mako, why don't you wear our school uniform?\Crown This is more my style.\Crown I see.\I see.\Oh? I wonder if Motoki's not working today?\Who is this Motoki? Oh, is he...\your older brother? response:	Bro...
context: Crown Hey, Mako, why don't you wear our school uniform?\Crown This is more my style.\Crown I see.\I see.\Oh? I wonder if Motoki's not working today?\Who is this Motoki? Oh, is he...\your older brother?\Bro... response:	No, no. Motoki is...
context: Crown This is more my style.\Crown I see.\I see.\Oh? I wonder if Motoki's not working today?\Who is this Motoki? Oh, is he...\your older brother?\Bro...\No, no. Motoki is... response:	Excuse me?!
context: Crown I see.\I see.\Oh? I wonder if Motoki's not working today?\Who is this Motoki? Oh, is he...\your older brother?\Bro...\No, no. Motoki is...\Excuse me?! response:	Usagi!
context: I see.\Oh? I wonder if Motoki's not working today?\Who is this Motoki? Oh, is he...\your older brother?\Bro...\No, no. Motoki is...\Excuse me?!\Usagi! response:	So, this is where you were.
context: Oh? I wonder if Motoki's not working today?\Who is this Motoki? Oh, is he...\your older brother?\Bro...\No, no. Motoki is...\Excuse me?!\Usagi!\So, this is where you were. response:	What is it?
context: Who is this Motoki? Oh, is he...\your older brother?\Bro...\No, no. Motoki is...\Excuse me?!\Usagi!\So, this is where you were.\What is it? response:	Well, Luna says that girl bothers her.
context: your older brother?\Bro...\No, no. Motoki is...\Excuse me?!\Usagi!\So, this is where you were.\What is it?\Well, Luna says that girl bothers her. response:	That girl? You mean Mako?
context: Bro...\No, no. Motoki is...\Excuse me?!\Usagi!\So, this is where you were.\What is it?\Well, Luna says that girl bothers her.\That girl? You mean Mako? response:	Right.
context: No, no. Motoki is...\Excuse me?!\Usagi!\So, this is where you were.\What is it?\Well, Luna says that girl bothers her.\That girl? You mean Mako?\Right. response:	I think you're thinking too much, Luna. Right.
context: Excuse me?!\Usagi!\So, this is where you were.\What is it?\Well, Luna says that girl bothers her.\That girl? You mean Mako?\Right.\I think you're thinking too much, Luna. Right. response:	I think you're thinking too much, Luna.
context: Usagi!\So, this is where you were.\What is it?\Well, Luna says that girl bothers her.\That girl? You mean Mako?\Right.\I think you're thinking too much, Luna. Right.\I think you're thinking too much, Luna. response:	Oh, shoot! It beat me!
context: So, this is where you were.\What is it?\Well, Luna says that girl bothers her.\That girl? You mean Mako?\Right.\I think you're thinking too much, Luna. Right.\I think you're thinking too much, Luna.\Oh, shoot! It beat me! response:	Mako!
context: What is it?\Well, Luna says that girl bothers her.\That girl? You mean Mako?\Right.\I think you're thinking too much, Luna. Right.\I think you're thinking too much, Luna.\Oh, shoot! It beat me!\Mako! response:	What? Mako!
context: Well, Luna says that girl bothers her.\That girl? You mean Mako?\Right.\I think you're thinking too much, Luna. Right.\I think you're thinking too much, Luna.\Oh, shoot! It beat me!\Mako!\What? Mako! response:	What? Let me introduce you.
context: That girl? You mean Mako?\Right.\I think you're thinking too much, Luna. Right.\I think you're thinking too much, Luna.\Oh, shoot! It beat me!\Mako!\What? Mako!\What? Let me introduce you. response:	Let me introduce you.
context: Right.\I think you're thinking too much, Luna. Right.\I think you're thinking too much, Luna.\Oh, shoot! It beat me!\Mako!\What? Mako!\What? Let me introduce you.\Let me introduce you. response:	This is Makoto Kino. She just transferred to Juban Junior High today.
context: I think you're thinking too much, Luna. Right.\I think you're thinking too much, Luna.\Oh, shoot! It beat me!\Mako!\What? Mako!\What? Let me introduce you.\Let me introduce you.\This is Makoto Kino. She just transferred to Juban Junior High today. response:	Nice to meet you!
context: I think you're thinking too much, Luna.\Oh, shoot! It beat me!\Mako!\What? Mako!\What? Let me introduce you.\Let me introduce you.\This is Makoto Kino. She just transferred to Juban Junior High today.\Nice to meet you! response:	Nice to meet you, too! Nice to meet you!
context: Oh, shoot! It beat me!\Mako!\What? Mako!\What? Let me introduce you.\Let me introduce you.\This is Makoto Kino. She just transferred to Juban Junior High today.\Nice to meet you!\Nice to meet you, too! Nice to meet you! response:	Nice to meet you, too!
context: Mako!\What? Mako!\What? Let me introduce you.\Let me introduce you.\This is Makoto Kino. She just transferred to Juban Junior High today.\Nice to meet you!\Nice to meet you, too! Nice to meet you!\Nice to meet you, too! response:	And this is the smart Ami and the meanie Rei.
context: What? Mako!\What? Let me introduce you.\Let me introduce you.\This is Makoto Kino. She just transferred to Juban Junior High today.\Nice to meet you!\Nice to meet you, too! Nice to meet you!\Nice to meet you, too!\And this is the smart Ami and the meanie Rei. response:	Who are you calling a meanie?
context: What? Let me introduce you.\Let me introduce you.\This is Makoto Kino. She just transferred to Juban Junior High today.\Nice to meet you!\Nice to meet you, too! Nice to meet you!\Nice to meet you, too!\And this is the smart Ami and the meanie Rei.\Who are you calling a meanie? response:	You!
context: Let me introduce you.\This is Makoto Kino. She just transferred to Juban Junior High today.\Nice to meet you!\Nice to meet you, too! Nice to meet you!\Nice to meet you, too!\And this is the smart Ami and the meanie Rei.\Who are you calling a meanie?\You! response:	I didn't hear you. Who did you say? You!
context: This is Makoto Kino. She just transferred to Juban Junior High today.\Nice to meet you!\Nice to meet you, too! Nice to meet you!\Nice to meet you, too!\And this is the smart Ami and the meanie Rei.\Who are you calling a meanie?\You!\I didn't hear you. Who did you say? You! response:	I didn't hear you. Who did you say?
context: Nice to meet you!\Nice to meet you, too! Nice to meet you!\Nice to meet you, too!\And this is the smart Ami and the meanie Rei.\Who are you calling a meanie?\You!\I didn't hear you. Who did you say? You!\I didn't hear you. Who did you say? response:	You!
context: Nice to meet you, too! Nice to meet you!\Nice to meet you, too!\And this is the smart Ami and the meanie Rei.\Who are you calling a meanie?\You!\I didn't hear you. Who did you say? You!\I didn't hear you. Who did you say?\You! response:	What year, month, day, day of the week, hour, minute or second
context: Nice to meet you, too!\And this is the smart Ami and the meanie Rei.\Who are you calling a meanie?\You!\I didn't hear you. Who did you say? You!\I didn't hear you. Who did you say?\You!\What year, month, day, day of the week, hour, minute or second response:	was I ever mean to you?!
context: And this is the smart Ami and the meanie Rei.\Who are you calling a meanie?\You!\I didn't hear you. Who did you say? You!\I didn't hear you. Who did you say?\You!\What year, month, day, day of the week, hour, minute or second\was I ever mean to you?! response:	That's why you're mean!
context: Who are you calling a meanie?\You!\I didn't hear you. Who did you say? You!\I didn't hear you. Who did you say?\You!\What year, month, day, day of the week, hour, minute or second\was I ever mean to you?!\That's why you're mean! response:	You guys really get along.
context: You!\I didn't hear you. Who did you say? You!\I didn't hear you. Who did you say?\You!\What year, month, day, day of the week, hour, minute or second\was I ever mean to you?!\That's why you're mean!\You guys really get along. response:	What?! No way! What?! No way!
context: I didn't hear you. Who did you say? You!\I didn't hear you. Who did you say?\You!\What year, month, day, day of the week, hour, minute or second\was I ever mean to you?!\That's why you're mean!\You guys really get along.\What?! No way! What?! No way! response:	She's always picking fights with me whenever she sees me!
context: I didn't hear you. Who did you say?\You!\What year, month, day, day of the week, hour, minute or second\was I ever mean to you?!\That's why you're mean!\You guys really get along.\What?! No way! What?! No way!\She's always picking fights with me whenever she sees me! response:	Who picks the fights?!
context: You!\What year, month, day, day of the week, hour, minute or second\was I ever mean to you?!\That's why you're mean!\You guys really get along.\What?! No way! What?! No way!\She's always picking fights with me whenever she sees me!\Who picks the fights?! response:	You do! Who picks the fights?!
context: What year, month, day, day of the week, hour, minute or second\was I ever mean to you?!\That's why you're mean!\You guys really get along.\What?! No way! What?! No way!\She's always picking fights with me whenever she sees me!\Who picks the fights?!\You do! Who picks the fights?! response:	You do! They say, the more you fight, the better friends you are.
context: was I ever mean to you?!\That's why you're mean!\You guys really get along.\What?! No way! What?! No way!\She's always picking fights with me whenever she sees me!\Who picks the fights?!\You do! Who picks the fights?!\You do! They say, the more you fight, the better friends you are. response:	They say, the more you fight, the better friends you are.
context: That's why you're mean!\You guys really get along.\What?! No way! What?! No way!\She's always picking fights with me whenever she sees me!\Who picks the fights?!\You do! Who picks the fights?!\You do! They say, the more you fight, the better friends you are.\They say, the more you fight, the better friends you are. response:	She's got a point there.
context: You guys really get along.\What?! No way! What?! No way!\She's always picking fights with me whenever she sees me!\Who picks the fights?!\You do! Who picks the fights?!\You do! They say, the more you fight, the better friends you are.\They say, the more you fight, the better friends you are.\She's got a point there. response:	Oh, she's so cute!
context: What?! No way! What?! No way!\She's always picking fights with me whenever she sees me!\Who picks the fights?!\You do! Who picks the fights?!\You do! They say, the more you fight, the better friends you are.\They say, the more you fight, the better friends you are.\She's got a point there.\Oh, she's so cute! response:	That cat with the crescent bald spot is named Luna.
context: She's always picking fights with me whenever she sees me!\Who picks the fights?!\You do! Who picks the fights?!\You do! They say, the more you fight, the better friends you are.\They say, the more you fight, the better friends you are.\She's got a point there.\Oh, she's so cute!\That cat with the crescent bald spot is named Luna. response:	She's staying at my house.
context: Who picks the fights?!\You do! Who picks the fights?!\You do! They say, the more you fight, the better friends you are.\They say, the more you fight, the better friends you are.\She's got a point there.\Oh, she's so cute!\That cat with the crescent bald spot is named Luna.\She's staying at my house. response:	Wow!
context: You do! Who picks the fights?!\You do! They say, the more you fight, the better friends you are.\They say, the more you fight, the better friends you are.\She's got a point there.\Oh, she's so cute!\That cat with the crescent bald spot is named Luna.\She's staying at my house.\Wow! response:	Wow! He did it again! It's amazing!
context: You do! They say, the more you fight, the better friends you are.\They say, the more you fight, the better friends you are.\She's got a point there.\Oh, she's so cute!\That cat with the crescent bald spot is named Luna.\She's staying at my house.\Wow!\Wow! He did it again! It's amazing! response:	What? Wow! He did it again! It's amazing!
context: They say, the more you fight, the better friends you are.\She's got a point there.\Oh, she's so cute!\That cat with the crescent bald spot is named Luna.\She's staying at my house.\Wow!\Wow! He did it again! It's amazing!\What? Wow! He did it again! It's amazing! response:	Wow! It's amazing! He got two! Wow!
context: She's got a point there.\Oh, she's so cute!\That cat with the crescent bald spot is named Luna.\She's staying at my house.\Wow!\Wow! He did it again! It's amazing!\What? Wow! He did it again! It's amazing!\Wow! It's amazing! He got two! Wow! response:	That's something!
context: Oh, she's so cute!\That cat with the crescent bald spot is named Luna.\She's staying at my house.\Wow!\Wow! He did it again! It's amazing!\What? Wow! He did it again! It's amazing!\Wow! It's amazing! He got two! Wow!\That's something! response:	Oh, Usagi!
context: That cat with the crescent bald spot is named Luna.\She's staying at my house.\Wow!\Wow! He did it again! It's amazing!\What? Wow! He did it again! It's amazing!\Wow! It's amazing! He got two! Wow!\That's something!\Oh, Usagi! response:	Oh, Yumi! Oh, Usagi!
context: She's staying at my house.\Wow!\Wow! He did it again! It's amazing!\What? Wow! He did it again! It's amazing!\Wow! It's amazing! He got two! Wow!\That's something!\Oh, Usagi!\Oh, Yumi! Oh, Usagi! response:	Oh, Yumi!
context: Wow!\Wow! He did it again! It's amazing!\What? Wow! He did it again! It's amazing!\Wow! It's amazing! He got two! Wow!\That's something!\Oh, Usagi!\Oh, Yumi! Oh, Usagi!\Oh, Yumi! response:	Oh, Yumi! Did you see that?!
context: Wow! He did it again! It's amazing!\What? Wow! He did it again! It's amazing!\Wow! It's amazing! He got two! Wow!\That's something!\Oh, Usagi!\Oh, Yumi! Oh, Usagi!\Oh, Yumi!\Oh, Yumi! Did you see that?! response:	Did you see that?!
context: What? Wow! He did it again! It's amazing!\Wow! It's amazing! He got two! Wow!\That's something!\Oh, Usagi!\Oh, Yumi! Oh, Usagi!\Oh, Yumi!\Oh, Yumi! Did you see that?!\Did you see that?! response:	Yeah, I did! Did you see that?!
context: Wow! It's amazing! He got two! Wow!\That's something!\Oh, Usagi!\Oh, Yumi! Oh, Usagi!\Oh, Yumi!\Oh, Yumi! Did you see that?!\Did you see that?!\Yeah, I did! Did you see that?! response:	Yeah, I did!
context: That's something!\Oh, Usagi!\Oh, Yumi! Oh, Usagi!\Oh, Yumi!\Oh, Yumi! Did you see that?!\Did you see that?!\Yeah, I did! Did you see that?!\Yeah, I did! response:	Yeah, I did! That guy's called Joe, the Crane Game Raider.
context: Oh, Usagi!\Oh, Yumi! Oh, Usagi!\Oh, Yumi!\Oh, Yumi! Did you see that?!\Did you see that?!\Yeah, I did! Did you see that?!\Yeah, I did!\Yeah, I did! That guy's called Joe, the Crane Game Raider. response:	That guy's called Joe, the Crane Game Raider.
context: Oh, Yumi! Oh, Usagi!\Oh, Yumi!\Oh, Yumi! Did you see that?!\Did you see that?!\Yeah, I did! Did you see that?!\Yeah, I did!\Yeah, I did! That guy's called Joe, the Crane Game Raider.\That guy's called Joe, the Crane Game Raider. response:	Crane Game Raider? What the heck is that?
context: Oh, Yumi!\Oh, Yumi! Did you see that?!\Did you see that?!\Yeah, I did! Did you see that?!\Yeah, I did!\Yeah, I did! That guy's called Joe, the Crane Game Raider.\That guy's called Joe, the Crane Game Raider.\Crane Game Raider? What the heck is that? response:	He's a genius crane game player!
context: Oh, Yumi! Did you see that?!\Did you see that?!\Yeah, I did! Did you see that?!\Yeah, I did!\Yeah, I did! That guy's called Joe, the Crane Game Raider.\That guy's called Joe, the Crane Game Raider.\Crane Game Raider? What the heck is that?\He's a genius crane game player! response:	They say that when he goes after an arcade,
context: Did you see that?!\Yeah, I did! Did you see that?!\Yeah, I did!\Yeah, I did! That guy's called Joe, the Crane Game Raider.\That guy's called Joe, the Crane Game Raider.\Crane Game Raider? What the heck is that?\He's a genius crane game player!\They say that when he goes after an arcade, response:	it loses every last one of its stuffed animals to him.
context: Yeah, I did! Did you see that?!\Yeah, I did!\Yeah, I did! That guy's called Joe, the Crane Game Raider.\That guy's called Joe, the Crane Game Raider.\Crane Game Raider? What the heck is that?\He's a genius crane game player!\They say that when he goes after an arcade,\it loses every last one of its stuffed animals to him. response:	Wow, isn't that amazing, Mako?
context: Yeah, I did!\Yeah, I did! That guy's called Joe, the Crane Game Raider.\That guy's called Joe, the Crane Game Raider.\Crane Game Raider? What the heck is that?\He's a genius crane game player!\They say that when he goes after an arcade,\it loses every last one of its stuffed animals to him.\Wow, isn't that amazing, Mako? response:	He looks exactly like him.
context: Yeah, I did! That guy's called Joe, the Crane Game Raider.\That guy's called Joe, the Crane Game Raider.\Crane Game Raider? What the heck is that?\He's a genius crane game player!\They say that when he goes after an arcade,\it loses every last one of its stuffed animals to him.\Wow, isn't that amazing, Mako?\He looks exactly like him. response:	Mako? He looks exactly like him.
context: That guy's called Joe, the Crane Game Raider.\Crane Game Raider? What the heck is that?\He's a genius crane game player!\They say that when he goes after an arcade,\it loses every last one of its stuffed animals to him.\Wow, isn't that amazing, Mako?\He looks exactly like him.\Mako? He looks exactly like him. response:	Mako?
context: Crane Game Raider? What the heck is that?\He's a genius crane game player!\They say that when he goes after an arcade,\it loses every last one of its stuffed animals to him.\Wow, isn't that amazing, Mako?\He looks exactly like him.\Mako? He looks exactly like him.\Mako? response:	My senior...
context: He's a genius crane game player!\They say that when he goes after an arcade,\it loses every last one of its stuffed animals to him.\Wow, isn't that amazing, Mako?\He looks exactly like him.\Mako? He looks exactly like him.\Mako?\My senior... response:	Hello, there? Mako? Mako? Earth to Mako?!
context: They say that when he goes after an arcade,\it loses every last one of its stuffed animals to him.\Wow, isn't that amazing, Mako?\He looks exactly like him.\Mako? He looks exactly like him.\Mako?\My senior...\Hello, there? Mako? Mako? Earth to Mako?! response:	What could have gotten into her?
context: it loses every last one of its stuffed animals to him.\Wow, isn't that amazing, Mako?\He looks exactly like him.\Mako? He looks exactly like him.\Mako?\My senior...\Hello, there? Mako? Mako? Earth to Mako?!\What could have gotten into her? response:	There we go! Oops!
context: Wow, isn't that amazing, Mako?\He looks exactly like him.\Mako? He looks exactly like him.\Mako?\My senior...\Hello, there? Mako? Mako? Earth to Mako?!\What could have gotten into her?\There we go! Oops! response:	I've found you!
context: He looks exactly like him.\Mako? He looks exactly like him.\Mako?\My senior...\Hello, there? Mako? Mako? Earth to Mako?!\What could have gotten into her?\There we go! Oops!\I've found you! response:	What the?!
context: Mako? He looks exactly like him.\Mako?\My senior...\Hello, there? Mako? Mako? Earth to Mako?!\What could have gotten into her?\There we go! Oops!\I've found you!\What the?! response:	This will be over quickly.
context: Mako?\My senior...\Hello, there? Mako? Mako? Earth to Mako?!\What could have gotten into her?\There we go! Oops!\I've found you!\What the?!\This will be over quickly. response:	Zoi!
context: My senior...\Hello, there? Mako? Mako? Earth to Mako?!\What could have gotten into her?\There we go! Oops!\I've found you!\What the?!\This will be over quickly.\Zoi! response:	Stop it!
context: Hello, there? Mako? Mako? Earth to Mako?!\What could have gotten into her?\There we go! Oops!\I've found you!\What the?!\This will be over quickly.\Zoi!\Stop it! response:	Stop it!
context: What could have gotten into her?\There we go! Oops!\I've found you!\What the?!\This will be over quickly.\Zoi!\Stop it!\Stop it! response:	Stop right there!
context: There we go! Oops!\I've found you!\What the?!\This will be over quickly.\Zoi!\Stop it!\Stop it!\Stop right there! response:	It's not nice to pick on people weaker than you.
context: I've found you!\What the?!\This will be over quickly.\Zoi!\Stop it!\Stop it!\Stop right there!\It's not nice to pick on people weaker than you. response:	Shoot!
context: What the?!\This will be over quickly.\Zoi!\Stop it!\Stop it!\Stop right there!\It's not nice to pick on people weaker than you.\Shoot! response:	You'll get hurt if you interfere!
context: This will be over quickly.\Zoi!\Stop it!\Stop it!\Stop right there!\It's not nice to pick on people weaker than you.\Shoot!\You'll get hurt if you interfere! response:	What are you doing?
context: Zoi!\Stop it!\Stop it!\Stop right there!\It's not nice to pick on people weaker than you.\Shoot!\You'll get hurt if you interfere!\What are you doing? response:	Not too bad.
context: Stop it!\Stop it!\Stop right there!\It's not nice to pick on people weaker than you.\Shoot!\You'll get hurt if you interfere!\What are you doing?\Not too bad. response:	Barbaric.
context: Stop it!\Stop right there!\It's not nice to pick on people weaker than you.\Shoot!\You'll get hurt if you interfere!\What are you doing?\Not too bad.\Barbaric. response:	You injured my precious face!
context: Stop right there!\It's not nice to pick on people weaker than you.\Shoot!\You'll get hurt if you interfere!\What are you doing?\Not too bad.\Barbaric.\You injured my precious face! response:	Mako! Whoa, what's going on?! A fight?!
context: It's not nice to pick on people weaker than you.\Shoot!\You'll get hurt if you interfere!\What are you doing?\Not too bad.\Barbaric.\You injured my precious face!\Mako! Whoa, what's going on?! A fight?! response:	Shoot!
context: Shoot!\You'll get hurt if you interfere!\What are you doing?\Not too bad.\Barbaric.\You injured my precious face!\Mako! Whoa, what's going on?! A fight?!\Shoot! response:	Wait! Shoot!
context: You'll get hurt if you interfere!\What are you doing?\Not too bad.\Barbaric.\You injured my precious face!\Mako! Whoa, what's going on?! A fight?!\Shoot!\Wait! Shoot! response:	Wait! What's wrong?!
context: What are you doing?\Not too bad.\Barbaric.\You injured my precious face!\Mako! Whoa, what's going on?! A fight?!\Shoot!\Wait! Shoot!\Wait! What's wrong?! response:	What's wrong?!
context: Not too bad.\Barbaric.\You injured my precious face!\Mako! Whoa, what's going on?! A fight?!\Shoot!\Wait! Shoot!\Wait! What's wrong?!\What's wrong?! response:	Are you okay?
context: Barbaric.\You injured my precious face!\Mako! Whoa, what's going on?! A fight?!\Shoot!\Wait! Shoot!\Wait! What's wrong?!\What's wrong?!\Are you okay? response:	Mako, what happened? Are you okay?
context: You injured my precious face!\Mako! Whoa, what's going on?! A fight?!\Shoot!\Wait! Shoot!\Wait! What's wrong?!\What's wrong?!\Are you okay?\Mako, what happened? Are you okay? response:	Mako, what happened?
context: Mako! Whoa, what's going on?! A fight?!\Shoot!\Wait! Shoot!\Wait! What's wrong?!\What's wrong?!\Are you okay?\Mako, what happened? Are you okay?\Mako, what happened? response:	Let go!
context: Shoot!\Wait! Shoot!\Wait! What's wrong?!\What's wrong?!\Are you okay?\Mako, what happened? Are you okay?\Mako, what happened?\Let go! response:	Just leave me alone!
context: Wait! Shoot!\Wait! What's wrong?!\What's wrong?!\Are you okay?\Mako, what happened? Are you okay?\Mako, what happened?\Let go!\Just leave me alone! response:	Oh, but...
context: Wait! What's wrong?!\What's wrong?!\Are you okay?\Mako, what happened? Are you okay?\Mako, what happened?\Let go!\Just leave me alone!\Oh, but... response:	What's wrong with him?! We were worried for him and...
context: What's wrong?!\Are you okay?\Mako, what happened? Are you okay?\Mako, what happened?\Let go!\Just leave me alone!\Oh, but...\What's wrong with him?! We were worried for him and... response:	Oh, Mako?!
context: Are you okay?\Mako, what happened? Are you okay?\Mako, what happened?\Let go!\Just leave me alone!\Oh, but...\What's wrong with him?! We were worried for him and...\Oh, Mako?! response:	What's wrong?!
