context: The Third Dish response:	Six
context: Perhaps he was only being utterly sincere, both that night and today.\You're right.\He may have absolute certainty that no matter what happens, he'll get his way.\Arato Hisako, thank you for all your hard work before now.\What?\I offer you my sincere thanks for supporting Erina during my absence.\Your presence was so helpful to her.\I see. response:	From this day forth, you are relieved of your duties as her secretary.
context: You're right.\He may have absolute certainty that no matter what happens, he'll get his way.\Arato Hisako, thank you for all your hard work before now.\What?\I offer you my sincere thanks for supporting Erina during my absence.\Your presence was so helpful to her.\I see.\From this day forth, you are relieved of your duties as her secretary. response:	Please, wait.
context: He may have absolute certainty that no matter what happens, he'll get his way.\Arato Hisako, thank you for all your hard work before now.\What?\I offer you my sincere thanks for supporting Erina during my absence.\Your presence was so helpful to her.\I see.\From this day forth, you are relieved of your duties as her secretary.\Please, wait. response:	Erina, you have no objections, correct?
context: Arato Hisako, thank you for all your hard work before now.\What?\I offer you my sincere thanks for supporting Erina during my absence.\Your presence was so helpful to her.\I see.\From this day forth, you are relieved of your duties as her secretary.\Please, wait.\Erina, you have no objections, correct? response:	Father...
context: What?\I offer you my sincere thanks for supporting Erina during my absence.\Your presence was so helpful to her.\I see.\From this day forth, you are relieved of your duties as her secretary.\Please, wait.\Erina, you have no objections, correct?\Father... response:	I'd like to continue with Hisako
context: I offer you my sincere thanks for supporting Erina during my absence.\Your presence was so helpful to her.\I see.\From this day forth, you are relieved of your duties as her secretary.\Please, wait.\Erina, you have no objections, correct?\Father...\I'd like to continue with Hisako response:	There's no need for concern.
context: Your presence was so helpful to her.\I see.\From this day forth, you are relieved of your duties as her secretary.\Please, wait.\Erina, you have no objections, correct?\Father...\I'd like to continue with Hisako\There's no need for concern. response:	I'll be by your side, always.
context: I see.\From this day forth, you are relieved of your duties as her secretary.\Please, wait.\Erina, you have no objections, correct?\Father...\I'd like to continue with Hisako\There's no need for concern.\I'll be by your side, always. response:	I will determine who your clients will be,
context: From this day forth, you are relieved of your duties as her secretary.\Please, wait.\Erina, you have no objections, correct?\Father...\I'd like to continue with Hisako\There's no need for concern.\I'll be by your side, always.\I will determine who your clients will be, response:	so that we can make the best use of your talents.
context: Please, wait.\Erina, you have no objections, correct?\Father...\I'd like to continue with Hisako\There's no need for concern.\I'll be by your side, always.\I will determine who your clients will be,\so that we can make the best use of your talents. response:	Let us work together on this.
context: Erina, you have no objections, correct?\Father...\I'd like to continue with Hisako\There's no need for concern.\I'll be by your side, always.\I will determine who your clients will be,\so that we can make the best use of your talents.\Let us work together on this. response:	Right, Erina?
context: Father...\I'd like to continue with Hisako\There's no need for concern.\I'll be by your side, always.\I will determine who your clients will be,\so that we can make the best use of your talents.\Let us work together on this.\Right, Erina? response:	Y-Yes, Father.
context: I'd like to continue with Hisako\There's no need for concern.\I'll be by your side, always.\I will determine who your clients will be,\so that we can make the best use of your talents.\Let us work together on this.\Right, Erina?\Y-Yes, Father. response:	Is Yukihira here?
context: There's no need for concern.\I'll be by your side, always.\I will determine who your clients will be,\so that we can make the best use of your talents.\Let us work together on this.\Right, Erina?\Y-Yes, Father.\Is Yukihira here? response:	Oh, he just went up to his room.
context: I'll be by your side, always.\I will determine who your clients will be,\so that we can make the best use of your talents.\Let us work together on this.\Right, Erina?\Y-Yes, Father.\Is Yukihira here?\Oh, he just went up to his room. response:	Is something wrong?
context: I will determine who your clients will be,\so that we can make the best use of your talents.\Let us work together on this.\Right, Erina?\Y-Yes, Father.\Is Yukihira here?\Oh, he just went up to his room.\Is something wrong? response:	Oh, he has a visitor.
context: so that we can make the best use of your talents.\Let us work together on this.\Right, Erina?\Y-Yes, Father.\Is Yukihira here?\Oh, he just went up to his room.\Is something wrong?\Oh, he has a visitor. response:	At this time of night?
context: Let us work together on this.\Right, Erina?\Y-Yes, Father.\Is Yukihira here?\Oh, he just went up to his room.\Is something wrong?\Oh, he has a visitor.\At this time of night? response:	Now that we have a new director,
context: Right, Erina?\Y-Yes, Father.\Is Yukihira here?\Oh, he just went up to his room.\Is something wrong?\Oh, he has a visitor.\At this time of night?\Now that we have a new director, response:	I wonder what the old director's up to.
context: Y-Yes, Father.\Is Yukihira here?\Oh, he just went up to his room.\Is something wrong?\Oh, he has a visitor.\At this time of night?\Now that we have a new director,\I wonder what the old director's up to. response:	Uh, speak of the Devil!
context: Is Yukihira here?\Oh, he just went up to his room.\Is something wrong?\Oh, he has a visitor.\At this time of night?\Now that we have a new director,\I wonder what the old director's up to.\Uh, speak of the Devil! response:	Ah, my apologies for the sudden visit.
context: Oh, he just went up to his room.\Is something wrong?\Oh, he has a visitor.\At this time of night?\Now that we have a new director,\I wonder what the old director's up to.\Uh, speak of the Devil!\Ah, my apologies for the sudden visit. response:	It's fine.
context: Is something wrong?\Oh, he has a visitor.\At this time of night?\Now that we have a new director,\I wonder what the old director's up to.\Uh, speak of the Devil!\Ah, my apologies for the sudden visit.\It's fine. response:	Do you need to talk to me?
context: Oh, he has a visitor.\At this time of night?\Now that we have a new director,\I wonder what the old director's up to.\Uh, speak of the Devil!\Ah, my apologies for the sudden visit.\It's fine.\Do you need to talk to me? response:	Come to think of it, this is the first time I've spoken with you face to face.
context: At this time of night?\Now that we have a new director,\I wonder what the old director's up to.\Uh, speak of the Devil!\Ah, my apologies for the sudden visit.\It's fine.\Do you need to talk to me?\Come to think of it, this is the first time I've spoken with you face to face. response:	I guess so, yeah.
context: Now that we have a new director,\I wonder what the old director's up to.\Uh, speak of the Devil!\Ah, my apologies for the sudden visit.\It's fine.\Do you need to talk to me?\Come to think of it, this is the first time I've spoken with you face to face.\I guess so, yeah. response:	I am the one who encouraged Joichiro to have you apply to Totsuki.
context: I wonder what the old director's up to.\Uh, speak of the Devil!\Ah, my apologies for the sudden visit.\It's fine.\Do you need to talk to me?\Come to think of it, this is the first time I've spoken with you face to face.\I guess so, yeah.\I am the one who encouraged Joichiro to have you apply to Totsuki. response:	During his time here, your father was the Second Seat.
context: Uh, speak of the Devil!\Ah, my apologies for the sudden visit.\It's fine.\Do you need to talk to me?\Come to think of it, this is the first time I've spoken with you face to face.\I guess so, yeah.\I am the one who encouraged Joichiro to have you apply to Totsuki.\During his time here, your father was the Second Seat. response:	Many things happened when he was a student, but he is a truly spectacular chef.
context: Ah, my apologies for the sudden visit.\It's fine.\Do you need to talk to me?\Come to think of it, this is the first time I've spoken with you face to face.\I guess so, yeah.\I am the one who encouraged Joichiro to have you apply to Totsuki.\During his time here, your father was the Second Seat.\Many things happened when he was a student, but he is a truly spectacular chef. response:	Sounds like you were pretty close to my dad.
context: It's fine.\Do you need to talk to me?\Come to think of it, this is the first time I've spoken with you face to face.\I guess so, yeah.\I am the one who encouraged Joichiro to have you apply to Totsuki.\During his time here, your father was the Second Seat.\Many things happened when he was a student, but he is a truly spectacular chef.\Sounds like you were pretty close to my dad. response:	Yes.
context: Do you need to talk to me?\Come to think of it, this is the first time I've spoken with you face to face.\I guess so, yeah.\I am the one who encouraged Joichiro to have you apply to Totsuki.\During his time here, your father was the Second Seat.\Many things happened when he was a student, but he is a truly spectacular chef.\Sounds like you were pretty close to my dad.\Yes. response:	Let's go outside.
context: Come to think of it, this is the first time I've spoken with you face to face.\I guess so, yeah.\I am the one who encouraged Joichiro to have you apply to Totsuki.\During his time here, your father was the Second Seat.\Many things happened when he was a student, but he is a truly spectacular chef.\Sounds like you were pretty close to my dad.\Yes.\Let's go outside. response:	Sorry to make you accompany me on my daily routine.
context: I guess so, yeah.\I am the one who encouraged Joichiro to have you apply to Totsuki.\During his time here, your father was the Second Seat.\Many things happened when he was a student, but he is a truly spectacular chef.\Sounds like you were pretty close to my dad.\Yes.\Let's go outside.\Sorry to make you accompany me on my daily routine. response:	No prob.
context: I am the one who encouraged Joichiro to have you apply to Totsuki.\During his time here, your father was the Second Seat.\Many things happened when he was a student, but he is a truly spectacular chef.\Sounds like you were pretty close to my dad.\Yes.\Let's go outside.\Sorry to make you accompany me on my daily routine.\No prob. response:	I must say, it's as though a great weight has been lifted from me,
context: During his time here, your father was the Second Seat.\Many things happened when he was a student, but he is a truly spectacular chef.\Sounds like you were pretty close to my dad.\Yes.\Let's go outside.\Sorry to make you accompany me on my daily routine.\No prob.\I must say, it's as though a great weight has been lifted from me, response:	Training
context: Many things happened when he was a student, but he is a truly spectacular chef.\Sounds like you were pretty close to my dad.\Yes.\Let's go outside.\Sorry to make you accompany me on my daily routine.\No prob.\I must say, it's as though a great weight has been lifted from me,\Training response:	now that I have been released from my responsibilities as director.
context: Sounds like you were pretty close to my dad.\Yes.\Let's go outside.\Sorry to make you accompany me on my daily routine.\No prob.\I must say, it's as though a great weight has been lifted from me,\Training\now that I have been released from my responsibilities as director. response:	Is that right?
context: Yes.\Let's go outside.\Sorry to make you accompany me on my daily routine.\No prob.\I must say, it's as though a great weight has been lifted from me,\Training\now that I have been released from my responsibilities as director.\Is that right? response:	That's good to hear.
context: Let's go outside.\Sorry to make you accompany me on my daily routine.\No prob.\I must say, it's as though a great weight has been lifted from me,\Training\now that I have been released from my responsibilities as director.\Is that right?\That's good to hear. response:	Training
context: Sorry to make you accompany me on my daily routine.\No prob.\I must say, it's as though a great weight has been lifted from me,\Training\now that I have been released from my responsibilities as director.\Is that right?\That's good to hear.\Training response:	So what is it you wanted to talk to me about?
context: No prob.\I must say, it's as though a great weight has been lifted from me,\Training\now that I have been released from my responsibilities as director.\Is that right?\That's good to hear.\Training\So what is it you wanted to talk to me about? response:	In your opinion, how is Erina as a chef?
context: I must say, it's as though a great weight has been lifted from me,\Training\now that I have been released from my responsibilities as director.\Is that right?\That's good to hear.\Training\So what is it you wanted to talk to me about?\In your opinion, how is Erina as a chef? response:	Huh?
context: Training\now that I have been released from my responsibilities as director.\Is that right?\That's good to hear.\Training\So what is it you wanted to talk to me about?\In your opinion, how is Erina as a chef?\Huh? response:	Well, I mean...
context: now that I have been released from my responsibilities as director.\Is that right?\That's good to hear.\Training\So what is it you wanted to talk to me about?\In your opinion, how is Erina as a chef?\Huh?\Well, I mean... response:	She's really picky about taste.
context: Is that right?\That's good to hear.\Training\So what is it you wanted to talk to me about?\In your opinion, how is Erina as a chef?\Huh?\Well, I mean...\She's really picky about taste. response:	She's always on edge, I guess.
context: That's good to hear.\Training\So what is it you wanted to talk to me about?\In your opinion, how is Erina as a chef?\Huh?\Well, I mean...\She's really picky about taste.\She's always on edge, I guess. response:	That's half because of you!
context: Training\So what is it you wanted to talk to me about?\In your opinion, how is Erina as a chef?\Huh?\Well, I mean...\She's really picky about taste.\She's always on edge, I guess.\That's half because of you! response:	Erina used to be full of laughter as a child.
context: So what is it you wanted to talk to me about?\In your opinion, how is Erina as a chef?\Huh?\Well, I mean...\She's really picky about taste.\She's always on edge, I guess.\That's half because of you!\Erina used to be full of laughter as a child. response:	It's disgusting.
context: In your opinion, how is Erina as a chef?\Huh?\Well, I mean...\She's really picky about taste.\She's always on edge, I guess.\That's half because of you!\Erina used to be full of laughter as a child.\It's disgusting. response:	What, what, what?
context: Huh?\Well, I mean...\She's really picky about taste.\She's always on edge, I guess.\That's half because of you!\Erina used to be full of laughter as a child.\It's disgusting.\What, what, what? response:	But I baked it just for you!
context: Well, I mean...\She's really picky about taste.\She's always on edge, I guess.\That's half because of you!\Erina used to be full of laughter as a child.\It's disgusting.\What, what, what?\But I baked it just for you! response:	But it's not good.
context: She's really picky about taste.\She's always on edge, I guess.\That's half because of you!\Erina used to be full of laughter as a child.\It's disgusting.\What, what, what?\But I baked it just for you!\But it's not good. response:	But thank you, Alice.
context: She's always on edge, I guess.\That's half because of you!\Erina used to be full of laughter as a child.\It's disgusting.\What, what, what?\But I baked it just for you!\But it's not good.\But thank you, Alice. response:	I don't want the rest, though.
context: That's half because of you!\Erina used to be full of laughter as a child.\It's disgusting.\What, what, what?\But I baked it just for you!\But it's not good.\But thank you, Alice.\I don't want the rest, though. response:	Eat it yourself
context: Erina used to be full of laughter as a child.\It's disgusting.\What, what, what?\But I baked it just for you!\But it's not good.\But thank you, Alice.\I don't want the rest, though.\Eat it yourself response:	What?!
context: It's disgusting.\What, what, what?\But I baked it just for you!\But it's not good.\But thank you, Alice.\I don't want the rest, though.\Eat it yourself\What?! response:	I want to go to Scandinavia!
context: What, what, what?\But I baked it just for you!\But it's not good.\But thank you, Alice.\I don't want the rest, though.\Eat it yourself\What?!\I want to go to Scandinavia! response:	Please!
context: But I baked it just for you!\But it's not good.\But thank you, Alice.\I don't want the rest, though.\Eat it yourself\What?!\I want to go to Scandinavia!\Please! response:	Bye, Erina.
context: But it's not good.\But thank you, Alice.\I don't want the rest, though.\Eat it yourself\What?!\I want to go to Scandinavia!\Please!\Bye, Erina. response:	By the next time we see each other,
context: But thank you, Alice.\I don't want the rest, though.\Eat it yourself\What?!\I want to go to Scandinavia!\Please!\Bye, Erina.\By the next time we see each other, response:	I'll have mastered great cooking techniques.
context: I don't want the rest, though.\Eat it yourself\What?!\I want to go to Scandinavia!\Please!\Bye, Erina.\By the next time we see each other,\I'll have mastered great cooking techniques. response:	You'd better not be a sore loser when I come back!
context: Eat it yourself\What?!\I want to go to Scandinavia!\Please!\Bye, Erina.\By the next time we see each other,\I'll have mastered great cooking techniques.\You'd better not be a sore loser when I come back! response:	What?
context: What?!\I want to go to Scandinavia!\Please!\Bye, Erina.\By the next time we see each other,\I'll have mastered great cooking techniques.\You'd better not be a sore loser when I come back!\What? response:	Can't you at least say goodbye to me?
context: I want to go to Scandinavia!\Please!\Bye, Erina.\By the next time we see each other,\I'll have mastered great cooking techniques.\You'd better not be a sore loser when I come back!\What?\Can't you at least say goodbye to me? response:	Letters.
context: Please!\Bye, Erina.\By the next time we see each other,\I'll have mastered great cooking techniques.\You'd better not be a sore loser when I come back!\What?\Can't you at least say goodbye to me?\Letters. response:	You'd better send me letters.
context: Bye, Erina.\By the next time we see each other,\I'll have mastered great cooking techniques.\You'd better not be a sore loser when I come back!\What?\Can't you at least say goodbye to me?\Letters.\You'd better send me letters. response:	Erina, come with me.
context: By the next time we see each other,\I'll have mastered great cooking techniques.\You'd better not be a sore loser when I come back!\What?\Can't you at least say goodbye to me?\Letters.\You'd better send me letters.\Erina, come with me. response:	Father.
context: I'll have mastered great cooking techniques.\You'd better not be a sore loser when I come back!\What?\Can't you at least say goodbye to me?\Letters.\You'd better send me letters.\Erina, come with me.\Father. response:	Where are we going?
context: You'd better not be a sore loser when I come back!\What?\Can't you at least say goodbye to me?\Letters.\You'd better send me letters.\Erina, come with me.\Father.\Where are we going? response:	Erina, do you want to become a good chef?
context: What?\Can't you at least say goodbye to me?\Letters.\You'd better send me letters.\Erina, come with me.\Father.\Where are we going?\Erina, do you want to become a good chef? response:	Yes.
context: Can't you at least say goodbye to me?\Letters.\You'd better send me letters.\Erina, come with me.\Father.\Where are we going?\Erina, do you want to become a good chef?\Yes. response:	Good girl.
context: Letters.\You'd better send me letters.\Erina, come with me.\Father.\Where are we going?\Erina, do you want to become a good chef?\Yes.\Good girl. response:	Then come with me.
context: You'd better send me letters.\Erina, come with me.\Father.\Where are we going?\Erina, do you want to become a good chef?\Yes.\Good girl.\Then come with me. response:	I'll now teach you what food is.
context: Erina, come with me.\Father.\Where are we going?\Erina, do you want to become a good chef?\Yes.\Good girl.\Then come with me.\I'll now teach you what food is. response:	So. Which one is seasoned correctly?
context: Father.\Where are we going?\Erina, do you want to become a good chef?\Yes.\Good girl.\Then come with me.\I'll now teach you what food is.\So. Which one is seasoned correctly? response:	The right dish.
context: Where are we going?\Erina, do you want to become a good chef?\Yes.\Good girl.\Then come with me.\I'll now teach you what food is.\So. Which one is seasoned correctly?\The right dish. response:	The left one has overtones of animal fat that overwhelm the dish,
context: Erina, do you want to become a good chef?\Yes.\Good girl.\Then come with me.\I'll now teach you what food is.\So. Which one is seasoned correctly?\The right dish.\The left one has overtones of animal fat that overwhelm the dish, response:	so it lacks harmony.
context: Yes.\Good girl.\Then come with me.\I'll now teach you what food is.\So. Which one is seasoned correctly?\The right dish.\The left one has overtones of animal fat that overwhelm the dish,\so it lacks harmony. response:	Very good.
context: Good girl.\Then come with me.\I'll now teach you what food is.\So. Which one is seasoned correctly?\The right dish.\The left one has overtones of animal fat that overwhelm the dish,\so it lacks harmony.\Very good. response:	Now, throw the left dish's contents into the trash.
context: Then come with me.\I'll now teach you what food is.\So. Which one is seasoned correctly?\The right dish.\The left one has overtones of animal fat that overwhelm the dish,\so it lacks harmony.\Very good.\Now, throw the left dish's contents into the trash. response:	What?
context: I'll now teach you what food is.\So. Which one is seasoned correctly?\The right dish.\The left one has overtones of animal fat that overwhelm the dish,\so it lacks harmony.\Very good.\Now, throw the left dish's contents into the trash.\What? response:	But we shouldn't waste food.
context: So. Which one is seasoned correctly?\The right dish.\The left one has overtones of animal fat that overwhelm the dish,\so it lacks harmony.\Very good.\Now, throw the left dish's contents into the trash.\What?\But we shouldn't waste food. response:	Do it.
context: The right dish.\The left one has overtones of animal fat that overwhelm the dish,\so it lacks harmony.\Very good.\Now, throw the left dish's contents into the trash.\What?\But we shouldn't waste food.\Do it. response:	Ow! Father, you're hurting me!
context: The left one has overtones of animal fat that overwhelm the dish,\so it lacks harmony.\Very good.\Now, throw the left dish's contents into the trash.\What?\But we shouldn't waste food.\Do it.\Ow! Father, you're hurting me! response:	Do it.
context: so it lacks harmony.\Very good.\Now, throw the left dish's contents into the trash.\What?\But we shouldn't waste food.\Do it.\Ow! Father, you're hurting me!\Do it. response:	Well done.
context: Very good.\Now, throw the left dish's contents into the trash.\What?\But we shouldn't waste food.\Do it.\Ow! Father, you're hurting me!\Do it.\Well done. response:	Do not have any mercy.
context: Now, throw the left dish's contents into the trash.\What?\But we shouldn't waste food.\Do it.\Ow! Father, you're hurting me!\Do it.\Well done.\Do not have any mercy. response:	You should only speak of a dish's taste.
context: What?\But we shouldn't waste food.\Do it.\Ow! Father, you're hurting me!\Do it.\Well done.\Do not have any mercy.\You should only speak of a dish's taste. response:	Never allow an imperfect dish to pass.
context: But we shouldn't waste food.\Do it.\Ow! Father, you're hurting me!\Do it.\Well done.\Do not have any mercy.\You should only speak of a dish's taste.\Never allow an imperfect dish to pass. response:	Anything other than what I, your father, acknowledge is trash.
context: Do it.\Ow! Father, you're hurting me!\Do it.\Well done.\Do not have any mercy.\You should only speak of a dish's taste.\Never allow an imperfect dish to pass.\Anything other than what I, your father, acknowledge is trash. response:	Filth.
context: Ow! Father, you're hurting me!\Do it.\Well done.\Do not have any mercy.\You should only speak of a dish's taste.\Never allow an imperfect dish to pass.\Anything other than what I, your father, acknowledge is trash.\Filth. response:	Garbage.
context: Do it.\Well done.\Do not have any mercy.\You should only speak of a dish's taste.\Never allow an imperfect dish to pass.\Anything other than what I, your father, acknowledge is trash.\Filth.\Garbage. response:	Anything other than what Father acknowledges...
context: Well done.\Do not have any mercy.\You should only speak of a dish's taste.\Never allow an imperfect dish to pass.\Anything other than what I, your father, acknowledge is trash.\Filth.\Garbage.\Anything other than what Father acknowledges... response:	Trash.
context: Do not have any mercy.\You should only speak of a dish's taste.\Never allow an imperfect dish to pass.\Anything other than what I, your father, acknowledge is trash.\Filth.\Garbage.\Anything other than what Father acknowledges...\Trash. response:	Filth.
context: You should only speak of a dish's taste.\Never allow an imperfect dish to pass.\Anything other than what I, your father, acknowledge is trash.\Filth.\Garbage.\Anything other than what Father acknowledges...\Trash.\Filth. response:	Garbage.
context: Never allow an imperfect dish to pass.\Anything other than what I, your father, acknowledge is trash.\Filth.\Garbage.\Anything other than what Father acknowledges...\Trash.\Filth.\Garbage. response:	Garbage...
context: Anything other than what I, your father, acknowledge is trash.\Filth.\Garbage.\Anything other than what Father acknowledges...\Trash.\Filth.\Garbage.\Garbage... response:	Disgusting.
context: Filth.\Garbage.\Anything other than what Father acknowledges...\Trash.\Filth.\Garbage.\Garbage...\Disgusting. response:	Disgusting!
context: Garbage.\Anything other than what Father acknowledges...\Trash.\Filth.\Garbage.\Garbage...\Disgusting.\Disgusting! response:	It's disgusting.
context: Anything other than what Father acknowledges...\Trash.\Filth.\Garbage.\Garbage...\Disgusting.\Disgusting!\It's disgusting. response:	How dare you serve such a dish to me?
context: Trash.\Filth.\Garbage.\Garbage...\Disgusting.\Disgusting!\It's disgusting.\How dare you serve such a dish to me? response:	You should repent.
context: Filth.\Garbage.\Garbage...\Disgusting.\Disgusting!\It's disgusting.\How dare you serve such a dish to me?\You should repent. response:	Nakamura Azami!
context: Garbage.\Garbage...\Disgusting.\Disgusting!\It's disgusting.\How dare you serve such a dish to me?\You should repent.\Nakamura Azami! response:	You are exiled from Totsuki!
context: Garbage...\Disgusting.\Disgusting!\It's disgusting.\How dare you serve such a dish to me?\You should repent.\Nakamura Azami!\You are exiled from Totsuki! response:	How shocking, Father.
context: Disgusting.\Disgusting!\It's disgusting.\How dare you serve such a dish to me?\You should repent.\Nakamura Azami!\You are exiled from Totsuki!\How shocking, Father. response:	My education will soon perfect the God Tongue.
context: Disgusting!\It's disgusting.\How dare you serve such a dish to me?\You should repent.\Nakamura Azami!\You are exiled from Totsuki!\How shocking, Father.\My education will soon perfect the God Tongue. response:	This is no education.
context: It's disgusting.\How dare you serve such a dish to me?\You should repent.\Nakamura Azami!\You are exiled from Totsuki!\How shocking, Father.\My education will soon perfect the God Tongue.\This is no education. response:	It's brainwashing!
context: How dare you serve such a dish to me?\You should repent.\Nakamura Azami!\You are exiled from Totsuki!\How shocking, Father.\My education will soon perfect the God Tongue.\This is no education.\It's brainwashing! response:	You are too dangerous!
context: You should repent.\Nakamura Azami!\You are exiled from Totsuki!\How shocking, Father.\My education will soon perfect the God Tongue.\This is no education.\It's brainwashing!\You are too dangerous! response:	I forbid you from ever again making claim to the Nakiri name!
context: Nakamura Azami!\You are exiled from Totsuki!\How shocking, Father.\My education will soon perfect the God Tongue.\This is no education.\It's brainwashing!\You are too dangerous!\I forbid you from ever again making claim to the Nakiri name! response:	And that is how he was exiled from Totsuki.
context: You are exiled from Totsuki!\How shocking, Father.\My education will soon perfect the God Tongue.\This is no education.\It's brainwashing!\You are too dangerous!\I forbid you from ever again making claim to the Nakiri name!\And that is how he was exiled from Totsuki. response:	I'd heard that he set up base somewhere overseas
context: How shocking, Father.\My education will soon perfect the God Tongue.\This is no education.\It's brainwashing!\You are too dangerous!\I forbid you from ever again making claim to the Nakiri name!\And that is how he was exiled from Totsuki.\I'd heard that he set up base somewhere overseas response:	and was active in some selective community consisting only of the very wealthy.
context: My education will soon perfect the God Tongue.\This is no education.\It's brainwashing!\You are too dangerous!\I forbid you from ever again making claim to the Nakiri name!\And that is how he was exiled from Totsuki.\I'd heard that he set up base somewhere overseas\and was active in some selective community consisting only of the very wealthy. response:	I did not expect him to curry favor with the Elite Ten and stage a coup.
context: This is no education.\It's brainwashing!\You are too dangerous!\I forbid you from ever again making claim to the Nakiri name!\And that is how he was exiled from Totsuki.\I'd heard that he set up base somewhere overseas\and was active in some selective community consisting only of the very wealthy.\I did not expect him to curry favor with the Elite Ten and stage a coup. response:	That was my undoing.
context: It's brainwashing!\You are too dangerous!\I forbid you from ever again making claim to the Nakiri name!\And that is how he was exiled from Totsuki.\I'd heard that he set up base somewhere overseas\and was active in some selective community consisting only of the very wealthy.\I did not expect him to curry favor with the Elite Ten and stage a coup.\That was my undoing. response:	Erina had been gradually returning to her normal self after the brainwashing.
context: You are too dangerous!\I forbid you from ever again making claim to the Nakiri name!\And that is how he was exiled from Totsuki.\I'd heard that he set up base somewhere overseas\and was active in some selective community consisting only of the very wealthy.\I did not expect him to curry favor with the Elite Ten and stage a coup.\That was my undoing.\Erina had been gradually returning to her normal self after the brainwashing. response:	Starting with Arato Hisako, many had been helping her.
context: I forbid you from ever again making claim to the Nakiri name!\And that is how he was exiled from Totsuki.\I'd heard that he set up base somewhere overseas\and was active in some selective community consisting only of the very wealthy.\I did not expect him to curry favor with the Elite Ten and stage a coup.\That was my undoing.\Erina had been gradually returning to her normal self after the brainwashing.\Starting with Arato Hisako, many had been helping her. response:	But Azami knows that Erina's heart is still a caged bird.
context: And that is how he was exiled from Totsuki.\I'd heard that he set up base somewhere overseas\and was active in some selective community consisting only of the very wealthy.\I did not expect him to curry favor with the Elite Ten and stage a coup.\That was my undoing.\Erina had been gradually returning to her normal self after the brainwashing.\Starting with Arato Hisako, many had been helping her.\But Azami knows that Erina's heart is still a caged bird. response:	His methods will not have changed from ten years ago.
context: I'd heard that he set up base somewhere overseas\and was active in some selective community consisting only of the very wealthy.\I did not expect him to curry favor with the Elite Ten and stage a coup.\That was my undoing.\Erina had been gradually returning to her normal self after the brainwashing.\Starting with Arato Hisako, many had been helping her.\But Azami knows that Erina's heart is still a caged bird.\His methods will not have changed from ten years ago. response:	He will restrict Erina's contact with the outside world
context: and was active in some selective community consisting only of the very wealthy.\I did not expect him to curry favor with the Elite Ten and stage a coup.\That was my undoing.\Erina had been gradually returning to her normal self after the brainwashing.\Starting with Arato Hisako, many had been helping her.\But Azami knows that Erina's heart is still a caged bird.\His methods will not have changed from ten years ago.\He will restrict Erina's contact with the outside world response:	and ensure that he is the only one she can turn to.
context: I did not expect him to curry favor with the Elite Ten and stage a coup.\That was my undoing.\Erina had been gradually returning to her normal self after the brainwashing.\Starting with Arato Hisako, many had been helping her.\But Azami knows that Erina's heart is still a caged bird.\His methods will not have changed from ten years ago.\He will restrict Erina's contact with the outside world\and ensure that he is the only one she can turn to. response:	Back then, he disposed of all the letters Alice sent Erina from Scandinavia.
context: That was my undoing.\Erina had been gradually returning to her normal self after the brainwashing.\Starting with Arato Hisako, many had been helping her.\But Azami knows that Erina's heart is still a caged bird.\His methods will not have changed from ten years ago.\He will restrict Erina's contact with the outside world\and ensure that he is the only one she can turn to.\Back then, he disposed of all the letters Alice sent Erina from Scandinavia. response:	Erina will once again be imprisoned where none may reach her.
context: Erina had been gradually returning to her normal self after the brainwashing.\Starting with Arato Hisako, many had been helping her.\But Azami knows that Erina's heart is still a caged bird.\His methods will not have changed from ten years ago.\He will restrict Erina's contact with the outside world\and ensure that he is the only one she can turn to.\Back then, he disposed of all the letters Alice sent Erina from Scandinavia.\Erina will once again be imprisoned where none may reach her. response:	Yukihira Soma, I have only one thing to ask of you.
context: Starting with Arato Hisako, many had been helping her.\But Azami knows that Erina's heart is still a caged bird.\His methods will not have changed from ten years ago.\He will restrict Erina's contact with the outside world\and ensure that he is the only one she can turn to.\Back then, he disposed of all the letters Alice sent Erina from Scandinavia.\Erina will once again be imprisoned where none may reach her.\Yukihira Soma, I have only one thing to ask of you. response:	Please save Erina.
context: But Azami knows that Erina's heart is still a caged bird.\His methods will not have changed from ten years ago.\He will restrict Erina's contact with the outside world\and ensure that he is the only one she can turn to.\Back then, he disposed of all the letters Alice sent Erina from Scandinavia.\Erina will once again be imprisoned where none may reach her.\Yukihira Soma, I have only one thing to ask of you.\Please save Erina. response:	I beg this of you!
context: His methods will not have changed from ten years ago.\He will restrict Erina's contact with the outside world\and ensure that he is the only one she can turn to.\Back then, he disposed of all the letters Alice sent Erina from Scandinavia.\Erina will once again be imprisoned where none may reach her.\Yukihira Soma, I have only one thing to ask of you.\Please save Erina.\I beg this of you! response:	Come.
context: He will restrict Erina's contact with the outside world\and ensure that he is the only one she can turn to.\Back then, he disposed of all the letters Alice sent Erina from Scandinavia.\Erina will once again be imprisoned where none may reach her.\Yukihira Soma, I have only one thing to ask of you.\Please save Erina.\I beg this of you!\Come. response:	Trust only your father.
context: and ensure that he is the only one she can turn to.\Back then, he disposed of all the letters Alice sent Erina from Scandinavia.\Erina will once again be imprisoned where none may reach her.\Yukihira Soma, I have only one thing to ask of you.\Please save Erina.\I beg this of you!\Come.\Trust only your father. response:	Cast aside everything else.
