context: Once upon a time, there was a young woman. response:	The young woman was to marry a groom chosen by her parents, and not her sweetheart, whom she loved.
context: Say, is Fakir writing stories?\Stories?\The stories that boy wrote sometimes came true.\What? Stories came true?\He loved to write stories from the time when he was very small.\They were just silly little stories, but sometimes parts of them came true.\But after he came to Karon's house, he completely stopped writing.\Raetsel-san? response:	Oh, I've said a little too much. I wonder if Fakir will scold me?
context: Stories?\The stories that boy wrote sometimes came true.\What? Stories came true?\He loved to write stories from the time when he was very small.\They were just silly little stories, but sometimes parts of them came true.\But after he came to Karon's house, he completely stopped writing.\Raetsel-san?\Oh, I've said a little too much. I wonder if Fakir will scold me? response:	To think Fakir wrote stories... And they came true!
context: The stories that boy wrote sometimes came true.\What? Stories came true?\He loved to write stories from the time when he was very small.\They were just silly little stories, but sometimes parts of them came true.\But after he came to Karon's house, he completely stopped writing.\Raetsel-san?\Oh, I've said a little too much. I wonder if Fakir will scold me?\To think Fakir wrote stories... And they came true! response:	If he can do that... maybe...
context: What? Stories came true?\He loved to write stories from the time when he was very small.\They were just silly little stories, but sometimes parts of them came true.\But after he came to Karon's house, he completely stopped writing.\Raetsel-san?\Oh, I've said a little too much. I wonder if Fakir will scold me?\To think Fakir wrote stories... And they came true!\If he can do that... maybe... response:	Ahiru-san?
context: He loved to write stories from the time when he was very small.\They were just silly little stories, but sometimes parts of them came true.\But after he came to Karon's house, he completely stopped writing.\Raetsel-san?\Oh, I've said a little too much. I wonder if Fakir will scold me?\To think Fakir wrote stories... And they came true!\If he can do that... maybe...\Ahiru-san? response:	Oh, I'm sorry! I just remembered something I have to do!
context: They were just silly little stories, but sometimes parts of them came true.\But after he came to Karon's house, he completely stopped writing.\Raetsel-san?\Oh, I've said a little too much. I wonder if Fakir will scold me?\To think Fakir wrote stories... And they came true!\If he can do that... maybe...\Ahiru-san?\Oh, I'm sorry! I just remembered something I have to do! response:	Um, it was fun talking to you!
context: But after he came to Karon's house, he completely stopped writing.\Raetsel-san?\Oh, I've said a little too much. I wonder if Fakir will scold me?\To think Fakir wrote stories... And they came true!\If he can do that... maybe...\Ahiru-san?\Oh, I'm sorry! I just remembered something I have to do!\Um, it was fun talking to you! response:	Fakir has changed.
context: Raetsel-san?\Oh, I've said a little too much. I wonder if Fakir will scold me?\To think Fakir wrote stories... And they came true!\If he can do that... maybe...\Ahiru-san?\Oh, I'm sorry! I just remembered something I have to do!\Um, it was fun talking to you!\Fakir has changed. response:	No, the one who's changed the most...
context: Oh, I've said a little too much. I wonder if Fakir will scold me?\To think Fakir wrote stories... And they came true!\If he can do that... maybe...\Ahiru-san?\Oh, I'm sorry! I just remembered something I have to do!\Um, it was fun talking to you!\Fakir has changed.\No, the one who's changed the most... response:	is me.
context: To think Fakir wrote stories... And they came true!\If he can do that... maybe...\Ahiru-san?\Oh, I'm sorry! I just remembered something I have to do!\Um, it was fun talking to you!\Fakir has changed.\No, the one who's changed the most...\is me. response:	Protect, huh?
context: If he can do that... maybe...\Ahiru-san?\Oh, I'm sorry! I just remembered something I have to do!\Um, it was fun talking to you!\Fakir has changed.\No, the one who's changed the most...\is me.\Protect, huh? response:	How do I protect him? Who do I fight?
context: Ahiru-san?\Oh, I'm sorry! I just remembered something I have to do!\Um, it was fun talking to you!\Fakir has changed.\No, the one who's changed the most...\is me.\Protect, huh?\How do I protect him? Who do I fight? response:	Help me, Fakir, my heart is...
context: Oh, I'm sorry! I just remembered something I have to do!\Um, it was fun talking to you!\Fakir has changed.\No, the one who's changed the most...\is me.\Protect, huh?\How do I protect him? Who do I fight?\Help me, Fakir, my heart is... response:	In the story, you're no longer needed.
context: Um, it was fun talking to you!\Fakir has changed.\No, the one who's changed the most...\is me.\Protect, huh?\How do I protect him? Who do I fight?\Help me, Fakir, my heart is...\In the story, you're no longer needed. response:	The fight has begun.
context: Fakir has changed.\No, the one who's changed the most...\is me.\Protect, huh?\How do I protect him? Who do I fight?\Help me, Fakir, my heart is...\In the story, you're no longer needed.\The fight has begun. response:	The story is moving... Whether I'm here or not.
context: No, the one who's changed the most...\is me.\Protect, huh?\How do I protect him? Who do I fight?\Help me, Fakir, my heart is...\In the story, you're no longer needed.\The fight has begun.\The story is moving... Whether I'm here or not. response:	But all I have... is a sword.
context: is me.\Protect, huh?\How do I protect him? Who do I fight?\Help me, Fakir, my heart is...\In the story, you're no longer needed.\The fight has begun.\The story is moving... Whether I'm here or not.\But all I have... is a sword. response:	I'll protect Mytho with this sword.
context: Protect, huh?\How do I protect him? Who do I fight?\Help me, Fakir, my heart is...\In the story, you're no longer needed.\The fight has begun.\The story is moving... Whether I'm here or not.\But all I have... is a sword.\I'll protect Mytho with this sword. response:	There you are!
context: How do I protect him? Who do I fight?\Help me, Fakir, my heart is...\In the story, you're no longer needed.\The fight has begun.\The story is moving... Whether I'm here or not.\But all I have... is a sword.\I'll protect Mytho with this sword.\There you are! response:	Fakir, I heard from Raetsel-san that the stories you write come true!
context: Help me, Fakir, my heart is...\In the story, you're no longer needed.\The fight has begun.\The story is moving... Whether I'm here or not.\But all I have... is a sword.\I'll protect Mytho with this sword.\There you are!\Fakir, I heard from Raetsel-san that the stories you write come true! response:	What?
context: In the story, you're no longer needed.\The fight has begun.\The story is moving... Whether I'm here or not.\But all I have... is a sword.\I'll protect Mytho with this sword.\There you are!\Fakir, I heard from Raetsel-san that the stories you write come true!\What? response:	If you do have that power, then if you write a story where Mytho is saved...
context: The fight has begun.\The story is moving... Whether I'm here or not.\But all I have... is a sword.\I'll protect Mytho with this sword.\There you are!\Fakir, I heard from Raetsel-san that the stories you write come true!\What?\If you do have that power, then if you write a story where Mytho is saved... response:	Fakir?
context: The story is moving... Whether I'm here or not.\But all I have... is a sword.\I'll protect Mytho with this sword.\There you are!\Fakir, I heard from Raetsel-san that the stories you write come true!\What?\If you do have that power, then if you write a story where Mytho is saved...\Fakir? response:	What are you talking about?
context: But all I have... is a sword.\I'll protect Mytho with this sword.\There you are!\Fakir, I heard from Raetsel-san that the stories you write come true!\What?\If you do have that power, then if you write a story where Mytho is saved...\Fakir?\What are you talking about? response:	Huh?
context: I'll protect Mytho with this sword.\There you are!\Fakir, I heard from Raetsel-san that the stories you write come true!\What?\If you do have that power, then if you write a story where Mytho is saved...\Fakir?\What are you talking about?\Huh? response:	I said, I heard the stories you wrote when you were little came true...
context: There you are!\Fakir, I heard from Raetsel-san that the stories you write come true!\What?\If you do have that power, then if you write a story where Mytho is saved...\Fakir?\What are you talking about?\Huh?\I said, I heard the stories you wrote when you were little came true... response:	So...
context: Fakir, I heard from Raetsel-san that the stories you write come true!\What?\If you do have that power, then if you write a story where Mytho is saved...\Fakir?\What are you talking about?\Huh?\I said, I heard the stories you wrote when you were little came true...\So... response:	Be quiet.
context: What?\If you do have that power, then if you write a story where Mytho is saved...\Fakir?\What are you talking about?\Huh?\I said, I heard the stories you wrote when you were little came true...\So...\Be quiet. response:	Huh? But Mytho...
context: If you do have that power, then if you write a story where Mytho is saved...\Fakir?\What are you talking about?\Huh?\I said, I heard the stories you wrote when you were little came true...\So...\Be quiet.\Huh? But Mytho... response:	Shut up!
context: Fakir?\What are you talking about?\Huh?\I said, I heard the stories you wrote when you were little came true...\So...\Be quiet.\Huh? But Mytho...\Shut up! response:	What do you mean, shut up? Why are you talking to me that way?
context: What are you talking about?\Huh?\I said, I heard the stories you wrote when you were little came true...\So...\Be quiet.\Huh? But Mytho...\Shut up!\What do you mean, shut up? Why are you talking to me that way? response:	If I could help Mytho by myself, I wouldn't ask you to do this!
context: Huh?\I said, I heard the stories you wrote when you were little came true...\So...\Be quiet.\Huh? But Mytho...\Shut up!\What do you mean, shut up? Why are you talking to me that way?\If I could help Mytho by myself, I wouldn't ask you to do this! response:	But right now, I can't do anything, so...
context: I said, I heard the stories you wrote when you were little came true...\So...\Be quiet.\Huh? But Mytho...\Shut up!\What do you mean, shut up? Why are you talking to me that way?\If I could help Mytho by myself, I wouldn't ask you to do this!\But right now, I can't do anything, so... response:	I told you to be quiet!
context: So...\Be quiet.\Huh? But Mytho...\Shut up!\What do you mean, shut up? Why are you talking to me that way?\If I could help Mytho by myself, I wouldn't ask you to do this!\But right now, I can't do anything, so...\I told you to be quiet! response:	I'll protect Mytho as a knight. I won't take orders from you!
context: Be quiet.\Huh? But Mytho...\Shut up!\What do you mean, shut up? Why are you talking to me that way?\If I could help Mytho by myself, I wouldn't ask you to do this!\But right now, I can't do anything, so...\I told you to be quiet!\I'll protect Mytho as a knight. I won't take orders from you! response:	Fak...
context: Huh? But Mytho...\Shut up!\What do you mean, shut up? Why are you talking to me that way?\If I could help Mytho by myself, I wouldn't ask you to do this!\But right now, I can't do anything, so...\I told you to be quiet!\I'll protect Mytho as a knight. I won't take orders from you!\Fak... response:	Fakir, why?! Listen to me!
context: Shut up!\What do you mean, shut up? Why are you talking to me that way?\If I could help Mytho by myself, I wouldn't ask you to do this!\But right now, I can't do anything, so...\I told you to be quiet!\I'll protect Mytho as a knight. I won't take orders from you!\Fak...\Fakir, why?! Listen to me! response:	Fakir! Come on, Fakir! If you can help Mytho, then why won't you?!
context: What do you mean, shut up? Why are you talking to me that way?\If I could help Mytho by myself, I wouldn't ask you to do this!\But right now, I can't do anything, so...\I told you to be quiet!\I'll protect Mytho as a knight. I won't take orders from you!\Fak...\Fakir, why?! Listen to me!\Fakir! Come on, Fakir! If you can help Mytho, then why won't you?! response:	What's with that attitude?
context: If I could help Mytho by myself, I wouldn't ask you to do this!\But right now, I can't do anything, so...\I told you to be quiet!\I'll protect Mytho as a knight. I won't take orders from you!\Fak...\Fakir, why?! Listen to me!\Fakir! Come on, Fakir! If you can help Mytho, then why won't you?!\What's with that attitude? response:	We were waiting for you so we'd be ready whenever you came home crying!
context: But right now, I can't do anything, so...\I told you to be quiet!\I'll protect Mytho as a knight. I won't take orders from you!\Fak...\Fakir, why?! Listen to me!\Fakir! Come on, Fakir! If you can help Mytho, then why won't you?!\What's with that attitude?\We were waiting for you so we'd be ready whenever you came home crying! response:	So, what happened with Fakir-sama?
context: I told you to be quiet!\I'll protect Mytho as a knight. I won't take orders from you!\Fak...\Fakir, why?! Listen to me!\Fakir! Come on, Fakir! If you can help Mytho, then why won't you?!\What's with that attitude?\We were waiting for you so we'd be ready whenever you came home crying!\So, what happened with Fakir-sama? response:	I don't care about that Fakir anymore!
context: I'll protect Mytho as a knight. I won't take orders from you!\Fak...\Fakir, why?! Listen to me!\Fakir! Come on, Fakir! If you can help Mytho, then why won't you?!\What's with that attitude?\We were waiting for you so we'd be ready whenever you came home crying!\So, what happened with Fakir-sama?\I don't care about that Fakir anymore! response:	Good, good! Get angry and cry as much as you want!
context: Fak...\Fakir, why?! Listen to me!\Fakir! Come on, Fakir! If you can help Mytho, then why won't you?!\What's with that attitude?\We were waiting for you so we'd be ready whenever you came home crying!\So, what happened with Fakir-sama?\I don't care about that Fakir anymore!\Good, good! Get angry and cry as much as you want! response:	We'll give you lots of comfort!
context: Fakir, why?! Listen to me!\Fakir! Come on, Fakir! If you can help Mytho, then why won't you?!\What's with that attitude?\We were waiting for you so we'd be ready whenever you came home crying!\So, what happened with Fakir-sama?\I don't care about that Fakir anymore!\Good, good! Get angry and cry as much as you want!\We'll give you lots of comfort! response:	And I thought we'd be able to help Mytho...
context: Fakir! Come on, Fakir! If you can help Mytho, then why won't you?!\What's with that attitude?\We were waiting for you so we'd be ready whenever you came home crying!\So, what happened with Fakir-sama?\I don't care about that Fakir anymore!\Good, good! Get angry and cry as much as you want!\We'll give you lots of comfort!\And I thought we'd be able to help Mytho... response:	Why?
context: What's with that attitude?\We were waiting for you so we'd be ready whenever you came home crying!\So, what happened with Fakir-sama?\I don't care about that Fakir anymore!\Good, good! Get angry and cry as much as you want!\We'll give you lots of comfort!\And I thought we'd be able to help Mytho...\Why? response:	Lately it's like Mytho-sama is a totally different person.
context: We were waiting for you so we'd be ready whenever you came home crying!\So, what happened with Fakir-sama?\I don't care about that Fakir anymore!\Good, good! Get angry and cry as much as you want!\We'll give you lots of comfort!\And I thought we'd be able to help Mytho...\Why?\Lately it's like Mytho-sama is a totally different person. response:	He's scary somehow!
context: So, what happened with Fakir-sama?\I don't care about that Fakir anymore!\Good, good! Get angry and cry as much as you want!\We'll give you lots of comfort!\And I thought we'd be able to help Mytho...\Why?\Lately it's like Mytho-sama is a totally different person.\He's scary somehow! response:	He makes the hairs on the back of my neck stand up!
context: I don't care about that Fakir anymore!\Good, good! Get angry and cry as much as you want!\We'll give you lots of comfort!\And I thought we'd be able to help Mytho...\Why?\Lately it's like Mytho-sama is a totally different person.\He's scary somehow!\He makes the hairs on the back of my neck stand up! response:	Raetsel.
context: Good, good! Get angry and cry as much as you want!\We'll give you lots of comfort!\And I thought we'd be able to help Mytho...\Why?\Lately it's like Mytho-sama is a totally different person.\He's scary somehow!\He makes the hairs on the back of my neck stand up!\Raetsel. response:	Mytho... I'm jealous of you.
context: We'll give you lots of comfort!\And I thought we'd be able to help Mytho...\Why?\Lately it's like Mytho-sama is a totally different person.\He's scary somehow!\He makes the hairs on the back of my neck stand up!\Raetsel.\Mytho... I'm jealous of you. response:	Of me?
context: And I thought we'd be able to help Mytho...\Why?\Lately it's like Mytho-sama is a totally different person.\He's scary somehow!\He makes the hairs on the back of my neck stand up!\Raetsel.\Mytho... I'm jealous of you.\Of me? response:	If I could live without changing, like you...
context: Why?\Lately it's like Mytho-sama is a totally different person.\He's scary somehow!\He makes the hairs on the back of my neck stand up!\Raetsel.\Mytho... I'm jealous of you.\Of me?\If I could live without changing, like you... response:	That's not true.
context: Lately it's like Mytho-sama is a totally different person.\He's scary somehow!\He makes the hairs on the back of my neck stand up!\Raetsel.\Mytho... I'm jealous of you.\Of me?\If I could live without changing, like you...\That's not true. response:	I'm different than I was before.
context: He's scary somehow!\He makes the hairs on the back of my neck stand up!\Raetsel.\Mytho... I'm jealous of you.\Of me?\If I could live without changing, like you...\That's not true.\I'm different than I was before. response:	I've gotten my heart back.
context: He makes the hairs on the back of my neck stand up!\Raetsel.\Mytho... I'm jealous of you.\Of me?\If I could live without changing, like you...\That's not true.\I'm different than I was before.\I've gotten my heart back. response:	Now I can even accept your love for me.
context: Raetsel.\Mytho... I'm jealous of you.\Of me?\If I could live without changing, like you...\That's not true.\I'm different than I was before.\I've gotten my heart back.\Now I can even accept your love for me. response:	Well, that makes me happy. Maybe I'll call off the wedding.
context: Mytho... I'm jealous of you.\Of me?\If I could live without changing, like you...\That's not true.\I'm different than I was before.\I've gotten my heart back.\Now I can even accept your love for me.\Well, that makes me happy. Maybe I'll call off the wedding. response:	Wedding?
context: Of me?\If I could live without changing, like you...\That's not true.\I'm different than I was before.\I've gotten my heart back.\Now I can even accept your love for me.\Well, that makes me happy. Maybe I'll call off the wedding.\Wedding? response:	That is Mytho-san. Which means the girl is Rue-san?
context: If I could live without changing, like you...\That's not true.\I'm different than I was before.\I've gotten my heart back.\Now I can even accept your love for me.\Well, that makes me happy. Maybe I'll call off the wedding.\Wedding?\That is Mytho-san. Which means the girl is Rue-san? response:	The two of them are getting married?!
context: That's not true.\I'm different than I was before.\I've gotten my heart back.\Now I can even accept your love for me.\Well, that makes me happy. Maybe I'll call off the wedding.\Wedding?\That is Mytho-san. Which means the girl is Rue-san?\The two of them are getting married?! response:	Is that right, getting married...
context: I'm different than I was before.\I've gotten my heart back.\Now I can even accept your love for me.\Well, that makes me happy. Maybe I'll call off the wedding.\Wedding?\That is Mytho-san. Which means the girl is Rue-san?\The two of them are getting married?!\Is that right, getting married... response:	Students of mine are getting married before me!
context: I've gotten my heart back.\Now I can even accept your love for me.\Well, that makes me happy. Maybe I'll call off the wedding.\Wedding?\That is Mytho-san. Which means the girl is Rue-san?\The two of them are getting married?!\Is that right, getting married...\Students of mine are getting married before me! response:	There is no happier thing for a teacher than this!
context: Now I can even accept your love for me.\Well, that makes me happy. Maybe I'll call off the wedding.\Wedding?\That is Mytho-san. Which means the girl is Rue-san?\The two of them are getting married?!\Is that right, getting married...\Students of mine are getting married before me!\There is no happier thing for a teacher than this! response:	Congratulations.
context: Well, that makes me happy. Maybe I'll call off the wedding.\Wedding?\That is Mytho-san. Which means the girl is Rue-san?\The two of them are getting married?!\Is that right, getting married...\Students of mine are getting married before me!\There is no happier thing for a teacher than this!\Congratulations. response:	Thank you.
context: Wedding?\That is Mytho-san. Which means the girl is Rue-san?\The two of them are getting married?!\Is that right, getting married...\Students of mine are getting married before me!\There is no happier thing for a teacher than this!\Congratulations.\Thank you. response:	You don't look very happy. Could it be you're wavering?
context: That is Mytho-san. Which means the girl is Rue-san?\The two of them are getting married?!\Is that right, getting married...\Students of mine are getting married before me!\There is no happier thing for a teacher than this!\Congratulations.\Thank you.\You don't look very happy. Could it be you're wavering? response:	Of course not. What I said before was a joke!
context: The two of them are getting married?!\Is that right, getting married...\Students of mine are getting married before me!\There is no happier thing for a teacher than this!\Congratulations.\Thank you.\You don't look very happy. Could it be you're wavering?\Of course not. What I said before was a joke! response:	Hans will love me from the bottom of his heart.
context: Is that right, getting married...\Students of mine are getting married before me!\There is no happier thing for a teacher than this!\Congratulations.\Thank you.\You don't look very happy. Could it be you're wavering?\Of course not. What I said before was a joke!\Hans will love me from the bottom of his heart. response:	With him, I'm sure I can be happy.
context: Students of mine are getting married before me!\There is no happier thing for a teacher than this!\Congratulations.\Thank you.\You don't look very happy. Could it be you're wavering?\Of course not. What I said before was a joke!\Hans will love me from the bottom of his heart.\With him, I'm sure I can be happy. response:	You can't lie to your own feelings.
context: There is no happier thing for a teacher than this!\Congratulations.\Thank you.\You don't look very happy. Could it be you're wavering?\Of course not. What I said before was a joke!\Hans will love me from the bottom of his heart.\With him, I'm sure I can be happy.\You can't lie to your own feelings. response:	You've got a pure and beautiful heart, haven't you?
context: Congratulations.\Thank you.\You don't look very happy. Could it be you're wavering?\Of course not. What I said before was a joke!\Hans will love me from the bottom of his heart.\With him, I'm sure I can be happy.\You can't lie to your own feelings.\You've got a pure and beautiful heart, haven't you? response:	I'm going now, Mytho.
context: Thank you.\You don't look very happy. Could it be you're wavering?\Of course not. What I said before was a joke!\Hans will love me from the bottom of his heart.\With him, I'm sure I can be happy.\You can't lie to your own feelings.\You've got a pure and beautiful heart, haven't you?\I'm going now, Mytho. response:	You have to love me. Sacrifice your life and love me!
context: You don't look very happy. Could it be you're wavering?\Of course not. What I said before was a joke!\Hans will love me from the bottom of his heart.\With him, I'm sure I can be happy.\You can't lie to your own feelings.\You've got a pure and beautiful heart, haven't you?\I'm going now, Mytho.\You have to love me. Sacrifice your life and love me! response:	If I do as Father says, someday he'll be my prince alone.
context: Of course not. What I said before was a joke!\Hans will love me from the bottom of his heart.\With him, I'm sure I can be happy.\You can't lie to your own feelings.\You've got a pure and beautiful heart, haven't you?\I'm going now, Mytho.\You have to love me. Sacrifice your life and love me!\If I do as Father says, someday he'll be my prince alone. response:	Right, Father?
context: Hans will love me from the bottom of his heart.\With him, I'm sure I can be happy.\You can't lie to your own feelings.\You've got a pure and beautiful heart, haven't you?\I'm going now, Mytho.\You have to love me. Sacrifice your life and love me!\If I do as Father says, someday he'll be my prince alone.\Right, Father? response:	The fight between the prince and the raven is being fought with fiercer and fiercer desperation.
context: With him, I'm sure I can be happy.\You can't lie to your own feelings.\You've got a pure and beautiful heart, haven't you?\I'm going now, Mytho.\You have to love me. Sacrifice your life and love me!\If I do as Father says, someday he'll be my prince alone.\Right, Father?\The fight between the prince and the raven is being fought with fiercer and fiercer desperation. response:	In a place where no one can see it, that is.
context: You can't lie to your own feelings.\You've got a pure and beautiful heart, haven't you?\I'm going now, Mytho.\You have to love me. Sacrifice your life and love me!\If I do as Father says, someday he'll be my prince alone.\Right, Father?\The fight between the prince and the raven is being fought with fiercer and fiercer desperation.\In a place where no one can see it, that is. response:	She's definitely toying with him!
context: You've got a pure and beautiful heart, haven't you?\I'm going now, Mytho.\You have to love me. Sacrifice your life and love me!\If I do as Father says, someday he'll be my prince alone.\Right, Father?\The fight between the prince and the raven is being fought with fiercer and fiercer desperation.\In a place where no one can see it, that is.\She's definitely toying with him! response:	That's right, a Fakir played thoroughly by an adult woman and then tossed away like a tattered dishrag!
context: I'm going now, Mytho.\You have to love me. Sacrifice your life and love me!\If I do as Father says, someday he'll be my prince alone.\Right, Father?\The fight between the prince and the raven is being fought with fiercer and fiercer desperation.\In a place where no one can see it, that is.\She's definitely toying with him!\That's right, a Fakir played thoroughly by an adult woman and then tossed away like a tattered dishrag! response:	Oh, how wonderful!
context: You have to love me. Sacrifice your life and love me!\If I do as Father says, someday he'll be my prince alone.\Right, Father?\The fight between the prince and the raven is being fought with fiercer and fiercer desperation.\In a place where no one can see it, that is.\She's definitely toying with him!\That's right, a Fakir played thoroughly by an adult woman and then tossed away like a tattered dishrag!\Oh, how wonderful! response:	I'd love for him to keep on like this and become more and more of a delinquent!
context: If I do as Father says, someday he'll be my prince alone.\Right, Father?\The fight between the prince and the raven is being fought with fiercer and fiercer desperation.\In a place where no one can see it, that is.\She's definitely toying with him!\That's right, a Fakir played thoroughly by an adult woman and then tossed away like a tattered dishrag!\Oh, how wonderful!\I'd love for him to keep on like this and become more and more of a delinquent! response:	Fakir said he'd protect Mytho, so why?
context: Right, Father?\The fight between the prince and the raven is being fought with fiercer and fiercer desperation.\In a place where no one can see it, that is.\She's definitely toying with him!\That's right, a Fakir played thoroughly by an adult woman and then tossed away like a tattered dishrag!\Oh, how wonderful!\I'd love for him to keep on like this and become more and more of a delinquent!\Fakir said he'd protect Mytho, so why? response:	I'll protect Mytho as a knight. I won't take orders from you!
context: The fight between the prince and the raven is being fought with fiercer and fiercer desperation.\In a place where no one can see it, that is.\She's definitely toying with him!\That's right, a Fakir played thoroughly by an adult woman and then tossed away like a tattered dishrag!\Oh, how wonderful!\I'd love for him to keep on like this and become more and more of a delinquent!\Fakir said he'd protect Mytho, so why?\I'll protect Mytho as a knight. I won't take orders from you! response:	And it was starting to look like we'd be able to work together too...
context: In a place where no one can see it, that is.\She's definitely toying with him!\That's right, a Fakir played thoroughly by an adult woman and then tossed away like a tattered dishrag!\Oh, how wonderful!\I'd love for him to keep on like this and become more and more of a delinquent!\Fakir said he'd protect Mytho, so why?\I'll protect Mytho as a knight. I won't take orders from you!\And it was starting to look like we'd be able to work together too... response:	I don't like this.
context: She's definitely toying with him!\That's right, a Fakir played thoroughly by an adult woman and then tossed away like a tattered dishrag!\Oh, how wonderful!\I'd love for him to keep on like this and become more and more of a delinquent!\Fakir said he'd protect Mytho, so why?\I'll protect Mytho as a knight. I won't take orders from you!\And it was starting to look like we'd be able to work together too...\I don't like this. response:	I don't want things to stay like this!
context: That's right, a Fakir played thoroughly by an adult woman and then tossed away like a tattered dishrag!\Oh, how wonderful!\I'd love for him to keep on like this and become more and more of a delinquent!\Fakir said he'd protect Mytho, so why?\I'll protect Mytho as a knight. I won't take orders from you!\And it was starting to look like we'd be able to work together too...\I don't like this.\I don't want things to stay like this! response:	Huh?
context: Oh, how wonderful!\I'd love for him to keep on like this and become more and more of a delinquent!\Fakir said he'd protect Mytho, so why?\I'll protect Mytho as a knight. I won't take orders from you!\And it was starting to look like we'd be able to work together too...\I don't like this.\I don't want things to stay like this!\Huh? response:	Hey, wait, where are you going, Ahiru?
context: I'd love for him to keep on like this and become more and more of a delinquent!\Fakir said he'd protect Mytho, so why?\I'll protect Mytho as a knight. I won't take orders from you!\And it was starting to look like we'd be able to work together too...\I don't like this.\I don't want things to stay like this!\Huh?\Hey, wait, where are you going, Ahiru? response:	Time for the second round, right? Oh, Ahiru, you do so love battles!
context: Fakir said he'd protect Mytho, so why?\I'll protect Mytho as a knight. I won't take orders from you!\And it was starting to look like we'd be able to work together too...\I don't like this.\I don't want things to stay like this!\Huh?\Hey, wait, where are you going, Ahiru?\Time for the second round, right? Oh, Ahiru, you do so love battles! response:	I see, so Fakir said that...
context: I'll protect Mytho as a knight. I won't take orders from you!\And it was starting to look like we'd be able to work together too...\I don't like this.\I don't want things to stay like this!\Huh?\Hey, wait, where are you going, Ahiru?\Time for the second round, right? Oh, Ahiru, you do so love battles!\I see, so Fakir said that... response:	I want to help someone, and he's someone important to Fakir too...
context: And it was starting to look like we'd be able to work together too...\I don't like this.\I don't want things to stay like this!\Huh?\Hey, wait, where are you going, Ahiru?\Time for the second round, right? Oh, Ahiru, you do so love battles!\I see, so Fakir said that...\I want to help someone, and he's someone important to Fakir too... response:	So I thought if Fakir wrote a story, maybe we could help him, but...
context: I don't like this.\I don't want things to stay like this!\Huh?\Hey, wait, where are you going, Ahiru?\Time for the second round, right? Oh, Ahiru, you do so love battles!\I see, so Fakir said that...\I want to help someone, and he's someone important to Fakir too...\So I thought if Fakir wrote a story, maybe we could help him, but... response:	I'm sorry.
context: I don't want things to stay like this!\Huh?\Hey, wait, where are you going, Ahiru?\Time for the second round, right? Oh, Ahiru, you do so love battles!\I see, so Fakir said that...\I want to help someone, and he's someone important to Fakir too...\So I thought if Fakir wrote a story, maybe we could help him, but...\I'm sorry. response:	This is because I said something I shouldn't have.
context: Huh?\Hey, wait, where are you going, Ahiru?\Time for the second round, right? Oh, Ahiru, you do so love battles!\I see, so Fakir said that...\I want to help someone, and he's someone important to Fakir too...\So I thought if Fakir wrote a story, maybe we could help him, but...\I'm sorry.\This is because I said something I shouldn't have. response:	What?
context: Hey, wait, where are you going, Ahiru?\Time for the second round, right? Oh, Ahiru, you do so love battles!\I see, so Fakir said that...\I want to help someone, and he's someone important to Fakir too...\So I thought if Fakir wrote a story, maybe we could help him, but...\I'm sorry.\This is because I said something I shouldn't have.\What? response:	Ahiru-san, will you pretend you never heard what I said before?
context: Time for the second round, right? Oh, Ahiru, you do so love battles!\I see, so Fakir said that...\I want to help someone, and he's someone important to Fakir too...\So I thought if Fakir wrote a story, maybe we could help him, but...\I'm sorry.\This is because I said something I shouldn't have.\What?\Ahiru-san, will you pretend you never heard what I said before? response:	What? But if that person is saved, Fakir will be happy too...
context: I see, so Fakir said that...\I want to help someone, and he's someone important to Fakir too...\So I thought if Fakir wrote a story, maybe we could help him, but...\I'm sorry.\This is because I said something I shouldn't have.\What?\Ahiru-san, will you pretend you never heard what I said before?\What? But if that person is saved, Fakir will be happy too... response:	But in exchange, Fakir will be hurt.
context: I want to help someone, and he's someone important to Fakir too...\So I thought if Fakir wrote a story, maybe we could help him, but...\I'm sorry.\This is because I said something I shouldn't have.\What?\Ahiru-san, will you pretend you never heard what I said before?\What? But if that person is saved, Fakir will be happy too...\But in exchange, Fakir will be hurt. response:	What?
context: So I thought if Fakir wrote a story, maybe we could help him, but...\I'm sorry.\This is because I said something I shouldn't have.\What?\Ahiru-san, will you pretend you never heard what I said before?\What? But if that person is saved, Fakir will be happy too...\But in exchange, Fakir will be hurt.\What? response:	A long time ago, a lot of crows once showed up in Gold Crown Town.
context: I'm sorry.\This is because I said something I shouldn't have.\What?\Ahiru-san, will you pretend you never heard what I said before?\What? But if that person is saved, Fakir will be happy too...\But in exchange, Fakir will be hurt.\What?\A long time ago, a lot of crows once showed up in Gold Crown Town. response:	Crows?
context: This is because I said something I shouldn't have.\What?\Ahiru-san, will you pretend you never heard what I said before?\What? But if that person is saved, Fakir will be happy too...\But in exchange, Fakir will be hurt.\What?\A long time ago, a lot of crows once showed up in Gold Crown Town.\Crows? response:	The crows attacked the townspeople indiscriminately.
context: What?\Ahiru-san, will you pretend you never heard what I said before?\What? But if that person is saved, Fakir will be happy too...\But in exchange, Fakir will be hurt.\What?\A long time ago, a lot of crows once showed up in Gold Crown Town.\Crows?\The crows attacked the townspeople indiscriminately. response:	Fakir was a child, but he must have wanted to do something to help.
