context: Shinjurou... response:	I can't hold on any longer...
context: I gracefully admit it...\What do you mean?\When the explosion happened here, the real Mr. Kaishou was at home,\while the one who showed up at the TV station was an impostor.\It was all done through the power of Bettenou.\That's what I figured...\No, it's what I was made to figure.\Yuuki Shinjurou will definitely deduce the presence of Bettenou. response:	Since he is a great detective...
context: What do you mean?\When the explosion happened here, the real Mr. Kaishou was at home,\while the one who showed up at the TV station was an impostor.\It was all done through the power of Bettenou.\That's what I figured...\No, it's what I was made to figure.\Yuuki Shinjurou will definitely deduce the presence of Bettenou.\Since he is a great detective... response:	Kaishou obtained Bettenou.
context: When the explosion happened here, the real Mr. Kaishou was at home,\while the one who showed up at the TV station was an impostor.\It was all done through the power of Bettenou.\That's what I figured...\No, it's what I was made to figure.\Yuuki Shinjurou will definitely deduce the presence of Bettenou.\Since he is a great detective...\Kaishou obtained Bettenou. response:	To make me think that,
context: while the one who showed up at the TV station was an impostor.\It was all done through the power of Bettenou.\That's what I figured...\No, it's what I was made to figure.\Yuuki Shinjurou will definitely deduce the presence of Bettenou.\Since he is a great detective...\Kaishou obtained Bettenou.\To make me think that, response:	Kaishou was purposely paraded in front of a member of his family.
context: It was all done through the power of Bettenou.\That's what I figured...\No, it's what I was made to figure.\Yuuki Shinjurou will definitely deduce the presence of Bettenou.\Since he is a great detective...\Kaishou obtained Bettenou.\To make me think that,\Kaishou was purposely paraded in front of a member of his family. response:	The fact that this family member has a scrupulously honest personality
context: That's what I figured...\No, it's what I was made to figure.\Yuuki Shinjurou will definitely deduce the presence of Bettenou.\Since he is a great detective...\Kaishou obtained Bettenou.\To make me think that,\Kaishou was purposely paraded in front of a member of his family.\The fact that this family member has a scrupulously honest personality response:	was part of the calculations.
context: No, it's what I was made to figure.\Yuuki Shinjurou will definitely deduce the presence of Bettenou.\Since he is a great detective...\Kaishou obtained Bettenou.\To make me think that,\Kaishou was purposely paraded in front of a member of his family.\The fact that this family member has a scrupulously honest personality\was part of the calculations. response:	Wait! Then...
context: Yuuki Shinjurou will definitely deduce the presence of Bettenou.\Since he is a great detective...\Kaishou obtained Bettenou.\To make me think that,\Kaishou was purposely paraded in front of a member of his family.\The fact that this family member has a scrupulously honest personality\was part of the calculations.\Wait! Then... response:	I'm saying my deductions were wrong before.
context: Since he is a great detective...\Kaishou obtained Bettenou.\To make me think that,\Kaishou was purposely paraded in front of a member of his family.\The fact that this family member has a scrupulously honest personality\was part of the calculations.\Wait! Then...\I'm saying my deductions were wrong before. response:	The real Kaishou Rinroku was at the TV studio.
context: Kaishou obtained Bettenou.\To make me think that,\Kaishou was purposely paraded in front of a member of his family.\The fact that this family member has a scrupulously honest personality\was part of the calculations.\Wait! Then...\I'm saying my deductions were wrong before.\The real Kaishou Rinroku was at the TV studio. response:	The Kaishou you witnessed at home was the real mastermind,
context: To make me think that,\Kaishou was purposely paraded in front of a member of his family.\The fact that this family member has a scrupulously honest personality\was part of the calculations.\Wait! Then...\I'm saying my deductions were wrong before.\The real Kaishou Rinroku was at the TV studio.\The Kaishou you witnessed at home was the real mastermind, response:	camouflaged by Bettenou to look like Kaishou.
context: Kaishou was purposely paraded in front of a member of his family.\The fact that this family member has a scrupulously honest personality\was part of the calculations.\Wait! Then...\I'm saying my deductions were wrong before.\The real Kaishou Rinroku was at the TV studio.\The Kaishou you witnessed at home was the real mastermind,\camouflaged by Bettenou to look like Kaishou. response:	Who is this Bettenou you keep bringing up?!
context: The fact that this family member has a scrupulously honest personality\was part of the calculations.\Wait! Then...\I'm saying my deductions were wrong before.\The real Kaishou Rinroku was at the TV studio.\The Kaishou you witnessed at home was the real mastermind,\camouflaged by Bettenou to look like Kaishou.\Who is this Bettenou you keep bringing up?! response:	Think of it as powerful hypnotism.
context: was part of the calculations.\Wait! Then...\I'm saying my deductions were wrong before.\The real Kaishou Rinroku was at the TV studio.\The Kaishou you witnessed at home was the real mastermind,\camouflaged by Bettenou to look like Kaishou.\Who is this Bettenou you keep bringing up?!\Think of it as powerful hypnotism. response:	Do you have proof that the Chairman Kaishou at the TV station is the real one?
context: Wait! Then...\I'm saying my deductions were wrong before.\The real Kaishou Rinroku was at the TV studio.\The Kaishou you witnessed at home was the real mastermind,\camouflaged by Bettenou to look like Kaishou.\Who is this Bettenou you keep bringing up?!\Think of it as powerful hypnotism.\Do you have proof that the Chairman Kaishou at the TV station is the real one? response:	Video from the surveillance cameras.
context: I'm saying my deductions were wrong before.\The real Kaishou Rinroku was at the TV studio.\The Kaishou you witnessed at home was the real mastermind,\camouflaged by Bettenou to look like Kaishou.\Who is this Bettenou you keep bringing up?!\Think of it as powerful hypnotism.\Do you have proof that the Chairman Kaishou at the TV station is the real one?\Video from the surveillance cameras. response:	If the Kaishou who showed up at the TV station was a Bettenou-empowered poser,
context: The real Kaishou Rinroku was at the TV studio.\The Kaishou you witnessed at home was the real mastermind,\camouflaged by Bettenou to look like Kaishou.\Who is this Bettenou you keep bringing up?!\Think of it as powerful hypnotism.\Do you have proof that the Chairman Kaishou at the TV station is the real one?\Video from the surveillance cameras.\If the Kaishou who showed up at the TV station was a Bettenou-empowered poser, response:	I wouldn't have been able to see him on video days later.
context: The Kaishou you witnessed at home was the real mastermind,\camouflaged by Bettenou to look like Kaishou.\Who is this Bettenou you keep bringing up?!\Think of it as powerful hypnotism.\Do you have proof that the Chairman Kaishou at the TV station is the real one?\Video from the surveillance cameras.\If the Kaishou who showed up at the TV station was a Bettenou-empowered poser,\I wouldn't have been able to see him on video days later. response:	But I did see him. Clearly.
context: camouflaged by Bettenou to look like Kaishou.\Who is this Bettenou you keep bringing up?!\Think of it as powerful hypnotism.\Do you have proof that the Chairman Kaishou at the TV station is the real one?\Video from the surveillance cameras.\If the Kaishou who showed up at the TV station was a Bettenou-empowered poser,\I wouldn't have been able to see him on video days later.\But I did see him. Clearly. response:	I hadn't taken the train for so long
context: Who is this Bettenou you keep bringing up?!\Think of it as powerful hypnotism.\Do you have proof that the Chairman Kaishou at the TV station is the real one?\Video from the surveillance cameras.\If the Kaishou who showed up at the TV station was a Bettenou-empowered poser,\I wouldn't have been able to see him on video days later.\But I did see him. Clearly.\I hadn't taken the train for so long response:	that I didn't know where to make the transfer.
context: Think of it as powerful hypnotism.\Do you have proof that the Chairman Kaishou at the TV station is the real one?\Video from the surveillance cameras.\If the Kaishou who showed up at the TV station was a Bettenou-empowered poser,\I wouldn't have been able to see him on video days later.\But I did see him. Clearly.\I hadn't taken the train for so long\that I didn't know where to make the transfer. response:	We dropped him off at the TV station yesterday too,
context: Do you have proof that the Chairman Kaishou at the TV station is the real one?\Video from the surveillance cameras.\If the Kaishou who showed up at the TV station was a Bettenou-empowered poser,\I wouldn't have been able to see him on video days later.\But I did see him. Clearly.\I hadn't taken the train for so long\that I didn't know where to make the transfer.\We dropped him off at the TV station yesterday too, response:	but to think this could happen...
context: Video from the surveillance cameras.\If the Kaishou who showed up at the TV station was a Bettenou-empowered poser,\I wouldn't have been able to see him on video days later.\But I did see him. Clearly.\I hadn't taken the train for so long\that I didn't know where to make the transfer.\We dropped him off at the TV station yesterday too,\but to think this could happen... response:	I thought you explained that the contradiction between the two statements
context: If the Kaishou who showed up at the TV station was a Bettenou-empowered poser,\I wouldn't have been able to see him on video days later.\But I did see him. Clearly.\I hadn't taken the train for so long\that I didn't know where to make the transfer.\We dropped him off at the TV station yesterday too,\but to think this could happen...\I thought you explained that the contradiction between the two statements response:	was proof that Mr. Kaishou wasn't at the TV station!
context: I wouldn't have been able to see him on video days later.\But I did see him. Clearly.\I hadn't taken the train for so long\that I didn't know where to make the transfer.\We dropped him off at the TV station yesterday too,\but to think this could happen...\I thought you explained that the contradiction between the two statements\was proof that Mr. Kaishou wasn't at the TV station! response:	It's simple.
context: But I did see him. Clearly.\I hadn't taken the train for so long\that I didn't know where to make the transfer.\We dropped him off at the TV station yesterday too,\but to think this could happen...\I thought you explained that the contradiction between the two statements\was proof that Mr. Kaishou wasn't at the TV station!\It's simple. response:	One of them was lying.
context: I hadn't taken the train for so long\that I didn't know where to make the transfer.\We dropped him off at the TV station yesterday too,\but to think this could happen...\I thought you explained that the contradiction between the two statements\was proof that Mr. Kaishou wasn't at the TV station!\It's simple.\One of them was lying. response:	Mr. Fuwa, you must have heard what Chairman Kaishou said then, too.
context: that I didn't know where to make the transfer.\We dropped him off at the TV station yesterday too,\but to think this could happen...\I thought you explained that the contradiction between the two statements\was proof that Mr. Kaishou wasn't at the TV station!\It's simple.\One of them was lying.\Mr. Fuwa, you must have heard what Chairman Kaishou said then, too. response:	Now that you mention it, he said something about taking the train...
context: We dropped him off at the TV station yesterday too,\but to think this could happen...\I thought you explained that the contradiction between the two statements\was proof that Mr. Kaishou wasn't at the TV station!\It's simple.\One of them was lying.\Mr. Fuwa, you must have heard what Chairman Kaishou said then, too.\Now that you mention it, he said something about taking the train... response:	Then Mizuno was the one that was lying.
context: but to think this could happen...\I thought you explained that the contradiction between the two statements\was proof that Mr. Kaishou wasn't at the TV station!\It's simple.\One of them was lying.\Mr. Fuwa, you must have heard what Chairman Kaishou said then, too.\Now that you mention it, he said something about taking the train...\Then Mizuno was the one that was lying. response:	But why would Mizuno tell a lie that would incriminate Chairman Kaishou?
context: I thought you explained that the contradiction between the two statements\was proof that Mr. Kaishou wasn't at the TV station!\It's simple.\One of them was lying.\Mr. Fuwa, you must have heard what Chairman Kaishou said then, too.\Now that you mention it, he said something about taking the train...\Then Mizuno was the one that was lying.\But why would Mizuno tell a lie that would incriminate Chairman Kaishou? response:	Because Mizuno was with Full Circle.
context: was proof that Mr. Kaishou wasn't at the TV station!\It's simple.\One of them was lying.\Mr. Fuwa, you must have heard what Chairman Kaishou said then, too.\Now that you mention it, he said something about taking the train...\Then Mizuno was the one that was lying.\But why would Mizuno tell a lie that would incriminate Chairman Kaishou?\Because Mizuno was with Full Circle. response:	Mizuno had information that he should've had no way of knowing.
context: It's simple.\One of them was lying.\Mr. Fuwa, you must have heard what Chairman Kaishou said then, too.\Now that you mention it, he said something about taking the train...\Then Mizuno was the one that was lying.\But why would Mizuno tell a lie that would incriminate Chairman Kaishou?\Because Mizuno was with Full Circle.\Mizuno had information that he should've had no way of knowing. response:	Unusually enough, you were successful with Mr. Yajima's request.
context: One of them was lying.\Mr. Fuwa, you must have heard what Chairman Kaishou said then, too.\Now that you mention it, he said something about taking the train...\Then Mizuno was the one that was lying.\But why would Mizuno tell a lie that would incriminate Chairman Kaishou?\Because Mizuno was with Full Circle.\Mizuno had information that he should've had no way of knowing.\Unusually enough, you were successful with Mr. Yajima's request. response:	Information about a case that he could've known about
context: Mr. Fuwa, you must have heard what Chairman Kaishou said then, too.\Now that you mention it, he said something about taking the train...\Then Mizuno was the one that was lying.\But why would Mizuno tell a lie that would incriminate Chairman Kaishou?\Because Mizuno was with Full Circle.\Mizuno had information that he should've had no way of knowing.\Unusually enough, you were successful with Mr. Yajima's request.\Information about a case that he could've known about response:	only if he had access to the prosecutor or Kaishou's private records.
context: Now that you mention it, he said something about taking the train...\Then Mizuno was the one that was lying.\But why would Mizuno tell a lie that would incriminate Chairman Kaishou?\Because Mizuno was with Full Circle.\Mizuno had information that he should've had no way of knowing.\Unusually enough, you were successful with Mr. Yajima's request.\Information about a case that he could've known about\only if he had access to the prosecutor or Kaishou's private records. response:	But don't let it go to your head.
context: Then Mizuno was the one that was lying.\But why would Mizuno tell a lie that would incriminate Chairman Kaishou?\Because Mizuno was with Full Circle.\Mizuno had information that he should've had no way of knowing.\Unusually enough, you were successful with Mr. Yajima's request.\Information about a case that he could've known about\only if he had access to the prosecutor or Kaishou's private records.\But don't let it go to your head. response:	There was a rumor that Commander Mizuno also demanded a full access key
context: But why would Mizuno tell a lie that would incriminate Chairman Kaishou?\Because Mizuno was with Full Circle.\Mizuno had information that he should've had no way of knowing.\Unusually enough, you were successful with Mr. Yajima's request.\Information about a case that he could've known about\only if he had access to the prosecutor or Kaishou's private records.\But don't let it go to your head.\There was a rumor that Commander Mizuno also demanded a full access key response:	to major companies, claiming it was necessary for security.
context: Because Mizuno was with Full Circle.\Mizuno had information that he should've had no way of knowing.\Unusually enough, you were successful with Mr. Yajima's request.\Information about a case that he could've known about\only if he had access to the prosecutor or Kaishou's private records.\But don't let it go to your head.\There was a rumor that Commander Mizuno also demanded a full access key\to major companies, claiming it was necessary for security. response:	Was Mr. Mizuno the culprit?
context: Mizuno had information that he should've had no way of knowing.\Unusually enough, you were successful with Mr. Yajima's request.\Information about a case that he could've known about\only if he had access to the prosecutor or Kaishou's private records.\But don't let it go to your head.\There was a rumor that Commander Mizuno also demanded a full access key\to major companies, claiming it was necessary for security.\Was Mr. Mizuno the culprit? response:	Missile...
context: Unusually enough, you were successful with Mr. Yajima's request.\Information about a case that he could've known about\only if he had access to the prosecutor or Kaishou's private records.\But don't let it go to your head.\There was a rumor that Commander Mizuno also demanded a full access key\to major companies, claiming it was necessary for security.\Was Mr. Mizuno the culprit?\Missile... response:	We had information that a fragment
context: Information about a case that he could've known about\only if he had access to the prosecutor or Kaishou's private records.\But don't let it go to your head.\There was a rumor that Commander Mizuno also demanded a full access key\to major companies, claiming it was necessary for security.\Was Mr. Mizuno the culprit?\Missile...\We had information that a fragment response:	from a shoulder-launched surface-to-air missile was found here,
context: only if he had access to the prosecutor or Kaishou's private records.\But don't let it go to your head.\There was a rumor that Commander Mizuno also demanded a full access key\to major companies, claiming it was necessary for security.\Was Mr. Mizuno the culprit?\Missile...\We had information that a fragment\from a shoulder-launched surface-to-air missile was found here, response:	the same kind used by the Public Security Force!
context: But don't let it go to your head.\There was a rumor that Commander Mizuno also demanded a full access key\to major companies, claiming it was necessary for security.\Was Mr. Mizuno the culprit?\Missile...\We had information that a fragment\from a shoulder-launched surface-to-air missile was found here,\the same kind used by the Public Security Force! response:	If it had been fired from a boat, there would've been enough distance
context: There was a rumor that Commander Mizuno also demanded a full access key\to major companies, claiming it was necessary for security.\Was Mr. Mizuno the culprit?\Missile...\We had information that a fragment\from a shoulder-launched surface-to-air missile was found here,\the same kind used by the Public Security Force!\If it had been fired from a boat, there would've been enough distance response:	that even the Self-Defense Force wouldn't have detected it.
context: to major companies, claiming it was necessary for security.\Was Mr. Mizuno the culprit?\Missile...\We had information that a fragment\from a shoulder-launched surface-to-air missile was found here,\the same kind used by the Public Security Force!\If it had been fired from a boat, there would've been enough distance\that even the Self-Defense Force wouldn't have detected it. response:	The way you talk makes me think you've already checked the armory.
context: Was Mr. Mizuno the culprit?\Missile...\We had information that a fragment\from a shoulder-launched surface-to-air missile was found here,\the same kind used by the Public Security Force!\If it had been fired from a boat, there would've been enough distance\that even the Self-Defense Force wouldn't have detected it.\The way you talk makes me think you've already checked the armory. response:	It's possible that Commander Mizuno took out a missile launcher.
context: Missile...\We had information that a fragment\from a shoulder-launched surface-to-air missile was found here,\the same kind used by the Public Security Force!\If it had been fired from a boat, there would've been enough distance\that even the Self-Defense Force wouldn't have detected it.\The way you talk makes me think you've already checked the armory.\It's possible that Commander Mizuno took out a missile launcher. response:	We're also left with the possibility
context: We had information that a fragment\from a shoulder-launched surface-to-air missile was found here,\the same kind used by the Public Security Force!\If it had been fired from a boat, there would've been enough distance\that even the Self-Defense Force wouldn't have detected it.\The way you talk makes me think you've already checked the armory.\It's possible that Commander Mizuno took out a missile launcher.\We're also left with the possibility response:	that a bomb had been set at the TV station beforehand.
context: from a shoulder-launched surface-to-air missile was found here,\the same kind used by the Public Security Force!\If it had been fired from a boat, there would've been enough distance\that even the Self-Defense Force wouldn't have detected it.\The way you talk makes me think you've already checked the armory.\It's possible that Commander Mizuno took out a missile launcher.\We're also left with the possibility\that a bomb had been set at the TV station beforehand. response:	As for JJ Systems' microwave satellite, it's still in the experimental stages
context: the same kind used by the Public Security Force!\If it had been fired from a boat, there would've been enough distance\that even the Self-Defense Force wouldn't have detected it.\The way you talk makes me think you've already checked the armory.\It's possible that Commander Mizuno took out a missile launcher.\We're also left with the possibility\that a bomb had been set at the TV station beforehand.\As for JJ Systems' microwave satellite, it's still in the experimental stages response:	and doesn't have the capacity to cause that much destruction.
context: If it had been fired from a boat, there would've been enough distance\that even the Self-Defense Force wouldn't have detected it.\The way you talk makes me think you've already checked the armory.\It's possible that Commander Mizuno took out a missile launcher.\We're also left with the possibility\that a bomb had been set at the TV station beforehand.\As for JJ Systems' microwave satellite, it's still in the experimental stages\and doesn't have the capacity to cause that much destruction. response:	Then we falsely accused him based on mistaken data?!
context: that even the Self-Defense Force wouldn't have detected it.\The way you talk makes me think you've already checked the armory.\It's possible that Commander Mizuno took out a missile launcher.\We're also left with the possibility\that a bomb had been set at the TV station beforehand.\As for JJ Systems' microwave satellite, it's still in the experimental stages\and doesn't have the capacity to cause that much destruction.\Then we falsely accused him based on mistaken data?! response:	Yes, the data that you leaked yourself.
context: The way you talk makes me think you've already checked the armory.\It's possible that Commander Mizuno took out a missile launcher.\We're also left with the possibility\that a bomb had been set at the TV station beforehand.\As for JJ Systems' microwave satellite, it's still in the experimental stages\and doesn't have the capacity to cause that much destruction.\Then we falsely accused him based on mistaken data?!\Yes, the data that you leaked yourself. response:	Oh, Detective!
context: It's possible that Commander Mizuno took out a missile launcher.\We're also left with the possibility\that a bomb had been set at the TV station beforehand.\As for JJ Systems' microwave satellite, it's still in the experimental stages\and doesn't have the capacity to cause that much destruction.\Then we falsely accused him based on mistaken data?!\Yes, the data that you leaked yourself.\Oh, Detective! response:	Didn't you just say that Mizuno was the culprit...?!
context: We're also left with the possibility\that a bomb had been set at the TV station beforehand.\As for JJ Systems' microwave satellite, it's still in the experimental stages\and doesn't have the capacity to cause that much destruction.\Then we falsely accused him based on mistaken data?!\Yes, the data that you leaked yourself.\Oh, Detective!\Didn't you just say that Mizuno was the culprit...?! response:	I don't remember saying he did it alone.
context: that a bomb had been set at the TV station beforehand.\As for JJ Systems' microwave satellite, it's still in the experimental stages\and doesn't have the capacity to cause that much destruction.\Then we falsely accused him based on mistaken data?!\Yes, the data that you leaked yourself.\Oh, Detective!\Didn't you just say that Mizuno was the culprit...?!\I don't remember saying he did it alone. response:	The Public Security Force may have been able to penetrate corporations' data,
context: As for JJ Systems' microwave satellite, it's still in the experimental stages\and doesn't have the capacity to cause that much destruction.\Then we falsely accused him based on mistaken data?!\Yes, the data that you leaked yourself.\Oh, Detective!\Didn't you just say that Mizuno was the culprit...?!\I don't remember saying he did it alone.\The Public Security Force may have been able to penetrate corporations' data, response:	but authorization is required to have access to government information.
context: and doesn't have the capacity to cause that much destruction.\Then we falsely accused him based on mistaken data?!\Yes, the data that you leaked yourself.\Oh, Detective!\Didn't you just say that Mizuno was the culprit...?!\I don't remember saying he did it alone.\The Public Security Force may have been able to penetrate corporations' data,\but authorization is required to have access to government information. response:	You're saying Diet Member Kuramitsu aided Full Circle?!
context: Then we falsely accused him based on mistaken data?!\Yes, the data that you leaked yourself.\Oh, Detective!\Didn't you just say that Mizuno was the culprit...?!\I don't remember saying he did it alone.\The Public Security Force may have been able to penetrate corporations' data,\but authorization is required to have access to government information.\You're saying Diet Member Kuramitsu aided Full Circle?! response:	You hid the fact that you and Mizuno were old friends.
context: Yes, the data that you leaked yourself.\Oh, Detective!\Didn't you just say that Mizuno was the culprit...?!\I don't remember saying he did it alone.\The Public Security Force may have been able to penetrate corporations' data,\but authorization is required to have access to government information.\You're saying Diet Member Kuramitsu aided Full Circle?!\You hid the fact that you and Mizuno were old friends. response:	Not even a member of the Diet can get through!
context: Oh, Detective!\Didn't you just say that Mizuno was the culprit...?!\I don't remember saying he did it alone.\The Public Security Force may have been able to penetrate corporations' data,\but authorization is required to have access to government information.\You're saying Diet Member Kuramitsu aided Full Circle?!\You hid the fact that you and Mizuno were old friends.\Not even a member of the Diet can get through! response:	You have no proof!
context: Didn't you just say that Mizuno was the culprit...?!\I don't remember saying he did it alone.\The Public Security Force may have been able to penetrate corporations' data,\but authorization is required to have access to government information.\You're saying Diet Member Kuramitsu aided Full Circle?!\You hid the fact that you and Mizuno were old friends.\Not even a member of the Diet can get through!\You have no proof! response:	But I'm certain.
context: I don't remember saying he did it alone.\The Public Security Force may have been able to penetrate corporations' data,\but authorization is required to have access to government information.\You're saying Diet Member Kuramitsu aided Full Circle?!\You hid the fact that you and Mizuno were old friends.\Not even a member of the Diet can get through!\You have no proof!\But I'm certain. response:	The handkerchief I lent you...
context: The Public Security Force may have been able to penetrate corporations' data,\but authorization is required to have access to government information.\You're saying Diet Member Kuramitsu aided Full Circle?!\You hid the fact that you and Mizuno were old friends.\Not even a member of the Diet can get through!\You have no proof!\But I'm certain.\The handkerchief I lent you... response:	My partner brought it home.
context: but authorization is required to have access to government information.\You're saying Diet Member Kuramitsu aided Full Circle?!\You hid the fact that you and Mizuno were old friends.\Not even a member of the Diet can get through!\You have no proof!\But I'm certain.\The handkerchief I lent you...\My partner brought it home. response:	Why?
context: You're saying Diet Member Kuramitsu aided Full Circle?!\You hid the fact that you and Mizuno were old friends.\Not even a member of the Diet can get through!\You have no proof!\But I'm certain.\The handkerchief I lent you...\My partner brought it home.\Why? response:	I ran into him somewhere and gave it to him!
context: You hid the fact that you and Mizuno were old friends.\Not even a member of the Diet can get through!\You have no proof!\But I'm certain.\The handkerchief I lent you...\My partner brought it home.\Why?\I ran into him somewhere and gave it to him! response:	My partner had been missing for a while.
context: Not even a member of the Diet can get through!\You have no proof!\But I'm certain.\The handkerchief I lent you...\My partner brought it home.\Why?\I ran into him somewhere and gave it to him!\My partner had been missing for a while. response:	Until Inga appeared at the committee, as if manipulated by something...
context: You have no proof!\But I'm certain.\The handkerchief I lent you...\My partner brought it home.\Why?\I ran into him somewhere and gave it to him!\My partner had been missing for a while.\Until Inga appeared at the committee, as if manipulated by something... response:	And the only thing that could possibly manipulate Inga... is Bettenou.
context: But I'm certain.\The handkerchief I lent you...\My partner brought it home.\Why?\I ran into him somewhere and gave it to him!\My partner had been missing for a while.\Until Inga appeared at the committee, as if manipulated by something...\And the only thing that could possibly manipulate Inga... is Bettenou. response:	In other words, you were at the place where Inga was captured...
context: The handkerchief I lent you...\My partner brought it home.\Why?\I ran into him somewhere and gave it to him!\My partner had been missing for a while.\Until Inga appeared at the committee, as if manipulated by something...\And the only thing that could possibly manipulate Inga... is Bettenou.\In other words, you were at the place where Inga was captured... response:	And where Bettenou is now!
context: My partner brought it home.\Why?\I ran into him somewhere and gave it to him!\My partner had been missing for a while.\Until Inga appeared at the committee, as if manipulated by something...\And the only thing that could possibly manipulate Inga... is Bettenou.\In other words, you were at the place where Inga was captured...\And where Bettenou is now! response:	This is a trap!
context: Why?\I ran into him somewhere and gave it to him!\My partner had been missing for a while.\Until Inga appeared at the committee, as if manipulated by something...\And the only thing that could possibly manipulate Inga... is Bettenou.\In other words, you were at the place where Inga was captured...\And where Bettenou is now!\This is a trap! response:	This is a conspiracy!
context: I ran into him somewhere and gave it to him!\My partner had been missing for a while.\Until Inga appeared at the committee, as if manipulated by something...\And the only thing that could possibly manipulate Inga... is Bettenou.\In other words, you were at the place where Inga was captured...\And where Bettenou is now!\This is a trap!\This is a conspiracy! response:	Yuuki Shinjurou!
context: My partner had been missing for a while.\Until Inga appeared at the committee, as if manipulated by something...\And the only thing that could possibly manipulate Inga... is Bettenou.\In other words, you were at the place where Inga was captured...\And where Bettenou is now!\This is a trap!\This is a conspiracy!\Yuuki Shinjurou! response:	You made it seem like Kaishou was alive to frame me...
context: Until Inga appeared at the committee, as if manipulated by something...\And the only thing that could possibly manipulate Inga... is Bettenou.\In other words, you were at the place where Inga was captured...\And where Bettenou is now!\This is a trap!\This is a conspiracy!\Yuuki Shinjurou!\You made it seem like Kaishou was alive to frame me... response:	Gunshots!
context: And the only thing that could possibly manipulate Inga... is Bettenou.\In other words, you were at the place where Inga was captured...\And where Bettenou is now!\This is a trap!\This is a conspiracy!\Yuuki Shinjurou!\You made it seem like Kaishou was alive to frame me...\Gunshots! response:	Who's there?!
context: In other words, you were at the place where Inga was captured...\And where Bettenou is now!\This is a trap!\This is a conspiracy!\Yuuki Shinjurou!\You made it seem like Kaishou was alive to frame me...\Gunshots!\Who's there?! response:	Over there?!
context: And where Bettenou is now!\This is a trap!\This is a conspiracy!\Yuuki Shinjurou!\You made it seem like Kaishou was alive to frame me...\Gunshots!\Who's there?!\Over there?! response:	He means to attack everyone!
context: This is a trap!\This is a conspiracy!\Yuuki Shinjurou!\You made it seem like Kaishou was alive to frame me...\Gunshots!\Who's there?!\Over there?!\He means to attack everyone! response:	Run!
context: This is a conspiracy!\Yuuki Shinjurou!\You made it seem like Kaishou was alive to frame me...\Gunshots!\Who's there?!\Over there?!\He means to attack everyone!\Run! response:	Hayami-kun!
context: Yuuki Shinjurou!\You made it seem like Kaishou was alive to frame me...\Gunshots!\Who's there?!\Over there?!\He means to attack everyone!\Run!\Hayami-kun! response:	Don't move!
context: You made it seem like Kaishou was alive to frame me...\Gunshots!\Who's there?!\Over there?!\He means to attack everyone!\Run!\Hayami-kun!\Don't move! response:	Is this really Kaishou's revenge?!
context: Gunshots!\Who's there?!\Over there?!\He means to attack everyone!\Run!\Hayami-kun!\Don't move!\Is this really Kaishou's revenge?! response:	I understand! I'm sorry!
context: Who's there?!\Over there?!\He means to attack everyone!\Run!\Hayami-kun!\Don't move!\Is this really Kaishou's revenge?!\I understand! I'm sorry! response:	I said bad things about you because I was tricked!
context: Over there?!\He means to attack everyone!\Run!\Hayami-kun!\Don't move!\Is this really Kaishou's revenge?!\I understand! I'm sorry!\I said bad things about you because I was tricked! response:	Don't hold a grudge against me!
context: He means to attack everyone!\Run!\Hayami-kun!\Don't move!\Is this really Kaishou's revenge?!\I understand! I'm sorry!\I said bad things about you because I was tricked!\Don't hold a grudge against me! response:	I don't hold a grudge against anyone.
context: Run!\Hayami-kun!\Don't move!\Is this really Kaishou's revenge?!\I understand! I'm sorry!\I said bad things about you because I was tricked!\Don't hold a grudge against me!\I don't hold a grudge against anyone. response:	Kaishou Rinroku
context: Hayami-kun!\Don't move!\Is this really Kaishou's revenge?!\I understand! I'm sorry!\I said bad things about you because I was tricked!\Don't hold a grudge against me!\I don't hold a grudge against anyone.\Kaishou Rinroku response:	Chairman of JJ Systems
context: Don't move!\Is this really Kaishou's revenge?!\I understand! I'm sorry!\I said bad things about you because I was tricked!\Don't hold a grudge against me!\I don't hold a grudge against anyone.\Kaishou Rinroku\Chairman of JJ Systems response:	Kaishou Rinroku...
context: Is this really Kaishou's revenge?!\I understand! I'm sorry!\I said bad things about you because I was tricked!\Don't hold a grudge against me!\I don't hold a grudge against anyone.\Kaishou Rinroku\Chairman of JJ Systems\Kaishou Rinroku... response:	Father!
context: I understand! I'm sorry!\I said bad things about you because I was tricked!\Don't hold a grudge against me!\I don't hold a grudge against anyone.\Kaishou Rinroku\Chairman of JJ Systems\Kaishou Rinroku...\Father! response:	I'm sorry for making you handle a memorial service at your age...
context: I said bad things about you because I was tricked!\Don't hold a grudge against me!\I don't hold a grudge against anyone.\Kaishou Rinroku\Chairman of JJ Systems\Kaishou Rinroku...\Father!\I'm sorry for making you handle a memorial service at your age... response:	That's not... Not at all!
context: Don't hold a grudge against me!\I don't hold a grudge against anyone.\Kaishou Rinroku\Chairman of JJ Systems\Kaishou Rinroku...\Father!\I'm sorry for making you handle a memorial service at your age...\That's not... Not at all! response:	Chairman...
context: I don't hold a grudge against anyone.\Kaishou Rinroku\Chairman of JJ Systems\Kaishou Rinroku...\Father!\I'm sorry for making you handle a memorial service at your age...\That's not... Not at all!\Chairman... response:	Everyone, I'm sorry for causing so much worry.
context: Kaishou Rinroku\Chairman of JJ Systems\Kaishou Rinroku...\Father!\I'm sorry for making you handle a memorial service at your age...\That's not... Not at all!\Chairman...\Everyone, I'm sorry for causing so much worry. response:	I faked my own death to escape someone's plot.
