context: W- why do we have to wait for Kakarrot!? response:	Because he is a traitor to us Saiyans.
context: I can't just sit still here for three hours, after all.\Suit yourself. But Nappa, don't go overdoing it, now.\Why not?\For the sake of the hellish show we're going to have in three hours.\That's Vegeta for you!\It'll be fine, don't worry about it!\One of the Saiyans has taken to the skies by himself!\Where exactly is he planning to go? response:	I- it appears that he is coming toward our direction!
context: Suit yourself. But Nappa, don't go overdoing it, now.\Why not?\For the sake of the hellish show we're going to have in three hours.\That's Vegeta for you!\It'll be fine, don't worry about it!\One of the Saiyans has taken to the skies by himself!\Where exactly is he planning to go?\I- it appears that he is coming toward our direction! response:	He is rapidly approaching us!
context: Why not?\For the sake of the hellish show we're going to have in three hours.\That's Vegeta for you!\It'll be fine, don't worry about it!\One of the Saiyans has taken to the skies by himself!\Where exactly is he planning to go?\I- it appears that he is coming toward our direction!\He is rapidly approaching us! response:	G- get us out of here!
context: For the sake of the hellish show we're going to have in three hours.\That's Vegeta for you!\It'll be fine, don't worry about it!\One of the Saiyans has taken to the skies by himself!\Where exactly is he planning to go?\I- it appears that he is coming toward our direction!\He is rapidly approaching us!\G- get us out of here! response:	H- he's chasing after us!
context: That's Vegeta for you!\It'll be fine, don't worry about it!\One of the Saiyans has taken to the skies by himself!\Where exactly is he planning to go?\I- it appears that he is coming toward our direction!\He is rapidly approaching us!\G- get us out of here!\H- he's chasing after us! response:	H- here he comes!
context: It'll be fine, don't worry about it!\One of the Saiyans has taken to the skies by himself!\Where exactly is he planning to go?\I- it appears that he is coming toward our direction!\He is rapidly approaching us!\G- get us out of here!\H- he's chasing after us!\H- here he comes! response:	Run!
context: One of the Saiyans has taken to the skies by himself!\Where exactly is he planning to go?\I- it appears that he is coming toward our direction!\He is rapidly approaching us!\G- get us out of here!\H- he's chasing after us!\H- here he comes!\Run! response:	You guys are a blight! Away with you!
context: Where exactly is he planning to go?\I- it appears that he is coming toward our direction!\He is rapidly approaching us!\G- get us out of here!\H- he's chasing after us!\H- here he comes!\Run!\You guys are a blight! Away with you! response:	G- Gohan- chan...
context: I- it appears that he is coming toward our direction!\He is rapidly approaching us!\G- get us out of here!\H- he's chasing after us!\H- here he comes!\Run!\You guys are a blight! Away with you!\G- Gohan- chan... response:	C- Chichi!
context: He is rapidly approaching us!\G- get us out of here!\H- he's chasing after us!\H- here he comes!\Run!\You guys are a blight! Away with you!\G- Gohan- chan...\C- Chichi! response:	So this planet has this sort of military, does it?
context: G- get us out of here!\H- he's chasing after us!\H- here he comes!\Run!\You guys are a blight! Away with you!\G- Gohan- chan...\C- Chichi!\So this planet has this sort of military, does it? response:	This should be a good time killer.
context: H- he's chasing after us!\H- here he comes!\Run!\You guys are a blight! Away with you!\G- Gohan- chan...\C- Chichi!\So this planet has this sort of military, does it?\This should be a good time killer. response:	I thought these guys would be a little more effective, but they're all worthless.
context: H- here he comes!\Run!\You guys are a blight! Away with you!\G- Gohan- chan...\C- Chichi!\So this planet has this sort of military, does it?\This should be a good time killer.\I thought these guys would be a little more effective, but they're all worthless. response:	Beat it!
context: Run!\You guys are a blight! Away with you!\G- Gohan- chan...\C- Chichi!\So this planet has this sort of military, does it?\This should be a good time killer.\I thought these guys would be a little more effective, but they're all worthless.\Beat it! response:	You guys were a waste of my time.
context: You guys are a blight! Away with you!\G- Gohan- chan...\C- Chichi!\So this planet has this sort of military, does it?\This should be a good time killer.\I thought these guys would be a little more effective, but they're all worthless.\Beat it!\You guys were a waste of my time. response:	By the way, hasn't Goku come by the way yet?
context: G- Gohan- chan...\C- Chichi!\So this planet has this sort of military, does it?\This should be a good time killer.\I thought these guys would be a little more effective, but they're all worthless.\Beat it!\You guys were a waste of my time.\By the way, hasn't Goku come by the way yet? response:	No matter how funny my jokes are, this is no time for laughs.
context: C- Chichi!\So this planet has this sort of military, does it?\This should be a good time killer.\I thought these guys would be a little more effective, but they're all worthless.\Beat it!\You guys were a waste of my time.\By the way, hasn't Goku come by the way yet?\No matter how funny my jokes are, this is no time for laughs. response:	The fate of the earth is at stake!
context: So this planet has this sort of military, does it?\This should be a good time killer.\I thought these guys would be a little more effective, but they're all worthless.\Beat it!\You guys were a waste of my time.\By the way, hasn't Goku come by the way yet?\No matter how funny my jokes are, this is no time for laughs.\The fate of the earth is at stake! response:	Hurry, Son Goku!
context: This should be a good time killer.\I thought these guys would be a little more effective, but they're all worthless.\Beat it!\You guys were a waste of my time.\By the way, hasn't Goku come by the way yet?\No matter how funny my jokes are, this is no time for laughs.\The fate of the earth is at stake!\Hurry, Son Goku! response:	I see it!
context: I thought these guys would be a little more effective, but they're all worthless.\Beat it!\You guys were a waste of my time.\By the way, hasn't Goku come by the way yet?\No matter how funny my jokes are, this is no time for laughs.\The fate of the earth is at stake!\Hurry, Son Goku!\I see it! response:	Just a little farther!
context: Beat it!\You guys were a waste of my time.\By the way, hasn't Goku come by the way yet?\No matter how funny my jokes are, this is no time for laughs.\The fate of the earth is at stake!\Hurry, Son Goku!\I see it!\Just a little farther! response:	Goku's presence!?
context: You guys were a waste of my time.\By the way, hasn't Goku come by the way yet?\No matter how funny my jokes are, this is no time for laughs.\The fate of the earth is at stake!\Hurry, Son Goku!\I see it!\Just a little farther!\Goku's presence!? response:	Yeah! He is getting close! He just might be in time!
context: By the way, hasn't Goku come by the way yet?\No matter how funny my jokes are, this is no time for laughs.\The fate of the earth is at stake!\Hurry, Son Goku!\I see it!\Just a little farther!\Goku's presence!?\Yeah! He is getting close! He just might be in time! response:	Another two hours, huh?
context: No matter how funny my jokes are, this is no time for laughs.\The fate of the earth is at stake!\Hurry, Son Goku!\I see it!\Just a little farther!\Goku's presence!?\Yeah! He is getting close! He just might be in time!\Another two hours, huh? response:	You know, this planet Earth here
context: The fate of the earth is at stake!\Hurry, Son Goku!\I see it!\Just a little farther!\Goku's presence!?\Yeah! He is getting close! He just might be in time!\Another two hours, huh?\You know, this planet Earth here response:	is a more wondrous world than any I've seen before.
context: Hurry, Son Goku!\I see it!\Just a little farther!\Goku's presence!?\Yeah! He is getting close! He just might be in time!\Another two hours, huh?\You know, this planet Earth here\is a more wondrous world than any I've seen before. response:	We'll be able to sell this one for a lot!
context: I see it!\Just a little farther!\Goku's presence!?\Yeah! He is getting close! He just might be in time!\Another two hours, huh?\You know, this planet Earth here\is a more wondrous world than any I've seen before.\We'll be able to sell this one for a lot! response:	So this is the level of people it has, huh?
context: Just a little farther!\Goku's presence!?\Yeah! He is getting close! He just might be in time!\Another two hours, huh?\You know, this planet Earth here\is a more wondrous world than any I've seen before.\We'll be able to sell this one for a lot!\So this is the level of people it has, huh? response:	One more hour.
context: Goku's presence!?\Yeah! He is getting close! He just might be in time!\Another two hours, huh?\You know, this planet Earth here\is a more wondrous world than any I've seen before.\We'll be able to sell this one for a lot!\So this is the level of people it has, huh?\One more hour. response:	Kakarrot hasn't just lost his nerve and run away, right?
context: Yeah! He is getting close! He just might be in time!\Another two hours, huh?\You know, this planet Earth here\is a more wondrous world than any I've seen before.\We'll be able to sell this one for a lot!\So this is the level of people it has, huh?\One more hour.\Kakarrot hasn't just lost his nerve and run away, right? response:	Go for broke...
context: Another two hours, huh?\You know, this planet Earth here\is a more wondrous world than any I've seen before.\We'll be able to sell this one for a lot!\So this is the level of people it has, huh?\One more hour.\Kakarrot hasn't just lost his nerve and run away, right?\Go for broke... response:	Looks like that's all we can do.
context: You know, this planet Earth here\is a more wondrous world than any I've seen before.\We'll be able to sell this one for a lot!\So this is the level of people it has, huh?\One more hour.\Kakarrot hasn't just lost his nerve and run away, right?\Go for broke...\Looks like that's all we can do. response:	He's arrived! Son Goku has arrived!
context: is a more wondrous world than any I've seen before.\We'll be able to sell this one for a lot!\So this is the level of people it has, huh?\One more hour.\Kakarrot hasn't just lost his nerve and run away, right?\Go for broke...\Looks like that's all we can do.\He's arrived! Son Goku has arrived! response:	Oh, Kami- sama! Hurry!
context: We'll be able to sell this one for a lot!\So this is the level of people it has, huh?\One more hour.\Kakarrot hasn't just lost his nerve and run away, right?\Go for broke...\Looks like that's all we can do.\He's arrived! Son Goku has arrived!\Oh, Kami- sama! Hurry! response:	The Serpentine Road has ended!
context: So this is the level of people it has, huh?\One more hour.\Kakarrot hasn't just lost his nerve and run away, right?\Go for broke...\Looks like that's all we can do.\He's arrived! Son Goku has arrived!\Oh, Kami- sama! Hurry!\The Serpentine Road has ended! response:	That was fast! That was wonderfully fast!
context: One more hour.\Kakarrot hasn't just lost his nerve and run away, right?\Go for broke...\Looks like that's all we can do.\He's arrived! Son Goku has arrived!\Oh, Kami- sama! Hurry!\The Serpentine Road has ended!\That was fast! That was wonderfully fast! response:	Now then, there are only ten minutes left.
context: Kakarrot hasn't just lost his nerve and run away, right?\Go for broke...\Looks like that's all we can do.\He's arrived! Son Goku has arrived!\Oh, Kami- sama! Hurry!\The Serpentine Road has ended!\That was fast! That was wonderfully fast!\Now then, there are only ten minutes left. response:	Shall I finish up with a little more fun?
context: Go for broke...\Looks like that's all we can do.\He's arrived! Son Goku has arrived!\Oh, Kami- sama! Hurry!\The Serpentine Road has ended!\That was fast! That was wonderfully fast!\Now then, there are only ten minutes left.\Shall I finish up with a little more fun? response:	Scream! Suffer! Writhe in agony!
context: Looks like that's all we can do.\He's arrived! Son Goku has arrived!\Oh, Kami- sama! Hurry!\The Serpentine Road has ended!\That was fast! That was wonderfully fast!\Now then, there are only ten minutes left.\Shall I finish up with a little more fun?\Scream! Suffer! Writhe in agony! response:	You'd only live until tonight anyhow.
context: He's arrived! Son Goku has arrived!\Oh, Kami- sama! Hurry!\The Serpentine Road has ended!\That was fast! That was wonderfully fast!\Now then, there are only ten minutes left.\Shall I finish up with a little more fun?\Scream! Suffer! Writhe in agony!\You'd only live until tonight anyhow. response:	We're going to turn all of you on earth into space dust.
context: Oh, Kami- sama! Hurry!\The Serpentine Road has ended!\That was fast! That was wonderfully fast!\Now then, there are only ten minutes left.\Shall I finish up with a little more fun?\Scream! Suffer! Writhe in agony!\You'd only live until tonight anyhow.\We're going to turn all of you on earth into space dust. response:	And the most hellish show still awaits.
context: The Serpentine Road has ended!\That was fast! That was wonderfully fast!\Now then, there are only ten minutes left.\Shall I finish up with a little more fun?\Scream! Suffer! Writhe in agony!\You'd only live until tonight anyhow.\We're going to turn all of you on earth into space dust.\And the most hellish show still awaits. response:	There are two powerful Ki, separated from each other.
context: That was fast! That was wonderfully fast!\Now then, there are only ten minutes left.\Shall I finish up with a little more fun?\Scream! Suffer! Writhe in agony!\You'd only live until tonight anyhow.\We're going to turn all of you on earth into space dust.\And the most hellish show still awaits.\There are two powerful Ki, separated from each other. response:	What's going on?
context: Now then, there are only ten minutes left.\Shall I finish up with a little more fun?\Scream! Suffer! Writhe in agony!\You'd only live until tonight anyhow.\We're going to turn all of you on earth into space dust.\And the most hellish show still awaits.\There are two powerful Ki, separated from each other.\What's going on? response:	And so, with Goku still absent, the three hours had passed.
context: Shall I finish up with a little more fun?\Scream! Suffer! Writhe in agony!\You'd only live until tonight anyhow.\We're going to turn all of you on earth into space dust.\And the most hellish show still awaits.\There are two powerful Ki, separated from each other.\What's going on?\And so, with Goku still absent, the three hours had passed. response:	Time.
context: Scream! Suffer! Writhe in agony!\You'd only live until tonight anyhow.\We're going to turn all of you on earth into space dust.\And the most hellish show still awaits.\There are two powerful Ki, separated from each other.\What's going on?\And so, with Goku still absent, the three hours had passed.\Time. response:	Damn!
context: You'd only live until tonight anyhow.\We're going to turn all of you on earth into space dust.\And the most hellish show still awaits.\There are two powerful Ki, separated from each other.\What's going on?\And so, with Goku still absent, the three hours had passed.\Time.\Damn! response:	Looks like waiting for him didn't do any good.
context: We're going to turn all of you on earth into space dust.\And the most hellish show still awaits.\There are two powerful Ki, separated from each other.\What's going on?\And so, with Goku still absent, the three hours had passed.\Time.\Damn!\Looks like waiting for him didn't do any good. response:	He's still not here?
context: And the most hellish show still awaits.\There are two powerful Ki, separated from each other.\What's going on?\And so, with Goku still absent, the three hours had passed.\Time.\Damn!\Looks like waiting for him didn't do any good.\He's still not here? response:	That coward Kakarrot did not come.
context: There are two powerful Ki, separated from each other.\What's going on?\And so, with Goku still absent, the three hours had passed.\Time.\Damn!\Looks like waiting for him didn't do any good.\He's still not here?\That coward Kakarrot did not come. response:	F- Father is not a coward!
context: What's going on?\And so, with Goku still absent, the three hours had passed.\Time.\Damn!\Looks like waiting for him didn't do any good.\He's still not here?\That coward Kakarrot did not come.\F- Father is not a coward! response:	Dammit! Why isn't he here!?
context: And so, with Goku still absent, the three hours had passed.\Time.\Damn!\Looks like waiting for him didn't do any good.\He's still not here?\That coward Kakarrot did not come.\F- Father is not a coward!\Dammit! Why isn't he here!? response:	Son Goku...
context: Time.\Damn!\Looks like waiting for him didn't do any good.\He's still not here?\That coward Kakarrot did not come.\F- Father is not a coward!\Dammit! Why isn't he here!?\Son Goku... response:	Now then, to take my time in making you hurt...
context: Damn!\Looks like waiting for him didn't do any good.\He's still not here?\That coward Kakarrot did not come.\F- Father is not a coward!\Dammit! Why isn't he here!?\Son Goku...\Now then, to take my time in making you hurt... response:	It's too bad I couldn't show this to Kakarrot, though.
context: Looks like waiting for him didn't do any good.\He's still not here?\That coward Kakarrot did not come.\F- Father is not a coward!\Dammit! Why isn't he here!?\Son Goku...\Now then, to take my time in making you hurt...\It's too bad I couldn't show this to Kakarrot, though. response:	lt's almost time when I could die, too... Dammit, I feel like a suicide trooper!
context: He's still not here?\That coward Kakarrot did not come.\F- Father is not a coward!\Dammit! Why isn't he here!?\Son Goku...\Now then, to take my time in making you hurt...\It's too bad I couldn't show this to Kakarrot, though.\lt's almost time when I could die, too... Dammit, I feel like a suicide trooper! response:	There's only one possibility for us to beat him.
context: That coward Kakarrot did not come.\F- Father is not a coward!\Dammit! Why isn't he here!?\Son Goku...\Now then, to take my time in making you hurt...\It's too bad I couldn't show this to Kakarrot, though.\lt's almost time when I could die, too... Dammit, I feel like a suicide trooper!\There's only one possibility for us to beat him. response:	Of course, that's only if everything goes well. Listen up.
context: F- Father is not a coward!\Dammit! Why isn't he here!?\Son Goku...\Now then, to take my time in making you hurt...\It's too bad I couldn't show this to Kakarrot, though.\lt's almost time when I could die, too... Dammit, I feel like a suicide trooper!\There's only one possibility for us to beat him.\Of course, that's only if everything goes well. Listen up. response:	First, Kuririn, you go all-out to draw his attention.
context: Dammit! Why isn't he here!?\Son Goku...\Now then, to take my time in making you hurt...\It's too bad I couldn't show this to Kakarrot, though.\lt's almost time when I could die, too... Dammit, I feel like a suicide trooper!\There's only one possibility for us to beat him.\Of course, that's only if everything goes well. Listen up.\First, Kuririn, you go all-out to draw his attention. response:	And then I will find an opening to grab his tail, a Saiyan's weak point.
context: Son Goku...\Now then, to take my time in making you hurt...\It's too bad I couldn't show this to Kakarrot, though.\lt's almost time when I could die, too... Dammit, I feel like a suicide trooper!\There's only one possibility for us to beat him.\Of course, that's only if everything goes well. Listen up.\First, Kuririn, you go all-out to draw his attention.\And then I will find an opening to grab his tail, a Saiyan's weak point. response:	R- right...
context: Now then, to take my time in making you hurt...\It's too bad I couldn't show this to Kakarrot, though.\lt's almost time when I could die, too... Dammit, I feel like a suicide trooper!\There's only one possibility for us to beat him.\Of course, that's only if everything goes well. Listen up.\First, Kuririn, you go all-out to draw his attention.\And then I will find an opening to grab his tail, a Saiyan's weak point.\R- right... response:	Once his power fails him, and he can't move,
context: It's too bad I couldn't show this to Kakarrot, though.\lt's almost time when I could die, too... Dammit, I feel like a suicide trooper!\There's only one possibility for us to beat him.\Of course, that's only if everything goes well. Listen up.\First, Kuririn, you go all-out to draw his attention.\And then I will find an opening to grab his tail, a Saiyan's weak point.\R- right...\Once his power fails him, and he can't move, response:	Gohan, you'll call up all of your power and rush him. Got that?
context: lt's almost time when I could die, too... Dammit, I feel like a suicide trooper!\There's only one possibility for us to beat him.\Of course, that's only if everything goes well. Listen up.\First, Kuririn, you go all-out to draw his attention.\And then I will find an opening to grab his tail, a Saiyan's weak point.\R- right...\Once his power fails him, and he can't move,\Gohan, you'll call up all of your power and rush him. Got that? response:	Yes. It'll be okay. I won't run away this time.
context: There's only one possibility for us to beat him.\Of course, that's only if everything goes well. Listen up.\First, Kuririn, you go all-out to draw his attention.\And then I will find an opening to grab his tail, a Saiyan's weak point.\R- right...\Once his power fails him, and he can't move,\Gohan, you'll call up all of your power and rush him. Got that?\Yes. It'll be okay. I won't run away this time. response:	Of course you won't. Remember that the fate of the earth rests in your hands!
context: Of course, that's only if everything goes well. Listen up.\First, Kuririn, you go all-out to draw his attention.\And then I will find an opening to grab his tail, a Saiyan's weak point.\R- right...\Once his power fails him, and he can't move,\Gohan, you'll call up all of your power and rush him. Got that?\Yes. It'll be okay. I won't run away this time.\Of course you won't. Remember that the fate of the earth rests in your hands! response:	All right!
context: First, Kuririn, you go all-out to draw his attention.\And then I will find an opening to grab his tail, a Saiyan's weak point.\R- right...\Once his power fails him, and he can't move,\Gohan, you'll call up all of your power and rush him. Got that?\Yes. It'll be okay. I won't run away this time.\Of course you won't. Remember that the fate of the earth rests in your hands!\All right! response:	Awesome! That's Piccolo for you! l'm starting to see a little light here.
context: And then I will find an opening to grab his tail, a Saiyan's weak point.\R- right...\Once his power fails him, and he can't move,\Gohan, you'll call up all of your power and rush him. Got that?\Yes. It'll be okay. I won't run away this time.\Of course you won't. Remember that the fate of the earth rests in your hands!\All right!\Awesome! That's Piccolo for you! l'm starting to see a little light here. response:	We just might win!
context: R- right...\Once his power fails him, and he can't move,\Gohan, you'll call up all of your power and rush him. Got that?\Yes. It'll be okay. I won't run away this time.\Of course you won't. Remember that the fate of the earth rests in your hands!\All right!\Awesome! That's Piccolo for you! l'm starting to see a little light here.\We just might win! response:	Gohan, believe in yourself!
context: Once his power fails him, and he can't move,\Gohan, you'll call up all of your power and rush him. Got that?\Yes. It'll be okay. I won't run away this time.\Of course you won't. Remember that the fate of the earth rests in your hands!\All right!\Awesome! That's Piccolo for you! l'm starting to see a little light here.\We just might win!\Gohan, believe in yourself! response:	When you set your mind to it, your power is even greater than mine.
context: Gohan, you'll call up all of your power and rush him. Got that?\Yes. It'll be okay. I won't run away this time.\Of course you won't. Remember that the fate of the earth rests in your hands!\All right!\Awesome! That's Piccolo for you! l'm starting to see a little light here.\We just might win!\Gohan, believe in yourself!\When you set your mind to it, your power is even greater than mine. response:	All right!
context: Yes. It'll be okay. I won't run away this time.\Of course you won't. Remember that the fate of the earth rests in your hands!\All right!\Awesome! That's Piccolo for you! l'm starting to see a little light here.\We just might win!\Gohan, believe in yourself!\When you set your mind to it, your power is even greater than mine.\All right! response:	Goku!
context: Of course you won't. Remember that the fate of the earth rests in your hands!\All right!\Awesome! That's Piccolo for you! l'm starting to see a little light here.\We just might win!\Gohan, believe in yourself!\When you set your mind to it, your power is even greater than mine.\All right!\Goku! response:	Kami- sama!
context: All right!\Awesome! That's Piccolo for you! l'm starting to see a little light here.\We just might win!\Gohan, believe in yourself!\When you set your mind to it, your power is even greater than mine.\All right!\Goku!\Kami- sama! response:	Hurry and grab hold!
context: Awesome! That's Piccolo for you! l'm starting to see a little light here.\We just might win!\Gohan, believe in yourself!\When you set your mind to it, your power is even greater than mine.\All right!\Goku!\Kami- sama!\Hurry and grab hold! response:	You're on!
context: We just might win!\Gohan, believe in yourself!\When you set your mind to it, your power is even greater than mine.\All right!\Goku!\Kami- sama!\Hurry and grab hold!\You're on! response:	T- that kid! He really did come back from Kaio- sama's place!
context: Gohan, believe in yourself!\When you set your mind to it, your power is even greater than mine.\All right!\Goku!\Kami- sama!\Hurry and grab hold!\You're on!\T- that kid! He really did come back from Kaio- sama's place! response:	Okay, I'm off!
context: When you set your mind to it, your power is even greater than mine.\All right!\Goku!\Kami- sama!\Hurry and grab hold!\You're on!\T- that kid! He really did come back from Kaio- sama's place!\Okay, I'm off! response:	My training went great!
context: All right!\Goku!\Kami- sama!\Hurry and grab hold!\You're on!\T- that kid! He really did come back from Kaio- sama's place!\Okay, I'm off!\My training went great! response:	-We're counting on you! -Good luck, Son Goku!
context: Goku!\Kami- sama!\Hurry and grab hold!\You're on!\T- that kid! He really did come back from Kaio- sama's place!\Okay, I'm off!\My training went great!\-We're counting on you! -Good luck, Son Goku! response:	Guys!
context: Kami- sama!\Hurry and grab hold!\You're on!\T- that kid! He really did come back from Kaio- sama's place!\Okay, I'm off!\My training went great!\-We're counting on you! -Good luck, Son Goku!\Guys! response:	Gohan!
context: Hurry and grab hold!\You're on!\T- that kid! He really did come back from Kaio- sama's place!\Okay, I'm off!\My training went great!\-We're counting on you! -Good luck, Son Goku!\Guys!\Gohan! response:	Please be alive!
context: You're on!\T- that kid! He really did come back from Kaio- sama's place!\Okay, I'm off!\My training went great!\-We're counting on you! -Good luck, Son Goku!\Guys!\Gohan!\Please be alive! response:	Here he comes! Son Goku is quite tired.
context: T- that kid! He really did come back from Kaio- sama's place!\Okay, I'm off!\My training went great!\-We're counting on you! -Good luck, Son Goku!\Guys!\Gohan!\Please be alive!\Here he comes! Son Goku is quite tired. response:	Hey!
context: Okay, I'm off!\My training went great!\-We're counting on you! -Good luck, Son Goku!\Guys!\Gohan!\Please be alive!\Here he comes! Son Goku is quite tired.\Hey! response:	Karin- sama!
context: My training went great!\-We're counting on you! -Good luck, Son Goku!\Guys!\Gohan!\Please be alive!\Here he comes! Son Goku is quite tired.\Hey!\Karin- sama! response:	Here are the last two Senzu beans!
context: -We're counting on you! -Good luck, Son Goku!\Guys!\Gohan!\Please be alive!\Here he comes! Son Goku is quite tired.\Hey!\Karin- sama!\Here are the last two Senzu beans! response:	Thank you!
context: Guys!\Gohan!\Please be alive!\Here he comes! Son Goku is quite tired.\Hey!\Karin- sama!\Here are the last two Senzu beans!\Thank you! response:	These will be a great help!
context: Gohan!\Please be alive!\Here he comes! Son Goku is quite tired.\Hey!\Karin- sama!\Here are the last two Senzu beans!\Thank you!\These will be a great help! response:	We're all counting on you!
context: Please be alive!\Here he comes! Son Goku is quite tired.\Hey!\Karin- sama!\Here are the last two Senzu beans!\Thank you!\These will be a great help!\We're all counting on you! response:	I'll eat one of them right now...
context: Here he comes! Son Goku is quite tired.\Hey!\Karin- sama!\Here are the last two Senzu beans!\Thank you!\These will be a great help!\We're all counting on you!\I'll eat one of them right now... response:	All right, I'm at full health!
context: Hey!\Karin- sama!\Here are the last two Senzu beans!\Thank you!\These will be a great help!\We're all counting on you!\I'll eat one of them right now...\All right, I'm at full health! response:	Kinto Un!!
context: Karin- sama!\Here are the last two Senzu beans!\Thank you!\These will be a great help!\We're all counting on you!\I'll eat one of them right now...\All right, I'm at full health!\Kinto Un!! response:	It's been a long time, huh!?
context: Here are the last two Senzu beans!\Thank you!\These will be a great help!\We're all counting on you!\I'll eat one of them right now...\All right, I'm at full health!\Kinto Un!!\It's been a long time, huh!? response:	I could sure use your help!
context: Thank you!\These will be a great help!\We're all counting on you!\I'll eat one of them right now...\All right, I'm at full health!\Kinto Un!!\It's been a long time, huh!?\I could sure use your help! response:	There are some incredible Ki gathered all together! That way!
context: These will be a great help!\We're all counting on you!\I'll eat one of them right now...\All right, I'm at full health!\Kinto Un!!\It's been a long time, huh!?\I could sure use your help!\There are some incredible Ki gathered all together! That way! response:	Hurry, Goku!
context: We're all counting on you!\I'll eat one of them right now...\All right, I'm at full health!\Kinto Un!!\It's been a long time, huh!?\I could sure use your help!\There are some incredible Ki gathered all together! That way!\Hurry, Goku! response:	We're counting on you, Goku!
context: I'll eat one of them right now...\All right, I'm at full health!\Kinto Un!!\It's been a long time, huh!?\I could sure use your help!\There are some incredible Ki gathered all together! That way!\Hurry, Goku!\We're counting on you, Goku! response:	As fast as you can!
