context: Newspaper! response:	It's the latest issue of Youkai's newspaper!
context: Tsukune?\Shirayuki...san?\Tsukune won't be coming no matter how much longer you wait.\What are you...?\You're an eyesore.\If you don't exist, Tsukune will be mine.\What's with her hands? They're as cold as ice.\Stop! response:	Unfortunately, the me here is just an ice doll.
context: Shirayuki...san?\Tsukune won't be coming no matter how much longer you wait.\What are you...?\You're an eyesore.\If you don't exist, Tsukune will be mine.\What's with her hands? They're as cold as ice.\Stop!\Unfortunately, the me here is just an ice doll. response:	Isn't it well made?
context: Tsukune won't be coming no matter how much longer you wait.\What are you...?\You're an eyesore.\If you don't exist, Tsukune will be mine.\What's with her hands? They're as cold as ice.\Stop!\Unfortunately, the me here is just an ice doll.\Isn't it well made? response:	Sorry, but please disappear.
context: What are you...?\You're an eyesore.\If you don't exist, Tsukune will be mine.\What's with her hands? They're as cold as ice.\Stop!\Unfortunately, the me here is just an ice doll.\Isn't it well made?\Sorry, but please disappear. response:	Akashiya Moka.
context: You're an eyesore.\If you don't exist, Tsukune will be mine.\What's with her hands? They're as cold as ice.\Stop!\Unfortunately, the me here is just an ice doll.\Isn't it well made?\Sorry, but please disappear.\Akashiya Moka. response:	All in order to fulfill my desire.
context: If you don't exist, Tsukune will be mine.\What's with her hands? They're as cold as ice.\Stop!\Unfortunately, the me here is just an ice doll.\Isn't it well made?\Sorry, but please disappear.\Akashiya Moka.\All in order to fulfill my desire. response:	Tsukune!
context: What's with her hands? They're as cold as ice.\Stop!\Unfortunately, the me here is just an ice doll.\Isn't it well made?\Sorry, but please disappear.\Akashiya Moka.\All in order to fulfill my desire.\Tsukune! response:	This is...
context: Stop!\Unfortunately, the me here is just an ice doll.\Isn't it well made?\Sorry, but please disappear.\Akashiya Moka.\All in order to fulfill my desire.\Tsukune!\This is... response:	I won't let you run away.
context: Unfortunately, the me here is just an ice doll.\Isn't it well made?\Sorry, but please disappear.\Akashiya Moka.\All in order to fulfill my desire.\Tsukune!\This is...\I won't let you run away. response:	You are...!
context: Isn't it well made?\Sorry, but please disappear.\Akashiya Moka.\All in order to fulfill my desire.\Tsukune!\This is...\I won't let you run away.\You are...! response:	I'm a Snow Woman,
context: Sorry, but please disappear.\Akashiya Moka.\All in order to fulfill my desire.\Tsukune!\This is...\I won't let you run away.\You are...!\I'm a Snow Woman, response:	and I can freely control ice.
context: Akashiya Moka.\All in order to fulfill my desire.\Tsukune!\This is...\I won't let you run away.\You are...!\I'm a Snow Woman,\and I can freely control ice. response:	What the heck is this?
context: All in order to fulfill my desire.\Tsukune!\This is...\I won't let you run away.\You are...!\I'm a Snow Woman,\and I can freely control ice.\What the heck is this? response:	Tsukune, we were destined to meet.
context: Tsukune!\This is...\I won't let you run away.\You are...!\I'm a Snow Woman,\and I can freely control ice.\What the heck is this?\Tsukune, we were destined to meet. response:	Because we're both loners, fate brought us together.
context: This is...\I won't let you run away.\You are...!\I'm a Snow Woman,\and I can freely control ice.\What the heck is this?\Tsukune, we were destined to meet.\Because we're both loners, fate brought us together. response:	We will definitely understand each other. We'll warm our cold hearts.
context: I won't let you run away.\You are...!\I'm a Snow Woman,\and I can freely control ice.\What the heck is this?\Tsukune, we were destined to meet.\Because we're both loners, fate brought us together.\We will definitely understand each other. We'll warm our cold hearts. response:	Damn it!
context: You are...!\I'm a Snow Woman,\and I can freely control ice.\What the heck is this?\Tsukune, we were destined to meet.\Because we're both loners, fate brought us together.\We will definitely understand each other. We'll warm our cold hearts.\Damn it! response:	You sure are persistent,
context: I'm a Snow Woman,\and I can freely control ice.\What the heck is this?\Tsukune, we were destined to meet.\Because we're both loners, fate brought us together.\We will definitely understand each other. We'll warm our cold hearts.\Damn it!\You sure are persistent, response:	but as long as your body is frozen, there's nowhere you can go.
context: and I can freely control ice.\What the heck is this?\Tsukune, we were destined to meet.\Because we're both loners, fate brought us together.\We will definitely understand each other. We'll warm our cold hearts.\Damn it!\You sure are persistent,\but as long as your body is frozen, there's nowhere you can go. response:	When that happens, you'll be all mine.
context: What the heck is this?\Tsukune, we were destined to meet.\Because we're both loners, fate brought us together.\We will definitely understand each other. We'll warm our cold hearts.\Damn it!\You sure are persistent,\but as long as your body is frozen, there's nowhere you can go.\When that happens, you'll be all mine. response:	If this continues...
context: Tsukune, we were destined to meet.\Because we're both loners, fate brought us together.\We will definitely understand each other. We'll warm our cold hearts.\Damn it!\You sure are persistent,\but as long as your body is frozen, there's nowhere you can go.\When that happens, you'll be all mine.\If this continues... response:	Tsukune...!
context: Because we're both loners, fate brought us together.\We will definitely understand each other. We'll warm our cold hearts.\Damn it!\You sure are persistent,\but as long as your body is frozen, there's nowhere you can go.\When that happens, you'll be all mine.\If this continues...\Tsukune...! response:	Tsukune!
context: We will definitely understand each other. We'll warm our cold hearts.\Damn it!\You sure are persistent,\but as long as your body is frozen, there's nowhere you can go.\When that happens, you'll be all mine.\If this continues...\Tsukune...!\Tsukune! response:	Why, you are...?
context: Damn it!\You sure are persistent,\but as long as your body is frozen, there's nowhere you can go.\When that happens, you'll be all mine.\If this continues...\Tsukune...!\Tsukune!\Why, you are...? response:	By pure luck, I was able to save Moka in the nick of time.
context: You sure are persistent,\but as long as your body is frozen, there's nowhere you can go.\When that happens, you'll be all mine.\If this continues...\Tsukune...!\Tsukune!\Why, you are...?\By pure luck, I was able to save Moka in the nick of time. response:	But thanks to that, the cake mixed with love potion that Tsukune was supposed to eat was completely wasted!
context: but as long as your body is frozen, there's nowhere you can go.\When that happens, you'll be all mine.\If this continues...\Tsukune...!\Tsukune!\Why, you are...?\By pure luck, I was able to save Moka in the nick of time.\But thanks to that, the cake mixed with love potion that Tsukune was supposed to eat was completely wasted! response:	Tsukune!
context: When that happens, you'll be all mine.\If this continues...\Tsukune...!\Tsukune!\Why, you are...?\By pure luck, I was able to save Moka in the nick of time.\But thanks to that, the cake mixed with love potion that Tsukune was supposed to eat was completely wasted!\Tsukune! response:	Don't hinder me!
context: If this continues...\Tsukune...!\Tsukune!\Why, you are...?\By pure luck, I was able to save Moka in the nick of time.\But thanks to that, the cake mixed with love potion that Tsukune was supposed to eat was completely wasted!\Tsukune!\Don't hinder me! response:	Wait, the spikes!
context: Tsukune...!\Tsukune!\Why, you are...?\By pure luck, I was able to save Moka in the nick of time.\But thanks to that, the cake mixed with love potion that Tsukune was supposed to eat was completely wasted!\Tsukune!\Don't hinder me!\Wait, the spikes! response:	Tsukune!
context: Tsukune!\Why, you are...?\By pure luck, I was able to save Moka in the nick of time.\But thanks to that, the cake mixed with love potion that Tsukune was supposed to eat was completely wasted!\Tsukune!\Don't hinder me!\Wait, the spikes!\Tsukune! response:	Are you all right, Moka-san?
context: Why, you are...?\By pure luck, I was able to save Moka in the nick of time.\But thanks to that, the cake mixed with love potion that Tsukune was supposed to eat was completely wasted!\Tsukune!\Don't hinder me!\Wait, the spikes!\Tsukune!\Are you all right, Moka-san? response:	Those who hinder the true love between Tsukune and me, should just all disappear!
context: By pure luck, I was able to save Moka in the nick of time.\But thanks to that, the cake mixed with love potion that Tsukune was supposed to eat was completely wasted!\Tsukune!\Don't hinder me!\Wait, the spikes!\Tsukune!\Are you all right, Moka-san?\Those who hinder the true love between Tsukune and me, should just all disappear! response:	Especially you, Akashiya Moka, you're the only one I can't...
context: But thanks to that, the cake mixed with love potion that Tsukune was supposed to eat was completely wasted!\Tsukune!\Don't hinder me!\Wait, the spikes!\Tsukune!\Are you all right, Moka-san?\Those who hinder the true love between Tsukune and me, should just all disappear!\Especially you, Akashiya Moka, you're the only one I can't... response:	No...
context: Tsukune!\Don't hinder me!\Wait, the spikes!\Tsukune!\Are you all right, Moka-san?\Those who hinder the true love between Tsukune and me, should just all disappear!\Especially you, Akashiya Moka, you're the only one I can't...\No... response:	This is going to far, Shirayuki-san.
context: Don't hinder me!\Wait, the spikes!\Tsukune!\Are you all right, Moka-san?\Those who hinder the true love between Tsukune and me, should just all disappear!\Especially you, Akashiya Moka, you're the only one I can't...\No...\This is going to far, Shirayuki-san. response:	Why are you stopping me?
context: Wait, the spikes!\Tsukune!\Are you all right, Moka-san?\Those who hinder the true love between Tsukune and me, should just all disappear!\Especially you, Akashiya Moka, you're the only one I can't...\No...\This is going to far, Shirayuki-san.\Why are you stopping me? response:	If it's you, you should understand how it feels to be lonely, just like me.
context: Tsukune!\Are you all right, Moka-san?\Those who hinder the true love between Tsukune and me, should just all disappear!\Especially you, Akashiya Moka, you're the only one I can't...\No...\This is going to far, Shirayuki-san.\Why are you stopping me?\If it's you, you should understand how it feels to be lonely, just like me. response:	No! I'm not alone!
context: Are you all right, Moka-san?\Those who hinder the true love between Tsukune and me, should just all disappear!\Especially you, Akashiya Moka, you're the only one I can't...\No...\This is going to far, Shirayuki-san.\Why are you stopping me?\If it's you, you should understand how it feels to be lonely, just like me.\No! I'm not alone! response:	Tsukune...
context: Those who hinder the true love between Tsukune and me, should just all disappear!\Especially you, Akashiya Moka, you're the only one I can't...\No...\This is going to far, Shirayuki-san.\Why are you stopping me?\If it's you, you should understand how it feels to be lonely, just like me.\No! I'm not alone!\Tsukune... response:	That's why...
context: Especially you, Akashiya Moka, you're the only one I can't...\No...\This is going to far, Shirayuki-san.\Why are you stopping me?\If it's you, you should understand how it feels to be lonely, just like me.\No! I'm not alone!\Tsukune...\That's why... response:	Don't tell me... you are rejecting my feelings?
context: No...\This is going to far, Shirayuki-san.\Why are you stopping me?\If it's you, you should understand how it feels to be lonely, just like me.\No! I'm not alone!\Tsukune...\That's why...\Don't tell me... you are rejecting my feelings? response:	Tsukune!
context: This is going to far, Shirayuki-san.\Why are you stopping me?\If it's you, you should understand how it feels to be lonely, just like me.\No! I'm not alone!\Tsukune...\That's why...\Don't tell me... you are rejecting my feelings?\Tsukune! response:	Shirayuki-san...
context: Why are you stopping me?\If it's you, you should understand how it feels to be lonely, just like me.\No! I'm not alone!\Tsukune...\That's why...\Don't tell me... you are rejecting my feelings?\Tsukune!\Shirayuki-san... response:	Where did she go?
context: If it's you, you should understand how it feels to be lonely, just like me.\No! I'm not alone!\Tsukune...\That's why...\Don't tell me... you are rejecting my feelings?\Tsukune!\Shirayuki-san...\Where did she go? response:	Wait, the ice is-
context: No! I'm not alone!\Tsukune...\That's why...\Don't tell me... you are rejecting my feelings?\Tsukune!\Shirayuki-san...\Where did she go?\Wait, the ice is- response:	Hey, isn't it funny?
context: Tsukune...\That's why...\Don't tell me... you are rejecting my feelings?\Tsukune!\Shirayuki-san...\Where did she go?\Wait, the ice is-\Hey, isn't it funny? response:	Kotsubo-sensei, see you!
context: That's why...\Don't tell me... you are rejecting my feelings?\Tsukune!\Shirayuki-san...\Where did she go?\Wait, the ice is-\Hey, isn't it funny?\Kotsubo-sensei, see you! response:	See you.
context: Don't tell me... you are rejecting my feelings?\Tsukune!\Shirayuki-san...\Where did she go?\Wait, the ice is-\Hey, isn't it funny?\Kotsubo-sensei, see you!\See you. response:	Be careful on your way back.
context: Tsukune!\Shirayuki-san...\Where did she go?\Wait, the ice is-\Hey, isn't it funny?\Kotsubo-sensei, see you!\See you.\Be careful on your way back. response:	What are we going to do next?
context: Shirayuki-san...\Where did she go?\Wait, the ice is-\Hey, isn't it funny?\Kotsubo-sensei, see you!\See you.\Be careful on your way back.\What are we going to do next? response:	Let's go shopping!
context: Where did she go?\Wait, the ice is-\Hey, isn't it funny?\Kotsubo-sensei, see you!\See you.\Be careful on your way back.\What are we going to do next?\Let's go shopping! response:	I want to eat cake.
context: Wait, the ice is-\Hey, isn't it funny?\Kotsubo-sensei, see you!\See you.\Be careful on your way back.\What are we going to do next?\Let's go shopping!\I want to eat cake. response:	Geez... students these days develop too quickly...
context: Hey, isn't it funny?\Kotsubo-sensei, see you!\See you.\Be careful on your way back.\What are we going to do next?\Let's go shopping!\I want to eat cake.\Geez... students these days develop too quickly... response:	How outrageous.
context: Kotsubo-sensei, see you!\See you.\Be careful on your way back.\What are we going to do next?\Let's go shopping!\I want to eat cake.\Geez... students these days develop too quickly...\How outrageous. response:	Hey, is there someone still around?
context: See you.\Be careful on your way back.\What are we going to do next?\Let's go shopping!\I want to eat cake.\Geez... students these days develop too quickly...\How outrageous.\Hey, is there someone still around? response:	You are...
context: Be careful on your way back.\What are we going to do next?\Let's go shopping!\I want to eat cake.\Geez... students these days develop too quickly...\How outrageous.\Hey, is there someone still around?\You are... response:	Darn! The long awaited cake got all mushy!
context: What are we going to do next?\Let's go shopping!\I want to eat cake.\Geez... students these days develop too quickly...\How outrageous.\Hey, is there someone still around?\You are...\Darn! The long awaited cake got all mushy! response:	Really...
context: Let's go shopping!\I want to eat cake.\Geez... students these days develop too quickly...\How outrageous.\Hey, is there someone still around?\You are...\Darn! The long awaited cake got all mushy!\Really... response:	But, this is pretty bad.
context: I want to eat cake.\Geez... students these days develop too quickly...\How outrageous.\Hey, is there someone still around?\You are...\Darn! The long awaited cake got all mushy!\Really...\But, this is pretty bad. response:	Even though the atmosphere became miserable,
context: Geez... students these days develop too quickly...\How outrageous.\Hey, is there someone still around?\You are...\Darn! The long awaited cake got all mushy!\Really...\But, this is pretty bad.\Even though the atmosphere became miserable, response:	It's still a celebration...
context: How outrageous.\Hey, is there someone still around?\You are...\Darn! The long awaited cake got all mushy!\Really...\But, this is pretty bad.\Even though the atmosphere became miserable,\It's still a celebration... response:	Damn it...
context: Hey, is there someone still around?\You are...\Darn! The long awaited cake got all mushy!\Really...\But, this is pretty bad.\Even though the atmosphere became miserable,\It's still a celebration...\Damn it... response:	You sound like an old man.
context: You are...\Darn! The long awaited cake got all mushy!\Really...\But, this is pretty bad.\Even though the atmosphere became miserable,\It's still a celebration...\Damn it...\You sound like an old man. response:	There seems to be a commotion outside.
context: Darn! The long awaited cake got all mushy!\Really...\But, this is pretty bad.\Even though the atmosphere became miserable,\It's still a celebration...\Damn it...\You sound like an old man.\There seems to be a commotion outside. response:	Ah, everyone, you were all still here?
context: Really...\But, this is pretty bad.\Even though the atmosphere became miserable,\It's still a celebration...\Damn it...\You sound like an old man.\There seems to be a commotion outside.\Ah, everyone, you were all still here? response:	Nekonome-sensei?
context: But, this is pretty bad.\Even though the atmosphere became miserable,\It's still a celebration...\Damn it...\You sound like an old man.\There seems to be a commotion outside.\Ah, everyone, you were all still here?\Nekonome-sensei? response:	Did something happen?
context: Even though the atmosphere became miserable,\It's still a celebration...\Damn it...\You sound like an old man.\There seems to be a commotion outside.\Ah, everyone, you were all still here?\Nekonome-sensei?\Did something happen? response:	Well... Shirayuki-san is in trouble now...
context: It's still a celebration...\Damn it...\You sound like an old man.\There seems to be a commotion outside.\Ah, everyone, you were all still here?\Nekonome-sensei?\Did something happen?\Well... Shirayuki-san is in trouble now... response:	Shirayuki-san froze Kotsubo-sensei?
context: Damn it...\You sound like an old man.\There seems to be a commotion outside.\Ah, everyone, you were all still here?\Nekonome-sensei?\Did something happen?\Well... Shirayuki-san is in trouble now...\Shirayuki-san froze Kotsubo-sensei? response:	That's right...
context: You sound like an old man.\There seems to be a commotion outside.\Ah, everyone, you were all still here?\Nekonome-sensei?\Did something happen?\Well... Shirayuki-san is in trouble now...\Shirayuki-san froze Kotsubo-sensei?\That's right... response:	He was found quickly, so his life isn't in danger, but...
context: There seems to be a commotion outside.\Ah, everyone, you were all still here?\Nekonome-sensei?\Did something happen?\Well... Shirayuki-san is in trouble now...\Shirayuki-san froze Kotsubo-sensei?\That's right...\He was found quickly, so his life isn't in danger, but... response:	B-But is there any proof that Shirayuki-san did it?
context: Ah, everyone, you were all still here?\Nekonome-sensei?\Did something happen?\Well... Shirayuki-san is in trouble now...\Shirayuki-san froze Kotsubo-sensei?\That's right...\He was found quickly, so his life isn't in danger, but...\B-But is there any proof that Shirayuki-san did it? response:	What proof do you want?
context: Nekonome-sensei?\Did something happen?\Well... Shirayuki-san is in trouble now...\Shirayuki-san froze Kotsubo-sensei?\That's right...\He was found quickly, so his life isn't in danger, but...\B-But is there any proof that Shirayuki-san did it?\What proof do you want? response:	When we found him, Kotsubo-sensei himself said she did it.
context: Did something happen?\Well... Shirayuki-san is in trouble now...\Shirayuki-san froze Kotsubo-sensei?\That's right...\He was found quickly, so his life isn't in danger, but...\B-But is there any proof that Shirayuki-san did it?\What proof do you want?\When we found him, Kotsubo-sensei himself said she did it. response:	Ririko-sensei...
context: Well... Shirayuki-san is in trouble now...\Shirayuki-san froze Kotsubo-sensei?\That's right...\He was found quickly, so his life isn't in danger, but...\B-But is there any proof that Shirayuki-san did it?\What proof do you want?\When we found him, Kotsubo-sensei himself said she did it.\Ririko-sensei... response:	She's an infamous problem child in the first place.
context: Shirayuki-san froze Kotsubo-sensei?\That's right...\He was found quickly, so his life isn't in danger, but...\B-But is there any proof that Shirayuki-san did it?\What proof do you want?\When we found him, Kotsubo-sensei himself said she did it.\Ririko-sensei...\She's an infamous problem child in the first place. response:	We should expel her as soon as possible.
context: That's right...\He was found quickly, so his life isn't in danger, but...\B-But is there any proof that Shirayuki-san did it?\What proof do you want?\When we found him, Kotsubo-sensei himself said she did it.\Ririko-sensei...\She's an infamous problem child in the first place.\We should expel her as soon as possible. response:	B-But...
context: He was found quickly, so his life isn't in danger, but...\B-But is there any proof that Shirayuki-san did it?\What proof do you want?\When we found him, Kotsubo-sensei himself said she did it.\Ririko-sensei...\She's an infamous problem child in the first place.\We should expel her as soon as possible.\B-But... response:	Where's Shirayuki-san now?
context: B-But is there any proof that Shirayuki-san did it?\What proof do you want?\When we found him, Kotsubo-sensei himself said she did it.\Ririko-sensei...\She's an infamous problem child in the first place.\We should expel her as soon as possible.\B-But...\Where's Shirayuki-san now? response:	The entire faculty is looking for her right now,
context: What proof do you want?\When we found him, Kotsubo-sensei himself said she did it.\Ririko-sensei...\She's an infamous problem child in the first place.\We should expel her as soon as possible.\B-But...\Where's Shirayuki-san now?\The entire faculty is looking for her right now, response:	And of course, she's getting expelled as soon as she's found.
context: When we found him, Kotsubo-sensei himself said she did it.\Ririko-sensei...\She's an infamous problem child in the first place.\We should expel her as soon as possible.\B-But...\Where's Shirayuki-san now?\The entire faculty is looking for her right now,\And of course, she's getting expelled as soon as she's found. response:	Besides that, why did Shirayuki-san do such a thing to Kotsubo-sensei who's unrelated to this...
context: Ririko-sensei...\She's an infamous problem child in the first place.\We should expel her as soon as possible.\B-But...\Where's Shirayuki-san now?\The entire faculty is looking for her right now,\And of course, she's getting expelled as soon as she's found.\Besides that, why did Shirayuki-san do such a thing to Kotsubo-sensei who's unrelated to this... response:	She must have been throwing tantrums after being rejected by Tsukune-san.
context: She's an infamous problem child in the first place.\We should expel her as soon as possible.\B-But...\Where's Shirayuki-san now?\The entire faculty is looking for her right now,\And of course, she's getting expelled as soon as she's found.\Besides that, why did Shirayuki-san do such a thing to Kotsubo-sensei who's unrelated to this...\She must have been throwing tantrums after being rejected by Tsukune-san. response:	True... With that kind of personality, it's definitely possible.
context: We should expel her as soon as possible.\B-But...\Where's Shirayuki-san now?\The entire faculty is looking for her right now,\And of course, she's getting expelled as soon as she's found.\Besides that, why did Shirayuki-san do such a thing to Kotsubo-sensei who's unrelated to this...\She must have been throwing tantrums after being rejected by Tsukune-san.\True... With that kind of personality, it's definitely possible. response:	It's my...
context: B-But...\Where's Shirayuki-san now?\The entire faculty is looking for her right now,\And of course, she's getting expelled as soon as she's found.\Besides that, why did Shirayuki-san do such a thing to Kotsubo-sensei who's unrelated to this...\She must have been throwing tantrums after being rejected by Tsukune-san.\True... With that kind of personality, it's definitely possible.\It's my... response:	Tsukune?
context: Where's Shirayuki-san now?\The entire faculty is looking for her right now,\And of course, she's getting expelled as soon as she's found.\Besides that, why did Shirayuki-san do such a thing to Kotsubo-sensei who's unrelated to this...\She must have been throwing tantrums after being rejected by Tsukune-san.\True... With that kind of personality, it's definitely possible.\It's my...\Tsukune? response:	It's my fault.
context: The entire faculty is looking for her right now,\And of course, she's getting expelled as soon as she's found.\Besides that, why did Shirayuki-san do such a thing to Kotsubo-sensei who's unrelated to this...\She must have been throwing tantrums after being rejected by Tsukune-san.\True... With that kind of personality, it's definitely possible.\It's my...\Tsukune?\It's my fault. response:	If I didn't reject her so harshly...
context: And of course, she's getting expelled as soon as she's found.\Besides that, why did Shirayuki-san do such a thing to Kotsubo-sensei who's unrelated to this...\She must have been throwing tantrums after being rejected by Tsukune-san.\True... With that kind of personality, it's definitely possible.\It's my...\Tsukune?\It's my fault.\If I didn't reject her so harshly... response:	What are you talking about?
context: Besides that, why did Shirayuki-san do such a thing to Kotsubo-sensei who's unrelated to this...\She must have been throwing tantrums after being rejected by Tsukune-san.\True... With that kind of personality, it's definitely possible.\It's my...\Tsukune?\It's my fault.\If I didn't reject her so harshly...\What are you talking about? response:	You don't have to worry about such things.
context: She must have been throwing tantrums after being rejected by Tsukune-san.\True... With that kind of personality, it's definitely possible.\It's my...\Tsukune?\It's my fault.\If I didn't reject her so harshly...\What are you talking about?\You don't have to worry about such things. response:	Shirayuki-san's just getting what she deserves.
context: True... With that kind of personality, it's definitely possible.\It's my...\Tsukune?\It's my fault.\If I didn't reject her so harshly...\What are you talking about?\You don't have to worry about such things.\Shirayuki-san's just getting what she deserves. response:	But...
context: It's my...\Tsukune?\It's my fault.\If I didn't reject her so harshly...\What are you talking about?\You don't have to worry about such things.\Shirayuki-san's just getting what she deserves.\But... response:	Nekonome-sensei!
context: Tsukune?\It's my fault.\If I didn't reject her so harshly...\What are you talking about?\You don't have to worry about such things.\Shirayuki-san's just getting what she deserves.\But...\Nekonome-sensei! response:	I'll search for Shirayuki-san too!
context: It's my fault.\If I didn't reject her so harshly...\What are you talking about?\You don't have to worry about such things.\Shirayuki-san's just getting what she deserves.\But...\Nekonome-sensei!\I'll search for Shirayuki-san too! response:	D-Don't do it, Tsukune.
context: If I didn't reject her so harshly...\What are you talking about?\You don't have to worry about such things.\Shirayuki-san's just getting what she deserves.\But...\Nekonome-sensei!\I'll search for Shirayuki-san too!\D-Don't do it, Tsukune. response:	I couldn't tell Shirayuki-san something that I wanted to tell her.
context: What are you talking about?\You don't have to worry about such things.\Shirayuki-san's just getting what she deserves.\But...\Nekonome-sensei!\I'll search for Shirayuki-san too!\D-Don't do it, Tsukune.\I couldn't tell Shirayuki-san something that I wanted to tell her. response:	I'm going!
context: You don't have to worry about such things.\Shirayuki-san's just getting what she deserves.\But...\Nekonome-sensei!\I'll search for Shirayuki-san too!\D-Don't do it, Tsukune.\I couldn't tell Shirayuki-san something that I wanted to tell her.\I'm going! response:	Tsukune!
context: Shirayuki-san's just getting what she deserves.\But...\Nekonome-sensei!\I'll search for Shirayuki-san too!\D-Don't do it, Tsukune.\I couldn't tell Shirayuki-san something that I wanted to tell her.\I'm going!\Tsukune! response:	Excuse me-
context: But...\Nekonome-sensei!\I'll search for Shirayuki-san too!\D-Don't do it, Tsukune.\I couldn't tell Shirayuki-san something that I wanted to tell her.\I'm going!\Tsukune!\Excuse me- response:	What's with him, getting so worked up...
context: Nekonome-sensei!\I'll search for Shirayuki-san too!\D-Don't do it, Tsukune.\I couldn't tell Shirayuki-san something that I wanted to tell her.\I'm going!\Tsukune!\Excuse me-\What's with him, getting so worked up... response:	Ah, Gin-senpai...
context: I'll search for Shirayuki-san too!\D-Don't do it, Tsukune.\I couldn't tell Shirayuki-san something that I wanted to tell her.\I'm going!\Tsukune!\Excuse me-\What's with him, getting so worked up...\Ah, Gin-senpai... response:	Is there something you want?
context: D-Don't do it, Tsukune.\I couldn't tell Shirayuki-san something that I wanted to tell her.\I'm going!\Tsukune!\Excuse me-\What's with him, getting so worked up...\Ah, Gin-senpai...\Is there something you want? response:	Don't look at me like that!
context: I couldn't tell Shirayuki-san something that I wanted to tell her.\I'm going!\Tsukune!\Excuse me-\What's with him, getting so worked up...\Ah, Gin-senpai...\Is there something you want?\Don't look at me like that! response:	I even brought some gutsy scoop photographs.
context: I'm going!\Tsukune!\Excuse me-\What's with him, getting so worked up...\Ah, Gin-senpai...\Is there something you want?\Don't look at me like that!\I even brought some gutsy scoop photographs. response:	Gutsy?
context: Tsukune!\Excuse me-\What's with him, getting so worked up...\Ah, Gin-senpai...\Is there something you want?\Don't look at me like that!\I even brought some gutsy scoop photographs.\Gutsy? response:	Scoop?
context: Excuse me-\What's with him, getting so worked up...\Ah, Gin-senpai...\Is there something you want?\Don't look at me like that!\I even brought some gutsy scoop photographs.\Gutsy?\Scoop? response:	Shirayuki-san!
context: What's with him, getting so worked up...\Ah, Gin-senpai...\Is there something you want?\Don't look at me like that!\I even brought some gutsy scoop photographs.\Gutsy?\Scoop?\Shirayuki-san! response:	Tsukune?
context: Ah, Gin-senpai...\Is there something you want?\Don't look at me like that!\I even brought some gutsy scoop photographs.\Gutsy?\Scoop?\Shirayuki-san!\Tsukune? response:	Shirayuki-san, Kotsubo-sensei is fine somehow.
context: Is there something you want?\Don't look at me like that!\I even brought some gutsy scoop photographs.\Gutsy?\Scoop?\Shirayuki-san!\Tsukune?\Shirayuki-san, Kotsubo-sensei is fine somehow. response:	It's still not too late,
context: Don't look at me like that!\I even brought some gutsy scoop photographs.\Gutsy?\Scoop?\Shirayuki-san!\Tsukune?\Shirayuki-san, Kotsubo-sensei is fine somehow.\It's still not too late, response:	so come apologize with me, all right?
context: I even brought some gutsy scoop photographs.\Gutsy?\Scoop?\Shirayuki-san!\Tsukune?\Shirayuki-san, Kotsubo-sensei is fine somehow.\It's still not too late,\so come apologize with me, all right? response:	You only did it in the spur of the moment, right?
context: Gutsy?\Scoop?\Shirayuki-san!\Tsukune?\Shirayuki-san, Kotsubo-sensei is fine somehow.\It's still not too late,\so come apologize with me, all right?\You only did it in the spur of the moment, right? response:	If you repent, I don't think they'll expel you.
context: Scoop?\Shirayuki-san!\Tsukune?\Shirayuki-san, Kotsubo-sensei is fine somehow.\It's still not too late,\so come apologize with me, all right?\You only did it in the spur of the moment, right?\If you repent, I don't think they'll expel you. response:	Shirayuki-san...?
context: Shirayuki-san!\Tsukune?\Shirayuki-san, Kotsubo-sensei is fine somehow.\It's still not too late,\so come apologize with me, all right?\You only did it in the spur of the moment, right?\If you repent, I don't think they'll expel you.\Shirayuki-san...? response:	Shirayuki-san?
context: Tsukune?\Shirayuki-san, Kotsubo-sensei is fine somehow.\It's still not too late,\so come apologize with me, all right?\You only did it in the spur of the moment, right?\If you repent, I don't think they'll expel you.\Shirayuki-san...?\Shirayuki-san? response:	You're too much, Tsukune.
context: Shirayuki-san, Kotsubo-sensei is fine somehow.\It's still not too late,\so come apologize with me, all right?\You only did it in the spur of the moment, right?\If you repent, I don't think they'll expel you.\Shirayuki-san...?\Shirayuki-san?\You're too much, Tsukune. response:	I thought only you would be able to understand me...
context: It's still not too late,\so come apologize with me, all right?\You only did it in the spur of the moment, right?\If you repent, I don't think they'll expel you.\Shirayuki-san...?\Shirayuki-san?\You're too much, Tsukune.\I thought only you would be able to understand me... response:	Nobody...
context: so come apologize with me, all right?\You only did it in the spur of the moment, right?\If you repent, I don't think they'll expel you.\Shirayuki-san...?\Shirayuki-san?\You're too much, Tsukune.\I thought only you would be able to understand me...\Nobody... response:	Nobody understands me...
context: You only did it in the spur of the moment, right?\If you repent, I don't think they'll expel you.\Shirayuki-san...?\Shirayuki-san?\You're too much, Tsukune.\I thought only you would be able to understand me...\Nobody...\Nobody understands me... response:	Why?
context: If you repent, I don't think they'll expel you.\Shirayuki-san...?\Shirayuki-san?\You're too much, Tsukune.\I thought only you would be able to understand me...\Nobody...\Nobody understands me...\Why? response:	Why, why?!
context: Shirayuki-san...?\Shirayuki-san?\You're too much, Tsukune.\I thought only you would be able to understand me...\Nobody...\Nobody understands me...\Why?\Why, why?! response:	WHY?!
context: Shirayuki-san?\You're too much, Tsukune.\I thought only you would be able to understand me...\Nobody...\Nobody understands me...\Why?\Why, why?!\WHY?! response:	Tsukune!
