context: Between catching a cold and trying to help Sota with his first girlfriend, response:	I used up a lot of time.
context: You're looking for a cat named Kuroro, right?\Uh-huh.\I'll help you.\'Kay.\My name's Koume.\Koume? Nice name.\On-kiri-kiri-kyabara-furanku-kyapura\On-kiri-kiri-kyabara-furanku-kyapura response:	On-kiri-kiri-kyabara-furanku-kyapura
context: Uh-huh.\I'll help you.\'Kay.\My name's Koume.\Koume? Nice name.\On-kiri-kiri-kyabara-furanku-kyapura\On-kiri-kiri-kyabara-furanku-kyapura\On-kiri-kiri-kyabara-furanku-kyapura response:	On-kiri-kiri-kyabara-furanku-kyapura
context: I'll help you.\'Kay.\My name's Koume.\Koume? Nice name.\On-kiri-kiri-kyabara-furanku-kyapura\On-kiri-kiri-kyabara-furanku-kyapura\On-kiri-kiri-kyabara-furanku-kyapura\On-kiri-kiri-kyabara-furanku-kyapura response:	Damn that Shippo! Where'd he go?
context: 'Kay.\My name's Koume.\Koume? Nice name.\On-kiri-kiri-kyabara-furanku-kyapura\On-kiri-kiri-kyabara-furanku-kyapura\On-kiri-kiri-kyabara-furanku-kyapura\On-kiri-kiri-kyabara-furanku-kyapura\Damn that Shippo! Where'd he go? response:	He was acting strange.
context: My name's Koume.\Koume? Nice name.\On-kiri-kiri-kyabara-furanku-kyapura\On-kiri-kiri-kyabara-furanku-kyapura\On-kiri-kiri-kyabara-furanku-kyapura\On-kiri-kiri-kyabara-furanku-kyapura\Damn that Shippo! Where'd he go?\He was acting strange. response:	Everyone, look!
context: Koume? Nice name.\On-kiri-kiri-kyabara-furanku-kyapura\On-kiri-kiri-kyabara-furanku-kyapura\On-kiri-kiri-kyabara-furanku-kyapura\On-kiri-kiri-kyabara-furanku-kyapura\Damn that Shippo! Where'd he go?\He was acting strange.\Everyone, look! response:	What IS that?
context: On-kiri-kiri-kyabara-furanku-kyapura\On-kiri-kiri-kyabara-furanku-kyapura\On-kiri-kiri-kyabara-furanku-kyapura\On-kiri-kiri-kyabara-furanku-kyapura\Damn that Shippo! Where'd he go?\He was acting strange.\Everyone, look!\What IS that? response:	An ominous cloud!
context: On-kiri-kiri-kyabara-furanku-kyapura\On-kiri-kiri-kyabara-furanku-kyapura\On-kiri-kiri-kyabara-furanku-kyapura\Damn that Shippo! Where'd he go?\He was acting strange.\Everyone, look!\What IS that?\An ominous cloud! response:	This faith healer... He's no ordinary man.
context: On-kiri-kiri-kyabara-furanku-kyapura\On-kiri-kiri-kyabara-furanku-kyapura\Damn that Shippo! Where'd he go?\He was acting strange.\Everyone, look!\What IS that?\An ominous cloud!\This faith healer... He's no ordinary man. response:	Let's hurry! According to the headman,
context: On-kiri-kiri-kyabara-furanku-kyapura\Damn that Shippo! Where'd he go?\He was acting strange.\Everyone, look!\What IS that?\An ominous cloud!\This faith healer... He's no ordinary man.\Let's hurry! According to the headman, response:	the faith healeris in the shrine on the village outskirts.
context: Damn that Shippo! Where'd he go?\He was acting strange.\Everyone, look!\What IS that?\An ominous cloud!\This faith healer... He's no ordinary man.\Let's hurry! According to the headman,\the faith healeris in the shrine on the village outskirts. response:	'Kay!
context: He was acting strange.\Everyone, look!\What IS that?\An ominous cloud!\This faith healer... He's no ordinary man.\Let's hurry! According to the headman,\the faith healeris in the shrine on the village outskirts.\'Kay! response:	Kuroro!
context: Everyone, look!\What IS that?\An ominous cloud!\This faith healer... He's no ordinary man.\Let's hurry! According to the headman,\the faith healeris in the shrine on the village outskirts.\'Kay!\Kuroro! response:	Kuroro!
context: What IS that?\An ominous cloud!\This faith healer... He's no ordinary man.\Let's hurry! According to the headman,\the faith healeris in the shrine on the village outskirts.\'Kay!\Kuroro!\Kuroro! response:	Kuroro!
context: An ominous cloud!\This faith healer... He's no ordinary man.\Let's hurry! According to the headman,\the faith healeris in the shrine on the village outskirts.\'Kay!\Kuroro!\Kuroro!\Kuroro! response:	Kuroro!
context: This faith healer... He's no ordinary man.\Let's hurry! According to the headman,\the faith healeris in the shrine on the village outskirts.\'Kay!\Kuroro!\Kuroro!\Kuroro!\Kuroro! response:	Shippo!
context: Let's hurry! According to the headman,\the faith healeris in the shrine on the village outskirts.\'Kay!\Kuroro!\Kuroro!\Kuroro!\Kuroro!\Shippo! response:	I don't think she's here.
context: the faith healeris in the shrine on the village outskirts.\'Kay!\Kuroro!\Kuroro!\Kuroro!\Kuroro!\Shippo!\I don't think she's here. response:	Huh?
context: 'Kay!\Kuroro!\Kuroro!\Kuroro!\Kuroro!\Shippo!\I don't think she's here.\Huh? response:	You really cared forthis cat, huh?
context: Kuroro!\Kuroro!\Kuroro!\Kuroro!\Shippo!\I don't think she's here.\Huh?\You really cared forthis cat, huh? response:	Uh-huh...
context: Kuroro!\Kuroro!\Kuroro!\Shippo!\I don't think she's here.\Huh?\You really cared forthis cat, huh?\Uh-huh... response:	And...
context: Kuroro!\Kuroro!\Shippo!\I don't think she's here.\Huh?\You really cared forthis cat, huh?\Uh-huh...\And... response:	Hmm?
context: Kuroro!\Shippo!\I don't think she's here.\Huh?\You really cared forthis cat, huh?\Uh-huh...\And...\Hmm? response:	Kuroro is going to have babies.
context: Shippo!\I don't think she's here.\Huh?\You really cared forthis cat, huh?\Uh-huh...\And...\Hmm?\Kuroro is going to have babies. response:	Really?
context: I don't think she's here.\Huh?\You really cared forthis cat, huh?\Uh-huh...\And...\Hmm?\Kuroro is going to have babies.\Really? response:	She'll be okay! I promise to find her!
context: Huh?\You really cared forthis cat, huh?\Uh-huh...\And...\Hmm?\Kuroro is going to have babies.\Really?\She'll be okay! I promise to find her! response:	Uh-huh!
context: You really cared forthis cat, huh?\Uh-huh...\And...\Hmm?\Kuroro is going to have babies.\Really?\She'll be okay! I promise to find her!\Uh-huh! response:	Let's go furtherin.
context: Uh-huh...\And...\Hmm?\Kuroro is going to have babies.\Really?\She'll be okay! I promise to find her!\Uh-huh!\Let's go furtherin. response:	Huh?
context: And...\Hmm?\Kuroro is going to have babies.\Really?\She'll be okay! I promise to find her!\Uh-huh!\Let's go furtherin.\Huh? response:	What's this demonic aura?
context: Hmm?\Kuroro is going to have babies.\Really?\She'll be okay! I promise to find her!\Uh-huh!\Let's go furtherin.\Huh?\What's this demonic aura? response:	W-Wha...?!
context: Kuroro is going to have babies.\Really?\She'll be okay! I promise to find her!\Uh-huh!\Let's go furtherin.\Huh?\What's this demonic aura?\W-Wha...?! response:	Fox Magic! Smashing Top!
context: Really?\She'll be okay! I promise to find her!\Uh-huh!\Let's go furtherin.\Huh?\What's this demonic aura?\W-Wha...?!\Fox Magic! Smashing Top! response:	Hang onto me!
context: She'll be okay! I promise to find her!\Uh-huh!\Let's go furtherin.\Huh?\What's this demonic aura?\W-Wha...?!\Fox Magic! Smashing Top!\Hang onto me! response:	We'll have to go higherup!
context: Uh-huh!\Let's go furtherin.\Huh?\What's this demonic aura?\W-Wha...?!\Fox Magic! Smashing Top!\Hang onto me!\We'll have to go higherup! response:	What's that?
context: Let's go furtherin.\Huh?\What's this demonic aura?\W-Wha...?!\Fox Magic! Smashing Top!\Hang onto me!\We'll have to go higherup!\What's that? response:	Rats! Ahuge army of rats!
context: Huh?\What's this demonic aura?\W-Wha...?!\Fox Magic! Smashing Top!\Hang onto me!\We'll have to go higherup!\What's that?\Rats! Ahuge army of rats! response:	Huh?!
context: What's this demonic aura?\W-Wha...?!\Fox Magic! Smashing Top!\Hang onto me!\We'll have to go higherup!\What's that?\Rats! Ahuge army of rats!\Huh?! response:	Huh? What's that?
context: W-Wha...?!\Fox Magic! Smashing Top!\Hang onto me!\We'll have to go higherup!\What's that?\Rats! Ahuge army of rats!\Huh?!\Huh? What's that? response:	Huh?
context: Fox Magic! Smashing Top!\Hang onto me!\We'll have to go higherup!\What's that?\Rats! Ahuge army of rats!\Huh?!\Huh? What's that?\Huh? response:	W-What's...
context: Hang onto me!\We'll have to go higherup!\What's that?\Rats! Ahuge army of rats!\Huh?!\Huh? What's that?\Huh?\W-What's... response:	Ourprecious sutra scroll!!!
context: We'll have to go higherup!\What's that?\Rats! Ahuge army of rats!\Huh?!\Huh? What's that?\Huh?\W-What's...\Ourprecious sutra scroll!!! response:	Foolish villagers!
context: What's that?\Rats! Ahuge army of rats!\Huh?!\Huh? What's that?\Huh?\W-What's...\Ourprecious sutra scroll!!!\Foolish villagers! response:	Not a sign of the frightful cat in the village.
context: Rats! Ahuge army of rats!\Huh?!\Huh? What's that?\Huh?\W-What's...\Ourprecious sutra scroll!!!\Foolish villagers!\Not a sign of the frightful cat in the village. response:	While the cat's away...
context: Huh?!\Huh? What's that?\Huh?\W-What's...\Ourprecious sutra scroll!!!\Foolish villagers!\Not a sign of the frightful cat in the village.\While the cat's away... response:	the rats will play and devour everything in sight!
context: Huh? What's that?\Huh?\W-What's...\Ourprecious sutra scroll!!!\Foolish villagers!\Not a sign of the frightful cat in the village.\While the cat's away...\the rats will play and devour everything in sight! response:	Oww!!
context: Huh?\W-What's...\Ourprecious sutra scroll!!!\Foolish villagers!\Not a sign of the frightful cat in the village.\While the cat's away...\the rats will play and devour everything in sight!\Oww!! response:	I can't go any further!
context: W-What's...\Ourprecious sutra scroll!!!\Foolish villagers!\Not a sign of the frightful cat in the village.\While the cat's away...\the rats will play and devour everything in sight!\Oww!!\I can't go any further! response:	Huh?!
context: Ourprecious sutra scroll!!!\Foolish villagers!\Not a sign of the frightful cat in the village.\While the cat's away...\the rats will play and devour everything in sight!\Oww!!\I can't go any further!\Huh?! response:	Kirara!
context: Foolish villagers!\Not a sign of the frightful cat in the village.\While the cat's away...\the rats will play and devour everything in sight!\Oww!!\I can't go any further!\Huh?!\Kirara! response:	Kuroro!
context: Not a sign of the frightful cat in the village.\While the cat's away...\the rats will play and devour everything in sight!\Oww!!\I can't go any further!\Huh?!\Kirara!\Kuroro! response:	That's Kuroro!
context: While the cat's away...\the rats will play and devour everything in sight!\Oww!!\I can't go any further!\Huh?!\Kirara!\Kuroro!\That's Kuroro! response:	She has two tails, too!
context: the rats will play and devour everything in sight!\Oww!!\I can't go any further!\Huh?!\Kirara!\Kuroro!\That's Kuroro!\She has two tails, too! response:	Kuroro, you came!
context: Oww!!\I can't go any further!\Huh?!\Kirara!\Kuroro!\That's Kuroro!\She has two tails, too!\Kuroro, you came! response:	What's that?
context: I can't go any further!\Huh?!\Kirara!\Kuroro!\That's Kuroro!\She has two tails, too!\Kuroro, you came!\What's that? response:	From the looks of it...
context: Huh?!\Kirara!\Kuroro!\That's Kuroro!\She has two tails, too!\Kuroro, you came!\What's that?\From the looks of it... response:	the demonic aura has created a barrier.
context: Kirara!\Kuroro!\That's Kuroro!\She has two tails, too!\Kuroro, you came!\What's that?\From the looks of it...\the demonic aura has created a barrier. response:	Which means...
context: Kuroro!\That's Kuroro!\She has two tails, too!\Kuroro, you came!\What's that?\From the looks of it...\the demonic aura has created a barrier.\Which means... response:	The faith healer is a demon in disguise.
context: That's Kuroro!\She has two tails, too!\Kuroro, you came!\What's that?\From the looks of it...\the demonic aura has created a barrier.\Which means...\The faith healer is a demon in disguise. response:	Well, I ain't standing forthat!
context: She has two tails, too!\Kuroro, you came!\What's that?\From the looks of it...\the demonic aura has created a barrier.\Which means...\The faith healer is a demon in disguise.\Well, I ain't standing forthat! response:	I'll break through that stinkin' barrier!
context: Kuroro, you came!\What's that?\From the looks of it...\the demonic aura has created a barrier.\Which means...\The faith healer is a demon in disguise.\Well, I ain't standing forthat!\I'll break through that stinkin' barrier! response:	Tetsusaiga!
context: What's that?\From the looks of it...\the demonic aura has created a barrier.\Which means...\The faith healer is a demon in disguise.\Well, I ain't standing forthat!\I'll break through that stinkin' barrier!\Tetsusaiga! response:	How's that?!
context: From the looks of it...\the demonic aura has created a barrier.\Which means...\The faith healer is a demon in disguise.\Well, I ain't standing forthat!\I'll break through that stinkin' barrier!\Tetsusaiga!\How's that?! response:	So, you show yourself... rat demon!
context: the demonic aura has created a barrier.\Which means...\The faith healer is a demon in disguise.\Well, I ain't standing forthat!\I'll break through that stinkin' barrier!\Tetsusaiga!\How's that?!\So, you show yourself... rat demon! response:	Hmm... I see that you're actually a half-demon.
context: Which means...\The faith healer is a demon in disguise.\Well, I ain't standing forthat!\I'll break through that stinkin' barrier!\Tetsusaiga!\How's that?!\So, you show yourself... rat demon!\Hmm... I see that you're actually a half-demon. response:	How dare you, a half-demon, defy the Great Tesso!
context: The faith healer is a demon in disguise.\Well, I ain't standing forthat!\I'll break through that stinkin' barrier!\Tetsusaiga!\How's that?!\So, you show yourself... rat demon!\Hmm... I see that you're actually a half-demon.\How dare you, a half-demon, defy the Great Tesso! response:	What was that?
context: Well, I ain't standing forthat!\I'll break through that stinkin' barrier!\Tetsusaiga!\How's that?!\So, you show yourself... rat demon!\Hmm... I see that you're actually a half-demon.\How dare you, a half-demon, defy the Great Tesso!\What was that? response:	C-Cat!
context: I'll break through that stinkin' barrier!\Tetsusaiga!\How's that?!\So, you show yourself... rat demon!\Hmm... I see that you're actually a half-demon.\How dare you, a half-demon, defy the Great Tesso!\What was that?\C-Cat! response:	Hmm... he may be large, but he still fears cats.
context: Tetsusaiga!\How's that?!\So, you show yourself... rat demon!\Hmm... I see that you're actually a half-demon.\How dare you, a half-demon, defy the Great Tesso!\What was that?\C-Cat!\Hmm... he may be large, but he still fears cats. response:	No wonderyou didn't want the cat that the children loved around!
context: How's that?!\So, you show yourself... rat demon!\Hmm... I see that you're actually a half-demon.\How dare you, a half-demon, defy the Great Tesso!\What was that?\C-Cat!\Hmm... he may be large, but he still fears cats.\No wonderyou didn't want the cat that the children loved around! response:	Well, I ain't wasting any more time to get rid of you!
context: So, you show yourself... rat demon!\Hmm... I see that you're actually a half-demon.\How dare you, a half-demon, defy the Great Tesso!\What was that?\C-Cat!\Hmm... he may be large, but he still fears cats.\No wonderyou didn't want the cat that the children loved around!\Well, I ain't wasting any more time to get rid of you! response:	Wind Scar!
context: Hmm... I see that you're actually a half-demon.\How dare you, a half-demon, defy the Great Tesso!\What was that?\C-Cat!\Hmm... he may be large, but he still fears cats.\No wonderyou didn't want the cat that the children loved around!\Well, I ain't wasting any more time to get rid of you!\Wind Scar! response:	The Wind Scardidn't work on him?
context: How dare you, a half-demon, defy the Great Tesso!\What was that?\C-Cat!\Hmm... he may be large, but he still fears cats.\No wonderyou didn't want the cat that the children loved around!\Well, I ain't wasting any more time to get rid of you!\Wind Scar!\The Wind Scardidn't work on him? response:	What's wrong? Scared stiff?
context: What was that?\C-Cat!\Hmm... he may be large, but he still fears cats.\No wonderyou didn't want the cat that the children loved around!\Well, I ain't wasting any more time to get rid of you!\Wind Scar!\The Wind Scardidn't work on him?\What's wrong? Scared stiff? response:	What?!
context: C-Cat!\Hmm... he may be large, but he still fears cats.\No wonderyou didn't want the cat that the children loved around!\Well, I ain't wasting any more time to get rid of you!\Wind Scar!\The Wind Scardidn't work on him?\What's wrong? Scared stiff?\What?! response:	Hold it!
context: Hmm... he may be large, but he still fears cats.\No wonderyou didn't want the cat that the children loved around!\Well, I ain't wasting any more time to get rid of you!\Wind Scar!\The Wind Scardidn't work on him?\What's wrong? Scared stiff?\What?!\Hold it! response:	That is not the demon's true appearance.
context: No wonderyou didn't want the cat that the children loved around!\Well, I ain't wasting any more time to get rid of you!\Wind Scar!\The Wind Scardidn't work on him?\What's wrong? Scared stiff?\What?!\Hold it!\That is not the demon's true appearance. response:	What?!
context: Well, I ain't wasting any more time to get rid of you!\Wind Scar!\The Wind Scardidn't work on him?\What's wrong? Scared stiff?\What?!\Hold it!\That is not the demon's true appearance.\What?! response:	He's probably a demon created by the demonic aura of the rats.
context: Wind Scar!\The Wind Scardidn't work on him?\What's wrong? Scared stiff?\What?!\Hold it!\That is not the demon's true appearance.\What?!\He's probably a demon created by the demonic aura of the rats. response:	Asword will go right through it.
context: The Wind Scardidn't work on him?\What's wrong? Scared stiff?\What?!\Hold it!\That is not the demon's true appearance.\What?!\He's probably a demon created by the demonic aura of the rats.\Asword will go right through it. response:	Then what'll we do?
context: What's wrong? Scared stiff?\What?!\Hold it!\That is not the demon's true appearance.\What?!\He's probably a demon created by the demonic aura of the rats.\Asword will go right through it.\Then what'll we do? response:	Leave it to me.
context: What?!\Hold it!\That is not the demon's true appearance.\What?!\He's probably a demon created by the demonic aura of the rats.\Asword will go right through it.\Then what'll we do?\Leave it to me. response:	My Wind Tunnel...
context: Hold it!\That is not the demon's true appearance.\What?!\He's probably a demon created by the demonic aura of the rats.\Asword will go right through it.\Then what'll we do?\Leave it to me.\My Wind Tunnel... response:	should take care of that rat in an instant!
context: That is not the demon's true appearance.\What?!\He's probably a demon created by the demonic aura of the rats.\Asword will go right through it.\Then what'll we do?\Leave it to me.\My Wind Tunnel...\should take care of that rat in an instant! response:	What?!
context: What?!\He's probably a demon created by the demonic aura of the rats.\Asword will go right through it.\Then what'll we do?\Leave it to me.\My Wind Tunnel...\should take care of that rat in an instant!\What?! response:	He disappeared.
context: He's probably a demon created by the demonic aura of the rats.\Asword will go right through it.\Then what'll we do?\Leave it to me.\My Wind Tunnel...\should take care of that rat in an instant!\What?!\He disappeared. response:	He escaped!
context: Asword will go right through it.\Then what'll we do?\Leave it to me.\My Wind Tunnel...\should take care of that rat in an instant!\What?!\He disappeared.\He escaped! response:	Kuroro, where are you taking us?
context: Then what'll we do?\Leave it to me.\My Wind Tunnel...\should take care of that rat in an instant!\What?!\He disappeared.\He escaped!\Kuroro, where are you taking us? response:	Kuroro, yourkittens are safe!
context: Leave it to me.\My Wind Tunnel...\should take care of that rat in an instant!\What?!\He disappeared.\He escaped!\Kuroro, where are you taking us?\Kuroro, yourkittens are safe! response:	That's wonderful!
context: My Wind Tunnel...\should take care of that rat in an instant!\What?!\He disappeared.\He escaped!\Kuroro, where are you taking us?\Kuroro, yourkittens are safe!\That's wonderful! response:	Yes, now let's go back to the village.
context: should take care of that rat in an instant!\What?!\He disappeared.\He escaped!\Kuroro, where are you taking us?\Kuroro, yourkittens are safe!\That's wonderful!\Yes, now let's go back to the village. response:	We'll neverbe apart again.
context: What?!\He disappeared.\He escaped!\Kuroro, where are you taking us?\Kuroro, yourkittens are safe!\That's wonderful!\Yes, now let's go back to the village.\We'll neverbe apart again. response:	I can smell it! I can smell it!
context: He disappeared.\He escaped!\Kuroro, where are you taking us?\Kuroro, yourkittens are safe!\That's wonderful!\Yes, now let's go back to the village.\We'll neverbe apart again.\I can smell it! I can smell it! response:	The scent of a human child!
context: He escaped!\Kuroro, where are you taking us?\Kuroro, yourkittens are safe!\That's wonderful!\Yes, now let's go back to the village.\We'll neverbe apart again.\I can smell it! I can smell it!\The scent of a human child! response:	By devouring the child,
context: Kuroro, where are you taking us?\Kuroro, yourkittens are safe!\That's wonderful!\Yes, now let's go back to the village.\We'll neverbe apart again.\I can smell it! I can smell it!\The scent of a human child!\By devouring the child, response:	I'll double my spiritual rat power!
context: Kuroro, yourkittens are safe!\That's wonderful!\Yes, now let's go back to the village.\We'll neverbe apart again.\I can smell it! I can smell it!\The scent of a human child!\By devouring the child,\I'll double my spiritual rat power! response:	Ademonic aura!
context: That's wonderful!\Yes, now let's go back to the village.\We'll neverbe apart again.\I can smell it! I can smell it!\The scent of a human child!\By devouring the child,\I'll double my spiritual rat power!\Ademonic aura! response:	Kuroro!
context: Yes, now let's go back to the village.\We'll neverbe apart again.\I can smell it! I can smell it!\The scent of a human child!\By devouring the child,\I'll double my spiritual rat power!\Ademonic aura!\Kuroro! response:	Don'tgo!
context: We'll neverbe apart again.\I can smell it! I can smell it!\The scent of a human child!\By devouring the child,\I'll double my spiritual rat power!\Ademonic aura!\Kuroro!\Don'tgo! response:	It's too dangerous to go out now!
context: I can smell it! I can smell it!\The scent of a human child!\By devouring the child,\I'll double my spiritual rat power!\Ademonic aura!\Kuroro!\Don'tgo!\It's too dangerous to go out now! response:	But...
context: The scent of a human child!\By devouring the child,\I'll double my spiritual rat power!\Ademonic aura!\Kuroro!\Don'tgo!\It's too dangerous to go out now!\But... response:	Let Kuroro handle the outside; we'll protect these kittens.
context: By devouring the child,\I'll double my spiritual rat power!\Ademonic aura!\Kuroro!\Don'tgo!\It's too dangerous to go out now!\But...\Let Kuroro handle the outside; we'll protect these kittens. response:	I found her!
context: I'll double my spiritual rat power!\Ademonic aura!\Kuroro!\Don'tgo!\It's too dangerous to go out now!\But...\Let Kuroro handle the outside; we'll protect these kittens.\I found her! response:	Why, you...! How many times must you interfere?!
context: Ademonic aura!\Kuroro!\Don'tgo!\It's too dangerous to go out now!\But...\Let Kuroro handle the outside; we'll protect these kittens.\I found her!\Why, you...! How many times must you interfere?! response:	Koume! You stay right here!
context: Kuroro!\Don'tgo!\It's too dangerous to go out now!\But...\Let Kuroro handle the outside; we'll protect these kittens.\I found her!\Why, you...! How many times must you interfere?!\Koume! You stay right here! response:	Shippo!
context: Don'tgo!\It's too dangerous to go out now!\But...\Let Kuroro handle the outside; we'll protect these kittens.\I found her!\Why, you...! How many times must you interfere?!\Koume! You stay right here!\Shippo! response:	Kuroro!
context: It's too dangerous to go out now!\But...\Let Kuroro handle the outside; we'll protect these kittens.\I found her!\Why, you...! How many times must you interfere?!\Koume! You stay right here!\Shippo!\Kuroro! response:	Persistent creature!
context: But...\Let Kuroro handle the outside; we'll protect these kittens.\I found her!\Why, you...! How many times must you interfere?!\Koume! You stay right here!\Shippo!\Kuroro!\Persistent creature! response:	Now you die!
context: Let Kuroro handle the outside; we'll protect these kittens.\I found her!\Why, you...! How many times must you interfere?!\Koume! You stay right here!\Shippo!\Kuroro!\Persistent creature!\Now you die! response:	Aghhh!
context: I found her!\Why, you...! How many times must you interfere?!\Koume! You stay right here!\Shippo!\Kuroro!\Persistent creature!\Now you die!\Aghhh! response:	Release me!
context: Why, you...! How many times must you interfere?!\Koume! You stay right here!\Shippo!\Kuroro!\Persistent creature!\Now you die!\Aghhh!\Release me! response:	Good work, Kuroro!
context: Koume! You stay right here!\Shippo!\Kuroro!\Persistent creature!\Now you die!\Aghhh!\Release me!\Good work, Kuroro! response:	Damn!
context: Shippo!\Kuroro!\Persistent creature!\Now you die!\Aghhh!\Release me!\Good work, Kuroro!\Damn! response:	Feel the magic ofTesso!
context: Kuroro!\Persistent creature!\Now you die!\Aghhh!\Release me!\Good work, Kuroro!\Damn!\Feel the magic ofTesso! response:	Oh, no!
context: Persistent creature!\Now you die!\Aghhh!\Release me!\Good work, Kuroro!\Damn!\Feel the magic ofTesso!\Oh, no! response:	Are you all right, Koume?
context: Now you die!\Aghhh!\Release me!\Good work, Kuroro!\Damn!\Feel the magic ofTesso!\Oh, no!\Are you all right, Koume? response:	The exit has been sealed.
context: Aghhh!\Release me!\Good work, Kuroro!\Damn!\Feel the magic ofTesso!\Oh, no!\Are you all right, Koume?\The exit has been sealed. response:	Don't worry.
context: Release me!\Good work, Kuroro!\Damn!\Feel the magic ofTesso!\Oh, no!\Are you all right, Koume?\The exit has been sealed.\Don't worry. response:	I'll save us all.
context: Good work, Kuroro!\Damn!\Feel the magic ofTesso!\Oh, no!\Are you all right, Koume?\The exit has been sealed.\Don't worry.\I'll save us all. response:	Hmm...
context: Damn!\Feel the magic ofTesso!\Oh, no!\Are you all right, Koume?\The exit has been sealed.\Don't worry.\I'll save us all.\Hmm... response:	The exit is overhere.
context: Feel the magic ofTesso!\Oh, no!\Are you all right, Koume?\The exit has been sealed.\Don't worry.\I'll save us all.\Hmm...\The exit is overhere. response:	Shippo!
context: Oh, no!\Are you all right, Koume?\The exit has been sealed.\Don't worry.\I'll save us all.\Hmm...\The exit is overhere.\Shippo! response:	Are you all right?
context: Are you all right, Koume?\The exit has been sealed.\Don't worry.\I'll save us all.\Hmm...\The exit is overhere.\Shippo!\Are you all right? response:	Does it hurt?
context: The exit has been sealed.\Don't worry.\I'll save us all.\Hmm...\The exit is overhere.\Shippo!\Are you all right?\Does it hurt? response:	Don't worry.
context: Don't worry.\I'll save us all.\Hmm...\The exit is overhere.\Shippo!\Are you all right?\Does it hurt?\Don't worry. response:	I'm immortal.
context: I'll save us all.\Hmm...\The exit is overhere.\Shippo!\Are you all right?\Does it hurt?\Don't worry.\I'm immortal. response:	That damn rat!
context: Hmm...\The exit is overhere.\Shippo!\Are you all right?\Does it hurt?\Don't worry.\I'm immortal.\That damn rat! response:	He probably got scared of us and fled the village.
context: The exit is overhere.\Shippo!\Are you all right?\Does it hurt?\Don't worry.\I'm immortal.\That damn rat!\He probably got scared of us and fled the village. response:	No...
context: Shippo!\Are you all right?\Does it hurt?\Don't worry.\I'm immortal.\That damn rat!\He probably got scared of us and fled the village.\No... response:	I don't think he'll abandon the village
context: Are you all right?\Does it hurt?\Don't worry.\I'm immortal.\That damn rat!\He probably got scared of us and fled the village.\No...\I don't think he'll abandon the village response:	aftergoing through the trouble of getting rid of the cat.
context: Does it hurt?\Don't worry.\I'm immortal.\That damn rat!\He probably got scared of us and fled the village.\No...\I don't think he'll abandon the village\aftergoing through the trouble of getting rid of the cat. response:	Then he's still close by?
context: Don't worry.\I'm immortal.\That damn rat!\He probably got scared of us and fled the village.\No...\I don't think he'll abandon the village\aftergoing through the trouble of getting rid of the cat.\Then he's still close by? response:	Probably.
context: I'm immortal.\That damn rat!\He probably got scared of us and fled the village.\No...\I don't think he'll abandon the village\aftergoing through the trouble of getting rid of the cat.\Then he's still close by?\Probably. response:	It's Kuroro!
context: That damn rat!\He probably got scared of us and fled the village.\No...\I don't think he'll abandon the village\aftergoing through the trouble of getting rid of the cat.\Then he's still close by?\Probably.\It's Kuroro! response:	It's that cat again!
context: He probably got scared of us and fled the village.\No...\I don't think he'll abandon the village\aftergoing through the trouble of getting rid of the cat.\Then he's still close by?\Probably.\It's Kuroro!\It's that cat again! response:	Let's go!
context: No...\I don't think he'll abandon the village\aftergoing through the trouble of getting rid of the cat.\Then he's still close by?\Probably.\It's Kuroro!\It's that cat again!\Let's go! response:	Yeah!
context: I don't think he'll abandon the village\aftergoing through the trouble of getting rid of the cat.\Then he's still close by?\Probably.\It's Kuroro!\It's that cat again!\Let's go!\Yeah! response:	What's that?
context: aftergoing through the trouble of getting rid of the cat.\Then he's still close by?\Probably.\It's Kuroro!\It's that cat again!\Let's go!\Yeah!\What's that? response:	That's the bell that Shippo had in his possession.
context: Then he's still close by?\Probably.\It's Kuroro!\It's that cat again!\Let's go!\Yeah!\What's that?\That's the bell that Shippo had in his possession. response:	Could this be Kuroro?
context: Probably.\It's Kuroro!\It's that cat again!\Let's go!\Yeah!\What's that?\That's the bell that Shippo had in his possession.\Could this be Kuroro? response:	It's pretty badly injured.
context: It's Kuroro!\It's that cat again!\Let's go!\Yeah!\What's that?\That's the bell that Shippo had in his possession.\Could this be Kuroro?\It's pretty badly injured. response:	That cat is trying to take us somewhere.
context: It's that cat again!\Let's go!\Yeah!\What's that?\That's the bell that Shippo had in his possession.\Could this be Kuroro?\It's pretty badly injured.\That cat is trying to take us somewhere. response:	Huh?
context: Let's go!\Yeah!\What's that?\That's the bell that Shippo had in his possession.\Could this be Kuroro?\It's pretty badly injured.\That cat is trying to take us somewhere.\Huh? response:	It's getting... hard to breathe.
context: Yeah!\What's that?\That's the bell that Shippo had in his possession.\Could this be Kuroro?\It's pretty badly injured.\That cat is trying to take us somewhere.\Huh?\It's getting... hard to breathe. response:	Just a while longer and I'll be through to the other side.
context: What's that?\That's the bell that Shippo had in his possession.\Could this be Kuroro?\It's pretty badly injured.\That cat is trying to take us somewhere.\Huh?\It's getting... hard to breathe.\Just a while longer and I'll be through to the other side. response:	Hang in there, Koume!
context: That's the bell that Shippo had in his possession.\Could this be Kuroro?\It's pretty badly injured.\That cat is trying to take us somewhere.\Huh?\It's getting... hard to breathe.\Just a while longer and I'll be through to the other side.\Hang in there, Koume! response:	Uh-huh... I'm all right.
