context: Are you free on 3/14? Let's meet up if you aren't busy. response:	White Day?? I said it! I was trying to pretend I didn't know. But I did noticeso much for that.
context: What have you been doing all these years?\Watching.\During sports festivals...\Or even when nothing is happening.\I've been watching Sunakawa-kun live his life.\I also gathered all the information I could, and tried to read his fortune.\She's a fortuneteller?\But you could've at least tried to talk to him. response:	I can't even talk to a normal guy!
context: Watching.\During sports festivals...\Or even when nothing is happening.\I've been watching Sunakawa-kun live his life.\I also gathered all the information I could, and tried to read his fortune.\She's a fortuneteller?\But you could've at least tried to talk to him.\I can't even talk to a normal guy! response:	Then what are you going to do?
context: During sports festivals...\Or even when nothing is happening.\I've been watching Sunakawa-kun live his life.\I also gathered all the information I could, and tried to read his fortune.\She's a fortuneteller?\But you could've at least tried to talk to him.\I can't even talk to a normal guy!\Then what are you going to do? response:	There's nothing I can do.
context: Or even when nothing is happening.\I've been watching Sunakawa-kun live his life.\I also gathered all the information I could, and tried to read his fortune.\She's a fortuneteller?\But you could've at least tried to talk to him.\I can't even talk to a normal guy!\Then what are you going to do?\There's nothing I can do. response:	I don't have the courage to talk to him
context: I've been watching Sunakawa-kun live his life.\I also gathered all the information I could, and tried to read his fortune.\She's a fortuneteller?\But you could've at least tried to talk to him.\I can't even talk to a normal guy!\Then what are you going to do?\There's nothing I can do.\I don't have the courage to talk to him response:	or tell him how I feel.
context: I also gathered all the information I could, and tried to read his fortune.\She's a fortuneteller?\But you could've at least tried to talk to him.\I can't even talk to a normal guy!\Then what are you going to do?\There's nothing I can do.\I don't have the courage to talk to him\or tell him how I feel. response:	All the way through kindergarten, elementary school, junior high, and high school,
context: She's a fortuneteller?\But you could've at least tried to talk to him.\I can't even talk to a normal guy!\Then what are you going to do?\There's nothing I can do.\I don't have the courage to talk to him\or tell him how I feel.\All the way through kindergarten, elementary school, junior high, and high school, response:	every time Sunakawa-kun turned down a girl, I'd feel relieved.
context: But you could've at least tried to talk to him.\I can't even talk to a normal guy!\Then what are you going to do?\There's nothing I can do.\I don't have the courage to talk to him\or tell him how I feel.\All the way through kindergarten, elementary school, junior high, and high school,\every time Sunakawa-kun turned down a girl, I'd feel relieved. response:	If he can't be mine,
context: I can't even talk to a normal guy!\Then what are you going to do?\There's nothing I can do.\I don't have the courage to talk to him\or tell him how I feel.\All the way through kindergarten, elementary school, junior high, and high school,\every time Sunakawa-kun turned down a girl, I'd feel relieved.\If he can't be mine, response:	sometimes, I don't want him to date anyone for the rest of his life.
context: Then what are you going to do?\There's nothing I can do.\I don't have the courage to talk to him\or tell him how I feel.\All the way through kindergarten, elementary school, junior high, and high school,\every time Sunakawa-kun turned down a girl, I'd feel relieved.\If he can't be mine,\sometimes, I don't want him to date anyone for the rest of his life. response:	Is that a curse?
context: There's nothing I can do.\I don't have the courage to talk to him\or tell him how I feel.\All the way through kindergarten, elementary school, junior high, and high school,\every time Sunakawa-kun turned down a girl, I'd feel relieved.\If he can't be mine,\sometimes, I don't want him to date anyone for the rest of his life.\Is that a curse? response:	Still, every time Valentine's Day comes around,
context: I don't have the courage to talk to him\or tell him how I feel.\All the way through kindergarten, elementary school, junior high, and high school,\every time Sunakawa-kun turned down a girl, I'd feel relieved.\If he can't be mine,\sometimes, I don't want him to date anyone for the rest of his life.\Is that a curse?\Still, every time Valentine's Day comes around, response:	I consider telling him how I feel.
context: or tell him how I feel.\All the way through kindergarten, elementary school, junior high, and high school,\every time Sunakawa-kun turned down a girl, I'd feel relieved.\If he can't be mine,\sometimes, I don't want him to date anyone for the rest of his life.\Is that a curse?\Still, every time Valentine's Day comes around,\I consider telling him how I feel. response:	But I can never find the courage to write my name.
context: All the way through kindergarten, elementary school, junior high, and high school,\every time Sunakawa-kun turned down a girl, I'd feel relieved.\If he can't be mine,\sometimes, I don't want him to date anyone for the rest of his life.\Is that a curse?\Still, every time Valentine's Day comes around,\I consider telling him how I feel.\But I can never find the courage to write my name. response:	Since I'm not brave enough to talk to him,
context: every time Sunakawa-kun turned down a girl, I'd feel relieved.\If he can't be mine,\sometimes, I don't want him to date anyone for the rest of his life.\Is that a curse?\Still, every time Valentine's Day comes around,\I consider telling him how I feel.\But I can never find the courage to write my name.\Since I'm not brave enough to talk to him, response:	I'm always just circling him.
context: If he can't be mine,\sometimes, I don't want him to date anyone for the rest of his life.\Is that a curse?\Still, every time Valentine's Day comes around,\I consider telling him how I feel.\But I can never find the courage to write my name.\Since I'm not brave enough to talk to him,\I'm always just circling him. response:	I see...
context: sometimes, I don't want him to date anyone for the rest of his life.\Is that a curse?\Still, every time Valentine's Day comes around,\I consider telling him how I feel.\But I can never find the courage to write my name.\Since I'm not brave enough to talk to him,\I'm always just circling him.\I see... response:	Ten years... That's amazing.
context: Is that a curse?\Still, every time Valentine's Day comes around,\I consider telling him how I feel.\But I can never find the courage to write my name.\Since I'm not brave enough to talk to him,\I'm always just circling him.\I see...\Ten years... That's amazing. response:	Your girlfriend, Yamato-san.
context: Still, every time Valentine's Day comes around,\I consider telling him how I feel.\But I can never find the courage to write my name.\Since I'm not brave enough to talk to him,\I'm always just circling him.\I see...\Ten years... That's amazing.\Your girlfriend, Yamato-san. response:	She seems like a nice person.
context: I consider telling him how I feel.\But I can never find the courage to write my name.\Since I'm not brave enough to talk to him,\I'm always just circling him.\I see...\Ten years... That's amazing.\Your girlfriend, Yamato-san.\She seems like a nice person. response:	Y-Yeah!
context: But I can never find the courage to write my name.\Since I'm not brave enough to talk to him,\I'm always just circling him.\I see...\Ten years... That's amazing.\Your girlfriend, Yamato-san.\She seems like a nice person.\Y-Yeah! response:	Why did Yamato come up suddenly?
context: Since I'm not brave enough to talk to him,\I'm always just circling him.\I see...\Ten years... That's amazing.\Your girlfriend, Yamato-san.\She seems like a nice person.\Y-Yeah!\Why did Yamato come up suddenly? response:	Seeing you two so happy together,
context: I'm always just circling him.\I see...\Ten years... That's amazing.\Your girlfriend, Yamato-san.\She seems like a nice person.\Y-Yeah!\Why did Yamato come up suddenly?\Seeing you two so happy together, response:	it makes me envious.
context: I see...\Ten years... That's amazing.\Your girlfriend, Yamato-san.\She seems like a nice person.\Y-Yeah!\Why did Yamato come up suddenly?\Seeing you two so happy together,\it makes me envious. response:	It's nice when two people feel the same way about each other.
context: Ten years... That's amazing.\Your girlfriend, Yamato-san.\She seems like a nice person.\Y-Yeah!\Why did Yamato come up suddenly?\Seeing you two so happy together,\it makes me envious.\It's nice when two people feel the same way about each other. response:	I couldn't write my name this year, either.
context: Your girlfriend, Yamato-san.\She seems like a nice person.\Y-Yeah!\Why did Yamato come up suddenly?\Seeing you two so happy together,\it makes me envious.\It's nice when two people feel the same way about each other.\I couldn't write my name this year, either. response:	so I was hoping to give him the letter in person.
context: She seems like a nice person.\Y-Yeah!\Why did Yamato come up suddenly?\Seeing you two so happy together,\it makes me envious.\It's nice when two people feel the same way about each other.\I couldn't write my name this year, either.\so I was hoping to give him the letter in person. response:	But I just ended up carrying it around for a month.
context: Y-Yeah!\Why did Yamato come up suddenly?\Seeing you two so happy together,\it makes me envious.\It's nice when two people feel the same way about each other.\I couldn't write my name this year, either.\so I was hoping to give him the letter in person.\But I just ended up carrying it around for a month. response:	To Sunakawa Makoto-sama
context: Why did Yamato come up suddenly?\Seeing you two so happy together,\it makes me envious.\It's nice when two people feel the same way about each other.\I couldn't write my name this year, either.\so I was hoping to give him the letter in person.\But I just ended up carrying it around for a month.\To Sunakawa Makoto-sama response:	I don't have the courage to hand it to him.
context: Seeing you two so happy together,\it makes me envious.\It's nice when two people feel the same way about each other.\I couldn't write my name this year, either.\so I was hoping to give him the letter in person.\But I just ended up carrying it around for a month.\To Sunakawa Makoto-sama\I don't have the courage to hand it to him. response:	Sunakawa-kun is always so calm and cool.
context: it makes me envious.\It's nice when two people feel the same way about each other.\I couldn't write my name this year, either.\so I was hoping to give him the letter in person.\But I just ended up carrying it around for a month.\To Sunakawa Makoto-sama\I don't have the courage to hand it to him.\Sunakawa-kun is always so calm and cool. response:	He never does anything strange.
context: It's nice when two people feel the same way about each other.\I couldn't write my name this year, either.\so I was hoping to give him the letter in person.\But I just ended up carrying it around for a month.\To Sunakawa Makoto-sama\I don't have the courage to hand it to him.\Sunakawa-kun is always so calm and cool.\He never does anything strange. response:	That isn't true.
context: I couldn't write my name this year, either.\so I was hoping to give him the letter in person.\But I just ended up carrying it around for a month.\To Sunakawa Makoto-sama\I don't have the courage to hand it to him.\Sunakawa-kun is always so calm and cool.\He never does anything strange.\That isn't true. response:	He does some pretty random things.
context: so I was hoping to give him the letter in person.\But I just ended up carrying it around for a month.\To Sunakawa Makoto-sama\I don't have the courage to hand it to him.\Sunakawa-kun is always so calm and cool.\He never does anything strange.\That isn't true.\He does some pretty random things. response:	What are you doing?
context: But I just ended up carrying it around for a month.\To Sunakawa Makoto-sama\I don't have the courage to hand it to him.\Sunakawa-kun is always so calm and cool.\He never does anything strange.\That isn't true.\He does some pretty random things.\What are you doing? response:	I just thought it'd be fun if she started calling you brother in English out of the blue.
context: To Sunakawa Makoto-sama\I don't have the courage to hand it to him.\Sunakawa-kun is always so calm and cool.\He never does anything strange.\That isn't true.\He does some pretty random things.\What are you doing?\I just thought it'd be fun if she started calling you brother in English out of the blue. response:	You're right.
context: I don't have the courage to hand it to him.\Sunakawa-kun is always so calm and cool.\He never does anything strange.\That isn't true.\He does some pretty random things.\What are you doing?\I just thought it'd be fun if she started calling you brother in English out of the blue.\You're right. response:	When he's with you, he often laughs.
context: Sunakawa-kun is always so calm and cool.\He never does anything strange.\That isn't true.\He does some pretty random things.\What are you doing?\I just thought it'd be fun if she started calling you brother in English out of the blue.\You're right.\When he's with you, he often laughs. response:	I'm jealous...
context: He never does anything strange.\That isn't true.\He does some pretty random things.\What are you doing?\I just thought it'd be fun if she started calling you brother in English out of the blue.\You're right.\When he's with you, he often laughs.\I'm jealous... response:	I wish I lived next to him.
context: That isn't true.\He does some pretty random things.\What are you doing?\I just thought it'd be fun if she started calling you brother in English out of the blue.\You're right.\When he's with you, he often laughs.\I'm jealous...\I wish I lived next to him. response:	Then we would have ridden the same kindergarten bus,
context: He does some pretty random things.\What are you doing?\I just thought it'd be fun if she started calling you brother in English out of the blue.\You're right.\When he's with you, he often laughs.\I'm jealous...\I wish I lived next to him.\Then we would have ridden the same kindergarten bus, response:	and we could've taken baths together.
context: What are you doing?\I just thought it'd be fun if she started calling you brother in English out of the blue.\You're right.\When he's with you, he often laughs.\I'm jealous...\I wish I lived next to him.\Then we would have ridden the same kindergarten bus,\and we could've taken baths together. response:	Not that we do that anymore.
context: I just thought it'd be fun if she started calling you brother in English out of the blue.\You're right.\When he's with you, he often laughs.\I'm jealous...\I wish I lived next to him.\Then we would have ridden the same kindergarten bus,\and we could've taken baths together.\Not that we do that anymore. response:	You could take each other's photos in the bathtub...
context: You're right.\When he's with you, he often laughs.\I'm jealous...\I wish I lived next to him.\Then we would have ridden the same kindergarten bus,\and we could've taken baths together.\Not that we do that anymore.\You could take each other's photos in the bathtub... response:	We never did that!
context: When he's with you, he often laughs.\I'm jealous...\I wish I lived next to him.\Then we would have ridden the same kindergarten bus,\and we could've taken baths together.\Not that we do that anymore.\You could take each other's photos in the bathtub...\We never did that! response:	I've been envious of you for a very long time.
context: I'm jealous...\I wish I lived next to him.\Then we would have ridden the same kindergarten bus,\and we could've taken baths together.\Not that we do that anymore.\You could take each other's photos in the bathtub...\We never did that!\I've been envious of you for a very long time. response:	I see, sorry.
context: I wish I lived next to him.\Then we would have ridden the same kindergarten bus,\and we could've taken baths together.\Not that we do that anymore.\You could take each other's photos in the bathtub...\We never did that!\I've been envious of you for a very long time.\I see, sorry. response:	But I need Suna, too.
context: Then we would have ridden the same kindergarten bus,\and we could've taken baths together.\Not that we do that anymore.\You could take each other's photos in the bathtub...\We never did that!\I've been envious of you for a very long time.\I see, sorry.\But I need Suna, too. response:	It's true that Suna's cool.
context: and we could've taken baths together.\Not that we do that anymore.\You could take each other's photos in the bathtub...\We never did that!\I've been envious of you for a very long time.\I see, sorry.\But I need Suna, too.\It's true that Suna's cool. response:	Oh, yes.
context: Not that we do that anymore.\You could take each other's photos in the bathtub...\We never did that!\I've been envious of you for a very long time.\I see, sorry.\But I need Suna, too.\It's true that Suna's cool.\Oh, yes. response:	He is.
context: You could take each other's photos in the bathtub...\We never did that!\I've been envious of you for a very long time.\I see, sorry.\But I need Suna, too.\It's true that Suna's cool.\Oh, yes.\He is. response:	He really is a perfect ideal.
context: We never did that!\I've been envious of you for a very long time.\I see, sorry.\But I need Suna, too.\It's true that Suna's cool.\Oh, yes.\He is.\He really is a perfect ideal. response:	Ideal...
context: I've been envious of you for a very long time.\I see, sorry.\But I need Suna, too.\It's true that Suna's cool.\Oh, yes.\He is.\He really is a perfect ideal.\Ideal... response:	Sure, he's cool, but he's a normal human being.
context: I see, sorry.\But I need Suna, too.\It's true that Suna's cool.\Oh, yes.\He is.\He really is a perfect ideal.\Ideal...\Sure, he's cool, but he's a normal human being. response:	He trips sometimes.
context: But I need Suna, too.\It's true that Suna's cool.\Oh, yes.\He is.\He really is a perfect ideal.\Ideal...\Sure, he's cool, but he's a normal human being.\He trips sometimes. response:	Are you sure you haven't idealized him?
context: It's true that Suna's cool.\Oh, yes.\He is.\He really is a perfect ideal.\Ideal...\Sure, he's cool, but he's a normal human being.\He trips sometimes.\Are you sure you haven't idealized him? response:	I haven't.
context: Oh, yes.\He is.\He really is a perfect ideal.\Ideal...\Sure, he's cool, but he's a normal human being.\He trips sometimes.\Are you sure you haven't idealized him?\I haven't. response:	It isn't that my ideal is Sunakawa-kun.
context: He is.\He really is a perfect ideal.\Ideal...\Sure, he's cool, but he's a normal human being.\He trips sometimes.\Are you sure you haven't idealized him?\I haven't.\It isn't that my ideal is Sunakawa-kun. response:	Sunakawa-kun became my ideal.
context: He really is a perfect ideal.\Ideal...\Sure, he's cool, but he's a normal human being.\He trips sometimes.\Are you sure you haven't idealized him?\I haven't.\It isn't that my ideal is Sunakawa-kun.\Sunakawa-kun became my ideal. response:	Takeo?
context: Ideal...\Sure, he's cool, but he's a normal human being.\He trips sometimes.\Are you sure you haven't idealized him?\I haven't.\It isn't that my ideal is Sunakawa-kun.\Sunakawa-kun became my ideal.\Takeo? response:	What are you doing?
context: Sure, he's cool, but he's a normal human being.\He trips sometimes.\Are you sure you haven't idealized him?\I haven't.\It isn't that my ideal is Sunakawa-kun.\Sunakawa-kun became my ideal.\Takeo?\What are you doing? response:	Oh, well...
context: He trips sometimes.\Are you sure you haven't idealized him?\I haven't.\It isn't that my ideal is Sunakawa-kun.\Sunakawa-kun became my ideal.\Takeo?\What are you doing?\Oh, well... response:	She vanished!
context: Are you sure you haven't idealized him?\I haven't.\It isn't that my ideal is Sunakawa-kun.\Sunakawa-kun became my ideal.\Takeo?\What are you doing?\Oh, well...\She vanished! response:	No, I can still sense her presence.
context: I haven't.\It isn't that my ideal is Sunakawa-kun.\Sunakawa-kun became my ideal.\Takeo?\What are you doing?\Oh, well...\She vanished!\No, I can still sense her presence. response:	What's with your wet pants?
context: It isn't that my ideal is Sunakawa-kun.\Sunakawa-kun became my ideal.\Takeo?\What are you doing?\Oh, well...\She vanished!\No, I can still sense her presence.\What's with your wet pants? response:	Well...
context: Sunakawa-kun became my ideal.\Takeo?\What are you doing?\Oh, well...\She vanished!\No, I can still sense her presence.\What's with your wet pants?\Well... response:	You aren't going home?
context: Takeo?\What are you doing?\Oh, well...\She vanished!\No, I can still sense her presence.\What's with your wet pants?\Well...\You aren't going home? response:	Yeah, I am.
context: What are you doing?\Oh, well...\She vanished!\No, I can still sense her presence.\What's with your wet pants?\Well...\You aren't going home?\Yeah, I am. response:	Let's go home.
context: Oh, well...\She vanished!\No, I can still sense her presence.\What's with your wet pants?\Well...\You aren't going home?\Yeah, I am.\Let's go home. response:	Your feet are really big.
context: She vanished!\No, I can still sense her presence.\What's with your wet pants?\Well...\You aren't going home?\Yeah, I am.\Let's go home.\Your feet are really big. response:	Take!
context: No, I can still sense her presence.\What's with your wet pants?\Well...\You aren't going home?\Yeah, I am.\Let's go home.\Your feet are really big.\Take! response:	When are you going to stop getting your clothes all dirty?
context: What's with your wet pants?\Well...\You aren't going home?\Yeah, I am.\Let's go home.\Your feet are really big.\Take!\When are you going to stop getting your clothes all dirty? response:	It isn't that my ideal is Sunakawa-kun.
context: Well...\You aren't going home?\Yeah, I am.\Let's go home.\Your feet are really big.\Take!\When are you going to stop getting your clothes all dirty?\It isn't that my ideal is Sunakawa-kun. response:	Sunakawa-kun became my ideal.
context: You aren't going home?\Yeah, I am.\Let's go home.\Your feet are really big.\Take!\When are you going to stop getting your clothes all dirty?\It isn't that my ideal is Sunakawa-kun.\Sunakawa-kun became my ideal. response:	What's wrong?
context: Yeah, I am.\Let's go home.\Your feet are really big.\Take!\When are you going to stop getting your clothes all dirty?\It isn't that my ideal is Sunakawa-kun.\Sunakawa-kun became my ideal.\What's wrong? response:	Nothing.
context: Let's go home.\Your feet are really big.\Take!\When are you going to stop getting your clothes all dirty?\It isn't that my ideal is Sunakawa-kun.\Sunakawa-kun became my ideal.\What's wrong?\Nothing. response:	Memories
context: Your feet are really big.\Take!\When are you going to stop getting your clothes all dirty?\It isn't that my ideal is Sunakawa-kun.\Sunakawa-kun became my ideal.\What's wrong?\Nothing.\Memories response:	She's in photos with him a lot more than I expected.
context: Take!\When are you going to stop getting your clothes all dirty?\It isn't that my ideal is Sunakawa-kun.\Sunakawa-kun became my ideal.\What's wrong?\Nothing.\Memories\She's in photos with him a lot more than I expected. response:	Field Trip
context: When are you going to stop getting your clothes all dirty?\It isn't that my ideal is Sunakawa-kun.\Sunakawa-kun became my ideal.\What's wrong?\Nothing.\Memories\She's in photos with him a lot more than I expected.\Field Trip response:	Suna, maybe people
context: It isn't that my ideal is Sunakawa-kun.\Sunakawa-kun became my ideal.\What's wrong?\Nothing.\Memories\She's in photos with him a lot more than I expected.\Field Trip\Suna, maybe people response:	all have a hot, molten core inside their hearts,
context: Sunakawa-kun became my ideal.\What's wrong?\Nothing.\Memories\She's in photos with him a lot more than I expected.\Field Trip\Suna, maybe people\all have a hot, molten core inside their hearts, response:	and they just live their lives, never showing it to the world,
context: What's wrong?\Nothing.\Memories\She's in photos with him a lot more than I expected.\Field Trip\Suna, maybe people\all have a hot, molten core inside their hearts,\and they just live their lives, never showing it to the world, response:	as if nothing is really going on.
context: Nothing.\Memories\She's in photos with him a lot more than I expected.\Field Trip\Suna, maybe people\all have a hot, molten core inside their hearts,\and they just live their lives, never showing it to the world,\as if nothing is really going on. response:	Yeah.
context: Memories\She's in photos with him a lot more than I expected.\Field Trip\Suna, maybe people\all have a hot, molten core inside their hearts,\and they just live their lives, never showing it to the world,\as if nothing is really going on.\Yeah. response:	Though maybe not everyone's like that.
context: She's in photos with him a lot more than I expected.\Field Trip\Suna, maybe people\all have a hot, molten core inside their hearts,\and they just live their lives, never showing it to the world,\as if nothing is really going on.\Yeah.\Though maybe not everyone's like that. response:	Takeo-kun!
context: Field Trip\Suna, maybe people\all have a hot, molten core inside their hearts,\and they just live their lives, never showing it to the world,\as if nothing is really going on.\Yeah.\Though maybe not everyone's like that.\Takeo-kun! response:	You aren't hiding?
context: Suna, maybe people\all have a hot, molten core inside their hearts,\and they just live their lives, never showing it to the world,\as if nothing is really going on.\Yeah.\Though maybe not everyone's like that.\Takeo-kun!\You aren't hiding? response:	We're in the same high school...
context: all have a hot, molten core inside their hearts,\and they just live their lives, never showing it to the world,\as if nothing is really going on.\Yeah.\Though maybe not everyone's like that.\Takeo-kun!\You aren't hiding?\We're in the same high school... response:	Um, I think I'll talk to Sunakawa-kun, after all...
context: and they just live their lives, never showing it to the world,\as if nothing is really going on.\Yeah.\Though maybe not everyone's like that.\Takeo-kun!\You aren't hiding?\We're in the same high school...\Um, I think I'll talk to Sunakawa-kun, after all... response:	I see.
context: as if nothing is really going on.\Yeah.\Though maybe not everyone's like that.\Takeo-kun!\You aren't hiding?\We're in the same high school...\Um, I think I'll talk to Sunakawa-kun, after all...\I see. response:	And I want your help.
context: Yeah.\Though maybe not everyone's like that.\Takeo-kun!\You aren't hiding?\We're in the same high school...\Um, I think I'll talk to Sunakawa-kun, after all...\I see.\And I want your help. response:	Okay.
context: Though maybe not everyone's like that.\Takeo-kun!\You aren't hiding?\We're in the same high school...\Um, I think I'll talk to Sunakawa-kun, after all...\I see.\And I want your help.\Okay. response:	I thought of a way to start a conversation with him as naturally as possible.
context: Takeo-kun!\You aren't hiding?\We're in the same high school...\Um, I think I'll talk to Sunakawa-kun, after all...\I see.\And I want your help.\Okay.\I thought of a way to start a conversation with him as naturally as possible. response:	Will you hear me out?
context: You aren't hiding?\We're in the same high school...\Um, I think I'll talk to Sunakawa-kun, after all...\I see.\And I want your help.\Okay.\I thought of a way to start a conversation with him as naturally as possible.\Will you hear me out? response:	Sure.
context: We're in the same high school...\Um, I think I'll talk to Sunakawa-kun, after all...\I see.\And I want your help.\Okay.\I thought of a way to start a conversation with him as naturally as possible.\Will you hear me out?\Sure. response:	Can we make it
context: Um, I think I'll talk to Sunakawa-kun, after all...\I see.\And I want your help.\Okay.\I thought of a way to start a conversation with him as naturally as possible.\Will you hear me out?\Sure.\Can we make it response:	so that you got lost, and I helped you out?
context: I see.\And I want your help.\Okay.\I thought of a way to start a conversation with him as naturally as possible.\Will you hear me out?\Sure.\Can we make it\so that you got lost, and I helped you out? response:	S-Sure...
context: And I want your help.\Okay.\I thought of a way to start a conversation with him as naturally as possible.\Will you hear me out?\Sure.\Can we make it\so that you got lost, and I helped you out?\S-Sure... response:	That's really roundabout.
context: Okay.\I thought of a way to start a conversation with him as naturally as possible.\Will you hear me out?\Sure.\Can we make it\so that you got lost, and I helped you out?\S-Sure...\That's really roundabout. response:	I don't have the courage to tell him how I feel,
context: I thought of a way to start a conversation with him as naturally as possible.\Will you hear me out?\Sure.\Can we make it\so that you got lost, and I helped you out?\S-Sure...\That's really roundabout.\I don't have the courage to tell him how I feel, response:	but I want him to acknowledge me, just once.
context: Will you hear me out?\Sure.\Can we make it\so that you got lost, and I helped you out?\S-Sure...\That's really roundabout.\I don't have the courage to tell him how I feel,\but I want him to acknowledge me, just once. response:	My world and his have never crossed, so...
context: Sure.\Can we make it\so that you got lost, and I helped you out?\S-Sure...\That's really roundabout.\I don't have the courage to tell him how I feel,\but I want him to acknowledge me, just once.\My world and his have never crossed, so... response:	All right.
context: Can we make it\so that you got lost, and I helped you out?\S-Sure...\That's really roundabout.\I don't have the courage to tell him how I feel,\but I want him to acknowledge me, just once.\My world and his have never crossed, so...\All right. response:	Would tonight, early evening, work?
context: so that you got lost, and I helped you out?\S-Sure...\That's really roundabout.\I don't have the courage to tell him how I feel,\but I want him to acknowledge me, just once.\My world and his have never crossed, so...\All right.\Would tonight, early evening, work? response:	Around once every three days, Suna goes to the convenience store.
context: S-Sure...\That's really roundabout.\I don't have the courage to tell him how I feel,\but I want him to acknowledge me, just once.\My world and his have never crossed, so...\All right.\Would tonight, early evening, work?\Around once every three days, Suna goes to the convenience store. response:	Right, I know.
context: That's really roundabout.\I don't have the courage to tell him how I feel,\but I want him to acknowledge me, just once.\My world and his have never crossed, so...\All right.\Would tonight, early evening, work?\Around once every three days, Suna goes to the convenience store.\Right, I know. response:	Suna!
context: I don't have the courage to tell him how I feel,\but I want him to acknowledge me, just once.\My world and his have never crossed, so...\All right.\Would tonight, early evening, work?\Around once every three days, Suna goes to the convenience store.\Right, I know.\Suna! response:	I got lost at the train station!
context: but I want him to acknowledge me, just once.\My world and his have never crossed, so...\All right.\Would tonight, early evening, work?\Around once every three days, Suna goes to the convenience store.\Right, I know.\Suna!\I got lost at the train station! response:	This nice girl helped me back here.
context: My world and his have never crossed, so...\All right.\Would tonight, early evening, work?\Around once every three days, Suna goes to the convenience store.\Right, I know.\Suna!\I got lost at the train station!\This nice girl helped me back here. response:	She's a very kind girl.
context: All right.\Would tonight, early evening, work?\Around once every three days, Suna goes to the convenience store.\Right, I know.\Suna!\I got lost at the train station!\This nice girl helped me back here.\She's a very kind girl. response:	Girl?
context: Would tonight, early evening, work?\Around once every three days, Suna goes to the convenience store.\Right, I know.\Suna!\I got lost at the train station!\This nice girl helped me back here.\She's a very kind girl.\Girl? response:	You mean Amami-san?
context: Around once every three days, Suna goes to the convenience store.\Right, I know.\Suna!\I got lost at the train station!\This nice girl helped me back here.\She's a very kind girl.\Girl?\You mean Amami-san? response:	We've been in the same school since kindergarten.
context: Right, I know.\Suna!\I got lost at the train station!\This nice girl helped me back here.\She's a very kind girl.\Girl?\You mean Amami-san?\We've been in the same school since kindergarten. response:	O-Oh, I see.
context: Suna!\I got lost at the train station!\This nice girl helped me back here.\She's a very kind girl.\Girl?\You mean Amami-san?\We've been in the same school since kindergarten.\O-Oh, I see. response:	I love you.
context: I got lost at the train station!\This nice girl helped me back here.\She's a very kind girl.\Girl?\You mean Amami-san?\We've been in the same school since kindergarten.\O-Oh, I see.\I love you. response:	I love you, Sunakawa-kun!
context: This nice girl helped me back here.\She's a very kind girl.\Girl?\You mean Amami-san?\We've been in the same school since kindergarten.\O-Oh, I see.\I love you.\I love you, Sunakawa-kun! response:	I don't need anything, so please like me!
context: She's a very kind girl.\Girl?\You mean Amami-san?\We've been in the same school since kindergarten.\O-Oh, I see.\I love you.\I love you, Sunakawa-kun!\I don't need anything, so please like me! response:	Hey!
context: Girl?\You mean Amami-san?\We've been in the same school since kindergarten.\O-Oh, I see.\I love you.\I love you, Sunakawa-kun!\I don't need anything, so please like me!\Hey! response:	Love
context: You mean Amami-san?\We've been in the same school since kindergarten.\O-Oh, I see.\I love you.\I love you, Sunakawa-kun!\I don't need anything, so please like me!\Hey!\Love response:	Longing
context: We've been in the same school since kindergarten.\O-Oh, I see.\I love you.\I love you, Sunakawa-kun!\I don't need anything, so please like me!\Hey!\Love\Longing response:	I thought you didn't have the courage to tell him how you feel!
context: O-Oh, I see.\I love you.\I love you, Sunakawa-kun!\I don't need anything, so please like me!\Hey!\Love\Longing\I thought you didn't have the courage to tell him how you feel! response:	Well, not that it matters...
context: I love you.\I love you, Sunakawa-kun!\I don't need anything, so please like me!\Hey!\Love\Longing\I thought you didn't have the courage to tell him how you feel!\Well, not that it matters... response:	But why are you running away?
context: I love you, Sunakawa-kun!\I don't need anything, so please like me!\Hey!\Love\Longing\I thought you didn't have the courage to tell him how you feel!\Well, not that it matters...\But why are you running away? response:	Watch out!
context: I don't need anything, so please like me!\Hey!\Love\Longing\I thought you didn't have the courage to tell him how you feel!\Well, not that it matters...\But why are you running away?\Watch out! response:	Don't give me that!
context: Hey!\Love\Longing\I thought you didn't have the courage to tell him how you feel!\Well, not that it matters...\But why are you running away?\Watch out!\Don't give me that! response:	I thought you were going to fall.
context: Love\Longing\I thought you didn't have the courage to tell him how you feel!\Well, not that it matters...\But why are you running away?\Watch out!\Don't give me that!\I thought you were going to fall. response:	I wish I had...
context: Longing\I thought you didn't have the courage to tell him how you feel!\Well, not that it matters...\But why are you running away?\Watch out!\Don't give me that!\I thought you were going to fall.\I wish I had... response:	I want to fall in and cool my head!
context: I thought you didn't have the courage to tell him how you feel!\Well, not that it matters...\But why are you running away?\Watch out!\Don't give me that!\I thought you were going to fall.\I wish I had...\I want to fall in and cool my head! response:	It isn't that kind of river!
context: Well, not that it matters...\But why are you running away?\Watch out!\Don't give me that!\I thought you were going to fall.\I wish I had...\I want to fall in and cool my head!\It isn't that kind of river! response:	I wasn't planning on telling him...
context: But why are you running away?\Watch out!\Don't give me that!\I thought you were going to fall.\I wish I had...\I want to fall in and cool my head!\It isn't that kind of river!\I wasn't planning on telling him... response:	Yeah, I was shocked, too.
