context: Hey, your feet stopped short! response:	What happened to your serving and receiving reflexes from yesterday?
context: Y-Yes...\He sure doesn't like admitting it.\But if he was your most formidable opponent,\now he's your most formidable ally.\I don't think you're essential to winning.\All right, let's do some receiving.\All right.\Thanks for taking out the trash. response:	One, two, three, four.
context: He sure doesn't like admitting it.\But if he was your most formidable opponent,\now he's your most formidable ally.\I don't think you're essential to winning.\All right, let's do some receiving.\All right.\Thanks for taking out the trash.\One, two, three, four. response:	Five, six, seven, eight.
context: But if he was your most formidable opponent,\now he's your most formidable ally.\I don't think you're essential to winning.\All right, let's do some receiving.\All right.\Thanks for taking out the trash.\One, two, three, four.\Five, six, seven, eight. response:	Two, two, three, four.
context: now he's your most formidable ally.\I don't think you're essential to winning.\All right, let's do some receiving.\All right.\Thanks for taking out the trash.\One, two, three, four.\Five, six, seven, eight.\Two, two, three, four. response:	Five, six, seven, eight.
context: I don't think you're essential to winning.\All right, let's do some receiving.\All right.\Thanks for taking out the trash.\One, two, three, four.\Five, six, seven, eight.\Two, two, three, four.\Five, six, seven, eight. response:	All right. One, two, three, four.
context: All right, let's do some receiving.\All right.\Thanks for taking out the trash.\One, two, three, four.\Five, six, seven, eight.\Two, two, three, four.\Five, six, seven, eight.\All right. One, two, three, four. response:	Five, six, seven, eight.
context: All right.\Thanks for taking out the trash.\One, two, three, four.\Five, six, seven, eight.\Two, two, three, four.\Five, six, seven, eight.\All right. One, two, three, four.\Five, six, seven, eight. response:	Two, two, three, four.
context: Thanks for taking out the trash.\One, two, three, four.\Five, six, seven, eight.\Two, two, three, four.\Five, six, seven, eight.\All right. One, two, three, four.\Five, six, seven, eight.\Two, two, three, four. response:	Five, six, seven, eight.
context: One, two, three, four.\Five, six, seven, eight.\Two, two, three, four.\Five, six, seven, eight.\All right. One, two, three, four.\Five, six, seven, eight.\Two, two, three, four.\Five, six, seven, eight. response:	Let's go.
context: Five, six, seven, eight.\Two, two, three, four.\Five, six, seven, eight.\All right. One, two, three, four.\Five, six, seven, eight.\Two, two, three, four.\Five, six, seven, eight.\Let's go. response:	Hey. Where are you going?
context: Two, two, three, four.\Five, six, seven, eight.\All right. One, two, three, four.\Five, six, seven, eight.\Two, two, three, four.\Five, six, seven, eight.\Let's go.\Hey. Where are you going? response:	We can't handle the ball freely in there.
context: Five, six, seven, eight.\All right. One, two, three, four.\Five, six, seven, eight.\Two, two, three, four.\Five, six, seven, eight.\Let's go.\Hey. Where are you going?\We can't handle the ball freely in there. response:	I found a place we can practice.
context: All right. One, two, three, four.\Five, six, seven, eight.\Two, two, three, four.\Five, six, seven, eight.\Let's go.\Hey. Where are you going?\We can't handle the ball freely in there.\I found a place we can practice. response:	Where?
context: Five, six, seven, eight.\Two, two, three, four.\Five, six, seven, eight.\Let's go.\Hey. Where are you going?\We can't handle the ball freely in there.\I found a place we can practice.\Where? response:	Good job, Kageyama! Well done.
context: Two, two, three, four.\Five, six, seven, eight.\Let's go.\Hey. Where are you going?\We can't handle the ball freely in there.\I found a place we can practice.\Where?\Good job, Kageyama! Well done. response:	Don't be condescending.
context: Five, six, seven, eight.\Let's go.\Hey. Where are you going?\We can't handle the ball freely in there.\I found a place we can practice.\Where?\Good job, Kageyama! Well done.\Don't be condescending. response:	Don't get mad at every little thing.
context: Let's go.\Hey. Where are you going?\We can't handle the ball freely in there.\I found a place we can practice.\Where?\Good job, Kageyama! Well done.\Don't be condescending.\Don't get mad at every little thing. response:	You guys sound sleepy.
context: Hey. Where are you going?\We can't handle the ball freely in there.\I found a place we can practice.\Where?\Good job, Kageyama! Well done.\Don't be condescending.\Don't get mad at every little thing.\You guys sound sleepy. response:	Oh, y-you think so? Maybe I studied too much.
context: We can't handle the ball freely in there.\I found a place we can practice.\Where?\Good job, Kageyama! Well done.\Don't be condescending.\Don't get mad at every little thing.\You guys sound sleepy.\Oh, y-you think so? Maybe I studied too much. response:	M-Me, too. I studied...
context: I found a place we can practice.\Where?\Good job, Kageyama! Well done.\Don't be condescending.\Don't get mad at every little thing.\You guys sound sleepy.\Oh, y-you think so? Maybe I studied too much.\M-Me, too. I studied... response:	Nobody will buy that from you!
context: Where?\Good job, Kageyama! Well done.\Don't be condescending.\Don't get mad at every little thing.\You guys sound sleepy.\Oh, y-you think so? Maybe I studied too much.\M-Me, too. I studied...\Nobody will buy that from you! response:	Huh?
context: Good job, Kageyama! Well done.\Don't be condescending.\Don't get mad at every little thing.\You guys sound sleepy.\Oh, y-you think so? Maybe I studied too much.\M-Me, too. I studied...\Nobody will buy that from you!\Huh? response:	Excuse me.
context: Don't be condescending.\Don't get mad at every little thing.\You guys sound sleepy.\Oh, y-you think so? Maybe I studied too much.\M-Me, too. I studied...\Nobody will buy that from you!\Huh?\Excuse me. response:	Hey, you made it.
context: Don't get mad at every little thing.\You guys sound sleepy.\Oh, y-you think so? Maybe I studied too much.\M-Me, too. I studied...\Nobody will buy that from you!\Huh?\Excuse me.\Hey, you made it. response:	These are the first-year students who'll be joining us.
context: You guys sound sleepy.\Oh, y-you think so? Maybe I studied too much.\M-Me, too. I studied...\Nobody will buy that from you!\Huh?\Excuse me.\Hey, you made it.\These are the first-year students who'll be joining us. response:	New club members were supposed to be introduced next week,
context: Oh, y-you think so? Maybe I studied too much.\M-Me, too. I studied...\Nobody will buy that from you!\Huh?\Excuse me.\Hey, you made it.\These are the first-year students who'll be joining us.\New club members were supposed to be introduced next week, response:	but we're having a match this Saturday,
context: M-Me, too. I studied...\Nobody will buy that from you!\Huh?\Excuse me.\Hey, you made it.\These are the first-year students who'll be joining us.\New club members were supposed to be introduced next week,\but we're having a match this Saturday, response:	They're big.
context: Nobody will buy that from you!\Huh?\Excuse me.\Hey, you made it.\These are the first-year students who'll be joining us.\New club members were supposed to be introduced next week,\but we're having a match this Saturday,\They're big. response:	that'll be the true test of your skills.
context: Huh?\Excuse me.\Hey, you made it.\These are the first-year students who'll be joining us.\New club members were supposed to be introduced next week,\but we're having a match this Saturday,\They're big.\that'll be the true test of your skills. response:	Yeah.
context: Excuse me.\Hey, you made it.\These are the first-year students who'll be joining us.\New club members were supposed to be introduced next week,\but we're having a match this Saturday,\They're big.\that'll be the true test of your skills.\Yeah. response:	Pleased to meet you.
context: Hey, you made it.\These are the first-year students who'll be joining us.\New club members were supposed to be introduced next week,\but we're having a match this Saturday,\They're big.\that'll be the true test of your skills.\Yeah.\Pleased to meet you. response:	Fight...
context: These are the first-year students who'll be joining us.\New club members were supposed to be introduced next week,\but we're having a match this Saturday,\They're big.\that'll be the true test of your skills.\Yeah.\Pleased to meet you.\Fight... response:	Don't just use your hands. Move your feet.
context: New club members were supposed to be introduced next week,\but we're having a match this Saturday,\They're big.\that'll be the true test of your skills.\Yeah.\Pleased to meet you.\Fight...\Don't just use your hands. Move your feet. response:	Come on. You need to concentrate.
context: but we're having a match this Saturday,\They're big.\that'll be the true test of your skills.\Yeah.\Pleased to meet you.\Fight...\Don't just use your hands. Move your feet.\Come on. You need to concentrate. response:	I know that.
context: They're big.\that'll be the true test of your skills.\Yeah.\Pleased to meet you.\Fight...\Don't just use your hands. Move your feet.\Come on. You need to concentrate.\I know that. response:	We'll win this Saturday, be allowed into the gym,
context: that'll be the true test of your skills.\Yeah.\Pleased to meet you.\Fight...\Don't just use your hands. Move your feet.\Come on. You need to concentrate.\I know that.\We'll win this Saturday, be allowed into the gym, response:	and join this club for real.
context: Yeah.\Pleased to meet you.\Fight...\Don't just use your hands. Move your feet.\Come on. You need to concentrate.\I know that.\We'll win this Saturday, be allowed into the gym,\and join this club for real. response:	But you, on the other hand, can't play setter unless you win.
context: Pleased to meet you.\Fight...\Don't just use your hands. Move your feet.\Come on. You need to concentrate.\I know that.\We'll win this Saturday, be allowed into the gym,\and join this club for real.\But you, on the other hand, can't play setter unless you win. response:	If you know that, then concentrate!
context: Fight...\Don't just use your hands. Move your feet.\Come on. You need to concentrate.\I know that.\We'll win this Saturday, be allowed into the gym,\and join this club for real.\But you, on the other hand, can't play setter unless you win.\If you know that, then concentrate! response:	I said to take it easy when we practice outside.
context: Don't just use your hands. Move your feet.\Come on. You need to concentrate.\I know that.\We'll win this Saturday, be allowed into the gym,\and join this club for real.\But you, on the other hand, can't play setter unless you win.\If you know that, then concentrate!\I said to take it easy when we practice outside. response:	All you have to do is receive properly.
context: Come on. You need to concentrate.\I know that.\We'll win this Saturday, be allowed into the gym,\and join this club for real.\But you, on the other hand, can't play setter unless you win.\If you know that, then concentrate!\I said to take it easy when we practice outside.\All you have to do is receive properly. response:	Whatever, king.
context: I know that.\We'll win this Saturday, be allowed into the gym,\and join this club for real.\But you, on the other hand, can't play setter unless you win.\If you know that, then concentrate!\I said to take it easy when we practice outside.\All you have to do is receive properly.\Whatever, king. response:	Hey.
context: We'll win this Saturday, be allowed into the gym,\and join this club for real.\But you, on the other hand, can't play setter unless you win.\If you know that, then concentrate!\I said to take it easy when we practice outside.\All you have to do is receive properly.\Whatever, king.\Hey. response:	Crap.
context: and join this club for real.\But you, on the other hand, can't play setter unless you win.\If you know that, then concentrate!\I said to take it easy when we practice outside.\All you have to do is receive properly.\Whatever, king.\Hey.\Crap. response:	What's the matter with him?
context: But you, on the other hand, can't play setter unless you win.\If you know that, then concentrate!\I said to take it easy when we practice outside.\All you have to do is receive properly.\Whatever, king.\Hey.\Crap.\What's the matter with him? response:	He gets mad every time I call him king.
context: If you know that, then concentrate!\I said to take it easy when we practice outside.\All you have to do is receive properly.\Whatever, king.\Hey.\Crap.\What's the matter with him?\He gets mad every time I call him king. response:	It's a cool nickname, you know.
context: I said to take it easy when we practice outside.\All you have to do is receive properly.\Whatever, king.\Hey.\Crap.\What's the matter with him?\He gets mad every time I call him king.\It's a cool nickname, you know. response:	I wonder if I could have a cool nickname, too.
context: All you have to do is receive properly.\Whatever, king.\Hey.\Crap.\What's the matter with him?\He gets mad every time I call him king.\It's a cool nickname, you know.\I wonder if I could have a cool nickname, too. response:	Like little giant or something.
context: Whatever, king.\Hey.\Crap.\What's the matter with him?\He gets mad every time I call him king.\It's a cool nickname, you know.\I wonder if I could have a cool nickname, too.\Like little giant or something. response:	Wind of a fast wind. That has wind twice...
context: Hey.\Crap.\What's the matter with him?\He gets mad every time I call him king.\It's a cool nickname, you know.\I wonder if I could have a cool nickname, too.\Like little giant or something.\Wind of a fast wind. That has wind twice... response:	The forest's That doesn't work.
context: Crap.\What's the matter with him?\He gets mad every time I call him king.\It's a cool nickname, you know.\I wonder if I could have a cool nickname, too.\Like little giant or something.\Wind of a fast wind. That has wind twice...\The forest's That doesn't work. response:	The jet black Um...
context: What's the matter with him?\He gets mad every time I call him king.\It's a cool nickname, you know.\I wonder if I could have a cool nickname, too.\Like little giant or something.\Wind of a fast wind. That has wind twice...\The forest's That doesn't work.\The jet black Um... response:	The one who descended from the northeast
context: He gets mad every time I call him king.\It's a cool nickname, you know.\I wonder if I could have a cool nickname, too.\Like little giant or something.\Wind of a fast wind. That has wind twice...\The forest's That doesn't work.\The jet black Um...\The one who descended from the northeast response:	Hey, let's get back to it.
context: It's a cool nickname, you know.\I wonder if I could have a cool nickname, too.\Like little giant or something.\Wind of a fast wind. That has wind twice...\The forest's That doesn't work.\The jet black Um...\The one who descended from the northeast\Hey, let's get back to it. response:	I wonder what our first-year opponents are like.
context: I wonder if I could have a cool nickname, too.\Like little giant or something.\Wind of a fast wind. That has wind twice...\The forest's That doesn't work.\The jet black Um...\The one who descended from the northeast\Hey, let's get back to it.\I wonder what our first-year opponents are like. response:	They'll be better than playing against our senpais.
context: Like little giant or something.\Wind of a fast wind. That has wind twice...\The forest's That doesn't work.\The jet black Um...\The one who descended from the northeast\Hey, let's get back to it.\I wonder what our first-year opponents are like.\They'll be better than playing against our senpais. response:	Who cares what they're like?
context: Wind of a fast wind. That has wind twice...\The forest's That doesn't work.\The jet black Um...\The one who descended from the northeast\Hey, let's get back to it.\I wonder what our first-year opponents are like.\They'll be better than playing against our senpais.\Who cares what they're like? response:	There's no choice for me but to win.
context: The forest's That doesn't work.\The jet black Um...\The one who descended from the northeast\Hey, let's get back to it.\I wonder what our first-year opponents are like.\They'll be better than playing against our senpais.\Who cares what they're like?\There's no choice for me but to win. response:	That's what I was going to say.
context: The jet black Um...\The one who descended from the northeast\Hey, let's get back to it.\I wonder what our first-year opponents are like.\They'll be better than playing against our senpais.\Who cares what they're like?\There's no choice for me but to win.\That's what I was going to say. response:	Don't cluck your tongue.
context: The one who descended from the northeast\Hey, let's get back to it.\I wonder what our first-year opponents are like.\They'll be better than playing against our senpais.\Who cares what they're like?\There's no choice for me but to win.\That's what I was going to say.\Don't cluck your tongue. response:	Let's do this.
context: Hey, let's get back to it.\I wonder what our first-year opponents are like.\They'll be better than playing against our senpais.\Who cares what they're like?\There's no choice for me but to win.\That's what I was going to say.\Don't cluck your tongue.\Let's do this. response:	Hey. You don't receive with your face.
context: I wonder what our first-year opponents are like.\They'll be better than playing against our senpais.\Who cares what they're like?\There's no choice for me but to win.\That's what I was going to say.\Don't cluck your tongue.\Let's do this.\Hey. You don't receive with your face. response:	There's something I don't like about those newbie first-years...
context: They'll be better than playing against our senpais.\Who cares what they're like?\There's no choice for me but to win.\That's what I was going to say.\Don't cluck your tongue.\Let's do this.\Hey. You don't receive with your face.\There's something I don't like about those newbie first-years... response:	You don't like anyone you meet for the first time.
context: Who cares what they're like?\There's no choice for me but to win.\That's what I was going to say.\Don't cluck your tongue.\Let's do this.\Hey. You don't receive with your face.\There's something I don't like about those newbie first-years...\You don't like anyone you meet for the first time. response:	You know. That's your personality, right?
context: There's no choice for me but to win.\That's what I was going to say.\Don't cluck your tongue.\Let's do this.\Hey. You don't receive with your face.\There's something I don't like about those newbie first-years...\You don't like anyone you meet for the first time.\You know. That's your personality, right? response:	My personality?
context: That's what I was going to say.\Don't cluck your tongue.\Let's do this.\Hey. You don't receive with your face.\There's something I don't like about those newbie first-years...\You don't like anyone you meet for the first time.\You know. That's your personality, right?\My personality? response:	But those guys sure were beyond expectations.
context: Don't cluck your tongue.\Let's do this.\Hey. You don't receive with your face.\There's something I don't like about those newbie first-years...\You don't like anyone you meet for the first time.\You know. That's your personality, right?\My personality?\But those guys sure were beyond expectations. response:	Are you going to be okay in the match on Saturday?
context: Let's do this.\Hey. You don't receive with your face.\There's something I don't like about those newbie first-years...\You don't like anyone you meet for the first time.\You know. That's your personality, right?\My personality?\But those guys sure were beyond expectations.\Are you going to be okay in the match on Saturday? response:	O-Of course. I'm on the team, after all.
context: Hey. You don't receive with your face.\There's something I don't like about those newbie first-years...\You don't like anyone you meet for the first time.\You know. That's your personality, right?\My personality?\But those guys sure were beyond expectations.\Are you going to be okay in the match on Saturday?\O-Of course. I'm on the team, after all. response:	That's true. There's Kageyama, too.
context: There's something I don't like about those newbie first-years...\You don't like anyone you meet for the first time.\You know. That's your personality, right?\My personality?\But those guys sure were beyond expectations.\Are you going to be okay in the match on Saturday?\O-Of course. I'm on the team, after all.\That's true. There's Kageyama, too. response:	Equipment Room
context: You don't like anyone you meet for the first time.\You know. That's your personality, right?\My personality?\But those guys sure were beyond expectations.\Are you going to be okay in the match on Saturday?\O-Of course. I'm on the team, after all.\That's true. There's Kageyama, too.\Equipment Room response:	But don't you think Kageyama's mellowed out since junior high?
context: You know. That's your personality, right?\My personality?\But those guys sure were beyond expectations.\Are you going to be okay in the match on Saturday?\O-Of course. I'm on the team, after all.\That's true. There's Kageyama, too.\Equipment Room\But don't you think Kageyama's mellowed out since junior high? response:	What? How has he mellowed out at all?
context: My personality?\But those guys sure were beyond expectations.\Are you going to be okay in the match on Saturday?\O-Of course. I'm on the team, after all.\That's true. There's Kageyama, too.\Equipment Room\But don't you think Kageyama's mellowed out since junior high?\What? How has he mellowed out at all? response:	The guy's cocky as shit.
context: But those guys sure were beyond expectations.\Are you going to be okay in the match on Saturday?\O-Of course. I'm on the team, after all.\That's true. There's Kageyama, too.\Equipment Room\But don't you think Kageyama's mellowed out since junior high?\What? How has he mellowed out at all?\The guy's cocky as shit. response:	Well... it's like when he was in junior high,
context: Are you going to be okay in the match on Saturday?\O-Of course. I'm on the team, after all.\That's true. There's Kageyama, too.\Equipment Room\But don't you think Kageyama's mellowed out since junior high?\What? How has he mellowed out at all?\The guy's cocky as shit.\Well... it's like when he was in junior high, response:	he had this unwavering confidence.
context: O-Of course. I'm on the team, after all.\That's true. There's Kageyama, too.\Equipment Room\But don't you think Kageyama's mellowed out since junior high?\What? How has he mellowed out at all?\The guy's cocky as shit.\Well... it's like when he was in junior high,\he had this unwavering confidence. response:	Like he was an unprecedented phenomenon or something.
context: That's true. There's Kageyama, too.\Equipment Room\But don't you think Kageyama's mellowed out since junior high?\What? How has he mellowed out at all?\The guy's cocky as shit.\Well... it's like when he was in junior high,\he had this unwavering confidence.\Like he was an unprecedented phenomenon or something. response:	Either way he's cocky as hell.
context: Equipment Room\But don't you think Kageyama's mellowed out since junior high?\What? How has he mellowed out at all?\The guy's cocky as shit.\Well... it's like when he was in junior high,\he had this unwavering confidence.\Like he was an unprecedented phenomenon or something.\Either way he's cocky as hell. response:	Sorry, sorry.
context: But don't you think Kageyama's mellowed out since junior high?\What? How has he mellowed out at all?\The guy's cocky as shit.\Well... it's like when he was in junior high,\he had this unwavering confidence.\Like he was an unprecedented phenomenon or something.\Either way he's cocky as hell.\Sorry, sorry. response:	I shouldn't have asked you that.
context: What? How has he mellowed out at all?\The guy's cocky as shit.\Well... it's like when he was in junior high,\he had this unwavering confidence.\Like he was an unprecedented phenomenon or something.\Either way he's cocky as hell.\Sorry, sorry.\I shouldn't have asked you that. response:	Huh?
context: The guy's cocky as shit.\Well... it's like when he was in junior high,\he had this unwavering confidence.\Like he was an unprecedented phenomenon or something.\Either way he's cocky as hell.\Sorry, sorry.\I shouldn't have asked you that.\Huh? response:	One...
context: Well... it's like when he was in junior high,\he had this unwavering confidence.\Like he was an unprecedented phenomenon or something.\Either way he's cocky as hell.\Sorry, sorry.\I shouldn't have asked you that.\Huh?\One... response:	One more.
context: he had this unwavering confidence.\Like he was an unprecedented phenomenon or something.\Either way he's cocky as hell.\Sorry, sorry.\I shouldn't have asked you that.\Huh?\One...\One more. response:	Here goes.
context: Like he was an unprecedented phenomenon or something.\Either way he's cocky as hell.\Sorry, sorry.\I shouldn't have asked you that.\Huh?\One...\One more.\Here goes. response:	Yeah.
context: Either way he's cocky as hell.\Sorry, sorry.\I shouldn't have asked you that.\Huh?\One...\One more.\Here goes.\Yeah. response:	Go.
context: Sorry, sorry.\I shouldn't have asked you that.\Huh?\One...\One more.\Here goes.\Yeah.\Go. response:	The back.
context: I shouldn't have asked you that.\Huh?\One...\One more.\Here goes.\Yeah.\Go.\The back. response:	Got it.
context: Huh?\One...\One more.\Here goes.\Yeah.\Go.\The back.\Got it. response:	Wow, they're really doing this outside.
context: One...\One more.\Here goes.\Yeah.\Go.\The back.\Got it.\Wow, they're really doing this outside. response:	Are you the first-years that stirred up trouble on the first day?
context: One more.\Here goes.\Yeah.\Go.\The back.\Got it.\Wow, they're really doing this outside.\Are you the first-years that stirred up trouble on the first day? response:	Tee-shirts? Chilly.
context: Here goes.\Yeah.\Go.\The back.\Got it.\Wow, they're really doing this outside.\Are you the first-years that stirred up trouble on the first day?\Tee-shirts? Chilly. response:	H-Huge...
context: Yeah.\Go.\The back.\Got it.\Wow, they're really doing this outside.\Are you the first-years that stirred up trouble on the first day?\Tee-shirts? Chilly.\H-Huge... response:	Give it back.
context: Go.\The back.\Got it.\Wow, they're really doing this outside.\Are you the first-years that stirred up trouble on the first day?\Tee-shirts? Chilly.\H-Huge...\Give it back. response:	Isn't it time for elementary school boys to go home?
context: The back.\Got it.\Wow, they're really doing this outside.\Are you the first-years that stirred up trouble on the first day?\Tee-shirts? Chilly.\H-Huge...\Give it back.\Isn't it time for elementary school boys to go home? response:	Who are you guys anyway?
context: Got it.\Wow, they're really doing this outside.\Are you the first-years that stirred up trouble on the first day?\Tee-shirts? Chilly.\H-Huge...\Give it back.\Isn't it time for elementary school boys to go home?\Who are you guys anyway? response:	You're the other first-years joining the club?
context: Wow, they're really doing this outside.\Are you the first-years that stirred up trouble on the first day?\Tee-shirts? Chilly.\H-Huge...\Give it back.\Isn't it time for elementary school boys to go home?\Who are you guys anyway?\You're the other first-years joining the club? response:	Hey.
context: Are you the first-years that stirred up trouble on the first day?\Tee-shirts? Chilly.\H-Huge...\Give it back.\Isn't it time for elementary school boys to go home?\Who are you guys anyway?\You're the other first-years joining the club?\Hey. response:	He's got height...
context: Tee-shirts? Chilly.\H-Huge...\Give it back.\Isn't it time for elementary school boys to go home?\Who are you guys anyway?\You're the other first-years joining the club?\Hey.\He's got height... response:	I was talking here.
context: H-Huge...\Give it back.\Isn't it time for elementary school boys to go home?\Who are you guys anyway?\You're the other first-years joining the club?\Hey.\He's got height...\I was talking here. response:	You, how tall are you?
context: Give it back.\Isn't it time for elementary school boys to go home?\Who are you guys anyway?\You're the other first-years joining the club?\Hey.\He's got height...\I was talking here.\You, how tall are you? response:	Hey.
context: Isn't it time for elementary school boys to go home?\Who are you guys anyway?\You're the other first-years joining the club?\Hey.\He's got height...\I was talking here.\You, how tall are you?\Hey. response:	Tsookie is 188 cm.
context: Who are you guys anyway?\You're the other first-years joining the club?\Hey.\He's got height...\I was talking here.\You, how tall are you?\Hey.\Tsookie is 188 cm. response:	He'll be 190 soon.
context: You're the other first-years joining the club?\Hey.\He's got height...\I was talking here.\You, how tall are you?\Hey.\Tsookie is 188 cm.\He'll be 190 soon. response:	190?
context: Hey.\He's got height...\I was talking here.\You, how tall are you?\Hey.\Tsookie is 188 cm.\He'll be 190 soon.\190? response:	What are you bragging about, Yamaguchi?
context: He's got height...\I was talking here.\You, how tall are you?\Hey.\Tsookie is 188 cm.\He'll be 190 soon.\190?\What are you bragging about, Yamaguchi? response:	Sorry, Tsookie.
context: I was talking here.\You, how tall are you?\Hey.\Tsookie is 188 cm.\He'll be 190 soon.\190?\What are you bragging about, Yamaguchi?\Sorry, Tsookie. response:	You're Kageyama of Kitagawa Daiichi, aren't you?
context: You, how tall are you?\Hey.\Tsookie is 188 cm.\He'll be 190 soon.\190?\What are you bragging about, Yamaguchi?\Sorry, Tsookie.\You're Kageyama of Kitagawa Daiichi, aren't you? response:	What's an elite like you doing in Karasuno?
context: Hey.\Tsookie is 188 cm.\He'll be 190 soon.\190?\What are you bragging about, Yamaguchi?\Sorry, Tsookie.\You're Kageyama of Kitagawa Daiichi, aren't you?\What's an elite like you doing in Karasuno? response:	Huh?
context: Tsookie is 188 cm.\He'll be 190 soon.\190?\What are you bragging about, Yamaguchi?\Sorry, Tsookie.\You're Kageyama of Kitagawa Daiichi, aren't you?\What's an elite like you doing in Karasuno?\Huh? response:	Hey.
context: He'll be 190 soon.\190?\What are you bragging about, Yamaguchi?\Sorry, Tsookie.\You're Kageyama of Kitagawa Daiichi, aren't you?\What's an elite like you doing in Karasuno?\Huh?\Hey. response:	We won't lose this Saturday, you hear me?
context: 190?\What are you bragging about, Yamaguchi?\Sorry, Tsookie.\You're Kageyama of Kitagawa Daiichi, aren't you?\What's an elite like you doing in Karasuno?\Huh?\Hey.\We won't lose this Saturday, you hear me? response:	Oh, I see.
context: What are you bragging about, Yamaguchi?\Sorry, Tsookie.\You're Kageyama of Kitagawa Daiichi, aren't you?\What's an elite like you doing in Karasuno?\Huh?\Hey.\We won't lose this Saturday, you hear me?\Oh, I see. response:	It might be an important match for you two,
context: Sorry, Tsookie.\You're Kageyama of Kitagawa Daiichi, aren't you?\What's an elite like you doing in Karasuno?\Huh?\Hey.\We won't lose this Saturday, you hear me?\Oh, I see.\It might be an important match for you two, response:	but it doesn't matter to me at all.
context: You're Kageyama of Kitagawa Daiichi, aren't you?\What's an elite like you doing in Karasuno?\Huh?\Hey.\We won't lose this Saturday, you hear me?\Oh, I see.\It might be an important match for you two,\but it doesn't matter to me at all. response:	I'm not worried about winning or losing, so if you two really need to win,
context: What's an elite like you doing in Karasuno?\Huh?\Hey.\We won't lose this Saturday, you hear me?\Oh, I see.\It might be an important match for you two,\but it doesn't matter to me at all.\I'm not worried about winning or losing, so if you two really need to win, response:	I can go easy on you if you like.
context: Huh?\Hey.\We won't lose this Saturday, you hear me?\Oh, I see.\It might be an important match for you two,\but it doesn't matter to me at all.\I'm not worried about winning or losing, so if you two really need to win,\I can go easy on you if you like. response:	What?
context: Hey.\We won't lose this Saturday, you hear me?\Oh, I see.\It might be an important match for you two,\but it doesn't matter to me at all.\I'm not worried about winning or losing, so if you two really need to win,\I can go easy on you if you like.\What? response:	Whether you go easy or give it your all, the bottom line is I will win.
context: We won't lose this Saturday, you hear me?\Oh, I see.\It might be an important match for you two,\but it doesn't matter to me at all.\I'm not worried about winning or losing, so if you two really need to win,\I can go easy on you if you like.\What?\Whether you go easy or give it your all, the bottom line is I will win. response:	You mean we.
context: Oh, I see.\It might be an important match for you two,\but it doesn't matter to me at all.\I'm not worried about winning or losing, so if you two really need to win,\I can go easy on you if you like.\What?\Whether you go easy or give it your all, the bottom line is I will win.\You mean we. response:	Amazing confidence. I expect nothing less of the king.
context: It might be an important match for you two,\but it doesn't matter to me at all.\I'm not worried about winning or losing, so if you two really need to win,\I can go easy on you if you like.\What?\Whether you go easy or give it your all, the bottom line is I will win.\You mean we.\Amazing confidence. I expect nothing less of the king. response:	Hey. Don't call me that.
context: but it doesn't matter to me at all.\I'm not worried about winning or losing, so if you two really need to win,\I can go easy on you if you like.\What?\Whether you go easy or give it your all, the bottom line is I will win.\You mean we.\Amazing confidence. I expect nothing less of the king.\Hey. Don't call me that. response:	So it is true.
context: I'm not worried about winning or losing, so if you two really need to win,\I can go easy on you if you like.\What?\Whether you go easy or give it your all, the bottom line is I will win.\You mean we.\Amazing confidence. I expect nothing less of the king.\Hey. Don't call me that.\So it is true. response:	What?
context: I can go easy on you if you like.\What?\Whether you go easy or give it your all, the bottom line is I will win.\You mean we.\Amazing confidence. I expect nothing less of the king.\Hey. Don't call me that.\So it is true.\What? response:	The rumor that he loses it when he's called the king of the court.
context: What?\Whether you go easy or give it your all, the bottom line is I will win.\You mean we.\Amazing confidence. I expect nothing less of the king.\Hey. Don't call me that.\So it is true.\What?\The rumor that he loses it when he's called the king of the court. response:	What's wrong with king? It's cool.
context: Whether you go easy or give it your all, the bottom line is I will win.\You mean we.\Amazing confidence. I expect nothing less of the king.\Hey. Don't call me that.\So it is true.\What?\The rumor that he loses it when he's called the king of the court.\What's wrong with king? It's cool. response:	I think it suits you perfectly, king.
context: You mean we.\Amazing confidence. I expect nothing less of the king.\Hey. Don't call me that.\So it is true.\What?\The rumor that he loses it when he's called the king of the court.\What's wrong with king? It's cool.\I think it suits you perfectly, king. response:	This is out of my hands.
context: Amazing confidence. I expect nothing less of the king.\Hey. Don't call me that.\So it is true.\What?\The rumor that he loses it when he's called the king of the court.\What's wrong with king? It's cool.\I think it suits you perfectly, king.\This is out of my hands. response:	What do you want from me, dude?
context: Hey. Don't call me that.\So it is true.\What?\The rumor that he loses it when he's called the king of the court.\What's wrong with king? It's cool.\I think it suits you perfectly, king.\This is out of my hands.\What do you want from me, dude? response:	I watched the prefecture preliminary tournament.
context: So it is true.\What?\The rumor that he loses it when he's called the king of the court.\What's wrong with king? It's cool.\I think it suits you perfectly, king.\This is out of my hands.\What do you want from me, dude?\I watched the prefecture preliminary tournament. response:	That was some egocentric tossing.
context: What?\The rumor that he loses it when he's called the king of the court.\What's wrong with king? It's cool.\I think it suits you perfectly, king.\This is out of my hands.\What do you want from me, dude?\I watched the prefecture preliminary tournament.\That was some egocentric tossing. response:	I can't believe your teammates tolerated it, because I just couldn't.
