context: Dang... I finally climbed up the ladder enough to get a TV appearance. response:	These greenrooms sure do make you restless, though.
context: Thank you very much!\I could barely tell he was acting!\Sci-fi researcher, Mogi-san, what did you think?\I'd like to ask that gentleman over there\what all that exorcism crap was about.\What were you doing to a spirit that didn't even exist?\Reigen-sensei, I'm sure our viewers are wondering that as well.\Could it be... that you actually don't have spiritual powers? response:	Come, now. Let's just say this is how he works.
context: I could barely tell he was acting!\Sci-fi researcher, Mogi-san, what did you think?\I'd like to ask that gentleman over there\what all that exorcism crap was about.\What were you doing to a spirit that didn't even exist?\Reigen-sensei, I'm sure our viewers are wondering that as well.\Could it be... that you actually don't have spiritual powers?\Come, now. Let's just say this is how he works. response:	Excellent work, Jodo-sensei!
context: Sci-fi researcher, Mogi-san, what did you think?\I'd like to ask that gentleman over there\what all that exorcism crap was about.\What were you doing to a spirit that didn't even exist?\Reigen-sensei, I'm sure our viewers are wondering that as well.\Could it be... that you actually don't have spiritual powers?\Come, now. Let's just say this is how he works.\Excellent work, Jodo-sensei! response:	It should've been completely obvious if the boy was possessed or not...
context: I'd like to ask that gentleman over there\what all that exorcism crap was about.\What were you doing to a spirit that didn't even exist?\Reigen-sensei, I'm sure our viewers are wondering that as well.\Could it be... that you actually don't have spiritual powers?\Come, now. Let's just say this is how he works.\Excellent work, Jodo-sensei!\It should've been completely obvious if the boy was possessed or not... response:	If you're a true psychic, that is.
context: what all that exorcism crap was about.\What were you doing to a spirit that didn't even exist?\Reigen-sensei, I'm sure our viewers are wondering that as well.\Could it be... that you actually don't have spiritual powers?\Come, now. Let's just say this is how he works.\Excellent work, Jodo-sensei!\It should've been completely obvious if the boy was possessed or not...\If you're a true psychic, that is. response:	Oh, I beg your pardon.
context: What were you doing to a spirit that didn't even exist?\Reigen-sensei, I'm sure our viewers are wondering that as well.\Could it be... that you actually don't have spiritual powers?\Come, now. Let's just say this is how he works.\Excellent work, Jodo-sensei!\It should've been completely obvious if the boy was possessed or not...\If you're a true psychic, that is.\Oh, I beg your pardon. response:	It's not like I'm referring to Reigen-san.
context: Reigen-sensei, I'm sure our viewers are wondering that as well.\Could it be... that you actually don't have spiritual powers?\Come, now. Let's just say this is how he works.\Excellent work, Jodo-sensei!\It should've been completely obvious if the boy was possessed or not...\If you're a true psychic, that is.\Oh, I beg your pardon.\It's not like I'm referring to Reigen-san. response:	I'm sure he was trying to liven things up for the sake of the program.
context: Could it be... that you actually don't have spiritual powers?\Come, now. Let's just say this is how he works.\Excellent work, Jodo-sensei!\It should've been completely obvious if the boy was possessed or not...\If you're a true psychic, that is.\Oh, I beg your pardon.\It's not like I'm referring to Reigen-san.\I'm sure he was trying to liven things up for the sake of the program. response:	But I can guarantee that we didn't ask him to do that.
context: Come, now. Let's just say this is how he works.\Excellent work, Jodo-sensei!\It should've been completely obvious if the boy was possessed or not...\If you're a true psychic, that is.\Oh, I beg your pardon.\It's not like I'm referring to Reigen-san.\I'm sure he was trying to liven things up for the sake of the program.\But I can guarantee that we didn't ask him to do that. response:	What? Really? Poor Fukuda-kun.
context: Excellent work, Jodo-sensei!\It should've been completely obvious if the boy was possessed or not...\If you're a true psychic, that is.\Oh, I beg your pardon.\It's not like I'm referring to Reigen-san.\I'm sure he was trying to liven things up for the sake of the program.\But I can guarantee that we didn't ask him to do that.\What? Really? Poor Fukuda-kun. response:	It was basically torture.
context: It should've been completely obvious if the boy was possessed or not...\If you're a true psychic, that is.\Oh, I beg your pardon.\It's not like I'm referring to Reigen-san.\I'm sure he was trying to liven things up for the sake of the program.\But I can guarantee that we didn't ask him to do that.\What? Really? Poor Fukuda-kun.\It was basically torture. response:	Then what in the world were you doing for 30 minutes?
context: If you're a true psychic, that is.\Oh, I beg your pardon.\It's not like I'm referring to Reigen-san.\I'm sure he was trying to liven things up for the sake of the program.\But I can guarantee that we didn't ask him to do that.\What? Really? Poor Fukuda-kun.\It was basically torture.\Then what in the world were you doing for 30 minutes? response:	Some new kind of dance?
context: Oh, I beg your pardon.\It's not like I'm referring to Reigen-san.\I'm sure he was trying to liven things up for the sake of the program.\But I can guarantee that we didn't ask him to do that.\What? Really? Poor Fukuda-kun.\It was basically torture.\Then what in the world were you doing for 30 minutes?\Some new kind of dance? response:	I mean... It appeared as though that boy was possessed by some spirit...
context: It's not like I'm referring to Reigen-san.\I'm sure he was trying to liven things up for the sake of the program.\But I can guarantee that we didn't ask him to do that.\What? Really? Poor Fukuda-kun.\It was basically torture.\Then what in the world were you doing for 30 minutes?\Some new kind of dance?\I mean... It appeared as though that boy was possessed by some spirit... response:	So I exorcised it.
context: I'm sure he was trying to liven things up for the sake of the program.\But I can guarantee that we didn't ask him to do that.\What? Really? Poor Fukuda-kun.\It was basically torture.\Then what in the world were you doing for 30 minutes?\Some new kind of dance?\I mean... It appeared as though that boy was possessed by some spirit...\So I exorcised it. response:	Even if he was merely acting like he was possessed,
context: But I can guarantee that we didn't ask him to do that.\What? Really? Poor Fukuda-kun.\It was basically torture.\Then what in the world were you doing for 30 minutes?\Some new kind of dance?\I mean... It appeared as though that boy was possessed by some spirit...\So I exorcised it.\Even if he was merely acting like he was possessed, response:	spirits could come by at any moment.
context: What? Really? Poor Fukuda-kun.\It was basically torture.\Then what in the world were you doing for 30 minutes?\Some new kind of dance?\I mean... It appeared as though that boy was possessed by some spirit...\So I exorcised it.\Even if he was merely acting like he was possessed,\spirits could come by at any moment. response:	What? A spirit was here? I didn't even notice.
context: It was basically torture.\Then what in the world were you doing for 30 minutes?\Some new kind of dance?\I mean... It appeared as though that boy was possessed by some spirit...\So I exorcised it.\Even if he was merely acting like he was possessed,\spirits could come by at any moment.\What? A spirit was here? I didn't even notice. response:	When did it appear?
context: Then what in the world were you doing for 30 minutes?\Some new kind of dance?\I mean... It appeared as though that boy was possessed by some spirit...\So I exorcised it.\Even if he was merely acting like he was possessed,\spirits could come by at any moment.\What? A spirit was here? I didn't even notice.\When did it appear? response:	About 30 minutes ago...
context: Some new kind of dance?\I mean... It appeared as though that boy was possessed by some spirit...\So I exorcised it.\Even if he was merely acting like he was possessed,\spirits could come by at any moment.\What? A spirit was here? I didn't even notice.\When did it appear?\About 30 minutes ago... response:	Right on the dot! I never knew evil spirits were so punctual!
context: I mean... It appeared as though that boy was possessed by some spirit...\So I exorcised it.\Even if he was merely acting like he was possessed,\spirits could come by at any moment.\What? A spirit was here? I didn't even notice.\When did it appear?\About 30 minutes ago...\Right on the dot! I never knew evil spirits were so punctual! response:	What kind of spirit was it? Huh? What kind of spirit was it?
context: So I exorcised it.\Even if he was merely acting like he was possessed,\spirits could come by at any moment.\What? A spirit was here? I didn't even notice.\When did it appear?\About 30 minutes ago...\Right on the dot! I never knew evil spirits were so punctual!\What kind of spirit was it? Huh? What kind of spirit was it? response:	It was a man...
context: Even if he was merely acting like he was possessed,\spirits could come by at any moment.\What? A spirit was here? I didn't even notice.\When did it appear?\About 30 minutes ago...\Right on the dot! I never knew evil spirits were so punctual!\What kind of spirit was it? Huh? What kind of spirit was it?\It was a man... response:	I think he was German...
context: spirits could come by at any moment.\What? A spirit was here? I didn't even notice.\When did it appear?\About 30 minutes ago...\Right on the dot! I never knew evil spirits were so punctual!\What kind of spirit was it? Huh? What kind of spirit was it?\It was a man...\I think he was German... response:	Stop it, me! If you say another word...
context: What? A spirit was here? I didn't even notice.\When did it appear?\About 30 minutes ago...\Right on the dot! I never knew evil spirits were so punctual!\What kind of spirit was it? Huh? What kind of spirit was it?\It was a man...\I think he was German...\Stop it, me! If you say another word... response:	It was Beethoven.
context: When did it appear?\About 30 minutes ago...\Right on the dot! I never knew evil spirits were so punctual!\What kind of spirit was it? Huh? What kind of spirit was it?\It was a man...\I think he was German...\Stop it, me! If you say another word...\It was Beethoven. response:	Du-du-du-dunnn!
context: About 30 minutes ago...\Right on the dot! I never knew evil spirits were so punctual!\What kind of spirit was it? Huh? What kind of spirit was it?\It was a man...\I think he was German...\Stop it, me! If you say another word...\It was Beethoven.\Du-du-du-dunnn! response:	Did you watch yesterday's ep of Supernatural Detective?
context: Right on the dot! I never knew evil spirits were so punctual!\What kind of spirit was it? Huh? What kind of spirit was it?\It was a man...\I think he was German...\Stop it, me! If you say another word...\It was Beethoven.\Du-du-du-dunnn!\Did you watch yesterday's ep of Supernatural Detective? response:	I did! I laughed so hard!
context: What kind of spirit was it? Huh? What kind of spirit was it?\It was a man...\I think he was German...\Stop it, me! If you say another word...\It was Beethoven.\Du-du-du-dunnn!\Did you watch yesterday's ep of Supernatural Detective?\I did! I laughed so hard! response:	Views
context: It was a man...\I think he was German...\Stop it, me! If you say another word...\It was Beethoven.\Du-du-du-dunnn!\Did you watch yesterday's ep of Supernatural Detective?\I did! I laughed so hard!\Views response:	Comments
context: I think he was German...\Stop it, me! If you say another word...\It was Beethoven.\Du-du-du-dunnn!\Did you watch yesterday's ep of Supernatural Detective?\I did! I laughed so hard!\Views\Comments response:	That one thing
context: Stop it, me! If you say another word...\It was Beethoven.\Du-du-du-dunnn!\Did you watch yesterday's ep of Supernatural Detective?\I did! I laughed so hard!\Views\Comments\That one thing response:	Reigen Arataka
context: It was Beethoven.\Du-du-du-dunnn!\Did you watch yesterday's ep of Supernatural Detective?\I did! I laughed so hard!\Views\Comments\That one thing\Reigen Arataka response:	A psychic who's an expert on fraud
context: Du-du-du-dunnn!\Did you watch yesterday's ep of Supernatural Detective?\I did! I laughed so hard!\Views\Comments\That one thing\Reigen Arataka\A psychic who's an expert on fraud response:	Salt
context: Did you watch yesterday's ep of Supernatural Detective?\I did! I laughed so hard!\Views\Comments\That one thing\Reigen Arataka\A psychic who's an expert on fraud\Salt response:	On-air incident
context: I did! I laughed so hard!\Views\Comments\That one thing\Reigen Arataka\A psychic who's an expert on fraud\Salt\On-air incident response:	Psychic fraud
context: Views\Comments\That one thing\Reigen Arataka\A psychic who's an expert on fraud\Salt\On-air incident\Psychic fraud response:	That was basically a public execution.
context: Comments\That one thing\Reigen Arataka\A psychic who's an expert on fraud\Salt\On-air incident\Psychic fraud\That was basically a public execution. response:	Reigen Arataka is crazy
context: That one thing\Reigen Arataka\A psychic who's an expert on fraud\Salt\On-air incident\Psychic fraud\That was basically a public execution.\Reigen Arataka is crazy response:	Anonymous Table Salt
context: Reigen Arataka\A psychic who's an expert on fraud\Salt\On-air incident\Psychic fraud\That was basically a public execution.\Reigen Arataka is crazy\Anonymous Table Salt response:	Anonymous Table Salt hhhhhhhhhhhhhhIf that were me, I'd end myself
context: A psychic who's an expert on fraud\Salt\On-air incident\Psychic fraud\That was basically a public execution.\Reigen Arataka is crazy\Anonymous Table Salt\Anonymous Table Salt hhhhhhhhhhhhhhIf that were me, I'd end myself response:	Anonymous Table Salt hhhhhhSalt Splash
context: Salt\On-air incident\Psychic fraud\That was basically a public execution.\Reigen Arataka is crazy\Anonymous Table Salt\Anonymous Table Salt hhhhhhhhhhhhhhIf that were me, I'd end myself\Anonymous Table Salt hhhhhhSalt Splash response:	Anonymous Table Salt
context: On-air incident\Psychic fraud\That was basically a public execution.\Reigen Arataka is crazy\Anonymous Table Salt\Anonymous Table Salt hhhhhhhhhhhhhhIf that were me, I'd end myself\Anonymous Table Salt hhhhhhSalt Splash\Anonymous Table Salt response:	That Reigen guy is hilarious!
context: Psychic fraud\That was basically a public execution.\Reigen Arataka is crazy\Anonymous Table Salt\Anonymous Table Salt hhhhhhhhhhhhhhIf that were me, I'd end myself\Anonymous Table Salt hhhhhhSalt Splash\Anonymous Table Salt\That Reigen guy is hilarious! response:	Herf
context: That was basically a public execution.\Reigen Arataka is crazy\Anonymous Table Salt\Anonymous Table Salt hhhhhhhhhhhhhhIf that were me, I'd end myself\Anonymous Table Salt hhhhhhSalt Splash\Anonymous Table Salt\That Reigen guy is hilarious!\Herf response:	What is this?
context: Reigen Arataka is crazy\Anonymous Table Salt\Anonymous Table Salt hhhhhhhhhhhhhhIf that were me, I'd end myself\Anonymous Table Salt hhhhhhSalt Splash\Anonymous Table Salt\That Reigen guy is hilarious!\Herf\What is this? response:	Crazy Salt Splash
context: Anonymous Table Salt\Anonymous Table Salt hhhhhhhhhhhhhhIf that were me, I'd end myself\Anonymous Table Salt hhhhhhSalt Splash\Anonymous Table Salt\That Reigen guy is hilarious!\Herf\What is this?\Crazy Salt Splash response:	Hilarious
context: Anonymous Table Salt hhhhhhhhhhhhhhIf that were me, I'd end myself\Anonymous Table Salt hhhhhhSalt Splash\Anonymous Table Salt\That Reigen guy is hilarious!\Herf\What is this?\Crazy Salt Splash\Hilarious response:	Con Man
context: Anonymous Table Salt hhhhhhSalt Splash\Anonymous Table Salt\That Reigen guy is hilarious!\Herf\What is this?\Crazy Salt Splash\Hilarious\Con Man response:	Exorcism dance
context: Anonymous Table Salt\That Reigen guy is hilarious!\Herf\What is this?\Crazy Salt Splash\Hilarious\Con Man\Exorcism dance response:	He's finished
context: That Reigen guy is hilarious!\Herf\What is this?\Crazy Salt Splash\Hilarious\Con Man\Exorcism dance\He's finished response:	Desperate
context: Herf\What is this?\Crazy Salt Splash\Hilarious\Con Man\Exorcism dance\He's finished\Desperate response:	S--A--L--T S--P--L--A--S--H
context: What is this?\Crazy Salt Splash\Hilarious\Con Man\Exorcism dance\He's finished\Desperate\S--A--L--T S--P--L--A--S--H response:	Who is this?
context: Crazy Salt Splash\Hilarious\Con Man\Exorcism dance\He's finished\Desperate\S--A--L--T S--P--L--A--S--H\Who is this? response:	Oh shit
context: Hilarious\Con Man\Exorcism dance\He's finished\Desperate\S--A--L--T S--P--L--A--S--H\Who is this?\Oh shit response:	Looks like Reigen's dug himself into a hole...
context: Con Man\Exorcism dance\He's finished\Desperate\S--A--L--T S--P--L--A--S--H\Who is this?\Oh shit\Looks like Reigen's dug himself into a hole... response:	Naritasan
context: Exorcism dance\He's finished\Desperate\S--A--L--T S--P--L--A--S--H\Who is this?\Oh shit\Looks like Reigen's dug himself into a hole...\Naritasan response:	There's no way that guy's a fraud.
context: He's finished\Desperate\S--A--L--T S--P--L--A--S--H\Who is this?\Oh shit\Looks like Reigen's dug himself into a hole...\Naritasan\There's no way that guy's a fraud. response:	I wonder if Reigen-san has a plan to get out of this.
context: Desperate\S--A--L--T S--P--L--A--S--H\Who is this?\Oh shit\Looks like Reigen's dug himself into a hole...\Naritasan\There's no way that guy's a fraud.\I wonder if Reigen-san has a plan to get out of this. response:	They're apparently making a group for his victims.
context: S--A--L--T S--P--L--A--S--H\Who is this?\Oh shit\Looks like Reigen's dug himself into a hole...\Naritasan\There's no way that guy's a fraud.\I wonder if Reigen-san has a plan to get out of this.\They're apparently making a group for his victims. response:	Wanna go?
context: Who is this?\Oh shit\Looks like Reigen's dug himself into a hole...\Naritasan\There's no way that guy's a fraud.\I wonder if Reigen-san has a plan to get out of this.\They're apparently making a group for his victims.\Wanna go? response:	But we're not victims, though.
context: Oh shit\Looks like Reigen's dug himself into a hole...\Naritasan\There's no way that guy's a fraud.\I wonder if Reigen-san has a plan to get out of this.\They're apparently making a group for his victims.\Wanna go?\But we're not victims, though. response:	So he was a con artist after all.
context: Looks like Reigen's dug himself into a hole...\Naritasan\There's no way that guy's a fraud.\I wonder if Reigen-san has a plan to get out of this.\They're apparently making a group for his victims.\Wanna go?\But we're not victims, though.\So he was a con artist after all. response:	It's probably his fault we aren't getting any job offers.
context: Naritasan\There's no way that guy's a fraud.\I wonder if Reigen-san has a plan to get out of this.\They're apparently making a group for his victims.\Wanna go?\But we're not victims, though.\So he was a con artist after all.\It's probably his fault we aren't getting any job offers. response:	I knew there was something off about him.
context: There's no way that guy's a fraud.\I wonder if Reigen-san has a plan to get out of this.\They're apparently making a group for his victims.\Wanna go?\But we're not victims, though.\So he was a con artist after all.\It's probably his fault we aren't getting any job offers.\I knew there was something off about him. response:	I'm gonna feed the media even more bullcrap about him!
context: I wonder if Reigen-san has a plan to get out of this.\They're apparently making a group for his victims.\Wanna go?\But we're not victims, though.\So he was a con artist after all.\It's probably his fault we aren't getting any job offers.\I knew there was something off about him.\I'm gonna feed the media even more bullcrap about him! response:	The Next Day
context: They're apparently making a group for his victims.\Wanna go?\But we're not victims, though.\So he was a con artist after all.\It's probably his fault we aren't getting any job offers.\I knew there was something off about him.\I'm gonna feed the media even more bullcrap about him!\The Next Day response:	Hey, I might just be remembering wrong,
context: Wanna go?\But we're not victims, though.\So he was a con artist after all.\It's probably his fault we aren't getting any job offers.\I knew there was something off about him.\I'm gonna feed the media even more bullcrap about him!\The Next Day\Hey, I might just be remembering wrong, response:	but isn't the place you work called Spirits and Such Consultation Office?
context: But we're not victims, though.\So he was a con artist after all.\It's probably his fault we aren't getting any job offers.\I knew there was something off about him.\I'm gonna feed the media even more bullcrap about him!\The Next Day\Hey, I might just be remembering wrong,\but isn't the place you work called Spirits and Such Consultation Office? response:	It is.
context: So he was a con artist after all.\It's probably his fault we aren't getting any job offers.\I knew there was something off about him.\I'm gonna feed the media even more bullcrap about him!\The Next Day\Hey, I might just be remembering wrong,\but isn't the place you work called Spirits and Such Consultation Office?\It is. response:	Th-Then is your master's name... Reigen Arataka?
context: It's probably his fault we aren't getting any job offers.\I knew there was something off about him.\I'm gonna feed the media even more bullcrap about him!\The Next Day\Hey, I might just be remembering wrong,\but isn't the place you work called Spirits and Such Consultation Office?\It is.\Th-Then is your master's name... Reigen Arataka? response:	Huh? Yeah, it is.
context: I knew there was something off about him.\I'm gonna feed the media even more bullcrap about him!\The Next Day\Hey, I might just be remembering wrong,\but isn't the place you work called Spirits and Such Consultation Office?\It is.\Th-Then is your master's name... Reigen Arataka?\Huh? Yeah, it is. response:	Y-You haven't heard?
context: I'm gonna feed the media even more bullcrap about him!\The Next Day\Hey, I might just be remembering wrong,\but isn't the place you work called Spirits and Such Consultation Office?\It is.\Th-Then is your master's name... Reigen Arataka?\Huh? Yeah, it is.\Y-You haven't heard? response:	Your master's getting bashed like crazy on TV and the Internet!
context: The Next Day\Hey, I might just be remembering wrong,\but isn't the place you work called Spirits and Such Consultation Office?\It is.\Th-Then is your master's name... Reigen Arataka?\Huh? Yeah, it is.\Y-You haven't heard?\Your master's getting bashed like crazy on TV and the Internet! response:	We're getting a lot more actual jobs now.
context: Hey, I might just be remembering wrong,\but isn't the place you work called Spirits and Such Consultation Office?\It is.\Th-Then is your master's name... Reigen Arataka?\Huh? Yeah, it is.\Y-You haven't heard?\Your master's getting bashed like crazy on TV and the Internet!\We're getting a lot more actual jobs now. response:	Spirits and Such Consul tation Office
context: but isn't the place you work called Spirits and Such Consultation Office?\It is.\Th-Then is your master's name... Reigen Arataka?\Huh? Yeah, it is.\Y-You haven't heard?\Your master's getting bashed like crazy on TV and the Internet!\We're getting a lot more actual jobs now.\Spirits and Such Consul tation Office response:	The star psychic of the 21st century who defeated Ohiki-san
context: It is.\Th-Then is your master's name... Reigen Arataka?\Huh? Yeah, it is.\Y-You haven't heard?\Your master's getting bashed like crazy on TV and the Internet!\We're getting a lot more actual jobs now.\Spirits and Such Consul tation Office\The star psychic of the 21st century who defeated Ohiki-san response:	If I become famous, I might be able to break through to other media platforms.
context: Th-Then is your master's name... Reigen Arataka?\Huh? Yeah, it is.\Y-You haven't heard?\Your master's getting bashed like crazy on TV and the Internet!\We're getting a lot more actual jobs now.\Spirits and Such Consul tation Office\The star psychic of the 21st century who defeated Ohiki-san\If I become famous, I might be able to break through to other media platforms. response:	That's all part of his plan.
context: Huh? Yeah, it is.\Y-You haven't heard?\Your master's getting bashed like crazy on TV and the Internet!\We're getting a lot more actual jobs now.\Spirits and Such Consul tation Office\The star psychic of the 21st century who defeated Ohiki-san\If I become famous, I might be able to break through to other media platforms.\That's all part of his plan. response:	We're closed today
context: Y-You haven't heard?\Your master's getting bashed like crazy on TV and the Internet!\We're getting a lot more actual jobs now.\Spirits and Such Consul tation Office\The star psychic of the 21st century who defeated Ohiki-san\If I become famous, I might be able to break through to other media platforms.\That's all part of his plan.\We're closed today response:	Unknown
context: Your master's getting bashed like crazy on TV and the Internet!\We're getting a lot more actual jobs now.\Spirits and Such Consul tation Office\The star psychic of the 21st century who defeated Ohiki-san\If I become famous, I might be able to break through to other media platforms.\That's all part of his plan.\We're closed today\Unknown response:	Did he really think people wouldn't find out?
context: We're getting a lot more actual jobs now.\Spirits and Such Consul tation Office\The star psychic of the 21st century who defeated Ohiki-san\If I become famous, I might be able to break through to other media platforms.\That's all part of his plan.\We're closed today\Unknown\Did he really think people wouldn't find out? response:	And he calls himself a spirit medium?
context: Spirits and Such Consul tation Office\The star psychic of the 21st century who defeated Ohiki-san\If I become famous, I might be able to break through to other media platforms.\That's all part of his plan.\We're closed today\Unknown\Did he really think people wouldn't find out?\And he calls himself a spirit medium? response:	I've actually been a victim of spiritual fraud myself.
context: The star psychic of the 21st century who defeated Ohiki-san\If I become famous, I might be able to break through to other media platforms.\That's all part of his plan.\We're closed today\Unknown\Did he really think people wouldn't find out?\And he calls himself a spirit medium?\I've actually been a victim of spiritual fraud myself. response:	The Self-Proclaimed Psychic. Isn't He a Fraud?
context: If I become famous, I might be able to break through to other media platforms.\That's all part of his plan.\We're closed today\Unknown\Did he really think people wouldn't find out?\And he calls himself a spirit medium?\I've actually been a victim of spiritual fraud myself.\The Self-Proclaimed Psychic. Isn't He a Fraud? response:	They wanted to undress for an exorcism.
context: That's all part of his plan.\We're closed today\Unknown\Did he really think people wouldn't find out?\And he calls himself a spirit medium?\I've actually been a victim of spiritual fraud myself.\The Self-Proclaimed Psychic. Isn't He a Fraud?\They wanted to undress for an exorcism. response:	God damn it! I was set up!
context: We're closed today\Unknown\Did he really think people wouldn't find out?\And he calls himself a spirit medium?\I've actually been a victim of spiritual fraud myself.\The Self-Proclaimed Psychic. Isn't He a Fraud?\They wanted to undress for an exorcism.\God damn it! I was set up! response:	Those conniving bastards!
context: Unknown\Did he really think people wouldn't find out?\And he calls himself a spirit medium?\I've actually been a victim of spiritual fraud myself.\The Self-Proclaimed Psychic. Isn't He a Fraud?\They wanted to undress for an exorcism.\God damn it! I was set up!\Those conniving bastards! response:	They used me as a scapegoat to boost their ratings for like 30 seconds?!
context: Did he really think people wouldn't find out?\And he calls himself a spirit medium?\I've actually been a victim of spiritual fraud myself.\The Self-Proclaimed Psychic. Isn't He a Fraud?\They wanted to undress for an exorcism.\God damn it! I was set up!\Those conniving bastards!\They used me as a scapegoat to boost their ratings for like 30 seconds?! response:	That conniving old man!
context: And he calls himself a spirit medium?\I've actually been a victim of spiritual fraud myself.\The Self-Proclaimed Psychic. Isn't He a Fraud?\They wanted to undress for an exorcism.\God damn it! I was set up!\Those conniving bastards!\They used me as a scapegoat to boost their ratings for like 30 seconds?!\That conniving old man! response:	For now, I need to contain this and ensure I don't become an even bigger meme.
context: I've actually been a victim of spiritual fraud myself.\The Self-Proclaimed Psychic. Isn't He a Fraud?\They wanted to undress for an exorcism.\God damn it! I was set up!\Those conniving bastards!\They used me as a scapegoat to boost their ratings for like 30 seconds?!\That conniving old man!\For now, I need to contain this and ensure I don't become an even bigger meme. response:	Anonymous Table Salt hhhhDat name tho
context: The Self-Proclaimed Psychic. Isn't He a Fraud?\They wanted to undress for an exorcism.\God damn it! I was set up!\Those conniving bastards!\They used me as a scapegoat to boost their ratings for like 30 seconds?!\That conniving old man!\For now, I need to contain this and ensure I don't become an even bigger meme.\Anonymous Table Salt hhhhDat name tho response:	Anonymous Table Salt hhhh Reigen's the real deal. hhhhHe's actually performed an exorcism on me, and my hhhhshoulders and back feel so much lighter now. hhhhI felt better immediately.
context: They wanted to undress for an exorcism.\God damn it! I was set up!\Those conniving bastards!\They used me as a scapegoat to boost their ratings for like 30 seconds?!\That conniving old man!\For now, I need to contain this and ensure I don't become an even bigger meme.\Anonymous Table Salt hhhhDat name tho\Anonymous Table Salt hhhh Reigen's the real deal. hhhhHe's actually performed an exorcism on me, and my hhhhshoulders and back feel so much lighter now. hhhhI felt better immediately. response:	Anonymous Table Salt hhhh I bet that's Reigen, isn't it?
context: God damn it! I was set up!\Those conniving bastards!\They used me as a scapegoat to boost their ratings for like 30 seconds?!\That conniving old man!\For now, I need to contain this and ensure I don't become an even bigger meme.\Anonymous Table Salt hhhhDat name tho\Anonymous Table Salt hhhh Reigen's the real deal. hhhhHe's actually performed an exorcism on me, and my hhhhshoulders and back feel so much lighter now. hhhhI felt better immediately.\Anonymous Table Salt hhhh I bet that's Reigen, isn't it? response:	Gah! They figured me out!
context: Those conniving bastards!\They used me as a scapegoat to boost their ratings for like 30 seconds?!\That conniving old man!\For now, I need to contain this and ensure I don't become an even bigger meme.\Anonymous Table Salt hhhhDat name tho\Anonymous Table Salt hhhh Reigen's the real deal. hhhhHe's actually performed an exorcism on me, and my hhhhshoulders and back feel so much lighter now. hhhhI felt better immediately.\Anonymous Table Salt hhhh I bet that's Reigen, isn't it?\Gah! They figured me out! response:	Return to archive All posts
context: They used me as a scapegoat to boost their ratings for like 30 seconds?!\That conniving old man!\For now, I need to contain this and ensure I don't become an even bigger meme.\Anonymous Table Salt hhhhDat name tho\Anonymous Table Salt hhhh Reigen's the real deal. hhhhHe's actually performed an exorcism on me, and my hhhhshoulders and back feel so much lighter now. hhhhI felt better immediately.\Anonymous Table Salt hhhh I bet that's Reigen, isn't it?\Gah! They figured me out!\Return to archive All posts response:	Wha? Of course I'm not. I'm trying to be objective here...
context: That conniving old man!\For now, I need to contain this and ensure I don't become an even bigger meme.\Anonymous Table Salt hhhhDat name tho\Anonymous Table Salt hhhh Reigen's the real deal. hhhhHe's actually performed an exorcism on me, and my hhhhshoulders and back feel so much lighter now. hhhhI felt better immediately.\Anonymous Table Salt hhhh I bet that's Reigen, isn't it?\Gah! They figured me out!\Return to archive All posts\Wha? Of course I'm not. I'm trying to be objective here... response:	Sent
context: For now, I need to contain this and ensure I don't become an even bigger meme.\Anonymous Table Salt hhhhDat name tho\Anonymous Table Salt hhhh Reigen's the real deal. hhhhHe's actually performed an exorcism on me, and my hhhhshoulders and back feel so much lighter now. hhhhI felt better immediately.\Anonymous Table Salt hhhh I bet that's Reigen, isn't it?\Gah! They figured me out!\Return to archive All posts\Wha? Of course I'm not. I'm trying to be objective here...\Sent response:	Return to archive All posts
context: Anonymous Table Salt hhhhDat name tho\Anonymous Table Salt hhhh Reigen's the real deal. hhhhHe's actually performed an exorcism on me, and my hhhhshoulders and back feel so much lighter now. hhhhI felt better immediately.\Anonymous Table Salt hhhh I bet that's Reigen, isn't it?\Gah! They figured me out!\Return to archive All posts\Wha? Of course I'm not. I'm trying to be objective here...\Sent\Return to archive All posts response:	Criminal Anonymous Table Salt
context: Anonymous Table Salt hhhh Reigen's the real deal. hhhhHe's actually performed an exorcism on me, and my hhhhshoulders and back feel so much lighter now. hhhhI felt better immediately.\Anonymous Table Salt hhhh I bet that's Reigen, isn't it?\Gah! They figured me out!\Return to archive All posts\Wha? Of course I'm not. I'm trying to be objective here...\Sent\Return to archive All posts\Criminal Anonymous Table Salt response:	Okay, Ruppell's fox
context: Anonymous Table Salt hhhh I bet that's Reigen, isn't it?\Gah! They figured me out!\Return to archive All posts\Wha? Of course I'm not. I'm trying to be objective here...\Sent\Return to archive All posts\Criminal Anonymous Table Salt\Okay, Ruppell's fox response:	Get lost, you fraud Anonymous Table Salt
context: Gah! They figured me out!\Return to archive All posts\Wha? Of course I'm not. I'm trying to be objective here...\Sent\Return to archive All posts\Criminal Anonymous Table Salt\Okay, Ruppell's fox\Get lost, you fraud Anonymous Table Salt response:	Do you even realize you're a criminal?
context: Return to archive All posts\Wha? Of course I'm not. I'm trying to be objective here...\Sent\Return to archive All posts\Criminal Anonymous Table Salt\Okay, Ruppell's fox\Get lost, you fraud Anonymous Table Salt\Do you even realize you're a criminal? response:	Reigen's watching
