context: Are you sure you're okay? response:	Yeah, I'm totally fine.
context: Thanks for bringing us here.\I didn't tell Miuna that.\The Shioshishio that I always dreamed of.\2nd Year\But the way I acted...\Entrance Ceremony\New Students\I ended up hurting Hikari. response:	You haven't grown much, Manaka. Neither have you, Hii-kun!
context: I didn't tell Miuna that.\The Shioshishio that I always dreamed of.\2nd Year\But the way I acted...\Entrance Ceremony\New Students\I ended up hurting Hikari.\You haven't grown much, Manaka. Neither have you, Hii-kun! response:	This is...
context: The Shioshishio that I always dreamed of.\2nd Year\But the way I acted...\Entrance Ceremony\New Students\I ended up hurting Hikari.\You haven't grown much, Manaka. Neither have you, Hii-kun!\This is... response:	It's here.
context: 2nd Year\But the way I acted...\Entrance Ceremony\New Students\I ended up hurting Hikari.\You haven't grown much, Manaka. Neither have you, Hii-kun!\This is...\It's here. response:	The place I thought of...
context: But the way I acted...\Entrance Ceremony\New Students\I ended up hurting Hikari.\You haven't grown much, Manaka. Neither have you, Hii-kun!\This is...\It's here.\The place I thought of... response:	dreamed of... inside the sea.
context: Entrance Ceremony\New Students\I ended up hurting Hikari.\You haven't grown much, Manaka. Neither have you, Hii-kun!\This is...\It's here.\The place I thought of...\dreamed of... inside the sea. response:	I'm here.
context: New Students\I ended up hurting Hikari.\You haven't grown much, Manaka. Neither have you, Hii-kun!\This is...\It's here.\The place I thought of...\dreamed of... inside the sea.\I'm here. response:	160 Chisaki 157 Hikari 155 Kaname 154 Chisaki 152 Manaka 149 Manaka
context: I ended up hurting Hikari.\You haven't grown much, Manaka. Neither have you, Hii-kun!\This is...\It's here.\The place I thought of...\dreamed of... inside the sea.\I'm here.\160 Chisaki 157 Hikari 155 Kaname 154 Chisaki 152 Manaka 149 Manaka response:	Music Room
context: You haven't grown much, Manaka. Neither have you, Hii-kun!\This is...\It's here.\The place I thought of...\dreamed of... inside the sea.\I'm here.\160 Chisaki 157 Hikari 155 Kaname 154 Chisaki 152 Manaka 149 Manaka\Music Room response:	Hikari!
context: This is...\It's here.\The place I thought of...\dreamed of... inside the sea.\I'm here.\160 Chisaki 157 Hikari 155 Kaname 154 Chisaki 152 Manaka 149 Manaka\Music Room\Hikari! response:	Miuna-chan's gone!
context: It's here.\The place I thought of...\dreamed of... inside the sea.\I'm here.\160 Chisaki 157 Hikari 155 Kaname 154 Chisaki 152 Manaka 149 Manaka\Music Room\Hikari!\Miuna-chan's gone! response:	I told her not to go anywhere.
context: The place I thought of...\dreamed of... inside the sea.\I'm here.\160 Chisaki 157 Hikari 155 Kaname 154 Chisaki 152 Manaka 149 Manaka\Music Room\Hikari!\Miuna-chan's gone!\I told her not to go anywhere. response:	Did you actually look?
context: dreamed of... inside the sea.\I'm here.\160 Chisaki 157 Hikari 155 Kaname 154 Chisaki 152 Manaka 149 Manaka\Music Room\Hikari!\Miuna-chan's gone!\I told her not to go anywhere.\Did you actually look? response:	This isn't the time to argue!
context: I'm here.\160 Chisaki 157 Hikari 155 Kaname 154 Chisaki 152 Manaka 149 Manaka\Music Room\Hikari!\Miuna-chan's gone!\I told her not to go anywhere.\Did you actually look?\This isn't the time to argue! response:	You're right...
context: 160 Chisaki 157 Hikari 155 Kaname 154 Chisaki 152 Manaka 149 Manaka\Music Room\Hikari!\Miuna-chan's gone!\I told her not to go anywhere.\Did you actually look?\This isn't the time to argue!\You're right... response:	Let's look for her.
context: Music Room\Hikari!\Miuna-chan's gone!\I told her not to go anywhere.\Did you actually look?\This isn't the time to argue!\You're right...\Let's look for her. response:	Oh.
context: Hikari!\Miuna-chan's gone!\I told her not to go anywhere.\Did you actually look?\This isn't the time to argue!\You're right...\Let's look for her.\Oh. response:	Those weren't there before.
context: Miuna-chan's gone!\I told her not to go anywhere.\Did you actually look?\This isn't the time to argue!\You're right...\Let's look for her.\Oh.\Those weren't there before. response:	Let's go.
context: I told her not to go anywhere.\Did you actually look?\This isn't the time to argue!\You're right...\Let's look for her.\Oh.\Those weren't there before.\Let's go. response:	So, you're Miuna.
context: Did you actually look?\This isn't the time to argue!\You're right...\Let's look for her.\Oh.\Those weren't there before.\Let's go.\So, you're Miuna. response:	Who are you?
context: This isn't the time to argue!\You're right...\Let's look for her.\Oh.\Those weren't there before.\Let's go.\So, you're Miuna.\Who are you? response:	Me?
context: You're right...\Let's look for her.\Oh.\Those weren't there before.\Let's go.\So, you're Miuna.\Who are you?\Me? response:	I'm just a scale, I suppose.
context: Let's look for her.\Oh.\Those weren't there before.\Let's go.\So, you're Miuna.\Who are you?\Me?\I'm just a scale, I suppose. response:	Scale? You mean like a fish's?
context: Oh.\Those weren't there before.\Let's go.\So, you're Miuna.\Who are you?\Me?\I'm just a scale, I suppose.\Scale? You mean like a fish's? response:	Right. That scale.
context: Those weren't there before.\Let's go.\So, you're Miuna.\Who are you?\Me?\I'm just a scale, I suppose.\Scale? You mean like a fish's?\Right. That scale. response:	Was the school inside the sea fun?
context: Let's go.\So, you're Miuna.\Who are you?\Me?\I'm just a scale, I suppose.\Scale? You mean like a fish's?\Right. That scale.\Was the school inside the sea fun? response:	Then that was...
context: So, you're Miuna.\Who are you?\Me?\I'm just a scale, I suppose.\Scale? You mean like a fish's?\Right. That scale.\Was the school inside the sea fun?\Then that was... response:	Isn't Shioshishio a wonderful place?
context: Who are you?\Me?\I'm just a scale, I suppose.\Scale? You mean like a fish's?\Right. That scale.\Was the school inside the sea fun?\Then that was...\Isn't Shioshishio a wonderful place? response:	Yes.
context: Me?\I'm just a scale, I suppose.\Scale? You mean like a fish's?\Right. That scale.\Was the school inside the sea fun?\Then that was...\Isn't Shioshishio a wonderful place?\Yes. response:	Did you find what you were looking for?
context: I'm just a scale, I suppose.\Scale? You mean like a fish's?\Right. That scale.\Was the school inside the sea fun?\Then that was...\Isn't Shioshishio a wonderful place?\Yes.\Did you find what you were looking for? response:	Looking for?
context: Scale? You mean like a fish's?\Right. That scale.\Was the school inside the sea fun?\Then that was...\Isn't Shioshishio a wonderful place?\Yes.\Did you find what you were looking for?\Looking for? response:	Hm? That's odd.
context: Right. That scale.\Was the school inside the sea fun?\Then that was...\Isn't Shioshishio a wonderful place?\Yes.\Did you find what you were looking for?\Looking for?\Hm? That's odd. response:	Did you not come here in search of that?
context: Was the school inside the sea fun?\Then that was...\Isn't Shioshishio a wonderful place?\Yes.\Did you find what you were looking for?\Looking for?\Hm? That's odd.\Did you not come here in search of that? response:	Um!
context: Then that was...\Isn't Shioshishio a wonderful place?\Yes.\Did you find what you were looking for?\Looking for?\Hm? That's odd.\Did you not come here in search of that?\Um! response:	What is it?
context: Isn't Shioshishio a wonderful place?\Yes.\Did you find what you were looking for?\Looking for?\Hm? That's odd.\Did you not come here in search of that?\Um!\What is it? response:	You're a god... right?
context: Yes.\Did you find what you were looking for?\Looking for?\Hm? That's odd.\Did you not come here in search of that?\Um!\What is it?\You're a god... right? response:	I am nothing more than a scale.
context: Did you find what you were looking for?\Looking for?\Hm? That's odd.\Did you not come here in search of that?\Um!\What is it?\You're a god... right?\I am nothing more than a scale. response:	I just told you that.
context: Looking for?\Hm? That's odd.\Did you not come here in search of that?\Um!\What is it?\You're a god... right?\I am nothing more than a scale.\I just told you that. response:	Manaka-san.
context: Hm? That's odd.\Did you not come here in search of that?\Um!\What is it?\You're a god... right?\I am nothing more than a scale.\I just told you that.\Manaka-san. response:	Please tell me where Manaka-san is.
context: Did you not come here in search of that?\Um!\What is it?\You're a god... right?\I am nothing more than a scale.\I just told you that.\Manaka-san.\Please tell me where Manaka-san is. response:	Is that what you were looking for?
context: Um!\What is it?\You're a god... right?\I am nothing more than a scale.\I just told you that.\Manaka-san.\Please tell me where Manaka-san is.\Is that what you were looking for? response:	If that's what you were truly looking for,
context: What is it?\You're a god... right?\I am nothing more than a scale.\I just told you that.\Manaka-san.\Please tell me where Manaka-san is.\Is that what you were looking for?\If that's what you were truly looking for, response:	I don't mind telling you.
context: You're a god... right?\I am nothing more than a scale.\I just told you that.\Manaka-san.\Please tell me where Manaka-san is.\Is that what you were looking for?\If that's what you were truly looking for,\I don't mind telling you. response:	It's Manaka-san.
context: I am nothing more than a scale.\I just told you that.\Manaka-san.\Please tell me where Manaka-san is.\Is that what you were looking for?\If that's what you were truly looking for,\I don't mind telling you.\It's Manaka-san. response:	The thing I'm looking for...
context: I just told you that.\Manaka-san.\Please tell me where Manaka-san is.\Is that what you were looking for?\If that's what you were truly looking for,\I don't mind telling you.\It's Manaka-san.\The thing I'm looking for... response:	is Manaka-san!
context: Manaka-san.\Please tell me where Manaka-san is.\Is that what you were looking for?\If that's what you were truly looking for,\I don't mind telling you.\It's Manaka-san.\The thing I'm looking for...\is Manaka-san! response:	That's a lie.
context: Please tell me where Manaka-san is.\Is that what you were looking for?\If that's what you were truly looking for,\I don't mind telling you.\It's Manaka-san.\The thing I'm looking for...\is Manaka-san!\That's a lie. response:	What?
context: Is that what you were looking for?\If that's what you were truly looking for,\I don't mind telling you.\It's Manaka-san.\The thing I'm looking for...\is Manaka-san!\That's a lie.\What? response:	What an audacious child you are, lying to the face of a servant of a god.
context: If that's what you were truly looking for,\I don't mind telling you.\It's Manaka-san.\The thing I'm looking for...\is Manaka-san!\That's a lie.\What?\What an audacious child you are, lying to the face of a servant of a god. response:	I'm not a child!
context: I don't mind telling you.\It's Manaka-san.\The thing I'm looking for...\is Manaka-san!\That's a lie.\What?\What an audacious child you are, lying to the face of a servant of a god.\I'm not a child! response:	I see...
context: It's Manaka-san.\The thing I'm looking for...\is Manaka-san!\That's a lie.\What?\What an audacious child you are, lying to the face of a servant of a god.\I'm not a child!\I see... response:	So you're not a child anymore.
context: The thing I'm looking for...\is Manaka-san!\That's a lie.\What?\What an audacious child you are, lying to the face of a servant of a god.\I'm not a child!\I see...\So you're not a child anymore. response:	Miuna!
context: is Manaka-san!\That's a lie.\What?\What an audacious child you are, lying to the face of a servant of a god.\I'm not a child!\I see...\So you're not a child anymore.\Miuna! response:	Miuna-chan!
context: That's a lie.\What?\What an audacious child you are, lying to the face of a servant of a god.\I'm not a child!\I see...\So you're not a child anymore.\Miuna!\Miuna-chan! response:	We told you to stay right there!
context: What?\What an audacious child you are, lying to the face of a servant of a god.\I'm not a child!\I see...\So you're not a child anymore.\Miuna!\Miuna-chan!\We told you to stay right there! response:	H-Hey, sorry about earlier.
context: What an audacious child you are, lying to the face of a servant of a god.\I'm not a child!\I see...\So you're not a child anymore.\Miuna!\Miuna-chan!\We told you to stay right there!\H-Hey, sorry about earlier. response:	She's here.
context: I'm not a child!\I see...\So you're not a child anymore.\Miuna!\Miuna-chan!\We told you to stay right there!\H-Hey, sorry about earlier.\She's here. response:	Manaka-san is nearby.
context: I see...\So you're not a child anymore.\Miuna!\Miuna-chan!\We told you to stay right there!\H-Hey, sorry about earlier.\She's here.\Manaka-san is nearby. response:	What?
context: So you're not a child anymore.\Miuna!\Miuna-chan!\We told you to stay right there!\H-Hey, sorry about earlier.\She's here.\Manaka-san is nearby.\What? response:	How do you know?
context: Miuna!\Miuna-chan!\We told you to stay right there!\H-Hey, sorry about earlier.\She's here.\Manaka-san is nearby.\What?\How do you know? response:	I think I just met god.
context: Miuna-chan!\We told you to stay right there!\H-Hey, sorry about earlier.\She's here.\Manaka-san is nearby.\What?\How do you know?\I think I just met god. response:	God?
context: We told you to stay right there!\H-Hey, sorry about earlier.\She's here.\Manaka-san is nearby.\What?\How do you know?\I think I just met god.\God? response:	You mean the Sea God?
context: H-Hey, sorry about earlier.\She's here.\Manaka-san is nearby.\What?\How do you know?\I think I just met god.\God?\You mean the Sea God? response:	Maybe she's talking about Uroko-sama.
context: She's here.\Manaka-san is nearby.\What?\How do you know?\I think I just met god.\God?\You mean the Sea God?\Maybe she's talking about Uroko-sama. response:	Uroko-sama?
context: Manaka-san is nearby.\What?\How do you know?\I think I just met god.\God?\You mean the Sea God?\Maybe she's talking about Uroko-sama.\Uroko-sama? response:	I wonder if he didn't fall asleep?
context: What?\How do you know?\I think I just met god.\God?\You mean the Sea God?\Maybe she's talking about Uroko-sama.\Uroko-sama?\I wonder if he didn't fall asleep? response:	He's the protector of this village, so he probably wouldn't.
context: How do you know?\I think I just met god.\God?\You mean the Sea God?\Maybe she's talking about Uroko-sama.\Uroko-sama?\I wonder if he didn't fall asleep?\He's the protector of this village, so he probably wouldn't. response:	What is this place?
context: I think I just met god.\God?\You mean the Sea God?\Maybe she's talking about Uroko-sama.\Uroko-sama?\I wonder if he didn't fall asleep?\He's the protector of this village, so he probably wouldn't.\What is this place? response:	I don't know.
context: God?\You mean the Sea God?\Maybe she's talking about Uroko-sama.\Uroko-sama?\I wonder if he didn't fall asleep?\He's the protector of this village, so he probably wouldn't.\What is this place?\I don't know. response:	This was a play area for us and we used to
context: You mean the Sea God?\Maybe she's talking about Uroko-sama.\Uroko-sama?\I wonder if he didn't fall asleep?\He's the protector of this village, so he probably wouldn't.\What is this place?\I don't know.\This was a play area for us and we used to response:	run around here when we were in grade school,
context: Maybe she's talking about Uroko-sama.\Uroko-sama?\I wonder if he didn't fall asleep?\He's the protector of this village, so he probably wouldn't.\What is this place?\I don't know.\This was a play area for us and we used to\run around here when we were in grade school, response:	but I've never seen this place.
context: Uroko-sama?\I wonder if he didn't fall asleep?\He's the protector of this village, so he probably wouldn't.\What is this place?\I don't know.\This was a play area for us and we used to\run around here when we were in grade school,\but I've never seen this place. response:	What is this?
context: I wonder if he didn't fall asleep?\He's the protector of this village, so he probably wouldn't.\What is this place?\I don't know.\This was a play area for us and we used to\run around here when we were in grade school,\but I've never seen this place.\What is this? response:	Are these...
context: He's the protector of this village, so he probably wouldn't.\What is this place?\I don't know.\This was a play area for us and we used to\run around here when we were in grade school,\but I've never seen this place.\What is this?\Are these... response:	All Ojoshi-samas?
context: What is this place?\I don't know.\This was a play area for us and we used to\run around here when we were in grade school,\but I've never seen this place.\What is this?\Are these...\All Ojoshi-samas? response:	Yeah.
context: I don't know.\This was a play area for us and we used to\run around here when we were in grade school,\but I've never seen this place.\What is this?\Are these...\All Ojoshi-samas?\Yeah. response:	These are probably the Ojoshi-samas that were sent down over the years...
context: This was a play area for us and we used to\run around here when we were in grade school,\but I've never seen this place.\What is this?\Are these...\All Ojoshi-samas?\Yeah.\These are probably the Ojoshi-samas that were sent down over the years... response:	All of them.
context: run around here when we were in grade school,\but I've never seen this place.\What is this?\Are these...\All Ojoshi-samas?\Yeah.\These are probably the Ojoshi-samas that were sent down over the years...\All of them. response:	A graveyard of Ojoshi-samas...
context: but I've never seen this place.\What is this?\Are these...\All Ojoshi-samas?\Yeah.\These are probably the Ojoshi-samas that were sent down over the years...\All of them.\A graveyard of Ojoshi-samas... response:	What is that?
context: What is this?\Are these...\All Ojoshi-samas?\Yeah.\These are probably the Ojoshi-samas that were sent down over the years...\All of them.\A graveyard of Ojoshi-samas...\What is that? response:	Hey, Hikari! Wait!
context: Are these...\All Ojoshi-samas?\Yeah.\These are probably the Ojoshi-samas that were sent down over the years...\All of them.\A graveyard of Ojoshi-samas...\What is that?\Hey, Hikari! Wait! response:	Miuna-chan, wait right here.
context: All Ojoshi-samas?\Yeah.\These are probably the Ojoshi-samas that were sent down over the years...\All of them.\A graveyard of Ojoshi-samas...\What is that?\Hey, Hikari! Wait!\Miuna-chan, wait right here. response:	Whoa!
context: Yeah.\These are probably the Ojoshi-samas that were sent down over the years...\All of them.\A graveyard of Ojoshi-samas...\What is that?\Hey, Hikari! Wait!\Miuna-chan, wait right here.\Whoa! response:	Hikari! Are you okay?
context: These are probably the Ojoshi-samas that were sent down over the years...\All of them.\A graveyard of Ojoshi-samas...\What is that?\Hey, Hikari! Wait!\Miuna-chan, wait right here.\Whoa!\Hikari! Are you okay? response:	Yeah.
context: All of them.\A graveyard of Ojoshi-samas...\What is that?\Hey, Hikari! Wait!\Miuna-chan, wait right here.\Whoa!\Hikari! Are you okay?\Yeah. response:	Manaka...
context: A graveyard of Ojoshi-samas...\What is that?\Hey, Hikari! Wait!\Miuna-chan, wait right here.\Whoa!\Hikari! Are you okay?\Yeah.\Manaka... response:	Hikari, wait!
context: What is that?\Hey, Hikari! Wait!\Miuna-chan, wait right here.\Whoa!\Hikari! Are you okay?\Yeah.\Manaka...\Hikari, wait! response:	Tsumugu told us, remember?
context: Hey, Hikari! Wait!\Miuna-chan, wait right here.\Whoa!\Hikari! Are you okay?\Yeah.\Manaka...\Hikari, wait!\Tsumugu told us, remember? response:	We can't force people who are sleeping to wake up.
context: Miuna-chan, wait right here.\Whoa!\Hikari! Are you okay?\Yeah.\Manaka...\Hikari, wait!\Tsumugu told us, remember?\We can't force people who are sleeping to wake up. response:	No one knows what kind of effect that may have on them.
context: Whoa!\Hikari! Are you okay?\Yeah.\Manaka...\Hikari, wait!\Tsumugu told us, remember?\We can't force people who are sleeping to wake up.\No one knows what kind of effect that may have on them. response:	Oh?
context: Hikari! Are you okay?\Yeah.\Manaka...\Hikari, wait!\Tsumugu told us, remember?\We can't force people who are sleeping to wake up.\No one knows what kind of effect that may have on them.\Oh? response:	So that's what you were looking for...
context: Yeah.\Manaka...\Hikari, wait!\Tsumugu told us, remember?\We can't force people who are sleeping to wake up.\No one knows what kind of effect that may have on them.\Oh?\So that's what you were looking for... response:	I just wanted to come to Shioshishio.
context: Manaka...\Hikari, wait!\Tsumugu told us, remember?\We can't force people who are sleeping to wake up.\No one knows what kind of effect that may have on them.\Oh?\So that's what you were looking for...\I just wanted to come to Shioshishio. response:	That is nothing more than a child's fib.
context: Hikari, wait!\Tsumugu told us, remember?\We can't force people who are sleeping to wake up.\No one knows what kind of effect that may have on them.\Oh?\So that's what you were looking for...\I just wanted to come to Shioshishio.\That is nothing more than a child's fib. response:	It's just like you said...
context: Tsumugu told us, remember?\We can't force people who are sleeping to wake up.\No one knows what kind of effect that may have on them.\Oh?\So that's what you were looking for...\I just wanted to come to Shioshishio.\That is nothing more than a child's fib.\It's just like you said... response:	Once something appears, something is lost.
context: We can't force people who are sleeping to wake up.\No one knows what kind of effect that may have on them.\Oh?\So that's what you were looking for...\I just wanted to come to Shioshishio.\That is nothing more than a child's fib.\It's just like you said...\Once something appears, something is lost. response:	Therefore, it all equals out in the end.
context: No one knows what kind of effect that may have on them.\Oh?\So that's what you were looking for...\I just wanted to come to Shioshishio.\That is nothing more than a child's fib.\It's just like you said...\Once something appears, something is lost.\Therefore, it all equals out in the end. response:	Manaka, what are you doing there?
context: Oh?\So that's what you were looking for...\I just wanted to come to Shioshishio.\That is nothing more than a child's fib.\It's just like you said...\Once something appears, something is lost.\Therefore, it all equals out in the end.\Manaka, what are you doing there? response:	All of us are waiting for you.
context: So that's what you were looking for...\I just wanted to come to Shioshishio.\That is nothing more than a child's fib.\It's just like you said...\Once something appears, something is lost.\Therefore, it all equals out in the end.\Manaka, what are you doing there?\All of us are waiting for you. response:	You're not an Ojoshi-sama,
context: I just wanted to come to Shioshishio.\That is nothing more than a child's fib.\It's just like you said...\Once something appears, something is lost.\Therefore, it all equals out in the end.\Manaka, what are you doing there?\All of us are waiting for you.\You're not an Ojoshi-sama, response:	so you don't have to be there...
context: That is nothing more than a child's fib.\It's just like you said...\Once something appears, something is lost.\Therefore, it all equals out in the end.\Manaka, what are you doing there?\All of us are waiting for you.\You're not an Ojoshi-sama,\so you don't have to be there... response:	Manaka-san's trying to wake up?
context: It's just like you said...\Once something appears, something is lost.\Therefore, it all equals out in the end.\Manaka, what are you doing there?\All of us are waiting for you.\You're not an Ojoshi-sama,\so you don't have to be there...\Manaka-san's trying to wake up? response:	Ena?
context: Once something appears, something is lost.\Therefore, it all equals out in the end.\Manaka, what are you doing there?\All of us are waiting for you.\You're not an Ojoshi-sama,\so you don't have to be there...\Manaka-san's trying to wake up?\Ena? response:	This sound!
context: Therefore, it all equals out in the end.\Manaka, what are you doing there?\All of us are waiting for you.\You're not an Ojoshi-sama,\so you don't have to be there...\Manaka-san's trying to wake up?\Ena?\This sound! response:	This is...
context: Manaka, what are you doing there?\All of us are waiting for you.\You're not an Ojoshi-sama,\so you don't have to be there...\Manaka-san's trying to wake up?\Ena?\This sound!\This is... response:	Her Ena's coming off.
context: All of us are waiting for you.\You're not an Ojoshi-sama,\so you don't have to be there...\Manaka-san's trying to wake up?\Ena?\This sound!\This is...\Her Ena's coming off. response:	She's losing her Ena.
context: You're not an Ojoshi-sama,\so you don't have to be there...\Manaka-san's trying to wake up?\Ena?\This sound!\This is...\Her Ena's coming off.\She's losing her Ena. response:	Why?
context: so you don't have to be there...\Manaka-san's trying to wake up?\Ena?\This sound!\This is...\Her Ena's coming off.\She's losing her Ena.\Why? response:	Why is something like this happening?
context: Manaka-san's trying to wake up?\Ena?\This sound!\This is...\Her Ena's coming off.\She's losing her Ena.\Why?\Why is something like this happening? response:	It's messed up!
context: Ena?\This sound!\This is...\Her Ena's coming off.\She's losing her Ena.\Why?\Why is something like this happening?\It's messed up! response:	If that happens, Manaka's gonna die!
context: This sound!\This is...\Her Ena's coming off.\She's losing her Ena.\Why?\Why is something like this happening?\It's messed up!\If that happens, Manaka's gonna die! response:	I'll save you right now!
context: This is...\Her Ena's coming off.\She's losing her Ena.\Why?\Why is something like this happening?\It's messed up!\If that happens, Manaka's gonna die!\I'll save you right now! response:	Hikari! What are you doing?
context: Her Ena's coming off.\She's losing her Ena.\Why?\Why is something like this happening?\It's messed up!\If that happens, Manaka's gonna die!\I'll save you right now!\Hikari! What are you doing? response:	Help me!
context: She's losing her Ena.\Why?\Why is something like this happening?\It's messed up!\If that happens, Manaka's gonna die!\I'll save you right now!\Hikari! What are you doing?\Help me! response:	We're going to take Manaka to the shore.
context: Why?\Why is something like this happening?\It's messed up!\If that happens, Manaka's gonna die!\I'll save you right now!\Hikari! What are you doing?\Help me!\We're going to take Manaka to the shore. response:	At this rate, Manaka's going to die!
context: Why is something like this happening?\It's messed up!\If that happens, Manaka's gonna die!\I'll save you right now!\Hikari! What are you doing?\Help me!\We're going to take Manaka to the shore.\At this rate, Manaka's going to die! response:	All right.
context: It's messed up!\If that happens, Manaka's gonna die!\I'll save you right now!\Hikari! What are you doing?\Help me!\We're going to take Manaka to the shore.\At this rate, Manaka's going to die!\All right. response:	Wait, Hikari.
context: If that happens, Manaka's gonna die!\I'll save you right now!\Hikari! What are you doing?\Help me!\We're going to take Manaka to the shore.\At this rate, Manaka's going to die!\All right.\Wait, Hikari. response:	Turn away for a second.
context: I'll save you right now!\Hikari! What are you doing?\Help me!\We're going to take Manaka to the shore.\At this rate, Manaka's going to die!\All right.\Wait, Hikari.\Turn away for a second. response:	Let's hurry.
context: Hikari! What are you doing?\Help me!\We're going to take Manaka to the shore.\At this rate, Manaka's going to die!\All right.\Wait, Hikari.\Turn away for a second.\Let's hurry. response:	Wait!
context: Help me!\We're going to take Manaka to the shore.\At this rate, Manaka's going to die!\All right.\Wait, Hikari.\Turn away for a second.\Let's hurry.\Wait! response:	Could it be that the Sea God is angry?
context: We're going to take Manaka to the shore.\At this rate, Manaka's going to die!\All right.\Wait, Hikari.\Turn away for a second.\Let's hurry.\Wait!\Could it be that the Sea God is angry? response:	About us taking Manaka back?
context: At this rate, Manaka's going to die!\All right.\Wait, Hikari.\Turn away for a second.\Let's hurry.\Wait!\Could it be that the Sea God is angry?\About us taking Manaka back? response:	The hell if I care!
context: All right.\Wait, Hikari.\Turn away for a second.\Let's hurry.\Wait!\Could it be that the Sea God is angry?\About us taking Manaka back?\The hell if I care! response:	Let's go, Miuna-chan.
context: Wait, Hikari.\Turn away for a second.\Let's hurry.\Wait!\Could it be that the Sea God is angry?\About us taking Manaka back?\The hell if I care!\Let's go, Miuna-chan. response:	Hikari! Not that way!
context: Turn away for a second.\Let's hurry.\Wait!\Could it be that the Sea God is angry?\About us taking Manaka back?\The hell if I care!\Let's go, Miuna-chan.\Hikari! Not that way! response:	The sound is coming from over here!
context: Let's hurry.\Wait!\Could it be that the Sea God is angry?\About us taking Manaka back?\The hell if I care!\Let's go, Miuna-chan.\Hikari! Not that way!\The sound is coming from over here! response:	Manaka...
context: Wait!\Could it be that the Sea God is angry?\About us taking Manaka back?\The hell if I care!\Let's go, Miuna-chan.\Hikari! Not that way!\The sound is coming from over here!\Manaka... response:	At that time...
context: Could it be that the Sea God is angry?\About us taking Manaka back?\The hell if I care!\Let's go, Miuna-chan.\Hikari! Not that way!\The sound is coming from over here!\Manaka...\At that time... response:	No matter how far I reached, it didn't get to you.
context: About us taking Manaka back?\The hell if I care!\Let's go, Miuna-chan.\Hikari! Not that way!\The sound is coming from over here!\Manaka...\At that time...\No matter how far I reached, it didn't get to you. response:	But never again.
context: The hell if I care!\Let's go, Miuna-chan.\Hikari! Not that way!\The sound is coming from over here!\Manaka...\At that time...\No matter how far I reached, it didn't get to you.\But never again. response:	I'm never letting go.
context: Let's go, Miuna-chan.\Hikari! Not that way!\The sound is coming from over here!\Manaka...\At that time...\No matter how far I reached, it didn't get to you.\But never again.\I'm never letting go. response:	Episode Nineteen: The Lost, Lost Little...
