context: Akaashi... response:	Don't toss to me anymore!
context: so could you hit some of my tosses?\Oh, sure.\Noya-san! Let me hit some, too.\Yeah! Sure thing, Ryu!\Oh, me, too.\Ah! Are you going to toss some up for us, too?\Thanks!\Oh, no, no. response:	I'm going to hit some.
context: Oh, sure.\Noya-san! Let me hit some, too.\Yeah! Sure thing, Ryu!\Oh, me, too.\Ah! Are you going to toss some up for us, too?\Thanks!\Oh, no, no.\I'm going to hit some. response:	Damn it. If our quick was just a little more complete,
context: Noya-san! Let me hit some, too.\Yeah! Sure thing, Ryu!\Oh, me, too.\Ah! Are you going to toss some up for us, too?\Thanks!\Oh, no, no.\I'm going to hit some.\Damn it. If our quick was just a little more complete, response:	we might have been able to get a set from Fukurodani.
context: Yeah! Sure thing, Ryu!\Oh, me, too.\Ah! Are you going to toss some up for us, too?\Thanks!\Oh, no, no.\I'm going to hit some.\Damn it. If our quick was just a little more complete,\we might have been able to get a set from Fukurodani. response:	But now we can fight.
context: Oh, me, too.\Ah! Are you going to toss some up for us, too?\Thanks!\Oh, no, no.\I'm going to hit some.\Damn it. If our quick was just a little more complete,\we might have been able to get a set from Fukurodani.\But now we can fight. response:	Even if they read us or catch up to us...
context: Ah! Are you going to toss some up for us, too?\Thanks!\Oh, no, no.\I'm going to hit some.\Damn it. If our quick was just a little more complete,\we might have been able to get a set from Fukurodani.\But now we can fight.\Even if they read us or catch up to us... response:	We can fight!
context: Thanks!\Oh, no, no.\I'm going to hit some.\Damn it. If our quick was just a little more complete,\we might have been able to get a set from Fukurodani.\But now we can fight.\Even if they read us or catch up to us...\We can fight! response:	That all depends on my tosses.
context: Oh, no, no.\I'm going to hit some.\Damn it. If our quick was just a little more complete,\we might have been able to get a set from Fukurodani.\But now we can fight.\Even if they read us or catch up to us...\We can fight!\That all depends on my tosses. response:	You'll get it eventually, so it'll be fine.
context: I'm going to hit some.\Damn it. If our quick was just a little more complete,\we might have been able to get a set from Fukurodani.\But now we can fight.\Even if they read us or catch up to us...\We can fight!\That all depends on my tosses.\You'll get it eventually, so it'll be fine. response:	Don't decide things for me!
context: Damn it. If our quick was just a little more complete,\we might have been able to get a set from Fukurodani.\But now we can fight.\Even if they read us or catch up to us...\We can fight!\That all depends on my tosses.\You'll get it eventually, so it'll be fine.\Don't decide things for me! response:	So you're saying you won't be able to?
context: we might have been able to get a set from Fukurodani.\But now we can fight.\Even if they read us or catch up to us...\We can fight!\That all depends on my tosses.\You'll get it eventually, so it'll be fine.\Don't decide things for me!\So you're saying you won't be able to? response:	Of course I'll be able to, dumbass!
context: But now we can fight.\Even if they read us or catch up to us...\We can fight!\That all depends on my tosses.\You'll get it eventually, so it'll be fine.\Don't decide things for me!\So you're saying you won't be able to?\Of course I'll be able to, dumbass! response:	So you can!
context: Even if they read us or catch up to us...\We can fight!\That all depends on my tosses.\You'll get it eventually, so it'll be fine.\Don't decide things for me!\So you're saying you won't be able to?\Of course I'll be able to, dumbass!\So you can! response:	Let's go practice that quick!
context: We can fight!\That all depends on my tosses.\You'll get it eventually, so it'll be fine.\Don't decide things for me!\So you're saying you won't be able to?\Of course I'll be able to, dumbass!\So you can!\Let's go practice that quick! response:	You can actually feel how stupid they are from that conversation.
context: That all depends on my tosses.\You'll get it eventually, so it'll be fine.\Don't decide things for me!\So you're saying you won't be able to?\Of course I'll be able to, dumbass!\So you can!\Let's go practice that quick!\You can actually feel how stupid they are from that conversation. response:	Yeah!
context: You'll get it eventually, so it'll be fine.\Don't decide things for me!\So you're saying you won't be able to?\Of course I'll be able to, dumbass!\So you can!\Let's go practice that quick!\You can actually feel how stupid they are from that conversation.\Yeah! response:	As soon as we get back, we have the first spring tournament prelims.
context: Don't decide things for me!\So you're saying you won't be able to?\Of course I'll be able to, dumbass!\So you can!\Let's go practice that quick!\You can actually feel how stupid they are from that conversation.\Yeah!\As soon as we get back, we have the first spring tournament prelims. response:	Yeah. If we're going to come here again, it'll be after that.
context: So you're saying you won't be able to?\Of course I'll be able to, dumbass!\So you can!\Let's go practice that quick!\You can actually feel how stupid they are from that conversation.\Yeah!\As soon as we get back, we have the first spring tournament prelims.\Yeah. If we're going to come here again, it'll be after that. response:	I wonder if it'll be cooler by then.
context: Of course I'll be able to, dumbass!\So you can!\Let's go practice that quick!\You can actually feel how stupid they are from that conversation.\Yeah!\As soon as we get back, we have the first spring tournament prelims.\Yeah. If we're going to come here again, it'll be after that.\I wonder if it'll be cooler by then. response:	There'll still be some lingering summer heat.
context: So you can!\Let's go practice that quick!\You can actually feel how stupid they are from that conversation.\Yeah!\As soon as we get back, we have the first spring tournament prelims.\Yeah. If we're going to come here again, it'll be after that.\I wonder if it'll be cooler by then.\There'll still be some lingering summer heat. response:	What's wrong, Suga?
context: Let's go practice that quick!\You can actually feel how stupid they are from that conversation.\Yeah!\As soon as we get back, we have the first spring tournament prelims.\Yeah. If we're going to come here again, it'll be after that.\I wonder if it'll be cooler by then.\There'll still be some lingering summer heat.\What's wrong, Suga? response:	If we don't make it through,
context: You can actually feel how stupid they are from that conversation.\Yeah!\As soon as we get back, we have the first spring tournament prelims.\Yeah. If we're going to come here again, it'll be after that.\I wonder if it'll be cooler by then.\There'll still be some lingering summer heat.\What's wrong, Suga?\If we don't make it through, response:	the three of us won't be able to come back.
context: Yeah!\As soon as we get back, we have the first spring tournament prelims.\Yeah. If we're going to come here again, it'll be after that.\I wonder if it'll be cooler by then.\There'll still be some lingering summer heat.\What's wrong, Suga?\If we don't make it through,\the three of us won't be able to come back. response:	There it is! Negative goatee!
context: As soon as we get back, we have the first spring tournament prelims.\Yeah. If we're going to come here again, it'll be after that.\I wonder if it'll be cooler by then.\There'll still be some lingering summer heat.\What's wrong, Suga?\If we don't make it through,\the three of us won't be able to come back.\There it is! Negative goatee! response:	What the...
context: Yeah. If we're going to come here again, it'll be after that.\I wonder if it'll be cooler by then.\There'll still be some lingering summer heat.\What's wrong, Suga?\If we don't make it through,\the three of us won't be able to come back.\There it is! Negative goatee!\What the... response:	Of course we're all coming back, dumbass.
context: I wonder if it'll be cooler by then.\There'll still be some lingering summer heat.\What's wrong, Suga?\If we don't make it through,\the three of us won't be able to come back.\There it is! Negative goatee!\What the...\Of course we're all coming back, dumbass. response:	You're right. Sorry.
context: There'll still be some lingering summer heat.\What's wrong, Suga?\If we don't make it through,\the three of us won't be able to come back.\There it is! Negative goatee!\What the...\Of course we're all coming back, dumbass.\You're right. Sorry. response:	Negativity, begone!
context: What's wrong, Suga?\If we don't make it through,\the three of us won't be able to come back.\There it is! Negative goatee!\What the...\Of course we're all coming back, dumbass.\You're right. Sorry.\Negativity, begone! response:	Ow!
context: If we don't make it through,\the three of us won't be able to come back.\There it is! Negative goatee!\What the...\Of course we're all coming back, dumbass.\You're right. Sorry.\Negativity, begone!\Ow! response:	Actually, you sounded like Kageyama just now.
context: the three of us won't be able to come back.\There it is! Negative goatee!\What the...\Of course we're all coming back, dumbass.\You're right. Sorry.\Negativity, begone!\Ow!\Actually, you sounded like Kageyama just now. response:	Dumbass! Hinata, you dumbass!
context: There it is! Negative goatee!\What the...\Of course we're all coming back, dumbass.\You're right. Sorry.\Negativity, begone!\Ow!\Actually, you sounded like Kageyama just now.\Dumbass! Hinata, you dumbass! response:	You sound just like him!
context: What the...\Of course we're all coming back, dumbass.\You're right. Sorry.\Negativity, begone!\Ow!\Actually, you sounded like Kageyama just now.\Dumbass! Hinata, you dumbass!\You sound just like him! response:	Do it again!
context: Of course we're all coming back, dumbass.\You're right. Sorry.\Negativity, begone!\Ow!\Actually, you sounded like Kageyama just now.\Dumbass! Hinata, you dumbass!\You sound just like him!\Do it again! response:	I-I feel like I'm getting doubly yelled at.
context: You're right. Sorry.\Negativity, begone!\Ow!\Actually, you sounded like Kageyama just now.\Dumbass! Hinata, you dumbass!\You sound just like him!\Do it again!\I-I feel like I'm getting doubly yelled at. response:	Huh?
context: Negativity, begone!\Ow!\Actually, you sounded like Kageyama just now.\Dumbass! Hinata, you dumbass!\You sound just like him!\Do it again!\I-I feel like I'm getting doubly yelled at.\Huh? response:	All right, meat!
context: Ow!\Actually, you sounded like Kageyama just now.\Dumbass! Hinata, you dumbass!\You sound just like him!\Do it again!\I-I feel like I'm getting doubly yelled at.\Huh?\All right, meat! response:	I'm starving!
context: Actually, you sounded like Kageyama just now.\Dumbass! Hinata, you dumbass!\You sound just like him!\Do it again!\I-I feel like I'm getting doubly yelled at.\Huh?\All right, meat!\I'm starving! response:	Could you take this plate to Miyanoshita-san?
context: Dumbass! Hinata, you dumbass!\You sound just like him!\Do it again!\I-I feel like I'm getting doubly yelled at.\Huh?\All right, meat!\I'm starving!\Could you take this plate to Miyanoshita-san? response:	Sure.
context: You sound just like him!\Do it again!\I-I feel like I'm getting doubly yelled at.\Huh?\All right, meat!\I'm starving!\Could you take this plate to Miyanoshita-san?\Sure. response:	There we go.
context: Do it again!\I-I feel like I'm getting doubly yelled at.\Huh?\All right, meat!\I'm starving!\Could you take this plate to Miyanoshita-san?\Sure.\There we go. response:	Apparently, even Bokuto-san has his bad days.
context: I-I feel like I'm getting doubly yelled at.\Huh?\All right, meat!\I'm starving!\Could you take this plate to Miyanoshita-san?\Sure.\There we go.\Apparently, even Bokuto-san has his bad days. response:	Yeah. Well, he self-destructs at the most random times.
context: Huh?\All right, meat!\I'm starving!\Could you take this plate to Miyanoshita-san?\Sure.\There we go.\Apparently, even Bokuto-san has his bad days.\Yeah. Well, he self-destructs at the most random times. response:	Kalbi, skirt steak, tongue, offals, liver, sirloin, tripe, large intestine...
context: All right, meat!\I'm starving!\Could you take this plate to Miyanoshita-san?\Sure.\There we go.\Apparently, even Bokuto-san has his bad days.\Yeah. Well, he self-destructs at the most random times.\Kalbi, skirt steak, tongue, offals, liver, sirloin, tripe, large intestine... response:	But it doesn't bug him if our enemy is strong,
context: I'm starving!\Could you take this plate to Miyanoshita-san?\Sure.\There we go.\Apparently, even Bokuto-san has his bad days.\Yeah. Well, he self-destructs at the most random times.\Kalbi, skirt steak, tongue, offals, liver, sirloin, tripe, large intestine...\But it doesn't bug him if our enemy is strong, response:	so we're usually okay.
context: Could you take this plate to Miyanoshita-san?\Sure.\There we go.\Apparently, even Bokuto-san has his bad days.\Yeah. Well, he self-destructs at the most random times.\Kalbi, skirt steak, tongue, offals, liver, sirloin, tripe, large intestine...\But it doesn't bug him if our enemy is strong,\so we're usually okay. response:	When everyone else on the team loses hope,
context: Sure.\There we go.\Apparently, even Bokuto-san has his bad days.\Yeah. Well, he self-destructs at the most random times.\Kalbi, skirt steak, tongue, offals, liver, sirloin, tripe, large intestine...\But it doesn't bug him if our enemy is strong,\so we're usually okay.\When everyone else on the team loses hope, response:	he's usually still pretty energetic.
context: There we go.\Apparently, even Bokuto-san has his bad days.\Yeah. Well, he self-destructs at the most random times.\Kalbi, skirt steak, tongue, offals, liver, sirloin, tripe, large intestine...\But it doesn't bug him if our enemy is strong,\so we're usually okay.\When everyone else on the team loses hope,\he's usually still pretty energetic. response:	Despite everything, he's pretty reliable.
context: Apparently, even Bokuto-san has his bad days.\Yeah. Well, he self-destructs at the most random times.\Kalbi, skirt steak, tongue, offals, liver, sirloin, tripe, large intestine...\But it doesn't bug him if our enemy is strong,\so we're usually okay.\When everyone else on the team loses hope,\he's usually still pretty energetic.\Despite everything, he's pretty reliable. response:	Bokuto-san!
context: Yeah. Well, he self-destructs at the most random times.\Kalbi, skirt steak, tongue, offals, liver, sirloin, tripe, large intestine...\But it doesn't bug him if our enemy is strong,\so we're usually okay.\When everyone else on the team loses hope,\he's usually still pretty energetic.\Despite everything, he's pretty reliable.\Bokuto-san! response:	Oh?
context: Kalbi, skirt steak, tongue, offals, liver, sirloin, tripe, large intestine...\But it doesn't bug him if our enemy is strong,\so we're usually okay.\When everyone else on the team loses hope,\he's usually still pretty energetic.\Despite everything, he's pretty reliable.\Bokuto-san!\Oh? response:	W-We're not gonna lose in an actual match!
context: But it doesn't bug him if our enemy is strong,\so we're usually okay.\When everyone else on the team loses hope,\he's usually still pretty energetic.\Despite everything, he's pretty reliable.\Bokuto-san!\Oh?\W-We're not gonna lose in an actual match! response:	Oh, yeah?! Bring it on, then!
context: so we're usually okay.\When everyone else on the team loses hope,\he's usually still pretty energetic.\Despite everything, he's pretty reliable.\Bokuto-san!\Oh?\W-We're not gonna lose in an actual match!\Oh, yeah?! Bring it on, then! response:	Before the spring tournament,
context: When everyone else on the team loses hope,\he's usually still pretty energetic.\Despite everything, he's pretty reliable.\Bokuto-san!\Oh?\W-We're not gonna lose in an actual match!\Oh, yeah?! Bring it on, then!\Before the spring tournament, response:	we need to have our meat war, Hinata!
context: he's usually still pretty energetic.\Despite everything, he's pretty reliable.\Bokuto-san!\Oh?\W-We're not gonna lose in an actual match!\Oh, yeah?! Bring it on, then!\Before the spring tournament,\we need to have our meat war, Hinata! response:	Ahem.
context: Despite everything, he's pretty reliable.\Bokuto-san!\Oh?\W-We're not gonna lose in an actual match!\Oh, yeah?! Bring it on, then!\Before the spring tournament,\we need to have our meat war, Hinata!\Ahem. response:	Well done on the week-long training camp, everyone.
context: Bokuto-san!\Oh?\W-We're not gonna lose in an actual match!\Oh, yeah?! Bring it on, then!\Before the spring tournament,\we need to have our meat war, Hinata!\Ahem.\Well done on the week-long training camp, everyone. response:	Nothing puts a smile on your face more than filling your stomach with good food!
context: Oh?\W-We're not gonna lose in an actual match!\Oh, yeah?! Bring it on, then!\Before the spring tournament,\we need to have our meat war, Hinata!\Ahem.\Well done on the week-long training camp, everyone.\Nothing puts a smile on your face more than filling your stomach with good food! response:	Eat all the meat you can.
context: W-We're not gonna lose in an actual match!\Oh, yeah?! Bring it on, then!\Before the spring tournament,\we need to have our meat war, Hinata!\Ahem.\Well done on the week-long training camp, everyone.\Nothing puts a smile on your face more than filling your stomach with good food!\Eat all the meat you can. response:	Thanks for the food!
context: Oh, yeah?! Bring it on, then!\Before the spring tournament,\we need to have our meat war, Hinata!\Ahem.\Well done on the week-long training camp, everyone.\Nothing puts a smile on your face more than filling your stomach with good food!\Eat all the meat you can.\Thanks for the food! response:	So then, Kenma...
context: Before the spring tournament,\we need to have our meat war, Hinata!\Ahem.\Well done on the week-long training camp, everyone.\Nothing puts a smile on your face more than filling your stomach with good food!\Eat all the meat you can.\Thanks for the food!\So then, Kenma... response:	Hey! Bokuto, you bastard!
context: we need to have our meat war, Hinata!\Ahem.\Well done on the week-long training camp, everyone.\Nothing puts a smile on your face more than filling your stomach with good food!\Eat all the meat you can.\Thanks for the food!\So then, Kenma...\Hey! Bokuto, you bastard! response:	Don't you steal my meat, you jerk!
context: Ahem.\Well done on the week-long training camp, everyone.\Nothing puts a smile on your face more than filling your stomach with good food!\Eat all the meat you can.\Thanks for the food!\So then, Kenma...\Hey! Bokuto, you bastard!\Don't you steal my meat, you jerk! response:	Have a riceball.
context: Well done on the week-long training camp, everyone.\Nothing puts a smile on your face more than filling your stomach with good food!\Eat all the meat you can.\Thanks for the food!\So then, Kenma...\Hey! Bokuto, you bastard!\Don't you steal my meat, you jerk!\Have a riceball. response:	Oh, thank you.
context: Nothing puts a smile on your face more than filling your stomach with good food!\Eat all the meat you can.\Thanks for the food!\So then, Kenma...\Hey! Bokuto, you bastard!\Don't you steal my meat, you jerk!\Have a riceball.\Oh, thank you. response:	What?!
context: Eat all the meat you can.\Thanks for the food!\So then, Kenma...\Hey! Bokuto, you bastard!\Don't you steal my meat, you jerk!\Have a riceball.\Oh, thank you.\What?! response:	You understand, don't you, Ryu?
context: Thanks for the food!\So then, Kenma...\Hey! Bokuto, you bastard!\Don't you steal my meat, you jerk!\Have a riceball.\Oh, thank you.\What?!\You understand, don't you, Ryu? response:	Of course.
context: So then, Kenma...\Hey! Bokuto, you bastard!\Don't you steal my meat, you jerk!\Have a riceball.\Oh, thank you.\What?!\You understand, don't you, Ryu?\Of course. response:	Tora.
context: Hey! Bokuto, you bastard!\Don't you steal my meat, you jerk!\Have a riceball.\Oh, thank you.\What?!\You understand, don't you, Ryu?\Of course.\Tora. response:	Yes, Master.
context: Don't you steal my meat, you jerk!\Have a riceball.\Oh, thank you.\What?!\You understand, don't you, Ryu?\Of course.\Tora.\Yes, Master. response:	Don't you dare let any of them try to use this opportunity
context: Have a riceball.\Oh, thank you.\What?!\You understand, don't you, Ryu?\Of course.\Tora.\Yes, Master.\Don't you dare let any of them try to use this opportunity response:	to get closer to Kiyoko-san.
context: Oh, thank you.\What?!\You understand, don't you, Ryu?\Of course.\Tora.\Yes, Master.\Don't you dare let any of them try to use this opportunity\to get closer to Kiyoko-san. response:	As you wish!
context: What?!\You understand, don't you, Ryu?\Of course.\Tora.\Yes, Master.\Don't you dare let any of them try to use this opportunity\to get closer to Kiyoko-san.\As you wish! response:	Go, go!
context: You understand, don't you, Ryu?\Of course.\Tora.\Yes, Master.\Don't you dare let any of them try to use this opportunity\to get closer to Kiyoko-san.\As you wish!\Go, go! response:	You go.
context: Of course.\Tora.\Yes, Master.\Don't you dare let any of them try to use this opportunity\to get closer to Kiyoko-san.\As you wish!\Go, go!\You go. response:	I wonder why Nishinoya-san's the master.
context: Tora.\Yes, Master.\Don't you dare let any of them try to use this opportunity\to get closer to Kiyoko-san.\As you wish!\Go, go!\You go.\I wonder why Nishinoya-san's the master. response:	Apparently, it's because he's the only one
context: Yes, Master.\Don't you dare let any of them try to use this opportunity\to get closer to Kiyoko-san.\As you wish!\Go, go!\You go.\I wonder why Nishinoya-san's the master.\Apparently, it's because he's the only one response:	that's ever been slapped by Shimizu-senpai before.
context: Don't you dare let any of them try to use this opportunity\to get closer to Kiyoko-san.\As you wish!\Go, go!\You go.\I wonder why Nishinoya-san's the master.\Apparently, it's because he's the only one\that's ever been slapped by Shimizu-senpai before. response:	Ah...
context: to get closer to Kiyoko-san.\As you wish!\Go, go!\You go.\I wonder why Nishinoya-san's the master.\Apparently, it's because he's the only one\that's ever been slapped by Shimizu-senpai before.\Ah... response:	Tsukishima!
context: As you wish!\Go, go!\You go.\I wonder why Nishinoya-san's the master.\Apparently, it's because he's the only one\that's ever been slapped by Shimizu-senpai before.\Ah...\Tsukishima! response:	You need to eat more!
context: Go, go!\You go.\I wonder why Nishinoya-san's the master.\Apparently, it's because he's the only one\that's ever been slapped by Shimizu-senpai before.\Ah...\Tsukishima!\You need to eat more! response:	Er... I can't eat that much...
context: You go.\I wonder why Nishinoya-san's the master.\Apparently, it's because he's the only one\that's ever been slapped by Shimizu-senpai before.\Ah...\Tsukishima!\You need to eat more!\Er... I can't eat that much... response:	Come on, eat some veggies, too.
context: I wonder why Nishinoya-san's the master.\Apparently, it's because he's the only one\that's ever been slapped by Shimizu-senpai before.\Ah...\Tsukishima!\You need to eat more!\Er... I can't eat that much...\Come on, eat some veggies, too. response:	You, too, Kenma, damn it!
context: Apparently, it's because he's the only one\that's ever been slapped by Shimizu-senpai before.\Ah...\Tsukishima!\You need to eat more!\Er... I can't eat that much...\Come on, eat some veggies, too.\You, too, Kenma, damn it! response:	Eat some rice!
context: that's ever been slapped by Shimizu-senpai before.\Ah...\Tsukishima!\You need to eat more!\Er... I can't eat that much...\Come on, eat some veggies, too.\You, too, Kenma, damn it!\Eat some rice! response:	You mean meat! Eat some meat, Tsukki!
context: Ah...\Tsukishima!\You need to eat more!\Er... I can't eat that much...\Come on, eat some veggies, too.\You, too, Kenma, damn it!\Eat some rice!\You mean meat! Eat some meat, Tsukki! response:	Or you won't grow anymore!
context: Tsukishima!\You need to eat more!\Er... I can't eat that much...\Come on, eat some veggies, too.\You, too, Kenma, damn it!\Eat some rice!\You mean meat! Eat some meat, Tsukki!\Or you won't grow anymore! response:	Are they, like, some pushy uncles?
context: You need to eat more!\Er... I can't eat that much...\Come on, eat some veggies, too.\You, too, Kenma, damn it!\Eat some rice!\You mean meat! Eat some meat, Tsukki!\Or you won't grow anymore!\Are they, like, some pushy uncles? response:	Along with the defiant, hip youngster.
context: Er... I can't eat that much...\Come on, eat some veggies, too.\You, too, Kenma, damn it!\Eat some rice!\You mean meat! Eat some meat, Tsukki!\Or you won't grow anymore!\Are they, like, some pushy uncles?\Along with the defiant, hip youngster. response:	The generals totally see that and are having fun with it.
context: Come on, eat some veggies, too.\You, too, Kenma, damn it!\Eat some rice!\You mean meat! Eat some meat, Tsukki!\Or you won't grow anymore!\Are they, like, some pushy uncles?\Along with the defiant, hip youngster.\The generals totally see that and are having fun with it. response:	Hey, Suga-kun.
context: You, too, Kenma, damn it!\Eat some rice!\You mean meat! Eat some meat, Tsukki!\Or you won't grow anymore!\Are they, like, some pushy uncles?\Along with the defiant, hip youngster.\The generals totally see that and are having fun with it.\Hey, Suga-kun. response:	Hm?
context: Eat some rice!\You mean meat! Eat some meat, Tsukki!\Or you won't grow anymore!\Are they, like, some pushy uncles?\Along with the defiant, hip youngster.\The generals totally see that and are having fun with it.\Hey, Suga-kun.\Hm? response:	That girl from Karasuno's acting really strange... Is she okay?
context: You mean meat! Eat some meat, Tsukki!\Or you won't grow anymore!\Are they, like, some pushy uncles?\Along with the defiant, hip youngster.\The generals totally see that and are having fun with it.\Hey, Suga-kun.\Hm?\That girl from Karasuno's acting really strange... Is she okay? response:	This is like...
context: Or you won't grow anymore!\Are they, like, some pushy uncles?\Along with the defiant, hip youngster.\The generals totally see that and are having fun with it.\Hey, Suga-kun.\Hm?\That girl from Karasuno's acting really strange... Is she okay?\This is like... response:	The titans' jungle!
context: Are they, like, some pushy uncles?\Along with the defiant, hip youngster.\The generals totally see that and are having fun with it.\Hey, Suga-kun.\Hm?\That girl from Karasuno's acting really strange... Is she okay?\This is like...\The titans' jungle! response:	I smell meat... I want some so bad!
context: Along with the defiant, hip youngster.\The generals totally see that and are having fun with it.\Hey, Suga-kun.\Hm?\That girl from Karasuno's acting really strange... Is she okay?\This is like...\The titans' jungle!\I smell meat... I want some so bad! response:	Hey, is this ready to eat?!
context: The generals totally see that and are having fun with it.\Hey, Suga-kun.\Hm?\That girl from Karasuno's acting really strange... Is she okay?\This is like...\The titans' jungle!\I smell meat... I want some so bad!\Hey, is this ready to eat?! response:	But if I carelessly stormed in there, I might be eaten by accident!
context: Hey, Suga-kun.\Hm?\That girl from Karasuno's acting really strange... Is she okay?\This is like...\The titans' jungle!\I smell meat... I want some so bad!\Hey, is this ready to eat?!\But if I carelessly stormed in there, I might be eaten by accident! response:	Hey, I was planning on eating that!
context: Hm?\That girl from Karasuno's acting really strange... Is she okay?\This is like...\The titans' jungle!\I smell meat... I want some so bad!\Hey, is this ready to eat?!\But if I carelessly stormed in there, I might be eaten by accident!\Hey, I was planning on eating that! response:	They might barbecue me by accident!
context: That girl from Karasuno's acting really strange... Is she okay?\This is like...\The titans' jungle!\I smell meat... I want some so bad!\Hey, is this ready to eat?!\But if I carelessly stormed in there, I might be eaten by accident!\Hey, I was planning on eating that!\They might barbecue me by accident! response:	Can you reach? Would you like me to get you something?
context: This is like...\The titans' jungle!\I smell meat... I want some so bad!\Hey, is this ready to eat?!\But if I carelessly stormed in there, I might be eaten by accident!\Hey, I was planning on eating that!\They might barbecue me by accident!\Can you reach? Would you like me to get you something? response:	I promise I don't taste good!
context: The titans' jungle!\I smell meat... I want some so bad!\Hey, is this ready to eat?!\But if I carelessly stormed in there, I might be eaten by accident!\Hey, I was planning on eating that!\They might barbecue me by accident!\Can you reach? Would you like me to get you something?\I promise I don't taste good! response:	Er, I mean...
context: I smell meat... I want some so bad!\Hey, is this ready to eat?!\But if I carelessly stormed in there, I might be eaten by accident!\Hey, I was planning on eating that!\They might barbecue me by accident!\Can you reach? Would you like me to get you something?\I promise I don't taste good!\Er, I mean... response:	I'm fine! Thanks!
context: Hey, is this ready to eat?!\But if I carelessly stormed in there, I might be eaten by accident!\Hey, I was planning on eating that!\They might barbecue me by accident!\Can you reach? Would you like me to get you something?\I promise I don't taste good!\Er, I mean...\I'm fine! Thanks! response:	I was thinking about eating this.
context: But if I carelessly stormed in there, I might be eaten by accident!\Hey, I was planning on eating that!\They might barbecue me by accident!\Can you reach? Would you like me to get you something?\I promise I don't taste good!\Er, I mean...\I'm fine! Thanks!\I was thinking about eating this. response:	Huh? Oh.
context: Hey, I was planning on eating that!\They might barbecue me by accident!\Can you reach? Would you like me to get you something?\I promise I don't taste good!\Er, I mean...\I'm fine! Thanks!\I was thinking about eating this.\Huh? Oh. response:	S-So good...
context: They might barbecue me by accident!\Can you reach? Would you like me to get you something?\I promise I don't taste good!\Er, I mean...\I'm fine! Thanks!\I was thinking about eating this.\Huh? Oh.\S-So good... response:	It tastes like life.
context: Can you reach? Would you like me to get you something?\I promise I don't taste good!\Er, I mean...\I'm fine! Thanks!\I was thinking about eating this.\Huh? Oh.\S-So good...\It tastes like life. response:	Ya-chan... The one you ate right now
context: I promise I don't taste good!\Er, I mean...\I'm fine! Thanks!\I was thinking about eating this.\Huh? Oh.\S-So good...\It tastes like life.\Ya-chan... The one you ate right now response:	was really charred. You okay?
context: Er, I mean...\I'm fine! Thanks!\I was thinking about eating this.\Huh? Oh.\S-So good...\It tastes like life.\Ya-chan... The one you ate right now\was really charred. You okay? response:	Want some tea?
context: I'm fine! Thanks!\I was thinking about eating this.\Huh? Oh.\S-So good...\It tastes like life.\Ya-chan... The one you ate right now\was really charred. You okay?\Want some tea? response:	There's water, too.
context: I was thinking about eating this.\Huh? Oh.\S-So good...\It tastes like life.\Ya-chan... The one you ate right now\was really charred. You okay?\Want some tea?\There's water, too. response:	It looks pretty dangerous over there.
context: Huh? Oh.\S-So good...\It tastes like life.\Ya-chan... The one you ate right now\was really charred. You okay?\Want some tea?\There's water, too.\It looks pretty dangerous over there. response:	Yeah... They'd probably get the cops called on them if this was in the city.
context: S-So good...\It tastes like life.\Ya-chan... The one you ate right now\was really charred. You okay?\Want some tea?\There's water, too.\It looks pretty dangerous over there.\Yeah... They'd probably get the cops called on them if this was in the city. response:	I definitely don't want them surrounding me.
context: It tastes like life.\Ya-chan... The one you ate right now\was really charred. You okay?\Want some tea?\There's water, too.\It looks pretty dangerous over there.\Yeah... They'd probably get the cops called on them if this was in the city.\I definitely don't want them surrounding me. response:	I'd rather have them surround me.
context: Ya-chan... The one you ate right now\was really charred. You okay?\Want some tea?\There's water, too.\It looks pretty dangerous over there.\Yeah... They'd probably get the cops called on them if this was in the city.\I definitely don't want them surrounding me.\I'd rather have them surround me. response:	How much are you going to eat?
context: was really charred. You okay?\Want some tea?\There's water, too.\It looks pretty dangerous over there.\Yeah... They'd probably get the cops called on them if this was in the city.\I definitely don't want them surrounding me.\I'd rather have them surround me.\How much are you going to eat? response:	The third-years in Karasuno all seem pretty mature.
context: Want some tea?\There's water, too.\It looks pretty dangerous over there.\Yeah... They'd probably get the cops called on them if this was in the city.\I definitely don't want them surrounding me.\I'd rather have them surround me.\How much are you going to eat?\The third-years in Karasuno all seem pretty mature. response:	Our Fukurodani managers are already top tier,
context: There's water, too.\It looks pretty dangerous over there.\Yeah... They'd probably get the cops called on them if this was in the city.\I definitely don't want them surrounding me.\I'd rather have them surround me.\How much are you going to eat?\The third-years in Karasuno all seem pretty mature.\Our Fukurodani managers are already top tier, response:	but combined with the Karasuno managers, they've gone up even higher!
context: It looks pretty dangerous over there.\Yeah... They'd probably get the cops called on them if this was in the city.\I definitely don't want them surrounding me.\I'd rather have them surround me.\How much are you going to eat?\The third-years in Karasuno all seem pretty mature.\Our Fukurodani managers are already top tier,\but combined with the Karasuno managers, they've gone up even higher! response:	What do you think?
context: Yeah... They'd probably get the cops called on them if this was in the city.\I definitely don't want them surrounding me.\I'd rather have them surround me.\How much are you going to eat?\The third-years in Karasuno all seem pretty mature.\Our Fukurodani managers are already top tier,\but combined with the Karasuno managers, they've gone up even higher!\What do you think? response:	I cannot argue.
