context: These are the results for the real deal. response:	The readers sure showed him, eh?
context: But we've come this far. Sorry Nakai-san, but I'm gonna take this.\No, I will!\We will...\It's here!\Yes, it's Fukuda!\Yes?\Hello?\So? response:	Golden Future Cup GET!
context: No, I will!\We will...\It's here!\Yes, it's Fukuda!\Yes?\Hello?\So?\Golden Future Cup GET! response:	But guys...
context: We will...\It's here!\Yes, it's Fukuda!\Yes?\Hello?\So?\Golden Future Cup GET!\But guys... response:	All right!
context: It's here!\Yes, it's Fukuda!\Yes?\Hello?\So?\Golden Future Cup GET!\But guys...\All right! response:	Yeah, but it's not just you Fukuda-kun...
context: Yes, it's Fukuda!\Yes?\Hello?\So?\Golden Future Cup GET!\But guys...\All right!\Yeah, but it's not just you Fukuda-kun... response:	Oh, so you did it, huh, Fukuda-sensei?
context: Yes?\Hello?\So?\Golden Future Cup GET!\But guys...\All right!\Yeah, but it's not just you Fukuda-kun...\Oh, so you did it, huh, Fukuda-sensei? response:	Yes? Yes?
context: Hello?\So?\Golden Future Cup GET!\But guys...\All right!\Yeah, but it's not just you Fukuda-kun...\Oh, so you did it, huh, Fukuda-sensei?\Yes? Yes? response:	Two works?
context: So?\Golden Future Cup GET!\But guys...\All right!\Yeah, but it's not just you Fukuda-kun...\Oh, so you did it, huh, Fukuda-sensei?\Yes? Yes?\Two works? response:	Yes, both yours and KIYOSHI Knight.
context: Golden Future Cup GET!\But guys...\All right!\Yeah, but it's not just you Fukuda-kun...\Oh, so you did it, huh, Fukuda-sensei?\Yes? Yes?\Two works?\Yes, both yours and KIYOSHI Knight. response:	The first two-work winner in history?
context: But guys...\All right!\Yeah, but it's not just you Fukuda-kun...\Oh, so you did it, huh, Fukuda-sensei?\Yes? Yes?\Two works?\Yes, both yours and KIYOSHI Knight.\The first two-work winner in history? response:	Well yeah, but this is still only the sixth Golden Future Cup.
context: All right!\Yeah, but it's not just you Fukuda-kun...\Oh, so you did it, huh, Fukuda-sensei?\Yes? Yes?\Two works?\Yes, both yours and KIYOSHI Knight.\The first two-work winner in history?\Well yeah, but this is still only the sixth Golden Future Cup. response:	But anyway...
context: Yeah, but it's not just you Fukuda-kun...\Oh, so you did it, huh, Fukuda-sensei?\Yes? Yes?\Two works?\Yes, both yours and KIYOSHI Knight.\The first two-work winner in history?\Well yeah, but this is still only the sixth Golden Future Cup.\But anyway... response:	Congratulations! Congratulations!
context: Oh, so you did it, huh, Fukuda-sensei?\Yes? Yes?\Two works?\Yes, both yours and KIYOSHI Knight.\The first two-work winner in history?\Well yeah, but this is still only the sixth Golden Future Cup.\But anyway...\Congratulations! Congratulations! response:	Yes, it got away from us this time, but...
context: Yes? Yes?\Two works?\Yes, both yours and KIYOSHI Knight.\The first two-work winner in history?\Well yeah, but this is still only the sixth Golden Future Cup.\But anyway...\Congratulations! Congratulations!\Yes, it got away from us this time, but... response:	Yes, so it's still all right for me to move ahead working with Aoki-san?
context: Two works?\Yes, both yours and KIYOSHI Knight.\The first two-work winner in history?\Well yeah, but this is still only the sixth Golden Future Cup.\But anyway...\Congratulations! Congratulations!\Yes, it got away from us this time, but...\Yes, so it's still all right for me to move ahead working with Aoki-san? response:	Thank you very much! Thank you very much! Thank you very much!
context: Yes, both yours and KIYOSHI Knight.\The first two-work winner in history?\Well yeah, but this is still only the sixth Golden Future Cup.\But anyway...\Congratulations! Congratulations!\Yes, it got away from us this time, but...\Yes, so it's still all right for me to move ahead working with Aoki-san?\Thank you very much! Thank you very much! Thank you very much! response:	Fukuda-kun, congratulations.
context: The first two-work winner in history?\Well yeah, but this is still only the sixth Golden Future Cup.\But anyway...\Congratulations! Congratulations!\Yes, it got away from us this time, but...\Yes, so it's still all right for me to move ahead working with Aoki-san?\Thank you very much! Thank you very much! Thank you very much!\Fukuda-kun, congratulations. response:	Sharing the title with Ashirogi-kun kinda annoys me, though.
context: Well yeah, but this is still only the sixth Golden Future Cup.\But anyway...\Congratulations! Congratulations!\Yes, it got away from us this time, but...\Yes, so it's still all right for me to move ahead working with Aoki-san?\Thank you very much! Thank you very much! Thank you very much!\Fukuda-kun, congratulations.\Sharing the title with Ashirogi-kun kinda annoys me, though. response:	Even so...
context: But anyway...\Congratulations! Congratulations!\Yes, it got away from us this time, but...\Yes, so it's still all right for me to move ahead working with Aoki-san?\Thank you very much! Thank you very much! Thank you very much!\Fukuda-kun, congratulations.\Sharing the title with Ashirogi-kun kinda annoys me, though.\Even so... response:	It really went just as Niizuma-sensei said it would, a tie for 1st.
context: Congratulations! Congratulations!\Yes, it got away from us this time, but...\Yes, so it's still all right for me to move ahead working with Aoki-san?\Thank you very much! Thank you very much! Thank you very much!\Fukuda-kun, congratulations.\Sharing the title with Ashirogi-kun kinda annoys me, though.\Even so...\It really went just as Niizuma-sensei said it would, a tie for 1st. response:	I'm actually more surprised that...
context: Yes, it got away from us this time, but...\Yes, so it's still all right for me to move ahead working with Aoki-san?\Thank you very much! Thank you very much! Thank you very much!\Fukuda-kun, congratulations.\Sharing the title with Ashirogi-kun kinda annoys me, though.\Even so...\It really went just as Niizuma-sensei said it would, a tie for 1st.\I'm actually more surprised that... response:	Niizuma-kun got that right than that it's the first double-winner in history.
context: Yes, so it's still all right for me to move ahead working with Aoki-san?\Thank you very much! Thank you very much! Thank you very much!\Fukuda-kun, congratulations.\Sharing the title with Ashirogi-kun kinda annoys me, though.\Even so...\It really went just as Niizuma-sensei said it would, a tie for 1st.\I'm actually more surprised that...\Niizuma-kun got that right than that it's the first double-winner in history. response:	Who cares if two works won or whatever?
context: Thank you very much! Thank you very much! Thank you very much!\Fukuda-kun, congratulations.\Sharing the title with Ashirogi-kun kinda annoys me, though.\Even so...\It really went just as Niizuma-sensei said it would, a tie for 1st.\I'm actually more surprised that...\Niizuma-kun got that right than that it's the first double-winner in history.\Who cares if two works won or whatever? response:	You got 1st place, you're happy right?
context: Fukuda-kun, congratulations.\Sharing the title with Ashirogi-kun kinda annoys me, though.\Even so...\It really went just as Niizuma-sensei said it would, a tie for 1st.\I'm actually more surprised that...\Niizuma-kun got that right than that it's the first double-winner in history.\Who cares if two works won or whatever?\You got 1st place, you're happy right? response:	Yeah.
context: Sharing the title with Ashirogi-kun kinda annoys me, though.\Even so...\It really went just as Niizuma-sensei said it would, a tie for 1st.\I'm actually more surprised that...\Niizuma-kun got that right than that it's the first double-winner in history.\Who cares if two works won or whatever?\You got 1st place, you're happy right?\Yeah. response:	You're happy, right?
context: Even so...\It really went just as Niizuma-sensei said it would, a tie for 1st.\I'm actually more surprised that...\Niizuma-kun got that right than that it's the first double-winner in history.\Who cares if two works won or whatever?\You got 1st place, you're happy right?\Yeah.\You're happy, right? response:	Yeah...
context: It really went just as Niizuma-sensei said it would, a tie for 1st.\I'm actually more surprised that...\Niizuma-kun got that right than that it's the first double-winner in history.\Who cares if two works won or whatever?\You got 1st place, you're happy right?\Yeah.\You're happy, right?\Yeah... response:	But this means we're on for another battle with Fukuda-san at the serialization meeting.
context: I'm actually more surprised that...\Niizuma-kun got that right than that it's the first double-winner in history.\Who cares if two works won or whatever?\You got 1st place, you're happy right?\Yeah.\You're happy, right?\Yeah...\But this means we're on for another battle with Fukuda-san at the serialization meeting. response:	Yeah, Nakai-san's team's work will get passed around there too.
context: Niizuma-kun got that right than that it's the first double-winner in history.\Who cares if two works won or whatever?\You got 1st place, you're happy right?\Yeah.\You're happy, right?\Yeah...\But this means we're on for another battle with Fukuda-san at the serialization meeting.\Yeah, Nakai-san's team's work will get passed around there too. response:	Like I said, let's not talk about stuff like that right now.
context: Who cares if two works won or whatever?\You got 1st place, you're happy right?\Yeah.\You're happy, right?\Yeah...\But this means we're on for another battle with Fukuda-san at the serialization meeting.\Yeah, Nakai-san's team's work will get passed around there too.\Like I said, let's not talk about stuff like that right now. response:	Let's just honestly be happy, okay?
context: You got 1st place, you're happy right?\Yeah.\You're happy, right?\Yeah...\But this means we're on for another battle with Fukuda-san at the serialization meeting.\Yeah, Nakai-san's team's work will get passed around there too.\Like I said, let's not talk about stuff like that right now.\Let's just honestly be happy, okay? response:	Ah, sorry, but we...
context: Yeah.\You're happy, right?\Yeah...\But this means we're on for another battle with Fukuda-san at the serialization meeting.\Yeah, Nakai-san's team's work will get passed around there too.\Like I said, let's not talk about stuff like that right now.\Let's just honestly be happy, okay?\Ah, sorry, but we... response:	Already are perfectly happy about it, so...
context: You're happy, right?\Yeah...\But this means we're on for another battle with Fukuda-san at the serialization meeting.\Yeah, Nakai-san's team's work will get passed around there too.\Like I said, let's not talk about stuff like that right now.\Let's just honestly be happy, okay?\Ah, sorry, but we...\Already are perfectly happy about it, so... response:	What do you think? Should we already start revising?
context: Yeah...\But this means we're on for another battle with Fukuda-san at the serialization meeting.\Yeah, Nakai-san's team's work will get passed around there too.\Like I said, let's not talk about stuff like that right now.\Let's just honestly be happy, okay?\Ah, sorry, but we...\Already are perfectly happy about it, so...\What do you think? Should we already start revising? response:	Really?
context: But this means we're on for another battle with Fukuda-san at the serialization meeting.\Yeah, Nakai-san's team's work will get passed around there too.\Like I said, let's not talk about stuff like that right now.\Let's just honestly be happy, okay?\Ah, sorry, but we...\Already are perfectly happy about it, so...\What do you think? Should we already start revising?\Really? response:	I'm so glad, so glad!
context: Yeah, Nakai-san's team's work will get passed around there too.\Like I said, let's not talk about stuff like that right now.\Let's just honestly be happy, okay?\Ah, sorry, but we...\Already are perfectly happy about it, so...\What do you think? Should we already start revising?\Really?\I'm so glad, so glad! response:	Like I said, don't cry.
context: Like I said, let's not talk about stuff like that right now.\Let's just honestly be happy, okay?\Ah, sorry, but we...\Already are perfectly happy about it, so...\What do you think? Should we already start revising?\Really?\I'm so glad, so glad!\Like I said, don't cry. response:	I've got to email Azuki...
context: Let's just honestly be happy, okay?\Ah, sorry, but we...\Already are perfectly happy about it, so...\What do you think? Should we already start revising?\Really?\I'm so glad, so glad!\Like I said, don't cry.\I've got to email Azuki... response:	They did it!
context: Ah, sorry, but we...\Already are perfectly happy about it, so...\What do you think? Should we already start revising?\Really?\I'm so glad, so glad!\Like I said, don't cry.\I've got to email Azuki...\They did it! response:	I get how happy you are for us, just don't cry, okay?
context: Already are perfectly happy about it, so...\What do you think? Should we already start revising?\Really?\I'm so glad, so glad!\Like I said, don't cry.\I've got to email Azuki...\They did it!\I get how happy you are for us, just don't cry, okay? response:	But...
context: What do you think? Should we already start revising?\Really?\I'm so glad, so glad!\Like I said, don't cry.\I've got to email Azuki...\They did it!\I get how happy you are for us, just don't cry, okay?\But... response:	It's here!
context: Really?\I'm so glad, so glad!\Like I said, don't cry.\I've got to email Azuki...\They did it!\I get how happy you are for us, just don't cry, okay?\But...\It's here! response:	Why is she asking for Shuujin's and not mine?
context: I'm so glad, so glad!\Like I said, don't cry.\I've got to email Azuki...\They did it!\I get how happy you are for us, just don't cry, okay?\But...\It's here!\Why is she asking for Shuujin's and not mine? response:	Oh, I see.
context: Like I said, don't cry.\I've got to email Azuki...\They did it!\I get how happy you are for us, just don't cry, okay?\But...\It's here!\Why is she asking for Shuujin's and not mine?\Oh, I see. response:	Oh? Another call from Hattori-san?
context: I've got to email Azuki...\They did it!\I get how happy you are for us, just don't cry, okay?\But...\It's here!\Why is she asking for Shuujin's and not mine?\Oh, I see.\Oh? Another call from Hattori-san? response:	You sure are busy.
context: They did it!\I get how happy you are for us, just don't cry, okay?\But...\It's here!\Why is she asking for Shuujin's and not mine?\Oh, I see.\Oh? Another call from Hattori-san?\You sure are busy. response:	Huh? I don't know this number.
context: I get how happy you are for us, just don't cry, okay?\But...\It's here!\Why is she asking for Shuujin's and not mine?\Oh, I see.\Oh? Another call from Hattori-san?\You sure are busy.\Huh? I don't know this number. response:	Hello?
context: But...\It's here!\Why is she asking for Shuujin's and not mine?\Oh, I see.\Oh? Another call from Hattori-san?\You sure are busy.\Huh? I don't know this number.\Hello? response:	This is Azuki.
context: It's here!\Why is she asking for Shuujin's and not mine?\Oh, I see.\Oh? Another call from Hattori-san?\You sure are busy.\Huh? I don't know this number.\Hello?\This is Azuki. response:	Eh?! Azuki-san?!
context: Why is she asking for Shuujin's and not mine?\Oh, I see.\Oh? Another call from Hattori-san?\You sure are busy.\Huh? I don't know this number.\Hello?\This is Azuki.\Eh?! Azuki-san?! response:	DDid you maybe call the wrong person?
context: Oh, I see.\Oh? Another call from Hattori-san?\You sure are busy.\Huh? I don't know this number.\Hello?\This is Azuki.\Eh?! Azuki-san?!\DDid you maybe call the wrong person? response:	Takagi-kun, thank you.
context: Oh? Another call from Hattori-san?\You sure are busy.\Huh? I don't know this number.\Hello?\This is Azuki.\Eh?! Azuki-san?!\DDid you maybe call the wrong person?\Takagi-kun, thank you. response:	Eh?!
context: You sure are busy.\Huh? I don't know this number.\Hello?\This is Azuki.\Eh?! Azuki-san?!\DDid you maybe call the wrong person?\Takagi-kun, thank you.\Eh?! response:	EExcuse me, I'm going to the veranda.
context: Huh? I don't know this number.\Hello?\This is Azuki.\Eh?! Azuki-san?!\DDid you maybe call the wrong person?\Takagi-kun, thank you.\Eh?!\EExcuse me, I'm going to the veranda. response:	WWhy?
context: Hello?\This is Azuki.\Eh?! Azuki-san?!\DDid you maybe call the wrong person?\Takagi-kun, thank you.\Eh?!\EExcuse me, I'm going to the veranda.\WWhy? response:	Um, what is it, Azuki-san?
context: This is Azuki.\Eh?! Azuki-san?!\DDid you maybe call the wrong person?\Takagi-kun, thank you.\Eh?!\EExcuse me, I'm going to the veranda.\WWhy?\Um, what is it, Azuki-san? response:	I've been thinking for a while now and I'd like to properly thank you at least once, Takagi-kun.
context: Eh?! Azuki-san?!\DDid you maybe call the wrong person?\Takagi-kun, thank you.\Eh?!\EExcuse me, I'm going to the veranda.\WWhy?\Um, what is it, Azuki-san?\I've been thinking for a while now and I'd like to properly thank you at least once, Takagi-kun. response:	If it hadn't been for you,
context: DDid you maybe call the wrong person?\Takagi-kun, thank you.\Eh?!\EExcuse me, I'm going to the veranda.\WWhy?\Um, what is it, Azuki-san?\I've been thinking for a while now and I'd like to properly thank you at least once, Takagi-kun.\If it hadn't been for you, response:	Mashiro-kun and I...
context: Takagi-kun, thank you.\Eh?!\EExcuse me, I'm going to the veranda.\WWhy?\Um, what is it, Azuki-san?\I've been thinking for a while now and I'd like to properly thank you at least once, Takagi-kun.\If it hadn't been for you,\Mashiro-kun and I... response:	probably would've never seen each other again after our middle school graduation.
context: Eh?!\EExcuse me, I'm going to the veranda.\WWhy?\Um, what is it, Azuki-san?\I've been thinking for a while now and I'd like to properly thank you at least once, Takagi-kun.\If it hadn't been for you,\Mashiro-kun and I...\probably would've never seen each other again after our middle school graduation. response:	We're always emailing each other about it.
context: EExcuse me, I'm going to the veranda.\WWhy?\Um, what is it, Azuki-san?\I've been thinking for a while now and I'd like to properly thank you at least once, Takagi-kun.\If it hadn't been for you,\Mashiro-kun and I...\probably would've never seen each other again after our middle school graduation.\We're always emailing each other about it. response:	Yeah, I guess that's right.
context: WWhy?\Um, what is it, Azuki-san?\I've been thinking for a while now and I'd like to properly thank you at least once, Takagi-kun.\If it hadn't been for you,\Mashiro-kun and I...\probably would've never seen each other again after our middle school graduation.\We're always emailing each other about it.\Yeah, I guess that's right. response:	But it was really only because I wanted Saikou's help...
context: Um, what is it, Azuki-san?\I've been thinking for a while now and I'd like to properly thank you at least once, Takagi-kun.\If it hadn't been for you,\Mashiro-kun and I...\probably would've never seen each other again after our middle school graduation.\We're always emailing each other about it.\Yeah, I guess that's right.\But it was really only because I wanted Saikou's help... response:	to fulfill my own dream of becoming a mangaka.
context: I've been thinking for a while now and I'd like to properly thank you at least once, Takagi-kun.\If it hadn't been for you,\Mashiro-kun and I...\probably would've never seen each other again after our middle school graduation.\We're always emailing each other about it.\Yeah, I guess that's right.\But it was really only because I wanted Saikou's help...\to fulfill my own dream of becoming a mangaka. response:	That dream too...
context: If it hadn't been for you,\Mashiro-kun and I...\probably would've never seen each other again after our middle school graduation.\We're always emailing each other about it.\Yeah, I guess that's right.\But it was really only because I wanted Saikou's help...\to fulfill my own dream of becoming a mangaka.\That dream too... response:	Mashiro-kun said that if you hadn't asked him,
context: Mashiro-kun and I...\probably would've never seen each other again after our middle school graduation.\We're always emailing each other about it.\Yeah, I guess that's right.\But it was really only because I wanted Saikou's help...\to fulfill my own dream of becoming a mangaka.\That dream too...\Mashiro-kun said that if you hadn't asked him, response:	he'd have just spent every day without a goal and lived out his life aimlessly.
context: probably would've never seen each other again after our middle school graduation.\We're always emailing each other about it.\Yeah, I guess that's right.\But it was really only because I wanted Saikou's help...\to fulfill my own dream of becoming a mangaka.\That dream too...\Mashiro-kun said that if you hadn't asked him,\he'd have just spent every day without a goal and lived out his life aimlessly. response:	And that it's because of you that he has a dream.
context: We're always emailing each other about it.\Yeah, I guess that's right.\But it was really only because I wanted Saikou's help...\to fulfill my own dream of becoming a mangaka.\That dream too...\Mashiro-kun said that if you hadn't asked him,\he'd have just spent every day without a goal and lived out his life aimlessly.\And that it's because of you that he has a dream. response:	He said that it would be better for me to tell you,
context: Yeah, I guess that's right.\But it was really only because I wanted Saikou's help...\to fulfill my own dream of becoming a mangaka.\That dream too...\Mashiro-kun said that if you hadn't asked him,\he'd have just spent every day without a goal and lived out his life aimlessly.\And that it's because of you that he has a dream.\He said that it would be better for me to tell you, response:	because it's embarrassing for boys to tell each other that sort of thing.
context: But it was really only because I wanted Saikou's help...\to fulfill my own dream of becoming a mangaka.\That dream too...\Mashiro-kun said that if you hadn't asked him,\he'd have just spent every day without a goal and lived out his life aimlessly.\And that it's because of you that he has a dream.\He said that it would be better for me to tell you,\because it's embarrassing for boys to tell each other that sort of thing. response:	I see.
context: to fulfill my own dream of becoming a mangaka.\That dream too...\Mashiro-kun said that if you hadn't asked him,\he'd have just spent every day without a goal and lived out his life aimlessly.\And that it's because of you that he has a dream.\He said that it would be better for me to tell you,\because it's embarrassing for boys to tell each other that sort of thing.\I see. response:	But we still don't know...
context: That dream too...\Mashiro-kun said that if you hadn't asked him,\he'd have just spent every day without a goal and lived out his life aimlessly.\And that it's because of you that he has a dream.\He said that it would be better for me to tell you,\because it's embarrassing for boys to tell each other that sort of thing.\I see.\But we still don't know... response:	if that plan to become mangakas is going to bring us fortune or misfortune.
context: Mashiro-kun said that if you hadn't asked him,\he'd have just spent every day without a goal and lived out his life aimlessly.\And that it's because of you that he has a dream.\He said that it would be better for me to tell you,\because it's embarrassing for boys to tell each other that sort of thing.\I see.\But we still don't know...\if that plan to become mangakas is going to bring us fortune or misfortune. response:	I think having a dream, working hard, and never giving up couldn't possibly bring misfortune.
context: he'd have just spent every day without a goal and lived out his life aimlessly.\And that it's because of you that he has a dream.\He said that it would be better for me to tell you,\because it's embarrassing for boys to tell each other that sort of thing.\I see.\But we still don't know...\if that plan to become mangakas is going to bring us fortune or misfortune.\I think having a dream, working hard, and never giving up couldn't possibly bring misfortune. response:	I guess so.
context: And that it's because of you that he has a dream.\He said that it would be better for me to tell you,\because it's embarrassing for boys to tell each other that sort of thing.\I see.\But we still don't know...\if that plan to become mangakas is going to bring us fortune or misfortune.\I think having a dream, working hard, and never giving up couldn't possibly bring misfortune.\I guess so. response:	Working hard shouldn't really be a bad thing.
context: He said that it would be better for me to tell you,\because it's embarrassing for boys to tell each other that sort of thing.\I see.\But we still don't know...\if that plan to become mangakas is going to bring us fortune or misfortune.\I think having a dream, working hard, and never giving up couldn't possibly bring misfortune.\I guess so.\Working hard shouldn't really be a bad thing. response:	And Azuki-san, you're talking with a boy.
context: because it's embarrassing for boys to tell each other that sort of thing.\I see.\But we still don't know...\if that plan to become mangakas is going to bring us fortune or misfortune.\I think having a dream, working hard, and never giving up couldn't possibly bring misfortune.\I guess so.\Working hard shouldn't really be a bad thing.\And Azuki-san, you're talking with a boy. response:	Getting a phone call from you all of a sudden kind of surprised me.
context: I see.\But we still don't know...\if that plan to become mangakas is going to bring us fortune or misfortune.\I think having a dream, working hard, and never giving up couldn't possibly bring misfortune.\I guess so.\Working hard shouldn't really be a bad thing.\And Azuki-san, you're talking with a boy.\Getting a phone call from you all of a sudden kind of surprised me. response:	Well it's just a phone call. You can't see my face.
context: But we still don't know...\if that plan to become mangakas is going to bring us fortune or misfortune.\I think having a dream, working hard, and never giving up couldn't possibly bring misfortune.\I guess so.\Working hard shouldn't really be a bad thing.\And Azuki-san, you're talking with a boy.\Getting a phone call from you all of a sudden kind of surprised me.\Well it's just a phone call. You can't see my face. response:	And it's not like I love you, Takagi-kun.
context: if that plan to become mangakas is going to bring us fortune or misfortune.\I think having a dream, working hard, and never giving up couldn't possibly bring misfortune.\I guess so.\Working hard shouldn't really be a bad thing.\And Azuki-san, you're talking with a boy.\Getting a phone call from you all of a sudden kind of surprised me.\Well it's just a phone call. You can't see my face.\And it's not like I love you, Takagi-kun. response:	True enough.
context: I think having a dream, working hard, and never giving up couldn't possibly bring misfortune.\I guess so.\Working hard shouldn't really be a bad thing.\And Azuki-san, you're talking with a boy.\Getting a phone call from you all of a sudden kind of surprised me.\Well it's just a phone call. You can't see my face.\And it's not like I love you, Takagi-kun.\True enough. response:	What's with that?
context: I guess so.\Working hard shouldn't really be a bad thing.\And Azuki-san, you're talking with a boy.\Getting a phone call from you all of a sudden kind of surprised me.\Well it's just a phone call. You can't see my face.\And it's not like I love you, Takagi-kun.\True enough.\What's with that? response:	It's all right, Miyoshi.
context: Working hard shouldn't really be a bad thing.\And Azuki-san, you're talking with a boy.\Getting a phone call from you all of a sudden kind of surprised me.\Well it's just a phone call. You can't see my face.\And it's not like I love you, Takagi-kun.\True enough.\What's with that?\It's all right, Miyoshi. response:	Azuki talking to Shuujin...
context: And Azuki-san, you're talking with a boy.\Getting a phone call from you all of a sudden kind of surprised me.\Well it's just a phone call. You can't see my face.\And it's not like I love you, Takagi-kun.\True enough.\What's with that?\It's all right, Miyoshi.\Azuki talking to Shuujin... response:	Why are you and Miho having such a fun conversation? Isn't that kind of weird?
context: Getting a phone call from you all of a sudden kind of surprised me.\Well it's just a phone call. You can't see my face.\And it's not like I love you, Takagi-kun.\True enough.\What's with that?\It's all right, Miyoshi.\Azuki talking to Shuujin...\Why are you and Miho having such a fun conversation? Isn't that kind of weird? response:	Miho, Takagi is my boyfriend.
context: Well it's just a phone call. You can't see my face.\And it's not like I love you, Takagi-kun.\True enough.\What's with that?\It's all right, Miyoshi.\Azuki talking to Shuujin...\Why are you and Miho having such a fun conversation? Isn't that kind of weird?\Miho, Takagi is my boyfriend. response:	Why don't you talk to Mashiro?
context: And it's not like I love you, Takagi-kun.\True enough.\What's with that?\It's all right, Miyoshi.\Azuki talking to Shuujin...\Why are you and Miho having such a fun conversation? Isn't that kind of weird?\Miho, Takagi is my boyfriend.\Why don't you talk to Mashiro? response:	Eh? I can't...
context: True enough.\What's with that?\It's all right, Miyoshi.\Azuki talking to Shuujin...\Why are you and Miho having such a fun conversation? Isn't that kind of weird?\Miho, Takagi is my boyfriend.\Why don't you talk to Mashiro?\Eh? I can't... response:	Yes you can.
context: What's with that?\It's all right, Miyoshi.\Azuki talking to Shuujin...\Why are you and Miho having such a fun conversation? Isn't that kind of weird?\Miho, Takagi is my boyfriend.\Why don't you talk to Mashiro?\Eh? I can't...\Yes you can. response:	You should at least give him a proper and direct Congratulations! for an occasion like this.
context: It's all right, Miyoshi.\Azuki talking to Shuujin...\Why are you and Miho having such a fun conversation? Isn't that kind of weird?\Miho, Takagi is my boyfriend.\Why don't you talk to Mashiro?\Eh? I can't...\Yes you can.\You should at least give him a proper and direct Congratulations! for an occasion like this. response:	Here, Mashiro!
context: Azuki talking to Shuujin...\Why are you and Miho having such a fun conversation? Isn't that kind of weird?\Miho, Takagi is my boyfriend.\Why don't you talk to Mashiro?\Eh? I can't...\Yes you can.\You should at least give him a proper and direct Congratulations! for an occasion like this.\Here, Mashiro! response:	Come on!
context: Why are you and Miho having such a fun conversation? Isn't that kind of weird?\Miho, Takagi is my boyfriend.\Why don't you talk to Mashiro?\Eh? I can't...\Yes you can.\You should at least give him a proper and direct Congratulations! for an occasion like this.\Here, Mashiro!\Come on! response:	Talking with Azuki?
context: Miho, Takagi is my boyfriend.\Why don't you talk to Mashiro?\Eh? I can't...\Yes you can.\You should at least give him a proper and direct Congratulations! for an occasion like this.\Here, Mashiro!\Come on!\Talking with Azuki? response:	How long...
context: Why don't you talk to Mashiro?\Eh? I can't...\Yes you can.\You should at least give him a proper and direct Congratulations! for an occasion like this.\Here, Mashiro!\Come on!\Talking with Azuki?\How long... response:	How long will you wait for me?
context: Eh? I can't...\Yes you can.\You should at least give him a proper and direct Congratulations! for an occasion like this.\Here, Mashiro!\Come on!\Talking with Azuki?\How long...\How long will you wait for me? response:	I'll wait.
context: Yes you can.\You should at least give him a proper and direct Congratulations! for an occasion like this.\Here, Mashiro!\Come on!\Talking with Azuki?\How long...\How long will you wait for me?\I'll wait. response:	I'll wait forever.
context: You should at least give him a proper and direct Congratulations! for an occasion like this.\Here, Mashiro!\Come on!\Talking with Azuki?\How long...\How long will you wait for me?\I'll wait.\I'll wait forever. response:	We haven't since then...
context: Here, Mashiro!\Come on!\Talking with Azuki?\How long...\How long will you wait for me?\I'll wait.\I'll wait forever.\We haven't since then... response:	TThis is Mashiro!
context: Come on!\Talking with Azuki?\How long...\How long will you wait for me?\I'll wait.\I'll wait forever.\We haven't since then...\TThis is Mashiro! response:	Hello?
context: Talking with Azuki?\How long...\How long will you wait for me?\I'll wait.\I'll wait forever.\We haven't since then...\TThis is Mashiro!\Hello? response:	Ah, thank you.
context: How long...\How long will you wait for me?\I'll wait.\I'll wait forever.\We haven't since then...\TThis is Mashiro!\Hello?\Ah, thank you. response:	Yes, I saw.
context: How long will you wait for me?\I'll wait.\I'll wait forever.\We haven't since then...\TThis is Mashiro!\Hello?\Ah, thank you.\Yes, I saw. response:	No, not really...
context: I'll wait.\I'll wait forever.\We haven't since then...\TThis is Mashiro!\Hello?\Ah, thank you.\Yes, I saw.\No, not really... response:	Incredible.
context: I'll wait forever.\We haven't since then...\TThis is Mashiro!\Hello?\Ah, thank you.\Yes, I saw.\No, not really...\Incredible. response:	I didn't think he'd be able to surpass the quality of the Golden Future Cup entry, but...
context: We haven't since then...\TThis is Mashiro!\Hello?\Ah, thank you.\Yes, I saw.\No, not really...\Incredible.\I didn't think he'd be able to surpass the quality of the Golden Future Cup entry, but... response:	the tension and power are much better.
context: TThis is Mashiro!\Hello?\Ah, thank you.\Yes, I saw.\No, not really...\Incredible.\I didn't think he'd be able to surpass the quality of the Golden Future Cup entry, but...\the tension and power are much better. response:	Could he finally catch up to CROW, which he's been working on and bad mouthing for so long?
context: Hello?\Ah, thank you.\Yes, I saw.\No, not really...\Incredible.\I didn't think he'd be able to surpass the quality of the Golden Future Cup entry, but...\the tension and power are much better.\Could he finally catch up to CROW, which he's been working on and bad mouthing for so long? response:	What're you grinning about?
context: Ah, thank you.\Yes, I saw.\No, not really...\Incredible.\I didn't think he'd be able to surpass the quality of the Golden Future Cup entry, but...\the tension and power are much better.\Could he finally catch up to CROW, which he's been working on and bad mouthing for so long?\What're you grinning about? response:	You're giving me the creeps, Yuujirou-san.
context: Yes, I saw.\No, not really...\Incredible.\I didn't think he'd be able to surpass the quality of the Golden Future Cup entry, but...\the tension and power are much better.\Could he finally catch up to CROW, which he's been working on and bad mouthing for so long?\What're you grinning about?\You're giving me the creeps, Yuujirou-san. response:	So what do you think of my name?
context: No, not really...\Incredible.\I didn't think he'd be able to surpass the quality of the Golden Future Cup entry, but...\the tension and power are much better.\Could he finally catch up to CROW, which he's been working on and bad mouthing for so long?\What're you grinning about?\You're giving me the creeps, Yuujirou-san.\So what do you think of my name? response:	You're my editor, so please give me your honest opinion.
