context: Maka! response:	What's up with this wavelength?
context: The child of my younger sister, Medusa?\How pleasant...\It seems you didn't get enough love as a child.\How about it? Do you want me to caress you?\How pleasant...\Go, Crona! Kill her!\I'm starting to feel good!\Shock... response:	After 800 years, I've become so old.
context: How pleasant...\It seems you didn't get enough love as a child.\How about it? Do you want me to caress you?\How pleasant...\Go, Crona! Kill her!\I'm starting to feel good!\Shock...\After 800 years, I've become so old. response:	It's quite unpleasant.
context: It seems you didn't get enough love as a child.\How about it? Do you want me to caress you?\How pleasant...\Go, Crona! Kill her!\I'm starting to feel good!\Shock...\After 800 years, I've become so old.\It's quite unpleasant. response:	Erase that girl, Giriko.
context: How about it? Do you want me to caress you?\How pleasant...\Go, Crona! Kill her!\I'm starting to feel good!\Shock...\After 800 years, I've become so old.\It's quite unpleasant.\Erase that girl, Giriko. response:	Aye, aye!
context: How pleasant...\Go, Crona! Kill her!\I'm starting to feel good!\Shock...\After 800 years, I've become so old.\It's quite unpleasant.\Erase that girl, Giriko.\Aye, aye! response:	Impossible!
context: Go, Crona! Kill her!\I'm starting to feel good!\Shock...\After 800 years, I've become so old.\It's quite unpleasant.\Erase that girl, Giriko.\Aye, aye!\Impossible! response:	The Black Blood was cut with a simple kick?
context: I'm starting to feel good!\Shock...\After 800 years, I've become so old.\It's quite unpleasant.\Erase that girl, Giriko.\Aye, aye!\Impossible!\The Black Blood was cut with a simple kick? response:	Saw Foot, Second Gear.
context: Shock...\After 800 years, I've become so old.\It's quite unpleasant.\Erase that girl, Giriko.\Aye, aye!\Impossible!\The Black Blood was cut with a simple kick?\Saw Foot, Second Gear. response:	It seems enough...
context: After 800 years, I've become so old.\It's quite unpleasant.\Erase that girl, Giriko.\Aye, aye!\Impossible!\The Black Blood was cut with a simple kick?\Saw Foot, Second Gear.\It seems enough... response:	Medusa's experiment is such a disappointment.
context: It's quite unpleasant.\Erase that girl, Giriko.\Aye, aye!\Impossible!\The Black Blood was cut with a simple kick?\Saw Foot, Second Gear.\It seems enough...\Medusa's experiment is such a disappointment. response:	This kind of injury will be stopped by the Black Blood!
context: Erase that girl, Giriko.\Aye, aye!\Impossible!\The Black Blood was cut with a simple kick?\Saw Foot, Second Gear.\It seems enough...\Medusa's experiment is such a disappointment.\This kind of injury will be stopped by the Black Blood! response:	The thanks?
context: Aye, aye!\Impossible!\The Black Blood was cut with a simple kick?\Saw Foot, Second Gear.\It seems enough...\Medusa's experiment is such a disappointment.\This kind of injury will be stopped by the Black Blood!\The thanks? response:	Thank you.
context: Impossible!\The Black Blood was cut with a simple kick?\Saw Foot, Second Gear.\It seems enough...\Medusa's experiment is such a disappointment.\This kind of injury will be stopped by the Black Blood!\The thanks?\Thank you. response:	Very much!
context: The Black Blood was cut with a simple kick?\Saw Foot, Second Gear.\It seems enough...\Medusa's experiment is such a disappointment.\This kind of injury will be stopped by the Black Blood!\The thanks?\Thank you.\Very much! response:	Quite the spirited guys...
context: Saw Foot, Second Gear.\It seems enough...\Medusa's experiment is such a disappointment.\This kind of injury will be stopped by the Black Blood!\The thanks?\Thank you.\Very much!\Quite the spirited guys... response:	Guess I'll have to split you in two and eat your soul, huh?
context: It seems enough...\Medusa's experiment is such a disappointment.\This kind of injury will be stopped by the Black Blood!\The thanks?\Thank you.\Very much!\Quite the spirited guys...\Guess I'll have to split you in two and eat your soul, huh? response:	Ew! Don't come near me in that poop squat!
context: Medusa's experiment is such a disappointment.\This kind of injury will be stopped by the Black Blood!\The thanks?\Thank you.\Very much!\Quite the spirited guys...\Guess I'll have to split you in two and eat your soul, huh?\Ew! Don't come near me in that poop squat! response:	Alright, the head!
context: This kind of injury will be stopped by the Black Blood!\The thanks?\Thank you.\Very much!\Quite the spirited guys...\Guess I'll have to split you in two and eat your soul, huh?\Ew! Don't come near me in that poop squat!\Alright, the head! response:	Say farewell!
context: The thanks?\Thank you.\Very much!\Quite the spirited guys...\Guess I'll have to split you in two and eat your soul, huh?\Ew! Don't come near me in that poop squat!\Alright, the head!\Say farewell! response:	Chop off!
context: Thank you.\Very much!\Quite the spirited guys...\Guess I'll have to split you in two and eat your soul, huh?\Ew! Don't come near me in that poop squat!\Alright, the head!\Say farewell!\Chop off! response:	Cruciform... Sword-Hand!
context: Very much!\Quite the spirited guys...\Guess I'll have to split you in two and eat your soul, huh?\Ew! Don't come near me in that poop squat!\Alright, the head!\Say farewell!\Chop off!\Cruciform... Sword-Hand! response:	Cruciform... Sword-Hand!
context: Quite the spirited guys...\Guess I'll have to split you in two and eat your soul, huh?\Ew! Don't come near me in that poop squat!\Alright, the head!\Say farewell!\Chop off!\Cruciform... Sword-Hand!\Cruciform... Sword-Hand! response:	Who're ya?
context: Guess I'll have to split you in two and eat your soul, huh?\Ew! Don't come near me in that poop squat!\Alright, the head!\Say farewell!\Chop off!\Cruciform... Sword-Hand!\Cruciform... Sword-Hand!\Who're ya? response:	A guillotine on his arm?
context: Ew! Don't come near me in that poop squat!\Alright, the head!\Say farewell!\Chop off!\Cruciform... Sword-Hand!\Cruciform... Sword-Hand!\Who're ya?\A guillotine on his arm? response:	Did it cut?
context: Alright, the head!\Say farewell!\Chop off!\Cruciform... Sword-Hand!\Cruciform... Sword-Hand!\Who're ya?\A guillotine on his arm?\Did it cut? response:	That was close...
context: Say farewell!\Chop off!\Cruciform... Sword-Hand!\Cruciform... Sword-Hand!\Who're ya?\A guillotine on his arm?\Did it cut?\That was close... response:	Quite a shot.
context: Chop off!\Cruciform... Sword-Hand!\Cruciform... Sword-Hand!\Who're ya?\A guillotine on his arm?\Did it cut?\That was close...\Quite a shot. response:	If I'd been even a bit late putting the chain around my body, I would've died.
context: Cruciform... Sword-Hand!\Cruciform... Sword-Hand!\Who're ya?\A guillotine on his arm?\Did it cut?\That was close...\Quite a shot.\If I'd been even a bit late putting the chain around my body, I would've died. response:	Very well...
context: Cruciform... Sword-Hand!\Who're ya?\A guillotine on his arm?\Did it cut?\That was close...\Quite a shot.\If I'd been even a bit late putting the chain around my body, I would've died.\Very well... response:	Who the hell are you?
context: Who're ya?\A guillotine on his arm?\Did it cut?\That was close...\Quite a shot.\If I'd been even a bit late putting the chain around my body, I would've died.\Very well...\Who the hell are you? response:	Don't have the ears to listen to me?
context: A guillotine on his arm?\Did it cut?\That was close...\Quite a shot.\If I'd been even a bit late putting the chain around my body, I would've died.\Very well...\Who the hell are you?\Don't have the ears to listen to me? response:	Justin Law.
context: Did it cut?\That was close...\Quite a shot.\If I'd been even a bit late putting the chain around my body, I would've died.\Very well...\Who the hell are you?\Don't have the ears to listen to me?\Justin Law. response:	Huh?
context: That was close...\Quite a shot.\If I'd been even a bit late putting the chain around my body, I would've died.\Very well...\Who the hell are you?\Don't have the ears to listen to me?\Justin Law.\Huh? response:	One of the Death Scythes.
context: Quite a shot.\If I'd been even a bit late putting the chain around my body, I would've died.\Very well...\Who the hell are you?\Don't have the ears to listen to me?\Justin Law.\Huh?\One of the Death Scythes. response:	A Death Scythe?
context: If I'd been even a bit late putting the chain around my body, I would've died.\Very well...\Who the hell are you?\Don't have the ears to listen to me?\Justin Law.\Huh?\One of the Death Scythes.\A Death Scythe? response:	This guy?
context: Very well...\Who the hell are you?\Don't have the ears to listen to me?\Justin Law.\Huh?\One of the Death Scythes.\A Death Scythe?\This guy? response:	He's...
context: Who the hell are you?\Don't have the ears to listen to me?\Justin Law.\Huh?\One of the Death Scythes.\A Death Scythe?\This guy?\He's... response:	Yes.
context: Don't have the ears to listen to me?\Justin Law.\Huh?\One of the Death Scythes.\A Death Scythe?\This guy?\He's...\Yes. response:	The executioner who appears along with sounds of explosions.
context: Justin Law.\Huh?\One of the Death Scythes.\A Death Scythe?\This guy?\He's...\Yes.\The executioner who appears along with sounds of explosions. response:	Four years ago, at the age of thirteen, he became a Death Scythe.
context: Huh?\One of the Death Scythes.\A Death Scythe?\This guy?\He's...\Yes.\The executioner who appears along with sounds of explosions.\Four years ago, at the age of thirteen, he became a Death Scythe. response:	History's youngest Death Scythe...
context: One of the Death Scythes.\A Death Scythe?\This guy?\He's...\Yes.\The executioner who appears along with sounds of explosions.\Four years ago, at the age of thirteen, he became a Death Scythe.\History's youngest Death Scythe... response:	And yet, he doesn't have a Meister as a partner.
context: A Death Scythe?\This guy?\He's...\Yes.\The executioner who appears along with sounds of explosions.\Four years ago, at the age of thirteen, he became a Death Scythe.\History's youngest Death Scythe...\And yet, he doesn't have a Meister as a partner. response:	He's all by himself.
context: This guy?\He's...\Yes.\The executioner who appears along with sounds of explosions.\Four years ago, at the age of thirteen, he became a Death Scythe.\History's youngest Death Scythe...\And yet, he doesn't have a Meister as a partner.\He's all by himself. response:	Oh, God of Death.
context: He's...\Yes.\The executioner who appears along with sounds of explosions.\Four years ago, at the age of thirteen, he became a Death Scythe.\History's youngest Death Scythe...\And yet, he doesn't have a Meister as a partner.\He's all by himself.\Oh, God of Death. response:	Lend me thy power.
context: Yes.\The executioner who appears along with sounds of explosions.\Four years ago, at the age of thirteen, he became a Death Scythe.\History's youngest Death Scythe...\And yet, he doesn't have a Meister as a partner.\He's all by himself.\Oh, God of Death.\Lend me thy power. response:	Shibusen students!
context: The executioner who appears along with sounds of explosions.\Four years ago, at the age of thirteen, he became a Death Scythe.\History's youngest Death Scythe...\And yet, he doesn't have a Meister as a partner.\He's all by himself.\Oh, God of Death.\Lend me thy power.\Shibusen students! response:	There's only one opponent, so I'll finish this right away. Wait a bit, okay?
context: Four years ago, at the age of thirteen, he became a Death Scythe.\History's youngest Death Scythe...\And yet, he doesn't have a Meister as a partner.\He's all by himself.\Oh, God of Death.\Lend me thy power.\Shibusen students!\There's only one opponent, so I'll finish this right away. Wait a bit, okay? response:	Such a loud voice...
context: History's youngest Death Scythe...\And yet, he doesn't have a Meister as a partner.\He's all by himself.\Oh, God of Death.\Lend me thy power.\Shibusen students!\There's only one opponent, so I'll finish this right away. Wait a bit, okay?\Such a loud voice... response:	Could it be because of the earphones?
context: And yet, he doesn't have a Meister as a partner.\He's all by himself.\Oh, God of Death.\Lend me thy power.\Shibusen students!\There's only one opponent, so I'll finish this right away. Wait a bit, okay?\Such a loud voice...\Could it be because of the earphones? response:	Another Weapon like myself, who doesn't need a Meister?
context: He's all by himself.\Oh, God of Death.\Lend me thy power.\Shibusen students!\There's only one opponent, so I'll finish this right away. Wait a bit, okay?\Such a loud voice...\Could it be because of the earphones?\Another Weapon like myself, who doesn't need a Meister? response:	It pisses me off...
context: Oh, God of Death.\Lend me thy power.\Shibusen students!\There's only one opponent, so I'll finish this right away. Wait a bit, okay?\Such a loud voice...\Could it be because of the earphones?\Another Weapon like myself, who doesn't need a Meister?\It pisses me off... response:	Is it that much fun sucking up to Shinigami, little boy?!
context: Lend me thy power.\Shibusen students!\There's only one opponent, so I'll finish this right away. Wait a bit, okay?\Such a loud voice...\Could it be because of the earphones?\Another Weapon like myself, who doesn't need a Meister?\It pisses me off...\Is it that much fun sucking up to Shinigami, little boy?! response:	Both have amazing soul wavelengths...
context: Shibusen students!\There's only one opponent, so I'll finish this right away. Wait a bit, okay?\Such a loud voice...\Could it be because of the earphones?\Another Weapon like myself, who doesn't need a Meister?\It pisses me off...\Is it that much fun sucking up to Shinigami, little boy?!\Both have amazing soul wavelengths... response:	Their powers are evenly matched?
context: There's only one opponent, so I'll finish this right away. Wait a bit, okay?\Such a loud voice...\Could it be because of the earphones?\Another Weapon like myself, who doesn't need a Meister?\It pisses me off...\Is it that much fun sucking up to Shinigami, little boy?!\Both have amazing soul wavelengths...\Their powers are evenly matched? response:	Soul?
context: Such a loud voice...\Could it be because of the earphones?\Another Weapon like myself, who doesn't need a Meister?\It pisses me off...\Is it that much fun sucking up to Shinigami, little boy?!\Both have amazing soul wavelengths...\Their powers are evenly matched?\Soul? response:	He's supposed to be a Weapon, same as me?
context: Could it be because of the earphones?\Another Weapon like myself, who doesn't need a Meister?\It pisses me off...\Is it that much fun sucking up to Shinigami, little boy?!\Both have amazing soul wavelengths...\Their powers are evenly matched?\Soul?\He's supposed to be a Weapon, same as me? response:	It pisses me off...
context: Another Weapon like myself, who doesn't need a Meister?\It pisses me off...\Is it that much fun sucking up to Shinigami, little boy?!\Both have amazing soul wavelengths...\Their powers are evenly matched?\Soul?\He's supposed to be a Weapon, same as me?\It pisses me off... response:	Trash like you, put on a leash by Shinigami!
context: It pisses me off...\Is it that much fun sucking up to Shinigami, little boy?!\Both have amazing soul wavelengths...\Their powers are evenly matched?\Soul?\He's supposed to be a Weapon, same as me?\It pisses me off...\Trash like you, put on a leash by Shinigami! response:	Reverse Gear!
context: Is it that much fun sucking up to Shinigami, little boy?!\Both have amazing soul wavelengths...\Their powers are evenly matched?\Soul?\He's supposed to be a Weapon, same as me?\It pisses me off...\Trash like you, put on a leash by Shinigami!\Reverse Gear! response:	Will you never listen to a heretic?
context: Both have amazing soul wavelengths...\Their powers are evenly matched?\Soul?\He's supposed to be a Weapon, same as me?\It pisses me off...\Trash like you, put on a leash by Shinigami!\Reverse Gear!\Will you never listen to a heretic? response:	Carcan Bras!
context: Their powers are evenly matched?\Soul?\He's supposed to be a Weapon, same as me?\It pisses me off...\Trash like you, put on a leash by Shinigami!\Reverse Gear!\Will you never listen to a heretic?\Carcan Bras! response:	A headbutt of love.
context: Soul?\He's supposed to be a Weapon, same as me?\It pisses me off...\Trash like you, put on a leash by Shinigami!\Reverse Gear!\Will you never listen to a heretic?\Carcan Bras!\A headbutt of love. response:	Bastard...
context: He's supposed to be a Weapon, same as me?\It pisses me off...\Trash like you, put on a leash by Shinigami!\Reverse Gear!\Will you never listen to a heretic?\Carcan Bras!\A headbutt of love.\Bastard... response:	Their level is too high, I can't even use them as reference.
context: It pisses me off...\Trash like you, put on a leash by Shinigami!\Reverse Gear!\Will you never listen to a heretic?\Carcan Bras!\A headbutt of love.\Bastard...\Their level is too high, I can't even use them as reference. response:	Studying at a time like this?
context: Trash like you, put on a leash by Shinigami!\Reverse Gear!\Will you never listen to a heretic?\Carcan Bras!\A headbutt of love.\Bastard...\Their level is too high, I can't even use them as reference.\Studying at a time like this? response:	You're quite a diligent one...
context: Reverse Gear!\Will you never listen to a heretic?\Carcan Bras!\A headbutt of love.\Bastard...\Their level is too high, I can't even use them as reference.\Studying at a time like this?\You're quite a diligent one... response:	My engine's heating up.
context: Will you never listen to a heretic?\Carcan Bras!\A headbutt of love.\Bastard...\Their level is too high, I can't even use them as reference.\Studying at a time like this?\You're quite a diligent one...\My engine's heating up. response:	How about you take off your earphones?
context: Carcan Bras!\A headbutt of love.\Bastard...\Their level is too high, I can't even use them as reference.\Studying at a time like this?\You're quite a diligent one...\My engine's heating up.\How about you take off your earphones? response:	No matter what I say, you can't hear me, you bastard...
context: A headbutt of love.\Bastard...\Their level is too high, I can't even use them as reference.\Studying at a time like this?\You're quite a diligent one...\My engine's heating up.\How about you take off your earphones?\No matter what I say, you can't hear me, you bastard... response:	By your lip movement I can understand...
context: Bastard...\Their level is too high, I can't even use them as reference.\Studying at a time like this?\You're quite a diligent one...\My engine's heating up.\How about you take off your earphones?\No matter what I say, you can't hear me, you bastard...\By your lip movement I can understand... response:	And the bad things you're saying.
context: Their level is too high, I can't even use them as reference.\Studying at a time like this?\You're quite a diligent one...\My engine's heating up.\How about you take off your earphones?\No matter what I say, you can't hear me, you bastard...\By your lip movement I can understand...\And the bad things you're saying. response:	You can read lips?
context: Studying at a time like this?\You're quite a diligent one...\My engine's heating up.\How about you take off your earphones?\No matter what I say, you can't hear me, you bastard...\By your lip movement I can understand...\And the bad things you're saying.\You can read lips? response:	All this time, you've only been pretending not to be able to hear me?
context: You're quite a diligent one...\My engine's heating up.\How about you take off your earphones?\No matter what I say, you can't hear me, you bastard...\By your lip movement I can understand...\And the bad things you're saying.\You can read lips?\All this time, you've only been pretending not to be able to hear me? response:	You really piss me off!
context: My engine's heating up.\How about you take off your earphones?\No matter what I say, you can't hear me, you bastard...\By your lip movement I can understand...\And the bad things you're saying.\You can read lips?\All this time, you've only been pretending not to be able to hear me?\You really piss me off! response:	Giriko...
context: How about you take off your earphones?\No matter what I say, you can't hear me, you bastard...\By your lip movement I can understand...\And the bad things you're saying.\You can read lips?\All this time, you've only been pretending not to be able to hear me?\You really piss me off!\Giriko... response:	What, dammit?
context: No matter what I say, you can't hear me, you bastard...\By your lip movement I can understand...\And the bad things you're saying.\You can read lips?\All this time, you've only been pretending not to be able to hear me?\You really piss me off!\Giriko...\What, dammit? response:	What is it, Sis?
context: By your lip movement I can understand...\And the bad things you're saying.\You can read lips?\All this time, you've only been pretending not to be able to hear me?\You really piss me off!\Giriko...\What, dammit?\What is it, Sis? response:	The golem's energy is about to run out.
context: And the bad things you're saying.\You can read lips?\All this time, you've only been pretending not to be able to hear me?\You really piss me off!\Giriko...\What, dammit?\What is it, Sis?\The golem's energy is about to run out. response:	Let's withdraw.
context: You can read lips?\All this time, you've only been pretending not to be able to hear me?\You really piss me off!\Giriko...\What, dammit?\What is it, Sis?\The golem's energy is about to run out.\Let's withdraw. response:	What?
context: All this time, you've only been pretending not to be able to hear me?\You really piss me off!\Giriko...\What, dammit?\What is it, Sis?\The golem's energy is about to run out.\Let's withdraw.\What? response:	They're waiting for our return.
context: You really piss me off!\Giriko...\What, dammit?\What is it, Sis?\The golem's energy is about to run out.\Let's withdraw.\What?\They're waiting for our return. response:	As for battlefields... there will be plenty of them from here on.
context: Giriko...\What, dammit?\What is it, Sis?\The golem's energy is about to run out.\Let's withdraw.\What?\They're waiting for our return.\As for battlefields... there will be plenty of them from here on. response:	As for battlefields... there will be plenty of them from here on.
context: What, dammit?\What is it, Sis?\The golem's energy is about to run out.\Let's withdraw.\What?\They're waiting for our return.\As for battlefields... there will be plenty of them from here on.\As for battlefields... there will be plenty of them from here on. response:	Guess there's no way around it...
context: What is it, Sis?\The golem's energy is about to run out.\Let's withdraw.\What?\They're waiting for our return.\As for battlefields... there will be plenty of them from here on.\As for battlefields... there will be plenty of them from here on.\Guess there's no way around it... response:	I leave the rest to you, golem.
context: The golem's energy is about to run out.\Let's withdraw.\What?\They're waiting for our return.\As for battlefields... there will be plenty of them from here on.\As for battlefields... there will be plenty of them from here on.\Guess there's no way around it...\I leave the rest to you, golem. response:	I don't care about that damn brat.
context: Let's withdraw.\What?\They're waiting for our return.\As for battlefields... there will be plenty of them from here on.\As for battlefields... there will be plenty of them from here on.\Guess there's no way around it...\I leave the rest to you, golem.\I don't care about that damn brat. response:	I'll eventually kill you.
context: What?\They're waiting for our return.\As for battlefields... there will be plenty of them from here on.\As for battlefields... there will be plenty of them from here on.\Guess there's no way around it...\I leave the rest to you, golem.\I don't care about that damn brat.\I'll eventually kill you. response:	Hold it!
context: They're waiting for our return.\As for battlefields... there will be plenty of them from here on.\As for battlefields... there will be plenty of them from here on.\Guess there's no way around it...\I leave the rest to you, golem.\I don't care about that damn brat.\I'll eventually kill you.\Hold it! response:	I won't let you escape!
context: As for battlefields... there will be plenty of them from here on.\As for battlefields... there will be plenty of them from here on.\Guess there's no way around it...\I leave the rest to you, golem.\I don't care about that damn brat.\I'll eventually kill you.\Hold it!\I won't let you escape! response:	Crona!
context: As for battlefields... there will be plenty of them from here on.\Guess there's no way around it...\I leave the rest to you, golem.\I don't care about that damn brat.\I'll eventually kill you.\Hold it!\I won't let you escape!\Crona! response:	Maka...
context: Guess there's no way around it...\I leave the rest to you, golem.\I don't care about that damn brat.\I'll eventually kill you.\Hold it!\I won't let you escape!\Crona!\Maka... response:	Shinigami-sama's edict was the protection of the Shibusen students and the trial-attendance student.
context: I leave the rest to you, golem.\I don't care about that damn brat.\I'll eventually kill you.\Hold it!\I won't let you escape!\Crona!\Maka...\Shinigami-sama's edict was the protection of the Shibusen students and the trial-attendance student. response:	Everyone, please take cover.
context: I don't care about that damn brat.\I'll eventually kill you.\Hold it!\I won't let you escape!\Crona!\Maka...\Shinigami-sama's edict was the protection of the Shibusen students and the trial-attendance student.\Everyone, please take cover. response:	I'll be flashy with this one.
context: I'll eventually kill you.\Hold it!\I won't let you escape!\Crona!\Maka...\Shinigami-sama's edict was the protection of the Shibusen students and the trial-attendance student.\Everyone, please take cover.\I'll be flashy with this one. response:	We, the people of Death City, beseech You, our God...
context: Hold it!\I won't let you escape!\Crona!\Maka...\Shinigami-sama's edict was the protection of the Shibusen students and the trial-attendance student.\Everyone, please take cover.\I'll be flashy with this one.\We, the people of Death City, beseech You, our God... response:	The prayer is strengthening his soul wavelength.
context: I won't let you escape!\Crona!\Maka...\Shinigami-sama's edict was the protection of the Shibusen students and the trial-attendance student.\Everyone, please take cover.\I'll be flashy with this one.\We, the people of Death City, beseech You, our God...\The prayer is strengthening his soul wavelength. response:	Oh, God of Death, let me be an instrument of peace.
context: Crona!\Maka...\Shinigami-sama's edict was the protection of the Shibusen students and the trial-attendance student.\Everyone, please take cover.\I'll be flashy with this one.\We, the people of Death City, beseech You, our God...\The prayer is strengthening his soul wavelength.\Oh, God of Death, let me be an instrument of peace. response:	I am a pillar of justice.
context: Maka...\Shinigami-sama's edict was the protection of the Shibusen students and the trial-attendance student.\Everyone, please take cover.\I'll be flashy with this one.\We, the people of Death City, beseech You, our God...\The prayer is strengthening his soul wavelength.\Oh, God of Death, let me be an instrument of peace.\I am a pillar of justice. response:	A blade of faith.
context: Shinigami-sama's edict was the protection of the Shibusen students and the trial-attendance student.\Everyone, please take cover.\I'll be flashy with this one.\We, the people of Death City, beseech You, our God...\The prayer is strengthening his soul wavelength.\Oh, God of Death, let me be an instrument of peace.\I am a pillar of justice.\A blade of faith. response:	In the name of Shinigami,
context: Everyone, please take cover.\I'll be flashy with this one.\We, the people of Death City, beseech You, our God...\The prayer is strengthening his soul wavelength.\Oh, God of Death, let me be an instrument of peace.\I am a pillar of justice.\A blade of faith.\In the name of Shinigami, response:	Now...
context: I'll be flashy with this one.\We, the people of Death City, beseech You, our God...\The prayer is strengthening his soul wavelength.\Oh, God of Death, let me be an instrument of peace.\I am a pillar of justice.\A blade of faith.\In the name of Shinigami,\Now... response:	Let us all pray.
context: We, the people of Death City, beseech You, our God...\The prayer is strengthening his soul wavelength.\Oh, God of Death, let me be an instrument of peace.\I am a pillar of justice.\A blade of faith.\In the name of Shinigami,\Now...\Let us all pray. response:	Amazing, that's supposed to be a Weapon like me?
context: The prayer is strengthening his soul wavelength.\Oh, God of Death, let me be an instrument of peace.\I am a pillar of justice.\A blade of faith.\In the name of Shinigami,\Now...\Let us all pray.\Amazing, that's supposed to be a Weapon like me? response:	In the end, if the Meister can't move I can't do anything.
context: Oh, God of Death, let me be an instrument of peace.\I am a pillar of justice.\A blade of faith.\In the name of Shinigami,\Now...\Let us all pray.\Amazing, that's supposed to be a Weapon like me?\In the end, if the Meister can't move I can't do anything. response:	Merely being able to hold her like this is just...
context: I am a pillar of justice.\A blade of faith.\In the name of Shinigami,\Now...\Let us all pray.\Amazing, that's supposed to be a Weapon like me?\In the end, if the Meister can't move I can't do anything.\Merely being able to hold her like this is just... response:	Dammit.
context: A blade of faith.\In the name of Shinigami,\Now...\Let us all pray.\Amazing, that's supposed to be a Weapon like me?\In the end, if the Meister can't move I can't do anything.\Merely being able to hold her like this is just...\Dammit. response:	You still can't move?
context: In the name of Shinigami,\Now...\Let us all pray.\Amazing, that's supposed to be a Weapon like me?\In the end, if the Meister can't move I can't do anything.\Merely being able to hold her like this is just...\Dammit.\You still can't move? response:	That spell that witch, Arachne, cast won't wear off...
context: Now...\Let us all pray.\Amazing, that's supposed to be a Weapon like me?\In the end, if the Meister can't move I can't do anything.\Merely being able to hold her like this is just...\Dammit.\You still can't move?\That spell that witch, Arachne, cast won't wear off... response:	This is quite a problem...
context: Let us all pray.\Amazing, that's supposed to be a Weapon like me?\In the end, if the Meister can't move I can't do anything.\Merely being able to hold her like this is just...\Dammit.\You still can't move?\That spell that witch, Arachne, cast won't wear off...\This is quite a problem... response:	Oi! Hold it, you guys!
context: Amazing, that's supposed to be a Weapon like me?\In the end, if the Meister can't move I can't do anything.\Merely being able to hold her like this is just...\Dammit.\You still can't move?\That spell that witch, Arachne, cast won't wear off...\This is quite a problem...\Oi! Hold it, you guys! response:	Does it have to be inside this?
context: In the end, if the Meister can't move I can't do anything.\Merely being able to hold her like this is just...\Dammit.\You still can't move?\That spell that witch, Arachne, cast won't wear off...\This is quite a problem...\Oi! Hold it, you guys!\Does it have to be inside this? response:	Come again?
context: Merely being able to hold her like this is just...\Dammit.\You still can't move?\That spell that witch, Arachne, cast won't wear off...\This is quite a problem...\Oi! Hold it, you guys!\Does it have to be inside this?\Come again? response:	One of you can read lips, right?
context: Dammit.\You still can't move?\That spell that witch, Arachne, cast won't wear off...\This is quite a problem...\Oi! Hold it, you guys!\Does it have to be inside this?\Come again?\One of you can read lips, right? response:	Anyway, we'll have to ask Dr. Stein for a way to cure Maka.
context: You still can't move?\That spell that witch, Arachne, cast won't wear off...\This is quite a problem...\Oi! Hold it, you guys!\Does it have to be inside this?\Come again?\One of you can read lips, right?\Anyway, we'll have to ask Dr. Stein for a way to cure Maka. response:	Indeed.
context: That spell that witch, Arachne, cast won't wear off...\This is quite a problem...\Oi! Hold it, you guys!\Does it have to be inside this?\Come again?\One of you can read lips, right?\Anyway, we'll have to ask Dr. Stein for a way to cure Maka.\Indeed. response:	The doctor should know.
context: This is quite a problem...\Oi! Hold it, you guys!\Does it have to be inside this?\Come again?\One of you can read lips, right?\Anyway, we'll have to ask Dr. Stein for a way to cure Maka.\Indeed.\The doctor should know. response:	He's a doctor, after all...
context: Oi! Hold it, you guys!\Does it have to be inside this?\Come again?\One of you can read lips, right?\Anyway, we'll have to ask Dr. Stein for a way to cure Maka.\Indeed.\The doctor should know.\He's a doctor, after all... response:	Yeah, he's a doctor... a doctor.
context: Does it have to be inside this?\Come again?\One of you can read lips, right?\Anyway, we'll have to ask Dr. Stein for a way to cure Maka.\Indeed.\The doctor should know.\He's a doctor, after all...\Yeah, he's a doctor... a doctor. response:	What's up with everyone agreeing on relying on that doctor?
context: Come again?\One of you can read lips, right?\Anyway, we'll have to ask Dr. Stein for a way to cure Maka.\Indeed.\The doctor should know.\He's a doctor, after all...\Yeah, he's a doctor... a doctor.\What's up with everyone agreeing on relying on that doctor? response:	Here, Maka, have some flowers.
context: One of you can read lips, right?\Anyway, we'll have to ask Dr. Stein for a way to cure Maka.\Indeed.\The doctor should know.\He's a doctor, after all...\Yeah, he's a doctor... a doctor.\What's up with everyone agreeing on relying on that doctor?\Here, Maka, have some flowers. response:	Thank you.
context: Anyway, we'll have to ask Dr. Stein for a way to cure Maka.\Indeed.\The doctor should know.\He's a doctor, after all...\Yeah, he's a doctor... a doctor.\What's up with everyone agreeing on relying on that doctor?\Here, Maka, have some flowers.\Thank you. response:	I kind of get how Sid-sensei feels.
context: Indeed.\The doctor should know.\He's a doctor, after all...\Yeah, he's a doctor... a doctor.\What's up with everyone agreeing on relying on that doctor?\Here, Maka, have some flowers.\Thank you.\I kind of get how Sid-sensei feels. response:	A red carpet in a mountain?
context: The doctor should know.\He's a doctor, after all...\Yeah, he's a doctor... a doctor.\What's up with everyone agreeing on relying on that doctor?\Here, Maka, have some flowers.\Thank you.\I kind of get how Sid-sensei feels.\A red carpet in a mountain? response:	I've been expecting you,
context: He's a doctor, after all...\Yeah, he's a doctor... a doctor.\What's up with everyone agreeing on relying on that doctor?\Here, Maka, have some flowers.\Thank you.\I kind of get how Sid-sensei feels.\A red carpet in a mountain?\I've been expecting you, response:	Mosquito?
context: Yeah, he's a doctor... a doctor.\What's up with everyone agreeing on relying on that doctor?\Here, Maka, have some flowers.\Thank you.\I kind of get how Sid-sensei feels.\A red carpet in a mountain?\I've been expecting you,\Mosquito? response:	After 800 years, the air around this place has become fairly stagnated.
