context: Ladies and gentlemen, good evening. response:	At long last, the time has come for my friend to bid farewell to things of beauty.
context: I cede ownership of Queen Vasiliki of Janina and Princess Haidee...\Seller, Fernand Mondego.\What's this supposed to prove?!\I followed the tracks of this Mondego person.\But every last bit of information on him had been erased.\It was almost as if he had never existed.\But Mondego existed, all right.\When he returned to Marseilles, response:	And that's when he changed his name.
context: Seller, Fernand Mondego.\What's this supposed to prove?!\I followed the tracks of this Mondego person.\But every last bit of information on him had been erased.\It was almost as if he had never existed.\But Mondego existed, all right.\When he returned to Marseilles,\And that's when he changed his name. response:	Prove it! Show me your proof!
context: What's this supposed to prove?!\I followed the tracks of this Mondego person.\But every last bit of information on him had been erased.\It was almost as if he had never existed.\But Mondego existed, all right.\When he returned to Marseilles,\And that's when he changed his name.\Prove it! Show me your proof! response:	Albert, I was also able to learn through Ministry of the Interior records...
context: I followed the tracks of this Mondego person.\But every last bit of information on him had been erased.\It was almost as if he had never existed.\But Mondego existed, all right.\When he returned to Marseilles,\And that's when he changed his name.\Prove it! Show me your proof!\Albert, I was also able to learn through Ministry of the Interior records... response:	They were both originally from Marseilles.
context: But every last bit of information on him had been erased.\It was almost as if he had never existed.\But Mondego existed, all right.\When he returned to Marseilles,\And that's when he changed his name.\Prove it! Show me your proof!\Albert, I was also able to learn through Ministry of the Interior records...\They were both originally from Marseilles. response:	And then Villefort purged all information regarding Mondego from all public records.
context: It was almost as if he had never existed.\But Mondego existed, all right.\When he returned to Marseilles,\And that's when he changed his name.\Prove it! Show me your proof!\Albert, I was also able to learn through Ministry of the Interior records...\They were both originally from Marseilles.\And then Villefort purged all information regarding Mondego from all public records. response:	And that's how the man known as Mondego was erased from existence,
context: But Mondego existed, all right.\When he returned to Marseilles,\And that's when he changed his name.\Prove it! Show me your proof!\Albert, I was also able to learn through Ministry of the Interior records...\They were both originally from Marseilles.\And then Villefort purged all information regarding Mondego from all public records.\And that's how the man known as Mondego was erased from existence, response:	What're you two saying?! That my father is the same man as that monster, Mondego?!
context: When he returned to Marseilles,\And that's when he changed his name.\Prove it! Show me your proof!\Albert, I was also able to learn through Ministry of the Interior records...\They were both originally from Marseilles.\And then Villefort purged all information regarding Mondego from all public records.\And that's how the man known as Mondego was erased from existence,\What're you two saying?! That my father is the same man as that monster, Mondego?! response:	Do you two get your kicks by ganging up on somebody and writing about their problems?!
context: And that's when he changed his name.\Prove it! Show me your proof!\Albert, I was also able to learn through Ministry of the Interior records...\They were both originally from Marseilles.\And then Villefort purged all information regarding Mondego from all public records.\And that's how the man known as Mondego was erased from existence,\What're you two saying?! That my father is the same man as that monster, Mondego?!\Do you two get your kicks by ganging up on somebody and writing about their problems?! response:	Come off it! Do you seriously think I decided to have some fun by writing a made-up article?!
context: Prove it! Show me your proof!\Albert, I was also able to learn through Ministry of the Interior records...\They were both originally from Marseilles.\And then Villefort purged all information regarding Mondego from all public records.\And that's how the man known as Mondego was erased from existence,\What're you two saying?! That my father is the same man as that monster, Mondego?!\Do you two get your kicks by ganging up on somebody and writing about their problems?!\Come off it! Do you seriously think I decided to have some fun by writing a made-up article?! response:	Do you have any idea what it did to me to write that article?
context: Albert, I was also able to learn through Ministry of the Interior records...\They were both originally from Marseilles.\And then Villefort purged all information regarding Mondego from all public records.\And that's how the man known as Mondego was erased from existence,\What're you two saying?! That my father is the same man as that monster, Mondego?!\Do you two get your kicks by ganging up on somebody and writing about their problems?!\Come off it! Do you seriously think I decided to have some fun by writing a made-up article?!\Do you have any idea what it did to me to write that article? response:	Do you really think I'm a slimeball who would sell out his friends for a scoop?!
context: They were both originally from Marseilles.\And then Villefort purged all information regarding Mondego from all public records.\And that's how the man known as Mondego was erased from existence,\What're you two saying?! That my father is the same man as that monster, Mondego?!\Do you two get your kicks by ganging up on somebody and writing about their problems?!\Come off it! Do you seriously think I decided to have some fun by writing a made-up article?!\Do you have any idea what it did to me to write that article?\Do you really think I'm a slimeball who would sell out his friends for a scoop?! response:	All right, that's enough.
context: And then Villefort purged all information regarding Mondego from all public records.\And that's how the man known as Mondego was erased from existence,\What're you two saying?! That my father is the same man as that monster, Mondego?!\Do you two get your kicks by ganging up on somebody and writing about their problems?!\Come off it! Do you seriously think I decided to have some fun by writing a made-up article?!\Do you have any idea what it did to me to write that article?\Do you really think I'm a slimeball who would sell out his friends for a scoop?!\All right, that's enough. response:	I'm a journalist.
context: And that's how the man known as Mondego was erased from existence,\What're you two saying?! That my father is the same man as that monster, Mondego?!\Do you two get your kicks by ganging up on somebody and writing about their problems?!\Come off it! Do you seriously think I decided to have some fun by writing a made-up article?!\Do you have any idea what it did to me to write that article?\Do you really think I'm a slimeball who would sell out his friends for a scoop?!\All right, that's enough.\I'm a journalist. response:	I have a duty to get the truth out to the people, no matter the cost.
context: What're you two saying?! That my father is the same man as that monster, Mondego?!\Do you two get your kicks by ganging up on somebody and writing about their problems?!\Come off it! Do you seriously think I decided to have some fun by writing a made-up article?!\Do you have any idea what it did to me to write that article?\Do you really think I'm a slimeball who would sell out his friends for a scoop?!\All right, that's enough.\I'm a journalist.\I have a duty to get the truth out to the people, no matter the cost. response:	Dammit!
context: Do you two get your kicks by ganging up on somebody and writing about their problems?!\Come off it! Do you seriously think I decided to have some fun by writing a made-up article?!\Do you have any idea what it did to me to write that article?\Do you really think I'm a slimeball who would sell out his friends for a scoop?!\All right, that's enough.\I'm a journalist.\I have a duty to get the truth out to the people, no matter the cost.\Dammit! response:	Gankutsuou, the immortal man living in the Chateau d'lf...
context: Come off it! Do you seriously think I decided to have some fun by writing a made-up article?!\Do you have any idea what it did to me to write that article?\Do you really think I'm a slimeball who would sell out his friends for a scoop?!\All right, that's enough.\I'm a journalist.\I have a duty to get the truth out to the people, no matter the cost.\Dammit!\Gankutsuou, the immortal man living in the Chateau d'lf... response:	That mark I saw on the Count's forehead that night in Auteuil...
context: Do you have any idea what it did to me to write that article?\Do you really think I'm a slimeball who would sell out his friends for a scoop?!\All right, that's enough.\I'm a journalist.\I have a duty to get the truth out to the people, no matter the cost.\Dammit!\Gankutsuou, the immortal man living in the Chateau d'lf...\That mark I saw on the Count's forehead that night in Auteuil... response:	Then does that mean that the Count has turned into Gankutsuou?
context: Do you really think I'm a slimeball who would sell out his friends for a scoop?!\All right, that's enough.\I'm a journalist.\I have a duty to get the truth out to the people, no matter the cost.\Dammit!\Gankutsuou, the immortal man living in the Chateau d'lf...\That mark I saw on the Count's forehead that night in Auteuil...\Then does that mean that the Count has turned into Gankutsuou? response:	What's he doing in Paris?
context: All right, that's enough.\I'm a journalist.\I have a duty to get the truth out to the people, no matter the cost.\Dammit!\Gankutsuou, the immortal man living in the Chateau d'lf...\That mark I saw on the Count's forehead that night in Auteuil...\Then does that mean that the Count has turned into Gankutsuou?\What's he doing in Paris? response:	If you keep pushing yourself this hard, you'll ruin your health.
context: I'm a journalist.\I have a duty to get the truth out to the people, no matter the cost.\Dammit!\Gankutsuou, the immortal man living in the Chateau d'lf...\That mark I saw on the Count's forehead that night in Auteuil...\Then does that mean that the Count has turned into Gankutsuou?\What's he doing in Paris?\If you keep pushing yourself this hard, you'll ruin your health. response:	Did you stay up all night again last night?
context: I have a duty to get the truth out to the people, no matter the cost.\Dammit!\Gankutsuou, the immortal man living in the Chateau d'lf...\That mark I saw on the Count's forehead that night in Auteuil...\Then does that mean that the Count has turned into Gankutsuou?\What's he doing in Paris?\If you keep pushing yourself this hard, you'll ruin your health.\Did you stay up all night again last night? response:	You sure are a worrywart, Maximilien.
context: Dammit!\Gankutsuou, the immortal man living in the Chateau d'lf...\That mark I saw on the Count's forehead that night in Auteuil...\Then does that mean that the Count has turned into Gankutsuou?\What's he doing in Paris?\If you keep pushing yourself this hard, you'll ruin your health.\Did you stay up all night again last night?\You sure are a worrywart, Maximilien. response:	Please eat. It's just country food, but it will help you keep your strength up.
context: Gankutsuou, the immortal man living in the Chateau d'lf...\That mark I saw on the Count's forehead that night in Auteuil...\Then does that mean that the Count has turned into Gankutsuou?\What's he doing in Paris?\If you keep pushing yourself this hard, you'll ruin your health.\Did you stay up all night again last night?\You sure are a worrywart, Maximilien.\Please eat. It's just country food, but it will help you keep your strength up. response:	Hey, that looks great...
context: That mark I saw on the Count's forehead that night in Auteuil...\Then does that mean that the Count has turned into Gankutsuou?\What's he doing in Paris?\If you keep pushing yourself this hard, you'll ruin your health.\Did you stay up all night again last night?\You sure are a worrywart, Maximilien.\Please eat. It's just country food, but it will help you keep your strength up.\Hey, that looks great... response:	Thanks.
context: Then does that mean that the Count has turned into Gankutsuou?\What's he doing in Paris?\If you keep pushing yourself this hard, you'll ruin your health.\Did you stay up all night again last night?\You sure are a worrywart, Maximilien.\Please eat. It's just country food, but it will help you keep your strength up.\Hey, that looks great...\Thanks. response:	Go on, take it to him.
context: What's he doing in Paris?\If you keep pushing yourself this hard, you'll ruin your health.\Did you stay up all night again last night?\You sure are a worrywart, Maximilien.\Please eat. It's just country food, but it will help you keep your strength up.\Hey, that looks great...\Thanks.\Go on, take it to him. response:	No way! I'm too embarrassed!
context: If you keep pushing yourself this hard, you'll ruin your health.\Did you stay up all night again last night?\You sure are a worrywart, Maximilien.\Please eat. It's just country food, but it will help you keep your strength up.\Hey, that looks great...\Thanks.\Go on, take it to him.\No way! I'm too embarrassed! response:	You were the one who said that you wanted to meet Franz, weren't you?
context: Did you stay up all night again last night?\You sure are a worrywart, Maximilien.\Please eat. It's just country food, but it will help you keep your strength up.\Hey, that looks great...\Thanks.\Go on, take it to him.\No way! I'm too embarrassed!\You were the one who said that you wanted to meet Franz, weren't you? response:	Then you come in with me, big brother.
context: You sure are a worrywart, Maximilien.\Please eat. It's just country food, but it will help you keep your strength up.\Hey, that looks great...\Thanks.\Go on, take it to him.\No way! I'm too embarrassed!\You were the one who said that you wanted to meet Franz, weren't you?\Then you come in with me, big brother. response:	And what are you two up to out here?
context: Please eat. It's just country food, but it will help you keep your strength up.\Hey, that looks great...\Thanks.\Go on, take it to him.\No way! I'm too embarrassed!\You were the one who said that you wanted to meet Franz, weren't you?\Then you come in with me, big brother.\And what are you two up to out here? response:	Big brother!
context: Hey, that looks great...\Thanks.\Go on, take it to him.\No way! I'm too embarrassed!\You were the one who said that you wanted to meet Franz, weren't you?\Then you come in with me, big brother.\And what are you two up to out here?\Big brother! response:	Um... Uh...
context: Thanks.\Go on, take it to him.\No way! I'm too embarrassed!\You were the one who said that you wanted to meet Franz, weren't you?\Then you come in with me, big brother.\And what are you two up to out here?\Big brother!\Um... Uh... response:	Come on over.
context: Go on, take it to him.\No way! I'm too embarrassed!\You were the one who said that you wanted to meet Franz, weren't you?\Then you come in with me, big brother.\And what are you two up to out here?\Big brother!\Um... Uh...\Come on over. response:	Here! Eat this!
context: No way! I'm too embarrassed!\You were the one who said that you wanted to meet Franz, weren't you?\Then you come in with me, big brother.\And what are you two up to out here?\Big brother!\Um... Uh...\Come on over.\Here! Eat this! response:	She said you looked like you were in the dumps, so we made these together.
context: You were the one who said that you wanted to meet Franz, weren't you?\Then you come in with me, big brother.\And what are you two up to out here?\Big brother!\Um... Uh...\Come on over.\Here! Eat this!\She said you looked like you were in the dumps, so we made these together. response:	Thanks, you two.
context: Then you come in with me, big brother.\And what are you two up to out here?\Big brother!\Um... Uh...\Come on over.\Here! Eat this!\She said you looked like you were in the dumps, so we made these together.\Thanks, you two. response:	Mark my words! You'll be next!
context: And what are you two up to out here?\Big brother!\Um... Uh...\Come on over.\Here! Eat this!\She said you looked like you were in the dumps, so we made these together.\Thanks, you two.\Mark my words! You'll be next! response:	Disaster will come calling at your house, too!
context: Big brother!\Um... Uh...\Come on over.\Here! Eat this!\She said you looked like you were in the dumps, so we made these together.\Thanks, you two.\Mark my words! You'll be next!\Disaster will come calling at your house, too! response:	This feels strange.
context: Um... Uh...\Come on over.\Here! Eat this!\She said you looked like you were in the dumps, so we made these together.\Thanks, you two.\Mark my words! You'll be next!\Disaster will come calling at your house, too!\This feels strange. response:	For there to be so many family members in the same house, I mean.
context: Come on over.\Here! Eat this!\She said you looked like you were in the dumps, so we made these together.\Thanks, you two.\Mark my words! You'll be next!\Disaster will come calling at your house, too!\This feels strange.\For there to be so many family members in the same house, I mean. response:	Aren't there a great many people living in your own house, Monsieur Franz?
context: Here! Eat this!\She said you looked like you were in the dumps, so we made these together.\Thanks, you two.\Mark my words! You'll be next!\Disaster will come calling at your house, too!\This feels strange.\For there to be so many family members in the same house, I mean.\Aren't there a great many people living in your own house, Monsieur Franz? response:	A long time ago, maybe. There were lots of servants, too.
context: She said you looked like you were in the dumps, so we made these together.\Thanks, you two.\Mark my words! You'll be next!\Disaster will come calling at your house, too!\This feels strange.\For there to be so many family members in the same house, I mean.\Aren't there a great many people living in your own house, Monsieur Franz?\A long time ago, maybe. There were lots of servants, too. response:	But now, there's just a few servants and my mother.
context: Thanks, you two.\Mark my words! You'll be next!\Disaster will come calling at your house, too!\This feels strange.\For there to be so many family members in the same house, I mean.\Aren't there a great many people living in your own house, Monsieur Franz?\A long time ago, maybe. There were lots of servants, too.\But now, there's just a few servants and my mother. response:	Oh, I didn't know.
context: Mark my words! You'll be next!\Disaster will come calling at your house, too!\This feels strange.\For there to be so many family members in the same house, I mean.\Aren't there a great many people living in your own house, Monsieur Franz?\A long time ago, maybe. There were lots of servants, too.\But now, there's just a few servants and my mother.\Oh, I didn't know. response:	There are a lot of different kinds of aristocrats.
context: Disaster will come calling at your house, too!\This feels strange.\For there to be so many family members in the same house, I mean.\Aren't there a great many people living in your own house, Monsieur Franz?\A long time ago, maybe. There were lots of servants, too.\But now, there's just a few servants and my mother.\Oh, I didn't know.\There are a lot of different kinds of aristocrats. response:	The engagement between Valentine and me was forced on us by Monsieur Villefort...
context: This feels strange.\For there to be so many family members in the same house, I mean.\Aren't there a great many people living in your own house, Monsieur Franz?\A long time ago, maybe. There were lots of servants, too.\But now, there's just a few servants and my mother.\Oh, I didn't know.\There are a lot of different kinds of aristocrats.\The engagement between Valentine and me was forced on us by Monsieur Villefort... response:	Unlike Albert's family, mine doesn't have a large fortune,
context: For there to be so many family members in the same house, I mean.\Aren't there a great many people living in your own house, Monsieur Franz?\A long time ago, maybe. There were lots of servants, too.\But now, there's just a few servants and my mother.\Oh, I didn't know.\There are a lot of different kinds of aristocrats.\The engagement between Valentine and me was forced on us by Monsieur Villefort...\Unlike Albert's family, mine doesn't have a large fortune, response:	I'm sorry. I said all those things without knowing the circumstances behind your engagement.
context: Aren't there a great many people living in your own house, Monsieur Franz?\A long time ago, maybe. There were lots of servants, too.\But now, there's just a few servants and my mother.\Oh, I didn't know.\There are a lot of different kinds of aristocrats.\The engagement between Valentine and me was forced on us by Monsieur Villefort...\Unlike Albert's family, mine doesn't have a large fortune,\I'm sorry. I said all those things without knowing the circumstances behind your engagement. response:	Hey, I'm not so dumb that I need to have you worrying about me.
context: A long time ago, maybe. There were lots of servants, too.\But now, there's just a few servants and my mother.\Oh, I didn't know.\There are a lot of different kinds of aristocrats.\The engagement between Valentine and me was forced on us by Monsieur Villefort...\Unlike Albert's family, mine doesn't have a large fortune,\I'm sorry. I said all those things without knowing the circumstances behind your engagement.\Hey, I'm not so dumb that I need to have you worrying about me. response:	You'd never guess it by looking at me, but I hit the books pretty hard.
context: But now, there's just a few servants and my mother.\Oh, I didn't know.\There are a lot of different kinds of aristocrats.\The engagement between Valentine and me was forced on us by Monsieur Villefort...\Unlike Albert's family, mine doesn't have a large fortune,\I'm sorry. I said all those things without knowing the circumstances behind your engagement.\Hey, I'm not so dumb that I need to have you worrying about me.\You'd never guess it by looking at me, but I hit the books pretty hard. response:	Monsieur Noirtier said it, too.
context: Oh, I didn't know.\There are a lot of different kinds of aristocrats.\The engagement between Valentine and me was forced on us by Monsieur Villefort...\Unlike Albert's family, mine doesn't have a large fortune,\I'm sorry. I said all those things without knowing the circumstances behind your engagement.\Hey, I'm not so dumb that I need to have you worrying about me.\You'd never guess it by looking at me, but I hit the books pretty hard.\Monsieur Noirtier said it, too. response:	He said that he wanted you to make Valentine happy in his place.
context: There are a lot of different kinds of aristocrats.\The engagement between Valentine and me was forced on us by Monsieur Villefort...\Unlike Albert's family, mine doesn't have a large fortune,\I'm sorry. I said all those things without knowing the circumstances behind your engagement.\Hey, I'm not so dumb that I need to have you worrying about me.\You'd never guess it by looking at me, but I hit the books pretty hard.\Monsieur Noirtier said it, too.\He said that he wanted you to make Valentine happy in his place. response:	I will!
context: The engagement between Valentine and me was forced on us by Monsieur Villefort...\Unlike Albert's family, mine doesn't have a large fortune,\I'm sorry. I said all those things without knowing the circumstances behind your engagement.\Hey, I'm not so dumb that I need to have you worrying about me.\You'd never guess it by looking at me, but I hit the books pretty hard.\Monsieur Noirtier said it, too.\He said that he wanted you to make Valentine happy in his place.\I will! response:	Who's this man?
context: Unlike Albert's family, mine doesn't have a large fortune,\I'm sorry. I said all those things without knowing the circumstances behind your engagement.\Hey, I'm not so dumb that I need to have you worrying about me.\You'd never guess it by looking at me, but I hit the books pretty hard.\Monsieur Noirtier said it, too.\He said that he wanted you to make Valentine happy in his place.\I will!\Who's this man? response:	My father. He passed away three years ago.
context: I'm sorry. I said all those things without knowing the circumstances behind your engagement.\Hey, I'm not so dumb that I need to have you worrying about me.\You'd never guess it by looking at me, but I hit the books pretty hard.\Monsieur Noirtier said it, too.\He said that he wanted you to make Valentine happy in his place.\I will!\Who's this man?\My father. He passed away three years ago. response:	That's a beautiful ship that he owned.
context: Hey, I'm not so dumb that I need to have you worrying about me.\You'd never guess it by looking at me, but I hit the books pretty hard.\Monsieur Noirtier said it, too.\He said that he wanted you to make Valentine happy in his place.\I will!\Who's this man?\My father. He passed away three years ago.\That's a beautiful ship that he owned. response:	She was called the Pharaon. She was the star of our fleet.
context: You'd never guess it by looking at me, but I hit the books pretty hard.\Monsieur Noirtier said it, too.\He said that he wanted you to make Valentine happy in his place.\I will!\Who's this man?\My father. He passed away three years ago.\That's a beautiful ship that he owned.\She was called the Pharaon. She was the star of our fleet. response:	She's changed hands now, though.
context: Monsieur Noirtier said it, too.\He said that he wanted you to make Valentine happy in his place.\I will!\Who's this man?\My father. He passed away three years ago.\That's a beautiful ship that he owned.\She was called the Pharaon. She was the star of our fleet.\She's changed hands now, though. response:	Edmond Dantes?
context: He said that he wanted you to make Valentine happy in his place.\I will!\Who's this man?\My father. He passed away three years ago.\That's a beautiful ship that he owned.\She was called the Pharaon. She was the star of our fleet.\She's changed hands now, though.\Edmond Dantes? response:	Oh, Edmond? You know Edmond Dantes?
context: I will!\Who's this man?\My father. He passed away three years ago.\That's a beautiful ship that he owned.\She was called the Pharaon. She was the star of our fleet.\She's changed hands now, though.\Edmond Dantes?\Oh, Edmond? You know Edmond Dantes? response:	You know him? You know who he is?!
context: Who's this man?\My father. He passed away three years ago.\That's a beautiful ship that he owned.\She was called the Pharaon. She was the star of our fleet.\She's changed hands now, though.\Edmond Dantes?\Oh, Edmond? You know Edmond Dantes?\You know him? You know who he is?! response:	Yes, he worked as first mate for Morrel and Son.
context: My father. He passed away three years ago.\That's a beautiful ship that he owned.\She was called the Pharaon. She was the star of our fleet.\She's changed hands now, though.\Edmond Dantes?\Oh, Edmond? You know Edmond Dantes?\You know him? You know who he is?!\Yes, he worked as first mate for Morrel and Son. response:	No go, huh?
context: That's a beautiful ship that he owned.\She was called the Pharaon. She was the star of our fleet.\She's changed hands now, though.\Edmond Dantes?\Oh, Edmond? You know Edmond Dantes?\You know him? You know who he is?!\Yes, he worked as first mate for Morrel and Son.\No go, huh? response:	With that circus out there, I'll never make it through the front door OR the back door.
context: She was called the Pharaon. She was the star of our fleet.\She's changed hands now, though.\Edmond Dantes?\Oh, Edmond? You know Edmond Dantes?\You know him? You know who he is?!\Yes, he worked as first mate for Morrel and Son.\No go, huh?\With that circus out there, I'll never make it through the front door OR the back door. response:	This way, this way!
context: She's changed hands now, though.\Edmond Dantes?\Oh, Edmond? You know Edmond Dantes?\You know him? You know who he is?!\Yes, he worked as first mate for Morrel and Son.\No go, huh?\With that circus out there, I'll never make it through the front door OR the back door.\This way, this way! response:	Over here.
context: Edmond Dantes?\Oh, Edmond? You know Edmond Dantes?\You know him? You know who he is?!\Yes, he worked as first mate for Morrel and Son.\No go, huh?\With that circus out there, I'll never make it through the front door OR the back door.\This way, this way!\Over here. response:	This is the one gate in the whole mansion that isn't hooked into the security system.
context: Oh, Edmond? You know Edmond Dantes?\You know him? You know who he is?!\Yes, he worked as first mate for Morrel and Son.\No go, huh?\With that circus out there, I'll never make it through the front door OR the back door.\This way, this way!\Over here.\This is the one gate in the whole mansion that isn't hooked into the security system. response:	How do you know all this stuff?
context: You know him? You know who he is?!\Yes, he worked as first mate for Morrel and Son.\No go, huh?\With that circus out there, I'll never make it through the front door OR the back door.\This way, this way!\Over here.\This is the one gate in the whole mansion that isn't hooked into the security system.\How do you know all this stuff? response:	Hey, Peppo!
context: Yes, he worked as first mate for Morrel and Son.\No go, huh?\With that circus out there, I'll never make it through the front door OR the back door.\This way, this way!\Over here.\This is the one gate in the whole mansion that isn't hooked into the security system.\How do you know all this stuff?\Hey, Peppo! response:	Get a move on. The paparazzi are coming.
context: No go, huh?\With that circus out there, I'll never make it through the front door OR the back door.\This way, this way!\Over here.\This is the one gate in the whole mansion that isn't hooked into the security system.\How do you know all this stuff?\Hey, Peppo!\Get a move on. The paparazzi are coming. response:	I owe you one.
context: With that circus out there, I'll never make it through the front door OR the back door.\This way, this way!\Over here.\This is the one gate in the whole mansion that isn't hooked into the security system.\How do you know all this stuff?\Hey, Peppo!\Get a move on. The paparazzi are coming.\I owe you one. response:	Goodbye, Albert.
context: This way, this way!\Over here.\This is the one gate in the whole mansion that isn't hooked into the security system.\How do you know all this stuff?\Hey, Peppo!\Get a move on. The paparazzi are coming.\I owe you one.\Goodbye, Albert. response:	Hey, there's somebody over there!
context: Over here.\This is the one gate in the whole mansion that isn't hooked into the security system.\How do you know all this stuff?\Hey, Peppo!\Get a move on. The paparazzi are coming.\I owe you one.\Goodbye, Albert.\Hey, there's somebody over there! response:	C'mon, let's go!
context: This is the one gate in the whole mansion that isn't hooked into the security system.\How do you know all this stuff?\Hey, Peppo!\Get a move on. The paparazzi are coming.\I owe you one.\Goodbye, Albert.\Hey, there's somebody over there!\C'mon, let's go! response:	Mother! Are you here?!
context: How do you know all this stuff?\Hey, Peppo!\Get a move on. The paparazzi are coming.\I owe you one.\Goodbye, Albert.\Hey, there's somebody over there!\C'mon, let's go!\Mother! Are you here?! response:	Mother!
context: Hey, Peppo!\Get a move on. The paparazzi are coming.\I owe you one.\Goodbye, Albert.\Hey, there's somebody over there!\C'mon, let's go!\Mother! Are you here?!\Mother! response:	Mother, aren't you home?
context: Get a move on. The paparazzi are coming.\I owe you one.\Goodbye, Albert.\Hey, there's somebody over there!\C'mon, let's go!\Mother! Are you here?!\Mother!\Mother, aren't you home? response:	Mother!
context: I owe you one.\Goodbye, Albert.\Hey, there's somebody over there!\C'mon, let's go!\Mother! Are you here?!\Mother!\Mother, aren't you home?\Mother! response:	Albert...
context: Goodbye, Albert.\Hey, there's somebody over there!\C'mon, let's go!\Mother! Are you here?!\Mother!\Mother, aren't you home?\Mother!\Albert... response:	Mother! I'm glad you're okay.
context: Hey, there's somebody over there!\C'mon, let's go!\Mother! Are you here?!\Mother!\Mother, aren't you home?\Mother!\Albert...\Mother! I'm glad you're okay. response:	Thank goodness you're safe. Thank goodness...
context: C'mon, let's go!\Mother! Are you here?!\Mother!\Mother, aren't you home?\Mother!\Albert...\Mother! I'm glad you're okay.\Thank goodness you're safe. Thank goodness... response:	Mother, l...
context: Mother! Are you here?!\Mother!\Mother, aren't you home?\Mother!\Albert...\Mother! I'm glad you're okay.\Thank goodness you're safe. Thank goodness...\Mother, l... response:	Look at how haggard you are. I bet you haven't eaten.
context: Mother!\Mother, aren't you home?\Mother!\Albert...\Mother! I'm glad you're okay.\Thank goodness you're safe. Thank goodness...\Mother, l...\Look at how haggard you are. I bet you haven't eaten. response:	Wait here. I'll have them fix something for you.
context: Mother, aren't you home?\Mother!\Albert...\Mother! I'm glad you're okay.\Thank goodness you're safe. Thank goodness...\Mother, l...\Look at how haggard you are. I bet you haven't eaten.\Wait here. I'll have them fix something for you. response:	Stop it, Mother. Stop pretending that nothing's wrong.
context: Mother!\Albert...\Mother! I'm glad you're okay.\Thank goodness you're safe. Thank goodness...\Mother, l...\Look at how haggard you are. I bet you haven't eaten.\Wait here. I'll have them fix something for you.\Stop it, Mother. Stop pretending that nothing's wrong. response:	I'm sick of people treating me like some clueless kid!
context: Albert...\Mother! I'm glad you're okay.\Thank goodness you're safe. Thank goodness...\Mother, l...\Look at how haggard you are. I bet you haven't eaten.\Wait here. I'll have them fix something for you.\Stop it, Mother. Stop pretending that nothing's wrong.\I'm sick of people treating me like some clueless kid! response:	I don't want to hear any more lies.
context: Mother! I'm glad you're okay.\Thank goodness you're safe. Thank goodness...\Mother, l...\Look at how haggard you are. I bet you haven't eaten.\Wait here. I'll have them fix something for you.\Stop it, Mother. Stop pretending that nothing's wrong.\I'm sick of people treating me like some clueless kid!\I don't want to hear any more lies. response:	Fernand and I aren't true aristocrats.
context: Thank goodness you're safe. Thank goodness...\Mother, l...\Look at how haggard you are. I bet you haven't eaten.\Wait here. I'll have them fix something for you.\Stop it, Mother. Stop pretending that nothing's wrong.\I'm sick of people treating me like some clueless kid!\I don't want to hear any more lies.\Fernand and I aren't true aristocrats. response:	We were commoners born in a small village outside of Marseilles called Catalonia.
context: Mother, l...\Look at how haggard you are. I bet you haven't eaten.\Wait here. I'll have them fix something for you.\Stop it, Mother. Stop pretending that nothing's wrong.\I'm sick of people treating me like some clueless kid!\I don't want to hear any more lies.\Fernand and I aren't true aristocrats.\We were commoners born in a small village outside of Marseilles called Catalonia. response:	Mother...
context: Look at how haggard you are. I bet you haven't eaten.\Wait here. I'll have them fix something for you.\Stop it, Mother. Stop pretending that nothing's wrong.\I'm sick of people treating me like some clueless kid!\I don't want to hear any more lies.\Fernand and I aren't true aristocrats.\We were commoners born in a small village outside of Marseilles called Catalonia.\Mother... response:	Then what is Father's real name?
context: Wait here. I'll have them fix something for you.\Stop it, Mother. Stop pretending that nothing's wrong.\I'm sick of people treating me like some clueless kid!\I don't want to hear any more lies.\Fernand and I aren't true aristocrats.\We were commoners born in a small village outside of Marseilles called Catalonia.\Mother...\Then what is Father's real name? response:	Your father's real name is Fernand Mondego.
context: Stop it, Mother. Stop pretending that nothing's wrong.\I'm sick of people treating me like some clueless kid!\I don't want to hear any more lies.\Fernand and I aren't true aristocrats.\We were commoners born in a small village outside of Marseilles called Catalonia.\Mother...\Then what is Father's real name?\Your father's real name is Fernand Mondego. response:	By the time I realized what was happening, it was already too late to turn back.
context: I'm sick of people treating me like some clueless kid!\I don't want to hear any more lies.\Fernand and I aren't true aristocrats.\We were commoners born in a small village outside of Marseilles called Catalonia.\Mother...\Then what is Father's real name?\Your father's real name is Fernand Mondego.\By the time I realized what was happening, it was already too late to turn back. response:	Once I said that we were aristocrats by birth, I had no choice but to keep playing the part.
context: I don't want to hear any more lies.\Fernand and I aren't true aristocrats.\We were commoners born in a small village outside of Marseilles called Catalonia.\Mother...\Then what is Father's real name?\Your father's real name is Fernand Mondego.\By the time I realized what was happening, it was already too late to turn back.\Once I said that we were aristocrats by birth, I had no choice but to keep playing the part. response:	And then the truth finally struck home in the middle of your father's campaign speech.
context: Fernand and I aren't true aristocrats.\We were commoners born in a small village outside of Marseilles called Catalonia.\Mother...\Then what is Father's real name?\Your father's real name is Fernand Mondego.\By the time I realized what was happening, it was already too late to turn back.\Once I said that we were aristocrats by birth, I had no choice but to keep playing the part.\And then the truth finally struck home in the middle of your father's campaign speech. response:	Why?! Why are you saying these things, too, Mother?!
