context: Hey, the float's coming along pretty nicely. response:	How's the cafe going?
context: Why is Takeuchi-kun looking at me so gently?\You sure know a lot about this stuff.\Ah... a friend of mine was asked to do it part-time a long time ago.\Ah, and I'm sorry about calling you my girlfriend!\I-It's fine. Thanks.\It's just such a pain once you get mixed up with them.\Yeah.\Y-You got separated from your friends because of me... response:	Ah, don't worry. I just got a text message from them.
context: You sure know a lot about this stuff.\Ah... a friend of mine was asked to do it part-time a long time ago.\Ah, and I'm sorry about calling you my girlfriend!\I-It's fine. Thanks.\It's just such a pain once you get mixed up with them.\Yeah.\Y-You got separated from your friends because of me...\Ah, don't worry. I just got a text message from them. response:	1 New Message
context: Ah... a friend of mine was asked to do it part-time a long time ago.\Ah, and I'm sorry about calling you my girlfriend!\I-It's fine. Thanks.\It's just such a pain once you get mixed up with them.\Yeah.\Y-You got separated from your friends because of me...\Ah, don't worry. I just got a text message from them.\1 New Message response:	Text Message Menu
context: Ah, and I'm sorry about calling you my girlfriend!\I-It's fine. Thanks.\It's just such a pain once you get mixed up with them.\Yeah.\Y-You got separated from your friends because of me...\Ah, don't worry. I just got a text message from them.\1 New Message\Text Message Menu response:	Write New Message
context: I-It's fine. Thanks.\It's just such a pain once you get mixed up with them.\Yeah.\Y-You got separated from your friends because of me...\Ah, don't worry. I just got a text message from them.\1 New Message\Text Message Menu\Write New Message response:	Old Messages
context: It's just such a pain once you get mixed up with them.\Yeah.\Y-You got separated from your friends because of me...\Ah, don't worry. I just got a text message from them.\1 New Message\Text Message Menu\Write New Message\Old Messages response:	Sent Messages
context: Yeah.\Y-You got separated from your friends because of me...\Ah, don't worry. I just got a text message from them.\1 New Message\Text Message Menu\Write New Message\Old Messages\Sent Messages response:	New Messages
context: Y-You got separated from your friends because of me...\Ah, don't worry. I just got a text message from them.\1 New Message\Text Message Menu\Write New Message\Old Messages\Sent Messages\New Messages response:	Voice Mail
context: Ah, don't worry. I just got a text message from them.\1 New Message\Text Message Menu\Write New Message\Old Messages\Sent Messages\New Messages\Voice Mail response:	Text Message Settings
context: 1 New Message\Text Message Menu\Write New Message\Old Messages\Sent Messages\New Messages\Voice Mail\Text Message Settings response:	Old Messages
context: Text Message Menu\Write New Message\Old Messages\Sent Messages\New Messages\Voice Mail\Text Message Settings\Old Messages response:	Main Folder
context: Write New Message\Old Messages\Sent Messages\New Messages\Voice Mail\Text Message Settings\Old Messages\Main Folder response:	Mizu-chin
context: Old Messages\Sent Messages\New Messages\Voice Mail\Text Message Settings\Old Messages\Main Folder\Mizu-chin response:	Taka
context: Sent Messages\New Messages\Voice Mail\Text Message Settings\Old Messages\Main Folder\Mizu-chin\Taka response:	Takeuchi
context: New Messages\Voice Mail\Text Message Settings\Old Messages\Main Folder\Mizu-chin\Taka\Takeuchi response:	Folder 4
context: Voice Mail\Text Message Settings\Old Messages\Main Folder\Mizu-chin\Taka\Takeuchi\Folder 4 response:	Good going, Nanami (
context: Text Message Settings\Old Messages\Main Folder\Mizu-chin\Taka\Takeuchi\Folder 4\Good going, Nanami ( response:	(No Subject)
context: Old Messages\Main Folder\Mizu-chin\Taka\Takeuchi\Folder 4\Good going, Nanami (\(No Subject) response:	Message 001
context: Main Folder\Mizu-chin\Taka\Takeuchi\Folder 4\Good going, Nanami (\(No Subject)\Message 001 response:	Message 001
context: Mizu-chin\Taka\Takeuchi\Folder 4\Good going, Nanami (\(No Subject)\Message 001\Message 001 response:	Mizu-chin
context: Taka\Takeuchi\Folder 4\Good going, Nanami (\(No Subject)\Message 001\Message 001\Mizu-chin response:	Good going, Nanami ('')
context: Takeuchi\Folder 4\Good going, Nanami (\(No Subject)\Message 001\Message 001\Mizu-chin\Good going, Nanami ('') response:	Nice, Nanami. Go for it! Make things go well with Takeuchi. ('')
context: Folder 4\Good going, Nanami (\(No Subject)\Message 001\Message 001\Mizu-chin\Good going, Nanami ('')\Nice, Nanami. Go for it! Make things go well with Takeuchi. ('') response:	Well, I'll be going then. Will you be all right?
context: Good going, Nanami (\(No Subject)\Message 001\Message 001\Mizu-chin\Good going, Nanami ('')\Nice, Nanami. Go for it! Make things go well with Takeuchi. ('')\Well, I'll be going then. Will you be all right? response:	Y-Yeah.
context: (No Subject)\Message 001\Message 001\Mizu-chin\Good going, Nanami ('')\Nice, Nanami. Go for it! Make things go well with Takeuchi. ('')\Well, I'll be going then. Will you be all right?\Y-Yeah. response:	I made plans with people from around my area again, like last year.
context: Message 001\Message 001\Mizu-chin\Good going, Nanami ('')\Nice, Nanami. Go for it! Make things go well with Takeuchi. ('')\Well, I'll be going then. Will you be all right?\Y-Yeah.\I made plans with people from around my area again, like last year. response:	Nothing but guys, though. Not really appealing at all.
context: Message 001\Mizu-chin\Good going, Nanami ('')\Nice, Nanami. Go for it! Make things go well with Takeuchi. ('')\Well, I'll be going then. Will you be all right?\Y-Yeah.\I made plans with people from around my area again, like last year.\Nothing but guys, though. Not really appealing at all. response:	Yeah.
context: Mizu-chin\Good going, Nanami ('')\Nice, Nanami. Go for it! Make things go well with Takeuchi. ('')\Well, I'll be going then. Will you be all right?\Y-Yeah.\I made plans with people from around my area again, like last year.\Nothing but guys, though. Not really appealing at all.\Yeah. response:	See you.
context: Good going, Nanami ('')\Nice, Nanami. Go for it! Make things go well with Takeuchi. ('')\Well, I'll be going then. Will you be all right?\Y-Yeah.\I made plans with people from around my area again, like last year.\Nothing but guys, though. Not really appealing at all.\Yeah.\See you. response:	I'm such a moron...
context: Nice, Nanami. Go for it! Make things go well with Takeuchi. ('')\Well, I'll be going then. Will you be all right?\Y-Yeah.\I made plans with people from around my area again, like last year.\Nothing but guys, though. Not really appealing at all.\Yeah.\See you.\I'm such a moron... response:	What was I hoping for?
context: Well, I'll be going then. Will you be all right?\Y-Yeah.\I made plans with people from around my area again, like last year.\Nothing but guys, though. Not really appealing at all.\Yeah.\See you.\I'm such a moron...\What was I hoping for? response:	Being single... is lonely.
context: Y-Yeah.\I made plans with people from around my area again, like last year.\Nothing but guys, though. Not really appealing at all.\Yeah.\See you.\I'm such a moron...\What was I hoping for?\Being single... is lonely. response:	Takahashi.
context: I made plans with people from around my area again, like last year.\Nothing but guys, though. Not really appealing at all.\Yeah.\See you.\I'm such a moron...\What was I hoping for?\Being single... is lonely.\Takahashi. response:	If you ever think you're getting into a dangerous situation, call me right away.
context: Nothing but guys, though. Not really appealing at all.\Yeah.\See you.\I'm such a moron...\What was I hoping for?\Being single... is lonely.\Takahashi.\If you ever think you're getting into a dangerous situation, call me right away. response:	I'll be there in a flash.
context: Yeah.\See you.\I'm such a moron...\What was I hoping for?\Being single... is lonely.\Takahashi.\If you ever think you're getting into a dangerous situation, call me right away.\I'll be there in a flash. response:	What? Takeuchi-kun left?
context: See you.\I'm such a moron...\What was I hoping for?\Being single... is lonely.\Takahashi.\If you ever think you're getting into a dangerous situation, call me right away.\I'll be there in a flash.\What? Takeuchi-kun left? response:	Of course he did.
context: I'm such a moron...\What was I hoping for?\Being single... is lonely.\Takahashi.\If you ever think you're getting into a dangerous situation, call me right away.\I'll be there in a flash.\What? Takeuchi-kun left?\Of course he did. response:	Of course?
context: What was I hoping for?\Being single... is lonely.\Takahashi.\If you ever think you're getting into a dangerous situation, call me right away.\I'll be there in a flash.\What? Takeuchi-kun left?\Of course he did.\Of course? response:	Nana, you're blushing...
context: Being single... is lonely.\Takahashi.\If you ever think you're getting into a dangerous situation, call me right away.\I'll be there in a flash.\What? Takeuchi-kun left?\Of course he did.\Of course?\Nana, you're blushing... response:	This is the same girl who said it wasn't possible because Takeuchi-kun was Yano's best friend.
context: Takahashi.\If you ever think you're getting into a dangerous situation, call me right away.\I'll be there in a flash.\What? Takeuchi-kun left?\Of course he did.\Of course?\Nana, you're blushing...\This is the same girl who said it wasn't possible because Takeuchi-kun was Yano's best friend. response:	If Takeuchi-kun found out he was being refused for that reason, he wouldn't be able to do anything either, I'm sure.
context: If you ever think you're getting into a dangerous situation, call me right away.\I'll be there in a flash.\What? Takeuchi-kun left?\Of course he did.\Of course?\Nana, you're blushing...\This is the same girl who said it wasn't possible because Takeuchi-kun was Yano's best friend.\If Takeuchi-kun found out he was being refused for that reason, he wouldn't be able to do anything either, I'm sure. response:	Of course, this is just considering the off-chance that he does actually like you.
context: I'll be there in a flash.\What? Takeuchi-kun left?\Of course he did.\Of course?\Nana, you're blushing...\This is the same girl who said it wasn't possible because Takeuchi-kun was Yano's best friend.\If Takeuchi-kun found out he was being refused for that reason, he wouldn't be able to do anything either, I'm sure.\Of course, this is just considering the off-chance that he does actually like you. response:	The off-chance...
context: What? Takeuchi-kun left?\Of course he did.\Of course?\Nana, you're blushing...\This is the same girl who said it wasn't possible because Takeuchi-kun was Yano's best friend.\If Takeuchi-kun found out he was being refused for that reason, he wouldn't be able to do anything either, I'm sure.\Of course, this is just considering the off-chance that he does actually like you.\The off-chance... response:	What?
context: Of course he did.\Of course?\Nana, you're blushing...\This is the same girl who said it wasn't possible because Takeuchi-kun was Yano's best friend.\If Takeuchi-kun found out he was being refused for that reason, he wouldn't be able to do anything either, I'm sure.\Of course, this is just considering the off-chance that he does actually like you.\The off-chance...\What? response:	Sign: Octopus Balls
context: Of course?\Nana, you're blushing...\This is the same girl who said it wasn't possible because Takeuchi-kun was Yano's best friend.\If Takeuchi-kun found out he was being refused for that reason, he wouldn't be able to do anything either, I'm sure.\Of course, this is just considering the off-chance that he does actually like you.\The off-chance...\What?\Sign: Octopus Balls response:	I thought you would've invited her.
context: Nana, you're blushing...\This is the same girl who said it wasn't possible because Takeuchi-kun was Yano's best friend.\If Takeuchi-kun found out he was being refused for that reason, he wouldn't be able to do anything either, I'm sure.\Of course, this is just considering the off-chance that he does actually like you.\The off-chance...\What?\Sign: Octopus Balls\I thought you would've invited her. response:	Well, she did say it's not possible.
context: This is the same girl who said it wasn't possible because Takeuchi-kun was Yano's best friend.\If Takeuchi-kun found out he was being refused for that reason, he wouldn't be able to do anything either, I'm sure.\Of course, this is just considering the off-chance that he does actually like you.\The off-chance...\What?\Sign: Octopus Balls\I thought you would've invited her.\Well, she did say it's not possible. response:	What about you? You didn't invite her?
context: If Takeuchi-kun found out he was being refused for that reason, he wouldn't be able to do anything either, I'm sure.\Of course, this is just considering the off-chance that he does actually like you.\The off-chance...\What?\Sign: Octopus Balls\I thought you would've invited her.\Well, she did say it's not possible.\What about you? You didn't invite her? response:	Oh, right. She said you bothered her, didn't she?
context: Of course, this is just considering the off-chance that he does actually like you.\The off-chance...\What?\Sign: Octopus Balls\I thought you would've invited her.\Well, she did say it's not possible.\What about you? You didn't invite her?\Oh, right. She said you bothered her, didn't she? response:	Die.
context: The off-chance...\What?\Sign: Octopus Balls\I thought you would've invited her.\Well, she did say it's not possible.\What about you? You didn't invite her?\Oh, right. She said you bothered her, didn't she?\Die. response:	I wonder if she's here in her yukata again...
context: What?\Sign: Octopus Balls\I thought you would've invited her.\Well, she did say it's not possible.\What about you? You didn't invite her?\Oh, right. She said you bothered her, didn't she?\Die.\I wonder if she's here in her yukata again... response:	I haven't seen her.
context: Sign: Octopus Balls\I thought you would've invited her.\Well, she did say it's not possible.\What about you? You didn't invite her?\Oh, right. She said you bothered her, didn't she?\Die.\I wonder if she's here in her yukata again...\I haven't seen her. response:	She might've come in a yukata...
context: I thought you would've invited her.\Well, she did say it's not possible.\What about you? You didn't invite her?\Oh, right. She said you bothered her, didn't she?\Die.\I wonder if she's here in her yukata again...\I haven't seen her.\She might've come in a yukata... response:	Knowing her, she might've come alone with her girlfriends, and been an east mark for some stall keeper.
context: Well, she did say it's not possible.\What about you? You didn't invite her?\Oh, right. She said you bothered her, didn't she?\Die.\I wonder if she's here in her yukata again...\I haven't seen her.\She might've come in a yukata...\Knowing her, she might've come alone with her girlfriends, and been an east mark for some stall keeper. response:	An easy mark?
context: What about you? You didn't invite her?\Oh, right. She said you bothered her, didn't she?\Die.\I wonder if she's here in her yukata again...\I haven't seen her.\She might've come in a yukata...\Knowing her, she might've come alone with her girlfriends, and been an east mark for some stall keeper.\An easy mark? response:	I wouldn't worry about that. They don't make marks of really cute girls.
context: Oh, right. She said you bothered her, didn't she?\Die.\I wonder if she's here in her yukata again...\I haven't seen her.\She might've come in a yukata...\Knowing her, she might've come alone with her girlfriends, and been an east mark for some stall keeper.\An easy mark?\I wouldn't worry about that. They don't make marks of really cute girls. response:	You're really... a nice guy.
context: Die.\I wonder if she's here in her yukata again...\I haven't seen her.\She might've come in a yukata...\Knowing her, she might've come alone with her girlfriends, and been an east mark for some stall keeper.\An easy mark?\I wouldn't worry about that. They don't make marks of really cute girls.\You're really... a nice guy. response:	When?
context: I wonder if she's here in her yukata again...\I haven't seen her.\She might've come in a yukata...\Knowing her, she might've come alone with her girlfriends, and been an east mark for some stall keeper.\An easy mark?\I wouldn't worry about that. They don't make marks of really cute girls.\You're really... a nice guy.\When? response:	Unlike you...
context: I haven't seen her.\She might've come in a yukata...\Knowing her, she might've come alone with her girlfriends, and been an east mark for some stall keeper.\An easy mark?\I wouldn't worry about that. They don't make marks of really cute girls.\You're really... a nice guy.\When?\Unlike you... response:	I don't say things like no matter what happens, we'll always be friends.
context: She might've come in a yukata...\Knowing her, she might've come alone with her girlfriends, and been an east mark for some stall keeper.\An easy mark?\I wouldn't worry about that. They don't make marks of really cute girls.\You're really... a nice guy.\When?\Unlike you...\I don't say things like no matter what happens, we'll always be friends. response:	What's that suppose to be? A threat?
context: Knowing her, she might've come alone with her girlfriends, and been an east mark for some stall keeper.\An easy mark?\I wouldn't worry about that. They don't make marks of really cute girls.\You're really... a nice guy.\When?\Unlike you...\I don't say things like no matter what happens, we'll always be friends.\What's that suppose to be? A threat? response:	Just the truth.
context: An easy mark?\I wouldn't worry about that. They don't make marks of really cute girls.\You're really... a nice guy.\When?\Unlike you...\I don't say things like no matter what happens, we'll always be friends.\What's that suppose to be? A threat?\Just the truth. response:	If only I were a good guy like you.
context: I wouldn't worry about that. They don't make marks of really cute girls.\You're really... a nice guy.\When?\Unlike you...\I don't say things like no matter what happens, we'll always be friends.\What's that suppose to be? A threat?\Just the truth.\If only I were a good guy like you. response:	Hey... before, you told Takahashi you'd be waiting for her, but...
context: You're really... a nice guy.\When?\Unlike you...\I don't say things like no matter what happens, we'll always be friends.\What's that suppose to be? A threat?\Just the truth.\If only I were a good guy like you.\Hey... before, you told Takahashi you'd be waiting for her, but... response:	When you still haven't organized anything there's no way it'll go well.
context: When?\Unlike you...\I don't say things like no matter what happens, we'll always be friends.\What's that suppose to be? A threat?\Just the truth.\If only I were a good guy like you.\Hey... before, you told Takahashi you'd be waiting for her, but...\When you still haven't organized anything there's no way it'll go well. response:	Right now, it's impossible for you.
context: Unlike you...\I don't say things like no matter what happens, we'll always be friends.\What's that suppose to be? A threat?\Just the truth.\If only I were a good guy like you.\Hey... before, you told Takahashi you'd be waiting for her, but...\When you still haven't organized anything there's no way it'll go well.\Right now, it's impossible for you. response:	Impossible?
context: I don't say things like no matter what happens, we'll always be friends.\What's that suppose to be? A threat?\Just the truth.\If only I were a good guy like you.\Hey... before, you told Takahashi you'd be waiting for her, but...\When you still haven't organized anything there's no way it'll go well.\Right now, it's impossible for you.\Impossible? response:	You're in love with Nana-san, aren't you?
context: What's that suppose to be? A threat?\Just the truth.\If only I were a good guy like you.\Hey... before, you told Takahashi you'd be waiting for her, but...\When you still haven't organized anything there's no way it'll go well.\Right now, it's impossible for you.\Impossible?\You're in love with Nana-san, aren't you? response:	She's dead.
context: Just the truth.\If only I were a good guy like you.\Hey... before, you told Takahashi you'd be waiting for her, but...\When you still haven't organized anything there's no way it'll go well.\Right now, it's impossible for you.\Impossible?\You're in love with Nana-san, aren't you?\She's dead. response:	She's still alive within you.
context: If only I were a good guy like you.\Hey... before, you told Takahashi you'd be waiting for her, but...\When you still haven't organized anything there's no way it'll go well.\Right now, it's impossible for you.\Impossible?\You're in love with Nana-san, aren't you?\She's dead.\She's still alive within you. response:	Which is why you have no right to go out with Takahashi.
context: Hey... before, you told Takahashi you'd be waiting for her, but...\When you still haven't organized anything there's no way it'll go well.\Right now, it's impossible for you.\Impossible?\You're in love with Nana-san, aren't you?\She's dead.\She's still alive within you.\Which is why you have no right to go out with Takahashi. response:	I'm going to make my move.
context: When you still haven't organized anything there's no way it'll go well.\Right now, it's impossible for you.\Impossible?\You're in love with Nana-san, aren't you?\She's dead.\She's still alive within you.\Which is why you have no right to go out with Takahashi.\I'm going to make my move. response:	Coffee
context: Right now, it's impossible for you.\Impossible?\You're in love with Nana-san, aren't you?\She's dead.\She's still alive within you.\Which is why you have no right to go out with Takahashi.\I'm going to make my move.\Coffee response:	Orange Juice
context: Impossible?\You're in love with Nana-san, aren't you?\She's dead.\She's still alive within you.\Which is why you have no right to go out with Takahashi.\I'm going to make my move.\Coffee\Orange Juice response:	Hot Chocolate
context: You're in love with Nana-san, aren't you?\She's dead.\She's still alive within you.\Which is why you have no right to go out with Takahashi.\I'm going to make my move.\Coffee\Orange Juice\Hot Chocolate response:	Tea
context: She's dead.\She's still alive within you.\Which is why you have no right to go out with Takahashi.\I'm going to make my move.\Coffee\Orange Juice\Hot Chocolate\Tea response:	What've you been doing? You look so strained.
context: She's still alive within you.\Which is why you have no right to go out with Takahashi.\I'm going to make my move.\Coffee\Orange Juice\Hot Chocolate\Tea\What've you been doing? You look so strained. response:	About this... no matter how many times I calculate it, there's hardly any profit.
context: Which is why you have no right to go out with Takahashi.\I'm going to make my move.\Coffee\Orange Juice\Hot Chocolate\Tea\What've you been doing? You look so strained.\About this... no matter how many times I calculate it, there's hardly any profit. response:	Yano, it doesn't matter if we make a profit, as long as we break even.
context: I'm going to make my move.\Coffee\Orange Juice\Hot Chocolate\Tea\What've you been doing? You look so strained.\About this... no matter how many times I calculate it, there's hardly any profit.\Yano, it doesn't matter if we make a profit, as long as we break even. response:	After all, this is for the school festival.
context: Coffee\Orange Juice\Hot Chocolate\Tea\What've you been doing? You look so strained.\About this... no matter how many times I calculate it, there's hardly any profit.\Yano, it doesn't matter if we make a profit, as long as we break even.\After all, this is for the school festival. response:	Anyway, we'll scare away customers if the prices are too high, right?
context: Orange Juice\Hot Chocolate\Tea\What've you been doing? You look so strained.\About this... no matter how many times I calculate it, there's hardly any profit.\Yano, it doesn't matter if we make a profit, as long as we break even.\After all, this is for the school festival.\Anyway, we'll scare away customers if the prices are too high, right? response:	Then, what? We're all gonna work for nothing?
context: Hot Chocolate\Tea\What've you been doing? You look so strained.\About this... no matter how many times I calculate it, there's hardly any profit.\Yano, it doesn't matter if we make a profit, as long as we break even.\After all, this is for the school festival.\Anyway, we'll scare away customers if the prices are too high, right?\Then, what? We're all gonna work for nothing? response:	We're gonna get nothing out of all the blood and sweat we've put into it?
context: Tea\What've you been doing? You look so strained.\About this... no matter how many times I calculate it, there's hardly any profit.\Yano, it doesn't matter if we make a profit, as long as we break even.\After all, this is for the school festival.\Anyway, we'll scare away customers if the prices are too high, right?\Then, what? We're all gonna work for nothing?\We're gonna get nothing out of all the blood and sweat we've put into it? response:	AWKWARD SILENCE
context: What've you been doing? You look so strained.\About this... no matter how many times I calculate it, there's hardly any profit.\Yano, it doesn't matter if we make a profit, as long as we break even.\After all, this is for the school festival.\Anyway, we'll scare away customers if the prices are too high, right?\Then, what? We're all gonna work for nothing?\We're gonna get nothing out of all the blood and sweat we've put into it?\AWKWARD SILENCE response:	It's begun again...
context: About this... no matter how many times I calculate it, there's hardly any profit.\Yano, it doesn't matter if we make a profit, as long as we break even.\After all, this is for the school festival.\Anyway, we'll scare away customers if the prices are too high, right?\Then, what? We're all gonna work for nothing?\We're gonna get nothing out of all the blood and sweat we've put into it?\AWKWARD SILENCE\It's begun again... response:	Their one-on-one battle...
context: Yano, it doesn't matter if we make a profit, as long as we break even.\After all, this is for the school festival.\Anyway, we'll scare away customers if the prices are too high, right?\Then, what? We're all gonna work for nothing?\We're gonna get nothing out of all the blood and sweat we've put into it?\AWKWARD SILENCE\It's begun again...\Their one-on-one battle... response:	Let's at least make enough to take care of the fees for putting this up.
context: After all, this is for the school festival.\Anyway, we'll scare away customers if the prices are too high, right?\Then, what? We're all gonna work for nothing?\We're gonna get nothing out of all the blood and sweat we've put into it?\AWKWARD SILENCE\It's begun again...\Their one-on-one battle...\Let's at least make enough to take care of the fees for putting this up. response:	It's too stupid and pointless like this.
context: Anyway, we'll scare away customers if the prices are too high, right?\Then, what? We're all gonna work for nothing?\We're gonna get nothing out of all the blood and sweat we've put into it?\AWKWARD SILENCE\It's begun again...\Their one-on-one battle...\Let's at least make enough to take care of the fees for putting this up.\It's too stupid and pointless like this. response:	I couldn't agree with you more.
context: Then, what? We're all gonna work for nothing?\We're gonna get nothing out of all the blood and sweat we've put into it?\AWKWARD SILENCE\It's begun again...\Their one-on-one battle...\Let's at least make enough to take care of the fees for putting this up.\It's too stupid and pointless like this.\I couldn't agree with you more. response:	Let's leave the drink menu alone, and raise the prices on the side order menu slightly.
context: We're gonna get nothing out of all the blood and sweat we've put into it?\AWKWARD SILENCE\It's begun again...\Their one-on-one battle...\Let's at least make enough to take care of the fees for putting this up.\It's too stupid and pointless like this.\I couldn't agree with you more.\Let's leave the drink menu alone, and raise the prices on the side order menu slightly. response:	Menu
context: AWKWARD SILENCE\It's begun again...\Their one-on-one battle...\Let's at least make enough to take care of the fees for putting this up.\It's too stupid and pointless like this.\I couldn't agree with you more.\Let's leave the drink menu alone, and raise the prices on the side order menu slightly.\Menu response:	Coffee
context: It's begun again...\Their one-on-one battle...\Let's at least make enough to take care of the fees for putting this up.\It's too stupid and pointless like this.\I couldn't agree with you more.\Let's leave the drink menu alone, and raise the prices on the side order menu slightly.\Menu\Coffee response:	Orange Juice
context: Their one-on-one battle...\Let's at least make enough to take care of the fees for putting this up.\It's too stupid and pointless like this.\I couldn't agree with you more.\Let's leave the drink menu alone, and raise the prices on the side order menu slightly.\Menu\Coffee\Orange Juice response:	Hot Chocolate
context: Let's at least make enough to take care of the fees for putting this up.\It's too stupid and pointless like this.\I couldn't agree with you more.\Let's leave the drink menu alone, and raise the prices on the side order menu slightly.\Menu\Coffee\Orange Juice\Hot Chocolate response:	Black Tea
context: It's too stupid and pointless like this.\I couldn't agree with you more.\Let's leave the drink menu alone, and raise the prices on the side order menu slightly.\Menu\Coffee\Orange Juice\Hot Chocolate\Black Tea response:	Oolong Tea
context: I couldn't agree with you more.\Let's leave the drink menu alone, and raise the prices on the side order menu slightly.\Menu\Coffee\Orange Juice\Hot Chocolate\Black Tea\Oolong Tea response:	Green Tea
context: Let's leave the drink menu alone, and raise the prices on the side order menu slightly.\Menu\Coffee\Orange Juice\Hot Chocolate\Black Tea\Oolong Tea\Green Tea response:	But in exchange, let's add some sort of special deal.
context: Menu\Coffee\Orange Juice\Hot Chocolate\Black Tea\Oolong Tea\Green Tea\But in exchange, let's add some sort of special deal. response:	Oh, that sounds good.
context: Coffee\Orange Juice\Hot Chocolate\Black Tea\Oolong Tea\Green Tea\But in exchange, let's add some sort of special deal.\Oh, that sounds good. response:	If we manage to sell a lot, we'll be able to eat and drink for free afterwards.
context: Orange Juice\Hot Chocolate\Black Tea\Oolong Tea\Green Tea\But in exchange, let's add some sort of special deal.\Oh, that sounds good.\If we manage to sell a lot, we'll be able to eat and drink for free afterwards. response:	This should definitely make everyone a little more excited about selling.
context: Hot Chocolate\Black Tea\Oolong Tea\Green Tea\But in exchange, let's add some sort of special deal.\Oh, that sounds good.\If we manage to sell a lot, we'll be able to eat and drink for free afterwards.\This should definitely make everyone a little more excited about selling. response:	Hey...
context: Black Tea\Oolong Tea\Green Tea\But in exchange, let's add some sort of special deal.\Oh, that sounds good.\If we manage to sell a lot, we'll be able to eat and drink for free afterwards.\This should definitely make everyone a little more excited about selling.\Hey... response:	Can I ask you something?
context: Oolong Tea\Green Tea\But in exchange, let's add some sort of special deal.\Oh, that sounds good.\If we manage to sell a lot, we'll be able to eat and drink for free afterwards.\This should definitely make everyone a little more excited about selling.\Hey...\Can I ask you something? response:	How is one able... to forget about the dead?
context: Green Tea\But in exchange, let's add some sort of special deal.\Oh, that sounds good.\If we manage to sell a lot, we'll be able to eat and drink for free afterwards.\This should definitely make everyone a little more excited about selling.\Hey...\Can I ask you something?\How is one able... to forget about the dead? response:	How do you...
context: But in exchange, let's add some sort of special deal.\Oh, that sounds good.\If we manage to sell a lot, we'll be able to eat and drink for free afterwards.\This should definitely make everyone a little more excited about selling.\Hey...\Can I ask you something?\How is one able... to forget about the dead?\How do you... response:	Please...
context: Oh, that sounds good.\If we manage to sell a lot, we'll be able to eat and drink for free afterwards.\This should definitely make everyone a little more excited about selling.\Hey...\Can I ask you something?\How is one able... to forget about the dead?\How do you...\Please... response:	It's...
context: If we manage to sell a lot, we'll be able to eat and drink for free afterwards.\This should definitely make everyone a little more excited about selling.\Hey...\Can I ask you something?\How is one able... to forget about the dead?\How do you...\Please...\It's... response:	Something wrong?
context: This should definitely make everyone a little more excited about selling.\Hey...\Can I ask you something?\How is one able... to forget about the dead?\How do you...\Please...\It's...\Something wrong? response:	Ah, nope... I just came to grab some duct tape.
context: Hey...\Can I ask you something?\How is one able... to forget about the dead?\How do you...\Please...\It's...\Something wrong?\Ah, nope... I just came to grab some duct tape. response:	Those two are getting along unusually well this year.
context: Can I ask you something?\How is one able... to forget about the dead?\How do you...\Please...\It's...\Something wrong?\Ah, nope... I just came to grab some duct tape.\Those two are getting along unusually well this year. response:	Last year, you could feel the cold vibes coming off them.
context: How is one able... to forget about the dead?\How do you...\Please...\It's...\Something wrong?\Ah, nope... I just came to grab some duct tape.\Those two are getting along unusually well this year.\Last year, you could feel the cold vibes coming off them. response:	Y-Yeah. I wonder what happened this year...
context: How do you...\Please...\It's...\Something wrong?\Ah, nope... I just came to grab some duct tape.\Those two are getting along unusually well this year.\Last year, you could feel the cold vibes coming off them.\Y-Yeah. I wonder what happened this year... response:	Sign: The 43rd High School Festival
context: Please...\It's...\Something wrong?\Ah, nope... I just came to grab some duct tape.\Those two are getting along unusually well this year.\Last year, you could feel the cold vibes coming off them.\Y-Yeah. I wonder what happened this year...\Sign: The 43rd High School Festival response:	Please come to Class 2-7's Asian Cafe!
context: It's...\Something wrong?\Ah, nope... I just came to grab some duct tape.\Those two are getting along unusually well this year.\Last year, you could feel the cold vibes coming off them.\Y-Yeah. I wonder what happened this year...\Sign: The 43rd High School Festival\Please come to Class 2-7's Asian Cafe! response:	We have refreshing drinks and sweets!
context: Something wrong?\Ah, nope... I just came to grab some duct tape.\Those two are getting along unusually well this year.\Last year, you could feel the cold vibes coming off them.\Y-Yeah. I wonder what happened this year...\Sign: The 43rd High School Festival\Please come to Class 2-7's Asian Cafe!\We have refreshing drinks and sweets! response:	We also offer special discounts for couples!
context: Ah, nope... I just came to grab some duct tape.\Those two are getting along unusually well this year.\Last year, you could feel the cold vibes coming off them.\Y-Yeah. I wonder what happened this year...\Sign: The 43rd High School Festival\Please come to Class 2-7's Asian Cafe!\We have refreshing drinks and sweets!\We also offer special discounts for couples! response:	It's really hot out today.
context: Those two are getting along unusually well this year.\Last year, you could feel the cold vibes coming off them.\Y-Yeah. I wonder what happened this year...\Sign: The 43rd High School Festival\Please come to Class 2-7's Asian Cafe!\We have refreshing drinks and sweets!\We also offer special discounts for couples!\It's really hot out today. response:	And we have less flyers than we thought we'd need...
context: Last year, you could feel the cold vibes coming off them.\Y-Yeah. I wonder what happened this year...\Sign: The 43rd High School Festival\Please come to Class 2-7's Asian Cafe!\We have refreshing drinks and sweets!\We also offer special discounts for couples!\It's really hot out today.\And we have less flyers than we thought we'd need... response:	I'll have to go copy some more.
