context: Fly response:	A tall, tall wall looms in front of me.
context: It's going to get busy.\Yeah.\You'll be busy, too, Shimizu.\This'll be your first long trip with us.\I'll do my best, too.\Come on! Hurry and clean up, then go home!\Right!\Thanks for the food! response:	I wonder who it is.
context: Yeah.\You'll be busy, too, Shimizu.\This'll be your first long trip with us.\I'll do my best, too.\Come on! Hurry and clean up, then go home!\Right!\Thanks for the food!\I wonder who it is. response:	Maybe she's a third-year.
context: You'll be busy, too, Shimizu.\This'll be your first long trip with us.\I'll do my best, too.\Come on! Hurry and clean up, then go home!\Right!\Thanks for the food!\I wonder who it is.\Maybe she's a third-year. response:	So pretty...
context: This'll be your first long trip with us.\I'll do my best, too.\Come on! Hurry and clean up, then go home!\Right!\Thanks for the food!\I wonder who it is.\Maybe she's a third-year.\So pretty... response:	What? What's happening?
context: I'll do my best, too.\Come on! Hurry and clean up, then go home!\Right!\Thanks for the food!\I wonder who it is.\Maybe she's a third-year.\So pretty...\What? What's happening? response:	Shimizu-senpai!
context: Come on! Hurry and clean up, then go home!\Right!\Thanks for the food!\I wonder who it is.\Maybe she's a third-year.\So pretty...\What? What's happening?\Shimizu-senpai! response:	Hinata knows the hot third-year?!
context: Right!\Thanks for the food!\I wonder who it is.\Maybe she's a third-year.\So pretty...\What? What's happening?\Shimizu-senpai!\Hinata knows the hot third-year?! response:	Wh-What are you doing h-here...
context: Thanks for the food!\I wonder who it is.\Maybe she's a third-year.\So pretty...\What? What's happening?\Shimizu-senpai!\Hinata knows the hot third-year?!\Wh-What are you doing h-here... response:	Hey, Hinata?
context: I wonder who it is.\Maybe she's a third-year.\So pretty...\What? What's happening?\Shimizu-senpai!\Hinata knows the hot third-year?!\Wh-What are you doing h-here...\Hey, Hinata? response:	Do you know any first-years who aren't in a club?
context: Maybe she's a third-year.\So pretty...\What? What's happening?\Shimizu-senpai!\Hinata knows the hot third-year?!\Wh-What are you doing h-here...\Hey, Hinata?\Do you know any first-years who aren't in a club? response:	Aoba Johsai High School
context: So pretty...\What? What's happening?\Shimizu-senpai!\Hinata knows the hot third-year?!\Wh-What are you doing h-here...\Hey, Hinata?\Do you know any first-years who aren't in a club?\Aoba Johsai High School response:	Oikawa Toru (Third-Year)
context: What? What's happening?\Shimizu-senpai!\Hinata knows the hot third-year?!\Wh-What are you doing h-here...\Hey, Hinata?\Do you know any first-years who aren't in a club?\Aoba Johsai High School\Oikawa Toru (Third-Year) response:	Oikawa's featured in Monthly Volleyball,
context: Shimizu-senpai!\Hinata knows the hot third-year?!\Wh-What are you doing h-here...\Hey, Hinata?\Do you know any first-years who aren't in a club?\Aoba Johsai High School\Oikawa Toru (Third-Year)\Oikawa's featured in Monthly Volleyball, response:	and it even has his picture.
context: Hinata knows the hot third-year?!\Wh-What are you doing h-here...\Hey, Hinata?\Do you know any first-years who aren't in a club?\Aoba Johsai High School\Oikawa Toru (Third-Year)\Oikawa's featured in Monthly Volleyball,\and it even has his picture. response:	Well, he's good enough to play in a national league.
context: Wh-What are you doing h-here...\Hey, Hinata?\Do you know any first-years who aren't in a club?\Aoba Johsai High School\Oikawa Toru (Third-Year)\Oikawa's featured in Monthly Volleyball,\and it even has his picture.\Well, he's good enough to play in a national league. response:	So, what does it say?
context: Hey, Hinata?\Do you know any first-years who aren't in a club?\Aoba Johsai High School\Oikawa Toru (Third-Year)\Oikawa's featured in Monthly Volleyball,\and it even has his picture.\Well, he's good enough to play in a national league.\So, what does it say? response:	Um...
context: Do you know any first-years who aren't in a club?\Aoba Johsai High School\Oikawa Toru (Third-Year)\Oikawa's featured in Monthly Volleyball,\and it even has his picture.\Well, he's good enough to play in a national league.\So, what does it say?\Um... response:	Oikawa's favorite food is milk bread.
context: Aoba Johsai High School\Oikawa Toru (Third-Year)\Oikawa's featured in Monthly Volleyball,\and it even has his picture.\Well, he's good enough to play in a national league.\So, what does it say?\Um...\Oikawa's favorite food is milk bread. response:	His favorite saying is,'If you're going to hit it, hit it until it breaks.'
context: Oikawa Toru (Third-Year)\Oikawa's featured in Monthly Volleyball,\and it even has his picture.\Well, he's good enough to play in a national league.\So, what does it say?\Um...\Oikawa's favorite food is milk bread.\His favorite saying is,'If you're going to hit it, hit it until it breaks.' response:	What the hell is that?
context: Oikawa's featured in Monthly Volleyball,\and it even has his picture.\Well, he's good enough to play in a national league.\So, what does it say?\Um...\Oikawa's favorite food is milk bread.\His favorite saying is,'If you're going to hit it, hit it until it breaks.'\What the hell is that? response:	Who cares? That's completely useless!
context: and it even has his picture.\Well, he's good enough to play in a national league.\So, what does it say?\Um...\Oikawa's favorite food is milk bread.\His favorite saying is,'If you're going to hit it, hit it until it breaks.'\What the hell is that?\Who cares? That's completely useless! response:	Third-Years Remain to Take Down Shiratorizawa
context: Well, he's good enough to play in a national league.\So, what does it say?\Um...\Oikawa's favorite food is milk bread.\His favorite saying is,'If you're going to hit it, hit it until it breaks.'\What the hell is that?\Who cares? That's completely useless!\Third-Years Remain to Take Down Shiratorizawa response:	Looks like Seijoh wants to take down Shiratorizawa,
context: So, what does it say?\Um...\Oikawa's favorite food is milk bread.\His favorite saying is,'If you're going to hit it, hit it until it breaks.'\What the hell is that?\Who cares? That's completely useless!\Third-Years Remain to Take Down Shiratorizawa\Looks like Seijoh wants to take down Shiratorizawa, response:	so most of the third-years that were regulars are still there.
context: Um...\Oikawa's favorite food is milk bread.\His favorite saying is,'If you're going to hit it, hit it until it breaks.'\What the hell is that?\Who cares? That's completely useless!\Third-Years Remain to Take Down Shiratorizawa\Looks like Seijoh wants to take down Shiratorizawa,\so most of the third-years that were regulars are still there. response:	Come on and bring it, Seijoh!
context: Oikawa's favorite food is milk bread.\His favorite saying is,'If you're going to hit it, hit it until it breaks.'\What the hell is that?\Who cares? That's completely useless!\Third-Years Remain to Take Down Shiratorizawa\Looks like Seijoh wants to take down Shiratorizawa,\so most of the third-years that were regulars are still there.\Come on and bring it, Seijoh! response:	Bring it!
context: His favorite saying is,'If you're going to hit it, hit it until it breaks.'\What the hell is that?\Who cares? That's completely useless!\Third-Years Remain to Take Down Shiratorizawa\Looks like Seijoh wants to take down Shiratorizawa,\so most of the third-years that were regulars are still there.\Come on and bring it, Seijoh!\Bring it! response:	Hey! You're gonna rip it!
context: What the hell is that?\Who cares? That's completely useless!\Third-Years Remain to Take Down Shiratorizawa\Looks like Seijoh wants to take down Shiratorizawa,\so most of the third-years that were regulars are still there.\Come on and bring it, Seijoh!\Bring it!\Hey! You're gonna rip it! response:	For crying out loud...
context: Who cares? That's completely useless!\Third-Years Remain to Take Down Shiratorizawa\Looks like Seijoh wants to take down Shiratorizawa,\so most of the third-years that were regulars are still there.\Come on and bring it, Seijoh!\Bring it!\Hey! You're gonna rip it!\For crying out loud... response:	The Reigning Champions of Tohoku
context: Third-Years Remain to Take Down Shiratorizawa\Looks like Seijoh wants to take down Shiratorizawa,\so most of the third-years that were regulars are still there.\Come on and bring it, Seijoh!\Bring it!\Hey! You're gonna rip it!\For crying out loud...\The Reigning Champions of Tohoku response:	Shiratorizawa Academy Ushijima Wakatoshi (3rd Year) Wing Spiker
context: Looks like Seijoh wants to take down Shiratorizawa,\so most of the third-years that were regulars are still there.\Come on and bring it, Seijoh!\Bring it!\Hey! You're gonna rip it!\For crying out loud...\The Reigning Champions of Tohoku\Shiratorizawa Academy Ushijima Wakatoshi (3rd Year) Wing Spiker response:	Hey, it's Ushiwaka.
context: so most of the third-years that were regulars are still there.\Come on and bring it, Seijoh!\Bring it!\Hey! You're gonna rip it!\For crying out loud...\The Reigning Champions of Tohoku\Shiratorizawa Academy Ushijima Wakatoshi (3rd Year) Wing Spiker\Hey, it's Ushiwaka. response:	Japan?
context: Come on and bring it, Seijoh!\Bring it!\Hey! You're gonna rip it!\For crying out loud...\The Reigning Champions of Tohoku\Shiratorizawa Academy Ushijima Wakatoshi (3rd Year) Wing Spiker\Hey, it's Ushiwaka.\Japan? response:	Hey! Get out here already.
context: Bring it!\Hey! You're gonna rip it!\For crying out loud...\The Reigning Champions of Tohoku\Shiratorizawa Academy Ushijima Wakatoshi (3rd Year) Wing Spiker\Hey, it's Ushiwaka.\Japan?\Hey! Get out here already. response:	We're going for a run.
context: Hey! You're gonna rip it!\For crying out loud...\The Reigning Champions of Tohoku\Shiratorizawa Academy Ushijima Wakatoshi (3rd Year) Wing Spiker\Hey, it's Ushiwaka.\Japan?\Hey! Get out here already.\We're going for a run. response:	Hey... Ushiwaka's in the Youth World.
context: For crying out loud...\The Reigning Champions of Tohoku\Shiratorizawa Academy Ushijima Wakatoshi (3rd Year) Wing Spiker\Hey, it's Ushiwaka.\Japan?\Hey! Get out here already.\We're going for a run.\Hey... Ushiwaka's in the Youth World. response:	What?
context: The Reigning Champions of Tohoku\Shiratorizawa Academy Ushijima Wakatoshi (3rd Year) Wing Spiker\Hey, it's Ushiwaka.\Japan?\Hey! Get out here already.\We're going for a run.\Hey... Ushiwaka's in the Youth World.\What? response:	Youth World?
context: Shiratorizawa Academy Ushijima Wakatoshi (3rd Year) Wing Spiker\Hey, it's Ushiwaka.\Japan?\Hey! Get out here already.\We're going for a run.\Hey... Ushiwaka's in the Youth World.\What?\Youth World? response:	Simply put, he's representing Japan in the under 19 age group.
context: Hey, it's Ushiwaka.\Japan?\Hey! Get out here already.\We're going for a run.\Hey... Ushiwaka's in the Youth World.\What?\Youth World?\Simply put, he's representing Japan in the under 19 age group. response:	Only one high school can represent Miyagi in the spring tournament.
context: Japan?\Hey! Get out here already.\We're going for a run.\Hey... Ushiwaka's in the Youth World.\What?\Youth World?\Simply put, he's representing Japan in the under 19 age group.\Only one high school can represent Miyagi in the spring tournament. response:	For us to go to nationals,
context: Hey! Get out here already.\We're going for a run.\Hey... Ushiwaka's in the Youth World.\What?\Youth World?\Simply put, he's representing Japan in the under 19 age group.\Only one high school can represent Miyagi in the spring tournament.\For us to go to nationals, response:	we'll have to defeat Ushiwaka and Oikawa.
context: We're going for a run.\Hey... Ushiwaka's in the Youth World.\What?\Youth World?\Simply put, he's representing Japan in the under 19 age group.\Only one high school can represent Miyagi in the spring tournament.\For us to go to nationals,\we'll have to defeat Ushiwaka and Oikawa. response:	All right! Let's go running!
context: Hey... Ushiwaka's in the Youth World.\What?\Youth World?\Simply put, he's representing Japan in the under 19 age group.\Only one high school can represent Miyagi in the spring tournament.\For us to go to nationals,\we'll have to defeat Ushiwaka and Oikawa.\All right! Let's go running! response:	Right!
context: What?\Youth World?\Simply put, he's representing Japan in the under 19 age group.\Only one high school can represent Miyagi in the spring tournament.\For us to go to nationals,\we'll have to defeat Ushiwaka and Oikawa.\All right! Let's go running!\Right! response:	Faculty Room
context: Youth World?\Simply put, he's representing Japan in the under 19 age group.\Only one high school can represent Miyagi in the spring tournament.\For us to go to nationals,\we'll have to defeat Ushiwaka and Oikawa.\All right! Let's go running!\Right!\Faculty Room response:	Quiz Name: Tanaka Ryunosuke Year 2 Class 1
context: Simply put, he's representing Japan in the under 19 age group.\Only one high school can represent Miyagi in the spring tournament.\For us to go to nationals,\we'll have to defeat Ushiwaka and Oikawa.\All right! Let's go running!\Right!\Faculty Room\Quiz Name: Tanaka Ryunosuke Year 2 Class 1 response:	Quiz Name: Nishinoya Yu Year 2 Class 3
context: Only one high school can represent Miyagi in the spring tournament.\For us to go to nationals,\we'll have to defeat Ushiwaka and Oikawa.\All right! Let's go running!\Right!\Faculty Room\Quiz Name: Tanaka Ryunosuke Year 2 Class 1\Quiz Name: Nishinoya Yu Year 2 Class 3 response:	This is reality.
context: For us to go to nationals,\we'll have to defeat Ushiwaka and Oikawa.\All right! Let's go running!\Right!\Faculty Room\Quiz Name: Tanaka Ryunosuke Year 2 Class 1\Quiz Name: Nishinoya Yu Year 2 Class 3\This is reality. response:	I need to accept it, and think rationally...
context: we'll have to defeat Ushiwaka and Oikawa.\All right! Let's go running!\Right!\Faculty Room\Quiz Name: Tanaka Ryunosuke Year 2 Class 1\Quiz Name: Nishinoya Yu Year 2 Class 3\This is reality.\I need to accept it, and think rationally... response:	It'll be okay.
context: All right! Let's go running!\Right!\Faculty Room\Quiz Name: Tanaka Ryunosuke Year 2 Class 1\Quiz Name: Nishinoya Yu Year 2 Class 3\This is reality.\I need to accept it, and think rationally...\It'll be okay. response:	Those kids have plenty of guts, so they'll be able to do this.
context: Right!\Faculty Room\Quiz Name: Tanaka Ryunosuke Year 2 Class 1\Quiz Name: Nishinoya Yu Year 2 Class 3\This is reality.\I need to accept it, and think rationally...\It'll be okay.\Those kids have plenty of guts, so they'll be able to do this. response:	They can do it if they try.
context: Faculty Room\Quiz Name: Tanaka Ryunosuke Year 2 Class 1\Quiz Name: Nishinoya Yu Year 2 Class 3\This is reality.\I need to accept it, and think rationally...\It'll be okay.\Those kids have plenty of guts, so they'll be able to do this.\They can do it if they try. response:	They can do it if
context: Quiz Name: Tanaka Ryunosuke Year 2 Class 1\Quiz Name: Nishinoya Yu Year 2 Class 3\This is reality.\I need to accept it, and think rationally...\It'll be okay.\Those kids have plenty of guts, so they'll be able to do this.\They can do it if they try.\They can do it if response:	They can do it if they try. They can do it if they try.
context: Quiz Name: Nishinoya Yu Year 2 Class 3\This is reality.\I need to accept it, and think rationally...\It'll be okay.\Those kids have plenty of guts, so they'll be able to do this.\They can do it if they try.\They can do it if\They can do it if they try. They can do it if they try. response:	Takeda-sensei?!
context: This is reality.\I need to accept it, and think rationally...\It'll be okay.\Those kids have plenty of guts, so they'll be able to do this.\They can do it if they try.\They can do it if\They can do it if they try. They can do it if they try.\Takeda-sensei?! response:	Here we are.
context: I need to accept it, and think rationally...\It'll be okay.\Those kids have plenty of guts, so they'll be able to do this.\They can do it if they try.\They can do it if\They can do it if they try. They can do it if they try.\Takeda-sensei?!\Here we are. response:	Karasuno's famous Heartbreak Hill.
context: It'll be okay.\Those kids have plenty of guts, so they'll be able to do this.\They can do it if they try.\They can do it if\They can do it if they try. They can do it if they try.\Takeda-sensei?!\Here we are.\Karasuno's famous Heartbreak Hill. response:	All right! Ten dashes uphill to the halfway mark!
context: Those kids have plenty of guts, so they'll be able to do this.\They can do it if they try.\They can do it if\They can do it if they try. They can do it if they try.\Takeda-sensei?!\Here we are.\Karasuno's famous Heartbreak Hill.\All right! Ten dashes uphill to the halfway mark! response:	Two at a time!
context: They can do it if they try.\They can do it if\They can do it if they try. They can do it if they try.\Takeda-sensei?!\Here we are.\Karasuno's famous Heartbreak Hill.\All right! Ten dashes uphill to the halfway mark!\Two at a time! response:	Ready...
context: They can do it if\They can do it if they try. They can do it if they try.\Takeda-sensei?!\Here we are.\Karasuno's famous Heartbreak Hill.\All right! Ten dashes uphill to the halfway mark!\Two at a time!\Ready... response:	Ready...
context: They can do it if they try. They can do it if they try.\Takeda-sensei?!\Here we are.\Karasuno's famous Heartbreak Hill.\All right! Ten dashes uphill to the halfway mark!\Two at a time!\Ready...\Ready... response:	Tsukishima! Run like you mean it!
context: Takeda-sensei?!\Here we are.\Karasuno's famous Heartbreak Hill.\All right! Ten dashes uphill to the halfway mark!\Two at a time!\Ready...\Ready...\Tsukishima! Run like you mean it! response:	Ready...
context: Here we are.\Karasuno's famous Heartbreak Hill.\All right! Ten dashes uphill to the halfway mark!\Two at a time!\Ready...\Ready...\Tsukishima! Run like you mean it!\Ready... response:	Ready...
context: Karasuno's famous Heartbreak Hill.\All right! Ten dashes uphill to the halfway mark!\Two at a time!\Ready...\Ready...\Tsukishima! Run like you mean it!\Ready...\Ready... response:	Ready...
context: All right! Ten dashes uphill to the halfway mark!\Two at a time!\Ready...\Ready...\Tsukishima! Run like you mean it!\Ready...\Ready...\Ready... response:	Hey, good job, Tsukishima.
context: Two at a time!\Ready...\Ready...\Tsukishima! Run like you mean it!\Ready...\Ready...\Ready...\Hey, good job, Tsukishima. response:	Hey! Where are you guys going?!
context: Ready...\Ready...\Tsukishima! Run like you mean it!\Ready...\Ready...\Ready...\Hey, good job, Tsukishima.\Hey! Where are you guys going?! response:	Pretty sure we can just let them go.
context: Ready...\Tsukishima! Run like you mean it!\Ready...\Ready...\Ready...\Hey, good job, Tsukishima.\Hey! Where are you guys going?!\Pretty sure we can just let them go. response:	Nitwit. Nitwit. Ntwit.
context: Tsukishima! Run like you mean it!\Ready...\Ready...\Ready...\Hey, good job, Tsukishima.\Hey! Where are you guys going?!\Pretty sure we can just let them go.\Nitwit. Nitwit. Ntwit. response:	No one's behind us.
context: Ready...\Ready...\Ready...\Hey, good job, Tsukishima.\Hey! Where are you guys going?!\Pretty sure we can just let them go.\Nitwit. Nitwit. Ntwit.\No one's behind us. response:	You totally went the wrong way somewhere, didn't you?
context: Ready...\Ready...\Hey, good job, Tsukishima.\Hey! Where are you guys going?!\Pretty sure we can just let them go.\Nitwit. Nitwit. Ntwit.\No one's behind us.\You totally went the wrong way somewhere, didn't you? response:	That'd be you, dumbass!
context: Ready...\Hey, good job, Tsukishima.\Hey! Where are you guys going?!\Pretty sure we can just let them go.\Nitwit. Nitwit. Ntwit.\No one's behind us.\You totally went the wrong way somewhere, didn't you?\That'd be you, dumbass! response:	Where are we?
context: Hey, good job, Tsukishima.\Hey! Where are you guys going?!\Pretty sure we can just let them go.\Nitwit. Nitwit. Ntwit.\No one's behind us.\You totally went the wrong way somewhere, didn't you?\That'd be you, dumbass!\Where are we? response:	Wakano 3-chome?
context: Hey! Where are you guys going?!\Pretty sure we can just let them go.\Nitwit. Nitwit. Ntwit.\No one's behind us.\You totally went the wrong way somewhere, didn't you?\That'd be you, dumbass!\Where are we?\Wakano 3-chome? response:	Isn't Wakano near Shiratorizawa?
context: Pretty sure we can just let them go.\Nitwit. Nitwit. Ntwit.\No one's behind us.\You totally went the wrong way somewhere, didn't you?\That'd be you, dumbass!\Where are we?\Wakano 3-chome?\Isn't Wakano near Shiratorizawa? response:	Shiratorizawa? You mean Ushiwaka's school?
context: Nitwit. Nitwit. Ntwit.\No one's behind us.\You totally went the wrong way somewhere, didn't you?\That'd be you, dumbass!\Where are we?\Wakano 3-chome?\Isn't Wakano near Shiratorizawa?\Shiratorizawa? You mean Ushiwaka's school? response:	Did you need something from me?
context: No one's behind us.\You totally went the wrong way somewhere, didn't you?\That'd be you, dumbass!\Where are we?\Wakano 3-chome?\Isn't Wakano near Shiratorizawa?\Shiratorizawa? You mean Ushiwaka's school?\Did you need something from me? response:	Japan!
context: You totally went the wrong way somewhere, didn't you?\That'd be you, dumbass!\Where are we?\Wakano 3-chome?\Isn't Wakano near Shiratorizawa?\Shiratorizawa? You mean Ushiwaka's school?\Did you need something from me?\Japan! response:	Japan!
context: That'd be you, dumbass!\Where are we?\Wakano 3-chome?\Isn't Wakano near Shiratorizawa?\Shiratorizawa? You mean Ushiwaka's school?\Did you need something from me?\Japan!\Japan! response:	If you don't need anything, I'll be leaving.
context: Where are we?\Wakano 3-chome?\Isn't Wakano near Shiratorizawa?\Shiratorizawa? You mean Ushiwaka's school?\Did you need something from me?\Japan!\Japan!\If you don't need anything, I'll be leaving. response:	We came from Karasuno!
context: Wakano 3-chome?\Isn't Wakano near Shiratorizawa?\Shiratorizawa? You mean Ushiwaka's school?\Did you need something from me?\Japan!\Japan!\If you don't need anything, I'll be leaving.\We came from Karasuno! response:	Would you mind if we did some recon at Shiratorizawa?
context: Isn't Wakano near Shiratorizawa?\Shiratorizawa? You mean Ushiwaka's school?\Did you need something from me?\Japan!\Japan!\If you don't need anything, I'll be leaving.\We came from Karasuno!\Would you mind if we did some recon at Shiratorizawa? response:	Is he serious?!
context: Shiratorizawa? You mean Ushiwaka's school?\Did you need something from me?\Japan!\Japan!\If you don't need anything, I'll be leaving.\We came from Karasuno!\Would you mind if we did some recon at Shiratorizawa?\Is he serious?! response:	Aren't you supposed to recon in secret?
context: Did you need something from me?\Japan!\Japan!\If you don't need anything, I'll be leaving.\We came from Karasuno!\Would you mind if we did some recon at Shiratorizawa?\Is he serious?!\Aren't you supposed to recon in secret? response:	Karasuno...
context: Japan!\Japan!\If you don't need anything, I'll be leaving.\We came from Karasuno!\Would you mind if we did some recon at Shiratorizawa?\Is he serious?!\Aren't you supposed to recon in secret?\Karasuno... response:	The team that uses that weird quick attack?
context: Japan!\If you don't need anything, I'll be leaving.\We came from Karasuno!\Would you mind if we did some recon at Shiratorizawa?\Is he serious?!\Aren't you supposed to recon in secret?\Karasuno...\The team that uses that weird quick attack? response:	Do as you like.
context: If you don't need anything, I'll be leaving.\We came from Karasuno!\Would you mind if we did some recon at Shiratorizawa?\Is he serious?!\Aren't you supposed to recon in secret?\Karasuno...\The team that uses that weird quick attack?\Do as you like. response:	No matter what your abilities may be,
context: We came from Karasuno!\Would you mind if we did some recon at Shiratorizawa?\Is he serious?!\Aren't you supposed to recon in secret?\Karasuno...\The team that uses that weird quick attack?\Do as you like.\No matter what your abilities may be, response:	we won't get weaker just because you watched us.
context: Would you mind if we did some recon at Shiratorizawa?\Is he serious?!\Aren't you supposed to recon in secret?\Karasuno...\The team that uses that weird quick attack?\Do as you like.\No matter what your abilities may be,\we won't get weaker just because you watched us. response:	I'm heading back to school now.
context: Is he serious?!\Aren't you supposed to recon in secret?\Karasuno...\The team that uses that weird quick attack?\Do as you like.\No matter what your abilities may be,\we won't get weaker just because you watched us.\I'm heading back to school now. response:	If you want to look, follow me.
context: Aren't you supposed to recon in secret?\Karasuno...\The team that uses that weird quick attack?\Do as you like.\No matter what your abilities may be,\we won't get weaker just because you watched us.\I'm heading back to school now.\If you want to look, follow me. response:	If you can keep up.
context: Karasuno...\The team that uses that weird quick attack?\Do as you like.\No matter what your abilities may be,\we won't get weaker just because you watched us.\I'm heading back to school now.\If you want to look, follow me.\If you can keep up. response:	Of course we're going.
context: The team that uses that weird quick attack?\Do as you like.\No matter what your abilities may be,\we won't get weaker just because you watched us.\I'm heading back to school now.\If you want to look, follow me.\If you can keep up.\Of course we're going. response:	We're going to defeat you at the spring tournament.
context: Do as you like.\No matter what your abilities may be,\we won't get weaker just because you watched us.\I'm heading back to school now.\If you want to look, follow me.\If you can keep up.\Of course we're going.\We're going to defeat you at the spring tournament. response:	Of course we'll watch.
context: No matter what your abilities may be,\we won't get weaker just because you watched us.\I'm heading back to school now.\If you want to look, follow me.\If you can keep up.\Of course we're going.\We're going to defeat you at the spring tournament.\Of course we'll watch. response:	Yeah.
context: we won't get weaker just because you watched us.\I'm heading back to school now.\If you want to look, follow me.\If you can keep up.\Of course we're going.\We're going to defeat you at the spring tournament.\Of course we'll watch.\Yeah. response:	Are you out doing roadwork by yourself?
context: I'm heading back to school now.\If you want to look, follow me.\If you can keep up.\Of course we're going.\We're going to defeat you at the spring tournament.\Of course we'll watch.\Yeah.\Are you out doing roadwork by yourself? response:	Everyone else is just slow.
context: If you want to look, follow me.\If you can keep up.\Of course we're going.\We're going to defeat you at the spring tournament.\Of course we'll watch.\Yeah.\Are you out doing roadwork by yourself?\Everyone else is just slow. response:	They're back there somewhere.
context: If you can keep up.\Of course we're going.\We're going to defeat you at the spring tournament.\Of course we'll watch.\Yeah.\Are you out doing roadwork by yourself?\Everyone else is just slow.\They're back there somewhere. response:	Kageyama!
context: Of course we're going.\We're going to defeat you at the spring tournament.\Of course we'll watch.\Yeah.\Are you out doing roadwork by yourself?\Everyone else is just slow.\They're back there somewhere.\Kageyama! response:	Don't you dare get a head start!
context: We're going to defeat you at the spring tournament.\Of course we'll watch.\Yeah.\Are you out doing roadwork by yourself?\Everyone else is just slow.\They're back there somewhere.\Kageyama!\Don't you dare get a head start! response:	You're just slow!
context: Of course we'll watch.\Yeah.\Are you out doing roadwork by yourself?\Everyone else is just slow.\They're back there somewhere.\Kageyama!\Don't you dare get a head start!\You're just slow! response:	As expected, he runs at a fast pace.
context: Yeah.\Are you out doing roadwork by yourself?\Everyone else is just slow.\They're back there somewhere.\Kageyama!\Don't you dare get a head start!\You're just slow!\As expected, he runs at a fast pace. response:	Holy crap!
context: Are you out doing roadwork by yourself?\Everyone else is just slow.\They're back there somewhere.\Kageyama!\Don't you dare get a head start!\You're just slow!\As expected, he runs at a fast pace.\Holy crap! response:	I'm super excited! Whoo!
context: Everyone else is just slow.\They're back there somewhere.\Kageyama!\Don't you dare get a head start!\You're just slow!\As expected, he runs at a fast pace.\Holy crap!\I'm super excited! Whoo! response:	Calm down, dumbass! Are you a dog?
context: They're back there somewhere.\Kageyama!\Don't you dare get a head start!\You're just slow!\As expected, he runs at a fast pace.\Holy crap!\I'm super excited! Whoo!\Calm down, dumbass! Are you a dog? response:	Are you out for your first walk, you idiot?!
context: Kageyama!\Don't you dare get a head start!\You're just slow!\As expected, he runs at a fast pace.\Holy crap!\I'm super excited! Whoo!\Calm down, dumbass! Are you a dog?\Are you out for your first walk, you idiot?! response:	Shiratorizawa Academy
context: Don't you dare get a head start!\You're just slow!\As expected, he runs at a fast pace.\Holy crap!\I'm super excited! Whoo!\Calm down, dumbass! Are you a dog?\Are you out for your first walk, you idiot?!\Shiratorizawa Academy response:	It's so big!
context: You're just slow!\As expected, he runs at a fast pace.\Holy crap!\I'm super excited! Whoo!\Calm down, dumbass! Are you a dog?\Are you out for your first walk, you idiot?!\Shiratorizawa Academy\It's so big! response:	Their school building looks so cool!
context: As expected, he runs at a fast pace.\Holy crap!\I'm super excited! Whoo!\Calm down, dumbass! Are you a dog?\Are you out for your first walk, you idiot?!\Shiratorizawa Academy\It's so big!\Their school building looks so cool! response:	It looks like a hotel!
context: Holy crap!\I'm super excited! Whoo!\Calm down, dumbass! Are you a dog?\Are you out for your first walk, you idiot?!\Shiratorizawa Academy\It's so big!\Their school building looks so cool!\It looks like a hotel! response:	What's with this super-huge athletic field?!
context: I'm super excited! Whoo!\Calm down, dumbass! Are you a dog?\Are you out for your first walk, you idiot?!\Shiratorizawa Academy\It's so big!\Their school building looks so cool!\It looks like a hotel!\What's with this super-huge athletic field?! response:	Management Center Parking Lot
context: Calm down, dumbass! Are you a dog?\Are you out for your first walk, you idiot?!\Shiratorizawa Academy\It's so big!\Their school building looks so cool!\It looks like a hotel!\What's with this super-huge athletic field?!\Management Center Parking Lot response:	Indoor Practice Area Baseball Field Golf Practice Area Tennis Courts
context: Are you out for your first walk, you idiot?!\Shiratorizawa Academy\It's so big!\Their school building looks so cool!\It looks like a hotel!\What's with this super-huge athletic field?!\Management Center Parking Lot\Indoor Practice Area Baseball Field Golf Practice Area Tennis Courts response:	Whoa! This place is so big they need signs!
context: Shiratorizawa Academy\It's so big!\Their school building looks so cool!\It looks like a hotel!\What's with this super-huge athletic field?!\Management Center Parking Lot\Indoor Practice Area Baseball Field Golf Practice Area Tennis Courts\Whoa! This place is so big they need signs! response:	Kageyama! Horses!
context: It's so big!\Their school building looks so cool!\It looks like a hotel!\What's with this super-huge athletic field?!\Management Center Parking Lot\Indoor Practice Area Baseball Field Golf Practice Area Tennis Courts\Whoa! This place is so big they need signs!\Kageyama! Horses! response:	They have horses!
context: Their school building looks so cool!\It looks like a hotel!\What's with this super-huge athletic field?!\Management Center Parking Lot\Indoor Practice Area Baseball Field Golf Practice Area Tennis Courts\Whoa! This place is so big they need signs!\Kageyama! Horses!\They have horses! response:	The volleyball team has its own bus!
context: It looks like a hotel!\What's with this super-huge athletic field?!\Management Center Parking Lot\Indoor Practice Area Baseball Field Golf Practice Area Tennis Courts\Whoa! This place is so big they need signs!\Kageyama! Horses!\They have horses!\The volleyball team has its own bus! response:	Hey. Don't get lost.
context: What's with this super-huge athletic field?!\Management Center Parking Lot\Indoor Practice Area Baseball Field Golf Practice Area Tennis Courts\Whoa! This place is so big they need signs!\Kageyama! Horses!\They have horses!\The volleyball team has its own bus!\Hey. Don't get lost. response:	I won't!
