context: What happened?! response:	How are Bellows and the others?! What about the pirates?!
context: Captain, fleet at 3 o'clock... and there's a ton of ships!\What?!\Those are pirates!\Commander Worm, incoming message from the cargo ship Atuy!\They've spotted a large pirate fleet in neighboring waters!\So they're here?\They wish to interlock with our fleet for emergency shelter.\He said the pirate fleet has at least 30 ships. response:	30 ships? Almost all of the pirates in this area?!
context: What?!\Those are pirates!\Commander Worm, incoming message from the cargo ship Atuy!\They've spotted a large pirate fleet in neighboring waters!\So they're here?\They wish to interlock with our fleet for emergency shelter.\He said the pirate fleet has at least 30 ships.\30 ships? Almost all of the pirates in this area?! response:	Moreover, he said they saw a lobster insignia among them.
context: Those are pirates!\Commander Worm, incoming message from the cargo ship Atuy!\They've spotted a large pirate fleet in neighboring waters!\So they're here?\They wish to interlock with our fleet for emergency shelter.\He said the pirate fleet has at least 30 ships.\30 ships? Almost all of the pirates in this area?!\Moreover, he said they saw a lobster insignia among them. response:	The Great Pirate, Lukkage!
context: Commander Worm, incoming message from the cargo ship Atuy!\They've spotted a large pirate fleet in neighboring waters!\So they're here?\They wish to interlock with our fleet for emergency shelter.\He said the pirate fleet has at least 30 ships.\30 ships? Almost all of the pirates in this area?!\Moreover, he said they saw a lobster insignia among them.\The Great Pirate, Lukkage! response:	What's their course?
context: They've spotted a large pirate fleet in neighboring waters!\So they're here?\They wish to interlock with our fleet for emergency shelter.\He said the pirate fleet has at least 30 ships.\30 ships? Almost all of the pirates in this area?!\Moreover, he said they saw a lobster insignia among them.\The Great Pirate, Lukkage!\What's their course? response:	They were spotted here.
context: So they're here?\They wish to interlock with our fleet for emergency shelter.\He said the pirate fleet has at least 30 ships.\30 ships? Almost all of the pirates in this area?!\Moreover, he said they saw a lobster insignia among them.\The Great Pirate, Lukkage!\What's their course?\They were spotted here. response:	At that point, it seems they were heading east by southeast.
context: They wish to interlock with our fleet for emergency shelter.\He said the pirate fleet has at least 30 ships.\30 ships? Almost all of the pirates in this area?!\Moreover, he said they saw a lobster insignia among them.\The Great Pirate, Lukkage!\What's their course?\They were spotted here.\At that point, it seems they were heading east by southeast. response:	It's safe to say their objective is our fleet.
context: He said the pirate fleet has at least 30 ships.\30 ships? Almost all of the pirates in this area?!\Moreover, he said they saw a lobster insignia among them.\The Great Pirate, Lukkage!\What's their course?\They were spotted here.\At that point, it seems they were heading east by southeast.\It's safe to say their objective is our fleet. response:	We'll encounter them by nightfall. Let's change course!
context: 30 ships? Almost all of the pirates in this area?!\Moreover, he said they saw a lobster insignia among them.\The Great Pirate, Lukkage!\What's their course?\They were spotted here.\At that point, it seems they were heading east by southeast.\It's safe to say their objective is our fleet.\We'll encounter them by nightfall. Let's change course! response:	There's no point. We don't have the speed to get away.
context: Moreover, he said they saw a lobster insignia among them.\The Great Pirate, Lukkage!\What's their course?\They were spotted here.\At that point, it seems they were heading east by southeast.\It's safe to say their objective is our fleet.\We'll encounter them by nightfall. Let's change course!\There's no point. We don't have the speed to get away. response:	But they've got 30 pirate ships, all loaded to the gills with firepower.
context: The Great Pirate, Lukkage!\What's their course?\They were spotted here.\At that point, it seems they were heading east by southeast.\It's safe to say their objective is our fleet.\We'll encounter them by nightfall. Let's change course!\There's no point. We don't have the speed to get away.\But they've got 30 pirate ships, all loaded to the gills with firepower. response:	Even including the small patrol boats, our escort fleet has just 15 ships...
context: What's their course?\They were spotted here.\At that point, it seems they were heading east by southeast.\It's safe to say their objective is our fleet.\We'll encounter them by nightfall. Let's change course!\There's no point. We don't have the speed to get away.\But they've got 30 pirate ships, all loaded to the gills with firepower.\Even including the small patrol boats, our escort fleet has just 15 ships... response:	There's no way they can protect us.
context: They were spotted here.\At that point, it seems they were heading east by southeast.\It's safe to say their objective is our fleet.\We'll encounter them by nightfall. Let's change course!\There's no point. We don't have the speed to get away.\But they've got 30 pirate ships, all loaded to the gills with firepower.\Even including the small patrol boats, our escort fleet has just 15 ships...\There's no way they can protect us. response:	And trying to negotiate with them...?
context: At that point, it seems they were heading east by southeast.\It's safe to say their objective is our fleet.\We'll encounter them by nightfall. Let's change course!\There's no point. We don't have the speed to get away.\But they've got 30 pirate ships, all loaded to the gills with firepower.\Even including the small patrol boats, our escort fleet has just 15 ships...\There's no way they can protect us.\And trying to negotiate with them...? response:	They're coming for revenge.
context: It's safe to say their objective is our fleet.\We'll encounter them by nightfall. Let's change course!\There's no point. We don't have the speed to get away.\But they've got 30 pirate ships, all loaded to the gills with firepower.\Even including the small patrol boats, our escort fleet has just 15 ships...\There's no way they can protect us.\And trying to negotiate with them...?\They're coming for revenge. response:	Only spilled blood will satisfy them.
context: We'll encounter them by nightfall. Let's change course!\There's no point. We don't have the speed to get away.\But they've got 30 pirate ships, all loaded to the gills with firepower.\Even including the small patrol boats, our escort fleet has just 15 ships...\There's no way they can protect us.\And trying to negotiate with them...?\They're coming for revenge.\Only spilled blood will satisfy them. response:	Fleet Commander...
context: There's no point. We don't have the speed to get away.\But they've got 30 pirate ships, all loaded to the gills with firepower.\Even including the small patrol boats, our escort fleet has just 15 ships...\There's no way they can protect us.\And trying to negotiate with them...?\They're coming for revenge.\Only spilled blood will satisfy them.\Fleet Commander... response:	Let's ask that kid to help us.
context: But they've got 30 pirate ships, all loaded to the gills with firepower.\Even including the small patrol boats, our escort fleet has just 15 ships...\There's no way they can protect us.\And trying to negotiate with them...?\They're coming for revenge.\Only spilled blood will satisfy them.\Fleet Commander...\Let's ask that kid to help us. response:	W-What are you saying?!
context: Even including the small patrol boats, our escort fleet has just 15 ships...\There's no way they can protect us.\And trying to negotiate with them...?\They're coming for revenge.\Only spilled blood will satisfy them.\Fleet Commander...\Let's ask that kid to help us.\W-What are you saying?! response:	Can you hear me, Ledo?
context: There's no way they can protect us.\And trying to negotiate with them...?\They're coming for revenge.\Only spilled blood will satisfy them.\Fleet Commander...\Let's ask that kid to help us.\W-What are you saying?!\Can you hear me, Ledo? response:	Do you want something?
context: And trying to negotiate with them...?\They're coming for revenge.\Only spilled blood will satisfy them.\Fleet Commander...\Let's ask that kid to help us.\W-What are you saying?!\Can you hear me, Ledo?\Do you want something? response:	The pirates are heading this way. We'll have to tangle with them by this evening.
context: They're coming for revenge.\Only spilled blood will satisfy them.\Fleet Commander...\Let's ask that kid to help us.\W-What are you saying?!\Can you hear me, Ledo?\Do you want something?\The pirates are heading this way. We'll have to tangle with them by this evening. response:	I have already acquired the approaching fleet target.
context: Only spilled blood will satisfy them.\Fleet Commander...\Let's ask that kid to help us.\W-What are you saying?!\Can you hear me, Ledo?\Do you want something?\The pirates are heading this way. We'll have to tangle with them by this evening.\I have already acquired the approaching fleet target. response:	I am prepared to assist you.
context: Fleet Commander...\Let's ask that kid to help us.\W-What are you saying?!\Can you hear me, Ledo?\Do you want something?\The pirates are heading this way. We'll have to tangle with them by this evening.\I have already acquired the approaching fleet target.\I am prepared to assist you. response:	Is that what you wish?
context: Let's ask that kid to help us.\W-What are you saying?!\Can you hear me, Ledo?\Do you want something?\The pirates are heading this way. We'll have to tangle with them by this evening.\I have already acquired the approaching fleet target.\I am prepared to assist you.\Is that what you wish? response:	Fleet Commander, would you talk to him?
context: W-What are you saying?!\Can you hear me, Ledo?\Do you want something?\The pirates are heading this way. We'll have to tangle with them by this evening.\I have already acquired the approaching fleet target.\I am prepared to assist you.\Is that what you wish?\Fleet Commander, would you talk to him? response:	Ridiculous! We're in this situation because of that brat's-
context: Can you hear me, Ledo?\Do you want something?\The pirates are heading this way. We'll have to tangle with them by this evening.\I have already acquired the approaching fleet target.\I am prepared to assist you.\Is that what you wish?\Fleet Commander, would you talk to him?\Ridiculous! We're in this situation because of that brat's- response:	Regardless, if we can use that Yunboro, it should make for a considerable advantage.
context: Do you want something?\The pirates are heading this way. We'll have to tangle with them by this evening.\I have already acquired the approaching fleet target.\I am prepared to assist you.\Is that what you wish?\Fleet Commander, would you talk to him?\Ridiculous! We're in this situation because of that brat's-\Regardless, if we can use that Yunboro, it should make for a considerable advantage. response:	Ridget.
context: The pirates are heading this way. We'll have to tangle with them by this evening.\I have already acquired the approaching fleet target.\I am prepared to assist you.\Is that what you wish?\Fleet Commander, would you talk to him?\Ridiculous! We're in this situation because of that brat's-\Regardless, if we can use that Yunboro, it should make for a considerable advantage.\Ridget. response:	Yes, sir.
context: I have already acquired the approaching fleet target.\I am prepared to assist you.\Is that what you wish?\Fleet Commander, would you talk to him?\Ridiculous! We're in this situation because of that brat's-\Regardless, if we can use that Yunboro, it should make for a considerable advantage.\Ridget.\Yes, sir. response:	This is Ridget.
context: I am prepared to assist you.\Is that what you wish?\Fleet Commander, would you talk to him?\Ridiculous! We're in this situation because of that brat's-\Regardless, if we can use that Yunboro, it should make for a considerable advantage.\Ridget.\Yes, sir.\This is Ridget. response:	I'll speak to you on behalf of the Fleet Commander. All right?
context: Is that what you wish?\Fleet Commander, would you talk to him?\Ridiculous! We're in this situation because of that brat's-\Regardless, if we can use that Yunboro, it should make for a considerable advantage.\Ridget.\Yes, sir.\This is Ridget.\I'll speak to you on behalf of the Fleet Commander. All right? response:	No problem.
context: Fleet Commander, would you talk to him?\Ridiculous! We're in this situation because of that brat's-\Regardless, if we can use that Yunboro, it should make for a considerable advantage.\Ridget.\Yes, sir.\This is Ridget.\I'll speak to you on behalf of the Fleet Commander. All right?\No problem. response:	Let me confirm. You say you'll help us,
context: Ridiculous! We're in this situation because of that brat's-\Regardless, if we can use that Yunboro, it should make for a considerable advantage.\Ridget.\Yes, sir.\This is Ridget.\I'll speak to you on behalf of the Fleet Commander. All right?\No problem.\Let me confirm. You say you'll help us, response:	but do you recognize that it's your fault we're in these circumstances?
context: Regardless, if we can use that Yunboro, it should make for a considerable advantage.\Ridget.\Yes, sir.\This is Ridget.\I'll speak to you on behalf of the Fleet Commander. All right?\No problem.\Let me confirm. You say you'll help us,\but do you recognize that it's your fault we're in these circumstances? response:	I understand. I apologize for killing the pirates.
context: Ridget.\Yes, sir.\This is Ridget.\I'll speak to you on behalf of the Fleet Commander. All right?\No problem.\Let me confirm. You say you'll help us,\but do you recognize that it's your fault we're in these circumstances?\I understand. I apologize for killing the pirates. response:	Then one more thing...
context: Yes, sir.\This is Ridget.\I'll speak to you on behalf of the Fleet Commander. All right?\No problem.\Let me confirm. You say you'll help us,\but do you recognize that it's your fault we're in these circumstances?\I understand. I apologize for killing the pirates.\Then one more thing... response:	With your military force, isn't it possible that you could destroy us, too?
context: This is Ridget.\I'll speak to you on behalf of the Fleet Commander. All right?\No problem.\Let me confirm. You say you'll help us,\but do you recognize that it's your fault we're in these circumstances?\I understand. I apologize for killing the pirates.\Then one more thing...\With your military force, isn't it possible that you could destroy us, too? response:	Affirmative. This machine alone could wipe out this entire fleet.
context: I'll speak to you on behalf of the Fleet Commander. All right?\No problem.\Let me confirm. You say you'll help us,\but do you recognize that it's your fault we're in these circumstances?\I understand. I apologize for killing the pirates.\Then one more thing...\With your military force, isn't it possible that you could destroy us, too?\Affirmative. This machine alone could wipe out this entire fleet. response:	Then why are you offering to help weaklings like us?
context: No problem.\Let me confirm. You say you'll help us,\but do you recognize that it's your fault we're in these circumstances?\I understand. I apologize for killing the pirates.\Then one more thing...\With your military force, isn't it possible that you could destroy us, too?\Affirmative. This machine alone could wipe out this entire fleet.\Then why are you offering to help weaklings like us? response:	I wish to make a deal.
context: Let me confirm. You say you'll help us,\but do you recognize that it's your fault we're in these circumstances?\I understand. I apologize for killing the pirates.\Then one more thing...\With your military force, isn't it possible that you could destroy us, too?\Affirmative. This machine alone could wipe out this entire fleet.\Then why are you offering to help weaklings like us?\I wish to make a deal. response:	A deal?
context: but do you recognize that it's your fault we're in these circumstances?\I understand. I apologize for killing the pirates.\Then one more thing...\With your military force, isn't it possible that you could destroy us, too?\Affirmative. This machine alone could wipe out this entire fleet.\Then why are you offering to help weaklings like us?\I wish to make a deal.\A deal? response:	Bellows told me.
context: I understand. I apologize for killing the pirates.\Then one more thing...\With your military force, isn't it possible that you could destroy us, too?\Affirmative. This machine alone could wipe out this entire fleet.\Then why are you offering to help weaklings like us?\I wish to make a deal.\A deal?\Bellows told me. response:	You people say, Give fresh water to the one who catches the fish.
context: Then one more thing...\With your military force, isn't it possible that you could destroy us, too?\Affirmative. This machine alone could wipe out this entire fleet.\Then why are you offering to help weaklings like us?\I wish to make a deal.\A deal?\Bellows told me.\You people say, Give fresh water to the one who catches the fish. response:	She also told me that the pirates don't follow those words.
context: With your military force, isn't it possible that you could destroy us, too?\Affirmative. This machine alone could wipe out this entire fleet.\Then why are you offering to help weaklings like us?\I wish to make a deal.\A deal?\Bellows told me.\You people say, Give fresh water to the one who catches the fish.\She also told me that the pirates don't follow those words. response:	So I decided it would be more beneficial to make a deal with you than the pirates.
context: Affirmative. This machine alone could wipe out this entire fleet.\Then why are you offering to help weaklings like us?\I wish to make a deal.\A deal?\Bellows told me.\You people say, Give fresh water to the one who catches the fish.\She also told me that the pirates don't follow those words.\So I decided it would be more beneficial to make a deal with you than the pirates. response:	I would like to stay here for the time being.
context: Then why are you offering to help weaklings like us?\I wish to make a deal.\A deal?\Bellows told me.\You people say, Give fresh water to the one who catches the fish.\She also told me that the pirates don't follow those words.\So I decided it would be more beneficial to make a deal with you than the pirates.\I would like to stay here for the time being. response:	Fleet Commander, I think we should accept the boy's deal.
context: I wish to make a deal.\A deal?\Bellows told me.\You people say, Give fresh water to the one who catches the fish.\She also told me that the pirates don't follow those words.\So I decided it would be more beneficial to make a deal with you than the pirates.\I would like to stay here for the time being.\Fleet Commander, I think we should accept the boy's deal. response:	W-What?!
context: A deal?\Bellows told me.\You people say, Give fresh water to the one who catches the fish.\She also told me that the pirates don't follow those words.\So I decided it would be more beneficial to make a deal with you than the pirates.\I would like to stay here for the time being.\Fleet Commander, I think we should accept the boy's deal.\W-What?! response:	We mustn't neglect to give water to the one who catches the fish.
context: Bellows told me.\You people say, Give fresh water to the one who catches the fish.\She also told me that the pirates don't follow those words.\So I decided it would be more beneficial to make a deal with you than the pirates.\I would like to stay here for the time being.\Fleet Commander, I think we should accept the boy's deal.\W-What?!\We mustn't neglect to give water to the one who catches the fish. response:	Confirmation requested.
context: You people say, Give fresh water to the one who catches the fish.\She also told me that the pirates don't follow those words.\So I decided it would be more beneficial to make a deal with you than the pirates.\I would like to stay here for the time being.\Fleet Commander, I think we should accept the boy's deal.\W-What?!\We mustn't neglect to give water to the one who catches the fish.\Confirmation requested. response:	The mission of this machine is only to divert the pirates. Is that correct?
context: She also told me that the pirates don't follow those words.\So I decided it would be more beneficial to make a deal with you than the pirates.\I would like to stay here for the time being.\Fleet Commander, I think we should accept the boy's deal.\W-What?!\We mustn't neglect to give water to the one who catches the fish.\Confirmation requested.\The mission of this machine is only to divert the pirates. Is that correct? response:	Yes. All you have to do is get their attention.
context: So I decided it would be more beneficial to make a deal with you than the pirates.\I would like to stay here for the time being.\Fleet Commander, I think we should accept the boy's deal.\W-What?!\We mustn't neglect to give water to the one who catches the fish.\Confirmation requested.\The mission of this machine is only to divert the pirates. Is that correct?\Yes. All you have to do is get their attention. response:	Be sure to restrain yourself from attacking excessively.
context: I would like to stay here for the time being.\Fleet Commander, I think we should accept the boy's deal.\W-What?!\We mustn't neglect to give water to the one who catches the fish.\Confirmation requested.\The mission of this machine is only to divert the pirates. Is that correct?\Yes. All you have to do is get their attention.\Be sure to restrain yourself from attacking excessively. response:	I understand your demands.
context: Fleet Commander, I think we should accept the boy's deal.\W-What?!\We mustn't neglect to give water to the one who catches the fish.\Confirmation requested.\The mission of this machine is only to divert the pirates. Is that correct?\Yes. All you have to do is get their attention.\Be sure to restrain yourself from attacking excessively.\I understand your demands. response:	If at all possible, I will take care not to cause human casualties.
context: W-What?!\We mustn't neglect to give water to the one who catches the fish.\Confirmation requested.\The mission of this machine is only to divert the pirates. Is that correct?\Yes. All you have to do is get their attention.\Be sure to restrain yourself from attacking excessively.\I understand your demands.\If at all possible, I will take care not to cause human casualties. response:	So this is what it's like inside...
context: We mustn't neglect to give water to the one who catches the fish.\Confirmation requested.\The mission of this machine is only to divert the pirates. Is that correct?\Yes. All you have to do is get their attention.\Be sure to restrain yourself from attacking excessively.\I understand your demands.\If at all possible, I will take care not to cause human casualties.\So this is what it's like inside... response:	Do not enter the cockpit without permission.
context: Confirmation requested.\The mission of this machine is only to divert the pirates. Is that correct?\Yes. All you have to do is get their attention.\Be sure to restrain yourself from attacking excessively.\I understand your demands.\If at all possible, I will take care not to cause human casualties.\So this is what it's like inside...\Do not enter the cockpit without permission. response:	The hell was that for, you overgrown tin can?!
context: The mission of this machine is only to divert the pirates. Is that correct?\Yes. All you have to do is get their attention.\Be sure to restrain yourself from attacking excessively.\I understand your demands.\If at all possible, I will take care not to cause human casualties.\So this is what it's like inside...\Do not enter the cockpit without permission.\The hell was that for, you overgrown tin can?! response:	Unbelievable...
context: Yes. All you have to do is get their attention.\Be sure to restrain yourself from attacking excessively.\I understand your demands.\If at all possible, I will take care not to cause human casualties.\So this is what it's like inside...\Do not enter the cockpit without permission.\The hell was that for, you overgrown tin can?!\Unbelievable... response:	We're entrusting the defense of our fleet to that strange kid?
context: Be sure to restrain yourself from attacking excessively.\I understand your demands.\If at all possible, I will take care not to cause human casualties.\So this is what it's like inside...\Do not enter the cockpit without permission.\The hell was that for, you overgrown tin can?!\Unbelievable...\We're entrusting the defense of our fleet to that strange kid? response:	It's the Fleet Commander's decision.
context: I understand your demands.\If at all possible, I will take care not to cause human casualties.\So this is what it's like inside...\Do not enter the cockpit without permission.\The hell was that for, you overgrown tin can?!\Unbelievable...\We're entrusting the defense of our fleet to that strange kid?\It's the Fleet Commander's decision. response:	I can understand why he made it.
context: If at all possible, I will take care not to cause human casualties.\So this is what it's like inside...\Do not enter the cockpit without permission.\The hell was that for, you overgrown tin can?!\Unbelievable...\We're entrusting the defense of our fleet to that strange kid?\It's the Fleet Commander's decision.\I can understand why he made it. response:	Even so...
context: So this is what it's like inside...\Do not enter the cockpit without permission.\The hell was that for, you overgrown tin can?!\Unbelievable...\We're entrusting the defense of our fleet to that strange kid?\It's the Fleet Commander's decision.\I can understand why he made it.\Even so... response:	Marocchi.
context: Do not enter the cockpit without permission.\The hell was that for, you overgrown tin can?!\Unbelievable...\We're entrusting the defense of our fleet to that strange kid?\It's the Fleet Commander's decision.\I can understand why he made it.\Even so...\Marocchi. response:	Haven't we arrived at the Gargantia yet?
context: The hell was that for, you overgrown tin can?!\Unbelievable...\We're entrusting the defense of our fleet to that strange kid?\It's the Fleet Commander's decision.\I can understand why he made it.\Even so...\Marocchi.\Haven't we arrived at the Gargantia yet? response:	I sure they'll be noticin' us pretty soon...
context: Unbelievable...\We're entrusting the defense of our fleet to that strange kid?\It's the Fleet Commander's decision.\I can understand why he made it.\Even so...\Marocchi.\Haven't we arrived at the Gargantia yet?\I sure they'll be noticin' us pretty soon... response:	On a night as dark as this, maybe even they have a chance of winning.
context: We're entrusting the defense of our fleet to that strange kid?\It's the Fleet Commander's decision.\I can understand why he made it.\Even so...\Marocchi.\Haven't we arrived at the Gargantia yet?\I sure they'll be noticin' us pretty soon...\On a night as dark as this, maybe even they have a chance of winning. response:	You're joking!
context: It's the Fleet Commander's decision.\I can understand why he made it.\Even so...\Marocchi.\Haven't we arrived at the Gargantia yet?\I sure they'll be noticin' us pretty soon...\On a night as dark as this, maybe even they have a chance of winning.\You're joking! response:	In this world, nobody exists who could beat us in a night battle!
context: I can understand why he made it.\Even so...\Marocchi.\Haven't we arrived at the Gargantia yet?\I sure they'll be noticin' us pretty soon...\On a night as dark as this, maybe even they have a chance of winning.\You're joking!\In this world, nobody exists who could beat us in a night battle! response:	Oh, is that right?
context: Even so...\Marocchi.\Haven't we arrived at the Gargantia yet?\I sure they'll be noticin' us pretty soon...\On a night as dark as this, maybe even they have a chance of winning.\You're joking!\In this world, nobody exists who could beat us in a night battle!\Oh, is that right? response:	What's this?!
context: Marocchi.\Haven't we arrived at the Gargantia yet?\I sure they'll be noticin' us pretty soon...\On a night as dark as this, maybe even they have a chance of winning.\You're joking!\In this world, nobody exists who could beat us in a night battle!\Oh, is that right?\What's this?! response:	Pirate fleet confirmed.
context: Haven't we arrived at the Gargantia yet?\I sure they'll be noticin' us pretty soon...\On a night as dark as this, maybe even they have a chance of winning.\You're joking!\In this world, nobody exists who could beat us in a night battle!\Oh, is that right?\What's this?!\Pirate fleet confirmed. response:	We're going to begin the battle.
context: I sure they'll be noticin' us pretty soon...\On a night as dark as this, maybe even they have a chance of winning.\You're joking!\In this world, nobody exists who could beat us in a night battle!\Oh, is that right?\What's this?!\Pirate fleet confirmed.\We're going to begin the battle. response:	Up there! Shoot it down!
context: On a night as dark as this, maybe even they have a chance of winning.\You're joking!\In this world, nobody exists who could beat us in a night battle!\Oh, is that right?\What's this?!\Pirate fleet confirmed.\We're going to begin the battle.\Up there! Shoot it down! response:	All ships, cannons at the ready!
context: You're joking!\In this world, nobody exists who could beat us in a night battle!\Oh, is that right?\What's this?!\Pirate fleet confirmed.\We're going to begin the battle.\Up there! Shoot it down!\All ships, cannons at the ready! response:	Alright! All ships, commence firing!
context: In this world, nobody exists who could beat us in a night battle!\Oh, is that right?\What's this?!\Pirate fleet confirmed.\We're going to begin the battle.\Up there! Shoot it down!\All ships, cannons at the ready!\Alright! All ships, commence firing! response:	Don't tell me they beat us to the punch in a night battle.
context: Oh, is that right?\What's this?!\Pirate fleet confirmed.\We're going to begin the battle.\Up there! Shoot it down!\All ships, cannons at the ready!\Alright! All ships, commence firing!\Don't tell me they beat us to the punch in a night battle. response:	What the hell is that Yunboro?! It's flyin' all over the place!
context: What's this?!\Pirate fleet confirmed.\We're going to begin the battle.\Up there! Shoot it down!\All ships, cannons at the ready!\Alright! All ships, commence firing!\Don't tell me they beat us to the punch in a night battle.\What the hell is that Yunboro?! It's flyin' all over the place! response:	Come on, already! Counterattack!
context: Pirate fleet confirmed.\We're going to begin the battle.\Up there! Shoot it down!\All ships, cannons at the ready!\Alright! All ships, commence firing!\Don't tell me they beat us to the punch in a night battle.\What the hell is that Yunboro?! It's flyin' all over the place!\Come on, already! Counterattack! response:	All ships, aim at the enemy fleet and fire!
context: We're going to begin the battle.\Up there! Shoot it down!\All ships, cannons at the ready!\Alright! All ships, commence firing!\Don't tell me they beat us to the punch in a night battle.\What the hell is that Yunboro?! It's flyin' all over the place!\Come on, already! Counterattack!\All ships, aim at the enemy fleet and fire! response:	The Chezy and Nephilim have been hit!
context: Up there! Shoot it down!\All ships, cannons at the ready!\Alright! All ships, commence firing!\Don't tell me they beat us to the punch in a night battle.\What the hell is that Yunboro?! It's flyin' all over the place!\Come on, already! Counterattack!\All ships, aim at the enemy fleet and fire!\The Chezy and Nephilim have been hit! response:	The Chezy can't continue fighting!
context: All ships, cannons at the ready!\Alright! All ships, commence firing!\Don't tell me they beat us to the punch in a night battle.\What the hell is that Yunboro?! It's flyin' all over the place!\Come on, already! Counterattack!\All ships, aim at the enemy fleet and fire!\The Chezy and Nephilim have been hit!\The Chezy can't continue fighting! response:	Have it retreat. All the other ships, continue...
context: Alright! All ships, commence firing!\Don't tell me they beat us to the punch in a night battle.\What the hell is that Yunboro?! It's flyin' all over the place!\Come on, already! Counterattack!\All ships, aim at the enemy fleet and fire!\The Chezy and Nephilim have been hit!\The Chezy can't continue fighting!\Have it retreat. All the other ships, continue... response:	The Marcus is hit!
context: Don't tell me they beat us to the punch in a night battle.\What the hell is that Yunboro?! It's flyin' all over the place!\Come on, already! Counterattack!\All ships, aim at the enemy fleet and fire!\The Chezy and Nephilim have been hit!\The Chezy can't continue fighting!\Have it retreat. All the other ships, continue...\The Marcus is hit! response:	Keep firing! Don't lose this!
context: What the hell is that Yunboro?! It's flyin' all over the place!\Come on, already! Counterattack!\All ships, aim at the enemy fleet and fire!\The Chezy and Nephilim have been hit!\The Chezy can't continue fighting!\Have it retreat. All the other ships, continue...\The Marcus is hit!\Keep firing! Don't lose this! response:	Even more allied ships have been hit.
context: Come on, already! Counterattack!\All ships, aim at the enemy fleet and fire!\The Chezy and Nephilim have been hit!\The Chezy can't continue fighting!\Have it retreat. All the other ships, continue...\The Marcus is hit!\Keep firing! Don't lose this!\Even more allied ships have been hit. response:	Estimate: In 17 minutes, the allied force will no longer be able to continue fighting.
context: All ships, aim at the enemy fleet and fire!\The Chezy and Nephilim have been hit!\The Chezy can't continue fighting!\Have it retreat. All the other ships, continue...\The Marcus is hit!\Keep firing! Don't lose this!\Even more allied ships have been hit.\Estimate: In 17 minutes, the allied force will no longer be able to continue fighting. response:	Then we've got no choice. We're going to enter the fray.
context: The Chezy and Nephilim have been hit!\The Chezy can't continue fighting!\Have it retreat. All the other ships, continue...\The Marcus is hit!\Keep firing! Don't lose this!\Even more allied ships have been hit.\Estimate: In 17 minutes, the allied force will no longer be able to continue fighting.\Then we've got no choice. We're going to enter the fray. response:	While avoiding human casualties, disable the enemy's firepower and mobility.
context: The Chezy can't continue fighting!\Have it retreat. All the other ships, continue...\The Marcus is hit!\Keep firing! Don't lose this!\Even more allied ships have been hit.\Estimate: In 17 minutes, the allied force will no longer be able to continue fighting.\Then we've got no choice. We're going to enter the fray.\While avoiding human casualties, disable the enemy's firepower and mobility. response:	Roger.
context: Have it retreat. All the other ships, continue...\The Marcus is hit!\Keep firing! Don't lose this!\Even more allied ships have been hit.\Estimate: In 17 minutes, the allied force will no longer be able to continue fighting.\Then we've got no choice. We're going to enter the fray.\While avoiding human casualties, disable the enemy's firepower and mobility.\Roger. response:	No signs of life.
context: The Marcus is hit!\Keep firing! Don't lose this!\Even more allied ships have been hit.\Estimate: In 17 minutes, the allied force will no longer be able to continue fighting.\Then we've got no choice. We're going to enter the fray.\While avoiding human casualties, disable the enemy's firepower and mobility.\Roger.\No signs of life. response:	No human casualties.
context: Keep firing! Don't lose this!\Even more allied ships have been hit.\Estimate: In 17 minutes, the allied force will no longer be able to continue fighting.\Then we've got no choice. We're going to enter the fray.\While avoiding human casualties, disable the enemy's firepower and mobility.\Roger.\No signs of life.\No human casualties. response:	Alright.
context: Even more allied ships have been hit.\Estimate: In 17 minutes, the allied force will no longer be able to continue fighting.\Then we've got no choice. We're going to enter the fray.\While avoiding human casualties, disable the enemy's firepower and mobility.\Roger.\No signs of life.\No human casualties.\Alright. response:	Here it comes!
context: Estimate: In 17 minutes, the allied force will no longer be able to continue fighting.\Then we've got no choice. We're going to enter the fray.\While avoiding human casualties, disable the enemy's firepower and mobility.\Roger.\No signs of life.\No human casualties.\Alright.\Here it comes! response:	The Crocodile's on fire!
context: Then we've got no choice. We're going to enter the fray.\While avoiding human casualties, disable the enemy's firepower and mobility.\Roger.\No signs of life.\No human casualties.\Alright.\Here it comes!\The Crocodile's on fire! response:	The Grach has reversed course! Are they tryin' to get away on their own?!
context: While avoiding human casualties, disable the enemy's firepower and mobility.\Roger.\No signs of life.\No human casualties.\Alright.\Here it comes!\The Crocodile's on fire!\The Grach has reversed course! Are they tryin' to get away on their own?! response:	Everyone should be getting here about now.
context: Roger.\No signs of life.\No human casualties.\Alright.\Here it comes!\The Crocodile's on fire!\The Grach has reversed course! Are they tryin' to get away on their own?!\Everyone should be getting here about now. response:	We'd better get ready as well.
context: No signs of life.\No human casualties.\Alright.\Here it comes!\The Crocodile's on fire!\The Grach has reversed course! Are they tryin' to get away on their own?!\Everyone should be getting here about now.\We'd better get ready as well. response:	Aye, sir!
context: No human casualties.\Alright.\Here it comes!\The Crocodile's on fire!\The Grach has reversed course! Are they tryin' to get away on their own?!\Everyone should be getting here about now.\We'd better get ready as well.\Aye, sir! response:	Something's over there!
context: Alright.\Here it comes!\The Crocodile's on fire!\The Grach has reversed course! Are they tryin' to get away on their own?!\Everyone should be getting here about now.\We'd better get ready as well.\Aye, sir!\Something's over there! response:	Light it up!
