context: Hold it! response:	I didn't know who to expect, but I'm surprised to see Saber's Master.
context: And yet...\What is it?\He was definitely powerful,\but I didn't sense much of a power gap between Blondie and Berserker.\Am I crazy?\No.\On his own, he's on par with Saber or Berserker, or even less powerful.\The difference is his weaponry. response:	Each of the weapons he had was a Noble Phantasm, in itself.
context: What is it?\He was definitely powerful,\but I didn't sense much of a power gap between Blondie and Berserker.\Am I crazy?\No.\On his own, he's on par with Saber or Berserker, or even less powerful.\The difference is his weaponry.\Each of the weapons he had was a Noble Phantasm, in itself. response:	No, I bet they're the weapons that the Noble Phantasms were based on.
context: He was definitely powerful,\but I didn't sense much of a power gap between Blondie and Berserker.\Am I crazy?\No.\On his own, he's on par with Saber or Berserker, or even less powerful.\The difference is his weaponry.\Each of the weapons he had was a Noble Phantasm, in itself.\No, I bet they're the weapons that the Noble Phantasms were based on. response:	Gilgamesh is the hero from the most ancient myth,
context: but I didn't sense much of a power gap between Blondie and Berserker.\Am I crazy?\No.\On his own, he's on par with Saber or Berserker, or even less powerful.\The difference is his weaponry.\Each of the weapons he had was a Noble Phantasm, in itself.\No, I bet they're the weapons that the Noble Phantasms were based on.\Gilgamesh is the hero from the most ancient myth, response:	so he must be a king who indulged in every luxury.
context: Am I crazy?\No.\On his own, he's on par with Saber or Berserker, or even less powerful.\The difference is his weaponry.\Each of the weapons he had was a Noble Phantasm, in itself.\No, I bet they're the weapons that the Noble Phantasms were based on.\Gilgamesh is the hero from the most ancient myth,\so he must be a king who indulged in every luxury. response:	Then it makes sense that he has the origins of the myths,
context: No.\On his own, he's on par with Saber or Berserker, or even less powerful.\The difference is his weaponry.\Each of the weapons he had was a Noble Phantasm, in itself.\No, I bet they're the weapons that the Noble Phantasms were based on.\Gilgamesh is the hero from the most ancient myth,\so he must be a king who indulged in every luxury.\Then it makes sense that he has the origins of the myths, response:	the weapons on which Noble Phantasms were based.
context: On his own, he's on par with Saber or Berserker, or even less powerful.\The difference is his weaponry.\Each of the weapons he had was a Noble Phantasm, in itself.\No, I bet they're the weapons that the Noble Phantasms were based on.\Gilgamesh is the hero from the most ancient myth,\so he must be a king who indulged in every luxury.\Then it makes sense that he has the origins of the myths,\the weapons on which Noble Phantasms were based. response:	Which means his Noble Phantasm isn't the weapon itself.
context: The difference is his weaponry.\Each of the weapons he had was a Noble Phantasm, in itself.\No, I bet they're the weapons that the Noble Phantasms were based on.\Gilgamesh is the hero from the most ancient myth,\so he must be a king who indulged in every luxury.\Then it makes sense that he has the origins of the myths,\the weapons on which Noble Phantasms were based.\Which means his Noble Phantasm isn't the weapon itself. response:	The treasury that housed all the valuables he amassed in life
context: Each of the weapons he had was a Noble Phantasm, in itself.\No, I bet they're the weapons that the Noble Phantasms were based on.\Gilgamesh is the hero from the most ancient myth,\so he must be a king who indulged in every luxury.\Then it makes sense that he has the origins of the myths,\the weapons on which Noble Phantasms were based.\Which means his Noble Phantasm isn't the weapon itself.\The treasury that housed all the valuables he amassed in life response:	is probably his Noble Phantasm.
context: No, I bet they're the weapons that the Noble Phantasms were based on.\Gilgamesh is the hero from the most ancient myth,\so he must be a king who indulged in every luxury.\Then it makes sense that he has the origins of the myths,\the weapons on which Noble Phantasms were based.\Which means his Noble Phantasm isn't the weapon itself.\The treasury that housed all the valuables he amassed in life\is probably his Noble Phantasm. response:	In which case, it's no wonder that Berserker was no match for him.
context: Gilgamesh is the hero from the most ancient myth,\so he must be a king who indulged in every luxury.\Then it makes sense that he has the origins of the myths,\the weapons on which Noble Phantasms were based.\Which means his Noble Phantasm isn't the weapon itself.\The treasury that housed all the valuables he amassed in life\is probably his Noble Phantasm.\In which case, it's no wonder that Berserker was no match for him. response:	If he has the archetypes of all Noble Phantasms,
context: so he must be a king who indulged in every luxury.\Then it makes sense that he has the origins of the myths,\the weapons on which Noble Phantasms were based.\Which means his Noble Phantasm isn't the weapon itself.\The treasury that housed all the valuables he amassed in life\is probably his Noble Phantasm.\In which case, it's no wonder that Berserker was no match for him.\If he has the archetypes of all Noble Phantasms, response:	all he has to do is pull out the thing a given Heroic Spirit is weak against.
context: Then it makes sense that he has the origins of the myths,\the weapons on which Noble Phantasms were based.\Which means his Noble Phantasm isn't the weapon itself.\The treasury that housed all the valuables he amassed in life\is probably his Noble Phantasm.\In which case, it's no wonder that Berserker was no match for him.\If he has the archetypes of all Noble Phantasms,\all he has to do is pull out the thing a given Heroic Spirit is weak against. response:	Seriously, that guy is going to be a problem.
context: the weapons on which Noble Phantasms were based.\Which means his Noble Phantasm isn't the weapon itself.\The treasury that housed all the valuables he amassed in life\is probably his Noble Phantasm.\In which case, it's no wonder that Berserker was no match for him.\If he has the archetypes of all Noble Phantasms,\all he has to do is pull out the thing a given Heroic Spirit is weak against.\Seriously, that guy is going to be a problem. response:	But at the moment, Caster is the more pressing concern,
context: Which means his Noble Phantasm isn't the weapon itself.\The treasury that housed all the valuables he amassed in life\is probably his Noble Phantasm.\In which case, it's no wonder that Berserker was no match for him.\If he has the archetypes of all Noble Phantasms,\all he has to do is pull out the thing a given Heroic Spirit is weak against.\Seriously, that guy is going to be a problem.\But at the moment, Caster is the more pressing concern, response:	so we'll have to put him off for now.
context: The treasury that housed all the valuables he amassed in life\is probably his Noble Phantasm.\In which case, it's no wonder that Berserker was no match for him.\If he has the archetypes of all Noble Phantasms,\all he has to do is pull out the thing a given Heroic Spirit is weak against.\Seriously, that guy is going to be a problem.\But at the moment, Caster is the more pressing concern,\so we'll have to put him off for now. response:	True.
context: is probably his Noble Phantasm.\In which case, it's no wonder that Berserker was no match for him.\If he has the archetypes of all Noble Phantasms,\all he has to do is pull out the thing a given Heroic Spirit is weak against.\Seriously, that guy is going to be a problem.\But at the moment, Caster is the more pressing concern,\so we'll have to put him off for now.\True. response:	You two against her?
context: In which case, it's no wonder that Berserker was no match for him.\If he has the archetypes of all Noble Phantasms,\all he has to do is pull out the thing a given Heroic Spirit is weak against.\Seriously, that guy is going to be a problem.\But at the moment, Caster is the more pressing concern,\so we'll have to put him off for now.\True.\You two against her? response:	Come on, you know that won't work.
context: If he has the archetypes of all Noble Phantasms,\all he has to do is pull out the thing a given Heroic Spirit is weak against.\Seriously, that guy is going to be a problem.\But at the moment, Caster is the more pressing concern,\so we'll have to put him off for now.\True.\You two against her?\Come on, you know that won't work. response:	Idiots.
context: all he has to do is pull out the thing a given Heroic Spirit is weak against.\Seriously, that guy is going to be a problem.\But at the moment, Caster is the more pressing concern,\so we'll have to put him off for now.\True.\You two against her?\Come on, you know that won't work.\Idiots. response:	Lancer!
context: Seriously, that guy is going to be a problem.\But at the moment, Caster is the more pressing concern,\so we'll have to put him off for now.\True.\You two against her?\Come on, you know that won't work.\Idiots.\Lancer! response:	When did I last see you two?
context: But at the moment, Caster is the more pressing concern,\so we'll have to put him off for now.\True.\You two against her?\Come on, you know that won't work.\Idiots.\Lancer!\When did I last see you two? response:	Not since that night?
context: so we'll have to put him off for now.\True.\You two against her?\Come on, you know that won't work.\Idiots.\Lancer!\When did I last see you two?\Not since that night? response:	Shirou, get back!
context: True.\You two against her?\Come on, you know that won't work.\Idiots.\Lancer!\When did I last see you two?\Not since that night?\Shirou, get back! response:	Tohsaka, run!
context: You two against her?\Come on, you know that won't work.\Idiots.\Lancer!\When did I last see you two?\Not since that night?\Shirou, get back!\Tohsaka, run! response:	I'll draw him off, so make a break for the forest!
context: Come on, you know that won't work.\Idiots.\Lancer!\When did I last see you two?\Not since that night?\Shirou, get back!\Tohsaka, run!\I'll draw him off, so make a break for the forest! response:	I'll hold him off!
context: Idiots.\Lancer!\When did I last see you two?\Not since that night?\Shirou, get back!\Tohsaka, run!\I'll draw him off, so make a break for the forest!\I'll hold him off! response:	Keep your distance from him!
context: Lancer!\When did I last see you two?\Not since that night?\Shirou, get back!\Tohsaka, run!\I'll draw him off, so make a break for the forest!\I'll hold him off!\Keep your distance from him! response:	Wait a second...
context: When did I last see you two?\Not since that night?\Shirou, get back!\Tohsaka, run!\I'll draw him off, so make a break for the forest!\I'll hold him off!\Keep your distance from him!\Wait a second... response:	It sounds like you didn't hear a word I said when I told you to put yourself first!
context: Not since that night?\Shirou, get back!\Tohsaka, run!\I'll draw him off, so make a break for the forest!\I'll hold him off!\Keep your distance from him!\Wait a second...\It sounds like you didn't hear a word I said when I told you to put yourself first! response:	And I said that it's okay.
context: Shirou, get back!\Tohsaka, run!\I'll draw him off, so make a break for the forest!\I'll hold him off!\Keep your distance from him!\Wait a second...\It sounds like you didn't hear a word I said when I told you to put yourself first!\And I said that it's okay. response:	I've fought him before, so I'm better for the job.
context: Tohsaka, run!\I'll draw him off, so make a break for the forest!\I'll hold him off!\Keep your distance from him!\Wait a second...\It sounds like you didn't hear a word I said when I told you to put yourself first!\And I said that it's okay.\I've fought him before, so I'm better for the job. response:	He's infantry! My ranged attacks are better against him!
context: I'll draw him off, so make a break for the forest!\I'll hold him off!\Keep your distance from him!\Wait a second...\It sounds like you didn't hear a word I said when I told you to put yourself first!\And I said that it's okay.\I've fought him before, so I'm better for the job.\He's infantry! My ranged attacks are better against him! response:	That's my point!
context: I'll hold him off!\Keep your distance from him!\Wait a second...\It sounds like you didn't hear a word I said when I told you to put yourself first!\And I said that it's okay.\I've fought him before, so I'm better for the job.\He's infantry! My ranged attacks are better against him!\That's my point! response:	You stay clear and cover me!
context: Keep your distance from him!\Wait a second...\It sounds like you didn't hear a word I said when I told you to put yourself first!\And I said that it's okay.\I've fought him before, so I'm better for the job.\He's infantry! My ranged attacks are better against him!\That's my point!\You stay clear and cover me! response:	I don't know any pinpoint spells like that!
context: Wait a second...\It sounds like you didn't hear a word I said when I told you to put yourself first!\And I said that it's okay.\I've fought him before, so I'm better for the job.\He's infantry! My ranged attacks are better against him!\That's my point!\You stay clear and cover me!\I don't know any pinpoint spells like that! response:	If I did that, I'd blow you away along with him!
context: It sounds like you didn't hear a word I said when I told you to put yourself first!\And I said that it's okay.\I've fought him before, so I'm better for the job.\He's infantry! My ranged attacks are better against him!\That's my point!\You stay clear and cover me!\I don't know any pinpoint spells like that!\If I did that, I'd blow you away along with him! response:	Don't bite my head off!
context: And I said that it's okay.\I've fought him before, so I'm better for the job.\He's infantry! My ranged attacks are better against him!\That's my point!\You stay clear and cover me!\I don't know any pinpoint spells like that!\If I did that, I'd blow you away along with him!\Don't bite my head off! response:	Why is it always overkill with you?
context: I've fought him before, so I'm better for the job.\He's infantry! My ranged attacks are better against him!\That's my point!\You stay clear and cover me!\I don't know any pinpoint spells like that!\If I did that, I'd blow you away along with him!\Don't bite my head off!\Why is it always overkill with you? response:	Wh-What did you say, you jerk?
context: He's infantry! My ranged attacks are better against him!\That's my point!\You stay clear and cover me!\I don't know any pinpoint spells like that!\If I did that, I'd blow you away along with him!\Don't bite my head off!\Why is it always overkill with you?\Wh-What did you say, you jerk? response:	He's dangerous, so I want you to stay clear!
context: That's my point!\You stay clear and cover me!\I don't know any pinpoint spells like that!\If I did that, I'd blow you away along with him!\Don't bite my head off!\Why is it always overkill with you?\Wh-What did you say, you jerk?\He's dangerous, so I want you to stay clear! response:	Finished already?
context: You stay clear and cover me!\I don't know any pinpoint spells like that!\If I did that, I'd blow you away along with him!\Don't bite my head off!\Why is it always overkill with you?\Wh-What did you say, you jerk?\He's dangerous, so I want you to stay clear!\Finished already? response:	I'm in no rush, so feel free to get it out of your systems.
context: I don't know any pinpoint spells like that!\If I did that, I'd blow you away along with him!\Don't bite my head off!\Why is it always overkill with you?\Wh-What did you say, you jerk?\He's dangerous, so I want you to stay clear!\Finished already?\I'm in no rush, so feel free to get it out of your systems. response:	Hold on now...
context: If I did that, I'd blow you away along with him!\Don't bite my head off!\Why is it always overkill with you?\Wh-What did you say, you jerk?\He's dangerous, so I want you to stay clear!\Finished already?\I'm in no rush, so feel free to get it out of your systems.\Hold on now... response:	I have no intention of fighting you.
context: Don't bite my head off!\Why is it always overkill with you?\Wh-What did you say, you jerk?\He's dangerous, so I want you to stay clear!\Finished already?\I'm in no rush, so feel free to get it out of your systems.\Hold on now...\I have no intention of fighting you. response:	I couldn't bear to stand by and watch, so I thought I'd presume to offer my aid.
context: Why is it always overkill with you?\Wh-What did you say, you jerk?\He's dangerous, so I want you to stay clear!\Finished already?\I'm in no rush, so feel free to get it out of your systems.\Hold on now...\I have no intention of fighting you.\I couldn't bear to stand by and watch, so I thought I'd presume to offer my aid. response:	What?
context: Wh-What did you say, you jerk?\He's dangerous, so I want you to stay clear!\Finished already?\I'm in no rush, so feel free to get it out of your systems.\Hold on now...\I have no intention of fighting you.\I couldn't bear to stand by and watch, so I thought I'd presume to offer my aid.\What? response:	Did I mishear that?
context: He's dangerous, so I want you to stay clear!\Finished already?\I'm in no rush, so feel free to get it out of your systems.\Hold on now...\I have no intention of fighting you.\I couldn't bear to stand by and watch, so I thought I'd presume to offer my aid.\What?\Did I mishear that? response:	That sounded a lot like you were offering to help us.
context: Finished already?\I'm in no rush, so feel free to get it out of your systems.\Hold on now...\I have no intention of fighting you.\I couldn't bear to stand by and watch, so I thought I'd presume to offer my aid.\What?\Did I mishear that?\That sounded a lot like you were offering to help us. response:	What? Is that so hard to understand?
context: I'm in no rush, so feel free to get it out of your systems.\Hold on now...\I have no intention of fighting you.\I couldn't bear to stand by and watch, so I thought I'd presume to offer my aid.\What?\Did I mishear that?\That sounded a lot like you were offering to help us.\What? Is that so hard to understand? response:	You two alone are no match for Caster.
context: Hold on now...\I have no intention of fighting you.\I couldn't bear to stand by and watch, so I thought I'd presume to offer my aid.\What?\Did I mishear that?\That sounded a lot like you were offering to help us.\What? Is that so hard to understand?\You two alone are no match for Caster. response:	And since you aren't,
context: I have no intention of fighting you.\I couldn't bear to stand by and watch, so I thought I'd presume to offer my aid.\What?\Did I mishear that?\That sounded a lot like you were offering to help us.\What? Is that so hard to understand?\You two alone are no match for Caster.\And since you aren't, response:	I'm saying that I'm willing to lend a hand.
context: I couldn't bear to stand by and watch, so I thought I'd presume to offer my aid.\What?\Did I mishear that?\That sounded a lot like you were offering to help us.\What? Is that so hard to understand?\You two alone are no match for Caster.\And since you aren't,\I'm saying that I'm willing to lend a hand. response:	Yes, that certainly is presumptuous, Lancer.
context: What?\Did I mishear that?\That sounded a lot like you were offering to help us.\What? Is that so hard to understand?\You two alone are no match for Caster.\And since you aren't,\I'm saying that I'm willing to lend a hand.\Yes, that certainly is presumptuous, Lancer. response:	Is this your idea?
context: Did I mishear that?\That sounded a lot like you were offering to help us.\What? Is that so hard to understand?\You two alone are no match for Caster.\And since you aren't,\I'm saying that I'm willing to lend a hand.\Yes, that certainly is presumptuous, Lancer.\Is this your idea? response:	An order from my Master.
context: That sounded a lot like you were offering to help us.\What? Is that so hard to understand?\You two alone are no match for Caster.\And since you aren't,\I'm saying that I'm willing to lend a hand.\Yes, that certainly is presumptuous, Lancer.\Is this your idea?\An order from my Master. response:	To form a united front until Caster's little army is beaten.
context: What? Is that so hard to understand?\You two alone are no match for Caster.\And since you aren't,\I'm saying that I'm willing to lend a hand.\Yes, that certainly is presumptuous, Lancer.\Is this your idea?\An order from my Master.\To form a united front until Caster's little army is beaten. response:	A valid reason.
context: You two alone are no match for Caster.\And since you aren't,\I'm saying that I'm willing to lend a hand.\Yes, that certainly is presumptuous, Lancer.\Is this your idea?\An order from my Master.\To form a united front until Caster's little army is beaten.\A valid reason. response:	But surely, there must be better candidates than us.
context: And since you aren't,\I'm saying that I'm willing to lend a hand.\Yes, that certainly is presumptuous, Lancer.\Is this your idea?\An order from my Master.\To form a united front until Caster's little army is beaten.\A valid reason.\But surely, there must be better candidates than us. response:	The guy who beat Berserker?
context: I'm saying that I'm willing to lend a hand.\Yes, that certainly is presumptuous, Lancer.\Is this your idea?\An order from my Master.\To form a united front until Caster's little army is beaten.\A valid reason.\But surely, there must be better candidates than us.\The guy who beat Berserker? response:	He's no good.
context: Yes, that certainly is presumptuous, Lancer.\Is this your idea?\An order from my Master.\To form a united front until Caster's little army is beaten.\A valid reason.\But surely, there must be better candidates than us.\The guy who beat Berserker?\He's no good. response:	We wouldn't get along.
context: Is this your idea?\An order from my Master.\To form a united front until Caster's little army is beaten.\A valid reason.\But surely, there must be better candidates than us.\The guy who beat Berserker?\He's no good.\We wouldn't get along. response:	But I'd have no complaints about his strength.
context: An order from my Master.\To form a united front until Caster's little army is beaten.\A valid reason.\But surely, there must be better candidates than us.\The guy who beat Berserker?\He's no good.\We wouldn't get along.\But I'd have no complaints about his strength. response:	That's a smart decision.
context: To form a united front until Caster's little army is beaten.\A valid reason.\But surely, there must be better candidates than us.\The guy who beat Berserker?\He's no good.\We wouldn't get along.\But I'd have no complaints about his strength.\That's a smart decision. response:	Is that also your Master's order?
context: A valid reason.\But surely, there must be better candidates than us.\The guy who beat Berserker?\He's no good.\We wouldn't get along.\But I'd have no complaints about his strength.\That's a smart decision.\Is that also your Master's order? response:	No...
context: But surely, there must be better candidates than us.\The guy who beat Berserker?\He's no good.\We wouldn't get along.\But I'd have no complaints about his strength.\That's a smart decision.\Is that also your Master's order?\No... response:	It was personal preference that led me to pick you.
context: The guy who beat Berserker?\He's no good.\We wouldn't get along.\But I'd have no complaints about his strength.\That's a smart decision.\Is that also your Master's order?\No...\It was personal preference that led me to pick you. response:	You nearly killed me twice.
context: He's no good.\We wouldn't get along.\But I'd have no complaints about his strength.\That's a smart decision.\Is that also your Master's order?\No...\It was personal preference that led me to pick you.\You nearly killed me twice. response:	Do you think I'll believe a word you say?
context: We wouldn't get along.\But I'd have no complaints about his strength.\That's a smart decision.\Is that also your Master's order?\No...\It was personal preference that led me to pick you.\You nearly killed me twice.\Do you think I'll believe a word you say? response:	Of course.
context: But I'd have no complaints about his strength.\That's a smart decision.\Is that also your Master's order?\No...\It was personal preference that led me to pick you.\You nearly killed me twice.\Do you think I'll believe a word you say?\Of course. response:	The brains of this outfit is a fine, frank woman.
context: That's a smart decision.\Is that also your Master's order?\No...\It was personal preference that led me to pick you.\You nearly killed me twice.\Do you think I'll believe a word you say?\Of course.\The brains of this outfit is a fine, frank woman. response:	Such a woman is helping you,
context: Is that also your Master's order?\No...\It was personal preference that led me to pick you.\You nearly killed me twice.\Do you think I'll believe a word you say?\Of course.\The brains of this outfit is a fine, frank woman.\Such a woman is helping you, response:	so you must be an eccentric softy yourself.
context: No...\It was personal preference that led me to pick you.\You nearly killed me twice.\Do you think I'll believe a word you say?\Of course.\The brains of this outfit is a fine, frank woman.\Such a woman is helping you,\so you must be an eccentric softy yourself. response:	Meaning that you two are the best people to work with.
context: It was personal preference that led me to pick you.\You nearly killed me twice.\Do you think I'll believe a word you say?\Of course.\The brains of this outfit is a fine, frank woman.\Such a woman is helping you,\so you must be an eccentric softy yourself.\Meaning that you two are the best people to work with. response:	If you can't pick your job, you should at least pick your partner, right?
context: You nearly killed me twice.\Do you think I'll believe a word you say?\Of course.\The brains of this outfit is a fine, frank woman.\Such a woman is helping you,\so you must be an eccentric softy yourself.\Meaning that you two are the best people to work with.\If you can't pick your job, you should at least pick your partner, right? response:	I've liked you since I first laid eyes on you.
context: Do you think I'll believe a word you say?\Of course.\The brains of this outfit is a fine, frank woman.\Such a woman is helping you,\so you must be an eccentric softy yourself.\Meaning that you two are the best people to work with.\If you can't pick your job, you should at least pick your partner, right?\I've liked you since I first laid eyes on you. response:	You're beautiful, stubborn, and gutsy.
context: Of course.\The brains of this outfit is a fine, frank woman.\Such a woman is helping you,\so you must be an eccentric softy yourself.\Meaning that you two are the best people to work with.\If you can't pick your job, you should at least pick your partner, right?\I've liked you since I first laid eyes on you.\You're beautiful, stubborn, and gutsy. response:	If I were to have a female Master, I'd want her to be someone like you.
context: The brains of this outfit is a fine, frank woman.\Such a woman is helping you,\so you must be an eccentric softy yourself.\Meaning that you two are the best people to work with.\If you can't pick your job, you should at least pick your partner, right?\I've liked you since I first laid eyes on you.\You're beautiful, stubborn, and gutsy.\If I were to have a female Master, I'd want her to be someone like you. response:	All right. I'm on board.
context: Such a woman is helping you,\so you must be an eccentric softy yourself.\Meaning that you two are the best people to work with.\If you can't pick your job, you should at least pick your partner, right?\I've liked you since I first laid eyes on you.\You're beautiful, stubborn, and gutsy.\If I were to have a female Master, I'd want her to be someone like you.\All right. I'm on board. response:	But if Emiya-kun says he can't trust you, I'll pretend I didn't hear any of that.
context: so you must be an eccentric softy yourself.\Meaning that you two are the best people to work with.\If you can't pick your job, you should at least pick your partner, right?\I've liked you since I first laid eyes on you.\You're beautiful, stubborn, and gutsy.\If I were to have a female Master, I'd want her to be someone like you.\All right. I'm on board.\But if Emiya-kun says he can't trust you, I'll pretend I didn't hear any of that. response:	You heard her.
context: Meaning that you two are the best people to work with.\If you can't pick your job, you should at least pick your partner, right?\I've liked you since I first laid eyes on you.\You're beautiful, stubborn, and gutsy.\If I were to have a female Master, I'd want her to be someone like you.\All right. I'm on board.\But if Emiya-kun says he can't trust you, I'll pretend I didn't hear any of that.\You heard her. response:	What will it be, kid? Your character is being put to the test.
context: If you can't pick your job, you should at least pick your partner, right?\I've liked you since I first laid eyes on you.\You're beautiful, stubborn, and gutsy.\If I were to have a female Master, I'd want her to be someone like you.\All right. I'm on board.\But if Emiya-kun says he can't trust you, I'll pretend I didn't hear any of that.\You heard her.\What will it be, kid? Your character is being put to the test. response:	Fine.
context: I've liked you since I first laid eyes on you.\You're beautiful, stubborn, and gutsy.\If I were to have a female Master, I'd want her to be someone like you.\All right. I'm on board.\But if Emiya-kun says he can't trust you, I'll pretend I didn't hear any of that.\You heard her.\What will it be, kid? Your character is being put to the test.\Fine. response:	But on one condition.
context: You're beautiful, stubborn, and gutsy.\If I were to have a female Master, I'd want her to be someone like you.\All right. I'm on board.\But if Emiya-kun says he can't trust you, I'll pretend I didn't hear any of that.\You heard her.\What will it be, kid? Your character is being put to the test.\Fine.\But on one condition. response:	If it means getting your help, we'll trust you.
context: If I were to have a female Master, I'd want her to be someone like you.\All right. I'm on board.\But if Emiya-kun says he can't trust you, I'll pretend I didn't hear any of that.\You heard her.\What will it be, kid? Your character is being put to the test.\Fine.\But on one condition.\If it means getting your help, we'll trust you. response:	But in return...
context: All right. I'm on board.\But if Emiya-kun says he can't trust you, I'll pretend I didn't hear any of that.\You heard her.\What will it be, kid? Your character is being put to the test.\Fine.\But on one condition.\If it means getting your help, we'll trust you.\But in return... response:	In return what?
context: But if Emiya-kun says he can't trust you, I'll pretend I didn't hear any of that.\You heard her.\What will it be, kid? Your character is being put to the test.\Fine.\But on one condition.\If it means getting your help, we'll trust you.\But in return...\In return what? response:	You want me to tell you who my Master is?
context: You heard her.\What will it be, kid? Your character is being put to the test.\Fine.\But on one condition.\If it means getting your help, we'll trust you.\But in return...\In return what?\You want me to tell you who my Master is? response:	No.
context: What will it be, kid? Your character is being put to the test.\Fine.\But on one condition.\If it means getting your help, we'll trust you.\But in return...\In return what?\You want me to tell you who my Master is?\No. response:	Just because we're on the same side, don't try to get chummy with Tohsaka.
context: Fine.\But on one condition.\If it means getting your help, we'll trust you.\But in return...\In return what?\You want me to tell you who my Master is?\No.\Just because we're on the same side, don't try to get chummy with Tohsaka. response:	Wha
context: But on one condition.\If it means getting your help, we'll trust you.\But in return...\In return what?\You want me to tell you who my Master is?\No.\Just because we're on the same side, don't try to get chummy with Tohsaka.\Wha response:	Oh, I see!
context: If it means getting your help, we'll trust you.\But in return...\In return what?\You want me to tell you who my Master is?\No.\Just because we're on the same side, don't try to get chummy with Tohsaka.\Wha\Oh, I see! response:	Right you are!
context: But in return...\In return what?\You want me to tell you who my Master is?\No.\Just because we're on the same side, don't try to get chummy with Tohsaka.\Wha\Oh, I see!\Right you are! response:	That's way more important than a little thing like who my Master is, kid!
context: In return what?\You want me to tell you who my Master is?\No.\Just because we're on the same side, don't try to get chummy with Tohsaka.\Wha\Oh, I see!\Right you are!\That's way more important than a little thing like who my Master is, kid! response:	Is there something wrong with that?
context: You want me to tell you who my Master is?\No.\Just because we're on the same side, don't try to get chummy with Tohsaka.\Wha\Oh, I see!\Right you are!\That's way more important than a little thing like who my Master is, kid!\Is there something wrong with that? response:	Get this straight, I'm not giving you Tohsaka.
context: No.\Just because we're on the same side, don't try to get chummy with Tohsaka.\Wha\Oh, I see!\Right you are!\That's way more important than a little thing like who my Master is, kid!\Is there something wrong with that?\Get this straight, I'm not giving you Tohsaka. response:	Of course not.
context: Just because we're on the same side, don't try to get chummy with Tohsaka.\Wha\Oh, I see!\Right you are!\That's way more important than a little thing like who my Master is, kid!\Is there something wrong with that?\Get this straight, I'm not giving you Tohsaka.\Of course not. response:	In fact, I respect you now.
context: Wha\Oh, I see!\Right you are!\That's way more important than a little thing like who my Master is, kid!\Is there something wrong with that?\Get this straight, I'm not giving you Tohsaka.\Of course not.\In fact, I respect you now. response:	Good for you, missy.
context: Oh, I see!\Right you are!\That's way more important than a little thing like who my Master is, kid!\Is there something wrong with that?\Get this straight, I'm not giving you Tohsaka.\Of course not.\In fact, I respect you now.\Good for you, missy. response:	The kid is smitten with you.
context: Right you are!\That's way more important than a little thing like who my Master is, kid!\Is there something wrong with that?\Get this straight, I'm not giving you Tohsaka.\Of course not.\In fact, I respect you now.\Good for you, missy.\The kid is smitten with you. response:	Wh-What are you babbling about?
context: That's way more important than a little thing like who my Master is, kid!\Is there something wrong with that?\Get this straight, I'm not giving you Tohsaka.\Of course not.\In fact, I respect you now.\Good for you, missy.\The kid is smitten with you.\Wh-What are you babbling about? response:	Shirou and I are just, uh...
context: Is there something wrong with that?\Get this straight, I'm not giving you Tohsaka.\Of course not.\In fact, I respect you now.\Good for you, missy.\The kid is smitten with you.\Wh-What are you babbling about?\Shirou and I are just, uh... response:	We're just allies, nothing more!
context: Get this straight, I'm not giving you Tohsaka.\Of course not.\In fact, I respect you now.\Good for you, missy.\The kid is smitten with you.\Wh-What are you babbling about?\Shirou and I are just, uh...\We're just allies, nothing more! response:	Are you now?
context: Of course not.\In fact, I respect you now.\Good for you, missy.\The kid is smitten with you.\Wh-What are you babbling about?\Shirou and I are just, uh...\We're just allies, nothing more!\Are you now? response:	What's with that look, like you think you know all about us?
context: In fact, I respect you now.\Good for you, missy.\The kid is smitten with you.\Wh-What are you babbling about?\Shirou and I are just, uh...\We're just allies, nothing more!\Are you now?\What's with that look, like you think you know all about us? response:	Go on, tell him, Shirou!
context: Good for you, missy.\The kid is smitten with you.\Wh-What are you babbling about?\Shirou and I are just, uh...\We're just allies, nothing more!\Are you now?\What's with that look, like you think you know all about us?\Go on, tell him, Shirou! response:	S-Say something, you jerk!
context: The kid is smitten with you.\Wh-What are you babbling about?\Shirou and I are just, uh...\We're just allies, nothing more!\Are you now?\What's with that look, like you think you know all about us?\Go on, tell him, Shirou!\S-Say something, you jerk! response:	I-It's as good as saying that we really are a couple...
context: Wh-What are you babbling about?\Shirou and I are just, uh...\We're just allies, nothing more!\Are you now?\What's with that look, like you think you know all about us?\Go on, tell him, Shirou!\S-Say something, you jerk!\I-It's as good as saying that we really are a couple... response:	Really are, nothing. You two have been an item for ages.
context: Shirou and I are just, uh...\We're just allies, nothing more!\Are you now?\What's with that look, like you think you know all about us?\Go on, tell him, Shirou!\S-Say something, you jerk!\I-It's as good as saying that we really are a couple...\Really are, nothing. You two have been an item for ages. response:	Jeez.
context: We're just allies, nothing more!\Are you now?\What's with that look, like you think you know all about us?\Go on, tell him, Shirou!\S-Say something, you jerk!\I-It's as good as saying that we really are a couple...\Really are, nothing. You two have been an item for ages.\Jeez. response:	You're in for a bumpy ride, kid.
context: Are you now?\What's with that look, like you think you know all about us?\Go on, tell him, Shirou!\S-Say something, you jerk!\I-It's as good as saying that we really are a couple...\Really are, nothing. You two have been an item for ages.\Jeez.\You're in for a bumpy ride, kid. response:	Well, I already know that Tohsaka is a handful.
