context: I was afraid that this day would come. response:	If an Age of Cosmos were to arrive, who would stand to benefit?
context: But remember, it's what you sense that matters, Sir Theo.\All right.\Where are we?\Inside the Chaos Globe, perhaps?\Are we trapped in here?\I don't think these are our actual bodies. Our minds must be inside the Chaos Glo\You must not allow the Age of Chaos to end.\Who are you? response:	My name is Pandora.
context: All right.\Where are we?\Inside the Chaos Globe, perhaps?\Are we trapped in here?\I don't think these are our actual bodies. Our minds must be inside the Chaos Glo\You must not allow the Age of Chaos to end.\Who are you?\My name is Pandora. response:	Pandora?
context: Where are we?\Inside the Chaos Globe, perhaps?\Are we trapped in here?\I don't think these are our actual bodies. Our minds must be inside the Chaos Glo\You must not allow the Age of Chaos to end.\Who are you?\My name is Pandora.\Pandora? response:	You must not allow the Age of Chaos to end.
context: Inside the Chaos Globe, perhaps?\Are we trapped in here?\I don't think these are our actual bodies. Our minds must be inside the Chaos Glo\You must not allow the Age of Chaos to end.\Who are you?\My name is Pandora.\Pandora?\You must not allow the Age of Chaos to end. response:	And why is that?
context: Are we trapped in here?\I don't think these are our actual bodies. Our minds must be inside the Chaos Glo\You must not allow the Age of Chaos to end.\Who are you?\My name is Pandora.\Pandora?\You must not allow the Age of Chaos to end.\And why is that? response:	What's this?
context: I don't think these are our actual bodies. Our minds must be inside the Chaos Glo\You must not allow the Age of Chaos to end.\Who are you?\My name is Pandora.\Pandora?\You must not allow the Age of Chaos to end.\And why is that?\What's this? response:	This may be the previous civilization, said to have prospered before the Chaos explosion.
context: You must not allow the Age of Chaos to end.\Who are you?\My name is Pandora.\Pandora?\You must not allow the Age of Chaos to end.\And why is that?\What's this?\This may be the previous civilization, said to have prospered before the Chaos explosion. response:	Amazing. A civilization like this from so long ago?
context: Who are you?\My name is Pandora.\Pandora?\You must not allow the Age of Chaos to end.\And why is that?\What's this?\This may be the previous civilization, said to have prospered before the Chaos explosion.\Amazing. A civilization like this from so long ago? response:	Yes. It is said to have existed.
context: My name is Pandora.\Pandora?\You must not allow the Age of Chaos to end.\And why is that?\What's this?\This may be the previous civilization, said to have prospered before the Chaos explosion.\Amazing. A civilization like this from so long ago?\Yes. It is said to have existed. response:	But having only seen the records, it seemed more like a fantasy.
context: Pandora?\You must not allow the Age of Chaos to end.\And why is that?\What's this?\This may be the previous civilization, said to have prospered before the Chaos explosion.\Amazing. A civilization like this from so long ago?\Yes. It is said to have existed.\But having only seen the records, it seemed more like a fantasy. response:	If the Chaos is extinguished, the technology that we lost can be regained.
context: You must not allow the Age of Chaos to end.\And why is that?\What's this?\This may be the previous civilization, said to have prospered before the Chaos explosion.\Amazing. A civilization like this from so long ago?\Yes. It is said to have existed.\But having only seen the records, it seemed more like a fantasy.\If the Chaos is extinguished, the technology that we lost can be regained. response:	In the distant future, we might be able to restore this civilization!
context: And why is that?\What's this?\This may be the previous civilization, said to have prospered before the Chaos explosion.\Amazing. A civilization like this from so long ago?\Yes. It is said to have existed.\But having only seen the records, it seemed more like a fantasy.\If the Chaos is extinguished, the technology that we lost can be regained.\In the distant future, we might be able to restore this civilization! response:	You must not allow the Age of Chaos to end.
context: What's this?\This may be the previous civilization, said to have prospered before the Chaos explosion.\Amazing. A civilization like this from so long ago?\Yes. It is said to have existed.\But having only seen the records, it seemed more like a fantasy.\If the Chaos is extinguished, the technology that we lost can be regained.\In the distant future, we might be able to restore this civilization!\You must not allow the Age of Chaos to end. response:	In spite of having contradictions and issues, this civilization matured as if it had a life of its own.
context: This may be the previous civilization, said to have prospered before the Chaos explosion.\Amazing. A civilization like this from so long ago?\Yes. It is said to have existed.\But having only seen the records, it seemed more like a fantasy.\If the Chaos is extinguished, the technology that we lost can be regained.\In the distant future, we might be able to restore this civilization!\You must not allow the Age of Chaos to end.\In spite of having contradictions and issues, this civilization matured as if it had a life of its own. response:	And then one day, they obtained the ultimate energy.
context: Amazing. A civilization like this from so long ago?\Yes. It is said to have existed.\But having only seen the records, it seemed more like a fantasy.\If the Chaos is extinguished, the technology that we lost can be regained.\In the distant future, we might be able to restore this civilization!\You must not allow the Age of Chaos to end.\In spite of having contradictions and issues, this civilization matured as if it had a life of its own.\And then one day, they obtained the ultimate energy. response:	It was thought that civilization would evolve even further.
context: Yes. It is said to have existed.\But having only seen the records, it seemed more like a fantasy.\If the Chaos is extinguished, the technology that we lost can be regained.\In the distant future, we might be able to restore this civilization!\You must not allow the Age of Chaos to end.\In spite of having contradictions and issues, this civilization matured as if it had a life of its own.\And then one day, they obtained the ultimate energy.\It was thought that civilization would evolve even further. response:	But that energy came to be used for weapons, as well.
context: But having only seen the records, it seemed more like a fantasy.\If the Chaos is extinguished, the technology that we lost can be regained.\In the distant future, we might be able to restore this civilization!\You must not allow the Age of Chaos to end.\In spite of having contradictions and issues, this civilization matured as if it had a life of its own.\And then one day, they obtained the ultimate energy.\It was thought that civilization would evolve even further.\But that energy came to be used for weapons, as well. response:	How horrible...
context: If the Chaos is extinguished, the technology that we lost can be regained.\In the distant future, we might be able to restore this civilization!\You must not allow the Age of Chaos to end.\In spite of having contradictions and issues, this civilization matured as if it had a life of its own.\And then one day, they obtained the ultimate energy.\It was thought that civilization would evolve even further.\But that energy came to be used for weapons, as well.\How horrible... response:	The more civilization evolves,
context: In the distant future, we might be able to restore this civilization!\You must not allow the Age of Chaos to end.\In spite of having contradictions and issues, this civilization matured as if it had a life of its own.\And then one day, they obtained the ultimate energy.\It was thought that civilization would evolve even further.\But that energy came to be used for weapons, as well.\How horrible...\The more civilization evolves, response:	the more its light and darkness become stronger, as well.
context: You must not allow the Age of Chaos to end.\In spite of having contradictions and issues, this civilization matured as if it had a life of its own.\And then one day, they obtained the ultimate energy.\It was thought that civilization would evolve even further.\But that energy came to be used for weapons, as well.\How horrible...\The more civilization evolves,\the more its light and darkness become stronger, as well. response:	Is that why you insist that the Age of Chaos can never come to an end?
context: In spite of having contradictions and issues, this civilization matured as if it had a life of its own.\And then one day, they obtained the ultimate energy.\It was thought that civilization would evolve even further.\But that energy came to be used for weapons, as well.\How horrible...\The more civilization evolves,\the more its light and darkness become stronger, as well.\Is that why you insist that the Age of Chaos can never come to an end? response:	In order to stave off the end of the world, we have made a certain decision.
context: And then one day, they obtained the ultimate energy.\It was thought that civilization would evolve even further.\But that energy came to be used for weapons, as well.\How horrible...\The more civilization evolves,\the more its light and darkness become stronger, as well.\Is that why you insist that the Age of Chaos can never come to an end?\In order to stave off the end of the world, we have made a certain decision. response:	We must flood the world with Chaos, and destroy civilization.
context: It was thought that civilization would evolve even further.\But that energy came to be used for weapons, as well.\How horrible...\The more civilization evolves,\the more its light and darkness become stronger, as well.\Is that why you insist that the Age of Chaos can never come to an end?\In order to stave off the end of the world, we have made a certain decision.\We must flood the world with Chaos, and destroy civilization. response:	What did you say?
context: But that energy came to be used for weapons, as well.\How horrible...\The more civilization evolves,\the more its light and darkness become stronger, as well.\Is that why you insist that the Age of Chaos can never come to an end?\In order to stave off the end of the world, we have made a certain decision.\We must flood the world with Chaos, and destroy civilization.\What did you say? response:	Should the Age of Chaos end, humankind will eventually obtain the ultimate energy again,
context: How horrible...\The more civilization evolves,\the more its light and darkness become stronger, as well.\Is that why you insist that the Age of Chaos can never come to an end?\In order to stave off the end of the world, we have made a certain decision.\We must flood the world with Chaos, and destroy civilization.\What did you say?\Should the Age of Chaos end, humankind will eventually obtain the ultimate energy again, response:	and the world would certainly be obliterated.
context: The more civilization evolves,\the more its light and darkness become stronger, as well.\Is that why you insist that the Age of Chaos can never come to an end?\In order to stave off the end of the world, we have made a certain decision.\We must flood the world with Chaos, and destroy civilization.\What did you say?\Should the Age of Chaos end, humankind will eventually obtain the ultimate energy again,\and the world would certainly be obliterated. response:	You must not allow the Age of Chaos to end.
context: the more its light and darkness become stronger, as well.\Is that why you insist that the Age of Chaos can never come to an end?\In order to stave off the end of the world, we have made a certain decision.\We must flood the world with Chaos, and destroy civilization.\What did you say?\Should the Age of Chaos end, humankind will eventually obtain the ultimate energy again,\and the world would certainly be obliterated.\You must not allow the Age of Chaos to end. response:	That would signal the beginning of the end.
context: Is that why you insist that the Age of Chaos can never come to an end?\In order to stave off the end of the world, we have made a certain decision.\We must flood the world with Chaos, and destroy civilization.\What did you say?\Should the Age of Chaos end, humankind will eventually obtain the ultimate energy again,\and the world would certainly be obliterated.\You must not allow the Age of Chaos to end.\That would signal the beginning of the end. response:	You must not allow the Age of Chaos to end.
context: In order to stave off the end of the world, we have made a certain decision.\We must flood the world with Chaos, and destroy civilization.\What did you say?\Should the Age of Chaos end, humankind will eventually obtain the ultimate energy again,\and the world would certainly be obliterated.\You must not allow the Age of Chaos to end.\That would signal the beginning of the end.\You must not allow the Age of Chaos to end. response:	You must not allow the Age of Chaos to end.
context: We must flood the world with Chaos, and destroy civilization.\What did you say?\Should the Age of Chaos end, humankind will eventually obtain the ultimate energy again,\and the world would certainly be obliterated.\You must not allow the Age of Chaos to end.\That would signal the beginning of the end.\You must not allow the Age of Chaos to end.\You must not allow the Age of Chaos to end. response:	You must not allow the Age of Chaos to end.
context: What did you say?\Should the Age of Chaos end, humankind will eventually obtain the ultimate energy again,\and the world would certainly be obliterated.\You must not allow the Age of Chaos to end.\That would signal the beginning of the end.\You must not allow the Age of Chaos to end.\You must not allow the Age of Chaos to end.\You must not allow the Age of Chaos to end. response:	That was...
context: Should the Age of Chaos end, humankind will eventually obtain the ultimate energy again,\and the world would certainly be obliterated.\You must not allow the Age of Chaos to end.\That would signal the beginning of the end.\You must not allow the Age of Chaos to end.\You must not allow the Age of Chaos to end.\You must not allow the Age of Chaos to end.\That was... response:	Probably a record of the previous civilization, and a memory of someone named Pandora.
context: and the world would certainly be obliterated.\You must not allow the Age of Chaos to end.\That would signal the beginning of the end.\You must not allow the Age of Chaos to end.\You must not allow the Age of Chaos to end.\You must not allow the Age of Chaos to end.\That was...\Probably a record of the previous civilization, and a memory of someone named Pandora. response:	As well as the Mage Academy's principles.
context: You must not allow the Age of Chaos to end.\That would signal the beginning of the end.\You must not allow the Age of Chaos to end.\You must not allow the Age of Chaos to end.\You must not allow the Age of Chaos to end.\That was...\Probably a record of the previous civilization, and a memory of someone named Pandora.\As well as the Mage Academy's principles. response:	Should the Age of Chaos come to an end,
context: That would signal the beginning of the end.\You must not allow the Age of Chaos to end.\You must not allow the Age of Chaos to end.\You must not allow the Age of Chaos to end.\That was...\Probably a record of the previous civilization, and a memory of someone named Pandora.\As well as the Mage Academy's principles.\Should the Age of Chaos come to an end, response:	the technology of the previous civilization will eventually be restored.
context: You must not allow the Age of Chaos to end.\You must not allow the Age of Chaos to end.\You must not allow the Age of Chaos to end.\That was...\Probably a record of the previous civilization, and a memory of someone named Pandora.\As well as the Mage Academy's principles.\Should the Age of Chaos come to an end,\the technology of the previous civilization will eventually be restored. response:	The ultimate energy will be created, and then utilized as the final weapon.
context: You must not allow the Age of Chaos to end.\You must not allow the Age of Chaos to end.\That was...\Probably a record of the previous civilization, and a memory of someone named Pandora.\As well as the Mage Academy's principles.\Should the Age of Chaos come to an end,\the technology of the previous civilization will eventually be restored.\The ultimate energy will be created, and then utilized as the final weapon. response:	I understand now why the Age of Chaos was brought on,
context: You must not allow the Age of Chaos to end.\That was...\Probably a record of the previous civilization, and a memory of someone named Pandora.\As well as the Mage Academy's principles.\Should the Age of Chaos come to an end,\the technology of the previous civilization will eventually be restored.\The ultimate energy will be created, and then utilized as the final weapon.\I understand now why the Age of Chaos was brought on, response:	and the Mage Academy's principles.
context: That was...\Probably a record of the previous civilization, and a memory of someone named Pandora.\As well as the Mage Academy's principles.\Should the Age of Chaos come to an end,\the technology of the previous civilization will eventually be restored.\The ultimate energy will be created, and then utilized as the final weapon.\I understand now why the Age of Chaos was brought on,\and the Mage Academy's principles. response:	But that doesn't change how I feel.
context: Probably a record of the previous civilization, and a memory of someone named Pandora.\As well as the Mage Academy's principles.\Should the Age of Chaos come to an end,\the technology of the previous civilization will eventually be restored.\The ultimate energy will be created, and then utilized as the final weapon.\I understand now why the Age of Chaos was brought on,\and the Mage Academy's principles.\But that doesn't change how I feel. response:	Just because the world might end in the distant future,
context: As well as the Mage Academy's principles.\Should the Age of Chaos come to an end,\the technology of the previous civilization will eventually be restored.\The ultimate energy will be created, and then utilized as the final weapon.\I understand now why the Age of Chaos was brought on,\and the Mage Academy's principles.\But that doesn't change how I feel.\Just because the world might end in the distant future, response:	it's not right to sacrifice people living today, and those who haven't even been born yet.
context: Should the Age of Chaos come to an end,\the technology of the previous civilization will eventually be restored.\The ultimate energy will be created, and then utilized as the final weapon.\I understand now why the Age of Chaos was brought on,\and the Mage Academy's principles.\But that doesn't change how I feel.\Just because the world might end in the distant future,\it's not right to sacrifice people living today, and those who haven't even been born yet. response:	Even if it signals the beginning of the end,
context: the technology of the previous civilization will eventually be restored.\The ultimate energy will be created, and then utilized as the final weapon.\I understand now why the Age of Chaos was brought on,\and the Mage Academy's principles.\But that doesn't change how I feel.\Just because the world might end in the distant future,\it's not right to sacrifice people living today, and those who haven't even been born yet.\Even if it signals the beginning of the end, response:	instead of Chaos, I choose the Age of Cosmos!
context: The ultimate energy will be created, and then utilized as the final weapon.\I understand now why the Age of Chaos was brought on,\and the Mage Academy's principles.\But that doesn't change how I feel.\Just because the world might end in the distant future,\it's not right to sacrifice people living today, and those who haven't even been born yet.\Even if it signals the beginning of the end,\instead of Chaos, I choose the Age of Cosmos! response:	As you wish.
context: I understand now why the Age of Chaos was brought on,\and the Mage Academy's principles.\But that doesn't change how I feel.\Just because the world might end in the distant future,\it's not right to sacrifice people living today, and those who haven't even been born yet.\Even if it signals the beginning of the end,\instead of Chaos, I choose the Age of Cosmos!\As you wish. response:	I think that would be fine.
context: and the Mage Academy's principles.\But that doesn't change how I feel.\Just because the world might end in the distant future,\it's not right to sacrifice people living today, and those who haven't even been born yet.\Even if it signals the beginning of the end,\instead of Chaos, I choose the Age of Cosmos!\As you wish.\I think that would be fine. response:	After all, Sir Theo, you became a Lord in order to save those suffering under the Chaos.
context: But that doesn't change how I feel.\Just because the world might end in the distant future,\it's not right to sacrifice people living today, and those who haven't even been born yet.\Even if it signals the beginning of the end,\instead of Chaos, I choose the Age of Cosmos!\As you wish.\I think that would be fine.\After all, Sir Theo, you became a Lord in order to save those suffering under the Chaos. response:	Thanks.
context: Just because the world might end in the distant future,\it's not right to sacrifice people living today, and those who haven't even been born yet.\Even if it signals the beginning of the end,\instead of Chaos, I choose the Age of Cosmos!\As you wish.\I think that would be fine.\After all, Sir Theo, you became a Lord in order to save those suffering under the Chaos.\Thanks. response:	Emperor, is that your decision?
context: it's not right to sacrifice people living today, and those who haven't even been born yet.\Even if it signals the beginning of the end,\instead of Chaos, I choose the Age of Cosmos!\As you wish.\I think that would be fine.\After all, Sir Theo, you became a Lord in order to save those suffering under the Chaos.\Thanks.\Emperor, is that your decision? response:	Yes.
context: Even if it signals the beginning of the end,\instead of Chaos, I choose the Age of Cosmos!\As you wish.\I think that would be fine.\After all, Sir Theo, you became a Lord in order to save those suffering under the Chaos.\Thanks.\Emperor, is that your decision?\Yes. response:	It's the beginning of the end.
context: instead of Chaos, I choose the Age of Cosmos!\As you wish.\I think that would be fine.\After all, Sir Theo, you became a Lord in order to save those suffering under the Chaos.\Thanks.\Emperor, is that your decision?\Yes.\It's the beginning of the end. response:	Please summon the Margrave of Waldlind and the Marquis of Jalucia.
context: As you wish.\I think that would be fine.\After all, Sir Theo, you became a Lord in order to save those suffering under the Chaos.\Thanks.\Emperor, is that your decision?\Yes.\It's the beginning of the end.\Please summon the Margrave of Waldlind and the Marquis of Jalucia. response:	I'd like to announce the ascension.
context: I think that would be fine.\After all, Sir Theo, you became a Lord in order to save those suffering under the Chaos.\Thanks.\Emperor, is that your decision?\Yes.\It's the beginning of the end.\Please summon the Margrave of Waldlind and the Marquis of Jalucia.\I'd like to announce the ascension. response:	As of now, in the name of the great First Lord, Leon, as well as my Crest,
context: After all, Sir Theo, you became a Lord in order to save those suffering under the Chaos.\Thanks.\Emperor, is that your decision?\Yes.\It's the beginning of the end.\Please summon the Margrave of Waldlind and the Marquis of Jalucia.\I'd like to announce the ascension.\As of now, in the name of the great First Lord, Leon, as well as my Crest, response:	I ascend to the throne of emperor!
context: Thanks.\Emperor, is that your decision?\Yes.\It's the beginning of the end.\Please summon the Margrave of Waldlind and the Marquis of Jalucia.\I'd like to announce the ascension.\As of now, in the name of the great First Lord, Leon, as well as my Crest,\I ascend to the throne of emperor! response:	The name of this empire is Leon.
context: Emperor, is that your decision?\Yes.\It's the beginning of the end.\Please summon the Margrave of Waldlind and the Marquis of Jalucia.\I'd like to announce the ascension.\As of now, in the name of the great First Lord, Leon, as well as my Crest,\I ascend to the throne of emperor!\The name of this empire is Leon. response:	And I hereby designate Eramu as its imperial capital!
context: Yes.\It's the beginning of the end.\Please summon the Margrave of Waldlind and the Marquis of Jalucia.\I'd like to announce the ascension.\As of now, in the name of the great First Lord, Leon, as well as my Crest,\I ascend to the throne of emperor!\The name of this empire is Leon.\And I hereby designate Eramu as its imperial capital! response:	An emperor is the spokesman of the people.
context: It's the beginning of the end.\Please summon the Margrave of Waldlind and the Marquis of Jalucia.\I'd like to announce the ascension.\As of now, in the name of the great First Lord, Leon, as well as my Crest,\I ascend to the throne of emperor!\The name of this empire is Leon.\And I hereby designate Eramu as its imperial capital!\An emperor is the spokesman of the people. response:	My goal is to rule so that all of you can lead safe, just, and happy lives.
context: Please summon the Margrave of Waldlind and the Marquis of Jalucia.\I'd like to announce the ascension.\As of now, in the name of the great First Lord, Leon, as well as my Crest,\I ascend to the throne of emperor!\The name of this empire is Leon.\And I hereby designate Eramu as its imperial capital!\An emperor is the spokesman of the people.\My goal is to rule so that all of you can lead safe, just, and happy lives. response:	That's what I dreamed for in Sistina, where the people suffer
context: I'd like to announce the ascension.\As of now, in the name of the great First Lord, Leon, as well as my Crest,\I ascend to the throne of emperor!\The name of this empire is Leon.\And I hereby designate Eramu as its imperial capital!\An emperor is the spokesman of the people.\My goal is to rule so that all of you can lead safe, just, and happy lives.\That's what I dreamed for in Sistina, where the people suffer response:	under the Chaos and oppressive rule.
context: As of now, in the name of the great First Lord, Leon, as well as my Crest,\I ascend to the throne of emperor!\The name of this empire is Leon.\And I hereby designate Eramu as its imperial capital!\An emperor is the spokesman of the people.\My goal is to rule so that all of you can lead safe, just, and happy lives.\That's what I dreamed for in Sistina, where the people suffer\under the Chaos and oppressive rule. response:	This might be just a vision.
context: I ascend to the throne of emperor!\The name of this empire is Leon.\And I hereby designate Eramu as its imperial capital!\An emperor is the spokesman of the people.\My goal is to rule so that all of you can lead safe, just, and happy lives.\That's what I dreamed for in Sistina, where the people suffer\under the Chaos and oppressive rule.\This might be just a vision. response:	But the emperor must adhere to this as his one principle,
context: The name of this empire is Leon.\And I hereby designate Eramu as its imperial capital!\An emperor is the spokesman of the people.\My goal is to rule so that all of you can lead safe, just, and happy lives.\That's what I dreamed for in Sistina, where the people suffer\under the Chaos and oppressive rule.\This might be just a vision.\But the emperor must adhere to this as his one principle, response:	and constantly strive to fulfill it.
context: And I hereby designate Eramu as its imperial capital!\An emperor is the spokesman of the people.\My goal is to rule so that all of you can lead safe, just, and happy lives.\That's what I dreamed for in Sistina, where the people suffer\under the Chaos and oppressive rule.\This might be just a vision.\But the emperor must adhere to this as his one principle,\and constantly strive to fulfill it. response:	In the future, if anyone in violation of this principle should become emperor,
context: An emperor is the spokesman of the people.\My goal is to rule so that all of you can lead safe, just, and happy lives.\That's what I dreamed for in Sistina, where the people suffer\under the Chaos and oppressive rule.\This might be just a vision.\But the emperor must adhere to this as his one principle,\and constantly strive to fulfill it.\In the future, if anyone in violation of this principle should become emperor, response:	I grant the people the right... No, the duty, to overthrow him.
context: My goal is to rule so that all of you can lead safe, just, and happy lives.\That's what I dreamed for in Sistina, where the people suffer\under the Chaos and oppressive rule.\This might be just a vision.\But the emperor must adhere to this as his one principle,\and constantly strive to fulfill it.\In the future, if anyone in violation of this principle should become emperor,\I grant the people the right... No, the duty, to overthrow him. response:	And the people must follow the empire's principles, just as the emperor does.
context: That's what I dreamed for in Sistina, where the people suffer\under the Chaos and oppressive rule.\This might be just a vision.\But the emperor must adhere to this as his one principle,\and constantly strive to fulfill it.\In the future, if anyone in violation of this principle should become emperor,\I grant the people the right... No, the duty, to overthrow him.\And the people must follow the empire's principles, just as the emperor does. response:	In the name of the emperor, I ask all Lords to pledge allegiance to me.
context: under the Chaos and oppressive rule.\This might be just a vision.\But the emperor must adhere to this as his one principle,\and constantly strive to fulfill it.\In the future, if anyone in violation of this principle should become emperor,\I grant the people the right... No, the duty, to overthrow him.\And the people must follow the empire's principles, just as the emperor does.\In the name of the emperor, I ask all Lords to pledge allegiance to me. response:	And after all Crests have been unified, and the true Grancrest has been created,
context: This might be just a vision.\But the emperor must adhere to this as his one principle,\and constantly strive to fulfill it.\In the future, if anyone in violation of this principle should become emperor,\I grant the people the right... No, the duty, to overthrow him.\And the people must follow the empire's principles, just as the emperor does.\In the name of the emperor, I ask all Lords to pledge allegiance to me.\And after all Crests have been unified, and the true Grancrest has been created, response:	I swear to bring an end to the Age of Chaos!
context: But the emperor must adhere to this as his one principle,\and constantly strive to fulfill it.\In the future, if anyone in violation of this principle should become emperor,\I grant the people the right... No, the duty, to overthrow him.\And the people must follow the empire's principles, just as the emperor does.\In the name of the emperor, I ask all Lords to pledge allegiance to me.\And after all Crests have been unified, and the true Grancrest has been created,\I swear to bring an end to the Age of Chaos! response:	THREE YEARS LATER
context: and constantly strive to fulfill it.\In the future, if anyone in violation of this principle should become emperor,\I grant the people the right... No, the duty, to overthrow him.\And the people must follow the empire's principles, just as the emperor does.\In the name of the emperor, I ask all Lords to pledge allegiance to me.\And after all Crests have been unified, and the true Grancrest has been created,\I swear to bring an end to the Age of Chaos!\THREE YEARS LATER response:	I now pronounce you husband and wife.
context: In the future, if anyone in violation of this principle should become emperor,\I grant the people the right... No, the duty, to overthrow him.\And the people must follow the empire's principles, just as the emperor does.\In the name of the emperor, I ask all Lords to pledge allegiance to me.\And after all Crests have been unified, and the true Grancrest has been created,\I swear to bring an end to the Age of Chaos!\THREE YEARS LATER\I now pronounce you husband and wife. response:	You may now kiss the bride.
context: I grant the people the right... No, the duty, to overthrow him.\And the people must follow the empire's principles, just as the emperor does.\In the name of the emperor, I ask all Lords to pledge allegiance to me.\And after all Crests have been unified, and the true Grancrest has been created,\I swear to bring an end to the Age of Chaos!\THREE YEARS LATER\I now pronounce you husband and wife.\You may now kiss the bride. response:	Here and now, two couples have been joined in matrimony.
context: And the people must follow the empire's principles, just as the emperor does.\In the name of the emperor, I ask all Lords to pledge allegiance to me.\And after all Crests have been unified, and the true Grancrest has been created,\I swear to bring an end to the Age of Chaos!\THREE YEARS LATER\I now pronounce you husband and wife.\You may now kiss the bride.\Here and now, two couples have been joined in matrimony. response:	The emperor has fulfilled his promise.
context: In the name of the emperor, I ask all Lords to pledge allegiance to me.\And after all Crests have been unified, and the true Grancrest has been created,\I swear to bring an end to the Age of Chaos!\THREE YEARS LATER\I now pronounce you husband and wife.\You may now kiss the bride.\Here and now, two couples have been joined in matrimony.\The emperor has fulfilled his promise. response:	He has transformed the Great Hall Tragedy into a miracle!
context: And after all Crests have been unified, and the true Grancrest has been created,\I swear to bring an end to the Age of Chaos!\THREE YEARS LATER\I now pronounce you husband and wife.\You may now kiss the bride.\Here and now, two couples have been joined in matrimony.\The emperor has fulfilled his promise.\He has transformed the Great Hall Tragedy into a miracle! response:	The continent has been unified, and all Crests are now in the hands of the emperor.
context: I swear to bring an end to the Age of Chaos!\THREE YEARS LATER\I now pronounce you husband and wife.\You may now kiss the bride.\Here and now, two couples have been joined in matrimony.\The emperor has fulfilled his promise.\He has transformed the Great Hall Tragedy into a miracle!\The continent has been unified, and all Crests are now in the hands of the emperor. response:	Today, at this moment, the Emperor's Holy Seal, the Grancrest, will be born!
context: THREE YEARS LATER\I now pronounce you husband and wife.\You may now kiss the bride.\Here and now, two couples have been joined in matrimony.\The emperor has fulfilled his promise.\He has transformed the Great Hall Tragedy into a miracle!\The continent has been unified, and all Crests are now in the hands of the emperor.\Today, at this moment, the Emperor's Holy Seal, the Grancrest, will be born! response:	And so the Chaos that had overrun the continent was purged,
context: I now pronounce you husband and wife.\You may now kiss the bride.\Here and now, two couples have been joined in matrimony.\The emperor has fulfilled his promise.\He has transformed the Great Hall Tragedy into a miracle!\The continent has been unified, and all Crests are now in the hands of the emperor.\Today, at this moment, the Emperor's Holy Seal, the Grancrest, will be born!\And so the Chaos that had overrun the continent was purged, response:	and at last, peace came to the world momentarily.
context: You may now kiss the bride.\Here and now, two couples have been joined in matrimony.\The emperor has fulfilled his promise.\He has transformed the Great Hall Tragedy into a miracle!\The continent has been unified, and all Crests are now in the hands of the emperor.\Today, at this moment, the Emperor's Holy Seal, the Grancrest, will be born!\And so the Chaos that had overrun the continent was purged,\and at last, peace came to the world momentarily. response:	The First Emperor abdicated in favor of the Second Emperor, Alexis Doucet,
context: Here and now, two couples have been joined in matrimony.\The emperor has fulfilled his promise.\He has transformed the Great Hall Tragedy into a miracle!\The continent has been unified, and all Crests are now in the hands of the emperor.\Today, at this moment, the Emperor's Holy Seal, the Grancrest, will be born!\And so the Chaos that had overrun the continent was purged,\and at last, peace came to the world momentarily.\The First Emperor abdicated in favor of the Second Emperor, Alexis Doucet, response:	while Marrine, his wife, was appointed chancellor.
context: The emperor has fulfilled his promise.\He has transformed the Great Hall Tragedy into a miracle!\The continent has been unified, and all Crests are now in the hands of the emperor.\Today, at this moment, the Emperor's Holy Seal, the Grancrest, will be born!\And so the Chaos that had overrun the continent was purged,\and at last, peace came to the world momentarily.\The First Emperor abdicated in favor of the Second Emperor, Alexis Doucet,\while Marrine, his wife, was appointed chancellor. response:	And Eramu's rule was entrusted to them.
context: He has transformed the Great Hall Tragedy into a miracle!\The continent has been unified, and all Crests are now in the hands of the emperor.\Today, at this moment, the Emperor's Holy Seal, the Grancrest, will be born!\And so the Chaos that had overrun the continent was purged,\and at last, peace came to the world momentarily.\The First Emperor abdicated in favor of the Second Emperor, Alexis Doucet,\while Marrine, his wife, was appointed chancellor.\And Eramu's rule was entrusted to them. response:	After abdicating, Theo Cornaro returned to rule over Sistina, his homeland.
context: The continent has been unified, and all Crests are now in the hands of the emperor.\Today, at this moment, the Emperor's Holy Seal, the Grancrest, will be born!\And so the Chaos that had overrun the continent was purged,\and at last, peace came to the world momentarily.\The First Emperor abdicated in favor of the Second Emperor, Alexis Doucet,\while Marrine, his wife, was appointed chancellor.\And Eramu's rule was entrusted to them.\After abdicating, Theo Cornaro returned to rule over Sistina, his homeland. response:	In order to bring happiness to his homeland, he had changed the world.
context: Today, at this moment, the Emperor's Holy Seal, the Grancrest, will be born!\And so the Chaos that had overrun the continent was purged,\and at last, peace came to the world momentarily.\The First Emperor abdicated in favor of the Second Emperor, Alexis Doucet,\while Marrine, his wife, was appointed chancellor.\And Eramu's rule was entrusted to them.\After abdicating, Theo Cornaro returned to rule over Sistina, his homeland.\In order to bring happiness to his homeland, he had changed the world. response:	I'd dreamed of seeing this for so long.
context: And so the Chaos that had overrun the continent was purged,\and at last, peace came to the world momentarily.\The First Emperor abdicated in favor of the Second Emperor, Alexis Doucet,\while Marrine, his wife, was appointed chancellor.\And Eramu's rule was entrusted to them.\After abdicating, Theo Cornaro returned to rule over Sistina, his homeland.\In order to bring happiness to his homeland, he had changed the world.\I'd dreamed of seeing this for so long. response:	Yes.
