context: Hmm? What is he planning to do? response:	No! Your body won't be able to bear it if you go higher than 2X, Goku!
context: That's strange. The moon should be out by now...\Saiyan, no matter how hard you look, it won't do any good. The moon is gone.\The one named Piccolo feared this might happen, and eliminated it long ago.\Still, Son Goku can't have very much energy left.\Even if the Saiyan doesn't turn into a Great Ape,\it doesn't change the fact that he's still in a pinch.\Then again, he's become weaker, too. The Genki Dama!\lf you can just hit him with a Genki Dama, the way he is now, you can beat him for sure! response:	That's strange. He's just going around in circles up there.
context: Saiyan, no matter how hard you look, it won't do any good. The moon is gone.\The one named Piccolo feared this might happen, and eliminated it long ago.\Still, Son Goku can't have very much energy left.\Even if the Saiyan doesn't turn into a Great Ape,\it doesn't change the fact that he's still in a pinch.\Then again, he's become weaker, too. The Genki Dama!\lf you can just hit him with a Genki Dama, the way he is now, you can beat him for sure!\That's strange. He's just going around in circles up there. response:	Why ain't he coming at me?
context: The one named Piccolo feared this might happen, and eliminated it long ago.\Still, Son Goku can't have very much energy left.\Even if the Saiyan doesn't turn into a Great Ape,\it doesn't change the fact that he's still in a pinch.\Then again, he's become weaker, too. The Genki Dama!\lf you can just hit him with a Genki Dama, the way he is now, you can beat him for sure!\That's strange. He's just going around in circles up there.\Why ain't he coming at me? response:	It's not here! It's not here! It's not here!
context: Still, Son Goku can't have very much energy left.\Even if the Saiyan doesn't turn into a Great Ape,\it doesn't change the fact that he's still in a pinch.\Then again, he's become weaker, too. The Genki Dama!\lf you can just hit him with a Genki Dama, the way he is now, you can beat him for sure!\That's strange. He's just going around in circles up there.\Why ain't he coming at me?\It's not here! It's not here! It's not here! response:	Dammit, the moon isn't anywhere! What's going on!?
context: Even if the Saiyan doesn't turn into a Great Ape,\it doesn't change the fact that he's still in a pinch.\Then again, he's become weaker, too. The Genki Dama!\lf you can just hit him with a Genki Dama, the way he is now, you can beat him for sure!\That's strange. He's just going around in circles up there.\Why ain't he coming at me?\It's not here! It's not here! It's not here!\Dammit, the moon isn't anywhere! What's going on!? response:	So that's it! Dammit! He is one thoroughly aggravating bastard!
context: it doesn't change the fact that he's still in a pinch.\Then again, he's become weaker, too. The Genki Dama!\lf you can just hit him with a Genki Dama, the way he is now, you can beat him for sure!\That's strange. He's just going around in circles up there.\Why ain't he coming at me?\It's not here! It's not here! It's not here!\Dammit, the moon isn't anywhere! What's going on!?\So that's it! Dammit! He is one thoroughly aggravating bastard! response:	Kakarrot must have taken out the moon ahead of time! Then it's unavoidable...
context: Then again, he's become weaker, too. The Genki Dama!\lf you can just hit him with a Genki Dama, the way he is now, you can beat him for sure!\That's strange. He's just going around in circles up there.\Why ain't he coming at me?\It's not here! It's not here! It's not here!\Dammit, the moon isn't anywhere! What's going on!?\So that's it! Dammit! He is one thoroughly aggravating bastard!\Kakarrot must have taken out the moon ahead of time! Then it's unavoidable... response:	My battle power might drop somewhat, but there doesn't seem to be any other way.
context: lf you can just hit him with a Genki Dama, the way he is now, you can beat him for sure!\That's strange. He's just going around in circles up there.\Why ain't he coming at me?\It's not here! It's not here! It's not here!\Dammit, the moon isn't anywhere! What's going on!?\So that's it! Dammit! He is one thoroughly aggravating bastard!\Kakarrot must have taken out the moon ahead of time! Then it's unavoidable...\My battle power might drop somewhat, but there doesn't seem to be any other way. response:	I can't wait to see the look of stunned panic on his face!
context: That's strange. He's just going around in circles up there.\Why ain't he coming at me?\It's not here! It's not here! It's not here!\Dammit, the moon isn't anywhere! What's going on!?\So that's it! Dammit! He is one thoroughly aggravating bastard!\Kakarrot must have taken out the moon ahead of time! Then it's unavoidable...\My battle power might drop somewhat, but there doesn't seem to be any other way.\I can't wait to see the look of stunned panic on his face! response:	He's finally coming back down.
context: Why ain't he coming at me?\It's not here! It's not here! It's not here!\Dammit, the moon isn't anywhere! What's going on!?\So that's it! Dammit! He is one thoroughly aggravating bastard!\Kakarrot must have taken out the moon ahead of time! Then it's unavoidable...\My battle power might drop somewhat, but there doesn't seem to be any other way.\I can't wait to see the look of stunned panic on his face!\He's finally coming back down. response:	The only way I can beat him is with the Genki Dama.
context: It's not here! It's not here! It's not here!\Dammit, the moon isn't anywhere! What's going on!?\So that's it! Dammit! He is one thoroughly aggravating bastard!\Kakarrot must have taken out the moon ahead of time! Then it's unavoidable...\My battle power might drop somewhat, but there doesn't seem to be any other way.\I can't wait to see the look of stunned panic on his face!\He's finally coming back down.\The only way I can beat him is with the Genki Dama. response:	Am I going to be able to mentally focus myself for that?
context: Dammit, the moon isn't anywhere! What's going on!?\So that's it! Dammit! He is one thoroughly aggravating bastard!\Kakarrot must have taken out the moon ahead of time! Then it's unavoidable...\My battle power might drop somewhat, but there doesn't seem to be any other way.\I can't wait to see the look of stunned panic on his face!\He's finally coming back down.\The only way I can beat him is with the Genki Dama.\Am I going to be able to mentally focus myself for that? response:	Kakarrot...
context: So that's it! Dammit! He is one thoroughly aggravating bastard!\Kakarrot must have taken out the moon ahead of time! Then it's unavoidable...\My battle power might drop somewhat, but there doesn't seem to be any other way.\I can't wait to see the look of stunned panic on his face!\He's finally coming back down.\The only way I can beat him is with the Genki Dama.\Am I going to be able to mentally focus myself for that?\Kakarrot... response:	You might have thought you could outwit me by getting rid of the moon, but it won't work!
context: Kakarrot must have taken out the moon ahead of time! Then it's unavoidable...\My battle power might drop somewhat, but there doesn't seem to be any other way.\I can't wait to see the look of stunned panic on his face!\He's finally coming back down.\The only way I can beat him is with the Genki Dama.\Am I going to be able to mentally focus myself for that?\Kakarrot...\You might have thought you could outwit me by getting rid of the moon, but it won't work! response:	The moon?
context: My battle power might drop somewhat, but there doesn't seem to be any other way.\I can't wait to see the look of stunned panic on his face!\He's finally coming back down.\The only way I can beat him is with the Genki Dama.\Am I going to be able to mentally focus myself for that?\Kakarrot...\You might have thought you could outwit me by getting rid of the moon, but it won't work!\The moon? response:	What are you talking about?
context: I can't wait to see the look of stunned panic on his face!\He's finally coming back down.\The only way I can beat him is with the Genki Dama.\Am I going to be able to mentally focus myself for that?\Kakarrot...\You might have thought you could outwit me by getting rid of the moon, but it won't work!\The moon?\What are you talking about? response:	As if you didn't know! Are you aware of why we can transform during a full moon?
context: He's finally coming back down.\The only way I can beat him is with the Genki Dama.\Am I going to be able to mentally focus myself for that?\Kakarrot...\You might have thought you could outwit me by getting rid of the moon, but it won't work!\The moon?\What are you talking about?\As if you didn't know! Are you aware of why we can transform during a full moon? response:	Transform?
context: The only way I can beat him is with the Genki Dama.\Am I going to be able to mentally focus myself for that?\Kakarrot...\You might have thought you could outwit me by getting rid of the moon, but it won't work!\The moon?\What are you talking about?\As if you didn't know! Are you aware of why we can transform during a full moon?\Transform? response:	The light from the moon is what gets reflected from the sun.
context: Am I going to be able to mentally focus myself for that?\Kakarrot...\You might have thought you could outwit me by getting rid of the moon, but it won't work!\The moon?\What are you talking about?\As if you didn't know! Are you aware of why we can transform during a full moon?\Transform?\The light from the moon is what gets reflected from the sun. response:	Sunlight contains Bruits waves only when it is reflected back by the moon.
context: Kakarrot...\You might have thought you could outwit me by getting rid of the moon, but it won't work!\The moon?\What are you talking about?\As if you didn't know! Are you aware of why we can transform during a full moon?\Transform?\The light from the moon is what gets reflected from the sun.\Sunlight contains Bruits waves only when it is reflected back by the moon. response:	During a full moon, those Bruits waves reach a level of over 17 million zeno.
context: You might have thought you could outwit me by getting rid of the moon, but it won't work!\The moon?\What are you talking about?\As if you didn't know! Are you aware of why we can transform during a full moon?\Transform?\The light from the moon is what gets reflected from the sun.\Sunlight contains Bruits waves only when it is reflected back by the moon.\During a full moon, those Bruits waves reach a level of over 17 million zeno. response:	What is he talking about?
context: The moon?\What are you talking about?\As if you didn't know! Are you aware of why we can transform during a full moon?\Transform?\The light from the moon is what gets reflected from the sun.\Sunlight contains Bruits waves only when it is reflected back by the moon.\During a full moon, those Bruits waves reach a level of over 17 million zeno.\What is he talking about? response:	When over 17 million zeno's worth of Bruits waves are absorbed by our eyes,
context: What are you talking about?\As if you didn't know! Are you aware of why we can transform during a full moon?\Transform?\The light from the moon is what gets reflected from the sun.\Sunlight contains Bruits waves only when it is reflected back by the moon.\During a full moon, those Bruits waves reach a level of over 17 million zeno.\What is he talking about?\When over 17 million zeno's worth of Bruits waves are absorbed by our eyes, response:	it triggers a reaction in our tails,
context: As if you didn't know! Are you aware of why we can transform during a full moon?\Transform?\The light from the moon is what gets reflected from the sun.\Sunlight contains Bruits waves only when it is reflected back by the moon.\During a full moon, those Bruits waves reach a level of over 17 million zeno.\What is he talking about?\When over 17 million zeno's worth of Bruits waves are absorbed by our eyes,\it triggers a reaction in our tails, response:	and our transformation begins!
context: Transform?\The light from the moon is what gets reflected from the sun.\Sunlight contains Bruits waves only when it is reflected back by the moon.\During a full moon, those Bruits waves reach a level of over 17 million zeno.\What is he talking about?\When over 17 million zeno's worth of Bruits waves are absorbed by our eyes,\it triggers a reaction in our tails,\and our transformation begins! response:	A limited number of Saiyans are able to create an artificial full moon
context: The light from the moon is what gets reflected from the sun.\Sunlight contains Bruits waves only when it is reflected back by the moon.\During a full moon, those Bruits waves reach a level of over 17 million zeno.\What is he talking about?\When over 17 million zeno's worth of Bruits waves are absorbed by our eyes,\it triggers a reaction in our tails,\and our transformation begins!\A limited number of Saiyans are able to create an artificial full moon response:	that emits over 17 million zeno.
context: Sunlight contains Bruits waves only when it is reflected back by the moon.\During a full moon, those Bruits waves reach a level of over 17 million zeno.\What is he talking about?\When over 17 million zeno's worth of Bruits waves are absorbed by our eyes,\it triggers a reaction in our tails,\and our transformation begins!\A limited number of Saiyans are able to create an artificial full moon\that emits over 17 million zeno. response:	Things are not going to go as you expected! Even if you have eliminated the moon,
context: During a full moon, those Bruits waves reach a level of over 17 million zeno.\What is he talking about?\When over 17 million zeno's worth of Bruits waves are absorbed by our eyes,\it triggers a reaction in our tails,\and our transformation begins!\A limited number of Saiyans are able to create an artificial full moon\that emits over 17 million zeno.\Things are not going to go as you expected! Even if you have eliminated the moon, response:	by mixing this planet's oxygen with my Power Ball...
context: What is he talking about?\When over 17 million zeno's worth of Bruits waves are absorbed by our eyes,\it triggers a reaction in our tails,\and our transformation begins!\A limited number of Saiyans are able to create an artificial full moon\that emits over 17 million zeno.\Things are not going to go as you expected! Even if you have eliminated the moon,\by mixing this planet's oxygen with my Power Ball... response:	Sorry to keep you waiting, Kakarrot.
context: When over 17 million zeno's worth of Bruits waves are absorbed by our eyes,\it triggers a reaction in our tails,\and our transformation begins!\A limited number of Saiyans are able to create an artificial full moon\that emits over 17 million zeno.\Things are not going to go as you expected! Even if you have eliminated the moon,\by mixing this planet's oxygen with my Power Ball...\Sorry to keep you waiting, Kakarrot. response:	The time of your death has finally come.
context: it triggers a reaction in our tails,\and our transformation begins!\A limited number of Saiyans are able to create an artificial full moon\that emits over 17 million zeno.\Things are not going to go as you expected! Even if you have eliminated the moon,\by mixing this planet's oxygen with my Power Ball...\Sorry to keep you waiting, Kakarrot.\The time of your death has finally come. response:	A lower-class warrior like you should not have challenged a super-elite to battle!
context: and our transformation begins!\A limited number of Saiyans are able to create an artificial full moon\that emits over 17 million zeno.\Things are not going to go as you expected! Even if you have eliminated the moon,\by mixing this planet's oxygen with my Power Ball...\Sorry to keep you waiting, Kakarrot.\The time of your death has finally come.\A lower-class warrior like you should not have challenged a super-elite to battle! response:	The moment that strange light started glowing, his Ki dropped.
context: A limited number of Saiyans are able to create an artificial full moon\that emits over 17 million zeno.\Things are not going to go as you expected! Even if you have eliminated the moon,\by mixing this planet's oxygen with my Power Ball...\Sorry to keep you waiting, Kakarrot.\The time of your death has finally come.\A lower-class warrior like you should not have challenged a super-elite to battle!\The moment that strange light started glowing, his Ki dropped. response:	What the hell is he planning to go this far to do?
context: that emits over 17 million zeno.\Things are not going to go as you expected! Even if you have eliminated the moon,\by mixing this planet's oxygen with my Power Ball...\Sorry to keep you waiting, Kakarrot.\The time of your death has finally come.\A lower-class warrior like you should not have challenged a super-elite to battle!\The moment that strange light started glowing, his Ki dropped.\What the hell is he planning to go this far to do? response:	What!?
context: Things are not going to go as you expected! Even if you have eliminated the moon,\by mixing this planet's oxygen with my Power Ball...\Sorry to keep you waiting, Kakarrot.\The time of your death has finally come.\A lower-class warrior like you should not have challenged a super-elite to battle!\The moment that strange light started glowing, his Ki dropped.\What the hell is he planning to go this far to do?\What!? response:	Burst open and blend together!
context: by mixing this planet's oxygen with my Power Ball...\Sorry to keep you waiting, Kakarrot.\The time of your death has finally come.\A lower-class warrior like you should not have challenged a super-elite to battle!\The moment that strange light started glowing, his Ki dropped.\What the hell is he planning to go this far to do?\What!?\Burst open and blend together! response:	What is that?
context: Sorry to keep you waiting, Kakarrot.\The time of your death has finally come.\A lower-class warrior like you should not have challenged a super-elite to battle!\The moment that strange light started glowing, his Ki dropped.\What the hell is he planning to go this far to do?\What!?\Burst open and blend together!\What is that? response:	What!? What have you done!?
context: The time of your death has finally come.\A lower-class warrior like you should not have challenged a super-elite to battle!\The moment that strange light started glowing, his Ki dropped.\What the hell is he planning to go this far to do?\What!?\Burst open and blend together!\What is that?\What!? What have you done!? response:	I- it can't be! He's created a moon!
context: A lower-class warrior like you should not have challenged a super-elite to battle!\The moment that strange light started glowing, his Ki dropped.\What the hell is he planning to go this far to do?\What!?\Burst open and blend together!\What is that?\What!? What have you done!?\I- it can't be! He's created a moon! response:	You're going to regret losing your tail, Kakarrot!
context: The moment that strange light started glowing, his Ki dropped.\What the hell is he planning to go this far to do?\What!?\Burst open and blend together!\What is that?\What!? What have you done!?\I- it can't be! He's created a moon!\You're going to regret losing your tail, Kakarrot! response:	Is this the end?
context: What the hell is he planning to go this far to do?\What!?\Burst open and blend together!\What is that?\What!? What have you done!?\I- it can't be! He's created a moon!\You're going to regret losing your tail, Kakarrot!\Is this the end? response:	W- what's that?
context: What!?\Burst open and blend together!\What is that?\What!? What have you done!?\I- it can't be! He's created a moon!\You're going to regret losing your tail, Kakarrot!\Is this the end?\W- what's that? response:	Transforming himself into a Great Ape,
context: Burst open and blend together!\What is that?\What!? What have you done!?\I- it can't be! He's created a moon!\You're going to regret losing your tail, Kakarrot!\Is this the end?\W- what's that?\Transforming himself into a Great Ape, response:	Vegeta resorts to the final measure available to him.
context: What is that?\What!? What have you done!?\I- it can't be! He's created a moon!\You're going to regret losing your tail, Kakarrot!\Is this the end?\W- what's that?\Transforming himself into a Great Ape,\Vegeta resorts to the final measure available to him. response:	Does Goku have any chance of beating him?
