context: I could just die right now. response:	A Place Further Than the Universe
context: Wait for me, auroras!\I bet that hurt.\Sorry, she's an idiot.\That's all right...\Is this the only way out?\Yes, but...\I'm borrowing your sandals.\Excuse me. response:	Wait!
context: I bet that hurt.\Sorry, she's an idiot.\That's all right...\Is this the only way out?\Yes, but...\I'm borrowing your sandals.\Excuse me.\Wait! response:	Hello there.
context: Sorry, she's an idiot.\That's all right...\Is this the only way out?\Yes, but...\I'm borrowing your sandals.\Excuse me.\Wait!\Hello there. response:	New Dosanko Promotions Producer, Manager Shiraishi Tamiko
context: That's all right...\Is this the only way out?\Yes, but...\I'm borrowing your sandals.\Excuse me.\Wait!\Hello there.\New Dosanko Promotions Producer, Manager Shiraishi Tamiko response:	I am Yuzuki's manager.
context: Is this the only way out?\Yes, but...\I'm borrowing your sandals.\Excuse me.\Wait!\Hello there.\New Dosanko Promotions Producer, Manager Shiraishi Tamiko\I am Yuzuki's manager. response:	My name is Shiraishi Tamiko.
context: Yes, but...\I'm borrowing your sandals.\Excuse me.\Wait!\Hello there.\New Dosanko Promotions Producer, Manager Shiraishi Tamiko\I am Yuzuki's manager.\My name is Shiraishi Tamiko. response:	Shiraishi?
context: I'm borrowing your sandals.\Excuse me.\Wait!\Hello there.\New Dosanko Promotions Producer, Manager Shiraishi Tamiko\I am Yuzuki's manager.\My name is Shiraishi Tamiko.\Shiraishi? response:	I am also her mother.
context: Excuse me.\Wait!\Hello there.\New Dosanko Promotions Producer, Manager Shiraishi Tamiko\I am Yuzuki's manager.\My name is Shiraishi Tamiko.\Shiraishi?\I am also her mother. response:	Thought so.
context: Wait!\Hello there.\New Dosanko Promotions Producer, Manager Shiraishi Tamiko\I am Yuzuki's manager.\My name is Shiraishi Tamiko.\Shiraishi?\I am also her mother.\Thought so. response:	I keep telling you, I'm not going.
context: Hello there.\New Dosanko Promotions Producer, Manager Shiraishi Tamiko\I am Yuzuki's manager.\My name is Shiraishi Tamiko.\Shiraishi?\I am also her mother.\Thought so.\I keep telling you, I'm not going. response:	But you have to go. It's your job, remember?
context: New Dosanko Promotions Producer, Manager Shiraishi Tamiko\I am Yuzuki's manager.\My name is Shiraishi Tamiko.\Shiraishi?\I am also her mother.\Thought so.\I keep telling you, I'm not going.\But you have to go. It's your job, remember? response:	I told these girls they could do it instead.
context: I am Yuzuki's manager.\My name is Shiraishi Tamiko.\Shiraishi?\I am also her mother.\Thought so.\I keep telling you, I'm not going.\But you have to go. It's your job, remember?\I told these girls they could do it instead. response:	Do you really think it's your place to decide that?
context: My name is Shiraishi Tamiko.\Shiraishi?\I am also her mother.\Thought so.\I keep telling you, I'm not going.\But you have to go. It's your job, remember?\I told these girls they could do it instead.\Do you really think it's your place to decide that? response:	TV Program Outline High School Girl Goes to Antarctica! Blue Sky TV
context: Shiraishi?\I am also her mother.\Thought so.\I keep telling you, I'm not going.\But you have to go. It's your job, remember?\I told these girls they could do it instead.\Do you really think it's your place to decide that?\TV Program Outline High School Girl Goes to Antarctica! Blue Sky TV response:	Pardon me.
context: I am also her mother.\Thought so.\I keep telling you, I'm not going.\But you have to go. It's your job, remember?\I told these girls they could do it instead.\Do you really think it's your place to decide that?\TV Program Outline High School Girl Goes to Antarctica! Blue Sky TV\Pardon me. response:	What is it?
context: Thought so.\I keep telling you, I'm not going.\But you have to go. It's your job, remember?\I told these girls they could do it instead.\Do you really think it's your place to decide that?\TV Program Outline High School Girl Goes to Antarctica! Blue Sky TV\Pardon me.\What is it? response:	Well... you see...
context: I keep telling you, I'm not going.\But you have to go. It's your job, remember?\I told these girls they could do it instead.\Do you really think it's your place to decide that?\TV Program Outline High School Girl Goes to Antarctica! Blue Sky TV\Pardon me.\What is it?\Well... you see... response:	She just has to report on Antarctica, right?
context: But you have to go. It's your job, remember?\I told these girls they could do it instead.\Do you really think it's your place to decide that?\TV Program Outline High School Girl Goes to Antarctica! Blue Sky TV\Pardon me.\What is it?\Well... you see...\She just has to report on Antarctica, right? response:	I think she can do it!
context: I told these girls they could do it instead.\Do you really think it's your place to decide that?\TV Program Outline High School Girl Goes to Antarctica! Blue Sky TV\Pardon me.\What is it?\Well... you see...\She just has to report on Antarctica, right?\I think she can do it! response:	She's beautiful, see? Just like a famous actress!
context: Do you really think it's your place to decide that?\TV Program Outline High School Girl Goes to Antarctica! Blue Sky TV\Pardon me.\What is it?\Well... you see...\She just has to report on Antarctica, right?\I think she can do it!\She's beautiful, see? Just like a famous actress! response:	Can she perform?
context: TV Program Outline High School Girl Goes to Antarctica! Blue Sky TV\Pardon me.\What is it?\Well... you see...\She just has to report on Antarctica, right?\I think she can do it!\She's beautiful, see? Just like a famous actress!\Can she perform? response:	O-Of course!
context: Pardon me.\What is it?\Well... you see...\She just has to report on Antarctica, right?\I think she can do it!\She's beautiful, see? Just like a famous actress!\Can she perform?\O-Of course! response:	I'm c-currently... in... Antarctica... the weather...
context: What is it?\Well... you see...\She just has to report on Antarctica, right?\I think she can do it!\She's beautiful, see? Just like a famous actress!\Can she perform?\O-Of course!\I'm c-currently... in... Antarctica... the weather... response:	Hello! Can't hear you!
context: Well... you see...\She just has to report on Antarctica, right?\I think she can do it!\She's beautiful, see? Just like a famous actress!\Can she perform?\O-Of course!\I'm c-currently... in... Antarctica... the weather...\Hello! Can't hear you! response:	Hold it! I can perform! I'll handle it!
context: She just has to report on Antarctica, right?\I think she can do it!\She's beautiful, see? Just like a famous actress!\Can she perform?\O-Of course!\I'm c-currently... in... Antarctica... the weather...\Hello! Can't hear you!\Hold it! I can perform! I'll handle it! response:	Hello! I'm in Antarctica! People of Japan, are you seeing me?
context: I think she can do it!\She's beautiful, see? Just like a famous actress!\Can she perform?\O-Of course!\I'm c-currently... in... Antarctica... the weather...\Hello! Can't hear you!\Hold it! I can perform! I'll handle it!\Hello! I'm in Antarctica! People of Japan, are you seeing me? response:	Can you be attractive?
context: She's beautiful, see? Just like a famous actress!\Can she perform?\O-Of course!\I'm c-currently... in... Antarctica... the weather...\Hello! Can't hear you!\Hold it! I can perform! I'll handle it!\Hello! I'm in Antarctica! People of Japan, are you seeing me?\Can you be attractive? response:	She didn't sugar-coat it!
context: Can she perform?\O-Of course!\I'm c-currently... in... Antarctica... the weather...\Hello! Can't hear you!\Hold it! I can perform! I'll handle it!\Hello! I'm in Antarctica! People of Japan, are you seeing me?\Can you be attractive?\She didn't sugar-coat it! response:	Shut up! Okay, in that case...
context: O-Of course!\I'm c-currently... in... Antarctica... the weather...\Hello! Can't hear you!\Hold it! I can perform! I'll handle it!\Hello! I'm in Antarctica! People of Japan, are you seeing me?\Can you be attractive?\She didn't sugar-coat it!\Shut up! Okay, in that case... response:	Helping Hands Class 2-3 Tamaki Mari
context: I'm c-currently... in... Antarctica... the weather...\Hello! Can't hear you!\Hold it! I can perform! I'll handle it!\Hello! I'm in Antarctica! People of Japan, are you seeing me?\Can you be attractive?\She didn't sugar-coat it!\Shut up! Okay, in that case...\Helping Hands Class 2-3 Tamaki Mari response:	How about this?!
context: Hello! Can't hear you!\Hold it! I can perform! I'll handle it!\Hello! I'm in Antarctica! People of Japan, are you seeing me?\Can you be attractive?\She didn't sugar-coat it!\Shut up! Okay, in that case...\Helping Hands Class 2-3 Tamaki Mari\How about this?! response:	I'll be going now.
context: Hold it! I can perform! I'll handle it!\Hello! I'm in Antarctica! People of Japan, are you seeing me?\Can you be attractive?\She didn't sugar-coat it!\Shut up! Okay, in that case...\Helping Hands Class 2-3 Tamaki Mari\How about this?!\I'll be going now. response:	Huh?
context: Hello! I'm in Antarctica! People of Japan, are you seeing me?\Can you be attractive?\She didn't sugar-coat it!\Shut up! Okay, in that case...\Helping Hands Class 2-3 Tamaki Mari\How about this?!\I'll be going now.\Huh? response:	What are we even doing?
context: Can you be attractive?\She didn't sugar-coat it!\Shut up! Okay, in that case...\Helping Hands Class 2-3 Tamaki Mari\How about this?!\I'll be going now.\Huh?\What are we even doing? response:	Yeah... I want to go, but...
context: She didn't sugar-coat it!\Shut up! Okay, in that case...\Helping Hands Class 2-3 Tamaki Mari\How about this?!\I'll be going now.\Huh?\What are we even doing?\Yeah... I want to go, but... response:	Aina: Can't do that either? Yuri-chan: How about next Sunday?
context: Shut up! Okay, in that case...\Helping Hands Class 2-3 Tamaki Mari\How about this?!\I'll be going now.\Huh?\What are we even doing?\Yeah... I want to go, but...\Aina: Can't do that either? Yuri-chan: How about next Sunday? response:	H-Hey...
context: Helping Hands Class 2-3 Tamaki Mari\How about this?!\I'll be going now.\Huh?\What are we even doing?\Yeah... I want to go, but...\Aina: Can't do that either? Yuri-chan: How about next Sunday?\H-Hey... response:	Yeah?
context: How about this?!\I'll be going now.\Huh?\What are we even doing?\Yeah... I want to go, but...\Aina: Can't do that either? Yuri-chan: How about next Sunday?\H-Hey...\Yeah? response:	Th-This might be coming out of nowhere, but...
context: I'll be going now.\Huh?\What are we even doing?\Yeah... I want to go, but...\Aina: Can't do that either? Yuri-chan: How about next Sunday?\H-Hey...\Yeah?\Th-This might be coming out of nowhere, but... response:	Would you be my friends?
context: Huh?\What are we even doing?\Yeah... I want to go, but...\Aina: Can't do that either? Yuri-chan: How about next Sunday?\H-Hey...\Yeah?\Th-This might be coming out of nowhere, but...\Would you be my friends? response:	Yuri-chan: How about next Sunday?
context: What are we even doing?\Yeah... I want to go, but...\Aina: Can't do that either? Yuri-chan: How about next Sunday?\H-Hey...\Yeah?\Th-This might be coming out of nowhere, but...\Would you be my friends?\Yuri-chan: How about next Sunday? response:	Sorry... I don't know just yet...
context: Yeah... I want to go, but...\Aina: Can't do that either? Yuri-chan: How about next Sunday?\H-Hey...\Yeah?\Th-This might be coming out of nowhere, but...\Would you be my friends?\Yuri-chan: How about next Sunday?\Sorry... I don't know just yet... response:	I told you before, didn't I?
context: Aina: Can't do that either? Yuri-chan: How about next Sunday?\H-Hey...\Yeah?\Th-This might be coming out of nowhere, but...\Would you be my friends?\Yuri-chan: How about next Sunday?\Sorry... I don't know just yet...\I told you before, didn't I? response:	When you reach your second year, you'll get more real time off.
context: H-Hey...\Yeah?\Th-This might be coming out of nowhere, but...\Would you be my friends?\Yuri-chan: How about next Sunday?\Sorry... I don't know just yet...\I told you before, didn't I?\When you reach your second year, you'll get more real time off. response:	Can't you just bear with it for one year?
context: Yeah?\Th-This might be coming out of nowhere, but...\Would you be my friends?\Yuri-chan: How about next Sunday?\Sorry... I don't know just yet...\I told you before, didn't I?\When you reach your second year, you'll get more real time off.\Can't you just bear with it for one year? response:	No.
context: Th-This might be coming out of nowhere, but...\Would you be my friends?\Yuri-chan: How about next Sunday?\Sorry... I don't know just yet...\I told you before, didn't I?\When you reach your second year, you'll get more real time off.\Can't you just bear with it for one year?\No. response:	You don't have to worry. I'll make sure you're in time for entrance exa
context: Would you be my friends?\Yuri-chan: How about next Sunday?\Sorry... I don't know just yet...\I told you before, didn't I?\When you reach your second year, you'll get more real time off.\Can't you just bear with it for one year?\No.\You don't have to worry. I'll make sure you're in time for entrance exa response:	I don't care about entrance exams.
context: Yuri-chan: How about next Sunday?\Sorry... I don't know just yet...\I told you before, didn't I?\When you reach your second year, you'll get more real time off.\Can't you just bear with it for one year?\No.\You don't have to worry. I'll make sure you're in time for entrance exa\I don't care about entrance exams. response:	I'm not going to high school for entrance exams.
context: Sorry... I don't know just yet...\I told you before, didn't I?\When you reach your second year, you'll get more real time off.\Can't you just bear with it for one year?\No.\You don't have to worry. I'll make sure you're in time for entrance exa\I don't care about entrance exams.\I'm not going to high school for entrance exams. response:	And here I thought we'd found a miracle.
context: I told you before, didn't I?\When you reach your second year, you'll get more real time off.\Can't you just bear with it for one year?\No.\You don't have to worry. I'll make sure you're in time for entrance exa\I don't care about entrance exams.\I'm not going to high school for entrance exams.\And here I thought we'd found a miracle. response:	Too bad Shirase can't talk in front of people.
context: When you reach your second year, you'll get more real time off.\Can't you just bear with it for one year?\No.\You don't have to worry. I'll make sure you're in time for entrance exa\I don't care about entrance exams.\I'm not going to high school for entrance exams.\And here I thought we'd found a miracle.\Too bad Shirase can't talk in front of people. response:	But, Hinata-chan, you also couldn't
context: Can't you just bear with it for one year?\No.\You don't have to worry. I'll make sure you're in time for entrance exa\I don't care about entrance exams.\I'm not going to high school for entrance exams.\And here I thought we'd found a miracle.\Too bad Shirase can't talk in front of people.\But, Hinata-chan, you also couldn't response:	You don't have to rub it in!
context: No.\You don't have to worry. I'll make sure you're in time for entrance exa\I don't care about entrance exams.\I'm not going to high school for entrance exams.\And here I thought we'd found a miracle.\Too bad Shirase can't talk in front of people.\But, Hinata-chan, you also couldn't\You don't have to rub it in! response:	That scarred her more than I thought!
context: You don't have to worry. I'll make sure you're in time for entrance exa\I don't care about entrance exams.\I'm not going to high school for entrance exams.\And here I thought we'd found a miracle.\Too bad Shirase can't talk in front of people.\But, Hinata-chan, you also couldn't\You don't have to rub it in!\That scarred her more than I thought! response:	We have it!
context: I don't care about entrance exams.\I'm not going to high school for entrance exams.\And here I thought we'd found a miracle.\Too bad Shirase can't talk in front of people.\But, Hinata-chan, you also couldn't\You don't have to rub it in!\That scarred her more than I thought!\We have it! response:	Have what?
context: I'm not going to high school for entrance exams.\And here I thought we'd found a miracle.\Too bad Shirase can't talk in front of people.\But, Hinata-chan, you also couldn't\You don't have to rub it in!\That scarred her more than I thought!\We have it!\Have what? response:	New Dosanko Promotions Producer, Manager Shiraishi Tamiko
context: And here I thought we'd found a miracle.\Too bad Shirase can't talk in front of people.\But, Hinata-chan, you also couldn't\You don't have to rub it in!\That scarred her more than I thought!\We have it!\Have what?\New Dosanko Promotions Producer, Manager Shiraishi Tamiko response:	Convince her?
context: Too bad Shirase can't talk in front of people.\But, Hinata-chan, you also couldn't\You don't have to rub it in!\That scarred her more than I thought!\We have it!\Have what?\New Dosanko Promotions Producer, Manager Shiraishi Tamiko\Convince her? response:	Yes. Apparently the girl is refusing to go.
context: But, Hinata-chan, you also couldn't\You don't have to rub it in!\That scarred her more than I thought!\We have it!\Have what?\New Dosanko Promotions Producer, Manager Shiraishi Tamiko\Convince her?\Yes. Apparently the girl is refusing to go. response:	If you can convince her to go,
context: You don't have to rub it in!\That scarred her more than I thought!\We have it!\Have what?\New Dosanko Promotions Producer, Manager Shiraishi Tamiko\Convince her?\Yes. Apparently the girl is refusing to go.\If you can convince her to go, response:	I'll recommend to the production company that you go as her companions.
context: That scarred her more than I thought!\We have it!\Have what?\New Dosanko Promotions Producer, Manager Shiraishi Tamiko\Convince her?\Yes. Apparently the girl is refusing to go.\If you can convince her to go,\I'll recommend to the production company that you go as her companions. response:	What do you think?
context: We have it!\Have what?\New Dosanko Promotions Producer, Manager Shiraishi Tamiko\Convince her?\Yes. Apparently the girl is refusing to go.\If you can convince her to go,\I'll recommend to the production company that you go as her companions.\What do you think? response:	In other words, if we can get her to go...
context: Have what?\New Dosanko Promotions Producer, Manager Shiraishi Tamiko\Convince her?\Yes. Apparently the girl is refusing to go.\If you can convince her to go,\I'll recommend to the production company that you go as her companions.\What do you think?\In other words, if we can get her to go... response:	I see!
context: New Dosanko Promotions Producer, Manager Shiraishi Tamiko\Convince her?\Yes. Apparently the girl is refusing to go.\If you can convince her to go,\I'll recommend to the production company that you go as her companions.\What do you think?\In other words, if we can get her to go...\I see! response:	But Yuzuki-chan left, didn't she?
context: Convince her?\Yes. Apparently the girl is refusing to go.\If you can convince her to go,\I'll recommend to the production company that you go as her companions.\What do you think?\In other words, if we can get her to go...\I see!\But Yuzuki-chan left, didn't she? response:	Actually, she has a job in Tokyo on Sunday,
context: Yes. Apparently the girl is refusing to go.\If you can convince her to go,\I'll recommend to the production company that you go as her companions.\What do you think?\In other words, if we can get her to go...\I see!\But Yuzuki-chan left, didn't she?\Actually, she has a job in Tokyo on Sunday, response:	so she'll be staying in a hotel until Saturday!
context: If you can convince her to go,\I'll recommend to the production company that you go as her companions.\What do you think?\In other words, if we can get her to go...\I see!\But Yuzuki-chan left, didn't she?\Actually, she has a job in Tokyo on Sunday,\so she'll be staying in a hotel until Saturday! response:	Friday, Saturday... two days?
context: I'll recommend to the production company that you go as her companions.\What do you think?\In other words, if we can get her to go...\I see!\But Yuzuki-chan left, didn't she?\Actually, she has a job in Tokyo on Sunday,\so she'll be staying in a hotel until Saturday!\Friday, Saturday... two days? response:	Which means there's no time to waste!
context: What do you think?\In other words, if we can get her to go...\I see!\But Yuzuki-chan left, didn't she?\Actually, she has a job in Tokyo on Sunday,\so she'll be staying in a hotel until Saturday!\Friday, Saturday... two days?\Which means there's no time to waste! response:	Let's go!
context: In other words, if we can get her to go...\I see!\But Yuzuki-chan left, didn't she?\Actually, she has a job in Tokyo on Sunday,\so she'll be staying in a hotel until Saturday!\Friday, Saturday... two days?\Which means there's no time to waste!\Let's go! response:	It's after ten.
context: I see!\But Yuzuki-chan left, didn't she?\Actually, she has a job in Tokyo on Sunday,\so she'll be staying in a hotel until Saturday!\Friday, Saturday... two days?\Which means there's no time to waste!\Let's go!\It's after ten. response:	Then tomorrow morning, before we go to school. Five o'clock?
context: But Yuzuki-chan left, didn't she?\Actually, she has a job in Tokyo on Sunday,\so she'll be staying in a hotel until Saturday!\Friday, Saturday... two days?\Which means there's no time to waste!\Let's go!\It's after ten.\Then tomorrow morning, before we go to school. Five o'clock? response:	Wait, wait. Are we gonna film her waking up?
context: Actually, she has a job in Tokyo on Sunday,\so she'll be staying in a hotel until Saturday!\Friday, Saturday... two days?\Which means there's no time to waste!\Let's go!\It's after ten.\Then tomorrow morning, before we go to school. Five o'clock?\Wait, wait. Are we gonna film her waking up? response:	Six, then? Seven? When should we do it?!
context: so she'll be staying in a hotel until Saturday!\Friday, Saturday... two days?\Which means there's no time to waste!\Let's go!\It's after ten.\Then tomorrow morning, before we go to school. Five o'clock?\Wait, wait. Are we gonna film her waking up?\Six, then? Seven? When should we do it?! response:	Calm down.
context: Friday, Saturday... two days?\Which means there's no time to waste!\Let's go!\It's after ten.\Then tomorrow morning, before we go to school. Five o'clock?\Wait, wait. Are we gonna film her waking up?\Six, then? Seven? When should we do it?!\Calm down. response:	If she's that set against it,
context: Which means there's no time to waste!\Let's go!\It's after ten.\Then tomorrow morning, before we go to school. Five o'clock?\Wait, wait. Are we gonna film her waking up?\Six, then? Seven? When should we do it?!\Calm down.\If she's that set against it, response:	she must have a pretty serious reason not to want to go.
context: Let's go!\It's after ten.\Then tomorrow morning, before we go to school. Five o'clock?\Wait, wait. Are we gonna film her waking up?\Six, then? Seven? When should we do it?!\Calm down.\If she's that set against it,\she must have a pretty serious reason not to want to go. response:	I thought she just said she didn't like the cold.
context: It's after ten.\Then tomorrow morning, before we go to school. Five o'clock?\Wait, wait. Are we gonna film her waking up?\Six, then? Seven? When should we do it?!\Calm down.\If she's that set against it,\she must have a pretty serious reason not to want to go.\I thought she just said she didn't like the cold. response:	She said that pretty bluntly.
context: Then tomorrow morning, before we go to school. Five o'clock?\Wait, wait. Are we gonna film her waking up?\Six, then? Seven? When should we do it?!\Calm down.\If she's that set against it,\she must have a pretty serious reason not to want to go.\I thought she just said she didn't like the cold.\She said that pretty bluntly. response:	That means she probably has a deeper reason not to want to go.
context: Wait, wait. Are we gonna film her waking up?\Six, then? Seven? When should we do it?!\Calm down.\If she's that set against it,\she must have a pretty serious reason not to want to go.\I thought she just said she didn't like the cold.\She said that pretty bluntly.\That means she probably has a deeper reason not to want to go. response:	Hinata-chan, you're so mature!
context: Six, then? Seven? When should we do it?!\Calm down.\If she's that set against it,\she must have a pretty serious reason not to want to go.\I thought she just said she didn't like the cold.\She said that pretty bluntly.\That means she probably has a deeper reason not to want to go.\Hinata-chan, you're so mature! response:	So, what's the reason?
context: Calm down.\If she's that set against it,\she must have a pretty serious reason not to want to go.\I thought she just said she didn't like the cold.\She said that pretty bluntly.\That means she probably has a deeper reason not to want to go.\Hinata-chan, you're so mature!\So, what's the reason? response:	Well, I don't know that yet.
context: If she's that set against it,\she must have a pretty serious reason not to want to go.\I thought she just said she didn't like the cold.\She said that pretty bluntly.\That means she probably has a deeper reason not to want to go.\Hinata-chan, you're so mature!\So, what's the reason?\Well, I don't know that yet. response:	But asking about that should probably be our first task.
context: she must have a pretty serious reason not to want to go.\I thought she just said she didn't like the cold.\She said that pretty bluntly.\That means she probably has a deeper reason not to want to go.\Hinata-chan, you're so mature!\So, what's the reason?\Well, I don't know that yet.\But asking about that should probably be our first task. response:	A reason, huh?
context: I thought she just said she didn't like the cold.\She said that pretty bluntly.\That means she probably has a deeper reason not to want to go.\Hinata-chan, you're so mature!\So, what's the reason?\Well, I don't know that yet.\But asking about that should probably be our first task.\A reason, huh? response:	Uh-oh! See you later!
context: She said that pretty bluntly.\That means she probably has a deeper reason not to want to go.\Hinata-chan, you're so mature!\So, what's the reason?\Well, I don't know that yet.\But asking about that should probably be our first task.\A reason, huh?\Uh-oh! See you later! response:	Sure!
context: That means she probably has a deeper reason not to want to go.\Hinata-chan, you're so mature!\So, what's the reason?\Well, I don't know that yet.\But asking about that should probably be our first task.\A reason, huh?\Uh-oh! See you later!\Sure! response:	See you tomorrow!
context: Hinata-chan, you're so mature!\So, what's the reason?\Well, I don't know that yet.\But asking about that should probably be our first task.\A reason, huh?\Uh-oh! See you later!\Sure!\See you tomorrow! response:	What's wrong?
context: So, what's the reason?\Well, I don't know that yet.\But asking about that should probably be our first task.\A reason, huh?\Uh-oh! See you later!\Sure!\See you tomorrow!\What's wrong? response:	Self-loathing.
context: Well, I don't know that yet.\But asking about that should probably be our first task.\A reason, huh?\Uh-oh! See you later!\Sure!\See you tomorrow!\What's wrong?\Self-loathing. response:	I was just thinking, you're probably right, Hinata.
context: But asking about that should probably be our first task.\A reason, huh?\Uh-oh! See you later!\Sure!\See you tomorrow!\What's wrong?\Self-loathing.\I was just thinking, you're probably right, Hinata. response:	At the end of the day, I've mainly been prioritizing my own feelings.
context: A reason, huh?\Uh-oh! See you later!\Sure!\See you tomorrow!\What's wrong?\Self-loathing.\I was just thinking, you're probably right, Hinata.\At the end of the day, I've mainly been prioritizing my own feelings. response:	I haven't been thinking about anyone else.
context: Uh-oh! See you later!\Sure!\See you tomorrow!\What's wrong?\Self-loathing.\I was just thinking, you're probably right, Hinata.\At the end of the day, I've mainly been prioritizing my own feelings.\I haven't been thinking about anyone else. response:	You're just realizing that?
context: Sure!\See you tomorrow!\What's wrong?\Self-loathing.\I was just thinking, you're probably right, Hinata.\At the end of the day, I've mainly been prioritizing my own feelings.\I haven't been thinking about anyone else.\You're just realizing that? response:	Just kidding.
context: See you tomorrow!\What's wrong?\Self-loathing.\I was just thinking, you're probably right, Hinata.\At the end of the day, I've mainly been prioritizing my own feelings.\I haven't been thinking about anyone else.\You're just realizing that?\Just kidding. response:	As they say, it's a thin line between self-assertion and selfishness.
context: What's wrong?\Self-loathing.\I was just thinking, you're probably right, Hinata.\At the end of the day, I've mainly been prioritizing my own feelings.\I haven't been thinking about anyone else.\You're just realizing that?\Just kidding.\As they say, it's a thin line between self-assertion and selfishness. response:	Who says that?
context: Self-loathing.\I was just thinking, you're probably right, Hinata.\At the end of the day, I've mainly been prioritizing my own feelings.\I haven't been thinking about anyone else.\You're just realizing that?\Just kidding.\As they say, it's a thin line between self-assertion and selfishness.\Who says that? response:	Working today?
context: I was just thinking, you're probably right, Hinata.\At the end of the day, I've mainly been prioritizing my own feelings.\I haven't been thinking about anyone else.\You're just realizing that?\Just kidding.\As they say, it's a thin line between self-assertion and selfishness.\Who says that?\Working today? response:	Nope!
context: At the end of the day, I've mainly been prioritizing my own feelings.\I haven't been thinking about anyone else.\You're just realizing that?\Just kidding.\As they say, it's a thin line between self-assertion and selfishness.\Who says that?\Working today?\Nope! response:	Want to grab a bite, then?
context: I haven't been thinking about anyone else.\You're just realizing that?\Just kidding.\As they say, it's a thin line between self-assertion and selfishness.\Who says that?\Working today?\Nope!\Want to grab a bite, then? response:	Antarctica, huh?
context: You're just realizing that?\Just kidding.\As they say, it's a thin line between self-assertion and selfishness.\Who says that?\Working today?\Nope!\Want to grab a bite, then?\Antarctica, huh? response:	Did you work that all out?
context: Just kidding.\As they say, it's a thin line between self-assertion and selfishness.\Who says that?\Working today?\Nope!\Want to grab a bite, then?\Antarctica, huh?\Did you work that all out? response:	Well... We're not sure yet, but...
context: As they say, it's a thin line between self-assertion and selfishness.\Who says that?\Working today?\Nope!\Want to grab a bite, then?\Antarctica, huh?\Did you work that all out?\Well... We're not sure yet, but... response:	Sorry. Another time.
context: Who says that?\Working today?\Nope!\Want to grab a bite, then?\Antarctica, huh?\Did you work that all out?\Well... We're not sure yet, but...\Sorry. Another time. response:	Here?
context: Working today?\Nope!\Want to grab a bite, then?\Antarctica, huh?\Did you work that all out?\Well... We're not sure yet, but...\Sorry. Another time.\Here? response:	Room 305.
context: Nope!\Want to grab a bite, then?\Antarctica, huh?\Did you work that all out?\Well... We're not sure yet, but...\Sorry. Another time.\Here?\Room 305. response:	What should we do? T-T-Tail her?
context: Want to grab a bite, then?\Antarctica, huh?\Did you work that all out?\Well... We're not sure yet, but...\Sorry. Another time.\Here?\Room 305.\What should we do? T-T-Tail her? response:	What good would that do?
context: Antarctica, huh?\Did you work that all out?\Well... We're not sure yet, but...\Sorry. Another time.\Here?\Room 305.\What should we do? T-T-Tail her?\What good would that do? response:	A coincidence. Just pretend it's a coincidence.
context: Did you work that all out?\Well... We're not sure yet, but...\Sorry. Another time.\Here?\Room 305.\What should we do? T-T-Tail her?\What good would that do?\A coincidence. Just pretend it's a coincidence. response:	Huh? Were you staying here?
context: Well... We're not sure yet, but...\Sorry. Another time.\Here?\Room 305.\What should we do? T-T-Tail her?\What good would that do?\A coincidence. Just pretend it's a coincidence.\Huh? Were you staying here? response:	Where are you off to?
context: Sorry. Another time.\Here?\Room 305.\What should we do? T-T-Tail her?\What good would that do?\A coincidence. Just pretend it's a coincidence.\Huh? Were you staying here?\Where are you off to? response:	Um...
context: Here?\Room 305.\What should we do? T-T-Tail her?\What good would that do?\A coincidence. Just pretend it's a coincidence.\Huh? Were you staying here?\Where are you off to?\Um... response:	Math I
context: Room 305.\What should we do? T-T-Tail her?\What good would that do?\A coincidence. Just pretend it's a coincidence.\Huh? Were you staying here?\Where are you off to?\Um...\Math I response:	Studying?
context: What should we do? T-T-Tail her?\What good would that do?\A coincidence. Just pretend it's a coincidence.\Huh? Were you staying here?\Where are you off to?\Um...\Math I\Studying? response:	Yeah. I need to catch up on the classes I miss.
context: What good would that do?\A coincidence. Just pretend it's a coincidence.\Huh? Were you staying here?\Where are you off to?\Um...\Math I\Studying?\Yeah. I need to catch up on the classes I miss. response:	This place has free refills, and it's open late.
context: A coincidence. Just pretend it's a coincidence.\Huh? Were you staying here?\Where are you off to?\Um...\Math I\Studying?\Yeah. I need to catch up on the classes I miss.\This place has free refills, and it's open late. response:	You're so responsible...
context: Huh? Were you staying here?\Where are you off to?\Um...\Math I\Studying?\Yeah. I need to catch up on the classes I miss.\This place has free refills, and it's open late.\You're so responsible... response:	It's about Antarctica, right?
context: Where are you off to?\Um...\Math I\Studying?\Yeah. I need to catch up on the classes I miss.\This place has free refills, and it's open late.\You're so responsible...\It's about Antarctica, right? response:	I'm sorry, I haven't made any more progress.
context: Um...\Math I\Studying?\Yeah. I need to catch up on the classes I miss.\This place has free refills, and it's open late.\You're so responsible...\It's about Antarctica, right?\I'm sorry, I haven't made any more progress. response:	Y-Yeah, we know that, but...
context: Math I\Studying?\Yeah. I need to catch up on the classes I miss.\This place has free refills, and it's open late.\You're so responsible...\It's about Antarctica, right?\I'm sorry, I haven't made any more progress.\Y-Yeah, we know that, but... response:	There's something else we wanted to ask you.
