context: Which way? response:	The left. A little more to the left.
context: P - please... T - this is the only thing l'll ever ask for myself...\But Goku, this is the guy that killed our friends,\and tried to kill everyone else in the world!\If we let him go now, he's certain to recover his strength, and come back here!\Y - you're probably right...\If you're thinking that maybe he'll have a change of heart, the way Piccolo did,\then you're greatly mistaken! He's not that kind of guy!\l know that... and I know that Vegeta there has incredible strength... response:	S - still... I ain't able to say this too well...
context: But Goku, this is the guy that killed our friends,\and tried to kill everyone else in the world!\If we let him go now, he's certain to recover his strength, and come back here!\Y - you're probably right...\If you're thinking that maybe he'll have a change of heart, the way Piccolo did,\then you're greatly mistaken! He's not that kind of guy!\l know that... and I know that Vegeta there has incredible strength...\S - still... I ain't able to say this too well... response:	but when I saw him nearly dead there, I thought to myself...
context: and tried to kill everyone else in the world!\If we let him go now, he's certain to recover his strength, and come back here!\Y - you're probably right...\If you're thinking that maybe he'll have a change of heart, the way Piccolo did,\then you're greatly mistaken! He's not that kind of guy!\l know that... and I know that Vegeta there has incredible strength...\S - still... I ain't able to say this too well...\but when I saw him nearly dead there, I thought to myself... response:	What a waste.
context: If we let him go now, he's certain to recover his strength, and come back here!\Y - you're probably right...\If you're thinking that maybe he'll have a change of heart, the way Piccolo did,\then you're greatly mistaken! He's not that kind of guy!\l know that... and I know that Vegeta there has incredible strength...\S - still... I ain't able to say this too well...\but when I saw him nearly dead there, I thought to myself...\What a waste. response:	What a waste?
context: Y - you're probably right...\If you're thinking that maybe he'll have a change of heart, the way Piccolo did,\then you're greatly mistaken! He's not that kind of guy!\l know that... and I know that Vegeta there has incredible strength...\S - still... I ain't able to say this too well...\but when I saw him nearly dead there, I thought to myself...\What a waste.\What a waste? response:	After training at Kaio-sama's place, l thought I had reached my pinnacle...
context: If you're thinking that maybe he'll have a change of heart, the way Piccolo did,\then you're greatly mistaken! He's not that kind of guy!\l know that... and I know that Vegeta there has incredible strength...\S - still... I ain't able to say this too well...\but when I saw him nearly dead there, I thought to myself...\What a waste.\What a waste?\After training at Kaio-sama's place, l thought I had reached my pinnacle... response:	But that Vegeta guy there has done far better than I have...
context: then you're greatly mistaken! He's not that kind of guy!\l know that... and I know that Vegeta there has incredible strength...\S - still... I ain't able to say this too well...\but when I saw him nearly dead there, I thought to myself...\What a waste.\What a waste?\After training at Kaio-sama's place, l thought I had reached my pinnacle...\But that Vegeta guy there has done far better than I have... response:	lt surprised me... To be honest, l was overwhelmed...
context: l know that... and I know that Vegeta there has incredible strength...\S - still... I ain't able to say this too well...\but when I saw him nearly dead there, I thought to myself...\What a waste.\What a waste?\After training at Kaio-sama's place, l thought I had reached my pinnacle...\But that Vegeta guy there has done far better than I have...\lt surprised me... To be honest, l was overwhelmed... response:	But somewhere within my heart, l was happy, and excited...
context: S - still... I ain't able to say this too well...\but when I saw him nearly dead there, I thought to myself...\What a waste.\What a waste?\After training at Kaio-sama's place, l thought I had reached my pinnacle...\But that Vegeta guy there has done far better than I have...\lt surprised me... To be honest, l was overwhelmed...\But somewhere within my heart, l was happy, and excited... response:	That must be because l'm a Saiyan too...
context: but when I saw him nearly dead there, I thought to myself...\What a waste.\What a waste?\After training at Kaio-sama's place, l thought I had reached my pinnacle...\But that Vegeta guy there has done far better than I have...\lt surprised me... To be honest, l was overwhelmed...\But somewhere within my heart, l was happy, and excited...\That must be because l'm a Saiyan too... response:	Whenever I see an amazing guy like that, my heart leaps...
context: What a waste.\What a waste?\After training at Kaio-sama's place, l thought I had reached my pinnacle...\But that Vegeta guy there has done far better than I have...\lt surprised me... To be honest, l was overwhelmed...\But somewhere within my heart, l was happy, and excited...\That must be because l'm a Saiyan too...\Whenever I see an amazing guy like that, my heart leaps... response:	l want to train even more, and fight him again...
context: What a waste?\After training at Kaio-sama's place, l thought I had reached my pinnacle...\But that Vegeta guy there has done far better than I have...\lt surprised me... To be honest, l was overwhelmed...\But somewhere within my heart, l was happy, and excited...\That must be because l'm a Saiyan too...\Whenever I see an amazing guy like that, my heart leaps...\l want to train even more, and fight him again... response:	This is the guy who killed Yamucha- san, Tenshinhan, and Chaozu!
context: After training at Kaio-sama's place, l thought I had reached my pinnacle...\But that Vegeta guy there has done far better than I have...\lt surprised me... To be honest, l was overwhelmed...\But somewhere within my heart, l was happy, and excited...\That must be because l'm a Saiyan too...\Whenever I see an amazing guy like that, my heart leaps...\l want to train even more, and fight him again...\This is the guy who killed Yamucha- san, Tenshinhan, and Chaozu! response:	l know it's not the right thing to do... but please... grant me my selfish request...
context: But that Vegeta guy there has done far better than I have...\lt surprised me... To be honest, l was overwhelmed...\But somewhere within my heart, l was happy, and excited...\That must be because l'm a Saiyan too...\Whenever I see an amazing guy like that, my heart leaps...\l want to train even more, and fight him again...\This is the guy who killed Yamucha- san, Tenshinhan, and Chaozu!\l know it's not the right thing to do... but please... grant me my selfish request... response:	Let me have... another chance to fight him!
context: lt surprised me... To be honest, l was overwhelmed...\But somewhere within my heart, l was happy, and excited...\That must be because l'm a Saiyan too...\Whenever I see an amazing guy like that, my heart leaps...\l want to train even more, and fight him again...\This is the guy who killed Yamucha- san, Tenshinhan, and Chaozu!\l know it's not the right thing to do... but please... grant me my selfish request...\Let me have... another chance to fight him! response:	All right. You've got the right to ask for something for yourself.
context: But somewhere within my heart, l was happy, and excited...\That must be because l'm a Saiyan too...\Whenever I see an amazing guy like that, my heart leaps...\l want to train even more, and fight him again...\This is the guy who killed Yamucha- san, Tenshinhan, and Chaozu!\l know it's not the right thing to do... but please... grant me my selfish request...\Let me have... another chance to fight him!\All right. You've got the right to ask for something for yourself. response:	It's thanks to you that we even have the earth at all now, Goku.
context: That must be because l'm a Saiyan too...\Whenever I see an amazing guy like that, my heart leaps...\l want to train even more, and fight him again...\This is the guy who killed Yamucha- san, Tenshinhan, and Chaozu!\l know it's not the right thing to do... but please... grant me my selfish request...\Let me have... another chance to fight him!\All right. You've got the right to ask for something for yourself.\It's thanks to you that we even have the earth at all now, Goku. response:	But remember, Goku...
context: Whenever I see an amazing guy like that, my heart leaps...\l want to train even more, and fight him again...\This is the guy who killed Yamucha- san, Tenshinhan, and Chaozu!\l know it's not the right thing to do... but please... grant me my selfish request...\Let me have... another chance to fight him!\All right. You've got the right to ask for something for yourself.\It's thanks to you that we even have the earth at all now, Goku.\But remember, Goku... response:	Next time, you take him down with devastating power!
context: l want to train even more, and fight him again...\This is the guy who killed Yamucha- san, Tenshinhan, and Chaozu!\l know it's not the right thing to do... but please... grant me my selfish request...\Let me have... another chance to fight him!\All right. You've got the right to ask for something for yourself.\It's thanks to you that we even have the earth at all now, Goku.\But remember, Goku...\Next time, you take him down with devastating power! response:	Yeah, I sure will...
context: This is the guy who killed Yamucha- san, Tenshinhan, and Chaozu!\l know it's not the right thing to do... but please... grant me my selfish request...\Let me have... another chance to fight him!\All right. You've got the right to ask for something for yourself.\It's thanks to you that we even have the earth at all now, Goku.\But remember, Goku...\Next time, you take him down with devastating power!\Yeah, I sure will... response:	R- remember this well, you trash... There aren't going to be any more miracles...
context: l know it's not the right thing to do... but please... grant me my selfish request...\Let me have... another chance to fight him!\All right. You've got the right to ask for something for yourself.\It's thanks to you that we even have the earth at all now, Goku.\But remember, Goku...\Next time, you take him down with devastating power!\Yeah, I sure will...\R- remember this well, you trash... There aren't going to be any more miracles... response:	Next time we meet, you're all dead!
context: Let me have... another chance to fight him!\All right. You've got the right to ask for something for yourself.\It's thanks to you that we even have the earth at all now, Goku.\But remember, Goku...\Next time, you take him down with devastating power!\Yeah, I sure will...\R- remember this well, you trash... There aren't going to be any more miracles...\Next time we meet, you're all dead! response:	Be sure to enjoy yourselves to the fullest until then...
context: All right. You've got the right to ask for something for yourself.\It's thanks to you that we even have the earth at all now, Goku.\But remember, Goku...\Next time, you take him down with devastating power!\Yeah, I sure will...\R- remember this well, you trash... There aren't going to be any more miracles...\Next time we meet, you're all dead!\Be sure to enjoy yourselves to the fullest until then... response:	For now, the danger of the earth's extinction has passed.
context: It's thanks to you that we even have the earth at all now, Goku.\But remember, Goku...\Next time, you take him down with devastating power!\Yeah, I sure will...\R- remember this well, you trash... There aren't going to be any more miracles...\Next time we meet, you're all dead!\Be sure to enjoy yourselves to the fullest until then...\For now, the danger of the earth's extinction has passed. response:	Or has it? And what is this root of evil that Kaio spoke of?
