context: Pathetic! response:	Fairy Tail used to be on top! What the hell happened?! Every last one of them...
context: Well, I thought I'd leave it to the young'uns this time,\but after watching War Cry's pitiful match,\my man's soul couldn't stay silent!\So under the reserve member provision, I joined the team.\My soul is trembling with excitement.\If we get to clash tomorrow or after,\I'd like to settle things from that one time.\My soul is always... response:	I was hopin' for a little more than that, Erza!
context: but after watching War Cry's pitiful match,\my man's soul couldn't stay silent!\So under the reserve member provision, I joined the team.\My soul is trembling with excitement.\If we get to clash tomorrow or after,\I'd like to settle things from that one time.\My soul is always...\I was hopin' for a little more than that, Erza! response:	What's his deal?!
context: my man's soul couldn't stay silent!\So under the reserve member provision, I joined the team.\My soul is trembling with excitement.\If we get to clash tomorrow or after,\I'd like to settle things from that one time.\My soul is always...\I was hopin' for a little more than that, Erza!\What's his deal?! response:	He's an S Class wizard from Quatro Cerberus.
context: So under the reserve member provision, I joined the team.\My soul is trembling with excitement.\If we get to clash tomorrow or after,\I'd like to settle things from that one time.\My soul is always...\I was hopin' for a little more than that, Erza!\What's his deal?!\He's an S Class wizard from Quatro Cerberus. response:	We used to run into each other a lot while out on jobs.
context: My soul is trembling with excitement.\If we get to clash tomorrow or after,\I'd like to settle things from that one time.\My soul is always...\I was hopin' for a little more than that, Erza!\What's his deal?!\He's an S Class wizard from Quatro Cerberus.\We used to run into each other a lot while out on jobs. response:	I know his strength very well.
context: If we get to clash tomorrow or after,\I'd like to settle things from that one time.\My soul is always...\I was hopin' for a little more than that, Erza!\What's his deal?!\He's an S Class wizard from Quatro Cerberus.\We used to run into each other a lot while out on jobs.\I know his strength very well. response:	The Drunk Falcon...
context: I'd like to settle things from that one time.\My soul is always...\I was hopin' for a little more than that, Erza!\What's his deal?!\He's an S Class wizard from Quatro Cerberus.\We used to run into each other a lot while out on jobs.\I know his strength very well.\The Drunk Falcon... response:	Drunken Bursting Palm Bacchus.
context: My soul is always...\I was hopin' for a little more than that, Erza!\What's his deal?!\He's an S Class wizard from Quatro Cerberus.\We used to run into each other a lot while out on jobs.\I know his strength very well.\The Drunk Falcon...\Drunken Bursting Palm Bacchus. response:	We've fought several times, but never to a decisive conclusion.
context: I was hopin' for a little more than that, Erza!\What's his deal?!\He's an S Class wizard from Quatro Cerberus.\We used to run into each other a lot while out on jobs.\I know his strength very well.\The Drunk Falcon...\Drunken Bursting Palm Bacchus.\We've fought several times, but never to a decisive conclusion. response:	He's as strong as you, Erza?!
context: What's his deal?!\He's an S Class wizard from Quatro Cerberus.\We used to run into each other a lot while out on jobs.\I know his strength very well.\The Drunk Falcon...\Drunken Bursting Palm Bacchus.\We've fought several times, but never to a decisive conclusion.\He's as strong as you, Erza?! response:	What, that was a long time ago!
context: He's an S Class wizard from Quatro Cerberus.\We used to run into each other a lot while out on jobs.\I know his strength very well.\The Drunk Falcon...\Drunken Bursting Palm Bacchus.\We've fought several times, but never to a decisive conclusion.\He's as strong as you, Erza?!\What, that was a long time ago! response:	There's no way he could beat Erza now!
context: We used to run into each other a lot while out on jobs.\I know his strength very well.\The Drunk Falcon...\Drunken Bursting Palm Bacchus.\We've fought several times, but never to a decisive conclusion.\He's as strong as you, Erza?!\What, that was a long time ago!\There's no way he could beat Erza now! response:	You don't even know that Erza's gonna fight!
context: I know his strength very well.\The Drunk Falcon...\Drunken Bursting Palm Bacchus.\We've fought several times, but never to a decisive conclusion.\He's as strong as you, Erza?!\What, that was a long time ago!\There's no way he could beat Erza now!\You don't even know that Erza's gonna fight! response:	I could take him on, too...
context: The Drunk Falcon...\Drunken Bursting Palm Bacchus.\We've fought several times, but never to a decisive conclusion.\He's as strong as you, Erza?!\What, that was a long time ago!\There's no way he could beat Erza now!\You don't even know that Erza's gonna fight!\I could take him on, too... response:	What did you see?
context: Drunken Bursting Palm Bacchus.\We've fought several times, but never to a decisive conclusion.\He's as strong as you, Erza?!\What, that was a long time ago!\There's no way he could beat Erza now!\You don't even know that Erza's gonna fight!\I could take him on, too...\What did you see? response:	Like always, it was just fragments, but I saw...
context: We've fought several times, but never to a decisive conclusion.\He's as strong as you, Erza?!\What, that was a long time ago!\There's no way he could beat Erza now!\You don't even know that Erza's gonna fight!\I could take him on, too...\What did you see?\Like always, it was just fragments, but I saw... response:	A white knight...
context: He's as strong as you, Erza?!\What, that was a long time ago!\There's no way he could beat Erza now!\You don't even know that Erza's gonna fight!\I could take him on, too...\What did you see?\Like always, it was just fragments, but I saw...\A white knight... response:	A giant magic circle...
context: What, that was a long time ago!\There's no way he could beat Erza now!\You don't even know that Erza's gonna fight!\I could take him on, too...\What did you see?\Like always, it was just fragments, but I saw...\A white knight...\A giant magic circle... response:	Anything else?
context: There's no way he could beat Erza now!\You don't even know that Erza's gonna fight!\I could take him on, too...\What did you see?\Like always, it was just fragments, but I saw...\A white knight...\A giant magic circle...\Anything else? response:	A sight that I couldn't believe...
context: You don't even know that Erza's gonna fight!\I could take him on, too...\What did you see?\Like always, it was just fragments, but I saw...\A white knight...\A giant magic circle...\Anything else?\A sight that I couldn't believe... response:	What was it?
context: I could take him on, too...\What did you see?\Like always, it was just fragments, but I saw...\A white knight...\A giant magic circle...\Anything else?\A sight that I couldn't believe...\What was it? response:	Mercurius collapsing...
context: What did you see?\Like always, it was just fragments, but I saw...\A white knight...\A giant magic circle...\Anything else?\A sight that I couldn't believe...\What was it?\Mercurius collapsing... response:	It was Lucy...
context: Like always, it was just fragments, but I saw...\A white knight...\A giant magic circle...\Anything else?\A sight that I couldn't believe...\What was it?\Mercurius collapsing...\It was Lucy... response:	And now, what you've all been waiting for, the second day of the Grand Magic Games has begun!
context: A white knight...\A giant magic circle...\Anything else?\A sight that I couldn't believe...\What was it?\Mercurius collapsing...\It was Lucy...\And now, what you've all been waiting for, the second day of the Grand Magic Games has begun! response:	Our guest on this second day is renowned reporter for the Weekly Sorcerer, Jason-san!
context: A giant magic circle...\Anything else?\A sight that I couldn't believe...\What was it?\Mercurius collapsing...\It was Lucy...\And now, what you've all been waiting for, the second day of the Grand Magic Games has begun!\Our guest on this second day is renowned reporter for the Weekly Sorcerer, Jason-san! response:	Cool!
context: Anything else?\A sight that I couldn't believe...\What was it?\Mercurius collapsing...\It was Lucy...\And now, what you've all been waiting for, the second day of the Grand Magic Games has begun!\Our guest on this second day is renowned reporter for the Weekly Sorcerer, Jason-san!\Cool! response:	Okay, the competition part has already begun!
context: A sight that I couldn't believe...\What was it?\Mercurius collapsing...\It was Lucy...\And now, what you've all been waiting for, the second day of the Grand Magic Games has begun!\Our guest on this second day is renowned reporter for the Weekly Sorcerer, Jason-san!\Cool!\Okay, the competition part has already begun! response:	And its name is... Chariot!
context: What was it?\Mercurius collapsing...\It was Lucy...\And now, what you've all been waiting for, the second day of the Grand Magic Games has begun!\Our guest on this second day is renowned reporter for the Weekly Sorcerer, Jason-san!\Cool!\Okay, the competition part has already begun!\And its name is... Chariot! response:	This competition takes place on top of a line of vehicles,
context: Mercurius collapsing...\It was Lucy...\And now, what you've all been waiting for, the second day of the Grand Magic Games has begun!\Our guest on this second day is renowned reporter for the Weekly Sorcerer, Jason-san!\Cool!\Okay, the competition part has already begun!\And its name is... Chariot!\This competition takes place on top of a line of vehicles, response:	with the idea being to reach the goal without falling off!
context: It was Lucy...\And now, what you've all been waiting for, the second day of the Grand Magic Games has begun!\Our guest on this second day is renowned reporter for the Weekly Sorcerer, Jason-san!\Cool!\Okay, the competition part has already begun!\And its name is... Chariot!\This competition takes place on top of a line of vehicles,\with the idea being to reach the goal without falling off! response:	As the vehicles are always moving,
context: And now, what you've all been waiting for, the second day of the Grand Magic Games has begun!\Our guest on this second day is renowned reporter for the Weekly Sorcerer, Jason-san!\Cool!\Okay, the competition part has already begun!\And its name is... Chariot!\This competition takes place on top of a line of vehicles,\with the idea being to reach the goal without falling off!\As the vehicles are always moving, response:	just one moment of carelessness could lead to a misstep!
context: Our guest on this second day is renowned reporter for the Weekly Sorcerer, Jason-san!\Cool!\Okay, the competition part has already begun!\And its name is... Chariot!\This competition takes place on top of a line of vehicles,\with the idea being to reach the goal without falling off!\As the vehicles are always moving,\just one moment of carelessness could lead to a misstep! response:	The vehicles will wend their way around the sightseeing spots of Crocus,
context: Cool!\Okay, the competition part has already begun!\And its name is... Chariot!\This competition takes place on top of a line of vehicles,\with the idea being to reach the goal without falling off!\As the vehicles are always moving,\just one moment of carelessness could lead to a misstep!\The vehicles will wend their way around the sightseeing spots of Crocus, response:	but which team will arrive here at Domus Flau?!
context: Okay, the competition part has already begun!\And its name is... Chariot!\This competition takes place on top of a line of vehicles,\with the idea being to reach the goal without falling off!\As the vehicles are always moving,\just one moment of carelessness could lead to a misstep!\The vehicles will wend their way around the sightseeing spots of Crocus,\but which team will arrive here at Domus Flau?! response:	Everyone in the stadium, you can watch the race here on Lacrima Vision!
context: And its name is... Chariot!\This competition takes place on top of a line of vehicles,\with the idea being to reach the goal without falling off!\As the vehicles are always moving,\just one moment of carelessness could lead to a misstep!\The vehicles will wend their way around the sightseeing spots of Crocus,\but which team will arrive here at Domus Flau?!\Everyone in the stadium, you can watch the race here on Lacrima Vision! response:	Cool!
context: This competition takes place on top of a line of vehicles,\with the idea being to reach the goal without falling off!\As the vehicles are always moving,\just one moment of carelessness could lead to a misstep!\The vehicles will wend their way around the sightseeing spots of Crocus,\but which team will arrive here at Domus Flau?!\Everyone in the stadium, you can watch the race here on Lacrima Vision!\Cool! response:	At any rate, Yajima-san,
context: with the idea being to reach the goal without falling off!\As the vehicles are always moving,\just one moment of carelessness could lead to a misstep!\The vehicles will wend their way around the sightseeing spots of Crocus,\but which team will arrive here at Domus Flau?!\Everyone in the stadium, you can watch the race here on Lacrima Vision!\Cool!\At any rate, Yajima-san, response:	who could have predicted this turn of events?!
context: As the vehicles are always moving,\just one moment of carelessness could lead to a misstep!\The vehicles will wend their way around the sightseeing spots of Crocus,\but which team will arrive here at Domus Flau?!\Everyone in the stadium, you can watch the race here on Lacrima Vision!\Cool!\At any rate, Yajima-san,\who could have predicted this turn of events?! response:	Why did Natsu sign up for this?!
context: just one moment of carelessness could lead to a misstep!\The vehicles will wend their way around the sightseeing spots of Crocus,\but which team will arrive here at Domus Flau?!\Everyone in the stadium, you can watch the race here on Lacrima Vision!\Cool!\At any rate, Yajima-san,\who could have predicted this turn of events?!\Why did Natsu sign up for this?! response:	You'd think he would've been able to tell what kind of event it was from the name, Chariot!
context: The vehicles will wend their way around the sightseeing spots of Crocus,\but which team will arrive here at Domus Flau?!\Everyone in the stadium, you can watch the race here on Lacrima Vision!\Cool!\At any rate, Yajima-san,\who could have predicted this turn of events?!\Why did Natsu sign up for this?!\You'd think he would've been able to tell what kind of event it was from the name, Chariot! response:	Once he made up his mind to do it, he doesn't listen.
context: but which team will arrive here at Domus Flau?!\Everyone in the stadium, you can watch the race here on Lacrima Vision!\Cool!\At any rate, Yajima-san,\who could have predicted this turn of events?!\Why did Natsu sign up for this?!\You'd think he would've been able to tell what kind of event it was from the name, Chariot!\Once he made up his mind to do it, he doesn't listen. response:	He probably thought he'd be fighting the chariots themselves...
context: Everyone in the stadium, you can watch the race here on Lacrima Vision!\Cool!\At any rate, Yajima-san,\who could have predicted this turn of events?!\Why did Natsu sign up for this?!\You'd think he would've been able to tell what kind of event it was from the name, Chariot!\Once he made up his mind to do it, he doesn't listen.\He probably thought he'd be fighting the chariots themselves... response:	Oh, my! Way in the rear
context: Cool!\At any rate, Yajima-san,\who could have predicted this turn of events?!\Why did Natsu sign up for this?!\You'd think he would've been able to tell what kind of event it was from the name, Chariot!\Once he made up his mind to do it, he doesn't listen.\He probably thought he'd be fighting the chariots themselves...\Oh, my! Way in the rear response:	is a groggy-looking Natsu from Fairy Tail A!
context: At any rate, Yajima-san,\who could have predicted this turn of events?!\Why did Natsu sign up for this?!\You'd think he would've been able to tell what kind of event it was from the name, Chariot!\Once he made up his mind to do it, he doesn't listen.\He probably thought he'd be fighting the chariots themselves...\Oh, my! Way in the rear\is a groggy-looking Natsu from Fairy Tail A! response:	This isn't gonna work...
context: who could have predicted this turn of events?!\Why did Natsu sign up for this?!\You'd think he would've been able to tell what kind of event it was from the name, Chariot!\Once he made up his mind to do it, he doesn't listen.\He probably thought he'd be fighting the chariots themselves...\Oh, my! Way in the rear\is a groggy-looking Natsu from Fairy Tail A!\This isn't gonna work... response:	And that's not all!
context: Why did Natsu sign up for this?!\You'd think he would've been able to tell what kind of event it was from the name, Chariot!\Once he made up his mind to do it, he doesn't listen.\He probably thought he'd be fighting the chariots themselves...\Oh, my! Way in the rear\is a groggy-looking Natsu from Fairy Tail A!\This isn't gonna work...\And that's not all! response:	Right in front of him is Gajeel from Fairy Tail B
context: You'd think he would've been able to tell what kind of event it was from the name, Chariot!\Once he made up his mind to do it, he doesn't listen.\He probably thought he'd be fighting the chariots themselves...\Oh, my! Way in the rear\is a groggy-looking Natsu from Fairy Tail A!\This isn't gonna work...\And that's not all!\Right in front of him is Gajeel from Fairy Tail B response:	and even Sting from Sabertooth, all moving like molasses!
context: Once he made up his mind to do it, he doesn't listen.\He probably thought he'd be fighting the chariots themselves...\Oh, my! Way in the rear\is a groggy-looking Natsu from Fairy Tail A!\This isn't gonna work...\And that's not all!\Right in front of him is Gajeel from Fairy Tail B\and even Sting from Sabertooth, all moving like molasses! response:	W-What's wrong with me?!
context: He probably thought he'd be fighting the chariots themselves...\Oh, my! Way in the rear\is a groggy-looking Natsu from Fairy Tail A!\This isn't gonna work...\And that's not all!\Right in front of him is Gajeel from Fairy Tail B\and even Sting from Sabertooth, all moving like molasses!\W-What's wrong with me?! response:	What's going on here, Yajima-san?
context: Oh, my! Way in the rear\is a groggy-looking Natsu from Fairy Tail A!\This isn't gonna work...\And that's not all!\Right in front of him is Gajeel from Fairy Tail B\and even Sting from Sabertooth, all moving like molasses!\W-What's wrong with me?!\What's going on here, Yajima-san? response:	I suppose the three of them have something in common.
context: is a groggy-looking Natsu from Fairy Tail A!\This isn't gonna work...\And that's not all!\Right in front of him is Gajeel from Fairy Tail B\and even Sting from Sabertooth, all moving like molasses!\W-What's wrong with me?!\What's going on here, Yajima-san?\I suppose the three of them have something in common. response:	Motion sickness...
context: This isn't gonna work...\And that's not all!\Right in front of him is Gajeel from Fairy Tail B\and even Sting from Sabertooth, all moving like molasses!\W-What's wrong with me?!\What's going on here, Yajima-san?\I suppose the three of them have something in common.\Motion sickness... response:	That's the Salamander's thing...
context: And that's not all!\Right in front of him is Gajeel from Fairy Tail B\and even Sting from Sabertooth, all moving like molasses!\W-What's wrong with me?!\What's going on here, Yajima-san?\I suppose the three of them have something in common.\Motion sickness...\That's the Salamander's thing... response:	What's going on?! Why is Gajeel like that?!
context: Right in front of him is Gajeel from Fairy Tail B\and even Sting from Sabertooth, all moving like molasses!\W-What's wrong with me?!\What's going on here, Yajima-san?\I suppose the three of them have something in common.\Motion sickness...\That's the Salamander's thing...\What's going on?! Why is Gajeel like that?! response:	Don't swipe Natsu's character!
context: and even Sting from Sabertooth, all moving like molasses!\W-What's wrong with me?!\What's going on here, Yajima-san?\I suppose the three of them have something in common.\Motion sickness...\That's the Salamander's thing...\What's going on?! Why is Gajeel like that?!\Don't swipe Natsu's character! response:	And a member of Saber, too...
context: W-What's wrong with me?!\What's going on here, Yajima-san?\I suppose the three of them have something in common.\Motion sickness...\That's the Salamander's thing...\What's going on?! Why is Gajeel like that?!\Don't swipe Natsu's character!\And a member of Saber, too... response:	This doesn't look good...
context: What's going on here, Yajima-san?\I suppose the three of them have something in common.\Motion sickness...\That's the Salamander's thing...\What's going on?! Why is Gajeel like that?!\Don't swipe Natsu's character!\And a member of Saber, too...\This doesn't look good... response:	I never thought the invincible Sting-kun's one weakness would be revealed...
context: I suppose the three of them have something in common.\Motion sickness...\That's the Salamander's thing...\What's going on?! Why is Gajeel like that?!\Don't swipe Natsu's character!\And a member of Saber, too...\This doesn't look good...\I never thought the invincible Sting-kun's one weakness would be revealed... response:	Fro thinks so, too!
context: Motion sickness...\That's the Salamander's thing...\What's going on?! Why is Gajeel like that?!\Don't swipe Natsu's character!\And a member of Saber, too...\This doesn't look good...\I never thought the invincible Sting-kun's one weakness would be revealed...\Fro thinks so, too! response:	Alright, let's check in with the leaders of the pack!
context: That's the Salamander's thing...\What's going on?! Why is Gajeel like that?!\Don't swipe Natsu's character!\And a member of Saber, too...\This doesn't look good...\I never thought the invincible Sting-kun's one weakness would be revealed...\Fro thinks so, too!\Alright, let's check in with the leaders of the pack! response:	It's a fierce dead heat at the front!
context: What's going on?! Why is Gajeel like that?!\Don't swipe Natsu's character!\And a member of Saber, too...\This doesn't look good...\I never thought the invincible Sting-kun's one weakness would be revealed...\Fro thinks so, too!\Alright, let's check in with the leaders of the pack!\It's a fierce dead heat at the front! response:	In the lead is Blacksnake of Raven Tail!
context: Don't swipe Natsu's character!\And a member of Saber, too...\This doesn't look good...\I never thought the invincible Sting-kun's one weakness would be revealed...\Fro thinks so, too!\Alright, let's check in with the leaders of the pack!\It's a fierce dead heat at the front!\In the lead is Blacksnake of Raven Tail! response:	Ichiya of Blue Pegasus is on his heels,
context: And a member of Saber, too...\This doesn't look good...\I never thought the invincible Sting-kun's one weakness would be revealed...\Fro thinks so, too!\Alright, let's check in with the leaders of the pack!\It's a fierce dead heat at the front!\In the lead is Blacksnake of Raven Tail!\Ichiya of Blue Pegasus is on his heels, response:	followed by Yuuka of Lamia Scale
context: This doesn't look good...\I never thought the invincible Sting-kun's one weakness would be revealed...\Fro thinks so, too!\Alright, let's check in with the leaders of the pack!\It's a fierce dead heat at the front!\In the lead is Blacksnake of Raven Tail!\Ichiya of Blue Pegasus is on his heels,\followed by Yuuka of Lamia Scale response:	and Risley of Mermaid Heel!
context: I never thought the invincible Sting-kun's one weakness would be revealed...\Fro thinks so, too!\Alright, let's check in with the leaders of the pack!\It's a fierce dead heat at the front!\In the lead is Blacksnake of Raven Tail!\Ichiya of Blue Pegasus is on his heels,\followed by Yuuka of Lamia Scale\and Risley of Mermaid Heel! response:	Men!
context: Fro thinks so, too!\Alright, let's check in with the leaders of the pack!\It's a fierce dead heat at the front!\In the lead is Blacksnake of Raven Tail!\Ichiya of Blue Pegasus is on his heels,\followed by Yuuka of Lamia Scale\and Risley of Mermaid Heel!\Men! response:	I'm surprised you can keep up with that body type!
context: Alright, let's check in with the leaders of the pack!\It's a fierce dead heat at the front!\In the lead is Blacksnake of Raven Tail!\Ichiya of Blue Pegasus is on his heels,\followed by Yuuka of Lamia Scale\and Risley of Mermaid Heel!\Men!\I'm surprised you can keep up with that body type! response:	Never underestimate a chubby girl!
context: It's a fierce dead heat at the front!\In the lead is Blacksnake of Raven Tail!\Ichiya of Blue Pegasus is on his heels,\followed by Yuuka of Lamia Scale\and Risley of Mermaid Heel!\Men!\I'm surprised you can keep up with that body type!\Never underestimate a chubby girl! response:	Some distance behind them is Bacchus from the reserve squad of Quatro Cerberus!
context: In the lead is Blacksnake of Raven Tail!\Ichiya of Blue Pegasus is on his heels,\followed by Yuuka of Lamia Scale\and Risley of Mermaid Heel!\Men!\I'm surprised you can keep up with that body type!\Never underestimate a chubby girl!\Some distance behind them is Bacchus from the reserve squad of Quatro Cerberus! response:	I'm pooped...
context: Ichiya of Blue Pegasus is on his heels,\followed by Yuuka of Lamia Scale\and Risley of Mermaid Heel!\Men!\I'm surprised you can keep up with that body type!\Never underestimate a chubby girl!\Some distance behind them is Bacchus from the reserve squad of Quatro Cerberus!\I'm pooped... response:	Haven't thrown off the effects of last night's booze yet...
context: followed by Yuuka of Lamia Scale\and Risley of Mermaid Heel!\Men!\I'm surprised you can keep up with that body type!\Never underestimate a chubby girl!\Some distance behind them is Bacchus from the reserve squad of Quatro Cerberus!\I'm pooped...\Haven't thrown off the effects of last night's booze yet... response:	Wave Boost!
context: and Risley of Mermaid Heel!\Men!\I'm surprised you can keep up with that body type!\Never underestimate a chubby girl!\Some distance behind them is Bacchus from the reserve squad of Quatro Cerberus!\I'm pooped...\Haven't thrown off the effects of last night's booze yet...\Wave Boost! response:	You can't use magic while you're in my shockwave!
context: Men!\I'm surprised you can keep up with that body type!\Never underestimate a chubby girl!\Some distance behind them is Bacchus from the reserve squad of Quatro Cerberus!\I'm pooped...\Haven't thrown off the effects of last night's booze yet...\Wave Boost!\You can't use magic while you're in my shockwave! response:	Never underestimate a chubby girl!
context: I'm surprised you can keep up with that body type!\Never underestimate a chubby girl!\Some distance behind them is Bacchus from the reserve squad of Quatro Cerberus!\I'm pooped...\Haven't thrown off the effects of last night's booze yet...\Wave Boost!\You can't use magic while you're in my shockwave!\Never underestimate a chubby girl! response:	There it is! Risley's gravity-altering!
context: Never underestimate a chubby girl!\Some distance behind them is Bacchus from the reserve squad of Quatro Cerberus!\I'm pooped...\Haven't thrown off the effects of last night's booze yet...\Wave Boost!\You can't use magic while you're in my shockwave!\Never underestimate a chubby girl!\There it is! Risley's gravity-altering! response:	She avoided the surge by running on the side of the vehicle!
context: Some distance behind them is Bacchus from the reserve squad of Quatro Cerberus!\I'm pooped...\Haven't thrown off the effects of last night's booze yet...\Wave Boost!\You can't use magic while you're in my shockwave!\Never underestimate a chubby girl!\There it is! Risley's gravity-altering!\She avoided the surge by running on the side of the vehicle! response:	A magic-negating wave... In that case...
context: I'm pooped...\Haven't thrown off the effects of last night's booze yet...\Wave Boost!\You can't use magic while you're in my shockwave!\Never underestimate a chubby girl!\There it is! Risley's gravity-altering!\She avoided the surge by running on the side of the vehicle!\A magic-negating wave... In that case... response:	Fleet-footed parfum! Zero distance inhalation!
context: Haven't thrown off the effects of last night's booze yet...\Wave Boost!\You can't use magic while you're in my shockwave!\Never underestimate a chubby girl!\There it is! Risley's gravity-altering!\She avoided the surge by running on the side of the vehicle!\A magic-negating wave... In that case...\Fleet-footed parfum! Zero distance inhalation! response:	Everybody's trying their best...
context: Wave Boost!\You can't use magic while you're in my shockwave!\Never underestimate a chubby girl!\There it is! Risley's gravity-altering!\She avoided the surge by running on the side of the vehicle!\A magic-negating wave... In that case...\Fleet-footed parfum! Zero distance inhalation!\Everybody's trying their best... response:	My soul is quivering...
context: You can't use magic while you're in my shockwave!\Never underestimate a chubby girl!\There it is! Risley's gravity-altering!\She avoided the surge by running on the side of the vehicle!\A magic-negating wave... In that case...\Fleet-footed parfum! Zero distance inhalation!\Everybody's trying their best...\My soul is quivering... response:	Maybe I'll try a little harder, too!
context: Never underestimate a chubby girl!\There it is! Risley's gravity-altering!\She avoided the surge by running on the side of the vehicle!\A magic-negating wave... In that case...\Fleet-footed parfum! Zero distance inhalation!\Everybody's trying their best...\My soul is quivering...\Maybe I'll try a little harder, too! response:	W-What's this?!
context: There it is! Risley's gravity-altering!\She avoided the surge by running on the side of the vehicle!\A magic-negating wave... In that case...\Fleet-footed parfum! Zero distance inhalation!\Everybody's trying their best...\My soul is quivering...\Maybe I'll try a little harder, too!\W-What's this?! response:	Bacchus used his power to destroy the vehicles!
context: She avoided the surge by running on the side of the vehicle!\A magic-negating wave... In that case...\Fleet-footed parfum! Zero distance inhalation!\Everybody's trying their best...\My soul is quivering...\Maybe I'll try a little harder, too!\W-What's this?!\Bacchus used his power to destroy the vehicles! response:	He's more powerful than he was seven years ago...
context: A magic-negating wave... In that case...\Fleet-footed parfum! Zero distance inhalation!\Everybody's trying their best...\My soul is quivering...\Maybe I'll try a little harder, too!\W-What's this?!\Bacchus used his power to destroy the vehicles!\He's more powerful than he was seven years ago... response:	What's with this guy?!
context: Fleet-footed parfum! Zero distance inhalation!\Everybody's trying their best...\My soul is quivering...\Maybe I'll try a little harder, too!\W-What's this?!\Bacchus used his power to destroy the vehicles!\He's more powerful than he was seven years ago...\What's with this guy?! response:	See you later! If you fall, you're out!
context: Everybody's trying their best...\My soul is quivering...\Maybe I'll try a little harder, too!\W-What's this?!\Bacchus used his power to destroy the vehicles!\He's more powerful than he was seven years ago...\What's with this guy?!\See you later! If you fall, you're out! response:	What is that?!
context: My soul is quivering...\Maybe I'll try a little harder, too!\W-What's this?!\Bacchus used his power to destroy the vehicles!\He's more powerful than he was seven years ago...\What's with this guy?!\See you later! If you fall, you're out!\What is that?! response:	That's playing dirty...
context: Maybe I'll try a little harder, too!\W-What's this?!\Bacchus used his power to destroy the vehicles!\He's more powerful than he was seven years ago...\What's with this guy?!\See you later! If you fall, you're out!\What is that?!\That's playing dirty... response:	He's underestimating a chubby girl...
context: W-What's this?!\Bacchus used his power to destroy the vehicles!\He's more powerful than he was seven years ago...\What's with this guy?!\See you later! If you fall, you're out!\What is that?!\That's playing dirty...\He's underestimating a chubby girl... response:	You're not chubby!
context: Bacchus used his power to destroy the vehicles!\He's more powerful than he was seven years ago...\What's with this guy?!\See you later! If you fall, you're out!\What is that?!\That's playing dirty...\He's underestimating a chubby girl...\You're not chubby! response:	Gravity altering is cool!
context: He's more powerful than he was seven years ago...\What's with this guy?!\See you later! If you fall, you're out!\What is that?!\That's playing dirty...\He's underestimating a chubby girl...\You're not chubby!\Gravity altering is cool! response:	And just like that, he crossed the goal line first!
context: What's with this guy?!\See you later! If you fall, you're out!\What is that?!\That's playing dirty...\He's underestimating a chubby girl...\You're not chubby!\Gravity altering is cool!\And just like that, he crossed the goal line first! response:	It's quivering!
context: See you later! If you fall, you're out!\What is that?!\That's playing dirty...\He's underestimating a chubby girl...\You're not chubby!\Gravity altering is cool!\And just like that, he crossed the goal line first!\It's quivering! response:	Quatro Cerberus wins 10 points!
context: What is that?!\That's playing dirty...\He's underestimating a chubby girl...\You're not chubby!\Gravity altering is cool!\And just like that, he crossed the goal line first!\It's quivering!\Quatro Cerberus wins 10 points! response:	Cerberus had a man like this...?!
context: That's playing dirty...\He's underestimating a chubby girl...\You're not chubby!\Gravity altering is cool!\And just like that, he crossed the goal line first!\It's quivering!\Quatro Cerberus wins 10 points!\Cerberus had a man like this...?! response:	Wild...
context: He's underestimating a chubby girl...\You're not chubby!\Gravity altering is cool!\And just like that, he crossed the goal line first!\It's quivering!\Quatro Cerberus wins 10 points!\Cerberus had a man like this...?!\Wild... response:	In second place, Blacksnake of Raven Tail!
context: You're not chubby!\Gravity altering is cool!\And just like that, he crossed the goal line first!\It's quivering!\Quatro Cerberus wins 10 points!\Cerberus had a man like this...?!\Wild...\In second place, Blacksnake of Raven Tail! response:	In third, Risley! In fourth, Yuuka! In fifth, Ichiya!
context: Gravity altering is cool!\And just like that, he crossed the goal line first!\It's quivering!\Quatro Cerberus wins 10 points!\Cerberus had a man like this...?!\Wild...\In second place, Blacksnake of Raven Tail!\In third, Risley! In fourth, Yuuka! In fifth, Ichiya! response:	All that's left are these three, battling it out at the bottom ranks!
context: And just like that, he crossed the goal line first!\It's quivering!\Quatro Cerberus wins 10 points!\Cerberus had a man like this...?!\Wild...\In second place, Blacksnake of Raven Tail!\In third, Risley! In fourth, Yuuka! In fifth, Ichiya!\All that's left are these three, battling it out at the bottom ranks! response:	I-I don't believe this...
context: It's quivering!\Quatro Cerberus wins 10 points!\Cerberus had a man like this...?!\Wild...\In second place, Blacksnake of Raven Tail!\In third, Risley! In fourth, Yuuka! In fifth, Ichiya!\All that's left are these three, battling it out at the bottom ranks!\I-I don't believe this... response:	I never had any problem with transportation before...
context: Quatro Cerberus wins 10 points!\Cerberus had a man like this...?!\Wild...\In second place, Blacksnake of Raven Tail!\In third, Risley! In fourth, Yuuka! In fifth, Ichiya!\All that's left are these three, battling it out at the bottom ranks!\I-I don't believe this...\I never had any problem with transportation before... response:	Well...
context: Cerberus had a man like this...?!\Wild...\In second place, Blacksnake of Raven Tail!\In third, Risley! In fourth, Yuuka! In fifth, Ichiya!\All that's left are these three, battling it out at the bottom ranks!\I-I don't believe this...\I never had any problem with transportation before...\Well... response:	Congratulations to the...
