context: I'm pretty sure it was around here... response:	No fair, Sou-kun!
context: Actually, since we're not a couple,\then we'll never leave each other's side.\I never thought about that.\Of course, I'd like for us to be a couple someday.\T-Time for me to show you my authentic Italian boating skills.\Paddle.\Paddle. Paddle.\I'll concede that was impressive, but something seems off here! response:	You mean like we're in the wrong timezone and I'm Japanese?
context: then we'll never leave each other's side.\I never thought about that.\Of course, I'd like for us to be a couple someday.\T-Time for me to show you my authentic Italian boating skills.\Paddle.\Paddle. Paddle.\I'll concede that was impressive, but something seems off here!\You mean like we're in the wrong timezone and I'm Japanese? response:	Yeah, I guess you could say that...
context: I never thought about that.\Of course, I'd like for us to be a couple someday.\T-Time for me to show you my authentic Italian boating skills.\Paddle.\Paddle. Paddle.\I'll concede that was impressive, but something seems off here!\You mean like we're in the wrong timezone and I'm Japanese?\Yeah, I guess you could say that... response:	Anyway, let's paddle together. Yeah, that's best.
context: Of course, I'd like for us to be a couple someday.\T-Time for me to show you my authentic Italian boating skills.\Paddle.\Paddle. Paddle.\I'll concede that was impressive, but something seems off here!\You mean like we're in the wrong timezone and I'm Japanese?\Yeah, I guess you could say that...\Anyway, let's paddle together. Yeah, that's best. response:	You mean we get to work together, the two of us?!
context: T-Time for me to show you my authentic Italian boating skills.\Paddle.\Paddle. Paddle.\I'll concede that was impressive, but something seems off here!\You mean like we're in the wrong timezone and I'm Japanese?\Yeah, I guess you could say that...\Anyway, let's paddle together. Yeah, that's best.\You mean we get to work together, the two of us?! response:	Let me know if I do something weird!
context: Paddle.\Paddle. Paddle.\I'll concede that was impressive, but something seems off here!\You mean like we're in the wrong timezone and I'm Japanese?\Yeah, I guess you could say that...\Anyway, let's paddle together. Yeah, that's best.\You mean we get to work together, the two of us?!\Let me know if I do something weird! response:	I'll take one paddle, and you get the other one.
context: Paddle. Paddle.\I'll concede that was impressive, but something seems off here!\You mean like we're in the wrong timezone and I'm Japanese?\Yeah, I guess you could say that...\Anyway, let's paddle together. Yeah, that's best.\You mean we get to work together, the two of us?!\Let me know if I do something weird!\I'll take one paddle, and you get the other one. response:	Akane!
context: I'll concede that was impressive, but something seems off here!\You mean like we're in the wrong timezone and I'm Japanese?\Yeah, I guess you could say that...\Anyway, let's paddle together. Yeah, that's best.\You mean we get to work together, the two of us?!\Let me know if I do something weird!\I'll take one paddle, and you get the other one.\Akane! response:	Are you okay, Akane?
context: You mean like we're in the wrong timezone and I'm Japanese?\Yeah, I guess you could say that...\Anyway, let's paddle together. Yeah, that's best.\You mean we get to work together, the two of us?!\Let me know if I do something weird!\I'll take one paddle, and you get the other one.\Akane!\Are you okay, Akane? response:	Yeah.
context: Yeah, I guess you could say that...\Anyway, let's paddle together. Yeah, that's best.\You mean we get to work together, the two of us?!\Let me know if I do something weird!\I'll take one paddle, and you get the other one.\Akane!\Are you okay, Akane?\Yeah. response:	Is something wrong, Akane?
context: Anyway, let's paddle together. Yeah, that's best.\You mean we get to work together, the two of us?!\Let me know if I do something weird!\I'll take one paddle, and you get the other one.\Akane!\Are you okay, Akane?\Yeah.\Is something wrong, Akane? response:	Thank you.
context: You mean we get to work together, the two of us?!\Let me know if I do something weird!\I'll take one paddle, and you get the other one.\Akane!\Are you okay, Akane?\Yeah.\Is something wrong, Akane?\Thank you. response:	Y-Yeah...
context: Let me know if I do something weird!\I'll take one paddle, and you get the other one.\Akane!\Are you okay, Akane?\Yeah.\Is something wrong, Akane?\Thank you.\Y-Yeah... response:	A-Akane!
context: I'll take one paddle, and you get the other one.\Akane!\Are you okay, Akane?\Yeah.\Is something wrong, Akane?\Thank you.\Y-Yeah...\A-Akane! response:	Yes?
context: Akane!\Are you okay, Akane?\Yeah.\Is something wrong, Akane?\Thank you.\Y-Yeah...\A-Akane!\Yes? response:	M-My mom told me to
context: Are you okay, Akane?\Yeah.\Is something wrong, Akane?\Thank you.\Y-Yeah...\A-Akane!\Yes?\M-My mom told me to response:	wear my good underwear, so I...
context: Yeah.\Is something wrong, Akane?\Thank you.\Y-Yeah...\A-Akane!\Yes?\M-My mom told me to\wear my good underwear, so I... response:	What is your mom teaching you?!
context: Is something wrong, Akane?\Thank you.\Y-Yeah...\A-Akane!\Yes?\M-My mom told me to\wear my good underwear, so I...\What is your mom teaching you?! response:	Did I do good? Did I do bad?
context: Thank you.\Y-Yeah...\A-Akane!\Yes?\M-My mom told me to\wear my good underwear, so I...\What is your mom teaching you?!\Did I do good? Did I do bad? response:	Who cares?! We just need to get your clothes dry!
context: Y-Yeah...\A-Akane!\Yes?\M-My mom told me to\wear my good underwear, so I...\What is your mom teaching you?!\Did I do good? Did I do bad?\Who cares?! We just need to get your clothes dry! response:	I guess we should go somewhere where there won't be any people.
context: A-Akane!\Yes?\M-My mom told me to\wear my good underwear, so I...\What is your mom teaching you?!\Did I do good? Did I do bad?\Who cares?! We just need to get your clothes dry!\I guess we should go somewhere where there won't be any people. response:	I have an idea...
context: Yes?\M-My mom told me to\wear my good underwear, so I...\What is your mom teaching you?!\Did I do good? Did I do bad?\Who cares?! We just need to get your clothes dry!\I guess we should go somewhere where there won't be any people.\I have an idea... response:	It's so fun by myself.
context: M-My mom told me to\wear my good underwear, so I...\What is your mom teaching you?!\Did I do good? Did I do bad?\Who cares?! We just need to get your clothes dry!\I guess we should go somewhere where there won't be any people.\I have an idea...\It's so fun by myself. response:	I can eat and sleep as much as I want!
context: wear my good underwear, so I...\What is your mom teaching you?!\Did I do good? Did I do bad?\Who cares?! We just need to get your clothes dry!\I guess we should go somewhere where there won't be any people.\I have an idea...\It's so fun by myself.\I can eat and sleep as much as I want! response:	There really isn't anyone here.
context: What is your mom teaching you?!\Did I do good? Did I do bad?\Who cares?! We just need to get your clothes dry!\I guess we should go somewhere where there won't be any people.\I have an idea...\It's so fun by myself.\I can eat and sleep as much as I want!\There really isn't anyone here. response:	It's always been like this.
context: Did I do good? Did I do bad?\Who cares?! We just need to get your clothes dry!\I guess we should go somewhere where there won't be any people.\I have an idea...\It's so fun by myself.\I can eat and sleep as much as I want!\There really isn't anyone here.\It's always been like this. response:	Huh?
context: Who cares?! We just need to get your clothes dry!\I guess we should go somewhere where there won't be any people.\I have an idea...\It's so fun by myself.\I can eat and sleep as much as I want!\There really isn't anyone here.\It's always been like this.\Huh? response:	Not many people come here.
context: I guess we should go somewhere where there won't be any people.\I have an idea...\It's so fun by myself.\I can eat and sleep as much as I want!\There really isn't anyone here.\It's always been like this.\Huh?\Not many people come here. response:	That's why I got to be such good friends with her so fast.
context: I have an idea...\It's so fun by myself.\I can eat and sleep as much as I want!\There really isn't anyone here.\It's always been like this.\Huh?\Not many people come here.\That's why I got to be such good friends with her so fast. response:	Wait... Is this where...
context: It's so fun by myself.\I can eat and sleep as much as I want!\There really isn't anyone here.\It's always been like this.\Huh?\Not many people come here.\That's why I got to be such good friends with her so fast.\Wait... Is this where... response:	I wanted to come here with you at least once.
context: I can eat and sleep as much as I want!\There really isn't anyone here.\It's always been like this.\Huh?\Not many people come here.\That's why I got to be such good friends with her so fast.\Wait... Is this where...\I wanted to come here with you at least once. response:	Not too long ago I couldn't even come close to here,
context: There really isn't anyone here.\It's always been like this.\Huh?\Not many people come here.\That's why I got to be such good friends with her so fast.\Wait... Is this where...\I wanted to come here with you at least once.\Not too long ago I couldn't even come close to here, response:	but now I'm fine.
context: It's always been like this.\Huh?\Not many people come here.\That's why I got to be such good friends with her so fast.\Wait... Is this where...\I wanted to come here with you at least once.\Not too long ago I couldn't even come close to here,\but now I'm fine. response:	You said that nothing can happen to me
context: Huh?\Not many people come here.\That's why I got to be such good friends with her so fast.\Wait... Is this where...\I wanted to come here with you at least once.\Not too long ago I couldn't even come close to here,\but now I'm fine.\You said that nothing can happen to me response:	until I see her again.
context: Not many people come here.\That's why I got to be such good friends with her so fast.\Wait... Is this where...\I wanted to come here with you at least once.\Not too long ago I couldn't even come close to here,\but now I'm fine.\You said that nothing can happen to me\until I see her again. response:	I haven't run into her again yet,
context: That's why I got to be such good friends with her so fast.\Wait... Is this where...\I wanted to come here with you at least once.\Not too long ago I couldn't even come close to here,\but now I'm fine.\You said that nothing can happen to me\until I see her again.\I haven't run into her again yet, response:	but I did meet you, and have become close to you.
context: Wait... Is this where...\I wanted to come here with you at least once.\Not too long ago I couldn't even come close to here,\but now I'm fine.\You said that nothing can happen to me\until I see her again.\I haven't run into her again yet,\but I did meet you, and have become close to you. response:	Akane...
context: I wanted to come here with you at least once.\Not too long ago I couldn't even come close to here,\but now I'm fine.\You said that nothing can happen to me\until I see her again.\I haven't run into her again yet,\but I did meet you, and have become close to you.\Akane... response:	That's why I want to thank both of you,
context: Not too long ago I couldn't even come close to here,\but now I'm fine.\You said that nothing can happen to me\until I see her again.\I haven't run into her again yet,\but I did meet you, and have become close to you.\Akane...\That's why I want to thank both of you, response:	you and her.
context: but now I'm fine.\You said that nothing can happen to me\until I see her again.\I haven't run into her again yet,\but I did meet you, and have become close to you.\Akane...\That's why I want to thank both of you,\you and her. response:	Maybe I should be the one saying that.
context: You said that nothing can happen to me\until I see her again.\I haven't run into her again yet,\but I did meet you, and have become close to you.\Akane...\That's why I want to thank both of you,\you and her.\Maybe I should be the one saying that. response:	S-Souta.
context: until I see her again.\I haven't run into her again yet,\but I did meet you, and have become close to you.\Akane...\That's why I want to thank both of you,\you and her.\Maybe I should be the one saying that.\S-Souta. response:	Oh, Rin-kun?
context: I haven't run into her again yet,\but I did meet you, and have become close to you.\Akane...\That's why I want to thank both of you,\you and her.\Maybe I should be the one saying that.\S-Souta.\Oh, Rin-kun? response:	Okiku made me wear this.
context: but I did meet you, and have become close to you.\Akane...\That's why I want to thank both of you,\you and her.\Maybe I should be the one saying that.\S-Souta.\Oh, Rin-kun?\Okiku made me wear this. response:	I bet this frilly stuff doesn't look good on me.
context: Akane...\That's why I want to thank both of you,\you and her.\Maybe I should be the one saying that.\S-Souta.\Oh, Rin-kun?\Okiku made me wear this.\I bet this frilly stuff doesn't look good on me. response:	I know you think so...
context: That's why I want to thank both of you,\you and her.\Maybe I should be the one saying that.\S-Souta.\Oh, Rin-kun?\Okiku made me wear this.\I bet this frilly stuff doesn't look good on me.\I know you think so... response:	A yandere flag!
context: you and her.\Maybe I should be the one saying that.\S-Souta.\Oh, Rin-kun?\Okiku made me wear this.\I bet this frilly stuff doesn't look good on me.\I know you think so...\A yandere flag! response:	N-No, it looks good on you!
context: Maybe I should be the one saying that.\S-Souta.\Oh, Rin-kun?\Okiku made me wear this.\I bet this frilly stuff doesn't look good on me.\I know you think so...\A yandere flag!\N-No, it looks good on you! response:	R-Really?
context: S-Souta.\Oh, Rin-kun?\Okiku made me wear this.\I bet this frilly stuff doesn't look good on me.\I know you think so...\A yandere flag!\N-No, it looks good on you!\R-Really? response:	Y-Yeah.
context: Oh, Rin-kun?\Okiku made me wear this.\I bet this frilly stuff doesn't look good on me.\I know you think so...\A yandere flag!\N-No, it looks good on you!\R-Really?\Y-Yeah. response:	You're really cute.
context: Okiku made me wear this.\I bet this frilly stuff doesn't look good on me.\I know you think so...\A yandere flag!\N-No, it looks good on you!\R-Really?\Y-Yeah.\You're really cute. response:	Cleared
context: I bet this frilly stuff doesn't look good on me.\I know you think so...\A yandere flag!\N-No, it looks good on you!\R-Really?\Y-Yeah.\You're really cute.\Cleared response:	She's too easy...
context: I know you think so...\A yandere flag!\N-No, it looks good on you!\R-Really?\Y-Yeah.\You're really cute.\Cleared\She's too easy... response:	It's great how quiet it is!
context: A yandere flag!\N-No, it looks good on you!\R-Really?\Y-Yeah.\You're really cute.\Cleared\She's too easy...\It's great how quiet it is! response:	I wish it was this quiet all the time!
context: N-No, it looks good on you!\R-Really?\Y-Yeah.\You're really cute.\Cleared\She's too easy...\It's great how quiet it is!\I wish it was this quiet all the time! response:	It's been a while since I could just sit back like this.
context: R-Really?\Y-Yeah.\You're really cute.\Cleared\She's too easy...\It's great how quiet it is!\I wish it was this quiet all the time!\It's been a while since I could just sit back like this. response:	It's been kind of busy lately.
context: Y-Yeah.\You're really cute.\Cleared\She's too easy...\It's great how quiet it is!\I wish it was this quiet all the time!\It's been a while since I could just sit back like this.\It's been kind of busy lately. response:	Let's do something tomorrow, too.
context: You're really cute.\Cleared\She's too easy...\It's great how quiet it is!\I wish it was this quiet all the time!\It's been a while since I could just sit back like this.\It's been kind of busy lately.\Let's do something tomorrow, too. response:	Sure.
context: Cleared\She's too easy...\It's great how quiet it is!\I wish it was this quiet all the time!\It's been a while since I could just sit back like this.\It's been kind of busy lately.\Let's do something tomorrow, too.\Sure. response:	Looking at them brings back memories.
context: She's too easy...\It's great how quiet it is!\I wish it was this quiet all the time!\It's been a while since I could just sit back like this.\It's been kind of busy lately.\Let's do something tomorrow, too.\Sure.\Looking at them brings back memories. response:	Yeah.
context: It's great how quiet it is!\I wish it was this quiet all the time!\It's been a while since I could just sit back like this.\It's been kind of busy lately.\Let's do something tomorrow, too.\Sure.\Looking at them brings back memories.\Yeah. response:	We were always together.
context: I wish it was this quiet all the time!\It's been a while since I could just sit back like this.\It's been kind of busy lately.\Let's do something tomorrow, too.\Sure.\Looking at them brings back memories.\Yeah.\We were always together. response:	Oh, yeah, I forgot I have this.
context: It's been a while since I could just sit back like this.\It's been kind of busy lately.\Let's do something tomorrow, too.\Sure.\Looking at them brings back memories.\Yeah.\We were always together.\Oh, yeah, I forgot I have this. response:	Oh, this brings back memories.
context: It's been kind of busy lately.\Let's do something tomorrow, too.\Sure.\Looking at them brings back memories.\Yeah.\We were always together.\Oh, yeah, I forgot I have this.\Oh, this brings back memories. response:	So you brought these for me.
context: Let's do something tomorrow, too.\Sure.\Looking at them brings back memories.\Yeah.\We were always together.\Oh, yeah, I forgot I have this.\Oh, this brings back memories.\So you brought these for me. response:	Every day was so much fun back then.
context: Sure.\Looking at them brings back memories.\Yeah.\We were always together.\Oh, yeah, I forgot I have this.\Oh, this brings back memories.\So you brought these for me.\Every day was so much fun back then. response:	I wish life could've stayed that way.
context: Looking at them brings back memories.\Yeah.\We were always together.\Oh, yeah, I forgot I have this.\Oh, this brings back memories.\So you brought these for me.\Every day was so much fun back then.\I wish life could've stayed that way. response:	Souta...
context: Yeah.\We were always together.\Oh, yeah, I forgot I have this.\Oh, this brings back memories.\So you brought these for me.\Every day was so much fun back then.\I wish life could've stayed that way.\Souta... response:	Don't look at me like that.
context: We were always together.\Oh, yeah, I forgot I have this.\Oh, this brings back memories.\So you brought these for me.\Every day was so much fun back then.\I wish life could've stayed that way.\Souta...\Don't look at me like that. response:	I'm having tons of fun right now, too.
context: Oh, yeah, I forgot I have this.\Oh, this brings back memories.\So you brought these for me.\Every day was so much fun back then.\I wish life could've stayed that way.\Souta...\Don't look at me like that.\I'm having tons of fun right now, too. response:	Oh.
context: Oh, this brings back memories.\So you brought these for me.\Every day was so much fun back then.\I wish life could've stayed that way.\Souta...\Don't look at me like that.\I'm having tons of fun right now, too.\Oh. response:	Rin-kun, you remember this?
context: So you brought these for me.\Every day was so much fun back then.\I wish life could've stayed that way.\Souta...\Don't look at me like that.\I'm having tons of fun right now, too.\Oh.\Rin-kun, you remember this? response:	Yeah, I remember.
context: Every day was so much fun back then.\I wish life could've stayed that way.\Souta...\Don't look at me like that.\I'm having tons of fun right now, too.\Oh.\Rin-kun, you remember this?\Yeah, I remember. response:	That was when we took on the bathhouse's chimney and won.
context: I wish life could've stayed that way.\Souta...\Don't look at me like that.\I'm having tons of fun right now, too.\Oh.\Rin-kun, you remember this?\Yeah, I remember.\That was when we took on the bathhouse's chimney and won. response:	Speaking of which...
context: Souta...\Don't look at me like that.\I'm having tons of fun right now, too.\Oh.\Rin-kun, you remember this?\Yeah, I remember.\That was when we took on the bathhouse's chimney and won.\Speaking of which... response:	We did it, Souta!
context: Don't look at me like that.\I'm having tons of fun right now, too.\Oh.\Rin-kun, you remember this?\Yeah, I remember.\That was when we took on the bathhouse's chimney and won.\Speaking of which...\We did it, Souta! response:	Yeah, I'm glad we made it to the top before I moved.
context: I'm having tons of fun right now, too.\Oh.\Rin-kun, you remember this?\Yeah, I remember.\That was when we took on the bathhouse's chimney and won.\Speaking of which...\We did it, Souta!\Yeah, I'm glad we made it to the top before I moved. response:	S-Souta... I...
context: Oh.\Rin-kun, you remember this?\Yeah, I remember.\That was when we took on the bathhouse's chimney and won.\Speaking of which...\We did it, Souta!\Yeah, I'm glad we made it to the top before I moved.\S-Souta... I... response:	Anyway, to commemorate this moment,
context: Rin-kun, you remember this?\Yeah, I remember.\That was when we took on the bathhouse's chimney and won.\Speaking of which...\We did it, Souta!\Yeah, I'm glad we made it to the top before I moved.\S-Souta... I...\Anyway, to commemorate this moment, response:	I say we have a pissing contest.
context: Yeah, I remember.\That was when we took on the bathhouse's chimney and won.\Speaking of which...\We did it, Souta!\Yeah, I'm glad we made it to the top before I moved.\S-Souta... I...\Anyway, to commemorate this moment,\I say we have a pissing contest. response:	Wh-What are you saying?
context: That was when we took on the bathhouse's chimney and won.\Speaking of which...\We did it, Souta!\Yeah, I'm glad we made it to the top before I moved.\S-Souta... I...\Anyway, to commemorate this moment,\I say we have a pissing contest.\Wh-What are you saying? response:	What? You scared of losing?
context: Speaking of which...\We did it, Souta!\Yeah, I'm glad we made it to the top before I moved.\S-Souta... I...\Anyway, to commemorate this moment,\I say we have a pissing contest.\Wh-What are you saying?\What? You scared of losing? response:	Fine. You're on.
context: We did it, Souta!\Yeah, I'm glad we made it to the top before I moved.\S-Souta... I...\Anyway, to commemorate this moment,\I say we have a pissing contest.\Wh-What are you saying?\What? You scared of losing?\Fine. You're on. response:	On your mark...
context: Yeah, I'm glad we made it to the top before I moved.\S-Souta... I...\Anyway, to commemorate this moment,\I say we have a pissing contest.\Wh-What are you saying?\What? You scared of losing?\Fine. You're on.\On your mark... response:	You idiot!
context: S-Souta... I...\Anyway, to commemorate this moment,\I say we have a pissing contest.\Wh-What are you saying?\What? You scared of losing?\Fine. You're on.\On your mark...\You idiot! response:	R-Rin-kun, what's up?
context: Anyway, to commemorate this moment,\I say we have a pissing contest.\Wh-What are you saying?\What? You scared of losing?\Fine. You're on.\On your mark...\You idiot!\R-Rin-kun, what's up? response:	I-I know we were kids, b-but still...
context: I say we have a pissing contest.\Wh-What are you saying?\What? You scared of losing?\Fine. You're on.\On your mark...\You idiot!\R-Rin-kun, what's up?\I-I know we were kids, b-but still... response:	All right! You're a man, take responsibility.
context: Wh-What are you saying?\What? You scared of losing?\Fine. You're on.\On your mark...\You idiot!\R-Rin-kun, what's up?\I-I know we were kids, b-but still...\All right! You're a man, take responsibility. response:	R-Responsibility for what?
context: What? You scared of losing?\Fine. You're on.\On your mark...\You idiot!\R-Rin-kun, what's up?\I-I know we were kids, b-but still...\All right! You're a man, take responsibility.\R-Responsibility for what? response:	You know exactly what I mean!
context: Fine. You're on.\On your mark...\You idiot!\R-Rin-kun, what's up?\I-I know we were kids, b-but still...\All right! You're a man, take responsibility.\R-Responsibility for what?\You know exactly what I mean! response:	Y-You know...
context: On your mark...\You idiot!\R-Rin-kun, what's up?\I-I know we were kids, b-but still...\All right! You're a man, take responsibility.\R-Responsibility for what?\You know exactly what I mean!\Y-You know... response:	Rin-kun?!
context: You idiot!\R-Rin-kun, what's up?\I-I know we were kids, b-but still...\All right! You're a man, take responsibility.\R-Responsibility for what?\You know exactly what I mean!\Y-You know...\Rin-kun?! response:	Hey Rin-kun?!
context: R-Rin-kun, what's up?\I-I know we were kids, b-but still...\All right! You're a man, take responsibility.\R-Responsibility for what?\You know exactly what I mean!\Y-You know...\Rin-kun?!\Hey Rin-kun?! response:	O-Okiku-nee...
context: I-I know we were kids, b-but still...\All right! You're a man, take responsibility.\R-Responsibility for what?\You know exactly what I mean!\Y-You know...\Rin-kun?!\Hey Rin-kun?!\O-Okiku-nee... response:	Sou-ku
context: All right! You're a man, take responsibility.\R-Responsibility for what?\You know exactly what I mean!\Y-You know...\Rin-kun?!\Hey Rin-kun?!\O-Okiku-nee...\Sou-ku response:	Hm?
context: R-Responsibility for what?\You know exactly what I mean!\Y-You know...\Rin-kun?!\Hey Rin-kun?!\O-Okiku-nee...\Sou-ku\Hm? response:	You all want to go somewhere with me?
context: You know exactly what I mean!\Y-You know...\Rin-kun?!\Hey Rin-kun?!\O-Okiku-nee...\Sou-ku\Hm?\You all want to go somewhere with me? response:	I can go with you if you really insist.
context: Y-You know...\Rin-kun?!\Hey Rin-kun?!\O-Okiku-nee...\Sou-ku\Hm?\You all want to go somewhere with me?\I can go with you if you really insist. response:	We're back.
context: Rin-kun?!\Hey Rin-kun?!\O-Okiku-nee...\Sou-ku\Hm?\You all want to go somewhere with me?\I can go with you if you really insist.\We're back. response:	Hm?
context: Hey Rin-kun?!\O-Okiku-nee...\Sou-ku\Hm?\You all want to go somewhere with me?\I can go with you if you really insist.\We're back.\Hm? response:	I'm back.
context: O-Okiku-nee...\Sou-ku\Hm?\You all want to go somewhere with me?\I can go with you if you really insist.\We're back.\Hm?\I'm back. response:	Rin-chan'll be fine once she gets a little rest.
context: Sou-ku\Hm?\You all want to go somewhere with me?\I can go with you if you really insist.\We're back.\Hm?\I'm back.\Rin-chan'll be fine once she gets a little rest. response:	I'm glad.
context: Hm?\You all want to go somewhere with me?\I can go with you if you really insist.\We're back.\Hm?\I'm back.\Rin-chan'll be fine once she gets a little rest.\I'm glad. response:	Sorry.
context: You all want to go somewhere with me?\I can go with you if you really insist.\We're back.\Hm?\I'm back.\Rin-chan'll be fine once she gets a little rest.\I'm glad.\Sorry. response:	There might not be enough time to go somewhere with you now.
context: I can go with you if you really insist.\We're back.\Hm?\I'm back.\Rin-chan'll be fine once she gets a little rest.\I'm glad.\Sorry.\There might not be enough time to go somewhere with you now. response:	It's fine.
context: We're back.\Hm?\I'm back.\Rin-chan'll be fine once she gets a little rest.\I'm glad.\Sorry.\There might not be enough time to go somewhere with you now.\It's fine. response:	But...
context: Hm?\I'm back.\Rin-chan'll be fine once she gets a little rest.\I'm glad.\Sorry.\There might not be enough time to go somewhere with you now.\It's fine.\But... response:	Oh, right.
context: I'm back.\Rin-chan'll be fine once she gets a little rest.\I'm glad.\Sorry.\There might not be enough time to go somewhere with you now.\It's fine.\But...\Oh, right. response:	If you're really upset about it, then sleep on my lap for a bit.
context: Rin-chan'll be fine once she gets a little rest.\I'm glad.\Sorry.\There might not be enough time to go somewhere with you now.\It's fine.\But...\Oh, right.\If you're really upset about it, then sleep on my lap for a bit. response:	Normally it's the guy who asks that.
context: I'm glad.\Sorry.\There might not be enough time to go somewhere with you now.\It's fine.\But...\Oh, right.\If you're really upset about it, then sleep on my lap for a bit.\Normally it's the guy who asks that. response:	I really like that.
context: Sorry.\There might not be enough time to go somewhere with you now.\It's fine.\But...\Oh, right.\If you're really upset about it, then sleep on my lap for a bit.\Normally it's the guy who asks that.\I really like that. response:	Okiku-nee, that's...
context: There might not be enough time to go somewhere with you now.\It's fine.\But...\Oh, right.\If you're really upset about it, then sleep on my lap for a bit.\Normally it's the guy who asks that.\I really like that.\Okiku-nee, that's... response:	Oh, this?
context: It's fine.\But...\Oh, right.\If you're really upset about it, then sleep on my lap for a bit.\Normally it's the guy who asks that.\I really like that.\Okiku-nee, that's...\Oh, this? response:	You remembered.
context: But...\Oh, right.\If you're really upset about it, then sleep on my lap for a bit.\Normally it's the guy who asks that.\I really like that.\Okiku-nee, that's...\Oh, this?\You remembered. response:	Of course I did.
context: Oh, right.\If you're really upset about it, then sleep on my lap for a bit.\Normally it's the guy who asks that.\I really like that.\Okiku-nee, that's...\Oh, this?\You remembered.\Of course I did. response:	What's wrong, Okiku-chan?
context: If you're really upset about it, then sleep on my lap for a bit.\Normally it's the guy who asks that.\I really like that.\Okiku-nee, that's...\Oh, this?\You remembered.\Of course I did.\What's wrong, Okiku-chan? response:	I want to be a big sister.
context: Normally it's the guy who asks that.\I really like that.\Okiku-nee, that's...\Oh, this?\You remembered.\Of course I did.\What's wrong, Okiku-chan?\I want to be a big sister. response:	But now I can't...
context: I really like that.\Okiku-nee, that's...\Oh, this?\You remembered.\Of course I did.\What's wrong, Okiku-chan?\I want to be a big sister.\But now I can't... response:	Okiku-chan.
context: Okiku-nee, that's...\Oh, this?\You remembered.\Of course I did.\What's wrong, Okiku-chan?\I want to be a big sister.\But now I can't...\Okiku-chan. response:	Sou-kun?
context: Oh, this?\You remembered.\Of course I did.\What's wrong, Okiku-chan?\I want to be a big sister.\But now I can't...\Okiku-chan.\Sou-kun? response:	This is important to me, and I'll give it to you.
context: You remembered.\Of course I did.\What's wrong, Okiku-chan?\I want to be a big sister.\But now I can't...\Okiku-chan.\Sou-kun?\This is important to me, and I'll give it to you. response:	And... And...
context: Of course I did.\What's wrong, Okiku-chan?\I want to be a big sister.\But now I can't...\Okiku-chan.\Sou-kun?\This is important to me, and I'll give it to you.\And... And... response:	I'll... I'll be your little brother.
context: What's wrong, Okiku-chan?\I want to be a big sister.\But now I can't...\Okiku-chan.\Sou-kun?\This is important to me, and I'll give it to you.\And... And...\I'll... I'll be your little brother. response:	Sou-kun...
context: I want to be a big sister.\But now I can't...\Okiku-chan.\Sou-kun?\This is important to me, and I'll give it to you.\And... And...\I'll... I'll be your little brother.\Sou-kun... response:	I can't be your little brother?
context: But now I can't...\Okiku-chan.\Sou-kun?\This is important to me, and I'll give it to you.\And... And...\I'll... I'll be your little brother.\Sou-kun...\I can't be your little brother? response:	No, you can.
context: Okiku-chan.\Sou-kun?\This is important to me, and I'll give it to you.\And... And...\I'll... I'll be your little brother.\Sou-kun...\I can't be your little brother?\No, you can. response:	I'm...
context: Sou-kun?\This is important to me, and I'll give it to you.\And... And...\I'll... I'll be your little brother.\Sou-kun...\I can't be your little brother?\No, you can.\I'm... response:	I'm really happy.
context: This is important to me, and I'll give it to you.\And... And...\I'll... I'll be your little brother.\Sou-kun...\I can't be your little brother?\No, you can.\I'm...\I'm really happy. response:	But...
context: And... And...\I'll... I'll be your little brother.\Sou-kun...\I can't be your little brother?\No, you can.\I'm...\I'm really happy.\But... response:	Then will you call me oneechan?
context: I'll... I'll be your little brother.\Sou-kun...\I can't be your little brother?\No, you can.\I'm...\I'm really happy.\But...\Then will you call me oneechan? response:	Sure.
context: Sou-kun...\I can't be your little brother?\No, you can.\I'm...\I'm really happy.\But...\Then will you call me oneechan?\Sure. response:	Okiku-neechan!
context: I can't be your little brother?\No, you can.\I'm...\I'm really happy.\But...\Then will you call me oneechan?\Sure.\Okiku-neechan! response:	Thank you, Sou-kun!
context: No, you can.\I'm...\I'm really happy.\But...\Then will you call me oneechan?\Sure.\Okiku-neechan!\Thank you, Sou-kun! response:	You know, I haven't been that great.
context: I'm...\I'm really happy.\But...\Then will you call me oneechan?\Sure.\Okiku-neechan!\Thank you, Sou-kun!\You know, I haven't been that great. response:	I really haven't be a good little brother character for you.
context: I'm really happy.\But...\Then will you call me oneechan?\Sure.\Okiku-neechan!\Thank you, Sou-kun!\You know, I haven't been that great.\I really haven't be a good little brother character for you. response:	I keep telling you, you're not a little brother character,
context: But...\Then will you call me oneechan?\Sure.\Okiku-neechan!\Thank you, Sou-kun!\You know, I haven't been that great.\I really haven't be a good little brother character for you.\I keep telling you, you're not a little brother character, response:	you're actually my little brother.
context: Then will you call me oneechan?\Sure.\Okiku-neechan!\Thank you, Sou-kun!\You know, I haven't been that great.\I really haven't be a good little brother character for you.\I keep telling you, you're not a little brother character,\you're actually my little brother. response:	Yeah, that's true.
context: Sure.\Okiku-neechan!\Thank you, Sou-kun!\You know, I haven't been that great.\I really haven't be a good little brother character for you.\I keep telling you, you're not a little brother character,\you're actually my little brother.\Yeah, that's true. response:	My real sister got mad at me for
