context: TL Note: Hitsumabushi: Eel-and-rice bowl, a specialty of Nagoya. response:	TL Note: A parody of Calpis Water, a Japanese uncarbonated soft drink.
context: What he did yesterday is unforgivable!\If only it had happened on another day...\He was too cruel!\Jin, it's your fault!\Because of your own selfish ideas, you toyed with a woman's innocence, you beast!\All men are wolves!\And go throw this away!\What did you go talk to her for? response:	It's natural that she'd get mad.
context: If only it had happened on another day...\He was too cruel!\Jin, it's your fault!\Because of your own selfish ideas, you toyed with a woman's innocence, you beast!\All men are wolves!\And go throw this away!\What did you go talk to her for?\It's natural that she'd get mad. response:	Frankly, your recklessness is so great that you don't even fear gods.
context: He was too cruel!\Jin, it's your fault!\Because of your own selfish ideas, you toyed with a woman's innocence, you beast!\All men are wolves!\And go throw this away!\What did you go talk to her for?\It's natural that she'd get mad.\Frankly, your recklessness is so great that you don't even fear gods. response:	Well, I know that's true...
context: Jin, it's your fault!\Because of your own selfish ideas, you toyed with a woman's innocence, you beast!\All men are wolves!\And go throw this away!\What did you go talk to her for?\It's natural that she'd get mad.\Frankly, your recklessness is so great that you don't even fear gods.\Well, I know that's true... response:	But I did it thinking that she would be happy.
context: Because of your own selfish ideas, you toyed with a woman's innocence, you beast!\All men are wolves!\And go throw this away!\What did you go talk to her for?\It's natural that she'd get mad.\Frankly, your recklessness is so great that you don't even fear gods.\Well, I know that's true...\But I did it thinking that she would be happy. response:	You need to follow the necessary procedures for something like this.
context: All men are wolves!\And go throw this away!\What did you go talk to her for?\It's natural that she'd get mad.\Frankly, your recklessness is so great that you don't even fear gods.\Well, I know that's true...\But I did it thinking that she would be happy.\You need to follow the necessary procedures for something like this. response:	Well, I've had similar experiences before.
context: And go throw this away!\What did you go talk to her for?\It's natural that she'd get mad.\Frankly, your recklessness is so great that you don't even fear gods.\Well, I know that's true...\But I did it thinking that she would be happy.\You need to follow the necessary procedures for something like this.\Well, I've had similar experiences before. response:	In a gal-game.
context: What did you go talk to her for?\It's natural that she'd get mad.\Frankly, your recklessness is so great that you don't even fear gods.\Well, I know that's true...\But I did it thinking that she would be happy.\You need to follow the necessary procedures for something like this.\Well, I've had similar experiences before.\In a gal-game. response:	Anyway, I'm counting on you.
context: It's natural that she'd get mad.\Frankly, your recklessness is so great that you don't even fear gods.\Well, I know that's true...\But I did it thinking that she would be happy.\You need to follow the necessary procedures for something like this.\Well, I've had similar experiences before.\In a gal-game.\Anyway, I'm counting on you. response:	All right. I'll think of something.
context: Frankly, your recklessness is so great that you don't even fear gods.\Well, I know that's true...\But I did it thinking that she would be happy.\You need to follow the necessary procedures for something like this.\Well, I've had similar experiences before.\In a gal-game.\Anyway, I'm counting on you.\All right. I'll think of something. response:	I'll get ready and head over to your place. See you later.
context: Well, I know that's true...\But I did it thinking that she would be happy.\You need to follow the necessary procedures for something like this.\Well, I've had similar experiences before.\In a gal-game.\Anyway, I'm counting on you.\All right. I'll think of something.\I'll get ready and head over to your place. See you later. response:	Thanks. Laters.
context: But I did it thinking that she would be happy.\You need to follow the necessary procedures for something like this.\Well, I've had similar experiences before.\In a gal-game.\Anyway, I'm counting on you.\All right. I'll think of something.\I'll get ready and head over to your place. See you later.\Thanks. Laters. response:	How was it?
context: You need to follow the necessary procedures for something like this.\Well, I've had similar experiences before.\In a gal-game.\Anyway, I'm counting on you.\All right. I'll think of something.\I'll get ready and head over to your place. See you later.\Thanks. Laters.\How was it? response:	He said he'll come over later.
context: Well, I've had similar experiences before.\In a gal-game.\Anyway, I'm counting on you.\All right. I'll think of something.\I'll get ready and head over to your place. See you later.\Thanks. Laters.\How was it?\He said he'll come over later. response:	I see.
context: In a gal-game.\Anyway, I'm counting on you.\All right. I'll think of something.\I'll get ready and head over to your place. See you later.\Thanks. Laters.\How was it?\He said he'll come over later.\I see. response:	It's been a long time...
context: Anyway, I'm counting on you.\All right. I'll think of something.\I'll get ready and head over to your place. See you later.\Thanks. Laters.\How was it?\He said he'll come over later.\I see.\It's been a long time... response:	Is that so?
context: All right. I'll think of something.\I'll get ready and head over to your place. See you later.\Thanks. Laters.\How was it?\He said he'll come over later.\I see.\It's been a long time...\Is that so? response:	I've been pretty busy since she came here.
context: I'll get ready and head over to your place. See you later.\Thanks. Laters.\How was it?\He said he'll come over later.\I see.\It's been a long time...\Is that so?\I've been pretty busy since she came here. response:	Mega Milk tits?
context: Thanks. Laters.\How was it?\He said he'll come over later.\I see.\It's been a long time...\Is that so?\I've been pretty busy since she came here.\Mega Milk tits? response:	Oh.
context: How was it?\He said he'll come over later.\I see.\It's been a long time...\Is that so?\I've been pretty busy since she came here.\Mega Milk tits?\Oh. response:	Oh.
context: He said he'll come over later.\I see.\It's been a long time...\Is that so?\I've been pretty busy since she came here.\Mega Milk tits?\Oh.\Oh. response:	You're early, Akiba...
context: I see.\It's been a long time...\Is that so?\I've been pretty busy since she came here.\Mega Milk tits?\Oh.\Oh.\You're early, Akiba... response:	Oh, my sister is doing something like that?
context: It's been a long time...\Is that so?\I've been pretty busy since she came here.\Mega Milk tits?\Oh.\Oh.\You're early, Akiba...\Oh, my sister is doing something like that? response:	No wonder the house felt so quiet today.
context: Is that so?\I've been pretty busy since she came here.\Mega Milk tits?\Oh.\Oh.\You're early, Akiba...\Oh, my sister is doing something like that?\No wonder the house felt so quiet today. response:	Which means...
context: I've been pretty busy since she came here.\Mega Milk tits?\Oh.\Oh.\You're early, Akiba...\Oh, my sister is doing something like that?\No wonder the house felt so quiet today.\Which means... response:	The two of us are alone, right?
context: Mega Milk tits?\Oh.\Oh.\You're early, Akiba...\Oh, my sister is doing something like that?\No wonder the house felt so quiet today.\Which means...\The two of us are alone, right? response:	Jin-kun!
context: Oh.\Oh.\You're early, Akiba...\Oh, my sister is doing something like that?\No wonder the house felt so quiet today.\Which means...\The two of us are alone, right?\Jin-kun! response:	Hey, hey! Can't you see me?
context: Oh.\You're early, Akiba...\Oh, my sister is doing something like that?\No wonder the house felt so quiet today.\Which means...\The two of us are alone, right?\Jin-kun!\Hey, hey! Can't you see me? response:	The fried egg person?
context: You're early, Akiba...\Oh, my sister is doing something like that?\No wonder the house felt so quiet today.\Which means...\The two of us are alone, right?\Jin-kun!\Hey, hey! Can't you see me?\The fried egg person? response:	My name is Tsugumi!
context: Oh, my sister is doing something like that?\No wonder the house felt so quiet today.\Which means...\The two of us are alone, right?\Jin-kun!\Hey, hey! Can't you see me?\The fried egg person?\My name is Tsugumi! response:	Oh, pardon me.
context: No wonder the house felt so quiet today.\Which means...\The two of us are alone, right?\Jin-kun!\Hey, hey! Can't you see me?\The fried egg person?\My name is Tsugumi!\Oh, pardon me. response:	So, Jin-kun, shall I help you drag Neesama out of there?
context: Which means...\The two of us are alone, right?\Jin-kun!\Hey, hey! Can't you see me?\The fried egg person?\My name is Tsugumi!\Oh, pardon me.\So, Jin-kun, shall I help you drag Neesama out of there? response:	I have a good plan.
context: The two of us are alone, right?\Jin-kun!\Hey, hey! Can't you see me?\The fried egg person?\My name is Tsugumi!\Oh, pardon me.\So, Jin-kun, shall I help you drag Neesama out of there?\I have a good plan. response:	It's so hot.
context: Jin-kun!\Hey, hey! Can't you see me?\The fried egg person?\My name is Tsugumi!\Oh, pardon me.\So, Jin-kun, shall I help you drag Neesama out of there?\I have a good plan.\It's so hot. response:	Nagi.
context: Hey, hey! Can't you see me?\The fried egg person?\My name is Tsugumi!\Oh, pardon me.\So, Jin-kun, shall I help you drag Neesama out of there?\I have a good plan.\It's so hot.\Nagi. response:	W-What?!
context: The fried egg person?\My name is Tsugumi!\Oh, pardon me.\So, Jin-kun, shall I help you drag Neesama out of there?\I have a good plan.\It's so hot.\Nagi.\W-What?! response:	About what happened yesterday night...
context: My name is Tsugumi!\Oh, pardon me.\So, Jin-kun, shall I help you drag Neesama out of there?\I have a good plan.\It's so hot.\Nagi.\W-What?!\About what happened yesterday night... response:	We'll work something out.
context: Oh, pardon me.\So, Jin-kun, shall I help you drag Neesama out of there?\I have a good plan.\It's so hot.\Nagi.\W-What?!\About what happened yesterday night...\We'll work something out. response:	So please come out.
context: So, Jin-kun, shall I help you drag Neesama out of there?\I have a good plan.\It's so hot.\Nagi.\W-What?!\About what happened yesterday night...\We'll work something out.\So please come out. response:	You think I'll fall for that?
context: I have a good plan.\It's so hot.\Nagi.\W-What?!\About what happened yesterday night...\We'll work something out.\So please come out.\You think I'll fall for that? response:	Even if you try to lure me out with sweet words, things won't go your way!
context: It's so hot.\Nagi.\W-What?!\About what happened yesterday night...\We'll work something out.\So please come out.\You think I'll fall for that?\Even if you try to lure me out with sweet words, things won't go your way! response:	All adults are liars!
context: Nagi.\W-What?!\About what happened yesterday night...\We'll work something out.\So please come out.\You think I'll fall for that?\Even if you try to lure me out with sweet words, things won't go your way!\All adults are liars! response:	Look, Jin-kun.
context: W-What?!\About what happened yesterday night...\We'll work something out.\So please come out.\You think I'll fall for that?\Even if you try to lure me out with sweet words, things won't go your way!\All adults are liars!\Look, Jin-kun. response:	She lacks understanding, so just leave her alone.
context: About what happened yesterday night...\We'll work something out.\So please come out.\You think I'll fall for that?\Even if you try to lure me out with sweet words, things won't go your way!\All adults are liars!\Look, Jin-kun.\She lacks understanding, so just leave her alone. response:	Is that Zange?
context: We'll work something out.\So please come out.\You think I'll fall for that?\Even if you try to lure me out with sweet words, things won't go your way!\All adults are liars!\Look, Jin-kun.\She lacks understanding, so just leave her alone.\Is that Zange? response:	That's right.
context: So please come out.\You think I'll fall for that?\Even if you try to lure me out with sweet words, things won't go your way!\All adults are liars!\Look, Jin-kun.\She lacks understanding, so just leave her alone.\Is that Zange?\That's right. response:	But now that you've become a closet princess, anyone outside is none of your concern, right?
context: You think I'll fall for that?\Even if you try to lure me out with sweet words, things won't go your way!\All adults are liars!\Look, Jin-kun.\She lacks understanding, so just leave her alone.\Is that Zange?\That's right.\But now that you've become a closet princess, anyone outside is none of your concern, right? response:	That's right. I have no more interest in the secular world.
context: Even if you try to lure me out with sweet words, things won't go your way!\All adults are liars!\Look, Jin-kun.\She lacks understanding, so just leave her alone.\Is that Zange?\That's right.\But now that you've become a closet princess, anyone outside is none of your concern, right?\That's right. I have no more interest in the secular world. response:	You heard her. Jin-kun, you should forget about Neesama.
context: All adults are liars!\Look, Jin-kun.\She lacks understanding, so just leave her alone.\Is that Zange?\That's right.\But now that you've become a closet princess, anyone outside is none of your concern, right?\That's right. I have no more interest in the secular world.\You heard her. Jin-kun, you should forget about Neesama. response:	No, that won't do...
context: Look, Jin-kun.\She lacks understanding, so just leave her alone.\Is that Zange?\That's right.\But now that you've become a closet princess, anyone outside is none of your concern, right?\That's right. I have no more interest in the secular world.\You heard her. Jin-kun, you should forget about Neesama.\No, that won't do... response:	Let me take care of you from now on.
context: She lacks understanding, so just leave her alone.\Is that Zange?\That's right.\But now that you've become a closet princess, anyone outside is none of your concern, right?\That's right. I have no more interest in the secular world.\You heard her. Jin-kun, you should forget about Neesama.\No, that won't do...\Let me take care of you from now on. response:	Let's do a lot of fun and embarrassing things.
context: Is that Zange?\That's right.\But now that you've become a closet princess, anyone outside is none of your concern, right?\That's right. I have no more interest in the secular world.\You heard her. Jin-kun, you should forget about Neesama.\No, that won't do...\Let me take care of you from now on.\Let's do a lot of fun and embarrassing things. response:	W-What kind of embarrassing things?
context: That's right.\But now that you've become a closet princess, anyone outside is none of your concern, right?\That's right. I have no more interest in the secular world.\You heard her. Jin-kun, you should forget about Neesama.\No, that won't do...\Let me take care of you from now on.\Let's do a lot of fun and embarrassing things.\W-What kind of embarrassing things? response:	It's too embarrassing to say.
context: But now that you've become a closet princess, anyone outside is none of your concern, right?\That's right. I have no more interest in the secular world.\You heard her. Jin-kun, you should forget about Neesama.\No, that won't do...\Let me take care of you from now on.\Let's do a lot of fun and embarrassing things.\W-What kind of embarrassing things?\It's too embarrassing to say. response:	What are you thinking of doing?!
context: That's right. I have no more interest in the secular world.\You heard her. Jin-kun, you should forget about Neesama.\No, that won't do...\Let me take care of you from now on.\Let's do a lot of fun and embarrassing things.\W-What kind of embarrassing things?\It's too embarrassing to say.\What are you thinking of doing?! response:	Huh? I must be hearing things.
context: You heard her. Jin-kun, you should forget about Neesama.\No, that won't do...\Let me take care of you from now on.\Let's do a lot of fun and embarrassing things.\W-What kind of embarrassing things?\It's too embarrassing to say.\What are you thinking of doing?!\Huh? I must be hearing things. response:	Or is it a Zashikiwarashi?
context: No, that won't do...\Let me take care of you from now on.\Let's do a lot of fun and embarrassing things.\W-What kind of embarrassing things?\It's too embarrassing to say.\What are you thinking of doing?!\Huh? I must be hearing things.\Or is it a Zashikiwarashi? response:	Oh well, let's not bother about the imaginary voices, let's do a lot of embarrassing things now!
context: Let me take care of you from now on.\Let's do a lot of fun and embarrassing things.\W-What kind of embarrassing things?\It's too embarrassing to say.\What are you thinking of doing?!\Huh? I must be hearing things.\Or is it a Zashikiwarashi?\Oh well, let's not bother about the imaginary voices, let's do a lot of embarrassing things now! response:	W-Wait! Zange-chan!
context: Let's do a lot of fun and embarrassing things.\W-What kind of embarrassing things?\It's too embarrassing to say.\What are you thinking of doing?!\Huh? I must be hearing things.\Or is it a Zashikiwarashi?\Oh well, let's not bother about the imaginary voices, let's do a lot of embarrassing things now!\W-Wait! Zange-chan! response:	Even if it's just a ploy, they're going too far!
context: W-What kind of embarrassing things?\It's too embarrassing to say.\What are you thinking of doing?!\Huh? I must be hearing things.\Or is it a Zashikiwarashi?\Oh well, let's not bother about the imaginary voices, let's do a lot of embarrassing things now!\W-Wait! Zange-chan!\Even if it's just a ploy, they're going too far! response:	I see. You're trying to arouse my interest and drag me out while I'm peeking, right?
context: It's too embarrassing to say.\What are you thinking of doing?!\Huh? I must be hearing things.\Or is it a Zashikiwarashi?\Oh well, let's not bother about the imaginary voices, let's do a lot of embarrassing things now!\W-Wait! Zange-chan!\Even if it's just a ploy, they're going too far!\I see. You're trying to arouse my interest and drag me out while I'm peeking, right? response:	I won't fall for your trick!
context: What are you thinking of doing?!\Huh? I must be hearing things.\Or is it a Zashikiwarashi?\Oh well, let's not bother about the imaginary voices, let's do a lot of embarrassing things now!\W-Wait! Zange-chan!\Even if it's just a ploy, they're going too far!\I see. You're trying to arouse my interest and drag me out while I'm peeking, right?\I won't fall for your trick! response:	Zange-chan, isn't this just an act?
context: Huh? I must be hearing things.\Or is it a Zashikiwarashi?\Oh well, let's not bother about the imaginary voices, let's do a lot of embarrassing things now!\W-Wait! Zange-chan!\Even if it's just a ploy, they're going too far!\I see. You're trying to arouse my interest and drag me out while I'm peeking, right?\I won't fall for your trick!\Zange-chan, isn't this just an act? response:	No, you mustn't say that! Neesama will get suspicious!
context: Or is it a Zashikiwarashi?\Oh well, let's not bother about the imaginary voices, let's do a lot of embarrassing things now!\W-Wait! Zange-chan!\Even if it's just a ploy, they're going too far!\I see. You're trying to arouse my interest and drag me out while I'm peeking, right?\I won't fall for your trick!\Zange-chan, isn't this just an act?\No, you mustn't say that! Neesama will get suspicious! response:	Whether she gets suspicious or not, is this for real?
context: Oh well, let's not bother about the imaginary voices, let's do a lot of embarrassing things now!\W-Wait! Zange-chan!\Even if it's just a ploy, they're going too far!\I see. You're trying to arouse my interest and drag me out while I'm peeking, right?\I won't fall for your trick!\Zange-chan, isn't this just an act?\No, you mustn't say that! Neesama will get suspicious!\Whether she gets suspicious or not, is this for real? response:	Poke, poke.
context: W-Wait! Zange-chan!\Even if it's just a ploy, they're going too far!\I see. You're trying to arouse my interest and drag me out while I'm peeking, right?\I won't fall for your trick!\Zange-chan, isn't this just an act?\No, you mustn't say that! Neesama will get suspicious!\Whether she gets suspicious or not, is this for real?\Poke, poke. response:	No choice, huh? Let's change this into a documentary.
context: Even if it's just a ploy, they're going too far!\I see. You're trying to arouse my interest and drag me out while I'm peeking, right?\I won't fall for your trick!\Zange-chan, isn't this just an act?\No, you mustn't say that! Neesama will get suspicious!\Whether she gets suspicious or not, is this for real?\Poke, poke.\No choice, huh? Let's change this into a documentary. response:	What are you doing...?
context: I see. You're trying to arouse my interest and drag me out while I'm peeking, right?\I won't fall for your trick!\Zange-chan, isn't this just an act?\No, you mustn't say that! Neesama will get suspicious!\Whether she gets suspicious or not, is this for real?\Poke, poke.\No choice, huh? Let's change this into a documentary.\What are you doing...? response:	This is a non-fiction story based on existing people and organizations.
context: I won't fall for your trick!\Zange-chan, isn't this just an act?\No, you mustn't say that! Neesama will get suspicious!\Whether she gets suspicious or not, is this for real?\Poke, poke.\No choice, huh? Let's change this into a documentary.\What are you doing...?\This is a non-fiction story based on existing people and organizations. response:	There might be a portrayal of extreme scenes. Viewers please be warned.
context: Zange-chan, isn't this just an act?\No, you mustn't say that! Neesama will get suspicious!\Whether she gets suspicious or not, is this for real?\Poke, poke.\No choice, huh? Let's change this into a documentary.\What are you doing...?\This is a non-fiction story based on existing people and organizations.\There might be a portrayal of extreme scenes. Viewers please be warned. response:	Now
context: No, you mustn't say that! Neesama will get suspicious!\Whether she gets suspicious or not, is this for real?\Poke, poke.\No choice, huh? Let's change this into a documentary.\What are you doing...?\This is a non-fiction story based on existing people and organizations.\There might be a portrayal of extreme scenes. Viewers please be warned.\Now response:	Don't move, Zange-chan! This could get dangerous!
context: Whether she gets suspicious or not, is this for real?\Poke, poke.\No choice, huh? Let's change this into a documentary.\What are you doing...?\This is a non-fiction story based on existing people and organizations.\There might be a portrayal of extreme scenes. Viewers please be warned.\Now\Don't move, Zange-chan! This could get dangerous! response:	You're so cute, Jin-kun!
context: Poke, poke.\No choice, huh? Let's change this into a documentary.\What are you doing...?\This is a non-fiction story based on existing people and organizations.\There might be a portrayal of extreme scenes. Viewers please be warned.\Now\Don't move, Zange-chan! This could get dangerous!\You're so cute, Jin-kun! response:	If we don't get serious, Neesama won't come out!
context: No choice, huh? Let's change this into a documentary.\What are you doing...?\This is a non-fiction story based on existing people and organizations.\There might be a portrayal of extreme scenes. Viewers please be warned.\Now\Don't move, Zange-chan! This could get dangerous!\You're so cute, Jin-kun!\If we don't get serious, Neesama won't come out! response:	We can't do this, Zange-chan!
context: What are you doing...?\This is a non-fiction story based on existing people and organizations.\There might be a portrayal of extreme scenes. Viewers please be warned.\Now\Don't move, Zange-chan! This could get dangerous!\You're so cute, Jin-kun!\If we don't get serious, Neesama won't come out!\We can't do this, Zange-chan! response:	Don't take me for a fool!
context: This is a non-fiction story based on existing people and organizations.\There might be a portrayal of extreme scenes. Viewers please be warned.\Now\Don't move, Zange-chan! This could get dangerous!\You're so cute, Jin-kun!\If we don't get serious, Neesama won't come out!\We can't do this, Zange-chan!\Don't take me for a fool! response:	If I get tricked by your acts and come out, you'll say gotcha and catch me, right?!
context: There might be a portrayal of extreme scenes. Viewers please be warned.\Now\Don't move, Zange-chan! This could get dangerous!\You're so cute, Jin-kun!\If we don't get serious, Neesama won't come out!\We can't do this, Zange-chan!\Don't take me for a fool!\If I get tricked by your acts and come out, you'll say gotcha and catch me, right?! response:	I won't get tricked!
context: Now\Don't move, Zange-chan! This could get dangerous!\You're so cute, Jin-kun!\If we don't get serious, Neesama won't come out!\We can't do this, Zange-chan!\Don't take me for a fool!\If I get tricked by your acts and come out, you'll say gotcha and catch me, right?!\I won't get tricked! response:	Eh? Jin? Zange?
context: Don't move, Zange-chan! This could get dangerous!\You're so cute, Jin-kun!\If we don't get serious, Neesama won't come out!\We can't do this, Zange-chan!\Don't take me for a fool!\If I get tricked by your acts and come out, you'll say gotcha and catch me, right?!\I won't get tricked!\Eh? Jin? Zange? response:	Jin-kun, look at how much you've discharged.
context: You're so cute, Jin-kun!\If we don't get serious, Neesama won't come out!\We can't do this, Zange-chan!\Don't take me for a fool!\If I get tricked by your acts and come out, you'll say gotcha and catch me, right?!\I won't get tricked!\Eh? Jin? Zange?\Jin-kun, look at how much you've discharged. response:	Hey! What were you doing?!
context: If we don't get serious, Neesama won't come out!\We can't do this, Zange-chan!\Don't take me for a fool!\If I get tricked by your acts and come out, you'll say gotcha and catch me, right?!\I won't get tricked!\Eh? Jin? Zange?\Jin-kun, look at how much you've discharged.\Hey! What were you doing?! response:	Huh?
context: We can't do this, Zange-chan!\Don't take me for a fool!\If I get tricked by your acts and come out, you'll say gotcha and catch me, right?!\I won't get tricked!\Eh? Jin? Zange?\Jin-kun, look at how much you've discharged.\Hey! What were you doing?!\Huh? response:	Jin!
context: Don't take me for a fool!\If I get tricked by your acts and come out, you'll say gotcha and catch me, right?!\I won't get tricked!\Eh? Jin? Zange?\Jin-kun, look at how much you've discharged.\Hey! What were you doing?!\Huh?\Jin! response:	I'm sorry, I got too engrossed in the act.
context: If I get tricked by your acts and come out, you'll say gotcha and catch me, right?!\I won't get tricked!\Eh? Jin? Zange?\Jin-kun, look at how much you've discharged.\Hey! What were you doing?!\Huh?\Jin!\I'm sorry, I got too engrossed in the act. response:	Are you all right?!
context: I won't get tricked!\Eh? Jin? Zange?\Jin-kun, look at how much you've discharged.\Hey! What were you doing?!\Huh?\Jin!\I'm sorry, I got too engrossed in the act.\Are you all right?! response:	What an idiot.
context: Eh? Jin? Zange?\Jin-kun, look at how much you've discharged.\Hey! What were you doing?!\Huh?\Jin!\I'm sorry, I got too engrossed in the act.\Are you all right?!\What an idiot. response:	Hello. This is Mikuriya-
context: Jin-kun, look at how much you've discharged.\Hey! What were you doing?!\Huh?\Jin!\I'm sorry, I got too engrossed in the act.\Are you all right?!\What an idiot.\Hello. This is Mikuriya- response:	I can't answer the phone at the moment.
context: Hey! What were you doing?!\Huh?\Jin!\I'm sorry, I got too engrossed in the act.\Are you all right?!\What an idiot.\Hello. This is Mikuriya-\I can't answer the phone at the moment. response:	Please leave your message after the tone.
context: Huh?\Jin!\I'm sorry, I got too engrossed in the act.\Are you all right?!\What an idiot.\Hello. This is Mikuriya-\I can't answer the phone at the moment.\Please leave your message after the tone. response:	What's Akiba doing?
context: Jin!\I'm sorry, I got too engrossed in the act.\Are you all right?!\What an idiot.\Hello. This is Mikuriya-\I can't answer the phone at the moment.\Please leave your message after the tone.\What's Akiba doing? response:	If I hadn't stopped them then...
context: I'm sorry, I got too engrossed in the act.\Are you all right?!\What an idiot.\Hello. This is Mikuriya-\I can't answer the phone at the moment.\Please leave your message after the tone.\What's Akiba doing?\If I hadn't stopped them then... response:	Zange-chan... What a scary girl.
context: Are you all right?!\What an idiot.\Hello. This is Mikuriya-\I can't answer the phone at the moment.\Please leave your message after the tone.\What's Akiba doing?\If I hadn't stopped them then...\Zange-chan... What a scary girl. response:	We didn't do anything.
context: What an idiot.\Hello. This is Mikuriya-\I can't answer the phone at the moment.\Please leave your message after the tone.\What's Akiba doing?\If I hadn't stopped them then...\Zange-chan... What a scary girl.\We didn't do anything. response:	I know!
context: Hello. This is Mikuriya-\I can't answer the phone at the moment.\Please leave your message after the tone.\What's Akiba doing?\If I hadn't stopped them then...\Zange-chan... What a scary girl.\We didn't do anything.\I know! response:	Wasn't it a pity, Jin-kun?
context: I can't answer the phone at the moment.\Please leave your message after the tone.\What's Akiba doing?\If I hadn't stopped them then...\Zange-chan... What a scary girl.\We didn't do anything.\I know!\Wasn't it a pity, Jin-kun? response:	What do you mean by that?!
context: Please leave your message after the tone.\What's Akiba doing?\If I hadn't stopped them then...\Zange-chan... What a scary girl.\We didn't do anything.\I know!\Wasn't it a pity, Jin-kun?\What do you mean by that?! response:	A love comedy, huh?
context: What's Akiba doing?\If I hadn't stopped them then...\Zange-chan... What a scary girl.\We didn't do anything.\I know!\Wasn't it a pity, Jin-kun?\What do you mean by that?!\A love comedy, huh? response:	A love comedy, indeed.
context: If I hadn't stopped them then...\Zange-chan... What a scary girl.\We didn't do anything.\I know!\Wasn't it a pity, Jin-kun?\What do you mean by that?!\A love comedy, huh?\A love comedy, indeed. response:	Maybe if we got here sooner, we could have been able to see an lyrical and erotic event.
context: Zange-chan... What a scary girl.\We didn't do anything.\I know!\Wasn't it a pity, Jin-kun?\What do you mean by that?!\A love comedy, huh?\A love comedy, indeed.\Maybe if we got here sooner, we could have been able to see an lyrical and erotic event. response:	Looks that way.
context: We didn't do anything.\I know!\Wasn't it a pity, Jin-kun?\What do you mean by that?!\A love comedy, huh?\A love comedy, indeed.\Maybe if we got here sooner, we could have been able to see an lyrical and erotic event.\Looks that way. response:	It's a shame that Takako lost her way.
context: I know!\Wasn't it a pity, Jin-kun?\What do you mean by that?!\A love comedy, huh?\A love comedy, indeed.\Maybe if we got here sooner, we could have been able to see an lyrical and erotic event.\Looks that way.\It's a shame that Takako lost her way. response:	I can't help it. This is the first time I've been to Mikuriya's place...
context: Wasn't it a pity, Jin-kun?\What do you mean by that?!\A love comedy, huh?\A love comedy, indeed.\Maybe if we got here sooner, we could have been able to see an lyrical and erotic event.\Looks that way.\It's a shame that Takako lost her way.\I can't help it. This is the first time I've been to Mikuriya's place... response:	If I remember correctly, you're Nagi-tan's younger sister...
context: What do you mean by that?!\A love comedy, huh?\A love comedy, indeed.\Maybe if we got here sooner, we could have been able to see an lyrical and erotic event.\Looks that way.\It's a shame that Takako lost her way.\I can't help it. This is the first time I've been to Mikuriya's place...\If I remember correctly, you're Nagi-tan's younger sister... response:	I'm Zange-chan!
context: A love comedy, huh?\A love comedy, indeed.\Maybe if we got here sooner, we could have been able to see an lyrical and erotic event.\Looks that way.\It's a shame that Takako lost her way.\I can't help it. This is the first time I've been to Mikuriya's place...\If I remember correctly, you're Nagi-tan's younger sister...\I'm Zange-chan! response:	Anyway, why are you here?!
context: A love comedy, indeed.\Maybe if we got here sooner, we could have been able to see an lyrical and erotic event.\Looks that way.\It's a shame that Takako lost her way.\I can't help it. This is the first time I've been to Mikuriya's place...\If I remember correctly, you're Nagi-tan's younger sister...\I'm Zange-chan!\Anyway, why are you here?! response:	We heard about the situation from Akiba-kun.
context: Maybe if we got here sooner, we could have been able to see an lyrical and erotic event.\Looks that way.\It's a shame that Takako lost her way.\I can't help it. This is the first time I've been to Mikuriya's place...\If I remember correctly, you're Nagi-tan's younger sister...\I'm Zange-chan!\Anyway, why are you here?!\We heard about the situation from Akiba-kun. response:	I was thinking of returning the KamaPure game that I borrowed from Akiba-kun.
context: Looks that way.\It's a shame that Takako lost her way.\I can't help it. This is the first time I've been to Mikuriya's place...\If I remember correctly, you're Nagi-tan's younger sister...\I'm Zange-chan!\Anyway, why are you here?!\We heard about the situation from Akiba-kun.\I was thinking of returning the KamaPure game that I borrowed from Akiba-kun. response:	But because he said that he suddenly had an errand related to you,
context: It's a shame that Takako lost her way.\I can't help it. This is the first time I've been to Mikuriya's place...\If I remember correctly, you're Nagi-tan's younger sister...\I'm Zange-chan!\Anyway, why are you here?!\We heard about the situation from Akiba-kun.\I was thinking of returning the KamaPure game that I borrowed from Akiba-kun.\But because he said that he suddenly had an errand related to you, response:	we decided to meet here.
context: I can't help it. This is the first time I've been to Mikuriya's place...\If I remember correctly, you're Nagi-tan's younger sister...\I'm Zange-chan!\Anyway, why are you here?!\We heard about the situation from Akiba-kun.\I was thinking of returning the KamaPure game that I borrowed from Akiba-kun.\But because he said that he suddenly had an errand related to you,\we decided to meet here. response:	And you just barge into my house like that.
context: If I remember correctly, you're Nagi-tan's younger sister...\I'm Zange-chan!\Anyway, why are you here?!\We heard about the situation from Akiba-kun.\I was thinking of returning the KamaPure game that I borrowed from Akiba-kun.\But because he said that he suddenly had an errand related to you,\we decided to meet here.\And you just barge into my house like that. response:	KamaPure is that thing at my part-time job the other day...
context: I'm Zange-chan!\Anyway, why are you here?!\We heard about the situation from Akiba-kun.\I was thinking of returning the KamaPure game that I borrowed from Akiba-kun.\But because he said that he suddenly had an errand related to you,\we decided to meet here.\And you just barge into my house like that.\KamaPure is that thing at my part-time job the other day... response:	Yup. It's the game in which the cosplay was based on.
