context: Corpseless ...? response:	Yes, something between a Corpse and a human.
context: It's the Corpse!\The Corpse are loose!\If definitely felt it.\Come back, Nameless!\You promised you were going to stay in the boiler car.\Stay out of my way!\Don't move!\So much for Corpseless. response:	You're just like the Corpse.
context: The Corpse are loose!\If definitely felt it.\Come back, Nameless!\You promised you were going to stay in the boiler car.\Stay out of my way!\Don't move!\So much for Corpseless.\You're just like the Corpse. response:	I knew not to trust you.
context: If definitely felt it.\Come back, Nameless!\You promised you were going to stay in the boiler car.\Stay out of my way!\Don't move!\So much for Corpseless.\You're just like the Corpse.\I knew not to trust you. response:	Stop!
context: Come back, Nameless!\You promised you were going to stay in the boiler car.\Stay out of my way!\Don't move!\So much for Corpseless.\You're just like the Corpse.\I knew not to trust you.\Stop! response:	I'm taking Nameless back with me right now.
context: You promised you were going to stay in the boiler car.\Stay out of my way!\Don't move!\So much for Corpseless.\You're just like the Corpse.\I knew not to trust you.\Stop!\I'm taking Nameless back with me right now. response:	I'll make sure she cooperates until we reach Daimond Citadel!
context: Stay out of my way!\Don't move!\So much for Corpseless.\You're just like the Corpse.\I knew not to trust you.\Stop!\I'm taking Nameless back with me right now.\I'll make sure she cooperates until we reach Daimond Citadel! response:	You think you can make me?
context: Don't move!\So much for Corpseless.\You're just like the Corpse.\I knew not to trust you.\Stop!\I'm taking Nameless back with me right now.\I'll make sure she cooperates until we reach Daimond Citadel!\You think you can make me? response:	Nameless -san!
context: So much for Corpseless.\You're just like the Corpse.\I knew not to trust you.\Stop!\I'm taking Nameless back with me right now.\I'll make sure she cooperates until we reach Daimond Citadel!\You think you can make me?\Nameless -san! response:	What is the meaning of this?
context: You're just like the Corpse.\I knew not to trust you.\Stop!\I'm taking Nameless back with me right now.\I'll make sure she cooperates until we reach Daimond Citadel!\You think you can make me?\Nameless -san!\What is the meaning of this? response:	Why did you come out?
context: I knew not to trust you.\Stop!\I'm taking Nameless back with me right now.\I'll make sure she cooperates until we reach Daimond Citadel!\You think you can make me?\Nameless -san!\What is the meaning of this?\Why did you come out? response:	You promised me...
context: Stop!\I'm taking Nameless back with me right now.\I'll make sure she cooperates until we reach Daimond Citadel!\You think you can make me?\Nameless -san!\What is the meaning of this?\Why did you come out?\You promised me... response:	You wouldn't understand even if I told you.
context: I'm taking Nameless back with me right now.\I'll make sure she cooperates until we reach Daimond Citadel!\You think you can make me?\Nameless -san!\What is the meaning of this?\Why did you come out?\You promised me...\You wouldn't understand even if I told you. response:	Hey!
context: I'll make sure she cooperates until we reach Daimond Citadel!\You think you can make me?\Nameless -san!\What is the meaning of this?\Why did you come out?\You promised me...\You wouldn't understand even if I told you.\Hey! response:	We never should have let Corpse s onboard!
context: You think you can make me?\Nameless -san!\What is the meaning of this?\Why did you come out?\You promised me...\You wouldn't understand even if I told you.\Hey!\We never should have let Corpse s onboard! response:	Let's remove them from the train now.
context: Nameless -san!\What is the meaning of this?\Why did you come out?\You promised me...\You wouldn't understand even if I told you.\Hey!\We never should have let Corpse s onboard!\Let's remove them from the train now. response:	I'd like to see you try.
context: What is the meaning of this?\Why did you come out?\You promised me...\You wouldn't understand even if I told you.\Hey!\We never should have let Corpse s onboard!\Let's remove them from the train now.\I'd like to see you try. response:	Stop it!
context: Why did you come out?\You promised me...\You wouldn't understand even if I told you.\Hey!\We never should have let Corpse s onboard!\Let's remove them from the train now.\I'd like to see you try.\Stop it! response:	I've got bad news, Captain.
context: You promised me...\You wouldn't understand even if I told you.\Hey!\We never should have let Corpse s onboard!\Let's remove them from the train now.\I'd like to see you try.\Stop it!\I've got bad news, Captain. response:	Seems like the water tank we patched together is busted.
context: You wouldn't understand even if I told you.\Hey!\We never should have let Corpse s onboard!\Let's remove them from the train now.\I'd like to see you try.\Stop it!\I've got bad news, Captain.\Seems like the water tank we patched together is busted. response:	No way it's making it to the next station.
context: Hey!\We never should have let Corpse s onboard!\Let's remove them from the train now.\I'd like to see you try.\Stop it!\I've got bad news, Captain.\Seems like the water tank we patched together is busted.\No way it's making it to the next station. response:	Are we stopping?
context: We never should have let Corpse s onboard!\Let's remove them from the train now.\I'd like to see you try.\Stop it!\I've got bad news, Captain.\Seems like the water tank we patched together is busted.\No way it's making it to the next station.\Are we stopping? response:	They're gathering water.
context: Let's remove them from the train now.\I'd like to see you try.\Stop it!\I've got bad news, Captain.\Seems like the water tank we patched together is busted.\No way it's making it to the next station.\Are we stopping?\They're gathering water. response:	Check and see if the pressure's rising.
context: I'd like to see you try.\Stop it!\I've got bad news, Captain.\Seems like the water tank we patched together is busted.\No way it's making it to the next station.\Are we stopping?\They're gathering water.\Check and see if the pressure's rising. response:	Yes, that's it.
context: Stop it!\I've got bad news, Captain.\Seems like the water tank we patched together is busted.\No way it's making it to the next station.\Are we stopping?\They're gathering water.\Check and see if the pressure's rising.\Yes, that's it. response:	There are no Corpse s in sight.
context: I've got bad news, Captain.\Seems like the water tank we patched together is busted.\No way it's making it to the next station.\Are we stopping?\They're gathering water.\Check and see if the pressure's rising.\Yes, that's it.\There are no Corpse s in sight. response:	How long do we need in order to repair the water tank?
context: Seems like the water tank we patched together is busted.\No way it's making it to the next station.\Are we stopping?\They're gathering water.\Check and see if the pressure's rising.\Yes, that's it.\There are no Corpse s in sight.\How long do we need in order to repair the water tank? response:	We might be done by morning.
context: No way it's making it to the next station.\Are we stopping?\They're gathering water.\Check and see if the pressure's rising.\Yes, that's it.\There are no Corpse s in sight.\How long do we need in order to repair the water tank?\We might be done by morning. response:	By morning...
context: Are we stopping?\They're gathering water.\Check and see if the pressure's rising.\Yes, that's it.\There are no Corpse s in sight.\How long do we need in order to repair the water tank?\We might be done by morning.\By morning... response:	We can have the lookouts rotate in shifts.
context: They're gathering water.\Check and see if the pressure's rising.\Yes, that's it.\There are no Corpse s in sight.\How long do we need in order to repair the water tank?\We might be done by morning.\By morning...\We can have the lookouts rotate in shifts. response:	Good idea.
context: Check and see if the pressure's rising.\Yes, that's it.\There are no Corpse s in sight.\How long do we need in order to repair the water tank?\We might be done by morning.\By morning...\We can have the lookouts rotate in shifts.\Good idea. response:	Then let us hold a vigil since the Iron Fortress is stopped.
context: Yes, that's it.\There are no Corpse s in sight.\How long do we need in order to repair the water tank?\We might be done by morning.\By morning...\We can have the lookouts rotate in shifts.\Good idea.\Then let us hold a vigil since the Iron Fortress is stopped. response:	For those elderly people?
context: There are no Corpse s in sight.\How long do we need in order to repair the water tank?\We might be done by morning.\By morning...\We can have the lookouts rotate in shifts.\Good idea.\Then let us hold a vigil since the Iron Fortress is stopped.\For those elderly people? response:	I would like to pray as well.
context: How long do we need in order to repair the water tank?\We might be done by morning.\By morning...\We can have the lookouts rotate in shifts.\Good idea.\Then let us hold a vigil since the Iron Fortress is stopped.\For those elderly people?\I would like to pray as well. response:	For my father.
context: We might be done by morning.\By morning...\We can have the lookouts rotate in shifts.\Good idea.\Then let us hold a vigil since the Iron Fortress is stopped.\For those elderly people?\I would like to pray as well.\For my father. response:	Understood.
context: By morning...\We can have the lookouts rotate in shifts.\Good idea.\Then let us hold a vigil since the Iron Fortress is stopped.\For those elderly people?\I would like to pray as well.\For my father.\Understood. response:	Please have mercy. Please have mercy.
context: We can have the lookouts rotate in shifts.\Good idea.\Then let us hold a vigil since the Iron Fortress is stopped.\For those elderly people?\I would like to pray as well.\For my father.\Understood.\Please have mercy. Please have mercy. response:	What?
context: Good idea.\Then let us hold a vigil since the Iron Fortress is stopped.\For those elderly people?\I would like to pray as well.\For my father.\Understood.\Please have mercy. Please have mercy.\What? response:	Is that true?
context: Then let us hold a vigil since the Iron Fortress is stopped.\For those elderly people?\I would like to pray as well.\For my father.\Understood.\Please have mercy. Please have mercy.\What?\Is that true? response:	Yeah.
context: For those elderly people?\I would like to pray as well.\For my father.\Understood.\Please have mercy. Please have mercy.\What?\Is that true?\Yeah. response:	And pretending to be human.
context: I would like to pray as well.\For my father.\Understood.\Please have mercy. Please have mercy.\What?\Is that true?\Yeah.\And pretending to be human. response:	Unforgivable.
context: For my father.\Understood.\Please have mercy. Please have mercy.\What?\Is that true?\Yeah.\And pretending to be human.\Unforgivable. response:	Are you kidding me?
context: Understood.\Please have mercy. Please have mercy.\What?\Is that true?\Yeah.\And pretending to be human.\Unforgivable.\Are you kidding me? response:	Hey, get back to work.
context: Please have mercy. Please have mercy.\What?\Is that true?\Yeah.\And pretending to be human.\Unforgivable.\Are you kidding me?\Hey, get back to work. response:	It's not like praying is going to bring them back to life.
context: What?\Is that true?\Yeah.\And pretending to be human.\Unforgivable.\Are you kidding me?\Hey, get back to work.\It's not like praying is going to bring them back to life. response:	I'll do it.
context: Is that true?\Yeah.\And pretending to be human.\Unforgivable.\Are you kidding me?\Hey, get back to work.\It's not like praying is going to bring them back to life.\I'll do it. response:	You are the worst.
context: Yeah.\And pretending to be human.\Unforgivable.\Are you kidding me?\Hey, get back to work.\It's not like praying is going to bring them back to life.\I'll do it.\You are the worst. response:	Did you lose someone too?
context: And pretending to be human.\Unforgivable.\Are you kidding me?\Hey, get back to work.\It's not like praying is going to bring them back to life.\I'll do it.\You are the worst.\Did you lose someone too? response:	My teacher.
context: Unforgivable.\Are you kidding me?\Hey, get back to work.\It's not like praying is going to bring them back to life.\I'll do it.\You are the worst.\Did you lose someone too?\My teacher. response:	Were you particularly close with your teacher?
context: Are you kidding me?\Hey, get back to work.\It's not like praying is going to bring them back to life.\I'll do it.\You are the worst.\Did you lose someone too?\My teacher.\Were you particularly close with your teacher? response:	Scumbag.
context: Hey, get back to work.\It's not like praying is going to bring them back to life.\I'll do it.\You are the worst.\Did you lose someone too?\My teacher.\Were you particularly close with your teacher?\Scumbag. response:	You disgust me.
context: It's not like praying is going to bring them back to life.\I'll do it.\You are the worst.\Did you lose someone too?\My teacher.\Were you particularly close with your teacher?\Scumbag.\You disgust me. response:	That's just the kind of man I am.
context: I'll do it.\You are the worst.\Did you lose someone too?\My teacher.\Were you particularly close with your teacher?\Scumbag.\You disgust me.\That's just the kind of man I am. response:	You're not going to pray?
context: You are the worst.\Did you lose someone too?\My teacher.\Were you particularly close with your teacher?\Scumbag.\You disgust me.\That's just the kind of man I am.\You're not going to pray? response:	I lost my family years ago.
context: Did you lose someone too?\My teacher.\Were you particularly close with your teacher?\Scumbag.\You disgust me.\That's just the kind of man I am.\You're not going to pray?\I lost my family years ago. response:	Oh.
context: My teacher.\Were you particularly close with your teacher?\Scumbag.\You disgust me.\That's just the kind of man I am.\You're not going to pray?\I lost my family years ago.\Oh. response:	Just like me.
context: Were you particularly close with your teacher?\Scumbag.\You disgust me.\That's just the kind of man I am.\You're not going to pray?\I lost my family years ago.\Oh.\Just like me. response:	It's a pretty common story.
context: Scumbag.\You disgust me.\That's just the kind of man I am.\You're not going to pray?\I lost my family years ago.\Oh.\Just like me.\It's a pretty common story. response:	Losing your family to the Corpses.
context: You disgust me.\That's just the kind of man I am.\You're not going to pray?\I lost my family years ago.\Oh.\Just like me.\It's a pretty common story.\Losing your family to the Corpses. response:	What's that in your right hand?
context: That's just the kind of man I am.\You're not going to pray?\I lost my family years ago.\Oh.\Just like me.\It's a pretty common story.\Losing your family to the Corpses.\What's that in your right hand? response:	It hurts when I get hit by it.
context: You're not going to pray?\I lost my family years ago.\Oh.\Just like me.\It's a pretty common story.\Losing your family to the Corpses.\What's that in your right hand?\It hurts when I get hit by it. response:	Just a rock you can find around any river.
context: I lost my family years ago.\Oh.\Just like me.\It's a pretty common story.\Losing your family to the Corpses.\What's that in your right hand?\It hurts when I get hit by it.\Just a rock you can find around any river. response:	I found two of these pretty rocks with my sister.
context: Oh.\Just like me.\It's a pretty common story.\Losing your family to the Corpses.\What's that in your right hand?\It hurts when I get hit by it.\Just a rock you can find around any river.\I found two of these pretty rocks with my sister. response:	I told her she could have both...
context: Just like me.\It's a pretty common story.\Losing your family to the Corpses.\What's that in your right hand?\It hurts when I get hit by it.\Just a rock you can find around any river.\I found two of these pretty rocks with my sister.\I told her she could have both... response:	I never planned on keeping it as a memento.
context: It's a pretty common story.\Losing your family to the Corpses.\What's that in your right hand?\It hurts when I get hit by it.\Just a rock you can find around any river.\I found two of these pretty rocks with my sister.\I told her she could have both...\I never planned on keeping it as a memento. response:	Five years ago...
context: Losing your family to the Corpses.\What's that in your right hand?\It hurts when I get hit by it.\Just a rock you can find around any river.\I found two of these pretty rocks with my sister.\I told her she could have both...\I never planned on keeping it as a memento.\Five years ago... response:	The adults fled in fear.
context: What's that in your right hand?\It hurts when I get hit by it.\Just a rock you can find around any river.\I found two of these pretty rocks with my sister.\I told her she could have both...\I never planned on keeping it as a memento.\Five years ago...\The adults fled in fear. response:	We were left behind.
context: It hurts when I get hit by it.\Just a rock you can find around any river.\I found two of these pretty rocks with my sister.\I told her she could have both...\I never planned on keeping it as a memento.\Five years ago...\The adults fled in fear.\We were left behind. response:	And my sister was caught by the Corpse.
context: Just a rock you can find around any river.\I found two of these pretty rocks with my sister.\I told her she could have both...\I never planned on keeping it as a memento.\Five years ago...\The adults fled in fear.\We were left behind.\And my sister was caught by the Corpse. response:	It's a pretty common story, isn't it?
context: I found two of these pretty rocks with my sister.\I told her she could have both...\I never planned on keeping it as a memento.\Five years ago...\The adults fled in fear.\We were left behind.\And my sister was caught by the Corpse.\It's a pretty common story, isn't it? response:	But what do you think her stupid brother did?
context: I told her she could have both...\I never planned on keeping it as a memento.\Five years ago...\The adults fled in fear.\We were left behind.\And my sister was caught by the Corpse.\It's a pretty common story, isn't it?\But what do you think her stupid brother did? response:	He ran away.
context: I never planned on keeping it as a memento.\Five years ago...\The adults fled in fear.\We were left behind.\And my sister was caught by the Corpse.\It's a pretty common story, isn't it?\But what do you think her stupid brother did?\He ran away. response:	I made an excuse about calling for help...
context: Five years ago...\The adults fled in fear.\We were left behind.\And my sister was caught by the Corpse.\It's a pretty common story, isn't it?\But what do you think her stupid brother did?\He ran away.\I made an excuse about calling for help... response:	I tried to rely on someone else.
context: The adults fled in fear.\We were left behind.\And my sister was caught by the Corpse.\It's a pretty common story, isn't it?\But what do you think her stupid brother did?\He ran away.\I made an excuse about calling for help...\I tried to rely on someone else. response:	By the time I returned...
context: We were left behind.\And my sister was caught by the Corpse.\It's a pretty common story, isn't it?\But what do you think her stupid brother did?\He ran away.\I made an excuse about calling for help...\I tried to rely on someone else.\By the time I returned... response:	The cowardly brother cried and apologized.
context: And my sister was caught by the Corpse.\It's a pretty common story, isn't it?\But what do you think her stupid brother did?\He ran away.\I made an excuse about calling for help...\I tried to rely on someone else.\By the time I returned...\The cowardly brother cried and apologized. response:	I'm sorry. I'm sorry.
context: It's a pretty common story, isn't it?\But what do you think her stupid brother did?\He ran away.\I made an excuse about calling for help...\I tried to rely on someone else.\By the time I returned...\The cowardly brother cried and apologized.\I'm sorry. I'm sorry. response:	But it was already too late.
context: But what do you think her stupid brother did?\He ran away.\I made an excuse about calling for help...\I tried to rely on someone else.\By the time I returned...\The cowardly brother cried and apologized.\I'm sorry. I'm sorry.\But it was already too late. response:	My sister was gone.
context: He ran away.\I made an excuse about calling for help...\I tried to rely on someone else.\By the time I returned...\The cowardly brother cried and apologized.\I'm sorry. I'm sorry.\But it was already too late.\My sister was gone. response:	Even if it meant dying with her...
context: I made an excuse about calling for help...\I tried to rely on someone else.\By the time I returned...\The cowardly brother cried and apologized.\I'm sorry. I'm sorry.\But it was already too late.\My sister was gone.\Even if it meant dying with her... response:	No matter how much I hate myself for running away...
context: I tried to rely on someone else.\By the time I returned...\The cowardly brother cried and apologized.\I'm sorry. I'm sorry.\But it was already too late.\My sister was gone.\Even if it meant dying with her...\No matter how much I hate myself for running away... response:	Yeah, that's a pretty common story.
context: By the time I returned...\The cowardly brother cried and apologized.\I'm sorry. I'm sorry.\But it was already too late.\My sister was gone.\Even if it meant dying with her...\No matter how much I hate myself for running away...\Yeah, that's a pretty common story. response:	The weak die...
context: The cowardly brother cried and apologized.\I'm sorry. I'm sorry.\But it was already too late.\My sister was gone.\Even if it meant dying with her...\No matter how much I hate myself for running away...\Yeah, that's a pretty common story.\The weak die... response:	That's all it is.
context: I'm sorry. I'm sorry.\But it was already too late.\My sister was gone.\Even if it meant dying with her...\No matter how much I hate myself for running away...\Yeah, that's a pretty common story.\The weak die...\That's all it is. response:	Do we do it?
context: But it was already too late.\My sister was gone.\Even if it meant dying with her...\No matter how much I hate myself for running away...\Yeah, that's a pretty common story.\The weak die...\That's all it is.\Do we do it? response:	Let me do it.
context: My sister was gone.\Even if it meant dying with her...\No matter how much I hate myself for running away...\Yeah, that's a pretty common story.\The weak die...\That's all it is.\Do we do it?\Let me do it. response:	What are you planning on doing?
context: Even if it meant dying with her...\No matter how much I hate myself for running away...\Yeah, that's a pretty common story.\The weak die...\That's all it is.\Do we do it?\Let me do it.\What are you planning on doing? response:	They are not our enemies.
context: No matter how much I hate myself for running away...\Yeah, that's a pretty common story.\The weak die...\That's all it is.\Do we do it?\Let me do it.\What are you planning on doing?\They are not our enemies. response:	They saved us.
context: Yeah, that's a pretty common story.\The weak die...\That's all it is.\Do we do it?\Let me do it.\What are you planning on doing?\They are not our enemies.\They saved us. response:	The Corpses are our enemy!
context: The weak die...\That's all it is.\Do we do it?\Let me do it.\What are you planning on doing?\They are not our enemies.\They saved us.\The Corpses are our enemy! response:	What if they attack us first?
context: That's all it is.\Do we do it?\Let me do it.\What are you planning on doing?\They are not our enemies.\They saved us.\The Corpses are our enemy!\What if they attack us first? response:	Please allow us to do this, Ayame-sama!
context: Do we do it?\Let me do it.\What are you planning on doing?\They are not our enemies.\They saved us.\The Corpses are our enemy!\What if they attack us first?\Please allow us to do this, Ayame-sama! response:	You people...
context: Let me do it.\What are you planning on doing?\They are not our enemies.\They saved us.\The Corpses are our enemy!\What if they attack us first?\Please allow us to do this, Ayame-sama!\You people... response:	I can't believe...
context: What are you planning on doing?\They are not our enemies.\They saved us.\The Corpses are our enemy!\What if they attack us first?\Please allow us to do this, Ayame-sama!\You people...\I can't believe... response:	Ayame-sama?
context: They are not our enemies.\They saved us.\The Corpses are our enemy!\What if they attack us first?\Please allow us to do this, Ayame-sama!\You people...\I can't believe...\Ayame-sama? response:	Um...
context: They saved us.\The Corpses are our enemy!\What if they attack us first?\Please allow us to do this, Ayame-sama!\You people...\I can't believe...\Ayame-sama?\Um... response:	Your friends are awful jumpy.
context: The Corpses are our enemy!\What if they attack us first?\Please allow us to do this, Ayame-sama!\You people...\I can't believe...\Ayame-sama?\Um...\Your friends are awful jumpy. response:	That's...
context: What if they attack us first?\Please allow us to do this, Ayame-sama!\You people...\I can't believe...\Ayame-sama?\Um...\Your friends are awful jumpy.\That's... response:	Fine with me.
context: Please allow us to do this, Ayame-sama!\You people...\I can't believe...\Ayame-sama?\Um...\Your friends are awful jumpy.\That's...\Fine with me. response:	If you want war, I am happy to oblige!
context: You people...\I can't believe...\Ayame-sama?\Um...\Your friends are awful jumpy.\That's...\Fine with me.\If you want war, I am happy to oblige! response:	Hey!
context: I can't believe...\Ayame-sama?\Um...\Your friends are awful jumpy.\That's...\Fine with me.\If you want war, I am happy to oblige!\Hey! response:	Stop trying to act brave when you're weak.
context: Ayame-sama?\Um...\Your friends are awful jumpy.\That's...\Fine with me.\If you want war, I am happy to oblige!\Hey!\Stop trying to act brave when you're weak. response:	Nameless, don't provoke them!
context: Um...\Your friends are awful jumpy.\That's...\Fine with me.\If you want war, I am happy to oblige!\Hey!\Stop trying to act brave when you're weak.\Nameless, don't provoke them! response:	They're the ones doing the provoking.
context: Your friends are awful jumpy.\That's...\Fine with me.\If you want war, I am happy to oblige!\Hey!\Stop trying to act brave when you're weak.\Nameless, don't provoke them!\They're the ones doing the provoking. response:	Look! I knew the Corpseless were our enemy!
context: That's...\Fine with me.\If you want war, I am happy to oblige!\Hey!\Stop trying to act brave when you're weak.\Nameless, don't provoke them!\They're the ones doing the provoking.\Look! I knew the Corpseless were our enemy! response:	Don't back down!
context: Fine with me.\If you want war, I am happy to oblige!\Hey!\Stop trying to act brave when you're weak.\Nameless, don't provoke them!\They're the ones doing the provoking.\Look! I knew the Corpseless were our enemy!\Don't back down! response:	We have to protect our families!
context: If you want war, I am happy to oblige!\Hey!\Stop trying to act brave when you're weak.\Nameless, don't provoke them!\They're the ones doing the provoking.\Look! I knew the Corpseless were our enemy!\Don't back down!\We have to protect our families! response:	Purification!
context: Hey!\Stop trying to act brave when you're weak.\Nameless, don't provoke them!\They're the ones doing the provoking.\Look! I knew the Corpseless were our enemy!\Don't back down!\We have to protect our families!\Purification! response:	Stop!
context: Stop trying to act brave when you're weak.\Nameless, don't provoke them!\They're the ones doing the provoking.\Look! I knew the Corpseless were our enemy!\Don't back down!\We have to protect our families!\Purification!\Stop! response:	It's dangerous, please come down.
context: Nameless, don't provoke them!\They're the ones doing the provoking.\Look! I knew the Corpseless were our enemy!\Don't back down!\We have to protect our families!\Purification!\Stop!\It's dangerous, please come down. response:	Please don't, Ayame-sama.
context: They're the ones doing the provoking.\Look! I knew the Corpseless were our enemy!\Don't back down!\We have to protect our families!\Purification!\Stop!\It's dangerous, please come down.\Please don't, Ayame-sama. response:	I can't?
context: Look! I knew the Corpseless were our enemy!\Don't back down!\We have to protect our families!\Purification!\Stop!\It's dangerous, please come down.\Please don't, Ayame-sama.\I can't? response:	I'm sorry.
context: Don't back down!\We have to protect our families!\Purification!\Stop!\It's dangerous, please come down.\Please don't, Ayame-sama.\I can't?\I'm sorry. response:	Mother... won't be able to have you.
context: We have to protect our families!\Purification!\Stop!\It's dangerous, please come down.\Please don't, Ayame-sama.\I can't?\I'm sorry.\Mother... won't be able to have you. response:	Shino-san?
context: Purification!\Stop!\It's dangerous, please come down.\Please don't, Ayame-sama.\I can't?\I'm sorry.\Mother... won't be able to have you.\Shino-san? response:	It's the Corpseless!
context: Stop!\It's dangerous, please come down.\Please don't, Ayame-sama.\I can't?\I'm sorry.\Mother... won't be able to have you.\Shino-san?\It's the Corpseless! response:	Why are you here?!
context: It's dangerous, please come down.\Please don't, Ayame-sama.\I can't?\I'm sorry.\Mother... won't be able to have you.\Shino-san?\It's the Corpseless!\Why are you here?! response:	These guys are jumpy too.
context: Please don't, Ayame-sama.\I can't?\I'm sorry.\Mother... won't be able to have you.\Shino-san?\It's the Corpseless!\Why are you here?!\These guys are jumpy too. response:	I didn't come to fight.
context: I can't?\I'm sorry.\Mother... won't be able to have you.\Shino-san?\It's the Corpseless!\Why are you here?!\These guys are jumpy too.\I didn't come to fight. response:	Hey, can you do me a favor?
context: I'm sorry.\Mother... won't be able to have you.\Shino-san?\It's the Corpseless!\Why are you here?!\These guys are jumpy too.\I didn't come to fight.\Hey, can you do me a favor? response:	Wh-What is it?
context: Mother... won't be able to have you.\Shino-san?\It's the Corpseless!\Why are you here?!\These guys are jumpy too.\I didn't come to fight.\Hey, can you do me a favor?\Wh-What is it? response:	What's the matter?
context: Shino-san?\It's the Corpseless!\Why are you here?!\These guys are jumpy too.\I didn't come to fight.\Hey, can you do me a favor?\Wh-What is it?\What's the matter? response:	What is it?
context: It's the Corpseless!\Why are you here?!\These guys are jumpy too.\I didn't come to fight.\Hey, can you do me a favor?\Wh-What is it?\What's the matter?\What is it? response:	Do you need to go potty?
context: Why are you here?!\These guys are jumpy too.\I didn't come to fight.\Hey, can you do me a favor?\Wh-What is it?\What's the matter?\What is it?\Do you need to go potty? response:	Are you not feeling well?
context: These guys are jumpy too.\I didn't come to fight.\Hey, can you do me a favor?\Wh-What is it?\What's the matter?\What is it?\Do you need to go potty?\Are you not feeling well? response:	He's laughing!
context: I didn't come to fight.\Hey, can you do me a favor?\Wh-What is it?\What's the matter?\What is it?\Do you need to go potty?\Are you not feeling well?\He's laughing! response:	I got him to laugh!
context: Hey, can you do me a favor?\Wh-What is it?\What's the matter?\What is it?\Do you need to go potty?\Are you not feeling well?\He's laughing!\I got him to laugh! response:	Ikoma, you told my father...
context: Wh-What is it?\What's the matter?\What is it?\Do you need to go potty?\Are you not feeling well?\He's laughing!\I got him to laugh!\Ikoma, you told my father... response:	Then!
context: What's the matter?\What is it?\Do you need to go potty?\Are you not feeling well?\He's laughing!\I got him to laugh!\Ikoma, you told my father...\Then! response:	Are the Corpseless our enemy?
context: What is it?\Do you need to go potty?\Are you not feeling well?\He's laughing!\I got him to laugh!\Ikoma, you told my father...\Then!\Are the Corpseless our enemy? response:	Or are you our allies?
context: Do you need to go potty?\Are you not feeling well?\He's laughing!\I got him to laugh!\Ikoma, you told my father...\Then!\Are the Corpseless our enemy?\Or are you our allies? response:	A-Ayame-sama!
context: Are you not feeling well?\He's laughing!\I got him to laugh!\Ikoma, you told my father...\Then!\Are the Corpseless our enemy?\Or are you our allies?\A-Ayame-sama! response:	Please don't!
context: He's laughing!\I got him to laugh!\Ikoma, you told my father...\Then!\Are the Corpseless our enemy?\Or are you our allies?\A-Ayame-sama!\Please don't! response:	As the one left in charge of the Iron Fortress...
context: I got him to laugh!\Ikoma, you told my father...\Then!\Are the Corpseless our enemy?\Or are you our allies?\A-Ayame-sama!\Please don't!\As the one left in charge of the Iron Fortress... response:	Why aren't you using your right arm?!
context: Ikoma, you told my father...\Then!\Are the Corpseless our enemy?\Or are you our allies?\A-Ayame-sama!\Please don't!\As the one left in charge of the Iron Fortress...\Why aren't you using your right arm?! response:	Why don't you just grab and bite me?!
context: Then!\Are the Corpseless our enemy?\Or are you our allies?\A-Ayame-sama!\Please don't!\As the one left in charge of the Iron Fortress...\Why aren't you using your right arm?!\Why don't you just grab and bite me?! response:	I can't!
context: Are the Corpseless our enemy?\Or are you our allies?\A-Ayame-sama!\Please don't!\As the one left in charge of the Iron Fortress...\Why aren't you using your right arm?!\Why don't you just grab and bite me?!\I can't! response:	Why not?!
context: Or are you our allies?\A-Ayame-sama!\Please don't!\As the one left in charge of the Iron Fortress...\Why aren't you using your right arm?!\Why don't you just grab and bite me?!\I can't!\Why not?! response:	Because I made a vow!
context: A-Ayame-sama!\Please don't!\As the one left in charge of the Iron Fortress...\Why aren't you using your right arm?!\Why don't you just grab and bite me?!\I can't!\Why not?!\Because I made a vow! response:	I won't run away anymore.
context: Please don't!\As the one left in charge of the Iron Fortress...\Why aren't you using your right arm?!\Why don't you just grab and bite me?!\I can't!\Why not?!\Because I made a vow!\I won't run away anymore. response:	Even if it would save me.
context: As the one left in charge of the Iron Fortress...\Why aren't you using your right arm?!\Why don't you just grab and bite me?!\I can't!\Why not?!\Because I made a vow!\I won't run away anymore.\Even if it would save me. response:	I am not sacrificing any more lives!
context: Why aren't you using your right arm?!\Why don't you just grab and bite me?!\I can't!\Why not?!\Because I made a vow!\I won't run away anymore.\Even if it would save me.\I am not sacrificing any more lives! response:	It's the Corpses who are our enemy.
context: Why don't you just grab and bite me?!\I can't!\Why not?!\Because I made a vow!\I won't run away anymore.\Even if it would save me.\I am not sacrificing any more lives!\It's the Corpses who are our enemy. response:	My purpose in life...
context: I can't!\Why not?!\Because I made a vow!\I won't run away anymore.\Even if it would save me.\I am not sacrificing any more lives!\It's the Corpses who are our enemy.\My purpose in life... response:	Are you...
context: Why not?!\Because I made a vow!\I won't run away anymore.\Even if it would save me.\I am not sacrificing any more lives!\It's the Corpses who are our enemy.\My purpose in life...\Are you... response:	Those who still believe he is our enemy...
context: Because I made a vow!\I won't run away anymore.\Even if it would save me.\I am not sacrificing any more lives!\It's the Corpses who are our enemy.\My purpose in life...\Are you...\Those who still believe he is our enemy... response:	I shall give you the opportunity to check for yourself.
context: I won't run away anymore.\Even if it would save me.\I am not sacrificing any more lives!\It's the Corpses who are our enemy.\My purpose in life...\Are you...\Those who still believe he is our enemy...\I shall give you the opportunity to check for yourself. response:	I am sorry for testing you like that.
