context: Ah, Tomoyo-chan, isn't that the strawberry house? response:	It seems so!
context: Maybe I'll make some\and bring them to Mr. Terada-sensei.\Then I'll make some for Yamazaki too.\Then I better pray again.\Why?\To make sure again that I'll be okay afterwards.\What did you say? Geez!\What did you mean by that?! response:	But it's the first time I make it,
context: and bring them to Mr. Terada-sensei.\Then I'll make some for Yamazaki too.\Then I better pray again.\Why?\To make sure again that I'll be okay afterwards.\What did you say? Geez!\What did you mean by that?!\But it's the first time I make it, response:	so I'm a little worried how it'll turn out.
context: Then I'll make some for Yamazaki too.\Then I better pray again.\Why?\To make sure again that I'll be okay afterwards.\What did you say? Geez!\What did you mean by that?!\But it's the first time I make it,\so I'm a little worried how it'll turn out. response:	Me too.
context: Then I better pray again.\Why?\To make sure again that I'll be okay afterwards.\What did you say? Geez!\What did you mean by that?!\But it's the first time I make it,\so I'm a little worried how it'll turn out.\Me too. response:	Here.'AAAhh''
context: Why?\To make sure again that I'll be okay afterwards.\What did you say? Geez!\What did you mean by that?!\But it's the first time I make it,\so I'm a little worried how it'll turn out.\Me too.\Here.'AAAhh'' response:	I'll eat it myself.
context: To make sure again that I'll be okay afterwards.\What did you say? Geez!\What did you mean by that?!\But it's the first time I make it,\so I'm a little worried how it'll turn out.\Me too.\Here.'AAAhh''\I'll eat it myself. response:	That's great.
context: What did you say? Geez!\What did you mean by that?!\But it's the first time I make it,\so I'm a little worried how it'll turn out.\Me too.\Here.'AAAhh''\I'll eat it myself.\That's great. response:	Mei Lin, did you make them all by yourself?
context: What did you mean by that?!\But it's the first time I make it,\so I'm a little worried how it'll turn out.\Me too.\Here.'AAAhh''\I'll eat it myself.\That's great.\Mei Lin, did you make them all by yourself? response:	That's right. I made them the best I could
context: But it's the first time I make it,\so I'm a little worried how it'll turn out.\Me too.\Here.'AAAhh''\I'll eat it myself.\That's great.\Mei Lin, did you make them all by yourself?\That's right. I made them the best I could response:	just for today.
context: so I'm a little worried how it'll turn out.\Me too.\Here.'AAAhh''\I'll eat it myself.\That's great.\Mei Lin, did you make them all by yourself?\That's right. I made them the best I could\just for today. response:	Here. Say'Ahh''
context: Me too.\Here.'AAAhh''\I'll eat it myself.\That's great.\Mei Lin, did you make them all by yourself?\That's right. I made them the best I could\just for today.\Here. Say'Ahh'' response:	I said I'll eat it myself.
context: Here.'AAAhh''\I'll eat it myself.\That's great.\Mei Lin, did you make them all by yourself?\That's right. I made them the best I could\just for today.\Here. Say'Ahh''\I said I'll eat it myself. response:	They look so good!
context: I'll eat it myself.\That's great.\Mei Lin, did you make them all by yourself?\That's right. I made them the best I could\just for today.\Here. Say'Ahh''\I said I'll eat it myself.\They look so good! response:	Don't they? Wanna try some?
context: That's great.\Mei Lin, did you make them all by yourself?\That's right. I made them the best I could\just for today.\Here. Say'Ahh''\I said I'll eat it myself.\They look so good!\Don't they? Wanna try some? response:	Are you sure?
context: Mei Lin, did you make them all by yourself?\That's right. I made them the best I could\just for today.\Here. Say'Ahh''\I said I'll eat it myself.\They look so good!\Don't they? Wanna try some?\Are you sure? response:	Please help yourself.
context: That's right. I made them the best I could\just for today.\Here. Say'Ahh''\I said I'll eat it myself.\They look so good!\Don't they? Wanna try some?\Are you sure?\Please help yourself. response:	Then, I'm eating!
context: just for today.\Here. Say'Ahh''\I said I'll eat it myself.\They look so good!\Don't they? Wanna try some?\Are you sure?\Please help yourself.\Then, I'm eating! response:	Tastes so good! Mei Lin, you're really good at cooking!
context: Here. Say'Ahh''\I said I'll eat it myself.\They look so good!\Don't they? Wanna try some?\Are you sure?\Please help yourself.\Then, I'm eating!\Tastes so good! Mei Lin, you're really good at cooking! response:	I guess. No dish is ever too hard for me!
context: I said I'll eat it myself.\They look so good!\Don't they? Wanna try some?\Are you sure?\Please help yourself.\Then, I'm eating!\Tastes so good! Mei Lin, you're really good at cooking!\I guess. No dish is ever too hard for me! response:	I wish I can cook
context: They look so good!\Don't they? Wanna try some?\Are you sure?\Please help yourself.\Then, I'm eating!\Tastes so good! Mei Lin, you're really good at cooking!\I guess. No dish is ever too hard for me!\I wish I can cook response:	as well as Mei Lin.
context: Don't they? Wanna try some?\Are you sure?\Please help yourself.\Then, I'm eating!\Tastes so good! Mei Lin, you're really good at cooking!\I guess. No dish is ever too hard for me!\I wish I can cook\as well as Mei Lin. response:	Then, for Yukito-san, I can'
context: Are you sure?\Please help yourself.\Then, I'm eating!\Tastes so good! Mei Lin, you're really good at cooking!\I guess. No dish is ever too hard for me!\I wish I can cook\as well as Mei Lin.\Then, for Yukito-san, I can' response:	Hey, have you heard?
context: Please help yourself.\Then, I'm eating!\Tastes so good! Mei Lin, you're really good at cooking!\I guess. No dish is ever too hard for me!\I wish I can cook\as well as Mei Lin.\Then, for Yukito-san, I can'\Hey, have you heard? response:	They say the plans for the afternoon have changed.
context: Then, I'm eating!\Tastes so good! Mei Lin, you're really good at cooking!\I guess. No dish is ever too hard for me!\I wish I can cook\as well as Mei Lin.\Then, for Yukito-san, I can'\Hey, have you heard?\They say the plans for the afternoon have changed. response:	Why?!
context: Tastes so good! Mei Lin, you're really good at cooking!\I guess. No dish is ever too hard for me!\I wish I can cook\as well as Mei Lin.\Then, for Yukito-san, I can'\Hey, have you heard?\They say the plans for the afternoon have changed.\Why?! response:	I heard they couldn't open the door
context: I guess. No dish is ever too hard for me!\I wish I can cook\as well as Mei Lin.\Then, for Yukito-san, I can'\Hey, have you heard?\They say the plans for the afternoon have changed.\Why?!\I heard they couldn't open the door response:	to the materials room for this afternoon!
context: I wish I can cook\as well as Mei Lin.\Then, for Yukito-san, I can'\Hey, have you heard?\They say the plans for the afternoon have changed.\Why?!\I heard they couldn't open the door\to the materials room for this afternoon! response:	No way!
context: as well as Mei Lin.\Then, for Yukito-san, I can'\Hey, have you heard?\They say the plans for the afternoon have changed.\Why?!\I heard they couldn't open the door\to the materials room for this afternoon!\No way! response:	Strawberry desserts'
context: Then, for Yukito-san, I can'\Hey, have you heard?\They say the plans for the afternoon have changed.\Why?!\I heard they couldn't open the door\to the materials room for this afternoon!\No way!\Strawberry desserts' response:	Where is the materials room?
context: Hey, have you heard?\They say the plans for the afternoon have changed.\Why?!\I heard they couldn't open the door\to the materials room for this afternoon!\No way!\Strawberry desserts'\Where is the materials room? response:	Oh, it's that storeroom along the path we took to get here.
context: They say the plans for the afternoon have changed.\Why?!\I heard they couldn't open the door\to the materials room for this afternoon!\No way!\Strawberry desserts'\Where is the materials room?\Oh, it's that storeroom along the path we took to get here. response:	They really couldn't open it?
context: Why?!\I heard they couldn't open the door\to the materials room for this afternoon!\No way!\Strawberry desserts'\Where is the materials room?\Oh, it's that storeroom along the path we took to get here.\They really couldn't open it? response:	Lem me go take a look.
context: I heard they couldn't open the door\to the materials room for this afternoon!\No way!\Strawberry desserts'\Where is the materials room?\Oh, it's that storeroom along the path we took to get here.\They really couldn't open it?\Lem me go take a look. response:	I will go with you!
context: to the materials room for this afternoon!\No way!\Strawberry desserts'\Where is the materials room?\Oh, it's that storeroom along the path we took to get here.\They really couldn't open it?\Lem me go take a look.\I will go with you! response:	Shao Lan?
context: No way!\Strawberry desserts'\Where is the materials room?\Oh, it's that storeroom along the path we took to get here.\They really couldn't open it?\Lem me go take a look.\I will go with you!\Shao Lan? response:	I wonder why they can't open it.
context: Strawberry desserts'\Where is the materials room?\Oh, it's that storeroom along the path we took to get here.\They really couldn't open it?\Lem me go take a look.\I will go with you!\Shao Lan?\I wonder why they can't open it. response:	It opens!
context: Where is the materials room?\Oh, it's that storeroom along the path we took to get here.\They really couldn't open it?\Lem me go take a look.\I will go with you!\Shao Lan?\I wonder why they can't open it.\It opens! response:	It seems everything is ready.
context: Oh, it's that storeroom along the path we took to get here.\They really couldn't open it?\Lem me go take a look.\I will go with you!\Shao Lan?\I wonder why they can't open it.\It opens!\It seems everything is ready. response:	Then we should let the instructor know, don't you think?
context: They really couldn't open it?\Lem me go take a look.\I will go with you!\Shao Lan?\I wonder why they can't open it.\It opens!\It seems everything is ready.\Then we should let the instructor know, don't you think? response:	Be careful!
context: Lem me go take a look.\I will go with you!\Shao Lan?\I wonder why they can't open it.\It opens!\It seems everything is ready.\Then we should let the instructor know, don't you think?\Be careful! response:	Can't you sense it?
context: I will go with you!\Shao Lan?\I wonder why they can't open it.\It opens!\It seems everything is ready.\Then we should let the instructor know, don't you think?\Be careful!\Can't you sense it? response:	It feels strange in here'
context: Shao Lan?\I wonder why they can't open it.\It opens!\It seems everything is ready.\Then we should let the instructor know, don't you think?\Be careful!\Can't you sense it?\It feels strange in here' response:	Sakura's new class teacher
context: I wonder why they can't open it.\It opens!\It seems everything is ready.\Then we should let the instructor know, don't you think?\Be careful!\Can't you sense it?\It feels strange in here'\Sakura's new class teacher response:	is called Mizuki-sensei, right?
context: It opens!\It seems everything is ready.\Then we should let the instructor know, don't you think?\Be careful!\Can't you sense it?\It feels strange in here'\Sakura's new class teacher\is called Mizuki-sensei, right? response:	You knew her before, right? Touya'
context: It seems everything is ready.\Then we should let the instructor know, don't you think?\Be careful!\Can't you sense it?\It feels strange in here'\Sakura's new class teacher\is called Mizuki-sensei, right?\You knew her before, right? Touya' response:	Or should I not ask?
context: Then we should let the instructor know, don't you think?\Be careful!\Can't you sense it?\It feels strange in here'\Sakura's new class teacher\is called Mizuki-sensei, right?\You knew her before, right? Touya'\Or should I not ask? response:	I'll tell you later.
context: Be careful!\Can't you sense it?\It feels strange in here'\Sakura's new class teacher\is called Mizuki-sensei, right?\You knew her before, right? Touya'\Or should I not ask?\I'll tell you later. response:	Come to think of it, what are Sakura-chan and the others going to do this afternoon?
context: Can't you sense it?\It feels strange in here'\Sakura's new class teacher\is called Mizuki-sensei, right?\You knew her before, right? Touya'\Or should I not ask?\I'll tell you later.\Come to think of it, what are Sakura-chan and the others going to do this afternoon? response:	The materials room wouldn't open, right?
context: It feels strange in here'\Sakura's new class teacher\is called Mizuki-sensei, right?\You knew her before, right? Touya'\Or should I not ask?\I'll tell you later.\Come to think of it, what are Sakura-chan and the others going to do this afternoon?\The materials room wouldn't open, right? response:	Yeah. They couldn't open the door somehow, it seems'
context: Sakura's new class teacher\is called Mizuki-sensei, right?\You knew her before, right? Touya'\Or should I not ask?\I'll tell you later.\Come to think of it, what are Sakura-chan and the others going to do this afternoon?\The materials room wouldn't open, right?\Yeah. They couldn't open the door somehow, it seems' response:	Sakura-chan, she was so looking forward to the afternoon.
context: is called Mizuki-sensei, right?\You knew her before, right? Touya'\Or should I not ask?\I'll tell you later.\Come to think of it, what are Sakura-chan and the others going to do this afternoon?\The materials room wouldn't open, right?\Yeah. They couldn't open the door somehow, it seems'\Sakura-chan, she was so looking forward to the afternoon. response:	It's no use. It won't open at all.
context: You knew her before, right? Touya'\Or should I not ask?\I'll tell you later.\Come to think of it, what are Sakura-chan and the others going to do this afternoon?\The materials room wouldn't open, right?\Yeah. They couldn't open the door somehow, it seems'\Sakura-chan, she was so looking forward to the afternoon.\It's no use. It won't open at all. response:	Leave it to me!
context: Or should I not ask?\I'll tell you later.\Come to think of it, what are Sakura-chan and the others going to do this afternoon?\The materials room wouldn't open, right?\Yeah. They couldn't open the door somehow, it seems'\Sakura-chan, she was so looking forward to the afternoon.\It's no use. It won't open at all.\Leave it to me! response:	Don't do it, Mei Lin!
context: I'll tell you later.\Come to think of it, what are Sakura-chan and the others going to do this afternoon?\The materials room wouldn't open, right?\Yeah. They couldn't open the door somehow, it seems'\Sakura-chan, she was so looking forward to the afternoon.\It's no use. It won't open at all.\Leave it to me!\Don't do it, Mei Lin! response:	It hurts'
context: Come to think of it, what are Sakura-chan and the others going to do this afternoon?\The materials room wouldn't open, right?\Yeah. They couldn't open the door somehow, it seems'\Sakura-chan, she was so looking forward to the afternoon.\It's no use. It won't open at all.\Leave it to me!\Don't do it, Mei Lin!\It hurts' response:	Are you okay? Mei Lin-chan?
context: The materials room wouldn't open, right?\Yeah. They couldn't open the door somehow, it seems'\Sakura-chan, she was so looking forward to the afternoon.\It's no use. It won't open at all.\Leave it to me!\Don't do it, Mei Lin!\It hurts'\Are you okay? Mei Lin-chan? response:	I can sense' a Clow Card.
context: Yeah. They couldn't open the door somehow, it seems'\Sakura-chan, she was so looking forward to the afternoon.\It's no use. It won't open at all.\Leave it to me!\Don't do it, Mei Lin!\It hurts'\Are you okay? Mei Lin-chan?\I can sense' a Clow Card. response:	I'm afraid, it's the card, Lock.
context: Sakura-chan, she was so looking forward to the afternoon.\It's no use. It won't open at all.\Leave it to me!\Don't do it, Mei Lin!\It hurts'\Are you okay? Mei Lin-chan?\I can sense' a Clow Card.\I'm afraid, it's the card, Lock. response:	Lock? Like a padlock?
context: It's no use. It won't open at all.\Leave it to me!\Don't do it, Mei Lin!\It hurts'\Are you okay? Mei Lin-chan?\I can sense' a Clow Card.\I'm afraid, it's the card, Lock.\Lock? Like a padlock? response:	And it has placed
context: Leave it to me!\Don't do it, Mei Lin!\It hurts'\Are you okay? Mei Lin-chan?\I can sense' a Clow Card.\I'm afraid, it's the card, Lock.\Lock? Like a padlock?\And it has placed response:	a lock in this building.
context: Don't do it, Mei Lin!\It hurts'\Are you okay? Mei Lin-chan?\I can sense' a Clow Card.\I'm afraid, it's the card, Lock.\Lock? Like a padlock?\And it has placed\a lock in this building. response:	What's worse, this is a special card.
context: It hurts'\Are you okay? Mei Lin-chan?\I can sense' a Clow Card.\I'm afraid, it's the card, Lock.\Lock? Like a padlock?\And it has placed\a lock in this building.\What's worse, this is a special card. response:	Even I don't know to capture it.
context: Are you okay? Mei Lin-chan?\I can sense' a Clow Card.\I'm afraid, it's the card, Lock.\Lock? Like a padlock?\And it has placed\a lock in this building.\What's worse, this is a special card.\Even I don't know to capture it. response:	A special card means not even
context: I can sense' a Clow Card.\I'm afraid, it's the card, Lock.\Lock? Like a padlock?\And it has placed\a lock in this building.\What's worse, this is a special card.\Even I don't know to capture it.\A special card means not even response:	Windy, Watery,
context: I'm afraid, it's the card, Lock.\Lock? Like a padlock?\And it has placed\a lock in this building.\What's worse, this is a special card.\Even I don't know to capture it.\A special card means not even\Windy, Watery, response:	and Firey would work'?
context: Lock? Like a padlock?\And it has placed\a lock in this building.\What's worse, this is a special card.\Even I don't know to capture it.\A special card means not even\Windy, Watery,\and Firey would work'? response:	That's right.
context: And it has placed\a lock in this building.\What's worse, this is a special card.\Even I don't know to capture it.\A special card means not even\Windy, Watery,\and Firey would work'?\That's right. response:	Oh no!
context: a lock in this building.\What's worse, this is a special card.\Even I don't know to capture it.\A special card means not even\Windy, Watery,\and Firey would work'?\That's right.\Oh no! response:	I have an idea.
context: What's worse, this is a special card.\Even I don't know to capture it.\A special card means not even\Windy, Watery,\and Firey would work'?\That's right.\Oh no!\I have an idea. response:	How about asking Kero-chan for some suggestions?
context: Even I don't know to capture it.\A special card means not even\Windy, Watery,\and Firey would work'?\That's right.\Oh no!\I have an idea.\How about asking Kero-chan for some suggestions? response:	That's right!
context: A special card means not even\Windy, Watery,\and Firey would work'?\That's right.\Oh no!\I have an idea.\How about asking Kero-chan for some suggestions?\That's right! response:	Condensed milk, condensed milk.
context: Windy, Watery,\and Firey would work'?\That's right.\Oh no!\I have an idea.\How about asking Kero-chan for some suggestions?\That's right!\Condensed milk, condensed milk. response:	Double the sweetness!
context: and Firey would work'?\That's right.\Oh no!\I have an idea.\How about asking Kero-chan for some suggestions?\That's right!\Condensed milk, condensed milk.\Double the sweetness! response:	Kero-chan's not picking it up.
context: That's right.\Oh no!\I have an idea.\How about asking Kero-chan for some suggestions?\That's right!\Condensed milk, condensed milk.\Double the sweetness!\Kero-chan's not picking it up. response:	Just when we have a problem too! Geez.
context: Oh no!\I have an idea.\How about asking Kero-chan for some suggestions?\That's right!\Condensed milk, condensed milk.\Double the sweetness!\Kero-chan's not picking it up.\Just when we have a problem too! Geez. response:	We are in trouble.
context: I have an idea.\How about asking Kero-chan for some suggestions?\That's right!\Condensed milk, condensed milk.\Double the sweetness!\Kero-chan's not picking it up.\Just when we have a problem too! Geez.\We are in trouble. response:	This is the place!
context: How about asking Kero-chan for some suggestions?\That's right!\Condensed milk, condensed milk.\Double the sweetness!\Kero-chan's not picking it up.\Just when we have a problem too! Geez.\We are in trouble.\This is the place! response:	This is no use. It won't open after all.
context: That's right!\Condensed milk, condensed milk.\Double the sweetness!\Kero-chan's not picking it up.\Just when we have a problem too! Geez.\We are in trouble.\This is the place!\This is no use. It won't open after all. response:	This is too bad.
context: Condensed milk, condensed milk.\Double the sweetness!\Kero-chan's not picking it up.\Just when we have a problem too! Geez.\We are in trouble.\This is the place!\This is no use. It won't open after all.\This is too bad. response:	Anyone over there?
context: Double the sweetness!\Kero-chan's not picking it up.\Just when we have a problem too! Geez.\We are in trouble.\This is the place!\This is no use. It won't open after all.\This is too bad.\Anyone over there? response:	Isn't that Mei Lin-chan's voice?
context: Kero-chan's not picking it up.\Just when we have a problem too! Geez.\We are in trouble.\This is the place!\This is no use. It won't open after all.\This is too bad.\Anyone over there?\Isn't that Mei Lin-chan's voice? response:	Are you in there?
context: Just when we have a problem too! Geez.\We are in trouble.\This is the place!\This is no use. It won't open after all.\This is too bad.\Anyone over there?\Isn't that Mei Lin-chan's voice?\Are you in there? response:	Help us! The door won't open!
context: We are in trouble.\This is the place!\This is no use. It won't open after all.\This is too bad.\Anyone over there?\Isn't that Mei Lin-chan's voice?\Are you in there?\Help us! The door won't open! response:	We're all trapped in here!
context: This is the place!\This is no use. It won't open after all.\This is too bad.\Anyone over there?\Isn't that Mei Lin-chan's voice?\Are you in there?\Help us! The door won't open!\We're all trapped in here! response:	Don't call the others.
context: This is no use. It won't open after all.\This is too bad.\Anyone over there?\Isn't that Mei Lin-chan's voice?\Are you in there?\Help us! The door won't open!\We're all trapped in here!\Don't call the others. response:	But if it's just us, we can't get out!
context: This is too bad.\Anyone over there?\Isn't that Mei Lin-chan's voice?\Are you in there?\Help us! The door won't open!\We're all trapped in here!\Don't call the others.\But if it's just us, we can't get out! response:	But do you think
context: Anyone over there?\Isn't that Mei Lin-chan's voice?\Are you in there?\Help us! The door won't open!\We're all trapped in here!\Don't call the others.\But if it's just us, we can't get out!\But do you think response:	it'll really open if they try to open from the outside?
context: Isn't that Mei Lin-chan's voice?\Are you in there?\Help us! The door won't open!\We're all trapped in here!\Don't call the others.\But if it's just us, we can't get out!\But do you think\it'll really open if they try to open from the outside? response:	Besides, if you call other people here,
context: Are you in there?\Help us! The door won't open!\We're all trapped in here!\Don't call the others.\But if it's just us, we can't get out!\But do you think\it'll really open if they try to open from the outside?\Besides, if you call other people here, response:	we can't use magic.
context: Help us! The door won't open!\We're all trapped in here!\Don't call the others.\But if it's just us, we can't get out!\But do you think\it'll really open if they try to open from the outside?\Besides, if you call other people here,\we can't use magic. response:	And then, she won't be able to seal it.
context: We're all trapped in here!\Don't call the others.\But if it's just us, we can't get out!\But do you think\it'll really open if they try to open from the outside?\Besides, if you call other people here,\we can't use magic.\And then, she won't be able to seal it. response:	Rika-chan and the others have left.
context: Don't call the others.\But if it's just us, we can't get out!\But do you think\it'll really open if they try to open from the outside?\Besides, if you call other people here,\we can't use magic.\And then, she won't be able to seal it.\Rika-chan and the others have left. response:	If we don't hurry,
context: But if it's just us, we can't get out!\But do you think\it'll really open if they try to open from the outside?\Besides, if you call other people here,\we can't use magic.\And then, she won't be able to seal it.\Rika-chan and the others have left.\If we don't hurry, response:	the teachers will get here.
context: But do you think\it'll really open if they try to open from the outside?\Besides, if you call other people here,\we can't use magic.\And then, she won't be able to seal it.\Rika-chan and the others have left.\If we don't hurry,\the teachers will get here. response:	Before that happens,
context: it'll really open if they try to open from the outside?\Besides, if you call other people here,\we can't use magic.\And then, she won't be able to seal it.\Rika-chan and the others have left.\If we don't hurry,\the teachers will get here.\Before that happens, response:	we must find a way to solve this.
context: Besides, if you call other people here,\we can't use magic.\And then, she won't be able to seal it.\Rika-chan and the others have left.\If we don't hurry,\the teachers will get here.\Before that happens,\we must find a way to solve this. response:	But how?
context: we can't use magic.\And then, she won't be able to seal it.\Rika-chan and the others have left.\If we don't hurry,\the teachers will get here.\Before that happens,\we must find a way to solve this.\But how? response:	If it's a lock,
context: And then, she won't be able to seal it.\Rika-chan and the others have left.\If we don't hurry,\the teachers will get here.\Before that happens,\we must find a way to solve this.\But how?\If it's a lock, response:	the right key should open it.
context: Rika-chan and the others have left.\If we don't hurry,\the teachers will get here.\Before that happens,\we must find a way to solve this.\But how?\If it's a lock,\the right key should open it. response:	In order the open Lock,
context: If we don't hurry,\the teachers will get here.\Before that happens,\we must find a way to solve this.\But how?\If it's a lock,\the right key should open it.\In order the open Lock, response:	there must be a magical key somewhere.
context: the teachers will get here.\Before that happens,\we must find a way to solve this.\But how?\If it's a lock,\the right key should open it.\In order the open Lock,\there must be a magical key somewhere. response:	That's possible!
context: Before that happens,\we must find a way to solve this.\But how?\If it's a lock,\the right key should open it.\In order the open Lock,\there must be a magical key somewhere.\That's possible! response:	It's just like that time with Maze.
context: we must find a way to solve this.\But how?\If it's a lock,\the right key should open it.\In order the open Lock,\there must be a magical key somewhere.\That's possible!\It's just like that time with Maze. response:	Because we're within the card's domain like last time.
context: But how?\If it's a lock,\the right key should open it.\In order the open Lock,\there must be a magical key somewhere.\That's possible!\It's just like that time with Maze.\Because we're within the card's domain like last time. response:	It cannot tell where it is.
context: If it's a lock,\the right key should open it.\In order the open Lock,\there must be a magical key somewhere.\That's possible!\It's just like that time with Maze.\Because we're within the card's domain like last time.\It cannot tell where it is. response:	What should we do?
context: the right key should open it.\In order the open Lock,\there must be a magical key somewhere.\That's possible!\It's just like that time with Maze.\Because we're within the card's domain like last time.\It cannot tell where it is.\What should we do? response:	In the meantime, we have no other way but to look for it.
context: In order the open Lock,\there must be a magical key somewhere.\That's possible!\It's just like that time with Maze.\Because we're within the card's domain like last time.\It cannot tell where it is.\What should we do?\In the meantime, we have no other way but to look for it. response:	They were locked in?!
context: there must be a magical key somewhere.\That's possible!\It's just like that time with Maze.\Because we're within the card's domain like last time.\It cannot tell where it is.\What should we do?\In the meantime, we have no other way but to look for it.\They were locked in?! response:	Yes.
context: That's possible!\It's just like that time with Maze.\Because we're within the card's domain like last time.\It cannot tell where it is.\What should we do?\In the meantime, we have no other way but to look for it.\They were locked in?!\Yes. response:	Let's go!
context: It's just like that time with Maze.\Because we're within the card's domain like last time.\It cannot tell where it is.\What should we do?\In the meantime, we have no other way but to look for it.\They were locked in?!\Yes.\Let's go! response:	I'm going with you!
context: Because we're within the card's domain like last time.\It cannot tell where it is.\What should we do?\In the meantime, we have no other way but to look for it.\They were locked in?!\Yes.\Let's go!\I'm going with you! response:	Geez.
context: It cannot tell where it is.\What should we do?\In the meantime, we have no other way but to look for it.\They were locked in?!\Yes.\Let's go!\I'm going with you!\Geez. response:	What a troublemaker.
context: What should we do?\In the meantime, we have no other way but to look for it.\They were locked in?!\Yes.\Let's go!\I'm going with you!\Geez.\What a troublemaker. response:	Have you told your teacher yet?
context: In the meantime, we have no other way but to look for it.\They were locked in?!\Yes.\Let's go!\I'm going with you!\Geez.\What a troublemaker.\Have you told your teacher yet? response:	No, Mizuki-sensei isn't around.
context: They were locked in?!\Yes.\Let's go!\I'm going with you!\Geez.\What a troublemaker.\Have you told your teacher yet?\No, Mizuki-sensei isn't around. response:	Chiharu-chan went around looking for her
context: Yes.\Let's go!\I'm going with you!\Geez.\What a troublemaker.\Have you told your teacher yet?\No, Mizuki-sensei isn't around.\Chiharu-chan went around looking for her response:	but couldn't find her anywhere'
context: Let's go!\I'm going with you!\Geez.\What a troublemaker.\Have you told your teacher yet?\No, Mizuki-sensei isn't around.\Chiharu-chan went around looking for her\but couldn't find her anywhere' response:	I cannot find it.
context: I'm going with you!\Geez.\What a troublemaker.\Have you told your teacher yet?\No, Mizuki-sensei isn't around.\Chiharu-chan went around looking for her\but couldn't find her anywhere'\I cannot find it. response:	Geez,
context: Geez.\What a troublemaker.\Have you told your teacher yet?\No, Mizuki-sensei isn't around.\Chiharu-chan went around looking for her\but couldn't find her anywhere'\I cannot find it.\Geez, response:	where is it already?!
context: What a troublemaker.\Have you told your teacher yet?\No, Mizuki-sensei isn't around.\Chiharu-chan went around looking for her\but couldn't find her anywhere'\I cannot find it.\Geez,\where is it already?! response:	It's not here either.
context: Have you told your teacher yet?\No, Mizuki-sensei isn't around.\Chiharu-chan went around looking for her\but couldn't find her anywhere'\I cannot find it.\Geez,\where is it already?!\It's not here either. response:	People are coming!
context: No, Mizuki-sensei isn't around.\Chiharu-chan went around looking for her\but couldn't find her anywhere'\I cannot find it.\Geez,\where is it already?!\It's not here either.\People are coming! response:	Watch out!
context: Chiharu-chan went around looking for her\but couldn't find her anywhere'\I cannot find it.\Geez,\where is it already?!\It's not here either.\People are coming!\Watch out! response:	Mizuki-sensei?
context: but couldn't find her anywhere'\I cannot find it.\Geez,\where is it already?!\It's not here either.\People are coming!\Watch out!\Mizuki-sensei? response:	Gimme your hand!
context: I cannot find it.\Geez,\where is it already?!\It's not here either.\People are coming!\Watch out!\Mizuki-sensei?\Gimme your hand! response:	Li-kun!
context: Geez,\where is it already?!\It's not here either.\People are coming!\Watch out!\Mizuki-sensei?\Gimme your hand!\Li-kun! response:	Just now I saw Mizuki-sensei outside the window.
context: where is it already?!\It's not here either.\People are coming!\Watch out!\Mizuki-sensei?\Gimme your hand!\Li-kun!\Just now I saw Mizuki-sensei outside the window. response:	What?!
context: It's not here either.\People are coming!\Watch out!\Mizuki-sensei?\Gimme your hand!\Li-kun!\Just now I saw Mizuki-sensei outside the window.\What?! response:	It seems she was trying to tell me something'
context: People are coming!\Watch out!\Mizuki-sensei?\Gimme your hand!\Li-kun!\Just now I saw Mizuki-sensei outside the window.\What?!\It seems she was trying to tell me something' response:	This is it! This!
context: Watch out!\Mizuki-sensei?\Gimme your hand!\Li-kun!\Just now I saw Mizuki-sensei outside the window.\What?!\It seems she was trying to tell me something'\This is it! This! response:	If I try this on the lock'
context: Mizuki-sensei?\Gimme your hand!\Li-kun!\Just now I saw Mizuki-sensei outside the window.\What?!\It seems she was trying to tell me something'\This is it! This!\If I try this on the lock' response:	They're okay.
context: Gimme your hand!\Li-kun!\Just now I saw Mizuki-sensei outside the window.\What?!\It seems she was trying to tell me something'\This is it! This!\If I try this on the lock'\They're okay. response:	Kaho'
context: Li-kun!\Just now I saw Mizuki-sensei outside the window.\What?!\It seems she was trying to tell me something'\This is it! This!\If I try this on the lock'\They're okay.\Kaho' response:	It'll opens now.
context: Just now I saw Mizuki-sensei outside the window.\What?!\It seems she was trying to tell me something'\This is it! This!\If I try this on the lock'\They're okay.\Kaho'\It'll opens now. response:	What's wrong?!
context: What?!\It seems she was trying to tell me something'\This is it! This!\If I try this on the lock'\They're okay.\Kaho'\It'll opens now.\What's wrong?! response:	You can't get away!
context: It seems she was trying to tell me something'\This is it! This!\If I try this on the lock'\They're okay.\Kaho'\It'll opens now.\What's wrong?!\You can't get away! response:	Before Lock hides away,
context: This is it! This!\If I try this on the lock'\They're okay.\Kaho'\It'll opens now.\What's wrong?!\You can't get away!\Before Lock hides away, response:	hurry!
context: If I try this on the lock'\They're okay.\Kaho'\It'll opens now.\What's wrong?!\You can't get away!\Before Lock hides away,\hurry! response:	Release!
context: They're okay.\Kaho'\It'll opens now.\What's wrong?!\You can't get away!\Before Lock hides away,\hurry!\Release! response:	Return to thy form which thou should be!
context: Kaho'\It'll opens now.\What's wrong?!\You can't get away!\Before Lock hides away,\hurry!\Release!\Return to thy form which thou should be! response:	Clow Card!
context: It'll opens now.\What's wrong?!\You can't get away!\Before Lock hides away,\hurry!\Release!\Return to thy form which thou should be!\Clow Card! response:	Hey! Sakura!
