context: Ladies and gentlemen, good evening. response:	Wishing to express his feelings, the young man ran to the opera house,
context: It's rare for YOU to need anybody's advice on anything.\I had no choice but to beg an elite member of the Ministry of the Interior for help.\Your best friend isn't with you today?\Where's Victoria?\Madame is resting in her room.\I have no idea what to do with your mother.\She's been acting like this ever since she was out in the night air...\I'd love to! response:	I have a little work to finish up, so my daughter will keep you company until I'm done.
context: I had no choice but to beg an elite member of the Ministry of the Interior for help.\Your best friend isn't with you today?\Where's Victoria?\Madame is resting in her room.\I have no idea what to do with your mother.\She's been acting like this ever since she was out in the night air...\I'd love to!\I have a little work to finish up, so my daughter will keep you company until I'm done. response:	Why don't you play another little tune? For Andrea this time.
context: Your best friend isn't with you today?\Where's Victoria?\Madame is resting in her room.\I have no idea what to do with your mother.\She's been acting like this ever since she was out in the night air...\I'd love to!\I have a little work to finish up, so my daughter will keep you company until I'm done.\Why don't you play another little tune? For Andrea this time. response:	I would be honored if you did! Oh, that reminds me...
context: Where's Victoria?\Madame is resting in her room.\I have no idea what to do with your mother.\She's been acting like this ever since she was out in the night air...\I'd love to!\I have a little work to finish up, so my daughter will keep you company until I'm done.\Why don't you play another little tune? For Andrea this time.\I would be honored if you did! Oh, that reminds me... response:	Black hole futures?!
context: Madame is resting in her room.\I have no idea what to do with your mother.\She's been acting like this ever since she was out in the night air...\I'd love to!\I have a little work to finish up, so my daughter will keep you company until I'm done.\Why don't you play another little tune? For Andrea this time.\I would be honored if you did! Oh, that reminds me...\Black hole futures?! response:	Now, then, let's get down to business, Michelle!
context: I have no idea what to do with your mother.\She's been acting like this ever since she was out in the night air...\I'd love to!\I have a little work to finish up, so my daughter will keep you company until I'm done.\Why don't you play another little tune? For Andrea this time.\I would be honored if you did! Oh, that reminds me...\Black hole futures?!\Now, then, let's get down to business, Michelle! response:	General Morcerf has called and made an appointment.
context: She's been acting like this ever since she was out in the night air...\I'd love to!\I have a little work to finish up, so my daughter will keep you company until I'm done.\Why don't you play another little tune? For Andrea this time.\I would be honored if you did! Oh, that reminds me...\Black hole futures?!\Now, then, let's get down to business, Michelle!\General Morcerf has called and made an appointment. response:	Never mind about that! Show me the ultra-high density materials market!
context: I'd love to!\I have a little work to finish up, so my daughter will keep you company until I'm done.\Why don't you play another little tune? For Andrea this time.\I would be honored if you did! Oh, that reminds me...\Black hole futures?!\Now, then, let's get down to business, Michelle!\General Morcerf has called and made an appointment.\Never mind about that! Show me the ultra-high density materials market! response:	Get to it!
context: I have a little work to finish up, so my daughter will keep you company until I'm done.\Why don't you play another little tune? For Andrea this time.\I would be honored if you did! Oh, that reminds me...\Black hole futures?!\Now, then, let's get down to business, Michelle!\General Morcerf has called and made an appointment.\Never mind about that! Show me the ultra-high density materials market!\Get to it! response:	Understood.
context: Why don't you play another little tune? For Andrea this time.\I would be honored if you did! Oh, that reminds me...\Black hole futures?!\Now, then, let's get down to business, Michelle!\General Morcerf has called and made an appointment.\Never mind about that! Show me the ultra-high density materials market!\Get to it!\Understood. response:	Danglars has accessed the market.
context: I would be honored if you did! Oh, that reminds me...\Black hole futures?!\Now, then, let's get down to business, Michelle!\General Morcerf has called and made an appointment.\Never mind about that! Show me the ultra-high density materials market!\Get to it!\Understood.\Danglars has accessed the market. response:	Very well. Sell.
context: Black hole futures?!\Now, then, let's get down to business, Michelle!\General Morcerf has called and made an appointment.\Never mind about that! Show me the ultra-high density materials market!\Get to it!\Understood.\Danglars has accessed the market.\Very well. Sell. response:	Understood!
context: Now, then, let's get down to business, Michelle!\General Morcerf has called and made an appointment.\Never mind about that! Show me the ultra-high density materials market!\Get to it!\Understood.\Danglars has accessed the market.\Very well. Sell.\Understood! response:	Let him eat his fill. We'll make sure that he's fattened up properly.
context: General Morcerf has called and made an appointment.\Never mind about that! Show me the ultra-high density materials market!\Get to it!\Understood.\Danglars has accessed the market.\Very well. Sell.\Understood!\Let him eat his fill. We'll make sure that he's fattened up properly. response:	Wait until the time is right, and then leak intel that there are signs...
context: Never mind about that! Show me the ultra-high density materials market!\Get to it!\Understood.\Danglars has accessed the market.\Very well. Sell.\Understood!\Let him eat his fill. We'll make sure that he's fattened up properly.\Wait until the time is right, and then leak intel that there are signs... response:	Still, the thought of lining that vulture's pockets is a little distasteful.
context: Get to it!\Understood.\Danglars has accessed the market.\Very well. Sell.\Understood!\Let him eat his fill. We'll make sure that he's fattened up properly.\Wait until the time is right, and then leak intel that there are signs...\Still, the thought of lining that vulture's pockets is a little distasteful. response:	Gankutsuou, huh?
context: Understood.\Danglars has accessed the market.\Very well. Sell.\Understood!\Let him eat his fill. We'll make sure that he's fattened up properly.\Wait until the time is right, and then leak intel that there are signs...\Still, the thought of lining that vulture's pockets is a little distasteful.\Gankutsuou, huh? response:	Are you ready to start?
context: Danglars has accessed the market.\Very well. Sell.\Understood!\Let him eat his fill. We'll make sure that he's fattened up properly.\Wait until the time is right, and then leak intel that there are signs...\Still, the thought of lining that vulture's pockets is a little distasteful.\Gankutsuou, huh?\Are you ready to start? response:	Here we go.
context: Very well. Sell.\Understood!\Let him eat his fill. We'll make sure that he's fattened up properly.\Wait until the time is right, and then leak intel that there are signs...\Still, the thought of lining that vulture's pockets is a little distasteful.\Gankutsuou, huh?\Are you ready to start?\Here we go. response:	What IS this place?
context: Understood!\Let him eat his fill. We'll make sure that he's fattened up properly.\Wait until the time is right, and then leak intel that there are signs...\Still, the thought of lining that vulture's pockets is a little distasteful.\Gankutsuou, huh?\Are you ready to start?\Here we go.\What IS this place? response:	A database that's under the direct jurisdiction of the Ministry of the Interior.
context: Let him eat his fill. We'll make sure that he's fattened up properly.\Wait until the time is right, and then leak intel that there are signs...\Still, the thought of lining that vulture's pockets is a little distasteful.\Gankutsuou, huh?\Are you ready to start?\Here we go.\What IS this place?\A database that's under the direct jurisdiction of the Ministry of the Interior. response:	State search keyword.
context: Wait until the time is right, and then leak intel that there are signs...\Still, the thought of lining that vulture's pockets is a little distasteful.\Gankutsuou, huh?\Are you ready to start?\Here we go.\What IS this place?\A database that's under the direct jurisdiction of the Ministry of the Interior.\State search keyword. response:	Gankutsuou.
context: Still, the thought of lining that vulture's pockets is a little distasteful.\Gankutsuou, huh?\Are you ready to start?\Here we go.\What IS this place?\A database that's under the direct jurisdiction of the Ministry of the Interior.\State search keyword.\Gankutsuou. response:	Lucien Debray, First Secretary, class S. Access granted.
context: Gankutsuou, huh?\Are you ready to start?\Here we go.\What IS this place?\A database that's under the direct jurisdiction of the Ministry of the Interior.\State search keyword.\Gankutsuou.\Lucien Debray, First Secretary, class S. Access granted. response:	Where are we?!
context: Are you ready to start?\Here we go.\What IS this place?\A database that's under the direct jurisdiction of the Ministry of the Interior.\State search keyword.\Gankutsuou.\Lucien Debray, First Secretary, class S. Access granted.\Where are we?! response:	Keep quiet.
context: Here we go.\What IS this place?\A database that's under the direct jurisdiction of the Ministry of the Interior.\State search keyword.\Gankutsuou.\Lucien Debray, First Secretary, class S. Access granted.\Where are we?!\Keep quiet. response:	Gankutsuou is the king of the shadows.
context: What IS this place?\A database that's under the direct jurisdiction of the Ministry of the Interior.\State search keyword.\Gankutsuou.\Lucien Debray, First Secretary, class S. Access granted.\Where are we?!\Keep quiet.\Gankutsuou is the king of the shadows. response:	Which means what?
context: A database that's under the direct jurisdiction of the Ministry of the Interior.\State search keyword.\Gankutsuou.\Lucien Debray, First Secretary, class S. Access granted.\Where are we?!\Keep quiet.\Gankutsuou is the king of the shadows.\Which means what? response:	Nobody's ever seen what he looks like. His name should never be spoken.
context: State search keyword.\Gankutsuou.\Lucien Debray, First Secretary, class S. Access granted.\Where are we?!\Keep quiet.\Gankutsuou is the king of the shadows.\Which means what?\Nobody's ever seen what he looks like. His name should never be spoken. response:	Those who break that taboo meet a fate worse than death.
context: Gankutsuou.\Lucien Debray, First Secretary, class S. Access granted.\Where are we?!\Keep quiet.\Gankutsuou is the king of the shadows.\Which means what?\Nobody's ever seen what he looks like. His name should never be spoken.\Those who break that taboo meet a fate worse than death. response:	Is that an urban legend?
context: Lucien Debray, First Secretary, class S. Access granted.\Where are we?!\Keep quiet.\Gankutsuou is the king of the shadows.\Which means what?\Nobody's ever seen what he looks like. His name should never be spoken.\Those who break that taboo meet a fate worse than death.\Is that an urban legend? response:	It's the truth. He appeared on the fringes of the galaxy a thousand years ago...
context: Where are we?!\Keep quiet.\Gankutsuou is the king of the shadows.\Which means what?\Nobody's ever seen what he looks like. His name should never be spoken.\Those who break that taboo meet a fate worse than death.\Is that an urban legend?\It's the truth. He appeared on the fringes of the galaxy a thousand years ago... response:	He's an invader?
context: Keep quiet.\Gankutsuou is the king of the shadows.\Which means what?\Nobody's ever seen what he looks like. His name should never be spoken.\Those who break that taboo meet a fate worse than death.\Is that an urban legend?\It's the truth. He appeared on the fringes of the galaxy a thousand years ago...\He's an invader? response:	Gankutsuou is invincible. He controls people by manipulating their desires.
context: Gankutsuou is the king of the shadows.\Which means what?\Nobody's ever seen what he looks like. His name should never be spoken.\Those who break that taboo meet a fate worse than death.\Is that an urban legend?\It's the truth. He appeared on the fringes of the galaxy a thousand years ago...\He's an invader?\Gankutsuou is invincible. He controls people by manipulating their desires. response:	However, he was defeated by fate.
context: Which means what?\Nobody's ever seen what he looks like. His name should never be spoken.\Those who break that taboo meet a fate worse than death.\Is that an urban legend?\It's the truth. He appeared on the fringes of the galaxy a thousand years ago...\He's an invader?\Gankutsuou is invincible. He controls people by manipulating their desires.\However, he was defeated by fate. response:	In June of the year 4002 of the Louis Philippe calendar,
context: Nobody's ever seen what he looks like. His name should never be spoken.\Those who break that taboo meet a fate worse than death.\Is that an urban legend?\It's the truth. He appeared on the fringes of the galaxy a thousand years ago...\He's an invader?\Gankutsuou is invincible. He controls people by manipulating their desires.\However, he was defeated by fate.\In June of the year 4002 of the Louis Philippe calendar, response:	Incarcerated where?
context: Those who break that taboo meet a fate worse than death.\Is that an urban legend?\It's the truth. He appeared on the fringes of the galaxy a thousand years ago...\He's an invader?\Gankutsuou is invincible. He controls people by manipulating their desires.\However, he was defeated by fate.\In June of the year 4002 of the Louis Philippe calendar,\Incarcerated where? response:	We can't answer that.
context: Is that an urban legend?\It's the truth. He appeared on the fringes of the galaxy a thousand years ago...\He's an invader?\Gankutsuou is invincible. He controls people by manipulating their desires.\However, he was defeated by fate.\In June of the year 4002 of the Louis Philippe calendar,\Incarcerated where?\We can't answer that. response:	Where was he imprisoned?
context: It's the truth. He appeared on the fringes of the galaxy a thousand years ago...\He's an invader?\Gankutsuou is invincible. He controls people by manipulating their desires.\However, he was defeated by fate.\In June of the year 4002 of the Louis Philippe calendar,\Incarcerated where?\We can't answer that.\Where was he imprisoned? response:	We can't answer that.
context: He's an invader?\Gankutsuou is invincible. He controls people by manipulating their desires.\However, he was defeated by fate.\In June of the year 4002 of the Louis Philippe calendar,\Incarcerated where?\We can't answer that.\Where was he imprisoned?\We can't answer that. response:	I hereby issue lmperial Edict 53!
context: Gankutsuou is invincible. He controls people by manipulating their desires.\However, he was defeated by fate.\In June of the year 4002 of the Louis Philippe calendar,\Incarcerated where?\We can't answer that.\Where was he imprisoned?\We can't answer that.\I hereby issue lmperial Edict 53! response:	Gankutsuou was imprisoned in the Chateau d'lf.
context: However, he was defeated by fate.\In June of the year 4002 of the Louis Philippe calendar,\Incarcerated where?\We can't answer that.\Where was he imprisoned?\We can't answer that.\I hereby issue lmperial Edict 53!\Gankutsuou was imprisoned in the Chateau d'lf. response:	What happened after that?
context: In June of the year 4002 of the Louis Philippe calendar,\Incarcerated where?\We can't answer that.\Where was he imprisoned?\We can't answer that.\I hereby issue lmperial Edict 53!\Gankutsuou was imprisoned in the Chateau d'lf.\What happened after that? response:	His death was confirmed on December 23, 5043.
context: Incarcerated where?\We can't answer that.\Where was he imprisoned?\We can't answer that.\I hereby issue lmperial Edict 53!\Gankutsuou was imprisoned in the Chateau d'lf.\What happened after that?\His death was confirmed on December 23, 5043. response:	Ten years ago?!
context: We can't answer that.\Where was he imprisoned?\We can't answer that.\I hereby issue lmperial Edict 53!\Gankutsuou was imprisoned in the Chateau d'lf.\What happened after that?\His death was confirmed on December 23, 5043.\Ten years ago?! response:	He was in prison for more than a thousand years?!
context: Where was he imprisoned?\We can't answer that.\I hereby issue lmperial Edict 53!\Gankutsuou was imprisoned in the Chateau d'lf.\What happened after that?\His death was confirmed on December 23, 5043.\Ten years ago?!\He was in prison for more than a thousand years?! response:	What was that prisoner's name?
context: We can't answer that.\I hereby issue lmperial Edict 53!\Gankutsuou was imprisoned in the Chateau d'lf.\What happened after that?\His death was confirmed on December 23, 5043.\Ten years ago?!\He was in prison for more than a thousand years?!\What was that prisoner's name? response:	The Man in the Iron Mask.
context: I hereby issue lmperial Edict 53!\Gankutsuou was imprisoned in the Chateau d'lf.\What happened after that?\His death was confirmed on December 23, 5043.\Ten years ago?!\He was in prison for more than a thousand years?!\What was that prisoner's name?\The Man in the Iron Mask. response:	What was his full name?!
context: Gankutsuou was imprisoned in the Chateau d'lf.\What happened after that?\His death was confirmed on December 23, 5043.\Ten years ago?!\He was in prison for more than a thousand years?!\What was that prisoner's name?\The Man in the Iron Mask.\What was his full name?! response:	Terminate access immediately.
context: What happened after that?\His death was confirmed on December 23, 5043.\Ten years ago?!\He was in prison for more than a thousand years?!\What was that prisoner's name?\The Man in the Iron Mask.\What was his full name?!\Terminate access immediately. response:	Why?!
context: His death was confirmed on December 23, 5043.\Ten years ago?!\He was in prison for more than a thousand years?!\What was that prisoner's name?\The Man in the Iron Mask.\What was his full name?!\Terminate access immediately.\Why?! response:	We can't answer that.
context: Ten years ago?!\He was in prison for more than a thousand years?!\What was that prisoner's name?\The Man in the Iron Mask.\What was his full name?!\Terminate access immediately.\Why?!\We can't answer that. response:	I hereby issue special provision 3 of Edict 53!
context: He was in prison for more than a thousand years?!\What was that prisoner's name?\The Man in the Iron Mask.\What was his full name?!\Terminate access immediately.\Why?!\We can't answer that.\I hereby issue special provision 3 of Edict 53! response:	His name... His name was...
context: What was that prisoner's name?\The Man in the Iron Mask.\What was his full name?!\Terminate access immediately.\Why?!\We can't answer that.\I hereby issue special provision 3 of Edict 53!\His name... His name was... response:	Illegal access!
context: The Man in the Iron Mask.\What was his full name?!\Terminate access immediately.\Why?!\We can't answer that.\I hereby issue special provision 3 of Edict 53!\His name... His name was...\Illegal access! response:	Illegal access!
context: What was his full name?!\Terminate access immediately.\Why?!\We can't answer that.\I hereby issue special provision 3 of Edict 53!\His name... His name was...\Illegal access!\Illegal access! response:	Enacting article 6, clause 2 of the Secrets Preservation Code.
context: Terminate access immediately.\Why?!\We can't answer that.\I hereby issue special provision 3 of Edict 53!\His name... His name was...\Illegal access!\Illegal access!\Enacting article 6, clause 2 of the Secrets Preservation Code. response:	T-This isn't good...
context: Why?!\We can't answer that.\I hereby issue special provision 3 of Edict 53!\His name... His name was...\Illegal access!\Illegal access!\Enacting article 6, clause 2 of the Secrets Preservation Code.\T-This isn't good... response:	I want to know who Gankutsuou really is!
context: We can't answer that.\I hereby issue special provision 3 of Edict 53!\His name... His name was...\Illegal access!\Illegal access!\Enacting article 6, clause 2 of the Secrets Preservation Code.\T-This isn't good...\I want to know who Gankutsuou really is! response:	No, I HAVE to know!
context: I hereby issue special provision 3 of Edict 53!\His name... His name was...\Illegal access!\Illegal access!\Enacting article 6, clause 2 of the Secrets Preservation Code.\T-This isn't good...\I want to know who Gankutsuou really is!\No, I HAVE to know! response:	Old man Noirtier might know.
context: His name... His name was...\Illegal access!\Illegal access!\Enacting article 6, clause 2 of the Secrets Preservation Code.\T-This isn't good...\I want to know who Gankutsuou really is!\No, I HAVE to know!\Old man Noirtier might know. response:	Who, him?
context: Illegal access!\Illegal access!\Enacting article 6, clause 2 of the Secrets Preservation Code.\T-This isn't good...\I want to know who Gankutsuou really is!\No, I HAVE to know!\Old man Noirtier might know.\Who, him? response:	A long time ago, he used to be top dog in the Ministry of the Interior.
context: Illegal access!\Enacting article 6, clause 2 of the Secrets Preservation Code.\T-This isn't good...\I want to know who Gankutsuou really is!\No, I HAVE to know!\Old man Noirtier might know.\Who, him?\A long time ago, he used to be top dog in the Ministry of the Interior. response:	But he also had a lot of enemies, and he was brought down.
context: Enacting article 6, clause 2 of the Secrets Preservation Code.\T-This isn't good...\I want to know who Gankutsuou really is!\No, I HAVE to know!\Old man Noirtier might know.\Who, him?\A long time ago, he used to be top dog in the Ministry of the Interior.\But he also had a lot of enemies, and he was brought down. response:	You mean the assassination of the Prince?
context: T-This isn't good...\I want to know who Gankutsuou really is!\No, I HAVE to know!\Old man Noirtier might know.\Who, him?\A long time ago, he used to be top dog in the Ministry of the Interior.\But he also had a lot of enemies, and he was brought down.\You mean the assassination of the Prince? response:	He was a proponent of peace with the Empire.
context: I want to know who Gankutsuou really is!\No, I HAVE to know!\Old man Noirtier might know.\Who, him?\A long time ago, he used to be top dog in the Ministry of the Interior.\But he also had a lot of enemies, and he was brought down.\You mean the assassination of the Prince?\He was a proponent of peace with the Empire. response:	Apparently, that's made it difficult for his son, Villefort, to move up in the world.
context: No, I HAVE to know!\Old man Noirtier might know.\Who, him?\A long time ago, he used to be top dog in the Ministry of the Interior.\But he also had a lot of enemies, and he was brought down.\You mean the assassination of the Prince?\He was a proponent of peace with the Empire.\Apparently, that's made it difficult for his son, Villefort, to move up in the world. response:	Of course, all that work has been for nothing now.
context: Old man Noirtier might know.\Who, him?\A long time ago, he used to be top dog in the Ministry of the Interior.\But he also had a lot of enemies, and he was brought down.\You mean the assassination of the Prince?\He was a proponent of peace with the Empire.\Apparently, that's made it difficult for his son, Villefort, to move up in the world.\Of course, all that work has been for nothing now. response:	Father... You must be laughing at me, a man who's lost both his status and his family.
context: Who, him?\A long time ago, he used to be top dog in the Ministry of the Interior.\But he also had a lot of enemies, and he was brought down.\You mean the assassination of the Prince?\He was a proponent of peace with the Empire.\Apparently, that's made it difficult for his son, Villefort, to move up in the world.\Of course, all that work has been for nothing now.\Father... You must be laughing at me, a man who's lost both his status and his family. response:	You must think it's poetic justice for a man who's spent his career...
context: A long time ago, he used to be top dog in the Ministry of the Interior.\But he also had a lot of enemies, and he was brought down.\You mean the assassination of the Prince?\He was a proponent of peace with the Empire.\Apparently, that's made it difficult for his son, Villefort, to move up in the world.\Of course, all that work has been for nothing now.\Father... You must be laughing at me, a man who's lost both his status and his family.\You must think it's poetic justice for a man who's spent his career... response:	That this is my punishment for defying your wishes and supporting war against the Empire...
context: But he also had a lot of enemies, and he was brought down.\You mean the assassination of the Prince?\He was a proponent of peace with the Empire.\Apparently, that's made it difficult for his son, Villefort, to move up in the world.\Of course, all that work has been for nothing now.\Father... You must be laughing at me, a man who's lost both his status and his family.\You must think it's poetic justice for a man who's spent his career...\That this is my punishment for defying your wishes and supporting war against the Empire... response:	I've worked hard to surpass you!
context: You mean the assassination of the Prince?\He was a proponent of peace with the Empire.\Apparently, that's made it difficult for his son, Villefort, to move up in the world.\Of course, all that work has been for nothing now.\Father... You must be laughing at me, a man who's lost both his status and his family.\You must think it's poetic justice for a man who's spent his career...\That this is my punishment for defying your wishes and supporting war against the Empire...\I've worked hard to surpass you! response:	To surpass you, who had the power to sway government policy!
context: He was a proponent of peace with the Empire.\Apparently, that's made it difficult for his son, Villefort, to move up in the world.\Of course, all that work has been for nothing now.\Father... You must be laughing at me, a man who's lost both his status and his family.\You must think it's poetic justice for a man who's spent his career...\That this is my punishment for defying your wishes and supporting war against the Empire...\I've worked hard to surpass you!\To surpass you, who had the power to sway government policy! response:	Do you have the slightest idea how hard that was?!
context: Apparently, that's made it difficult for his son, Villefort, to move up in the world.\Of course, all that work has been for nothing now.\Father... You must be laughing at me, a man who's lost both his status and his family.\You must think it's poetic justice for a man who's spent his career...\That this is my punishment for defying your wishes and supporting war against the Empire...\I've worked hard to surpass you!\To surpass you, who had the power to sway government policy!\Do you have the slightest idea how hard that was?! response:	Any idea how hard it was to be your son in a world dominated by hawks?!
context: Of course, all that work has been for nothing now.\Father... You must be laughing at me, a man who's lost both his status and his family.\You must think it's poetic justice for a man who's spent his career...\That this is my punishment for defying your wishes and supporting war against the Empire...\I've worked hard to surpass you!\To surpass you, who had the power to sway government policy!\Do you have the slightest idea how hard that was?!\Any idea how hard it was to be your son in a world dominated by hawks?! response:	Suspended from duty, huh?
context: Father... You must be laughing at me, a man who's lost both his status and his family.\You must think it's poetic justice for a man who's spent his career...\That this is my punishment for defying your wishes and supporting war against the Empire...\I've worked hard to surpass you!\To surpass you, who had the power to sway government policy!\Do you have the slightest idea how hard that was?!\Any idea how hard it was to be your son in a world dominated by hawks?!\Suspended from duty, huh? response:	So what?! See if I care!
context: You must think it's poetic justice for a man who's spent his career...\That this is my punishment for defying your wishes and supporting war against the Empire...\I've worked hard to surpass you!\To surpass you, who had the power to sway government policy!\Do you have the slightest idea how hard that was?!\Any idea how hard it was to be your son in a world dominated by hawks?!\Suspended from duty, huh?\So what?! See if I care! response:	I won't let it end like this!
context: That this is my punishment for defying your wishes and supporting war against the Empire...\I've worked hard to surpass you!\To surpass you, who had the power to sway government policy!\Do you have the slightest idea how hard that was?!\Any idea how hard it was to be your son in a world dominated by hawks?!\Suspended from duty, huh?\So what?! See if I care!\I won't let it end like this! response:	Just you watch! I'll come back from this stronger than ever!
context: I've worked hard to surpass you!\To surpass you, who had the power to sway government policy!\Do you have the slightest idea how hard that was?!\Any idea how hard it was to be your son in a world dominated by hawks?!\Suspended from duty, huh?\So what?! See if I care!\I won't let it end like this!\Just you watch! I'll come back from this stronger than ever! response:	She's been like that since we arrived.
context: To surpass you, who had the power to sway government policy!\Do you have the slightest idea how hard that was?!\Any idea how hard it was to be your son in a world dominated by hawks?!\Suspended from duty, huh?\So what?! See if I care!\I won't let it end like this!\Just you watch! I'll come back from this stronger than ever!\She's been like that since we arrived. response:	It's as if she's regressed to childhood.
context: Do you have the slightest idea how hard that was?!\Any idea how hard it was to be your son in a world dominated by hawks?!\Suspended from duty, huh?\So what?! See if I care!\I won't let it end like this!\Just you watch! I'll come back from this stronger than ever!\She's been like that since we arrived.\It's as if she's regressed to childhood. response:	Excellency, are you certain that this is a wise idea?
context: Any idea how hard it was to be your son in a world dominated by hawks?!\Suspended from duty, huh?\So what?! See if I care!\I won't let it end like this!\Just you watch! I'll come back from this stronger than ever!\She's been like that since we arrived.\It's as if she's regressed to childhood.\Excellency, are you certain that this is a wise idea? response:	We can still attack after seeing how the peace negotiations at Geneva go.
context: Suspended from duty, huh?\So what?! See if I care!\I won't let it end like this!\Just you watch! I'll come back from this stronger than ever!\She's been like that since we arrived.\It's as if she's regressed to childhood.\Excellency, are you certain that this is a wise idea?\We can still attack after seeing how the peace negotiations at Geneva go. response:	We must strike while we have the chance!
context: So what?! See if I care!\I won't let it end like this!\Just you watch! I'll come back from this stronger than ever!\She's been like that since we arrived.\It's as if she's regressed to childhood.\Excellency, are you certain that this is a wise idea?\We can still attack after seeing how the peace negotiations at Geneva go.\We must strike while we have the chance! response:	If we are to gain the upper hand at the negotiation table, there can be no hesitation!
context: I won't let it end like this!\Just you watch! I'll come back from this stronger than ever!\She's been like that since we arrived.\It's as if she's regressed to childhood.\Excellency, are you certain that this is a wise idea?\We can still attack after seeing how the peace negotiations at Geneva go.\We must strike while we have the chance!\If we are to gain the upper hand at the negotiation table, there can be no hesitation! response:	A victory here will give your poll numbers a huge boost, Excellency!
context: Just you watch! I'll come back from this stronger than ever!\She's been like that since we arrived.\It's as if she's regressed to childhood.\Excellency, are you certain that this is a wise idea?\We can still attack after seeing how the peace negotiations at Geneva go.\We must strike while we have the chance!\If we are to gain the upper hand at the negotiation table, there can be no hesitation!\A victory here will give your poll numbers a huge boost, Excellency! response:	His Excellency, the Viscount Morcerf.
context: She's been like that since we arrived.\It's as if she's regressed to childhood.\Excellency, are you certain that this is a wise idea?\We can still attack after seeing how the peace negotiations at Geneva go.\We must strike while we have the chance!\If we are to gain the upper hand at the negotiation table, there can be no hesitation!\A victory here will give your poll numbers a huge boost, Excellency!\His Excellency, the Viscount Morcerf. response:	What may we do for you today?
context: It's as if she's regressed to childhood.\Excellency, are you certain that this is a wise idea?\We can still attack after seeing how the peace negotiations at Geneva go.\We must strike while we have the chance!\If we are to gain the upper hand at the negotiation table, there can be no hesitation!\A victory here will give your poll numbers a huge boost, Excellency!\His Excellency, the Viscount Morcerf.\What may we do for you today? response:	Actually, I had hoped to meet with the Count.
context: Excellency, are you certain that this is a wise idea?\We can still attack after seeing how the peace negotiations at Geneva go.\We must strike while we have the chance!\If we are to gain the upper hand at the negotiation table, there can be no hesitation!\A victory here will give your poll numbers a huge boost, Excellency!\His Excellency, the Viscount Morcerf.\What may we do for you today?\Actually, I had hoped to meet with the Count. response:	The Count's illness has rendered him bedridden.
context: We can still attack after seeing how the peace negotiations at Geneva go.\We must strike while we have the chance!\If we are to gain the upper hand at the negotiation table, there can be no hesitation!\A victory here will give your poll numbers a huge boost, Excellency!\His Excellency, the Viscount Morcerf.\What may we do for you today?\Actually, I had hoped to meet with the Count.\The Count's illness has rendered him bedridden. response:	Yes, I'd heard.
context: We must strike while we have the chance!\If we are to gain the upper hand at the negotiation table, there can be no hesitation!\A victory here will give your poll numbers a huge boost, Excellency!\His Excellency, the Viscount Morcerf.\What may we do for you today?\Actually, I had hoped to meet with the Count.\The Count's illness has rendered him bedridden.\Yes, I'd heard. response:	Please, let me wish him a speedy recovery.
context: If we are to gain the upper hand at the negotiation table, there can be no hesitation!\A victory here will give your poll numbers a huge boost, Excellency!\His Excellency, the Viscount Morcerf.\What may we do for you today?\Actually, I had hoped to meet with the Count.\The Count's illness has rendered him bedridden.\Yes, I'd heard.\Please, let me wish him a speedy recovery. response:	I ask that you allow him to remain undisturbed.
context: A victory here will give your poll numbers a huge boost, Excellency!\His Excellency, the Viscount Morcerf.\What may we do for you today?\Actually, I had hoped to meet with the Count.\The Count's illness has rendered him bedridden.\Yes, I'd heard.\Please, let me wish him a speedy recovery.\I ask that you allow him to remain undisturbed. response:	At times like this, he will see no one but me.
context: His Excellency, the Viscount Morcerf.\What may we do for you today?\Actually, I had hoped to meet with the Count.\The Count's illness has rendered him bedridden.\Yes, I'd heard.\Please, let me wish him a speedy recovery.\I ask that you allow him to remain undisturbed.\At times like this, he will see no one but me. response:	The Count has complete faith in you, doesn't he?
context: What may we do for you today?\Actually, I had hoped to meet with the Count.\The Count's illness has rendered him bedridden.\Yes, I'd heard.\Please, let me wish him a speedy recovery.\I ask that you allow him to remain undisturbed.\At times like this, he will see no one but me.\The Count has complete faith in you, doesn't he? response:	Please tell him to be on his guard against Monsieur Villefort.
context: Actually, I had hoped to meet with the Count.\The Count's illness has rendered him bedridden.\Yes, I'd heard.\Please, let me wish him a speedy recovery.\I ask that you allow him to remain undisturbed.\At times like this, he will see no one but me.\The Count has complete faith in you, doesn't he?\Please tell him to be on his guard against Monsieur Villefort. response:	He said that he'll make the Count pay for what he did. So he has to...
context: The Count's illness has rendered him bedridden.\Yes, I'd heard.\Please, let me wish him a speedy recovery.\I ask that you allow him to remain undisturbed.\At times like this, he will see no one but me.\The Count has complete faith in you, doesn't he?\Please tell him to be on his guard against Monsieur Villefort.\He said that he'll make the Count pay for what he did. So he has to... response:	You care a great deal for the Count, don't you, Monsieur Albert?
context: Yes, I'd heard.\Please, let me wish him a speedy recovery.\I ask that you allow him to remain undisturbed.\At times like this, he will see no one but me.\The Count has complete faith in you, doesn't he?\Please tell him to be on his guard against Monsieur Villefort.\He said that he'll make the Count pay for what he did. So he has to...\You care a great deal for the Count, don't you, Monsieur Albert? response:	Yes, I suppose...
