context: This woman, Kurami Zell, has won all her games in the tournament. response:	Is there no one left to challenge her?
context: As long as it's not an impossible game to win...\Blank will never lose.\There you have it.\I'll tell you the truth.\I'm working with the elves to secure a place for Imanity to live.\Once we've got the bare minimum amount of territory we need,\I'll break ties with elves.\Wow. response:	Wow.
context: Blank will never lose.\There you have it.\I'll tell you the truth.\I'm working with the elves to secure a place for Imanity to live.\Once we've got the bare minimum amount of territory we need,\I'll break ties with elves.\Wow.\Wow. response:	You didn't have to say it out loud, little sister.
context: There you have it.\I'll tell you the truth.\I'm working with the elves to secure a place for Imanity to live.\Once we've got the bare minimum amount of territory we need,\I'll break ties with elves.\Wow.\Wow.\You didn't have to say it out loud, little sister. response:	You're saying this to someone who might be a foreign spy?
context: I'll tell you the truth.\I'm working with the elves to secure a place for Imanity to live.\Once we've got the bare minimum amount of territory we need,\I'll break ties with elves.\Wow.\Wow.\You didn't have to say it out loud, little sister.\You're saying this to someone who might be a foreign spy? response:	Are you stupid? Do you want to die?
context: I'm working with the elves to secure a place for Imanity to live.\Once we've got the bare minimum amount of territory we need,\I'll break ties with elves.\Wow.\Wow.\You didn't have to say it out loud, little sister.\You're saying this to someone who might be a foreign spy?\Are you stupid? Do you want to die? response:	Think about it.
context: Once we've got the bare minimum amount of territory we need,\I'll break ties with elves.\Wow.\Wow.\You didn't have to say it out loud, little sister.\You're saying this to someone who might be a foreign spy?\Are you stupid? Do you want to die?\Think about it. response:	The only way for Imanity to survive
context: I'll break ties with elves.\Wow.\Wow.\You didn't have to say it out loud, little sister.\You're saying this to someone who might be a foreign spy?\Are you stupid? Do you want to die?\Think about it.\The only way for Imanity to survive response:	is to earn the right to live under the protection of another race,
context: Wow.\Wow.\You didn't have to say it out loud, little sister.\You're saying this to someone who might be a foreign spy?\Are you stupid? Do you want to die?\Think about it.\The only way for Imanity to survive\is to earn the right to live under the protection of another race, response:	then give up on all games and shut themselves off from the rest of the world.
context: Wow.\You didn't have to say it out loud, little sister.\You're saying this to someone who might be a foreign spy?\Are you stupid? Do you want to die?\Think about it.\The only way for Imanity to survive\is to earn the right to live under the protection of another race,\then give up on all games and shut themselves off from the rest of the world. response:	It's the only way!
context: You didn't have to say it out loud, little sister.\You're saying this to someone who might be a foreign spy?\Are you stupid? Do you want to die?\Think about it.\The only way for Imanity to survive\is to earn the right to live under the protection of another race,\then give up on all games and shut themselves off from the rest of the world.\It's the only way! response:	Stephanie Dola,
context: You're saying this to someone who might be a foreign spy?\Are you stupid? Do you want to die?\Think about it.\The only way for Imanity to survive\is to earn the right to live under the protection of another race,\then give up on all games and shut themselves off from the rest of the world.\It's the only way!\Stephanie Dola, response:	you understand this, right?
context: Are you stupid? Do you want to die?\Think about it.\The only way for Imanity to survive\is to earn the right to live under the protection of another race,\then give up on all games and shut themselves off from the rest of the world.\It's the only way!\Stephanie Dola,\you understand this, right? response:	Well...
context: Think about it.\The only way for Imanity to survive\is to earn the right to live under the protection of another race,\then give up on all games and shut themselves off from the rest of the world.\It's the only way!\Stephanie Dola,\you understand this, right?\Well... response:	And Elvengarde is the largest nation in the world.
context: The only way for Imanity to survive\is to earn the right to live under the protection of another race,\then give up on all games and shut themselves off from the rest of the world.\It's the only way!\Stephanie Dola,\you understand this, right?\Well...\And Elvengarde is the largest nation in the world. response:	Their magic is unbeatable by any race.
context: is to earn the right to live under the protection of another race,\then give up on all games and shut themselves off from the rest of the world.\It's the only way!\Stephanie Dola,\you understand this, right?\Well...\And Elvengarde is the largest nation in the world.\Their magic is unbeatable by any race. response:	It's impossible to beat me,
context: then give up on all games and shut themselves off from the rest of the world.\It's the only way!\Stephanie Dola,\you understand this, right?\Well...\And Elvengarde is the largest nation in the world.\Their magic is unbeatable by any race.\It's impossible to beat me, response:	so I want you to withdraw from the game.
context: It's the only way!\Stephanie Dola,\you understand this, right?\Well...\And Elvengarde is the largest nation in the world.\Their magic is unbeatable by any race.\It's impossible to beat me,\so I want you to withdraw from the game. response:	I swear I won't let the elves make me their puppet.
context: Stephanie Dola,\you understand this, right?\Well...\And Elvengarde is the largest nation in the world.\Their magic is unbeatable by any race.\It's impossible to beat me,\so I want you to withdraw from the game.\I swear I won't let the elves make me their puppet. response:	Sora...
context: you understand this, right?\Well...\And Elvengarde is the largest nation in the world.\Their magic is unbeatable by any race.\It's impossible to beat me,\so I want you to withdraw from the game.\I swear I won't let the elves make me their puppet.\Sora... response:	I see.
context: Well...\And Elvengarde is the largest nation in the world.\Their magic is unbeatable by any race.\It's impossible to beat me,\so I want you to withdraw from the game.\I swear I won't let the elves make me their puppet.\Sora...\I see. response:	We earn the right to live under another nation's protection.
context: And Elvengarde is the largest nation in the world.\Their magic is unbeatable by any race.\It's impossible to beat me,\so I want you to withdraw from the game.\I swear I won't let the elves make me their puppet.\Sora...\I see.\We earn the right to live under another nation's protection. response:	It's not a bad plan.
context: Their magic is unbeatable by any race.\It's impossible to beat me,\so I want you to withdraw from the game.\I swear I won't let the elves make me their puppet.\Sora...\I see.\We earn the right to live under another nation's protection.\It's not a bad plan. response:	Right? Then you'll withdra
context: It's impossible to beat me,\so I want you to withdraw from the game.\I swear I won't let the elves make me their puppet.\Sora...\I see.\We earn the right to live under another nation's protection.\It's not a bad plan.\Right? Then you'll withdra response:	But I refuse!
context: so I want you to withdraw from the game.\I swear I won't let the elves make me their puppet.\Sora...\I see.\We earn the right to live under another nation's protection.\It's not a bad plan.\Right? Then you'll withdra\But I refuse! response:	One of the things Blank loves best is saying No
context: I swear I won't let the elves make me their puppet.\Sora...\I see.\We earn the right to live under another nation's protection.\It's not a bad plan.\Right? Then you'll withdra\But I refuse!\One of the things Blank loves best is saying No response:	to people who think they've got an absolute advantage.
context: Sora...\I see.\We earn the right to live under another nation's protection.\It's not a bad plan.\Right? Then you'll withdra\But I refuse!\One of the things Blank loves best is saying No\to people who think they've got an absolute advantage. response:	Lines we wanted to say someday, 4!
context: I see.\We earn the right to live under another nation's protection.\It's not a bad plan.\Right? Then you'll withdra\But I refuse!\One of the things Blank loves best is saying No\to people who think they've got an absolute advantage.\Lines we wanted to say someday, 4! response:	We actually got to say it!
context: We earn the right to live under another nation's protection.\It's not a bad plan.\Right? Then you'll withdra\But I refuse!\One of the things Blank loves best is saying No\to people who think they've got an absolute advantage.\Lines we wanted to say someday, 4!\We actually got to say it! response:	Great job, Brother!
context: It's not a bad plan.\Right? Then you'll withdra\But I refuse!\One of the things Blank loves best is saying No\to people who think they've got an absolute advantage.\Lines we wanted to say someday, 4!\We actually got to say it!\Great job, Brother! response:	Looks like I was wasting my time.
context: Right? Then you'll withdra\But I refuse!\One of the things Blank loves best is saying No\to people who think they've got an absolute advantage.\Lines we wanted to say someday, 4!\We actually got to say it!\Great job, Brother!\Looks like I was wasting my time. response:	I'll destroy you by force, then, just as you wish.
context: But I refuse!\One of the things Blank loves best is saying No\to people who think they've got an absolute advantage.\Lines we wanted to say someday, 4!\We actually got to say it!\Great job, Brother!\Looks like I was wasting my time.\I'll destroy you by force, then, just as you wish. response:	Right here.
context: One of the things Blank loves best is saying No\to people who think they've got an absolute advantage.\Lines we wanted to say someday, 4!\We actually got to say it!\Great job, Brother!\Looks like I was wasting my time.\I'll destroy you by force, then, just as you wish.\Right here. response:	Why?
context: to people who think they've got an absolute advantage.\Lines we wanted to say someday, 4!\We actually got to say it!\Great job, Brother!\Looks like I was wasting my time.\I'll destroy you by force, then, just as you wish.\Right here.\Why? response:	Why what?
context: Lines we wanted to say someday, 4!\We actually got to say it!\Great job, Brother!\Looks like I was wasting my time.\I'll destroy you by force, then, just as you wish.\Right here.\Why?\Why what? response:	What she just said!
context: We actually got to say it!\Great job, Brother!\Looks like I was wasting my time.\I'll destroy you by force, then, just as you wish.\Right here.\Why?\Why what?\What she just said! response:	I thought it made sense...
context: Great job, Brother!\Looks like I was wasting my time.\I'll destroy you by force, then, just as you wish.\Right here.\Why?\Why what?\What she just said!\I thought it made sense... response:	Look, isn't it about time you learned not to be so trusting?
context: Looks like I was wasting my time.\I'll destroy you by force, then, just as you wish.\Right here.\Why?\Why what?\What she just said!\I thought it made sense...\Look, isn't it about time you learned not to be so trusting? response:	First, what proof do we have that anything she said is true?
context: I'll destroy you by force, then, just as you wish.\Right here.\Why?\Why what?\What she just said!\I thought it made sense...\Look, isn't it about time you learned not to be so trusting?\First, what proof do we have that anything she said is true? response:	Second, if she's sure to win, why did she ask us to withdraw?
context: Right here.\Why?\Why what?\What she just said!\I thought it made sense...\Look, isn't it about time you learned not to be so trusting?\First, what proof do we have that anything she said is true?\Second, if she's sure to win, why did she ask us to withdraw? response:	Third, even if it is true, I might be a spy from another country.
context: Why?\Why what?\What she just said!\I thought it made sense...\Look, isn't it about time you learned not to be so trusting?\First, what proof do we have that anything she said is true?\Second, if she's sure to win, why did she ask us to withdraw?\Third, even if it is true, I might be a spy from another country. response:	Anyone dumb enough to tell me all that has no business running a country.
context: Why what?\What she just said!\I thought it made sense...\Look, isn't it about time you learned not to be so trusting?\First, what proof do we have that anything she said is true?\Second, if she's sure to win, why did she ask us to withdraw?\Third, even if it is true, I might be a spy from another country.\Anyone dumb enough to tell me all that has no business running a country. response:	Fourth, if we go along with her and she finds out
context: What she just said!\I thought it made sense...\Look, isn't it about time you learned not to be so trusting?\First, what proof do we have that anything she said is true?\Second, if she's sure to win, why did she ask us to withdraw?\Third, even if it is true, I might be a spy from another country.\Anyone dumb enough to tell me all that has no business running a country.\Fourth, if we go along with her and she finds out response:	anything about us, we are screwed!
context: I thought it made sense...\Look, isn't it about time you learned not to be so trusting?\First, what proof do we have that anything she said is true?\Second, if she's sure to win, why did she ask us to withdraw?\Third, even if it is true, I might be a spy from another country.\Anyone dumb enough to tell me all that has no business running a country.\Fourth, if we go along with her and she finds out\anything about us, we are screwed! response:	Okay?
context: Look, isn't it about time you learned not to be so trusting?\First, what proof do we have that anything she said is true?\Second, if she's sure to win, why did she ask us to withdraw?\Third, even if it is true, I might be a spy from another country.\Anyone dumb enough to tell me all that has no business running a country.\Fourth, if we go along with her and she finds out\anything about us, we are screwed!\Okay? response:	Wow, you put all that thought into what you said?!
context: First, what proof do we have that anything she said is true?\Second, if she's sure to win, why did she ask us to withdraw?\Third, even if it is true, I might be a spy from another country.\Anyone dumb enough to tell me all that has no business running a country.\Fourth, if we go along with her and she finds out\anything about us, we are screwed!\Okay?\Wow, you put all that thought into what you said?! response:	Well, that's not all...
context: Second, if she's sure to win, why did she ask us to withdraw?\Third, even if it is true, I might be a spy from another country.\Anyone dumb enough to tell me all that has no business running a country.\Fourth, if we go along with her and she finds out\anything about us, we are screwed!\Okay?\Wow, you put all that thought into what you said?!\Well, that's not all... response:	She and you are both
context: Third, even if it is true, I might be a spy from another country.\Anyone dumb enough to tell me all that has no business running a country.\Fourth, if we go along with her and she finds out\anything about us, we are screwed!\Okay?\Wow, you put all that thought into what you said?!\Well, that's not all...\She and you are both response:	underestimating humanity too much.
context: Anyone dumb enough to tell me all that has no business running a country.\Fourth, if we go along with her and she finds out\anything about us, we are screwed!\Okay?\Wow, you put all that thought into what you said?!\Well, that's not all...\She and you are both\underestimating humanity too much. response:	Chess?
context: Fourth, if we go along with her and she finds out\anything about us, we are screwed!\Okay?\Wow, you put all that thought into what you said?!\Well, that's not all...\She and you are both\underestimating humanity too much.\Chess? response:	Yes.
context: anything about us, we are screwed!\Okay?\Wow, you put all that thought into what you said?!\Well, that's not all...\She and you are both\underestimating humanity too much.\Chess?\Yes. response:	But this isn't a normal game of chess.
context: Okay?\Wow, you put all that thought into what you said?!\Well, that's not all...\She and you are both\underestimating humanity too much.\Chess?\Yes.\But this isn't a normal game of chess. response:	The pieces have wills of their own.
context: Wow, you put all that thought into what you said?!\Well, that's not all...\She and you are both\underestimating humanity too much.\Chess?\Yes.\But this isn't a normal game of chess.\The pieces have wills of their own. response:	Give them orders and they'll move.
context: Well, that's not all...\She and you are both\underestimating humanity too much.\Chess?\Yes.\But this isn't a normal game of chess.\The pieces have wills of their own.\Give them orders and they'll move. response:	Just say the word and they'll do as told.
context: She and you are both\underestimating humanity too much.\Chess?\Yes.\But this isn't a normal game of chess.\The pieces have wills of their own.\Give them orders and they'll move.\Just say the word and they'll do as told. response:	So that's it.
context: underestimating humanity too much.\Chess?\Yes.\But this isn't a normal game of chess.\The pieces have wills of their own.\Give them orders and they'll move.\Just say the word and they'll do as told.\So that's it. response:	What do we do, Shiro?
context: Chess?\Yes.\But this isn't a normal game of chess.\The pieces have wills of their own.\Give them orders and they'll move.\Just say the word and they'll do as told.\So that's it.\What do we do, Shiro? response:	Chess is no different than tic-tac-toe.
context: Yes.\But this isn't a normal game of chess.\The pieces have wills of their own.\Give them orders and they'll move.\Just say the word and they'll do as told.\So that's it.\What do we do, Shiro?\Chess is no different than tic-tac-toe. response:	Hey, we can rotate mid-game, right?
context: But this isn't a normal game of chess.\The pieces have wills of their own.\Give them orders and they'll move.\Just say the word and they'll do as told.\So that's it.\What do we do, Shiro?\Chess is no different than tic-tac-toe.\Hey, we can rotate mid-game, right? response:	Brother...
context: The pieces have wills of their own.\Give them orders and they'll move.\Just say the word and they'll do as told.\So that's it.\What do we do, Shiro?\Chess is no different than tic-tac-toe.\Hey, we can rotate mid-game, right?\Brother... response:	Sorry, but the two of us are a single player.
context: Give them orders and they'll move.\Just say the word and they'll do as told.\So that's it.\What do we do, Shiro?\Chess is no different than tic-tac-toe.\Hey, we can rotate mid-game, right?\Brother...\Sorry, but the two of us are a single player. response:	And this is a game that you seem to know very well, while we don't...
context: Just say the word and they'll do as told.\So that's it.\What do we do, Shiro?\Chess is no different than tic-tac-toe.\Hey, we can rotate mid-game, right?\Brother...\Sorry, but the two of us are a single player.\And this is a game that you seem to know very well, while we don't... response:	They'll never figure out the trick.
context: So that's it.\What do we do, Shiro?\Chess is no different than tic-tac-toe.\Hey, we can rotate mid-game, right?\Brother...\Sorry, but the two of us are a single player.\And this is a game that you seem to know very well, while we don't...\They'll never figure out the trick. response:	As you wish.
context: What do we do, Shiro?\Chess is no different than tic-tac-toe.\Hey, we can rotate mid-game, right?\Brother...\Sorry, but the two of us are a single player.\And this is a game that you seem to know very well, while we don't...\They'll never figure out the trick.\As you wish. response:	Brother, do you think I'm going to lose?
context: Chess is no different than tic-tac-toe.\Hey, we can rotate mid-game, right?\Brother...\Sorry, but the two of us are a single player.\And this is a game that you seem to know very well, while we don't...\They'll never figure out the trick.\As you wish.\Brother, do you think I'm going to lose? response:	You're getting too excited, Shiro.
context: Hey, we can rotate mid-game, right?\Brother...\Sorry, but the two of us are a single player.\And this is a game that you seem to know very well, while we don't...\They'll never figure out the trick.\As you wish.\Brother, do you think I'm going to lose?\You're getting too excited, Shiro. response:	There's not a chance in a million you'd lose at chess.
context: Brother...\Sorry, but the two of us are a single player.\And this is a game that you seem to know very well, while we don't...\They'll never figure out the trick.\As you wish.\Brother, do you think I'm going to lose?\You're getting too excited, Shiro.\There's not a chance in a million you'd lose at chess. response:	But this isn't normal chess.
context: Sorry, but the two of us are a single player.\And this is a game that you seem to know very well, while we don't...\They'll never figure out the trick.\As you wish.\Brother, do you think I'm going to lose?\You're getting too excited, Shiro.\There's not a chance in a million you'd lose at chess.\But this isn't normal chess. response:	Don't forget.
context: And this is a game that you seem to know very well, while we don't...\They'll never figure out the trick.\As you wish.\Brother, do you think I'm going to lose?\You're getting too excited, Shiro.\There's not a chance in a million you'd lose at chess.\But this isn't normal chess.\Don't forget. response:	The two of us are a single player.
context: They'll never figure out the trick.\As you wish.\Brother, do you think I'm going to lose?\You're getting too excited, Shiro.\There's not a chance in a million you'd lose at chess.\But this isn't normal chess.\Don't forget.\The two of us are a single player. response:	The two of us together are Blank.
context: As you wish.\Brother, do you think I'm going to lose?\You're getting too excited, Shiro.\There's not a chance in a million you'd lose at chess.\But this isn't normal chess.\Don't forget.\The two of us are a single player.\The two of us together are Blank. response:	I'm sorry.
context: Brother, do you think I'm going to lose?\You're getting too excited, Shiro.\There's not a chance in a million you'd lose at chess.\But this isn't normal chess.\Don't forget.\The two of us are a single player.\The two of us together are Blank.\I'm sorry. response:	I'll be careful.
context: You're getting too excited, Shiro.\There's not a chance in a million you'd lose at chess.\But this isn't normal chess.\Don't forget.\The two of us are a single player.\The two of us together are Blank.\I'm sorry.\I'll be careful. response:	Okay.
context: There's not a chance in a million you'd lose at chess.\But this isn't normal chess.\Don't forget.\The two of us are a single player.\The two of us together are Blank.\I'm sorry.\I'll be careful.\Okay. response:	Are you done?
context: But this isn't normal chess.\Don't forget.\The two of us are a single player.\The two of us together are Blank.\I'm sorry.\I'll be careful.\Okay.\Are you done? response:	You can make the first move.
context: Don't forget.\The two of us are a single player.\The two of us together are Blank.\I'm sorry.\I'll be careful.\Okay.\Are you done?\You can make the first move. response:	Then let the game begin!
context: The two of us are a single player.\The two of us together are Blank.\I'm sorry.\I'll be careful.\Okay.\Are you done?\You can make the first move.\Then let the game begin! response:	Aschente (I swear by the pledges)
context: The two of us together are Blank.\I'm sorry.\I'll be careful.\Okay.\Are you done?\You can make the first move.\Then let the game begin!\Aschente (I swear by the pledges) response:	Aschente!
context: I'm sorry.\I'll be careful.\Okay.\Are you done?\You can make the first move.\Then let the game begin!\Aschente (I swear by the pledges)\Aschente! response:	Kurami...
context: I'll be careful.\Okay.\Are you done?\You can make the first move.\Then let the game begin!\Aschente (I swear by the pledges)\Aschente!\Kurami... response:	D-2 to D-4.
context: Okay.\Are you done?\You can make the first move.\Then let the game begin!\Aschente (I swear by the pledges)\Aschente!\Kurami...\D-2 to D-4. response:	Chess favors the first player.
context: Are you done?\You can make the first move.\Then let the game begin!\Aschente (I swear by the pledges)\Aschente!\Kurami...\D-2 to D-4.\Chess favors the first player. response:	If both players always pick their best moves, the first player is more likely to win.
context: You can make the first move.\Then let the game begin!\Aschente (I swear by the pledges)\Aschente!\Kurami...\D-2 to D-4.\Chess favors the first player.\If both players always pick their best moves, the first player is more likely to win. response:	It moved!
context: Then let the game begin!\Aschente (I swear by the pledges)\Aschente!\Kurami...\D-2 to D-4.\Chess favors the first player.\If both players always pick their best moves, the first player is more likely to win.\It moved! response:	There's no way she doesn't know that.
context: Aschente (I swear by the pledges)\Aschente!\Kurami...\D-2 to D-4.\Chess favors the first player.\If both players always pick their best moves, the first player is more likely to win.\It moved!\There's no way she doesn't know that. response:	G-7,
context: Aschente!\Kurami...\D-2 to D-4.\Chess favors the first player.\If both players always pick their best moves, the first player is more likely to win.\It moved!\There's no way she doesn't know that.\G-7, response:	forward.
context: Kurami...\D-2 to D-4.\Chess favors the first player.\If both players always pick their best moves, the first player is more likely to win.\It moved!\There's no way she doesn't know that.\G-7,\forward. response:	It moved three spaces!
context: D-2 to D-4.\Chess favors the first player.\If both players always pick their best moves, the first player is more likely to win.\It moved!\There's no way she doesn't know that.\G-7,\forward.\It moved three spaces! response:	That's against the rules!
context: Chess favors the first player.\If both players always pick their best moves, the first player is more likely to win.\It moved!\There's no way she doesn't know that.\G-7,\forward.\It moved three spaces!\That's against the rules! response:	I told you.
context: If both players always pick their best moves, the first player is more likely to win.\It moved!\There's no way she doesn't know that.\G-7,\forward.\It moved three spaces!\That's against the rules!\I told you. response:	In this chess game, the pieces have wills of their own.
context: It moved!\There's no way she doesn't know that.\G-7,\forward.\It moved three spaces!\That's against the rules!\I told you.\In this chess game, the pieces have wills of their own. response:	I get it.
context: There's no way she doesn't know that.\G-7,\forward.\It moved three spaces!\That's against the rules!\I told you.\In this chess game, the pieces have wills of their own.\I get it. response:	The pieces reflect the player's charisma, leadership,
context: G-7,\forward.\It moved three spaces!\That's against the rules!\I told you.\In this chess game, the pieces have wills of their own.\I get it.\The pieces reflect the player's charisma, leadership, response:	and potential as king when they move.
context: forward.\It moved three spaces!\That's against the rules!\I told you.\In this chess game, the pieces have wills of their own.\I get it.\The pieces reflect the player's charisma, leadership,\and potential as king when they move. response:	That's right.
context: It moved three spaces!\That's against the rules!\I told you.\In this chess game, the pieces have wills of their own.\I get it.\The pieces reflect the player's charisma, leadership,\and potential as king when they move.\That's right. response:	Don't you think it's the perfect game to decide who will be king?
context: That's against the rules!\I told you.\In this chess game, the pieces have wills of their own.\I get it.\The pieces reflect the player's charisma, leadership,\and potential as king when they move.\That's right.\Don't you think it's the perfect game to decide who will be king? response:	Knight to C-3.
context: I told you.\In this chess game, the pieces have wills of their own.\I get it.\The pieces reflect the player's charisma, leadership,\and potential as king when they move.\That's right.\Don't you think it's the perfect game to decide who will be king?\Knight to C-3. response:	F-7, forward.
context: In this chess game, the pieces have wills of their own.\I get it.\The pieces reflect the player's charisma, leadership,\and potential as king when they move.\That's right.\Don't you think it's the perfect game to decide who will be king?\Knight to C-3.\F-7, forward. response:	Forward?
context: I get it.\The pieces reflect the player's charisma, leadership,\and potential as king when they move.\That's right.\Don't you think it's the perfect game to decide who will be king?\Knight to C-3.\F-7, forward.\Forward? response:	What kind of order is that?
context: The pieces reflect the player's charisma, leadership,\and potential as king when they move.\That's right.\Don't you think it's the perfect game to decide who will be king?\Knight to C-3.\F-7, forward.\Forward?\What kind of order is that? response:	Just shut up and watch.
context: and potential as king when they move.\That's right.\Don't you think it's the perfect game to decide who will be king?\Knight to C-3.\F-7, forward.\Forward?\What kind of order is that?\Just shut up and watch. response:	E-2 to E-4.
context: That's right.\Don't you think it's the perfect game to decide who will be king?\Knight to C-3.\F-7, forward.\Forward?\What kind of order is that?\Just shut up and watch.\E-2 to E-4. response:	F-5, take her piece.
context: Don't you think it's the perfect game to decide who will be king?\Knight to C-3.\F-7, forward.\Forward?\What kind of order is that?\Just shut up and watch.\E-2 to E-4.\F-5, take her piece. response:	C-3, take E-4.
context: Knight to C-3.\F-7, forward.\Forward?\What kind of order is that?\Just shut up and watch.\E-2 to E-4.\F-5, take her piece.\C-3, take E-4. response:	Once Shiro gets into a game, she has incredible concentration.
context: F-7, forward.\Forward?\What kind of order is that?\Just shut up and watch.\E-2 to E-4.\F-5, take her piece.\C-3, take E-4.\Once Shiro gets into a game, she has incredible concentration. response:	H-2 to H-3.
context: Forward?\What kind of order is that?\Just shut up and watch.\E-2 to E-4.\F-5, take her piece.\C-3, take E-4.\Once Shiro gets into a game, she has incredible concentration.\H-2 to H-3. response:	Knight, take H-3.
context: What kind of order is that?\Just shut up and watch.\E-2 to E-4.\F-5, take her piece.\C-3, take E-4.\Once Shiro gets into a game, she has incredible concentration.\H-2 to H-3.\Knight, take H-3. response:	That's how she could defeat even a god.
context: Just shut up and watch.\E-2 to E-4.\F-5, take her piece.\C-3, take E-4.\Once Shiro gets into a game, she has incredible concentration.\H-2 to H-3.\Knight, take H-3.\That's how she could defeat even a god. response:	Queen, H-5.
context: E-2 to E-4.\F-5, take her piece.\C-3, take E-4.\Once Shiro gets into a game, she has incredible concentration.\H-2 to H-3.\Knight, take H-3.\That's how she could defeat even a god.\Queen, H-5. response:	Check.
context: F-5, take her piece.\C-3, take E-4.\Once Shiro gets into a game, she has incredible concentration.\H-2 to H-3.\Knight, take H-3.\That's how she could defeat even a god.\Queen, H-5.\Check. response:	Th-That's amazing!
context: C-3, take E-4.\Once Shiro gets into a game, she has incredible concentration.\H-2 to H-3.\Knight, take H-3.\That's how she could defeat even a god.\Queen, H-5.\Check.\Th-That's amazing! response:	Kurami's almost entirely ignoring the rules, and she's still destroying her!
context: Once Shiro gets into a game, she has incredible concentration.\H-2 to H-3.\Knight, take H-3.\That's how she could defeat even a god.\Queen, H-5.\Check.\Th-That's amazing!\Kurami's almost entirely ignoring the rules, and she's still destroying her! response:	There's nothing strange about it at all.
context: H-2 to H-3.\Knight, take H-3.\That's how she could defeat even a god.\Queen, H-5.\Check.\Th-That's amazing!\Kurami's almost entirely ignoring the rules, and she's still destroying her!\There's nothing strange about it at all. response:	In shogi, too, a first-rate player is capable of
context: Knight, take H-3.\That's how she could defeat even a god.\Queen, H-5.\Check.\Th-That's amazing!\Kurami's almost entirely ignoring the rules, and she's still destroying her!\There's nothing strange about it at all.\In shogi, too, a first-rate player is capable of response:	defeating his opponent with nothing but his king and pawns.
context: That's how she could defeat even a god.\Queen, H-5.\Check.\Th-That's amazing!\Kurami's almost entirely ignoring the rules, and she's still destroying her!\There's nothing strange about it at all.\In shogi, too, a first-rate player is capable of\defeating his opponent with nothing but his king and pawns. response:	Breaking a few rules isn't enough to overtake that kind of skill.
context: Queen, H-5.\Check.\Th-That's amazing!\Kurami's almost entirely ignoring the rules, and she's still destroying her!\There's nothing strange about it at all.\In shogi, too, a first-rate player is capable of\defeating his opponent with nothing but his king and pawns.\Breaking a few rules isn't enough to overtake that kind of skill. response:	F-2 to F-4.
context: Check.\Th-That's amazing!\Kurami's almost entirely ignoring the rules, and she's still destroying her!\There's nothing strange about it at all.\In shogi, too, a first-rate player is capable of\defeating his opponent with nothing but his king and pawns.\Breaking a few rules isn't enough to overtake that kind of skill.\F-2 to F-4. response:	But...
context: Th-That's amazing!\Kurami's almost entirely ignoring the rules, and she's still destroying her!\There's nothing strange about it at all.\In shogi, too, a first-rate player is capable of\defeating his opponent with nothing but his king and pawns.\Breaking a few rules isn't enough to overtake that kind of skill.\F-2 to F-4.\But... response:	F-2 to F-4.
context: Kurami's almost entirely ignoring the rules, and she's still destroying her!\There's nothing strange about it at all.\In shogi, too, a first-rate player is capable of\defeating his opponent with nothing but his king and pawns.\Breaking a few rules isn't enough to overtake that kind of skill.\F-2 to F-4.\But...\F-2 to F-4. response:	It's not moving.
context: There's nothing strange about it at all.\In shogi, too, a first-rate player is capable of\defeating his opponent with nothing but his king and pawns.\Breaking a few rules isn't enough to overtake that kind of skill.\F-2 to F-4.\But...\F-2 to F-4.\It's not moving. response:	I knew it.
context: In shogi, too, a first-rate player is capable of\defeating his opponent with nothing but his king and pawns.\Breaking a few rules isn't enough to overtake that kind of skill.\F-2 to F-4.\But...\F-2 to F-4.\It's not moving.\I knew it. response:	What do you mean?
context: defeating his opponent with nothing but his king and pawns.\Breaking a few rules isn't enough to overtake that kind of skill.\F-2 to F-4.\But...\F-2 to F-4.\It's not moving.\I knew it.\What do you mean? response:	The key to this chess game is that,
context: Breaking a few rules isn't enough to overtake that kind of skill.\F-2 to F-4.\But...\F-2 to F-4.\It's not moving.\I knew it.\What do you mean?\The key to this chess game is that, response:	sometimes, the pieces won't move.
context: F-2 to F-4.\But...\F-2 to F-4.\It's not moving.\I knew it.\What do you mean?\The key to this chess game is that,\sometimes, the pieces won't move. response:	No soldier would gladly go to a place where he knows he'll be killed.
context: But...\F-2 to F-4.\It's not moving.\I knew it.\What do you mean?\The key to this chess game is that,\sometimes, the pieces won't move.\No soldier would gladly go to a place where he knows he'll be killed. response:	Only a level of morale that borders on madness could make them do that.
context: F-2 to F-4.\It's not moving.\I knew it.\What do you mean?\The key to this chess game is that,\sometimes, the pieces won't move.\No soldier would gladly go to a place where he knows he'll be killed.\Only a level of morale that borders on madness could make them do that. response:	Then...
context: It's not moving.\I knew it.\What do you mean?\The key to this chess game is that,\sometimes, the pieces won't move.\No soldier would gladly go to a place where he knows he'll be killed.\Only a level of morale that borders on madness could make them do that.\Then... response:	That's right. She can't sacrifice any of her pieces.
context: I knew it.\What do you mean?\The key to this chess game is that,\sometimes, the pieces won't move.\No soldier would gladly go to a place where he knows he'll be killed.\Only a level of morale that borders on madness could make them do that.\Then...\That's right. She can't sacrifice any of her pieces. response:	What will you do?
context: What do you mean?\The key to this chess game is that,\sometimes, the pieces won't move.\No soldier would gladly go to a place where he knows he'll be killed.\Only a level of morale that borders on madness could make them do that.\Then...\That's right. She can't sacrifice any of her pieces.\What will you do? response:	You're running out of time.
