context: It's about that time. response:	Indeed.
context: Grace!\How fortuitous that we should meet like this.\Not really. All fashionable ladies shop at the same stores, you know.\Good afternoon.\Good afternoon.\Huh? Brother Will, do you know Eleanor?\We met at the ball the other night.\Yes. response:	Oh, what a nice umbrella!
context: How fortuitous that we should meet like this.\Not really. All fashionable ladies shop at the same stores, you know.\Good afternoon.\Good afternoon.\Huh? Brother Will, do you know Eleanor?\We met at the ball the other night.\Yes.\Oh, what a nice umbrella! response:	What are you...?!
context: Not really. All fashionable ladies shop at the same stores, you know.\Good afternoon.\Good afternoon.\Huh? Brother Will, do you know Eleanor?\We met at the ball the other night.\Yes.\Oh, what a nice umbrella!\What are you...?! response:	I think they like each other!
context: Good afternoon.\Good afternoon.\Huh? Brother Will, do you know Eleanor?\We met at the ball the other night.\Yes.\Oh, what a nice umbrella!\What are you...?!\I think they like each other! response:	Vivi!
context: Good afternoon.\Huh? Brother Will, do you know Eleanor?\We met at the ball the other night.\Yes.\Oh, what a nice umbrella!\What are you...?!\I think they like each other!\Vivi! response:	Do you come here often?
context: Huh? Brother Will, do you know Eleanor?\We met at the ball the other night.\Yes.\Oh, what a nice umbrella!\What are you...?!\I think they like each other!\Vivi!\Do you come here often? response:	No, I just wanted a parasol.
context: We met at the ball the other night.\Yes.\Oh, what a nice umbrella!\What are you...?!\I think they like each other!\Vivi!\Do you come here often?\No, I just wanted a parasol. response:	A parasol?
context: Yes.\Oh, what a nice umbrella!\What are you...?!\I think they like each other!\Vivi!\Do you come here often?\No, I just wanted a parasol.\A parasol? response:	That's an umbrella.
context: Oh, what a nice umbrella!\What are you...?!\I think they like each other!\Vivi!\Do you come here often?\No, I just wanted a parasol.\A parasol?\That's an umbrella. response:	Oh...!
context: What are you...?!\I think they like each other!\Vivi!\Do you come here often?\No, I just wanted a parasol.\A parasol?\That's an umbrella.\Oh...! response:	I try to coordinate my parasol with my dress each day, so I'm always in need of a new one.
context: I think they like each other!\Vivi!\Do you come here often?\No, I just wanted a parasol.\A parasol?\That's an umbrella.\Oh...!\I try to coordinate my parasol with my dress each day, so I'm always in need of a new one. response:	Is that so?
context: Vivi!\Do you come here often?\No, I just wanted a parasol.\A parasol?\That's an umbrella.\Oh...!\I try to coordinate my parasol with my dress each day, so I'm always in need of a new one.\Is that so? response:	Yes. For example,
context: Do you come here often?\No, I just wanted a parasol.\A parasol?\That's an umbrella.\Oh...!\I try to coordinate my parasol with my dress each day, so I'm always in need of a new one.\Is that so?\Yes. For example, response:	as you can see, some are decorated with lace or ribbons.
context: No, I just wanted a parasol.\A parasol?\That's an umbrella.\Oh...!\I try to coordinate my parasol with my dress each day, so I'm always in need of a new one.\Is that so?\Yes. For example,\as you can see, some are decorated with lace or ribbons. response:	And some of the handles are made from ivory or are intricately sculptured.
context: A parasol?\That's an umbrella.\Oh...!\I try to coordinate my parasol with my dress each day, so I'm always in need of a new one.\Is that so?\Yes. For example,\as you can see, some are decorated with lace or ribbons.\And some of the handles are made from ivory or are intricately sculptured. response:	I see...
context: That's an umbrella.\Oh...!\I try to coordinate my parasol with my dress each day, so I'm always in need of a new one.\Is that so?\Yes. For example,\as you can see, some are decorated with lace or ribbons.\And some of the handles are made from ivory or are intricately sculptured.\I see... response:	I admit they are rather lovely.
context: Oh...!\I try to coordinate my parasol with my dress each day, so I'm always in need of a new one.\Is that so?\Yes. For example,\as you can see, some are decorated with lace or ribbons.\And some of the handles are made from ivory or are intricately sculptured.\I see...\I admit they are rather lovely. response:	Would a lady be happy to receive a present like this?
context: I try to coordinate my parasol with my dress each day, so I'm always in need of a new one.\Is that so?\Yes. For example,\as you can see, some are decorated with lace or ribbons.\And some of the handles are made from ivory or are intricately sculptured.\I see...\I admit they are rather lovely.\Would a lady be happy to receive a present like this? response:	Yes... she would.
context: Is that so?\Yes. For example,\as you can see, some are decorated with lace or ribbons.\And some of the handles are made from ivory or are intricately sculptured.\I see...\I admit they are rather lovely.\Would a lady be happy to receive a present like this?\Yes... she would. response:	Hm...
context: Yes. For example,\as you can see, some are decorated with lace or ribbons.\And some of the handles are made from ivory or are intricately sculptured.\I see...\I admit they are rather lovely.\Would a lady be happy to receive a present like this?\Yes... she would.\Hm... response:	Oh... b-but...!
context: as you can see, some are decorated with lace or ribbons.\And some of the handles are made from ivory or are intricately sculptured.\I see...\I admit they are rather lovely.\Would a lady be happy to receive a present like this?\Yes... she would.\Hm...\Oh... b-but...! response:	I'd like to give this to a lady. Could you wrap it?
context: And some of the handles are made from ivory or are intricately sculptured.\I see...\I admit they are rather lovely.\Would a lady be happy to receive a present like this?\Yes... she would.\Hm...\Oh... b-but...!\I'd like to give this to a lady. Could you wrap it? response:	Of course, sir.
context: I see...\I admit they are rather lovely.\Would a lady be happy to receive a present like this?\Yes... she would.\Hm...\Oh... b-but...!\I'd like to give this to a lady. Could you wrap it?\Of course, sir. response:	Oh! Brother Will's going to buy a present for Eleanor?
context: I admit they are rather lovely.\Would a lady be happy to receive a present like this?\Yes... she would.\Hm...\Oh... b-but...!\I'd like to give this to a lady. Could you wrap it?\Of course, sir.\Oh! Brother Will's going to buy a present for Eleanor? response:	I didn't mean to imply that...
context: Would a lady be happy to receive a present like this?\Yes... she would.\Hm...\Oh... b-but...!\I'd like to give this to a lady. Could you wrap it?\Of course, sir.\Oh! Brother Will's going to buy a present for Eleanor?\I didn't mean to imply that... response:	What are you talking about? I didn't mean to imply that...
context: Yes... she would.\Hm...\Oh... b-but...!\I'd like to give this to a lady. Could you wrap it?\Of course, sir.\Oh! Brother Will's going to buy a present for Eleanor?\I didn't mean to imply that...\What are you talking about? I didn't mean to imply that... response:	What are you talking about?
context: Hm...\Oh... b-but...!\I'd like to give this to a lady. Could you wrap it?\Of course, sir.\Oh! Brother Will's going to buy a present for Eleanor?\I didn't mean to imply that...\What are you talking about? I didn't mean to imply that...\What are you talking about? response:	Oh, l...
context: Oh... b-but...!\I'd like to give this to a lady. Could you wrap it?\Of course, sir.\Oh! Brother Will's going to buy a present for Eleanor?\I didn't mean to imply that...\What are you talking about? I didn't mean to imply that...\What are you talking about?\Oh, l... response:	I didn't mean to imply that I wanted you to...
context: I'd like to give this to a lady. Could you wrap it?\Of course, sir.\Oh! Brother Will's going to buy a present for Eleanor?\I didn't mean to imply that...\What are you talking about? I didn't mean to imply that...\What are you talking about?\Oh, l...\I didn't mean to imply that I wanted you to... response:	I'm sorry, for giving you the wrong impression.
context: Of course, sir.\Oh! Brother Will's going to buy a present for Eleanor?\I didn't mean to imply that...\What are you talking about? I didn't mean to imply that...\What are you talking about?\Oh, l...\I didn't mean to imply that I wanted you to...\I'm sorry, for giving you the wrong impression. response:	That was careless.
context: Oh! Brother Will's going to buy a present for Eleanor?\I didn't mean to imply that...\What are you talking about? I didn't mean to imply that...\What are you talking about?\Oh, l...\I didn't mean to imply that I wanted you to...\I'm sorry, for giving you the wrong impression.\That was careless. response:	But...! Well then, who are you going to give that parasol to, brother?
context: I didn't mean to imply that...\What are you talking about? I didn't mean to imply that...\What are you talking about?\Oh, l...\I didn't mean to imply that I wanted you to...\I'm sorry, for giving you the wrong impression.\That was careless.\But...! Well then, who are you going to give that parasol to, brother? response:	That's none of your business.
context: What are you talking about? I didn't mean to imply that...\What are you talking about?\Oh, l...\I didn't mean to imply that I wanted you to...\I'm sorry, for giving you the wrong impression.\That was careless.\But...! Well then, who are you going to give that parasol to, brother?\That's none of your business. response:	Vivi, stop it!
context: What are you talking about?\Oh, l...\I didn't mean to imply that I wanted you to...\I'm sorry, for giving you the wrong impression.\That was careless.\But...! Well then, who are you going to give that parasol to, brother?\That's none of your business.\Vivi, stop it! response:	Yes, Grace.
context: Oh, l...\I didn't mean to imply that I wanted you to...\I'm sorry, for giving you the wrong impression.\That was careless.\But...! Well then, who are you going to give that parasol to, brother?\That's none of your business.\Vivi, stop it!\Yes, Grace. response:	Miss Eleanor, are you sure you didn't want to buy a parasol?
context: I didn't mean to imply that I wanted you to...\I'm sorry, for giving you the wrong impression.\That was careless.\But...! Well then, who are you going to give that parasol to, brother?\That's none of your business.\Vivi, stop it!\Yes, Grace.\Miss Eleanor, are you sure you didn't want to buy a parasol? response:	I'm not interested in a parasol.
context: I'm sorry, for giving you the wrong impression.\That was careless.\But...! Well then, who are you going to give that parasol to, brother?\That's none of your business.\Vivi, stop it!\Yes, Grace.\Miss Eleanor, are you sure you didn't want to buy a parasol?\I'm not interested in a parasol. response:	Hey, I heard this rumor...
context: That was careless.\But...! Well then, who are you going to give that parasol to, brother?\That's none of your business.\Vivi, stop it!\Yes, Grace.\Miss Eleanor, are you sure you didn't want to buy a parasol?\I'm not interested in a parasol.\Hey, I heard this rumor... response:	What?
context: But...! Well then, who are you going to give that parasol to, brother?\That's none of your business.\Vivi, stop it!\Yes, Grace.\Miss Eleanor, are you sure you didn't want to buy a parasol?\I'm not interested in a parasol.\Hey, I heard this rumor...\What? response:	That Master William should fall in love at first sight... I'm jealous!
context: That's none of your business.\Vivi, stop it!\Yes, Grace.\Miss Eleanor, are you sure you didn't want to buy a parasol?\I'm not interested in a parasol.\Hey, I heard this rumor...\What?\That Master William should fall in love at first sight... I'm jealous! response:	But really, Master Arthur is more my type.
context: Vivi, stop it!\Yes, Grace.\Miss Eleanor, are you sure you didn't want to buy a parasol?\I'm not interested in a parasol.\Hey, I heard this rumor...\What?\That Master William should fall in love at first sight... I'm jealous!\But really, Master Arthur is more my type. response:	What?
context: Yes, Grace.\Miss Eleanor, are you sure you didn't want to buy a parasol?\I'm not interested in a parasol.\Hey, I heard this rumor...\What?\That Master William should fall in love at first sight... I'm jealous!\But really, Master Arthur is more my type.\What? response:	His moodiness just drives me wild!
context: Miss Eleanor, are you sure you didn't want to buy a parasol?\I'm not interested in a parasol.\Hey, I heard this rumor...\What?\That Master William should fall in love at first sight... I'm jealous!\But really, Master Arthur is more my type.\What?\His moodiness just drives me wild! response:	Girls!
context: I'm not interested in a parasol.\Hey, I heard this rumor...\What?\That Master William should fall in love at first sight... I'm jealous!\But really, Master Arthur is more my type.\What?\His moodiness just drives me wild!\Girls! response:	Stop chattering and get on with your work!
context: Hey, I heard this rumor...\What?\That Master William should fall in love at first sight... I'm jealous!\But really, Master Arthur is more my type.\What?\His moodiness just drives me wild!\Girls!\Stop chattering and get on with your work! response:	Yes, ma'am.
context: What?\That Master William should fall in love at first sight... I'm jealous!\But really, Master Arthur is more my type.\What?\His moodiness just drives me wild!\Girls!\Stop chattering and get on with your work!\Yes, ma'am. response:	We are working hard!
context: That Master William should fall in love at first sight... I'm jealous!\But really, Master Arthur is more my type.\What?\His moodiness just drives me wild!\Girls!\Stop chattering and get on with your work!\Yes, ma'am.\We are working hard! response:	She's the housekeeper, she just wants to be bossy!
context: But really, Master Arthur is more my type.\What?\His moodiness just drives me wild!\Girls!\Stop chattering and get on with your work!\Yes, ma'am.\We are working hard!\She's the housekeeper, she just wants to be bossy! response:	Hello.
context: What?\His moodiness just drives me wild!\Girls!\Stop chattering and get on with your work!\Yes, ma'am.\We are working hard!\She's the housekeeper, she just wants to be bossy!\Hello. response:	Mr. Jones...
context: His moodiness just drives me wild!\Girls!\Stop chattering and get on with your work!\Yes, ma'am.\We are working hard!\She's the housekeeper, she just wants to be bossy!\Hello.\Mr. Jones... response:	I came for my gloves.
context: Girls!\Stop chattering and get on with your work!\Yes, ma'am.\We are working hard!\She's the housekeeper, she just wants to be bossy!\Hello.\Mr. Jones...\I came for my gloves. response:	My gloves-
context: Stop chattering and get on with your work!\Yes, ma'am.\We are working hard!\She's the housekeeper, she just wants to be bossy!\Hello.\Mr. Jones...\I came for my gloves.\My gloves- response:	I know.
context: Yes, ma'am.\We are working hard!\She's the housekeeper, she just wants to be bossy!\Hello.\Mr. Jones...\I came for my gloves.\My gloves-\I know. response:	Right.
context: We are working hard!\She's the housekeeper, she just wants to be bossy!\Hello.\Mr. Jones...\I came for my gloves.\My gloves-\I know.\Right. response:	Here you are.
context: She's the housekeeper, she just wants to be bossy!\Hello.\Mr. Jones...\I came for my gloves.\My gloves-\I know.\Right.\Here you are. response:	Thank you.
context: Hello.\Mr. Jones...\I came for my gloves.\My gloves-\I know.\Right.\Here you are.\Thank you. response:	Emma baked that scone, you know.
context: Mr. Jones...\I came for my gloves.\My gloves-\I know.\Right.\Here you are.\Thank you.\Emma baked that scone, you know. response:	It tastes good! Very, very good!
context: I came for my gloves.\My gloves-\I know.\Right.\Here you are.\Thank you.\Emma baked that scone, you know.\It tastes good! Very, very good! response:	Our Young Master is so accustomed to a lavish lifestyle...
context: My gloves-\I know.\Right.\Here you are.\Thank you.\Emma baked that scone, you know.\It tastes good! Very, very good!\Our Young Master is so accustomed to a lavish lifestyle... response:	I didn't mean it like that...!
context: I know.\Right.\Here you are.\Thank you.\Emma baked that scone, you know.\It tastes good! Very, very good!\Our Young Master is so accustomed to a lavish lifestyle...\I didn't mean it like that...! response:	Emma?
context: Right.\Here you are.\Thank you.\Emma baked that scone, you know.\It tastes good! Very, very good!\Our Young Master is so accustomed to a lavish lifestyle...\I didn't mean it like that...!\Emma? response:	We've run out of sugar, have we not? Please go and buy some.
context: Here you are.\Thank you.\Emma baked that scone, you know.\It tastes good! Very, very good!\Our Young Master is so accustomed to a lavish lifestyle...\I didn't mean it like that...!\Emma?\We've run out of sugar, have we not? Please go and buy some. response:	But ma'am, I haven't finished cleaning...
context: Thank you.\Emma baked that scone, you know.\It tastes good! Very, very good!\Our Young Master is so accustomed to a lavish lifestyle...\I didn't mean it like that...!\Emma?\We've run out of sugar, have we not? Please go and buy some.\But ma'am, I haven't finished cleaning... response:	Never mind that.
context: Emma baked that scone, you know.\It tastes good! Very, very good!\Our Young Master is so accustomed to a lavish lifestyle...\I didn't mean it like that...!\Emma?\We've run out of sugar, have we not? Please go and buy some.\But ma'am, I haven't finished cleaning...\Never mind that. response:	Yes, ma'am.
context: It tastes good! Very, very good!\Our Young Master is so accustomed to a lavish lifestyle...\I didn't mean it like that...!\Emma?\We've run out of sugar, have we not? Please go and buy some.\But ma'am, I haven't finished cleaning...\Never mind that.\Yes, ma'am. response:	Um, I'll go with her!
context: Our Young Master is so accustomed to a lavish lifestyle...\I didn't mean it like that...!\Emma?\We've run out of sugar, have we not? Please go and buy some.\But ma'am, I haven't finished cleaning...\Never mind that.\Yes, ma'am.\Um, I'll go with her! response:	When The Season begins, there seem to be more people in London.
context: I didn't mean it like that...!\Emma?\We've run out of sugar, have we not? Please go and buy some.\But ma'am, I haven't finished cleaning...\Never mind that.\Yes, ma'am.\Um, I'll go with her!\When The Season begins, there seem to be more people in London. response:	Actually, my brothers and sisters have just returned from a health resort.
context: Emma?\We've run out of sugar, have we not? Please go and buy some.\But ma'am, I haven't finished cleaning...\Never mind that.\Yes, ma'am.\Um, I'll go with her!\When The Season begins, there seem to be more people in London.\Actually, my brothers and sisters have just returned from a health resort. response:	I had to go shopping with my sisters. But you know what?
context: We've run out of sugar, have we not? Please go and buy some.\But ma'am, I haven't finished cleaning...\Never mind that.\Yes, ma'am.\Um, I'll go with her!\When The Season begins, there seem to be more people in London.\Actually, my brothers and sisters have just returned from a health resort.\I had to go shopping with my sisters. But you know what? response:	I found a parasol that I thought would suit you.
context: But ma'am, I haven't finished cleaning...\Never mind that.\Yes, ma'am.\Um, I'll go with her!\When The Season begins, there seem to be more people in London.\Actually, my brothers and sisters have just returned from a health resort.\I had to go shopping with my sisters. But you know what?\I found a parasol that I thought would suit you. response:	I'd be very happy if you use it.
context: Never mind that.\Yes, ma'am.\Um, I'll go with her!\When The Season begins, there seem to be more people in London.\Actually, my brothers and sisters have just returned from a health resort.\I had to go shopping with my sisters. But you know what?\I found a parasol that I thought would suit you.\I'd be very happy if you use it. response:	I'm honored, but...
context: Yes, ma'am.\Um, I'll go with her!\When The Season begins, there seem to be more people in London.\Actually, my brothers and sisters have just returned from a health resort.\I had to go shopping with my sisters. But you know what?\I found a parasol that I thought would suit you.\I'd be very happy if you use it.\I'm honored, but... response:	It's nothing, really. Please don't worry about it.
context: Um, I'll go with her!\When The Season begins, there seem to be more people in London.\Actually, my brothers and sisters have just returned from a health resort.\I had to go shopping with my sisters. But you know what?\I found a parasol that I thought would suit you.\I'd be very happy if you use it.\I'm honored, but...\It's nothing, really. Please don't worry about it. response:	That may be so for you, but to me it's quite extravagant.
context: When The Season begins, there seem to be more people in London.\Actually, my brothers and sisters have just returned from a health resort.\I had to go shopping with my sisters. But you know what?\I found a parasol that I thought would suit you.\I'd be very happy if you use it.\I'm honored, but...\It's nothing, really. Please don't worry about it.\That may be so for you, but to me it's quite extravagant. response:	It's not something I could easily afford, even if I worked hard.
context: Actually, my brothers and sisters have just returned from a health resort.\I had to go shopping with my sisters. But you know what?\I found a parasol that I thought would suit you.\I'd be very happy if you use it.\I'm honored, but...\It's nothing, really. Please don't worry about it.\That may be so for you, but to me it's quite extravagant.\It's not something I could easily afford, even if I worked hard. response:	Have I upset you?
context: I had to go shopping with my sisters. But you know what?\I found a parasol that I thought would suit you.\I'd be very happy if you use it.\I'm honored, but...\It's nothing, really. Please don't worry about it.\That may be so for you, but to me it's quite extravagant.\It's not something I could easily afford, even if I worked hard.\Have I upset you? response:	Oh, no! I don't mean to be rude. But, the lace handkerchief I received...
context: I found a parasol that I thought would suit you.\I'd be very happy if you use it.\I'm honored, but...\It's nothing, really. Please don't worry about it.\That may be so for you, but to me it's quite extravagant.\It's not something I could easily afford, even if I worked hard.\Have I upset you?\Oh, no! I don't mean to be rude. But, the lace handkerchief I received... response:	I apologize. I've acted poorly.
context: I'd be very happy if you use it.\I'm honored, but...\It's nothing, really. Please don't worry about it.\That may be so for you, but to me it's quite extravagant.\It's not something I could easily afford, even if I worked hard.\Have I upset you?\Oh, no! I don't mean to be rude. But, the lace handkerchief I received...\I apologize. I've acted poorly. response:	Your smile then, when you accepted the lace handkerchief...
context: I'm honored, but...\It's nothing, really. Please don't worry about it.\That may be so for you, but to me it's quite extravagant.\It's not something I could easily afford, even if I worked hard.\Have I upset you?\Oh, no! I don't mean to be rude. But, the lace handkerchief I received...\I apologize. I've acted poorly.\Your smile then, when you accepted the lace handkerchief... response:	That's all.
context: It's nothing, really. Please don't worry about it.\That may be so for you, but to me it's quite extravagant.\It's not something I could easily afford, even if I worked hard.\Have I upset you?\Oh, no! I don't mean to be rude. But, the lace handkerchief I received...\I apologize. I've acted poorly.\Your smile then, when you accepted the lace handkerchief...\That's all. response:	Mr. Jones...
context: That may be so for you, but to me it's quite extravagant.\It's not something I could easily afford, even if I worked hard.\Have I upset you?\Oh, no! I don't mean to be rude. But, the lace handkerchief I received...\I apologize. I've acted poorly.\Your smile then, when you accepted the lace handkerchief...\That's all.\Mr. Jones... response:	I won't buy any more presents.
context: It's not something I could easily afford, even if I worked hard.\Have I upset you?\Oh, no! I don't mean to be rude. But, the lace handkerchief I received...\I apologize. I've acted poorly.\Your smile then, when you accepted the lace handkerchief...\That's all.\Mr. Jones...\I won't buy any more presents. response:	However...
context: Have I upset you?\Oh, no! I don't mean to be rude. But, the lace handkerchief I received...\I apologize. I've acted poorly.\Your smile then, when you accepted the lace handkerchief...\That's all.\Mr. Jones...\I won't buy any more presents.\However... response:	Can't we spend some time together occasionally, like this?
context: Oh, no! I don't mean to be rude. But, the lace handkerchief I received...\I apologize. I've acted poorly.\Your smile then, when you accepted the lace handkerchief...\That's all.\Mr. Jones...\I won't buy any more presents.\However...\Can't we spend some time together occasionally, like this? response:	Yes!
context: I apologize. I've acted poorly.\Your smile then, when you accepted the lace handkerchief...\That's all.\Mr. Jones...\I won't buy any more presents.\However...\Can't we spend some time together occasionally, like this?\Yes! response:	I'm back, ma'am.
context: Your smile then, when you accepted the lace handkerchief...\That's all.\Mr. Jones...\I won't buy any more presents.\However...\Can't we spend some time together occasionally, like this?\Yes!\I'm back, ma'am. response:	Emma, a pot of tea, please.
context: That's all.\Mr. Jones...\I won't buy any more presents.\However...\Can't we spend some time together occasionally, like this?\Yes!\I'm back, ma'am.\Emma, a pot of tea, please. response:	Yes, ma'am.
context: Mr. Jones...\I won't buy any more presents.\However...\Can't we spend some time together occasionally, like this?\Yes!\I'm back, ma'am.\Emma, a pot of tea, please.\Yes, ma'am. response:	What is it, Young Master?
context: I won't buy any more presents.\However...\Can't we spend some time together occasionally, like this?\Yes!\I'm back, ma'am.\Emma, a pot of tea, please.\Yes, ma'am.\What is it, Young Master? response:	Over here, Teresa.
context: However...\Can't we spend some time together occasionally, like this?\Yes!\I'm back, ma'am.\Emma, a pot of tea, please.\Yes, ma'am.\What is it, Young Master?\Over here, Teresa. response:	All right, sit down. You can take that off now.
context: Can't we spend some time together occasionally, like this?\Yes!\I'm back, ma'am.\Emma, a pot of tea, please.\Yes, ma'am.\What is it, Young Master?\Over here, Teresa.\All right, sit down. You can take that off now. response:	This is a gift of thanks, for always putting up with me.
context: Yes!\I'm back, ma'am.\Emma, a pot of tea, please.\Yes, ma'am.\What is it, Young Master?\Over here, Teresa.\All right, sit down. You can take that off now.\This is a gift of thanks, for always putting up with me. response:	This is for me?
context: I'm back, ma'am.\Emma, a pot of tea, please.\Yes, ma'am.\What is it, Young Master?\Over here, Teresa.\All right, sit down. You can take that off now.\This is a gift of thanks, for always putting up with me.\This is for me? response:	Open it!
context: Emma, a pot of tea, please.\Yes, ma'am.\What is it, Young Master?\Over here, Teresa.\All right, sit down. You can take that off now.\This is a gift of thanks, for always putting up with me.\This is for me?\Open it! response:	What is this? Such a fussy umbrella! I'm not a girl anymore, you know!
context: Yes, ma'am.\What is it, Young Master?\Over here, Teresa.\All right, sit down. You can take that off now.\This is a gift of thanks, for always putting up with me.\This is for me?\Open it!\What is this? Such a fussy umbrella! I'm not a girl anymore, you know! response:	Really?
context: What is it, Young Master?\Over here, Teresa.\All right, sit down. You can take that off now.\This is a gift of thanks, for always putting up with me.\This is for me?\Open it!\What is this? Such a fussy umbrella! I'm not a girl anymore, you know!\Really? response:	I think it suits you.
context: Over here, Teresa.\All right, sit down. You can take that off now.\This is a gift of thanks, for always putting up with me.\This is for me?\Open it!\What is this? Such a fussy umbrella! I'm not a girl anymore, you know!\Really?\I think it suits you. response:	You do...?
context: All right, sit down. You can take that off now.\This is a gift of thanks, for always putting up with me.\This is for me?\Open it!\What is this? Such a fussy umbrella! I'm not a girl anymore, you know!\Really?\I think it suits you.\You do...? response:	Well, since it's a gift, I must accept it, I suppose.
context: This is a gift of thanks, for always putting up with me.\This is for me?\Open it!\What is this? Such a fussy umbrella! I'm not a girl anymore, you know!\Really?\I think it suits you.\You do...?\Well, since it's a gift, I must accept it, I suppose. response:	Well then, thank you very much.
context: This is for me?\Open it!\What is this? Such a fussy umbrella! I'm not a girl anymore, you know!\Really?\I think it suits you.\You do...?\Well, since it's a gift, I must accept it, I suppose.\Well then, thank you very much. response:	That parasol...!
context: Open it!\What is this? Such a fussy umbrella! I'm not a girl anymore, you know!\Really?\I think it suits you.\You do...?\Well, since it's a gift, I must accept it, I suppose.\Well then, thank you very much.\That parasol...! response:	Eh? Doesn't that woman work for the Jones family?
context: What is this? Such a fussy umbrella! I'm not a girl anymore, you know!\Really?\I think it suits you.\You do...?\Well, since it's a gift, I must accept it, I suppose.\Well then, thank you very much.\That parasol...!\Eh? Doesn't that woman work for the Jones family? response:	Next Episode: The Confession
