context: Recently, on Fairy Tail... response:	At the end of the fierce battle on Tenroujima, we somehow returned home alive
context: it's more like We have three whole months?, you know?\Aye.\Princess! There's an emergency.\Why did you have to appear from there?!\Punishment time, is it?\Virgo!\The Celestial Spirit maid!\Come to think of it, with Lucy in the Fairy Sphere for seven years, response:	the Celestial Spirits she has a contract with
context: Aye.\Princess! There's an emergency.\Why did you have to appear from there?!\Punishment time, is it?\Virgo!\The Celestial Spirit maid!\Come to think of it, with Lucy in the Fairy Sphere for seven years,\the Celestial Spirits she has a contract with response:	must have been in the Celestial Spirit World that whole time.
context: Princess! There's an emergency.\Why did you have to appear from there?!\Punishment time, is it?\Virgo!\The Celestial Spirit maid!\Come to think of it, with Lucy in the Fairy Sphere for seven years,\the Celestial Spirits she has a contract with\must have been in the Celestial Spirit World that whole time. response:	Oh my gosh! During the Key of the Starry Heavens affair,
context: Why did you have to appear from there?!\Punishment time, is it?\Virgo!\The Celestial Spirit maid!\Come to think of it, with Lucy in the Fairy Sphere for seven years,\the Celestial Spirits she has a contract with\must have been in the Celestial Spirit World that whole time.\Oh my gosh! During the Key of the Starry Heavens affair, response:	I summoned them without thinking about it, but that's right,
context: Punishment time, is it?\Virgo!\The Celestial Spirit maid!\Come to think of it, with Lucy in the Fairy Sphere for seven years,\the Celestial Spirits she has a contract with\must have been in the Celestial Spirit World that whole time.\Oh my gosh! During the Key of the Starry Heavens affair,\I summoned them without thinking about it, but that's right, response:	seven years had passed before that!
context: Virgo!\The Celestial Spirit maid!\Come to think of it, with Lucy in the Fairy Sphere for seven years,\the Celestial Spirits she has a contract with\must have been in the Celestial Spirit World that whole time.\Oh my gosh! During the Key of the Starry Heavens affair,\I summoned them without thinking about it, but that's right,\seven years had passed before that! response:	Poor spirits! And it's Lucy's fault... Lucy's fault...
context: The Celestial Spirit maid!\Come to think of it, with Lucy in the Fairy Sphere for seven years,\the Celestial Spirits she has a contract with\must have been in the Celestial Spirit World that whole time.\Oh my gosh! During the Key of the Starry Heavens affair,\I summoned them without thinking about it, but that's right,\seven years had passed before that!\Poor spirits! And it's Lucy's fault... Lucy's fault... response:	No. That's not a big problem...
context: Come to think of it, with Lucy in the Fairy Sphere for seven years,\the Celestial Spirits she has a contract with\must have been in the Celestial Spirit World that whole time.\Oh my gosh! During the Key of the Starry Heavens affair,\I summoned them without thinking about it, but that's right,\seven years had passed before that!\Poor spirits! And it's Lucy's fault... Lucy's fault...\No. That's not a big problem... response:	Did something happen?
context: the Celestial Spirits she has a contract with\must have been in the Celestial Spirit World that whole time.\Oh my gosh! During the Key of the Starry Heavens affair,\I summoned them without thinking about it, but that's right,\seven years had passed before that!\Poor spirits! And it's Lucy's fault... Lucy's fault...\No. That's not a big problem...\Did something happen? response:	The Celestial Spirit World is in danger of being destroyed.
context: must have been in the Celestial Spirit World that whole time.\Oh my gosh! During the Key of the Starry Heavens affair,\I summoned them without thinking about it, but that's right,\seven years had passed before that!\Poor spirits! And it's Lucy's fault... Lucy's fault...\No. That's not a big problem...\Did something happen?\The Celestial Spirit World is in danger of being destroyed. response:	Everyone... please help us.
context: Oh my gosh! During the Key of the Starry Heavens affair,\I summoned them without thinking about it, but that's right,\seven years had passed before that!\Poor spirits! And it's Lucy's fault... Lucy's fault...\No. That's not a big problem...\Did something happen?\The Celestial Spirit World is in danger of being destroyed.\Everyone... please help us. response:	What?!
context: I summoned them without thinking about it, but that's right,\seven years had passed before that!\Poor spirits! And it's Lucy's fault... Lucy's fault...\No. That's not a big problem...\Did something happen?\The Celestial Spirit World is in danger of being destroyed.\Everyone... please help us.\What?! response:	What do you mean...?
context: seven years had passed before that!\Poor spirits! And it's Lucy's fault... Lucy's fault...\No. That's not a big problem...\Did something happen?\The Celestial Spirit World is in danger of being destroyed.\Everyone... please help us.\What?!\What do you mean...? response:	The king of the Celestial Spirit World awaits you.
context: Poor spirits! And it's Lucy's fault... Lucy's fault...\No. That's not a big problem...\Did something happen?\The Celestial Spirit World is in danger of being destroyed.\Everyone... please help us.\What?!\What do you mean...?\The king of the Celestial Spirit World awaits you. response:	He asked me to bring all of you there.
context: No. That's not a big problem...\Did something happen?\The Celestial Spirit World is in danger of being destroyed.\Everyone... please help us.\What?!\What do you mean...?\The king of the Celestial Spirit World awaits you.\He asked me to bring all of you there. response:	Alright, leave it to us!
context: Did something happen?\The Celestial Spirit World is in danger of being destroyed.\Everyone... please help us.\What?!\What do you mean...?\The king of the Celestial Spirit World awaits you.\He asked me to bring all of you there.\Alright, leave it to us! response:	When a friend asks for help...
context: The Celestial Spirit World is in danger of being destroyed.\Everyone... please help us.\What?!\What do you mean...?\The king of the Celestial Spirit World awaits you.\He asked me to bring all of you there.\Alright, leave it to us!\When a friend asks for help... response:	Wait! As far as I know, humans can't enter the Celestial Spirit World.
context: Everyone... please help us.\What?!\What do you mean...?\The king of the Celestial Spirit World awaits you.\He asked me to bring all of you there.\Alright, leave it to us!\When a friend asks for help...\Wait! As far as I know, humans can't enter the Celestial Spirit World. response:	If you wear Celestial Spirit clothes, you'll be able to move about the Spirit World.
context: What?!\What do you mean...?\The king of the Celestial Spirit World awaits you.\He asked me to bring all of you there.\Alright, leave it to us!\When a friend asks for help...\Wait! As far as I know, humans can't enter the Celestial Spirit World.\If you wear Celestial Spirit clothes, you'll be able to move about the Spirit World. response:	Let's go.
context: What do you mean...?\The king of the Celestial Spirit World awaits you.\He asked me to bring all of you there.\Alright, leave it to us!\When a friend asks for help...\Wait! As far as I know, humans can't enter the Celestial Spirit World.\If you wear Celestial Spirit clothes, you'll be able to move about the Spirit World.\Let's go. response:	Wait... I'm not mentally prepared yet...
context: The king of the Celestial Spirit World awaits you.\He asked me to bring all of you there.\Alright, leave it to us!\When a friend asks for help...\Wait! As far as I know, humans can't enter the Celestial Spirit World.\If you wear Celestial Spirit clothes, you'll be able to move about the Spirit World.\Let's go.\Wait... I'm not mentally prepared yet... response:	Why were just the two of us...
context: He asked me to bring all of you there.\Alright, leave it to us!\When a friend asks for help...\Wait! As far as I know, humans can't enter the Celestial Spirit World.\If you wear Celestial Spirit clothes, you'll be able to move about the Spirit World.\Let's go.\Wait... I'm not mentally prepared yet...\Why were just the two of us... response:	This is the Celestial Spirit World?!
context: Alright, leave it to us!\When a friend asks for help...\Wait! As far as I know, humans can't enter the Celestial Spirit World.\If you wear Celestial Spirit clothes, you'll be able to move about the Spirit World.\Let's go.\Wait... I'm not mentally prepared yet...\Why were just the two of us...\This is the Celestial Spirit World?! response:	Wow, it's beautiful!
context: When a friend asks for help...\Wait! As far as I know, humans can't enter the Celestial Spirit World.\If you wear Celestial Spirit clothes, you'll be able to move about the Spirit World.\Let's go.\Wait... I'm not mentally prepared yet...\Why were just the two of us...\This is the Celestial Spirit World?!\Wow, it's beautiful! response:	Thank you for coming, old friend.
context: Wait! As far as I know, humans can't enter the Celestial Spirit World.\If you wear Celestial Spirit clothes, you'll be able to move about the Spirit World.\Let's go.\Wait... I'm not mentally prepared yet...\Why were just the two of us...\This is the Celestial Spirit World?!\Wow, it's beautiful!\Thank you for coming, old friend. response:	He's huge!
context: If you wear Celestial Spirit clothes, you'll be able to move about the Spirit World.\Let's go.\Wait... I'm not mentally prepared yet...\Why were just the two of us...\This is the Celestial Spirit World?!\Wow, it's beautiful!\Thank you for coming, old friend.\He's huge! response:	Huge moustache!
context: Let's go.\Wait... I'm not mentally prepared yet...\Why were just the two of us...\This is the Celestial Spirit World?!\Wow, it's beautiful!\Thank you for coming, old friend.\He's huge!\Huge moustache! response:	The Celestial Spirit King!
context: Wait... I'm not mentally prepared yet...\Why were just the two of us...\This is the Celestial Spirit World?!\Wow, it's beautiful!\Thank you for coming, old friend.\He's huge!\Huge moustache!\The Celestial Spirit King! response:	You're the king here?
context: Why were just the two of us...\This is the Celestial Spirit World?!\Wow, it's beautiful!\Thank you for coming, old friend.\He's huge!\Huge moustache!\The Celestial Spirit King!\You're the king here? response:	So informal...
context: This is the Celestial Spirit World?!\Wow, it's beautiful!\Thank you for coming, old friend.\He's huge!\Huge moustache!\The Celestial Spirit King!\You're the king here?\So informal... response:	Indeed, I am.
context: Wow, it's beautiful!\Thank you for coming, old friend.\He's huge!\Huge moustache!\The Celestial Spirit King!\You're the king here?\So informal...\Indeed, I am. response:	We heard the Celestial Spirit World is in danger of destruction?!
context: Thank you for coming, old friend.\He's huge!\Huge moustache!\The Celestial Spirit King!\You're the king here?\So informal...\Indeed, I am.\We heard the Celestial Spirit World is in danger of destruction?! response:	Heh...
context: He's huge!\Huge moustache!\The Celestial Spirit King!\You're the king here?\So informal...\Indeed, I am.\We heard the Celestial Spirit World is in danger of destruction?!\Heh... response:	*smile*
context: Huge moustache!\The Celestial Spirit King!\You're the king here?\So informal...\Indeed, I am.\We heard the Celestial Spirit World is in danger of destruction?!\Heh...\*smile* response:	Lucy and friends! Let us celebrate your release from the shackles of time!
context: The Celestial Spirit King!\You're the king here?\So informal...\Indeed, I am.\We heard the Celestial Spirit World is in danger of destruction?!\Heh...\*smile*\Lucy and friends! Let us celebrate your release from the shackles of time! response:	Party!
context: You're the king here?\So informal...\Indeed, I am.\We heard the Celestial Spirit World is in danger of destruction?!\Heh...\*smile*\Lucy and friends! Let us celebrate your release from the shackles of time!\Party! response:	What about the in danger of destruction thing?!
context: So informal...\Indeed, I am.\We heard the Celestial Spirit World is in danger of destruction?!\Heh...\*smile*\Lucy and friends! Let us celebrate your release from the shackles of time!\Party!\What about the in danger of destruction thing?! response:	Heh.
context: Indeed, I am.\We heard the Celestial Spirit World is in danger of destruction?!\Heh...\*smile*\Lucy and friends! Let us celebrate your release from the shackles of time!\Party!\What about the in danger of destruction thing?!\Heh. response:	What?!
context: We heard the Celestial Spirit World is in danger of destruction?!\Heh...\*smile*\Lucy and friends! Let us celebrate your release from the shackles of time!\Party!\What about the in danger of destruction thing?!\Heh.\What?! response:	Mooo! You fell for it!
context: Heh...\*smile*\Lucy and friends! Let us celebrate your release from the shackles of time!\Party!\What about the in danger of destruction thing?!\Heh.\What?!\Mooo! You fell for it! response:	Seeing the blank look on Lucy-san's face as we tricked her
context: *smile*\Lucy and friends! Let us celebrate your release from the shackles of time!\Party!\What about the in danger of destruction thing?!\Heh.\What?!\Mooo! You fell for it!\Seeing the blank look on Lucy-san's face as we tricked her response:	and while she's cosplaying Celestial Spiritwear no less is priceless!
context: Lucy and friends! Let us celebrate your release from the shackles of time!\Party!\What about the in danger of destruction thing?!\Heh.\What?!\Mooo! You fell for it!\Seeing the blank look on Lucy-san's face as we tricked her\and while she's cosplaying Celestial Spiritwear no less is priceless! response:	We thought we'd surprise you-ebi.
context: Party!\What about the in danger of destruction thing?!\Heh.\What?!\Mooo! You fell for it!\Seeing the blank look on Lucy-san's face as we tricked her\and while she's cosplaying Celestial Spiritwear no less is priceless!\We thought we'd surprise you-ebi. response:	But even now, if you need a haircut to look nice for the party, leave it to me-ebi.
context: What about the in danger of destruction thing?!\Heh.\What?!\Mooo! You fell for it!\Seeing the blank look on Lucy-san's face as we tricked her\and while she's cosplaying Celestial Spiritwear no less is priceless!\We thought we'd surprise you-ebi.\But even now, if you need a haircut to look nice for the party, leave it to me-ebi. response:	We thought in our own way of how to celebrate the homecoming of Lucy and all of you.
context: Heh.\What?!\Mooo! You fell for it!\Seeing the blank look on Lucy-san's face as we tricked her\and while she's cosplaying Celestial Spiritwear no less is priceless!\We thought we'd surprise you-ebi.\But even now, if you need a haircut to look nice for the party, leave it to me-ebi.\We thought in our own way of how to celebrate the homecoming of Lucy and all of you. response:	We wanted to celebrate it together,
context: What?!\Mooo! You fell for it!\Seeing the blank look on Lucy-san's face as we tricked her\and while she's cosplaying Celestial Spiritwear no less is priceless!\We thought we'd surprise you-ebi.\But even now, if you need a haircut to look nice for the party, leave it to me-ebi.\We thought in our own way of how to celebrate the homecoming of Lucy and all of you.\We wanted to celebrate it together, response:	but we can't all materialize in the human world at once, right?
context: Mooo! You fell for it!\Seeing the blank look on Lucy-san's face as we tricked her\and while she's cosplaying Celestial Spiritwear no less is priceless!\We thought we'd surprise you-ebi.\But even now, if you need a haircut to look nice for the party, leave it to me-ebi.\We thought in our own way of how to celebrate the homecoming of Lucy and all of you.\We wanted to celebrate it together,\but we can't all materialize in the human world at once, right? response:	So we called all of you to the Celestial Spirit World.
context: Seeing the blank look on Lucy-san's face as we tricked her\and while she's cosplaying Celestial Spiritwear no less is priceless!\We thought we'd surprise you-ebi.\But even now, if you need a haircut to look nice for the party, leave it to me-ebi.\We thought in our own way of how to celebrate the homecoming of Lucy and all of you.\We wanted to celebrate it together,\but we can't all materialize in the human world at once, right?\So we called all of you to the Celestial Spirit World. response:	I'm sorry!
context: and while she's cosplaying Celestial Spiritwear no less is priceless!\We thought we'd surprise you-ebi.\But even now, if you need a haircut to look nice for the party, leave it to me-ebi.\We thought in our own way of how to celebrate the homecoming of Lucy and all of you.\We wanted to celebrate it together,\but we can't all materialize in the human world at once, right?\So we called all of you to the Celestial Spirit World.\I'm sorry! response:	We just did it this one time, we!
context: We thought we'd surprise you-ebi.\But even now, if you need a haircut to look nice for the party, leave it to me-ebi.\We thought in our own way of how to celebrate the homecoming of Lucy and all of you.\We wanted to celebrate it together,\but we can't all materialize in the human world at once, right?\So we called all of you to the Celestial Spirit World.\I'm sorry!\We just did it this one time, we! response:	That's right. This is a one-time privilege.
context: But even now, if you need a haircut to look nice for the party, leave it to me-ebi.\We thought in our own way of how to celebrate the homecoming of Lucy and all of you.\We wanted to celebrate it together,\but we can't all materialize in the human world at once, right?\So we called all of you to the Celestial Spirit World.\I'm sorry!\We just did it this one time, we!\That's right. This is a one-time privilege. response:	So that's what this is about?!
context: We thought in our own way of how to celebrate the homecoming of Lucy and all of you.\We wanted to celebrate it together,\but we can't all materialize in the human world at once, right?\So we called all of you to the Celestial Spirit World.\I'm sorry!\We just did it this one time, we!\That's right. This is a one-time privilege.\So that's what this is about?! response:	That's what it's about, as it were-moshimoshi!
context: We wanted to celebrate it together,\but we can't all materialize in the human world at once, right?\So we called all of you to the Celestial Spirit World.\I'm sorry!\We just did it this one time, we!\That's right. This is a one-time privilege.\So that's what this is about?!\That's what it's about, as it were-moshimoshi! response:	You surprised the hell out of us!
context: but we can't all materialize in the human world at once, right?\So we called all of you to the Celestial Spirit World.\I'm sorry!\We just did it this one time, we!\That's right. This is a one-time privilege.\So that's what this is about?!\That's what it's about, as it were-moshimoshi!\You surprised the hell out of us! response:	Come! You can run into my arms if you like, Lucy!
context: So we called all of you to the Celestial Spirit World.\I'm sorry!\We just did it this one time, we!\That's right. This is a one-time privilege.\So that's what this is about?!\That's what it's about, as it were-moshimoshi!\You surprised the hell out of us!\Come! You can run into my arms if you like, Lucy! response:	As if...
context: I'm sorry!\We just did it this one time, we!\That's right. This is a one-time privilege.\So that's what this is about?!\That's what it's about, as it were-moshimoshi!\You surprised the hell out of us!\Come! You can run into my arms if you like, Lucy!\As if... response:	Now then! Tonight, we shall drink in great quantities! And sing! And make merry!
context: We just did it this one time, we!\That's right. This is a one-time privilege.\So that's what this is about?!\That's what it's about, as it were-moshimoshi!\You surprised the hell out of us!\Come! You can run into my arms if you like, Lucy!\As if...\Now then! Tonight, we shall drink in great quantities! And sing! And make merry! response:	This is a party with my old friends!
context: That's right. This is a one-time privilege.\So that's what this is about?!\That's what it's about, as it were-moshimoshi!\You surprised the hell out of us!\Come! You can run into my arms if you like, Lucy!\As if...\Now then! Tonight, we shall drink in great quantities! And sing! And make merry!\This is a party with my old friends! response:	Yeah!
context: So that's what this is about?!\That's what it's about, as it were-moshimoshi!\You surprised the hell out of us!\Come! You can run into my arms if you like, Lucy!\As if...\Now then! Tonight, we shall drink in great quantities! And sing! And make merry!\This is a party with my old friends!\Yeah! response:	How have you been?
context: That's what it's about, as it were-moshimoshi!\You surprised the hell out of us!\Come! You can run into my arms if you like, Lucy!\As if...\Now then! Tonight, we shall drink in great quantities! And sing! And make merry!\This is a party with my old friends!\Yeah!\How have you been? response:	It was too bad about the exam.
context: You surprised the hell out of us!\Come! You can run into my arms if you like, Lucy!\As if...\Now then! Tonight, we shall drink in great quantities! And sing! And make merry!\This is a party with my old friends!\Yeah!\How have you been?\It was too bad about the exam. response:	Horologium-san!
context: Come! You can run into my arms if you like, Lucy!\As if...\Now then! Tonight, we shall drink in great quantities! And sing! And make merry!\This is a party with my old friends!\Yeah!\How have you been?\It was too bad about the exam.\Horologium-san! response:	Well, well. This is a pleasure.
context: As if...\Now then! Tonight, we shall drink in great quantities! And sing! And make merry!\This is a party with my old friends!\Yeah!\How have you been?\It was too bad about the exam.\Horologium-san!\Well, well. This is a pleasure. response:	Thank you for that last time.
context: Now then! Tonight, we shall drink in great quantities! And sing! And make merry!\This is a party with my old friends!\Yeah!\How have you been?\It was too bad about the exam.\Horologium-san!\Well, well. This is a pleasure.\Thank you for that last time. response:	Not at all. I need no thanks.
context: This is a party with my old friends!\Yeah!\How have you been?\It was too bad about the exam.\Horologium-san!\Well, well. This is a pleasure.\Thank you for that last time.\Not at all. I need no thanks. response:	But... um... it was embarrassing having no clothes on...
context: Yeah!\How have you been?\It was too bad about the exam.\Horologium-san!\Well, well. This is a pleasure.\Thank you for that last time.\Not at all. I need no thanks.\But... um... it was embarrassing having no clothes on... response:	Um... That was, uh...
context: How have you been?\It was too bad about the exam.\Horologium-san!\Well, well. This is a pleasure.\Thank you for that last time.\Not at all. I need no thanks.\But... um... it was embarrassing having no clothes on...\Um... That was, uh... response:	I apologize for that, he says.
context: It was too bad about the exam.\Horologium-san!\Well, well. This is a pleasure.\Thank you for that last time.\Not at all. I need no thanks.\But... um... it was embarrassing having no clothes on...\Um... That was, uh...\I apologize for that, he says. response:	You're the woman who once shared a body with Lucy, aren't you?
context: Horologium-san!\Well, well. This is a pleasure.\Thank you for that last time.\Not at all. I need no thanks.\But... um... it was embarrassing having no clothes on...\Um... That was, uh...\I apologize for that, he says.\You're the woman who once shared a body with Lucy, aren't you? response:	Shared a body?!
context: Well, well. This is a pleasure.\Thank you for that last time.\Not at all. I need no thanks.\But... um... it was embarrassing having no clothes on...\Um... That was, uh...\I apologize for that, he says.\You're the woman who once shared a body with Lucy, aren't you?\Shared a body?! response:	Do you have a man?
context: Thank you for that last time.\Not at all. I need no thanks.\But... um... it was embarrassing having no clothes on...\Um... That was, uh...\I apologize for that, he says.\You're the woman who once shared a body with Lucy, aren't you?\Shared a body?!\Do you have a man? response:	No... um...
context: Not at all. I need no thanks.\But... um... it was embarrassing having no clothes on...\Um... That was, uh...\I apologize for that, he says.\You're the woman who once shared a body with Lucy, aren't you?\Shared a body?!\Do you have a man?\No... um... response:	Oh, that's pathetic!
context: But... um... it was embarrassing having no clothes on...\Um... That was, uh...\I apologize for that, he says.\You're the woman who once shared a body with Lucy, aren't you?\Shared a body?!\Do you have a man?\No... um...\Oh, that's pathetic! response:	You'll end up like Lucy at this rate.
context: Um... That was, uh...\I apologize for that, he says.\You're the woman who once shared a body with Lucy, aren't you?\Shared a body?!\Do you have a man?\No... um...\Oh, that's pathetic!\You'll end up like Lucy at this rate. response:	What's that supposed to mean?!
context: I apologize for that, he says.\You're the woman who once shared a body with Lucy, aren't you?\Shared a body?!\Do you have a man?\No... um...\Oh, that's pathetic!\You'll end up like Lucy at this rate.\What's that supposed to mean?! response:	Wow, this is amazing!
context: You're the woman who once shared a body with Lucy, aren't you?\Shared a body?!\Do you have a man?\No... um...\Oh, that's pathetic!\You'll end up like Lucy at this rate.\What's that supposed to mean?!\Wow, this is amazing! response:	I've never seen any of these books!
context: Shared a body?!\Do you have a man?\No... um...\Oh, that's pathetic!\You'll end up like Lucy at this rate.\What's that supposed to mean?!\Wow, this is amazing!\I've never seen any of these books! response:	In that case, I'll give you one as a souvenir...
context: Do you have a man?\No... um...\Oh, that's pathetic!\You'll end up like Lucy at this rate.\What's that supposed to mean?!\Wow, this is amazing!\I've never seen any of these books!\In that case, I'll give you one as a souvenir... response:	He fell asleep!
context: No... um...\Oh, that's pathetic!\You'll end up like Lucy at this rate.\What's that supposed to mean?!\Wow, this is amazing!\I've never seen any of these books!\In that case, I'll give you one as a souvenir...\He fell asleep! response:	It's okay! He's just thinking.
context: Oh, that's pathetic!\You'll end up like Lucy at this rate.\What's that supposed to mean?!\Wow, this is amazing!\I've never seen any of these books!\In that case, I'll give you one as a souvenir...\He fell asleep!\It's okay! He's just thinking. response:	Plue!
context: You'll end up like Lucy at this rate.\What's that supposed to mean?!\Wow, this is amazing!\I've never seen any of these books!\In that case, I'll give you one as a souvenir...\He fell asleep!\It's okay! He's just thinking.\Plue! response:	Come to think of it, this is a Celestial Spirit too, huh?
context: What's that supposed to mean?!\Wow, this is amazing!\I've never seen any of these books!\In that case, I'll give you one as a souvenir...\He fell asleep!\It's okay! He's just thinking.\Plue!\Come to think of it, this is a Celestial Spirit too, huh? response:	Wow! There are tons of them!
context: Wow, this is amazing!\I've never seen any of these books!\In that case, I'll give you one as a souvenir...\He fell asleep!\It's okay! He's just thinking.\Plue!\Come to think of it, this is a Celestial Spirit too, huh?\Wow! There are tons of them! response:	There are many Nicolas.
context: I've never seen any of these books!\In that case, I'll give you one as a souvenir...\He fell asleep!\It's okay! He's just thinking.\Plue!\Come to think of it, this is a Celestial Spirit too, huh?\Wow! There are tons of them!\There are many Nicolas. response:	Erza-san! Mooo! As always, you've got a nice body!
context: In that case, I'll give you one as a souvenir...\He fell asleep!\It's okay! He's just thinking.\Plue!\Come to think of it, this is a Celestial Spirit too, huh?\Wow! There are tons of them!\There are many Nicolas.\Erza-san! Mooo! As always, you've got a nice body! response:	Is that right?
context: He fell asleep!\It's okay! He's just thinking.\Plue!\Come to think of it, this is a Celestial Spirit too, huh?\Wow! There are tons of them!\There are many Nicolas.\Erza-san! Mooo! As always, you've got a nice body!\Is that right? response:	Would you jump up and down for me a moment?!
context: It's okay! He's just thinking.\Plue!\Come to think of it, this is a Celestial Spirit too, huh?\Wow! There are tons of them!\There are many Nicolas.\Erza-san! Mooo! As always, you've got a nice body!\Is that right?\Would you jump up and down for me a moment?! response:	Why?
context: Plue!\Come to think of it, this is a Celestial Spirit too, huh?\Wow! There are tons of them!\There are many Nicolas.\Erza-san! Mooo! As always, you've got a nice body!\Is that right?\Would you jump up and down for me a moment?!\Why? response:	I don't like that Celestial Spirit.
context: Come to think of it, this is a Celestial Spirit too, huh?\Wow! There are tons of them!\There are many Nicolas.\Erza-san! Mooo! As always, you've got a nice body!\Is that right?\Would you jump up and down for me a moment?!\Why?\I don't like that Celestial Spirit. response:	Neither do I.
context: Wow! There are tons of them!\There are many Nicolas.\Erza-san! Mooo! As always, you've got a nice body!\Is that right?\Would you jump up and down for me a moment?!\Why?\I don't like that Celestial Spirit.\Neither do I. response:	Delicious! What is this food?!
context: There are many Nicolas.\Erza-san! Mooo! As always, you've got a nice body!\Is that right?\Would you jump up and down for me a moment?!\Why?\I don't like that Celestial Spirit.\Neither do I.\Delicious! What is this food?! response:	Crab pescatore, garnished with stardust butter.
context: Erza-san! Mooo! As always, you've got a nice body!\Is that right?\Would you jump up and down for me a moment?!\Why?\I don't like that Celestial Spirit.\Neither do I.\Delicious! What is this food?!\Crab pescatore, garnished with stardust butter. response:	And that's veal cutlet in succulent sauce.
context: Is that right?\Would you jump up and down for me a moment?!\Why?\I don't like that Celestial Spirit.\Neither do I.\Delicious! What is this food?!\Crab pescatore, garnished with stardust butter.\And that's veal cutlet in succulent sauce. response:	I'm sorry!
context: Would you jump up and down for me a moment?!\Why?\I don't like that Celestial Spirit.\Neither do I.\Delicious! What is this food?!\Crab pescatore, garnished with stardust butter.\And that's veal cutlet in succulent sauce.\I'm sorry! response:	At any rate, this is a strange place...
context: Why?\I don't like that Celestial Spirit.\Neither do I.\Delicious! What is this food?!\Crab pescatore, garnished with stardust butter.\And that's veal cutlet in succulent sauce.\I'm sorry!\At any rate, this is a strange place... response:	I didn't know the Celestial Spirit World became like this either!
context: I don't like that Celestial Spirit.\Neither do I.\Delicious! What is this food?!\Crab pescatore, garnished with stardust butter.\And that's veal cutlet in succulent sauce.\I'm sorry!\At any rate, this is a strange place...\I didn't know the Celestial Spirit World became like this either! response:	Which one of these is my Plue?
context: Neither do I.\Delicious! What is this food?!\Crab pescatore, garnished with stardust butter.\And that's veal cutlet in succulent sauce.\I'm sorry!\At any rate, this is a strange place...\I didn't know the Celestial Spirit World became like this either!\Which one of these is my Plue? response:	Naturally, though you are my old friend, this is my first time inviting you here.
context: Delicious! What is this food?!\Crab pescatore, garnished with stardust butter.\And that's veal cutlet in succulent sauce.\I'm sorry!\At any rate, this is a strange place...\I didn't know the Celestial Spirit World became like this either!\Which one of these is my Plue?\Naturally, though you are my old friend, this is my first time inviting you here. response:	That just goes to show how much he means to you.
context: Crab pescatore, garnished with stardust butter.\And that's veal cutlet in succulent sauce.\I'm sorry!\At any rate, this is a strange place...\I didn't know the Celestial Spirit World became like this either!\Which one of these is my Plue?\Naturally, though you are my old friend, this is my first time inviting you here.\That just goes to show how much he means to you. response:	Hey! What are you doing?!
context: And that's veal cutlet in succulent sauce.\I'm sorry!\At any rate, this is a strange place...\I didn't know the Celestial Spirit World became like this either!\Which one of these is my Plue?\Naturally, though you are my old friend, this is my first time inviting you here.\That just goes to show how much he means to you.\Hey! What are you doing?! response:	Old friend, I can see you
context: I'm sorry!\At any rate, this is a strange place...\I didn't know the Celestial Spirit World became like this either!\Which one of these is my Plue?\Naturally, though you are my old friend, this is my first time inviting you here.\That just goes to show how much he means to you.\Hey! What are you doing?!\Old friend, I can see you response:	You're right there
context: At any rate, this is a strange place...\I didn't know the Celestial Spirit World became like this either!\Which one of these is my Plue?\Naturally, though you are my old friend, this is my first time inviting you here.\That just goes to show how much he means to you.\Hey! What are you doing?!\Old friend, I can see you\You're right there response:	Old friend
context: I didn't know the Celestial Spirit World became like this either!\Which one of these is my Plue?\Naturally, though you are my old friend, this is my first time inviting you here.\That just goes to show how much he means to you.\Hey! What are you doing?!\Old friend, I can see you\You're right there\Old friend response:	I swear
context: Which one of these is my Plue?\Naturally, though you are my old friend, this is my first time inviting you here.\That just goes to show how much he means to you.\Hey! What are you doing?!\Old friend, I can see you\You're right there\Old friend\I swear response:	the bond between us will never be broken
context: Naturally, though you are my old friend, this is my first time inviting you here.\That just goes to show how much he means to you.\Hey! What are you doing?!\Old friend, I can see you\You're right there\Old friend\I swear\the bond between us will never be broken response:	You start walking
context: That just goes to show how much he means to you.\Hey! What are you doing?!\Old friend, I can see you\You're right there\Old friend\I swear\the bond between us will never be broken\You start walking response:	in the infinite wilderness
context: Hey! What are you doing?!\Old friend, I can see you\You're right there\Old friend\I swear\the bond between us will never be broken\You start walking\in the infinite wilderness response:	Hold back tears
context: Old friend, I can see you\You're right there\Old friend\I swear\the bond between us will never be broken\You start walking\in the infinite wilderness\Hold back tears response:	and move on towards tomorrow
context: You're right there\Old friend\I swear\the bond between us will never be broken\You start walking\in the infinite wilderness\Hold back tears\and move on towards tomorrow response:	I'm the star that's meant for you,
context: Old friend\I swear\the bond between us will never be broken\You start walking\in the infinite wilderness\Hold back tears\and move on towards tomorrow\I'm the star that's meant for you, response:	so I shine bright
context: I swear\the bond between us will never be broken\You start walking\in the infinite wilderness\Hold back tears\and move on towards tomorrow\I'm the star that's meant for you,\so I shine bright response:	This song is meant for you,
context: the bond between us will never be broken\You start walking\in the infinite wilderness\Hold back tears\and move on towards tomorrow\I'm the star that's meant for you,\so I shine bright\This song is meant for you, response:	so show me your smile
context: You start walking\in the infinite wilderness\Hold back tears\and move on towards tomorrow\I'm the star that's meant for you,\so I shine bright\This song is meant for you,\so show me your smile response:	Thank you.
