context: Then this machine was- response:	Yeah. The demon we saw 15 years ago.
context: Now, then...\What is the matter?\Oh, has that loosened your tongue?\Have you... sworn loyalty...\Continue.\Yes, Milord!\Impudent boy...\And how are we feeling? response:	Lousy...
context: What is the matter?\Oh, has that loosened your tongue?\Have you... sworn loyalty...\Continue.\Yes, Milord!\Impudent boy...\And how are we feeling?\Lousy... response:	Glad to hear it. The medicine seems to be working.
context: Oh, has that loosened your tongue?\Have you... sworn loyalty...\Continue.\Yes, Milord!\Impudent boy...\And how are we feeling?\Lousy...\Glad to hear it. The medicine seems to be working. response:	I can't believe that coming here triggered a relapse...
context: Have you... sworn loyalty...\Continue.\Yes, Milord!\Impudent boy...\And how are we feeling?\Lousy...\Glad to hear it. The medicine seems to be working.\I can't believe that coming here triggered a relapse... response:	I'd feel a lot better if you'd give me some booze.
context: Continue.\Yes, Milord!\Impudent boy...\And how are we feeling?\Lousy...\Glad to hear it. The medicine seems to be working.\I can't believe that coming here triggered a relapse...\I'd feel a lot better if you'd give me some booze. response:	That's not the sort of medicine you pester your doctor for.
context: Yes, Milord!\Impudent boy...\And how are we feeling?\Lousy...\Glad to hear it. The medicine seems to be working.\I can't believe that coming here triggered a relapse...\I'd feel a lot better if you'd give me some booze.\That's not the sort of medicine you pester your doctor for. response:	I hate this...
context: Impudent boy...\And how are we feeling?\Lousy...\Glad to hear it. The medicine seems to be working.\I can't believe that coming here triggered a relapse...\I'd feel a lot better if you'd give me some booze.\That's not the sort of medicine you pester your doctor for.\I hate this... response:	Birds?
context: And how are we feeling?\Lousy...\Glad to hear it. The medicine seems to be working.\I can't believe that coming here triggered a relapse...\I'd feel a lot better if you'd give me some booze.\That's not the sort of medicine you pester your doctor for.\I hate this...\Birds? response:	Yes, Milady.
context: Lousy...\Glad to hear it. The medicine seems to be working.\I can't believe that coming here triggered a relapse...\I'd feel a lot better if you'd give me some booze.\That's not the sort of medicine you pester your doctor for.\I hate this...\Birds?\Yes, Milady. response:	Animals that fly through the air...
context: Glad to hear it. The medicine seems to be working.\I can't believe that coming here triggered a relapse...\I'd feel a lot better if you'd give me some booze.\That's not the sort of medicine you pester your doctor for.\I hate this...\Birds?\Yes, Milady.\Animals that fly through the air... response:	When we reach Earth, I will be able to see them, won't I?
context: I can't believe that coming here triggered a relapse...\I'd feel a lot better if you'd give me some booze.\That's not the sort of medicine you pester your doctor for.\I hate this...\Birds?\Yes, Milady.\Animals that fly through the air...\When we reach Earth, I will be able to see them, won't I? response:	Yes. Progress is slow, but the scars of Heaven's Fall are fading.
context: I'd feel a lot better if you'd give me some booze.\That's not the sort of medicine you pester your doctor for.\I hate this...\Birds?\Yes, Milady.\Animals that fly through the air...\When we reach Earth, I will be able to see them, won't I?\Yes. Progress is slow, but the scars of Heaven's Fall are fading. response:	Nature is powerful, and when an area is depopulated,
context: That's not the sort of medicine you pester your doctor for.\I hate this...\Birds?\Yes, Milady.\Animals that fly through the air...\When we reach Earth, I will be able to see them, won't I?\Yes. Progress is slow, but the scars of Heaven's Fall are fading.\Nature is powerful, and when an area is depopulated, response:	it immediately begins to reclaim it.
context: I hate this...\Birds?\Yes, Milady.\Animals that fly through the air...\When we reach Earth, I will be able to see them, won't I?\Yes. Progress is slow, but the scars of Heaven's Fall are fading.\Nature is powerful, and when an area is depopulated,\it immediately begins to reclaim it. response:	Depopulated?
context: Birds?\Yes, Milady.\Animals that fly through the air...\When we reach Earth, I will be able to see them, won't I?\Yes. Progress is slow, but the scars of Heaven's Fall are fading.\Nature is powerful, and when an area is depopulated,\it immediately begins to reclaim it.\Depopulated? response:	Yes. As opposed to urban areas,
context: Yes, Milady.\Animals that fly through the air...\When we reach Earth, I will be able to see them, won't I?\Yes. Progress is slow, but the scars of Heaven's Fall are fading.\Nature is powerful, and when an area is depopulated,\it immediately begins to reclaim it.\Depopulated?\Yes. As opposed to urban areas, response:	plant life reproduces abundantly in devastated regions, and...
context: Animals that fly through the air...\When we reach Earth, I will be able to see them, won't I?\Yes. Progress is slow, but the scars of Heaven's Fall are fading.\Nature is powerful, and when an area is depopulated,\it immediately begins to reclaim it.\Depopulated?\Yes. As opposed to urban areas,\plant life reproduces abundantly in devastated regions, and... response:	It is sad, isn't it? That we are unable to thrive together.
context: When we reach Earth, I will be able to see them, won't I?\Yes. Progress is slow, but the scars of Heaven's Fall are fading.\Nature is powerful, and when an area is depopulated,\it immediately begins to reclaim it.\Depopulated?\Yes. As opposed to urban areas,\plant life reproduces abundantly in devastated regions, and...\It is sad, isn't it? That we are unable to thrive together. response:	Not at all! With forethought and hard work, it is possible!
context: Yes. Progress is slow, but the scars of Heaven's Fall are fading.\Nature is powerful, and when an area is depopulated,\it immediately begins to reclaim it.\Depopulated?\Yes. As opposed to urban areas,\plant life reproduces abundantly in devastated regions, and...\It is sad, isn't it? That we are unable to thrive together.\Not at all! With forethought and hard work, it is possible! response:	Do you really think so?
context: Nature is powerful, and when an area is depopulated,\it immediately begins to reclaim it.\Depopulated?\Yes. As opposed to urban areas,\plant life reproduces abundantly in devastated regions, and...\It is sad, isn't it? That we are unable to thrive together.\Not at all! With forethought and hard work, it is possible!\Do you really think so? response:	Yes! It is possible for us to thrive together!
context: it immediately begins to reclaim it.\Depopulated?\Yes. As opposed to urban areas,\plant life reproduces abundantly in devastated regions, and...\It is sad, isn't it? That we are unable to thrive together.\Not at all! With forethought and hard work, it is possible!\Do you really think so?\Yes! It is possible for us to thrive together! response:	Well, Terran? Do you feel like talking now?
context: Depopulated?\Yes. As opposed to urban areas,\plant life reproduces abundantly in devastated regions, and...\It is sad, isn't it? That we are unable to thrive together.\Not at all! With forethought and hard work, it is possible!\Do you really think so?\Yes! It is possible for us to thrive together!\Well, Terran? Do you feel like talking now? response:	Count... Do you care for the princess?
context: Yes. As opposed to urban areas,\plant life reproduces abundantly in devastated regions, and...\It is sad, isn't it? That we are unable to thrive together.\Not at all! With forethought and hard work, it is possible!\Do you really think so?\Yes! It is possible for us to thrive together!\Well, Terran? Do you feel like talking now?\Count... Do you care for the princess? response:	What?
context: plant life reproduces abundantly in devastated regions, and...\It is sad, isn't it? That we are unable to thrive together.\Not at all! With forethought and hard work, it is possible!\Do you really think so?\Yes! It is possible for us to thrive together!\Well, Terran? Do you feel like talking now?\Count... Do you care for the princess?\What? response:	Are you... her ally?
context: It is sad, isn't it? That we are unable to thrive together.\Not at all! With forethought and hard work, it is possible!\Do you really think so?\Yes! It is possible for us to thrive together!\Well, Terran? Do you feel like talking now?\Count... Do you care for the princess?\What?\Are you... her ally? response:	Yes. Of course I am.
context: Not at all! With forethought and hard work, it is possible!\Do you really think so?\Yes! It is possible for us to thrive together!\Well, Terran? Do you feel like talking now?\Count... Do you care for the princess?\What?\Are you... her ally?\Yes. Of course I am. response:	Now, speak.
context: Do you really think so?\Yes! It is possible for us to thrive together!\Well, Terran? Do you feel like talking now?\Count... Do you care for the princess?\What?\Are you... her ally?\Yes. Of course I am.\Now, speak. response:	As punishment for your crime,
context: Yes! It is possible for us to thrive together!\Well, Terran? Do you feel like talking now?\Count... Do you care for the princess?\What?\Are you... her ally?\Yes. Of course I am.\Now, speak.\As punishment for your crime, response:	I shall give your compatriots on Earth a taste of even greater horrors.
context: Well, Terran? Do you feel like talking now?\Count... Do you care for the princess?\What?\Are you... her ally?\Yes. Of course I am.\Now, speak.\As punishment for your crime,\I shall give your compatriots on Earth a taste of even greater horrors. response:	I knew it, you were lying...
context: Count... Do you care for the princess?\What?\Are you... her ally?\Yes. Of course I am.\Now, speak.\As punishment for your crime,\I shall give your compatriots on Earth a taste of even greater horrors.\I knew it, you were lying... response:	You want an excuse to go to war with Earth...
context: What?\Are you... her ally?\Yes. Of course I am.\Now, speak.\As punishment for your crime,\I shall give your compatriots on Earth a taste of even greater horrors.\I knew it, you were lying...\You want an excuse to go to war with Earth... response:	Her Highness wished for peace with Earth, but you...
context: Are you... her ally?\Yes. Of course I am.\Now, speak.\As punishment for your crime,\I shall give your compatriots on Earth a taste of even greater horrors.\I knew it, you were lying...\You want an excuse to go to war with Earth...\Her Highness wished for peace with Earth, but you... response:	You are exploiting her death...
context: Yes. Of course I am.\Now, speak.\As punishment for your crime,\I shall give your compatriots on Earth a taste of even greater horrors.\I knew it, you were lying...\You want an excuse to go to war with Earth...\Her Highness wished for peace with Earth, but you...\You are exploiting her death... response:	Do not invoke her memory so lightly, you filthy Terran!
context: Now, speak.\As punishment for your crime,\I shall give your compatriots on Earth a taste of even greater horrors.\I knew it, you were lying...\You want an excuse to go to war with Earth...\Her Highness wished for peace with Earth, but you...\You are exploiting her death...\Do not invoke her memory so lightly, you filthy Terran! response:	Sey-
context: As punishment for your crime,\I shall give your compatriots on Earth a taste of even greater horrors.\I knew it, you were lying...\You want an excuse to go to war with Earth...\Her Highness wished for peace with Earth, but you...\You are exploiting her death...\Do not invoke her memory so lightly, you filthy Terran!\Sey- response:	No, Princess Asseylum.
context: I shall give your compatriots on Earth a taste of even greater horrors.\I knew it, you were lying...\You want an excuse to go to war with Earth...\Her Highness wished for peace with Earth, but you...\You are exploiting her death...\Do not invoke her memory so lightly, you filthy Terran!\Sey-\No, Princess Asseylum. response:	I do not mind you calling me Seylum, Inaho.
context: I knew it, you were lying...\You want an excuse to go to war with Earth...\Her Highness wished for peace with Earth, but you...\You are exploiting her death...\Do not invoke her memory so lightly, you filthy Terran!\Sey-\No, Princess Asseylum.\I do not mind you calling me Seylum, Inaho. response:	But I mind!
context: You want an excuse to go to war with Earth...\Her Highness wished for peace with Earth, but you...\You are exploiting her death...\Do not invoke her memory so lightly, you filthy Terran!\Sey-\No, Princess Asseylum.\I do not mind you calling me Seylum, Inaho.\But I mind! response:	From now on, add Your Highness to that.
context: Her Highness wished for peace with Earth, but you...\You are exploiting her death...\Do not invoke her memory so lightly, you filthy Terran!\Sey-\No, Princess Asseylum.\I do not mind you calling me Seylum, Inaho.\But I mind!\From now on, add Your Highness to that. response:	Eddeltittuo.
context: You are exploiting her death...\Do not invoke her memory so lightly, you filthy Terran!\Sey-\No, Princess Asseylum.\I do not mind you calling me Seylum, Inaho.\But I mind!\From now on, add Your Highness to that.\Eddeltittuo. response:	But, Milady!
context: Do not invoke her memory so lightly, you filthy Terran!\Sey-\No, Princess Asseylum.\I do not mind you calling me Seylum, Inaho.\But I mind!\From now on, add Your Highness to that.\Eddeltittuo.\But, Milady! response:	I do apologize. This is her way of looking out for me.
context: Sey-\No, Princess Asseylum.\I do not mind you calling me Seylum, Inaho.\But I mind!\From now on, add Your Highness to that.\Eddeltittuo.\But, Milady!\I do apologize. This is her way of looking out for me. response:	So, what is it?
context: No, Princess Asseylum.\I do not mind you calling me Seylum, Inaho.\But I mind!\From now on, add Your Highness to that.\Eddeltittuo.\But, Milady!\I do apologize. This is her way of looking out for me.\So, what is it? response:	Well, I ran into someone on Tanegashima who-
context: I do not mind you calling me Seylum, Inaho.\But I mind!\From now on, add Your Highness to that.\Eddeltittuo.\But, Milady!\I do apologize. This is her way of looking out for me.\So, what is it?\Well, I ran into someone on Tanegashima who- response:	Hey, Inaho!
context: But I mind!\From now on, add Your Highness to that.\Eddeltittuo.\But, Milady!\I do apologize. This is her way of looking out for me.\So, what is it?\Well, I ran into someone on Tanegashima who-\Hey, Inaho! response:	You knew that there were Martians hiding among us?
context: From now on, add Your Highness to that.\Eddeltittuo.\But, Milady!\I do apologize. This is her way of looking out for me.\So, what is it?\Well, I ran into someone on Tanegashima who-\Hey, Inaho!\You knew that there were Martians hiding among us? response:	Yeah.
context: Eddeltittuo.\But, Milady!\I do apologize. This is her way of looking out for me.\So, what is it?\Well, I ran into someone on Tanegashima who-\Hey, Inaho!\You knew that there were Martians hiding among us?\Yeah. response:	Where are they?! I'm gonna avenge Okojo!
context: But, Milady!\I do apologize. This is her way of looking out for me.\So, what is it?\Well, I ran into someone on Tanegashima who-\Hey, Inaho!\You knew that there were Martians hiding among us?\Yeah.\Where are they?! I'm gonna avenge Okojo! response:	I am the Princess of Mars you seek.
context: I do apologize. This is her way of looking out for me.\So, what is it?\Well, I ran into someone on Tanegashima who-\Hey, Inaho!\You knew that there were Martians hiding among us?\Yeah.\Where are they?! I'm gonna avenge Okojo!\I am the Princess of Mars you seek. response:	Come again?
context: So, what is it?\Well, I ran into someone on Tanegashima who-\Hey, Inaho!\You knew that there were Martians hiding among us?\Yeah.\Where are they?! I'm gonna avenge Okojo!\I am the Princess of Mars you seek.\Come again? response:	I deeply regret that so many of your fellow Terrans have been injured or killed.
context: Well, I ran into someone on Tanegashima who-\Hey, Inaho!\You knew that there were Martians hiding among us?\Yeah.\Where are they?! I'm gonna avenge Okojo!\I am the Princess of Mars you seek.\Come again?\I deeply regret that so many of your fellow Terrans have been injured or killed. response:	I assure you, this war is not what Vers wants.
context: Hey, Inaho!\You knew that there were Martians hiding among us?\Yeah.\Where are they?! I'm gonna avenge Okojo!\I am the Princess of Mars you seek.\Come again?\I deeply regret that so many of your fellow Terrans have been injured or killed.\I assure you, this war is not what Vers wants. response:	I am doing all I can to bring this meaningless conflict to an end as soon as possible.
context: You knew that there were Martians hiding among us?\Yeah.\Where are they?! I'm gonna avenge Okojo!\I am the Princess of Mars you seek.\Come again?\I deeply regret that so many of your fellow Terrans have been injured or killed.\I assure you, this war is not what Vers wants.\I am doing all I can to bring this meaningless conflict to an end as soon as possible. response:	Uh... Sure. Do your best, okay?
context: Yeah.\Where are they?! I'm gonna avenge Okojo!\I am the Princess of Mars you seek.\Come again?\I deeply regret that so many of your fellow Terrans have been injured or killed.\I assure you, this war is not what Vers wants.\I am doing all I can to bring this meaningless conflict to an end as soon as possible.\Uh... Sure. Do your best, okay? response:	What are you blushing for?
context: Where are they?! I'm gonna avenge Okojo!\I am the Princess of Mars you seek.\Come again?\I deeply regret that so many of your fellow Terrans have been injured or killed.\I assure you, this war is not what Vers wants.\I am doing all I can to bring this meaningless conflict to an end as soon as possible.\Uh... Sure. Do your best, okay?\What are you blushing for? response:	You're as red as a lobster.
context: I am the Princess of Mars you seek.\Come again?\I deeply regret that so many of your fellow Terrans have been injured or killed.\I assure you, this war is not what Vers wants.\I am doing all I can to bring this meaningless conflict to an end as soon as possible.\Uh... Sure. Do your best, okay?\What are you blushing for?\You're as red as a lobster. response:	Where did you guys come from?!
context: Come again?\I deeply regret that so many of your fellow Terrans have been injured or killed.\I assure you, this war is not what Vers wants.\I am doing all I can to bring this meaningless conflict to an end as soon as possible.\Uh... Sure. Do your best, okay?\What are you blushing for?\You're as red as a lobster.\Where did you guys come from?! response:	Didn't you say you were going to get revenge?
context: I deeply regret that so many of your fellow Terrans have been injured or killed.\I assure you, this war is not what Vers wants.\I am doing all I can to bring this meaningless conflict to an end as soon as possible.\Uh... Sure. Do your best, okay?\What are you blushing for?\You're as red as a lobster.\Where did you guys come from?!\Didn't you say you were going to get revenge? response:	Didn't you say something about all Martians being the enemy?
context: I assure you, this war is not what Vers wants.\I am doing all I can to bring this meaningless conflict to an end as soon as possible.\Uh... Sure. Do your best, okay?\What are you blushing for?\You're as red as a lobster.\Where did you guys come from?!\Didn't you say you were going to get revenge?\Didn't you say something about all Martians being the enemy? response:	I never said any such thing!
context: I am doing all I can to bring this meaningless conflict to an end as soon as possible.\Uh... Sure. Do your best, okay?\What are you blushing for?\You're as red as a lobster.\Where did you guys come from?!\Didn't you say you were going to get revenge?\Didn't you say something about all Martians being the enemy?\I never said any such thing! response:	There are good Martians and bad Martians, same as everywhere else!
context: Uh... Sure. Do your best, okay?\What are you blushing for?\You're as red as a lobster.\Where did you guys come from?!\Didn't you say you were going to get revenge?\Didn't you say something about all Martians being the enemy?\I never said any such thing!\There are good Martians and bad Martians, same as everywhere else! response:	Right, Inaho?
context: What are you blushing for?\You're as red as a lobster.\Where did you guys come from?!\Didn't you say you were going to get revenge?\Didn't you say something about all Martians being the enemy?\I never said any such thing!\There are good Martians and bad Martians, same as everywhere else!\Right, Inaho? response:	Back my play, man!
context: You're as red as a lobster.\Where did you guys come from?!\Didn't you say you were going to get revenge?\Didn't you say something about all Martians being the enemy?\I never said any such thing!\There are good Martians and bad Martians, same as everywhere else!\Right, Inaho?\Back my play, man! response:	As I said, there's no trusting Terrans...
context: Where did you guys come from?!\Didn't you say you were going to get revenge?\Didn't you say something about all Martians being the enemy?\I never said any such thing!\There are good Martians and bad Martians, same as everywhere else!\Right, Inaho?\Back my play, man!\As I said, there's no trusting Terrans... response:	You have saved me countless times since we arrived on Earth, Inaho.
context: Didn't you say you were going to get revenge?\Didn't you say something about all Martians being the enemy?\I never said any such thing!\There are good Martians and bad Martians, same as everywhere else!\Right, Inaho?\Back my play, man!\As I said, there's no trusting Terrans...\You have saved me countless times since we arrived on Earth, Inaho. response:	Thank you so much.
context: Didn't you say something about all Martians being the enemy?\I never said any such thing!\There are good Martians and bad Martians, same as everywhere else!\Right, Inaho?\Back my play, man!\As I said, there's no trusting Terrans...\You have saved me countless times since we arrived on Earth, Inaho.\Thank you so much. response:	I wasn't fighting for you in particular, Seylum.
context: I never said any such thing!\There are good Martians and bad Martians, same as everywhere else!\Right, Inaho?\Back my play, man!\As I said, there's no trusting Terrans...\You have saved me countless times since we arrived on Earth, Inaho.\Thank you so much.\I wasn't fighting for you in particular, Seylum. response:	It's because I was drafted. If I don't fight, it puts me in danger, too.
context: There are good Martians and bad Martians, same as everywhere else!\Right, Inaho?\Back my play, man!\As I said, there's no trusting Terrans...\You have saved me countless times since we arrived on Earth, Inaho.\Thank you so much.\I wasn't fighting for you in particular, Seylum.\It's because I was drafted. If I don't fight, it puts me in danger, too. response:	Nevertheless, that does not change the fact that I owe you my life.
context: Right, Inaho?\Back my play, man!\As I said, there's no trusting Terrans...\You have saved me countless times since we arrived on Earth, Inaho.\Thank you so much.\I wasn't fighting for you in particular, Seylum.\It's because I was drafted. If I don't fight, it puts me in danger, too.\Nevertheless, that does not change the fact that I owe you my life. response:	Thank you.
context: Back my play, man!\As I said, there's no trusting Terrans...\You have saved me countless times since we arrived on Earth, Inaho.\Thank you so much.\I wasn't fighting for you in particular, Seylum.\It's because I was drafted. If I don't fight, it puts me in danger, too.\Nevertheless, that does not change the fact that I owe you my life.\Thank you. response:	That Martian that I met on Tanegashima was looking for you.
context: As I said, there's no trusting Terrans...\You have saved me countless times since we arrived on Earth, Inaho.\Thank you so much.\I wasn't fighting for you in particular, Seylum.\It's because I was drafted. If I don't fight, it puts me in danger, too.\Nevertheless, that does not change the fact that I owe you my life.\Thank you.\That Martian that I met on Tanegashima was looking for you. response:	And he was scared that you were being exploited.
context: You have saved me countless times since we arrived on Earth, Inaho.\Thank you so much.\I wasn't fighting for you in particular, Seylum.\It's because I was drafted. If I don't fight, it puts me in danger, too.\Nevertheless, that does not change the fact that I owe you my life.\Thank you.\That Martian that I met on Tanegashima was looking for you.\And he was scared that you were being exploited. response:	Could it be...?
context: Thank you so much.\I wasn't fighting for you in particular, Seylum.\It's because I was drafted. If I don't fight, it puts me in danger, too.\Nevertheless, that does not change the fact that I owe you my life.\Thank you.\That Martian that I met on Tanegashima was looking for you.\And he was scared that you were being exploited.\Could it be...? response:	There are some among the enemy who think that you are still alive.
context: I wasn't fighting for you in particular, Seylum.\It's because I was drafted. If I don't fight, it puts me in danger, too.\Nevertheless, that does not change the fact that I owe you my life.\Thank you.\That Martian that I met on Tanegashima was looking for you.\And he was scared that you were being exploited.\Could it be...?\There are some among the enemy who think that you are still alive. response:	I suggest staying on your guard.
context: It's because I was drafted. If I don't fight, it puts me in danger, too.\Nevertheless, that does not change the fact that I owe you my life.\Thank you.\That Martian that I met on Tanegashima was looking for you.\And he was scared that you were being exploited.\Could it be...?\There are some among the enemy who think that you are still alive.\I suggest staying on your guard. response:	What's that?
context: Nevertheless, that does not change the fact that I owe you my life.\Thank you.\That Martian that I met on Tanegashima was looking for you.\And he was scared that you were being exploited.\Could it be...?\There are some among the enemy who think that you are still alive.\I suggest staying on your guard.\What's that? response:	A good luck charm given to me by a dear Terran friend when we arrived at Earth.
context: Thank you.\That Martian that I met on Tanegashima was looking for you.\And he was scared that you were being exploited.\Could it be...?\There are some among the enemy who think that you are still alive.\I suggest staying on your guard.\What's that?\A good luck charm given to me by a dear Terran friend when we arrived at Earth. response:	By a Terran?
context: That Martian that I met on Tanegashima was looking for you.\And he was scared that you were being exploited.\Could it be...?\There are some among the enemy who think that you are still alive.\I suggest staying on your guard.\What's that?\A good luck charm given to me by a dear Terran friend when we arrived at Earth.\By a Terran? response:	The son of a scientist who visited Mars to study Aldnoah.
context: And he was scared that you were being exploited.\Could it be...?\There are some among the enemy who think that you are still alive.\I suggest staying on your guard.\What's that?\A good luck charm given to me by a dear Terran friend when we arrived at Earth.\By a Terran?\The son of a scientist who visited Mars to study Aldnoah. response:	I heard all manner of stories regarding Earth from him.
context: Could it be...?\There are some among the enemy who think that you are still alive.\I suggest staying on your guard.\What's that?\A good luck charm given to me by a dear Terran friend when we arrived at Earth.\By a Terran?\The son of a scientist who visited Mars to study Aldnoah.\I heard all manner of stories regarding Earth from him. response:	About the sea. About the sky.
context: There are some among the enemy who think that you are still alive.\I suggest staying on your guard.\What's that?\A good luck charm given to me by a dear Terran friend when we arrived at Earth.\By a Terran?\The son of a scientist who visited Mars to study Aldnoah.\I heard all manner of stories regarding Earth from him.\About the sea. About the sky. response:	About the creatures who live there.
context: I suggest staying on your guard.\What's that?\A good luck charm given to me by a dear Terran friend when we arrived at Earth.\By a Terran?\The son of a scientist who visited Mars to study Aldnoah.\I heard all manner of stories regarding Earth from him.\About the sea. About the sky.\About the creatures who live there. response:	As I heard these stories, I grew more and more enamored of Earth.
context: What's that?\A good luck charm given to me by a dear Terran friend when we arrived at Earth.\By a Terran?\The son of a scientist who visited Mars to study Aldnoah.\I heard all manner of stories regarding Earth from him.\About the sea. About the sky.\About the creatures who live there.\As I heard these stories, I grew more and more enamored of Earth. response:	As a result, I wanted more than anything to come to Earth.
context: A good luck charm given to me by a dear Terran friend when we arrived at Earth.\By a Terran?\The son of a scientist who visited Mars to study Aldnoah.\I heard all manner of stories regarding Earth from him.\About the sea. About the sky.\About the creatures who live there.\As I heard these stories, I grew more and more enamored of Earth.\As a result, I wanted more than anything to come to Earth. response:	And I wished to establish peaceful relations with Earth.
context: By a Terran?\The son of a scientist who visited Mars to study Aldnoah.\I heard all manner of stories regarding Earth from him.\About the sea. About the sky.\About the creatures who live there.\As I heard these stories, I grew more and more enamored of Earth.\As a result, I wanted more than anything to come to Earth.\And I wished to establish peaceful relations with Earth. response:	That creature, could that be... a bird?
context: The son of a scientist who visited Mars to study Aldnoah.\I heard all manner of stories regarding Earth from him.\About the sea. About the sky.\About the creatures who live there.\As I heard these stories, I grew more and more enamored of Earth.\As a result, I wanted more than anything to come to Earth.\And I wished to establish peaceful relations with Earth.\That creature, could that be... a bird? response:	Yes, a black-tailed gull.
context: I heard all manner of stories regarding Earth from him.\About the sea. About the sky.\About the creatures who live there.\As I heard these stories, I grew more and more enamored of Earth.\As a result, I wanted more than anything to come to Earth.\And I wished to establish peaceful relations with Earth.\That creature, could that be... a bird?\Yes, a black-tailed gull. response:	An animal that flies through the sky! They really do exist, don't they?
context: About the sea. About the sky.\About the creatures who live there.\As I heard these stories, I grew more and more enamored of Earth.\As a result, I wanted more than anything to come to Earth.\And I wished to establish peaceful relations with Earth.\That creature, could that be... a bird?\Yes, a black-tailed gull.\An animal that flies through the sky! They really do exist, don't they? response:	It is just as you said, Slaine!
context: About the creatures who live there.\As I heard these stories, I grew more and more enamored of Earth.\As a result, I wanted more than anything to come to Earth.\And I wished to establish peaceful relations with Earth.\That creature, could that be... a bird?\Yes, a black-tailed gull.\An animal that flies through the sky! They really do exist, don't they?\It is just as you said, Slaine! response:	My life was saved by Princess Asseylum that day...
context: As I heard these stories, I grew more and more enamored of Earth.\As a result, I wanted more than anything to come to Earth.\And I wished to establish peaceful relations with Earth.\That creature, could that be... a bird?\Yes, a black-tailed gull.\An animal that flies through the sky! They really do exist, don't they?\It is just as you said, Slaine!\My life was saved by Princess Asseylum that day... response:	If it weren't for her, I wouldn't be alive now...
context: As a result, I wanted more than anything to come to Earth.\And I wished to establish peaceful relations with Earth.\That creature, could that be... a bird?\Yes, a black-tailed gull.\An animal that flies through the sky! They really do exist, don't they?\It is just as you said, Slaine!\My life was saved by Princess Asseylum that day...\If it weren't for her, I wouldn't be alive now... response:	So this time, I will protect you, Your Highness!
context: And I wished to establish peaceful relations with Earth.\That creature, could that be... a bird?\Yes, a black-tailed gull.\An animal that flies through the sky! They really do exist, don't they?\It is just as you said, Slaine!\My life was saved by Princess Asseylum that day...\If it weren't for her, I wouldn't be alive now...\So this time, I will protect you, Your Highness! response:	I mustn't divulge that she is alive...
context: That creature, could that be... a bird?\Yes, a black-tailed gull.\An animal that flies through the sky! They really do exist, don't they?\It is just as you said, Slaine!\My life was saved by Princess Asseylum that day...\If it weren't for her, I wouldn't be alive now...\So this time, I will protect you, Your Highness!\I mustn't divulge that she is alive... response:	I won't let those who hope to exploit the princess have their way...
context: Yes, a black-tailed gull.\An animal that flies through the sky! They really do exist, don't they?\It is just as you said, Slaine!\My life was saved by Princess Asseylum that day...\If it weren't for her, I wouldn't be alive now...\So this time, I will protect you, Your Highness!\I mustn't divulge that she is alive...\I won't let those who hope to exploit the princess have their way... response:	Be they Martian...
context: An animal that flies through the sky! They really do exist, don't they?\It is just as you said, Slaine!\My life was saved by Princess Asseylum that day...\If it weren't for her, I wouldn't be alive now...\So this time, I will protect you, Your Highness!\I mustn't divulge that she is alive...\I won't let those who hope to exploit the princess have their way...\Be they Martian... response:	I...
context: It is just as you said, Slaine!\My life was saved by Princess Asseylum that day...\If it weren't for her, I wouldn't be alive now...\So this time, I will protect you, Your Highness!\I mustn't divulge that she is alive...\I won't let those who hope to exploit the princess have their way...\Be they Martian...\I... response:	How regretful Princess Asseylum must be...
context: My life was saved by Princess Asseylum that day...\If it weren't for her, I wouldn't be alive now...\So this time, I will protect you, Your Highness!\I mustn't divulge that she is alive...\I won't let those who hope to exploit the princess have their way...\Be they Martian...\I...\How regretful Princess Asseylum must be... response:	To put her faith in inferior scum like him and lose her life as a result...
context: If it weren't for her, I wouldn't be alive now...\So this time, I will protect you, Your Highness!\I mustn't divulge that she is alive...\I won't let those who hope to exploit the princess have their way...\Be they Martian...\I...\How regretful Princess Asseylum must be...\To put her faith in inferior scum like him and lose her life as a result... response:	Milord Cruhteo.
context: So this time, I will protect you, Your Highness!\I mustn't divulge that she is alive...\I won't let those who hope to exploit the princess have their way...\Be they Martian...\I...\How regretful Princess Asseylum must be...\To put her faith in inferior scum like him and lose her life as a result...\Milord Cruhteo. response:	What is it?
context: I mustn't divulge that she is alive...\I won't let those who hope to exploit the princess have their way...\Be they Martian...\I...\How regretful Princess Asseylum must be...\To put her faith in inferior scum like him and lose her life as a result...\Milord Cruhteo.\What is it? response:	We've discovered something on the island that we can't explain.
context: I won't let those who hope to exploit the princess have their way...\Be they Martian...\I...\How regretful Princess Asseylum must be...\To put her faith in inferior scum like him and lose her life as a result...\Milord Cruhteo.\What is it?\We've discovered something on the island that we can't explain. response:	The wreckage of another Kataphrakt, one not belonging to Countess Femieanne.
context: Be they Martian...\I...\How regretful Princess Asseylum must be...\To put her faith in inferior scum like him and lose her life as a result...\Milord Cruhteo.\What is it?\We've discovered something on the island that we can't explain.\The wreckage of another Kataphrakt, one not belonging to Countess Femieanne. response:	This is the one that fell to Earth 15 years ago...!
context: I...\How regretful Princess Asseylum must be...\To put her faith in inferior scum like him and lose her life as a result...\Milord Cruhteo.\What is it?\We've discovered something on the island that we can't explain.\The wreckage of another Kataphrakt, one not belonging to Countess Femieanne.\This is the one that fell to Earth 15 years ago...! response:	The Deucalion...! It can't be!
