context: Come on! Unless you want to die, get moving! response:	I told you to step forward further!
context: Namekians!\They've come to save them!\Damn! Then our bad feeling turned out to be true!\This is trouble. Here I was, just about to have the Dragon Ball brought out to me,\when you interrupt your work...\I see now. So the rumors about someone attacking the villages\and taking the Dragon Balls are true, are they?\You're going to pay for this! Trample on the peace of Namek, will you!? response:	Be careful fighting them! These guys are quite strong!
context: They've come to save them!\Damn! Then our bad feeling turned out to be true!\This is trouble. Here I was, just about to have the Dragon Ball brought out to me,\when you interrupt your work...\I see now. So the rumors about someone attacking the villages\and taking the Dragon Balls are true, are they?\You're going to pay for this! Trample on the peace of Namek, will you!?\Be careful fighting them! These guys are quite strong! response:	Good luck!
context: Damn! Then our bad feeling turned out to be true!\This is trouble. Here I was, just about to have the Dragon Ball brought out to me,\when you interrupt your work...\I see now. So the rumors about someone attacking the villages\and taking the Dragon Balls are true, are they?\You're going to pay for this! Trample on the peace of Namek, will you!?\Be careful fighting them! These guys are quite strong!\Good luck! response:	Oh, you plan to fight, do you? I wonder how much battle power they have.
context: This is trouble. Here I was, just about to have the Dragon Ball brought out to me,\when you interrupt your work...\I see now. So the rumors about someone attacking the villages\and taking the Dragon Balls are true, are they?\You're going to pay for this! Trample on the peace of Namek, will you!?\Be careful fighting them! These guys are quite strong!\Good luck!\Oh, you plan to fight, do you? I wonder how much battle power they have. response:	Dodoria- san?
context: when you interrupt your work...\I see now. So the rumors about someone attacking the villages\and taking the Dragon Balls are true, are they?\You're going to pay for this! Trample on the peace of Namek, will you!?\Be careful fighting them! These guys are quite strong!\Good luck!\Oh, you plan to fight, do you? I wonder how much battle power they have.\Dodoria- san? response:	Yes sir, I will check.
context: I see now. So the rumors about someone attacking the villages\and taking the Dragon Balls are true, are they?\You're going to pay for this! Trample on the peace of Namek, will you!?\Be careful fighting them! These guys are quite strong!\Good luck!\Oh, you plan to fight, do you? I wonder how much battle power they have.\Dodoria- san?\Yes sir, I will check. response:	Please do not be discouraged, sir. All three are around 1000.
context: and taking the Dragon Balls are true, are they?\You're going to pay for this! Trample on the peace of Namek, will you!?\Be careful fighting them! These guys are quite strong!\Good luck!\Oh, you plan to fight, do you? I wonder how much battle power they have.\Dodoria- san?\Yes sir, I will check.\Please do not be discouraged, sir. All three are around 1000. response:	We will not even be needed to fight them.
context: You're going to pay for this! Trample on the peace of Namek, will you!?\Be careful fighting them! These guys are quite strong!\Good luck!\Oh, you plan to fight, do you? I wonder how much battle power they have.\Dodoria- san?\Yes sir, I will check.\Please do not be discouraged, sir. All three are around 1000.\We will not even be needed to fight them. response:	So that's it. I get it.
context: Be careful fighting them! These guys are quite strong!\Good luck!\Oh, you plan to fight, do you? I wonder how much battle power they have.\Dodoria- san?\Yes sir, I will check.\Please do not be discouraged, sir. All three are around 1000.\We will not even be needed to fight them.\So that's it. I get it. response:	So that's how they can pinpoint the few small villages
context: Good luck!\Oh, you plan to fight, do you? I wonder how much battle power they have.\Dodoria- san?\Yes sir, I will check.\Please do not be discouraged, sir. All three are around 1000.\We will not even be needed to fight them.\So that's it. I get it.\So that's how they can pinpoint the few small villages response:	that dot the vast surface of Namek.
context: Oh, you plan to fight, do you? I wonder how much battle power they have.\Dodoria- san?\Yes sir, I will check.\Please do not be discouraged, sir. All three are around 1000.\We will not even be needed to fight them.\So that's it. I get it.\So that's how they can pinpoint the few small villages\that dot the vast surface of Namek. response:	lt's because they can search for us with those devices.
context: Dodoria- san?\Yes sir, I will check.\Please do not be discouraged, sir. All three are around 1000.\We will not even be needed to fight them.\So that's it. I get it.\So that's how they can pinpoint the few small villages\that dot the vast surface of Namek.\lt's because they can search for us with those devices. response:	9998...
context: Yes sir, I will check.\Please do not be discouraged, sir. All three are around 1000.\We will not even be needed to fight them.\So that's it. I get it.\So that's how they can pinpoint the few small villages\that dot the vast surface of Namek.\lt's because they can search for us with those devices.\9998... response:	9999...
context: Please do not be discouraged, sir. All three are around 1000.\We will not even be needed to fight them.\So that's it. I get it.\So that's how they can pinpoint the few small villages\that dot the vast surface of Namek.\lt's because they can search for us with those devices.\9998...\9999... response:	10,000...
context: We will not even be needed to fight them.\So that's it. I get it.\So that's how they can pinpoint the few small villages\that dot the vast surface of Namek.\lt's because they can search for us with those devices.\9998...\9999...\10,000... response:	I'm so hungry...
context: So that's it. I get it.\So that's how they can pinpoint the few small villages\that dot the vast surface of Namek.\lt's because they can search for us with those devices.\9998...\9999...\10,000...\I'm so hungry... response:	Vegeta, and someone even more incredible than him, are up ahead...
context: So that's how they can pinpoint the few small villages\that dot the vast surface of Namek.\lt's because they can search for us with those devices.\9998...\9999...\10,000...\I'm so hungry...\Vegeta, and someone even more incredible than him, are up ahead... response:	All right!
context: that dot the vast surface of Namek.\lt's because they can search for us with those devices.\9998...\9999...\10,000...\I'm so hungry...\Vegeta, and someone even more incredible than him, are up ahead...\All right! response:	This is laughable! You want to tangle with us with a battle power of 1000!?
context: lt's because they can search for us with those devices.\9998...\9999...\10,000...\I'm so hungry...\Vegeta, and someone even more incredible than him, are up ahead...\All right!\This is laughable! You want to tangle with us with a battle power of 1000!? response:	Not true. Those three are just suppressing their Ki. Don't they even know that?
context: 9998...\9999...\10,000...\I'm so hungry...\Vegeta, and someone even more incredible than him, are up ahead...\All right!\This is laughable! You want to tangle with us with a battle power of 1000!?\Not true. Those three are just suppressing their Ki. Don't they even know that? response:	The Saiyans were surprised about that, too, huh?
context: 9999...\10,000...\I'm so hungry...\Vegeta, and someone even more incredible than him, are up ahead...\All right!\This is laughable! You want to tangle with us with a battle power of 1000!?\Not true. Those three are just suppressing their Ki. Don't they even know that?\The Saiyans were surprised about that, too, huh? response:	Get them!
context: 10,000...\I'm so hungry...\Vegeta, and someone even more incredible than him, are up ahead...\All right!\This is laughable! You want to tangle with us with a battle power of 1000!?\Not true. Those three are just suppressing their Ki. Don't they even know that?\The Saiyans were surprised about that, too, huh?\Get them! response:	What is this? You call that a battle power of 1000?
context: I'm so hungry...\Vegeta, and someone even more incredible than him, are up ahead...\All right!\This is laughable! You want to tangle with us with a battle power of 1000!?\Not true. Those three are just suppressing their Ki. Don't they even know that?\The Saiyans were surprised about that, too, huh?\Get them!\What is this? You call that a battle power of 1000? response:	What's going on here? All three of them have increased to 3000.
context: Vegeta, and someone even more incredible than him, are up ahead...\All right!\This is laughable! You want to tangle with us with a battle power of 1000!?\Not true. Those three are just suppressing their Ki. Don't they even know that?\The Saiyans were surprised about that, too, huh?\Get them!\What is this? You call that a battle power of 1000?\What's going on here? All three of them have increased to 3000. response:	Way to go! Awesome!
context: All right!\This is laughable! You want to tangle with us with a battle power of 1000!?\Not true. Those three are just suppressing their Ki. Don't they even know that?\The Saiyans were surprised about that, too, huh?\Get them!\What is this? You call that a battle power of 1000?\What's going on here? All three of them have increased to 3000.\Way to go! Awesome! response:	Hang in there!
context: This is laughable! You want to tangle with us with a battle power of 1000!?\Not true. Those three are just suppressing their Ki. Don't they even know that?\The Saiyans were surprised about that, too, huh?\Get them!\What is this? You call that a battle power of 1000?\What's going on here? All three of them have increased to 3000.\Way to go! Awesome!\Hang in there! response:	Oh, my, they fight pretty well, do they not?
context: Not true. Those three are just suppressing their Ki. Don't they even know that?\The Saiyans were surprised about that, too, huh?\Get them!\What is this? You call that a battle power of 1000?\What's going on here? All three of them have increased to 3000.\Way to go! Awesome!\Hang in there!\Oh, my, they fight pretty well, do they not? response:	I've got it. The Namekians are a race that can control their battle powers.
context: The Saiyans were surprised about that, too, huh?\Get them!\What is this? You call that a battle power of 1000?\What's going on here? All three of them have increased to 3000.\Way to go! Awesome!\Hang in there!\Oh, my, they fight pretty well, do they not?\I've got it. The Namekians are a race that can control their battle powers. response:	That's not a type you see very often.
context: Get them!\What is this? You call that a battle power of 1000?\What's going on here? All three of them have increased to 3000.\Way to go! Awesome!\Hang in there!\Oh, my, they fight pretty well, do they not?\I've got it. The Namekians are a race that can control their battle powers.\That's not a type you see very often. response:	Way to go! Hang in there! Go on! Go on! Let them have it!
context: What is this? You call that a battle power of 1000?\What's going on here? All three of them have increased to 3000.\Way to go! Awesome!\Hang in there!\Oh, my, they fight pretty well, do they not?\I've got it. The Namekians are a race that can control their battle powers.\That's not a type you see very often.\Way to go! Hang in there! Go on! Go on! Let them have it! response:	All right, including his, there are only three devices that have not been destroyed.
context: What's going on here? All three of them have increased to 3000.\Way to go! Awesome!\Hang in there!\Oh, my, they fight pretty well, do they not?\I've got it. The Namekians are a race that can control their battle powers.\That's not a type you see very often.\Way to go! Hang in there! Go on! Go on! Let them have it!\All right, including his, there are only three devices that have not been destroyed. response:	Children, stand back from me.
context: Way to go! Awesome!\Hang in there!\Oh, my, they fight pretty well, do they not?\I've got it. The Namekians are a race that can control their battle powers.\That's not a type you see very often.\Way to go! Hang in there! Go on! Go on! Let them have it!\All right, including his, there are only three devices that have not been destroyed.\Children, stand back from me. response:	Quickly!
context: Hang in there!\Oh, my, they fight pretty well, do they not?\I've got it. The Namekians are a race that can control their battle powers.\That's not a type you see very often.\Way to go! Hang in there! Go on! Go on! Let them have it!\All right, including his, there are only three devices that have not been destroyed.\Children, stand back from me.\Quickly! response:	Dodoria- san...
context: Oh, my, they fight pretty well, do they not?\I've got it. The Namekians are a race that can control their battle powers.\That's not a type you see very often.\Way to go! Hang in there! Go on! Go on! Let them have it!\All right, including his, there are only three devices that have not been destroyed.\Children, stand back from me.\Quickly!\Dodoria- san... response:	Yes, sir.
context: I've got it. The Namekians are a race that can control their battle powers.\That's not a type you see very often.\Way to go! Hang in there! Go on! Go on! Let them have it!\All right, including his, there are only three devices that have not been destroyed.\Children, stand back from me.\Quickly!\Dodoria- san...\Yes, sir. response:	Those guys are pathetic.
context: That's not a type you see very often.\Way to go! Hang in there! Go on! Go on! Let them have it!\All right, including his, there are only three devices that have not been destroyed.\Children, stand back from me.\Quickly!\Dodoria- san...\Yes, sir.\Those guys are pathetic. response:	Now I have to be put out.
context: Way to go! Hang in there! Go on! Go on! Let them have it!\All right, including his, there are only three devices that have not been destroyed.\Children, stand back from me.\Quickly!\Dodoria- san...\Yes, sir.\Those guys are pathetic.\Now I have to be put out. response:	May I take care of all three of them?
context: All right, including his, there are only three devices that have not been destroyed.\Children, stand back from me.\Quickly!\Dodoria- san...\Yes, sir.\Those guys are pathetic.\Now I have to be put out.\May I take care of all three of them? response:	Feel free.
context: Children, stand back from me.\Quickly!\Dodoria- san...\Yes, sir.\Those guys are pathetic.\Now I have to be put out.\May I take care of all three of them?\Feel free. response:	Y- you bastard, you think you can defeat me with such a puny technique?
context: Quickly!\Dodoria- san...\Yes, sir.\Those guys are pathetic.\Now I have to be put out.\May I take care of all three of them?\Feel free.\Y- you bastard, you think you can defeat me with such a puny technique? response:	Elder!
context: Dodoria- san...\Yes, sir.\Those guys are pathetic.\Now I have to be put out.\May I take care of all three of them?\Feel free.\Y- you bastard, you think you can defeat me with such a puny technique?\Elder! response:	No! He was targeting the Scouters!
context: Yes, sir.\Those guys are pathetic.\Now I have to be put out.\May I take care of all three of them?\Feel free.\Y- you bastard, you think you can defeat me with such a puny technique?\Elder!\No! He was targeting the Scouters! response:	Scouters?
context: Those guys are pathetic.\Now I have to be put out.\May I take care of all three of them?\Feel free.\Y- you bastard, you think you can defeat me with such a puny technique?\Elder!\No! He was targeting the Scouters!\Scouters? response:	Those devices that can tell your opponent's strength and location!
context: Now I have to be put out.\May I take care of all three of them?\Feel free.\Y- you bastard, you think you can defeat me with such a puny technique?\Elder!\No! He was targeting the Scouters!\Scouters?\Those devices that can tell your opponent's strength and location! response:	So that's it! Then they can't tell precisely where the Dragon Balls are, after all!
context: May I take care of all three of them?\Feel free.\Y- you bastard, you think you can defeat me with such a puny technique?\Elder!\No! He was targeting the Scouters!\Scouters?\Those devices that can tell your opponent's strength and location!\So that's it! Then they can't tell precisely where the Dragon Balls are, after all! response:	Using those Scouter things, they just searched out Namekians,
context: Feel free.\Y- you bastard, you think you can defeat me with such a puny technique?\Elder!\No! He was targeting the Scouters!\Scouters?\Those devices that can tell your opponent's strength and location!\So that's it! Then they can't tell precisely where the Dragon Balls are, after all!\Using those Scouter things, they just searched out Namekians, response:	then forced them out of them!
context: Y- you bastard, you think you can defeat me with such a puny technique?\Elder!\No! He was targeting the Scouters!\Scouters?\Those devices that can tell your opponent's strength and location!\So that's it! Then they can't tell precisely where the Dragon Balls are, after all!\Using those Scouter things, they just searched out Namekians,\then forced them out of them! response:	That old man knew that, so that's why he destroyed all of their Scouters!
context: Elder!\No! He was targeting the Scouters!\Scouters?\Those devices that can tell your opponent's strength and location!\So that's it! Then they can't tell precisely where the Dragon Balls are, after all!\Using those Scouter things, they just searched out Namekians,\then forced them out of them!\That old man knew that, so that's why he destroyed all of their Scouters! response:	Why, you-!
context: No! He was targeting the Scouters!\Scouters?\Those devices that can tell your opponent's strength and location!\So that's it! Then they can't tell precisely where the Dragon Balls are, after all!\Using those Scouter things, they just searched out Namekians,\then forced them out of them!\That old man knew that, so that's why he destroyed all of their Scouters!\Why, you-! response:	I- I'll kill you all...
context: Scouters?\Those devices that can tell your opponent's strength and location!\So that's it! Then they can't tell precisely where the Dragon Balls are, after all!\Using those Scouter things, they just searched out Namekians,\then forced them out of them!\That old man knew that, so that's why he destroyed all of their Scouters!\Why, you-!\I- I'll kill you all... response:	I'll kill you all!!
context: Those devices that can tell your opponent's strength and location!\So that's it! Then they can't tell precisely where the Dragon Balls are, after all!\Using those Scouter things, they just searched out Namekians,\then forced them out of them!\That old man knew that, so that's why he destroyed all of their Scouters!\Why, you-!\I- I'll kill you all...\I'll kill you all!! response:	I'll kill each and every one of you!
context: So that's it! Then they can't tell precisely where the Dragon Balls are, after all!\Using those Scouter things, they just searched out Namekians,\then forced them out of them!\That old man knew that, so that's why he destroyed all of their Scouters!\Why, you-!\I- I'll kill you all...\I'll kill you all!!\I'll kill each and every one of you! response:	Elder! Look out!
context: Using those Scouter things, they just searched out Namekians,\then forced them out of them!\That old man knew that, so that's why he destroyed all of their Scouters!\Why, you-!\I- I'll kill you all...\I'll kill you all!!\I'll kill each and every one of you!\Elder! Look out! response:	The Elder had made a quick-witted attack. However, it has set the enemy's fury ablaze.
context: then forced them out of them!\That old man knew that, so that's why he destroyed all of their Scouters!\Why, you-!\I- I'll kill you all...\I'll kill you all!!\I'll kill each and every one of you!\Elder! Look out!\The Elder had made a quick-witted attack. However, it has set the enemy's fury ablaze. response:	Can Gohan and Kuririn do nothing but watch on?
