context: These two chicks sure are charming response:	I'm I hallucinating?
context: It reminds me of an ancient poem\I look up\The moon is in the sky\How many dreams?\Are floating in freedom\Dahm it,\I can't beat her in hand to hand combat\So unfaithful! They left already! response:	I've already predicted the ending
context: I look up\The moon is in the sky\How many dreams?\Are floating in freedom\Dahm it,\I can't beat her in hand to hand combat\So unfaithful! They left already!\I've already predicted the ending response:	A night-watcher's Familiars are terrified of Spirits
context: The moon is in the sky\How many dreams?\Are floating in freedom\Dahm it,\I can't beat her in hand to hand combat\So unfaithful! They left already!\I've already predicted the ending\A night-watcher's Familiars are terrified of Spirits response:	He can't fight back
context: How many dreams?\Are floating in freedom\Dahm it,\I can't beat her in hand to hand combat\So unfaithful! They left already!\I've already predicted the ending\A night-watcher's Familiars are terrified of Spirits\He can't fight back response:	The night-watcher has no chance
context: Are floating in freedom\Dahm it,\I can't beat her in hand to hand combat\So unfaithful! They left already!\I've already predicted the ending\A night-watcher's Familiars are terrified of Spirits\He can't fight back\The night-watcher has no chance response:	I have no choice
context: Dahm it,\I can't beat her in hand to hand combat\So unfaithful! They left already!\I've already predicted the ending\A night-watcher's Familiars are terrified of Spirits\He can't fight back\The night-watcher has no chance\I have no choice response:	Chaos Beast!
context: I can't beat her in hand to hand combat\So unfaithful! They left already!\I've already predicted the ending\A night-watcher's Familiars are terrified of Spirits\He can't fight back\The night-watcher has no chance\I have no choice\Chaos Beast! response:	Headmaster,
context: So unfaithful! They left already!\I've already predicted the ending\A night-watcher's Familiars are terrified of Spirits\He can't fight back\The night-watcher has no chance\I have no choice\Chaos Beast!\Headmaster, response:	I think the stray spirit is the one in trouble
context: I've already predicted the ending\A night-watcher's Familiars are terrified of Spirits\He can't fight back\The night-watcher has no chance\I have no choice\Chaos Beast!\Headmaster,\I think the stray spirit is the one in trouble response:	Actually, I already predicted that the Protectors strength is much higher than the Spirit
context: A night-watcher's Familiars are terrified of Spirits\He can't fight back\The night-watcher has no chance\I have no choice\Chaos Beast!\Headmaster,\I think the stray spirit is the one in trouble\Actually, I already predicted that the Protectors strength is much higher than the Spirit response:	A poem goes
context: He can't fight back\The night-watcher has no chance\I have no choice\Chaos Beast!\Headmaster,\I think the stray spirit is the one in trouble\Actually, I already predicted that the Protectors strength is much higher than the Spirit\A poem goes response:	A big headed son, and a small headed father
context: The night-watcher has no chance\I have no choice\Chaos Beast!\Headmaster,\I think the stray spirit is the one in trouble\Actually, I already predicted that the Protectors strength is much higher than the Spirit\A poem goes\A big headed son, and a small headed father response:	No matter how big the son's head is
context: I have no choice\Chaos Beast!\Headmaster,\I think the stray spirit is the one in trouble\Actually, I already predicted that the Protectors strength is much higher than the Spirit\A poem goes\A big headed son, and a small headed father\No matter how big the son's head is response:	He still can't beat his father
context: Chaos Beast!\Headmaster,\I think the stray spirit is the one in trouble\Actually, I already predicted that the Protectors strength is much higher than the Spirit\A poem goes\A big headed son, and a small headed father\No matter how big the son's head is\He still can't beat his father response:	Million Spells!
context: Headmaster,\I think the stray spirit is the one in trouble\Actually, I already predicted that the Protectors strength is much higher than the Spirit\A poem goes\A big headed son, and a small headed father\No matter how big the son's head is\He still can't beat his father\Million Spells! response:	Headmaster,
context: I think the stray spirit is the one in trouble\Actually, I already predicted that the Protectors strength is much higher than the Spirit\A poem goes\A big headed son, and a small headed father\No matter how big the son's head is\He still can't beat his father\Million Spells!\Headmaster, response:	It looks like...
context: Actually, I already predicted that the Protectors strength is much higher than the Spirit\A poem goes\A big headed son, and a small headed father\No matter how big the son's head is\He still can't beat his father\Million Spells!\Headmaster,\It looks like... response:	Shut it!
context: A poem goes\A big headed son, and a small headed father\No matter how big the son's head is\He still can't beat his father\Million Spells!\Headmaster,\It looks like...\Shut it! response:	Spell Blast!
context: A big headed son, and a small headed father\No matter how big the son's head is\He still can't beat his father\Million Spells!\Headmaster,\It looks like...\Shut it!\Spell Blast! response:	Demon Flags!
context: No matter how big the son's head is\He still can't beat his father\Million Spells!\Headmaster,\It looks like...\Shut it!\Spell Blast!\Demon Flags! response:	Hit!
context: He still can't beat his father\Million Spells!\Headmaster,\It looks like...\Shut it!\Spell Blast!\Demon Flags!\Hit! response:	Open!
context: Million Spells!\Headmaster,\It looks like...\Shut it!\Spell Blast!\Demon Flags!\Hit!\Open! response:	Close!
context: Headmaster,\It looks like...\Shut it!\Spell Blast!\Demon Flags!\Hit!\Open!\Close! response:	Don't think of escaping
context: It looks like...\Shut it!\Spell Blast!\Demon Flags!\Hit!\Open!\Close!\Don't think of escaping response:	Chaos Beast! After her!
context: Shut it!\Spell Blast!\Demon Flags!\Hit!\Open!\Close!\Don't think of escaping\Chaos Beast! After her! response:	Look at these young people fighting
context: Spell Blast!\Demon Flags!\Hit!\Open!\Close!\Don't think of escaping\Chaos Beast! After her!\Look at these young people fighting response:	It reminds me of the time when I was in the heart of my youth
context: Demon Flags!\Hit!\Open!\Close!\Don't think of escaping\Chaos Beast! After her!\Look at these young people fighting\It reminds me of the time when I was in the heart of my youth response:	Another poem wells up from my heart
context: Hit!\Open!\Close!\Don't think of escaping\Chaos Beast! After her!\Look at these young people fighting\It reminds me of the time when I was in the heart of my youth\Another poem wells up from my heart response:	Headmaster,
context: Open!\Close!\Don't think of escaping\Chaos Beast! After her!\Look at these young people fighting\It reminds me of the time when I was in the heart of my youth\Another poem wells up from my heart\Headmaster, response:	Bed...
context: Close!\Don't think of escaping\Chaos Beast! After her!\Look at these young people fighting\It reminds me of the time when I was in the heart of my youth\Another poem wells up from my heart\Headmaster,\Bed... response:	Headmaster,
context: Don't think of escaping\Chaos Beast! After her!\Look at these young people fighting\It reminds me of the time when I was in the heart of my youth\Another poem wells up from my heart\Headmaster,\Bed...\Headmaster, response:	What is it now!
context: Chaos Beast! After her!\Look at these young people fighting\It reminds me of the time when I was in the heart of my youth\Another poem wells up from my heart\Headmaster,\Bed...\Headmaster,\What is it now! response:	If this continues, the school will be finished
context: Look at these young people fighting\It reminds me of the time when I was in the heart of my youth\Another poem wells up from my heart\Headmaster,\Bed...\Headmaster,\What is it now!\If this continues, the school will be finished response:	They're destroying our school grounds
context: It reminds me of the time when I was in the heart of my youth\Another poem wells up from my heart\Headmaster,\Bed...\Headmaster,\What is it now!\If this continues, the school will be finished\They're destroying our school grounds response:	How about I go to stop them
context: Another poem wells up from my heart\Headmaster,\Bed...\Headmaster,\What is it now!\If this continues, the school will be finished\They're destroying our school grounds\How about I go to stop them response:	Leave it to me
context: Headmaster,\Bed...\Headmaster,\What is it now!\If this continues, the school will be finished\They're destroying our school grounds\How about I go to stop them\Leave it to me response:	I haven't exorcised for a while
context: Bed...\Headmaster,\What is it now!\If this continues, the school will be finished\They're destroying our school grounds\How about I go to stop them\Leave it to me\I haven't exorcised for a while response:	Headmaster! If this goes on, the school...
context: Headmaster,\What is it now!\If this continues, the school will be finished\They're destroying our school grounds\How about I go to stop them\Leave it to me\I haven't exorcised for a while\Headmaster! If this goes on, the school... response:	Children
context: What is it now!\If this continues, the school will be finished\They're destroying our school grounds\How about I go to stop them\Leave it to me\I haven't exorcised for a while\Headmaster! If this goes on, the school...\Children response:	Stop fighting
context: If this continues, the school will be finished\They're destroying our school grounds\How about I go to stop them\Leave it to me\I haven't exorcised for a while\Headmaster! If this goes on, the school...\Children\Stop fighting response:	Listen to your elder
context: They're destroying our school grounds\How about I go to stop them\Leave it to me\I haven't exorcised for a while\Headmaster! If this goes on, the school...\Children\Stop fighting\Listen to your elder response:	Poems are like clouds
context: How about I go to stop them\Leave it to me\I haven't exorcised for a while\Headmaster! If this goes on, the school...\Children\Stop fighting\Listen to your elder\Poems are like clouds response:	Who the hell are you?
context: Leave it to me\I haven't exorcised for a while\Headmaster! If this goes on, the school...\Children\Stop fighting\Listen to your elder\Poems are like clouds\Who the hell are you? response:	The headmaster has fallen!
context: I haven't exorcised for a while\Headmaster! If this goes on, the school...\Children\Stop fighting\Listen to your elder\Poems are like clouds\Who the hell are you?\The headmaster has fallen! response:	She started it
context: Headmaster! If this goes on, the school...\Children\Stop fighting\Listen to your elder\Poems are like clouds\Who the hell are you?\The headmaster has fallen!\She started it response:	He started it first
context: Children\Stop fighting\Listen to your elder\Poems are like clouds\Who the hell are you?\The headmaster has fallen!\She started it\He started it first response:	Why are you so annoying?
context: Stop fighting\Listen to your elder\Poems are like clouds\Who the hell are you?\The headmaster has fallen!\She started it\He started it first\Why are you so annoying? response:	Your the one that's pissing me off
context: Listen to your elder\Poems are like clouds\Who the hell are you?\The headmaster has fallen!\She started it\He started it first\Why are you so annoying?\Your the one that's pissing me off response:	So what?
context: Poems are like clouds\Who the hell are you?\The headmaster has fallen!\She started it\He started it first\Why are you so annoying?\Your the one that's pissing me off\So what? response:	Come at me!
context: Who the hell are you?\The headmaster has fallen!\She started it\He started it first\Why are you so annoying?\Your the one that's pissing me off\So what?\Come at me! response:	You think I'm scared?
context: The headmaster has fallen!\She started it\He started it first\Why are you so annoying?\Your the one that's pissing me off\So what?\Come at me!\You think I'm scared? response:	Our battle haven't been decided yet!
context: She started it\He started it first\Why are you so annoying?\Your the one that's pissing me off\So what?\Come at me!\You think I'm scared?\Our battle haven't been decided yet! response:	Enough!
context: He started it first\Why are you so annoying?\Your the one that's pissing me off\So what?\Come at me!\You think I'm scared?\Our battle haven't been decided yet!\Enough! response:	This is the student council
context: Why are you so annoying?\Your the one that's pissing me off\So what?\Come at me!\You think I'm scared?\Our battle haven't been decided yet!\Enough!\This is the student council response:	I think you already know what you've done
context: Your the one that's pissing me off\So what?\Come at me!\You think I'm scared?\Our battle haven't been decided yet!\Enough!\This is the student council\I think you already know what you've done response:	Assaulting the headmaster, destroying the school, and fighting in class
context: So what?\Come at me!\You think I'm scared?\Our battle haven't been decided yet!\Enough!\This is the student council\I think you already know what you've done\Assaulting the headmaster, destroying the school, and fighting in class response:	These events are plenty to expel you from the school
context: Come at me!\You think I'm scared?\Our battle haven't been decided yet!\Enough!\This is the student council\I think you already know what you've done\Assaulting the headmaster, destroying the school, and fighting in class\These events are plenty to expel you from the school response:	Listen up night-watcher Ye Yan
context: You think I'm scared?\Our battle haven't been decided yet!\Enough!\This is the student council\I think you already know what you've done\Assaulting the headmaster, destroying the school, and fighting in class\These events are plenty to expel you from the school\Listen up night-watcher Ye Yan response:	Pay attention, stray spirit, Huangxiao Ying
context: Our battle haven't been decided yet!\Enough!\This is the student council\I think you already know what you've done\Assaulting the headmaster, destroying the school, and fighting in class\These events are plenty to expel you from the school\Listen up night-watcher Ye Yan\Pay attention, stray spirit, Huangxiao Ying response:	The headmaster has given you an wonderful opportunity
context: Enough!\This is the student council\I think you already know what you've done\Assaulting the headmaster, destroying the school, and fighting in class\These events are plenty to expel you from the school\Listen up night-watcher Ye Yan\Pay attention, stray spirit, Huangxiao Ying\The headmaster has given you an wonderful opportunity response:	I have a task
context: This is the student council\I think you already know what you've done\Assaulting the headmaster, destroying the school, and fighting in class\These events are plenty to expel you from the school\Listen up night-watcher Ye Yan\Pay attention, stray spirit, Huangxiao Ying\The headmaster has given you an wonderful opportunity\I have a task response:	You must complete this together
context: I think you already know what you've done\Assaulting the headmaster, destroying the school, and fighting in class\These events are plenty to expel you from the school\Listen up night-watcher Ye Yan\Pay attention, stray spirit, Huangxiao Ying\The headmaster has given you an wonderful opportunity\I have a task\You must complete this together response:	Huh?
context: Assaulting the headmaster, destroying the school, and fighting in class\These events are plenty to expel you from the school\Listen up night-watcher Ye Yan\Pay attention, stray spirit, Huangxiao Ying\The headmaster has given you an wonderful opportunity\I have a task\You must complete this together\Huh? response:	A task for the both of us?
context: These events are plenty to expel you from the school\Listen up night-watcher Ye Yan\Pay attention, stray spirit, Huangxiao Ying\The headmaster has given you an wonderful opportunity\I have a task\You must complete this together\Huh?\A task for the both of us? response:	Where am I?
context: Listen up night-watcher Ye Yan\Pay attention, stray spirit, Huangxiao Ying\The headmaster has given you an wonderful opportunity\I have a task\You must complete this together\Huh?\A task for the both of us?\Where am I? response:	Sis,
context: Pay attention, stray spirit, Huangxiao Ying\The headmaster has given you an wonderful opportunity\I have a task\You must complete this together\Huh?\A task for the both of us?\Where am I?\Sis, response:	Let's get out of here
context: The headmaster has given you an wonderful opportunity\I have a task\You must complete this together\Huh?\A task for the both of us?\Where am I?\Sis,\Let's get out of here response:	Yes, yes
context: I have a task\You must complete this together\Huh?\A task for the both of us?\Where am I?\Sis,\Let's get out of here\Yes, yes response:	AHH!
context: You must complete this together\Huh?\A task for the both of us?\Where am I?\Sis,\Let's get out of here\Yes, yes\AHH! response:	Hey,
context: Huh?\A task for the both of us?\Where am I?\Sis,\Let's get out of here\Yes, yes\AHH!\Hey, response:	Beautiful ladies
context: A task for the both of us?\Where am I?\Sis,\Let's get out of here\Yes, yes\AHH!\Hey,\Beautiful ladies response:	Where do you think you're going?
