context: This is... Lord Wales'... response:	The letter has been taken,
context: Shut up!\Two dragons?!\Yes.\The first one disappeared in the solar eclipse,\and my great-grandfather was aboard the second dragon.\One disappeared from there,\and the other fell somewhere, they say.\Seriously? And what happened to that dragon? response:	Apparently, it is a family heirloom,
context: Two dragons?!\Yes.\The first one disappeared in the solar eclipse,\and my great-grandfather was aboard the second dragon.\One disappeared from there,\and the other fell somewhere, they say.\Seriously? And what happened to that dragon?\Apparently, it is a family heirloom, response:	and has been enshrined somewhere.
context: Yes.\The first one disappeared in the solar eclipse,\and my great-grandfather was aboard the second dragon.\One disappeared from there,\and the other fell somewhere, they say.\Seriously? And what happened to that dragon?\Apparently, it is a family heirloom,\and has been enshrined somewhere. response:	Though I've never seen it.
context: The first one disappeared in the solar eclipse,\and my great-grandfather was aboard the second dragon.\One disappeared from there,\and the other fell somewhere, they say.\Seriously? And what happened to that dragon?\Apparently, it is a family heirloom,\and has been enshrined somewhere.\Though I've never seen it. response:	Siesta!
context: and my great-grandfather was aboard the second dragon.\One disappeared from there,\and the other fell somewhere, they say.\Seriously? And what happened to that dragon?\Apparently, it is a family heirloom,\and has been enshrined somewhere.\Though I've never seen it.\Siesta! response:	Yes? Siesta!
context: One disappeared from there,\and the other fell somewhere, they say.\Seriously? And what happened to that dragon?\Apparently, it is a family heirloom,\and has been enshrined somewhere.\Though I've never seen it.\Siesta!\Yes? Siesta! response:	Yes?
context: and the other fell somewhere, they say.\Seriously? And what happened to that dragon?\Apparently, it is a family heirloom,\and has been enshrined somewhere.\Though I've never seen it.\Siesta!\Yes? Siesta!\Yes? response:	Yes? Can you take me to your village?
context: Seriously? And what happened to that dragon?\Apparently, it is a family heirloom,\and has been enshrined somewhere.\Though I've never seen it.\Siesta!\Yes? Siesta!\Yes?\Yes? Can you take me to your village? response:	Can you take me to your village?
context: Apparently, it is a family heirloom,\and has been enshrined somewhere.\Though I've never seen it.\Siesta!\Yes? Siesta!\Yes?\Yes? Can you take me to your village?\Can you take me to your village? response:	What?
context: and has been enshrined somewhere.\Though I've never seen it.\Siesta!\Yes? Siesta!\Yes?\Yes? Can you take me to your village?\Can you take me to your village?\What? response:	Did you hear that?
context: Though I've never seen it.\Siesta!\Yes? Siesta!\Yes?\Yes? Can you take me to your village?\Can you take me to your village?\What?\Did you hear that? response:	Yeah... A treasure...
context: Siesta!\Yes? Siesta!\Yes?\Yes? Can you take me to your village?\Can you take me to your village?\What?\Did you hear that?\Yeah... A treasure... response:	Tabitha, what do you think?
context: Yes? Siesta!\Yes?\Yes? Can you take me to your village?\Can you take me to your village?\What?\Did you hear that?\Yeah... A treasure...\Tabitha, what do you think? response:	Not interested.
context: Yes?\Yes? Can you take me to your village?\Can you take me to your village?\What?\Did you hear that?\Yeah... A treasure...\Tabitha, what do you think?\Not interested. response:	I'm super-interested!
context: Yes? Can you take me to your village?\Can you take me to your village?\What?\Did you hear that?\Yeah... A treasure...\Tabitha, what do you think?\Not interested.\I'm super-interested! response:	Back then, I hated it, but I couldn't help it...
context: Can you take me to your village?\What?\Did you hear that?\Yeah... A treasure...\Tabitha, what do you think?\Not interested.\I'm super-interested!\Back then, I hated it, but I couldn't help it... response:	Geez!
context: What?\Did you hear that?\Yeah... A treasure...\Tabitha, what do you think?\Not interested.\I'm super-interested!\Back then, I hated it, but I couldn't help it...\Geez! response:	Why can't I get it out of my mind?!
context: Did you hear that?\Yeah... A treasure...\Tabitha, what do you think?\Not interested.\I'm super-interested!\Back then, I hated it, but I couldn't help it...\Geez!\Why can't I get it out of my mind?! response:	I've said too much. I'm sorry...
context: Yeah... A treasure...\Tabitha, what do you think?\Not interested.\I'm super-interested!\Back then, I hated it, but I couldn't help it...\Geez!\Why can't I get it out of my mind?!\I've said too much. I'm sorry... response:	No, that doesn't sound dignified enough as a master.
context: Tabitha, what do you think?\Not interested.\I'm super-interested!\Back then, I hated it, but I couldn't help it...\Geez!\Why can't I get it out of my mind?!\I've said too much. I'm sorry...\No, that doesn't sound dignified enough as a master. response:	I'll forgive you. You should be thankful of it!
context: Not interested.\I'm super-interested!\Back then, I hated it, but I couldn't help it...\Geez!\Why can't I get it out of my mind?!\I've said too much. I'm sorry...\No, that doesn't sound dignified enough as a master.\I'll forgive you. You should be thankful of it! response:	Maybe a bit too harsh?
context: I'm super-interested!\Back then, I hated it, but I couldn't help it...\Geez!\Why can't I get it out of my mind?!\I've said too much. I'm sorry...\No, that doesn't sound dignified enough as a master.\I'll forgive you. You should be thankful of it!\Maybe a bit too harsh? response:	Where did he go?
context: Back then, I hated it, but I couldn't help it...\Geez!\Why can't I get it out of my mind?!\I've said too much. I'm sorry...\No, that doesn't sound dignified enough as a master.\I'll forgive you. You should be thankful of it!\Maybe a bit too harsh?\Where did he go? response:	Someone's trying to apologize here...
context: Geez!\Why can't I get it out of my mind?!\I've said too much. I'm sorry...\No, that doesn't sound dignified enough as a master.\I'll forgive you. You should be thankful of it!\Maybe a bit too harsh?\Where did he go?\Someone's trying to apologize here... response:	Siesta?
context: Why can't I get it out of my mind?!\I've said too much. I'm sorry...\No, that doesn't sound dignified enough as a master.\I'll forgive you. You should be thankful of it!\Maybe a bit too harsh?\Where did he go?\Someone's trying to apologize here...\Siesta? response:	She just left, saying she was going to see her folks back home.
context: I've said too much. I'm sorry...\No, that doesn't sound dignified enough as a master.\I'll forgive you. You should be thankful of it!\Maybe a bit too harsh?\Where did he go?\Someone's trying to apologize here...\Siesta?\She just left, saying she was going to see her folks back home. response:	Going home?
context: No, that doesn't sound dignified enough as a master.\I'll forgive you. You should be thankful of it!\Maybe a bit too harsh?\Where did he go?\Someone's trying to apologize here...\Siesta?\She just left, saying she was going to see her folks back home.\Going home? response:	Yeah. To the village of Talb. Anything wrong with Siesta?
context: I'll forgive you. You should be thankful of it!\Maybe a bit too harsh?\Where did he go?\Someone's trying to apologize here...\Siesta?\She just left, saying she was going to see her folks back home.\Going home?\Yeah. To the village of Talb. Anything wrong with Siesta? response:	No, nothing. Thank you.
context: Maybe a bit too harsh?\Where did he go?\Someone's trying to apologize here...\Siesta?\She just left, saying she was going to see her folks back home.\Going home?\Yeah. To the village of Talb. Anything wrong with Siesta?\No, nothing. Thank you. response:	Siesta's home, is it?!
context: Where did he go?\Someone's trying to apologize here...\Siesta?\She just left, saying she was going to see her folks back home.\Going home?\Yeah. To the village of Talb. Anything wrong with Siesta?\No, nothing. Thank you.\Siesta's home, is it?! response:	That dog is always in heat!
context: Someone's trying to apologize here...\Siesta?\She just left, saying she was going to see her folks back home.\Going home?\Yeah. To the village of Talb. Anything wrong with Siesta?\No, nothing. Thank you.\Siesta's home, is it?!\That dog is always in heat! response:	He kissed me, yet... Kissed me, yet...
context: Siesta?\She just left, saying she was going to see her folks back home.\Going home?\Yeah. To the village of Talb. Anything wrong with Siesta?\No, nothing. Thank you.\Siesta's home, is it?!\That dog is always in heat!\He kissed me, yet... Kissed me, yet... response:	Kissed me, yet... Kissed me, yet...
context: She just left, saying she was going to see her folks back home.\Going home?\Yeah. To the village of Talb. Anything wrong with Siesta?\No, nothing. Thank you.\Siesta's home, is it?!\That dog is always in heat!\He kissed me, yet... Kissed me, yet...\Kissed me, yet... Kissed me, yet... response:	He kissed me, yet...
context: Going home?\Yeah. To the village of Talb. Anything wrong with Siesta?\No, nothing. Thank you.\Siesta's home, is it?!\That dog is always in heat!\He kissed me, yet... Kissed me, yet...\Kissed me, yet... Kissed me, yet...\He kissed me, yet... response:	The village of Talb?
context: Yeah. To the village of Talb. Anything wrong with Siesta?\No, nothing. Thank you.\Siesta's home, is it?!\That dog is always in heat!\He kissed me, yet... Kissed me, yet...\Kissed me, yet... Kissed me, yet...\He kissed me, yet...\The village of Talb? response:	I've heard of it somewhere.
context: No, nothing. Thank you.\Siesta's home, is it?!\That dog is always in heat!\He kissed me, yet... Kissed me, yet...\Kissed me, yet... Kissed me, yet...\He kissed me, yet...\The village of Talb?\I've heard of it somewhere. response:	It's just a little more.
context: Siesta's home, is it?!\That dog is always in heat!\He kissed me, yet... Kissed me, yet...\Kissed me, yet... Kissed me, yet...\He kissed me, yet...\The village of Talb?\I've heard of it somewhere.\It's just a little more. response:	It's really nice here.
context: That dog is always in heat!\He kissed me, yet... Kissed me, yet...\Kissed me, yet... Kissed me, yet...\He kissed me, yet...\The village of Talb?\I've heard of it somewhere.\It's just a little more.\It's really nice here. response:	Um, is it all right?
context: He kissed me, yet... Kissed me, yet...\Kissed me, yet... Kissed me, yet...\He kissed me, yet...\The village of Talb?\I've heard of it somewhere.\It's just a little more.\It's really nice here.\Um, is it all right? response:	What is?
context: Kissed me, yet... Kissed me, yet...\He kissed me, yet...\The village of Talb?\I've heard of it somewhere.\It's just a little more.\It's really nice here.\Um, is it all right?\What is? response:	Coming out here without permission from Miss Valliere...
context: He kissed me, yet...\The village of Talb?\I've heard of it somewhere.\It's just a little more.\It's really nice here.\Um, is it all right?\What is?\Coming out here without permission from Miss Valliere... response:	It's all right.
context: The village of Talb?\I've heard of it somewhere.\It's just a little more.\It's really nice here.\Um, is it all right?\What is?\Coming out here without permission from Miss Valliere...\It's all right. response:	Mr. Saito...
context: I've heard of it somewhere.\It's just a little more.\It's really nice here.\Um, is it all right?\What is?\Coming out here without permission from Miss Valliere...\It's all right.\Mr. Saito... response:	I'll wait here.
context: It's just a little more.\It's really nice here.\Um, is it all right?\What is?\Coming out here without permission from Miss Valliere...\It's all right.\Mr. Saito...\I'll wait here. response:	Here? Please come to our house.
context: It's really nice here.\Um, is it all right?\What is?\Coming out here without permission from Miss Valliere...\It's all right.\Mr. Saito...\I'll wait here.\Here? Please come to our house. response:	I'd like to properly introduce you to everyone in the family.
context: Um, is it all right?\What is?\Coming out here without permission from Miss Valliere...\It's all right.\Mr. Saito...\I'll wait here.\Here? Please come to our house.\I'd like to properly introduce you to everyone in the family. response:	Properly...
context: What is?\Coming out here without permission from Miss Valliere...\It's all right.\Mr. Saito...\I'll wait here.\Here? Please come to our house.\I'd like to properly introduce you to everyone in the family.\Properly... response:	Come on, wouldn't that cause a misunderstanding?
context: Coming out here without permission from Miss Valliere...\It's all right.\Mr. Saito...\I'll wait here.\Here? Please come to our house.\I'd like to properly introduce you to everyone in the family.\Properly...\Come on, wouldn't that cause a misunderstanding? response:	I see.
context: It's all right.\Mr. Saito...\I'll wait here.\Here? Please come to our house.\I'd like to properly introduce you to everyone in the family.\Properly...\Come on, wouldn't that cause a misunderstanding?\I see. response:	Oh, well, um... If you get that depressed...
context: Mr. Saito...\I'll wait here.\Here? Please come to our house.\I'd like to properly introduce you to everyone in the family.\Properly...\Come on, wouldn't that cause a misunderstanding?\I see.\Oh, well, um... If you get that depressed... response:	I'm sorry.
context: I'll wait here.\Here? Please come to our house.\I'd like to properly introduce you to everyone in the family.\Properly...\Come on, wouldn't that cause a misunderstanding?\I see.\Oh, well, um... If you get that depressed...\I'm sorry. response:	This is important to you, isn't it, Mr. Saito?
context: Here? Please come to our house.\I'd like to properly introduce you to everyone in the family.\Properly...\Come on, wouldn't that cause a misunderstanding?\I see.\Oh, well, um... If you get that depressed...\I'm sorry.\This is important to you, isn't it, Mr. Saito? response:	Then I'll look up the location of the treasure, and be right back.
context: I'd like to properly introduce you to everyone in the family.\Properly...\Come on, wouldn't that cause a misunderstanding?\I see.\Oh, well, um... If you get that depressed...\I'm sorry.\This is important to you, isn't it, Mr. Saito?\Then I'll look up the location of the treasure, and be right back. response:	Thanks. Sorry to be a bother, Siesta.
context: Properly...\Come on, wouldn't that cause a misunderstanding?\I see.\Oh, well, um... If you get that depressed...\I'm sorry.\This is important to you, isn't it, Mr. Saito?\Then I'll look up the location of the treasure, and be right back.\Thanks. Sorry to be a bother, Siesta. response:	It's all right.
context: Come on, wouldn't that cause a misunderstanding?\I see.\Oh, well, um... If you get that depressed...\I'm sorry.\This is important to you, isn't it, Mr. Saito?\Then I'll look up the location of the treasure, and be right back.\Thanks. Sorry to be a bother, Siesta.\It's all right. response:	She's such a good girl.
context: I see.\Oh, well, um... If you get that depressed...\I'm sorry.\This is important to you, isn't it, Mr. Saito?\Then I'll look up the location of the treasure, and be right back.\Thanks. Sorry to be a bother, Siesta.\It's all right.\She's such a good girl. response:	Yeah,
context: Oh, well, um... If you get that depressed...\I'm sorry.\This is important to you, isn't it, Mr. Saito?\Then I'll look up the location of the treasure, and be right back.\Thanks. Sorry to be a bother, Siesta.\It's all right.\She's such a good girl.\Yeah, response:	much more than that selfish girl that has nothing but pride.
context: I'm sorry.\This is important to you, isn't it, Mr. Saito?\Then I'll look up the location of the treasure, and be right back.\Thanks. Sorry to be a bother, Siesta.\It's all right.\She's such a good girl.\Yeah,\much more than that selfish girl that has nothing but pride. response:	But your real feelings are over there, after all?
context: This is important to you, isn't it, Mr. Saito?\Then I'll look up the location of the treasure, and be right back.\Thanks. Sorry to be a bother, Siesta.\It's all right.\She's such a good girl.\Yeah,\much more than that selfish girl that has nothing but pride.\But your real feelings are over there, after all? response:	Of course not! You stay quiet!
context: Then I'll look up the location of the treasure, and be right back.\Thanks. Sorry to be a bother, Siesta.\It's all right.\She's such a good girl.\Yeah,\much more than that selfish girl that has nothing but pride.\But your real feelings are over there, after all?\Of course not! You stay quiet! response:	The village of Talb is right up ahead!
context: Thanks. Sorry to be a bother, Siesta.\It's all right.\She's such a good girl.\Yeah,\much more than that selfish girl that has nothing but pride.\But your real feelings are over there, after all?\Of course not! You stay quiet!\The village of Talb is right up ahead! response:	I secretly brought out what was hidden in the back of the shed.
context: It's all right.\She's such a good girl.\Yeah,\much more than that selfish girl that has nothing but pride.\But your real feelings are over there, after all?\Of course not! You stay quiet!\The village of Talb is right up ahead!\I secretly brought out what was hidden in the back of the shed. response:	Is the dragon here?
context: She's such a good girl.\Yeah,\much more than that selfish girl that has nothing but pride.\But your real feelings are over there, after all?\Of course not! You stay quiet!\The village of Talb is right up ahead!\I secretly brought out what was hidden in the back of the shed.\Is the dragon here? response:	Apparently, the correct name for it is the Robe of the Dragon.
context: Yeah,\much more than that selfish girl that has nothing but pride.\But your real feelings are over there, after all?\Of course not! You stay quiet!\The village of Talb is right up ahead!\I secretly brought out what was hidden in the back of the shed.\Is the dragon here?\Apparently, the correct name for it is the Robe of the Dragon. response:	Robe?
context: much more than that selfish girl that has nothing but pride.\But your real feelings are over there, after all?\Of course not! You stay quiet!\The village of Talb is right up ahead!\I secretly brought out what was hidden in the back of the shed.\Is the dragon here?\Apparently, the correct name for it is the Robe of the Dragon.\Robe? response:	Yes.
context: But your real feelings are over there, after all?\Of course not! You stay quiet!\The village of Talb is right up ahead!\I secretly brought out what was hidden in the back of the shed.\Is the dragon here?\Apparently, the correct name for it is the Robe of the Dragon.\Robe?\Yes. response:	I heard that my great-grandfather flew from another world using it.
context: Of course not! You stay quiet!\The village of Talb is right up ahead!\I secretly brought out what was hidden in the back of the shed.\Is the dragon here?\Apparently, the correct name for it is the Robe of the Dragon.\Robe?\Yes.\I heard that my great-grandfather flew from another world using it. response:	Using?
context: The village of Talb is right up ahead!\I secretly brought out what was hidden in the back of the shed.\Is the dragon here?\Apparently, the correct name for it is the Robe of the Dragon.\Robe?\Yes.\I heard that my great-grandfather flew from another world using it.\Using? response:	There they are.
context: I secretly brought out what was hidden in the back of the shed.\Is the dragon here?\Apparently, the correct name for it is the Robe of the Dragon.\Robe?\Yes.\I heard that my great-grandfather flew from another world using it.\Using?\There they are. response:	Kirche?
context: Is the dragon here?\Apparently, the correct name for it is the Robe of the Dragon.\Robe?\Yes.\I heard that my great-grandfather flew from another world using it.\Using?\There they are.\Kirche? response:	Mole?
context: Apparently, the correct name for it is the Robe of the Dragon.\Robe?\Yes.\I heard that my great-grandfather flew from another world using it.\Using?\There they are.\Kirche?\Mole? response:	That means...
context: Robe?\Yes.\I heard that my great-grandfather flew from another world using it.\Using?\There they are.\Kirche?\Mole?\That means... response:	Hey.
context: Yes.\I heard that my great-grandfather flew from another world using it.\Using?\There they are.\Kirche?\Mole?\That means...\Hey. response:	You guys... Why... Hey.
context: I heard that my great-grandfather flew from another world using it.\Using?\There they are.\Kirche?\Mole?\That means...\Hey.\You guys... Why... Hey. response:	You guys... Why...
context: Using?\There they are.\Kirche?\Mole?\That means...\Hey.\You guys... Why... Hey.\You guys... Why... response:	Or rather, what for?
context: There they are.\Kirche?\Mole?\That means...\Hey.\You guys... Why... Hey.\You guys... Why...\Or rather, what for? response:	Of course, it's to look for the treasure!
context: Kirche?\Mole?\That means...\Hey.\You guys... Why... Hey.\You guys... Why...\Or rather, what for?\Of course, it's to look for the treasure! response:	What?!
context: Mole?\That means...\Hey.\You guys... Why... Hey.\You guys... Why...\Or rather, what for?\Of course, it's to look for the treasure!\What?! response:	It's this cave?
context: That means...\Hey.\You guys... Why... Hey.\You guys... Why...\Or rather, what for?\Of course, it's to look for the treasure!\What?!\It's this cave? response:	I'm so excited!
context: Hey.\You guys... Why... Hey.\You guys... Why...\Or rather, what for?\Of course, it's to look for the treasure!\What?!\It's this cave?\I'm so excited! response:	You know, I'm not playing around here.
context: You guys... Why... Hey.\You guys... Why...\Or rather, what for?\Of course, it's to look for the treasure!\What?!\It's this cave?\I'm so excited!\You know, I'm not playing around here. response:	Neither am I.
context: You guys... Why...\Or rather, what for?\Of course, it's to look for the treasure!\What?!\It's this cave?\I'm so excited!\You know, I'm not playing around here.\Neither am I. response:	I have the fine objective of finding a hidden treasure,
context: Or rather, what for?\Of course, it's to look for the treasure!\What?!\It's this cave?\I'm so excited!\You know, I'm not playing around here.\Neither am I.\I have the fine objective of finding a hidden treasure, response:	so that Montmorency will get a better opinion of me!
context: Of course, it's to look for the treasure!\What?!\It's this cave?\I'm so excited!\You know, I'm not playing around here.\Neither am I.\I have the fine objective of finding a hidden treasure,\so that Montmorency will get a better opinion of me! response:	What a grand objective!
context: What?!\It's this cave?\I'm so excited!\You know, I'm not playing around here.\Neither am I.\I have the fine objective of finding a hidden treasure,\so that Montmorency will get a better opinion of me!\What a grand objective! response:	I'm so looking forward to this. I couldn't do much back in Albion.
context: It's this cave?\I'm so excited!\You know, I'm not playing around here.\Neither am I.\I have the fine objective of finding a hidden treasure,\so that Montmorency will get a better opinion of me!\What a grand objective!\I'm so looking forward to this. I couldn't do much back in Albion. response:	Albion...
context: I'm so excited!\You know, I'm not playing around here.\Neither am I.\I have the fine objective of finding a hidden treasure,\so that Montmorency will get a better opinion of me!\What a grand objective!\I'm so looking forward to this. I couldn't do much back in Albion.\Albion... response:	I wonder what happened to them after that incident.
context: You know, I'm not playing around here.\Neither am I.\I have the fine objective of finding a hidden treasure,\so that Montmorency will get a better opinion of me!\What a grand objective!\I'm so looking forward to this. I couldn't do much back in Albion.\Albion...\I wonder what happened to them after that incident. response:	Lord Cromwell!
context: Neither am I.\I have the fine objective of finding a hidden treasure,\so that Montmorency will get a better opinion of me!\What a grand objective!\I'm so looking forward to this. I couldn't do much back in Albion.\Albion...\I wonder what happened to them after that incident.\Lord Cromwell! response:	Lord Cromwell!
context: I have the fine objective of finding a hidden treasure,\so that Montmorency will get a better opinion of me!\What a grand objective!\I'm so looking forward to this. I couldn't do much back in Albion.\Albion...\I wonder what happened to them after that incident.\Lord Cromwell!\Lord Cromwell! response:	Finally, the Tudor family that had been using
context: so that Montmorency will get a better opinion of me!\What a grand objective!\I'm so looking forward to this. I couldn't do much back in Albion.\Albion...\I wonder what happened to them after that incident.\Lord Cromwell!\Lord Cromwell!\Finally, the Tudor family that had been using response:	this country of Albion for themselves have all fallen.
context: What a grand objective!\I'm so looking forward to this. I couldn't do much back in Albion.\Albion...\I wonder what happened to them after that incident.\Lord Cromwell!\Lord Cromwell!\Finally, the Tudor family that had been using\this country of Albion for themselves have all fallen. response:	Glory to the newly reborn Albion!
context: I'm so looking forward to this. I couldn't do much back in Albion.\Albion...\I wonder what happened to them after that incident.\Lord Cromwell!\Lord Cromwell!\Finally, the Tudor family that had been using\this country of Albion for themselves have all fallen.\Glory to the newly reborn Albion! response:	Hurray for Albion! Hurray for Albion!
context: Albion...\I wonder what happened to them after that incident.\Lord Cromwell!\Lord Cromwell!\Finally, the Tudor family that had been using\this country of Albion for themselves have all fallen.\Glory to the newly reborn Albion!\Hurray for Albion! Hurray for Albion! response:	I wonder how far this goes?
context: I wonder what happened to them after that incident.\Lord Cromwell!\Lord Cromwell!\Finally, the Tudor family that had been using\this country of Albion for themselves have all fallen.\Glory to the newly reborn Albion!\Hurray for Albion! Hurray for Albion!\I wonder how far this goes? response:	I don't know. Not even the village folk get near here.
context: Lord Cromwell!\Lord Cromwell!\Finally, the Tudor family that had been using\this country of Albion for themselves have all fallen.\Glory to the newly reborn Albion!\Hurray for Albion! Hurray for Albion!\I wonder how far this goes?\I don't know. Not even the village folk get near here. response:	It's said to have a nest of orc demons.
context: Lord Cromwell!\Finally, the Tudor family that had been using\this country of Albion for themselves have all fallen.\Glory to the newly reborn Albion!\Hurray for Albion! Hurray for Albion!\I wonder how far this goes?\I don't know. Not even the village folk get near here.\It's said to have a nest of orc demons. response:	Say things like that before we go in!
context: Finally, the Tudor family that had been using\this country of Albion for themselves have all fallen.\Glory to the newly reborn Albion!\Hurray for Albion! Hurray for Albion!\I wonder how far this goes?\I don't know. Not even the village folk get near here.\It's said to have a nest of orc demons.\Say things like that before we go in! response:	Someone is coming.
context: this country of Albion for themselves have all fallen.\Glory to the newly reborn Albion!\Hurray for Albion! Hurray for Albion!\I wonder how far this goes?\I don't know. Not even the village folk get near here.\It's said to have a nest of orc demons.\Say things like that before we go in!\Someone is coming. response:	Someone?
context: Glory to the newly reborn Albion!\Hurray for Albion! Hurray for Albion!\I wonder how far this goes?\I don't know. Not even the village folk get near here.\It's said to have a nest of orc demons.\Say things like that before we go in!\Someone is coming.\Someone? response:	Someone other than us...
context: Hurray for Albion! Hurray for Albion!\I wonder how far this goes?\I don't know. Not even the village folk get near here.\It's said to have a nest of orc demons.\Say things like that before we go in!\Someone is coming.\Someone?\Someone other than us... response:	These are footsteps, right?
context: I wonder how far this goes?\I don't know. Not even the village folk get near here.\It's said to have a nest of orc demons.\Say things like that before we go in!\Someone is coming.\Someone?\Someone other than us...\These are footsteps, right? response:	From behind us...
context: I don't know. Not even the village folk get near here.\It's said to have a nest of orc demons.\Say things like that before we go in!\Someone is coming.\Someone?\Someone other than us...\These are footsteps, right?\From behind us... response:	Seems that way.
context: It's said to have a nest of orc demons.\Say things like that before we go in!\Someone is coming.\Someone?\Someone other than us...\These are footsteps, right?\From behind us...\Seems that way. response:	Who is it?!
context: Say things like that before we go in!\Someone is coming.\Someone?\Someone other than us...\These are footsteps, right?\From behind us...\Seems that way.\Who is it?! response:	Who's there?!
context: Someone is coming.\Someone?\Someone other than us...\These are footsteps, right?\From behind us...\Seems that way.\Who is it?!\Who's there?! response:	Siesta, behind me!
context: Someone?\Someone other than us...\These are footsteps, right?\From behind us...\Seems that way.\Who is it?!\Who's there?!\Siesta, behind me! response:	Okay!
context: Someone other than us...\These are footsteps, right?\From behind us...\Seems that way.\Who is it?!\Who's there?!\Siesta, behind me!\Okay! response:	That was a warning.
context: These are footsteps, right?\From behind us...\Seems that way.\Who is it?!\Who's there?!\Siesta, behind me!\Okay!\That was a warning. response:	If you value your life, leave now!
context: From behind us...\Seems that way.\Who is it?!\Who's there?!\Siesta, behind me!\Okay!\That was a warning.\If you value your life, leave now! response:	Dammit!
context: Seems that way.\Who is it?!\Who's there?!\Siesta, behind me!\Okay!\That was a warning.\If you value your life, leave now!\Dammit! response:	Verdande!
context: Who is it?!\Who's there?!\Siesta, behind me!\Okay!\That was a warning.\If you value your life, leave now!\Dammit!\Verdande! response:	Wait, this voice...
context: Who's there?!\Siesta, behind me!\Okay!\That was a warning.\If you value your life, leave now!\Dammit!\Verdande!\Wait, this voice... response:	You thieves, going after a valuable historical relic!
context: Siesta, behind me!\Okay!\That was a warning.\If you value your life, leave now!\Dammit!\Verdande!\Wait, this voice...\You thieves, going after a valuable historical relic! response:	Mr. Colbert!
context: Okay!\That was a warning.\If you value your life, leave now!\Dammit!\Verdande!\Wait, this voice...\You thieves, going after a valuable historical relic!\Mr. Colbert! response:	You guys?
context: That was a warning.\If you value your life, leave now!\Dammit!\Verdande!\Wait, this voice...\You thieves, going after a valuable historical relic!\Mr. Colbert!\You guys? response:	Louise?!
context: If you value your life, leave now!\Dammit!\Verdande!\Wait, this voice...\You thieves, going after a valuable historical relic!\Mr. Colbert!\You guys?\Louise?! response:	I gained information that the ruins of the dragon was here,
context: Dammit!\Verdande!\Wait, this voice...\You thieves, going after a valuable historical relic!\Mr. Colbert!\You guys?\Louise?!\I gained information that the ruins of the dragon was here, response:	and I came here to excavate,
context: Verdande!\Wait, this voice...\You thieves, going after a valuable historical relic!\Mr. Colbert!\You guys?\Louise?!\I gained information that the ruins of the dragon was here,\and I came here to excavate, response:	but to think that all of you would...
context: Wait, this voice...\You thieves, going after a valuable historical relic!\Mr. Colbert!\You guys?\Louise?!\I gained information that the ruins of the dragon was here,\and I came here to excavate,\but to think that all of you would... response:	So our objectives are the same?
context: You thieves, going after a valuable historical relic!\Mr. Colbert!\You guys?\Louise?!\I gained information that the ruins of the dragon was here,\and I came here to excavate,\but to think that all of you would...\So our objectives are the same? response:	Objective?
context: Mr. Colbert!\You guys?\Louise?!\I gained information that the ruins of the dragon was here,\and I came here to excavate,\but to think that all of you would...\So our objectives are the same?\Objective? response:	Oh... This is...
context: You guys?\Louise?!\I gained information that the ruins of the dragon was here,\and I came here to excavate,\but to think that all of you would...\So our objectives are the same?\Objective?\Oh... This is... response:	Then, are you someone who is of the blood of another world?
context: Louise?!\I gained information that the ruins of the dragon was here,\and I came here to excavate,\but to think that all of you would...\So our objectives are the same?\Objective?\Oh... This is...\Then, are you someone who is of the blood of another world? response:	To think that such a valuable piece of research material
context: I gained information that the ruins of the dragon was here,\and I came here to excavate,\but to think that all of you would...\So our objectives are the same?\Objective?\Oh... This is...\Then, are you someone who is of the blood of another world?\To think that such a valuable piece of research material response:	was so close at hand! What an oversight!
context: and I came here to excavate,\but to think that all of you would...\So our objectives are the same?\Objective?\Oh... This is...\Then, are you someone who is of the blood of another world?\To think that such a valuable piece of research material\was so close at hand! What an oversight! response:	It's just a legend,
context: but to think that all of you would...\So our objectives are the same?\Objective?\Oh... This is...\Then, are you someone who is of the blood of another world?\To think that such a valuable piece of research material\was so close at hand! What an oversight!\It's just a legend, response:	and I'm not sure whether that map is correct or not...
context: So our objectives are the same?\Objective?\Oh... This is...\Then, are you someone who is of the blood of another world?\To think that such a valuable piece of research material\was so close at hand! What an oversight!\It's just a legend,\and I'm not sure whether that map is correct or not... response:	I'm here as an aide to our instructor's research.
context: Objective?\Oh... This is...\Then, are you someone who is of the blood of another world?\To think that such a valuable piece of research material\was so close at hand! What an oversight!\It's just a legend,\and I'm not sure whether that map is correct or not...\I'm here as an aide to our instructor's research. response:	It's not that I came chasing after you or anything.
context: Oh... This is...\Then, are you someone who is of the blood of another world?\To think that such a valuable piece of research material\was so close at hand! What an oversight!\It's just a legend,\and I'm not sure whether that map is correct or not...\I'm here as an aide to our instructor's research.\It's not that I came chasing after you or anything. response:	I didn't say anything.
context: Then, are you someone who is of the blood of another world?\To think that such a valuable piece of research material\was so close at hand! What an oversight!\It's just a legend,\and I'm not sure whether that map is correct or not...\I'm here as an aide to our instructor's research.\It's not that I came chasing after you or anything.\I didn't say anything. response:	I didn't want you to misunderstand,
context: To think that such a valuable piece of research material\was so close at hand! What an oversight!\It's just a legend,\and I'm not sure whether that map is correct or not...\I'm here as an aide to our instructor's research.\It's not that I came chasing after you or anything.\I didn't say anything.\I didn't want you to misunderstand, response:	so I just said it first!
