context: Back then, I didn't know what was going on, response:	or what they had talked about.
context: Tetsuro-san! Where are you?\You saved me again.\Thanks, Mio.\I'm just paying you back.\You didn't say anything.\About what, again?\You're really nice, Tetsuro-kun.\Yeah, I guess I am. response:	Just to cute girls, though.
context: You saved me again.\Thanks, Mio.\I'm just paying you back.\You didn't say anything.\About what, again?\You're really nice, Tetsuro-kun.\Yeah, I guess I am.\Just to cute girls, though. response:	I mean, uh...
context: Thanks, Mio.\I'm just paying you back.\You didn't say anything.\About what, again?\You're really nice, Tetsuro-kun.\Yeah, I guess I am.\Just to cute girls, though.\I mean, uh... response:	Found you!
context: I'm just paying you back.\You didn't say anything.\About what, again?\You're really nice, Tetsuro-kun.\Yeah, I guess I am.\Just to cute girls, though.\I mean, uh...\Found you! response:	What?!
context: You didn't say anything.\About what, again?\You're really nice, Tetsuro-kun.\Yeah, I guess I am.\Just to cute girls, though.\I mean, uh...\Found you!\What?! response:	That was mean, Tetsuro-san.
context: About what, again?\You're really nice, Tetsuro-kun.\Yeah, I guess I am.\Just to cute girls, though.\I mean, uh...\Found you!\What?!\That was mean, Tetsuro-san. response:	Running around like that.
context: You're really nice, Tetsuro-kun.\Yeah, I guess I am.\Just to cute girls, though.\I mean, uh...\Found you!\What?!\That was mean, Tetsuro-san.\Running around like that. response:	Not that I don't like messing around like that.
context: Yeah, I guess I am.\Just to cute girls, though.\I mean, uh...\Found you!\What?!\That was mean, Tetsuro-san.\Running around like that.\Not that I don't like messing around like that. response:	Anyway, let's have fun on the rest of our date.
context: Just to cute girls, though.\I mean, uh...\Found you!\What?!\That was mean, Tetsuro-san.\Running around like that.\Not that I don't like messing around like that.\Anyway, let's have fun on the rest of our date. response:	W-We were on a date?
context: I mean, uh...\Found you!\What?!\That was mean, Tetsuro-san.\Running around like that.\Not that I don't like messing around like that.\Anyway, let's have fun on the rest of our date.\W-We were on a date? response:	Of course we were!
context: Found you!\What?!\That was mean, Tetsuro-san.\Running around like that.\Not that I don't like messing around like that.\Anyway, let's have fun on the rest of our date.\W-We were on a date?\Of course we were! response:	Wai
context: What?!\That was mean, Tetsuro-san.\Running around like that.\Not that I don't like messing around like that.\Anyway, let's have fun on the rest of our date.\W-We were on a date?\Of course we were!\Wai response:	Huh? What?
context: That was mean, Tetsuro-san.\Running around like that.\Not that I don't like messing around like that.\Anyway, let's have fun on the rest of our date.\W-We were on a date?\Of course we were!\Wai\Huh? What? response:	No.
context: Running around like that.\Not that I don't like messing around like that.\Anyway, let's have fun on the rest of our date.\W-We were on a date?\Of course we were!\Wai\Huh? What?\No. response:	No!
context: Not that I don't like messing around like that.\Anyway, let's have fun on the rest of our date.\W-We were on a date?\Of course we were!\Wai\Huh? What?\No.\No! response:	You ask me to come here and you show up late.
context: Anyway, let's have fun on the rest of our date.\W-We were on a date?\Of course we were!\Wai\Huh? What?\No.\No!\You ask me to come here and you show up late. response:	And now you're keeping quiet?
context: W-We were on a date?\Of course we were!\Wai\Huh? What?\No.\No!\You ask me to come here and you show up late.\And now you're keeping quiet? response:	I'm sorry.
context: Of course we were!\Wai\Huh? What?\No.\No!\You ask me to come here and you show up late.\And now you're keeping quiet?\I'm sorry. response:	I couldn't get my thoughts together.
context: Wai\Huh? What?\No.\No!\You ask me to come here and you show up late.\And now you're keeping quiet?\I'm sorry.\I couldn't get my thoughts together. response:	I wanted to ask you how you really feel... about Kaito-kun.
context: Huh? What?\No.\No!\You ask me to come here and you show up late.\And now you're keeping quiet?\I'm sorry.\I couldn't get my thoughts together.\I wanted to ask you how you really feel... about Kaito-kun. response:	I like him.
context: No.\No!\You ask me to come here and you show up late.\And now you're keeping quiet?\I'm sorry.\I couldn't get my thoughts together.\I wanted to ask you how you really feel... about Kaito-kun.\I like him. response:	What would you do if that was my answer?
context: No!\You ask me to come here and you show up late.\And now you're keeping quiet?\I'm sorry.\I couldn't get my thoughts together.\I wanted to ask you how you really feel... about Kaito-kun.\I like him.\What would you do if that was my answer? response:	A-Are you teasing me?
context: You ask me to come here and you show up late.\And now you're keeping quiet?\I'm sorry.\I couldn't get my thoughts together.\I wanted to ask you how you really feel... about Kaito-kun.\I like him.\What would you do if that was my answer?\A-Are you teasing me? response:	Sorry, I'm just a little jealous.
context: And now you're keeping quiet?\I'm sorry.\I couldn't get my thoughts together.\I wanted to ask you how you really feel... about Kaito-kun.\I like him.\What would you do if that was my answer?\A-Are you teasing me?\Sorry, I'm just a little jealous. response:	Huh?
context: I'm sorry.\I couldn't get my thoughts together.\I wanted to ask you how you really feel... about Kaito-kun.\I like him.\What would you do if that was my answer?\A-Are you teasing me?\Sorry, I'm just a little jealous.\Huh? response:	I was dumped.
context: I couldn't get my thoughts together.\I wanted to ask you how you really feel... about Kaito-kun.\I like him.\What would you do if that was my answer?\A-Are you teasing me?\Sorry, I'm just a little jealous.\Huh?\I was dumped. response:	Huh?
context: I wanted to ask you how you really feel... about Kaito-kun.\I like him.\What would you do if that was my answer?\A-Are you teasing me?\Sorry, I'm just a little jealous.\Huh?\I was dumped.\Huh? response:	Hey, what are you doing?
context: I like him.\What would you do if that was my answer?\A-Are you teasing me?\Sorry, I'm just a little jealous.\Huh?\I was dumped.\Huh?\Hey, what are you doing? response:	T-Tetsuro-kun doesn't like what you're doing.
context: What would you do if that was my answer?\A-Are you teasing me?\Sorry, I'm just a little jealous.\Huh?\I was dumped.\Huh?\Hey, what are you doing?\T-Tetsuro-kun doesn't like what you're doing. response:	And why would that be?
context: A-Are you teasing me?\Sorry, I'm just a little jealous.\Huh?\I was dumped.\Huh?\Hey, what are you doing?\T-Tetsuro-kun doesn't like what you're doing.\And why would that be? response:	Right, Tetsuro-san?
context: Sorry, I'm just a little jealous.\Huh?\I was dumped.\Huh?\Hey, what are you doing?\T-Tetsuro-kun doesn't like what you're doing.\And why would that be?\Right, Tetsuro-san? response:	I, uh...
context: Huh?\I was dumped.\Huh?\Hey, what are you doing?\T-Tetsuro-kun doesn't like what you're doing.\And why would that be?\Right, Tetsuro-san?\I, uh... response:	See!
context: I was dumped.\Huh?\Hey, what are you doing?\T-Tetsuro-kun doesn't like what you're doing.\And why would that be?\Right, Tetsuro-san?\I, uh...\See! response:	B-But...
context: Huh?\Hey, what are you doing?\T-Tetsuro-kun doesn't like what you're doing.\And why would that be?\Right, Tetsuro-san?\I, uh...\See!\B-But... response:	Oh, I get it.
context: Hey, what are you doing?\T-Tetsuro-kun doesn't like what you're doing.\And why would that be?\Right, Tetsuro-san?\I, uh...\See!\B-But...\Oh, I get it. response:	You like Tetsuro-san, don't you?
context: T-Tetsuro-kun doesn't like what you're doing.\And why would that be?\Right, Tetsuro-san?\I, uh...\See!\B-But...\Oh, I get it.\You like Tetsuro-san, don't you? response:	Huh?!
context: And why would that be?\Right, Tetsuro-san?\I, uh...\See!\B-But...\Oh, I get it.\You like Tetsuro-san, don't you?\Huh?! response:	Huh?
context: Right, Tetsuro-san?\I, uh...\See!\B-But...\Oh, I get it.\You like Tetsuro-san, don't you?\Huh?!\Huh? response:	Uh... Well...
context: I, uh...\See!\B-But...\Oh, I get it.\You like Tetsuro-san, don't you?\Huh?!\Huh?\Uh... Well... response:	Don't you think that's weird?
context: See!\B-But...\Oh, I get it.\You like Tetsuro-san, don't you?\Huh?!\Huh?\Uh... Well...\Don't you think that's weird? response:	You're just some exhibitionist!
context: B-But...\Oh, I get it.\You like Tetsuro-san, don't you?\Huh?!\Huh?\Uh... Well...\Don't you think that's weird?\You're just some exhibitionist! response:	Now, wai
context: Oh, I get it.\You like Tetsuro-san, don't you?\Huh?!\Huh?\Uh... Well...\Don't you think that's weird?\You're just some exhibitionist!\Now, wai response:	I saw it!
context: You like Tetsuro-san, don't you?\Huh?!\Huh?\Uh... Well...\Don't you think that's weird?\You're just some exhibitionist!\Now, wai\I saw it! response:	When you came diving at us,
context: Huh?!\Huh?\Uh... Well...\Don't you think that's weird?\You're just some exhibitionist!\Now, wai\I saw it!\When you came diving at us, response:	you weren't wearing any panties!
context: Huh?\Uh... Well...\Don't you think that's weird?\You're just some exhibitionist!\Now, wai\I saw it!\When you came diving at us,\you weren't wearing any panties! response:	I mean, that's weird, right?
context: Uh... Well...\Don't you think that's weird?\You're just some exhibitionist!\Now, wai\I saw it!\When you came diving at us,\you weren't wearing any panties!\I mean, that's weird, right? response:	Really weird, right?!
context: Don't you think that's weird?\You're just some exhibitionist!\Now, wai\I saw it!\When you came diving at us,\you weren't wearing any panties!\I mean, that's weird, right?\Really weird, right?! response:	I bet you're just a perv that likes walking around
context: You're just some exhibitionist!\Now, wai\I saw it!\When you came diving at us,\you weren't wearing any panties!\I mean, that's weird, right?\Really weird, right?!\I bet you're just a perv that likes walking around response:	without anything on down there,
context: Now, wai\I saw it!\When you came diving at us,\you weren't wearing any panties!\I mean, that's weird, right?\Really weird, right?!\I bet you're just a perv that likes walking around\without anything on down there, response:	having fun imagining how people would act if they caught a glimpse!
context: I saw it!\When you came diving at us,\you weren't wearing any panties!\I mean, that's weird, right?\Really weird, right?!\I bet you're just a perv that likes walking around\without anything on down there,\having fun imagining how people would act if they caught a glimpse! response:	Tetsuro-kun wouldn't like it if a girl like you
context: When you came diving at us,\you weren't wearing any panties!\I mean, that's weird, right?\Really weird, right?!\I bet you're just a perv that likes walking around\without anything on down there,\having fun imagining how people would act if they caught a glimpse!\Tetsuro-kun wouldn't like it if a girl like you response:	Hey, that's enough
context: you weren't wearing any panties!\I mean, that's weird, right?\Really weird, right?!\I bet you're just a perv that likes walking around\without anything on down there,\having fun imagining how people would act if they caught a glimpse!\Tetsuro-kun wouldn't like it if a girl like you\Hey, that's enough response:	I'm a nudist!
context: I mean, that's weird, right?\Really weird, right?!\I bet you're just a perv that likes walking around\without anything on down there,\having fun imagining how people would act if they caught a glimpse!\Tetsuro-kun wouldn't like it if a girl like you\Hey, that's enough\I'm a nudist! response:	Huh?
context: Really weird, right?!\I bet you're just a perv that likes walking around\without anything on down there,\having fun imagining how people would act if they caught a glimpse!\Tetsuro-kun wouldn't like it if a girl like you\Hey, that's enough\I'm a nudist!\Huh? response:	I'm... a nudist!
context: I bet you're just a perv that likes walking around\without anything on down there,\having fun imagining how people would act if they caught a glimpse!\Tetsuro-kun wouldn't like it if a girl like you\Hey, that's enough\I'm a nudist!\Huh?\I'm... a nudist! response:	Y-Y-You were dumped?
context: without anything on down there,\having fun imagining how people would act if they caught a glimpse!\Tetsuro-kun wouldn't like it if a girl like you\Hey, that's enough\I'm a nudist!\Huh?\I'm... a nudist!\Y-Y-You were dumped? response:	By Kaito-kun?
context: having fun imagining how people would act if they caught a glimpse!\Tetsuro-kun wouldn't like it if a girl like you\Hey, that's enough\I'm a nudist!\Huh?\I'm... a nudist!\Y-Y-You were dumped?\By Kaito-kun? response:	No, no.
context: Tetsuro-kun wouldn't like it if a girl like you\Hey, that's enough\I'm a nudist!\Huh?\I'm... a nudist!\Y-Y-You were dumped?\By Kaito-kun?\No, no. response:	By my senpai at my school back in Tokyo.
context: Hey, that's enough\I'm a nudist!\Huh?\I'm... a nudist!\Y-Y-You were dumped?\By Kaito-kun?\No, no.\By my senpai at my school back in Tokyo. response:	I came to Okinawa to get away.
context: I'm a nudist!\Huh?\I'm... a nudist!\Y-Y-You were dumped?\By Kaito-kun?\No, no.\By my senpai at my school back in Tokyo.\I came to Okinawa to get away. response:	Oh, I see.
context: Huh?\I'm... a nudist!\Y-Y-You were dumped?\By Kaito-kun?\No, no.\By my senpai at my school back in Tokyo.\I came to Okinawa to get away.\Oh, I see. response:	And when I got here,
context: I'm... a nudist!\Y-Y-You were dumped?\By Kaito-kun?\No, no.\By my senpai at my school back in Tokyo.\I came to Okinawa to get away.\Oh, I see.\And when I got here, response:	I ran into Umi-chan by chance,
context: Y-Y-You were dumped?\By Kaito-kun?\No, no.\By my senpai at my school back in Tokyo.\I came to Okinawa to get away.\Oh, I see.\And when I got here,\I ran into Umi-chan by chance, response:	and acted all happy to distract myself from...
context: By Kaito-kun?\No, no.\By my senpai at my school back in Tokyo.\I came to Okinawa to get away.\Oh, I see.\And when I got here,\I ran into Umi-chan by chance,\and acted all happy to distract myself from... response:	I ended up causing a lot of problems by doing that.
context: No, no.\By my senpai at my school back in Tokyo.\I came to Okinawa to get away.\Oh, I see.\And when I got here,\I ran into Umi-chan by chance,\and acted all happy to distract myself from...\I ended up causing a lot of problems by doing that. response:	I'm sorry.
context: By my senpai at my school back in Tokyo.\I came to Okinawa to get away.\Oh, I see.\And when I got here,\I ran into Umi-chan by chance,\and acted all happy to distract myself from...\I ended up causing a lot of problems by doing that.\I'm sorry. response:	No, it's okay.
context: I came to Okinawa to get away.\Oh, I see.\And when I got here,\I ran into Umi-chan by chance,\and acted all happy to distract myself from...\I ended up causing a lot of problems by doing that.\I'm sorry.\No, it's okay. response:	So that's what's going on.
context: Oh, I see.\And when I got here,\I ran into Umi-chan by chance,\and acted all happy to distract myself from...\I ended up causing a lot of problems by doing that.\I'm sorry.\No, it's okay.\So that's what's going on. response:	Why?
context: And when I got here,\I ran into Umi-chan by chance,\and acted all happy to distract myself from...\I ended up causing a lot of problems by doing that.\I'm sorry.\No, it's okay.\So that's what's going on.\Why? response:	Why were you crying?
context: I ran into Umi-chan by chance,\and acted all happy to distract myself from...\I ended up causing a lot of problems by doing that.\I'm sorry.\No, it's okay.\So that's what's going on.\Why?\Why were you crying? response:	Umi-chan said the same words my boyfriend did when he dumped me.
context: and acted all happy to distract myself from...\I ended up causing a lot of problems by doing that.\I'm sorry.\No, it's okay.\So that's what's going on.\Why?\Why were you crying?\Umi-chan said the same words my boyfriend did when he dumped me. response:	It reminded me of that,
context: I ended up causing a lot of problems by doing that.\I'm sorry.\No, it's okay.\So that's what's going on.\Why?\Why were you crying?\Umi-chan said the same words my boyfriend did when he dumped me.\It reminded me of that, response:	and I couldn't help but cry.
context: I'm sorry.\No, it's okay.\So that's what's going on.\Why?\Why were you crying?\Umi-chan said the same words my boyfriend did when he dumped me.\It reminded me of that,\and I couldn't help but cry. response:	Umi-chan told me...
context: No, it's okay.\So that's what's going on.\Why?\Why were you crying?\Umi-chan said the same words my boyfriend did when he dumped me.\It reminded me of that,\and I couldn't help but cry.\Umi-chan told me... response:	I think he was talking about you.
context: So that's what's going on.\Why?\Why were you crying?\Umi-chan said the same words my boyfriend did when he dumped me.\It reminded me of that,\and I couldn't help but cry.\Umi-chan told me...\I think he was talking about you. response:	What are you say
context: Why?\Why were you crying?\Umi-chan said the same words my boyfriend did when he dumped me.\It reminded me of that,\and I couldn't help but cry.\Umi-chan told me...\I think he was talking about you.\What are you say response:	I can tell just looking at him.
context: Why were you crying?\Umi-chan said the same words my boyfriend did when he dumped me.\It reminded me of that,\and I couldn't help but cry.\Umi-chan told me...\I think he was talking about you.\What are you say\I can tell just looking at him. response:	I mean, I have known him since he was small.
context: Umi-chan said the same words my boyfriend did when he dumped me.\It reminded me of that,\and I couldn't help but cry.\Umi-chan told me...\I think he was talking about you.\What are you say\I can tell just looking at him.\I mean, I have known him since he was small. response:	And you like him, too, don't you?
context: It reminded me of that,\and I couldn't help but cry.\Umi-chan told me...\I think he was talking about you.\What are you say\I can tell just looking at him.\I mean, I have known him since he was small.\And you like him, too, don't you? response:	I-I...
context: and I couldn't help but cry.\Umi-chan told me...\I think he was talking about you.\What are you say\I can tell just looking at him.\I mean, I have known him since he was small.\And you like him, too, don't you?\I-I... response:	So I wanted to apologize.
context: Umi-chan told me...\I think he was talking about you.\What are you say\I can tell just looking at him.\I mean, I have known him since he was small.\And you like him, too, don't you?\I-I...\So I wanted to apologize. response:	K-Kinoshita-sa
context: I think he was talking about you.\What are you say\I can tell just looking at him.\I mean, I have known him since he was small.\And you like him, too, don't you?\I-I...\So I wanted to apologize.\K-Kinoshita-sa response:	See you tomorrow for the movie!
context: What are you say\I can tell just looking at him.\I mean, I have known him since he was small.\And you like him, too, don't you?\I-I...\So I wanted to apologize.\K-Kinoshita-sa\See you tomorrow for the movie! response:	Apologize?
context: I can tell just looking at him.\I mean, I have known him since he was small.\And you like him, too, don't you?\I-I...\So I wanted to apologize.\K-Kinoshita-sa\See you tomorrow for the movie!\Apologize? response:	Huh? Senpai?
context: I mean, I have known him since he was small.\And you like him, too, don't you?\I-I...\So I wanted to apologize.\K-Kinoshita-sa\See you tomorrow for the movie!\Apologize?\Huh? Senpai? response:	Kaito-kun...
context: And you like him, too, don't you?\I-I...\So I wanted to apologize.\K-Kinoshita-sa\See you tomorrow for the movie!\Apologize?\Huh? Senpai?\Kaito-kun... response:	Kinoshita told me to come here...
context: I-I...\So I wanted to apologize.\K-Kinoshita-sa\See you tomorrow for the movie!\Apologize?\Huh? Senpai?\Kaito-kun...\Kinoshita told me to come here... response:	But why are you here?
context: So I wanted to apologize.\K-Kinoshita-sa\See you tomorrow for the movie!\Apologize?\Huh? Senpai?\Kaito-kun...\Kinoshita told me to come here...\But why are you here? response:	Uh, Senpai?
context: K-Kinoshita-sa\See you tomorrow for the movie!\Apologize?\Huh? Senpai?\Kaito-kun...\Kinoshita told me to come here...\But why are you here?\Uh, Senpai? response:	I knew the whole time.
context: See you tomorrow for the movie!\Apologize?\Huh? Senpai?\Kaito-kun...\Kinoshita told me to come here...\But why are you here?\Uh, Senpai?\I knew the whole time. response:	Knew what?
context: Apologize?\Huh? Senpai?\Kaito-kun...\Kinoshita told me to come here...\But why are you here?\Uh, Senpai?\I knew the whole time.\Knew what? response:	I'm sure I had known.
context: Huh? Senpai?\Kaito-kun...\Kinoshita told me to come here...\But why are you here?\Uh, Senpai?\I knew the whole time.\Knew what?\I'm sure I had known. response:	Senpai...
context: Kaito-kun...\Kinoshita told me to come here...\But why are you here?\Uh, Senpai?\I knew the whole time.\Knew what?\I'm sure I had known.\Senpai... response:	Could you tell me how Kaito-kun feels now?
context: Kinoshita told me to come here...\But why are you here?\Uh, Senpai?\I knew the whole time.\Knew what?\I'm sure I had known.\Senpai...\Could you tell me how Kaito-kun feels now? response:	Let's see...
context: But why are you here?\Uh, Senpai?\I knew the whole time.\Knew what?\I'm sure I had known.\Senpai...\Could you tell me how Kaito-kun feels now?\Let's see... response:	If you put this outfit on, I'll think about it.
context: Uh, Senpai?\I knew the whole time.\Knew what?\I'm sure I had known.\Senpai...\Could you tell me how Kaito-kun feels now?\Let's see...\If you put this outfit on, I'll think about it. response:	What? That again?
context: I knew the whole time.\Knew what?\I'm sure I had known.\Senpai...\Could you tell me how Kaito-kun feels now?\Let's see...\If you put this outfit on, I'll think about it.\What? That again? response:	Episode 7 Senpai's feelings.
context: Knew what?\I'm sure I had known.\Senpai...\Could you tell me how Kaito-kun feels now?\Let's see...\If you put this outfit on, I'll think about it.\What? That again?\Episode 7 Senpai's feelings. response:	A nudist?
context: I'm sure I had known.\Senpai...\Could you tell me how Kaito-kun feels now?\Let's see...\If you put this outfit on, I'll think about it.\What? That again?\Episode 7 Senpai's feelings.\A nudist? response:	A nudist...
context: Senpai...\Could you tell me how Kaito-kun feels now?\Let's see...\If you put this outfit on, I'll think about it.\What? That again?\Episode 7 Senpai's feelings.\A nudist?\A nudist... response:	You mean a person that walks around naked at home all the time, like that?
context: Could you tell me how Kaito-kun feels now?\Let's see...\If you put this outfit on, I'll think about it.\What? That again?\Episode 7 Senpai's feelings.\A nudist?\A nudist...\You mean a person that walks around naked at home all the time, like that? response:	Yeah...
context: Let's see...\If you put this outfit on, I'll think about it.\What? That again?\Episode 7 Senpai's feelings.\A nudist?\A nudist...\You mean a person that walks around naked at home all the time, like that?\Yeah... response:	My family's like that, and I've been like that since I was little.
context: If you put this outfit on, I'll think about it.\What? That again?\Episode 7 Senpai's feelings.\A nudist?\A nudist...\You mean a person that walks around naked at home all the time, like that?\Yeah...\My family's like that, and I've been like that since I was little. response:	I just thought that's what you're supposed to do at home.
context: What? That again?\Episode 7 Senpai's feelings.\A nudist?\A nudist...\You mean a person that walks around naked at home all the time, like that?\Yeah...\My family's like that, and I've been like that since I was little.\I just thought that's what you're supposed to do at home. response:	When I started elementary school, I started realizing that wasn't right.
context: Episode 7 Senpai's feelings.\A nudist?\A nudist...\You mean a person that walks around naked at home all the time, like that?\Yeah...\My family's like that, and I've been like that since I was little.\I just thought that's what you're supposed to do at home.\When I started elementary school, I started realizing that wasn't right. response:	I mean, I can't really tell anyone about this.
context: A nudist?\A nudist...\You mean a person that walks around naked at home all the time, like that?\Yeah...\My family's like that, and I've been like that since I was little.\I just thought that's what you're supposed to do at home.\When I started elementary school, I started realizing that wasn't right.\I mean, I can't really tell anyone about this. response:	Uh...
context: A nudist...\You mean a person that walks around naked at home all the time, like that?\Yeah...\My family's like that, and I've been like that since I was little.\I just thought that's what you're supposed to do at home.\When I started elementary school, I started realizing that wasn't right.\I mean, I can't really tell anyone about this.\Uh... response:	I know you're supposed to wear underwear.
context: You mean a person that walks around naked at home all the time, like that?\Yeah...\My family's like that, and I've been like that since I was little.\I just thought that's what you're supposed to do at home.\When I started elementary school, I started realizing that wasn't right.\I mean, I can't really tell anyone about this.\Uh...\I know you're supposed to wear underwear. response:	But I've got really low blood pressure.
context: Yeah...\My family's like that, and I've been like that since I was little.\I just thought that's what you're supposed to do at home.\When I started elementary school, I started realizing that wasn't right.\I mean, I can't really tell anyone about this.\Uh...\I know you're supposed to wear underwear.\But I've got really low blood pressure. response:	I kind of space out in the mornings,
context: My family's like that, and I've been like that since I was little.\I just thought that's what you're supposed to do at home.\When I started elementary school, I started realizing that wasn't right.\I mean, I can't really tell anyone about this.\Uh...\I know you're supposed to wear underwear.\But I've got really low blood pressure.\I kind of space out in the mornings, response:	and sometimes I forget to put on underwear.
context: I just thought that's what you're supposed to do at home.\When I started elementary school, I started realizing that wasn't right.\I mean, I can't really tell anyone about this.\Uh...\I know you're supposed to wear underwear.\But I've got really low blood pressure.\I kind of space out in the mornings,\and sometimes I forget to put on underwear. response:	I end up going to school and other places like that.
context: When I started elementary school, I started realizing that wasn't right.\I mean, I can't really tell anyone about this.\Uh...\I know you're supposed to wear underwear.\But I've got really low blood pressure.\I kind of space out in the mornings,\and sometimes I forget to put on underwear.\I end up going to school and other places like that. response:	It's really embarrassing.
context: I mean, I can't really tell anyone about this.\Uh...\I know you're supposed to wear underwear.\But I've got really low blood pressure.\I kind of space out in the mornings,\and sometimes I forget to put on underwear.\I end up going to school and other places like that.\It's really embarrassing. response:	I know it's wrong for me to be like this,
context: Uh...\I know you're supposed to wear underwear.\But I've got really low blood pressure.\I kind of space out in the mornings,\and sometimes I forget to put on underwear.\I end up going to school and other places like that.\It's really embarrassing.\I know it's wrong for me to be like this, response:	and I've tried to lose the habit over and over, but...
context: I know you're supposed to wear underwear.\But I've got really low blood pressure.\I kind of space out in the mornings,\and sometimes I forget to put on underwear.\I end up going to school and other places like that.\It's really embarrassing.\I know it's wrong for me to be like this,\and I've tried to lose the habit over and over, but... response:	I ended up screwing up sometimes.
context: But I've got really low blood pressure.\I kind of space out in the mornings,\and sometimes I forget to put on underwear.\I end up going to school and other places like that.\It's really embarrassing.\I know it's wrong for me to be like this,\and I've tried to lose the habit over and over, but...\I ended up screwing up sometimes. response:	So I thought it'd be best if no one knew who I was,
context: I kind of space out in the mornings,\and sometimes I forget to put on underwear.\I end up going to school and other places like that.\It's really embarrassing.\I know it's wrong for me to be like this,\and I've tried to lose the habit over and over, but...\I ended up screwing up sometimes.\So I thought it'd be best if no one knew who I was, response:	and I tried to avoid standing out,
context: and sometimes I forget to put on underwear.\I end up going to school and other places like that.\It's really embarrassing.\I know it's wrong for me to be like this,\and I've tried to lose the habit over and over, but...\I ended up screwing up sometimes.\So I thought it'd be best if no one knew who I was,\and I tried to avoid standing out, response:	but then Kanna started talking to me...
context: I end up going to school and other places like that.\It's really embarrassing.\I know it's wrong for me to be like this,\and I've tried to lose the habit over and over, but...\I ended up screwing up sometimes.\So I thought it'd be best if no one knew who I was,\and I tried to avoid standing out,\but then Kanna started talking to me... response:	Tetsuro-kun and Kirishima-kun, too.
context: It's really embarrassing.\I know it's wrong for me to be like this,\and I've tried to lose the habit over and over, but...\I ended up screwing up sometimes.\So I thought it'd be best if no one knew who I was,\and I tried to avoid standing out,\but then Kanna started talking to me...\Tetsuro-kun and Kirishima-kun, too. response:	They all became my friends.
context: I know it's wrong for me to be like this,\and I've tried to lose the habit over and over, but...\I ended up screwing up sometimes.\So I thought it'd be best if no one knew who I was,\and I tried to avoid standing out,\but then Kanna started talking to me...\Tetsuro-kun and Kirishima-kun, too.\They all became my friends. response:	I was so happy...
context: and I've tried to lose the habit over and over, but...\I ended up screwing up sometimes.\So I thought it'd be best if no one knew who I was,\and I tried to avoid standing out,\but then Kanna started talking to me...\Tetsuro-kun and Kirishima-kun, too.\They all became my friends.\I was so happy... response:	It was so fun with them.
context: I ended up screwing up sometimes.\So I thought it'd be best if no one knew who I was,\and I tried to avoid standing out,\but then Kanna started talking to me...\Tetsuro-kun and Kirishima-kun, too.\They all became my friends.\I was so happy...\It was so fun with them. response:	That's why I didn't want them to find out.
context: So I thought it'd be best if no one knew who I was,\and I tried to avoid standing out,\but then Kanna started talking to me...\Tetsuro-kun and Kirishima-kun, too.\They all became my friends.\I was so happy...\It was so fun with them.\That's why I didn't want them to find out. response:	I'm not a pervert!
context: and I tried to avoid standing out,\but then Kanna started talking to me...\Tetsuro-kun and Kirishima-kun, too.\They all became my friends.\I was so happy...\It was so fun with them.\That's why I didn't want them to find out.\I'm not a pervert! response:	Are you stupid or something?
context: but then Kanna started talking to me...\Tetsuro-kun and Kirishima-kun, too.\They all became my friends.\I was so happy...\It was so fun with them.\That's why I didn't want them to find out.\I'm not a pervert!\Are you stupid or something? response:	If you forget so often,
context: Tetsuro-kun and Kirishima-kun, too.\They all became my friends.\I was so happy...\It was so fun with them.\That's why I didn't want them to find out.\I'm not a pervert!\Are you stupid or something?\If you forget so often, response:	then why not put a spare pair in your bag?
context: They all became my friends.\I was so happy...\It was so fun with them.\That's why I didn't want them to find out.\I'm not a pervert!\Are you stupid or something?\If you forget so often,\then why not put a spare pair in your bag? response:	Y-Yeah, but...
context: I was so happy...\It was so fun with them.\That's why I didn't want them to find out.\I'm not a pervert!\Are you stupid or something?\If you forget so often,\then why not put a spare pair in your bag?\Y-Yeah, but... response:	Then you could just pretend to go to the bathroom and put them on.
context: It was so fun with them.\That's why I didn't want them to find out.\I'm not a pervert!\Are you stupid or something?\If you forget so often,\then why not put a spare pair in your bag?\Y-Yeah, but...\Then you could just pretend to go to the bathroom and put them on. response:	I mean, you carry around your PE clothes, right?
context: That's why I didn't want them to find out.\I'm not a pervert!\Are you stupid or something?\If you forget so often,\then why not put a spare pair in your bag?\Y-Yeah, but...\Then you could just pretend to go to the bathroom and put them on.\I mean, you carry around your PE clothes, right? response:	But...
context: I'm not a pervert!\Are you stupid or something?\If you forget so often,\then why not put a spare pair in your bag?\Y-Yeah, but...\Then you could just pretend to go to the bathroom and put them on.\I mean, you carry around your PE clothes, right?\But... response:	Getting all worked up isn't going to solve a thing.
context: Are you stupid or something?\If you forget so often,\then why not put a spare pair in your bag?\Y-Yeah, but...\Then you could just pretend to go to the bathroom and put them on.\I mean, you carry around your PE clothes, right?\But...\Getting all worked up isn't going to solve a thing. response:	You didn't want anyone to know who you were?
context: If you forget so often,\then why not put a spare pair in your bag?\Y-Yeah, but...\Then you could just pretend to go to the bathroom and put them on.\I mean, you carry around your PE clothes, right?\But...\Getting all worked up isn't going to solve a thing.\You didn't want anyone to know who you were? response:	That's being way too negative.
context: then why not put a spare pair in your bag?\Y-Yeah, but...\Then you could just pretend to go to the bathroom and put them on.\I mean, you carry around your PE clothes, right?\But...\Getting all worked up isn't going to solve a thing.\You didn't want anyone to know who you were?\That's being way too negative. response:	I know, but...
