context: The Year 1879 (What is now) Menlo Park, America response:	What's happening? The Year 1879 (What is now) Menlo Park, America
context: Untie us already!\Can you stand, Papa?\Yes.\Hand it over...\The compass.\Hand it over.\Turning the dial won't get you back.\We don't know that yet. response:	If they do regain control of the system,
context: Can you stand, Papa?\Yes.\Hand it over...\The compass.\Hand it over.\Turning the dial won't get you back.\We don't know that yet.\If they do regain control of the system, response:	I'll need a compass to do anything.
context: Yes.\Hand it over...\The compass.\Hand it over.\Turning the dial won't get you back.\We don't know that yet.\If they do regain control of the system,\I'll need a compass to do anything. response:	I refuse.
context: Hand it over...\The compass.\Hand it over.\Turning the dial won't get you back.\We don't know that yet.\If they do regain control of the system,\I'll need a compass to do anything.\I refuse. response:	A man like you wouldn't use it for anything good.
context: The compass.\Hand it over.\Turning the dial won't get you back.\We don't know that yet.\If they do regain control of the system,\I'll need a compass to do anything.\I refuse.\A man like you wouldn't use it for anything good. response:	What would you use it for, then?
context: Hand it over.\Turning the dial won't get you back.\We don't know that yet.\If they do regain control of the system,\I'll need a compass to do anything.\I refuse.\A man like you wouldn't use it for anything good.\What would you use it for, then? response:	Taking an educational trip through the history of science?
context: Turning the dial won't get you back.\We don't know that yet.\If they do regain control of the system,\I'll need a compass to do anything.\I refuse.\A man like you wouldn't use it for anything good.\What would you use it for, then?\Taking an educational trip through the history of science? response:	What nonsense.
context: We don't know that yet.\If they do regain control of the system,\I'll need a compass to do anything.\I refuse.\A man like you wouldn't use it for anything good.\What would you use it for, then?\Taking an educational trip through the history of science?\What nonsense. response:	No matter what amazing invention you invent,
context: If they do regain control of the system,\I'll need a compass to do anything.\I refuse.\A man like you wouldn't use it for anything good.\What would you use it for, then?\Taking an educational trip through the history of science?\What nonsense.\No matter what amazing invention you invent, response:	if you don't use it... if you don't make use of it...
context: I'll need a compass to do anything.\I refuse.\A man like you wouldn't use it for anything good.\What would you use it for, then?\Taking an educational trip through the history of science?\What nonsense.\No matter what amazing invention you invent,\if you don't use it... if you don't make use of it... response:	That so-called joy of discovery that you scientists feel
context: I refuse.\A man like you wouldn't use it for anything good.\What would you use it for, then?\Taking an educational trip through the history of science?\What nonsense.\No matter what amazing invention you invent,\if you don't use it... if you don't make use of it...\That so-called joy of discovery that you scientists feel response:	is nothing but self-gratification.
context: A man like you wouldn't use it for anything good.\What would you use it for, then?\Taking an educational trip through the history of science?\What nonsense.\No matter what amazing invention you invent,\if you don't use it... if you don't make use of it...\That so-called joy of discovery that you scientists feel\is nothing but self-gratification. response:	Without men like me in the world,
context: What would you use it for, then?\Taking an educational trip through the history of science?\What nonsense.\No matter what amazing invention you invent,\if you don't use it... if you don't make use of it...\That so-called joy of discovery that you scientists feel\is nothing but self-gratification.\Without men like me in the world, response:	your discoveries and inventions mean nothing.
context: Taking an educational trip through the history of science?\What nonsense.\No matter what amazing invention you invent,\if you don't use it... if you don't make use of it...\That so-called joy of discovery that you scientists feel\is nothing but self-gratification.\Without men like me in the world,\your discoveries and inventions mean nothing. response:	They're treasures going to rot.
context: What nonsense.\No matter what amazing invention you invent,\if you don't use it... if you don't make use of it...\That so-called joy of discovery that you scientists feel\is nothing but self-gratification.\Without men like me in the world,\your discoveries and inventions mean nothing.\They're treasures going to rot. response:	The joy of invention is nothing but crude sentimentalism.
context: No matter what amazing invention you invent,\if you don't use it... if you don't make use of it...\That so-called joy of discovery that you scientists feel\is nothing but self-gratification.\Without men like me in the world,\your discoveries and inventions mean nothing.\They're treasures going to rot.\The joy of invention is nothing but crude sentimentalism. response:	Shut up!
context: if you don't use it... if you don't make use of it...\That so-called joy of discovery that you scientists feel\is nothing but self-gratification.\Without men like me in the world,\your discoveries and inventions mean nothing.\They're treasures going to rot.\The joy of invention is nothing but crude sentimentalism.\Shut up! response:	Invention and discoveries mean nothing?
context: That so-called joy of discovery that you scientists feel\is nothing but self-gratification.\Without men like me in the world,\your discoveries and inventions mean nothing.\They're treasures going to rot.\The joy of invention is nothing but crude sentimentalism.\Shut up!\Invention and discoveries mean nothing? response:	Give me a break! What would you understand?
context: is nothing but self-gratification.\Without men like me in the world,\your discoveries and inventions mean nothing.\They're treasures going to rot.\The joy of invention is nothing but crude sentimentalism.\Shut up!\Invention and discoveries mean nothing?\Give me a break! What would you understand? response:	Mari...
context: Without men like me in the world,\your discoveries and inventions mean nothing.\They're treasures going to rot.\The joy of invention is nothing but crude sentimentalism.\Shut up!\Invention and discoveries mean nothing?\Give me a break! What would you understand?\Mari... response:	The scientists I've met have gone through so many failures.
context: your discoveries and inventions mean nothing.\They're treasures going to rot.\The joy of invention is nothing but crude sentimentalism.\Shut up!\Invention and discoveries mean nothing?\Give me a break! What would you understand?\Mari...\The scientists I've met have gone through so many failures. response:	They've failed over and over again.
context: They're treasures going to rot.\The joy of invention is nothing but crude sentimentalism.\Shut up!\Invention and discoveries mean nothing?\Give me a break! What would you understand?\Mari...\The scientists I've met have gone through so many failures.\They've failed over and over again. response:	But they keep trying, again and again!
context: The joy of invention is nothing but crude sentimentalism.\Shut up!\Invention and discoveries mean nothing?\Give me a break! What would you understand?\Mari...\The scientists I've met have gone through so many failures.\They've failed over and over again.\But they keep trying, again and again! response:	Science is interesting, isn't it?
context: Shut up!\Invention and discoveries mean nothing?\Give me a break! What would you understand?\Mari...\The scientists I've met have gone through so many failures.\They've failed over and over again.\But they keep trying, again and again!\Science is interesting, isn't it? response:	The more you think, the more you investigate,
context: Invention and discoveries mean nothing?\Give me a break! What would you understand?\Mari...\The scientists I've met have gone through so many failures.\They've failed over and over again.\But they keep trying, again and again!\Science is interesting, isn't it?\The more you think, the more you investigate, response:	the closer you come to the truth.
context: Give me a break! What would you understand?\Mari...\The scientists I've met have gone through so many failures.\They've failed over and over again.\But they keep trying, again and again!\Science is interesting, isn't it?\The more you think, the more you investigate,\the closer you come to the truth. response:	Well done is better than well said!
context: Mari...\The scientists I've met have gone through so many failures.\They've failed over and over again.\But they keep trying, again and again!\Science is interesting, isn't it?\The more you think, the more you investigate,\the closer you come to the truth.\Well done is better than well said! response:	The future... it's like a fantasy.
context: The scientists I've met have gone through so many failures.\They've failed over and over again.\But they keep trying, again and again!\Science is interesting, isn't it?\The more you think, the more you investigate,\the closer you come to the truth.\Well done is better than well said!\The future... it's like a fantasy. response:	Science is amazing!
context: They've failed over and over again.\But they keep trying, again and again!\Science is interesting, isn't it?\The more you think, the more you investigate,\the closer you come to the truth.\Well done is better than well said!\The future... it's like a fantasy.\Science is amazing! response:	Mari... Thanks to you, I feel like I've been able to see something I couldn't see before.
context: But they keep trying, again and again!\Science is interesting, isn't it?\The more you think, the more you investigate,\the closer you come to the truth.\Well done is better than well said!\The future... it's like a fantasy.\Science is amazing!\Mari... Thanks to you, I feel like I've been able to see something I couldn't see before. response:	Thank you.
context: Science is interesting, isn't it?\The more you think, the more you investigate,\the closer you come to the truth.\Well done is better than well said!\The future... it's like a fantasy.\Science is amazing!\Mari... Thanks to you, I feel like I've been able to see something I couldn't see before.\Thank you. response:	There are many interesting things in this world!
context: The more you think, the more you investigate,\the closer you come to the truth.\Well done is better than well said!\The future... it's like a fantasy.\Science is amazing!\Mari... Thanks to you, I feel like I've been able to see something I couldn't see before.\Thank you.\There are many interesting things in this world! response:	Please do your best.
context: the closer you come to the truth.\Well done is better than well said!\The future... it's like a fantasy.\Science is amazing!\Mari... Thanks to you, I feel like I've been able to see something I couldn't see before.\Thank you.\There are many interesting things in this world!\Please do your best. response:	Electromagnetic waves... My research did this?
context: Well done is better than well said!\The future... it's like a fantasy.\Science is amazing!\Mari... Thanks to you, I feel like I've been able to see something I couldn't see before.\Thank you.\There are many interesting things in this world!\Please do your best.\Electromagnetic waves... My research did this? response:	But even if I fail 1,000 times, I'll keep going until I succeed.
context: The future... it's like a fantasy.\Science is amazing!\Mari... Thanks to you, I feel like I've been able to see something I couldn't see before.\Thank you.\There are many interesting things in this world!\Please do your best.\Electromagnetic waves... My research did this?\But even if I fail 1,000 times, I'll keep going until I succeed. response:	They all believed in science, and their own dreams!
context: Science is amazing!\Mari... Thanks to you, I feel like I've been able to see something I couldn't see before.\Thank you.\There are many interesting things in this world!\Please do your best.\Electromagnetic waves... My research did this?\But even if I fail 1,000 times, I'll keep going until I succeed.\They all believed in science, and their own dreams! response:	Yes!
context: Mari... Thanks to you, I feel like I've been able to see something I couldn't see before.\Thank you.\There are many interesting things in this world!\Please do your best.\Electromagnetic waves... My research did this?\But even if I fail 1,000 times, I'll keep going until I succeed.\They all believed in science, and their own dreams!\Yes! response:	Please!
context: Thank you.\There are many interesting things in this world!\Please do your best.\Electromagnetic waves... My research did this?\But even if I fail 1,000 times, I'll keep going until I succeed.\They all believed in science, and their own dreams!\Yes!\Please! response:	We create what we imagine.
context: There are many interesting things in this world!\Please do your best.\Electromagnetic waves... My research did this?\But even if I fail 1,000 times, I'll keep going until I succeed.\They all believed in science, and their own dreams!\Yes!\Please!\We create what we imagine. response:	That's what's so great about science!
context: Please do your best.\Electromagnetic waves... My research did this?\But even if I fail 1,000 times, I'll keep going until I succeed.\They all believed in science, and their own dreams!\Yes!\Please!\We create what we imagine.\That's what's so great about science! response:	Someone discovers something,
context: Electromagnetic waves... My research did this?\But even if I fail 1,000 times, I'll keep going until I succeed.\They all believed in science, and their own dreams!\Yes!\Please!\We create what we imagine.\That's what's so great about science!\Someone discovers something, response:	someone else picks up on that,
context: But even if I fail 1,000 times, I'll keep going until I succeed.\They all believed in science, and their own dreams!\Yes!\Please!\We create what we imagine.\That's what's so great about science!\Someone discovers something,\someone else picks up on that, response:	and it expands into more and more discoveries and inventions!
context: They all believed in science, and their own dreams!\Yes!\Please!\We create what we imagine.\That's what's so great about science!\Someone discovers something,\someone else picks up on that,\and it expands into more and more discoveries and inventions! response:	Someone like you, who just uses things other people made...
context: Yes!\Please!\We create what we imagine.\That's what's so great about science!\Someone discovers something,\someone else picks up on that,\and it expands into more and more discoveries and inventions!\Someone like you, who just uses things other people made... response:	I won't let you insult them!
context: Please!\We create what we imagine.\That's what's so great about science!\Someone discovers something,\someone else picks up on that,\and it expands into more and more discoveries and inventions!\Someone like you, who just uses things other people made...\I won't let you insult them! response:	What?
context: We create what we imagine.\That's what's so great about science!\Someone discovers something,\someone else picks up on that,\and it expands into more and more discoveries and inventions!\Someone like you, who just uses things other people made...\I won't let you insult them!\What? response:	We can get back?
context: That's what's so great about science!\Someone discovers something,\someone else picks up on that,\and it expands into more and more discoveries and inventions!\Someone like you, who just uses things other people made...\I won't let you insult them!\What?\We can get back? response:	W-Wait!
context: Someone discovers something,\someone else picks up on that,\and it expands into more and more discoveries and inventions!\Someone like you, who just uses things other people made...\I won't let you insult them!\What?\We can get back?\W-Wait! response:	I see. So that's how it ends?
context: someone else picks up on that,\and it expands into more and more discoveries and inventions!\Someone like you, who just uses things other people made...\I won't let you insult them!\What?\We can get back?\W-Wait!\I see. So that's how it ends? response:	For a man who wanted to make money off the matter transporter
context: and it expands into more and more discoveries and inventions!\Someone like you, who just uses things other people made...\I won't let you insult them!\What?\We can get back?\W-Wait!\I see. So that's how it ends?\For a man who wanted to make money off the matter transporter response:	to be tripped by an invention used for making money...
context: Someone like you, who just uses things other people made...\I won't let you insult them!\What?\We can get back?\W-Wait!\I see. So that's how it ends?\For a man who wanted to make money off the matter transporter\to be tripped by an invention used for making money... response:	Mari! Eiji!
context: I won't let you insult them!\What?\We can get back?\W-Wait!\I see. So that's how it ends?\For a man who wanted to make money off the matter transporter\to be tripped by an invention used for making money...\Mari! Eiji! response:	Mari! I'm so glad!
context: What?\We can get back?\W-Wait!\I see. So that's how it ends?\For a man who wanted to make money off the matter transporter\to be tripped by an invention used for making money...\Mari! Eiji!\Mari! I'm so glad! response:	Waka!
context: We can get back?\W-Wait!\I see. So that's how it ends?\For a man who wanted to make money off the matter transporter\to be tripped by an invention used for making money...\Mari! Eiji!\Mari! I'm so glad!\Waka! response:	Eiji!
context: W-Wait!\I see. So that's how it ends?\For a man who wanted to make money off the matter transporter\to be tripped by an invention used for making money...\Mari! Eiji!\Mari! I'm so glad!\Waka!\Eiji! response:	Akira! What's going on?
context: I see. So that's how it ends?\For a man who wanted to make money off the matter transporter\to be tripped by an invention used for making money...\Mari! Eiji!\Mari! I'm so glad!\Waka!\Eiji!\Akira! What's going on? response:	Mr. Mikage... Where's Mr. Mikage?!
context: For a man who wanted to make money off the matter transporter\to be tripped by an invention used for making money...\Mari! Eiji!\Mari! I'm so glad!\Waka!\Eiji!\Akira! What's going on?\Mr. Mikage... Where's Mr. Mikage?! response:	I'm sorry.
context: to be tripped by an invention used for making money...\Mari! Eiji!\Mari! I'm so glad!\Waka!\Eiji!\Akira! What's going on?\Mr. Mikage... Where's Mr. Mikage?!\I'm sorry. response:	It won't hold out any longer. Get to safety, everyone!
context: Mari! Eiji!\Mari! I'm so glad!\Waka!\Eiji!\Akira! What's going on?\Mr. Mikage... Where's Mr. Mikage?!\I'm sorry.\It won't hold out any longer. Get to safety, everyone! response:	No! Return Mr. Mikage right now!
context: Mari! I'm so glad!\Waka!\Eiji!\Akira! What's going on?\Mr. Mikage... Where's Mr. Mikage?!\I'm sorry.\It won't hold out any longer. Get to safety, everyone!\No! Return Mr. Mikage right now! response:	I can't.
context: Waka!\Eiji!\Akira! What's going on?\Mr. Mikage... Where's Mr. Mikage?!\I'm sorry.\It won't hold out any longer. Get to safety, everyone!\No! Return Mr. Mikage right now!\I can't. response:	Give it up. It's too late!
context: Eiji!\Akira! What's going on?\Mr. Mikage... Where's Mr. Mikage?!\I'm sorry.\It won't hold out any longer. Get to safety, everyone!\No! Return Mr. Mikage right now!\I can't.\Give it up. It's too late! response:	Now, you two, come along!
context: Akira! What's going on?\Mr. Mikage... Where's Mr. Mikage?!\I'm sorry.\It won't hold out any longer. Get to safety, everyone!\No! Return Mr. Mikage right now!\I can't.\Give it up. It's too late!\Now, you two, come along! response:	Okay!
context: Mr. Mikage... Where's Mr. Mikage?!\I'm sorry.\It won't hold out any longer. Get to safety, everyone!\No! Return Mr. Mikage right now!\I can't.\Give it up. It's too late!\Now, you two, come along!\Okay! response:	Mr. Mikage... Mr. Mikage!
context: I'm sorry.\It won't hold out any longer. Get to safety, everyone!\No! Return Mr. Mikage right now!\I can't.\Give it up. It's too late!\Now, you two, come along!\Okay!\Mr. Mikage... Mr. Mikage! response:	Mr. Mikage!
context: It won't hold out any longer. Get to safety, everyone!\No! Return Mr. Mikage right now!\I can't.\Give it up. It's too late!\Now, you two, come along!\Okay!\Mr. Mikage... Mr. Mikage!\Mr. Mikage! response:	Hurry!
context: No! Return Mr. Mikage right now!\I can't.\Give it up. It's too late!\Now, you two, come along!\Okay!\Mr. Mikage... Mr. Mikage!\Mr. Mikage!\Hurry! response:	A fire?! What about Mr. Mikage and Ms. Kuroki?
context: I can't.\Give it up. It's too late!\Now, you two, come along!\Okay!\Mr. Mikage... Mr. Mikage!\Mr. Mikage!\Hurry!\A fire?! What about Mr. Mikage and Ms. Kuroki? response:	They're still in the basement.
context: Give it up. It's too late!\Now, you two, come along!\Okay!\Mr. Mikage... Mr. Mikage!\Mr. Mikage!\Hurry!\A fire?! What about Mr. Mikage and Ms. Kuroki?\They're still in the basement. response:	Along with the doctor's wife and his daughter's friend.
context: Now, you two, come along!\Okay!\Mr. Mikage... Mr. Mikage!\Mr. Mikage!\Hurry!\A fire?! What about Mr. Mikage and Ms. Kuroki?\They're still in the basement.\Along with the doctor's wife and his daughter's friend. response:	Wait!
context: Okay!\Mr. Mikage... Mr. Mikage!\Mr. Mikage!\Hurry!\A fire?! What about Mr. Mikage and Ms. Kuroki?\They're still in the basement.\Along with the doctor's wife and his daughter's friend.\Wait! response:	Hey! Wait up!
context: Mr. Mikage... Mr. Mikage!\Mr. Mikage!\Hurry!\A fire?! What about Mr. Mikage and Ms. Kuroki?\They're still in the basement.\Along with the doctor's wife and his daughter's friend.\Wait!\Hey! Wait up! response:	Mizuki! Mizuki!
context: Mr. Mikage!\Hurry!\A fire?! What about Mr. Mikage and Ms. Kuroki?\They're still in the basement.\Along with the doctor's wife and his daughter's friend.\Wait!\Hey! Wait up!\Mizuki! Mizuki! response:	Hayase!
context: Hurry!\A fire?! What about Mr. Mikage and Ms. Kuroki?\They're still in the basement.\Along with the doctor's wife and his daughter's friend.\Wait!\Hey! Wait up!\Mizuki! Mizuki!\Hayase! response:	Futa?
context: A fire?! What about Mr. Mikage and Ms. Kuroki?\They're still in the basement.\Along with the doctor's wife and his daughter's friend.\Wait!\Hey! Wait up!\Mizuki! Mizuki!\Hayase!\Futa? response:	Hayase! Where's Mizuki?
context: They're still in the basement.\Along with the doctor's wife and his daughter's friend.\Wait!\Hey! Wait up!\Mizuki! Mizuki!\Hayase!\Futa?\Hayase! Where's Mizuki? response:	Oh no... She was right behind me.
context: Along with the doctor's wife and his daughter's friend.\Wait!\Hey! Wait up!\Mizuki! Mizuki!\Hayase!\Futa?\Hayase! Where's Mizuki?\Oh no... She was right behind me. response:	Futa!
context: Wait!\Hey! Wait up!\Mizuki! Mizuki!\Hayase!\Futa?\Hayase! Where's Mizuki?\Oh no... She was right behind me.\Futa! response:	What's wrong?!
context: Hey! Wait up!\Mizuki! Mizuki!\Hayase!\Futa?\Hayase! Where's Mizuki?\Oh no... She was right behind me.\Futa!\What's wrong?! response:	Papa... Waka's still down there!
context: Mizuki! Mizuki!\Hayase!\Futa?\Hayase! Where's Mizuki?\Oh no... She was right behind me.\Futa!\What's wrong?!\Papa... Waka's still down there! response:	What?!
context: Hayase!\Futa?\Hayase! Where's Mizuki?\Oh no... She was right behind me.\Futa!\What's wrong?!\Papa... Waka's still down there!\What?! response:	Waka!
context: Futa?\Hayase! Where's Mizuki?\Oh no... She was right behind me.\Futa!\What's wrong?!\Papa... Waka's still down there!\What?!\Waka! response:	Mizuki! Where are you, Mizuki?
context: Hayase! Where's Mizuki?\Oh no... She was right behind me.\Futa!\What's wrong?!\Papa... Waka's still down there!\What?!\Waka!\Mizuki! Where are you, Mizuki? response:	Mizuki!
context: Oh no... She was right behind me.\Futa!\What's wrong?!\Papa... Waka's still down there!\What?!\Waka!\Mizuki! Where are you, Mizuki?\Mizuki! response:	Mizuki, hang in there!
context: Futa!\What's wrong?!\Papa... Waka's still down there!\What?!\Waka!\Mizuki! Where are you, Mizuki?\Mizuki!\Mizuki, hang in there! response:	Futa...
context: What's wrong?!\Papa... Waka's still down there!\What?!\Waka!\Mizuki! Where are you, Mizuki?\Mizuki!\Mizuki, hang in there!\Futa... response:	Waka! Hey, Waka!
context: Papa... Waka's still down there!\What?!\Waka!\Mizuki! Where are you, Mizuki?\Mizuki!\Mizuki, hang in there!\Futa...\Waka! Hey, Waka! response:	Waka!
context: What?!\Waka!\Mizuki! Where are you, Mizuki?\Mizuki!\Mizuki, hang in there!\Futa...\Waka! Hey, Waka!\Waka! response:	Hurry up and go!
context: Waka!\Mizuki! Where are you, Mizuki?\Mizuki!\Mizuki, hang in there!\Futa...\Waka! Hey, Waka!\Waka!\Hurry up and go! response:	Right!
context: Mizuki! Where are you, Mizuki?\Mizuki!\Mizuki, hang in there!\Futa...\Waka! Hey, Waka!\Waka!\Hurry up and go!\Right! response:	So Sekota was working with Mikage...
context: Mizuki!\Mizuki, hang in there!\Futa...\Waka! Hey, Waka!\Waka!\Hurry up and go!\Right!\So Sekota was working with Mikage... response:	It all burned down, huh?
context: Mizuki, hang in there!\Futa...\Waka! Hey, Waka!\Waka!\Hurry up and go!\Right!\So Sekota was working with Mikage...\It all burned down, huh? response:	This is for the best.
context: Futa...\Waka! Hey, Waka!\Waka!\Hurry up and go!\Right!\So Sekota was working with Mikage...\It all burned down, huh?\This is for the best. response:	What?
context: Waka! Hey, Waka!\Waka!\Hurry up and go!\Right!\So Sekota was working with Mikage...\It all burned down, huh?\This is for the best.\What? response:	It is.
context: Waka!\Hurry up and go!\Right!\So Sekota was working with Mikage...\It all burned down, huh?\This is for the best.\What?\It is. response:	Mari.
context: Hurry up and go!\Right!\So Sekota was working with Mikage...\It all burned down, huh?\This is for the best.\What?\It is.\Mari. response:	Waka!
context: Right!\So Sekota was working with Mikage...\It all burned down, huh?\This is for the best.\What?\It is.\Mari.\Waka! response:	Are you feeling better?
context: So Sekota was working with Mikage...\It all burned down, huh?\This is for the best.\What?\It is.\Mari.\Waka!\Are you feeling better? response:	Yes.
context: It all burned down, huh?\This is for the best.\What?\It is.\Mari.\Waka!\Are you feeling better?\Yes. response:	I got some rest in the back of the ambulance. I'm fine.
context: This is for the best.\What?\It is.\Mari.\Waka!\Are you feeling better?\Yes.\I got some rest in the back of the ambulance. I'm fine. response:	I'm so glad! I was so worried!
context: What?\It is.\Mari.\Waka!\Are you feeling better?\Yes.\I got some rest in the back of the ambulance. I'm fine.\I'm so glad! I was so worried! response:	I went back for the book, and I breathed in some smoke.
context: It is.\Mari.\Waka!\Are you feeling better?\Yes.\I got some rest in the back of the ambulance. I'm fine.\I'm so glad! I was so worried!\I went back for the book, and I breathed in some smoke. response:	Sheesh! What would you have done without me?
context: Mari.\Waka!\Are you feeling better?\Yes.\I got some rest in the back of the ambulance. I'm fine.\I'm so glad! I was so worried!\I went back for the book, and I breathed in some smoke.\Sheesh! What would you have done without me? response:	Y-Y-You...
context: Waka!\Are you feeling better?\Yes.\I got some rest in the back of the ambulance. I'm fine.\I'm so glad! I was so worried!\I went back for the book, and I breathed in some smoke.\Sheesh! What would you have done without me?\Y-Y-You... response:	Thanks.
context: Are you feeling better?\Yes.\I got some rest in the back of the ambulance. I'm fine.\I'm so glad! I was so worried!\I went back for the book, and I breathed in some smoke.\Sheesh! What would you have done without me?\Y-Y-You...\Thanks. response:	Futa, you're all red.
context: Yes.\I got some rest in the back of the ambulance. I'm fine.\I'm so glad! I was so worried!\I went back for the book, and I breathed in some smoke.\Sheesh! What would you have done without me?\Y-Y-You...\Thanks.\Futa, you're all red. response:	Okay, I'm glad we're all safe!
context: I got some rest in the back of the ambulance. I'm fine.\I'm so glad! I was so worried!\I went back for the book, and I breathed in some smoke.\Sheesh! What would you have done without me?\Y-Y-You...\Thanks.\Futa, you're all red.\Okay, I'm glad we're all safe! response:	We are not!
context: I'm so glad! I was so worried!\I went back for the book, and I breathed in some smoke.\Sheesh! What would you have done without me?\Y-Y-You...\Thanks.\Futa, you're all red.\Okay, I'm glad we're all safe!\We are not! response:	Mama!
context: I went back for the book, and I breathed in some smoke.\Sheesh! What would you have done without me?\Y-Y-You...\Thanks.\Futa, you're all red.\Okay, I'm glad we're all safe!\We are not!\Mama! response:	What are you doing?!
context: Sheesh! What would you have done without me?\Y-Y-You...\Thanks.\Futa, you're all red.\Okay, I'm glad we're all safe!\We are not!\Mama!\What are you doing?! response:	This was all your fault from the beginning!
context: Y-Y-You...\Thanks.\Futa, you're all red.\Okay, I'm glad we're all safe!\We are not!\Mama!\What are you doing?!\This was all your fault from the beginning! response:	Three years without a single call...
context: Thanks.\Futa, you're all red.\Okay, I'm glad we're all safe!\We are not!\Mama!\What are you doing?!\This was all your fault from the beginning!\Three years without a single call... response:	And you stole a cup from Napoleon?!
context: Futa, you're all red.\Okay, I'm glad we're all safe!\We are not!\Mama!\What are you doing?!\This was all your fault from the beginning!\Three years without a single call...\And you stole a cup from Napoleon?! response:	Well...
context: Okay, I'm glad we're all safe!\We are not!\Mama!\What are you doing?!\This was all your fault from the beginning!\Three years without a single call...\And you stole a cup from Napoleon?!\Well... response:	That wasn't stolen. It was a gift-
context: We are not!\Mama!\What are you doing?!\This was all your fault from the beginning!\Three years without a single call...\And you stole a cup from Napoleon?!\Well...\That wasn't stolen. It was a gift- response:	Shut up!
context: Mama!\What are you doing?!\This was all your fault from the beginning!\Three years without a single call...\And you stole a cup from Napoleon?!\Well...\That wasn't stolen. It was a gift-\Shut up! response:	You are always so...
context: What are you doing?!\This was all your fault from the beginning!\Three years without a single call...\And you stole a cup from Napoleon?!\Well...\That wasn't stolen. It was a gift-\Shut up!\You are always so... response:	Sorry.
context: This was all your fault from the beginning!\Three years without a single call...\And you stole a cup from Napoleon?!\Well...\That wasn't stolen. It was a gift-\Shut up!\You are always so...\Sorry. response:	Mama...
context: Three years without a single call...\And you stole a cup from Napoleon?!\Well...\That wasn't stolen. It was a gift-\Shut up!\You are always so...\Sorry.\Mama... response:	Thanks.
context: And you stole a cup from Napoleon?!\Well...\That wasn't stolen. It was a gift-\Shut up!\You are always so...\Sorry.\Mama...\Thanks. response:	What's going on here?
context: Well...\That wasn't stolen. It was a gift-\Shut up!\You are always so...\Sorry.\Mama...\Thanks.\What's going on here? response:	What are you doing?
context: That wasn't stolen. It was a gift-\Shut up!\You are always so...\Sorry.\Mama...\Thanks.\What's going on here?\What are you doing? response:	Hey... You okay?
context: Shut up!\You are always so...\Sorry.\Mama...\Thanks.\What's going on here?\What are you doing?\Hey... You okay? response:	It... It shouldn't have been this way.
context: You are always so...\Sorry.\Mama...\Thanks.\What's going on here?\What are you doing?\Hey... You okay?\It... It shouldn't have been this way. response:	I-I failed...
context: Sorry.\Mama...\Thanks.\What's going on here?\What are you doing?\Hey... You okay?\It... It shouldn't have been this way.\I-I failed... response:	How could I have failed like...
context: Mama...\Thanks.\What's going on here?\What are you doing?\Hey... You okay?\It... It shouldn't have been this way.\I-I failed...\How could I have failed like... response:	What a failure...
context: Thanks.\What's going on here?\What are you doing?\Hey... You okay?\It... It shouldn't have been this way.\I-I failed...\How could I have failed like...\What a failure... response:	Failure is an ingredient for success, you know?
context: What's going on here?\What are you doing?\Hey... You okay?\It... It shouldn't have been this way.\I-I failed...\How could I have failed like...\What a failure...\Failure is an ingredient for success, you know? response:	You know...
context: What are you doing?\Hey... You okay?\It... It shouldn't have been this way.\I-I failed...\How could I have failed like...\What a failure...\Failure is an ingredient for success, you know?\You know... response:	I need to explain to the investors how the incandescent light project is going.
context: Hey... You okay?\It... It shouldn't have been this way.\I-I failed...\How could I have failed like...\What a failure...\Failure is an ingredient for success, you know?\You know...\I need to explain to the investors how the incandescent light project is going. response:	And they are getting a bit edgy after waiting for more than a year with no results.
context: It... It shouldn't have been this way.\I-I failed...\How could I have failed like...\What a failure...\Failure is an ingredient for success, you know?\You know...\I need to explain to the investors how the incandescent light project is going.\And they are getting a bit edgy after waiting for more than a year with no results. response:	Remember, I built this company on your advice.
context: I-I failed...\How could I have failed like...\What a failure...\Failure is an ingredient for success, you know?\You know...\I need to explain to the investors how the incandescent light project is going.\And they are getting a bit edgy after waiting for more than a year with no results.\Remember, I built this company on your advice. response:	Opportunity...
context: How could I have failed like...\What a failure...\Failure is an ingredient for success, you know?\You know...\I need to explain to the investors how the incandescent light project is going.\And they are getting a bit edgy after waiting for more than a year with no results.\Remember, I built this company on your advice.\Opportunity... response:	What?
context: What a failure...\Failure is an ingredient for success, you know?\You know...\I need to explain to the investors how the incandescent light project is going.\And they are getting a bit edgy after waiting for more than a year with no results.\Remember, I built this company on your advice.\Opportunity...\What? response:	It is when things go wrong
context: Failure is an ingredient for success, you know?\You know...\I need to explain to the investors how the incandescent light project is going.\And they are getting a bit edgy after waiting for more than a year with no results.\Remember, I built this company on your advice.\Opportunity...\What?\It is when things go wrong response:	that there is a chance for opportunity.
context: You know...\I need to explain to the investors how the incandescent light project is going.\And they are getting a bit edgy after waiting for more than a year with no results.\Remember, I built this company on your advice.\Opportunity...\What?\It is when things go wrong\that there is a chance for opportunity. response:	You have a good point there!
context: I need to explain to the investors how the incandescent light project is going.\And they are getting a bit edgy after waiting for more than a year with no results.\Remember, I built this company on your advice.\Opportunity...\What?\It is when things go wrong\that there is a chance for opportunity.\You have a good point there! response:	Thank you very much.
