context: Redraw? response:	After what Eiji said about the name, we can't make it into a manuscript.
context: I'm heading out!\Dad, please don't stir him up too much.\He's still a child.\Kayoko-san, with manga, if you don't draw well, you get left behind.\Dad, have you been sneaking alcohol again?\Ah?\Man, I'm stuffed.\Thanks for the meal. response:	So how's it going? Think you'll make it?
context: Dad, please don't stir him up too much.\He's still a child.\Kayoko-san, with manga, if you don't draw well, you get left behind.\Dad, have you been sneaking alcohol again?\Ah?\Man, I'm stuffed.\Thanks for the meal.\So how's it going? Think you'll make it? response:	Well, with the ten days we have left,
context: He's still a child.\Kayoko-san, with manga, if you don't draw well, you get left behind.\Dad, have you been sneaking alcohol again?\Ah?\Man, I'm stuffed.\Thanks for the meal.\So how's it going? Think you'll make it?\Well, with the ten days we have left, response:	we have twenty pages.
context: Kayoko-san, with manga, if you don't draw well, you get left behind.\Dad, have you been sneaking alcohol again?\Ah?\Man, I'm stuffed.\Thanks for the meal.\So how's it going? Think you'll make it?\Well, with the ten days we have left,\we have twenty pages. response:	So it's two pages a day, huh? Sounds like plenty!
context: Dad, have you been sneaking alcohol again?\Ah?\Man, I'm stuffed.\Thanks for the meal.\So how's it going? Think you'll make it?\Well, with the ten days we have left,\we have twenty pages.\So it's two pages a day, huh? Sounds like plenty! response:	If you split it equally day-by-day, yeah.
context: Ah?\Man, I'm stuffed.\Thanks for the meal.\So how's it going? Think you'll make it?\Well, with the ten days we have left,\we have twenty pages.\So it's two pages a day, huh? Sounds like plenty!\If you split it equally day-by-day, yeah. response:	Yeah, but we're gonna persevere until the deadline. We want to make a perfect manuscript.
context: Man, I'm stuffed.\Thanks for the meal.\So how's it going? Think you'll make it?\Well, with the ten days we have left,\we have twenty pages.\So it's two pages a day, huh? Sounds like plenty!\If you split it equally day-by-day, yeah.\Yeah, but we're gonna persevere until the deadline. We want to make a perfect manuscript. response:	We should be able to make it more interesting!
context: Thanks for the meal.\So how's it going? Think you'll make it?\Well, with the ten days we have left,\we have twenty pages.\So it's two pages a day, huh? Sounds like plenty!\If you split it equally day-by-day, yeah.\Yeah, but we're gonna persevere until the deadline. We want to make a perfect manuscript.\We should be able to make it more interesting! response:	There are no limits to manga, right?
context: So how's it going? Think you'll make it?\Well, with the ten days we have left,\we have twenty pages.\So it's two pages a day, huh? Sounds like plenty!\If you split it equally day-by-day, yeah.\Yeah, but we're gonna persevere until the deadline. We want to make a perfect manuscript.\We should be able to make it more interesting!\There are no limits to manga, right? response:	Yep. No ceiling to drawings or stories.
context: Well, with the ten days we have left,\we have twenty pages.\So it's two pages a day, huh? Sounds like plenty!\If you split it equally day-by-day, yeah.\Yeah, but we're gonna persevere until the deadline. We want to make a perfect manuscript.\We should be able to make it more interesting!\There are no limits to manga, right?\Yep. No ceiling to drawings or stories. response:	Isn't that the truth?
context: we have twenty pages.\So it's two pages a day, huh? Sounds like plenty!\If you split it equally day-by-day, yeah.\Yeah, but we're gonna persevere until the deadline. We want to make a perfect manuscript.\We should be able to make it more interesting!\There are no limits to manga, right?\Yep. No ceiling to drawings or stories.\Isn't that the truth? response:	I looked over the design for the characters, and I think we've finally got something I'm happy with.
context: So it's two pages a day, huh? Sounds like plenty!\If you split it equally day-by-day, yeah.\Yeah, but we're gonna persevere until the deadline. We want to make a perfect manuscript.\We should be able to make it more interesting!\There are no limits to manga, right?\Yep. No ceiling to drawings or stories.\Isn't that the truth?\I looked over the design for the characters, and I think we've finally got something I'm happy with. response:	I can't lose either!
context: If you split it equally day-by-day, yeah.\Yeah, but we're gonna persevere until the deadline. We want to make a perfect manuscript.\We should be able to make it more interesting!\There are no limits to manga, right?\Yep. No ceiling to drawings or stories.\Isn't that the truth?\I looked over the design for the characters, and I think we've finally got something I'm happy with.\I can't lose either! response:	I'll go over the lines in my head and make them into something that pulls in the readers more!
context: Yeah, but we're gonna persevere until the deadline. We want to make a perfect manuscript.\We should be able to make it more interesting!\There are no limits to manga, right?\Yep. No ceiling to drawings or stories.\Isn't that the truth?\I looked over the design for the characters, and I think we've finally got something I'm happy with.\I can't lose either!\I'll go over the lines in my head and make them into something that pulls in the readers more! response:	Let's give it our best right up to the deadline!
context: We should be able to make it more interesting!\There are no limits to manga, right?\Yep. No ceiling to drawings or stories.\Isn't that the truth?\I looked over the design for the characters, and I think we've finally got something I'm happy with.\I can't lose either!\I'll go over the lines in my head and make them into something that pulls in the readers more!\Let's give it our best right up to the deadline! response:	Okay, let's get back to work!
context: There are no limits to manga, right?\Yep. No ceiling to drawings or stories.\Isn't that the truth?\I looked over the design for the characters, and I think we've finally got something I'm happy with.\I can't lose either!\I'll go over the lines in my head and make them into something that pulls in the readers more!\Let's give it our best right up to the deadline!\Okay, let's get back to work! response:	We'll get the Golden Future Cup, then go on to serialization!
context: Yep. No ceiling to drawings or stories.\Isn't that the truth?\I looked over the design for the characters, and I think we've finally got something I'm happy with.\I can't lose either!\I'll go over the lines in my head and make them into something that pulls in the readers more!\Let's give it our best right up to the deadline!\Okay, let's get back to work!\We'll get the Golden Future Cup, then go on to serialization! response:	Yeah!
context: Isn't that the truth?\I looked over the design for the characters, and I think we've finally got something I'm happy with.\I can't lose either!\I'll go over the lines in my head and make them into something that pulls in the readers more!\Let's give it our best right up to the deadline!\Okay, let's get back to work!\We'll get the Golden Future Cup, then go on to serialization!\Yeah! response:	All right! Now I'm totally hyped up too!
context: I looked over the design for the characters, and I think we've finally got something I'm happy with.\I can't lose either!\I'll go over the lines in my head and make them into something that pulls in the readers more!\Let's give it our best right up to the deadline!\Okay, let's get back to work!\We'll get the Golden Future Cup, then go on to serialization!\Yeah!\All right! Now I'm totally hyped up too! response:	If you need anything, just say the word! I'll help out!
context: I can't lose either!\I'll go over the lines in my head and make them into something that pulls in the readers more!\Let's give it our best right up to the deadline!\Okay, let's get back to work!\We'll get the Golden Future Cup, then go on to serialization!\Yeah!\All right! Now I'm totally hyped up too!\If you need anything, just say the word! I'll help out! response:	Thank you, Miyoshi.
context: I'll go over the lines in my head and make them into something that pulls in the readers more!\Let's give it our best right up to the deadline!\Okay, let's get back to work!\We'll get the Golden Future Cup, then go on to serialization!\Yeah!\All right! Now I'm totally hyped up too!\If you need anything, just say the word! I'll help out!\Thank you, Miyoshi. response:	Okay.
context: Let's give it our best right up to the deadline!\Okay, let's get back to work!\We'll get the Golden Future Cup, then go on to serialization!\Yeah!\All right! Now I'm totally hyped up too!\If you need anything, just say the word! I'll help out!\Thank you, Miyoshi.\Okay. response:	Let's do this!
context: Okay, let's get back to work!\We'll get the Golden Future Cup, then go on to serialization!\Yeah!\All right! Now I'm totally hyped up too!\If you need anything, just say the word! I'll help out!\Thank you, Miyoshi.\Okay.\Let's do this! response:	Battle start!
context: We'll get the Golden Future Cup, then go on to serialization!\Yeah!\All right! Now I'm totally hyped up too!\If you need anything, just say the word! I'll help out!\Thank you, Miyoshi.\Okay.\Let's do this!\Battle start! response:	Done!
context: Yeah!\All right! Now I'm totally hyped up too!\If you need anything, just say the word! I'll help out!\Thank you, Miyoshi.\Okay.\Let's do this!\Battle start!\Done! response:	All right, we finished!
context: All right! Now I'm totally hyped up too!\If you need anything, just say the word! I'll help out!\Thank you, Miyoshi.\Okay.\Let's do this!\Battle start!\Done!\All right, we finished! response:	I'll go get something to celebrate!
context: If you need anything, just say the word! I'll help out!\Thank you, Miyoshi.\Okay.\Let's do this!\Battle start!\Done!\All right, we finished!\I'll go get something to celebrate! response:	Okay, we're gonna head over to hand this in.
context: Thank you, Miyoshi.\Okay.\Let's do this!\Battle start!\Done!\All right, we finished!\I'll go get something to celebrate!\Okay, we're gonna head over to hand this in. response:	Okay, then we'll celebrate when you get back!
context: Okay.\Let's do this!\Battle start!\Done!\All right, we finished!\I'll go get something to celebrate!\Okay, we're gonna head over to hand this in.\Okay, then we'll celebrate when you get back! response:	All right, I'm going to call Hattori-san.
context: Let's do this!\Battle start!\Done!\All right, we finished!\I'll go get something to celebrate!\Okay, we're gonna head over to hand this in.\Okay, then we'll celebrate when you get back!\All right, I'm going to call Hattori-san. response:	Hello, it's Takagi.
context: Battle start!\Done!\All right, we finished!\I'll go get something to celebrate!\Okay, we're gonna head over to hand this in.\Okay, then we'll celebrate when you get back!\All right, I'm going to call Hattori-san.\Hello, it's Takagi. response:	Sorry it's so late.
context: Done!\All right, we finished!\I'll go get something to celebrate!\Okay, we're gonna head over to hand this in.\Okay, then we'll celebrate when you get back!\All right, I'm going to call Hattori-san.\Hello, it's Takagi.\Sorry it's so late. response:	We've got the manuscript done.
context: All right, we finished!\I'll go get something to celebrate!\Okay, we're gonna head over to hand this in.\Okay, then we'll celebrate when you get back!\All right, I'm going to call Hattori-san.\Hello, it's Takagi.\Sorry it's so late.\We've got the manuscript done. response:	Are you okay?
context: I'll go get something to celebrate!\Okay, we're gonna head over to hand this in.\Okay, then we'll celebrate when you get back!\All right, I'm going to call Hattori-san.\Hello, it's Takagi.\Sorry it's so late.\We've got the manuscript done.\Are you okay? response:	You didn't sleep for the last two days.
context: Okay, we're gonna head over to hand this in.\Okay, then we'll celebrate when you get back!\All right, I'm going to call Hattori-san.\Hello, it's Takagi.\Sorry it's so late.\We've got the manuscript done.\Are you okay?\You didn't sleep for the last two days. response:	Neither did you, Shuujin.
context: Okay, then we'll celebrate when you get back!\All right, I'm going to call Hattori-san.\Hello, it's Takagi.\Sorry it's so late.\We've got the manuscript done.\Are you okay?\You didn't sleep for the last two days.\Neither did you, Shuujin. response:	Yeah, but I was resting during that time.
context: All right, I'm going to call Hattori-san.\Hello, it's Takagi.\Sorry it's so late.\We've got the manuscript done.\Are you okay?\You didn't sleep for the last two days.\Neither did you, Shuujin.\Yeah, but I was resting during that time. response:	It's okay. There's no way I can fall asleep.
context: Hello, it's Takagi.\Sorry it's so late.\We've got the manuscript done.\Are you okay?\You didn't sleep for the last two days.\Neither did you, Shuujin.\Yeah, but I was resting during that time.\It's okay. There's no way I can fall asleep. response:	Not until we hand this in.
context: Sorry it's so late.\We've got the manuscript done.\Are you okay?\You didn't sleep for the last two days.\Neither did you, Shuujin.\Yeah, but I was resting during that time.\It's okay. There's no way I can fall asleep.\Not until we hand this in. response:	Once we get serialized, it'll probably feel like this every week.
context: We've got the manuscript done.\Are you okay?\You didn't sleep for the last two days.\Neither did you, Shuujin.\Yeah, but I was resting during that time.\It's okay. There's no way I can fall asleep.\Not until we hand this in.\Once we get serialized, it'll probably feel like this every week. response:	Not looking forward to it?
context: Are you okay?\You didn't sleep for the last two days.\Neither did you, Shuujin.\Yeah, but I was resting during that time.\It's okay. There's no way I can fall asleep.\Not until we hand this in.\Once we get serialized, it'll probably feel like this every week.\Not looking forward to it? response:	No way!
context: You didn't sleep for the last two days.\Neither did you, Shuujin.\Yeah, but I was resting during that time.\It's okay. There's no way I can fall asleep.\Not until we hand this in.\Once we get serialized, it'll probably feel like this every week.\Not looking forward to it?\No way! response:	We're finally at a point where we're aiming for serialization.
context: Neither did you, Shuujin.\Yeah, but I was resting during that time.\It's okay. There's no way I can fall asleep.\Not until we hand this in.\Once we get serialized, it'll probably feel like this every week.\Not looking forward to it?\No way!\We're finally at a point where we're aiming for serialization. response:	Instead of dreading it, I'm getting more and more hyped about it!
context: Yeah, but I was resting during that time.\It's okay. There's no way I can fall asleep.\Not until we hand this in.\Once we get serialized, it'll probably feel like this every week.\Not looking forward to it?\No way!\We're finally at a point where we're aiming for serialization.\Instead of dreading it, I'm getting more and more hyped about it! response:	By the way Shuujin, you said that when you were talking me into being a mangaka, right?
context: It's okay. There's no way I can fall asleep.\Not until we hand this in.\Once we get serialized, it'll probably feel like this every week.\Not looking forward to it?\No way!\We're finally at a point where we're aiming for serialization.\Instead of dreading it, I'm getting more and more hyped about it!\By the way Shuujin, you said that when you were talking me into being a mangaka, right? response:	You said you wanted to achieve greatness and to get rich.
context: Not until we hand this in.\Once we get serialized, it'll probably feel like this every week.\Not looking forward to it?\No way!\We're finally at a point where we're aiming for serialization.\Instead of dreading it, I'm getting more and more hyped about it!\By the way Shuujin, you said that when you were talking me into being a mangaka, right?\You said you wanted to achieve greatness and to get rich. response:	Well, back then you said that you couldn't become a mangaka,
context: Once we get serialized, it'll probably feel like this every week.\Not looking forward to it?\No way!\We're finally at a point where we're aiming for serialization.\Instead of dreading it, I'm getting more and more hyped about it!\By the way Shuujin, you said that when you were talking me into being a mangaka, right?\You said you wanted to achieve greatness and to get rich.\Well, back then you said that you couldn't become a mangaka, response:	and that only a small fraction of geniuses could do it.
context: Not looking forward to it?\No way!\We're finally at a point where we're aiming for serialization.\Instead of dreading it, I'm getting more and more hyped about it!\By the way Shuujin, you said that when you were talking me into being a mangaka, right?\You said you wanted to achieve greatness and to get rich.\Well, back then you said that you couldn't become a mangaka,\and that only a small fraction of geniuses could do it. response:	Otherwise you're just a gambler.
context: No way!\We're finally at a point where we're aiming for serialization.\Instead of dreading it, I'm getting more and more hyped about it!\By the way Shuujin, you said that when you were talking me into being a mangaka, right?\You said you wanted to achieve greatness and to get rich.\Well, back then you said that you couldn't become a mangaka,\and that only a small fraction of geniuses could do it.\Otherwise you're just a gambler. response:	You've got a good memory.
context: We're finally at a point where we're aiming for serialization.\Instead of dreading it, I'm getting more and more hyped about it!\By the way Shuujin, you said that when you were talking me into being a mangaka, right?\You said you wanted to achieve greatness and to get rich.\Well, back then you said that you couldn't become a mangaka,\and that only a small fraction of geniuses could do it.\Otherwise you're just a gambler.\You've got a good memory. response:	But I wasn't wrong.
context: Instead of dreading it, I'm getting more and more hyped about it!\By the way Shuujin, you said that when you were talking me into being a mangaka, right?\You said you wanted to achieve greatness and to get rich.\Well, back then you said that you couldn't become a mangaka,\and that only a small fraction of geniuses could do it.\Otherwise you're just a gambler.\You've got a good memory.\But I wasn't wrong. response:	It's certainly been an ordeal,
context: By the way Shuujin, you said that when you were talking me into being a mangaka, right?\You said you wanted to achieve greatness and to get rich.\Well, back then you said that you couldn't become a mangaka,\and that only a small fraction of geniuses could do it.\Otherwise you're just a gambler.\You've got a good memory.\But I wasn't wrong.\It's certainly been an ordeal, response:	but every day there are times when I feel like I'm really alive.
context: You said you wanted to achieve greatness and to get rich.\Well, back then you said that you couldn't become a mangaka,\and that only a small fraction of geniuses could do it.\Otherwise you're just a gambler.\You've got a good memory.\But I wasn't wrong.\It's certainly been an ordeal,\but every day there are times when I feel like I'm really alive. response:	And if a gambler strikes it big, they get rich in a second!
context: Well, back then you said that you couldn't become a mangaka,\and that only a small fraction of geniuses could do it.\Otherwise you're just a gambler.\You've got a good memory.\But I wasn't wrong.\It's certainly been an ordeal,\but every day there are times when I feel like I'm really alive.\And if a gambler strikes it big, they get rich in a second! response:	Huh?
context: and that only a small fraction of geniuses could do it.\Otherwise you're just a gambler.\You've got a good memory.\But I wasn't wrong.\It's certainly been an ordeal,\but every day there are times when I feel like I'm really alive.\And if a gambler strikes it big, they get rich in a second!\Huh? response:	Keep your voice down.
context: Otherwise you're just a gambler.\You've got a good memory.\But I wasn't wrong.\It's certainly been an ordeal,\but every day there are times when I feel like I'm really alive.\And if a gambler strikes it big, they get rich in a second!\Huh?\Keep your voice down. response:	Anyhow, our goal isn't money.
context: You've got a good memory.\But I wasn't wrong.\It's certainly been an ordeal,\but every day there are times when I feel like I'm really alive.\And if a gambler strikes it big, they get rich in a second!\Huh?\Keep your voice down.\Anyhow, our goal isn't money. response:	Right. You're doing this for a woman.
context: But I wasn't wrong.\It's certainly been an ordeal,\but every day there are times when I feel like I'm really alive.\And if a gambler strikes it big, they get rich in a second!\Huh?\Keep your voice down.\Anyhow, our goal isn't money.\Right. You're doing this for a woman. response:	Money... women...
context: It's certainly been an ordeal,\but every day there are times when I feel like I'm really alive.\And if a gambler strikes it big, they get rich in a second!\Huh?\Keep your voice down.\Anyhow, our goal isn't money.\Right. You're doing this for a woman.\Money... women... response:	Manga?
context: but every day there are times when I feel like I'm really alive.\And if a gambler strikes it big, they get rich in a second!\Huh?\Keep your voice down.\Anyhow, our goal isn't money.\Right. You're doing this for a woman.\Money... women...\Manga? response:	So they made the protagonist more shounen manga-ish?
context: And if a gambler strikes it big, they get rich in a second!\Huh?\Keep your voice down.\Anyhow, our goal isn't money.\Right. You're doing this for a woman.\Money... women...\Manga?\So they made the protagonist more shounen manga-ish? response:	Was this brought on by Fukuda-kun and the others?
context: Huh?\Keep your voice down.\Anyhow, our goal isn't money.\Right. You're doing this for a woman.\Money... women...\Manga?\So they made the protagonist more shounen manga-ish?\Was this brought on by Fukuda-kun and the others? response:	So you've edited it in a few places?
context: Keep your voice down.\Anyhow, our goal isn't money.\Right. You're doing this for a woman.\Money... women...\Manga?\So they made the protagonist more shounen manga-ish?\Was this brought on by Fukuda-kun and the others?\So you've edited it in a few places? response:	Sorry, we didn't talk to you about it.
context: Anyhow, our goal isn't money.\Right. You're doing this for a woman.\Money... women...\Manga?\So they made the protagonist more shounen manga-ish?\Was this brought on by Fukuda-kun and the others?\So you've edited it in a few places?\Sorry, we didn't talk to you about it. response:	We thought we could make it a bit better.
context: Right. You're doing this for a woman.\Money... women...\Manga?\So they made the protagonist more shounen manga-ish?\Was this brought on by Fukuda-kun and the others?\So you've edited it in a few places?\Sorry, we didn't talk to you about it.\We thought we could make it a bit better. response:	I'm not really mad or anything.
context: Money... women...\Manga?\So they made the protagonist more shounen manga-ish?\Was this brought on by Fukuda-kun and the others?\So you've edited it in a few places?\Sorry, we didn't talk to you about it.\We thought we could make it a bit better.\I'm not really mad or anything. response:	Well, I never asked you to check with me.
context: Manga?\So they made the protagonist more shounen manga-ish?\Was this brought on by Fukuda-kun and the others?\So you've edited it in a few places?\Sorry, we didn't talk to you about it.\We thought we could make it a bit better.\I'm not really mad or anything.\Well, I never asked you to check with me. response:	But anyhow, good job finishing the changes in time.
context: So they made the protagonist more shounen manga-ish?\Was this brought on by Fukuda-kun and the others?\So you've edited it in a few places?\Sorry, we didn't talk to you about it.\We thought we could make it a bit better.\I'm not really mad or anything.\Well, I never asked you to check with me.\But anyhow, good job finishing the changes in time. response:	Yes. We did it because we want to take 1st in the Golden Future Cup no matter what.
context: Was this brought on by Fukuda-kun and the others?\So you've edited it in a few places?\Sorry, we didn't talk to you about it.\We thought we could make it a bit better.\I'm not really mad or anything.\Well, I never asked you to check with me.\But anyhow, good job finishing the changes in time.\Yes. We did it because we want to take 1st in the Golden Future Cup no matter what. response:	Mm.
context: So you've edited it in a few places?\Sorry, we didn't talk to you about it.\We thought we could make it a bit better.\I'm not really mad or anything.\Well, I never asked you to check with me.\But anyhow, good job finishing the changes in time.\Yes. We did it because we want to take 1st in the Golden Future Cup no matter what.\Mm. response:	Futatsu no Chikyuu.
context: Sorry, we didn't talk to you about it.\We thought we could make it a bit better.\I'm not really mad or anything.\Well, I never asked you to check with me.\But anyhow, good job finishing the changes in time.\Yes. We did it because we want to take 1st in the Golden Future Cup no matter what.\Mm.\Futatsu no Chikyuu. response:	Ichi Oku Bun no.
context: We thought we could make it a bit better.\I'm not really mad or anything.\Well, I never asked you to check with me.\But anyhow, good job finishing the changes in time.\Yes. We did it because we want to take 1st in the Golden Future Cup no matter what.\Mm.\Futatsu no Chikyuu.\Ichi Oku Bun no. response:	Kono Yo wa Kane to Chie.
context: I'm not really mad or anything.\Well, I never asked you to check with me.\But anyhow, good job finishing the changes in time.\Yes. We did it because we want to take 1st in the Golden Future Cup no matter what.\Mm.\Futatsu no Chikyuu.\Ichi Oku Bun no.\Kono Yo wa Kane to Chie. response:	Angel Days.
context: Well, I never asked you to check with me.\But anyhow, good job finishing the changes in time.\Yes. We did it because we want to take 1st in the Golden Future Cup no matter what.\Mm.\Futatsu no Chikyuu.\Ichi Oku Bun no.\Kono Yo wa Kane to Chie.\Angel Days. response:	And this work.
context: But anyhow, good job finishing the changes in time.\Yes. We did it because we want to take 1st in the Golden Future Cup no matter what.\Mm.\Futatsu no Chikyuu.\Ichi Oku Bun no.\Kono Yo wa Kane to Chie.\Angel Days.\And this work. response:	There's no doubt in my mind that you two have grown.
context: Yes. We did it because we want to take 1st in the Golden Future Cup no matter what.\Mm.\Futatsu no Chikyuu.\Ichi Oku Bun no.\Kono Yo wa Kane to Chie.\Angel Days.\And this work.\There's no doubt in my mind that you two have grown. response:	You've done well!
context: Mm.\Futatsu no Chikyuu.\Ichi Oku Bun no.\Kono Yo wa Kane to Chie.\Angel Days.\And this work.\There's no doubt in my mind that you two have grown.\You've done well! response:	Yes, sir!
context: Futatsu no Chikyuu.\Ichi Oku Bun no.\Kono Yo wa Kane to Chie.\Angel Days.\And this work.\There's no doubt in my mind that you two have grown.\You've done well!\Yes, sir! response:	Thank you very much!
context: Ichi Oku Bun no.\Kono Yo wa Kane to Chie.\Angel Days.\And this work.\There's no doubt in my mind that you two have grown.\You've done well!\Yes, sir!\Thank you very much! response:	Ashirogi Muto, Gitantei TRAP!
context: Kono Yo wa Kane to Chie.\Angel Days.\And this work.\There's no doubt in my mind that you two have grown.\You've done well!\Yes, sir!\Thank you very much!\Ashirogi Muto, Gitantei TRAP! response:	I hereby accept it!
context: Angel Days.\And this work.\There's no doubt in my mind that you two have grown.\You've done well!\Yes, sir!\Thank you very much!\Ashirogi Muto, Gitantei TRAP!\I hereby accept it! response:	Thank you very much!
context: And this work.\There's no doubt in my mind that you two have grown.\You've done well!\Yes, sir!\Thank you very much!\Ashirogi Muto, Gitantei TRAP!\I hereby accept it!\Thank you very much! response:	A high school student with a short sword?
context: There's no doubt in my mind that you two have grown.\You've done well!\Yes, sir!\Thank you very much!\Ashirogi Muto, Gitantei TRAP!\I hereby accept it!\Thank you very much!\A high school student with a short sword? response:	These days, not even the yakuza whip those out that simply.
context: You've done well!\Yes, sir!\Thank you very much!\Ashirogi Muto, Gitantei TRAP!\I hereby accept it!\Thank you very much!\A high school student with a short sword?\These days, not even the yakuza whip those out that simply. response:	And I still got all cut up...
context: Yes, sir!\Thank you very much!\Ashirogi Muto, Gitantei TRAP!\I hereby accept it!\Thank you very much!\A high school student with a short sword?\These days, not even the yakuza whip those out that simply.\And I still got all cut up... response:	Kiyoshi, that bleeding's serious! You're in danger!
context: Thank you very much!\Ashirogi Muto, Gitantei TRAP!\I hereby accept it!\Thank you very much!\A high school student with a short sword?\These days, not even the yakuza whip those out that simply.\And I still got all cut up...\Kiyoshi, that bleeding's serious! You're in danger! response:	It's okay if it's just bleeding. But if my guts came out, that'd be lame.
context: Ashirogi Muto, Gitantei TRAP!\I hereby accept it!\Thank you very much!\A high school student with a short sword?\These days, not even the yakuza whip those out that simply.\And I still got all cut up...\Kiyoshi, that bleeding's serious! You're in danger!\It's okay if it's just bleeding. But if my guts came out, that'd be lame. response:	That'd be a gutsy kind of lame.
context: I hereby accept it!\Thank you very much!\A high school student with a short sword?\These days, not even the yakuza whip those out that simply.\And I still got all cut up...\Kiyoshi, that bleeding's serious! You're in danger!\It's okay if it's just bleeding. But if my guts came out, that'd be lame.\That'd be a gutsy kind of lame. response:	This isn't the time to be joking around. You'll die!
context: Thank you very much!\A high school student with a short sword?\These days, not even the yakuza whip those out that simply.\And I still got all cut up...\Kiyoshi, that bleeding's serious! You're in danger!\It's okay if it's just bleeding. But if my guts came out, that'd be lame.\That'd be a gutsy kind of lame.\This isn't the time to be joking around. You'll die! response:	even if I die, as long as I saved Shouko, I'm fine with it. I don't mind dying for Shouko's sake!
context: A high school student with a short sword?\These days, not even the yakuza whip those out that simply.\And I still got all cut up...\Kiyoshi, that bleeding's serious! You're in danger!\It's okay if it's just bleeding. But if my guts came out, that'd be lame.\That'd be a gutsy kind of lame.\This isn't the time to be joking around. You'll die!\even if I die, as long as I saved Shouko, I'm fine with it. I don't mind dying for Shouko's sake! response:	You idiot! If you died, then who do you think would be the one who'd mourn you the most, Kiyoshi?
context: These days, not even the yakuza whip those out that simply.\And I still got all cut up...\Kiyoshi, that bleeding's serious! You're in danger!\It's okay if it's just bleeding. But if my guts came out, that'd be lame.\That'd be a gutsy kind of lame.\This isn't the time to be joking around. You'll die!\even if I die, as long as I saved Shouko, I'm fine with it. I don't mind dying for Shouko's sake!\You idiot! If you died, then who do you think would be the one who'd mourn you the most, Kiyoshi? response:	Uh...
context: And I still got all cut up...\Kiyoshi, that bleeding's serious! You're in danger!\It's okay if it's just bleeding. But if my guts came out, that'd be lame.\That'd be a gutsy kind of lame.\This isn't the time to be joking around. You'll die!\even if I die, as long as I saved Shouko, I'm fine with it. I don't mind dying for Shouko's sake!\You idiot! If you died, then who do you think would be the one who'd mourn you the most, Kiyoshi?\Uh... response:	My mom?
context: Kiyoshi, that bleeding's serious! You're in danger!\It's okay if it's just bleeding. But if my guts came out, that'd be lame.\That'd be a gutsy kind of lame.\This isn't the time to be joking around. You'll die!\even if I die, as long as I saved Shouko, I'm fine with it. I don't mind dying for Shouko's sake!\You idiot! If you died, then who do you think would be the one who'd mourn you the most, Kiyoshi?\Uh...\My mom? response:	Kiyoshi!
context: It's okay if it's just bleeding. But if my guts came out, that'd be lame.\That'd be a gutsy kind of lame.\This isn't the time to be joking around. You'll die!\even if I die, as long as I saved Shouko, I'm fine with it. I don't mind dying for Shouko's sake!\You idiot! If you died, then who do you think would be the one who'd mourn you the most, Kiyoshi?\Uh...\My mom?\Kiyoshi! response:	I don't know if you're lying or not, but it'd obviously be Shouko-chan.
context: That'd be a gutsy kind of lame.\This isn't the time to be joking around. You'll die!\even if I die, as long as I saved Shouko, I'm fine with it. I don't mind dying for Shouko's sake!\You idiot! If you died, then who do you think would be the one who'd mourn you the most, Kiyoshi?\Uh...\My mom?\Kiyoshi!\I don't know if you're lying or not, but it'd obviously be Shouko-chan. response:	She didn't give me any chocolate for Valentines...
context: This isn't the time to be joking around. You'll die!\even if I die, as long as I saved Shouko, I'm fine with it. I don't mind dying for Shouko's sake!\You idiot! If you died, then who do you think would be the one who'd mourn you the most, Kiyoshi?\Uh...\My mom?\Kiyoshi!\I don't know if you're lying or not, but it'd obviously be Shouko-chan.\She didn't give me any chocolate for Valentines... response:	Don't speak anymore!
context: even if I die, as long as I saved Shouko, I'm fine with it. I don't mind dying for Shouko's sake!\You idiot! If you died, then who do you think would be the one who'd mourn you the most, Kiyoshi?\Uh...\My mom?\Kiyoshi!\I don't know if you're lying or not, but it'd obviously be Shouko-chan.\She didn't give me any chocolate for Valentines...\Don't speak anymore! response:	No matter how many thousands of sit ups I do every day,
context: You idiot! If you died, then who do you think would be the one who'd mourn you the most, Kiyoshi?\Uh...\My mom?\Kiyoshi!\I don't know if you're lying or not, but it'd obviously be Shouko-chan.\She didn't give me any chocolate for Valentines...\Don't speak anymore!\No matter how many thousands of sit ups I do every day, response:	it's all pointless if I can get stabbed so easily and end up like this.
context: Uh...\My mom?\Kiyoshi!\I don't know if you're lying or not, but it'd obviously be Shouko-chan.\She didn't give me any chocolate for Valentines...\Don't speak anymore!\No matter how many thousands of sit ups I do every day,\it's all pointless if I can get stabbed so easily and end up like this. response:	How is it?
context: My mom?\Kiyoshi!\I don't know if you're lying or not, but it'd obviously be Shouko-chan.\She didn't give me any chocolate for Valentines...\Don't speak anymore!\No matter how many thousands of sit ups I do every day,\it's all pointless if I can get stabbed so easily and end up like this.\How is it? response:	It's gotten more interesting since the name we read.
context: Kiyoshi!\I don't know if you're lying or not, but it'd obviously be Shouko-chan.\She didn't give me any chocolate for Valentines...\Don't speak anymore!\No matter how many thousands of sit ups I do every day,\it's all pointless if I can get stabbed so easily and end up like this.\How is it?\It's gotten more interesting since the name we read. response:	He used a calligraphy pen for the artwork and a lot of slanted lines...
