context: I haven't smelled tatami mats in a long time. response:	I haven't smelled tatami mats in a long time.
context: Then you'll be fine.\You'll be just fine, I'm sure.\I guarantee it.\Thank you!\You'd better thank me!\Just leave it to me, and everything will be fine!\After all, I am Dazai...\The one and only whom the agency trusts response:	and the populace adores!
context: You'll be just fine, I'm sure.\I guarantee it.\Thank you!\You'd better thank me!\Just leave it to me, and everything will be fine!\After all, I am Dazai...\The one and only whom the agency trusts\and the populace adores! response:	There you are, Dazai!
context: I guarantee it.\Thank you!\You'd better thank me!\Just leave it to me, and everything will be fine!\After all, I am Dazai...\The one and only whom the agency trusts\and the populace adores!\There you are, Dazai! response:	You bandage-squandering machine!
context: Thank you!\You'd better thank me!\Just leave it to me, and everything will be fine!\After all, I am Dazai...\The one and only whom the agency trusts\and the populace adores!\There you are, Dazai!\You bandage-squandering machine! response:	N-Nice nickname there, Kunikida-kun.
context: You'd better thank me!\Just leave it to me, and everything will be fine!\After all, I am Dazai...\The one and only whom the agency trusts\and the populace adores!\There you are, Dazai!\You bandage-squandering machine!\N-Nice nickname there, Kunikida-kun. response:	Bandage-Squandering Machine?! That stung, just a little.
context: Just leave it to me, and everything will be fine!\After all, I am Dazai...\The one and only whom the agency trusts\and the populace adores!\There you are, Dazai!\You bandage-squandering machine!\N-Nice nickname there, Kunikida-kun.\Bandage-Squandering Machine?! That stung, just a little. response:	Who's the one and only one the agency trusts, huh?
context: After all, I am Dazai...\The one and only whom the agency trusts\and the populace adores!\There you are, Dazai!\You bandage-squandering machine!\N-Nice nickname there, Kunikida-kun.\Bandage-Squandering Machine?! That stung, just a little.\Who's the one and only one the agency trusts, huh? response:	You're the one and only one
context: The one and only whom the agency trusts\and the populace adores!\There you are, Dazai!\You bandage-squandering machine!\N-Nice nickname there, Kunikida-kun.\Bandage-Squandering Machine?! That stung, just a little.\Who's the one and only one the agency trusts, huh?\You're the one and only one response:	who we get complaints, curses, and grievances about!
context: and the populace adores!\There you are, Dazai!\You bandage-squandering machine!\N-Nice nickname there, Kunikida-kun.\Bandage-Squandering Machine?! That stung, just a little.\Who's the one and only one the agency trusts, huh?\You're the one and only one\who we get complaints, curses, and grievances about! response:	Huh?
context: There you are, Dazai!\You bandage-squandering machine!\N-Nice nickname there, Kunikida-kun.\Bandage-Squandering Machine?! That stung, just a little.\Who's the one and only one the agency trusts, huh?\You're the one and only one\who we get complaints, curses, and grievances about!\Huh? response:	Calls about complaints, curses... and grievances?
context: You bandage-squandering machine!\N-Nice nickname there, Kunikida-kun.\Bandage-Squandering Machine?! That stung, just a little.\Who's the one and only one the agency trusts, huh?\You're the one and only one\who we get complaints, curses, and grievances about!\Huh?\Calls about complaints, curses... and grievances? response:	What?
context: N-Nice nickname there, Kunikida-kun.\Bandage-Squandering Machine?! That stung, just a little.\Who's the one and only one the agency trusts, huh?\You're the one and only one\who we get complaints, curses, and grievances about!\Huh?\Calls about complaints, curses... and grievances?\What? response:	Since when did I ever get a complaint?!
context: Bandage-Squandering Machine?! That stung, just a little.\Who's the one and only one the agency trusts, huh?\You're the one and only one\who we get complaints, curses, and grievances about!\Huh?\Calls about complaints, curses... and grievances?\What?\Since when did I ever get a complaint?! response:	Ideal
context: Who's the one and only one the agency trusts, huh?\You're the one and only one\who we get complaints, curses, and grievances about!\Huh?\Calls about complaints, curses... and grievances?\What?\Since when did I ever get a complaint?!\Ideal response:	One of your employees has been caught in an offshore fishing net.
context: You're the one and only one\who we get complaints, curses, and grievances about!\Huh?\Calls about complaints, curses... and grievances?\What?\Since when did I ever get a complaint?!\Ideal\One of your employees has been caught in an offshore fishing net. response:	Can you come retrieve him?
context: who we get complaints, curses, and grievances about!\Huh?\Calls about complaints, curses... and grievances?\What?\Since when did I ever get a complaint?!\Ideal\One of your employees has been caught in an offshore fishing net.\Can you come retrieve him? response:	Some weirdo's got himself buried on my farm.
context: Huh?\Calls about complaints, curses... and grievances?\What?\Since when did I ever get a complaint?!\Ideal\One of your employees has been caught in an offshore fishing net.\Can you come retrieve him?\Some weirdo's got himself buried on my farm. response:	Could he be one of yours?
context: Calls about complaints, curses... and grievances?\What?\Since when did I ever get a complaint?!\Ideal\One of your employees has been caught in an offshore fishing net.\Can you come retrieve him?\Some weirdo's got himself buried on my farm.\Could he be one of yours? response:	Th-Th-Th-Th-Th...
context: What?\Since when did I ever get a complaint?!\Ideal\One of your employees has been caught in an offshore fishing net.\Can you come retrieve him?\Some weirdo's got himself buried on my farm.\Could he be one of yours?\Th-Th-Th-Th-Th... response:	Pay your tab, okay?!
context: Since when did I ever get a complaint?!\Ideal\One of your employees has been caught in an offshore fishing net.\Can you come retrieve him?\Some weirdo's got himself buried on my farm.\Could he be one of yours?\Th-Th-Th-Th-Th...\Pay your tab, okay?! response:	All six months' worth!
context: Ideal\One of your employees has been caught in an offshore fishing net.\Can you come retrieve him?\Some weirdo's got himself buried on my farm.\Could he be one of yours?\Th-Th-Th-Th-Th...\Pay your tab, okay?!\All six months' worth! response:	That's impossible...
context: One of your employees has been caught in an offshore fishing net.\Can you come retrieve him?\Some weirdo's got himself buried on my farm.\Could he be one of yours?\Th-Th-Th-Th-Th...\Pay your tab, okay?!\All six months' worth!\That's impossible... response:	Who knew you were so good at imitating other people, Kunikida-kun?!
context: Can you come retrieve him?\Some weirdo's got himself buried on my farm.\Could he be one of yours?\Th-Th-Th-Th-Th...\Pay your tab, okay?!\All six months' worth!\That's impossible...\Who knew you were so good at imitating other people, Kunikida-kun?! response:	You bastard!
context: Some weirdo's got himself buried on my farm.\Could he be one of yours?\Th-Th-Th-Th-Th...\Pay your tab, okay?!\All six months' worth!\That's impossible...\Who knew you were so good at imitating other people, Kunikida-kun?!\You bastard! response:	Stop ridiculing me!
context: Could he be one of yours?\Th-Th-Th-Th-Th...\Pay your tab, okay?!\All six months' worth!\That's impossible...\Who knew you were so good at imitating other people, Kunikida-kun?!\You bastard!\Stop ridiculing me! response:	I wonder if it's actually a good idea
context: Th-Th-Th-Th-Th...\Pay your tab, okay?!\All six months' worth!\That's impossible...\Who knew you were so good at imitating other people, Kunikida-kun?!\You bastard!\Stop ridiculing me!\I wonder if it's actually a good idea response:	to have him help me find a job...
context: Pay your tab, okay?!\All six months' worth!\That's impossible...\Who knew you were so good at imitating other people, Kunikida-kun?!\You bastard!\Stop ridiculing me!\I wonder if it's actually a good idea\to have him help me find a job... response:	Oh, right!
context: All six months' worth!\That's impossible...\Who knew you were so good at imitating other people, Kunikida-kun?!\You bastard!\Stop ridiculing me!\I wonder if it's actually a good idea\to have him help me find a job...\Oh, right! response:	I wasted a whole minute dealing with this idiot.
context: That's impossible...\Who knew you were so good at imitating other people, Kunikida-kun?!\You bastard!\Stop ridiculing me!\I wonder if it's actually a good idea\to have him help me find a job...\Oh, right!\I wasted a whole minute dealing with this idiot. response:	Let's hurry to the agency!
context: Who knew you were so good at imitating other people, Kunikida-kun?!\You bastard!\Stop ridiculing me!\I wonder if it's actually a good idea\to have him help me find a job...\Oh, right!\I wasted a whole minute dealing with this idiot.\Let's hurry to the agency! response:	Why?
context: You bastard!\Stop ridiculing me!\I wonder if it's actually a good idea\to have him help me find a job...\Oh, right!\I wasted a whole minute dealing with this idiot.\Let's hurry to the agency!\Why? response:	We have an emergency!
context: Stop ridiculing me!\I wonder if it's actually a good idea\to have him help me find a job...\Oh, right!\I wasted a whole minute dealing with this idiot.\Let's hurry to the agency!\Why?\We have an emergency! response:	A bomber's taken a hostage and holed himself up in our office.
context: I wonder if it's actually a good idea\to have him help me find a job...\Oh, right!\I wasted a whole minute dealing with this idiot.\Let's hurry to the agency!\Why?\We have an emergency!\A bomber's taken a hostage and holed himself up in our office. response:	A bomber?
context: to have him help me find a job...\Oh, right!\I wasted a whole minute dealing with this idiot.\Let's hurry to the agency!\Why?\We have an emergency!\A bomber's taken a hostage and holed himself up in our office.\A bomber? response:	Um...
context: Oh, right!\I wasted a whole minute dealing with this idiot.\Let's hurry to the agency!\Why?\We have an emergency!\A bomber's taken a hostage and holed himself up in our office.\A bomber?\Um... response:	What?
context: I wasted a whole minute dealing with this idiot.\Let's hurry to the agency!\Why?\We have an emergency!\A bomber's taken a hostage and holed himself up in our office.\A bomber?\Um...\What? response:	The agency's on the fourth floor.
context: Let's hurry to the agency!\Why?\We have an emergency!\A bomber's taken a hostage and holed himself up in our office.\A bomber?\Um...\What?\The agency's on the fourth floor. response:	That's not what I wanted to ask.
context: Why?\We have an emergency!\A bomber's taken a hostage and holed himself up in our office.\A bomber?\Um...\What?\The agency's on the fourth floor.\That's not what I wanted to ask. response:	Let's take the stairs, just in case.
context: We have an emergency!\A bomber's taken a hostage and holed himself up in our office.\A bomber?\Um...\What?\The agency's on the fourth floor.\That's not what I wanted to ask.\Let's take the stairs, just in case. response:	Excuse me...
context: A bomber's taken a hostage and holed himself up in our office.\A bomber?\Um...\What?\The agency's on the fourth floor.\That's not what I wanted to ask.\Let's take the stairs, just in case.\Excuse me... response:	Quiet!
context: A bomber?\Um...\What?\The agency's on the fourth floor.\That's not what I wanted to ask.\Let's take the stairs, just in case.\Excuse me...\Quiet! response:	Oh, sorry.
context: Um...\What?\The agency's on the fourth floor.\That's not what I wanted to ask.\Let's take the stairs, just in case.\Excuse me...\Quiet!\Oh, sorry. response:	Let's go, Atsushi-kun.
context: What?\The agency's on the fourth floor.\That's not what I wanted to ask.\Let's take the stairs, just in case.\Excuse me...\Quiet!\Oh, sorry.\Let's go, Atsushi-kun. response:	What?
context: The agency's on the fourth floor.\That's not what I wanted to ask.\Let's take the stairs, just in case.\Excuse me...\Quiet!\Oh, sorry.\Let's go, Atsushi-kun.\What? response:	I can't...
context: That's not what I wanted to ask.\Let's take the stairs, just in case.\Excuse me...\Quiet!\Oh, sorry.\Let's go, Atsushi-kun.\What?\I can't... response:	I can't take it anymore...
context: Let's take the stairs, just in case.\Excuse me...\Quiet!\Oh, sorry.\Let's go, Atsushi-kun.\What?\I can't...\I can't take it anymore... response:	It's all your fault...
context: Excuse me...\Quiet!\Oh, sorry.\Let's go, Atsushi-kun.\What?\I can't...\I can't take it anymore...\It's all your fault... response:	The Armed Detective Agency's fault.
context: Quiet!\Oh, sorry.\Let's go, Atsushi-kun.\What?\I can't...\I can't take it anymore...\It's all your fault...\The Armed Detective Agency's fault. response:	Where's the president?
context: Oh, sorry.\Let's go, Atsushi-kun.\What?\I can't...\I can't take it anymore...\It's all your fault...\The Armed Detective Agency's fault.\Where's the president? response:	Bring the president!
context: Let's go, Atsushi-kun.\What?\I can't...\I can't take it anymore...\It's all your fault...\The Armed Detective Agency's fault.\Where's the president?\Bring the president! response:	If you don't...
context: What?\I can't...\I can't take it anymore...\It's all your fault...\The Armed Detective Agency's fault.\Where's the president?\Bring the president!\If you don't... response:	I'll blow everyone to kingdom come.
context: I can't...\I can't take it anymore...\It's all your fault...\The Armed Detective Agency's fault.\Where's the president?\Bring the president!\If you don't...\I'll blow everyone to kingdom come. response:	A personal grudge?
context: I can't take it anymore...\It's all your fault...\The Armed Detective Agency's fault.\Where's the president?\Bring the president!\If you don't...\I'll blow everyone to kingdom come.\A personal grudge? response:	That's inconvenient.
context: It's all your fault...\The Armed Detective Agency's fault.\Where's the president?\Bring the president!\If you don't...\I'll blow everyone to kingdom come.\A personal grudge?\That's inconvenient. response:	Yeah...
context: The Armed Detective Agency's fault.\Where's the president?\Bring the president!\If you don't...\I'll blow everyone to kingdom come.\A personal grudge?\That's inconvenient.\Yeah... response:	Why am I here?
context: Where's the president?\Bring the president!\If you don't...\I'll blow everyone to kingdom come.\A personal grudge?\That's inconvenient.\Yeah...\Why am I here? response:	The bomber seems pretty furious at the agency.
context: Bring the president!\If you don't...\I'll blow everyone to kingdom come.\A personal grudge?\That's inconvenient.\Yeah...\Why am I here?\The bomber seems pretty furious at the agency. response:	I don't think I'll be of any use. May I go now?
context: If you don't...\I'll blow everyone to kingdom come.\A personal grudge?\That's inconvenient.\Yeah...\Why am I here?\The bomber seems pretty furious at the agency.\I don't think I'll be of any use. May I go now? response:	We do attract a lot of ill will.
context: I'll blow everyone to kingdom come.\A personal grudge?\That's inconvenient.\Yeah...\Why am I here?\The bomber seems pretty furious at the agency.\I don't think I'll be of any use. May I go now?\We do attract a lot of ill will. response:	You're ignoring me?
context: A personal grudge?\That's inconvenient.\Yeah...\Why am I here?\The bomber seems pretty furious at the agency.\I don't think I'll be of any use. May I go now?\We do attract a lot of ill will.\You're ignoring me? response:	Besides, that's a high explosive.
context: That's inconvenient.\Yeah...\Why am I here?\The bomber seems pretty furious at the agency.\I don't think I'll be of any use. May I go now?\We do attract a lot of ill will.\You're ignoring me?\Besides, that's a high explosive. response:	If the bomber acts on his threat and detonates it,
context: Yeah...\Why am I here?\The bomber seems pretty furious at the agency.\I don't think I'll be of any use. May I go now?\We do attract a lot of ill will.\You're ignoring me?\Besides, that's a high explosive.\If the bomber acts on his threat and detonates it, response:	the whole floor's as good as gone.
context: Why am I here?\The bomber seems pretty furious at the agency.\I don't think I'll be of any use. May I go now?\We do attract a lot of ill will.\You're ignoring me?\Besides, that's a high explosive.\If the bomber acts on his threat and detonates it,\the whole floor's as good as gone. response:	Oh no...
context: The bomber seems pretty furious at the agency.\I don't think I'll be of any use. May I go now?\We do attract a lot of ill will.\You're ignoring me?\Besides, that's a high explosive.\If the bomber acts on his threat and detonates it,\the whole floor's as good as gone.\Oh no... response:	We may be able to mitigate the force of the explosion somewhat
context: I don't think I'll be of any use. May I go now?\We do attract a lot of ill will.\You're ignoring me?\Besides, that's a high explosive.\If the bomber acts on his threat and detonates it,\the whole floor's as good as gone.\Oh no...\We may be able to mitigate the force of the explosion somewhat response:	if we can find something to cover the bomb,
context: We do attract a lot of ill will.\You're ignoring me?\Besides, that's a high explosive.\If the bomber acts on his threat and detonates it,\the whole floor's as good as gone.\Oh no...\We may be able to mitigate the force of the explosion somewhat\if we can find something to cover the bomb, response:	Safety First
context: You're ignoring me?\Besides, that's a high explosive.\If the bomber acts on his threat and detonates it,\the whole floor's as good as gone.\Oh no...\We may be able to mitigate the force of the explosion somewhat\if we can find something to cover the bomb,\Safety First response:	but given the circumstances...
context: Besides, that's a high explosive.\If the bomber acts on his threat and detonates it,\the whole floor's as good as gone.\Oh no...\We may be able to mitigate the force of the explosion somewhat\if we can find something to cover the bomb,\Safety First\but given the circumstances... response:	I can't believe he took a woman as a hostage, the coward.
context: If the bomber acts on his threat and detonates it,\the whole floor's as good as gone.\Oh no...\We may be able to mitigate the force of the explosion somewhat\if we can find something to cover the bomb,\Safety First\but given the circumstances...\I can't believe he took a woman as a hostage, the coward. response:	Who's the girl?
context: the whole floor's as good as gone.\Oh no...\We may be able to mitigate the force of the explosion somewhat\if we can find something to cover the bomb,\Safety First\but given the circumstances...\I can't believe he took a woman as a hostage, the coward.\Who's the girl? response:	She's Naomi-chan, a part-time office assistant.
context: Oh no...\We may be able to mitigate the force of the explosion somewhat\if we can find something to cover the bomb,\Safety First\but given the circumstances...\I can't believe he took a woman as a hostage, the coward.\Who's the girl?\She's Naomi-chan, a part-time office assistant. response:	A part-timer?!
context: We may be able to mitigate the force of the explosion somewhat\if we can find something to cover the bomb,\Safety First\but given the circumstances...\I can't believe he took a woman as a hostage, the coward.\Who's the girl?\She's Naomi-chan, a part-time office assistant.\A part-timer?! response:	Then she's a completely innocent bystander!
context: if we can find something to cover the bomb,\Safety First\but given the circumstances...\I can't believe he took a woman as a hostage, the coward.\Who's the girl?\She's Naomi-chan, a part-time office assistant.\A part-timer?!\Then she's a completely innocent bystander! response:	What should we do?
context: Safety First\but given the circumstances...\I can't believe he took a woman as a hostage, the coward.\Who's the girl?\She's Naomi-chan, a part-time office assistant.\A part-timer?!\Then she's a completely innocent bystander!\What should we do? response:	Why don't we let him see the president?
context: but given the circumstances...\I can't believe he took a woman as a hostage, the coward.\Who's the girl?\She's Naomi-chan, a part-time office assistant.\A part-timer?!\Then she's a completely innocent bystander!\What should we do?\Why don't we let him see the president? response:	He'll try to kill the president!
context: I can't believe he took a woman as a hostage, the coward.\Who's the girl?\She's Naomi-chan, a part-time office assistant.\A part-timer?!\Then she's a completely innocent bystander!\What should we do?\Why don't we let him see the president?\He'll try to kill the president! response:	We can't let the president walk into a situation like that!
context: Who's the girl?\She's Naomi-chan, a part-time office assistant.\A part-timer?!\Then she's a completely innocent bystander!\What should we do?\Why don't we let him see the president?\He'll try to kill the president!\We can't let the president walk into a situation like that! response:	I'm glad he's out on a business trip.
context: She's Naomi-chan, a part-time office assistant.\A part-timer?!\Then she's a completely innocent bystander!\What should we do?\Why don't we let him see the president?\He'll try to kill the president!\We can't let the president walk into a situation like that!\I'm glad he's out on a business trip. response:	Then there's only one method...
context: A part-timer?!\Then she's a completely innocent bystander!\What should we do?\Why don't we let him see the president?\He'll try to kill the president!\We can't let the president walk into a situation like that!\I'm glad he's out on a business trip.\Then there's only one method... response:	Are they going to use their abilities?
context: Then she's a completely innocent bystander!\What should we do?\Why don't we let him see the president?\He'll try to kill the president!\We can't let the president walk into a situation like that!\I'm glad he's out on a business trip.\Then there's only one method...\Are they going to use their abilities? response:	Huh?
context: What should we do?\Why don't we let him see the president?\He'll try to kill the president!\We can't let the president walk into a situation like that!\I'm glad he's out on a business trip.\Then there's only one method...\Are they going to use their abilities?\Huh? response:	Go, go.
context: Why don't we let him see the president?\He'll try to kill the president!\We can't let the president walk into a situation like that!\I'm glad he's out on a business trip.\Then there's only one method...\Are they going to use their abilities?\Huh?\Go, go. response:	C'mon, go!
context: He'll try to kill the president!\We can't let the president walk into a situation like that!\I'm glad he's out on a business trip.\Then there's only one method...\Are they going to use their abilities?\Huh?\Go, go.\C'mon, go! response:	Hey.
context: We can't let the president walk into a situation like that!\I'm glad he's out on a business trip.\Then there's only one method...\Are they going to use their abilities?\Huh?\Go, go.\C'mon, go!\Hey. response:	Calm down, boy.
context: I'm glad he's out on a business trip.\Then there's only one method...\Are they going to use their abilities?\Huh?\Go, go.\C'mon, go!\Hey.\Calm down, boy. response:	Stay away!
context: Then there's only one method...\Are they going to use their abilities?\Huh?\Go, go.\C'mon, go!\Hey.\Calm down, boy.\Stay away! response:	I only want to see the president!
context: Are they going to use their abilities?\Huh?\Go, go.\C'mon, go!\Hey.\Calm down, boy.\Stay away!\I only want to see the president! response:	If you do anything funny, I'll blow this up!
context: Huh?\Go, go.\C'mon, go!\Hey.\Calm down, boy.\Stay away!\I only want to see the president!\If you do anything funny, I'll blow this up! response:	Okay.
context: Go, go.\C'mon, go!\Hey.\Calm down, boy.\Stay away!\I only want to see the president!\If you do anything funny, I'll blow this up!\Okay. response:	I know who you are. You're Kunikida!
context: C'mon, go!\Hey.\Calm down, boy.\Stay away!\I only want to see the president!\If you do anything funny, I'll blow this up!\Okay.\I know who you are. You're Kunikida! response:	I bet you're trying to make me let my guard down
context: Hey.\Calm down, boy.\Stay away!\I only want to see the president!\If you do anything funny, I'll blow this up!\Okay.\I know who you are. You're Kunikida!\I bet you're trying to make me let my guard down response:	and use that annoying ability of yours!
context: Calm down, boy.\Stay away!\I only want to see the president!\If you do anything funny, I'll blow this up!\Okay.\I know who you are. You're Kunikida!\I bet you're trying to make me let my guard down\and use that annoying ability of yours! response:	Well, fat chance.
context: Stay away!\I only want to see the president!\If you do anything funny, I'll blow this up!\Okay.\I know who you are. You're Kunikida!\I bet you're trying to make me let my guard down\and use that annoying ability of yours!\Well, fat chance. response:	Get up on the desk on all fours
context: I only want to see the president!\If you do anything funny, I'll blow this up!\Okay.\I know who you are. You're Kunikida!\I bet you're trying to make me let my guard down\and use that annoying ability of yours!\Well, fat chance.\Get up on the desk on all fours response:	and keep both hands where I can see them!
context: If you do anything funny, I'll blow this up!\Okay.\I know who you are. You're Kunikida!\I bet you're trying to make me let my guard down\and use that annoying ability of yours!\Well, fat chance.\Get up on the desk on all fours\and keep both hands where I can see them! response:	I-If you don't do as I say,
context: Okay.\I know who you are. You're Kunikida!\I bet you're trying to make me let my guard down\and use that annoying ability of yours!\Well, fat chance.\Get up on the desk on all fours\and keep both hands where I can see them!\I-If you don't do as I say, response:	I'm taking you all down with me!
context: I know who you are. You're Kunikida!\I bet you're trying to make me let my guard down\and use that annoying ability of yours!\Well, fat chance.\Get up on the desk on all fours\and keep both hands where I can see them!\I-If you don't do as I say,\I'm taking you all down with me! response:	This isn't good.
context: I bet you're trying to make me let my guard down\and use that annoying ability of yours!\Well, fat chance.\Get up on the desk on all fours\and keep both hands where I can see them!\I-If you don't do as I say,\I'm taking you all down with me!\This isn't good. response:	Because of his personal grudge against the agency,
context: and use that annoying ability of yours!\Well, fat chance.\Get up on the desk on all fours\and keep both hands where I can see them!\I-If you don't do as I say,\I'm taking you all down with me!\This isn't good.\Because of his personal grudge against the agency, response:	he's done his research on all the members' names and faces.
context: Well, fat chance.\Get up on the desk on all fours\and keep both hands where I can see them!\I-If you don't do as I say,\I'm taking you all down with me!\This isn't good.\Because of his personal grudge against the agency,\he's done his research on all the members' names and faces. response:	If I go, it'll only provoke him.
context: Get up on the desk on all fours\and keep both hands where I can see them!\I-If you don't do as I say,\I'm taking you all down with me!\This isn't good.\Because of his personal grudge against the agency,\he's done his research on all the members' names and faces.\If I go, it'll only provoke him. response:	Hmm... What to do?
context: and keep both hands where I can see them!\I-If you don't do as I say,\I'm taking you all down with me!\This isn't good.\Because of his personal grudge against the agency,\he's done his research on all the members' names and faces.\If I go, it'll only provoke him.\Hmm... What to do? response:	I just got a really bad feeling...
context: I-If you don't do as I say,\I'm taking you all down with me!\This isn't good.\Because of his personal grudge against the agency,\he's done his research on all the members' names and faces.\If I go, it'll only provoke him.\Hmm... What to do?\I just got a really bad feeling... response:	A-tsu-shi-ku
context: I'm taking you all down with me!\This isn't good.\Because of his personal grudge against the agency,\he's done his research on all the members' names and faces.\If I go, it'll only provoke him.\Hmm... What to do?\I just got a really bad feeling...\A-tsu-shi-ku response:	No.
context: This isn't good.\Because of his personal grudge against the agency,\he's done his research on all the members' names and faces.\If I go, it'll only provoke him.\Hmm... What to do?\I just got a really bad feeling...\A-tsu-shi-ku\No. response:	I haven't even said anything.
context: Because of his personal grudge against the agency,\he's done his research on all the members' names and faces.\If I go, it'll only provoke him.\Hmm... What to do?\I just got a really bad feeling...\A-tsu-shi-ku\No.\I haven't even said anything. response:	I already know what you're going to say.
context: he's done his research on all the members' names and faces.\If I go, it'll only provoke him.\Hmm... What to do?\I just got a really bad feeling...\A-tsu-shi-ku\No.\I haven't even said anything.\I already know what you're going to say. response:	Listen, Atsushi-kun.
context: If I go, it'll only provoke him.\Hmm... What to do?\I just got a really bad feeling...\A-tsu-shi-ku\No.\I haven't even said anything.\I already know what you're going to say.\Listen, Atsushi-kun. response:	You're the only one here who's not a formal member and who the bomber won't know.
context: Hmm... What to do?\I just got a really bad feeling...\A-tsu-shi-ku\No.\I haven't even said anything.\I already know what you're going to say.\Listen, Atsushi-kun.\You're the only one here who's not a formal member and who the bomber won't know. response:	But even if I were to go,
context: I just got a really bad feeling...\A-tsu-shi-ku\No.\I haven't even said anything.\I already know what you're going to say.\Listen, Atsushi-kun.\You're the only one here who's not a formal member and who the bomber won't know.\But even if I were to go, response:	I wouldn't be able to do anything.
context: A-tsu-shi-ku\No.\I haven't even said anything.\I already know what you're going to say.\Listen, Atsushi-kun.\You're the only one here who's not a formal member and who the bomber won't know.\But even if I were to go,\I wouldn't be able to do anything. response:	It'll be fine.
context: No.\I haven't even said anything.\I already know what you're going to say.\Listen, Atsushi-kun.\You're the only one here who's not a formal member and who the bomber won't know.\But even if I were to go,\I wouldn't be able to do anything.\It'll be fine. response:	We just need you to distract him for a short while.
context: I haven't even said anything.\I already know what you're going to say.\Listen, Atsushi-kun.\You're the only one here who's not a formal member and who the bomber won't know.\But even if I were to go,\I wouldn't be able to do anything.\It'll be fine.\We just need you to distract him for a short while. response:	We'll do the rest.
context: I already know what you're going to say.\Listen, Atsushi-kun.\You're the only one here who's not a formal member and who the bomber won't know.\But even if I were to go,\I wouldn't be able to do anything.\It'll be fine.\We just need you to distract him for a short while.\We'll do the rest. response:	Let me think...
context: Listen, Atsushi-kun.\You're the only one here who's not a formal member and who the bomber won't know.\But even if I were to go,\I wouldn't be able to do anything.\It'll be fine.\We just need you to distract him for a short while.\We'll do the rest.\Let me think... response:	Knowing you, how about you put on an off-putting act
context: You're the only one here who's not a formal member and who the bomber won't know.\But even if I were to go,\I wouldn't be able to do anything.\It'll be fine.\We just need you to distract him for a short while.\We'll do the rest.\Let me think...\Knowing you, how about you put on an off-putting act response:	as a worthless human being?
context: But even if I were to go,\I wouldn't be able to do anything.\It'll be fine.\We just need you to distract him for a short while.\We'll do the rest.\Let me think...\Knowing you, how about you put on an off-putting act\as a worthless human being? response:	Here are some props.
context: I wouldn't be able to do anything.\It'll be fine.\We just need you to distract him for a short while.\We'll do the rest.\Let me think...\Knowing you, how about you put on an off-putting act\as a worthless human being?\Here are some props. response:	Trust me.
context: It'll be fine.\We just need you to distract him for a short while.\We'll do the rest.\Let me think...\Knowing you, how about you put on an off-putting act\as a worthless human being?\Here are some props.\Trust me. response:	Scuffles on this scale
context: We just need you to distract him for a short while.\We'll do the rest.\Let me think...\Knowing you, how about you put on an off-putting act\as a worthless human being?\Here are some props.\Trust me.\Scuffles on this scale response:	are child's play to the Armed Detective Agency, Atsushi-kun.
context: We'll do the rest.\Let me think...\Knowing you, how about you put on an off-putting act\as a worthless human being?\Here are some props.\Trust me.\Scuffles on this scale\are child's play to the Armed Detective Agency, Atsushi-kun. response:	S-S-S-Stop!
context: Let me think...\Knowing you, how about you put on an off-putting act\as a worthless human being?\Here are some props.\Trust me.\Scuffles on this scale\are child's play to the Armed Detective Agency, Atsushi-kun.\S-S-S-Stop! response:	Wh-Wh-Wh-What could you possibly accomplish?
context: Knowing you, how about you put on an off-putting act\as a worthless human being?\Here are some props.\Trust me.\Scuffles on this scale\are child's play to the Armed Detective Agency, Atsushi-kun.\S-S-S-Stop!\Wh-Wh-Wh-What could you possibly accomplish? response:	Who the hell are you?!
context: as a worthless human being?\Here are some props.\Trust me.\Scuffles on this scale\are child's play to the Armed Detective Agency, Atsushi-kun.\S-S-S-Stop!\Wh-Wh-Wh-What could you possibly accomplish?\Who the hell are you?! response:	S-S-S-S-S-S-S-S-S-S-S...
context: Here are some props.\Trust me.\Scuffles on this scale\are child's play to the Armed Detective Agency, Atsushi-kun.\S-S-S-Stop!\Wh-Wh-Wh-What could you possibly accomplish?\Who the hell are you?!\S-S-S-S-S-S-S-S-S-S-S... response:	Scary
context: Trust me.\Scuffles on this scale\are child's play to the Armed Detective Agency, Atsushi-kun.\S-S-S-Stop!\Wh-Wh-Wh-What could you possibly accomplish?\Who the hell are you?!\S-S-S-S-S-S-S-S-S-S-S...\Scary response:	Sorry!
context: Scuffles on this scale\are child's play to the Armed Detective Agency, Atsushi-kun.\S-S-S-Stop!\Wh-Wh-Wh-What could you possibly accomplish?\Who the hell are you?!\S-S-S-S-S-S-S-S-S-S-S...\Scary\Sorry! response:	You're not with the agency.
context: are child's play to the Armed Detective Agency, Atsushi-kun.\S-S-S-Stop!\Wh-Wh-Wh-What could you possibly accomplish?\Who the hell are you?!\S-S-S-S-S-S-S-S-S-S-S...\Scary\Sorry!\You're not with the agency. response:	A-A-As you can tell,
context: S-S-S-Stop!\Wh-Wh-Wh-What could you possibly accomplish?\Who the hell are you?!\S-S-S-S-S-S-S-S-S-S-S...\Scary\Sorry!\You're not with the agency.\A-A-As you can tell, response:	I'm just a newspaper delivery boy who happened to pass by!
