context: The salinity in the Narunami area around noon is expected to be 57 per mill. response:	Around 6PM, it will rise to 60 per mill.
context: That's the hip microwave! Leave it to us!\Why are there shumai?\I wonder what'd be good...\Oh, Manaka-chan?\Oh! Akari-san!\Something that'll keep you warm is probably best.\This summer's a bit chilly.\Something warm and from the sea... response:	By the way, has Hikari said anything?
context: Why are there shumai?\I wonder what'd be good...\Oh, Manaka-chan?\Oh! Akari-san!\Something that'll keep you warm is probably best.\This summer's a bit chilly.\Something warm and from the sea...\By the way, has Hikari said anything? response:	Huh?
context: I wonder what'd be good...\Oh, Manaka-chan?\Oh! Akari-san!\Something that'll keep you warm is probably best.\This summer's a bit chilly.\Something warm and from the sea...\By the way, has Hikari said anything?\Huh? response:	Like about the sea or home.
context: Oh, Manaka-chan?\Oh! Akari-san!\Something that'll keep you warm is probably best.\This summer's a bit chilly.\Something warm and from the sea...\By the way, has Hikari said anything?\Huh?\Like about the sea or home. response:	I wonder if Hikari's not worried about Dad.
context: Oh! Akari-san!\Something that'll keep you warm is probably best.\This summer's a bit chilly.\Something warm and from the sea...\By the way, has Hikari said anything?\Huh?\Like about the sea or home.\I wonder if Hikari's not worried about Dad. response:	That's not true!
context: Something that'll keep you warm is probably best.\This summer's a bit chilly.\Something warm and from the sea...\By the way, has Hikari said anything?\Huh?\Like about the sea or home.\I wonder if Hikari's not worried about Dad.\That's not true! response:	Hii-kun really is worried...
context: This summer's a bit chilly.\Something warm and from the sea...\By the way, has Hikari said anything?\Huh?\Like about the sea or home.\I wonder if Hikari's not worried about Dad.\That's not true!\Hii-kun really is worried... response:	Hii-kun's worried about your dad...
context: Something warm and from the sea...\By the way, has Hikari said anything?\Huh?\Like about the sea or home.\I wonder if Hikari's not worried about Dad.\That's not true!\Hii-kun really is worried...\Hii-kun's worried about your dad... response:	I see.
context: By the way, has Hikari said anything?\Huh?\Like about the sea or home.\I wonder if Hikari's not worried about Dad.\That's not true!\Hii-kun really is worried...\Hii-kun's worried about your dad...\I see. response:	They both care about each other,
context: Huh?\Like about the sea or home.\I wonder if Hikari's not worried about Dad.\That's not true!\Hii-kun really is worried...\Hii-kun's worried about your dad...\I see.\They both care about each other, response:	but this isn't going well...
context: Like about the sea or home.\I wonder if Hikari's not worried about Dad.\That's not true!\Hii-kun really is worried...\Hii-kun's worried about your dad...\I see.\They both care about each other,\but this isn't going well... response:	Pardon the intrusion.
context: I wonder if Hikari's not worried about Dad.\That's not true!\Hii-kun really is worried...\Hii-kun's worried about your dad...\I see.\They both care about each other,\but this isn't going well...\Pardon the intrusion. response:	Oh, this is...
context: That's not true!\Hii-kun really is worried...\Hii-kun's worried about your dad...\I see.\They both care about each other,\but this isn't going well...\Pardon the intrusion.\Oh, this is... response:	Oh, could I use your
context: Hii-kun really is worried...\Hii-kun's worried about your dad...\I see.\They both care about each other,\but this isn't going well...\Pardon the intrusion.\Oh, this is...\Oh, could I use your response:	Always Smiling Saya Mart
context: Hii-kun's worried about your dad...\I see.\They both care about each other,\but this isn't going well...\Pardon the intrusion.\Oh, this is...\Oh, could I use your\Always Smiling Saya Mart response:	Um, this is, uh...
context: I see.\They both care about each other,\but this isn't going well...\Pardon the intrusion.\Oh, this is...\Oh, could I use your\Always Smiling Saya Mart\Um, this is, uh... response:	I-I'm sorry!
context: They both care about each other,\but this isn't going well...\Pardon the intrusion.\Oh, this is...\Oh, could I use your\Always Smiling Saya Mart\Um, this is, uh...\I-I'm sorry! response:	Tsumugu also did that quite a bit when he first came here.
context: but this isn't going well...\Pardon the intrusion.\Oh, this is...\Oh, could I use your\Always Smiling Saya Mart\Um, this is, uh...\I-I'm sorry!\Tsumugu also did that quite a bit when he first came here. response:	When he first came here?
context: Pardon the intrusion.\Oh, this is...\Oh, could I use your\Always Smiling Saya Mart\Um, this is, uh...\I-I'm sorry!\Tsumugu also did that quite a bit when he first came here.\When he first came here? response:	Tsumugu-kun wasn't born in this house?
context: Oh, this is...\Oh, could I use your\Always Smiling Saya Mart\Um, this is, uh...\I-I'm sorry!\Tsumugu also did that quite a bit when he first came here.\When he first came here?\Tsumugu-kun wasn't born in this house? response:	He came here on his own when he was nine.
context: Oh, could I use your\Always Smiling Saya Mart\Um, this is, uh...\I-I'm sorry!\Tsumugu also did that quite a bit when he first came here.\When he first came here?\Tsumugu-kun wasn't born in this house?\He came here on his own when he was nine. response:	Huh?
context: Always Smiling Saya Mart\Um, this is, uh...\I-I'm sorry!\Tsumugu also did that quite a bit when he first came here.\When he first came here?\Tsumugu-kun wasn't born in this house?\He came here on his own when he was nine.\Huh? response:	Why did he come by himself?
context: Um, this is, uh...\I-I'm sorry!\Tsumugu also did that quite a bit when he first came here.\When he first came here?\Tsumugu-kun wasn't born in this house?\He came here on his own when he was nine.\Huh?\Why did he come by himself? response:	His parents live in the city.
context: I-I'm sorry!\Tsumugu also did that quite a bit when he first came here.\When he first came here?\Tsumugu-kun wasn't born in this house?\He came here on his own when he was nine.\Huh?\Why did he come by himself?\His parents live in the city. response:	Tsumugu-kun came by himself...
context: Tsumugu also did that quite a bit when he first came here.\When he first came here?\Tsumugu-kun wasn't born in this house?\He came here on his own when he was nine.\Huh?\Why did he come by himself?\His parents live in the city.\Tsumugu-kun came by himself... response:	So Tsumugu-kun has always been Tsumugu-kun since he was little...
context: When he first came here?\Tsumugu-kun wasn't born in this house?\He came here on his own when he was nine.\Huh?\Why did he come by himself?\His parents live in the city.\Tsumugu-kun came by himself...\So Tsumugu-kun has always been Tsumugu-kun since he was little... response:	U-Um.
context: Tsumugu-kun wasn't born in this house?\He came here on his own when he was nine.\Huh?\Why did he come by himself?\His parents live in the city.\Tsumugu-kun came by himself...\So Tsumugu-kun has always been Tsumugu-kun since he was little...\U-Um. response:	I've thought that Tsumugu-kun is really good
context: He came here on his own when he was nine.\Huh?\Why did he come by himself?\His parents live in the city.\Tsumugu-kun came by himself...\So Tsumugu-kun has always been Tsumugu-kun since he was little...\U-Um.\I've thought that Tsumugu-kun is really good response:	at finding himself and things that are around him.
context: Huh?\Why did he come by himself?\His parents live in the city.\Tsumugu-kun came by himself...\So Tsumugu-kun has always been Tsumugu-kun since he was little...\U-Um.\I've thought that Tsumugu-kun is really good\at finding himself and things that are around him. response:	I'm sure he found his love for the sea when he was young, too.
context: Why did he come by himself?\His parents live in the city.\Tsumugu-kun came by himself...\So Tsumugu-kun has always been Tsumugu-kun since he was little...\U-Um.\I've thought that Tsumugu-kun is really good\at finding himself and things that are around him.\I'm sure he found his love for the sea when he was young, too. response:	I think that's why he chose to come here.
context: His parents live in the city.\Tsumugu-kun came by himself...\So Tsumugu-kun has always been Tsumugu-kun since he was little...\U-Um.\I've thought that Tsumugu-kun is really good\at finding himself and things that are around him.\I'm sure he found his love for the sea when he was young, too.\I think that's why he chose to come here. response:	His precious...
context: Tsumugu-kun came by himself...\So Tsumugu-kun has always been Tsumugu-kun since he was little...\U-Um.\I've thought that Tsumugu-kun is really good\at finding himself and things that are around him.\I'm sure he found his love for the sea when he was young, too.\I think that's why he chose to come here.\His precious... response:	Because he knows what's precious to him.
context: So Tsumugu-kun has always been Tsumugu-kun since he was little...\U-Um.\I've thought that Tsumugu-kun is really good\at finding himself and things that are around him.\I'm sure he found his love for the sea when he was young, too.\I think that's why he chose to come here.\His precious...\Because he knows what's precious to him. response:	Here.
context: U-Um.\I've thought that Tsumugu-kun is really good\at finding himself and things that are around him.\I'm sure he found his love for the sea when he was young, too.\I think that's why he chose to come here.\His precious...\Because he knows what's precious to him.\Here. response:	Thank you very much!
context: I've thought that Tsumugu-kun is really good\at finding himself and things that are around him.\I'm sure he found his love for the sea when he was young, too.\I think that's why he chose to come here.\His precious...\Because he knows what's precious to him.\Here.\Thank you very much! response:	Did you know? Apparently Cafe Triangle is the place for meets.
context: at finding himself and things that are around him.\I'm sure he found his love for the sea when he was young, too.\I think that's why he chose to come here.\His precious...\Because he knows what's precious to him.\Here.\Thank you very much!\Did you know? Apparently Cafe Triangle is the place for meets. response:	Meats?
context: I'm sure he found his love for the sea when he was young, too.\I think that's why he chose to come here.\His precious...\Because he knows what's precious to him.\Here.\Thank you very much!\Did you know? Apparently Cafe Triangle is the place for meets.\Meats? response:	You mince meat there?
context: I think that's why he chose to come here.\His precious...\Because he knows what's precious to him.\Here.\Thank you very much!\Did you know? Apparently Cafe Triangle is the place for meets.\Meats?\You mince meat there? response:	No!
context: His precious...\Because he knows what's precious to him.\Here.\Thank you very much!\Did you know? Apparently Cafe Triangle is the place for meets.\Meats?\You mince meat there?\No! response:	It's a place where guys and girls are friendly with each other!
context: Because he knows what's precious to him.\Here.\Thank you very much!\Did you know? Apparently Cafe Triangle is the place for meets.\Meats?\You mince meat there?\No!\It's a place where guys and girls are friendly with each other! response:	Looks like your mouth's working just fine,
context: Here.\Thank you very much!\Did you know? Apparently Cafe Triangle is the place for meets.\Meats?\You mince meat there?\No!\It's a place where guys and girls are friendly with each other!\Looks like your mouth's working just fine, response:	but how about your hands?
context: Thank you very much!\Did you know? Apparently Cafe Triangle is the place for meets.\Meats?\You mince meat there?\No!\It's a place where guys and girls are friendly with each other!\Looks like your mouth's working just fine,\but how about your hands? response:	Th-They're working!
context: Did you know? Apparently Cafe Triangle is the place for meets.\Meats?\You mince meat there?\No!\It's a place where guys and girls are friendly with each other!\Looks like your mouth's working just fine,\but how about your hands?\Th-They're working! response:	All right. Good.
context: Meats?\You mince meat there?\No!\It's a place where guys and girls are friendly with each other!\Looks like your mouth's working just fine,\but how about your hands?\Th-They're working!\All right. Good. response:	We'll do more and
context: You mince meat there?\No!\It's a place where guys and girls are friendly with each other!\Looks like your mouth's working just fine,\but how about your hands?\Th-They're working!\All right. Good.\We'll do more and response:	Kaname!
context: No!\It's a place where guys and girls are friendly with each other!\Looks like your mouth's working just fine,\but how about your hands?\Th-They're working!\All right. Good.\We'll do more and\Kaname! response:	I'm gonna head back to school and get some tools,
context: It's a place where guys and girls are friendly with each other!\Looks like your mouth's working just fine,\but how about your hands?\Th-They're working!\All right. Good.\We'll do more and\Kaname!\I'm gonna head back to school and get some tools, response:	so could you see if there's wood in the back for reinforcing?
context: Looks like your mouth's working just fine,\but how about your hands?\Th-They're working!\All right. Good.\We'll do more and\Kaname!\I'm gonna head back to school and get some tools,\so could you see if there's wood in the back for reinforcing? response:	Roger.
context: but how about your hands?\Th-They're working!\All right. Good.\We'll do more and\Kaname!\I'm gonna head back to school and get some tools,\so could you see if there's wood in the back for reinforcing?\Roger. response:	All right, I'm counting on you little ladies.
context: Th-They're working!\All right. Good.\We'll do more and\Kaname!\I'm gonna head back to school and get some tools,\so could you see if there's wood in the back for reinforcing?\Roger.\All right, I'm counting on you little ladies. response:	Want me to help you paint?
context: All right. Good.\We'll do more and\Kaname!\I'm gonna head back to school and get some tools,\so could you see if there's wood in the back for reinforcing?\Roger.\All right, I'm counting on you little ladies.\Want me to help you paint? response:	Your Ena probably dried up.
context: We'll do more and\Kaname!\I'm gonna head back to school and get some tools,\so could you see if there's wood in the back for reinforcing?\Roger.\All right, I'm counting on you little ladies.\Want me to help you paint?\Your Ena probably dried up. response:	Hey!
context: Kaname!\I'm gonna head back to school and get some tools,\so could you see if there's wood in the back for reinforcing?\Roger.\All right, I'm counting on you little ladies.\Want me to help you paint?\Your Ena probably dried up.\Hey! response:	Look!
context: I'm gonna head back to school and get some tools,\so could you see if there's wood in the back for reinforcing?\Roger.\All right, I'm counting on you little ladies.\Want me to help you paint?\Your Ena probably dried up.\Hey!\Look! response:	We painted it really nice! How's tha
context: so could you see if there's wood in the back for reinforcing?\Roger.\All right, I'm counting on you little ladies.\Want me to help you paint?\Your Ena probably dried up.\Hey!\Look!\We painted it really nice! How's tha response:	Where's Chisaki? Did she go somewhere?
context: Roger.\All right, I'm counting on you little ladies.\Want me to help you paint?\Your Ena probably dried up.\Hey!\Look!\We painted it really nice! How's tha\Where's Chisaki? Did she go somewhere? response:	I-I don't know.
context: All right, I'm counting on you little ladies.\Want me to help you paint?\Your Ena probably dried up.\Hey!\Look!\We painted it really nice! How's tha\Where's Chisaki? Did she go somewhere?\I-I don't know. response:	I see.
context: Want me to help you paint?\Your Ena probably dried up.\Hey!\Look!\We painted it really nice! How's tha\Where's Chisaki? Did she go somewhere?\I-I don't know.\I see. response:	Thanks for earlier.
context: Your Ena probably dried up.\Hey!\Look!\We painted it really nice! How's tha\Where's Chisaki? Did she go somewhere?\I-I don't know.\I see.\Thanks for earlier. response:	I'm okay now, don't worry. So you can head back.
context: Hey!\Look!\We painted it really nice! How's tha\Where's Chisaki? Did she go somewhere?\I-I don't know.\I see.\Thanks for earlier.\I'm okay now, don't worry. So you can head back. response:	Do you still need a sea slug?
context: Look!\We painted it really nice! How's tha\Where's Chisaki? Did she go somewhere?\I-I don't know.\I see.\Thanks for earlier.\I'm okay now, don't worry. So you can head back.\Do you still need a sea slug? response:	No, I don't.
context: We painted it really nice! How's tha\Where's Chisaki? Did she go somewhere?\I-I don't know.\I see.\Thanks for earlier.\I'm okay now, don't worry. So you can head back.\Do you still need a sea slug?\No, I don't. response:	I don't need one anymore.
context: Where's Chisaki? Did she go somewhere?\I-I don't know.\I see.\Thanks for earlier.\I'm okay now, don't worry. So you can head back.\Do you still need a sea slug?\No, I don't.\I don't need one anymore. response:	Does that mean you're giving up on Hikari?
context: I-I don't know.\I see.\Thanks for earlier.\I'm okay now, don't worry. So you can head back.\Do you still need a sea slug?\No, I don't.\I don't need one anymore.\Does that mean you're giving up on Hikari? response:	Why?
context: I see.\Thanks for earlier.\I'm okay now, don't worry. So you can head back.\Do you still need a sea slug?\No, I don't.\I don't need one anymore.\Does that mean you're giving up on Hikari?\Why? response:	Why?
context: Thanks for earlier.\I'm okay now, don't worry. So you can head back.\Do you still need a sea slug?\No, I don't.\I don't need one anymore.\Does that mean you're giving up on Hikari?\Why?\Why? response:	Because I have to change... so...
context: I'm okay now, don't worry. So you can head back.\Do you still need a sea slug?\No, I don't.\I don't need one anymore.\Does that mean you're giving up on Hikari?\Why?\Why?\Because I have to change... so... response:	So that's what change means to you?
context: Do you still need a sea slug?\No, I don't.\I don't need one anymore.\Does that mean you're giving up on Hikari?\Why?\Why?\Because I have to change... so...\So that's what change means to you? response:	I mean, that's what it means to become an adult, right?
context: No, I don't.\I don't need one anymore.\Does that mean you're giving up on Hikari?\Why?\Why?\Because I have to change... so...\So that's what change means to you?\I mean, that's what it means to become an adult, right? response:	You can't just keep thinking about yourself,
context: I don't need one anymore.\Does that mean you're giving up on Hikari?\Why?\Why?\Because I have to change... so...\So that's what change means to you?\I mean, that's what it means to become an adult, right?\You can't just keep thinking about yourself, response:	and you have to keep moving forward.
context: Does that mean you're giving up on Hikari?\Why?\Why?\Because I have to change... so...\So that's what change means to you?\I mean, that's what it means to become an adult, right?\You can't just keep thinking about yourself,\and you have to keep moving forward. response:	So that's why you're neglecting your feelings.
context: Why?\Why?\Because I have to change... so...\So that's what change means to you?\I mean, that's what it means to become an adult, right?\You can't just keep thinking about yourself,\and you have to keep moving forward.\So that's why you're neglecting your feelings. response:	What?
context: Why?\Because I have to change... so...\So that's what change means to you?\I mean, that's what it means to become an adult, right?\You can't just keep thinking about yourself,\and you have to keep moving forward.\So that's why you're neglecting your feelings.\What? response:	Because you can't forgive how you are right now.
context: Because I have to change... so...\So that's what change means to you?\I mean, that's what it means to become an adult, right?\You can't just keep thinking about yourself,\and you have to keep moving forward.\So that's why you're neglecting your feelings.\What?\Because you can't forgive how you are right now. response:	Tsumugu-kun, you don't...
context: So that's what change means to you?\I mean, that's what it means to become an adult, right?\You can't just keep thinking about yourself,\and you have to keep moving forward.\So that's why you're neglecting your feelings.\What?\Because you can't forgive how you are right now.\Tsumugu-kun, you don't... response:	You don't understand anything.
context: I mean, that's what it means to become an adult, right?\You can't just keep thinking about yourself,\and you have to keep moving forward.\So that's why you're neglecting your feelings.\What?\Because you can't forgive how you are right now.\Tsumugu-kun, you don't...\You don't understand anything. response:	I don't dislike how you are right now.
context: You can't just keep thinking about yourself,\and you have to keep moving forward.\So that's why you're neglecting your feelings.\What?\Because you can't forgive how you are right now.\Tsumugu-kun, you don't...\You don't understand anything.\I don't dislike how you are right now. response:	Chisaki!
context: and you have to keep moving forward.\So that's why you're neglecting your feelings.\What?\Because you can't forgive how you are right now.\Tsumugu-kun, you don't...\You don't understand anything.\I don't dislike how you are right now.\Chisaki! response:	Chisaki! Did something happen?
context: So that's why you're neglecting your feelings.\What?\Because you can't forgive how you are right now.\Tsumugu-kun, you don't...\You don't understand anything.\I don't dislike how you are right now.\Chisaki!\Chisaki! Did something happen? response:	I'm not feeling well, so I'm going home.
context: What?\Because you can't forgive how you are right now.\Tsumugu-kun, you don't...\You don't understand anything.\I don't dislike how you are right now.\Chisaki!\Chisaki! Did something happen?\I'm not feeling well, so I'm going home. response:	I'll go with you.
context: Because you can't forgive how you are right now.\Tsumugu-kun, you don't...\You don't understand anything.\I don't dislike how you are right now.\Chisaki!\Chisaki! Did something happen?\I'm not feeling well, so I'm going home.\I'll go with you. response:	I really hate him!
context: Tsumugu-kun, you don't...\You don't understand anything.\I don't dislike how you are right now.\Chisaki!\Chisaki! Did something happen?\I'm not feeling well, so I'm going home.\I'll go with you.\I really hate him! response:	So he makes you make expressions like that.
context: You don't understand anything.\I don't dislike how you are right now.\Chisaki!\Chisaki! Did something happen?\I'm not feeling well, so I'm going home.\I'll go with you.\I really hate him!\So he makes you make expressions like that. response:	Kaname?
context: I don't dislike how you are right now.\Chisaki!\Chisaki! Did something happen?\I'm not feeling well, so I'm going home.\I'll go with you.\I really hate him!\So he makes you make expressions like that.\Kaname? response:	The village...
context: Chisaki!\Chisaki! Did something happen?\I'm not feeling well, so I'm going home.\I'll go with you.\I really hate him!\So he makes you make expressions like that.\Kaname?\The village... response:	is different from usual.
context: Chisaki! Did something happen?\I'm not feeling well, so I'm going home.\I'll go with you.\I really hate him!\So he makes you make expressions like that.\Kaname?\The village...\is different from usual. response:	Mom?
context: I'm not feeling well, so I'm going home.\I'll go with you.\I really hate him!\So he makes you make expressions like that.\Kaname?\The village...\is different from usual.\Mom? response:	Hey, do you need this anymore?
context: I'll go with you.\I really hate him!\So he makes you make expressions like that.\Kaname?\The village...\is different from usual.\Mom?\Hey, do you need this anymore? response:	Oh, this?
context: I really hate him!\So he makes you make expressions like that.\Kaname?\The village...\is different from usual.\Mom?\Hey, do you need this anymore?\Oh, this? response:	Sorry! It took me a while.
context: So he makes you make expressions like that.\Kaname?\The village...\is different from usual.\Mom?\Hey, do you need this anymore?\Oh, this?\Sorry! It took me a while. response:	Thanks for your hard work!
context: Kaname?\The village...\is different from usual.\Mom?\Hey, do you need this anymore?\Oh, this?\Sorry! It took me a while.\Thanks for your hard work! response:	You're late!
context: The village...\is different from usual.\Mom?\Hey, do you need this anymore?\Oh, this?\Sorry! It took me a while.\Thanks for your hard work!\You're late! response:	We're already done for the day.
context: is different from usual.\Mom?\Hey, do you need this anymore?\Oh, this?\Sorry! It took me a while.\Thanks for your hard work!\You're late!\We're already done for the day. response:	Huh? Where'd Chisaki and Kaname go?
context: Mom?\Hey, do you need this anymore?\Oh, this?\Sorry! It took me a while.\Thanks for your hard work!\You're late!\We're already done for the day.\Huh? Where'd Chisaki and Kaname go? response:	They went home already.
context: Hey, do you need this anymore?\Oh, this?\Sorry! It took me a while.\Thanks for your hard work!\You're late!\We're already done for the day.\Huh? Where'd Chisaki and Kaname go?\They went home already. response:	I wonder if they had something to do.
context: Oh, this?\Sorry! It took me a while.\Thanks for your hard work!\You're late!\We're already done for the day.\Huh? Where'd Chisaki and Kaname go?\They went home already.\I wonder if they had something to do. response:	Oh? Looks like the food's ready.
context: Sorry! It took me a while.\Thanks for your hard work!\You're late!\We're already done for the day.\Huh? Where'd Chisaki and Kaname go?\They went home already.\I wonder if they had something to do.\Oh? Looks like the food's ready. response:	Oh! That's the shumai for the inside of the microwave.
context: Thanks for your hard work!\You're late!\We're already done for the day.\Huh? Where'd Chisaki and Kaname go?\They went home already.\I wonder if they had something to do.\Oh? Looks like the food's ready.\Oh! That's the shumai for the inside of the microwave. response:	Oh, sorry.
context: You're late!\We're already done for the day.\Huh? Where'd Chisaki and Kaname go?\They went home already.\I wonder if they had something to do.\Oh? Looks like the food's ready.\Oh! That's the shumai for the inside of the microwave.\Oh, sorry. response:	Nice catch!
context: We're already done for the day.\Huh? Where'd Chisaki and Kaname go?\They went home already.\I wonder if they had something to do.\Oh? Looks like the food's ready.\Oh! That's the shumai for the inside of the microwave.\Oh, sorry.\Nice catch! response:	Hey! Be careful with my shumai!
context: Huh? Where'd Chisaki and Kaname go?\They went home already.\I wonder if they had something to do.\Oh? Looks like the food's ready.\Oh! That's the shumai for the inside of the microwave.\Oh, sorry.\Nice catch!\Hey! Be careful with my shumai! response:	Do you know how hard I worked on that thing?
context: They went home already.\I wonder if they had something to do.\Oh? Looks like the food's ready.\Oh! That's the shumai for the inside of the microwave.\Oh, sorry.\Nice catch!\Hey! Be careful with my shumai!\Do you know how hard I worked on that thing? response:	That smells good.
context: I wonder if they had something to do.\Oh? Looks like the food's ready.\Oh! That's the shumai for the inside of the microwave.\Oh, sorry.\Nice catch!\Hey! Be careful with my shumai!\Do you know how hard I worked on that thing?\That smells good. response:	It's seafood and pork soup!
context: Oh? Looks like the food's ready.\Oh! That's the shumai for the inside of the microwave.\Oh, sorry.\Nice catch!\Hey! Be careful with my shumai!\Do you know how hard I worked on that thing?\That smells good.\It's seafood and pork soup! response:	What?
context: Oh! That's the shumai for the inside of the microwave.\Oh, sorry.\Nice catch!\Hey! Be careful with my shumai!\Do you know how hard I worked on that thing?\That smells good.\It's seafood and pork soup!\What? response:	Putting pork in seafood soup is wrong.
context: Oh, sorry.\Nice catch!\Hey! Be careful with my shumai!\Do you know how hard I worked on that thing?\That smells good.\It's seafood and pork soup!\What?\Putting pork in seafood soup is wrong. response:	Yep!
context: Nice catch!\Hey! Be careful with my shumai!\Do you know how hard I worked on that thing?\That smells good.\It's seafood and pork soup!\What?\Putting pork in seafood soup is wrong.\Yep! response:	Y-You think so?
context: Hey! Be careful with my shumai!\Do you know how hard I worked on that thing?\That smells good.\It's seafood and pork soup!\What?\Putting pork in seafood soup is wrong.\Yep!\Y-You think so? response:	I thought it'd be nice if things that were raised in the sea and on the surface got along.
context: Do you know how hard I worked on that thing?\That smells good.\It's seafood and pork soup!\What?\Putting pork in seafood soup is wrong.\Yep!\Y-You think so?\I thought it'd be nice if things that were raised in the sea and on the surface got along. response:	The sea and the surface...
context: That smells good.\It's seafood and pork soup!\What?\Putting pork in seafood soup is wrong.\Yep!\Y-You think so?\I thought it'd be nice if things that were raised in the sea and on the surface got along.\The sea and the surface... response:	The hell are you doing?!
context: It's seafood and pork soup!\What?\Putting pork in seafood soup is wrong.\Yep!\Y-You think so?\I thought it'd be nice if things that were raised in the sea and on the surface got along.\The sea and the surface...\The hell are you doing?! response:	That's for making my knees buckle.
context: What?\Putting pork in seafood soup is wrong.\Yep!\Y-You think so?\I thought it'd be nice if things that were raised in the sea and on the surface got along.\The sea and the surface...\The hell are you doing?!\That's for making my knees buckle. response:	That's totally different!
context: Putting pork in seafood soup is wrong.\Yep!\Y-You think so?\I thought it'd be nice if things that were raised in the sea and on the surface got along.\The sea and the surface...\The hell are you doing?!\That's for making my knees buckle.\That's totally different! response:	That's different for a lot of reasons...
context: Yep!\Y-You think so?\I thought it'd be nice if things that were raised in the sea and on the surface got along.\The sea and the surface...\The hell are you doing?!\That's for making my knees buckle.\That's totally different!\That's different for a lot of reasons... response:	Hii-kun, I...
context: Y-You think so?\I thought it'd be nice if things that were raised in the sea and on the surface got along.\The sea and the surface...\The hell are you doing?!\That's for making my knees buckle.\That's totally different!\That's different for a lot of reasons...\Hii-kun, I... response:	I'm here right now because you were there for me, Hii-kun.
context: I thought it'd be nice if things that were raised in the sea and on the surface got along.\The sea and the surface...\The hell are you doing?!\That's for making my knees buckle.\That's totally different!\That's different for a lot of reasons...\Hii-kun, I...\I'm here right now because you were there for me, Hii-kun. response:	Thank...
context: The sea and the surface...\The hell are you doing?!\That's for making my knees buckle.\That's totally different!\That's different for a lot of reasons...\Hii-kun, I...\I'm here right now because you were there for me, Hii-kun.\Thank... response:	Thanks for everything.
context: The hell are you doing?!\That's for making my knees buckle.\That's totally different!\That's different for a lot of reasons...\Hii-kun, I...\I'm here right now because you were there for me, Hii-kun.\Thank...\Thanks for everything. response:	What are you being all serious fo
context: That's for making my knees buckle.\That's totally different!\That's different for a lot of reasons...\Hii-kun, I...\I'm here right now because you were there for me, Hii-kun.\Thank...\Thanks for everything.\What are you being all serious fo response:	You feel reassured when someone is with you.
context: That's totally different!\That's different for a lot of reasons...\Hii-kun, I...\I'm here right now because you were there for me, Hii-kun.\Thank...\Thanks for everything.\What are you being all serious fo\You feel reassured when someone is with you. response:	You taught me lots.
context: That's different for a lot of reasons...\Hii-kun, I...\I'm here right now because you were there for me, Hii-kun.\Thank...\Thanks for everything.\What are you being all serious fo\You feel reassured when someone is with you.\You taught me lots. response:	Well, we're friends...
context: Hii-kun, I...\I'm here right now because you were there for me, Hii-kun.\Thank...\Thanks for everything.\What are you being all serious fo\You feel reassured when someone is with you.\You taught me lots.\Well, we're friends... response:	So... And so...
context: I'm here right now because you were there for me, Hii-kun.\Thank...\Thanks for everything.\What are you being all serious fo\You feel reassured when someone is with you.\You taught me lots.\Well, we're friends...\So... And so... response:	If it's hard for you to go back home, I'll go with you.
context: Thank...\Thanks for everything.\What are you being all serious fo\You feel reassured when someone is with you.\You taught me lots.\Well, we're friends...\So... And so...\If it's hard for you to go back home, I'll go with you. response:	Wh-What are you talking about?
context: Thanks for everything.\What are you being all serious fo\You feel reassured when someone is with you.\You taught me lots.\Well, we're friends...\So... And so...\If it's hard for you to go back home, I'll go with you.\Wh-What are you talking about? response:	It's not like I
context: What are you being all serious fo\You feel reassured when someone is with you.\You taught me lots.\Well, we're friends...\So... And so...\If it's hard for you to go back home, I'll go with you.\Wh-What are you talking about?\It's not like I response:	I feel reassured when you're next to me,
context: You feel reassured when someone is with you.\You taught me lots.\Well, we're friends...\So... And so...\If it's hard for you to go back home, I'll go with you.\Wh-What are you talking about?\It's not like I\I feel reassured when you're next to me, response:	and I'm sure your dad feels the same.
context: You taught me lots.\Well, we're friends...\So... And so...\If it's hard for you to go back home, I'll go with you.\Wh-What are you talking about?\It's not like I\I feel reassured when you're next to me,\and I'm sure your dad feels the same. response:	And I know you do, too.
context: Well, we're friends...\So... And so...\If it's hard for you to go back home, I'll go with you.\Wh-What are you talking about?\It's not like I\I feel reassured when you're next to me,\and I'm sure your dad feels the same.\And I know you do, too. response:	If you can tell each other you care about each other, you'll become stronger!
context: So... And so...\If it's hard for you to go back home, I'll go with you.\Wh-What are you talking about?\It's not like I\I feel reassured when you're next to me,\and I'm sure your dad feels the same.\And I know you do, too.\If you can tell each other you care about each other, you'll become stronger! response:	You'll be happier!
context: If it's hard for you to go back home, I'll go with you.\Wh-What are you talking about?\It's not like I\I feel reassured when you're next to me,\and I'm sure your dad feels the same.\And I know you do, too.\If you can tell each other you care about each other, you'll become stronger!\You'll be happier! response:	Huh?
context: Wh-What are you talking about?\It's not like I\I feel reassured when you're next to me,\and I'm sure your dad feels the same.\And I know you do, too.\If you can tell each other you care about each other, you'll become stronger!\You'll be happier!\Huh? response:	Ow!
context: It's not like I\I feel reassured when you're next to me,\and I'm sure your dad feels the same.\And I know you do, too.\If you can tell each other you care about each other, you'll become stronger!\You'll be happier!\Huh?\Ow! response:	Damn it, what the hell?
context: I feel reassured when you're next to me,\and I'm sure your dad feels the same.\And I know you do, too.\If you can tell each other you care about each other, you'll become stronger!\You'll be happier!\Huh?\Ow!\Damn it, what the hell? response:	I said that I'd support her...
