context: There were many sheep in the grassland. response:	They had white hair,
context: Its light fills me with strength.\So I'm not dependent on anyone's power.\At this rate,\I will fade away.\and Yukito\will vanish along with you.\Sakura will be really sad.\In the last incident, response:	it was Clow's presence that we felt, wasn't it?
context: So I'm not dependent on anyone's power.\At this rate,\I will fade away.\and Yukito\will vanish along with you.\Sakura will be really sad.\In the last incident,\it was Clow's presence that we felt, wasn't it? response:	I'm not sure.
context: At this rate,\I will fade away.\and Yukito\will vanish along with you.\Sakura will be really sad.\In the last incident,\it was Clow's presence that we felt, wasn't it?\I'm not sure. response:	But, if I'm not mistaken, I think I felt the same presence too.
context: I will fade away.\and Yukito\will vanish along with you.\Sakura will be really sad.\In the last incident,\it was Clow's presence that we felt, wasn't it?\I'm not sure.\But, if I'm not mistaken, I think I felt the same presence too. response:	But these incidents are getting increasingly dangerous.
context: and Yukito\will vanish along with you.\Sakura will be really sad.\In the last incident,\it was Clow's presence that we felt, wasn't it?\I'm not sure.\But, if I'm not mistaken, I think I felt the same presence too.\But these incidents are getting increasingly dangerous. response:	The enemy is quite skillful'
context: will vanish along with you.\Sakura will be really sad.\In the last incident,\it was Clow's presence that we felt, wasn't it?\I'm not sure.\But, if I'm not mistaken, I think I felt the same presence too.\But these incidents are getting increasingly dangerous.\The enemy is quite skillful' response:	Yes
context: Sakura will be really sad.\In the last incident,\it was Clow's presence that we felt, wasn't it?\I'm not sure.\But, if I'm not mistaken, I think I felt the same presence too.\But these incidents are getting increasingly dangerous.\The enemy is quite skillful'\Yes response:	But, Yukito'
context: In the last incident,\it was Clow's presence that we felt, wasn't it?\I'm not sure.\But, if I'm not mistaken, I think I felt the same presence too.\But these incidents are getting increasingly dangerous.\The enemy is quite skillful'\Yes\But, Yukito' response:	Kero! Would you like some snacks?
context: it was Clow's presence that we felt, wasn't it?\I'm not sure.\But, if I'm not mistaken, I think I felt the same presence too.\But these incidents are getting increasingly dangerous.\The enemy is quite skillful'\Yes\But, Yukito'\Kero! Would you like some snacks? response:	Hoee! Oh.
context: I'm not sure.\But, if I'm not mistaken, I think I felt the same presence too.\But these incidents are getting increasingly dangerous.\The enemy is quite skillful'\Yes\But, Yukito'\Kero! Would you like some snacks?\Hoee! Oh. response:	It's you, Kero.
context: But, if I'm not mistaken, I think I felt the same presence too.\But these incidents are getting increasingly dangerous.\The enemy is quite skillful'\Yes\But, Yukito'\Kero! Would you like some snacks?\Hoee! Oh.\It's you, Kero. response:	Somehow.
context: But these incidents are getting increasingly dangerous.\The enemy is quite skillful'\Yes\But, Yukito'\Kero! Would you like some snacks?\Hoee! Oh.\It's you, Kero.\Somehow. response:	I'm not used to seeing you so big yet.
context: The enemy is quite skillful'\Yes\But, Yukito'\Kero! Would you like some snacks?\Hoee! Oh.\It's you, Kero.\Somehow.\I'm not used to seeing you so big yet. response:	I'll change back to Yukito.
context: Yes\But, Yukito'\Kero! Would you like some snacks?\Hoee! Oh.\It's you, Kero.\Somehow.\I'm not used to seeing you so big yet.\I'll change back to Yukito. response:	Yue! It'll be terrible
context: But, Yukito'\Kero! Would you like some snacks?\Hoee! Oh.\It's you, Kero.\Somehow.\I'm not used to seeing you so big yet.\I'll change back to Yukito.\Yue! It'll be terrible response:	if I get seen in this form!
context: Kero! Would you like some snacks?\Hoee! Oh.\It's you, Kero.\Somehow.\I'm not used to seeing you so big yet.\I'll change back to Yukito.\Yue! It'll be terrible\if I get seen in this form! response:	Did I blank out again just now?
context: Hoee! Oh.\It's you, Kero.\Somehow.\I'm not used to seeing you so big yet.\I'll change back to Yukito.\Yue! It'll be terrible\if I get seen in this form!\Did I blank out again just now? response:	It's really tough hiding the truth from Yukito.
context: It's you, Kero.\Somehow.\I'm not used to seeing you so big yet.\I'll change back to Yukito.\Yue! It'll be terrible\if I get seen in this form!\Did I blank out again just now?\It's really tough hiding the truth from Yukito. response:	You've just been lucky to be able
context: Somehow.\I'm not used to seeing you so big yet.\I'll change back to Yukito.\Yue! It'll be terrible\if I get seen in this form!\Did I blank out again just now?\It's really tough hiding the truth from Yukito.\You've just been lucky to be able response:	to deceive Yukito for so long
context: I'm not used to seeing you so big yet.\I'll change back to Yukito.\Yue! It'll be terrible\if I get seen in this form!\Did I blank out again just now?\It's really tough hiding the truth from Yukito.\You've just been lucky to be able\to deceive Yukito for so long response:	What do you mean by that?!
context: I'll change back to Yukito.\Yue! It'll be terrible\if I get seen in this form!\Did I blank out again just now?\It's really tough hiding the truth from Yukito.\You've just been lucky to be able\to deceive Yukito for so long\What do you mean by that?! response:	Ah! Li?
context: Yue! It'll be terrible\if I get seen in this form!\Did I blank out again just now?\It's really tough hiding the truth from Yukito.\You've just been lucky to be able\to deceive Yukito for so long\What do you mean by that?!\Ah! Li? response:	Huh? The park?
context: if I get seen in this form!\Did I blank out again just now?\It's really tough hiding the truth from Yukito.\You've just been lucky to be able\to deceive Yukito for so long\What do you mean by that?!\Ah! Li?\Huh? The park? response:	Got it' I'm going now.
context: Did I blank out again just now?\It's really tough hiding the truth from Yukito.\You've just been lucky to be able\to deceive Yukito for so long\What do you mean by that?!\Ah! Li?\Huh? The park?\Got it' I'm going now. response:	I expected it would end up like this'
context: It's really tough hiding the truth from Yukito.\You've just been lucky to be able\to deceive Yukito for so long\What do you mean by that?!\Ah! Li?\Huh? The park?\Got it' I'm going now.\I expected it would end up like this' response:	Of course!
context: You've just been lucky to be able\to deceive Yukito for so long\What do you mean by that?!\Ah! Li?\Huh? The park?\Got it' I'm going now.\I expected it would end up like this'\Of course! response:	Not only is this going to be a great video,
context: to deceive Yukito for so long\What do you mean by that?!\Ah! Li?\Huh? The park?\Got it' I'm going now.\I expected it would end up like this'\Of course!\Not only is this going to be a great video, response:	but to film it on this beautiful night out in the park'
context: What do you mean by that?!\Ah! Li?\Huh? The park?\Got it' I'm going now.\I expected it would end up like this'\Of course!\Not only is this going to be a great video,\but to film it on this beautiful night out in the park' response:	It makes my heart melt
context: Ah! Li?\Huh? The park?\Got it' I'm going now.\I expected it would end up like this'\Of course!\Not only is this going to be a great video,\but to film it on this beautiful night out in the park'\It makes my heart melt response:	just to think of it.
context: Huh? The park?\Got it' I'm going now.\I expected it would end up like this'\Of course!\Not only is this going to be a great video,\but to film it on this beautiful night out in the park'\It makes my heart melt\just to think of it. response:	It's a special evening dress, isn't it?
context: Got it' I'm going now.\I expected it would end up like this'\Of course!\Not only is this going to be a great video,\but to film it on this beautiful night out in the park'\It makes my heart melt\just to think of it.\It's a special evening dress, isn't it? response:	I never did understand
context: I expected it would end up like this'\Of course!\Not only is this going to be a great video,\but to film it on this beautiful night out in the park'\It makes my heart melt\just to think of it.\It's a special evening dress, isn't it?\I never did understand response:	what's up with the two of you
context: Of course!\Not only is this going to be a great video,\but to film it on this beautiful night out in the park'\It makes my heart melt\just to think of it.\It's a special evening dress, isn't it?\I never did understand\what's up with the two of you response:	Anyway,
context: Not only is this going to be a great video,\but to film it on this beautiful night out in the park'\It makes my heart melt\just to think of it.\It's a special evening dress, isn't it?\I never did understand\what's up with the two of you\Anyway, response:	do you see where this strange aura is coming from?
context: but to film it on this beautiful night out in the park'\It makes my heart melt\just to think of it.\It's a special evening dress, isn't it?\I never did understand\what's up with the two of you\Anyway,\do you see where this strange aura is coming from? response:	You feel it too, Li,
context: It makes my heart melt\just to think of it.\It's a special evening dress, isn't it?\I never did understand\what's up with the two of you\Anyway,\do you see where this strange aura is coming from?\You feel it too, Li, response:	Clow's aura.
context: just to think of it.\It's a special evening dress, isn't it?\I never did understand\what's up with the two of you\Anyway,\do you see where this strange aura is coming from?\You feel it too, Li,\Clow's aura. response:	I sense a powerful magical aura,
context: It's a special evening dress, isn't it?\I never did understand\what's up with the two of you\Anyway,\do you see where this strange aura is coming from?\You feel it too, Li,\Clow's aura.\I sense a powerful magical aura, response:	but I really don't know if it's Clow's.
context: I never did understand\what's up with the two of you\Anyway,\do you see where this strange aura is coming from?\You feel it too, Li,\Clow's aura.\I sense a powerful magical aura,\but I really don't know if it's Clow's. response:	I would really want to see who our opponent is.
context: what's up with the two of you\Anyway,\do you see where this strange aura is coming from?\You feel it too, Li,\Clow's aura.\I sense a powerful magical aura,\but I really don't know if it's Clow's.\I would really want to see who our opponent is. response:	' Is that so.' Do you understand me?
context: Anyway,\do you see where this strange aura is coming from?\You feel it too, Li,\Clow's aura.\I sense a powerful magical aura,\but I really don't know if it's Clow's.\I would really want to see who our opponent is.\' Is that so.' Do you understand me? response:	It's strongest
context: do you see where this strange aura is coming from?\You feel it too, Li,\Clow's aura.\I sense a powerful magical aura,\but I really don't know if it's Clow's.\I would really want to see who our opponent is.\' Is that so.' Do you understand me?\It's strongest response:	in the vicinity of the penguin
context: You feel it too, Li,\Clow's aura.\I sense a powerful magical aura,\but I really don't know if it's Clow's.\I would really want to see who our opponent is.\' Is that so.' Do you understand me?\It's strongest\in the vicinity of the penguin response:	What's matter?
context: Clow's aura.\I sense a powerful magical aura,\but I really don't know if it's Clow's.\I would really want to see who our opponent is.\' Is that so.' Do you understand me?\It's strongest\in the vicinity of the penguin\What's matter? response:	Somehow' The penguin'
context: I sense a powerful magical aura,\but I really don't know if it's Clow's.\I would really want to see who our opponent is.\' Is that so.' Do you understand me?\It's strongest\in the vicinity of the penguin\What's matter?\Somehow' The penguin' response:	It seems different from the way it used to be.
context: but I really don't know if it's Clow's.\I would really want to see who our opponent is.\' Is that so.' Do you understand me?\It's strongest\in the vicinity of the penguin\What's matter?\Somehow' The penguin'\It seems different from the way it used to be. response:	What?
context: I would really want to see who our opponent is.\' Is that so.' Do you understand me?\It's strongest\in the vicinity of the penguin\What's matter?\Somehow' The penguin'\It seems different from the way it used to be.\What? response:	What the heck is this?
context: ' Is that so.' Do you understand me?\It's strongest\in the vicinity of the penguin\What's matter?\Somehow' The penguin'\It seems different from the way it used to be.\What?\What the heck is this? response:	This is pretty huge!
context: It's strongest\in the vicinity of the penguin\What's matter?\Somehow' The penguin'\It seems different from the way it used to be.\What?\What the heck is this?\This is pretty huge! response:	Who could have done this?
context: in the vicinity of the penguin\What's matter?\Somehow' The penguin'\It seems different from the way it used to be.\What?\What the heck is this?\This is pretty huge!\Who could have done this? response:	I feel it' Inside this hole'
context: What's matter?\Somehow' The penguin'\It seems different from the way it used to be.\What?\What the heck is this?\This is pretty huge!\Who could have done this?\I feel it' Inside this hole' response:	Clow's aura'
context: Somehow' The penguin'\It seems different from the way it used to be.\What?\What the heck is this?\This is pretty huge!\Who could have done this?\I feel it' Inside this hole'\Clow's aura' response:	Guess we should go have a look.
context: It seems different from the way it used to be.\What?\What the heck is this?\This is pretty huge!\Who could have done this?\I feel it' Inside this hole'\Clow's aura'\Guess we should go have a look. response:	Right!
context: What?\What the heck is this?\This is pretty huge!\Who could have done this?\I feel it' Inside this hole'\Clow's aura'\Guess we should go have a look.\Right! response:	So! Let's witness the debut of your new Signature Pose!
context: What the heck is this?\This is pretty huge!\Who could have done this?\I feel it' Inside this hole'\Clow's aura'\Guess we should go have a look.\Right!\So! Let's witness the debut of your new Signature Pose! response:	' Tomoyo!' Let's go! Sakura.
context: This is pretty huge!\Who could have done this?\I feel it' Inside this hole'\Clow's aura'\Guess we should go have a look.\Right!\So! Let's witness the debut of your new Signature Pose!\' Tomoyo!' Let's go! Sakura. response:	Let's see the release thing we did earlier.!
context: Who could have done this?\I feel it' Inside this hole'\Clow's aura'\Guess we should go have a look.\Right!\So! Let's witness the debut of your new Signature Pose!\' Tomoyo!' Let's go! Sakura.\Let's see the release thing we did earlier.! response:	O Key which hides the power of the stars,
context: I feel it' Inside this hole'\Clow's aura'\Guess we should go have a look.\Right!\So! Let's witness the debut of your new Signature Pose!\' Tomoyo!' Let's go! Sakura.\Let's see the release thing we did earlier.!\O Key which hides the power of the stars, response:	reveal thy true form before me.
context: Clow's aura'\Guess we should go have a look.\Right!\So! Let's witness the debut of your new Signature Pose!\' Tomoyo!' Let's go! Sakura.\Let's see the release thing we did earlier.!\O Key which hides the power of the stars,\reveal thy true form before me. response:	I, Sakura, command thee under contract.
context: Guess we should go have a look.\Right!\So! Let's witness the debut of your new Signature Pose!\' Tomoyo!' Let's go! Sakura.\Let's see the release thing we did earlier.!\O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract. response:	Release!
context: Right!\So! Let's witness the debut of your new Signature Pose!\' Tomoyo!' Let's go! Sakura.\Let's see the release thing we did earlier.!\O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release! response:	Fly!!
context: So! Let's witness the debut of your new Signature Pose!\' Tomoyo!' Let's go! Sakura.\Let's see the release thing we did earlier.!\O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Fly!! response:	Great! I'm coming, too!
context: ' Tomoyo!' Let's go! Sakura.\Let's see the release thing we did earlier.!\O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Fly!!\Great! I'm coming, too! response:	What's this?
context: Let's see the release thing we did earlier.!\O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Fly!!\Great! I'm coming, too!\What's this? response:	King of Thunder. Obey my order!!
context: O Key which hides the power of the stars,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Fly!!\Great! I'm coming, too!\What's this?\King of Thunder. Obey my order!! response:	Look here. You brat!
context: reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Fly!!\Great! I'm coming, too!\What's this?\King of Thunder. Obey my order!!\Look here. You brat! response:	What were you trying to pull off?
context: I, Sakura, command thee under contract.\Release!\Fly!!\Great! I'm coming, too!\What's this?\King of Thunder. Obey my order!!\Look here. You brat!\What were you trying to pull off? response:	In that case,
context: Release!\Fly!!\Great! I'm coming, too!\What's this?\King of Thunder. Obey my order!!\Look here. You brat!\What were you trying to pull off?\In that case, response:	Get BACK!
context: Fly!!\Great! I'm coming, too!\What's this?\King of Thunder. Obey my order!!\Look here. You brat!\What were you trying to pull off?\In that case,\Get BACK! response:	Such power' Don't tell me it's Clow's.
context: Great! I'm coming, too!\What's this?\King of Thunder. Obey my order!!\Look here. You brat!\What were you trying to pull off?\In that case,\Get BACK!\Such power' Don't tell me it's Clow's. response:	Just as I thought'
context: What's this?\King of Thunder. Obey my order!!\Look here. You brat!\What were you trying to pull off?\In that case,\Get BACK!\Such power' Don't tell me it's Clow's.\Just as I thought' response:	Clow's aura'
context: King of Thunder. Obey my order!!\Look here. You brat!\What were you trying to pull off?\In that case,\Get BACK!\Such power' Don't tell me it's Clow's.\Just as I thought'\Clow's aura' response:	Hey, Kero'!
context: Look here. You brat!\What were you trying to pull off?\In that case,\Get BACK!\Such power' Don't tell me it's Clow's.\Just as I thought'\Clow's aura'\Hey, Kero'! response:	Kero?
context: What were you trying to pull off?\In that case,\Get BACK!\Such power' Don't tell me it's Clow's.\Just as I thought'\Clow's aura'\Hey, Kero'!\Kero? response:	Hoe!! I'm so scared to be alone!!!
context: In that case,\Get BACK!\Such power' Don't tell me it's Clow's.\Just as I thought'\Clow's aura'\Hey, Kero'!\Kero?\Hoe!! I'm so scared to be alone!!! response:	A stuffed animal?
context: Get BACK!\Such power' Don't tell me it's Clow's.\Just as I thought'\Clow's aura'\Hey, Kero'!\Kero?\Hoe!! I'm so scared to be alone!!!\A stuffed animal? response:	Isn't.
context: Such power' Don't tell me it's Clow's.\Just as I thought'\Clow's aura'\Hey, Kero'!\Kero?\Hoe!! I'm so scared to be alone!!!\A stuffed animal?\Isn't. response:	this Mr.Sheep from my textbook?
context: Just as I thought'\Clow's aura'\Hey, Kero'!\Kero?\Hoe!! I'm so scared to be alone!!!\A stuffed animal?\Isn't.\this Mr.Sheep from my textbook? response:	Hoe! What's Mr.Sheep
context: Clow's aura'\Hey, Kero'!\Kero?\Hoe!! I'm so scared to be alone!!!\A stuffed animal?\Isn't.\this Mr.Sheep from my textbook?\Hoe! What's Mr.Sheep response:	doing here, anyway?
context: Hey, Kero'!\Kero?\Hoe!! I'm so scared to be alone!!!\A stuffed animal?\Isn't.\this Mr.Sheep from my textbook?\Hoe! What's Mr.Sheep\doing here, anyway? response:	It's Sakura's voice!
context: Kero?\Hoe!! I'm so scared to be alone!!!\A stuffed animal?\Isn't.\this Mr.Sheep from my textbook?\Hoe! What's Mr.Sheep\doing here, anyway?\It's Sakura's voice! response:	What's happening? Sakura!
context: Hoe!! I'm so scared to be alone!!!\A stuffed animal?\Isn't.\this Mr.Sheep from my textbook?\Hoe! What's Mr.Sheep\doing here, anyway?\It's Sakura's voice!\What's happening? Sakura! response:	Damn!
context: A stuffed animal?\Isn't.\this Mr.Sheep from my textbook?\Hoe! What's Mr.Sheep\doing here, anyway?\It's Sakura's voice!\What's happening? Sakura!\Damn! response:	Ah. That kid is really going at it'
context: Isn't.\this Mr.Sheep from my textbook?\Hoe! What's Mr.Sheep\doing here, anyway?\It's Sakura's voice!\What's happening? Sakura!\Damn!\Ah. That kid is really going at it' response:	Clow Reed's spells.
context: this Mr.Sheep from my textbook?\Hoe! What's Mr.Sheep\doing here, anyway?\It's Sakura's voice!\What's happening? Sakura!\Damn!\Ah. That kid is really going at it'\Clow Reed's spells. response:	Their forms are practically endless.
context: Hoe! What's Mr.Sheep\doing here, anyway?\It's Sakura's voice!\What's happening? Sakura!\Damn!\Ah. That kid is really going at it'\Clow Reed's spells.\Their forms are practically endless. response:	Flattery' That kid tries hard,
context: doing here, anyway?\It's Sakura's voice!\What's happening? Sakura!\Damn!\Ah. That kid is really going at it'\Clow Reed's spells.\Their forms are practically endless.\Flattery' That kid tries hard, response:	that's his good point.
context: It's Sakura's voice!\What's happening? Sakura!\Damn!\Ah. That kid is really going at it'\Clow Reed's spells.\Their forms are practically endless.\Flattery' That kid tries hard,\that's his good point. response:	This hurts.
context: What's happening? Sakura!\Damn!\Ah. That kid is really going at it'\Clow Reed's spells.\Their forms are practically endless.\Flattery' That kid tries hard,\that's his good point.\This hurts. response:	What should I do now?
context: Damn!\Ah. That kid is really going at it'\Clow Reed's spells.\Their forms are practically endless.\Flattery' That kid tries hard,\that's his good point.\This hurts.\What should I do now? response:	Which card should I convert now?
context: Ah. That kid is really going at it'\Clow Reed's spells.\Their forms are practically endless.\Flattery' That kid tries hard,\that's his good point.\This hurts.\What should I do now?\Which card should I convert now? response:	If I use watery,
context: Clow Reed's spells.\Their forms are practically endless.\Flattery' That kid tries hard,\that's his good point.\This hurts.\What should I do now?\Which card should I convert now?\If I use watery, response:	I'd be in worse trouble.
context: Their forms are practically endless.\Flattery' That kid tries hard,\that's his good point.\This hurts.\What should I do now?\Which card should I convert now?\If I use watery,\I'd be in worse trouble. response:	Firey will do me in as well.
context: Flattery' That kid tries hard,\that's his good point.\This hurts.\What should I do now?\Which card should I convert now?\If I use watery,\I'd be in worse trouble.\Firey will do me in as well. response:	How now?
context: that's his good point.\This hurts.\What should I do now?\Which card should I convert now?\If I use watery,\I'd be in worse trouble.\Firey will do me in as well.\How now? response:	Oh! That's right!
context: This hurts.\What should I do now?\Which card should I convert now?\If I use watery,\I'd be in worse trouble.\Firey will do me in as well.\How now?\Oh! That's right! response:	O Card created by Clow,
context: What should I do now?\Which card should I convert now?\If I use watery,\I'd be in worse trouble.\Firey will do me in as well.\How now?\Oh! That's right!\O Card created by Clow, response:	Discard thine old form and be reborn.
context: Which card should I convert now?\If I use watery,\I'd be in worse trouble.\Firey will do me in as well.\How now?\Oh! That's right!\O Card created by Clow,\Discard thine old form and be reborn. response:	Under the name of Sakura, thy new Mistress.
context: If I use watery,\I'd be in worse trouble.\Firey will do me in as well.\How now?\Oh! That's right!\O Card created by Clow,\Discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress. response:	Erase!
context: I'd be in worse trouble.\Firey will do me in as well.\How now?\Oh! That's right!\O Card created by Clow,\Discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Erase! response:	Well done.
context: Firey will do me in as well.\How now?\Oh! That's right!\O Card created by Clow,\Discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Erase!\Well done. response:	The power's aura' vanished.
context: How now?\Oh! That's right!\O Card created by Clow,\Discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Erase!\Well done.\The power's aura' vanished. response:	' Sakura.' Sakura-chan!
context: Oh! That's right!\O Card created by Clow,\Discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Erase!\Well done.\The power's aura' vanished.\' Sakura.' Sakura-chan! response:	Are you alright?
context: O Card created by Clow,\Discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Erase!\Well done.\The power's aura' vanished.\' Sakura.' Sakura-chan!\Are you alright? response:	Thank goodness.
context: Discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Erase!\Well done.\The power's aura' vanished.\' Sakura.' Sakura-chan!\Are you alright?\Thank goodness. response:	Thanks. I feel bad for making you worry.
context: Under the name of Sakura, thy new Mistress.\Erase!\Well done.\The power's aura' vanished.\' Sakura.' Sakura-chan!\Are you alright?\Thank goodness.\Thanks. I feel bad for making you worry. response:	What happened there?
context: Erase!\Well done.\The power's aura' vanished.\' Sakura.' Sakura-chan!\Are you alright?\Thank goodness.\Thanks. I feel bad for making you worry.\What happened there? response:	Somehow, many sheep appeared.
context: Well done.\The power's aura' vanished.\' Sakura.' Sakura-chan!\Are you alright?\Thank goodness.\Thanks. I feel bad for making you worry.\What happened there?\Somehow, many sheep appeared. response:	Sheep?
context: The power's aura' vanished.\' Sakura.' Sakura-chan!\Are you alright?\Thank goodness.\Thanks. I feel bad for making you worry.\What happened there?\Somehow, many sheep appeared.\Sheep? response:	Yes. They were stuffed dolls.
context: ' Sakura.' Sakura-chan!\Are you alright?\Thank goodness.\Thanks. I feel bad for making you worry.\What happened there?\Somehow, many sheep appeared.\Sheep?\Yes. They were stuffed dolls. response:	Dolls again' huh?
context: Are you alright?\Thank goodness.\Thanks. I feel bad for making you worry.\What happened there?\Somehow, many sheep appeared.\Sheep?\Yes. They were stuffed dolls.\Dolls again' huh? response:	And how was it inside?
context: Thank goodness.\Thanks. I feel bad for making you worry.\What happened there?\Somehow, many sheep appeared.\Sheep?\Yes. They were stuffed dolls.\Dolls again' huh?\And how was it inside? response:	Indeed, I sensed Clow's presence in there.
context: Thanks. I feel bad for making you worry.\What happened there?\Somehow, many sheep appeared.\Sheep?\Yes. They were stuffed dolls.\Dolls again' huh?\And how was it inside?\Indeed, I sensed Clow's presence in there. response:	But' What do we do with this now?
context: What happened there?\Somehow, many sheep appeared.\Sheep?\Yes. They were stuffed dolls.\Dolls again' huh?\And how was it inside?\Indeed, I sensed Clow's presence in there.\But' What do we do with this now? response:	Whatever we do,
context: Somehow, many sheep appeared.\Sheep?\Yes. They were stuffed dolls.\Dolls again' huh?\And how was it inside?\Indeed, I sensed Clow's presence in there.\But' What do we do with this now?\Whatever we do, response:	we have to return the penguin to its original position.
context: Sheep?\Yes. They were stuffed dolls.\Dolls again' huh?\And how was it inside?\Indeed, I sensed Clow's presence in there.\But' What do we do with this now?\Whatever we do,\we have to return the penguin to its original position. response:	To move the penguin'
context: Yes. They were stuffed dolls.\Dolls again' huh?\And how was it inside?\Indeed, I sensed Clow's presence in there.\But' What do we do with this now?\Whatever we do,\we have to return the penguin to its original position.\To move the penguin' response:	It's Power card, isn't it?
context: Dolls again' huh?\And how was it inside?\Indeed, I sensed Clow's presence in there.\But' What do we do with this now?\Whatever we do,\we have to return the penguin to its original position.\To move the penguin'\It's Power card, isn't it? response:	Let's see you do your
context: And how was it inside?\Indeed, I sensed Clow's presence in there.\But' What do we do with this now?\Whatever we do,\we have to return the penguin to its original position.\To move the penguin'\It's Power card, isn't it?\Let's see you do your response:	Signature Pose Variation No.2!
context: Indeed, I sensed Clow's presence in there.\But' What do we do with this now?\Whatever we do,\we have to return the penguin to its original position.\To move the penguin'\It's Power card, isn't it?\Let's see you do your\Signature Pose Variation No.2! response:	Li-kun! Kero -chan!
context: But' What do we do with this now?\Whatever we do,\we have to return the penguin to its original position.\To move the penguin'\It's Power card, isn't it?\Let's see you do your\Signature Pose Variation No.2!\Li-kun! Kero -chan! response:	Turn to look over there.
context: Whatever we do,\we have to return the penguin to its original position.\To move the penguin'\It's Power card, isn't it?\Let's see you do your\Signature Pose Variation No.2!\Li-kun! Kero -chan!\Turn to look over there. response:	Why?
context: we have to return the penguin to its original position.\To move the penguin'\It's Power card, isn't it?\Let's see you do your\Signature Pose Variation No.2!\Li-kun! Kero -chan!\Turn to look over there.\Why? response:	Just do it!
context: To move the penguin'\It's Power card, isn't it?\Let's see you do your\Signature Pose Variation No.2!\Li-kun! Kero -chan!\Turn to look over there.\Why?\Just do it! response:	Don't you ever' EVER' look here, okay?
context: It's Power card, isn't it?\Let's see you do your\Signature Pose Variation No.2!\Li-kun! Kero -chan!\Turn to look over there.\Why?\Just do it!\Don't you ever' EVER' look here, okay? response:	It's so wonderful!!
context: Let's see you do your\Signature Pose Variation No.2!\Li-kun! Kero -chan!\Turn to look over there.\Why?\Just do it!\Don't you ever' EVER' look here, okay?\It's so wonderful!! response:	I feel sleepy.
context: Signature Pose Variation No.2!\Li-kun! Kero -chan!\Turn to look over there.\Why?\Just do it!\Don't you ever' EVER' look here, okay?\It's so wonderful!!\I feel sleepy. response:	Sakura-chan!
context: Li-kun! Kero -chan!\Turn to look over there.\Why?\Just do it!\Don't you ever' EVER' look here, okay?\It's so wonderful!!\I feel sleepy.\Sakura-chan! response:	Sakura. Hang in there!
context: Turn to look over there.\Why?\Just do it!\Don't you ever' EVER' look here, okay?\It's so wonderful!!\I feel sleepy.\Sakura-chan!\Sakura. Hang in there! response:	It's been fun, hasn't it,
context: Why?\Just do it!\Don't you ever' EVER' look here, okay?\It's so wonderful!!\I feel sleepy.\Sakura-chan!\Sakura. Hang in there!\It's been fun, hasn't it, response:	Eriol?
context: Just do it!\Don't you ever' EVER' look here, okay?\It's so wonderful!!\I feel sleepy.\Sakura-chan!\Sakura. Hang in there!\It's been fun, hasn't it,\Eriol? response:	Yes. Indeed.
context: Don't you ever' EVER' look here, okay?\It's so wonderful!!\I feel sleepy.\Sakura-chan!\Sakura. Hang in there!\It's been fun, hasn't it,\Eriol?\Yes. Indeed. response:	It will get even more enjoyable from now on.
