context: In my opinion response:	Bai Qian does not take this marriage arrangement seriously either.
context: Fox King.\Look at how in love these two are.\It isn't as if they committed some heinous crime.\Why don't you hurry and decide if you want the marriage canceled\and put this matter to rest?\Since Zhe Yan pleas for leniency on Second Prince's behalf-\You must not.\The Celestial Tribe is in the wrong. response:	The Celestial Tribe must be held accountable to the Fox Clan.
context: Look at how in love these two are.\It isn't as if they committed some heinous crime.\Why don't you hurry and decide if you want the marriage canceled\and put this matter to rest?\Since Zhe Yan pleas for leniency on Second Prince's behalf-\You must not.\The Celestial Tribe is in the wrong.\The Celestial Tribe must be held accountable to the Fox Clan. response:	May I speak, Father?
context: It isn't as if they committed some heinous crime.\Why don't you hurry and decide if you want the marriage canceled\and put this matter to rest?\Since Zhe Yan pleas for leniency on Second Prince's behalf-\You must not.\The Celestial Tribe is in the wrong.\The Celestial Tribe must be held accountable to the Fox Clan.\May I speak, Father? response:	What do you want to say?
context: Why don't you hurry and decide if you want the marriage canceled\and put this matter to rest?\Since Zhe Yan pleas for leniency on Second Prince's behalf-\You must not.\The Celestial Tribe is in the wrong.\The Celestial Tribe must be held accountable to the Fox Clan.\May I speak, Father?\What do you want to say? response:	I reckon it wouldn't be a bad idea for Bai Qian and Second Brother's marriage
context: and put this matter to rest?\Since Zhe Yan pleas for leniency on Second Prince's behalf-\You must not.\The Celestial Tribe is in the wrong.\The Celestial Tribe must be held accountable to the Fox Clan.\May I speak, Father?\What do you want to say?\I reckon it wouldn't be a bad idea for Bai Qian and Second Brother's marriage response:	to be put to rest.
context: Since Zhe Yan pleas for leniency on Second Prince's behalf-\You must not.\The Celestial Tribe is in the wrong.\The Celestial Tribe must be held accountable to the Fox Clan.\May I speak, Father?\What do you want to say?\I reckon it wouldn't be a bad idea for Bai Qian and Second Brother's marriage\to be put to rest. response:	Presumptuous!
context: You must not.\The Celestial Tribe is in the wrong.\The Celestial Tribe must be held accountable to the Fox Clan.\May I speak, Father?\What do you want to say?\I reckon it wouldn't be a bad idea for Bai Qian and Second Brother's marriage\to be put to rest.\Presumptuous! response:	You have no say in the marriage agreement between Celestial Tribe and Fox Clan.
context: The Celestial Tribe is in the wrong.\The Celestial Tribe must be held accountable to the Fox Clan.\May I speak, Father?\What do you want to say?\I reckon it wouldn't be a bad idea for Bai Qian and Second Brother's marriage\to be put to rest.\Presumptuous!\You have no say in the marriage agreement between Celestial Tribe and Fox Clan. response:	Please allow me finish first, Father.
context: The Celestial Tribe must be held accountable to the Fox Clan.\May I speak, Father?\What do you want to say?\I reckon it wouldn't be a bad idea for Bai Qian and Second Brother's marriage\to be put to rest.\Presumptuous!\You have no say in the marriage agreement between Celestial Tribe and Fox Clan.\Please allow me finish first, Father. response:	Go ahead.
context: May I speak, Father?\What do you want to say?\I reckon it wouldn't be a bad idea for Bai Qian and Second Brother's marriage\to be put to rest.\Presumptuous!\You have no say in the marriage agreement between Celestial Tribe and Fox Clan.\Please allow me finish first, Father.\Go ahead. response:	If you say something so impudent again, I will punish you severely.
context: What do you want to say?\I reckon it wouldn't be a bad idea for Bai Qian and Second Brother's marriage\to be put to rest.\Presumptuous!\You have no say in the marriage agreement between Celestial Tribe and Fox Clan.\Please allow me finish first, Father.\Go ahead.\If you say something so impudent again, I will punish you severely. response:	Thank you for allowing me to finish, Father.
context: I reckon it wouldn't be a bad idea for Bai Qian and Second Brother's marriage\to be put to rest.\Presumptuous!\You have no say in the marriage agreement between Celestial Tribe and Fox Clan.\Please allow me finish first, Father.\Go ahead.\If you say something so impudent again, I will punish you severely.\Thank you for allowing me to finish, Father. response:	And thank you to Fox King for allowing me to speak presumptuously.
context: to be put to rest.\Presumptuous!\You have no say in the marriage agreement between Celestial Tribe and Fox Clan.\Please allow me finish first, Father.\Go ahead.\If you say something so impudent again, I will punish you severely.\Thank you for allowing me to finish, Father.\And thank you to Fox King for allowing me to speak presumptuously. response:	Second Brother and Bai Qian's marriage
context: Presumptuous!\You have no say in the marriage agreement between Celestial Tribe and Fox Clan.\Please allow me finish first, Father.\Go ahead.\If you say something so impudent again, I will punish you severely.\Thank you for allowing me to finish, Father.\And thank you to Fox King for allowing me to speak presumptuously.\Second Brother and Bai Qian's marriage response:	is one between Celestial Tribe and Fox Clan.
context: You have no say in the marriage agreement between Celestial Tribe and Fox Clan.\Please allow me finish first, Father.\Go ahead.\If you say something so impudent again, I will punish you severely.\Thank you for allowing me to finish, Father.\And thank you to Fox King for allowing me to speak presumptuously.\Second Brother and Bai Qian's marriage\is one between Celestial Tribe and Fox Clan. response:	It is a serious matter, an important matter.
context: Please allow me finish first, Father.\Go ahead.\If you say something so impudent again, I will punish you severely.\Thank you for allowing me to finish, Father.\And thank you to Fox King for allowing me to speak presumptuously.\Second Brother and Bai Qian's marriage\is one between Celestial Tribe and Fox Clan.\It is a serious matter, an important matter. response:	It also concerns the friendly relations between Celestial Tribe and Fox Clan.
context: Go ahead.\If you say something so impudent again, I will punish you severely.\Thank you for allowing me to finish, Father.\And thank you to Fox King for allowing me to speak presumptuously.\Second Brother and Bai Qian's marriage\is one between Celestial Tribe and Fox Clan.\It is a serious matter, an important matter.\It also concerns the friendly relations between Celestial Tribe and Fox Clan. response:	Since Second Brother cannot marry Bai Qian
context: If you say something so impudent again, I will punish you severely.\Thank you for allowing me to finish, Father.\And thank you to Fox King for allowing me to speak presumptuously.\Second Brother and Bai Qian's marriage\is one between Celestial Tribe and Fox Clan.\It is a serious matter, an important matter.\It also concerns the friendly relations between Celestial Tribe and Fox Clan.\Since Second Brother cannot marry Bai Qian response:	why not let another of respectable status in the Celestial Tribe marry Bai Qian?
context: Thank you for allowing me to finish, Father.\And thank you to Fox King for allowing me to speak presumptuously.\Second Brother and Bai Qian's marriage\is one between Celestial Tribe and Fox Clan.\It is a serious matter, an important matter.\It also concerns the friendly relations between Celestial Tribe and Fox Clan.\Since Second Brother cannot marry Bai Qian\why not let another of respectable status in the Celestial Tribe marry Bai Qian? response:	First, this would still be a marriage between Celestial Tribe and Fox Clan.
context: And thank you to Fox King for allowing me to speak presumptuously.\Second Brother and Bai Qian's marriage\is one between Celestial Tribe and Fox Clan.\It is a serious matter, an important matter.\It also concerns the friendly relations between Celestial Tribe and Fox Clan.\Since Second Brother cannot marry Bai Qian\why not let another of respectable status in the Celestial Tribe marry Bai Qian?\First, this would still be a marriage between Celestial Tribe and Fox Clan. response:	Secondly, the dignity of both tribes would remain intact.
context: Second Brother and Bai Qian's marriage\is one between Celestial Tribe and Fox Clan.\It is a serious matter, an important matter.\It also concerns the friendly relations between Celestial Tribe and Fox Clan.\Since Second Brother cannot marry Bai Qian\why not let another of respectable status in the Celestial Tribe marry Bai Qian?\First, this would still be a marriage between Celestial Tribe and Fox Clan.\Secondly, the dignity of both tribes would remain intact. response:	How can the groom be so simply replaced? Who do you take Bai Qian for?
context: is one between Celestial Tribe and Fox Clan.\It is a serious matter, an important matter.\It also concerns the friendly relations between Celestial Tribe and Fox Clan.\Since Second Brother cannot marry Bai Qian\why not let another of respectable status in the Celestial Tribe marry Bai Qian?\First, this would still be a marriage between Celestial Tribe and Fox Clan.\Secondly, the dignity of both tribes would remain intact.\How can the groom be so simply replaced? Who do you take Bai Qian for? response:	Please do not misunderstand, Fox King. I dare not look down upon the Fox Clan.
context: It is a serious matter, an important matter.\It also concerns the friendly relations between Celestial Tribe and Fox Clan.\Since Second Brother cannot marry Bai Qian\why not let another of respectable status in the Celestial Tribe marry Bai Qian?\First, this would still be a marriage between Celestial Tribe and Fox Clan.\Secondly, the dignity of both tribes would remain intact.\How can the groom be so simply replaced? Who do you take Bai Qian for?\Please do not misunderstand, Fox King. I dare not look down upon the Fox Clan. response:	That is why the one of respectable status that I speak of
context: It also concerns the friendly relations between Celestial Tribe and Fox Clan.\Since Second Brother cannot marry Bai Qian\why not let another of respectable status in the Celestial Tribe marry Bai Qian?\First, this would still be a marriage between Celestial Tribe and Fox Clan.\Secondly, the dignity of both tribes would remain intact.\How can the groom be so simply replaced? Who do you take Bai Qian for?\Please do not misunderstand, Fox King. I dare not look down upon the Fox Clan.\That is why the one of respectable status that I speak of response:	is no other than Heavenly Lord's grandson, Ye Hua.
context: Since Second Brother cannot marry Bai Qian\why not let another of respectable status in the Celestial Tribe marry Bai Qian?\First, this would still be a marriage between Celestial Tribe and Fox Clan.\Secondly, the dignity of both tribes would remain intact.\How can the groom be so simply replaced? Who do you take Bai Qian for?\Please do not misunderstand, Fox King. I dare not look down upon the Fox Clan.\That is why the one of respectable status that I speak of\is no other than Heavenly Lord's grandson, Ye Hua. response:	Ye Hua?
context: why not let another of respectable status in the Celestial Tribe marry Bai Qian?\First, this would still be a marriage between Celestial Tribe and Fox Clan.\Secondly, the dignity of both tribes would remain intact.\How can the groom be so simply replaced? Who do you take Bai Qian for?\Please do not misunderstand, Fox King. I dare not look down upon the Fox Clan.\That is why the one of respectable status that I speak of\is no other than Heavenly Lord's grandson, Ye Hua.\Ye Hua? response:	That is correct.
context: First, this would still be a marriage between Celestial Tribe and Fox Clan.\Secondly, the dignity of both tribes would remain intact.\How can the groom be so simply replaced? Who do you take Bai Qian for?\Please do not misunderstand, Fox King. I dare not look down upon the Fox Clan.\That is why the one of respectable status that I speak of\is no other than Heavenly Lord's grandson, Ye Hua.\Ye Hua?\That is correct. response:	It is Celestial Tribe's Crown Prince, the next Heavenly Lord, Ye Hua.
context: Secondly, the dignity of both tribes would remain intact.\How can the groom be so simply replaced? Who do you take Bai Qian for?\Please do not misunderstand, Fox King. I dare not look down upon the Fox Clan.\That is why the one of respectable status that I speak of\is no other than Heavenly Lord's grandson, Ye Hua.\Ye Hua?\That is correct.\It is Celestial Tribe's Crown Prince, the next Heavenly Lord, Ye Hua. response:	That does sound like a meaningful suggestion.
context: How can the groom be so simply replaced? Who do you take Bai Qian for?\Please do not misunderstand, Fox King. I dare not look down upon the Fox Clan.\That is why the one of respectable status that I speak of\is no other than Heavenly Lord's grandson, Ye Hua.\Ye Hua?\That is correct.\It is Celestial Tribe's Crown Prince, the next Heavenly Lord, Ye Hua.\That does sound like a meaningful suggestion. response:	You are indeed an understanding person.
context: Please do not misunderstand, Fox King. I dare not look down upon the Fox Clan.\That is why the one of respectable status that I speak of\is no other than Heavenly Lord's grandson, Ye Hua.\Ye Hua?\That is correct.\It is Celestial Tribe's Crown Prince, the next Heavenly Lord, Ye Hua.\That does sound like a meaningful suggestion.\You are indeed an understanding person. response:	Second Brother and Bai Qian have never met before.
context: That is why the one of respectable status that I speak of\is no other than Heavenly Lord's grandson, Ye Hua.\Ye Hua?\That is correct.\It is Celestial Tribe's Crown Prince, the next Heavenly Lord, Ye Hua.\That does sound like a meaningful suggestion.\You are indeed an understanding person.\Second Brother and Bai Qian have never met before. response:	Nor do they have any feelings for each other.
context: is no other than Heavenly Lord's grandson, Ye Hua.\Ye Hua?\That is correct.\It is Celestial Tribe's Crown Prince, the next Heavenly Lord, Ye Hua.\That does sound like a meaningful suggestion.\You are indeed an understanding person.\Second Brother and Bai Qian have never met before.\Nor do they have any feelings for each other. response:	Now that he has someone he loves, he is even more unworthy of Bai Qian.
context: Ye Hua?\That is correct.\It is Celestial Tribe's Crown Prince, the next Heavenly Lord, Ye Hua.\That does sound like a meaningful suggestion.\You are indeed an understanding person.\Second Brother and Bai Qian have never met before.\Nor do they have any feelings for each other.\Now that he has someone he loves, he is even more unworthy of Bai Qian. response:	If Second Brother were to continue to stand by this marriage arrangement
context: That is correct.\It is Celestial Tribe's Crown Prince, the next Heavenly Lord, Ye Hua.\That does sound like a meaningful suggestion.\You are indeed an understanding person.\Second Brother and Bai Qian have never met before.\Nor do they have any feelings for each other.\Now that he has someone he loves, he is even more unworthy of Bai Qian.\If Second Brother were to continue to stand by this marriage arrangement response:	then it would be unjust for Qing Qiu and the Fox Clan.
context: It is Celestial Tribe's Crown Prince, the next Heavenly Lord, Ye Hua.\That does sound like a meaningful suggestion.\You are indeed an understanding person.\Second Brother and Bai Qian have never met before.\Nor do they have any feelings for each other.\Now that he has someone he loves, he is even more unworthy of Bai Qian.\If Second Brother were to continue to stand by this marriage arrangement\then it would be unjust for Qing Qiu and the Fox Clan. response:	Indeed, it would be unjust.
context: That does sound like a meaningful suggestion.\You are indeed an understanding person.\Second Brother and Bai Qian have never met before.\Nor do they have any feelings for each other.\Now that he has someone he loves, he is even more unworthy of Bai Qian.\If Second Brother were to continue to stand by this marriage arrangement\then it would be unjust for Qing Qiu and the Fox Clan.\Indeed, it would be unjust. response:	then it would be an even greater display of Celestial Tribe's sincerity.
context: You are indeed an understanding person.\Second Brother and Bai Qian have never met before.\Nor do they have any feelings for each other.\Now that he has someone he loves, he is even more unworthy of Bai Qian.\If Second Brother were to continue to stand by this marriage arrangement\then it would be unjust for Qing Qiu and the Fox Clan.\Indeed, it would be unjust.\then it would be an even greater display of Celestial Tribe's sincerity. response:	He is the future Heavenly Lord.
context: Second Brother and Bai Qian have never met before.\Nor do they have any feelings for each other.\Now that he has someone he loves, he is even more unworthy of Bai Qian.\If Second Brother were to continue to stand by this marriage arrangement\then it would be unjust for Qing Qiu and the Fox Clan.\Indeed, it would be unjust.\then it would be an even greater display of Celestial Tribe's sincerity.\He is the future Heavenly Lord. response:	If Bai Qian marries him, she would be the future empress
context: Nor do they have any feelings for each other.\Now that he has someone he loves, he is even more unworthy of Bai Qian.\If Second Brother were to continue to stand by this marriage arrangement\then it would be unjust for Qing Qiu and the Fox Clan.\Indeed, it would be unjust.\then it would be an even greater display of Celestial Tribe's sincerity.\He is the future Heavenly Lord.\If Bai Qian marries him, she would be the future empress response:	the most respected woman in the Celestial Palace.
context: Now that he has someone he loves, he is even more unworthy of Bai Qian.\If Second Brother were to continue to stand by this marriage arrangement\then it would be unjust for Qing Qiu and the Fox Clan.\Indeed, it would be unjust.\then it would be an even greater display of Celestial Tribe's sincerity.\He is the future Heavenly Lord.\If Bai Qian marries him, she would be the future empress\the most respected woman in the Celestial Palace. response:	In this case, wouldn't everyone by happy?
context: If Second Brother were to continue to stand by this marriage arrangement\then it would be unjust for Qing Qiu and the Fox Clan.\Indeed, it would be unjust.\then it would be an even greater display of Celestial Tribe's sincerity.\He is the future Heavenly Lord.\If Bai Qian marries him, she would be the future empress\the most respected woman in the Celestial Palace.\In this case, wouldn't everyone by happy? response:	Not bad, not bad. Everyone would indeed be happy.
context: then it would be unjust for Qing Qiu and the Fox Clan.\Indeed, it would be unjust.\then it would be an even greater display of Celestial Tribe's sincerity.\He is the future Heavenly Lord.\If Bai Qian marries him, she would be the future empress\the most respected woman in the Celestial Palace.\In this case, wouldn't everyone by happy?\Not bad, not bad. Everyone would indeed be happy. response:	I actually think he is quite a good match for Bai Qian.
context: Indeed, it would be unjust.\then it would be an even greater display of Celestial Tribe's sincerity.\He is the future Heavenly Lord.\If Bai Qian marries him, she would be the future empress\the most respected woman in the Celestial Palace.\In this case, wouldn't everyone by happy?\Not bad, not bad. Everyone would indeed be happy.\I actually think he is quite a good match for Bai Qian. response:	Is that right?
context: then it would be an even greater display of Celestial Tribe's sincerity.\He is the future Heavenly Lord.\If Bai Qian marries him, she would be the future empress\the most respected woman in the Celestial Palace.\In this case, wouldn't everyone by happy?\Not bad, not bad. Everyone would indeed be happy.\I actually think he is quite a good match for Bai Qian.\Is that right? response:	I watched Bai Qian grow up.
context: He is the future Heavenly Lord.\If Bai Qian marries him, she would be the future empress\the most respected woman in the Celestial Palace.\In this case, wouldn't everyone by happy?\Not bad, not bad. Everyone would indeed be happy.\I actually think he is quite a good match for Bai Qian.\Is that right?\I watched Bai Qian grow up. response:	Why would I choose the wrong man for her?
context: If Bai Qian marries him, she would be the future empress\the most respected woman in the Celestial Palace.\In this case, wouldn't everyone by happy?\Not bad, not bad. Everyone would indeed be happy.\I actually think he is quite a good match for Bai Qian.\Is that right?\I watched Bai Qian grow up.\Why would I choose the wrong man for her? response:	She has a very stubborn personality.
context: the most respected woman in the Celestial Palace.\In this case, wouldn't everyone by happy?\Not bad, not bad. Everyone would indeed be happy.\I actually think he is quite a good match for Bai Qian.\Is that right?\I watched Bai Qian grow up.\Why would I choose the wrong man for her?\She has a very stubborn personality. response:	She was most unwilling with the previous arrangement.
context: In this case, wouldn't everyone by happy?\Not bad, not bad. Everyone would indeed be happy.\I actually think he is quite a good match for Bai Qian.\Is that right?\I watched Bai Qian grow up.\Why would I choose the wrong man for her?\She has a very stubborn personality.\She was most unwilling with the previous arrangement. response:	We finally managed to cancel the marriage.
context: Not bad, not bad. Everyone would indeed be happy.\I actually think he is quite a good match for Bai Qian.\Is that right?\I watched Bai Qian grow up.\Why would I choose the wrong man for her?\She has a very stubborn personality.\She was most unwilling with the previous arrangement.\We finally managed to cancel the marriage. response:	If you accept another marriage arrangement without her approval
context: I actually think he is quite a good match for Bai Qian.\Is that right?\I watched Bai Qian grow up.\Why would I choose the wrong man for her?\She has a very stubborn personality.\She was most unwilling with the previous arrangement.\We finally managed to cancel the marriage.\If you accept another marriage arrangement without her approval response:	wouldn't matters become even more troublesome?
context: Is that right?\I watched Bai Qian grow up.\Why would I choose the wrong man for her?\She has a very stubborn personality.\She was most unwilling with the previous arrangement.\We finally managed to cancel the marriage.\If you accept another marriage arrangement without her approval\wouldn't matters become even more troublesome? response:	If she is unsatisfied again, then we'll cancel again.
context: I watched Bai Qian grow up.\Why would I choose the wrong man for her?\She has a very stubborn personality.\She was most unwilling with the previous arrangement.\We finally managed to cancel the marriage.\If you accept another marriage arrangement without her approval\wouldn't matters become even more troublesome?\If she is unsatisfied again, then we'll cancel again. response:	Fox King and I think this is a good idea.
context: Why would I choose the wrong man for her?\She has a very stubborn personality.\She was most unwilling with the previous arrangement.\We finally managed to cancel the marriage.\If you accept another marriage arrangement without her approval\wouldn't matters become even more troublesome?\If she is unsatisfied again, then we'll cancel again.\Fox King and I think this is a good idea. response:	What does Heavenly Lord think?
context: She has a very stubborn personality.\She was most unwilling with the previous arrangement.\We finally managed to cancel the marriage.\If you accept another marriage arrangement without her approval\wouldn't matters become even more troublesome?\If she is unsatisfied again, then we'll cancel again.\Fox King and I think this is a good idea.\What does Heavenly Lord think? response:	Ye Hua, step forward to hear my decree.
context: She was most unwilling with the previous arrangement.\We finally managed to cancel the marriage.\If you accept another marriage arrangement without her approval\wouldn't matters become even more troublesome?\If she is unsatisfied again, then we'll cancel again.\Fox King and I think this is a good idea.\What does Heavenly Lord think?\Ye Hua, step forward to hear my decree. response:	Your Majesty.
context: We finally managed to cancel the marriage.\If you accept another marriage arrangement without her approval\wouldn't matters become even more troublesome?\If she is unsatisfied again, then we'll cancel again.\Fox King and I think this is a good idea.\What does Heavenly Lord think?\Ye Hua, step forward to hear my decree.\Your Majesty. response:	I shall accept this marriage arrangement for you today.
context: If you accept another marriage arrangement without her approval\wouldn't matters become even more troublesome?\If she is unsatisfied again, then we'll cancel again.\Fox King and I think this is a good idea.\What does Heavenly Lord think?\Ye Hua, step forward to hear my decree.\Your Majesty.\I shall accept this marriage arrangement for you today. response:	After the wedding date has been settled with Fox King
context: wouldn't matters become even more troublesome?\If she is unsatisfied again, then we'll cancel again.\Fox King and I think this is a good idea.\What does Heavenly Lord think?\Ye Hua, step forward to hear my decree.\Your Majesty.\I shall accept this marriage arrangement for you today.\After the wedding date has been settled with Fox King response:	you shall represent the Celestial Tribe
context: If she is unsatisfied again, then we'll cancel again.\Fox King and I think this is a good idea.\What does Heavenly Lord think?\Ye Hua, step forward to hear my decree.\Your Majesty.\I shall accept this marriage arrangement for you today.\After the wedding date has been settled with Fox King\you shall represent the Celestial Tribe response:	and marry Qing Qiu's Queen of the East, Bai Qian
context: Fox King and I think this is a good idea.\What does Heavenly Lord think?\Ye Hua, step forward to hear my decree.\Your Majesty.\I shall accept this marriage arrangement for you today.\After the wedding date has been settled with Fox King\you shall represent the Celestial Tribe\and marry Qing Qiu's Queen of the East, Bai Qian response:	bringing her into the Celestial Palace as your Princess Consort.
context: What does Heavenly Lord think?\Ye Hua, step forward to hear my decree.\Your Majesty.\I shall accept this marriage arrangement for you today.\After the wedding date has been settled with Fox King\you shall represent the Celestial Tribe\and marry Qing Qiu's Queen of the East, Bai Qian\bringing her into the Celestial Palace as your Princess Consort. response:	When you succeed the throne as Heavenly Lord
context: Ye Hua, step forward to hear my decree.\Your Majesty.\I shall accept this marriage arrangement for you today.\After the wedding date has been settled with Fox King\you shall represent the Celestial Tribe\and marry Qing Qiu's Queen of the East, Bai Qian\bringing her into the Celestial Palace as your Princess Consort.\When you succeed the throne as Heavenly Lord response:	Bai Qian will become Heavenly Empress.
context: Your Majesty.\I shall accept this marriage arrangement for you today.\After the wedding date has been settled with Fox King\you shall represent the Celestial Tribe\and marry Qing Qiu's Queen of the East, Bai Qian\bringing her into the Celestial Palace as your Princess Consort.\When you succeed the throne as Heavenly Lord\Bai Qian will become Heavenly Empress. response:	I accept your command.
context: I shall accept this marriage arrangement for you today.\After the wedding date has been settled with Fox King\you shall represent the Celestial Tribe\and marry Qing Qiu's Queen of the East, Bai Qian\bringing her into the Celestial Palace as your Princess Consort.\When you succeed the throne as Heavenly Lord\Bai Qian will become Heavenly Empress.\I accept your command. response:	Sang Ji.
context: After the wedding date has been settled with Fox King\you shall represent the Celestial Tribe\and marry Qing Qiu's Queen of the East, Bai Qian\bringing her into the Celestial Palace as your Princess Consort.\When you succeed the throne as Heavenly Lord\Bai Qian will become Heavenly Empress.\I accept your command.\Sang Ji. response:	Yes, Heavenly Lord.
context: you shall represent the Celestial Tribe\and marry Qing Qiu's Queen of the East, Bai Qian\bringing her into the Celestial Palace as your Princess Consort.\When you succeed the throne as Heavenly Lord\Bai Qian will become Heavenly Empress.\I accept your command.\Sang Ji.\Yes, Heavenly Lord. response:	You are banished to the north.
context: and marry Qing Qiu's Queen of the East, Bai Qian\bringing her into the Celestial Palace as your Princess Consort.\When you succeed the throne as Heavenly Lord\Bai Qian will become Heavenly Empress.\I accept your command.\Sang Ji.\Yes, Heavenly Lord.\You are banished to the north. response:	You are demoted to Water Lord of the North Sea.
context: bringing her into the Celestial Palace as your Princess Consort.\When you succeed the throne as Heavenly Lord\Bai Qian will become Heavenly Empress.\I accept your command.\Sang Ji.\Yes, Heavenly Lord.\You are banished to the north.\You are demoted to Water Lord of the North Sea. response:	I accept your command.
context: When you succeed the throne as Heavenly Lord\Bai Qian will become Heavenly Empress.\I accept your command.\Sang Ji.\Yes, Heavenly Lord.\You are banished to the north.\You are demoted to Water Lord of the North Sea.\I accept your command. response:	That brat. He was let off lightly.
context: Bai Qian will become Heavenly Empress.\I accept your command.\Sang Ji.\Yes, Heavenly Lord.\You are banished to the north.\You are demoted to Water Lord of the North Sea.\I accept your command.\That brat. He was let off lightly. response:	He destroyed his life's prospects for a woman.
context: I accept your command.\Sang Ji.\Yes, Heavenly Lord.\You are banished to the north.\You are demoted to Water Lord of the North Sea.\I accept your command.\That brat. He was let off lightly.\He destroyed his life's prospects for a woman. response:	Was it worth it?
context: Sang Ji.\Yes, Heavenly Lord.\You are banished to the north.\You are demoted to Water Lord of the North Sea.\I accept your command.\That brat. He was let off lightly.\He destroyed his life's prospects for a woman.\Was it worth it? response:	I still feel a bit guilty. It does not sit well with me.
context: Yes, Heavenly Lord.\You are banished to the north.\You are demoted to Water Lord of the North Sea.\I accept your command.\That brat. He was let off lightly.\He destroyed his life's prospects for a woman.\Was it worth it?\I still feel a bit guilty. It does not sit well with me. response:	If you feel guilty, then why don't you marry Bai Qian?
context: You are banished to the north.\You are demoted to Water Lord of the North Sea.\I accept your command.\That brat. He was let off lightly.\He destroyed his life's prospects for a woman.\Was it worth it?\I still feel a bit guilty. It does not sit well with me.\If you feel guilty, then why don't you marry Bai Qian? response:	It would still be considered a good arrangement.
context: You are demoted to Water Lord of the North Sea.\I accept your command.\That brat. He was let off lightly.\He destroyed his life's prospects for a woman.\Was it worth it?\I still feel a bit guilty. It does not sit well with me.\If you feel guilty, then why don't you marry Bai Qian?\It would still be considered a good arrangement. response:	She is no ordinary woman.
context: I accept your command.\That brat. He was let off lightly.\He destroyed his life's prospects for a woman.\Was it worth it?\I still feel a bit guilty. It does not sit well with me.\If you feel guilty, then why don't you marry Bai Qian?\It would still be considered a good arrangement.\She is no ordinary woman. response:	She is the Fox King's daughter and Qing Qiu's Queen of the East.
context: That brat. He was let off lightly.\He destroyed his life's prospects for a woman.\Was it worth it?\I still feel a bit guilty. It does not sit well with me.\If you feel guilty, then why don't you marry Bai Qian?\It would still be considered a good arrangement.\She is no ordinary woman.\She is the Fox King's daughter and Qing Qiu's Queen of the East. response:	If she ascends to high goddess one day
context: He destroyed his life's prospects for a woman.\Was it worth it?\I still feel a bit guilty. It does not sit well with me.\If you feel guilty, then why don't you marry Bai Qian?\It would still be considered a good arrangement.\She is no ordinary woman.\She is the Fox King's daughter and Qing Qiu's Queen of the East.\If she ascends to high goddess one day response:	she would become the only high goddess in this world
context: Was it worth it?\I still feel a bit guilty. It does not sit well with me.\If you feel guilty, then why don't you marry Bai Qian?\It would still be considered a good arrangement.\She is no ordinary woman.\She is the Fox King's daughter and Qing Qiu's Queen of the East.\If she ascends to high goddess one day\she would become the only high goddess in this world response:	that nobody would dare offend.
context: I still feel a bit guilty. It does not sit well with me.\If you feel guilty, then why don't you marry Bai Qian?\It would still be considered a good arrangement.\She is no ordinary woman.\She is the Fox King's daughter and Qing Qiu's Queen of the East.\If she ascends to high goddess one day\she would become the only high goddess in this world\that nobody would dare offend. response:	If I had said I wanted to marry her
context: If you feel guilty, then why don't you marry Bai Qian?\It would still be considered a good arrangement.\She is no ordinary woman.\She is the Fox King's daughter and Qing Qiu's Queen of the East.\If she ascends to high goddess one day\she would become the only high goddess in this world\that nobody would dare offend.\If I had said I wanted to marry her response:	Fox King Bai Zhi and Zhe Yan would not have found me worthy.
context: It would still be considered a good arrangement.\She is no ordinary woman.\She is the Fox King's daughter and Qing Qiu's Queen of the East.\If she ascends to high goddess one day\she would become the only high goddess in this world\that nobody would dare offend.\If I had said I wanted to marry her\Fox King Bai Zhi and Zhe Yan would not have found me worthy. response:	You do not need to explain any further.
context: She is no ordinary woman.\She is the Fox King's daughter and Qing Qiu's Queen of the East.\If she ascends to high goddess one day\she would become the only high goddess in this world\that nobody would dare offend.\If I had said I wanted to marry her\Fox King Bai Zhi and Zhe Yan would not have found me worthy.\You do not need to explain any further. response:	It has been decided. I will just marry her.
context: She is the Fox King's daughter and Qing Qiu's Queen of the East.\If she ascends to high goddess one day\she would become the only high goddess in this world\that nobody would dare offend.\If I had said I wanted to marry her\Fox King Bai Zhi and Zhe Yan would not have found me worthy.\You do not need to explain any further.\It has been decided. I will just marry her. response:	Guilt, guilt...
context: If she ascends to high goddess one day\she would become the only high goddess in this world\that nobody would dare offend.\If I had said I wanted to marry her\Fox King Bai Zhi and Zhe Yan would not have found me worthy.\You do not need to explain any further.\It has been decided. I will just marry her.\Guilt, guilt... response:	Why did you accept the decree?
context: she would become the only high goddess in this world\that nobody would dare offend.\If I had said I wanted to marry her\Fox King Bai Zhi and Zhe Yan would not have found me worthy.\You do not need to explain any further.\It has been decided. I will just marry her.\Guilt, guilt...\Why did you accept the decree? response:	Why wouldn't I?
context: that nobody would dare offend.\If I had said I wanted to marry her\Fox King Bai Zhi and Zhe Yan would not have found me worthy.\You do not need to explain any further.\It has been decided. I will just marry her.\Guilt, guilt...\Why did you accept the decree?\Why wouldn't I? response:	Ye Hua.
context: If I had said I wanted to marry her\Fox King Bai Zhi and Zhe Yan would not have found me worthy.\You do not need to explain any further.\It has been decided. I will just marry her.\Guilt, guilt...\Why did you accept the decree?\Why wouldn't I?\Ye Hua. response:	I know you see it all.
