context: What's happened so far! response:	I've been thinking, and well, I thought maybe I could do the play after all...
context: Peeyew!\Ohmigod Arima,\you reek of sweaty armor!\I mean, just smelling like sweat is one thing, but!\Get away! Don't touch me! I can't believe you!\What is that rotten stench?! How can you stand to wear that?!\Stay away! There's no way I'd ever do kendo!\Ow! Who would poke their girlfriend? response:	I came by bike today.
context: Ohmigod Arima,\you reek of sweaty armor!\I mean, just smelling like sweat is one thing, but!\Get away! Don't touch me! I can't believe you!\What is that rotten stench?! How can you stand to wear that?!\Stay away! There's no way I'd ever do kendo!\Ow! Who would poke their girlfriend?\I came by bike today. response:	Then I'll ride too.
context: you reek of sweaty armor!\I mean, just smelling like sweat is one thing, but!\Get away! Don't touch me! I can't believe you!\What is that rotten stench?! How can you stand to wear that?!\Stay away! There's no way I'd ever do kendo!\Ow! Who would poke their girlfriend?\I came by bike today.\Then I'll ride too. response:	Go for it, Miyazawa!
context: I mean, just smelling like sweat is one thing, but!\Get away! Don't touch me! I can't believe you!\What is that rotten stench?! How can you stand to wear that?!\Stay away! There's no way I'd ever do kendo!\Ow! Who would poke their girlfriend?\I came by bike today.\Then I'll ride too.\Go for it, Miyazawa! response:	Lift off!
context: Get away! Don't touch me! I can't believe you!\What is that rotten stench?! How can you stand to wear that?!\Stay away! There's no way I'd ever do kendo!\Ow! Who would poke their girlfriend?\I came by bike today.\Then I'll ride too.\Go for it, Miyazawa!\Lift off! response:	Are you dragging your feet? There's a strange sound...
context: What is that rotten stench?! How can you stand to wear that?!\Stay away! There's no way I'd ever do kendo!\Ow! Who would poke their girlfriend?\I came by bike today.\Then I'll ride too.\Go for it, Miyazawa!\Lift off!\Are you dragging your feet? There's a strange sound... response:	No I'm not.
context: Stay away! There's no way I'd ever do kendo!\Ow! Who would poke their girlfriend?\I came by bike today.\Then I'll ride too.\Go for it, Miyazawa!\Lift off!\Are you dragging your feet? There's a strange sound...\No I'm not. response:	When?
context: Ow! Who would poke their girlfriend?\I came by bike today.\Then I'll ride too.\Go for it, Miyazawa!\Lift off!\Are you dragging your feet? There's a strange sound...\No I'm not.\When? response:	When did you start kendo?
context: I came by bike today.\Then I'll ride too.\Go for it, Miyazawa!\Lift off!\Are you dragging your feet? There's a strange sound...\No I'm not.\When?\When did you start kendo? response:	When I was seven.
context: Then I'll ride too.\Go for it, Miyazawa!\Lift off!\Are you dragging your feet? There's a strange sound...\No I'm not.\When?\When did you start kendo?\When I was seven. response:	You must really like it.
context: Go for it, Miyazawa!\Lift off!\Are you dragging your feet? There's a strange sound...\No I'm not.\When?\When did you start kendo?\When I was seven.\You must really like it. response:	Yeah. It feels good to be moving around,
context: Lift off!\Are you dragging your feet? There's a strange sound...\No I'm not.\When?\When did you start kendo?\When I was seven.\You must really like it.\Yeah. It feels good to be moving around, response:	and I like the tensed atmosphere of the stadium.
context: Are you dragging your feet? There's a strange sound...\No I'm not.\When?\When did you start kendo?\When I was seven.\You must really like it.\Yeah. It feels good to be moving around,\and I like the tensed atmosphere of the stadium. response:	Miyazawa.
context: No I'm not.\When?\When did you start kendo?\When I was seven.\You must really like it.\Yeah. It feels good to be moving around,\and I like the tensed atmosphere of the stadium.\Miyazawa. response:	Practice is over!
context: When?\When did you start kendo?\When I was seven.\You must really like it.\Yeah. It feels good to be moving around,\and I like the tensed atmosphere of the stadium.\Miyazawa.\Practice is over! response:	Phew, am I beat!
context: When did you start kendo?\When I was seven.\You must really like it.\Yeah. It feels good to be moving around,\and I like the tensed atmosphere of the stadium.\Miyazawa.\Practice is over!\Phew, am I beat! response:	Oh, I'm sorry, Tonami-san.
context: When I was seven.\You must really like it.\Yeah. It feels good to be moving around,\and I like the tensed atmosphere of the stadium.\Miyazawa.\Practice is over!\Phew, am I beat!\Oh, I'm sorry, Tonami-san. response:	I didn't notice you there.
context: You must really like it.\Yeah. It feels good to be moving around,\and I like the tensed atmosphere of the stadium.\Miyazawa.\Practice is over!\Phew, am I beat!\Oh, I'm sorry, Tonami-san.\I didn't notice you there. response:	No, it's my fault for standing behind you,
context: Yeah. It feels good to be moving around,\and I like the tensed atmosphere of the stadium.\Miyazawa.\Practice is over!\Phew, am I beat!\Oh, I'm sorry, Tonami-san.\I didn't notice you there.\No, it's my fault for standing behind you, response:	I'm scared. Let's go home.
context: and I like the tensed atmosphere of the stadium.\Miyazawa.\Practice is over!\Phew, am I beat!\Oh, I'm sorry, Tonami-san.\I didn't notice you there.\No, it's my fault for standing behind you,\I'm scared. Let's go home. response:	Good job guys...
context: Miyazawa.\Practice is over!\Phew, am I beat!\Oh, I'm sorry, Tonami-san.\I didn't notice you there.\No, it's my fault for standing behind you,\I'm scared. Let's go home.\Good job guys... response:	Phew, I'm beat.
context: Practice is over!\Phew, am I beat!\Oh, I'm sorry, Tonami-san.\I didn't notice you there.\No, it's my fault for standing behind you,\I'm scared. Let's go home.\Good job guys...\Phew, I'm beat. response:	Hey. You still practicing?
context: Phew, am I beat!\Oh, I'm sorry, Tonami-san.\I didn't notice you there.\No, it's my fault for standing behind you,\I'm scared. Let's go home.\Good job guys...\Phew, I'm beat.\Hey. You still practicing? response:	You're really zealous.
context: Oh, I'm sorry, Tonami-san.\I didn't notice you there.\No, it's my fault for standing behind you,\I'm scared. Let's go home.\Good job guys...\Phew, I'm beat.\Hey. You still practicing?\You're really zealous. response:	You again.
context: I didn't notice you there.\No, it's my fault for standing behind you,\I'm scared. Let's go home.\Good job guys...\Phew, I'm beat.\Hey. You still practicing?\You're really zealous.\You again. response:	When you get to be a starter as a first year,
context: No, it's my fault for standing behind you,\I'm scared. Let's go home.\Good job guys...\Phew, I'm beat.\Hey. You still practicing?\You're really zealous.\You again.\When you get to be a starter as a first year, response:	I'm busy, so leave.
context: I'm scared. Let's go home.\Good job guys...\Phew, I'm beat.\Hey. You still practicing?\You're really zealous.\You again.\When you get to be a starter as a first year,\I'm busy, so leave. response:	I have nothing better to do, so I'll watch.
context: Good job guys...\Phew, I'm beat.\Hey. You still practicing?\You're really zealous.\You again.\When you get to be a starter as a first year,\I'm busy, so leave.\I have nothing better to do, so I'll watch. response:	Just leave! I said, get lost!
context: Phew, I'm beat.\Hey. You still practicing?\You're really zealous.\You again.\When you get to be a starter as a first year,\I'm busy, so leave.\I have nothing better to do, so I'll watch.\Just leave! I said, get lost! response:	Hey, why do you keep harassing me?
context: Hey. You still practicing?\You're really zealous.\You again.\When you get to be a starter as a first year,\I'm busy, so leave.\I have nothing better to do, so I'll watch.\Just leave! I said, get lost!\Hey, why do you keep harassing me? response:	You just transferred here.
context: You're really zealous.\You again.\When you get to be a starter as a first year,\I'm busy, so leave.\I have nothing better to do, so I'll watch.\Just leave! I said, get lost!\Hey, why do you keep harassing me?\You just transferred here. response:	Why do you keep picking fights with me?
context: You again.\When you get to be a starter as a first year,\I'm busy, so leave.\I have nothing better to do, so I'll watch.\Just leave! I said, get lost!\Hey, why do you keep harassing me?\You just transferred here.\Why do you keep picking fights with me? response:	Because I hate you. I hate people like you.
context: When you get to be a starter as a first year,\I'm busy, so leave.\I have nothing better to do, so I'll watch.\Just leave! I said, get lost!\Hey, why do you keep harassing me?\You just transferred here.\Why do you keep picking fights with me?\Because I hate you. I hate people like you. response:	No particular reason.
context: I'm busy, so leave.\I have nothing better to do, so I'll watch.\Just leave! I said, get lost!\Hey, why do you keep harassing me?\You just transferred here.\Why do you keep picking fights with me?\Because I hate you. I hate people like you.\No particular reason. response:	Hatred is just another facet of love.
context: I have nothing better to do, so I'll watch.\Just leave! I said, get lost!\Hey, why do you keep harassing me?\You just transferred here.\Why do you keep picking fights with me?\Because I hate you. I hate people like you.\No particular reason.\Hatred is just another facet of love. response:	Hatred is an obsession about another person.
context: Just leave! I said, get lost!\Hey, why do you keep harassing me?\You just transferred here.\Why do you keep picking fights with me?\Because I hate you. I hate people like you.\No particular reason.\Hatred is just another facet of love.\Hatred is an obsession about another person. response:	It's the closest emotion to love.
context: Hey, why do you keep harassing me?\You just transferred here.\Why do you keep picking fights with me?\Because I hate you. I hate people like you.\No particular reason.\Hatred is just another facet of love.\Hatred is an obsession about another person.\It's the closest emotion to love. response:	Oh god, could it be?!
context: You just transferred here.\Why do you keep picking fights with me?\Because I hate you. I hate people like you.\No particular reason.\Hatred is just another facet of love.\Hatred is an obsession about another person.\It's the closest emotion to love.\Oh god, could it be?! response:	Wh-what are you talking about?
context: Why do you keep picking fights with me?\Because I hate you. I hate people like you.\No particular reason.\Hatred is just another facet of love.\Hatred is an obsession about another person.\It's the closest emotion to love.\Oh god, could it be?!\Wh-what are you talking about? response:	And this is a deserted gym!
context: Because I hate you. I hate people like you.\No particular reason.\Hatred is just another facet of love.\Hatred is an obsession about another person.\It's the closest emotion to love.\Oh god, could it be?!\Wh-what are you talking about?\And this is a deserted gym! response:	Now, we have the perfect situation for something to go wrong!
context: No particular reason.\Hatred is just another facet of love.\Hatred is an obsession about another person.\It's the closest emotion to love.\Oh god, could it be?!\Wh-what are you talking about?\And this is a deserted gym!\Now, we have the perfect situation for something to go wrong! response:	Hey, wait a sec!
context: Hatred is just another facet of love.\Hatred is an obsession about another person.\It's the closest emotion to love.\Oh god, could it be?!\Wh-what are you talking about?\And this is a deserted gym!\Now, we have the perfect situation for something to go wrong!\Hey, wait a sec! response:	Sorry, but I have no such intentions, so go somewhere else!
context: Hatred is an obsession about another person.\It's the closest emotion to love.\Oh god, could it be?!\Wh-what are you talking about?\And this is a deserted gym!\Now, we have the perfect situation for something to go wrong!\Hey, wait a sec!\Sorry, but I have no such intentions, so go somewhere else! response:	I think you've got things mixed up.
context: It's the closest emotion to love.\Oh god, could it be?!\Wh-what are you talking about?\And this is a deserted gym!\Now, we have the perfect situation for something to go wrong!\Hey, wait a sec!\Sorry, but I have no such intentions, so go somewhere else!\I think you've got things mixed up. response:	I told you I hate you.
context: Oh god, could it be?!\Wh-what are you talking about?\And this is a deserted gym!\Now, we have the perfect situation for something to go wrong!\Hey, wait a sec!\Sorry, but I have no such intentions, so go somewhere else!\I think you've got things mixed up.\I told you I hate you. response:	It looks like l,m doing weird things, but that's not my intention.
context: Wh-what are you talking about?\And this is a deserted gym!\Now, we have the perfect situation for something to go wrong!\Hey, wait a sec!\Sorry, but I have no such intentions, so go somewhere else!\I think you've got things mixed up.\I told you I hate you.\It looks like l,m doing weird things, but that's not my intention. response:	You couldn't beat me in strength. There isn't anything you can beat me in.
context: And this is a deserted gym!\Now, we have the perfect situation for something to go wrong!\Hey, wait a sec!\Sorry, but I have no such intentions, so go somewhere else!\I think you've got things mixed up.\I told you I hate you.\It looks like l,m doing weird things, but that's not my intention.\You couldn't beat me in strength. There isn't anything you can beat me in. response:	You moron!
context: Now, we have the perfect situation for something to go wrong!\Hey, wait a sec!\Sorry, but I have no such intentions, so go somewhere else!\I think you've got things mixed up.\I told you I hate you.\It looks like l,m doing weird things, but that's not my intention.\You couldn't beat me in strength. There isn't anything you can beat me in.\You moron! response:	You fight with your head!
context: Hey, wait a sec!\Sorry, but I have no such intentions, so go somewhere else!\I think you've got things mixed up.\I told you I hate you.\It looks like l,m doing weird things, but that's not my intention.\You couldn't beat me in strength. There isn't anything you can beat me in.\You moron!\You fight with your head! response:	You're a hundred years too young to beat me!
context: Sorry, but I have no such intentions, so go somewhere else!\I think you've got things mixed up.\I told you I hate you.\It looks like l,m doing weird things, but that's not my intention.\You couldn't beat me in strength. There isn't anything you can beat me in.\You moron!\You fight with your head!\You're a hundred years too young to beat me! response:	Dammit!
context: I think you've got things mixed up.\I told you I hate you.\It looks like l,m doing weird things, but that's not my intention.\You couldn't beat me in strength. There isn't anything you can beat me in.\You moron!\You fight with your head!\You're a hundred years too young to beat me!\Dammit! response:	That wasn't enough.
context: I told you I hate you.\It looks like l,m doing weird things, but that's not my intention.\You couldn't beat me in strength. There isn't anything you can beat me in.\You moron!\You fight with your head!\You're a hundred years too young to beat me!\Dammit!\That wasn't enough. response:	I can't hurt her even a little bit with something like that.
context: It looks like l,m doing weird things, but that's not my intention.\You couldn't beat me in strength. There isn't anything you can beat me in.\You moron!\You fight with your head!\You're a hundred years too young to beat me!\Dammit!\That wasn't enough.\I can't hurt her even a little bit with something like that. response:	It's always been like that.
context: You couldn't beat me in strength. There isn't anything you can beat me in.\You moron!\You fight with your head!\You're a hundred years too young to beat me!\Dammit!\That wasn't enough.\I can't hurt her even a little bit with something like that.\It's always been like that. response:	So aloof, and difficult to pin down.
context: You moron!\You fight with your head!\You're a hundred years too young to beat me!\Dammit!\That wasn't enough.\I can't hurt her even a little bit with something like that.\It's always been like that.\So aloof, and difficult to pin down. response:	Like a kite without a string, she can't be restricted.
context: You fight with your head!\You're a hundred years too young to beat me!\Dammit!\That wasn't enough.\I can't hurt her even a little bit with something like that.\It's always been like that.\So aloof, and difficult to pin down.\Like a kite without a string, she can't be restricted. response:	Even what happened now probably...
context: You're a hundred years too young to beat me!\Dammit!\That wasn't enough.\I can't hurt her even a little bit with something like that.\It's always been like that.\So aloof, and difficult to pin down.\Like a kite without a string, she can't be restricted.\Even what happened now probably... response:	She probably never thought about me in the past two years.
context: Dammit!\That wasn't enough.\I can't hurt her even a little bit with something like that.\It's always been like that.\So aloof, and difficult to pin down.\Like a kite without a string, she can't be restricted.\Even what happened now probably...\She probably never thought about me in the past two years. response:	How much those words hurt me.
context: That wasn't enough.\I can't hurt her even a little bit with something like that.\It's always been like that.\So aloof, and difficult to pin down.\Like a kite without a string, she can't be restricted.\Even what happened now probably...\She probably never thought about me in the past two years.\How much those words hurt me. response:	Oh, the teacher asked me to look after you back in elementary school.
context: I can't hurt her even a little bit with something like that.\It's always been like that.\So aloof, and difficult to pin down.\Like a kite without a string, she can't be restricted.\Even what happened now probably...\She probably never thought about me in the past two years.\How much those words hurt me.\Oh, the teacher asked me to look after you back in elementary school. response:	With me around,
context: It's always been like that.\So aloof, and difficult to pin down.\Like a kite without a string, she can't be restricted.\Even what happened now probably...\She probably never thought about me in the past two years.\How much those words hurt me.\Oh, the teacher asked me to look after you back in elementary school.\With me around, response:	you wouldn't get beat up as much.
context: So aloof, and difficult to pin down.\Like a kite without a string, she can't be restricted.\Even what happened now probably...\She probably never thought about me in the past two years.\How much those words hurt me.\Oh, the teacher asked me to look after you back in elementary school.\With me around,\you wouldn't get beat up as much. response:	And it's rather my policy not to beat people up.
context: Like a kite without a string, she can't be restricted.\Even what happened now probably...\She probably never thought about me in the past two years.\How much those words hurt me.\Oh, the teacher asked me to look after you back in elementary school.\With me around,\you wouldn't get beat up as much.\And it's rather my policy not to beat people up. response:	Or what I went through in those two years.
context: Even what happened now probably...\She probably never thought about me in the past two years.\How much those words hurt me.\Oh, the teacher asked me to look after you back in elementary school.\With me around,\you wouldn't get beat up as much.\And it's rather my policy not to beat people up.\Or what I went through in those two years. response:	Well, good luck at your new school.
context: She probably never thought about me in the past two years.\How much those words hurt me.\Oh, the teacher asked me to look after you back in elementary school.\With me around,\you wouldn't get beat up as much.\And it's rather my policy not to beat people up.\Or what I went through in those two years.\Well, good luck at your new school. response:	That's what I hate about her.
context: How much those words hurt me.\Oh, the teacher asked me to look after you back in elementary school.\With me around,\you wouldn't get beat up as much.\And it's rather my policy not to beat people up.\Or what I went through in those two years.\Well, good luck at your new school.\That's what I hate about her. response:	My humiliation still can't hurt you even a little bit.
context: Oh, the teacher asked me to look after you back in elementary school.\With me around,\you wouldn't get beat up as much.\And it's rather my policy not to beat people up.\Or what I went through in those two years.\Well, good luck at your new school.\That's what I hate about her.\My humiliation still can't hurt you even a little bit. response:	I'll make you feel it someday, for sure! The same pain that I felt!
context: With me around,\you wouldn't get beat up as much.\And it's rather my policy not to beat people up.\Or what I went through in those two years.\Well, good luck at your new school.\That's what I hate about her.\My humiliation still can't hurt you even a little bit.\I'll make you feel it someday, for sure! The same pain that I felt! response:	Am I the last one here?
context: you wouldn't get beat up as much.\And it's rather my policy not to beat people up.\Or what I went through in those two years.\Well, good luck at your new school.\That's what I hate about her.\My humiliation still can't hurt you even a little bit.\I'll make you feel it someday, for sure! The same pain that I felt!\Am I the last one here? response:	Asaba-kun's not here yet.
context: And it's rather my policy not to beat people up.\Or what I went through in those two years.\Well, good luck at your new school.\That's what I hate about her.\My humiliation still can't hurt you even a little bit.\I'll make you feel it someday, for sure! The same pain that I felt!\Am I the last one here?\Asaba-kun's not here yet. response:	Tsubasa-chan, good morning! You're as cute as ever!
context: Or what I went through in those two years.\Well, good luck at your new school.\That's what I hate about her.\My humiliation still can't hurt you even a little bit.\I'll make you feel it someday, for sure! The same pain that I felt!\Am I the last one here?\Asaba-kun's not here yet.\Tsubasa-chan, good morning! You're as cute as ever! response:	Hey, she didn't scratch today.
context: Well, good luck at your new school.\That's what I hate about her.\My humiliation still can't hurt you even a little bit.\I'll make you feel it someday, for sure! The same pain that I felt!\Am I the last one here?\Asaba-kun's not here yet.\Tsubasa-chan, good morning! You're as cute as ever!\Hey, she didn't scratch today. response:	She must be in a good mood.
context: That's what I hate about her.\My humiliation still can't hurt you even a little bit.\I'll make you feel it someday, for sure! The same pain that I felt!\Am I the last one here?\Asaba-kun's not here yet.\Tsubasa-chan, good morning! You're as cute as ever!\Hey, she didn't scratch today.\She must be in a good mood. response:	What do we do next?
context: My humiliation still can't hurt you even a little bit.\I'll make you feel it someday, for sure! The same pain that I felt!\Am I the last one here?\Asaba-kun's not here yet.\Tsubasa-chan, good morning! You're as cute as ever!\Hey, she didn't scratch today.\She must be in a good mood.\What do we do next? response:	Well, shall we go to a cafe first?
context: I'll make you feel it someday, for sure! The same pain that I felt!\Am I the last one here?\Asaba-kun's not here yet.\Tsubasa-chan, good morning! You're as cute as ever!\Hey, she didn't scratch today.\She must be in a good mood.\What do we do next?\Well, shall we go to a cafe first? response:	I want to go to the place where they have fresh-baked bread.
context: Am I the last one here?\Asaba-kun's not here yet.\Tsubasa-chan, good morning! You're as cute as ever!\Hey, she didn't scratch today.\She must be in a good mood.\What do we do next?\Well, shall we go to a cafe first?\I want to go to the place where they have fresh-baked bread. response:	They serve whole wheat bread stuffed full of roast beef!
context: Asaba-kun's not here yet.\Tsubasa-chan, good morning! You're as cute as ever!\Hey, she didn't scratch today.\She must be in a good mood.\What do we do next?\Well, shall we go to a cafe first?\I want to go to the place where they have fresh-baked bread.\They serve whole wheat bread stuffed full of roast beef! response:	Sounds great!
context: Tsubasa-chan, good morning! You're as cute as ever!\Hey, she didn't scratch today.\She must be in a good mood.\What do we do next?\Well, shall we go to a cafe first?\I want to go to the place where they have fresh-baked bread.\They serve whole wheat bread stuffed full of roast beef!\Sounds great! response:	Hey girls!
context: Hey, she didn't scratch today.\She must be in a good mood.\What do we do next?\Well, shall we go to a cafe first?\I want to go to the place where they have fresh-baked bread.\They serve whole wheat bread stuffed full of roast beef!\Sounds great!\Hey girls! response:	Wow, you guys are so cute!
context: She must be in a good mood.\What do we do next?\Well, shall we go to a cafe first?\I want to go to the place where they have fresh-baked bread.\They serve whole wheat bread stuffed full of roast beef!\Sounds great!\Hey girls!\Wow, you guys are so cute! response:	You never find a group of girls all looking this good.
context: What do we do next?\Well, shall we go to a cafe first?\I want to go to the place where they have fresh-baked bread.\They serve whole wheat bread stuffed full of roast beef!\Sounds great!\Hey girls!\Wow, you guys are so cute!\You never find a group of girls all looking this good. response:	Right?
context: Well, shall we go to a cafe first?\I want to go to the place where they have fresh-baked bread.\They serve whole wheat bread stuffed full of roast beef!\Sounds great!\Hey girls!\Wow, you guys are so cute!\You never find a group of girls all looking this good.\Right? response:	Is that little girl your sister?
context: I want to go to the place where they have fresh-baked bread.\They serve whole wheat bread stuffed full of roast beef!\Sounds great!\Hey girls!\Wow, you guys are so cute!\You never find a group of girls all looking this good.\Right?\Is that little girl your sister? response:	Are you going somewhere? How about if we join you?
context: They serve whole wheat bread stuffed full of roast beef!\Sounds great!\Hey girls!\Wow, you guys are so cute!\You never find a group of girls all looking this good.\Right?\Is that little girl your sister?\Are you going somewhere? How about if we join you? response:	Shut up.
context: Sounds great!\Hey girls!\Wow, you guys are so cute!\You never find a group of girls all looking this good.\Right?\Is that little girl your sister?\Are you going somewhere? How about if we join you?\Shut up. response:	We have no need of you, so get lost.
context: Hey girls!\Wow, you guys are so cute!\You never find a group of girls all looking this good.\Right?\Is that little girl your sister?\Are you going somewhere? How about if we join you?\Shut up.\We have no need of you, so get lost. response:	We got yelled at by a babe!
context: Wow, you guys are so cute!\You never find a group of girls all looking this good.\Right?\Is that little girl your sister?\Are you going somewhere? How about if we join you?\Shut up.\We have no need of you, so get lost.\We got yelled at by a babe! response:	You?
context: You never find a group of girls all looking this good.\Right?\Is that little girl your sister?\Are you going somewhere? How about if we join you?\Shut up.\We have no need of you, so get lost.\We got yelled at by a babe!\You? response:	Okay, okay, excuse me.
context: Right?\Is that little girl your sister?\Are you going somewhere? How about if we join you?\Shut up.\We have no need of you, so get lost.\We got yelled at by a babe!\You?\Okay, okay, excuse me. response:	All these girls here are with me.
context: Is that little girl your sister?\Are you going somewhere? How about if we join you?\Shut up.\We have no need of you, so get lost.\We got yelled at by a babe!\You?\Okay, okay, excuse me.\All these girls here are with me. response:	A freaky dude!
context: Are you going somewhere? How about if we join you?\Shut up.\We have no need of you, so get lost.\We got yelled at by a babe!\You?\Okay, okay, excuse me.\All these girls here are with me.\A freaky dude! response:	Well, that was a close shave, kitten.
context: Shut up.\We have no need of you, so get lost.\We got yelled at by a babe!\You?\Okay, okay, excuse me.\All these girls here are with me.\A freaky dude!\Well, that was a close shave, kitten. response:	What're you doing dressed up like a Dadaist for?
context: We have no need of you, so get lost.\We got yelled at by a babe!\You?\Okay, okay, excuse me.\All these girls here are with me.\A freaky dude!\Well, that was a close shave, kitten.\What're you doing dressed up like a Dadaist for? response:	Or rather, do we have to walk around all day with a guy dressed like this?
context: We got yelled at by a babe!\You?\Okay, okay, excuse me.\All these girls here are with me.\A freaky dude!\Well, that was a close shave, kitten.\What're you doing dressed up like a Dadaist for?\Or rather, do we have to walk around all day with a guy dressed like this? response:	So, we can borrow the sound effects CD from the student PA system.
context: You?\Okay, okay, excuse me.\All these girls here are with me.\A freaky dude!\Well, that was a close shave, kitten.\What're you doing dressed up like a Dadaist for?\Or rather, do we have to walk around all day with a guy dressed like this?\So, we can borrow the sound effects CD from the student PA system. response:	And I called the president of the wind ensemble last night.
context: Okay, okay, excuse me.\All these girls here are with me.\A freaky dude!\Well, that was a close shave, kitten.\What're you doing dressed up like a Dadaist for?\Or rather, do we have to walk around all day with a guy dressed like this?\So, we can borrow the sound effects CD from the student PA system.\And I called the president of the wind ensemble last night. response:	You did all that after you went home? What a day for you.
context: All these girls here are with me.\A freaky dude!\Well, that was a close shave, kitten.\What're you doing dressed up like a Dadaist for?\Or rather, do we have to walk around all day with a guy dressed like this?\So, we can borrow the sound effects CD from the student PA system.\And I called the president of the wind ensemble last night.\You did all that after you went home? What a day for you. response:	Nobody has any time to lose.
context: A freaky dude!\Well, that was a close shave, kitten.\What're you doing dressed up like a Dadaist for?\Or rather, do we have to walk around all day with a guy dressed like this?\So, we can borrow the sound effects CD from the student PA system.\And I called the president of the wind ensemble last night.\You did all that after you went home? What a day for you.\Nobody has any time to lose. response:	Oh, and about the show time...
context: Well, that was a close shave, kitten.\What're you doing dressed up like a Dadaist for?\Or rather, do we have to walk around all day with a guy dressed like this?\So, we can borrow the sound effects CD from the student PA system.\And I called the president of the wind ensemble last night.\You did all that after you went home? What a day for you.\Nobody has any time to lose.\Oh, and about the show time... response:	Put some normal clothes on!
context: What're you doing dressed up like a Dadaist for?\Or rather, do we have to walk around all day with a guy dressed like this?\So, we can borrow the sound effects CD from the student PA system.\And I called the president of the wind ensemble last night.\You did all that after you went home? What a day for you.\Nobody has any time to lose.\Oh, and about the show time...\Put some normal clothes on! response:	It's a waste!
context: Or rather, do we have to walk around all day with a guy dressed like this?\So, we can borrow the sound effects CD from the student PA system.\And I called the president of the wind ensemble last night.\You did all that after you went home? What a day for you.\Nobody has any time to lose.\Oh, and about the show time...\Put some normal clothes on!\It's a waste! response:	About this?
context: So, we can borrow the sound effects CD from the student PA system.\And I called the president of the wind ensemble last night.\You did all that after you went home? What a day for you.\Nobody has any time to lose.\Oh, and about the show time...\Put some normal clothes on!\It's a waste!\About this? response:	Or this!
context: And I called the president of the wind ensemble last night.\You did all that after you went home? What a day for you.\Nobody has any time to lose.\Oh, and about the show time...\Put some normal clothes on!\It's a waste!\About this?\Or this! response:	That's nice! Try this next.
context: You did all that after you went home? What a day for you.\Nobody has any time to lose.\Oh, and about the show time...\Put some normal clothes on!\It's a waste!\About this?\Or this!\That's nice! Try this next. response:	We've digressed already.
context: Nobody has any time to lose.\Oh, and about the show time...\Put some normal clothes on!\It's a waste!\About this?\Or this!\That's nice! Try this next.\We've digressed already. response:	Are you sure about these people?
context: Oh, and about the show time...\Put some normal clothes on!\It's a waste!\About this?\Or this!\That's nice! Try this next.\We've digressed already.\Are you sure about these people? response:	Hey hey hey Tsubasa-chan!
context: Put some normal clothes on!\It's a waste!\About this?\Or this!\That's nice! Try this next.\We've digressed already.\Are you sure about these people?\Hey hey hey Tsubasa-chan! response:	Try this on! Hurry
context: It's a waste!\About this?\Or this!\That's nice! Try this next.\We've digressed already.\Are you sure about these people?\Hey hey hey Tsubasa-chan!\Try this on! Hurry response:	Two acts?
context: About this?\Or this!\That's nice! Try this next.\We've digressed already.\Are you sure about these people?\Hey hey hey Tsubasa-chan!\Try this on! Hurry\Two acts? response:	Yeah. The script's pretty long.
context: Or this!\That's nice! Try this next.\We've digressed already.\Are you sure about these people?\Hey hey hey Tsubasa-chan!\Try this on! Hurry\Two acts?\Yeah. The script's pretty long. response:	When we actually do it, I think it will take about two hours.
context: That's nice! Try this next.\We've digressed already.\Are you sure about these people?\Hey hey hey Tsubasa-chan!\Try this on! Hurry\Two acts?\Yeah. The script's pretty long.\When we actually do it, I think it will take about two hours. response:	But a two-hour slot is hard to get.
context: We've digressed already.\Are you sure about these people?\Hey hey hey Tsubasa-chan!\Try this on! Hurry\Two acts?\Yeah. The script's pretty long.\When we actually do it, I think it will take about two hours.\But a two-hour slot is hard to get. response:	So I was thinking we could break it into two parts.
context: Are you sure about these people?\Hey hey hey Tsubasa-chan!\Try this on! Hurry\Two acts?\Yeah. The script's pretty long.\When we actually do it, I think it will take about two hours.\But a two-hour slot is hard to get.\So I was thinking we could break it into two parts. response:	I wouldn't know without asking you,
context: Hey hey hey Tsubasa-chan!\Try this on! Hurry\Two acts?\Yeah. The script's pretty long.\When we actually do it, I think it will take about two hours.\But a two-hour slot is hard to get.\So I was thinking we could break it into two parts.\I wouldn't know without asking you, response:	so what do you think?
context: Try this on! Hurry\Two acts?\Yeah. The script's pretty long.\When we actually do it, I think it will take about two hours.\But a two-hour slot is hard to get.\So I was thinking we could break it into two parts.\I wouldn't know without asking you,\so what do you think? response:	Hmm... that's a tough choice...
context: Two acts?\Yeah. The script's pretty long.\When we actually do it, I think it will take about two hours.\But a two-hour slot is hard to get.\So I was thinking we could break it into two parts.\I wouldn't know without asking you,\so what do you think?\Hmm... that's a tough choice... response:	I'd like to do it all at once,
context: Yeah. The script's pretty long.\When we actually do it, I think it will take about two hours.\But a two-hour slot is hard to get.\So I was thinking we could break it into two parts.\I wouldn't know without asking you,\so what do you think?\Hmm... that's a tough choice...\I'd like to do it all at once, response:	but it'll be tough physically too...
context: When we actually do it, I think it will take about two hours.\But a two-hour slot is hard to get.\So I was thinking we could break it into two parts.\I wouldn't know without asking you,\so what do you think?\Hmm... that's a tough choice...\I'd like to do it all at once,\but it'll be tough physically too... response:	The problem is whether the audience would come.
