context: You can't blame them. response:	Working at an inn is hard.
context: Ms. Matsumae.\Yes?\We're in the middle of a crisis.\I'll call and let my mentor know.\What?!\Would you mind helping us out using your skill as a waitress?\Of course not!\The robot collects the dishes response:	and carries them to the floor above.
context: Yes?\We're in the middle of a crisis.\I'll call and let my mentor know.\What?!\Would you mind helping us out using your skill as a waitress?\Of course not!\The robot collects the dishes\and carries them to the floor above. response:	Do you have any questions so far?
context: We're in the middle of a crisis.\I'll call and let my mentor know.\What?!\Would you mind helping us out using your skill as a waitress?\Of course not!\The robot collects the dishes\and carries them to the floor above.\Do you have any questions so far? response:	Nope!
context: I'll call and let my mentor know.\What?!\Would you mind helping us out using your skill as a waitress?\Of course not!\The robot collects the dishes\and carries them to the floor above.\Do you have any questions so far?\Nope! response:	I've been dying to try out your secret weapon!
context: What?!\Would you mind helping us out using your skill as a waitress?\Of course not!\The robot collects the dishes\and carries them to the floor above.\Do you have any questions so far?\Nope!\I've been dying to try out your secret weapon! response:	Weirdo.
context: Would you mind helping us out using your skill as a waitress?\Of course not!\The robot collects the dishes\and carries them to the floor above.\Do you have any questions so far?\Nope!\I've been dying to try out your secret weapon!\Weirdo. response:	Thanks for helping us out.
context: Of course not!\The robot collects the dishes\and carries them to the floor above.\Do you have any questions so far?\Nope!\I've been dying to try out your secret weapon!\Weirdo.\Thanks for helping us out. response:	If I had done a better job at supervising those part-timers,
context: The robot collects the dishes\and carries them to the floor above.\Do you have any questions so far?\Nope!\I've been dying to try out your secret weapon!\Weirdo.\Thanks for helping us out.\If I had done a better job at supervising those part-timers, response:	none of this would've happened.
context: and carries them to the floor above.\Do you have any questions so far?\Nope!\I've been dying to try out your secret weapon!\Weirdo.\Thanks for helping us out.\If I had done a better job at supervising those part-timers,\none of this would've happened. response:	You're right. You weren't doing a very good job.
context: Do you have any questions so far?\Nope!\I've been dying to try out your secret weapon!\Weirdo.\Thanks for helping us out.\If I had done a better job at supervising those part-timers,\none of this would've happened.\You're right. You weren't doing a very good job. response:	But don't worry about it.
context: Nope!\I've been dying to try out your secret weapon!\Weirdo.\Thanks for helping us out.\If I had done a better job at supervising those part-timers,\none of this would've happened.\You're right. You weren't doing a very good job.\But don't worry about it. response:	I figured it would be better
context: I've been dying to try out your secret weapon!\Weirdo.\Thanks for helping us out.\If I had done a better job at supervising those part-timers,\none of this would've happened.\You're right. You weren't doing a very good job.\But don't worry about it.\I figured it would be better response:	to be stricter with part-timers.
context: Weirdo.\Thanks for helping us out.\If I had done a better job at supervising those part-timers,\none of this would've happened.\You're right. You weren't doing a very good job.\But don't worry about it.\I figured it would be better\to be stricter with part-timers. response:	How do things work at your place?
context: Thanks for helping us out.\If I had done a better job at supervising those part-timers,\none of this would've happened.\You're right. You weren't doing a very good job.\But don't worry about it.\I figured it would be better\to be stricter with part-timers.\How do things work at your place? response:	How are the people at Kissuiso supervised?
context: If I had done a better job at supervising those part-timers,\none of this would've happened.\You're right. You weren't doing a very good job.\But don't worry about it.\I figured it would be better\to be stricter with part-timers.\How do things work at your place?\How are the people at Kissuiso supervised? response:	With a slap to the face from Madam Manager.
context: none of this would've happened.\You're right. You weren't doing a very good job.\But don't worry about it.\I figured it would be better\to be stricter with part-timers.\How do things work at your place?\How are the people at Kissuiso supervised?\With a slap to the face from Madam Manager. response:	That's worse than me!
context: You're right. You weren't doing a very good job.\But don't worry about it.\I figured it would be better\to be stricter with part-timers.\How do things work at your place?\How are the people at Kissuiso supervised?\With a slap to the face from Madam Manager.\That's worse than me! response:	It helped me learn my job, though.
context: But don't worry about it.\I figured it would be better\to be stricter with part-timers.\How do things work at your place?\How are the people at Kissuiso supervised?\With a slap to the face from Madam Manager.\That's worse than me!\It helped me learn my job, though. response:	I learned my job!
context: I figured it would be better\to be stricter with part-timers.\How do things work at your place?\How are the people at Kissuiso supervised?\With a slap to the face from Madam Manager.\That's worse than me!\It helped me learn my job, though.\I learned my job! response:	Your Madam Manager must be something else.
context: to be stricter with part-timers.\How do things work at your place?\How are the people at Kissuiso supervised?\With a slap to the face from Madam Manager.\That's worse than me!\It helped me learn my job, though.\I learned my job!\Your Madam Manager must be something else. response:	There it is!
context: How do things work at your place?\How are the people at Kissuiso supervised?\With a slap to the face from Madam Manager.\That's worse than me!\It helped me learn my job, though.\I learned my job!\Your Madam Manager must be something else.\There it is! response:	Okay, time to work!
context: How are the people at Kissuiso supervised?\With a slap to the face from Madam Manager.\That's worse than me!\It helped me learn my job, though.\I learned my job!\Your Madam Manager must be something else.\There it is!\Okay, time to work! response:	I'm counting on you.
context: With a slap to the face from Madam Manager.\That's worse than me!\It helped me learn my job, though.\I learned my job!\Your Madam Manager must be something else.\There it is!\Okay, time to work!\I'm counting on you. response:	You're really cute!
context: That's worse than me!\It helped me learn my job, though.\I learned my job!\Your Madam Manager must be something else.\There it is!\Okay, time to work!\I'm counting on you.\You're really cute! response:	Hey, wanna come and karaoke with us?
context: It helped me learn my job, though.\I learned my job!\Your Madam Manager must be something else.\There it is!\Okay, time to work!\I'm counting on you.\You're really cute!\Hey, wanna come and karaoke with us? response:	Sorry, I'm in the middle of a field trip.
context: I learned my job!\Your Madam Manager must be something else.\There it is!\Okay, time to work!\I'm counting on you.\You're really cute!\Hey, wanna come and karaoke with us?\Sorry, I'm in the middle of a field trip. response:	Where did everyone disappear to?
context: Your Madam Manager must be something else.\There it is!\Okay, time to work!\I'm counting on you.\You're really cute!\Hey, wanna come and karaoke with us?\Sorry, I'm in the middle of a field trip.\Where did everyone disappear to? response:	Don't tell me they actually went...
context: There it is!\Okay, time to work!\I'm counting on you.\You're really cute!\Hey, wanna come and karaoke with us?\Sorry, I'm in the middle of a field trip.\Where did everyone disappear to?\Don't tell me they actually went... response:	Yes! Yes! I'm coming!
context: Okay, time to work!\I'm counting on you.\You're really cute!\Hey, wanna come and karaoke with us?\Sorry, I'm in the middle of a field trip.\Where did everyone disappear to?\Don't tell me they actually went...\Yes! Yes! I'm coming! response:	I-I've got to speed up!
context: I'm counting on you.\You're really cute!\Hey, wanna come and karaoke with us?\Sorry, I'm in the middle of a field trip.\Where did everyone disappear to?\Don't tell me they actually went...\Yes! Yes! I'm coming!\I-I've got to speed up! response:	N-No way!
context: You're really cute!\Hey, wanna come and karaoke with us?\Sorry, I'm in the middle of a field trip.\Where did everyone disappear to?\Don't tell me they actually went...\Yes! Yes! I'm coming!\I-I've got to speed up!\N-No way! response:	Idiot! You can't carry that many!
context: Hey, wanna come and karaoke with us?\Sorry, I'm in the middle of a field trip.\Where did everyone disappear to?\Don't tell me they actually went...\Yes! Yes! I'm coming!\I-I've got to speed up!\N-No way!\Idiot! You can't carry that many! response:	I-I'm sorry!
context: Sorry, I'm in the middle of a field trip.\Where did everyone disappear to?\Don't tell me they actually went...\Yes! Yes! I'm coming!\I-I've got to speed up!\N-No way!\Idiot! You can't carry that many!\I-I'm sorry! response:	Minchi...
context: Where did everyone disappear to?\Don't tell me they actually went...\Yes! Yes! I'm coming!\I-I've got to speed up!\N-No way!\Idiot! You can't carry that many!\I-I'm sorry!\Minchi... response:	Nakochi...
context: Don't tell me they actually went...\Yes! Yes! I'm coming!\I-I've got to speed up!\N-No way!\Idiot! You can't carry that many!\I-I'm sorry!\Minchi...\Nakochi... response:	Wh-What about the gifts?!
context: Yes! Yes! I'm coming!\I-I've got to speed up!\N-No way!\Idiot! You can't carry that many!\I-I'm sorry!\Minchi...\Nakochi...\Wh-What about the gifts?! response:	Is that all you're worried about?
context: I-I've got to speed up!\N-No way!\Idiot! You can't carry that many!\I-I'm sorry!\Minchi...\Nakochi...\Wh-What about the gifts?!\Is that all you're worried about? response:	We're also helping out, Ohana.
context: N-No way!\Idiot! You can't carry that many!\I-I'm sorry!\Minchi...\Nakochi...\Wh-What about the gifts?!\Is that all you're worried about?\We're also helping out, Ohana. response:	We've informed the head clerk already.
context: Idiot! You can't carry that many!\I-I'm sorry!\Minchi...\Nakochi...\Wh-What about the gifts?!\Is that all you're worried about?\We're also helping out, Ohana.\We've informed the head clerk already. response:	I've brought the waitress uniforms!
context: I-I'm sorry!\Minchi...\Nakochi...\Wh-What about the gifts?!\Is that all you're worried about?\We're also helping out, Ohana.\We've informed the head clerk already.\I've brought the waitress uniforms! response:	Thank you.
context: Minchi...\Nakochi...\Wh-What about the gifts?!\Is that all you're worried about?\We're also helping out, Ohana.\We've informed the head clerk already.\I've brought the waitress uniforms!\Thank you. response:	What would you like me to do?
context: Nakochi...\Wh-What about the gifts?!\Is that all you're worried about?\We're also helping out, Ohana.\We've informed the head clerk already.\I've brought the waitress uniforms!\Thank you.\What would you like me to do? response:	After all, I usually work in the kitchen.
context: Wh-What about the gifts?!\Is that all you're worried about?\We're also helping out, Ohana.\We've informed the head clerk already.\I've brought the waitress uniforms!\Thank you.\What would you like me to do?\After all, I usually work in the kitchen. response:	How about you and the head clerk take care of the loading,
context: Is that all you're worried about?\We're also helping out, Ohana.\We've informed the head clerk already.\I've brought the waitress uniforms!\Thank you.\What would you like me to do?\After all, I usually work in the kitchen.\How about you and the head clerk take care of the loading, response:	while Ohana and I set the tables, okay?
context: We're also helping out, Ohana.\We've informed the head clerk already.\I've brought the waitress uniforms!\Thank you.\What would you like me to do?\After all, I usually work in the kitchen.\How about you and the head clerk take care of the loading,\while Ohana and I set the tables, okay? response:	Sounds good.
context: We've informed the head clerk already.\I've brought the waitress uniforms!\Thank you.\What would you like me to do?\After all, I usually work in the kitchen.\How about you and the head clerk take care of the loading,\while Ohana and I set the tables, okay?\Sounds good. response:	Sure.
context: I've brought the waitress uniforms!\Thank you.\What would you like me to do?\After all, I usually work in the kitchen.\How about you and the head clerk take care of the loading,\while Ohana and I set the tables, okay?\Sounds good.\Sure. response:	Okay!
context: Thank you.\What would you like me to do?\After all, I usually work in the kitchen.\How about you and the head clerk take care of the loading,\while Ohana and I set the tables, okay?\Sounds good.\Sure.\Okay! response:	Yes, of course.
context: What would you like me to do?\After all, I usually work in the kitchen.\How about you and the head clerk take care of the loading,\while Ohana and I set the tables, okay?\Sounds good.\Sure.\Okay!\Yes, of course. response:	Thanks for coming back and helping, Nakochi.
context: After all, I usually work in the kitchen.\How about you and the head clerk take care of the loading,\while Ohana and I set the tables, okay?\Sounds good.\Sure.\Okay!\Yes, of course.\Thanks for coming back and helping, Nakochi. response:	I figured that since I couldn't swim right now,
context: How about you and the head clerk take care of the loading,\while Ohana and I set the tables, okay?\Sounds good.\Sure.\Okay!\Yes, of course.\Thanks for coming back and helping, Nakochi.\I figured that since I couldn't swim right now, response:	working wouldn't be a bad alternative.
context: while Ohana and I set the tables, okay?\Sounds good.\Sure.\Okay!\Yes, of course.\Thanks for coming back and helping, Nakochi.\I figured that since I couldn't swim right now,\working wouldn't be a bad alternative. response:	Only this many have been set...
context: Sounds good.\Sure.\Okay!\Yes, of course.\Thanks for coming back and helping, Nakochi.\I figured that since I couldn't swim right now,\working wouldn't be a bad alternative.\Only this many have been set... response:	I hope we make it in time for the dinner at six.
context: Sure.\Okay!\Yes, of course.\Thanks for coming back and helping, Nakochi.\I figured that since I couldn't swim right now,\working wouldn't be a bad alternative.\Only this many have been set...\I hope we make it in time for the dinner at six. response:	Don't worry! We have a secret weapon on our side!
context: Okay!\Yes, of course.\Thanks for coming back and helping, Nakochi.\I figured that since I couldn't swim right now,\working wouldn't be a bad alternative.\Only this many have been set...\I hope we make it in time for the dinner at six.\Don't worry! We have a secret weapon on our side! response:	But we should hurry, just in case.
context: Yes, of course.\Thanks for coming back and helping, Nakochi.\I figured that since I couldn't swim right now,\working wouldn't be a bad alternative.\Only this many have been set...\I hope we make it in time for the dinner at six.\Don't worry! We have a secret weapon on our side!\But we should hurry, just in case. response:	Hello?
context: Thanks for coming back and helping, Nakochi.\I figured that since I couldn't swim right now,\working wouldn't be a bad alternative.\Only this many have been set...\I hope we make it in time for the dinner at six.\Don't worry! We have a secret weapon on our side!\But we should hurry, just in case.\Hello? response:	Seriously?!
context: I figured that since I couldn't swim right now,\working wouldn't be a bad alternative.\Only this many have been set...\I hope we make it in time for the dinner at six.\Don't worry! We have a secret weapon on our side!\But we should hurry, just in case.\Hello?\Seriously?! response:	Minchi?
context: working wouldn't be a bad alternative.\Only this many have been set...\I hope we make it in time for the dinner at six.\Don't worry! We have a secret weapon on our side!\But we should hurry, just in case.\Hello?\Seriously?!\Minchi? response:	The robot's broken!
context: Only this many have been set...\I hope we make it in time for the dinner at six.\Don't worry! We have a secret weapon on our side!\But we should hurry, just in case.\Hello?\Seriously?!\Minchi?\The robot's broken! response:	It's no use. It's not responding.
context: I hope we make it in time for the dinner at six.\Don't worry! We have a secret weapon on our side!\But we should hurry, just in case.\Hello?\Seriously?!\Minchi?\The robot's broken!\It's no use. It's not responding. response:	It looks like we'll need to call a mechanic.
context: Don't worry! We have a secret weapon on our side!\But we should hurry, just in case.\Hello?\Seriously?!\Minchi?\The robot's broken!\It's no use. It's not responding.\It looks like we'll need to call a mechanic. response:	So, that's the end of our secret weapon?
context: But we should hurry, just in case.\Hello?\Seriously?!\Minchi?\The robot's broken!\It's no use. It's not responding.\It looks like we'll need to call a mechanic.\So, that's the end of our secret weapon? response:	This is really bad timing...
context: Hello?\Seriously?!\Minchi?\The robot's broken!\It's no use. It's not responding.\It looks like we'll need to call a mechanic.\So, that's the end of our secret weapon?\This is really bad timing... response:	What are we going to do now?
context: Seriously?!\Minchi?\The robot's broken!\It's no use. It's not responding.\It looks like we'll need to call a mechanic.\So, that's the end of our secret weapon?\This is really bad timing...\What are we going to do now? response:	The shower tactic!
context: Minchi?\The robot's broken!\It's no use. It's not responding.\It looks like we'll need to call a mechanic.\So, that's the end of our secret weapon?\This is really bad timing...\What are we going to do now?\The shower tactic! response:	What?
context: The robot's broken!\It's no use. It's not responding.\It looks like we'll need to call a mechanic.\So, that's the end of our secret weapon?\This is really bad timing...\What are we going to do now?\The shower tactic!\What? response:	S-Shower...
context: It's no use. It's not responding.\It looks like we'll need to call a mechanic.\So, that's the end of our secret weapon?\This is really bad timing...\What are we going to do now?\The shower tactic!\What?\S-Shower... response:	When I was at home, I used it all the time!
context: It looks like we'll need to call a mechanic.\So, that's the end of our secret weapon?\This is really bad timing...\What are we going to do now?\The shower tactic!\What?\S-Shower...\When I was at home, I used it all the time! response:	If my mom came home before
context: So, that's the end of our secret weapon?\This is really bad timing...\What are we going to do now?\The shower tactic!\What?\S-Shower...\When I was at home, I used it all the time!\If my mom came home before response:	I had finished making dinner,
context: This is really bad timing...\What are we going to do now?\The shower tactic!\What?\S-Shower...\When I was at home, I used it all the time!\If my mom came home before\I had finished making dinner, response:	I would send her to have her shower first, and make dinner with
context: What are we going to do now?\The shower tactic!\What?\S-Shower...\When I was at home, I used it all the time!\If my mom came home before\I had finished making dinner,\I would send her to have her shower first, and make dinner with response:	whatever was left in the fridge while she was in there!
context: The shower tactic!\What?\S-Shower...\When I was at home, I used it all the time!\If my mom came home before\I had finished making dinner,\I would send her to have her shower first, and make dinner with\whatever was left in the fridge while she was in there! response:	I called it The shower tactic!
context: What?\S-Shower...\When I was at home, I used it all the time!\If my mom came home before\I had finished making dinner,\I would send her to have her shower first, and make dinner with\whatever was left in the fridge while she was in there!\I called it The shower tactic! response:	In other words?
context: S-Shower...\When I was at home, I used it all the time!\If my mom came home before\I had finished making dinner,\I would send her to have her shower first, and make dinner with\whatever was left in the fridge while she was in there!\I called it The shower tactic!\In other words? response:	Oh! You're suggesting that
context: When I was at home, I used it all the time!\If my mom came home before\I had finished making dinner,\I would send her to have her shower first, and make dinner with\whatever was left in the fridge while she was in there!\I called it The shower tactic!\In other words?\Oh! You're suggesting that response:	we ask them all to take a bath first?
context: If my mom came home before\I had finished making dinner,\I would send her to have her shower first, and make dinner with\whatever was left in the fridge while she was in there!\I called it The shower tactic!\In other words?\Oh! You're suggesting that\we ask them all to take a bath first? response:	Before dinner is served, right?
context: I had finished making dinner,\I would send her to have her shower first, and make dinner with\whatever was left in the fridge while she was in there!\I called it The shower tactic!\In other words?\Oh! You're suggesting that\we ask them all to take a bath first?\Before dinner is served, right? response:	Exactly!
context: I would send her to have her shower first, and make dinner with\whatever was left in the fridge while she was in there!\I called it The shower tactic!\In other words?\Oh! You're suggesting that\we ask them all to take a bath first?\Before dinner is served, right?\Exactly! response:	I see. The shower tactic.
context: whatever was left in the fridge while she was in there!\I called it The shower tactic!\In other words?\Oh! You're suggesting that\we ask them all to take a bath first?\Before dinner is served, right?\Exactly!\I see. The shower tactic. response:	Right, bath time is at six,
context: I called it The shower tactic!\In other words?\Oh! You're suggesting that\we ask them all to take a bath first?\Before dinner is served, right?\Exactly!\I see. The shower tactic.\Right, bath time is at six, response:	and dinner's at seven.
context: In other words?\Oh! You're suggesting that\we ask them all to take a bath first?\Before dinner is served, right?\Exactly!\I see. The shower tactic.\Right, bath time is at six,\and dinner's at seven. response:	Adjust everything to that schedule.
context: Oh! You're suggesting that\we ask them all to take a bath first?\Before dinner is served, right?\Exactly!\I see. The shower tactic.\Right, bath time is at six,\and dinner's at seven.\Adjust everything to that schedule. response:	Right.
context: we ask them all to take a bath first?\Before dinner is served, right?\Exactly!\I see. The shower tactic.\Right, bath time is at six,\and dinner's at seven.\Adjust everything to that schedule.\Right. response:	We'll take care of the baths.
context: Before dinner is served, right?\Exactly!\I see. The shower tactic.\Right, bath time is at six,\and dinner's at seven.\Adjust everything to that schedule.\Right.\We'll take care of the baths. response:	Waitresses,
context: Exactly!\I see. The shower tactic.\Right, bath time is at six,\and dinner's at seven.\Adjust everything to that schedule.\Right.\We'll take care of the baths.\Waitresses, response:	please finish setting the tables in the meantime.
context: I see. The shower tactic.\Right, bath time is at six,\and dinner's at seven.\Adjust everything to that schedule.\Right.\We'll take care of the baths.\Waitresses,\please finish setting the tables in the meantime. response:	Okay!
context: Right, bath time is at six,\and dinner's at seven.\Adjust everything to that schedule.\Right.\We'll take care of the baths.\Waitresses,\please finish setting the tables in the meantime.\Okay! response:	That was so much fun!
context: and dinner's at seven.\Adjust everything to that schedule.\Right.\We'll take care of the baths.\Waitresses,\please finish setting the tables in the meantime.\Okay!\That was so much fun! response:	Yeah!
context: Adjust everything to that schedule.\Right.\We'll take care of the baths.\Waitresses,\please finish setting the tables in the meantime.\Okay!\That was so much fun!\Yeah! response:	I'm so hungry!
context: Right.\We'll take care of the baths.\Waitresses,\please finish setting the tables in the meantime.\Okay!\That was so much fun!\Yeah!\I'm so hungry! response:	Yeah, I wonder what's for dinner!
context: We'll take care of the baths.\Waitresses,\please finish setting the tables in the meantime.\Okay!\That was so much fun!\Yeah!\I'm so hungry!\Yeah, I wonder what's for dinner! response:	Listen up, gang!
context: Waitresses,\please finish setting the tables in the meantime.\Okay!\That was so much fun!\Yeah!\I'm so hungry!\Yeah, I wonder what's for dinner!\Listen up, gang! response:	There's been a change of plans!
context: please finish setting the tables in the meantime.\Okay!\That was so much fun!\Yeah!\I'm so hungry!\Yeah, I wonder what's for dinner!\Listen up, gang!\There's been a change of plans! response:	You'll have your bath before dinner!
context: Okay!\That was so much fun!\Yeah!\I'm so hungry!\Yeah, I wonder what's for dinner!\Listen up, gang!\There's been a change of plans!\You'll have your bath before dinner! response:	Everyone, bath time is at six!
context: That was so much fun!\Yeah!\I'm so hungry!\Yeah, I wonder what's for dinner!\Listen up, gang!\There's been a change of plans!\You'll have your bath before dinner!\Everyone, bath time is at six! response:	What?
context: Yeah!\I'm so hungry!\Yeah, I wonder what's for dinner!\Listen up, gang!\There's been a change of plans!\You'll have your bath before dinner!\Everyone, bath time is at six!\What? response:	Seriously?
context: I'm so hungry!\Yeah, I wonder what's for dinner!\Listen up, gang!\There's been a change of plans!\You'll have your bath before dinner!\Everyone, bath time is at six!\What?\Seriously? response:	Okay!
context: Yeah, I wonder what's for dinner!\Listen up, gang!\There's been a change of plans!\You'll have your bath before dinner!\Everyone, bath time is at six!\What?\Seriously?\Okay! response:	Everyone's back!
context: Listen up, gang!\There's been a change of plans!\You'll have your bath before dinner!\Everyone, bath time is at six!\What?\Seriously?\Okay!\Everyone's back! response:	They're all back!
context: There's been a change of plans!\You'll have your bath before dinner!\Everyone, bath time is at six!\What?\Seriously?\Okay!\Everyone's back!\They're all back! response:	We've got to hurry! Hurry!
context: You'll have your bath before dinner!\Everyone, bath time is at six!\What?\Seriously?\Okay!\Everyone's back!\They're all back!\We've got to hurry! Hurry! response:	I'm so excited!
context: Everyone, bath time is at six!\What?\Seriously?\Okay!\Everyone's back!\They're all back!\We've got to hurry! Hurry!\I'm so excited! response:	You're the only one who's excited!
context: What?\Seriously?\Okay!\Everyone's back!\They're all back!\We've got to hurry! Hurry!\I'm so excited!\You're the only one who's excited! response:	Wow, they really are working.
context: Seriously?\Okay!\Everyone's back!\They're all back!\We've got to hurry! Hurry!\I'm so excited!\You're the only one who's excited!\Wow, they really are working. response:	Jeez... they're festing it up too much.
context: Okay!\Everyone's back!\They're all back!\We've got to hurry! Hurry!\I'm so excited!\You're the only one who's excited!\Wow, they really are working.\Jeez... they're festing it up too much. response:	Young master, the women's bath is ready!
context: Everyone's back!\They're all back!\We've got to hurry! Hurry!\I'm so excited!\You're the only one who's excited!\Wow, they really are working.\Jeez... they're festing it up too much.\Young master, the women's bath is ready! response:	Good job!
context: They're all back!\We've got to hurry! Hurry!\I'm so excited!\You're the only one who's excited!\Wow, they really are working.\Jeez... they're festing it up too much.\Young master, the women's bath is ready!\Good job! response:	Do you want us to help you over there?
context: We've got to hurry! Hurry!\I'm so excited!\You're the only one who's excited!\Wow, they really are working.\Jeez... they're festing it up too much.\Young master, the women's bath is ready!\Good job!\Do you want us to help you over there? response:	Nah, I can finish this.
context: I'm so excited!\You're the only one who's excited!\Wow, they really are working.\Jeez... they're festing it up too much.\Young master, the women's bath is ready!\Good job!\Do you want us to help you over there?\Nah, I can finish this. response:	Go help set up the tables instead!
context: You're the only one who's excited!\Wow, they really are working.\Jeez... they're festing it up too much.\Young master, the women's bath is ready!\Good job!\Do you want us to help you over there?\Nah, I can finish this.\Go help set up the tables instead! response:	Sure!
context: Wow, they really are working.\Jeez... they're festing it up too much.\Young master, the women's bath is ready!\Good job!\Do you want us to help you over there?\Nah, I can finish this.\Go help set up the tables instead!\Sure! response:	I'm coming in!
context: Jeez... they're festing it up too much.\Young master, the women's bath is ready!\Good job!\Do you want us to help you over there?\Nah, I can finish this.\Go help set up the tables instead!\Sure!\I'm coming in! response:	What are you doing here, Yuina?
context: Young master, the women's bath is ready!\Good job!\Do you want us to help you over there?\Nah, I can finish this.\Go help set up the tables instead!\Sure!\I'm coming in!\What are you doing here, Yuina? response:	Sight-see-ing.
context: Good job!\Do you want us to help you over there?\Nah, I can finish this.\Go help set up the tables instead!\Sure!\I'm coming in!\What are you doing here, Yuina?\Sight-see-ing. response:	This place hasn't changed at all.
context: Do you want us to help you over there?\Nah, I can finish this.\Go help set up the tables instead!\Sure!\I'm coming in!\What are you doing here, Yuina?\Sight-see-ing.\This place hasn't changed at all. response:	Remember when we used to take baths together in here?
context: Nah, I can finish this.\Go help set up the tables instead!\Sure!\I'm coming in!\What are you doing here, Yuina?\Sight-see-ing.\This place hasn't changed at all.\Remember when we used to take baths together in here? response:	Do you think everything's going to be okay?
context: Go help set up the tables instead!\Sure!\I'm coming in!\What are you doing here, Yuina?\Sight-see-ing.\This place hasn't changed at all.\Remember when we used to take baths together in here?\Do you think everything's going to be okay? response:	Yeah, thanks to that curly-haired girl from Kissuiso.
context: Sure!\I'm coming in!\What are you doing here, Yuina?\Sight-see-ing.\This place hasn't changed at all.\Remember when we used to take baths together in here?\Do you think everything's going to be okay?\Yeah, thanks to that curly-haired girl from Kissuiso. response:	Ohana's hair is a natural perm!
context: I'm coming in!\What are you doing here, Yuina?\Sight-see-ing.\This place hasn't changed at all.\Remember when we used to take baths together in here?\Do you think everything's going to be okay?\Yeah, thanks to that curly-haired girl from Kissuiso.\Ohana's hair is a natural perm! response:	They're really good-natured,
context: What are you doing here, Yuina?\Sight-see-ing.\This place hasn't changed at all.\Remember when we used to take baths together in here?\Do you think everything's going to be okay?\Yeah, thanks to that curly-haired girl from Kissuiso.\Ohana's hair is a natural perm!\They're really good-natured, response:	helping out in the middle of a field trip.
context: Sight-see-ing.\This place hasn't changed at all.\Remember when we used to take baths together in here?\Do you think everything's going to be okay?\Yeah, thanks to that curly-haired girl from Kissuiso.\Ohana's hair is a natural perm!\They're really good-natured,\helping out in the middle of a field trip. response:	She's completely different from you.
context: This place hasn't changed at all.\Remember when we used to take baths together in here?\Do you think everything's going to be okay?\Yeah, thanks to that curly-haired girl from Kissuiso.\Ohana's hair is a natural perm!\They're really good-natured,\helping out in the middle of a field trip.\She's completely different from you. response:	She's also the granddaughter of an innkeeper.
context: Remember when we used to take baths together in here?\Do you think everything's going to be okay?\Yeah, thanks to that curly-haired girl from Kissuiso.\Ohana's hair is a natural perm!\They're really good-natured,\helping out in the middle of a field trip.\She's completely different from you.\She's also the granddaughter of an innkeeper. response:	The owner of Kissuiso, right?
context: Do you think everything's going to be okay?\Yeah, thanks to that curly-haired girl from Kissuiso.\Ohana's hair is a natural perm!\They're really good-natured,\helping out in the middle of a field trip.\She's completely different from you.\She's also the granddaughter of an innkeeper.\The owner of Kissuiso, right? response:	She's helping out because she knows
context: Yeah, thanks to that curly-haired girl from Kissuiso.\Ohana's hair is a natural perm!\They're really good-natured,\helping out in the middle of a field trip.\She's completely different from you.\She's also the granddaughter of an innkeeper.\The owner of Kissuiso, right?\She's helping out because she knows response:	precisely how difficult it is to run an inn.
context: Ohana's hair is a natural perm!\They're really good-natured,\helping out in the middle of a field trip.\She's completely different from you.\She's also the granddaughter of an innkeeper.\The owner of Kissuiso, right?\She's helping out because she knows\precisely how difficult it is to run an inn. response:	Question!
context: They're really good-natured,\helping out in the middle of a field trip.\She's completely different from you.\She's also the granddaughter of an innkeeper.\The owner of Kissuiso, right?\She's helping out because she knows\precisely how difficult it is to run an inn.\Question! response:	Why do you insist on doing such hard work?
context: helping out in the middle of a field trip.\She's completely different from you.\She's also the granddaughter of an innkeeper.\The owner of Kissuiso, right?\She's helping out because she knows\precisely how difficult it is to run an inn.\Question!\Why do you insist on doing such hard work? response:	Don't you think there might be something else that would suit you better?
context: She's completely different from you.\She's also the granddaughter of an innkeeper.\The owner of Kissuiso, right?\She's helping out because she knows\precisely how difficult it is to run an inn.\Question!\Why do you insist on doing such hard work?\Don't you think there might be something else that would suit you better? response:	Such as being a designer, a creator, or even an artist?
context: She's also the granddaughter of an innkeeper.\The owner of Kissuiso, right?\She's helping out because she knows\precisely how difficult it is to run an inn.\Question!\Why do you insist on doing such hard work?\Don't you think there might be something else that would suit you better?\Such as being a designer, a creator, or even an artist? response:	I think it's better to do something you like as your career!
context: The owner of Kissuiso, right?\She's helping out because she knows\precisely how difficult it is to run an inn.\Question!\Why do you insist on doing such hard work?\Don't you think there might be something else that would suit you better?\Such as being a designer, a creator, or even an artist?\I think it's better to do something you like as your career! response:	I've got to get up early in the mornings,
context: She's helping out because she knows\precisely how difficult it is to run an inn.\Question!\Why do you insist on doing such hard work?\Don't you think there might be something else that would suit you better?\Such as being a designer, a creator, or even an artist?\I think it's better to do something you like as your career!\I've got to get up early in the mornings, response:	and I don't get any breaks.
context: precisely how difficult it is to run an inn.\Question!\Why do you insist on doing such hard work?\Don't you think there might be something else that would suit you better?\Such as being a designer, a creator, or even an artist?\I think it's better to do something you like as your career!\I've got to get up early in the mornings,\and I don't get any breaks. response:	I can't go out and have fun either.
context: Question!\Why do you insist on doing such hard work?\Don't you think there might be something else that would suit you better?\Such as being a designer, a creator, or even an artist?\I think it's better to do something you like as your career!\I've got to get up early in the mornings,\and I don't get any breaks.\I can't go out and have fun either. response:	But even then, there are things I like about this job.
