context: In the year 845... response:	the Colossal and Armored Titans suddenly appeared,
context: I'm sure of it.\Eren can do this.\I think luring the Titans to the town's edge is useless.\Any fight with Titans is a war of attrition.\At this stage, they want to avoid the needless loss of troops.\Then anyone who doesn't make it now will have died for nothing?\Eventually, it will become an all-out war.\But until then, we must preserve our forces. response:	It's obvious that we should minimize casualties.
context: Eren can do this.\I think luring the Titans to the town's edge is useless.\Any fight with Titans is a war of attrition.\At this stage, they want to avoid the needless loss of troops.\Then anyone who doesn't make it now will have died for nothing?\Eventually, it will become an all-out war.\But until then, we must preserve our forces.\It's obvious that we should minimize casualties. response:	The brass made the right call.
context: I think luring the Titans to the town's edge is useless.\Any fight with Titans is a war of attrition.\At this stage, they want to avoid the needless loss of troops.\Then anyone who doesn't make it now will have died for nothing?\Eventually, it will become an all-out war.\But until then, we must preserve our forces.\It's obvious that we should minimize casualties.\The brass made the right call. response:	Is that so, huh?
context: Any fight with Titans is a war of attrition.\At this stage, they want to avoid the needless loss of troops.\Then anyone who doesn't make it now will have died for nothing?\Eventually, it will become an all-out war.\But until then, we must preserve our forces.\It's obvious that we should minimize casualties.\The brass made the right call.\Is that so, huh? response:	It is!
context: At this stage, they want to avoid the needless loss of troops.\Then anyone who doesn't make it now will have died for nothing?\Eventually, it will become an all-out war.\But until then, we must preserve our forces.\It's obvious that we should minimize casualties.\The brass made the right call.\Is that so, huh?\It is! response:	Anyway...
context: Then anyone who doesn't make it now will have died for nothing?\Eventually, it will become an all-out war.\But until then, we must preserve our forces.\It's obvious that we should minimize casualties.\The brass made the right call.\Is that so, huh?\It is!\Anyway... response:	Let's both ensure that we don't end up as casualties.
context: Eventually, it will become an all-out war.\But until then, we must preserve our forces.\It's obvious that we should minimize casualties.\The brass made the right call.\Is that so, huh?\It is!\Anyway...\Let's both ensure that we don't end up as casualties. response:	Ian, are you serious?
context: But until then, we must preserve our forces.\It's obvious that we should minimize casualties.\The brass made the right call.\Is that so, huh?\It is!\Anyway...\Let's both ensure that we don't end up as casualties.\Ian, are you serious? response:	How else should humanity defeat the Titans?
context: It's obvious that we should minimize casualties.\The brass made the right call.\Is that so, huh?\It is!\Anyway...\Let's both ensure that we don't end up as casualties.\Ian, are you serious?\How else should humanity defeat the Titans? response:	Riko, tell me!
context: The brass made the right call.\Is that so, huh?\It is!\Anyway...\Let's both ensure that we don't end up as casualties.\Ian, are you serious?\How else should humanity defeat the Titans?\Riko, tell me! response:	Is there any other way to get ourselves out of this mess?
context: Is that so, huh?\It is!\Anyway...\Let's both ensure that we don't end up as casualties.\Ian, are you serious?\How else should humanity defeat the Titans?\Riko, tell me!\Is there any other way to get ourselves out of this mess? response:	Some way to maintain our human dignity,
context: It is!\Anyway...\Let's both ensure that we don't end up as casualties.\Ian, are you serious?\How else should humanity defeat the Titans?\Riko, tell me!\Is there any other way to get ourselves out of this mess?\Some way to maintain our human dignity, response:	without more deaths?!
context: Anyway...\Let's both ensure that we don't end up as casualties.\Ian, are you serious?\How else should humanity defeat the Titans?\Riko, tell me!\Is there any other way to get ourselves out of this mess?\Some way to maintain our human dignity,\without more deaths?! response:	How can we counter the Titans' overwhelming advantage over us?
context: Let's both ensure that we don't end up as casualties.\Ian, are you serious?\How else should humanity defeat the Titans?\Riko, tell me!\Is there any other way to get ourselves out of this mess?\Some way to maintain our human dignity,\without more deaths?!\How can we counter the Titans' overwhelming advantage over us? response:	As if I'd know of a way to defeat them!
context: Ian, are you serious?\How else should humanity defeat the Titans?\Riko, tell me!\Is there any other way to get ourselves out of this mess?\Some way to maintain our human dignity,\without more deaths?!\How can we counter the Titans' overwhelming advantage over us?\As if I'd know of a way to defeat them! response:	That's right...
context: How else should humanity defeat the Titans?\Riko, tell me!\Is there any other way to get ourselves out of this mess?\Some way to maintain our human dignity,\without more deaths?!\How can we counter the Titans' overwhelming advantage over us?\As if I'd know of a way to defeat them!\That's right... response:	So for the moment, this is all we can and should do.
context: Riko, tell me!\Is there any other way to get ourselves out of this mess?\Some way to maintain our human dignity,\without more deaths?!\How can we counter the Titans' overwhelming advantage over us?\As if I'd know of a way to defeat them!\That's right...\So for the moment, this is all we can and should do. response:	We must be willing to sacrifice our lives
context: Is there any other way to get ourselves out of this mess?\Some way to maintain our human dignity,\without more deaths?!\How can we counter the Titans' overwhelming advantage over us?\As if I'd know of a way to defeat them!\That's right...\So for the moment, this is all we can and should do.\We must be willing to sacrifice our lives response:	and do our best for that incomprehensible human weapon.
context: Some way to maintain our human dignity,\without more deaths?!\How can we counter the Titans' overwhelming advantage over us?\As if I'd know of a way to defeat them!\That's right...\So for the moment, this is all we can and should do.\We must be willing to sacrifice our lives\and do our best for that incomprehensible human weapon. response:	Pathetic, isn't it?
context: without more deaths?!\How can we counter the Titans' overwhelming advantage over us?\As if I'd know of a way to defeat them!\That's right...\So for the moment, this is all we can and should do.\We must be willing to sacrifice our lives\and do our best for that incomprehensible human weapon.\Pathetic, isn't it? response:	But as humans, it's all we can do.
context: How can we counter the Titans' overwhelming advantage over us?\As if I'd know of a way to defeat them!\That's right...\So for the moment, this is all we can and should do.\We must be willing to sacrifice our lives\and do our best for that incomprehensible human weapon.\Pathetic, isn't it?\But as humans, it's all we can do. response:	Now, what will you do?
context: As if I'd know of a way to defeat them!\That's right...\So for the moment, this is all we can and should do.\We must be willing to sacrifice our lives\and do our best for that incomprehensible human weapon.\Pathetic, isn't it?\But as humans, it's all we can do.\Now, what will you do? response:	This is the only battle we can fight.
context: That's right...\So for the moment, this is all we can and should do.\We must be willing to sacrifice our lives\and do our best for that incomprehensible human weapon.\Pathetic, isn't it?\But as humans, it's all we can do.\Now, what will you do?\This is the only battle we can fight. response:	This is the struggle we've been allowed to engage.
context: So for the moment, this is all we can and should do.\We must be willing to sacrifice our lives\and do our best for that incomprehensible human weapon.\Pathetic, isn't it?\But as humans, it's all we can do.\Now, what will you do?\This is the only battle we can fight.\This is the struggle we've been allowed to engage. response:	I can't accept that.
context: We must be willing to sacrifice our lives\and do our best for that incomprehensible human weapon.\Pathetic, isn't it?\But as humans, it's all we can do.\Now, what will you do?\This is the only battle we can fight.\This is the struggle we've been allowed to engage.\I can't accept that. response:	Riko!
context: and do our best for that incomprehensible human weapon.\Pathetic, isn't it?\But as humans, it's all we can do.\Now, what will you do?\This is the only battle we can fight.\This is the struggle we've been allowed to engage.\I can't accept that.\Riko! response:	I'll obey the order.
context: Pathetic, isn't it?\But as humans, it's all we can do.\Now, what will you do?\This is the only battle we can fight.\This is the struggle we've been allowed to engage.\I can't accept that.\Riko!\I'll obey the order. response:	I think what you're saying is right.
context: But as humans, it's all we can do.\Now, what will you do?\This is the only battle we can fight.\This is the struggle we've been allowed to engage.\I can't accept that.\Riko!\I'll obey the order.\I think what you're saying is right. response:	But as we struggle our hardest, we'll also show them
context: Now, what will you do?\This is the only battle we can fight.\This is the struggle we've been allowed to engage.\I can't accept that.\Riko!\I'll obey the order.\I think what you're saying is right.\But as we struggle our hardest, we'll also show them response:	how terrifying humans can be.
context: This is the only battle we can fight.\This is the struggle we've been allowed to engage.\I can't accept that.\Riko!\I'll obey the order.\I think what you're saying is right.\But as we struggle our hardest, we'll also show them\how terrifying humans can be. response:	I refuse to die for nothing.
context: This is the struggle we've been allowed to engage.\I can't accept that.\Riko!\I'll obey the order.\I think what you're saying is right.\But as we struggle our hardest, we'll also show them\how terrifying humans can be.\I refuse to die for nothing. response:	Leave the 12-meter class behind us to my squad.
context: I can't accept that.\Riko!\I'll obey the order.\I think what you're saying is right.\But as we struggle our hardest, we'll also show them\how terrifying humans can be.\I refuse to die for nothing.\Leave the 12-meter class behind us to my squad. response:	Let's go.
context: Riko!\I'll obey the order.\I think what you're saying is right.\But as we struggle our hardest, we'll also show them\how terrifying humans can be.\I refuse to die for nothing.\Leave the 12-meter class behind us to my squad.\Let's go. response:	Our target will be the two in the front.
context: I'll obey the order.\I think what you're saying is right.\But as we struggle our hardest, we'll also show them\how terrifying humans can be.\I refuse to die for nothing.\Leave the 12-meter class behind us to my squad.\Let's go.\Our target will be the two in the front. response:	Yeah.
context: I think what you're saying is right.\But as we struggle our hardest, we'll also show them\how terrifying humans can be.\I refuse to die for nothing.\Leave the 12-meter class behind us to my squad.\Let's go.\Our target will be the two in the front.\Yeah. response:	Thank you, Captain Ian.
context: But as we struggle our hardest, we'll also show them\how terrifying humans can be.\I refuse to die for nothing.\Leave the 12-meter class behind us to my squad.\Let's go.\Our target will be the two in the front.\Yeah.\Thank you, Captain Ian. response:	Ackerman, there's no need to thank me.
context: how terrifying humans can be.\I refuse to die for nothing.\Leave the 12-meter class behind us to my squad.\Let's go.\Our target will be the two in the front.\Yeah.\Thank you, Captain Ian.\Ackerman, there's no need to thank me. response:	I was terrified because there's no telling what you'll do.
context: I refuse to die for nothing.\Leave the 12-meter class behind us to my squad.\Let's go.\Our target will be the two in the front.\Yeah.\Thank you, Captain Ian.\Ackerman, there's no need to thank me.\I was terrified because there's no telling what you'll do. response:	Do as you like, just as in the original plan.
context: Leave the 12-meter class behind us to my squad.\Let's go.\Our target will be the two in the front.\Yeah.\Thank you, Captain Ian.\Ackerman, there's no need to thank me.\I was terrified because there's no telling what you'll do.\Do as you like, just as in the original plan. response:	That will be a more efficient use of your abilities.
context: Let's go.\Our target will be the two in the front.\Yeah.\Thank you, Captain Ian.\Ackerman, there's no need to thank me.\I was terrified because there's no telling what you'll do.\Do as you like, just as in the original plan.\That will be a more efficient use of your abilities. response:	Yes, sir.
context: Our target will be the two in the front.\Yeah.\Thank you, Captain Ian.\Ackerman, there's no need to thank me.\I was terrified because there's no telling what you'll do.\Do as you like, just as in the original plan.\That will be a more efficient use of your abilities.\Yes, sir. response:	You have to protect your boyfriend.
context: Yeah.\Thank you, Captain Ian.\Ackerman, there's no need to thank me.\I was terrified because there's no telling what you'll do.\Do as you like, just as in the original plan.\That will be a more efficient use of your abilities.\Yes, sir.\You have to protect your boyfriend. response:	We're family.
context: Thank you, Captain Ian.\Ackerman, there's no need to thank me.\I was terrified because there's no telling what you'll do.\Do as you like, just as in the original plan.\That will be a more efficient use of your abilities.\Yes, sir.\You have to protect your boyfriend.\We're family. response:	What?
context: Ackerman, there's no need to thank me.\I was terrified because there's no telling what you'll do.\Do as you like, just as in the original plan.\That will be a more efficient use of your abilities.\Yes, sir.\You have to protect your boyfriend.\We're family.\What? response:	The damaged parts aren't regenerating?
context: I was terrified because there's no telling what you'll do.\Do as you like, just as in the original plan.\That will be a more efficient use of your abilities.\Yes, sir.\You have to protect your boyfriend.\We're family.\What?\The damaged parts aren't regenerating? response:	Is it due to the earlier damage he took?
context: Do as you like, just as in the original plan.\That will be a more efficient use of your abilities.\Yes, sir.\You have to protect your boyfriend.\We're family.\What?\The damaged parts aren't regenerating?\Is it due to the earlier damage he took? response:	What will that do to Eren?
context: That will be a more efficient use of your abilities.\Yes, sir.\You have to protect your boyfriend.\We're family.\What?\The damaged parts aren't regenerating?\Is it due to the earlier damage he took?\What will that do to Eren? response:	And is there any guarantee he can regain human form?
context: Yes, sir.\You have to protect your boyfriend.\We're family.\What?\The damaged parts aren't regenerating?\Is it due to the earlier damage he took?\What will that do to Eren?\And is there any guarantee he can regain human form? response:	No, stop this.
context: You have to protect your boyfriend.\We're family.\What?\The damaged parts aren't regenerating?\Is it due to the earlier damage he took?\What will that do to Eren?\And is there any guarantee he can regain human form?\No, stop this. response:	I will not be able to find answers to these questions.
context: We're family.\What?\The damaged parts aren't regenerating?\Is it due to the earlier damage he took?\What will that do to Eren?\And is there any guarantee he can regain human form?\No, stop this.\I will not be able to find answers to these questions. response:	For now, I'll just do what I can.
context: What?\The damaged parts aren't regenerating?\Is it due to the earlier damage he took?\What will that do to Eren?\And is there any guarantee he can regain human form?\No, stop this.\I will not be able to find answers to these questions.\For now, I'll just do what I can. response:	Eren...
context: The damaged parts aren't regenerating?\Is it due to the earlier damage he took?\What will that do to Eren?\And is there any guarantee he can regain human form?\No, stop this.\I will not be able to find answers to these questions.\For now, I'll just do what I can.\Eren... response:	Mikasa! What happened?
context: Is it due to the earlier damage he took?\What will that do to Eren?\And is there any guarantee he can regain human form?\No, stop this.\I will not be able to find answers to these questions.\For now, I'll just do what I can.\Eren...\Mikasa! What happened? response:	3D Maneuver Gear Weight-Shifting Device (3) Users must shift their entire weight to one side of their hips or the other. This permits acrobatic movement, but heavily taxes the muscles.
context: What will that do to Eren?\And is there any guarantee he can regain human form?\No, stop this.\I will not be able to find answers to these questions.\For now, I'll just do what I can.\Eren...\Mikasa! What happened?\3D Maneuver Gear Weight-Shifting Device (3) Users must shift their entire weight to one side of their hips or the other. This permits acrobatic movement, but heavily taxes the muscles. response:	3D Maneuver Gear Training (3) For this reason, instructors will deliberately cut student lifelines to gauge reactions. While unsafe, anyone who dies during training would be unable to fight Titans anyway.
context: And is there any guarantee he can regain human form?\No, stop this.\I will not be able to find answers to these questions.\For now, I'll just do what I can.\Eren...\Mikasa! What happened?\3D Maneuver Gear Weight-Shifting Device (3) Users must shift their entire weight to one side of their hips or the other. This permits acrobatic movement, but heavily taxes the muscles.\3D Maneuver Gear Training (3) For this reason, instructors will deliberately cut student lifelines to gauge reactions. While unsafe, anyone who dies during training would be unable to fight Titans anyway. response:	What?
context: No, stop this.\I will not be able to find answers to these questions.\For now, I'll just do what I can.\Eren...\Mikasa! What happened?\3D Maneuver Gear Weight-Shifting Device (3) Users must shift their entire weight to one side of their hips or the other. This permits acrobatic movement, but heavily taxes the muscles.\3D Maneuver Gear Training (3) For this reason, instructors will deliberately cut student lifelines to gauge reactions. While unsafe, anyone who dies during training would be unable to fight Titans anyway.\What? response:	What... am I doing now?
context: I will not be able to find answers to these questions.\For now, I'll just do what I can.\Eren...\Mikasa! What happened?\3D Maneuver Gear Weight-Shifting Device (3) Users must shift their entire weight to one side of their hips or the other. This permits acrobatic movement, but heavily taxes the muscles.\3D Maneuver Gear Training (3) For this reason, instructors will deliberately cut student lifelines to gauge reactions. While unsafe, anyone who dies during training would be unable to fight Titans anyway.\What?\What... am I doing now? response:	Am I sitting?
context: For now, I'll just do what I can.\Eren...\Mikasa! What happened?\3D Maneuver Gear Weight-Shifting Device (3) Users must shift their entire weight to one side of their hips or the other. This permits acrobatic movement, but heavily taxes the muscles.\3D Maneuver Gear Training (3) For this reason, instructors will deliberately cut student lifelines to gauge reactions. While unsafe, anyone who dies during training would be unable to fight Titans anyway.\What?\What... am I doing now?\Am I sitting? response:	I can't see a thing.
context: Eren...\Mikasa! What happened?\3D Maneuver Gear Weight-Shifting Device (3) Users must shift their entire weight to one side of their hips or the other. This permits acrobatic movement, but heavily taxes the muscles.\3D Maneuver Gear Training (3) For this reason, instructors will deliberately cut student lifelines to gauge reactions. While unsafe, anyone who dies during training would be unable to fight Titans anyway.\What?\What... am I doing now?\Am I sitting?\I can't see a thing. response:	What day is it?
context: Mikasa! What happened?\3D Maneuver Gear Weight-Shifting Device (3) Users must shift their entire weight to one side of their hips or the other. This permits acrobatic movement, but heavily taxes the muscles.\3D Maneuver Gear Training (3) For this reason, instructors will deliberately cut student lifelines to gauge reactions. While unsafe, anyone who dies during training would be unable to fight Titans anyway.\What?\What... am I doing now?\Am I sitting?\I can't see a thing.\What day is it? response:	Where am I?
context: 3D Maneuver Gear Weight-Shifting Device (3) Users must shift their entire weight to one side of their hips or the other. This permits acrobatic movement, but heavily taxes the muscles.\3D Maneuver Gear Training (3) For this reason, instructors will deliberately cut student lifelines to gauge reactions. While unsafe, anyone who dies during training would be unable to fight Titans anyway.\What?\What... am I doing now?\Am I sitting?\I can't see a thing.\What day is it?\Where am I? response:	Hmm?
context: 3D Maneuver Gear Training (3) For this reason, instructors will deliberately cut student lifelines to gauge reactions. While unsafe, anyone who dies during training would be unable to fight Titans anyway.\What?\What... am I doing now?\Am I sitting?\I can't see a thing.\What day is it?\Where am I?\Hmm? response:	I'm at home?
context: What?\What... am I doing now?\Am I sitting?\I can't see a thing.\What day is it?\Where am I?\Hmm?\I'm at home? response:	I'll go back to sleep.
context: What... am I doing now?\Am I sitting?\I can't see a thing.\What day is it?\Where am I?\Hmm?\I'm at home?\I'll go back to sleep. response:	Eren!
context: Am I sitting?\I can't see a thing.\What day is it?\Where am I?\Hmm?\I'm at home?\I'll go back to sleep.\Eren! response:	What are you doing, Eren?
context: I can't see a thing.\What day is it?\Where am I?\Hmm?\I'm at home?\I'll go back to sleep.\Eren!\What are you doing, Eren? response:	Listen up.
context: What day is it?\Where am I?\Hmm?\I'm at home?\I'll go back to sleep.\Eren!\What are you doing, Eren?\Listen up. response:	You just need to keep the Titans in the corner of the city.
context: Where am I?\Hmm?\I'm at home?\I'll go back to sleep.\Eren!\What are you doing, Eren?\Listen up.\You just need to keep the Titans in the corner of the city. response:	Stay focused on that, and draw them there.
context: Hmm?\I'm at home?\I'll go back to sleep.\Eren!\What are you doing, Eren?\Listen up.\You just need to keep the Titans in the corner of the city.\Stay focused on that, and draw them there. response:	Got it?
context: I'm at home?\I'll go back to sleep.\Eren!\What are you doing, Eren?\Listen up.\You just need to keep the Titans in the corner of the city.\Stay focused on that, and draw them there.\Got it? response:	You don't need to fight.
context: I'll go back to sleep.\Eren!\What are you doing, Eren?\Listen up.\You just need to keep the Titans in the corner of the city.\Stay focused on that, and draw them there.\Got it?\You don't need to fight. response:	Trainees, form groups of three and run along the ground.
context: Eren!\What are you doing, Eren?\Listen up.\You just need to keep the Titans in the corner of the city.\Stay focused on that, and draw them there.\Got it?\You don't need to fight.\Trainees, form groups of three and run along the ground. response:	When you reach the wall, jump up.
context: What are you doing, Eren?\Listen up.\You just need to keep the Titans in the corner of the city.\Stay focused on that, and draw them there.\Got it?\You don't need to fight.\Trainees, form groups of three and run along the ground.\When you reach the wall, jump up. response:	Don't get killed.
context: Listen up.\You just need to keep the Titans in the corner of the city.\Stay focused on that, and draw them there.\Got it?\You don't need to fight.\Trainees, form groups of three and run along the ground.\When you reach the wall, jump up.\Don't get killed. response:	If any Titans break away, we'll take care of them.
context: You just need to keep the Titans in the corner of the city.\Stay focused on that, and draw them there.\Got it?\You don't need to fight.\Trainees, form groups of three and run along the ground.\When you reach the wall, jump up.\Don't get killed.\If any Titans break away, we'll take care of them. response:	If?
context: Stay focused on that, and draw them there.\Got it?\You don't need to fight.\Trainees, form groups of three and run along the ground.\When you reach the wall, jump up.\Don't get killed.\If any Titans break away, we'll take care of them.\If? response:	Isn't it more of a when than an if?
context: Got it?\You don't need to fight.\Trainees, form groups of three and run along the ground.\When you reach the wall, jump up.\Don't get killed.\If any Titans break away, we'll take care of them.\If?\Isn't it more of a when than an if? response:	If we think we're in danger, can we deviate from our orders?
context: You don't need to fight.\Trainees, form groups of three and run along the ground.\When you reach the wall, jump up.\Don't get killed.\If any Titans break away, we'll take care of them.\If?\Isn't it more of a when than an if?\If we think we're in danger, can we deviate from our orders? response:	If you believe it'll help.
context: Trainees, form groups of three and run along the ground.\When you reach the wall, jump up.\Don't get killed.\If any Titans break away, we'll take care of them.\If?\Isn't it more of a when than an if?\If we think we're in danger, can we deviate from our orders?\If you believe it'll help. response:	Kirschstein squad, go!
context: When you reach the wall, jump up.\Don't get killed.\If any Titans break away, we'll take care of them.\If?\Isn't it more of a when than an if?\If we think we're in danger, can we deviate from our orders?\If you believe it'll help.\Kirschstein squad, go! response:	Right!
context: Don't get killed.\If any Titans break away, we'll take care of them.\If?\Isn't it more of a when than an if?\If we think we're in danger, can we deviate from our orders?\If you believe it'll help.\Kirschstein squad, go!\Right! response:	This is bad! Behind us!
context: If any Titans break away, we'll take care of them.\If?\Isn't it more of a when than an if?\If we think we're in danger, can we deviate from our orders?\If you believe it'll help.\Kirschstein squad, go!\Right!\This is bad! Behind us! response:	One 13-meter class!
context: If?\Isn't it more of a when than an if?\If we think we're in danger, can we deviate from our orders?\If you believe it'll help.\Kirschstein squad, go!\Right!\This is bad! Behind us!\One 13-meter class! response:	It's approaching Jaeger!
context: Isn't it more of a when than an if?\If we think we're in danger, can we deviate from our orders?\If you believe it'll help.\Kirschstein squad, go!\Right!\This is bad! Behind us!\One 13-meter class!\It's approaching Jaeger! response:	More Titans coming through the hole!
context: If we think we're in danger, can we deviate from our orders?\If you believe it'll help.\Kirschstein squad, go!\Right!\This is bad! Behind us!\One 13-meter class!\It's approaching Jaeger!\More Titans coming through the hole! response:	Four Titans, approximately 10-meter class!
context: If you believe it'll help.\Kirschstein squad, go!\Right!\This is bad! Behind us!\One 13-meter class!\It's approaching Jaeger!\More Titans coming through the hole!\Four Titans, approximately 10-meter class! response:	Ackerman, take the one behind us!
context: Kirschstein squad, go!\Right!\This is bad! Behind us!\One 13-meter class!\It's approaching Jaeger!\More Titans coming through the hole!\Four Titans, approximately 10-meter class!\Ackerman, take the one behind us! response:	Got it.
context: Right!\This is bad! Behind us!\One 13-meter class!\It's approaching Jaeger!\More Titans coming through the hole!\Four Titans, approximately 10-meter class!\Ackerman, take the one behind us!\Got it. response:	Don't let it near Jaeger!
context: This is bad! Behind us!\One 13-meter class!\It's approaching Jaeger!\More Titans coming through the hole!\Four Titans, approximately 10-meter class!\Ackerman, take the one behind us!\Got it.\Don't let it near Jaeger! response:	We'll stop them here!
context: One 13-meter class!\It's approaching Jaeger!\More Titans coming through the hole!\Four Titans, approximately 10-meter class!\Ackerman, take the one behind us!\Got it.\Don't let it near Jaeger!\We'll stop them here! response:	Right!
context: It's approaching Jaeger!\More Titans coming through the hole!\Four Titans, approximately 10-meter class!\Ackerman, take the one behind us!\Got it.\Don't let it near Jaeger!\We'll stop them here!\Right! response:	Even if they are elite, two squads can't handle four at once...
context: More Titans coming through the hole!\Four Titans, approximately 10-meter class!\Ackerman, take the one behind us!\Got it.\Don't let it near Jaeger!\We'll stop them here!\Right!\Even if they are elite, two squads can't handle four at once... response:	No...
context: Four Titans, approximately 10-meter class!\Ackerman, take the one behind us!\Got it.\Don't let it near Jaeger!\We'll stop them here!\Right!\Even if they are elite, two squads can't handle four at once...\No... response:	Why are there so many Titans?
context: Ackerman, take the one behind us!\Got it.\Don't let it near Jaeger!\We'll stop them here!\Right!\Even if they are elite, two squads can't handle four at once...\No...\Why are there so many Titans? response:	There aren't too many people there.
context: Got it.\Don't let it near Jaeger!\We'll stop them here!\Right!\Even if they are elite, two squads can't handle four at once...\No...\Why are there so many Titans?\There aren't too many people there. response:	Could Eren be drawing them?
context: Don't let it near Jaeger!\We'll stop them here!\Right!\Even if they are elite, two squads can't handle four at once...\No...\Why are there so many Titans?\There aren't too many people there.\Could Eren be drawing them? response:	Mikasa!
context: We'll stop them here!\Right!\Even if they are elite, two squads can't handle four at once...\No...\Why are there so many Titans?\There aren't too many people there.\Could Eren be drawing them?\Mikasa! response:	What happened to the plan?
context: Right!\Even if they are elite, two squads can't handle four at once...\No...\Why are there so many Titans?\There aren't too many people there.\Could Eren be drawing them?\Mikasa!\What happened to the plan? response:	Armin!
context: Even if they are elite, two squads can't handle four at once...\No...\Why are there so many Titans?\There aren't too many people there.\Could Eren be drawing them?\Mikasa!\What happened to the plan?\Armin! response:	What happened to Eren?
context: No...\Why are there so many Titans?\There aren't too many people there.\Could Eren be drawing them?\Mikasa!\What happened to the plan?\Armin!\What happened to Eren? response:	It's dangerous! Move back!
context: Why are there so many Titans?\There aren't too many people there.\Could Eren be drawing them?\Mikasa!\What happened to the plan?\Armin!\What happened to Eren?\It's dangerous! Move back! response:	Eren is completely unable to enact his will through that Titan!
context: There aren't too many people there.\Could Eren be drawing them?\Mikasa!\What happened to the plan?\Armin!\What happened to Eren?\It's dangerous! Move back!\Eren is completely unable to enact his will through that Titan! response:	I spoke to it, but it didn't recognize me!
context: Could Eren be drawing them?\Mikasa!\What happened to the plan?\Armin!\What happened to Eren?\It's dangerous! Move back!\Eren is completely unable to enact his will through that Titan!\I spoke to it, but it didn't recognize me! response:	There's no point in anyone else trying!
context: Mikasa!\What happened to the plan?\Armin!\What happened to Eren?\It's dangerous! Move back!\Eren is completely unable to enact his will through that Titan!\I spoke to it, but it didn't recognize me!\There's no point in anyone else trying! response:	What about the plan?
context: What happened to the plan?\Armin!\What happened to Eren?\It's dangerous! Move back!\Eren is completely unable to enact his will through that Titan!\I spoke to it, but it didn't recognize me!\There's no point in anyone else trying!\What about the plan? response:	It failed.
context: Armin!\What happened to Eren?\It's dangerous! Move back!\Eren is completely unable to enact his will through that Titan!\I spoke to it, but it didn't recognize me!\There's no point in anyone else trying!\What about the plan?\It failed. response:	Everyone's fighting because we can't leave Eren.
context: What happened to Eren?\It's dangerous! Move back!\Eren is completely unable to enact his will through that Titan!\I spoke to it, but it didn't recognize me!\There's no point in anyone else trying!\What about the plan?\It failed.\Everyone's fighting because we can't leave Eren. response:	But there are too many...
context: It's dangerous! Move back!\Eren is completely unable to enact his will through that Titan!\I spoke to it, but it didn't recognize me!\There's no point in anyone else trying!\What about the plan?\It failed.\Everyone's fighting because we can't leave Eren.\But there are too many... response:	Before long, they'll wipe us out.
context: Eren is completely unable to enact his will through that Titan!\I spoke to it, but it didn't recognize me!\There's no point in anyone else trying!\What about the plan?\It failed.\Everyone's fighting because we can't leave Eren.\But there are too many...\Before long, they'll wipe us out. response:	The spot on the back of the neck,
context: I spoke to it, but it didn't recognize me!\There's no point in anyone else trying!\What about the plan?\It failed.\Everyone's fighting because we can't leave Eren.\But there are too many...\Before long, they'll wipe us out.\The spot on the back of the neck, response:	ten centimeters across and a meter high.
context: There's no point in anyone else trying!\What about the plan?\It failed.\Everyone's fighting because we can't leave Eren.\But there are too many...\Before long, they'll wipe us out.\The spot on the back of the neck,\ten centimeters across and a meter high. response:	Armin!
context: What about the plan?\It failed.\Everyone's fighting because we can't leave Eren.\But there are too many...\Before long, they'll wipe us out.\The spot on the back of the neck,\ten centimeters across and a meter high.\Armin! response:	I'll get Eren out of here!
context: It failed.\Everyone's fighting because we can't leave Eren.\But there are too many...\Before long, they'll wipe us out.\The spot on the back of the neck,\ten centimeters across and a meter high.\Armin!\I'll get Eren out of here! response:	You protect us from any Titans!
context: Everyone's fighting because we can't leave Eren.\But there are too many...\Before long, they'll wipe us out.\The spot on the back of the neck,\ten centimeters across and a meter high.\Armin!\I'll get Eren out of here!\You protect us from any Titans! response:	What are you saying?
context: But there are too many...\Before long, they'll wipe us out.\The spot on the back of the neck,\ten centimeters across and a meter high.\Armin!\I'll get Eren out of here!\You protect us from any Titans!\What are you saying? response:	Eren came out of the Titan's vital point.
context: Before long, they'll wipe us out.\The spot on the back of the neck,\ten centimeters across and a meter high.\Armin!\I'll get Eren out of here!\You protect us from any Titans!\What are you saying?\Eren came out of the Titan's vital point. response:	It's probably related to the mystery behind them.
context: The spot on the back of the neck,\ten centimeters across and a meter high.\Armin!\I'll get Eren out of here!\You protect us from any Titans!\What are you saying?\Eren came out of the Titan's vital point.\It's probably related to the mystery behind them. response:	Don't worry.
context: ten centimeters across and a meter high.\Armin!\I'll get Eren out of here!\You protect us from any Titans!\What are you saying?\Eren came out of the Titan's vital point.\It's probably related to the mystery behind them.\Don't worry. response:	As long as I avoid striking it in the center,
context: Armin!\I'll get Eren out of here!\You protect us from any Titans!\What are you saying?\Eren came out of the Titan's vital point.\It's probably related to the mystery behind them.\Don't worry.\As long as I avoid striking it in the center, response:	he won't die.
context: I'll get Eren out of here!\You protect us from any Titans!\What are you saying?\Eren came out of the Titan's vital point.\It's probably related to the mystery behind them.\Don't worry.\As long as I avoid striking it in the center,\he won't die. response:	It'll just hurt...
context: You protect us from any Titans!\What are you saying?\Eren came out of the Titan's vital point.\It's probably related to the mystery behind them.\Don't worry.\As long as I avoid striking it in the center,\he won't die.\It'll just hurt... response:	a tiny bit!
