context: There was a bit of a commotion in town and we got separated. response:	Calm down. If you would, please tell me what happened in more detail.
context: I wanted to avoid the reality of you being far closer to Chariot than I was.\Of course! I'll never quite until I become a splendid witch!\I promise. I'm sorry I made you worry.\Come in, you kids must all be freezing.\Come in, you all must be freezing.\No, you were certainly crying.\What is it?\I absorbed it all from around the country. response:	I couldn't have gotten here without you.
context: Of course! I'll never quite until I become a splendid witch!\I promise. I'm sorry I made you worry.\Come in, you kids must all be freezing.\Come in, you all must be freezing.\No, you were certainly crying.\What is it?\I absorbed it all from around the country.\I couldn't have gotten here without you. response:	This is only complete thanks to the Dream Fuel Spirit experiments you did.
context: I promise. I'm sorry I made you worry.\Come in, you kids must all be freezing.\Come in, you all must be freezing.\No, you were certainly crying.\What is it?\I absorbed it all from around the country.\I couldn't have gotten here without you.\This is only complete thanks to the Dream Fuel Spirit experiments you did. response:	I figured you deserved some gratitude.
context: Come in, you kids must all be freezing.\Come in, you all must be freezing.\No, you were certainly crying.\What is it?\I absorbed it all from around the country.\I couldn't have gotten here without you.\This is only complete thanks to the Dream Fuel Spirit experiments you did.\I figured you deserved some gratitude. response:	I swear that I will stop you.
context: Come in, you all must be freezing.\No, you were certainly crying.\What is it?\I absorbed it all from around the country.\I couldn't have gotten here without you.\This is only complete thanks to the Dream Fuel Spirit experiments you did.\I figured you deserved some gratitude.\I swear that I will stop you. response:	Akko disappeared?
context: No, you were certainly crying.\What is it?\I absorbed it all from around the country.\I couldn't have gotten here without you.\This is only complete thanks to the Dream Fuel Spirit experiments you did.\I figured you deserved some gratitude.\I swear that I will stop you.\Akko disappeared? response:	There was a bit of a commotion in town, and then we got separated.
context: What is it?\I absorbed it all from around the country.\I couldn't have gotten here without you.\This is only complete thanks to the Dream Fuel Spirit experiments you did.\I figured you deserved some gratitude.\I swear that I will stop you.\Akko disappeared?\There was a bit of a commotion in town, and then we got separated. response:	Still, she's way too late!
context: I absorbed it all from around the country.\I couldn't have gotten here without you.\This is only complete thanks to the Dream Fuel Spirit experiments you did.\I figured you deserved some gratitude.\I swear that I will stop you.\Akko disappeared?\There was a bit of a commotion in town, and then we got separated.\Still, she's way too late! response:	A commotion, you say...
context: I couldn't have gotten here without you.\This is only complete thanks to the Dream Fuel Spirit experiments you did.\I figured you deserved some gratitude.\I swear that I will stop you.\Akko disappeared?\There was a bit of a commotion in town, and then we got separated.\Still, she's way too late!\A commotion, you say... response:	We spent a lot of time looking for her after that...
context: This is only complete thanks to the Dream Fuel Spirit experiments you did.\I figured you deserved some gratitude.\I swear that I will stop you.\Akko disappeared?\There was a bit of a commotion in town, and then we got separated.\Still, she's way too late!\A commotion, you say...\We spent a lot of time looking for her after that... response:	Then we checked whether she'd already come back, but she's not here either.
context: I figured you deserved some gratitude.\I swear that I will stop you.\Akko disappeared?\There was a bit of a commotion in town, and then we got separated.\Still, she's way too late!\A commotion, you say...\We spent a lot of time looking for her after that...\Then we checked whether she'd already come back, but she's not here either. response:	What should we do?
context: I swear that I will stop you.\Akko disappeared?\There was a bit of a commotion in town, and then we got separated.\Still, she's way too late!\A commotion, you say...\We spent a lot of time looking for her after that...\Then we checked whether she'd already come back, but she's not here either.\What should we do? response:	Do you think something happened to her?
context: Akko disappeared?\There was a bit of a commotion in town, and then we got separated.\Still, she's way too late!\A commotion, you say...\We spent a lot of time looking for her after that...\Then we checked whether she'd already come back, but she's not here either.\What should we do?\Do you think something happened to her? response:	Calm down. Could you please tell me what happened in more detail?
context: There was a bit of a commotion in town, and then we got separated.\Still, she's way too late!\A commotion, you say...\We spent a lot of time looking for her after that...\Then we checked whether she'd already come back, but she's not here either.\What should we do?\Do you think something happened to her?\Calm down. Could you please tell me what happened in more detail? response:	I understand. Our first course of action should be informing Professor Ursula.
context: Still, she's way too late!\A commotion, you say...\We spent a lot of time looking for her after that...\Then we checked whether she'd already come back, but she's not here either.\What should we do?\Do you think something happened to her?\Calm down. Could you please tell me what happened in more detail?\I understand. Our first course of action should be informing Professor Ursula. response:	Yeah, probably.
context: A commotion, you say...\We spent a lot of time looking for her after that...\Then we checked whether she'd already come back, but she's not here either.\What should we do?\Do you think something happened to her?\Calm down. Could you please tell me what happened in more detail?\I understand. Our first course of action should be informing Professor Ursula.\Yeah, probably. response:	I'll go tell her now.
context: We spent a lot of time looking for her after that...\Then we checked whether she'd already come back, but she's not here either.\What should we do?\Do you think something happened to her?\Calm down. Could you please tell me what happened in more detail?\I understand. Our first course of action should be informing Professor Ursula.\Yeah, probably.\I'll go tell her now. response:	Allow me to go. Akko may come back at any time.
context: Then we checked whether she'd already come back, but she's not here either.\What should we do?\Do you think something happened to her?\Calm down. Could you please tell me what happened in more detail?\I understand. Our first course of action should be informing Professor Ursula.\Yeah, probably.\I'll go tell her now.\Allow me to go. Akko may come back at any time. response:	Please wait for her in your room.
context: What should we do?\Do you think something happened to her?\Calm down. Could you please tell me what happened in more detail?\I understand. Our first course of action should be informing Professor Ursula.\Yeah, probably.\I'll go tell her now.\Allow me to go. Akko may come back at any time.\Please wait for her in your room. response:	Okay. Thanks, Diana.
context: Do you think something happened to her?\Calm down. Could you please tell me what happened in more detail?\I understand. Our first course of action should be informing Professor Ursula.\Yeah, probably.\I'll go tell her now.\Allow me to go. Akko may come back at any time.\Please wait for her in your room.\Okay. Thanks, Diana. response:	Take action!
context: Calm down. Could you please tell me what happened in more detail?\I understand. Our first course of action should be informing Professor Ursula.\Yeah, probably.\I'll go tell her now.\Allow me to go. Akko may come back at any time.\Please wait for her in your room.\Okay. Thanks, Diana.\Take action! response:	Take action!
context: I understand. Our first course of action should be informing Professor Ursula.\Yeah, probably.\I'll go tell her now.\Allow me to go. Akko may come back at any time.\Please wait for her in your room.\Okay. Thanks, Diana.\Take action!\Take action! response:	Raise your hands!
context: Yeah, probably.\I'll go tell her now.\Allow me to go. Akko may come back at any time.\Please wait for her in your room.\Okay. Thanks, Diana.\Take action!\Take action!\Raise your hands! response:	Raise your hands!
context: I'll go tell her now.\Allow me to go. Akko may come back at any time.\Please wait for her in your room.\Okay. Thanks, Diana.\Take action!\Take action!\Raise your hands!\Raise your hands! response:	Release the shutter on this scene like it's the moment of a lifetime
context: Allow me to go. Akko may come back at any time.\Please wait for her in your room.\Okay. Thanks, Diana.\Take action!\Take action!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime response:	One scene shattaa kiru you ni setsuna wo utsushite
context: Please wait for her in your room.\Okay. Thanks, Diana.\Take action!\Take action!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite response:	Release the shutter on this scene like it's the moment of a lifetime
context: Okay. Thanks, Diana.\Take action!\Take action!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime response:	One scene shattaa kiru you ni setsuna wo utsushite
context: Take action!\Take action!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite response:	Turn it into a story that can speak for itself
context: Take action!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself response:	tsukuriageru na mo naki hitotsu no story
context: Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story response:	Turn it into a story that can speak for itself
context: Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself response:	tsukuriageru na mo naki hitotsu no story
context: Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story response:	Every single one of us can become a hero
context: One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero response:	watashitachi wa dare datte hiiro ni nareru
context: Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru response:	Every single one of us can become a hero
context: One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero response:	watashitachi wa dare datte hiiro ni nareru
context: Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru response:	The possibility hides within us, don't you think?
context: tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think? response:	kanousei wo himeta sonzai, sou deshou?
context: Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou? response:	The possibility hides within us, don't you think?
context: tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think? response:	kanousei wo himeta sonzai, sou deshou?
context: Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou? response:	Your first steps forward can be small to start
context: watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start response:	fumidashita ippo ga hajime wa chiisaku tatte
context: Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte response:	Your first steps forward can be small to start
context: watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start response:	fumidashita ippo ga hajime wa chiisaku tatte
context: The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte response:	Your first steps forward can be small to start
context: kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start response:	fumidashita ippo ga hajime wa chiisaku tatte
context: The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte response:	Keep it up, and we can create a brand-new future
context: kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	I'll always believe no matter what
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what response:	donna toki mo shinjiteiru yo
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo response:	I'll always believe no matter what
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what response:	donna toki mo shinjiteiru yo
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo response:	In this world and in my dreams
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams response:	kono sekai wo, jibun no yume wo
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo response:	In this world and in my dreams
context: kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams response:	kono sekai wo, jibun no yume wo
context: I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo response:	This uncontrollable urge is compelling me to begin
context: donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin response:	osaekirenai shoudou wa hajimari no aizu datte sa
context: I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa response:	This uncontrollable urge is compelling me to begin
context: donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin response:	osaekirenai shoudou wa hajimari no aizu datte sa
context: In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa response:	Telling me to go out and find the me I haven't become yet
context: kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet response:	mada watashi ga shiranai watashi ni deau tame
context: In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame response:	Telling me to go out and find the me I haven't become yet
context: kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet response:	mada watashi ga shiranai watashi ni deau tame
context: This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame response:	So off I go!
context: osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go! response:	kimeta yo
context: This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo response:	So off I go!
context: osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo\So off I go! response:	kimeta yo
context: Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo\So off I go!\kimeta yo response:	Don't be afraid to try again
context: mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo\So off I go!\kimeta yo\Don't be afraid to try again response:	osorenaide try again
context: Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo\So off I go!\kimeta yo\Don't be afraid to try again\osorenaide try again response:	Don't be afraid to try again
context: mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo\So off I go!\kimeta yo\Don't be afraid to try again\osorenaide try again\Don't be afraid to try again response:	osorenaide try again
context: So off I go!\kimeta yo\So off I go!\kimeta yo\Don't be afraid to try again\osorenaide try again\Don't be afraid to try again\osorenaide try again response:	Keep getting up and fly away
context: kimeta yo\So off I go!\kimeta yo\Don't be afraid to try again\osorenaide try again\Don't be afraid to try again\osorenaide try again\Keep getting up and fly away response:	nando datte fly away
context: So off I go!\kimeta yo\Don't be afraid to try again\osorenaide try again\Don't be afraid to try again\osorenaide try again\Keep getting up and fly away\nando datte fly away response:	Keep getting up and fly away
context: kimeta yo\Don't be afraid to try again\osorenaide try again\Don't be afraid to try again\osorenaide try again\Keep getting up and fly away\nando datte fly away\Keep getting up and fly away response:	nando datte fly away
context: Don't be afraid to try again\osorenaide try again\Don't be afraid to try again\osorenaide try again\Keep getting up and fly away\nando datte fly away\Keep getting up and fly away\nando datte fly away response:	It's showtime!
context: osorenaide try again\Don't be afraid to try again\osorenaide try again\Keep getting up and fly away\nando datte fly away\Keep getting up and fly away\nando datte fly away\It's showtime! response:	It's showtime!
context: Don't be afraid to try again\osorenaide try again\Keep getting up and fly away\nando datte fly away\Keep getting up and fly away\nando datte fly away\It's showtime!\It's showtime! response:	Oh I don't want to miss a thing
context: osorenaide try again\Keep getting up and fly away\nando datte fly away\Keep getting up and fly away\nando datte fly away\It's showtime!\It's showtime!\Oh I don't want to miss a thing response:	Oh I don't want to miss a thing
context: Keep getting up and fly away\nando datte fly away\Keep getting up and fly away\nando datte fly away\It's showtime!\It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing response:	Starting from here
context: nando datte fly away\Keep getting up and fly away\nando datte fly away\It's showtime!\It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here response:	kono basho kara
context: Keep getting up and fly away\nando datte fly away\It's showtime!\It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here\kono basho kara response:	Starting from here
context: nando datte fly away\It's showtime!\It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here\kono basho kara\Starting from here response:	kono basho kara
context: It's showtime!\It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here\kono basho kara\Starting from here\kono basho kara response:	Little Witch Academia
context: It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here\kono basho kara\Starting from here\kono basho kara\Little Witch Academia response:	Little Witch Academia
context: Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here\kono basho kara\Starting from here\kono basho kara\Little Witch Academia\Little Witch Academia response:	I've had a dream ever since I was a child.
