context: The strong survive... response:	He said that's the way the world worked.
context: I will send notice that they shall not be harmed as long as they remain peaceful.\Thank you, brother!\Does she require repairs?\Very serious repairs.\What else should we review?\If we get Takumi to do number three...\I can offer my support on that.\Thank you. response:	Well then, please do.
context: Thank you, brother!\Does she require repairs?\Very serious repairs.\What else should we review?\If we get Takumi to do number three...\I can offer my support on that.\Thank you.\Well then, please do. response:	All right!
context: Does she require repairs?\Very serious repairs.\What else should we review?\If we get Takumi to do number three...\I can offer my support on that.\Thank you.\Well then, please do.\All right! response:	Okay.
context: Very serious repairs.\What else should we review?\If we get Takumi to do number three...\I can offer my support on that.\Thank you.\Well then, please do.\All right!\Okay. response:	Ikoma, here!
context: What else should we review?\If we get Takumi to do number three...\I can offer my support on that.\Thank you.\Well then, please do.\All right!\Okay.\Ikoma, here! response:	Line up.
context: If we get Takumi to do number three...\I can offer my support on that.\Thank you.\Well then, please do.\All right!\Okay.\Ikoma, here!\Line up. response:	Today we're collecting from the blue armbands.
context: I can offer my support on that.\Thank you.\Well then, please do.\All right!\Okay.\Ikoma, here!\Line up.\Today we're collecting from the blue armbands. response:	If you want blood so badly...
context: Thank you.\Well then, please do.\All right!\Okay.\Ikoma, here!\Line up.\Today we're collecting from the blue armbands.\If you want blood so badly... response:	What did you say, you bastard?!
context: Well then, please do.\All right!\Okay.\Ikoma, here!\Line up.\Today we're collecting from the blue armbands.\If you want blood so badly...\What did you say, you bastard?! response:	Corpseless?!
context: All right!\Okay.\Ikoma, here!\Line up.\Today we're collecting from the blue armbands.\If you want blood so badly...\What did you say, you bastard?!\Corpseless?! response:	Takumi, go!
context: Okay.\Ikoma, here!\Line up.\Today we're collecting from the blue armbands.\If you want blood so badly...\What did you say, you bastard?!\Corpseless?!\Takumi, go! response:	Everybody down!
context: Ikoma, here!\Line up.\Today we're collecting from the blue armbands.\If you want blood so badly...\What did you say, you bastard?!\Corpseless?!\Takumi, go!\Everybody down! response:	Now!
context: Line up.\Today we're collecting from the blue armbands.\If you want blood so badly...\What did you say, you bastard?!\Corpseless?!\Takumi, go!\Everybody down!\Now! response:	What's going on?
context: Today we're collecting from the blue armbands.\If you want blood so badly...\What did you say, you bastard?!\Corpseless?!\Takumi, go!\Everybody down!\Now!\What's going on? response:	Hey, stop it, idiot!
context: If you want blood so badly...\What did you say, you bastard?!\Corpseless?!\Takumi, go!\Everybody down!\Now!\What's going on?\Hey, stop it, idiot! response:	Let me explain!
context: What did you say, you bastard?!\Corpseless?!\Takumi, go!\Everybody down!\Now!\What's going on?\Hey, stop it, idiot!\Let me explain! response:	There's nothing to explain!
context: Corpseless?!\Takumi, go!\Everybody down!\Now!\What's going on?\Hey, stop it, idiot!\Let me explain!\There's nothing to explain! response:	Wait, Takumi!
context: Takumi, go!\Everybody down!\Now!\What's going on?\Hey, stop it, idiot!\Let me explain!\There's nothing to explain!\Wait, Takumi! response:	Ikoma?!
context: Everybody down!\Now!\What's going on?\Hey, stop it, idiot!\Let me explain!\There's nothing to explain!\Wait, Takumi!\Ikoma?! response:	It was all an act!
context: Now!\What's going on?\Hey, stop it, idiot!\Let me explain!\There's nothing to explain!\Wait, Takumi!\Ikoma?!\It was all an act! response:	Sukari was feeding me information on the Master Fortress!
context: What's going on?\Hey, stop it, idiot!\Let me explain!\There's nothing to explain!\Wait, Takumi!\Ikoma?!\It was all an act!\Sukari was feeding me information on the Master Fortress! response:	We were using bamboo pipes to pass on messages.
context: Hey, stop it, idiot!\Let me explain!\There's nothing to explain!\Wait, Takumi!\Ikoma?!\It was all an act!\Sukari was feeding me information on the Master Fortress!\We were using bamboo pipes to pass on messages. response:	No way...
context: Let me explain!\There's nothing to explain!\Wait, Takumi!\Ikoma?!\It was all an act!\Sukari was feeding me information on the Master Fortress!\We were using bamboo pipes to pass on messages.\No way... response:	What the hell, so you were tricking us?!
context: There's nothing to explain!\Wait, Takumi!\Ikoma?!\It was all an act!\Sukari was feeding me information on the Master Fortress!\We were using bamboo pipes to pass on messages.\No way...\What the hell, so you were tricking us?! response:	Not exactly, but...
context: Wait, Takumi!\Ikoma?!\It was all an act!\Sukari was feeding me information on the Master Fortress!\We were using bamboo pipes to pass on messages.\No way...\What the hell, so you were tricking us?!\Not exactly, but... response:	He's a traitor, isn't he?
context: Ikoma?!\It was all an act!\Sukari was feeding me information on the Master Fortress!\We were using bamboo pipes to pass on messages.\No way...\What the hell, so you were tricking us?!\Not exactly, but...\He's a traitor, isn't he? response:	You should just shoot.
context: It was all an act!\Sukari was feeding me information on the Master Fortress!\We were using bamboo pipes to pass on messages.\No way...\What the hell, so you were tricking us?!\Not exactly, but...\He's a traitor, isn't he?\You should just shoot. response:	Oh, how kind of you.
context: Sukari was feeding me information on the Master Fortress!\We were using bamboo pipes to pass on messages.\No way...\What the hell, so you were tricking us?!\Not exactly, but...\He's a traitor, isn't he?\You should just shoot.\Oh, how kind of you. response:	Kibito-san, I'll take care of him!
context: We were using bamboo pipes to pass on messages.\No way...\What the hell, so you were tricking us?!\Not exactly, but...\He's a traitor, isn't he?\You should just shoot.\Oh, how kind of you.\Kibito-san, I'll take care of him! response:	You bastard.
context: No way...\What the hell, so you were tricking us?!\Not exactly, but...\He's a traitor, isn't he?\You should just shoot.\Oh, how kind of you.\Kibito-san, I'll take care of him!\You bastard. response:	I let you live because they said a male Corpseless is rare!
context: What the hell, so you were tricking us?!\Not exactly, but...\He's a traitor, isn't he?\You should just shoot.\Oh, how kind of you.\Kibito-san, I'll take care of him!\You bastard.\I let you live because they said a male Corpseless is rare! response:	Kurusu and Nameless are faster!
context: Not exactly, but...\He's a traitor, isn't he?\You should just shoot.\Oh, how kind of you.\Kibito-san, I'll take care of him!\You bastard.\I let you live because they said a male Corpseless is rare!\Kurusu and Nameless are faster! response:	Die, you monster!
context: He's a traitor, isn't he?\You should just shoot.\Oh, how kind of you.\Kibito-san, I'll take care of him!\You bastard.\I let you live because they said a male Corpseless is rare!\Kurusu and Nameless are faster!\Die, you monster! response:	Don't you call him a monster!
context: You should just shoot.\Oh, how kind of you.\Kibito-san, I'll take care of him!\You bastard.\I let you live because they said a male Corpseless is rare!\Kurusu and Nameless are faster!\Die, you monster!\Don't you call him a monster! response:	What the hell is that face for?!
context: Oh, how kind of you.\Kibito-san, I'll take care of him!\You bastard.\I let you live because they said a male Corpseless is rare!\Kurusu and Nameless are faster!\Die, you monster!\Don't you call him a monster!\What the hell is that face for?! response:	Is it really that funny that I'd save the day?!
context: Kibito-san, I'll take care of him!\You bastard.\I let you live because they said a male Corpseless is rare!\Kurusu and Nameless are faster!\Die, you monster!\Don't you call him a monster!\What the hell is that face for?!\Is it really that funny that I'd save the day?! response:	Well, yes.
context: You bastard.\I let you live because they said a male Corpseless is rare!\Kurusu and Nameless are faster!\Die, you monster!\Don't you call him a monster!\What the hell is that face for?!\Is it really that funny that I'd save the day?!\Well, yes. response:	What?!
context: I let you live because they said a male Corpseless is rare!\Kurusu and Nameless are faster!\Die, you monster!\Don't you call him a monster!\What the hell is that face for?!\Is it really that funny that I'd save the day?!\Well, yes.\What?! response:	Bastards, how did you...?!
context: Kurusu and Nameless are faster!\Die, you monster!\Don't you call him a monster!\What the hell is that face for?!\Is it really that funny that I'd save the day?!\Well, yes.\What?!\Bastards, how did you...?! response:	Understood.
context: Die, you monster!\Don't you call him a monster!\What the hell is that face for?!\Is it really that funny that I'd save the day?!\Well, yes.\What?!\Bastards, how did you...?!\Understood. response:	I will take care of it.
context: Don't you call him a monster!\What the hell is that face for?!\Is it really that funny that I'd save the day?!\Well, yes.\What?!\Bastards, how did you...?!\Understood.\I will take care of it. response:	Can you handle this, Nameless?
context: What the hell is that face for?!\Is it really that funny that I'd save the day?!\Well, yes.\What?!\Bastards, how did you...?!\Understood.\I will take care of it.\Can you handle this, Nameless? response:	But...
context: Is it really that funny that I'd save the day?!\Well, yes.\What?!\Bastards, how did you...?!\Understood.\I will take care of it.\Can you handle this, Nameless?\But... response:	If you can't...
context: Well, yes.\What?!\Bastards, how did you...?!\Understood.\I will take care of it.\Can you handle this, Nameless?\But...\If you can't... response:	The curse will likely spread even further throughout your body.
context: What?!\Bastards, how did you...?!\Understood.\I will take care of it.\Can you handle this, Nameless?\But...\If you can't...\The curse will likely spread even further throughout your body. response:	I don't wish to see that.
context: Bastards, how did you...?!\Understood.\I will take care of it.\Can you handle this, Nameless?\But...\If you can't...\The curse will likely spread even further throughout your body.\I don't wish to see that. response:	Be strong, Nameless.
context: Understood.\I will take care of it.\Can you handle this, Nameless?\But...\If you can't...\The curse will likely spread even further throughout your body.\I don't wish to see that.\Be strong, Nameless. response:	You don't want to end up like your mother, do you?
context: I will take care of it.\Can you handle this, Nameless?\But...\If you can't...\The curse will likely spread even further throughout your body.\I don't wish to see that.\Be strong, Nameless.\You don't want to end up like your mother, do you? response:	I'm sorry...
context: Can you handle this, Nameless?\But...\If you can't...\The curse will likely spread even further throughout your body.\I don't wish to see that.\Be strong, Nameless.\You don't want to end up like your mother, do you?\I'm sorry... response:	I can't do it.
context: But...\If you can't...\The curse will likely spread even further throughout your body.\I don't wish to see that.\Be strong, Nameless.\You don't want to end up like your mother, do you?\I'm sorry...\I can't do it. response:	I want...
context: If you can't...\The curse will likely spread even further throughout your body.\I don't wish to see that.\Be strong, Nameless.\You don't want to end up like your mother, do you?\I'm sorry...\I can't do it.\I want... response:	I want to be able to eat rice every day in a world without the Corpses!
context: The curse will likely spread even further throughout your body.\I don't wish to see that.\Be strong, Nameless.\You don't want to end up like your mother, do you?\I'm sorry...\I can't do it.\I want...\I want to be able to eat rice every day in a world without the Corpses! response:	So...
context: I don't wish to see that.\Be strong, Nameless.\You don't want to end up like your mother, do you?\I'm sorry...\I can't do it.\I want...\I want to be able to eat rice every day in a world without the Corpses!\So... response:	I'm sorry... brother.
context: Be strong, Nameless.\You don't want to end up like your mother, do you?\I'm sorry...\I can't do it.\I want...\I want to be able to eat rice every day in a world without the Corpses!\So...\I'm sorry... brother. response:	I see.
context: You don't want to end up like your mother, do you?\I'm sorry...\I can't do it.\I want...\I want to be able to eat rice every day in a world without the Corpses!\So...\I'm sorry... brother.\I see. response:	What?
context: I'm sorry...\I can't do it.\I want...\I want to be able to eat rice every day in a world without the Corpses!\So...\I'm sorry... brother.\I see.\What? response:	Let go of me!
context: I can't do it.\I want...\I want to be able to eat rice every day in a world without the Corpses!\So...\I'm sorry... brother.\I see.\What?\Let go of me! response:	Capture her!
context: I want...\I want to be able to eat rice every day in a world without the Corpses!\So...\I'm sorry... brother.\I see.\What?\Let go of me!\Capture her! response:	Stop fight
context: I want to be able to eat rice every day in a world without the Corpses!\So...\I'm sorry... brother.\I see.\What?\Let go of me!\Capture her!\Stop fight response:	I made the right decision lowering your blood dosage.
context: So...\I'm sorry... brother.\I see.\What?\Let go of me!\Capture her!\Stop fight\I made the right decision lowering your blood dosage. response:	Tranquilize her.
context: I'm sorry... brother.\I see.\What?\Let go of me!\Capture her!\Stop fight\I made the right decision lowering your blood dosage.\Tranquilize her. response:	Yes!
context: I see.\What?\Let go of me!\Capture her!\Stop fight\I made the right decision lowering your blood dosage.\Tranquilize her.\Yes! response:	No!
context: What?\Let go of me!\Capture her!\Stop fight\I made the right decision lowering your blood dosage.\Tranquilize her.\Yes!\No! response:	Let me go!
context: Let go of me!\Capture her!\Stop fight\I made the right decision lowering your blood dosage.\Tranquilize her.\Yes!\No!\Let me go! response:	Everyone's here, aren't they?
context: Capture her!\Stop fight\I made the right decision lowering your blood dosage.\Tranquilize her.\Yes!\No!\Let me go!\Everyone's here, aren't they? response:	I want to leave!
context: Stop fight\I made the right decision lowering your blood dosage.\Tranquilize her.\Yes!\No!\Let me go!\Everyone's here, aren't they?\I want to leave! response:	Ikoma!
context: I made the right decision lowering your blood dosage.\Tranquilize her.\Yes!\No!\Let me go!\Everyone's here, aren't they?\I want to leave!\Ikoma! response:	Now you will be able to hear my voice more clearly.
context: Tranquilize her.\Yes!\No!\Let me go!\Everyone's here, aren't they?\I want to leave!\Ikoma!\Now you will be able to hear my voice more clearly. response:	Go on ahead, Ikoma!
context: Yes!\No!\Let me go!\Everyone's here, aren't they?\I want to leave!\Ikoma!\Now you will be able to hear my voice more clearly.\Go on ahead, Ikoma! response:	This will take too long!
context: No!\Let me go!\Everyone's here, aren't they?\I want to leave!\Ikoma!\Now you will be able to hear my voice more clearly.\Go on ahead, Ikoma!\This will take too long! response:	Okay.
context: Let me go!\Everyone's here, aren't they?\I want to leave!\Ikoma!\Now you will be able to hear my voice more clearly.\Go on ahead, Ikoma!\This will take too long!\Okay. response:	Let's hurry up and finish this so we can eat!
context: Everyone's here, aren't they?\I want to leave!\Ikoma!\Now you will be able to hear my voice more clearly.\Go on ahead, Ikoma!\This will take too long!\Okay.\Let's hurry up and finish this so we can eat! response:	With Nameless -chan and Ayame-sama, of course!
context: I want to leave!\Ikoma!\Now you will be able to hear my voice more clearly.\Go on ahead, Ikoma!\This will take too long!\Okay.\Let's hurry up and finish this so we can eat!\With Nameless -chan and Ayame-sama, of course! response:	Yeah, I agree!
context: Ikoma!\Now you will be able to hear my voice more clearly.\Go on ahead, Ikoma!\This will take too long!\Okay.\Let's hurry up and finish this so we can eat!\With Nameless -chan and Ayame-sama, of course!\Yeah, I agree! response:	What?
context: Now you will be able to hear my voice more clearly.\Go on ahead, Ikoma!\This will take too long!\Okay.\Let's hurry up and finish this so we can eat!\With Nameless -chan and Ayame-sama, of course!\Yeah, I agree!\What? response:	Why?
context: Go on ahead, Ikoma!\This will take too long!\Okay.\Let's hurry up and finish this so we can eat!\With Nameless -chan and Ayame-sama, of course!\Yeah, I agree!\What?\Why? response:	What are you doing, Ikoma?!
context: This will take too long!\Okay.\Let's hurry up and finish this so we can eat!\With Nameless -chan and Ayame-sama, of course!\Yeah, I agree!\What?\Why?\What are you doing, Ikoma?! response:	They're going to come if you don't hurry!
context: Okay.\Let's hurry up and finish this so we can eat!\With Nameless -chan and Ayame-sama, of course!\Yeah, I agree!\What?\Why?\What are you doing, Ikoma?!\They're going to come if you don't hurry! response:	Damn it!
context: Let's hurry up and finish this so we can eat!\With Nameless -chan and Ayame-sama, of course!\Yeah, I agree!\What?\Why?\What are you doing, Ikoma?!\They're going to come if you don't hurry!\Damn it! response:	That didn't work.
context: With Nameless -chan and Ayame-sama, of course!\Yeah, I agree!\What?\Why?\What are you doing, Ikoma?!\They're going to come if you don't hurry!\Damn it!\That didn't work. response:	We'll go around the outside!
context: Yeah, I agree!\What?\Why?\What are you doing, Ikoma?!\They're going to come if you don't hurry!\Damn it!\That didn't work.\We'll go around the outside! response:	What is it?!
context: What?\Why?\What are you doing, Ikoma?!\They're going to come if you don't hurry!\Damn it!\That didn't work.\We'll go around the outside!\What is it?! response:	It won't open!
context: Why?\What are you doing, Ikoma?!\They're going to come if you don't hurry!\Damn it!\That didn't work.\We'll go around the outside!\What is it?!\It won't open! response:	What?!
context: What are you doing, Ikoma?!\They're going to come if you don't hurry!\Damn it!\That didn't work.\We'll go around the outside!\What is it?!\It won't open!\What?! response:	Biba!
context: They're going to come if you don't hurry!\Damn it!\That didn't work.\We'll go around the outside!\What is it?!\It won't open!\What?!\Biba! response:	Ikoma...
context: Damn it!\That didn't work.\We'll go around the outside!\What is it?!\It won't open!\What?!\Biba!\Ikoma... response:	We will cross the Great Sea Harbor Bridge tomorrow.
context: That didn't work.\We'll go around the outside!\What is it?!\It won't open!\What?!\Biba!\Ikoma...\We will cross the Great Sea Harbor Bridge tomorrow. response:	I predicted that if you were to start a revolt, this would be the time.
context: We'll go around the outside!\What is it?!\It won't open!\What?!\Biba!\Ikoma...\We will cross the Great Sea Harbor Bridge tomorrow.\I predicted that if you were to start a revolt, this would be the time. response:	So I had the keys switched.
context: What is it?!\It won't open!\What?!\Biba!\Ikoma...\We will cross the Great Sea Harbor Bridge tomorrow.\I predicted that if you were to start a revolt, this would be the time.\So I had the keys switched. response:	Well done noticing the keys...
context: It won't open!\What?!\Biba!\Ikoma...\We will cross the Great Sea Harbor Bridge tomorrow.\I predicted that if you were to start a revolt, this would be the time.\So I had the keys switched.\Well done noticing the keys... response:	You fail, Ikoma.
context: What?!\Biba!\Ikoma...\We will cross the Great Sea Harbor Bridge tomorrow.\I predicted that if you were to start a revolt, this would be the time.\So I had the keys switched.\Well done noticing the keys...\You fail, Ikoma. response:	Ikoma...
context: Biba!\Ikoma...\We will cross the Great Sea Harbor Bridge tomorrow.\I predicted that if you were to start a revolt, this would be the time.\So I had the keys switched.\Well done noticing the keys...\You fail, Ikoma.\Ikoma... response:	Takumi?!
context: Ikoma...\We will cross the Great Sea Harbor Bridge tomorrow.\I predicted that if you were to start a revolt, this would be the time.\So I had the keys switched.\Well done noticing the keys...\You fail, Ikoma.\Ikoma...\Takumi?! response:	I did it this time...
context: We will cross the Great Sea Harbor Bridge tomorrow.\I predicted that if you were to start a revolt, this would be the time.\So I had the keys switched.\Well done noticing the keys...\You fail, Ikoma.\Ikoma...\Takumi?!\I did it this time... response:	That day you turned into a Corpseless and got shot...
context: I predicted that if you were to start a revolt, this would be the time.\So I had the keys switched.\Well done noticing the keys...\You fail, Ikoma.\Ikoma...\Takumi?!\I did it this time...\That day you turned into a Corpseless and got shot... response:	But I finally... did
context: So I had the keys switched.\Well done noticing the keys...\You fail, Ikoma.\Ikoma...\Takumi?!\I did it this time...\That day you turned into a Corpseless and got shot...\But I finally... did response:	Tell me how you feel.
context: Well done noticing the keys...\You fail, Ikoma.\Ikoma...\Takumi?!\I did it this time...\That day you turned into a Corpseless and got shot...\But I finally... did\Tell me how you feel. response:	Tell me how it feels to lose your friend, Ikoma.
context: You fail, Ikoma.\Ikoma...\Takumi?!\I did it this time...\That day you turned into a Corpseless and got shot...\But I finally... did\Tell me how you feel.\Tell me how it feels to lose your friend, Ikoma. response:	Depending on your answer, I may spare you and make you one of us.
context: Ikoma...\Takumi?!\I did it this time...\That day you turned into a Corpseless and got shot...\But I finally... did\Tell me how you feel.\Tell me how it feels to lose your friend, Ikoma.\Depending on your answer, I may spare you and make you one of us. response:	What is wrong with you?
context: Takumi?!\I did it this time...\That day you turned into a Corpseless and got shot...\But I finally... did\Tell me how you feel.\Tell me how it feels to lose your friend, Ikoma.\Depending on your answer, I may spare you and make you one of us.\What is wrong with you? response:	What is wrong...!
context: I did it this time...\That day you turned into a Corpseless and got shot...\But I finally... did\Tell me how you feel.\Tell me how it feels to lose your friend, Ikoma.\Depending on your answer, I may spare you and make you one of us.\What is wrong with you?\What is wrong...! response:	Why did you do this?!
context: That day you turned into a Corpseless and got shot...\But I finally... did\Tell me how you feel.\Tell me how it feels to lose your friend, Ikoma.\Depending on your answer, I may spare you and make you one of us.\What is wrong with you?\What is wrong...!\Why did you do this?! response:	Are you finished, sir?
context: But I finally... did\Tell me how you feel.\Tell me how it feels to lose your friend, Ikoma.\Depending on your answer, I may spare you and make you one of us.\What is wrong with you?\What is wrong...!\Why did you do this?!\Are you finished, sir? response:	Yes.
context: Tell me how you feel.\Tell me how it feels to lose your friend, Ikoma.\Depending on your answer, I may spare you and make you one of us.\What is wrong with you?\What is wrong...!\Why did you do this?!\Are you finished, sir?\Yes. response:	You'll pay... for killing Takumi!
context: Tell me how it feels to lose your friend, Ikoma.\Depending on your answer, I may spare you and make you one of us.\What is wrong with you?\What is wrong...!\Why did you do this?!\Are you finished, sir?\Yes.\You'll pay... for killing Takumi! response:	You'll pay!
context: Depending on your answer, I may spare you and make you one of us.\What is wrong with you?\What is wrong...!\Why did you do this?!\Are you finished, sir?\Yes.\You'll pay... for killing Takumi!\You'll pay! response:	Bring her here.
context: What is wrong with you?\What is wrong...!\Why did you do this?!\Are you finished, sir?\Yes.\You'll pay... for killing Takumi!\You'll pay!\Bring her here. response:	I want you to kill him.
context: What is wrong...!\Why did you do this?!\Are you finished, sir?\Yes.\You'll pay... for killing Takumi!\You'll pay!\Bring her here.\I want you to kill him. response:	Nameless?
context: Why did you do this?!\Are you finished, sir?\Yes.\You'll pay... for killing Takumi!\You'll pay!\Bring her here.\I want you to kill him.\Nameless? response:	Hey...
context: Are you finished, sir?\Yes.\You'll pay... for killing Takumi!\You'll pay!\Bring her here.\I want you to kill him.\Nameless?\Hey... response:	What did they do to you?
context: Yes.\You'll pay... for killing Takumi!\You'll pay!\Bring her here.\I want you to kill him.\Nameless?\Hey...\What did they do to you? response:	Well done.
context: You'll pay... for killing Takumi!\You'll pay!\Bring her here.\I want you to kill him.\Nameless?\Hey...\What did they do to you?\Well done. response:	That is...
context: You'll pay!\Bring her here.\I want you to kill him.\Nameless?\Hey...\What did they do to you?\Well done.\That is... response:	Are you human or a Corpse?!
context: Bring her here.\I want you to kill him.\Nameless?\Hey...\What did they do to you?\Well done.\That is...\Are you human or a Corpse?! response:	I'm neither!
context: I want you to kill him.\Nameless?\Hey...\What did they do to you?\Well done.\That is...\Are you human or a Corpse?!\I'm neither! response:	I'm a Corpseless!
context: Nameless?\Hey...\What did they do to you?\Well done.\That is...\Are you human or a Corpse?!\I'm neither!\I'm a Corpseless! response:	I will remember that day
context: Hey...\What did they do to you?\Well done.\That is...\Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\I will remember that day response:	Losing myself
context: What did they do to you?\Well done.\That is...\Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\I will remember that day\Losing myself response:	In steam
context: Well done.\That is...\Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\I will remember that day\Losing myself\In steam response:	Countless mistakes are made
context: That is...\Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\I will remember that day\Losing myself\In steam\Countless mistakes are made response:	When I can't see anything ahead
context: Are you human or a Corpse?!\I'm neither!\I'm a Corpseless!\I will remember that day\Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead response:	You said
context: I'm neither!\I'm a Corpseless!\I will remember that day\Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead\You said response:	Ask your own burning blood
context: I'm a Corpseless!\I will remember that day\Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood response:	Answer my beat
context: I will remember that day\Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat response:	Corpseless of the Iron Fortress
context: Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat\Corpseless of the Iron Fortress response:	Stand up
context: In steam\Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat\Corpseless of the Iron Fortress\Stand up response:	And slam everything onto the ground
context: Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat\Corpseless of the Iron Fortress\Stand up\And slam everything onto the ground response:	My soul is devoted to my friend
context: When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat\Corpseless of the Iron Fortress\Stand up\And slam everything onto the ground\My soul is devoted to my friend response:	Burn your life
context: You said\Ask your own burning blood\Answer my beat\Corpseless of the Iron Fortress\Stand up\And slam everything onto the ground\My soul is devoted to my friend\Burn your life response:	Change the world
context: Ask your own burning blood\Answer my beat\Corpseless of the Iron Fortress\Stand up\And slam everything onto the ground\My soul is devoted to my friend\Burn your life\Change the world response:	Even if the stars
context: Answer my beat\Corpseless of the Iron Fortress\Stand up\And slam everything onto the ground\My soul is devoted to my friend\Burn your life\Change the world\Even if the stars response:	That connect you make a sound
context: Corpseless of the Iron Fortress\Stand up\And slam everything onto the ground\My soul is devoted to my friend\Burn your life\Change the world\Even if the stars\That connect you make a sound response:	There are just dreams in the same rain
context: Stand up\And slam everything onto the ground\My soul is devoted to my friend\Burn your life\Change the world\Even if the stars\That connect you make a sound\There are just dreams in the same rain response:	And lights are dried up
context: And slam everything onto the ground\My soul is devoted to my friend\Burn your life\Change the world\Even if the stars\That connect you make a sound\There are just dreams in the same rain\And lights are dried up response:	I am tired of getting answers
context: My soul is devoted to my friend\Burn your life\Change the world\Even if the stars\That connect you make a sound\There are just dreams in the same rain\And lights are dried up\I am tired of getting answers response:	By mimicking others
context: Burn your life\Change the world\Even if the stars\That connect you make a sound\There are just dreams in the same rain\And lights are dried up\I am tired of getting answers\By mimicking others response:	Dawn without the sun
context: Change the world\Even if the stars\That connect you make a sound\There are just dreams in the same rain\And lights are dried up\I am tired of getting answers\By mimicking others\Dawn without the sun response:	And broken morning
context: Even if the stars\That connect you make a sound\There are just dreams in the same rain\And lights are dried up\I am tired of getting answers\By mimicking others\Dawn without the sun\And broken morning response:	Smashed cry and dream The ideal only has its doors
context: That connect you make a sound\There are just dreams in the same rain\And lights are dried up\I am tired of getting answers\By mimicking others\Dawn without the sun\And broken morning\Smashed cry and dream The ideal only has its doors response:	City is uplifted and drown in noise
context: There are just dreams in the same rain\And lights are dried up\I am tired of getting answers\By mimicking others\Dawn without the sun\And broken morning\Smashed cry and dream The ideal only has its doors\City is uplifted and drown in noise response:	I will still sing and stop turning the rudder
context: And lights are dried up\I am tired of getting answers\By mimicking others\Dawn without the sun\And broken morning\Smashed cry and dream The ideal only has its doors\City is uplifted and drown in noise\I will still sing and stop turning the rudder response:	To hush silence
context: I am tired of getting answers\By mimicking others\Dawn without the sun\And broken morning\Smashed cry and dream The ideal only has its doors\City is uplifted and drown in noise\I will still sing and stop turning the rudder\To hush silence response:	Chapter Ten
context: By mimicking others\Dawn without the sun\And broken morning\Smashed cry and dream The ideal only has its doors\City is uplifted and drown in noise\I will still sing and stop turning the rudder\To hush silence\Chapter Ten response:	The Attacking Weak
