context: That far off future was suddenly upon us... response:	And soon, it too will become a passing memory.
context: So many things happened at once...\They're all such wonderful things, and I should be really happy, but...\Akari.\I've always known that times and places change, but...\I'm sorry.\As we walked together, it always felt like we were all on the same path.\But really, we were all on our own separate paths, weren't we?\I walked down my own path... response:	I want to see everyone's wonderful futures that await them down this path.
context: They're all such wonderful things, and I should be really happy, but...\Akari.\I've always known that times and places change, but...\I'm sorry.\As we walked together, it always felt like we were all on the same path.\But really, we were all on our own separate paths, weren't we?\I walked down my own path...\I want to see everyone's wonderful futures that await them down this path. response:	That's why...
context: Akari.\I've always known that times and places change, but...\I'm sorry.\As we walked together, it always felt like we were all on the same path.\But really, we were all on our own separate paths, weren't we?\I walked down my own path...\I want to see everyone's wonderful futures that await them down this path.\That's why... response:	Thank you, Akari.
context: I've always known that times and places change, but...\I'm sorry.\As we walked together, it always felt like we were all on the same path.\But really, we were all on our own separate paths, weren't we?\I walked down my own path...\I want to see everyone's wonderful futures that await them down this path.\That's why...\Thank you, Akari. response:	Let's do our best today too, President Aria!
context: I'm sorry.\As we walked together, it always felt like we were all on the same path.\But really, we were all on our own separate paths, weren't we?\I walked down my own path...\I want to see everyone's wonderful futures that await them down this path.\That's why...\Thank you, Akari.\Let's do our best today too, President Aria! response:	Our first booking today is a Mr. Namihei Anno.
context: As we walked together, it always felt like we were all on the same path.\But really, we were all on our own separate paths, weren't we?\I walked down my own path...\I want to see everyone's wonderful futures that await them down this path.\That's why...\Thank you, Akari.\Let's do our best today too, President Aria!\Our first booking today is a Mr. Namihei Anno. response:	Hey.
context: But really, we were all on our own separate paths, weren't we?\I walked down my own path...\I want to see everyone's wonderful futures that await them down this path.\That's why...\Thank you, Akari.\Let's do our best today too, President Aria!\Our first booking today is a Mr. Namihei Anno.\Hey. response:	Huh?!
context: I walked down my own path...\I want to see everyone's wonderful futures that await them down this path.\That's why...\Thank you, Akari.\Let's do our best today too, President Aria!\Our first booking today is a Mr. Namihei Anno.\Hey.\Huh?! response:	So that's your name, Mr. Postman.
context: I want to see everyone's wonderful futures that await them down this path.\That's why...\Thank you, Akari.\Let's do our best today too, President Aria!\Our first booking today is a Mr. Namihei Anno.\Hey.\Huh?!\So that's your name, Mr. Postman. response:	Yeah.
context: That's why...\Thank you, Akari.\Let's do our best today too, President Aria!\Our first booking today is a Mr. Namihei Anno.\Hey.\Huh?!\So that's your name, Mr. Postman.\Yeah. response:	Do you have the day off from work today?
context: Thank you, Akari.\Let's do our best today too, President Aria!\Our first booking today is a Mr. Namihei Anno.\Hey.\Huh?!\So that's your name, Mr. Postman.\Yeah.\Do you have the day off from work today? response:	Huh?
context: Let's do our best today too, President Aria!\Our first booking today is a Mr. Namihei Anno.\Hey.\Huh?!\So that's your name, Mr. Postman.\Yeah.\Do you have the day off from work today?\Huh? response:	I've also retired from my post.
context: Our first booking today is a Mr. Namihei Anno.\Hey.\Huh?!\So that's your name, Mr. Postman.\Yeah.\Do you have the day off from work today?\Huh?\I've also retired from my post. response:	From now on, I'll be working at the office as a supervisor.
context: Hey.\Huh?!\So that's your name, Mr. Postman.\Yeah.\Do you have the day off from work today?\Huh?\I've also retired from my post.\From now on, I'll be working at the office as a supervisor. response:	I see.
context: Huh?!\So that's your name, Mr. Postman.\Yeah.\Do you have the day off from work today?\Huh?\I've also retired from my post.\From now on, I'll be working at the office as a supervisor.\I see. response:	Thank you for your hard work all these years.
context: So that's your name, Mr. Postman.\Yeah.\Do you have the day off from work today?\Huh?\I've also retired from my post.\From now on, I'll be working at the office as a supervisor.\I see.\Thank you for your hard work all these years. response:	It's delicious.
context: Yeah.\Do you have the day off from work today?\Huh?\I've also retired from my post.\From now on, I'll be working at the office as a supervisor.\I see.\Thank you for your hard work all these years.\It's delicious. response:	It's buckwheat tea.
context: Do you have the day off from work today?\Huh?\I've also retired from my post.\From now on, I'll be working at the office as a supervisor.\I see.\Thank you for your hard work all these years.\It's delicious.\It's buckwheat tea. response:	Oh!
context: Huh?\I've also retired from my post.\From now on, I'll be working at the office as a supervisor.\I see.\Thank you for your hard work all these years.\It's delicious.\It's buckwheat tea.\Oh! response:	So your alias is Aquamarine?
context: I've also retired from my post.\From now on, I'll be working at the office as a supervisor.\I see.\Thank you for your hard work all these years.\It's delicious.\It's buckwheat tea.\Oh!\So your alias is Aquamarine? response:	Yes.
context: From now on, I'll be working at the office as a supervisor.\I see.\Thank you for your hard work all these years.\It's delicious.\It's buckwheat tea.\Oh!\So your alias is Aquamarine?\Yes. response:	It's a good name.
context: I see.\Thank you for your hard work all these years.\It's delicious.\It's buckwheat tea.\Oh!\So your alias is Aquamarine?\Yes.\It's a good name. response:	I'm really happy that you're a Prima now, and I can take a ride in your gondola!
context: Thank you for your hard work all these years.\It's delicious.\It's buckwheat tea.\Oh!\So your alias is Aquamarine?\Yes.\It's a good name.\I'm really happy that you're a Prima now, and I can take a ride in your gondola! response:	Are you lonely at all?
context: It's delicious.\It's buckwheat tea.\Oh!\So your alias is Aquamarine?\Yes.\It's a good name.\I'm really happy that you're a Prima now, and I can take a ride in your gondola!\Are you lonely at all? response:	Alicia has stayed on this whole time while I adjust to running the company.
context: It's buckwheat tea.\Oh!\So your alias is Aquamarine?\Yes.\It's a good name.\I'm really happy that you're a Prima now, and I can take a ride in your gondola!\Are you lonely at all?\Alicia has stayed on this whole time while I adjust to running the company. response:	I see.
context: Oh!\So your alias is Aquamarine?\Yes.\It's a good name.\I'm really happy that you're a Prima now, and I can take a ride in your gondola!\Are you lonely at all?\Alicia has stayed on this whole time while I adjust to running the company.\I see. response:	But when tomorrow's retirement ceremony is over, I really will be alone.
context: So your alias is Aquamarine?\Yes.\It's a good name.\I'm really happy that you're a Prima now, and I can take a ride in your gondola!\Are you lonely at all?\Alicia has stayed on this whole time while I adjust to running the company.\I see.\But when tomorrow's retirement ceremony is over, I really will be alone. response:	You'll be all right.
context: Yes.\It's a good name.\I'm really happy that you're a Prima now, and I can take a ride in your gondola!\Are you lonely at all?\Alicia has stayed on this whole time while I adjust to running the company.\I see.\But when tomorrow's retirement ceremony is over, I really will be alone.\You'll be all right. response:	You have this entire city on your side.
context: It's a good name.\I'm really happy that you're a Prima now, and I can take a ride in your gondola!\Are you lonely at all?\Alicia has stayed on this whole time while I adjust to running the company.\I see.\But when tomorrow's retirement ceremony is over, I really will be alone.\You'll be all right.\You have this entire city on your side. response:	Yes.
context: I'm really happy that you're a Prima now, and I can take a ride in your gondola!\Are you lonely at all?\Alicia has stayed on this whole time while I adjust to running the company.\I see.\But when tomorrow's retirement ceremony is over, I really will be alone.\You'll be all right.\You have this entire city on your side.\Yes. response:	It's really delicious.
context: Are you lonely at all?\Alicia has stayed on this whole time while I adjust to running the company.\I see.\But when tomorrow's retirement ceremony is over, I really will be alone.\You'll be all right.\You have this entire city on your side.\Yes.\It's really delicious. response:	Thanks to Mr. Postman's recommendation,
context: Alicia has stayed on this whole time while I adjust to running the company.\I see.\But when tomorrow's retirement ceremony is over, I really will be alone.\You'll be all right.\You have this entire city on your side.\Yes.\It's really delicious.\Thanks to Mr. Postman's recommendation, response:	I have a booking for tomorrow, as well.
context: I see.\But when tomorrow's retirement ceremony is over, I really will be alone.\You'll be all right.\You have this entire city on your side.\Yes.\It's really delicious.\Thanks to Mr. Postman's recommendation,\I have a booking for tomorrow, as well. response:	My, my.
context: But when tomorrow's retirement ceremony is over, I really will be alone.\You'll be all right.\You have this entire city on your side.\Yes.\It's really delicious.\Thanks to Mr. Postman's recommendation,\I have a booking for tomorrow, as well.\My, my. response:	Also, the owner of Caffe Florian and the Campanile caretaker recommended me,
context: You'll be all right.\You have this entire city on your side.\Yes.\It's really delicious.\Thanks to Mr. Postman's recommendation,\I have a booking for tomorrow, as well.\My, my.\Also, the owner of Caffe Florian and the Campanile caretaker recommended me, response:	so I received a few bookings from that, as well.
context: You have this entire city on your side.\Yes.\It's really delicious.\Thanks to Mr. Postman's recommendation,\I have a booking for tomorrow, as well.\My, my.\Also, the owner of Caffe Florian and the Campanile caretaker recommended me,\so I received a few bookings from that, as well. response:	I see.
context: Yes.\It's really delicious.\Thanks to Mr. Postman's recommendation,\I have a booking for tomorrow, as well.\My, my.\Also, the owner of Caffe Florian and the Campanile caretaker recommended me,\so I received a few bookings from that, as well.\I see. response:	I feel like...
context: It's really delicious.\Thanks to Mr. Postman's recommendation,\I have a booking for tomorrow, as well.\My, my.\Also, the owner of Caffe Florian and the Campanile caretaker recommended me,\so I received a few bookings from that, as well.\I see.\I feel like... response:	Your Aria Company has already begun, hasn't it?
context: Thanks to Mr. Postman's recommendation,\I have a booking for tomorrow, as well.\My, my.\Also, the owner of Caffe Florian and the Campanile caretaker recommended me,\so I received a few bookings from that, as well.\I see.\I feel like...\Your Aria Company has already begun, hasn't it? response:	My...
context: I have a booking for tomorrow, as well.\My, my.\Also, the owner of Caffe Florian and the Campanile caretaker recommended me,\so I received a few bookings from that, as well.\I see.\I feel like...\Your Aria Company has already begun, hasn't it?\My... response:	Alicia!
context: My, my.\Also, the owner of Caffe Florian and the Campanile caretaker recommended me,\so I received a few bookings from that, as well.\I see.\I feel like...\Your Aria Company has already begun, hasn't it?\My...\Alicia! response:	How's it going? Are you done with the preparations?
context: Also, the owner of Caffe Florian and the Campanile caretaker recommended me,\so I received a few bookings from that, as well.\I see.\I feel like...\Your Aria Company has already begun, hasn't it?\My...\Alicia!\How's it going? Are you done with the preparations? response:	I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao
context: so I received a few bookings from that, as well.\I see.\I feel like...\Your Aria Company has already begun, hasn't it?\My...\Alicia!\How's it going? Are you done with the preparations?\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao response:	I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao It's time.
context: I see.\I feel like...\Your Aria Company has already begun, hasn't it?\My...\Alicia!\How's it going? Are you done with the preparations?\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao It's time. response:	I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao
context: I feel like...\Your Aria Company has already begun, hasn't it?\My...\Alicia!\How's it going? Are you done with the preparations?\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao It's time.\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao response:	I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao Yeah.
context: Your Aria Company has already begun, hasn't it?\My...\Alicia!\How's it going? Are you done with the preparations?\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao It's time.\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao Yeah. response:	Your long hair brushes your cheeks as it sways in the wind Hoho ni fureru nagai kami ga yureteiru
context: My...\Alicia!\How's it going? Are you done with the preparations?\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao It's time.\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao Yeah.\Your long hair brushes your cheeks as it sways in the wind Hoho ni fureru nagai kami ga yureteiru response:	Though this heartache can't be expressed with words, Setsunasa wa kotoba ni naranai keredo
context: Alicia!\How's it going? Are you done with the preparations?\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao It's time.\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao Yeah.\Your long hair brushes your cheeks as it sways in the wind Hoho ni fureru nagai kami ga yureteiru\Though this heartache can't be expressed with words, Setsunasa wa kotoba ni naranai keredo response:	As I always have, both now and forevermore... Ano koro mo ima mo zutto
context: How's it going? Are you done with the preparations?\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao It's time.\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao Yeah.\Your long hair brushes your cheeks as it sways in the wind Hoho ni fureru nagai kami ga yureteiru\Though this heartache can't be expressed with words, Setsunasa wa kotoba ni naranai keredo\As I always have, both now and forevermore... Ano koro mo ima mo zutto response:	I'll gather up these feelings that will never change Itsumademo kawaranu omoi o yosete
context: I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao It's time.\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao Yeah.\Your long hair brushes your cheeks as it sways in the wind Hoho ni fureru nagai kami ga yureteiru\Though this heartache can't be expressed with words, Setsunasa wa kotoba ni naranai keredo\As I always have, both now and forevermore... Ano koro mo ima mo zutto\I'll gather up these feelings that will never change Itsumademo kawaranu omoi o yosete response:	Whenever I am blessed with kindness, Yasashisa ni meguriau toki
context: I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao It's time.\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao Yeah.\Your long hair brushes your cheeks as it sways in the wind Hoho ni fureru nagai kami ga yureteiru\Though this heartache can't be expressed with words, Setsunasa wa kotoba ni naranai keredo\As I always have, both now and forevermore... Ano koro mo ima mo zutto\I'll gather up these feelings that will never change Itsumademo kawaranu omoi o yosete\Whenever I am blessed with kindness, Yasashisa ni meguriau toki response:	I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo
context: I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao\I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao Yeah.\Your long hair brushes your cheeks as it sways in the wind Hoho ni fureru nagai kami ga yureteiru\Though this heartache can't be expressed with words, Setsunasa wa kotoba ni naranai keredo\As I always have, both now and forevermore... Ano koro mo ima mo zutto\I'll gather up these feelings that will never change Itsumademo kawaranu omoi o yosete\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo response:	It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita
context: I see you gazing up at the endless sky Dokomademo tsuzuku kono sora nagameteru yokogao Yeah.\Your long hair brushes your cheeks as it sways in the wind Hoho ni fureru nagai kami ga yureteiru\Though this heartache can't be expressed with words, Setsunasa wa kotoba ni naranai keredo\As I always have, both now and forevermore... Ano koro mo ima mo zutto\I'll gather up these feelings that will never change Itsumademo kawaranu omoi o yosete\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita response:	It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita Alicia... This can't be true!
context: Your long hair brushes your cheeks as it sways in the wind Hoho ni fureru nagai kami ga yureteiru\Though this heartache can't be expressed with words, Setsunasa wa kotoba ni naranai keredo\As I always have, both now and forevermore... Ano koro mo ima mo zutto\I'll gather up these feelings that will never change Itsumademo kawaranu omoi o yosete\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita Alicia... This can't be true! response:	Alicia... This can't be true!
context: Though this heartache can't be expressed with words, Setsunasa wa kotoba ni naranai keredo\As I always have, both now and forevermore... Ano koro mo ima mo zutto\I'll gather up these feelings that will never change Itsumademo kawaranu omoi o yosete\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita Alicia... This can't be true!\Alicia... This can't be true! response:	Akatsukin, are you crying?
context: As I always have, both now and forevermore... Ano koro mo ima mo zutto\I'll gather up these feelings that will never change Itsumademo kawaranu omoi o yosete\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita Alicia... This can't be true!\Alicia... This can't be true!\Akatsukin, are you crying? response:	They're tears of joy, right?
context: I'll gather up these feelings that will never change Itsumademo kawaranu omoi o yosete\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita Alicia... This can't be true!\Alicia... This can't be true!\Akatsukin, are you crying?\They're tears of joy, right? response:	Shut up! They're tears of joy, right?
context: Whenever I am blessed with kindness, Yasashisa ni meguriau toki\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita Alicia... This can't be true!\Alicia... This can't be true!\Akatsukin, are you crying?\They're tears of joy, right?\Shut up! They're tears of joy, right? response:	Shut up!
context: I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita Alicia... This can't be true!\Alicia... This can't be true!\Akatsukin, are you crying?\They're tears of joy, right?\Shut up! They're tears of joy, right?\Shut up! response:	Sob Sob Sob Shut up!
context: It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita Alicia... This can't be true!\Alicia... This can't be true!\Akatsukin, are you crying?\They're tears of joy, right?\Shut up! They're tears of joy, right?\Shut up!\Sob Sob Sob Shut up! response:	Sob Sob Sob
context: It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita Alicia... This can't be true!\Alicia... This can't be true!\Akatsukin, are you crying?\They're tears of joy, right?\Shut up! They're tears of joy, right?\Shut up!\Sob Sob Sob Shut up!\Sob Sob Sob response:	We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki
context: Alicia... This can't be true!\Akatsukin, are you crying?\They're tears of joy, right?\Shut up! They're tears of joy, right?\Shut up!\Sob Sob Sob Shut up!\Sob Sob Sob\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki response:	These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku
context: Akatsukin, are you crying?\They're tears of joy, right?\Shut up! They're tears of joy, right?\Shut up!\Sob Sob Sob Shut up!\Sob Sob Sob\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku response:	There's just one thing I'm praying for Hitotsu dake negai o komete inoru no
context: They're tears of joy, right?\Shut up! They're tears of joy, right?\Shut up!\Sob Sob Sob Shut up!\Sob Sob Sob\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no response:	A bridge to connect our hearts Kokoro o tsunagu kake hashi
context: Shut up! They're tears of joy, right?\Shut up!\Sob Sob Sob Shut up!\Sob Sob Sob\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no\A bridge to connect our hearts Kokoro o tsunagu kake hashi response:	As you cross that bridge, Ano sanbashi no mukougawa e
context: Shut up!\Sob Sob Sob Shut up!\Sob Sob Sob\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no\A bridge to connect our hearts Kokoro o tsunagu kake hashi\As you cross that bridge, Ano sanbashi no mukougawa e response:	Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi
context: Sob Sob Sob Shut up!\Sob Sob Sob\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no\A bridge to connect our hearts Kokoro o tsunagu kake hashi\As you cross that bridge, Ano sanbashi no mukougawa e\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi response:	If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete
context: Sob Sob Sob\We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no\A bridge to connect our hearts Kokoro o tsunagu kake hashi\As you cross that bridge, Ano sanbashi no mukougawa e\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete response:	The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru
context: We spoke a little while ago, it was a moment full of smiles Sakki made futari hanashita hohoemi no hitotoki\These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no\A bridge to connect our hearts Kokoro o tsunagu kake hashi\As you cross that bridge, Ano sanbashi no mukougawa e\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru response:	Of that I'm certain Sou kitto
context: These nostalgic, happy days... I'm leaving them behind Natsukashikute tanoshii hibi nokoshiteku\There's just one thing I'm praying for Hitotsu dake negai o komete inoru no\A bridge to connect our hearts Kokoro o tsunagu kake hashi\As you cross that bridge, Ano sanbashi no mukougawa e\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\Of that I'm certain Sou kitto response:	My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu
context: There's just one thing I'm praying for Hitotsu dake negai o komete inoru no\A bridge to connect our hearts Kokoro o tsunagu kake hashi\As you cross that bridge, Ano sanbashi no mukougawa e\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\Of that I'm certain Sou kitto\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu response:	As I discover that intangible certainty Katachi no nai tashika na mono mitsukete
context: A bridge to connect our hearts Kokoro o tsunagu kake hashi\As you cross that bridge, Ano sanbashi no mukougawa e\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\Of that I'm certain Sou kitto\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete response:	Congratulations on your promotion to Prima, Alicia!
context: As you cross that bridge, Ano sanbashi no mukougawa e\Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\Of that I'm certain Sou kitto\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete\Congratulations on your promotion to Prima, Alicia! response:	Whenever I am blessed with kindness, Yasashisa ni meguriau toki
context: Look around, and you'll see the sun-dappled canal Furimukeba kirameku komorebi no michi\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\Of that I'm certain Sou kitto\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete\Congratulations on your promotion to Prima, Alicia!\Whenever I am blessed with kindness, Yasashisa ni meguriau toki response:	I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo
context: If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete\The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\Of that I'm certain Sou kitto\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete\Congratulations on your promotion to Prima, Alicia!\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo response:	It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita
context: The blue sky and the starry night will be here to greet you Aoi sora mo hoshizora mo mukaetekureru\Of that I'm certain Sou kitto\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete\Congratulations on your promotion to Prima, Alicia!\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita response:	If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete
context: Of that I'm certain Sou kitto\My heart races like the rhythm of the waves Takanaru kodou wa namima o utau rizumu\As I discover that intangible certainty Katachi no nai tashika na mono mitsukete\Congratulations on your promotion to Prima, Alicia!\Whenever I am blessed with kindness, Yasashisa ni meguriau toki\I can always feel the wind as it sweeps past Fukinukeru kaze wa itsudemo\It fades away in the distance, as I gently close my eyes Haruka tooku tokete yuku sotto me o tojita\If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete response:	If you visit here, come with open arms Kono basho ni otozureta nara ryoute hirogete uketomete Snow?
