context: <Don't catch a cold!> response:	<Hachoo!>
context: The one in Tokyo is called Hell's Gate,\and the one in Brazil, Heaven's Gate.\Near the gates there are unknown substances and phenomena beyond belief.\Thus, no one was able to go near them.\What are you doing?\People are looking at you.\So what? This isn't a macro lens.\I wasn't talking about that. response:	She meant your panties.
context: and the one in Brazil, Heaven's Gate.\Near the gates there are unknown substances and phenomena beyond belief.\Thus, no one was able to go near them.\What are you doing?\People are looking at you.\So what? This isn't a macro lens.\I wasn't talking about that.\She meant your panties. response:	I'm wearing tights! There's nothing to be embarrassed about!
context: Near the gates there are unknown substances and phenomena beyond belief.\Thus, no one was able to go near them.\What are you doing?\People are looking at you.\So what? This isn't a macro lens.\I wasn't talking about that.\She meant your panties.\I'm wearing tights! There's nothing to be embarrassed about! response:	Yes there is!
context: Thus, no one was able to go near them.\What are you doing?\People are looking at you.\So what? This isn't a macro lens.\I wasn't talking about that.\She meant your panties.\I'm wearing tights! There's nothing to be embarrassed about!\Yes there is! response:	The world has changed a lot.
context: What are you doing?\People are looking at you.\So what? This isn't a macro lens.\I wasn't talking about that.\She meant your panties.\I'm wearing tights! There's nothing to be embarrassed about!\Yes there is!\The world has changed a lot. response:	And there was a great war, too.
context: People are looking at you.\So what? This isn't a macro lens.\I wasn't talking about that.\She meant your panties.\I'm wearing tights! There's nothing to be embarrassed about!\Yes there is!\The world has changed a lot.\And there was a great war, too. response:	This area wasn't too affected by the war,
context: So what? This isn't a macro lens.\I wasn't talking about that.\She meant your panties.\I'm wearing tights! There's nothing to be embarrassed about!\Yes there is!\The world has changed a lot.\And there was a great war, too.\This area wasn't too affected by the war, response:	but the change has started here, too.
context: I wasn't talking about that.\She meant your panties.\I'm wearing tights! There's nothing to be embarrassed about!\Yes there is!\The world has changed a lot.\And there was a great war, too.\This area wasn't too affected by the war,\but the change has started here, too. response:	Hey!
context: She meant your panties.\I'm wearing tights! There's nothing to be embarrassed about!\Yes there is!\The world has changed a lot.\And there was a great war, too.\This area wasn't too affected by the war,\but the change has started here, too.\Hey! response:	What's wrong?
context: I'm wearing tights! There's nothing to be embarrassed about!\Yes there is!\The world has changed a lot.\And there was a great war, too.\This area wasn't too affected by the war,\but the change has started here, too.\Hey!\What's wrong? response:	I'm home, Bella.
context: Yes there is!\The world has changed a lot.\And there was a great war, too.\This area wasn't too affected by the war,\but the change has started here, too.\Hey!\What's wrong?\I'm home, Bella. response:	A stray cat was after Petya!
context: The world has changed a lot.\And there was a great war, too.\This area wasn't too affected by the war,\but the change has started here, too.\Hey!\What's wrong?\I'm home, Bella.\A stray cat was after Petya! response:	Yeah?
context: And there was a great war, too.\This area wasn't too affected by the war,\but the change has started here, too.\Hey!\What's wrong?\I'm home, Bella.\A stray cat was after Petya!\Yeah? response:	We have to be on guard, then.
context: This area wasn't too affected by the war,\but the change has started here, too.\Hey!\What's wrong?\I'm home, Bella.\A stray cat was after Petya!\Yeah?\We have to be on guard, then. response:	Sorry,
context: but the change has started here, too.\Hey!\What's wrong?\I'm home, Bella.\A stray cat was after Petya!\Yeah?\We have to be on guard, then.\Sorry, response:	the professor said he was busy again today, so he will be at the lab.
context: Hey!\What's wrong?\I'm home, Bella.\A stray cat was after Petya!\Yeah?\We have to be on guard, then.\Sorry,\the professor said he was busy again today, so he will be at the lab. response:	I made a lot of food, so make sure to eat all of it, okay?
context: What's wrong?\I'm home, Bella.\A stray cat was after Petya!\Yeah?\We have to be on guard, then.\Sorry,\the professor said he was busy again today, so he will be at the lab.\I made a lot of food, so make sure to eat all of it, okay? response:	I will.
context: I'm home, Bella.\A stray cat was after Petya!\Yeah?\We have to be on guard, then.\Sorry,\the professor said he was busy again today, so he will be at the lab.\I made a lot of food, so make sure to eat all of it, okay?\I will. response:	Oh, Bella! You know what happened?
context: A stray cat was after Petya!\Yeah?\We have to be on guard, then.\Sorry,\the professor said he was busy again today, so he will be at the lab.\I made a lot of food, so make sure to eat all of it, okay?\I will.\Oh, Bella! You know what happened? response:	Someone confessed to Tanya today!
context: Yeah?\We have to be on guard, then.\Sorry,\the professor said he was busy again today, so he will be at the lab.\I made a lot of food, so make sure to eat all of it, okay?\I will.\Oh, Bella! You know what happened?\Someone confessed to Tanya today! response:	Really? Who?
context: We have to be on guard, then.\Sorry,\the professor said he was busy again today, so he will be at the lab.\I made a lot of food, so make sure to eat all of it, okay?\I will.\Oh, Bella! You know what happened?\Someone confessed to Tanya today!\Really? Who? response:	It's Nika!
context: Sorry,\the professor said he was busy again today, so he will be at the lab.\I made a lot of food, so make sure to eat all of it, okay?\I will.\Oh, Bella! You know what happened?\Someone confessed to Tanya today!\Really? Who?\It's Nika! response:	Boy, that was a shocker!
context: the professor said he was busy again today, so he will be at the lab.\I made a lot of food, so make sure to eat all of it, okay?\I will.\Oh, Bella! You know what happened?\Someone confessed to Tanya today!\Really? Who?\It's Nika!\Boy, that was a shocker! response:	What? Really?
context: I made a lot of food, so make sure to eat all of it, okay?\I will.\Oh, Bella! You know what happened?\Someone confessed to Tanya today!\Really? Who?\It's Nika!\Boy, that was a shocker!\What? Really? response:	Isn't he your boyfriend?
context: I will.\Oh, Bella! You know what happened?\Someone confessed to Tanya today!\Really? Who?\It's Nika!\Boy, that was a shocker!\What? Really?\Isn't he your boyfriend? response:	No! Not at all!
context: Oh, Bella! You know what happened?\Someone confessed to Tanya today!\Really? Who?\It's Nika!\Boy, that was a shocker!\What? Really?\Isn't he your boyfriend?\No! Not at all! response:	Oh, yeah?
context: Someone confessed to Tanya today!\Really? Who?\It's Nika!\Boy, that was a shocker!\What? Really?\Isn't he your boyfriend?\No! Not at all!\Oh, yeah? response:	I was pretty sure about that.
context: Really? Who?\It's Nika!\Boy, that was a shocker!\What? Really?\Isn't he your boyfriend?\No! Not at all!\Oh, yeah?\I was pretty sure about that. response:	He isn't!
context: It's Nika!\Boy, that was a shocker!\What? Really?\Isn't he your boyfriend?\No! Not at all!\Oh, yeah?\I was pretty sure about that.\He isn't! response:	So, you have someone you like?
context: Boy, that was a shocker!\What? Really?\Isn't he your boyfriend?\No! Not at all!\Oh, yeah?\I was pretty sure about that.\He isn't!\So, you have someone you like? response:	I told you, I don't! Sheesh!
context: What? Really?\Isn't he your boyfriend?\No! Not at all!\Oh, yeah?\I was pretty sure about that.\He isn't!\So, you have someone you like?\I told you, I don't! Sheesh! response:	The true starry sky vanished when the gates appeared.
context: Isn't he your boyfriend?\No! Not at all!\Oh, yeah?\I was pretty sure about that.\He isn't!\So, you have someone you like?\I told you, I don't! Sheesh!\The true starry sky vanished when the gates appeared. response:	The sky we see now is fabricated.
context: No! Not at all!\Oh, yeah?\I was pretty sure about that.\He isn't!\So, you have someone you like?\I told you, I don't! Sheesh!\The true starry sky vanished when the gates appeared.\The sky we see now is fabricated. response:	And I know...
context: Oh, yeah?\I was pretty sure about that.\He isn't!\So, you have someone you like?\I told you, I don't! Sheesh!\The true starry sky vanished when the gates appeared.\The sky we see now is fabricated.\And I know... response:	That the stars in this sky are the lives of the contractors.
context: I was pretty sure about that.\He isn't!\So, you have someone you like?\I told you, I don't! Sheesh!\The true starry sky vanished when the gates appeared.\The sky we see now is fabricated.\And I know...\That the stars in this sky are the lives of the contractors. response:	It's me.
context: He isn't!\So, you have someone you like?\I told you, I don't! Sheesh!\The true starry sky vanished when the gates appeared.\The sky we see now is fabricated.\And I know...\That the stars in this sky are the lives of the contractors.\It's me. response:	I'm coming in.
context: So, you have someone you like?\I told you, I don't! Sheesh!\The true starry sky vanished when the gates appeared.\The sky we see now is fabricated.\And I know...\That the stars in this sky are the lives of the contractors.\It's me.\I'm coming in. response:	Yeah, sure.
context: I told you, I don't! Sheesh!\The true starry sky vanished when the gates appeared.\The sky we see now is fabricated.\And I know...\That the stars in this sky are the lives of the contractors.\It's me.\I'm coming in.\Yeah, sure. response:	Thanks, Shion.
context: The true starry sky vanished when the gates appeared.\The sky we see now is fabricated.\And I know...\That the stars in this sky are the lives of the contractors.\It's me.\I'm coming in.\Yeah, sure.\Thanks, Shion. response:	Love, huh?
context: The sky we see now is fabricated.\And I know...\That the stars in this sky are the lives of the contractors.\It's me.\I'm coming in.\Yeah, sure.\Thanks, Shion.\Love, huh? response:	That's one emotion that's hard to understand.
context: And I know...\That the stars in this sky are the lives of the contractors.\It's me.\I'm coming in.\Yeah, sure.\Thanks, Shion.\Love, huh?\That's one emotion that's hard to understand. response:	It's just a reaction caused by the secretion of hormones.
context: That the stars in this sky are the lives of the contractors.\It's me.\I'm coming in.\Yeah, sure.\Thanks, Shion.\Love, huh?\That's one emotion that's hard to understand.\It's just a reaction caused by the secretion of hormones. response:	But people still rely on it.
context: It's me.\I'm coming in.\Yeah, sure.\Thanks, Shion.\Love, huh?\That's one emotion that's hard to understand.\It's just a reaction caused by the secretion of hormones.\But people still rely on it. response:	That's not true!
context: I'm coming in.\Yeah, sure.\Thanks, Shion.\Love, huh?\That's one emotion that's hard to understand.\It's just a reaction caused by the secretion of hormones.\But people still rely on it.\That's not true! response:	It's a wonderful feeling!
context: Yeah, sure.\Thanks, Shion.\Love, huh?\That's one emotion that's hard to understand.\It's just a reaction caused by the secretion of hormones.\But people still rely on it.\That's not true!\It's a wonderful feeling! response:	W-What?
context: Thanks, Shion.\Love, huh?\That's one emotion that's hard to understand.\It's just a reaction caused by the secretion of hormones.\But people still rely on it.\That's not true!\It's a wonderful feeling!\W-What? response:	Nothing.
context: Love, huh?\That's one emotion that's hard to understand.\It's just a reaction caused by the secretion of hormones.\But people still rely on it.\That's not true!\It's a wonderful feeling!\W-What?\Nothing. response:	I was just thinking that you're blessed to be able to dream like that.
context: That's one emotion that's hard to understand.\It's just a reaction caused by the secretion of hormones.\But people still rely on it.\That's not true!\It's a wonderful feeling!\W-What?\Nothing.\I was just thinking that you're blessed to be able to dream like that. response:	What? Are you making fun of me?
context: It's just a reaction caused by the secretion of hormones.\But people still rely on it.\That's not true!\It's a wonderful feeling!\W-What?\Nothing.\I was just thinking that you're blessed to be able to dream like that.\What? Are you making fun of me? response:	Just saying people need to wake up from their dreams.
context: But people still rely on it.\That's not true!\It's a wonderful feeling!\W-What?\Nothing.\I was just thinking that you're blessed to be able to dream like that.\What? Are you making fun of me?\Just saying people need to wake up from their dreams. response:	Just like Mom and Dad.
context: That's not true!\It's a wonderful feeling!\W-What?\Nothing.\I was just thinking that you're blessed to be able to dream like that.\What? Are you making fun of me?\Just saying people need to wake up from their dreams.\Just like Mom and Dad. response:	Check this out. It's Mom's photo album.
context: It's a wonderful feeling!\W-What?\Nothing.\I was just thinking that you're blessed to be able to dream like that.\What? Are you making fun of me?\Just saying people need to wake up from their dreams.\Just like Mom and Dad.\Check this out. It's Mom's photo album. response:	Looks like she's doing well.
context: W-What?\Nothing.\I was just thinking that you're blessed to be able to dream like that.\What? Are you making fun of me?\Just saying people need to wake up from their dreams.\Just like Mom and Dad.\Check this out. It's Mom's photo album.\Looks like she's doing well. response:	Say, Shion.
context: Nothing.\I was just thinking that you're blessed to be able to dream like that.\What? Are you making fun of me?\Just saying people need to wake up from their dreams.\Just like Mom and Dad.\Check this out. It's Mom's photo album.\Looks like she's doing well.\Say, Shion. response:	Let's go to Japan and visit her one day.
context: I was just thinking that you're blessed to be able to dream like that.\What? Are you making fun of me?\Just saying people need to wake up from their dreams.\Just like Mom and Dad.\Check this out. It's Mom's photo album.\Looks like she's doing well.\Say, Shion.\Let's go to Japan and visit her one day. response:	Why?
context: What? Are you making fun of me?\Just saying people need to wake up from their dreams.\Just like Mom and Dad.\Check this out. It's Mom's photo album.\Looks like she's doing well.\Say, Shion.\Let's go to Japan and visit her one day.\Why? response:	Huh?
context: Just saying people need to wake up from their dreams.\Just like Mom and Dad.\Check this out. It's Mom's photo album.\Looks like she's doing well.\Say, Shion.\Let's go to Japan and visit her one day.\Why?\Huh? response:	She's a mere human who's absolutely unnecessary to me.
context: Just like Mom and Dad.\Check this out. It's Mom's photo album.\Looks like she's doing well.\Say, Shion.\Let's go to Japan and visit her one day.\Why?\Huh?\She's a mere human who's absolutely unnecessary to me. response:	Papa.
context: Check this out. It's Mom's photo album.\Looks like she's doing well.\Say, Shion.\Let's go to Japan and visit her one day.\Why?\Huh?\She's a mere human who's absolutely unnecessary to me.\Papa. response:	I told you not to stay too long in that room!
context: Looks like she's doing well.\Say, Shion.\Let's go to Japan and visit her one day.\Why?\Huh?\She's a mere human who's absolutely unnecessary to me.\Papa.\I told you not to stay too long in that room! response:	But, Papa, he's my little brother!
context: Say, Shion.\Let's go to Japan and visit her one day.\Why?\Huh?\She's a mere human who's absolutely unnecessary to me.\Papa.\I told you not to stay too long in that room!\But, Papa, he's my little brother! response:	My twin brother!
context: Let's go to Japan and visit her one day.\Why?\Huh?\She's a mere human who's absolutely unnecessary to me.\Papa.\I told you not to stay too long in that room!\But, Papa, he's my little brother!\My twin brother! response:	Shion doesn't care if you're family or his sister.
context: Why?\Huh?\She's a mere human who's absolutely unnecessary to me.\Papa.\I told you not to stay too long in that room!\But, Papa, he's my little brother!\My twin brother!\Shion doesn't care if you're family or his sister. response:	You'll just get hurt if you don't understand that.
context: Huh?\She's a mere human who's absolutely unnecessary to me.\Papa.\I told you not to stay too long in that room!\But, Papa, he's my little brother!\My twin brother!\Shion doesn't care if you're family or his sister.\You'll just get hurt if you don't understand that. response:	Why?! He's a part of our family!
context: She's a mere human who's absolutely unnecessary to me.\Papa.\I told you not to stay too long in that room!\But, Papa, he's my little brother!\My twin brother!\Shion doesn't care if you're family or his sister.\You'll just get hurt if you don't understand that.\Why?! He's a part of our family! response:	You still buy her albums?
context: Papa.\I told you not to stay too long in that room!\But, Papa, he's my little brother!\My twin brother!\Shion doesn't care if you're family or his sister.\You'll just get hurt if you don't understand that.\Why?! He's a part of our family!\You still buy her albums? response:	Mama is...
context: I told you not to stay too long in that room!\But, Papa, he's my little brother!\My twin brother!\Shion doesn't care if you're family or his sister.\You'll just get hurt if you don't understand that.\Why?! He's a part of our family!\You still buy her albums?\Mama is... response:	She's waiting!
context: But, Papa, he's my little brother!\My twin brother!\Shion doesn't care if you're family or his sister.\You'll just get hurt if you don't understand that.\Why?! He's a part of our family!\You still buy her albums?\Mama is...\She's waiting! response:	So-
context: My twin brother!\Shion doesn't care if you're family or his sister.\You'll just get hurt if you don't understand that.\Why?! He's a part of our family!\You still buy her albums?\Mama is...\She's waiting!\So- response:	Suou!
context: Shion doesn't care if you're family or his sister.\You'll just get hurt if you don't understand that.\Why?! He's a part of our family!\You still buy her albums?\Mama is...\She's waiting!\So-\Suou! response:	Wake up from your dream.
context: You'll just get hurt if you don't understand that.\Why?! He's a part of our family!\You still buy her albums?\Mama is...\She's waiting!\So-\Suou!\Wake up from your dream. response:	Time only moves forward.
context: Why?! He's a part of our family!\You still buy her albums?\Mama is...\She's waiting!\So-\Suou!\Wake up from your dream.\Time only moves forward. response:	There's no way back.
context: You still buy her albums?\Mama is...\She's waiting!\So-\Suou!\Wake up from your dream.\Time only moves forward.\There's no way back. response:	Suou!
context: Mama is...\She's waiting!\So-\Suou!\Wake up from your dream.\Time only moves forward.\There's no way back.\Suou! response:	Contractors don't have hearts.
context: She's waiting!\So-\Suou!\Wake up from your dream.\Time only moves forward.\There's no way back.\Suou!\Contractors don't have hearts. response:	What do you think, Petya?
context: So-\Suou!\Wake up from your dream.\Time only moves forward.\There's no way back.\Suou!\Contractors don't have hearts.\What do you think, Petya? response:	Hey!
context: Suou!\Wake up from your dream.\Time only moves forward.\There's no way back.\Suou!\Contractors don't have hearts.\What do you think, Petya?\Hey! response:	Petya!
context: Wake up from your dream.\Time only moves forward.\There's no way back.\Suou!\Contractors don't have hearts.\What do you think, Petya?\Hey!\Petya! response:	Episode 1 The Black Cat Doesn't Dream of Stars...
context: Time only moves forward.\There's no way back.\Suou!\Contractors don't have hearts.\What do you think, Petya?\Hey!\Petya!\Episode 1 The Black Cat Doesn't Dream of Stars... response:	There are several times in your life when your world changes overnight.
context: There's no way back.\Suou!\Contractors don't have hearts.\What do you think, Petya?\Hey!\Petya!\Episode 1 The Black Cat Doesn't Dream of Stars...\There are several times in your life when your world changes overnight. response:	Without warning or anything.
context: Suou!\Contractors don't have hearts.\What do you think, Petya?\Hey!\Petya!\Episode 1 The Black Cat Doesn't Dream of Stars...\There are several times in your life when your world changes overnight.\Without warning or anything. response:	What's wrong, Tanya?
context: Contractors don't have hearts.\What do you think, Petya?\Hey!\Petya!\Episode 1 The Black Cat Doesn't Dream of Stars...\There are several times in your life when your world changes overnight.\Without warning or anything.\What's wrong, Tanya? response:	It's not like you to be late.
context: What do you think, Petya?\Hey!\Petya!\Episode 1 The Black Cat Doesn't Dream of Stars...\There are several times in your life when your world changes overnight.\Without warning or anything.\What's wrong, Tanya?\It's not like you to be late. response:	It's nothing.
context: Hey!\Petya!\Episode 1 The Black Cat Doesn't Dream of Stars...\There are several times in your life when your world changes overnight.\Without warning or anything.\What's wrong, Tanya?\It's not like you to be late.\It's nothing. response:	Tanya!
context: Petya!\Episode 1 The Black Cat Doesn't Dream of Stars...\There are several times in your life when your world changes overnight.\Without warning or anything.\What's wrong, Tanya?\It's not like you to be late.\It's nothing.\Tanya! response:	Tanya!
context: Episode 1 The Black Cat Doesn't Dream of Stars...\There are several times in your life when your world changes overnight.\Without warning or anything.\What's wrong, Tanya?\It's not like you to be late.\It's nothing.\Tanya!\Tanya! response:	What's wrong?
context: There are several times in your life when your world changes overnight.\Without warning or anything.\What's wrong, Tanya?\It's not like you to be late.\It's nothing.\Tanya!\Tanya!\What's wrong? response:	Tanya's acting strange.
context: Without warning or anything.\What's wrong, Tanya?\It's not like you to be late.\It's nothing.\Tanya!\Tanya!\What's wrong?\Tanya's acting strange. response:	Tanya...
context: What's wrong, Tanya?\It's not like you to be late.\It's nothing.\Tanya!\Tanya!\What's wrong?\Tanya's acting strange.\Tanya... response:	Tanya!
context: It's not like you to be late.\It's nothing.\Tanya!\Tanya!\What's wrong?\Tanya's acting strange.\Tanya...\Tanya! response:	Wait!
context: It's nothing.\Tanya!\Tanya!\What's wrong?\Tanya's acting strange.\Tanya...\Tanya!\Wait! response:	Let go.
context: Tanya!\Tanya!\What's wrong?\Tanya's acting strange.\Tanya...\Tanya!\Wait!\Let go. response:	Hey! What's wrong with you?
context: Tanya!\What's wrong?\Tanya's acting strange.\Tanya...\Tanya!\Wait!\Let go.\Hey! What's wrong with you? response:	You didn't meet up with me this morning, either.
context: What's wrong?\Tanya's acting strange.\Tanya...\Tanya!\Wait!\Let go.\Hey! What's wrong with you?\You didn't meet up with me this morning, either. response:	Why?
context: Tanya's acting strange.\Tanya...\Tanya!\Wait!\Let go.\Hey! What's wrong with you?\You didn't meet up with me this morning, either.\Why? response:	Did I do something wrong?
context: Tanya...\Tanya!\Wait!\Let go.\Hey! What's wrong with you?\You didn't meet up with me this morning, either.\Why?\Did I do something wrong? response:	I realized it was pointless.
context: Tanya!\Wait!\Let go.\Hey! What's wrong with you?\You didn't meet up with me this morning, either.\Why?\Did I do something wrong?\I realized it was pointless. response:	How so?
context: Wait!\Let go.\Hey! What's wrong with you?\You didn't meet up with me this morning, either.\Why?\Did I do something wrong?\I realized it was pointless.\How so? response:	I don't even plan to bear your child,
context: Let go.\Hey! What's wrong with you?\You didn't meet up with me this morning, either.\Why?\Did I do something wrong?\I realized it was pointless.\How so?\I don't even plan to bear your child, response:	so going out is pointless.
context: Hey! What's wrong with you?\You didn't meet up with me this morning, either.\Why?\Did I do something wrong?\I realized it was pointless.\How so?\I don't even plan to bear your child,\so going out is pointless. response:	I didn't confess to you for that!
context: You didn't meet up with me this morning, either.\Why?\Did I do something wrong?\I realized it was pointless.\How so?\I don't even plan to bear your child,\so going out is pointless.\I didn't confess to you for that! response:	Then tell me.
context: Why?\Did I do something wrong?\I realized it was pointless.\How so?\I don't even plan to bear your child,\so going out is pointless.\I didn't confess to you for that!\Then tell me. response:	Get your act together!
context: Did I do something wrong?\I realized it was pointless.\How so?\I don't even plan to bear your child,\so going out is pointless.\I didn't confess to you for that!\Then tell me.\Get your act together! response:	What's wrong with you?!
context: I realized it was pointless.\How so?\I don't even plan to bear your child,\so going out is pointless.\I didn't confess to you for that!\Then tell me.\Get your act together!\What's wrong with you?! response:	If you don't let go...
context: How so?\I don't even plan to bear your child,\so going out is pointless.\I didn't confess to you for that!\Then tell me.\Get your act together!\What's wrong with you?!\If you don't let go... response:	Lancernopt synchrotron radiation...
context: I don't even plan to bear your child,\so going out is pointless.\I didn't confess to you for that!\Then tell me.\Get your act together!\What's wrong with you?!\If you don't let go...\Lancernopt synchrotron radiation... response:	Tanya!
context: so going out is pointless.\I didn't confess to you for that!\Then tell me.\Get your act together!\What's wrong with you?!\If you don't let go...\Lancernopt synchrotron radiation...\Tanya! response:	A-A contractor...
context: I didn't confess to you for that!\Then tell me.\Get your act together!\What's wrong with you?!\If you don't let go...\Lancernopt synchrotron radiation...\Tanya!\A-A contractor... response:	Teacher!
context: Then tell me.\Get your act together!\What's wrong with you?!\If you don't let go...\Lancernopt synchrotron radiation...\Tanya!\A-A contractor...\Teacher! response:	Tanya!
context: Get your act together!\What's wrong with you?!\If you don't let go...\Lancernopt synchrotron radiation...\Tanya!\A-A contractor...\Teacher!\Tanya! response:	There are no symptoms to indicate a person has transformed into a contractor.
context: What's wrong with you?!\If you don't let go...\Lancernopt synchrotron radiation...\Tanya!\A-A contractor...\Teacher!\Tanya!\There are no symptoms to indicate a person has transformed into a contractor. response:	It's sudden.
context: If you don't let go...\Lancernopt synchrotron radiation...\Tanya!\A-A contractor...\Teacher!\Tanya!\There are no symptoms to indicate a person has transformed into a contractor.\It's sudden. response:	The contractor's personality and behavioral patterns deteriorate remarkably and they end up causing a scene.
context: Lancernopt synchrotron radiation...\Tanya!\A-A contractor...\Teacher!\Tanya!\There are no symptoms to indicate a person has transformed into a contractor.\It's sudden.\The contractor's personality and behavioral patterns deteriorate remarkably and they end up causing a scene. response:	Soon after, the state agency takes the person into custody,
context: Tanya!\A-A contractor...\Teacher!\Tanya!\There are no symptoms to indicate a person has transformed into a contractor.\It's sudden.\The contractor's personality and behavioral patterns deteriorate remarkably and they end up causing a scene.\Soon after, the state agency takes the person into custody, response:	and they erase the memories of anyone who was in contact with the contractor
context: A-A contractor...\Teacher!\Tanya!\There are no symptoms to indicate a person has transformed into a contractor.\It's sudden.\The contractor's personality and behavioral patterns deteriorate remarkably and they end up causing a scene.\Soon after, the state agency takes the person into custody,\and they erase the memories of anyone who was in contact with the contractor response:	using the ME that Papa is researching.
context: Teacher!\Tanya!\There are no symptoms to indicate a person has transformed into a contractor.\It's sudden.\The contractor's personality and behavioral patterns deteriorate remarkably and they end up causing a scene.\Soon after, the state agency takes the person into custody,\and they erase the memories of anyone who was in contact with the contractor\using the ME that Papa is researching. response:	Tanya... don't...
context: Tanya!\There are no symptoms to indicate a person has transformed into a contractor.\It's sudden.\The contractor's personality and behavioral patterns deteriorate remarkably and they end up causing a scene.\Soon after, the state agency takes the person into custody,\and they erase the memories of anyone who was in contact with the contractor\using the ME that Papa is researching.\Tanya... don't... response:	Papa.
context: There are no symptoms to indicate a person has transformed into a contractor.\It's sudden.\The contractor's personality and behavioral patterns deteriorate remarkably and they end up causing a scene.\Soon after, the state agency takes the person into custody,\and they erase the memories of anyone who was in contact with the contractor\using the ME that Papa is researching.\Tanya... don't...\Papa. response:	Why are you here, Shion?
context: It's sudden.\The contractor's personality and behavioral patterns deteriorate remarkably and they end up causing a scene.\Soon after, the state agency takes the person into custody,\and they erase the memories of anyone who was in contact with the contractor\using the ME that Papa is researching.\Tanya... don't...\Papa.\Why are you here, Shion? response:	You've created quite a few secret passages in this house.
context: The contractor's personality and behavioral patterns deteriorate remarkably and they end up causing a scene.\Soon after, the state agency takes the person into custody,\and they erase the memories of anyone who was in contact with the contractor\using the ME that Papa is researching.\Tanya... don't...\Papa.\Why are you here, Shion?\You've created quite a few secret passages in this house. response:	So if either one of us was in danger, we could escape immediately.
context: Soon after, the state agency takes the person into custody,\and they erase the memories of anyone who was in contact with the contractor\using the ME that Papa is researching.\Tanya... don't...\Papa.\Why are you here, Shion?\You've created quite a few secret passages in this house.\So if either one of us was in danger, we could escape immediately. response:	It's time, Papa.
context: and they erase the memories of anyone who was in contact with the contractor\using the ME that Papa is researching.\Tanya... don't...\Papa.\Why are you here, Shion?\You've created quite a few secret passages in this house.\So if either one of us was in danger, we could escape immediately.\It's time, Papa. response:	You...
context: using the ME that Papa is researching.\Tanya... don't...\Papa.\Why are you here, Shion?\You've created quite a few secret passages in this house.\So if either one of us was in danger, we could escape immediately.\It's time, Papa.\You... response:	I have remunerated.
context: Tanya... don't...\Papa.\Why are you here, Shion?\You've created quite a few secret passages in this house.\So if either one of us was in danger, we could escape immediately.\It's time, Papa.\You...\I have remunerated. response:	Suou.
context: Papa.\Why are you here, Shion?\You've created quite a few secret passages in this house.\So if either one of us was in danger, we could escape immediately.\It's time, Papa.\You...\I have remunerated.\Suou. response:	Shion!
context: Why are you here, Shion?\You've created quite a few secret passages in this house.\So if either one of us was in danger, we could escape immediately.\It's time, Papa.\You...\I have remunerated.\Suou.\Shion! response:	Come to my room, Suou.
context: You've created quite a few secret passages in this house.\So if either one of us was in danger, we could escape immediately.\It's time, Papa.\You...\I have remunerated.\Suou.\Shion!\Come to my room, Suou. response:	Bella?
context: So if either one of us was in danger, we could escape immediately.\It's time, Papa.\You...\I have remunerated.\Suou.\Shion!\Come to my room, Suou.\Bella? response:	Freeze!
context: It's time, Papa.\You...\I have remunerated.\Suou.\Shion!\Come to my room, Suou.\Bella?\Freeze! response:	All activities at this laboratory will be halted.
context: You...\I have remunerated.\Suou.\Shion!\Come to my room, Suou.\Bella?\Freeze!\All activities at this laboratory will be halted. response:	Don't touch anything.
context: I have remunerated.\Suou.\Shion!\Come to my room, Suou.\Bella?\Freeze!\All activities at this laboratory will be halted.\Don't touch anything. response:	Change.
context: Suou.\Shion!\Come to my room, Suou.\Bella?\Freeze!\All activities at this laboratory will be halted.\Don't touch anything.\Change. response:	You won't stand out with my clothes.
context: Shion!\Come to my room, Suou.\Bella?\Freeze!\All activities at this laboratory will be halted.\Don't touch anything.\Change.\You won't stand out with my clothes. response:	That's a charm.
context: Come to my room, Suou.\Bella?\Freeze!\All activities at this laboratory will be halted.\Don't touch anything.\Change.\You won't stand out with my clothes.\That's a charm. response:	Always carry it.
context: Bella?\Freeze!\All activities at this laboratory will be halted.\Don't touch anything.\Change.\You won't stand out with my clothes.\That's a charm.\Always carry it. response:	Shion?
context: Freeze!\All activities at this laboratory will be halted.\Don't touch anything.\Change.\You won't stand out with my clothes.\That's a charm.\Always carry it.\Shion? response:	As long as you have it, we will meet again.
context: All activities at this laboratory will be halted.\Don't touch anything.\Change.\You won't stand out with my clothes.\That's a charm.\Always carry it.\Shion?\As long as you have it, we will meet again. response:	Get out of the lab.
context: Don't touch anything.\Change.\You won't stand out with my clothes.\That's a charm.\Always carry it.\Shion?\As long as you have it, we will meet again.\Get out of the lab. response:	Bella knows the escape route.
context: Change.\You won't stand out with my clothes.\That's a charm.\Always carry it.\Shion?\As long as you have it, we will meet again.\Get out of the lab.\Bella knows the escape route. response:	Bella?
context: You won't stand out with my clothes.\That's a charm.\Always carry it.\Shion?\As long as you have it, we will meet again.\Get out of the lab.\Bella knows the escape route.\Bella? response:	What do you mean, Shion?
context: That's a charm.\Always carry it.\Shion?\As long as you have it, we will meet again.\Get out of the lab.\Bella knows the escape route.\Bella?\What do you mean, Shion? response:	What's going on here?
context: Always carry it.\Shion?\As long as you have it, we will meet again.\Get out of the lab.\Bella knows the escape route.\Bella?\What do you mean, Shion?\What's going on here? response:	They're not after me?
