context: We're about to enter Tokyo airspace. Three minutes until the drop point. response:	Open the hatch.
context: His diving suit should have a small emergency tank, am I right?\If he uses that, he should be able to cut the hose and escape.\There's a switch on the helmet.\He has to figure it out for himself.\So don't interfere.\What?!\You're just gonna let him die?!\You're scum! response:	Hurry up and help him!
context: If he uses that, he should be able to cut the hose and escape.\There's a switch on the helmet.\He has to figure it out for himself.\So don't interfere.\What?!\You're just gonna let him die?!\You're scum!\Hurry up and help him! response:	We can't go around wasting resources on a Rank F.
context: There's a switch on the helmet.\He has to figure it out for himself.\So don't interfere.\What?!\You're just gonna let him die?!\You're scum!\Hurry up and help him!\We can't go around wasting resources on a Rank F. response:	What was that, little Void Prince?!
context: He has to figure it out for himself.\So don't interfere.\What?!\You're just gonna let him die?!\You're scum!\Hurry up and help him!\We can't go around wasting resources on a Rank F.\What was that, little Void Prince?! response:	Don't come any closer.
context: So don't interfere.\What?!\You're just gonna let him die?!\You're scum!\Hurry up and help him!\We can't go around wasting resources on a Rank F.\What was that, little Void Prince?!\Don't come any closer. response:	Do you understand the situation? If Shu becomes symptomatic, it's all over.
context: What?!\You're just gonna let him die?!\You're scum!\Hurry up and help him!\We can't go around wasting resources on a Rank F.\What was that, little Void Prince?!\Don't come any closer.\Do you understand the situation? If Shu becomes symptomatic, it's all over. response:	Hey, cut the bullshit, Shu!
context: You're just gonna let him die?!\You're scum!\Hurry up and help him!\We can't go around wasting resources on a Rank F.\What was that, little Void Prince?!\Don't come any closer.\Do you understand the situation? If Shu becomes symptomatic, it's all over.\Hey, cut the bullshit, Shu! response:	Argo! You're going to ignore my orders?!
context: You're scum!\Hurry up and help him!\We can't go around wasting resources on a Rank F.\What was that, little Void Prince?!\Don't come any closer.\Do you understand the situation? If Shu becomes symptomatic, it's all over.\Hey, cut the bullshit, Shu!\Argo! You're going to ignore my orders?! response:	Damn straight, you dumbass!
context: Hurry up and help him!\We can't go around wasting resources on a Rank F.\What was that, little Void Prince?!\Don't come any closer.\Do you understand the situation? If Shu becomes symptomatic, it's all over.\Hey, cut the bullshit, Shu!\Argo! You're going to ignore my orders?!\Damn straight, you dumbass! response:	You're just Shu, so don't order me around like some big-shot!
context: We can't go around wasting resources on a Rank F.\What was that, little Void Prince?!\Don't come any closer.\Do you understand the situation? If Shu becomes symptomatic, it's all over.\Hey, cut the bullshit, Shu!\Argo! You're going to ignore my orders?!\Damn straight, you dumbass!\You're just Shu, so don't order me around like some big-shot! response:	Argo...
context: What was that, little Void Prince?!\Don't come any closer.\Do you understand the situation? If Shu becomes symptomatic, it's all over.\Hey, cut the bullshit, Shu!\Argo! You're going to ignore my orders?!\Damn straight, you dumbass!\You're just Shu, so don't order me around like some big-shot!\Argo... response:	We're currently planning an escape from Tokyo.
context: Don't come any closer.\Do you understand the situation? If Shu becomes symptomatic, it's all over.\Hey, cut the bullshit, Shu!\Argo! You're going to ignore my orders?!\Damn straight, you dumbass!\You're just Shu, so don't order me around like some big-shot!\Argo...\We're currently planning an escape from Tokyo. response:	To do that, we need everyone to work together toward the goal.
context: Do you understand the situation? If Shu becomes symptomatic, it's all over.\Hey, cut the bullshit, Shu!\Argo! You're going to ignore my orders?!\Damn straight, you dumbass!\You're just Shu, so don't order me around like some big-shot!\Argo...\We're currently planning an escape from Tokyo.\To do that, we need everyone to work together toward the goal. response:	There are no exceptions.
context: Hey, cut the bullshit, Shu!\Argo! You're going to ignore my orders?!\Damn straight, you dumbass!\You're just Shu, so don't order me around like some big-shot!\Argo...\We're currently planning an escape from Tokyo.\To do that, we need everyone to work together toward the goal.\There are no exceptions. response:	What about these guys, then?
context: Argo! You're going to ignore my orders?!\Damn straight, you dumbass!\You're just Shu, so don't order me around like some big-shot!\Argo...\We're currently planning an escape from Tokyo.\To do that, we need everyone to work together toward the goal.\There are no exceptions.\What about these guys, then? response:	Why are you discriminating against them?
context: Damn straight, you dumbass!\You're just Shu, so don't order me around like some big-shot!\Argo...\We're currently planning an escape from Tokyo.\To do that, we need everyone to work together toward the goal.\There are no exceptions.\What about these guys, then?\Why are you discriminating against them? response:	We're distinguishing.
context: You're just Shu, so don't order me around like some big-shot!\Argo...\We're currently planning an escape from Tokyo.\To do that, we need everyone to work together toward the goal.\There are no exceptions.\What about these guys, then?\Why are you discriminating against them?\We're distinguishing. response:	Under these circumstances, we can't afford to be egalitarian.
context: Argo...\We're currently planning an escape from Tokyo.\To do that, we need everyone to work together toward the goal.\There are no exceptions.\What about these guys, then?\Why are you discriminating against them?\We're distinguishing.\Under these circumstances, we can't afford to be egalitarian. response:	And we won't be handing over Kuhouin.
context: We're currently planning an escape from Tokyo.\To do that, we need everyone to work together toward the goal.\There are no exceptions.\What about these guys, then?\Why are you discriminating against them?\We're distinguishing.\Under these circumstances, we can't afford to be egalitarian.\And we won't be handing over Kuhouin. response:	She has an exceptional Void.
context: To do that, we need everyone to work together toward the goal.\There are no exceptions.\What about these guys, then?\Why are you discriminating against them?\We're distinguishing.\Under these circumstances, we can't afford to be egalitarian.\And we won't be handing over Kuhouin.\She has an exceptional Void. response:	Not to mention, there's no way we'd let one person escape alone.
context: There are no exceptions.\What about these guys, then?\Why are you discriminating against them?\We're distinguishing.\Under these circumstances, we can't afford to be egalitarian.\And we won't be handing over Kuhouin.\She has an exceptional Void.\Not to mention, there's no way we'd let one person escape alone. response:	Please swear obedience to me.
context: What about these guys, then?\Why are you discriminating against them?\We're distinguishing.\Under these circumstances, we can't afford to be egalitarian.\And we won't be handing over Kuhouin.\She has an exceptional Void.\Not to mention, there's no way we'd let one person escape alone.\Please swear obedience to me. response:	Or else...
context: Why are you discriminating against them?\We're distinguishing.\Under these circumstances, we can't afford to be egalitarian.\And we won't be handing over Kuhouin.\She has an exceptional Void.\Not to mention, there's no way we'd let one person escape alone.\Please swear obedience to me.\Or else... response:	Do what you want.
context: We're distinguishing.\Under these circumstances, we can't afford to be egalitarian.\And we won't be handing over Kuhouin.\She has an exceptional Void.\Not to mention, there's no way we'd let one person escape alone.\Please swear obedience to me.\Or else...\Do what you want. response:	The way you are now, I'd die of the cancer before I ever obeyed you.
context: Under these circumstances, we can't afford to be egalitarian.\And we won't be handing over Kuhouin.\She has an exceptional Void.\Not to mention, there's no way we'd let one person escape alone.\Please swear obedience to me.\Or else...\Do what you want.\The way you are now, I'd die of the cancer before I ever obeyed you. response:	Restrain him.
context: And we won't be handing over Kuhouin.\She has an exceptional Void.\Not to mention, there's no way we'd let one person escape alone.\Please swear obedience to me.\Or else...\Do what you want.\The way you are now, I'd die of the cancer before I ever obeyed you.\Restrain him. response:	Yes, Sir.
context: She has an exceptional Void.\Not to mention, there's no way we'd let one person escape alone.\Please swear obedience to me.\Or else...\Do what you want.\The way you are now, I'd die of the cancer before I ever obeyed you.\Restrain him.\Yes, Sir. response:	Inori, you've switched to doing whatever Shu wants now?
context: Not to mention, there's no way we'd let one person escape alone.\Please swear obedience to me.\Or else...\Do what you want.\The way you are now, I'd die of the cancer before I ever obeyed you.\Restrain him.\Yes, Sir.\Inori, you've switched to doing whatever Shu wants now? response:	No. This was my choice.
context: Please swear obedience to me.\Or else...\Do what you want.\The way you are now, I'd die of the cancer before I ever obeyed you.\Restrain him.\Yes, Sir.\Inori, you've switched to doing whatever Shu wants now?\No. This was my choice. response:	Put a watch on Kuhouin, just in case.
context: Or else...\Do what you want.\The way you are now, I'd die of the cancer before I ever obeyed you.\Restrain him.\Yes, Sir.\Inori, you've switched to doing whatever Shu wants now?\No. This was my choice.\Put a watch on Kuhouin, just in case. response:	Yes, Sir.
context: Do what you want.\The way you are now, I'd die of the cancer before I ever obeyed you.\Restrain him.\Yes, Sir.\Inori, you've switched to doing whatever Shu wants now?\No. This was my choice.\Put a watch on Kuhouin, just in case.\Yes, Sir. response:	Damn, he pisses me off!
context: The way you are now, I'd die of the cancer before I ever obeyed you.\Restrain him.\Yes, Sir.\Inori, you've switched to doing whatever Shu wants now?\No. This was my choice.\Put a watch on Kuhouin, just in case.\Yes, Sir.\Damn, he pisses me off! response:	Who the hell does Shu think he is?!
context: Restrain him.\Yes, Sir.\Inori, you've switched to doing whatever Shu wants now?\No. This was my choice.\Put a watch on Kuhouin, just in case.\Yes, Sir.\Damn, he pisses me off!\Who the hell does Shu think he is?! response:	Acting like an arrogant little shit...
context: Yes, Sir.\Inori, you've switched to doing whatever Shu wants now?\No. This was my choice.\Put a watch on Kuhouin, just in case.\Yes, Sir.\Damn, he pisses me off!\Who the hell does Shu think he is?!\Acting like an arrogant little shit... response:	There was a girl who died.
context: Inori, you've switched to doing whatever Shu wants now?\No. This was my choice.\Put a watch on Kuhouin, just in case.\Yes, Sir.\Damn, he pisses me off!\Who the hell does Shu think he is?!\Acting like an arrogant little shit...\There was a girl who died. response:	That you, Tsugumi?
context: No. This was my choice.\Put a watch on Kuhouin, just in case.\Yes, Sir.\Damn, he pisses me off!\Who the hell does Shu think he is?!\Acting like an arrogant little shit...\There was a girl who died.\That you, Tsugumi? response:	Aye.
context: Put a watch on Kuhouin, just in case.\Yes, Sir.\Damn, he pisses me off!\Who the hell does Shu think he is?!\Acting like an arrogant little shit...\There was a girl who died.\That you, Tsugumi?\Aye. response:	Long time no see, Argo.
context: Yes, Sir.\Damn, he pisses me off!\Who the hell does Shu think he is?!\Acting like an arrogant little shit...\There was a girl who died.\That you, Tsugumi?\Aye.\Long time no see, Argo. response:	I'd heard that you joined up with Tennozu, but...
context: Damn, he pisses me off!\Who the hell does Shu think he is?!\Acting like an arrogant little shit...\There was a girl who died.\That you, Tsugumi?\Aye.\Long time no see, Argo.\I'd heard that you joined up with Tennozu, but... response:	Is Ayase with you?
context: Who the hell does Shu think he is?!\Acting like an arrogant little shit...\There was a girl who died.\That you, Tsugumi?\Aye.\Long time no see, Argo.\I'd heard that you joined up with Tennozu, but...\Is Ayase with you? response:	Nay.
context: Acting like an arrogant little shit...\There was a girl who died.\That you, Tsugumi?\Aye.\Long time no see, Argo.\I'd heard that you joined up with Tennozu, but...\Is Ayase with you?\Nay. response:	The moment Aya heard that you'd been captured...
context: There was a girl who died.\That you, Tsugumi?\Aye.\Long time no see, Argo.\I'd heard that you joined up with Tennozu, but...\Is Ayase with you?\Nay.\The moment Aya heard that you'd been captured... response:	What do you think you're doing?
context: That you, Tsugumi?\Aye.\Long time no see, Argo.\I'd heard that you joined up with Tennozu, but...\Is Ayase with you?\Nay.\The moment Aya heard that you'd been captured...\What do you think you're doing? response:	The rules say that's what happens when someone disobeys my orders.
context: Aye.\Long time no see, Argo.\I'd heard that you joined up with Tennozu, but...\Is Ayase with you?\Nay.\The moment Aya heard that you'd been captured...\What do you think you're doing?\The rules say that's what happens when someone disobeys my orders. response:	It'd set a bad example if I made an exception just because he used to be one of my own.
context: Long time no see, Argo.\I'd heard that you joined up with Tennozu, but...\Is Ayase with you?\Nay.\The moment Aya heard that you'd been captured...\What do you think you're doing?\The rules say that's what happens when someone disobeys my orders.\It'd set a bad example if I made an exception just because he used to be one of my own. response:	I get that you're hurting because Hare died, but what you've done is just...
context: I'd heard that you joined up with Tennozu, but...\Is Ayase with you?\Nay.\The moment Aya heard that you'd been captured...\What do you think you're doing?\The rules say that's what happens when someone disobeys my orders.\It'd set a bad example if I made an exception just because he used to be one of my own.\I get that you're hurting because Hare died, but what you've done is just... response:	You get it?
context: Is Ayase with you?\Nay.\The moment Aya heard that you'd been captured...\What do you think you're doing?\The rules say that's what happens when someone disobeys my orders.\It'd set a bad example if I made an exception just because he used to be one of my own.\I get that you're hurting because Hare died, but what you've done is just...\You get it? response:	You read people's hearts that easily, huh?
context: Nay.\The moment Aya heard that you'd been captured...\What do you think you're doing?\The rules say that's what happens when someone disobeys my orders.\It'd set a bad example if I made an exception just because he used to be one of my own.\I get that you're hurting because Hare died, but what you've done is just...\You get it?\You read people's hearts that easily, huh? response:	I'm glad no one else is around.
context: The moment Aya heard that you'd been captured...\What do you think you're doing?\The rules say that's what happens when someone disobeys my orders.\It'd set a bad example if I made an exception just because he used to be one of my own.\I get that you're hurting because Hare died, but what you've done is just...\You get it?\You read people's hearts that easily, huh?\I'm glad no one else is around. response:	If anyone had seen that,
context: What do you think you're doing?\The rules say that's what happens when someone disobeys my orders.\It'd set a bad example if I made an exception just because he used to be one of my own.\I get that you're hurting because Hare died, but what you've done is just...\You get it?\You read people's hearts that easily, huh?\I'm glad no one else is around.\If anyone had seen that, response:	I would've had to punish you, Rank S or not.
context: The rules say that's what happens when someone disobeys my orders.\It'd set a bad example if I made an exception just because he used to be one of my own.\I get that you're hurting because Hare died, but what you've done is just...\You get it?\You read people's hearts that easily, huh?\I'm glad no one else is around.\If anyone had seen that,\I would've had to punish you, Rank S or not. response:	He's totally messed up.
context: It'd set a bad example if I made an exception just because he used to be one of my own.\I get that you're hurting because Hare died, but what you've done is just...\You get it?\You read people's hearts that easily, huh?\I'm glad no one else is around.\If anyone had seen that,\I would've had to punish you, Rank S or not.\He's totally messed up. response:	Why's everyone going along with this?
context: I get that you're hurting because Hare died, but what you've done is just...\You get it?\You read people's hearts that easily, huh?\I'm glad no one else is around.\If anyone had seen that,\I would've had to punish you, Rank S or not.\He's totally messed up.\Why's everyone going along with this? response:	To put it simply, it's fear.
context: You get it?\You read people's hearts that easily, huh?\I'm glad no one else is around.\If anyone had seen that,\I would've had to punish you, Rank S or not.\He's totally messed up.\Why's everyone going along with this?\To put it simply, it's fear. response:	The stress from the red line steadily closing in,
context: You read people's hearts that easily, huh?\I'm glad no one else is around.\If anyone had seen that,\I would've had to punish you, Rank S or not.\He's totally messed up.\Why's everyone going along with this?\To put it simply, it's fear.\The stress from the red line steadily closing in, response:	fear of the Apocalypse Virus,
context: I'm glad no one else is around.\If anyone had seen that,\I would've had to punish you, Rank S or not.\He's totally messed up.\Why's everyone going along with this?\To put it simply, it's fear.\The stress from the red line steadily closing in,\fear of the Apocalypse Virus, response:	and the rampant violence and looting...
context: If anyone had seen that,\I would've had to punish you, Rank S or not.\He's totally messed up.\Why's everyone going along with this?\To put it simply, it's fear.\The stress from the red line steadily closing in,\fear of the Apocalypse Virus,\and the rampant violence and looting... response:	Against that backdrop, the power of the Voids is just too clear-cut.
context: I would've had to punish you, Rank S or not.\He's totally messed up.\Why's everyone going along with this?\To put it simply, it's fear.\The stress from the red line steadily closing in,\fear of the Apocalypse Virus,\and the rampant violence and looting...\Against that backdrop, the power of the Voids is just too clear-cut. response:	When Shu decided to become king, it took less than a second.
context: He's totally messed up.\Why's everyone going along with this?\To put it simply, it's fear.\The stress from the red line steadily closing in,\fear of the Apocalypse Virus,\and the rampant violence and looting...\Against that backdrop, the power of the Voids is just too clear-cut.\When Shu decided to become king, it took less than a second. response:	A kingdom by the Voids and for the Voids...
context: Why's everyone going along with this?\To put it simply, it's fear.\The stress from the red line steadily closing in,\fear of the Apocalypse Virus,\and the rampant violence and looting...\Against that backdrop, the power of the Voids is just too clear-cut.\When Shu decided to become king, it took less than a second.\A kingdom by the Voids and for the Voids... response:	That's what this school is right now.
context: To put it simply, it's fear.\The stress from the red line steadily closing in,\fear of the Apocalypse Virus,\and the rampant violence and looting...\Against that backdrop, the power of the Voids is just too clear-cut.\When Shu decided to become king, it took less than a second.\A kingdom by the Voids and for the Voids...\That's what this school is right now. response:	Damn it!
context: The stress from the red line steadily closing in,\fear of the Apocalypse Virus,\and the rampant violence and looting...\Against that backdrop, the power of the Voids is just too clear-cut.\When Shu decided to become king, it took less than a second.\A kingdom by the Voids and for the Voids...\That's what this school is right now.\Damn it! response:	Hey, Mana...
context: fear of the Apocalypse Virus,\and the rampant violence and looting...\Against that backdrop, the power of the Voids is just too clear-cut.\When Shu decided to become king, it took less than a second.\A kingdom by the Voids and for the Voids...\That's what this school is right now.\Damn it!\Hey, Mana... response:	She's collecting your shards with all he's got right now.
context: and the rampant violence and looting...\Against that backdrop, the power of the Voids is just too clear-cut.\When Shu decided to become king, it took less than a second.\A kingdom by the Voids and for the Voids...\That's what this school is right now.\Damn it!\Hey, Mana...\She's collecting your shards with all he's got right now. response:	It looks like he's finally started to fulfill his potential.
context: Against that backdrop, the power of the Voids is just too clear-cut.\When Shu decided to become king, it took less than a second.\A kingdom by the Voids and for the Voids...\That's what this school is right now.\Damn it!\Hey, Mana...\She's collecting your shards with all he's got right now.\It looks like he's finally started to fulfill his potential. response:	It's not enough, though.
context: When Shu decided to become king, it took less than a second.\A kingdom by the Voids and for the Voids...\That's what this school is right now.\Damn it!\Hey, Mana...\She's collecting your shards with all he's got right now.\It looks like he's finally started to fulfill his potential.\It's not enough, though. response:	More...
context: A kingdom by the Voids and for the Voids...\That's what this school is right now.\Damn it!\Hey, Mana...\She's collecting your shards with all he's got right now.\It looks like he's finally started to fulfill his potential.\It's not enough, though.\More... response:	We have to keep up the pressure.
context: That's what this school is right now.\Damn it!\Hey, Mana...\She's collecting your shards with all he's got right now.\It looks like he's finally started to fulfill his potential.\It's not enough, though.\More...\We have to keep up the pressure. response:	It's going according to plan, then.
context: Damn it!\Hey, Mana...\She's collecting your shards with all he's got right now.\It looks like he's finally started to fulfill his potential.\It's not enough, though.\More...\We have to keep up the pressure.\It's going according to plan, then. response:	As the line advances, it appears many youth are joining forces with Tennozu.
context: Hey, Mana...\She's collecting your shards with all he's got right now.\It looks like he's finally started to fulfill his potential.\It's not enough, though.\More...\We have to keep up the pressure.\It's going according to plan, then.\As the line advances, it appears many youth are joining forces with Tennozu. response:	They're collecting Voids, aren't they?
context: She's collecting your shards with all he's got right now.\It looks like he's finally started to fulfill his potential.\It's not enough, though.\More...\We have to keep up the pressure.\It's going according to plan, then.\As the line advances, it appears many youth are joining forces with Tennozu.\They're collecting Voids, aren't they? response:	First, you surprised me with the Ghost unit, and now this.
context: It looks like he's finally started to fulfill his potential.\It's not enough, though.\More...\We have to keep up the pressure.\It's going according to plan, then.\As the line advances, it appears many youth are joining forces with Tennozu.\They're collecting Voids, aren't they?\First, you surprised me with the Ghost unit, and now this. response:	Your motherly love is quite harsh, isn't it, Dr. Ouma?
context: It's not enough, though.\More...\We have to keep up the pressure.\It's going according to plan, then.\As the line advances, it appears many youth are joining forces with Tennozu.\They're collecting Voids, aren't they?\First, you surprised me with the Ghost unit, and now this.\Your motherly love is quite harsh, isn't it, Dr. Ouma? response:	I'm only doing what's necessary,
context: More...\We have to keep up the pressure.\It's going according to plan, then.\As the line advances, it appears many youth are joining forces with Tennozu.\They're collecting Voids, aren't they?\First, you surprised me with the Ghost unit, and now this.\Your motherly love is quite harsh, isn't it, Dr. Ouma?\I'm only doing what's necessary, response:	as the one carrying out his... Kurosu's wishes.
context: We have to keep up the pressure.\It's going according to plan, then.\As the line advances, it appears many youth are joining forces with Tennozu.\They're collecting Voids, aren't they?\First, you surprised me with the Ghost unit, and now this.\Your motherly love is quite harsh, isn't it, Dr. Ouma?\I'm only doing what's necessary,\as the one carrying out his... Kurosu's wishes. response:	You're still here?
context: It's going according to plan, then.\As the line advances, it appears many youth are joining forces with Tennozu.\They're collecting Voids, aren't they?\First, you surprised me with the Ghost unit, and now this.\Your motherly love is quite harsh, isn't it, Dr. Ouma?\I'm only doing what's necessary,\as the one carrying out his... Kurosu's wishes.\You're still here? response:	Address any complaints to the Void Prince, please.
context: As the line advances, it appears many youth are joining forces with Tennozu.\They're collecting Voids, aren't they?\First, you surprised me with the Ghost unit, and now this.\Your motherly love is quite harsh, isn't it, Dr. Ouma?\I'm only doing what's necessary,\as the one carrying out his... Kurosu's wishes.\You're still here?\Address any complaints to the Void Prince, please. response:	I heard a member of the Undertakers was captured.
context: They're collecting Voids, aren't they?\First, you surprised me with the Ghost unit, and now this.\Your motherly love is quite harsh, isn't it, Dr. Ouma?\I'm only doing what's necessary,\as the one carrying out his... Kurosu's wishes.\You're still here?\Address any complaints to the Void Prince, please.\I heard a member of the Undertakers was captured. response:	I believe that I have the right to interview him.
context: First, you surprised me with the Ghost unit, and now this.\Your motherly love is quite harsh, isn't it, Dr. Ouma?\I'm only doing what's necessary,\as the one carrying out his... Kurosu's wishes.\You're still here?\Address any complaints to the Void Prince, please.\I heard a member of the Undertakers was captured.\I believe that I have the right to interview him. response:	The prince is nervous about what you're up to.
context: Your motherly love is quite harsh, isn't it, Dr. Ouma?\I'm only doing what's necessary,\as the one carrying out his... Kurosu's wishes.\You're still here?\Address any complaints to the Void Prince, please.\I heard a member of the Undertakers was captured.\I believe that I have the right to interview him.\The prince is nervous about what you're up to. response:	If you get too meddlesome, you'll be taken down for real.
context: I'm only doing what's necessary,\as the one carrying out his... Kurosu's wishes.\You're still here?\Address any complaints to the Void Prince, please.\I heard a member of the Undertakers was captured.\I believe that I have the right to interview him.\The prince is nervous about what you're up to.\If you get too meddlesome, you'll be taken down for real. response:	But I can protect you.
context: as the one carrying out his... Kurosu's wishes.\You're still here?\Address any complaints to the Void Prince, please.\I heard a member of the Undertakers was captured.\I believe that I have the right to interview him.\The prince is nervous about what you're up to.\If you get too meddlesome, you'll be taken down for real.\But I can protect you. response:	Never underestimate a Kuhouin.
context: You're still here?\Address any complaints to the Void Prince, please.\I heard a member of the Undertakers was captured.\I believe that I have the right to interview him.\The prince is nervous about what you're up to.\If you get too meddlesome, you'll be taken down for real.\But I can protect you.\Never underestimate a Kuhouin. response:	Hey, Yahiro... Did Hare really die because of a new weapon?
context: Address any complaints to the Void Prince, please.\I heard a member of the Undertakers was captured.\I believe that I have the right to interview him.\The prince is nervous about what you're up to.\If you get too meddlesome, you'll be taken down for real.\But I can protect you.\Never underestimate a Kuhouin.\Hey, Yahiro... Did Hare really die because of a new weapon? response:	Yes. Why do you ask?
context: I heard a member of the Undertakers was captured.\I believe that I have the right to interview him.\The prince is nervous about what you're up to.\If you get too meddlesome, you'll be taken down for real.\But I can protect you.\Never underestimate a Kuhouin.\Hey, Yahiro... Did Hare really die because of a new weapon?\Yes. Why do you ask? response:	There's a rumor.
context: I believe that I have the right to interview him.\The prince is nervous about what you're up to.\If you get too meddlesome, you'll be taken down for real.\But I can protect you.\Never underestimate a Kuhouin.\Hey, Yahiro... Did Hare really die because of a new weapon?\Yes. Why do you ask?\There's a rumor. response:	They're saying maybe Hare died because her Void was...
context: The prince is nervous about what you're up to.\If you get too meddlesome, you'll be taken down for real.\But I can protect you.\Never underestimate a Kuhouin.\Hey, Yahiro... Did Hare really die because of a new weapon?\Yes. Why do you ask?\There's a rumor.\They're saying maybe Hare died because her Void was... response:	Watch what you say.
context: If you get too meddlesome, you'll be taken down for real.\But I can protect you.\Never underestimate a Kuhouin.\Hey, Yahiro... Did Hare really die because of a new weapon?\Yes. Why do you ask?\There's a rumor.\They're saying maybe Hare died because her Void was...\Watch what you say. response:	If you hear anyone spreading those lies, you tell me.
context: But I can protect you.\Never underestimate a Kuhouin.\Hey, Yahiro... Did Hare really die because of a new weapon?\Yes. Why do you ask?\There's a rumor.\They're saying maybe Hare died because her Void was...\Watch what you say.\If you hear anyone spreading those lies, you tell me. response:	Got it?
context: Never underestimate a Kuhouin.\Hey, Yahiro... Did Hare really die because of a new weapon?\Yes. Why do you ask?\There's a rumor.\They're saying maybe Hare died because her Void was...\Watch what you say.\If you hear anyone spreading those lies, you tell me.\Got it? response:	What should I do, Hare?
context: Hey, Yahiro... Did Hare really die because of a new weapon?\Yes. Why do you ask?\There's a rumor.\They're saying maybe Hare died because her Void was...\Watch what you say.\If you hear anyone spreading those lies, you tell me.\Got it?\What should I do, Hare? response:	Everyone's changing!
context: Yes. Why do you ask?\There's a rumor.\They're saying maybe Hare died because her Void was...\Watch what you say.\If you hear anyone spreading those lies, you tell me.\Got it?\What should I do, Hare?\Everyone's changing! response:	I suppose to everyone else, I look like a selfish tyrant.
context: There's a rumor.\They're saying maybe Hare died because her Void was...\Watch what you say.\If you hear anyone spreading those lies, you tell me.\Got it?\What should I do, Hare?\Everyone's changing!\I suppose to everyone else, I look like a selfish tyrant. response:	Does it hurt?
context: They're saying maybe Hare died because her Void was...\Watch what you say.\If you hear anyone spreading those lies, you tell me.\Got it?\What should I do, Hare?\Everyone's changing!\I suppose to everyone else, I look like a selfish tyrant.\Does it hurt? response:	It's not like I'm doing this to be popular.
context: Watch what you say.\If you hear anyone spreading those lies, you tell me.\Got it?\What should I do, Hare?\Everyone's changing!\I suppose to everyone else, I look like a selfish tyrant.\Does it hurt?\It's not like I'm doing this to be popular. response:	It's to get everyone safely out of Tokyo.
context: If you hear anyone spreading those lies, you tell me.\Got it?\What should I do, Hare?\Everyone's changing!\I suppose to everyone else, I look like a selfish tyrant.\Does it hurt?\It's not like I'm doing this to be popular.\It's to get everyone safely out of Tokyo. response:	That's why I can't stop. Or else Hare will have...
context: Got it?\What should I do, Hare?\Everyone's changing!\I suppose to everyone else, I look like a selfish tyrant.\Does it hurt?\It's not like I'm doing this to be popular.\It's to get everyone safely out of Tokyo.\That's why I can't stop. Or else Hare will have... response:	She'll have died for nothing.
context: What should I do, Hare?\Everyone's changing!\I suppose to everyone else, I look like a selfish tyrant.\Does it hurt?\It's not like I'm doing this to be popular.\It's to get everyone safely out of Tokyo.\That's why I can't stop. Or else Hare will have...\She'll have died for nothing. response:	All I need is you, Inori.
context: Everyone's changing!\I suppose to everyone else, I look like a selfish tyrant.\Does it hurt?\It's not like I'm doing this to be popular.\It's to get everyone safely out of Tokyo.\That's why I can't stop. Or else Hare will have...\She'll have died for nothing.\All I need is you, Inori. response:	As long as you're here with me...
context: I suppose to everyone else, I look like a selfish tyrant.\Does it hurt?\It's not like I'm doing this to be popular.\It's to get everyone safely out of Tokyo.\That's why I can't stop. Or else Hare will have...\She'll have died for nothing.\All I need is you, Inori.\As long as you're here with me... response:	You really want me?
context: Does it hurt?\It's not like I'm doing this to be popular.\It's to get everyone safely out of Tokyo.\That's why I can't stop. Or else Hare will have...\She'll have died for nothing.\All I need is you, Inori.\As long as you're here with me...\You really want me? response:	Shu?
context: It's not like I'm doing this to be popular.\It's to get everyone safely out of Tokyo.\That's why I can't stop. Or else Hare will have...\She'll have died for nothing.\All I need is you, Inori.\As long as you're here with me...\You really want me?\Shu? response:	I'm sorry, Sir!
context: It's to get everyone safely out of Tokyo.\That's why I can't stop. Or else Hare will have...\She'll have died for nothing.\All I need is you, Inori.\As long as you're here with me...\You really want me?\Shu?\I'm sorry, Sir! response:	The member of the Undertakers we had in custody has escaped!
context: That's why I can't stop. Or else Hare will have...\She'll have died for nothing.\All I need is you, Inori.\As long as you're here with me...\You really want me?\Shu?\I'm sorry, Sir!\The member of the Undertakers we had in custody has escaped! response:	Can I assume Arisa's in her dorm?
context: She'll have died for nothing.\All I need is you, Inori.\As long as you're here with me...\You really want me?\Shu?\I'm sorry, Sir!\The member of the Undertakers we had in custody has escaped!\Can I assume Arisa's in her dorm? response:	Well, she normally is. But if you're going to make a move, tell me first!
context: All I need is you, Inori.\As long as you're here with me...\You really want me?\Shu?\I'm sorry, Sir!\The member of the Undertakers we had in custody has escaped!\Can I assume Arisa's in her dorm?\Well, she normally is. But if you're going to make a move, tell me first! response:	To fool your enemies, you must first fool your allies.
context: As long as you're here with me...\You really want me?\Shu?\I'm sorry, Sir!\The member of the Undertakers we had in custody has escaped!\Can I assume Arisa's in her dorm?\Well, she normally is. But if you're going to make a move, tell me first!\To fool your enemies, you must first fool your allies. response:	What's the point of tricking us?!
context: You really want me?\Shu?\I'm sorry, Sir!\The member of the Undertakers we had in custody has escaped!\Can I assume Arisa's in her dorm?\Well, she normally is. But if you're going to make a move, tell me first!\To fool your enemies, you must first fool your allies.\What's the point of tricking us?! response:	Things are a mess here thanks to you!
