context: hontou wa totemo totemo ureshikatta yo response:	but the truth is, I was really, really happy.
context: Skip the introductions.\Sure.\Well then, please come forward Menma, our guest of honor.\Okay. Here.\And then this!\What a fine speech.\Hey Menma, want some of this?\It's all red! response:	I hate spicy stuff because it hurts.
context: Sure.\Well then, please come forward Menma, our guest of honor.\Okay. Here.\And then this!\What a fine speech.\Hey Menma, want some of this?\It's all red!\I hate spicy stuff because it hurts. response:	Let's see, s-pi-cy...
context: Well then, please come forward Menma, our guest of honor.\Okay. Here.\And then this!\What a fine speech.\Hey Menma, want some of this?\It's all red!\I hate spicy stuff because it hurts.\Let's see, s-pi-cy... response:	It's really not.
context: Okay. Here.\And then this!\What a fine speech.\Hey Menma, want some of this?\It's all red!\I hate spicy stuff because it hurts.\Let's see, s-pi-cy...\It's really not. response:	Come on, just try some.
context: And then this!\What a fine speech.\Hey Menma, want some of this?\It's all red!\I hate spicy stuff because it hurts.\Let's see, s-pi-cy...\It's really not.\Come on, just try some. response:	Ew ew ew, my mouth is burning!
context: What a fine speech.\Hey Menma, want some of this?\It's all red!\I hate spicy stuff because it hurts.\Let's see, s-pi-cy...\It's really not.\Come on, just try some.\Ew ew ew, my mouth is burning! response:	Don't you have games or something prepared?
context: Hey Menma, want some of this?\It's all red!\I hate spicy stuff because it hurts.\Let's see, s-pi-cy...\It's really not.\Come on, just try some.\Ew ew ew, my mouth is burning!\Don't you have games or something prepared? response:	Huh?
context: It's all red!\I hate spicy stuff because it hurts.\Let's see, s-pi-cy...\It's really not.\Come on, just try some.\Ew ew ew, my mouth is burning!\Don't you have games or something prepared?\Huh? response:	All we're doing is eating and drinking.
context: I hate spicy stuff because it hurts.\Let's see, s-pi-cy...\It's really not.\Come on, just try some.\Ew ew ew, my mouth is burning!\Don't you have games or something prepared?\Huh?\All we're doing is eating and drinking. response:	This is supposed to be our final rally.
context: Let's see, s-pi-cy...\It's really not.\Come on, just try some.\Ew ew ew, my mouth is burning!\Don't you have games or something prepared?\Huh?\All we're doing is eating and drinking.\This is supposed to be our final rally. response:	We've all come together, so let's do something.
context: It's really not.\Come on, just try some.\Ew ew ew, my mouth is burning!\Don't you have games or something prepared?\Huh?\All we're doing is eating and drinking.\This is supposed to be our final rally.\We've all come together, so let's do something. response:	Yay!
context: Come on, just try some.\Ew ew ew, my mouth is burning!\Don't you have games or something prepared?\Huh?\All we're doing is eating and drinking.\This is supposed to be our final rally.\We've all come together, so let's do something.\Yay! response:	What kind of game did you have in mind?
context: Ew ew ew, my mouth is burning!\Don't you have games or something prepared?\Huh?\All we're doing is eating and drinking.\This is supposed to be our final rally.\We've all come together, so let's do something.\Yay!\What kind of game did you have in mind? response:	Let's see...
context: Don't you have games or something prepared?\Huh?\All we're doing is eating and drinking.\This is supposed to be our final rally.\We've all come together, so let's do something.\Yay!\What kind of game did you have in mind?\Let's see... response:	How about we go through that day again?
context: Huh?\All we're doing is eating and drinking.\This is supposed to be our final rally.\We've all come together, so let's do something.\Yay!\What kind of game did you have in mind?\Let's see...\How about we go through that day again? response:	Huh?
context: All we're doing is eating and drinking.\This is supposed to be our final rally.\We've all come together, so let's do something.\Yay!\What kind of game did you have in mind?\Let's see...\How about we go through that day again?\Huh? response:	Let's recreate how we met here on that day.
context: This is supposed to be our final rally.\We've all come together, so let's do something.\Yay!\What kind of game did you have in mind?\Let's see...\How about we go through that day again?\Huh?\Let's recreate how we met here on that day. response:	You don't mean...
context: We've all come together, so let's do something.\Yay!\What kind of game did you have in mind?\Let's see...\How about we go through that day again?\Huh?\Let's recreate how we met here on that day.\You don't mean... response:	Yukiatsu.
context: Yay!\What kind of game did you have in mind?\Let's see...\How about we go through that day again?\Huh?\Let's recreate how we met here on that day.\You don't mean...\Yukiatsu. response:	Don't screw around! What do you want to accomplish by...
context: What kind of game did you have in mind?\Let's see...\How about we go through that day again?\Huh?\Let's recreate how we met here on that day.\You don't mean...\Yukiatsu.\Don't screw around! What do you want to accomplish by... response:	Anaru.
context: Let's see...\How about we go through that day again?\Huh?\Let's recreate how we met here on that day.\You don't mean...\Yukiatsu.\Don't screw around! What do you want to accomplish by...\Anaru. response:	Hey Jintan.
context: How about we go through that day again?\Huh?\Let's recreate how we met here on that day.\You don't mean...\Yukiatsu.\Don't screw around! What do you want to accomplish by...\Anaru.\Hey Jintan. response:	Stop!
context: Huh?\Let's recreate how we met here on that day.\You don't mean...\Yukiatsu.\Don't screw around! What do you want to accomplish by...\Anaru.\Hey Jintan.\Stop! response:	You like Menma, don't you?
context: Let's recreate how we met here on that day.\You don't mean...\Yukiatsu.\Don't screw around! What do you want to accomplish by...\Anaru.\Hey Jintan.\Stop!\You like Menma, don't you? response:	You guys...
context: You don't mean...\Yukiatsu.\Don't screw around! What do you want to accomplish by...\Anaru.\Hey Jintan.\Stop!\You like Menma, don't you?\You guys... response:	Say it.
context: Yukiatsu.\Don't screw around! What do you want to accomplish by...\Anaru.\Hey Jintan.\Stop!\You like Menma, don't you?\You guys...\Say it. response:	Menma's here right? Say it clearly.
context: Don't screw around! What do you want to accomplish by...\Anaru.\Hey Jintan.\Stop!\You like Menma, don't you?\You guys...\Say it.\Menma's here right? Say it clearly. response:	Yukiatsu.
context: Anaru.\Hey Jintan.\Stop!\You like Menma, don't you?\You guys...\Say it.\Menma's here right? Say it clearly.\Yukiatsu. response:	Say it.
context: Hey Jintan.\Stop!\You like Menma, don't you?\You guys...\Say it.\Menma's here right? Say it clearly.\Yukiatsu.\Say it. response:	Say it.
context: Stop!\You like Menma, don't you?\You guys...\Say it.\Menma's here right? Say it clearly.\Yukiatsu.\Say it.\Say it. response:	Say it.
context: You like Menma, don't you?\You guys...\Say it.\Menma's here right? Say it clearly.\Yukiatsu.\Say it.\Say it.\Say it. response:	Say it.
context: You guys...\Say it.\Menma's here right? Say it clearly.\Yukiatsu.\Say it.\Say it.\Say it.\Say it. response:	Say it.
context: Say it.\Menma's here right? Say it clearly.\Yukiatsu.\Say it.\Say it.\Say it.\Say it.\Say it. response:	Say it.
context: Menma's here right? Say it clearly.\Yukiatsu.\Say it.\Say it.\Say it.\Say it.\Say it.\Say it. response:	Say it.
context: Yukiatsu.\Say it.\Say it.\Say it.\Say it.\Say it.\Say it.\Say it. response:	This is too much. You're going that far?
context: Say it.\Say it.\Say it.\Say it.\Say it.\Say it.\Say it.\This is too much. You're going that far? response:	Say it.
context: Say it.\Say it.\Say it.\Say it.\Say it.\Say it.\This is too much. You're going that far?\Say it. response:	Say it.
context: Say it.\Say it.\Say it.\Say it.\Say it.\This is too much. You're going that far?\Say it.\Say it. response:	Say it.
context: Say it.\Say it.\Say it.\Say it.\This is too much. You're going that far?\Say it.\Say it.\Say it. response:	Say it.
context: Say it.\Say it.\Say it.\This is too much. You're going that far?\Say it.\Say it.\Say it.\Say it. response:	Say it.
context: Say it.\Say it.\This is too much. You're going that far?\Say it.\Say it.\Say it.\Say it.\Say it. response:	Say it.
context: Say it.\This is too much. You're going that far?\Say it.\Say it.\Say it.\Say it.\Say it.\Say it. response:	Say it.
context: This is too much. You're going that far?\Say it.\Say it.\Say it.\Say it.\Say it.\Say it.\Say it. response:	Say it.
context: Say it.\Say it.\Say it.\Say it.\Say it.\Say it.\Say it.\Say it. response:	I like her.
context: Say it.\Say it.\Say it.\Say it.\Say it.\Say it.\Say it.\I like her. response:	Menma, I...
context: Say it.\Say it.\Say it.\Say it.\Say it.\Say it.\I like her.\Menma, I... response:	If you run away now it'll all be the same!
context: Say it.\Say it.\Say it.\Say it.\Say it.\I like her.\Menma, I...\If you run away now it'll all be the same! response:	Menma didn't make a sound.
context: Say it.\Say it.\Say it.\Say it.\I like her.\Menma, I...\If you run away now it'll all be the same!\Menma didn't make a sound. response:	She just let out a torrent of tears.
context: Say it.\Say it.\Say it.\I like her.\Menma, I...\If you run away now it'll all be the same!\Menma didn't make a sound.\She just let out a torrent of tears. response:	Stop crying already. It's shameful.
context: Say it.\Say it.\I like her.\Menma, I...\If you run away now it'll all be the same!\Menma didn't make a sound.\She just let out a torrent of tears.\Stop crying already. It's shameful. response:	I'm a disgrace either way.
context: Say it.\I like her.\Menma, I...\If you run away now it'll all be the same!\Menma didn't make a sound.\She just let out a torrent of tears.\Stop crying already. It's shameful.\I'm a disgrace either way. response:	That's an idea Yukiatsu instilled in you, isn't it?
context: I like her.\Menma, I...\If you run away now it'll all be the same!\Menma didn't make a sound.\She just let out a torrent of tears.\Stop crying already. It's shameful.\I'm a disgrace either way.\That's an idea Yukiatsu instilled in you, isn't it? response:	Hey. Let's not do this.
context: Menma, I...\If you run away now it'll all be the same!\Menma didn't make a sound.\She just let out a torrent of tears.\Stop crying already. It's shameful.\I'm a disgrace either way.\That's an idea Yukiatsu instilled in you, isn't it?\Hey. Let's not do this. response:	I mean, I already know what he would have answered that day.
context: If you run away now it'll all be the same!\Menma didn't make a sound.\She just let out a torrent of tears.\Stop crying already. It's shameful.\I'm a disgrace either way.\That's an idea Yukiatsu instilled in you, isn't it?\Hey. Let's not do this.\I mean, I already know what he would have answered that day. response:	You'll stay lost without resolving anything even after Menma goes to heaven.
context: Menma didn't make a sound.\She just let out a torrent of tears.\Stop crying already. It's shameful.\I'm a disgrace either way.\That's an idea Yukiatsu instilled in you, isn't it?\Hey. Let's not do this.\I mean, I already know what he would have answered that day.\You'll stay lost without resolving anything even after Menma goes to heaven. response:	You'll keep losing to a Menma that shouldn't even be there.
context: She just let out a torrent of tears.\Stop crying already. It's shameful.\I'm a disgrace either way.\That's an idea Yukiatsu instilled in you, isn't it?\Hey. Let's not do this.\I mean, I already know what he would have answered that day.\You'll stay lost without resolving anything even after Menma goes to heaven.\You'll keep losing to a Menma that shouldn't even be there. response:	Are you fine with that?
context: Stop crying already. It's shameful.\I'm a disgrace either way.\That's an idea Yukiatsu instilled in you, isn't it?\Hey. Let's not do this.\I mean, I already know what he would have answered that day.\You'll stay lost without resolving anything even after Menma goes to heaven.\You'll keep losing to a Menma that shouldn't even be there.\Are you fine with that? response:	You can't understand...
context: I'm a disgrace either way.\That's an idea Yukiatsu instilled in you, isn't it?\Hey. Let's not do this.\I mean, I already know what he would have answered that day.\You'll stay lost without resolving anything even after Menma goes to heaven.\You'll keep losing to a Menma that shouldn't even be there.\Are you fine with that?\You can't understand... response:	How it feels like to never have the person you like take notice of you...
context: That's an idea Yukiatsu instilled in you, isn't it?\Hey. Let's not do this.\I mean, I already know what he would have answered that day.\You'll stay lost without resolving anything even after Menma goes to heaven.\You'll keep losing to a Menma that shouldn't even be there.\Are you fine with that?\You can't understand...\How it feels like to never have the person you like take notice of you... response:	I do understand.
context: Hey. Let's not do this.\I mean, I already know what he would have answered that day.\You'll stay lost without resolving anything even after Menma goes to heaven.\You'll keep losing to a Menma that shouldn't even be there.\Are you fine with that?\You can't understand...\How it feels like to never have the person you like take notice of you...\I do understand. response:	Because I like Yukiatsu.
context: I mean, I already know what he would have answered that day.\You'll stay lost without resolving anything even after Menma goes to heaven.\You'll keep losing to a Menma that shouldn't even be there.\Are you fine with that?\You can't understand...\How it feels like to never have the person you like take notice of you...\I do understand.\Because I like Yukiatsu. response:	Yukiatsu has always been chasing after Menma.
context: You'll stay lost without resolving anything even after Menma goes to heaven.\You'll keep losing to a Menma that shouldn't even be there.\Are you fine with that?\You can't understand...\How it feels like to never have the person you like take notice of you...\I do understand.\Because I like Yukiatsu.\Yukiatsu has always been chasing after Menma. response:	That's the only side of him...
context: You'll keep losing to a Menma that shouldn't even be there.\Are you fine with that?\You can't understand...\How it feels like to never have the person you like take notice of you...\I do understand.\Because I like Yukiatsu.\Yukiatsu has always been chasing after Menma.\That's the only side of him... response:	Tsuruko.
context: Are you fine with that?\You can't understand...\How it feels like to never have the person you like take notice of you...\I do understand.\Because I like Yukiatsu.\Yukiatsu has always been chasing after Menma.\That's the only side of him...\Tsuruko. response:	I don't know about'never'.
context: You can't understand...\How it feels like to never have the person you like take notice of you...\I do understand.\Because I like Yukiatsu.\Yukiatsu has always been chasing after Menma.\That's the only side of him...\Tsuruko.\I don't know about'never'. response:	Once Menma goes to heaven, Yadomi will...
context: How it feels like to never have the person you like take notice of you...\I do understand.\Because I like Yukiatsu.\Yukiatsu has always been chasing after Menma.\That's the only side of him...\Tsuruko.\I don't know about'never'.\Once Menma goes to heaven, Yadomi will... response:	How can you say that?
context: I do understand.\Because I like Yukiatsu.\Yukiatsu has always been chasing after Menma.\That's the only side of him...\Tsuruko.\I don't know about'never'.\Once Menma goes to heaven, Yadomi will...\How can you say that? response:	But Yukiatsu definitely won't choose me.
context: Because I like Yukiatsu.\Yukiatsu has always been chasing after Menma.\That's the only side of him...\Tsuruko.\I don't know about'never'.\Once Menma goes to heaven, Yadomi will...\How can you say that?\But Yukiatsu definitely won't choose me. response:	Because even if Menma goes to heaven, you're the replacement for him.
context: Yukiatsu has always been chasing after Menma.\That's the only side of him...\Tsuruko.\I don't know about'never'.\Once Menma goes to heaven, Yadomi will...\How can you say that?\But Yukiatsu definitely won't choose me.\Because even if Menma goes to heaven, you're the replacement for him. response:	No way!
context: That's the only side of him...\Tsuruko.\I don't know about'never'.\Once Menma goes to heaven, Yadomi will...\How can you say that?\But Yukiatsu definitely won't choose me.\Because even if Menma goes to heaven, you're the replacement for him.\No way! response:	That's not the way it is! A replacement? Yukiatsu doesn't think of me that way.
context: Tsuruko.\I don't know about'never'.\Once Menma goes to heaven, Yadomi will...\How can you say that?\But Yukiatsu definitely won't choose me.\Because even if Menma goes to heaven, you're the replacement for him.\No way!\That's not the way it is! A replacement? Yukiatsu doesn't think of me that way. response:	And besides, no matter how rough it is for me I'd never date Yukiatsu.
context: I don't know about'never'.\Once Menma goes to heaven, Yadomi will...\How can you say that?\But Yukiatsu definitely won't choose me.\Because even if Menma goes to heaven, you're the replacement for him.\No way!\That's not the way it is! A replacement? Yukiatsu doesn't think of me that way.\And besides, no matter how rough it is for me I'd never date Yukiatsu. response:	I like Jintan! I'm not some replacement!
context: Once Menma goes to heaven, Yadomi will...\How can you say that?\But Yukiatsu definitely won't choose me.\Because even if Menma goes to heaven, you're the replacement for him.\No way!\That's not the way it is! A replacement? Yukiatsu doesn't think of me that way.\And besides, no matter how rough it is for me I'd never date Yukiatsu.\I like Jintan! I'm not some replacement! response:	That's right, there's no replacement.
context: How can you say that?\But Yukiatsu definitely won't choose me.\Because even if Menma goes to heaven, you're the replacement for him.\No way!\That's not the way it is! A replacement? Yukiatsu doesn't think of me that way.\And besides, no matter how rough it is for me I'd never date Yukiatsu.\I like Jintan! I'm not some replacement!\That's right, there's no replacement. response:	That's why we have to make Menma go to heaven.
context: But Yukiatsu definitely won't choose me.\Because even if Menma goes to heaven, you're the replacement for him.\No way!\That's not the way it is! A replacement? Yukiatsu doesn't think of me that way.\And besides, no matter how rough it is for me I'd never date Yukiatsu.\I like Jintan! I'm not some replacement!\That's right, there's no replacement.\That's why we have to make Menma go to heaven. response:	Sorry, Jintan.
context: Because even if Menma goes to heaven, you're the replacement for him.\No way!\That's not the way it is! A replacement? Yukiatsu doesn't think of me that way.\And besides, no matter how rough it is for me I'd never date Yukiatsu.\I like Jintan! I'm not some replacement!\That's right, there's no replacement.\That's why we have to make Menma go to heaven.\Sorry, Jintan. response:	I really put you on the spot there.
context: No way!\That's not the way it is! A replacement? Yukiatsu doesn't think of me that way.\And besides, no matter how rough it is for me I'd never date Yukiatsu.\I like Jintan! I'm not some replacement!\That's right, there's no replacement.\That's why we have to make Menma go to heaven.\Sorry, Jintan.\I really put you on the spot there. response:	Poppo.
context: That's not the way it is! A replacement? Yukiatsu doesn't think of me that way.\And besides, no matter how rough it is for me I'd never date Yukiatsu.\I like Jintan! I'm not some replacement!\That's right, there's no replacement.\That's why we have to make Menma go to heaven.\Sorry, Jintan.\I really put you on the spot there.\Poppo. response:	It's just that everything seemed to wind back in time again.
context: And besides, no matter how rough it is for me I'd never date Yukiatsu.\I like Jintan! I'm not some replacement!\That's right, there's no replacement.\That's why we have to make Menma go to heaven.\Sorry, Jintan.\I really put you on the spot there.\Poppo.\It's just that everything seemed to wind back in time again. response:	Wind back.
context: I like Jintan! I'm not some replacement!\That's right, there's no replacement.\That's why we have to make Menma go to heaven.\Sorry, Jintan.\I really put you on the spot there.\Poppo.\It's just that everything seemed to wind back in time again.\Wind back. response:	Hey.
context: That's right, there's no replacement.\That's why we have to make Menma go to heaven.\Sorry, Jintan.\I really put you on the spot there.\Poppo.\It's just that everything seemed to wind back in time again.\Wind back.\Hey. response:	Is what you said earlier true?
context: That's why we have to make Menma go to heaven.\Sorry, Jintan.\I really put you on the spot there.\Poppo.\It's just that everything seemed to wind back in time again.\Wind back.\Hey.\Is what you said earlier true? response:	Huh?
context: Sorry, Jintan.\I really put you on the spot there.\Poppo.\It's just that everything seemed to wind back in time again.\Wind back.\Hey.\Is what you said earlier true?\Huh? response:	It... it's true.
context: I really put you on the spot there.\Poppo.\It's just that everything seemed to wind back in time again.\Wind back.\Hey.\Is what you said earlier true?\Huh?\It... it's true. response:	I like you too.
context: Poppo.\It's just that everything seemed to wind back in time again.\Wind back.\Hey.\Is what you said earlier true?\Huh?\It... it's true.\I like you too. response:	When I said I liked you, it's not just the kind of liking between friends.
context: It's just that everything seemed to wind back in time again.\Wind back.\Hey.\Is what you said earlier true?\Huh?\It... it's true.\I like you too.\When I said I liked you, it's not just the kind of liking between friends. response:	I know. It's the kind of liking that means you want to marry me right?
context: Wind back.\Hey.\Is what you said earlier true?\Huh?\It... it's true.\I like you too.\When I said I liked you, it's not just the kind of liking between friends.\I know. It's the kind of liking that means you want to marry me right? response:	If I had kept growing up normally like this, I wonder if I would have become your bride.
context: Hey.\Is what you said earlier true?\Huh?\It... it's true.\I like you too.\When I said I liked you, it's not just the kind of liking between friends.\I know. It's the kind of liking that means you want to marry me right?\If I had kept growing up normally like this, I wonder if I would have become your bride. response:	Even if it wasn't normally...
context: Is what you said earlier true?\Huh?\It... it's true.\I like you too.\When I said I liked you, it's not just the kind of liking between friends.\I know. It's the kind of liking that means you want to marry me right?\If I had kept growing up normally like this, I wonder if I would have become your bride.\Even if it wasn't normally... response:	Huh?
context: Huh?\It... it's true.\I like you too.\When I said I liked you, it's not just the kind of liking between friends.\I know. It's the kind of liking that means you want to marry me right?\If I had kept growing up normally like this, I wonder if I would have become your bride.\Even if it wasn't normally...\Huh? response:	Can't you just stay here instead of going to heaven?
context: It... it's true.\I like you too.\When I said I liked you, it's not just the kind of liking between friends.\I know. It's the kind of liking that means you want to marry me right?\If I had kept growing up normally like this, I wonder if I would have become your bride.\Even if it wasn't normally...\Huh?\Can't you just stay here instead of going to heaven? response:	Jintan.
context: I like you too.\When I said I liked you, it's not just the kind of liking between friends.\I know. It's the kind of liking that means you want to marry me right?\If I had kept growing up normally like this, I wonder if I would have become your bride.\Even if it wasn't normally...\Huh?\Can't you just stay here instead of going to heaven?\Jintan. response:	I've gone and said it.
context: When I said I liked you, it's not just the kind of liking between friends.\I know. It's the kind of liking that means you want to marry me right?\If I had kept growing up normally like this, I wonder if I would have become your bride.\Even if it wasn't normally...\Huh?\Can't you just stay here instead of going to heaven?\Jintan.\I've gone and said it. response:	I'm going to heaven.
context: I know. It's the kind of liking that means you want to marry me right?\If I had kept growing up normally like this, I wonder if I would have become your bride.\Even if it wasn't normally...\Huh?\Can't you just stay here instead of going to heaven?\Jintan.\I've gone and said it.\I'm going to heaven. response:	You know about reincarnation?
context: If I had kept growing up normally like this, I wonder if I would have become your bride.\Even if it wasn't normally...\Huh?\Can't you just stay here instead of going to heaven?\Jintan.\I've gone and said it.\I'm going to heaven.\You know about reincarnation? response:	If I don't go to heaven I can't do it.
context: Even if it wasn't normally...\Huh?\Can't you just stay here instead of going to heaven?\Jintan.\I've gone and said it.\I'm going to heaven.\You know about reincarnation?\If I don't go to heaven I can't do it. response:	And I won't be able to talk with everyone properly.
context: Huh?\Can't you just stay here instead of going to heaven?\Jintan.\I've gone and said it.\I'm going to heaven.\You know about reincarnation?\If I don't go to heaven I can't do it.\And I won't be able to talk with everyone properly. response:	But if I come back as a caterpillar...
context: Can't you just stay here instead of going to heaven?\Jintan.\I've gone and said it.\I'm going to heaven.\You know about reincarnation?\If I don't go to heaven I can't do it.\And I won't be able to talk with everyone properly.\But if I come back as a caterpillar... response:	With everyone... properly...
context: Jintan.\I've gone and said it.\I'm going to heaven.\You know about reincarnation?\If I don't go to heaven I can't do it.\And I won't be able to talk with everyone properly.\But if I come back as a caterpillar...\With everyone... properly... response:	So Menma, when Jintan said he liked you, how did you answer him?
context: I've gone and said it.\I'm going to heaven.\You know about reincarnation?\If I don't go to heaven I can't do it.\And I won't be able to talk with everyone properly.\But if I come back as a caterpillar...\With everyone... properly...\So Menma, when Jintan said he liked you, how did you answer him? response:	No.
context: I'm going to heaven.\You know about reincarnation?\If I don't go to heaven I can't do it.\And I won't be able to talk with everyone properly.\But if I come back as a caterpillar...\With everyone... properly...\So Menma, when Jintan said he liked you, how did you answer him?\No. response:	She wanted to ask us to do something for Jintan.
context: You know about reincarnation?\If I don't go to heaven I can't do it.\And I won't be able to talk with everyone properly.\But if I come back as a caterpillar...\With everyone... properly...\So Menma, when Jintan said he liked you, how did you answer him?\No.\She wanted to ask us to do something for Jintan. response:	I already know her answer.
context: If I don't go to heaven I can't do it.\And I won't be able to talk with everyone properly.\But if I come back as a caterpillar...\With everyone... properly...\So Menma, when Jintan said he liked you, how did you answer him?\No.\She wanted to ask us to do something for Jintan.\I already know her answer. response:	Menma, I...
context: And I won't be able to talk with everyone properly.\But if I come back as a caterpillar...\With everyone... properly...\So Menma, when Jintan said he liked you, how did you answer him?\No.\She wanted to ask us to do something for Jintan.\I already know her answer.\Menma, I... response:	It's obvious.
context: But if I come back as a caterpillar...\With everyone... properly...\So Menma, when Jintan said he liked you, how did you answer him?\No.\She wanted to ask us to do something for Jintan.\I already know her answer.\Menma, I...\It's obvious. response:	Yeah, forget about it.
context: With everyone... properly...\So Menma, when Jintan said he liked you, how did you answer him?\No.\She wanted to ask us to do something for Jintan.\I already know her answer.\Menma, I...\It's obvious.\Yeah, forget about it. response:	Let's go to heaven, okay Menma?
context: So Menma, when Jintan said he liked you, how did you answer him?\No.\She wanted to ask us to do something for Jintan.\I already know her answer.\Menma, I...\It's obvious.\Yeah, forget about it.\Let's go to heaven, okay Menma? response:	Am I not enough for you?
context: No.\She wanted to ask us to do something for Jintan.\I already know her answer.\Menma, I...\It's obvious.\Yeah, forget about it.\Let's go to heaven, okay Menma?\Am I not enough for you? response:	Say Menma, do you know about reincarnation?
context: She wanted to ask us to do something for Jintan.\I already know her answer.\Menma, I...\It's obvious.\Yeah, forget about it.\Let's go to heaven, okay Menma?\Am I not enough for you?\Say Menma, do you know about reincarnation? response:	Reincarnation?
context: I already know her answer.\Menma, I...\It's obvious.\Yeah, forget about it.\Let's go to heaven, okay Menma?\Am I not enough for you?\Say Menma, do you know about reincarnation?\Reincarnation? response:	That's right. Even if your life ends, you can come back as a baby again.
context: Menma, I...\It's obvious.\Yeah, forget about it.\Let's go to heaven, okay Menma?\Am I not enough for you?\Say Menma, do you know about reincarnation?\Reincarnation?\That's right. Even if your life ends, you can come back as a baby again. response:	And it may not be as a human. It could be as a baby kitten, or a baby flower.
context: It's obvious.\Yeah, forget about it.\Let's go to heaven, okay Menma?\Am I not enough for you?\Say Menma, do you know about reincarnation?\Reincarnation?\That's right. Even if your life ends, you can come back as a baby again.\And it may not be as a human. It could be as a baby kitten, or a baby flower. response:	That's why it's not scary.
context: Yeah, forget about it.\Let's go to heaven, okay Menma?\Am I not enough for you?\Say Menma, do you know about reincarnation?\Reincarnation?\That's right. Even if your life ends, you can come back as a baby again.\And it may not be as a human. It could be as a baby kitten, or a baby flower.\That's why it's not scary. response:	That's amazing!
context: Let's go to heaven, okay Menma?\Am I not enough for you?\Say Menma, do you know about reincarnation?\Reincarnation?\That's right. Even if your life ends, you can come back as a baby again.\And it may not be as a human. It could be as a baby kitten, or a baby flower.\That's why it's not scary.\That's amazing! response:	But there's just one thing...
context: Am I not enough for you?\Say Menma, do you know about reincarnation?\Reincarnation?\That's right. Even if your life ends, you can come back as a baby again.\And it may not be as a human. It could be as a baby kitten, or a baby flower.\That's why it's not scary.\That's amazing!\But there's just one thing... response:	Just one thing...
context: Say Menma, do you know about reincarnation?\Reincarnation?\That's right. Even if your life ends, you can come back as a baby again.\And it may not be as a human. It could be as a baby kitten, or a baby flower.\That's why it's not scary.\That's amazing!\But there's just one thing...\Just one thing... response:	Wait just a little longer, auntie.
context: Reincarnation?\That's right. Even if your life ends, you can come back as a baby again.\And it may not be as a human. It could be as a baby kitten, or a baby flower.\That's why it's not scary.\That's amazing!\But there's just one thing...\Just one thing...\Wait just a little longer, auntie. response:	Everyone's going to send up fireworks.
context: That's right. Even if your life ends, you can come back as a baby again.\And it may not be as a human. It could be as a baby kitten, or a baby flower.\That's why it's not scary.\That's amazing!\But there's just one thing...\Just one thing...\Wait just a little longer, auntie.\Everyone's going to send up fireworks. response:	Wait a little longer.
context: And it may not be as a human. It could be as a baby kitten, or a baby flower.\That's why it's not scary.\That's amazing!\But there's just one thing...\Just one thing...\Wait just a little longer, auntie.\Everyone's going to send up fireworks.\Wait a little longer. response:	Well then, let's start by outfitting the launch cylinder.
context: That's why it's not scary.\That's amazing!\But there's just one thing...\Just one thing...\Wait just a little longer, auntie.\Everyone's going to send up fireworks.\Wait a little longer.\Well then, let's start by outfitting the launch cylinder. response:	Outfitting!
context: That's amazing!\But there's just one thing...\Just one thing...\Wait just a little longer, auntie.\Everyone's going to send up fireworks.\Wait a little longer.\Well then, let's start by outfitting the launch cylinder.\Outfitting! response:	Menma.
context: But there's just one thing...\Just one thing...\Wait just a little longer, auntie.\Everyone's going to send up fireworks.\Wait a little longer.\Well then, let's start by outfitting the launch cylinder.\Outfitting!\Menma. response:	Sorry I'm late.
context: Just one thing...\Wait just a little longer, auntie.\Everyone's going to send up fireworks.\Wait a little longer.\Well then, let's start by outfitting the launch cylinder.\Outfitting!\Menma.\Sorry I'm late. response:	What? Tsurumi?
context: Wait just a little longer, auntie.\Everyone's going to send up fireworks.\Wait a little longer.\Well then, let's start by outfitting the launch cylinder.\Outfitting!\Menma.\Sorry I'm late.\What? Tsurumi? response:	You're so cute! You look like you did when you were little.
context: Everyone's going to send up fireworks.\Wait a little longer.\Well then, let's start by outfitting the launch cylinder.\Outfitting!\Menma.\Sorry I'm late.\What? Tsurumi?\You're so cute! You look like you did when you were little. response:	What's up with that?
context: Wait a little longer.\Well then, let's start by outfitting the launch cylinder.\Outfitting!\Menma.\Sorry I'm late.\What? Tsurumi?\You're so cute! You look like you did when you were little.\What's up with that? response:	I had a change of mood.
context: Well then, let's start by outfitting the launch cylinder.\Outfitting!\Menma.\Sorry I'm late.\What? Tsurumi?\You're so cute! You look like you did when you were little.\What's up with that?\I had a change of mood. response:	That's a lie.
context: Outfitting!\Menma.\Sorry I'm late.\What? Tsurumi?\You're so cute! You look like you did when you were little.\What's up with that?\I had a change of mood.\That's a lie. response:	Yeah, it is.
context: Menma.\Sorry I'm late.\What? Tsurumi?\You're so cute! You look like you did when you were little.\What's up with that?\I had a change of mood.\That's a lie.\Yeah, it is. response:	Jintan.
context: Sorry I'm late.\What? Tsurumi?\You're so cute! You look like you did when you were little.\What's up with that?\I had a change of mood.\That's a lie.\Yeah, it is.\Jintan. response:	Grab a hold of that.
context: What? Tsurumi?\You're so cute! You look like you did when you were little.\What's up with that?\I had a change of mood.\That's a lie.\Yeah, it is.\Jintan.\Grab a hold of that. response:	Like this?
context: You're so cute! You look like you did when you were little.\What's up with that?\I had a change of mood.\That's a lie.\Yeah, it is.\Jintan.\Grab a hold of that.\Like this? response:	Heave-ho!
