context: When we started living in the same dorm together, response:	I figured trouble would come of it.
context: What do you mean?\What do I mean?\Your confession on Christmas Eve.\Aren't you afraid to tell him how you feel?\What are you talking about, Nanamin?\Of course I'm scared.\After all, I've liked Jin since elementary school.\Though, I didn't realize how I felt until middle school. response:	Of course I'm nervous.
context: What do I mean?\Your confession on Christmas Eve.\Aren't you afraid to tell him how you feel?\What are you talking about, Nanamin?\Of course I'm scared.\After all, I've liked Jin since elementary school.\Though, I didn't realize how I felt until middle school.\Of course I'm nervous. response:	But if I think about that even a little, it's all over.
context: Your confession on Christmas Eve.\Aren't you afraid to tell him how you feel?\What are you talking about, Nanamin?\Of course I'm scared.\After all, I've liked Jin since elementary school.\Though, I didn't realize how I felt until middle school.\Of course I'm nervous.\But if I think about that even a little, it's all over. response:	Fear takes hold and propels me around the circle again!
context: Aren't you afraid to tell him how you feel?\What are you talking about, Nanamin?\Of course I'm scared.\After all, I've liked Jin since elementary school.\Though, I didn't realize how I felt until middle school.\Of course I'm nervous.\But if I think about that even a little, it's all over.\Fear takes hold and propels me around the circle again! response:	Circle?
context: What are you talking about, Nanamin?\Of course I'm scared.\After all, I've liked Jin since elementary school.\Though, I didn't realize how I felt until middle school.\Of course I'm nervous.\But if I think about that even a little, it's all over.\Fear takes hold and propels me around the circle again!\Circle? response:	I start by thinking,
context: Of course I'm scared.\After all, I've liked Jin since elementary school.\Though, I didn't realize how I felt until middle school.\Of course I'm nervous.\But if I think about that even a little, it's all over.\Fear takes hold and propels me around the circle again!\Circle?\I start by thinking, response:	I need to tell Jin how I feel! I can't live like this anymore! You understand?
context: After all, I've liked Jin since elementary school.\Though, I didn't realize how I felt until middle school.\Of course I'm nervous.\But if I think about that even a little, it's all over.\Fear takes hold and propels me around the circle again!\Circle?\I start by thinking,\I need to tell Jin how I feel! I can't live like this anymore! You understand? response:	But I'm scared. What if he rejects me?
context: Though, I didn't realize how I felt until middle school.\Of course I'm nervous.\But if I think about that even a little, it's all over.\Fear takes hold and propels me around the circle again!\Circle?\I start by thinking,\I need to tell Jin how I feel! I can't live like this anymore! You understand?\But I'm scared. What if he rejects me? response:	Well, I guess it's not so bad the way things are now.
context: Of course I'm nervous.\But if I think about that even a little, it's all over.\Fear takes hold and propels me around the circle again!\Circle?\I start by thinking,\I need to tell Jin how I feel! I can't live like this anymore! You understand?\But I'm scared. What if he rejects me?\Well, I guess it's not so bad the way things are now. response:	I get to be with Jin...
context: But if I think about that even a little, it's all over.\Fear takes hold and propels me around the circle again!\Circle?\I start by thinking,\I need to tell Jin how I feel! I can't live like this anymore! You understand?\But I'm scared. What if he rejects me?\Well, I guess it's not so bad the way things are now.\I get to be with Jin... response:	But I want to be closer to Jin!
context: Fear takes hold and propels me around the circle again!\Circle?\I start by thinking,\I need to tell Jin how I feel! I can't live like this anymore! You understand?\But I'm scared. What if he rejects me?\Well, I guess it's not so bad the way things are now.\I get to be with Jin...\But I want to be closer to Jin! response:	Jin's dating other girls.
context: Circle?\I start by thinking,\I need to tell Jin how I feel! I can't live like this anymore! You understand?\But I'm scared. What if he rejects me?\Well, I guess it's not so bad the way things are now.\I get to be with Jin...\But I want to be closer to Jin!\Jin's dating other girls. response:	What am I going to do if he goes away?
context: I start by thinking,\I need to tell Jin how I feel! I can't live like this anymore! You understand?\But I'm scared. What if he rejects me?\Well, I guess it's not so bad the way things are now.\I get to be with Jin...\But I want to be closer to Jin!\Jin's dating other girls.\What am I going to do if he goes away? response:	Which brings me right back here.
context: I need to tell Jin how I feel! I can't live like this anymore! You understand?\But I'm scared. What if he rejects me?\Well, I guess it's not so bad the way things are now.\I get to be with Jin...\But I want to be closer to Jin!\Jin's dating other girls.\What am I going to do if he goes away?\Which brings me right back here. response:	I think I understand.
context: But I'm scared. What if he rejects me?\Well, I guess it's not so bad the way things are now.\I get to be with Jin...\But I want to be closer to Jin!\Jin's dating other girls.\What am I going to do if he goes away?\Which brings me right back here.\I think I understand. response:	I've probably gone through it a hundred times since middle school.
context: Well, I guess it's not so bad the way things are now.\I get to be with Jin...\But I want to be closer to Jin!\Jin's dating other girls.\What am I going to do if he goes away?\Which brings me right back here.\I think I understand.\I've probably gone through it a hundred times since middle school. response:	A hundred?
context: I get to be with Jin...\But I want to be closer to Jin!\Jin's dating other girls.\What am I going to do if he goes away?\Which brings me right back here.\I think I understand.\I've probably gone through it a hundred times since middle school.\A hundred? response:	Yeah, and I'm starting to get sick of watching the same scenery go by.
context: But I want to be closer to Jin!\Jin's dating other girls.\What am I going to do if he goes away?\Which brings me right back here.\I think I understand.\I've probably gone through it a hundred times since middle school.\A hundred?\Yeah, and I'm starting to get sick of watching the same scenery go by. response:	So...
context: Jin's dating other girls.\What am I going to do if he goes away?\Which brings me right back here.\I think I understand.\I've probably gone through it a hundred times since middle school.\A hundred?\Yeah, and I'm starting to get sick of watching the same scenery go by.\So... response:	I'm going to close my eyes and leap!
context: What am I going to do if he goes away?\Which brings me right back here.\I think I understand.\I've probably gone through it a hundred times since middle school.\A hundred?\Yeah, and I'm starting to get sick of watching the same scenery go by.\So...\I'm going to close my eyes and leap! response:	To where?
context: Which brings me right back here.\I think I understand.\I've probably gone through it a hundred times since middle school.\A hundred?\Yeah, and I'm starting to get sick of watching the same scenery go by.\So...\I'm going to close my eyes and leap!\To where? response:	Space, maybe?
context: I think I understand.\I've probably gone through it a hundred times since middle school.\A hundred?\Yeah, and I'm starting to get sick of watching the same scenery go by.\So...\I'm going to close my eyes and leap!\To where?\Space, maybe? response:	That sounds painful.
context: I've probably gone through it a hundred times since middle school.\A hundred?\Yeah, and I'm starting to get sick of watching the same scenery go by.\So...\I'm going to close my eyes and leap!\To where?\Space, maybe?\That sounds painful. response:	What?
context: A hundred?\Yeah, and I'm starting to get sick of watching the same scenery go by.\So...\I'm going to close my eyes and leap!\To where?\Space, maybe?\That sounds painful.\What? response:	Nanamin, you're the worst!
context: Yeah, and I'm starting to get sick of watching the same scenery go by.\So...\I'm going to close my eyes and leap!\To where?\Space, maybe?\That sounds painful.\What?\Nanamin, you're the worst! response:	Oh, that's not what I meant. Um...
context: So...\I'm going to close my eyes and leap!\To where?\Space, maybe?\That sounds painful.\What?\Nanamin, you're the worst!\Oh, that's not what I meant. Um... response:	The stars...
context: I'm going to close my eyes and leap!\To where?\Space, maybe?\That sounds painful.\What?\Nanamin, you're the worst!\Oh, that's not what I meant. Um...\The stars... response:	I'm sure the stars are beautiful.
context: To where?\Space, maybe?\That sounds painful.\What?\Nanamin, you're the worst!\Oh, that's not what I meant. Um...\The stars...\I'm sure the stars are beautiful. response:	Kanda Sorata-sama
context: Space, maybe?\That sounds painful.\What?\Nanamin, you're the worst!\Oh, that's not what I meant. Um...\The stars...\I'm sure the stars are beautiful.\Kanda Sorata-sama response:	Results of the Screening Process
context: That sounds painful.\What?\Nanamin, you're the worst!\Oh, that's not what I meant. Um...\The stars...\I'm sure the stars are beautiful.\Kanda Sorata-sama\Results of the Screening Process response:	Baumkuchen: For Sorata
context: What?\Nanamin, you're the worst!\Oh, that's not what I meant. Um...\The stars...\I'm sure the stars are beautiful.\Kanda Sorata-sama\Results of the Screening Process\Baumkuchen: For Sorata response:	What's with her?
context: Nanamin, you're the worst!\Oh, that's not what I meant. Um...\The stars...\I'm sure the stars are beautiful.\Kanda Sorata-sama\Results of the Screening Process\Baumkuchen: For Sorata\What's with her? response:	I'm sure she had something in mind.
context: Oh, that's not what I meant. Um...\The stars...\I'm sure the stars are beautiful.\Kanda Sorata-sama\Results of the Screening Process\Baumkuchen: For Sorata\What's with her?\I'm sure she had something in mind. response:	Chihiro-sensei.
context: The stars...\I'm sure the stars are beautiful.\Kanda Sorata-sama\Results of the Screening Process\Baumkuchen: For Sorata\What's with her?\I'm sure she had something in mind.\Chihiro-sensei. response:	Not that I don't understand how you feel.
context: I'm sure the stars are beautiful.\Kanda Sorata-sama\Results of the Screening Process\Baumkuchen: For Sorata\What's with her?\I'm sure she had something in mind.\Chihiro-sensei.\Not that I don't understand how you feel. response:	Anyone who's working hard would get angry...
context: Kanda Sorata-sama\Results of the Screening Process\Baumkuchen: For Sorata\What's with her?\I'm sure she had something in mind.\Chihiro-sensei.\Not that I don't understand how you feel.\Anyone who's working hard would get angry... response:	when they see someone else slacking off.
context: Results of the Screening Process\Baumkuchen: For Sorata\What's with her?\I'm sure she had something in mind.\Chihiro-sensei.\Not that I don't understand how you feel.\Anyone who's working hard would get angry...\when they see someone else slacking off. response:	You're a teacher.
context: Baumkuchen: For Sorata\What's with her?\I'm sure she had something in mind.\Chihiro-sensei.\Not that I don't understand how you feel.\Anyone who's working hard would get angry...\when they see someone else slacking off.\You're a teacher. response:	There are certain lines you shouldn't cross with your students.
context: What's with her?\I'm sure she had something in mind.\Chihiro-sensei.\Not that I don't understand how you feel.\Anyone who's working hard would get angry...\when they see someone else slacking off.\You're a teacher.\There are certain lines you shouldn't cross with your students. response:	You don't want me to go there because you understand, right?
context: I'm sure she had something in mind.\Chihiro-sensei.\Not that I don't understand how you feel.\Anyone who's working hard would get angry...\when they see someone else slacking off.\You're a teacher.\There are certain lines you shouldn't cross with your students.\You don't want me to go there because you understand, right? response:	You know Mashiro isn't slacking off.
context: Chihiro-sensei.\Not that I don't understand how you feel.\Anyone who's working hard would get angry...\when they see someone else slacking off.\You're a teacher.\There are certain lines you shouldn't cross with your students.\You don't want me to go there because you understand, right?\You know Mashiro isn't slacking off. response:	She just doesn't know how to face...
context: Not that I don't understand how you feel.\Anyone who's working hard would get angry...\when they see someone else slacking off.\You're a teacher.\There are certain lines you shouldn't cross with your students.\You don't want me to go there because you understand, right?\You know Mashiro isn't slacking off.\She just doesn't know how to face... response:	an emotion she's never felt before.
context: Anyone who's working hard would get angry...\when they see someone else slacking off.\You're a teacher.\There are certain lines you shouldn't cross with your students.\You don't want me to go there because you understand, right?\You know Mashiro isn't slacking off.\She just doesn't know how to face...\an emotion she's never felt before. response:	Mashiro doesn't know how to reconcile with someone.
context: when they see someone else slacking off.\You're a teacher.\There are certain lines you shouldn't cross with your students.\You don't want me to go there because you understand, right?\You know Mashiro isn't slacking off.\She just doesn't know how to face...\an emotion she's never felt before.\Mashiro doesn't know how to reconcile with someone. response:	What good will facing her with your own half-baked feelings do?
context: You're a teacher.\There are certain lines you shouldn't cross with your students.\You don't want me to go there because you understand, right?\You know Mashiro isn't slacking off.\She just doesn't know how to face...\an emotion she's never felt before.\Mashiro doesn't know how to reconcile with someone.\What good will facing her with your own half-baked feelings do? response:	Are you telling me to apologize to her?
context: There are certain lines you shouldn't cross with your students.\You don't want me to go there because you understand, right?\You know Mashiro isn't slacking off.\She just doesn't know how to face...\an emotion she's never felt before.\Mashiro doesn't know how to reconcile with someone.\What good will facing her with your own half-baked feelings do?\Are you telling me to apologize to her? response:	You idiot. You're such a little kid.
context: You don't want me to go there because you understand, right?\You know Mashiro isn't slacking off.\She just doesn't know how to face...\an emotion she's never felt before.\Mashiro doesn't know how to reconcile with someone.\What good will facing her with your own half-baked feelings do?\Are you telling me to apologize to her?\You idiot. You're such a little kid. response:	How so?
context: You know Mashiro isn't slacking off.\She just doesn't know how to face...\an emotion she's never felt before.\Mashiro doesn't know how to reconcile with someone.\What good will facing her with your own half-baked feelings do?\Are you telling me to apologize to her?\You idiot. You're such a little kid.\How so? response:	Because if something isn't white, you reckon it must be black.
context: She just doesn't know how to face...\an emotion she's never felt before.\Mashiro doesn't know how to reconcile with someone.\What good will facing her with your own half-baked feelings do?\Are you telling me to apologize to her?\You idiot. You're such a little kid.\How so?\Because if something isn't white, you reckon it must be black. response:	The world isn't that simple.
context: an emotion she's never felt before.\Mashiro doesn't know how to reconcile with someone.\What good will facing her with your own half-baked feelings do?\Are you telling me to apologize to her?\You idiot. You're such a little kid.\How so?\Because if something isn't white, you reckon it must be black.\The world isn't that simple. response:	Most things aren't that clear.
context: Mashiro doesn't know how to reconcile with someone.\What good will facing her with your own half-baked feelings do?\Are you telling me to apologize to her?\You idiot. You're such a little kid.\How so?\Because if something isn't white, you reckon it must be black.\The world isn't that simple.\Most things aren't that clear. response:	They're neither white nor black. They're gray.
context: What good will facing her with your own half-baked feelings do?\Are you telling me to apologize to her?\You idiot. You're such a little kid.\How so?\Because if something isn't white, you reckon it must be black.\The world isn't that simple.\Most things aren't that clear.\They're neither white nor black. They're gray. response:	Do you understand?
context: Are you telling me to apologize to her?\You idiot. You're such a little kid.\How so?\Because if something isn't white, you reckon it must be black.\The world isn't that simple.\Most things aren't that clear.\They're neither white nor black. They're gray.\Do you understand? response:	What am I supposed to do, then?
context: You idiot. You're such a little kid.\How so?\Because if something isn't white, you reckon it must be black.\The world isn't that simple.\Most things aren't that clear.\They're neither white nor black. They're gray.\Do you understand?\What am I supposed to do, then? response:	How should I know?
context: How so?\Because if something isn't white, you reckon it must be black.\The world isn't that simple.\Most things aren't that clear.\They're neither white nor black. They're gray.\Do you understand?\What am I supposed to do, then?\How should I know? response:	All I know is, if you become...
context: Because if something isn't white, you reckon it must be black.\The world isn't that simple.\Most things aren't that clear.\They're neither white nor black. They're gray.\Do you understand?\What am I supposed to do, then?\How should I know?\All I know is, if you become... response:	someone who can only accept his own ideal scenario,
context: The world isn't that simple.\Most things aren't that clear.\They're neither white nor black. They're gray.\Do you understand?\What am I supposed to do, then?\How should I know?\All I know is, if you become...\someone who can only accept his own ideal scenario, response:	you'll make yourself and everyone around you unhappy.
context: Most things aren't that clear.\They're neither white nor black. They're gray.\Do you understand?\What am I supposed to do, then?\How should I know?\All I know is, if you become...\someone who can only accept his own ideal scenario,\you'll make yourself and everyone around you unhappy. response:	Huh? What is that supposed to
context: They're neither white nor black. They're gray.\Do you understand?\What am I supposed to do, then?\How should I know?\All I know is, if you become...\someone who can only accept his own ideal scenario,\you'll make yourself and everyone around you unhappy.\Huh? What is that supposed to response:	Do something about Mashiro.
context: Do you understand?\What am I supposed to do, then?\How should I know?\All I know is, if you become...\someone who can only accept his own ideal scenario,\you'll make yourself and everyone around you unhappy.\Huh? What is that supposed to\Do something about Mashiro. response:	That's all.
context: What am I supposed to do, then?\How should I know?\All I know is, if you become...\someone who can only accept his own ideal scenario,\you'll make yourself and everyone around you unhappy.\Huh? What is that supposed to\Do something about Mashiro.\That's all. response:	Because I'm on Mashiro Duty?
context: How should I know?\All I know is, if you become...\someone who can only accept his own ideal scenario,\you'll make yourself and everyone around you unhappy.\Huh? What is that supposed to\Do something about Mashiro.\That's all.\Because I'm on Mashiro Duty? response:	Because you're a man.
context: All I know is, if you become...\someone who can only accept his own ideal scenario,\you'll make yourself and everyone around you unhappy.\Huh? What is that supposed to\Do something about Mashiro.\That's all.\Because I'm on Mashiro Duty?\Because you're a man. response:	Oh, right.
context: someone who can only accept his own ideal scenario,\you'll make yourself and everyone around you unhappy.\Huh? What is that supposed to\Do something about Mashiro.\That's all.\Because I'm on Mashiro Duty?\Because you're a man.\Oh, right. response:	I'm locking up Sakura Hall at the end of this year.
context: you'll make yourself and everyone around you unhappy.\Huh? What is that supposed to\Do something about Mashiro.\That's all.\Because I'm on Mashiro Duty?\Because you're a man.\Oh, right.\I'm locking up Sakura Hall at the end of this year. response:	What?
context: Huh? What is that supposed to\Do something about Mashiro.\That's all.\Because I'm on Mashiro Duty?\Because you're a man.\Oh, right.\I'm locking up Sakura Hall at the end of this year.\What? response:	I'm going to go have some fun in Australia.
context: Do something about Mashiro.\That's all.\Because I'm on Mashiro Duty?\Because you're a man.\Oh, right.\I'm locking up Sakura Hall at the end of this year.\What?\I'm going to go have some fun in Australia. response:	You'll all have to go home.
context: That's all.\Because I'm on Mashiro Duty?\Because you're a man.\Oh, right.\I'm locking up Sakura Hall at the end of this year.\What?\I'm going to go have some fun in Australia.\You'll all have to go home. response:	But that's so sudden...
context: Because I'm on Mashiro Duty?\Because you're a man.\Oh, right.\I'm locking up Sakura Hall at the end of this year.\What?\I'm going to go have some fun in Australia.\You'll all have to go home.\But that's so sudden... response:	And so, the day approaches.
context: Because you're a man.\Oh, right.\I'm locking up Sakura Hall at the end of this year.\What?\I'm going to go have some fun in Australia.\You'll all have to go home.\But that's so sudden...\And so, the day approaches. response:	Baumkuchen: For Sorata
context: Oh, right.\I'm locking up Sakura Hall at the end of this year.\What?\I'm going to go have some fun in Australia.\You'll all have to go home.\But that's so sudden...\And so, the day approaches.\Baumkuchen: For Sorata response:	Feelings I don't know how to handle.
context: I'm locking up Sakura Hall at the end of this year.\What?\I'm going to go have some fun in Australia.\You'll all have to go home.\But that's so sudden...\And so, the day approaches.\Baumkuchen: For Sorata\Feelings I don't know how to handle. response:	Feelings I don't know if I should convey.
context: What?\I'm going to go have some fun in Australia.\You'll all have to go home.\But that's so sudden...\And so, the day approaches.\Baumkuchen: For Sorata\Feelings I don't know how to handle.\Feelings I don't know if I should convey. response:	Feelings I've decided not to convey yet.
context: I'm going to go have some fun in Australia.\You'll all have to go home.\But that's so sudden...\And so, the day approaches.\Baumkuchen: For Sorata\Feelings I don't know how to handle.\Feelings I don't know if I should convey.\Feelings I've decided not to convey yet. response:	They intersect, overlap, collide,
context: You'll all have to go home.\But that's so sudden...\And so, the day approaches.\Baumkuchen: For Sorata\Feelings I don't know how to handle.\Feelings I don't know if I should convey.\Feelings I've decided not to convey yet.\They intersect, overlap, collide, response:	and pass by each other...
context: But that's so sudden...\And so, the day approaches.\Baumkuchen: For Sorata\Feelings I don't know how to handle.\Feelings I don't know if I should convey.\Feelings I've decided not to convey yet.\They intersect, overlap, collide,\and pass by each other... response:	Handmade Cakes Tirol
context: And so, the day approaches.\Baumkuchen: For Sorata\Feelings I don't know how to handle.\Feelings I don't know if I should convey.\Feelings I've decided not to convey yet.\They intersect, overlap, collide,\and pass by each other...\Handmade Cakes Tirol response:	Make sure you bring a cake.
context: Baumkuchen: For Sorata\Feelings I don't know how to handle.\Feelings I don't know if I should convey.\Feelings I've decided not to convey yet.\They intersect, overlap, collide,\and pass by each other...\Handmade Cakes Tirol\Make sure you bring a cake. response:	She said to come by after 5pm.
context: Feelings I don't know how to handle.\Feelings I don't know if I should convey.\Feelings I've decided not to convey yet.\They intersect, overlap, collide,\and pass by each other...\Handmade Cakes Tirol\Make sure you bring a cake.\She said to come by after 5pm. response:	Sure.
context: Feelings I don't know if I should convey.\Feelings I've decided not to convey yet.\They intersect, overlap, collide,\and pass by each other...\Handmade Cakes Tirol\Make sure you bring a cake.\She said to come by after 5pm.\Sure. response:	Don't forget.
context: Feelings I've decided not to convey yet.\They intersect, overlap, collide,\and pass by each other...\Handmade Cakes Tirol\Make sure you bring a cake.\She said to come by after 5pm.\Sure.\Don't forget. response:	You're a sight for sore eyes!
context: They intersect, overlap, collide,\and pass by each other...\Handmade Cakes Tirol\Make sure you bring a cake.\She said to come by after 5pm.\Sure.\Don't forget.\You're a sight for sore eyes! response:	How do I look, kouhai-kun?
context: and pass by each other...\Handmade Cakes Tirol\Make sure you bring a cake.\She said to come by after 5pm.\Sure.\Don't forget.\You're a sight for sore eyes!\How do I look, kouhai-kun? response:	Oh, um...
context: Handmade Cakes Tirol\Make sure you bring a cake.\She said to come by after 5pm.\Sure.\Don't forget.\You're a sight for sore eyes!\How do I look, kouhai-kun?\Oh, um... response:	I'm so cute, you're at a loss for words?
context: Make sure you bring a cake.\She said to come by after 5pm.\Sure.\Don't forget.\You're a sight for sore eyes!\How do I look, kouhai-kun?\Oh, um...\I'm so cute, you're at a loss for words? response:	I see, I see.
context: She said to come by after 5pm.\Sure.\Don't forget.\You're a sight for sore eyes!\How do I look, kouhai-kun?\Oh, um...\I'm so cute, you're at a loss for words?\I see, I see. response:	You look like you're pretty comfortable wearing that.
context: Sure.\Don't forget.\You're a sight for sore eyes!\How do I look, kouhai-kun?\Oh, um...\I'm so cute, you're at a loss for words?\I see, I see.\You look like you're pretty comfortable wearing that. response:	I've worn dresses to award ceremonies.
context: Don't forget.\You're a sight for sore eyes!\How do I look, kouhai-kun?\Oh, um...\I'm so cute, you're at a loss for words?\I see, I see.\You look like you're pretty comfortable wearing that.\I've worn dresses to award ceremonies. response:	Here, wear a coat.
context: You're a sight for sore eyes!\How do I look, kouhai-kun?\Oh, um...\I'm so cute, you're at a loss for words?\I see, I see.\You look like you're pretty comfortable wearing that.\I've worn dresses to award ceremonies.\Here, wear a coat. response:	The rest is up to you, Jin-san.
context: How do I look, kouhai-kun?\Oh, um...\I'm so cute, you're at a loss for words?\I see, I see.\You look like you're pretty comfortable wearing that.\I've worn dresses to award ceremonies.\Here, wear a coat.\The rest is up to you, Jin-san. response:	You don't have to run.
context: Oh, um...\I'm so cute, you're at a loss for words?\I see, I see.\You look like you're pretty comfortable wearing that.\I've worn dresses to award ceremonies.\Here, wear a coat.\The rest is up to you, Jin-san.\You don't have to run. response:	Misaki.
context: I'm so cute, you're at a loss for words?\I see, I see.\You look like you're pretty comfortable wearing that.\I've worn dresses to award ceremonies.\Here, wear a coat.\The rest is up to you, Jin-san.\You don't have to run.\Misaki. response:	What?
context: I see, I see.\You look like you're pretty comfortable wearing that.\I've worn dresses to award ceremonies.\Here, wear a coat.\The rest is up to you, Jin-san.\You don't have to run.\Misaki.\What? response:	Are you going to the Sakura Hall party?
context: You look like you're pretty comfortable wearing that.\I've worn dresses to award ceremonies.\Here, wear a coat.\The rest is up to you, Jin-san.\You don't have to run.\Misaki.\What?\Are you going to the Sakura Hall party? response:	Of course I am.
context: I've worn dresses to award ceremonies.\Here, wear a coat.\The rest is up to you, Jin-san.\You don't have to run.\Misaki.\What?\Are you going to the Sakura Hall party?\Of course I am. response:	We'll be exchanging gifts, so don't forget to bring something.
context: Here, wear a coat.\The rest is up to you, Jin-san.\You don't have to run.\Misaki.\What?\Are you going to the Sakura Hall party?\Of course I am.\We'll be exchanging gifts, so don't forget to bring something. response:	This isn't good...
context: The rest is up to you, Jin-san.\You don't have to run.\Misaki.\What?\Are you going to the Sakura Hall party?\Of course I am.\We'll be exchanging gifts, so don't forget to bring something.\This isn't good... response:	Mashiro doesn't know how to reconcile with someone.
context: You don't have to run.\Misaki.\What?\Are you going to the Sakura Hall party?\Of course I am.\We'll be exchanging gifts, so don't forget to bring something.\This isn't good...\Mashiro doesn't know how to reconcile with someone. response:	What good will facing her with your own half-baked feelings do?
context: Misaki.\What?\Are you going to the Sakura Hall party?\Of course I am.\We'll be exchanging gifts, so don't forget to bring something.\This isn't good...\Mashiro doesn't know how to reconcile with someone.\What good will facing her with your own half-baked feelings do? response:	Sorata.
context: What?\Are you going to the Sakura Hall party?\Of course I am.\We'll be exchanging gifts, so don't forget to bring something.\This isn't good...\Mashiro doesn't know how to reconcile with someone.\What good will facing her with your own half-baked feelings do?\Sorata. response:	That letter...
context: Are you going to the Sakura Hall party?\Of course I am.\We'll be exchanging gifts, so don't forget to bring something.\This isn't good...\Mashiro doesn't know how to reconcile with someone.\What good will facing her with your own half-baked feelings do?\Sorata.\That letter... response:	It's the results of the audition.
context: Of course I am.\We'll be exchanging gifts, so don't forget to bring something.\This isn't good...\Mashiro doesn't know how to reconcile with someone.\What good will facing her with your own half-baked feelings do?\Sorata.\That letter...\It's the results of the audition. response:	You're not going to look?
context: We'll be exchanging gifts, so don't forget to bring something.\This isn't good...\Mashiro doesn't know how to reconcile with someone.\What good will facing her with your own half-baked feelings do?\Sorata.\That letter...\It's the results of the audition.\You're not going to look? response:	I'll look later.
context: This isn't good...\Mashiro doesn't know how to reconcile with someone.\What good will facing her with your own half-baked feelings do?\Sorata.\That letter...\It's the results of the audition.\You're not going to look?\I'll look later. response:	Thank you, Kanda-kun.
context: Mashiro doesn't know how to reconcile with someone.\What good will facing her with your own half-baked feelings do?\Sorata.\That letter...\It's the results of the audition.\You're not going to look?\I'll look later.\Thank you, Kanda-kun. response:	Don't mention it.
context: What good will facing her with your own half-baked feelings do?\Sorata.\That letter...\It's the results of the audition.\You're not going to look?\I'll look later.\Thank you, Kanda-kun.\Don't mention it. response:	I'll take the princess from here.
context: Sorata.\That letter...\It's the results of the audition.\You're not going to look?\I'll look later.\Thank you, Kanda-kun.\Don't mention it.\I'll take the princess from here. response:	I'll be back by 9:30.
context: That letter...\It's the results of the audition.\You're not going to look?\I'll look later.\Thank you, Kanda-kun.\Don't mention it.\I'll take the princess from here.\I'll be back by 9:30. response:	Okay.
context: It's the results of the audition.\You're not going to look?\I'll look later.\Thank you, Kanda-kun.\Don't mention it.\I'll take the princess from here.\I'll be back by 9:30.\Okay. response:	Let me take your coat.
context: You're not going to look?\I'll look later.\Thank you, Kanda-kun.\Don't mention it.\I'll take the princess from here.\I'll be back by 9:30.\Okay.\Let me take your coat. response:	Sorata.
context: I'll look later.\Thank you, Kanda-kun.\Don't mention it.\I'll take the princess from here.\I'll be back by 9:30.\Okay.\Let me take your coat.\Sorata. response:	What's wrong?
context: Thank you, Kanda-kun.\Don't mention it.\I'll take the princess from here.\I'll be back by 9:30.\Okay.\Let me take your coat.\Sorata.\What's wrong? response:	Say something.
context: Don't mention it.\I'll take the princess from here.\I'll be back by 9:30.\Okay.\Let me take your coat.\Sorata.\What's wrong?\Say something. response:	Talk to me.
context: I'll take the princess from here.\I'll be back by 9:30.\Okay.\Let me take your coat.\Sorata.\What's wrong?\Say something.\Talk to me. response:	Did something happen?
context: I'll be back by 9:30.\Okay.\Let me take your coat.\Sorata.\What's wrong?\Say something.\Talk to me.\Did something happen? response:	No, nothing... I'll leave her to you now.
context: Okay.\Let me take your coat.\Sorata.\What's wrong?\Say something.\Talk to me.\Did something happen?\No, nothing... I'll leave her to you now. response:	Shiina, don't forget to greet people properly.
context: Let me take your coat.\Sorata.\What's wrong?\Say something.\Talk to me.\Did something happen?\No, nothing... I'll leave her to you now.\Shiina, don't forget to greet people properly. response:	Talk to me.
context: Sorata.\What's wrong?\Say something.\Talk to me.\Did something happen?\No, nothing... I'll leave her to you now.\Shiina, don't forget to greet people properly.\Talk to me. response:	Hey, what are you doing?
context: What's wrong?\Say something.\Talk to me.\Did something happen?\No, nothing... I'll leave her to you now.\Shiina, don't forget to greet people properly.\Talk to me.\Hey, what are you doing? response:	Aoyama?!
context: Say something.\Talk to me.\Did something happen?\No, nothing... I'll leave her to you now.\Shiina, don't forget to greet people properly.\Talk to me.\Hey, what are you doing?\Aoyama?! response:	There's no need to act so surprised!
context: Talk to me.\Did something happen?\No, nothing... I'll leave her to you now.\Shiina, don't forget to greet people properly.\Talk to me.\Hey, what are you doing?\Aoyama?!\There's no need to act so surprised! response:	S-Sorry. I just didn't expect this.
context: Did something happen?\No, nothing... I'll leave her to you now.\Shiina, don't forget to greet people properly.\Talk to me.\Hey, what are you doing?\Aoyama?!\There's no need to act so surprised!\S-Sorry. I just didn't expect this. response:	Does it look weird?
context: No, nothing... I'll leave her to you now.\Shiina, don't forget to greet people properly.\Talk to me.\Hey, what are you doing?\Aoyama?!\There's no need to act so surprised!\S-Sorry. I just didn't expect this.\Does it look weird? response:	That's not what I meant. You just look different.
context: Shiina, don't forget to greet people properly.\Talk to me.\Hey, what are you doing?\Aoyama?!\There's no need to act so surprised!\S-Sorry. I just didn't expect this.\Does it look weird?\That's not what I meant. You just look different. response:	Different how?
context: Talk to me.\Hey, what are you doing?\Aoyama?!\There's no need to act so surprised!\S-Sorry. I just didn't expect this.\Does it look weird?\That's not what I meant. You just look different.\Different how? response:	Let's see...
context: Hey, what are you doing?\Aoyama?!\There's no need to act so surprised!\S-Sorry. I just didn't expect this.\Does it look weird?\That's not what I meant. You just look different.\Different how?\Let's see... response:	I think this side of you isn't so bad.
context: Aoyama?!\There's no need to act so surprised!\S-Sorry. I just didn't expect this.\Does it look weird?\That's not what I meant. You just look different.\Different how?\Let's see...\I think this side of you isn't so bad. response:	Really?
