context: Makise Kurisu! response:	I did knock, for what it's worth.
context: But...\You need to understand, we'll never figure this out on our own.\But this is the Future Gadget Lab's...\You!\Christina, you said?\No, I never said that.\I'll tell you the secrets of the Phone Microwave,\but on two conditions! response:	One, you must become a Future Gadget Lab member.
context: You need to understand, we'll never figure this out on our own.\But this is the Future Gadget Lab's...\You!\Christina, you said?\No, I never said that.\I'll tell you the secrets of the Phone Microwave,\but on two conditions!\One, you must become a Future Gadget Lab member. response:	You want me to join your lab?
context: But this is the Future Gadget Lab's...\You!\Christina, you said?\No, I never said that.\I'll tell you the secrets of the Phone Microwave,\but on two conditions!\One, you must become a Future Gadget Lab member.\You want me to join your lab? response:	But I'm returning to America in August...
context: You!\Christina, you said?\No, I never said that.\I'll tell you the secrets of the Phone Microwave,\but on two conditions!\One, you must become a Future Gadget Lab member.\You want me to join your lab?\But I'm returning to America in August... response:	It can be just until then.
context: Christina, you said?\No, I never said that.\I'll tell you the secrets of the Phone Microwave,\but on two conditions!\One, you must become a Future Gadget Lab member.\You want me to join your lab?\But I'm returning to America in August...\It can be just until then. response:	And one more.
context: No, I never said that.\I'll tell you the secrets of the Phone Microwave,\but on two conditions!\One, you must become a Future Gadget Lab member.\You want me to join your lab?\But I'm returning to America in August...\It can be just until then.\And one more. response:	There's more?
context: I'll tell you the secrets of the Phone Microwave,\but on two conditions!\One, you must become a Future Gadget Lab member.\You want me to join your lab?\But I'm returning to America in August...\It can be just until then.\And one more.\There's more? response:	Forget about any sexual harassment I've done.
context: but on two conditions!\One, you must become a Future Gadget Lab member.\You want me to join your lab?\But I'm returning to America in August...\It can be just until then.\And one more.\There's more?\Forget about any sexual harassment I've done. response:	That's it.
context: One, you must become a Future Gadget Lab member.\You want me to join your lab?\But I'm returning to America in August...\It can be just until then.\And one more.\There's more?\Forget about any sexual harassment I've done.\That's it. response:	Okarin, you're a small person.
context: You want me to join your lab?\But I'm returning to America in August...\It can be just until then.\And one more.\There's more?\Forget about any sexual harassment I've done.\That's it.\Okarin, you're a small person. response:	A very small person.
context: But I'm returning to America in August...\It can be just until then.\And one more.\There's more?\Forget about any sexual harassment I've done.\That's it.\Okarin, you're a small person.\A very small person. response:	And I love that. Love it!
context: It can be just until then.\And one more.\There's more?\Forget about any sexual harassment I've done.\That's it.\Okarin, you're a small person.\A very small person.\And I love that. Love it! response:	Shut up!
context: And one more.\There's more?\Forget about any sexual harassment I've done.\That's it.\Okarin, you're a small person.\A very small person.\And I love that. Love it!\Shut up! response:	Well?
context: There's more?\Forget about any sexual harassment I've done.\That's it.\Okarin, you're a small person.\A very small person.\And I love that. Love it!\Shut up!\Well? response:	I think the conditions are very favorable...
context: Forget about any sexual harassment I've done.\That's it.\Okarin, you're a small person.\A very small person.\And I love that. Love it!\Shut up!\Well?\I think the conditions are very favorable... response:	Favorable to you.
context: That's it.\Okarin, you're a small person.\A very small person.\And I love that. Love it!\Shut up!\Well?\I think the conditions are very favorable...\Favorable to you. response:	Jeez...
context: Okarin, you're a small person.\A very small person.\And I love that. Love it!\Shut up!\Well?\I think the conditions are very favorable...\Favorable to you.\Jeez... response:	You're making my brain put out too much noradrenaline.
context: A very small person.\And I love that. Love it!\Shut up!\Well?\I think the conditions are very favorable...\Favorable to you.\Jeez...\You're making my brain put out too much noradrenaline. response:	What will you do, Christina?
context: And I love that. Love it!\Shut up!\Well?\I think the conditions are very favorable...\Favorable to you.\Jeez...\You're making my brain put out too much noradrenaline.\What will you do, Christina? response:	There's no -tina!
context: Shut up!\Well?\I think the conditions are very favorable...\Favorable to you.\Jeez...\You're making my brain put out too much noradrenaline.\What will you do, Christina?\There's no -tina! response:	Sorry, The Zombie.
context: Well?\I think the conditions are very favorable...\Favorable to you.\Jeez...\You're making my brain put out too much noradrenaline.\What will you do, Christina?\There's no -tina!\Sorry, The Zombie. response:	Say it right, Hououin Pervert-Kyouma!
context: I think the conditions are very favorable...\Favorable to you.\Jeez...\You're making my brain put out too much noradrenaline.\What will you do, Christina?\There's no -tina!\Sorry, The Zombie.\Say it right, Hououin Pervert-Kyouma! response:	What?
context: Favorable to you.\Jeez...\You're making my brain put out too much noradrenaline.\What will you do, Christina?\There's no -tina!\Sorry, The Zombie.\Say it right, Hououin Pervert-Kyouma!\What? response:	Pervert Girl Genius!
context: Jeez...\You're making my brain put out too much noradrenaline.\What will you do, Christina?\There's no -tina!\Sorry, The Zombie.\Say it right, Hououin Pervert-Kyouma!\What?\Pervert Girl Genius! response:	Perverts glaring at each other... Win!
context: You're making my brain put out too much noradrenaline.\What will you do, Christina?\There's no -tina!\Sorry, The Zombie.\Say it right, Hououin Pervert-Kyouma!\What?\Pervert Girl Genius!\Perverts glaring at each other... Win! response:	Shut up, pervert!
context: What will you do, Christina?\There's no -tina!\Sorry, The Zombie.\Say it right, Hououin Pervert-Kyouma!\What?\Pervert Girl Genius!\Perverts glaring at each other... Win!\Shut up, pervert! response:	Oh, fine.
context: There's no -tina!\Sorry, The Zombie.\Say it right, Hououin Pervert-Kyouma!\What?\Pervert Girl Genius!\Perverts glaring at each other... Win!\Shut up, pervert!\Oh, fine. response:	All right.
context: Sorry, The Zombie.\Say it right, Hououin Pervert-Kyouma!\What?\Pervert Girl Genius!\Perverts glaring at each other... Win!\Shut up, pervert!\Oh, fine.\All right. response:	I accept.
context: Say it right, Hououin Pervert-Kyouma!\What?\Pervert Girl Genius!\Perverts glaring at each other... Win!\Shut up, pervert!\Oh, fine.\All right.\I accept. response:	So no more Pervert.
context: What?\Pervert Girl Genius!\Perverts glaring at each other... Win!\Shut up, pervert!\Oh, fine.\All right.\I accept.\So no more Pervert. response:	I'll stop calling you one, too.
context: Pervert Girl Genius!\Perverts glaring at each other... Win!\Shut up, pervert!\Oh, fine.\All right.\I accept.\So no more Pervert.\I'll stop calling you one, too. response:	Very well.
context: Perverts glaring at each other... Win!\Shut up, pervert!\Oh, fine.\All right.\I accept.\So no more Pervert.\I'll stop calling you one, too.\Very well. response:	Then from now on, you're Lab Member 004!
context: Shut up, pervert!\Oh, fine.\All right.\I accept.\So no more Pervert.\I'll stop calling you one, too.\Very well.\Then from now on, you're Lab Member 004! response:	Christina!
context: Oh, fine.\All right.\I accept.\So no more Pervert.\I'll stop calling you one, too.\Very well.\Then from now on, you're Lab Member 004!\Christina! response:	No -tina, either!
context: All right.\I accept.\So no more Pervert.\I'll stop calling you one, too.\Very well.\Then from now on, you're Lab Member 004!\Christina!\No -tina, either! response:	Juicy Kara-age 1... Wow!
context: I accept.\So no more Pervert.\I'll stop calling you one, too.\Very well.\Then from now on, you're Lab Member 004!\Christina!\No -tina, either!\Juicy Kara-age 1... Wow! response:	I'm back!
context: So no more Pervert.\I'll stop calling you one, too.\Very well.\Then from now on, you're Lab Member 004!\Christina!\No -tina, either!\Juicy Kara-age 1... Wow!\I'm back! response:	You think it's a teleporter?
context: I'll stop calling you one, too.\Very well.\Then from now on, you're Lab Member 004!\Christina!\No -tina, either!\Juicy Kara-age 1... Wow!\I'm back!\You think it's a teleporter? response:	It's dangerous to jump to conclusions.
context: Very well.\Then from now on, you're Lab Member 004!\Christina!\No -tina, either!\Juicy Kara-age 1... Wow!\I'm back!\You think it's a teleporter?\It's dangerous to jump to conclusions. response:	Then what do you think it is?
context: Then from now on, you're Lab Member 004!\Christina!\No -tina, either!\Juicy Kara-age 1... Wow!\I'm back!\You think it's a teleporter?\It's dangerous to jump to conclusions.\Then what do you think it is? response:	If nothing else,
context: Christina!\No -tina, either!\Juicy Kara-age 1... Wow!\I'm back!\You think it's a teleporter?\It's dangerous to jump to conclusions.\Then what do you think it is?\If nothing else, response:	it didn't teleport the Juicy Kara-age or the banana bunch.
context: No -tina, either!\Juicy Kara-age 1... Wow!\I'm back!\You think it's a teleporter?\It's dangerous to jump to conclusions.\Then what do you think it is?\If nothing else,\it didn't teleport the Juicy Kara-age or the banana bunch. response:	One, two, three, four...
context: Juicy Kara-age 1... Wow!\I'm back!\You think it's a teleporter?\It's dangerous to jump to conclusions.\Then what do you think it is?\If nothing else,\it didn't teleport the Juicy Kara-age or the banana bunch.\One, two, three, four... response:	A guest?
context: I'm back!\You think it's a teleporter?\It's dangerous to jump to conclusions.\Then what do you think it is?\If nothing else,\it didn't teleport the Juicy Kara-age or the banana bunch.\One, two, three, four...\A guest? response:	Hello there.
context: You think it's a teleporter?\It's dangerous to jump to conclusions.\Then what do you think it is?\If nothing else,\it didn't teleport the Juicy Kara-age or the banana bunch.\One, two, three, four...\A guest?\Hello there. response:	I'm Makise Kurisu.
context: It's dangerous to jump to conclusions.\Then what do you think it is?\If nothing else,\it didn't teleport the Juicy Kara-age or the banana bunch.\One, two, three, four...\A guest?\Hello there.\I'm Makise Kurisu. response:	I'm sorry to just show up, out of the blue.
context: Then what do you think it is?\If nothing else,\it didn't teleport the Juicy Kara-age or the banana bunch.\One, two, three, four...\A guest?\Hello there.\I'm Makise Kurisu.\I'm sorry to just show up, out of the blue. response:	Shiina Mayuri.
context: If nothing else,\it didn't teleport the Juicy Kara-age or the banana bunch.\One, two, three, four...\A guest?\Hello there.\I'm Makise Kurisu.\I'm sorry to just show up, out of the blue.\Shiina Mayuri. response:	It looks like I'm a lab member now, too.
context: it didn't teleport the Juicy Kara-age or the banana bunch.\One, two, three, four...\A guest?\Hello there.\I'm Makise Kurisu.\I'm sorry to just show up, out of the blue.\Shiina Mayuri.\It looks like I'm a lab member now, too. response:	A lab member?
context: One, two, three, four...\A guest?\Hello there.\I'm Makise Kurisu.\I'm sorry to just show up, out of the blue.\Shiina Mayuri.\It looks like I'm a lab member now, too.\A lab member? response:	Yes...
context: A guest?\Hello there.\I'm Makise Kurisu.\I'm sorry to just show up, out of the blue.\Shiina Mayuri.\It looks like I'm a lab member now, too.\A lab member?\Yes... response:	A girl lab member!
context: Hello there.\I'm Makise Kurisu.\I'm sorry to just show up, out of the blue.\Shiina Mayuri.\It looks like I'm a lab member now, too.\A lab member?\Yes...\A girl lab member! response:	Is it that rare?
context: I'm Makise Kurisu.\I'm sorry to just show up, out of the blue.\Shiina Mayuri.\It looks like I'm a lab member now, too.\A lab member?\Yes...\A girl lab member!\Is it that rare? response:	Yes! Yes! Yes!
context: I'm sorry to just show up, out of the blue.\Shiina Mayuri.\It looks like I'm a lab member now, too.\A lab member?\Yes...\A girl lab member!\Is it that rare?\Yes! Yes! Yes! response:	You're the first girl lab member after Mayushii!
context: Shiina Mayuri.\It looks like I'm a lab member now, too.\A lab member?\Yes...\A girl lab member!\Is it that rare?\Yes! Yes! Yes!\You're the first girl lab member after Mayushii! response:	I see.
context: It looks like I'm a lab member now, too.\A lab member?\Yes...\A girl lab member!\Is it that rare?\Yes! Yes! Yes!\You're the first girl lab member after Mayushii!\I see. response:	Nice to meet you.
context: A lab member?\Yes...\A girl lab member!\Is it that rare?\Yes! Yes! Yes!\You're the first girl lab member after Mayushii!\I see.\Nice to meet you. response:	Yes, nice to meet you.
context: Yes...\A girl lab member!\Is it that rare?\Yes! Yes! Yes!\You're the first girl lab member after Mayushii!\I see.\Nice to meet you.\Yes, nice to meet you. response:	What?
context: A girl lab member!\Is it that rare?\Yes! Yes! Yes!\You're the first girl lab member after Mayushii!\I see.\Nice to meet you.\Yes, nice to meet you.\What? response:	What happened?
context: Is it that rare?\Yes! Yes! Yes!\You're the first girl lab member after Mayushii!\I see.\Nice to meet you.\Yes, nice to meet you.\What?\What happened? response:	There was some electrical release.
context: Yes! Yes! Yes!\You're the first girl lab member after Mayushii!\I see.\Nice to meet you.\Yes, nice to meet you.\What?\What happened?\There was some electrical release. response:	Why didn't you tell me earlier?
context: You're the first girl lab member after Mayushii!\I see.\Nice to meet you.\Yes, nice to meet you.\What?\What happened?\There was some electrical release.\Why didn't you tell me earlier? response:	Give me the details.
context: I see.\Nice to meet you.\Yes, nice to meet you.\What?\What happened?\There was some electrical release.\Why didn't you tell me earlier?\Give me the details. response:	Um... Well...
context: Nice to meet you.\Yes, nice to meet you.\What?\What happened?\There was some electrical release.\Why didn't you tell me earlier?\Give me the details.\Um... Well... response:	Some kind of lightning came from the microwave.
context: Yes, nice to meet you.\What?\What happened?\There was some electrical release.\Why didn't you tell me earlier?\Give me the details.\Um... Well...\Some kind of lightning came from the microwave. response:	When?
context: What?\What happened?\There was some electrical release.\Why didn't you tell me earlier?\Give me the details.\Um... Well...\Some kind of lightning came from the microwave.\When? response:	Yesterday, around noon.
context: What happened?\There was some electrical release.\Why didn't you tell me earlier?\Give me the details.\Um... Well...\Some kind of lightning came from the microwave.\When?\Yesterday, around noon. response:	You saw the thing about the satellite crash and ran out,
context: There was some electrical release.\Why didn't you tell me earlier?\Give me the details.\Um... Well...\Some kind of lightning came from the microwave.\When?\Yesterday, around noon.\You saw the thing about the satellite crash and ran out, response:	and I connected my phone to it.
context: Why didn't you tell me earlier?\Give me the details.\Um... Well...\Some kind of lightning came from the microwave.\When?\Yesterday, around noon.\You saw the thing about the satellite crash and ran out,\and I connected my phone to it. response:	Then, when I sent that message,
context: Give me the details.\Um... Well...\Some kind of lightning came from the microwave.\When?\Yesterday, around noon.\You saw the thing about the satellite crash and ran out,\and I connected my phone to it.\Then, when I sent that message, response:	your phone was hooked up to the Phone Microwave?
context: Um... Well...\Some kind of lightning came from the microwave.\When?\Yesterday, around noon.\You saw the thing about the satellite crash and ran out,\and I connected my phone to it.\Then, when I sent that message,\your phone was hooked up to the Phone Microwave? response:	The one about Miss Makise being stabbed?
context: Some kind of lightning came from the microwave.\When?\Yesterday, around noon.\You saw the thing about the satellite crash and ran out,\and I connected my phone to it.\Then, when I sent that message,\your phone was hooked up to the Phone Microwave?\The one about Miss Makise being stabbed? response:	That was a week ago, wasn't it?
context: When?\Yesterday, around noon.\You saw the thing about the satellite crash and ran out,\and I connected my phone to it.\Then, when I sent that message,\your phone was hooked up to the Phone Microwave?\The one about Miss Makise being stabbed?\That was a week ago, wasn't it? response:	No, that was yesterday!
context: Yesterday, around noon.\You saw the thing about the satellite crash and ran out,\and I connected my phone to it.\Then, when I sent that message,\your phone was hooked up to the Phone Microwave?\The one about Miss Makise being stabbed?\That was a week ago, wasn't it?\No, that was yesterday! response:	Where is it? Where is it?
context: You saw the thing about the satellite crash and ran out,\and I connected my phone to it.\Then, when I sent that message,\your phone was hooked up to the Phone Microwave?\The one about Miss Makise being stabbed?\That was a week ago, wasn't it?\No, that was yesterday!\Where is it? Where is it? response:	Why isn't it here?!
context: and I connected my phone to it.\Then, when I sent that message,\your phone was hooked up to the Phone Microwave?\The one about Miss Makise being stabbed?\That was a week ago, wasn't it?\No, that was yesterday!\Where is it? Where is it?\Why isn't it here?! response:	When this happened, what was the microwave doing?
context: Then, when I sent that message,\your phone was hooked up to the Phone Microwave?\The one about Miss Makise being stabbed?\That was a week ago, wasn't it?\No, that was yesterday!\Where is it? Where is it?\Why isn't it here?!\When this happened, what was the microwave doing? response:	I was doing a systems test...
context: your phone was hooked up to the Phone Microwave?\The one about Miss Makise being stabbed?\That was a week ago, wasn't it?\No, that was yesterday!\Where is it? Where is it?\Why isn't it here?!\When this happened, what was the microwave doing?\I was doing a systems test... response:	So I think it was during the reverse spinning testing.
context: The one about Miss Makise being stabbed?\That was a week ago, wasn't it?\No, that was yesterday!\Where is it? Where is it?\Why isn't it here?!\When this happened, what was the microwave doing?\I was doing a systems test...\So I think it was during the reverse spinning testing. response:	We should try to recreate this.
context: That was a week ago, wasn't it?\No, that was yesterday!\Where is it? Where is it?\Why isn't it here?!\When this happened, what was the microwave doing?\I was doing a systems test...\So I think it was during the reverse spinning testing.\We should try to recreate this. response:	Mayuri, bring me the Juicy Kara-age 1!
context: No, that was yesterday!\Where is it? Where is it?\Why isn't it here?!\When this happened, what was the microwave doing?\I was doing a systems test...\So I think it was during the reverse spinning testing.\We should try to recreate this.\Mayuri, bring me the Juicy Kara-age 1! response:	Okay!
context: Where is it? Where is it?\Why isn't it here?!\When this happened, what was the microwave doing?\I was doing a systems test...\So I think it was during the reverse spinning testing.\We should try to recreate this.\Mayuri, bring me the Juicy Kara-age 1!\Okay! response:	You want some, everyone?
context: Why isn't it here?!\When this happened, what was the microwave doing?\I was doing a systems test...\So I think it was during the reverse spinning testing.\We should try to recreate this.\Mayuri, bring me the Juicy Kara-age 1!\Okay!\You want some, everyone? response:	I can give each of you one.
context: When this happened, what was the microwave doing?\I was doing a systems test...\So I think it was during the reverse spinning testing.\We should try to recreate this.\Mayuri, bring me the Juicy Kara-age 1!\Okay!\You want some, everyone?\I can give each of you one. response:	Do we need to put something in there?
context: I was doing a systems test...\So I think it was during the reverse spinning testing.\We should try to recreate this.\Mayuri, bring me the Juicy Kara-age 1!\Okay!\You want some, everyone?\I can give each of you one.\Do we need to put something in there? response:	I want to see
context: So I think it was during the reverse spinning testing.\We should try to recreate this.\Mayuri, bring me the Juicy Kara-age 1!\Okay!\You want some, everyone?\I can give each of you one.\Do we need to put something in there?\I want to see response:	what happens to its contents when it revolves backwards.
context: We should try to recreate this.\Mayuri, bring me the Juicy Kara-age 1!\Okay!\You want some, everyone?\I can give each of you one.\Do we need to put something in there?\I want to see\what happens to its contents when it revolves backwards. response:	Daru.
context: Mayuri, bring me the Juicy Kara-age 1!\Okay!\You want some, everyone?\I can give each of you one.\Do we need to put something in there?\I want to see\what happens to its contents when it revolves backwards.\Daru. response:	Assistant, send a message to my phone.
context: Okay!\You want some, everyone?\I can give each of you one.\Do we need to put something in there?\I want to see\what happens to its contents when it revolves backwards.\Daru.\Assistant, send a message to my phone. response:	Since when am I your assistant?
context: You want some, everyone?\I can give each of you one.\Do we need to put something in there?\I want to see\what happens to its contents when it revolves backwards.\Daru.\Assistant, send a message to my phone.\Since when am I your assistant? response:	And I don't know your address.
context: I can give each of you one.\Do we need to put something in there?\I want to see\what happens to its contents when it revolves backwards.\Daru.\Assistant, send a message to my phone.\Since when am I your assistant?\And I don't know your address. response:	Useless assistant.
context: Do we need to put something in there?\I want to see\what happens to its contents when it revolves backwards.\Daru.\Assistant, send a message to my phone.\Since when am I your assistant?\And I don't know your address.\Useless assistant. response:	Daru, your phone's fine.
context: I want to see\what happens to its contents when it revolves backwards.\Daru.\Assistant, send a message to my phone.\Since when am I your assistant?\And I don't know your address.\Useless assistant.\Daru, your phone's fine. response:	What should the subject be?
context: what happens to its contents when it revolves backwards.\Daru.\Assistant, send a message to my phone.\Since when am I your assistant?\And I don't know your address.\Useless assistant.\Daru, your phone's fine.\What should the subject be? response:	Let me see.
context: Daru.\Assistant, send a message to my phone.\Since when am I your assistant?\And I don't know your address.\Useless assistant.\Daru, your phone's fine.\What should the subject be?\Let me see. response:	Christina is a pervert.
context: Assistant, send a message to my phone.\Since when am I your assistant?\And I don't know your address.\Useless assistant.\Daru, your phone's fine.\What should the subject be?\Let me see.\Christina is a pervert. response:	I told you that's off-limits.
context: Since when am I your assistant?\And I don't know your address.\Useless assistant.\Daru, your phone's fine.\What should the subject be?\Let me see.\Christina is a pervert.\I told you that's off-limits. response:	Then we'll split the difference and go with Okarin is a pervert...
context: And I don't know your address.\Useless assistant.\Daru, your phone's fine.\What should the subject be?\Let me see.\Christina is a pervert.\I told you that's off-limits.\Then we'll split the difference and go with Okarin is a pervert... response:	What?
context: Useless assistant.\Daru, your phone's fine.\What should the subject be?\Let me see.\Christina is a pervert.\I told you that's off-limits.\Then we'll split the difference and go with Okarin is a pervert...\What? response:	Hashida-san, good job!
context: Daru, your phone's fine.\What should the subject be?\Let me see.\Christina is a pervert.\I told you that's off-limits.\Then we'll split the difference and go with Okarin is a pervert...\What?\Hashida-san, good job! response:	Okay, sending.
context: What should the subject be?\Let me see.\Christina is a pervert.\I told you that's off-limits.\Then we'll split the difference and go with Okarin is a pervert...\What?\Hashida-san, good job!\Okay, sending. response:	Now we wait for the message to arrive at the phone...
context: Let me see.\Christina is a pervert.\I told you that's off-limits.\Then we'll split the difference and go with Okarin is a pervert...\What?\Hashida-san, good job!\Okay, sending.\Now we wait for the message to arrive at the phone... response:	I bet it's ready now!
context: Christina is a pervert.\I told you that's off-limits.\Then we'll split the difference and go with Okarin is a pervert...\What?\Hashida-san, good job!\Okay, sending.\Now we wait for the message to arrive at the phone...\I bet it's ready now! response:	Wait!
context: I told you that's off-limits.\Then we'll split the difference and go with Okarin is a pervert...\What?\Hashida-san, good job!\Okay, sending.\Now we wait for the message to arrive at the phone...\I bet it's ready now!\Wait! response:	Are you okay?
context: Then we'll split the difference and go with Okarin is a pervert...\What?\Hashida-san, good job!\Okay, sending.\Now we wait for the message to arrive at the phone...\I bet it's ready now!\Wait!\Are you okay? response:	Yeah...
context: What?\Hashida-san, good job!\Okay, sending.\Now we wait for the message to arrive at the phone...\I bet it's ready now!\Wait!\Are you okay?\Yeah... response:	Gotta turn on the fan!
context: Hashida-san, good job!\Okay, sending.\Now we wait for the message to arrive at the phone...\I bet it's ready now!\Wait!\Are you okay?\Yeah...\Gotta turn on the fan! response:	What is this?
context: Okay, sending.\Now we wait for the message to arrive at the phone...\I bet it's ready now!\Wait!\Are you okay?\Yeah...\Gotta turn on the fan!\What is this? response:	The EM waves maybe?
context: Now we wait for the message to arrive at the phone...\I bet it's ready now!\Wait!\Are you okay?\Yeah...\Gotta turn on the fan!\What is this?\The EM waves maybe? response:	Don't be stupid.
context: I bet it's ready now!\Wait!\Are you okay?\Yeah...\Gotta turn on the fan!\What is this?\The EM waves maybe?\Don't be stupid. response:	A microwave's EM waves couldn't split a desk so quickly.
context: Wait!\Are you okay?\Yeah...\Gotta turn on the fan!\What is this?\The EM waves maybe?\Don't be stupid.\A microwave's EM waves couldn't split a desk so quickly. response:	They're all black!
context: Are you okay?\Yeah...\Gotta turn on the fan!\What is this?\The EM waves maybe?\Don't be stupid.\A microwave's EM waves couldn't split a desk so quickly.\They're all black! response:	And I just bought them, too!
context: Yeah...\Gotta turn on the fan!\What is this?\The EM waves maybe?\Don't be stupid.\A microwave's EM waves couldn't split a desk so quickly.\They're all black!\And I just bought them, too! response:	What do we do about the hole in the floor?
context: Gotta turn on the fan!\What is this?\The EM waves maybe?\Don't be stupid.\A microwave's EM waves couldn't split a desk so quickly.\They're all black!\And I just bought them, too!\What do we do about the hole in the floor? response:	If Mr. Braun finds that, we're in serious trouble.
context: What is this?\The EM waves maybe?\Don't be stupid.\A microwave's EM waves couldn't split a desk so quickly.\They're all black!\And I just bought them, too!\What do we do about the hole in the floor?\If Mr. Braun finds that, we're in serious trouble. response:	Well?
context: The EM waves maybe?\Don't be stupid.\A microwave's EM waves couldn't split a desk so quickly.\They're all black!\And I just bought them, too!\What do we do about the hole in the floor?\If Mr. Braun finds that, we're in serious trouble.\Well? response:	It's here.
context: Don't be stupid.\A microwave's EM waves couldn't split a desk so quickly.\They're all black!\And I just bought them, too!\What do we do about the hole in the floor?\If Mr. Braun finds that, we're in serious trouble.\Well?\It's here. response:	7/24, 17:30.
context: A microwave's EM waves couldn't split a desk so quickly.\They're all black!\And I just bought them, too!\What do we do about the hole in the floor?\If Mr. Braun finds that, we're in serious trouble.\Well?\It's here.\7/24, 17:30. response:	It went back to the past...
context: They're all black!\And I just bought them, too!\What do we do about the hole in the floor?\If Mr. Braun finds that, we're in serious trouble.\Well?\It's here.\7/24, 17:30.\It went back to the past... response:	Did you find something?
context: And I just bought them, too!\What do we do about the hole in the floor?\If Mr. Braun finds that, we're in serious trouble.\Well?\It's here.\7/24, 17:30.\It went back to the past...\Did you find something? response:	Yes. It's all coming together!
context: What do we do about the hole in the floor?\If Mr. Braun finds that, we're in serious trouble.\Well?\It's here.\7/24, 17:30.\It went back to the past...\Did you find something?\Yes. It's all coming together! response:	I can see it...
context: If Mr. Braun finds that, we're in serious trouble.\Well?\It's here.\7/24, 17:30.\It went back to the past...\Did you find something?\Yes. It's all coming together!\I can see it... response:	The one answer this all points to!
context: Well?\It's here.\7/24, 17:30.\It went back to the past...\Did you find something?\Yes. It's all coming together!\I can see it...\The one answer this all points to! response:	Really?
context: It's here.\7/24, 17:30.\It went back to the past...\Did you find something?\Yes. It's all coming together!\I can see it...\The one answer this all points to!\Really? response:	The banana, split off from the bunch, returned to it!
context: 7/24, 17:30.\It went back to the past...\Did you find something?\Yes. It's all coming together!\I can see it...\The one answer this all points to!\Really?\The banana, split off from the bunch, returned to it! response:	The message traveled five days into the past.
context: It went back to the past...\Did you find something?\Yes. It's all coming together!\I can see it...\The one answer this all points to!\Really?\The banana, split off from the bunch, returned to it!\The message traveled five days into the past. response:	No way. You can't mean...
context: Did you find something?\Yes. It's all coming together!\I can see it...\The one answer this all points to!\Really?\The banana, split off from the bunch, returned to it!\The message traveled five days into the past.\No way. You can't mean... response:	That's right!
context: Yes. It's all coming together!\I can see it...\The one answer this all points to!\Really?\The banana, split off from the bunch, returned to it!\The message traveled five days into the past.\No way. You can't mean...\That's right! response:	The Phone Microwave is...
context: I can see it...\The one answer this all points to!\Really?\The banana, split off from the bunch, returned to it!\The message traveled five days into the past.\No way. You can't mean...\That's right!\The Phone Microwave is... response:	Thirteen messages?
context: The one answer this all points to!\Really?\The banana, split off from the bunch, returned to it!\The message traveled five days into the past.\No way. You can't mean...\That's right!\The Phone Microwave is...\Thirteen messages? response:	The lightning...
context: Really?\The banana, split off from the bunch, returned to it!\The message traveled five days into the past.\No way. You can't mean...\That's right!\The Phone Microwave is...\Thirteen messages?\The lightning... response:	Oh, right.
context: The banana, split off from the bunch, returned to it!\The message traveled five days into the past.\No way. You can't mean...\That's right!\The Phone Microwave is...\Thirteen messages?\The lightning...\Oh, right. response:	I dubbed her the Shining Finger.
context: The message traveled five days into the past.\No way. You can't mean...\That's right!\The Phone Microwave is...\Thirteen messages?\The lightning...\Oh, right.\I dubbed her the Shining Finger. response:	But this many?
context: No way. You can't mean...\That's right!\The Phone Microwave is...\Thirteen messages?\The lightning...\Oh, right.\I dubbed her the Shining Finger.\But this many? response:	Message me now.
context: That's right!\The Phone Microwave is...\Thirteen messages?\The lightning...\Oh, right.\I dubbed her the Shining Finger.\But this many?\Message me now. response:	Are you asleep?
context: The Phone Microwave is...\Thirteen messages?\The lightning...\Oh, right.\I dubbed her the Shining Finger.\But this many?\Message me now.\Are you asleep? response:	How long are you going to sleep?
context: Thirteen messages?\The lightning...\Oh, right.\I dubbed her the Shining Finger.\But this many?\Message me now.\Are you asleep?\How long are you going to sleep? response:	Daru?
context: The lightning...\Oh, right.\I dubbed her the Shining Finger.\But this many?\Message me now.\Are you asleep?\How long are you going to sleep?\Daru? response:	Wanna go for a walk?
context: Oh, right.\I dubbed her the Shining Finger.\But this many?\Message me now.\Are you asleep?\How long are you going to sleep?\Daru?\Wanna go for a walk? response:	What's wrong?
context: I dubbed her the Shining Finger.\But this many?\Message me now.\Are you asleep?\How long are you going to sleep?\Daru?\Wanna go for a walk?\What's wrong? response:	Damage is pretty bad.
context: But this many?\Message me now.\Are you asleep?\How long are you going to sleep?\Daru?\Wanna go for a walk?\What's wrong?\Damage is pretty bad. response:	I worked all night, with nothing to show for it.
context: Message me now.\Are you asleep?\How long are you going to sleep?\Daru?\Wanna go for a walk?\What's wrong?\Damage is pretty bad.\I worked all night, with nothing to show for it. response:	I regret trying.
context: Are you asleep?\How long are you going to sleep?\Daru?\Wanna go for a walk?\What's wrong?\Damage is pretty bad.\I worked all night, with nothing to show for it.\I regret trying. response:	Why aren't they turning into gel-banas anymore?
context: How long are you going to sleep?\Daru?\Wanna go for a walk?\What's wrong?\Damage is pretty bad.\I worked all night, with nothing to show for it.\I regret trying.\Why aren't they turning into gel-banas anymore? response:	Hell if I know.
context: Daru?\Wanna go for a walk?\What's wrong?\Damage is pretty bad.\I worked all night, with nothing to show for it.\I regret trying.\Why aren't they turning into gel-banas anymore?\Hell if I know. response:	That was the only time we were able to send a message.
