context: < Ishizaki Kanami > response:	< Friend>
context: We're still investigating who's behind this and where the information was leaked.\Thank you.\Is it true that Izanami's father is here?\As expected. You've already heard about that.\You've got to drink it all.\It's delicious.\So far, we've only received information that we found a matching person.\We're still investigating that matter. response:	The time stated in the Mitaka documents isn't that far in the future.
context: Thank you.\Is it true that Izanami's father is here?\As expected. You've already heard about that.\You've got to drink it all.\It's delicious.\So far, we've only received information that we found a matching person.\We're still investigating that matter.\The time stated in the Mitaka documents isn't that far in the future. response:	We have to hurry.
context: Is it true that Izanami's father is here?\As expected. You've already heard about that.\You've got to drink it all.\It's delicious.\So far, we've only received information that we found a matching person.\We're still investigating that matter.\The time stated in the Mitaka documents isn't that far in the future.\We have to hurry. response:	While there's no moon...
context: As expected. You've already heard about that.\You've got to drink it all.\It's delicious.\So far, we've only received information that we found a matching person.\We're still investigating that matter.\The time stated in the Mitaka documents isn't that far in the future.\We have to hurry.\While there's no moon... response:	You're Ikuta's...
context: You've got to drink it all.\It's delicious.\So far, we've only received information that we found a matching person.\We're still investigating that matter.\The time stated in the Mitaka documents isn't that far in the future.\We have to hurry.\While there's no moon...\You're Ikuta's... response:	How is your family doing?
context: It's delicious.\So far, we've only received information that we found a matching person.\We're still investigating that matter.\The time stated in the Mitaka documents isn't that far in the future.\We have to hurry.\While there's no moon...\You're Ikuta's...\How is your family doing? response:	I've never had one.
context: So far, we've only received information that we found a matching person.\We're still investigating that matter.\The time stated in the Mitaka documents isn't that far in the future.\We have to hurry.\While there's no moon...\You're Ikuta's...\How is your family doing?\I've never had one. response:	I see.
context: We're still investigating that matter.\The time stated in the Mitaka documents isn't that far in the future.\We have to hurry.\While there's no moon...\You're Ikuta's...\How is your family doing?\I've never had one.\I see. response:	Okay, I'll contact you again when I get it.
context: The time stated in the Mitaka documents isn't that far in the future.\We have to hurry.\While there's no moon...\You're Ikuta's...\How is your family doing?\I've never had one.\I see.\Okay, I'll contact you again when I get it. response:	We'll meet at the usual place, okay?
context: We have to hurry.\While there's no moon...\You're Ikuta's...\How is your family doing?\I've never had one.\I see.\Okay, I'll contact you again when I get it.\We'll meet at the usual place, okay? response:	Yeah.
context: While there's no moon...\You're Ikuta's...\How is your family doing?\I've never had one.\I see.\Okay, I'll contact you again when I get it.\We'll meet at the usual place, okay?\Yeah. response:	How about a tattoo?
context: You're Ikuta's...\How is your family doing?\I've never had one.\I see.\Okay, I'll contact you again when I get it.\We'll meet at the usual place, okay?\Yeah.\How about a tattoo? response:	It'll boost up your manliness.
context: How is your family doing?\I've never had one.\I see.\Okay, I'll contact you again when I get it.\We'll meet at the usual place, okay?\Yeah.\How about a tattoo?\It'll boost up your manliness. response:	I don't want one.
context: I've never had one.\I see.\Okay, I'll contact you again when I get it.\We'll meet at the usual place, okay?\Yeah.\How about a tattoo?\It'll boost up your manliness.\I don't want one. response:	Hey, that looks pretty good.
context: I see.\Okay, I'll contact you again when I get it.\We'll meet at the usual place, okay?\Yeah.\How about a tattoo?\It'll boost up your manliness.\I don't want one.\Hey, that looks pretty good. response:	Now we just need a photo to plaster on this.
context: Okay, I'll contact you again when I get it.\We'll meet at the usual place, okay?\Yeah.\How about a tattoo?\It'll boost up your manliness.\I don't want one.\Hey, that looks pretty good.\Now we just need a photo to plaster on this. response:	I see you rented another strange car again.
context: We'll meet at the usual place, okay?\Yeah.\How about a tattoo?\It'll boost up your manliness.\I don't want one.\Hey, that looks pretty good.\Now we just need a photo to plaster on this.\I see you rented another strange car again. response:	Dolls are unexpectedly easy to distinguish.
context: Yeah.\How about a tattoo?\It'll boost up your manliness.\I don't want one.\Hey, that looks pretty good.\Now we just need a photo to plaster on this.\I see you rented another strange car again.\Dolls are unexpectedly easy to distinguish. response:	The blizzard is still at it.
context: How about a tattoo?\It'll boost up your manliness.\I don't want one.\Hey, that looks pretty good.\Now we just need a photo to plaster on this.\I see you rented another strange car again.\Dolls are unexpectedly easy to distinguish.\The blizzard is still at it. response:	Seriously...
context: It'll boost up your manliness.\I don't want one.\Hey, that looks pretty good.\Now we just need a photo to plaster on this.\I see you rented another strange car again.\Dolls are unexpectedly easy to distinguish.\The blizzard is still at it.\Seriously... response:	I can't believe I'm stuck here in Sapporo because of a blizzard.
context: I don't want one.\Hey, that looks pretty good.\Now we just need a photo to plaster on this.\I see you rented another strange car again.\Dolls are unexpectedly easy to distinguish.\The blizzard is still at it.\Seriously...\I can't believe I'm stuck here in Sapporo because of a blizzard. response:	I don't care if it's a car or a train, just get me to Tokyo immediately.
context: Hey, that looks pretty good.\Now we just need a photo to plaster on this.\I see you rented another strange car again.\Dolls are unexpectedly easy to distinguish.\The blizzard is still at it.\Seriously...\I can't believe I'm stuck here in Sapporo because of a blizzard.\I don't care if it's a car or a train, just get me to Tokyo immediately. response:	The bullet train isn't working either.
context: Now we just need a photo to plaster on this.\I see you rented another strange car again.\Dolls are unexpectedly easy to distinguish.\The blizzard is still at it.\Seriously...\I can't believe I'm stuck here in Sapporo because of a blizzard.\I don't care if it's a car or a train, just get me to Tokyo immediately.\The bullet train isn't working either. response:	Perhaps you should take an express train?
context: I see you rented another strange car again.\Dolls are unexpectedly easy to distinguish.\The blizzard is still at it.\Seriously...\I can't believe I'm stuck here in Sapporo because of a blizzard.\I don't care if it's a car or a train, just get me to Tokyo immediately.\The bullet train isn't working either.\Perhaps you should take an express train? response:	Though, there's no need to rush.
context: Dolls are unexpectedly easy to distinguish.\The blizzard is still at it.\Seriously...\I can't believe I'm stuck here in Sapporo because of a blizzard.\I don't care if it's a car or a train, just get me to Tokyo immediately.\The bullet train isn't working either.\Perhaps you should take an express train?\Though, there's no need to rush. response:	This is pathetic.
context: The blizzard is still at it.\Seriously...\I can't believe I'm stuck here in Sapporo because of a blizzard.\I don't care if it's a car or a train, just get me to Tokyo immediately.\The bullet train isn't working either.\Perhaps you should take an express train?\Though, there's no need to rush.\This is pathetic. response:	The people out there don't give shit about anything.
context: Seriously...\I can't believe I'm stuck here in Sapporo because of a blizzard.\I don't care if it's a car or a train, just get me to Tokyo immediately.\The bullet train isn't working either.\Perhaps you should take an express train?\Though, there's no need to rush.\This is pathetic.\The people out there don't give shit about anything. response:	Is this little lady a contractor?
context: I can't believe I'm stuck here in Sapporo because of a blizzard.\I don't care if it's a car or a train, just get me to Tokyo immediately.\The bullet train isn't working either.\Perhaps you should take an express train?\Though, there's no need to rush.\This is pathetic.\The people out there don't give shit about anything.\Is this little lady a contractor? response:	We use the contractors that are trained in your organization.
context: I don't care if it's a car or a train, just get me to Tokyo immediately.\The bullet train isn't working either.\Perhaps you should take an express train?\Though, there's no need to rush.\This is pathetic.\The people out there don't give shit about anything.\Is this little lady a contractor?\We use the contractors that are trained in your organization. response:	You aren't from the consulate?
context: The bullet train isn't working either.\Perhaps you should take an express train?\Though, there's no need to rush.\This is pathetic.\The people out there don't give shit about anything.\Is this little lady a contractor?\We use the contractors that are trained in your organization.\You aren't from the consulate? response:	We're from foreign affairs. Their allies.
context: Perhaps you should take an express train?\Though, there's no need to rush.\This is pathetic.\The people out there don't give shit about anything.\Is this little lady a contractor?\We use the contractors that are trained in your organization.\You aren't from the consulate?\We're from foreign affairs. Their allies. response:	Have you heard about that incident in Sapporo?
context: Though, there's no need to rush.\This is pathetic.\The people out there don't give shit about anything.\Is this little lady a contractor?\We use the contractors that are trained in your organization.\You aren't from the consulate?\We're from foreign affairs. Their allies.\Have you heard about that incident in Sapporo? response:	We haven't heard anything. Not even which organizations were involved.
context: This is pathetic.\The people out there don't give shit about anything.\Is this little lady a contractor?\We use the contractors that are trained in your organization.\You aren't from the consulate?\We're from foreign affairs. Their allies.\Have you heard about that incident in Sapporo?\We haven't heard anything. Not even which organizations were involved. response:	According to our investigations, we believe a Japanese agency is involved in that incident.
context: The people out there don't give shit about anything.\Is this little lady a contractor?\We use the contractors that are trained in your organization.\You aren't from the consulate?\We're from foreign affairs. Their allies.\Have you heard about that incident in Sapporo?\We haven't heard anything. Not even which organizations were involved.\According to our investigations, we believe a Japanese agency is involved in that incident. response:	But we have received this from an eyewitness.
context: Is this little lady a contractor?\We use the contractors that are trained in your organization.\You aren't from the consulate?\We're from foreign affairs. Their allies.\Have you heard about that incident in Sapporo?\We haven't heard anything. Not even which organizations were involved.\According to our investigations, we believe a Japanese agency is involved in that incident.\But we have received this from an eyewitness. response:	BK201.
context: We use the contractors that are trained in your organization.\You aren't from the consulate?\We're from foreign affairs. Their allies.\Have you heard about that incident in Sapporo?\We haven't heard anything. Not even which organizations were involved.\According to our investigations, we believe a Japanese agency is involved in that incident.\But we have received this from an eyewitness.\BK201. response:	And two kids.
context: You aren't from the consulate?\We're from foreign affairs. Their allies.\Have you heard about that incident in Sapporo?\We haven't heard anything. Not even which organizations were involved.\According to our investigations, we believe a Japanese agency is involved in that incident.\But we have received this from an eyewitness.\BK201.\And two kids. response:	We believe it's the doll and the girl that were mentioned in the report.
context: We're from foreign affairs. Their allies.\Have you heard about that incident in Sapporo?\We haven't heard anything. Not even which organizations were involved.\According to our investigations, we believe a Japanese agency is involved in that incident.\But we have received this from an eyewitness.\BK201.\And two kids.\We believe it's the doll and the girl that were mentioned in the report. response:	It's Suou.
context: Have you heard about that incident in Sapporo?\We haven't heard anything. Not even which organizations were involved.\According to our investigations, we believe a Japanese agency is involved in that incident.\But we have received this from an eyewitness.\BK201.\And two kids.\We believe it's the doll and the girl that were mentioned in the report.\It's Suou. response:	We can most likely find our target if we watch them.
context: We haven't heard anything. Not even which organizations were involved.\According to our investigations, we believe a Japanese agency is involved in that incident.\But we have received this from an eyewitness.\BK201.\And two kids.\We believe it's the doll and the girl that were mentioned in the report.\It's Suou.\We can most likely find our target if we watch them. response:	We've got a skilled contractor to mark them.
context: According to our investigations, we believe a Japanese agency is involved in that incident.\But we have received this from an eyewitness.\BK201.\And two kids.\We believe it's the doll and the girl that were mentioned in the report.\It's Suou.\We can most likely find our target if we watch them.\We've got a skilled contractor to mark them. response:	Ilya Sokolov. I think you've heard of her.
context: But we have received this from an eyewitness.\BK201.\And two kids.\We believe it's the doll and the girl that were mentioned in the report.\It's Suou.\We can most likely find our target if we watch them.\We've got a skilled contractor to mark them.\Ilya Sokolov. I think you've heard of her. response:	What?
context: BK201.\And two kids.\We believe it's the doll and the girl that were mentioned in the report.\It's Suou.\We can most likely find our target if we watch them.\We've got a skilled contractor to mark them.\Ilya Sokolov. I think you've heard of her.\What? response:	I don't want to hear that name.
context: And two kids.\We believe it's the doll and the girl that were mentioned in the report.\It's Suou.\We can most likely find our target if we watch them.\We've got a skilled contractor to mark them.\Ilya Sokolov. I think you've heard of her.\What?\I don't want to hear that name. response:	He's indeed skilled.
context: We believe it's the doll and the girl that were mentioned in the report.\It's Suou.\We can most likely find our target if we watch them.\We've got a skilled contractor to mark them.\Ilya Sokolov. I think you've heard of her.\What?\I don't want to hear that name.\He's indeed skilled. response:	So much that he sickens me.
context: It's Suou.\We can most likely find our target if we watch them.\We've got a skilled contractor to mark them.\Ilya Sokolov. I think you've heard of her.\What?\I don't want to hear that name.\He's indeed skilled.\So much that he sickens me. response:	Pardon me.
context: We can most likely find our target if we watch them.\We've got a skilled contractor to mark them.\Ilya Sokolov. I think you've heard of her.\What?\I don't want to hear that name.\He's indeed skilled.\So much that he sickens me.\Pardon me. response:	When you speak of the devil...
context: We've got a skilled contractor to mark them.\Ilya Sokolov. I think you've heard of her.\What?\I don't want to hear that name.\He's indeed skilled.\So much that he sickens me.\Pardon me.\When you speak of the devil... response:	We just got information regarding a smuggling route for dolls.
context: Ilya Sokolov. I think you've heard of her.\What?\I don't want to hear that name.\He's indeed skilled.\So much that he sickens me.\Pardon me.\When you speak of the devil...\We just got information regarding a smuggling route for dolls. response:	Isn't eating that ice cream making you cold?
context: What?\I don't want to hear that name.\He's indeed skilled.\So much that he sickens me.\Pardon me.\When you speak of the devil...\We just got information regarding a smuggling route for dolls.\Isn't eating that ice cream making you cold? response:	What about you? You just wolfed down all those dishes earlier.
context: I don't want to hear that name.\He's indeed skilled.\So much that he sickens me.\Pardon me.\When you speak of the devil...\We just got information regarding a smuggling route for dolls.\Isn't eating that ice cream making you cold?\What about you? You just wolfed down all those dishes earlier. response:	What?
context: He's indeed skilled.\So much that he sickens me.\Pardon me.\When you speak of the devil...\We just got information regarding a smuggling route for dolls.\Isn't eating that ice cream making you cold?\What about you? You just wolfed down all those dishes earlier.\What? response:	A white guy!
context: So much that he sickens me.\Pardon me.\When you speak of the devil...\We just got information regarding a smuggling route for dolls.\Isn't eating that ice cream making you cold?\What about you? You just wolfed down all those dishes earlier.\What?\A white guy! response:	H-Hello!
context: Pardon me.\When you speak of the devil...\We just got information regarding a smuggling route for dolls.\Isn't eating that ice cream making you cold?\What about you? You just wolfed down all those dishes earlier.\What?\A white guy!\H-Hello! response:	C-Can you speak Japanese?
context: When you speak of the devil...\We just got information regarding a smuggling route for dolls.\Isn't eating that ice cream making you cold?\What about you? You just wolfed down all those dishes earlier.\What?\A white guy!\H-Hello!\C-Can you speak Japanese? response:	Really?
context: We just got information regarding a smuggling route for dolls.\Isn't eating that ice cream making you cold?\What about you? You just wolfed down all those dishes earlier.\What?\A white guy!\H-Hello!\C-Can you speak Japanese?\Really? response:	What were you drawing?
context: Isn't eating that ice cream making you cold?\What about you? You just wolfed down all those dishes earlier.\What?\A white guy!\H-Hello!\C-Can you speak Japanese?\Really?\What were you drawing? response:	What's in there?
context: What about you? You just wolfed down all those dishes earlier.\What?\A white guy!\H-Hello!\C-Can you speak Japanese?\Really?\What were you drawing?\What's in there? response:	The remains of a child.
context: What?\A white guy!\H-Hello!\C-Can you speak Japanese?\Really?\What were you drawing?\What's in there?\The remains of a child. response:	He met with an unfortunate accident while he was on a trip to Aomori by himself.
context: A white guy!\H-Hello!\C-Can you speak Japanese?\Really?\What were you drawing?\What's in there?\The remains of a child.\He met with an unfortunate accident while he was on a trip to Aomori by himself. response:	And his family?
context: H-Hello!\C-Can you speak Japanese?\Really?\What were you drawing?\What's in there?\The remains of a child.\He met with an unfortunate accident while he was on a trip to Aomori by himself.\And his family? response:	His father and sister are in the car behind me.
context: C-Can you speak Japanese?\Really?\What were you drawing?\What's in there?\The remains of a child.\He met with an unfortunate accident while he was on a trip to Aomori by himself.\And his family?\His father and sister are in the car behind me. response:	My condolences.
context: Really?\What were you drawing?\What's in there?\The remains of a child.\He met with an unfortunate accident while he was on a trip to Aomori by himself.\And his family?\His father and sister are in the car behind me.\My condolences. response:	Can I take a look in the coffin?
context: What were you drawing?\What's in there?\The remains of a child.\He met with an unfortunate accident while he was on a trip to Aomori by himself.\And his family?\His father and sister are in the car behind me.\My condolences.\Can I take a look in the coffin? response:	Eight and ten...
context: What's in there?\The remains of a child.\He met with an unfortunate accident while he was on a trip to Aomori by himself.\And his family?\His father and sister are in the car behind me.\My condolences.\Can I take a look in the coffin?\Eight and ten... response:	Got it.
context: The remains of a child.\He met with an unfortunate accident while he was on a trip to Aomori by himself.\And his family?\His father and sister are in the car behind me.\My condolences.\Can I take a look in the coffin?\Eight and ten...\Got it. response:	As promised, I've taken you to Sendai.
context: He met with an unfortunate accident while he was on a trip to Aomori by himself.\And his family?\His father and sister are in the car behind me.\My condolences.\Can I take a look in the coffin?\Eight and ten...\Got it.\As promised, I've taken you to Sendai. response:	You'll board the Cassiopeia at 04:30.
context: And his family?\His father and sister are in the car behind me.\My condolences.\Can I take a look in the coffin?\Eight and ten...\Got it.\As promised, I've taken you to Sendai.\You'll board the Cassiopeia at 04:30. response:	I think they won't be thoroughly monitoring at that time.
context: His father and sister are in the car behind me.\My condolences.\Can I take a look in the coffin?\Eight and ten...\Got it.\As promised, I've taken you to Sendai.\You'll board the Cassiopeia at 04:30.\I think they won't be thoroughly monitoring at that time. response:	If you're worried you can switch trains at the local station.
context: My condolences.\Can I take a look in the coffin?\Eight and ten...\Got it.\As promised, I've taken you to Sendai.\You'll board the Cassiopeia at 04:30.\I think they won't be thoroughly monitoring at that time.\If you're worried you can switch trains at the local station. response:	Can we take July out for now?
context: Can I take a look in the coffin?\Eight and ten...\Got it.\As promised, I've taken you to Sendai.\You'll board the Cassiopeia at 04:30.\I think they won't be thoroughly monitoring at that time.\If you're worried you can switch trains at the local station.\Can we take July out for now? response:	There'll be inspections at Aomori too,
context: Eight and ten...\Got it.\As promised, I've taken you to Sendai.\You'll board the Cassiopeia at 04:30.\I think they won't be thoroughly monitoring at that time.\If you're worried you can switch trains at the local station.\Can we take July out for now?\There'll be inspections at Aomori too, response:	so it'll be a hassle to get him back in there.
context: Got it.\As promised, I've taken you to Sendai.\You'll board the Cassiopeia at 04:30.\I think they won't be thoroughly monitoring at that time.\If you're worried you can switch trains at the local station.\Can we take July out for now?\There'll be inspections at Aomori too,\so it'll be a hassle to get him back in there. response:	Leave him like that.
context: As promised, I've taken you to Sendai.\You'll board the Cassiopeia at 04:30.\I think they won't be thoroughly monitoring at that time.\If you're worried you can switch trains at the local station.\Can we take July out for now?\There'll be inspections at Aomori too,\so it'll be a hassle to get him back in there.\Leave him like that. response:	Yeah. He's just a doll.
context: You'll board the Cassiopeia at 04:30.\I think they won't be thoroughly monitoring at that time.\If you're worried you can switch trains at the local station.\Can we take July out for now?\There'll be inspections at Aomori too,\so it'll be a hassle to get him back in there.\Leave him like that.\Yeah. He's just a doll. response:	Open your eyes.
context: I think they won't be thoroughly monitoring at that time.\If you're worried you can switch trains at the local station.\Can we take July out for now?\There'll be inspections at Aomori too,\so it'll be a hassle to get him back in there.\Leave him like that.\Yeah. He's just a doll.\Open your eyes. response:	Aren't you lonely being alone in this coffin?
context: If you're worried you can switch trains at the local station.\Can we take July out for now?\There'll be inspections at Aomori too,\so it'll be a hassle to get him back in there.\Leave him like that.\Yeah. He's just a doll.\Open your eyes.\Aren't you lonely being alone in this coffin? response:	You should speak up if something is bothering you.
context: Can we take July out for now?\There'll be inspections at Aomori too,\so it'll be a hassle to get him back in there.\Leave him like that.\Yeah. He's just a doll.\Open your eyes.\Aren't you lonely being alone in this coffin?\You should speak up if something is bothering you. response:	What are you doing?
context: There'll be inspections at Aomori too,\so it'll be a hassle to get him back in there.\Leave him like that.\Yeah. He's just a doll.\Open your eyes.\Aren't you lonely being alone in this coffin?\You should speak up if something is bothering you.\What are you doing? response:	Doesn't it hurt?
context: so it'll be a hassle to get him back in there.\Leave him like that.\Yeah. He's just a doll.\Open your eyes.\Aren't you lonely being alone in this coffin?\You should speak up if something is bothering you.\What are you doing?\Doesn't it hurt? response:	It does.
context: Leave him like that.\Yeah. He's just a doll.\Open your eyes.\Aren't you lonely being alone in this coffin?\You should speak up if something is bothering you.\What are you doing?\Doesn't it hurt?\It does. response:	Then say that.
context: Yeah. He's just a doll.\Open your eyes.\Aren't you lonely being alone in this coffin?\You should speak up if something is bothering you.\What are you doing?\Doesn't it hurt?\It does.\Then say that. response:	Sorry.
context: Open your eyes.\Aren't you lonely being alone in this coffin?\You should speak up if something is bothering you.\What are you doing?\Doesn't it hurt?\It does.\Then say that.\Sorry. response:	What's that? A flat tire?
context: Aren't you lonely being alone in this coffin?\You should speak up if something is bothering you.\What are you doing?\Doesn't it hurt?\It does.\Then say that.\Sorry.\What's that? A flat tire? response:	So it was a setup?
context: You should speak up if something is bothering you.\What are you doing?\Doesn't it hurt?\It does.\Then say that.\Sorry.\What's that? A flat tire?\So it was a setup? response:	Yeah.
context: What are you doing?\Doesn't it hurt?\It does.\Then say that.\Sorry.\What's that? A flat tire?\So it was a setup?\Yeah. response:	They're in the doll business.
context: Doesn't it hurt?\It does.\Then say that.\Sorry.\What's that? A flat tire?\So it was a setup?\Yeah.\They're in the doll business. response:	So she was after July from the start.
context: It does.\Then say that.\Sorry.\What's that? A flat tire?\So it was a setup?\Yeah.\They're in the doll business.\So she was after July from the start. response:	Shouldn't we chase after them?
context: Then say that.\Sorry.\What's that? A flat tire?\So it was a setup?\Yeah.\They're in the doll business.\So she was after July from the start.\Shouldn't we chase after them? response:	Chase? For July?
context: Sorry.\What's that? A flat tire?\So it was a setup?\Yeah.\They're in the doll business.\So she was after July from the start.\Shouldn't we chase after them?\Chase? For July? response:	I mean...
context: What's that? A flat tire?\So it was a setup?\Yeah.\They're in the doll business.\So she was after July from the start.\Shouldn't we chase after them?\Chase? For July?\I mean... response:	You got attached to him?
context: So it was a setup?\Yeah.\They're in the doll business.\So she was after July from the start.\Shouldn't we chase after them?\Chase? For July?\I mean...\You got attached to him? response:	I need him when I use my powers.
context: Yeah.\They're in the doll business.\So she was after July from the start.\Shouldn't we chase after them?\Chase? For July?\I mean...\You got attached to him?\I need him when I use my powers. response:	It's a waste of time.
context: They're in the doll business.\So she was after July from the start.\Shouldn't we chase after them?\Chase? For July?\I mean...\You got attached to him?\I need him when I use my powers.\It's a waste of time. response:	I don't want you to use your powers.
context: So she was after July from the start.\Shouldn't we chase after them?\Chase? For July?\I mean...\You got attached to him?\I need him when I use my powers.\It's a waste of time.\I don't want you to use your powers. response:	Why?
context: Shouldn't we chase after them?\Chase? For July?\I mean...\You got attached to him?\I need him when I use my powers.\It's a waste of time.\I don't want you to use your powers.\Why? response:	Why are you so cold toward July?
context: Chase? For July?\I mean...\You got attached to him?\I need him when I use my powers.\It's a waste of time.\I don't want you to use your powers.\Why?\Why are you so cold toward July? response:	He's merely a doll.
context: I mean...\You got attached to him?\I need him when I use my powers.\It's a waste of time.\I don't want you to use your powers.\Why?\Why are you so cold toward July?\He's merely a doll. response:	But in Yin's case, you acted so...
context: You got attached to him?\I need him when I use my powers.\It's a waste of time.\I don't want you to use your powers.\Why?\Why are you so cold toward July?\He's merely a doll.\But in Yin's case, you acted so... response:	So...
context: I need him when I use my powers.\It's a waste of time.\I don't want you to use your powers.\Why?\Why are you so cold toward July?\He's merely a doll.\But in Yin's case, you acted so...\So... response:	Shut up.
context: It's a waste of time.\I don't want you to use your powers.\Why?\Why are you so cold toward July?\He's merely a doll.\But in Yin's case, you acted so...\So...\Shut up. response:	With your powers gone, you will need her-
context: I don't want you to use your powers.\Why?\Why are you so cold toward July?\He's merely a doll.\But in Yin's case, you acted so...\So...\Shut up.\With your powers gone, you will need her- response:	Don't worry about that.
context: Why?\Why are you so cold toward July?\He's merely a doll.\But in Yin's case, you acted so...\So...\Shut up.\With your powers gone, you will need her-\Don't worry about that. response:	Besides, we don't know where they're headed.
context: Why are you so cold toward July?\He's merely a doll.\But in Yin's case, you acted so...\So...\Shut up.\With your powers gone, you will need her-\Don't worry about that.\Besides, we don't know where they're headed. response:	It's July's surveillance spirit. He's asking for help!
context: He's merely a doll.\But in Yin's case, you acted so...\So...\Shut up.\With your powers gone, you will need her-\Don't worry about that.\Besides, we don't know where they're headed.\It's July's surveillance spirit. He's asking for help! response:	No way!
context: But in Yin's case, you acted so...\So...\Shut up.\With your powers gone, you will need her-\Don't worry about that.\Besides, we don't know where they're headed.\It's July's surveillance spirit. He's asking for help!\No way! response:	Wait, Miss!
context: So...\Shut up.\With your powers gone, you will need her-\Don't worry about that.\Besides, we don't know where they're headed.\It's July's surveillance spirit. He's asking for help!\No way!\Wait, Miss! response:	Damn, I can't take my eyes off of you for a second!
context: Shut up.\With your powers gone, you will need her-\Don't worry about that.\Besides, we don't know where they're headed.\It's July's surveillance spirit. He's asking for help!\No way!\Wait, Miss!\Damn, I can't take my eyes off of you for a second! response:	Episode 7 The Doll Sings to the Dancing Snow
context: With your powers gone, you will need her-\Don't worry about that.\Besides, we don't know where they're headed.\It's July's surveillance spirit. He's asking for help!\No way!\Wait, Miss!\Damn, I can't take my eyes off of you for a second!\Episode 7 The Doll Sings to the Dancing Snow response:	I was teasing July a bit earlier.
context: Don't worry about that.\Besides, we don't know where they're headed.\It's July's surveillance spirit. He's asking for help!\No way!\Wait, Miss!\Damn, I can't take my eyes off of you for a second!\Episode 7 The Doll Sings to the Dancing Snow\I was teasing July a bit earlier. response:	But I couldn't really tell how he felt.
context: Besides, we don't know where they're headed.\It's July's surveillance spirit. He's asking for help!\No way!\Wait, Miss!\Damn, I can't take my eyes off of you for a second!\Episode 7 The Doll Sings to the Dancing Snow\I was teasing July a bit earlier.\But I couldn't really tell how he felt. response:	That's because he's a doll.
context: It's July's surveillance spirit. He's asking for help!\No way!\Wait, Miss!\Damn, I can't take my eyes off of you for a second!\Episode 7 The Doll Sings to the Dancing Snow\I was teasing July a bit earlier.\But I couldn't really tell how he felt.\That's because he's a doll. response:	But he's lonely.
context: No way!\Wait, Miss!\Damn, I can't take my eyes off of you for a second!\Episode 7 The Doll Sings to the Dancing Snow\I was teasing July a bit earlier.\But I couldn't really tell how he felt.\That's because he's a doll.\But he's lonely. response:	Lonely?
context: Wait, Miss!\Damn, I can't take my eyes off of you for a second!\Episode 7 The Doll Sings to the Dancing Snow\I was teasing July a bit earlier.\But I couldn't really tell how he felt.\That's because he's a doll.\But he's lonely.\Lonely? response:	That's what I feel.
context: Damn, I can't take my eyes off of you for a second!\Episode 7 The Doll Sings to the Dancing Snow\I was teasing July a bit earlier.\But I couldn't really tell how he felt.\That's because he's a doll.\But he's lonely.\Lonely?\That's what I feel. response:	Otherwise he wouldn't have sent that surveillance spirit.
context: Episode 7 The Doll Sings to the Dancing Snow\I was teasing July a bit earlier.\But I couldn't really tell how he felt.\That's because he's a doll.\But he's lonely.\Lonely?\That's what I feel.\Otherwise he wouldn't have sent that surveillance spirit. response:	I'm sure the fragments of our hearts won't disappear.
context: I was teasing July a bit earlier.\But I couldn't really tell how he felt.\That's because he's a doll.\But he's lonely.\Lonely?\That's what I feel.\Otherwise he wouldn't have sent that surveillance spirit.\I'm sure the fragments of our hearts won't disappear. response:	Regardless of if we're dolls or contractors...
context: But I couldn't really tell how he felt.\That's because he's a doll.\But he's lonely.\Lonely?\That's what I feel.\Otherwise he wouldn't have sent that surveillance spirit.\I'm sure the fragments of our hearts won't disappear.\Regardless of if we're dolls or contractors... response:	July!
context: That's because he's a doll.\But he's lonely.\Lonely?\That's what I feel.\Otherwise he wouldn't have sent that surveillance spirit.\I'm sure the fragments of our hearts won't disappear.\Regardless of if we're dolls or contractors...\July! response:	Mao, we'll get off at the next stop.
context: But he's lonely.\Lonely?\That's what I feel.\Otherwise he wouldn't have sent that surveillance spirit.\I'm sure the fragments of our hearts won't disappear.\Regardless of if we're dolls or contractors...\July!\Mao, we'll get off at the next stop. response:	We'll get onto another car.
context: Lonely?\That's what I feel.\Otherwise he wouldn't have sent that surveillance spirit.\I'm sure the fragments of our hearts won't disappear.\Regardless of if we're dolls or contractors...\July!\Mao, we'll get off at the next stop.\We'll get onto another car. response:	They'll take good care of you.
context: That's what I feel.\Otherwise he wouldn't have sent that surveillance spirit.\I'm sure the fragments of our hearts won't disappear.\Regardless of if we're dolls or contractors...\July!\Mao, we'll get off at the next stop.\We'll get onto another car.\They'll take good care of you. response:	Little boys as dolls are pretty popular.
context: Otherwise he wouldn't have sent that surveillance spirit.\I'm sure the fragments of our hearts won't disappear.\Regardless of if we're dolls or contractors...\July!\Mao, we'll get off at the next stop.\We'll get onto another car.\They'll take good care of you.\Little boys as dolls are pretty popular. response:	That place.
context: I'm sure the fragments of our hearts won't disappear.\Regardless of if we're dolls or contractors...\July!\Mao, we'll get off at the next stop.\We'll get onto another car.\They'll take good care of you.\Little boys as dolls are pretty popular.\That place. response:	He's gone.
context: Regardless of if we're dolls or contractors...\July!\Mao, we'll get off at the next stop.\We'll get onto another car.\They'll take good care of you.\Little boys as dolls are pretty popular.\That place.\He's gone. response:	We can get in from there.
context: July!\Mao, we'll get off at the next stop.\We'll get onto another car.\They'll take good care of you.\Little boys as dolls are pretty popular.\That place.\He's gone.\We can get in from there. response:	Go scout that place.
