context: Graduation response:	Captain Simon, congratulations on successfully
context: Team Rabbits, you have excellent offensive capabilities and mobility,\but you're getting E's in cooperation, concentration and operational stability!\Cooperation is an outright E-!\That'd give her a fairly large cup size...\What are you talking about?\An F would have been even better yet.\E is the lowest grade you can get!\Uh, guys...! response:	For some odd reason, everyone started to open up after that.
context: but you're getting E's in cooperation, concentration and operational stability!\Cooperation is an outright E-!\That'd give her a fairly large cup size...\What are you talking about?\An F would have been even better yet.\E is the lowest grade you can get!\Uh, guys...!\For some odd reason, everyone started to open up after that. response:	All thanks to me, huh?
context: Cooperation is an outright E-!\That'd give her a fairly large cup size...\What are you talking about?\An F would have been even better yet.\E is the lowest grade you can get!\Uh, guys...!\For some odd reason, everyone started to open up after that.\All thanks to me, huh? response:	Not quite...
context: That'd give her a fairly large cup size...\What are you talking about?\An F would have been even better yet.\E is the lowest grade you can get!\Uh, guys...!\For some odd reason, everyone started to open up after that.\All thanks to me, huh?\Not quite... response:	Keep out of this.
context: What are you talking about?\An F would have been even better yet.\E is the lowest grade you can get!\Uh, guys...!\For some odd reason, everyone started to open up after that.\All thanks to me, huh?\Not quite...\Keep out of this. response:	Doesn't it feel empty now?
context: An F would have been even better yet.\E is the lowest grade you can get!\Uh, guys...!\For some odd reason, everyone started to open up after that.\All thanks to me, huh?\Not quite...\Keep out of this.\Doesn't it feel empty now? response:	Yeah...
context: E is the lowest grade you can get!\Uh, guys...!\For some odd reason, everyone started to open up after that.\All thanks to me, huh?\Not quite...\Keep out of this.\Doesn't it feel empty now?\Yeah... response:	Could I take this with me?
context: Uh, guys...!\For some odd reason, everyone started to open up after that.\All thanks to me, huh?\Not quite...\Keep out of this.\Doesn't it feel empty now?\Yeah...\Could I take this with me? response:	Sure, didn't it belong to whoever stayed here before us?
context: For some odd reason, everyone started to open up after that.\All thanks to me, huh?\Not quite...\Keep out of this.\Doesn't it feel empty now?\Yeah...\Could I take this with me?\Sure, didn't it belong to whoever stayed here before us? response:	It's a tattered mess, anyway.
context: All thanks to me, huh?\Not quite...\Keep out of this.\Doesn't it feel empty now?\Yeah...\Could I take this with me?\Sure, didn't it belong to whoever stayed here before us?\It's a tattered mess, anyway. response:	It's the first manga I ever read.
context: Not quite...\Keep out of this.\Doesn't it feel empty now?\Yeah...\Could I take this with me?\Sure, didn't it belong to whoever stayed here before us?\It's a tattered mess, anyway.\It's the first manga I ever read. response:	NEW SERIALIZATION! BUDDY SPIRITS 3
context: Keep out of this.\Doesn't it feel empty now?\Yeah...\Could I take this with me?\Sure, didn't it belong to whoever stayed here before us?\It's a tattered mess, anyway.\It's the first manga I ever read.\NEW SERIALIZATION! BUDDY SPIRITS 3 response:	Well, this is a load off.
context: Doesn't it feel empty now?\Yeah...\Could I take this with me?\Sure, didn't it belong to whoever stayed here before us?\It's a tattered mess, anyway.\It's the first manga I ever read.\NEW SERIALIZATION! BUDDY SPIRITS 3\Well, this is a load off. response:	It's nice knowing that we don't have to come back here anymore.
context: Yeah...\Could I take this with me?\Sure, didn't it belong to whoever stayed here before us?\It's a tattered mess, anyway.\It's the first manga I ever read.\NEW SERIALIZATION! BUDDY SPIRITS 3\Well, this is a load off.\It's nice knowing that we don't have to come back here anymore. response:	Sure is!
context: Could I take this with me?\Sure, didn't it belong to whoever stayed here before us?\It's a tattered mess, anyway.\It's the first manga I ever read.\NEW SERIALIZATION! BUDDY SPIRITS 3\Well, this is a load off.\It's nice knowing that we don't have to come back here anymore.\Sure is! response:	I bet no one dreamed we'd be piloting the high-tech AHSMB units
context: Sure, didn't it belong to whoever stayed here before us?\It's a tattered mess, anyway.\It's the first manga I ever read.\NEW SERIALIZATION! BUDDY SPIRITS 3\Well, this is a load off.\It's nice knowing that we don't have to come back here anymore.\Sure is!\I bet no one dreamed we'd be piloting the high-tech AHSMB units response:	and graduating ahead of everyone else.
context: It's a tattered mess, anyway.\It's the first manga I ever read.\NEW SERIALIZATION! BUDDY SPIRITS 3\Well, this is a load off.\It's nice knowing that we don't have to come back here anymore.\Sure is!\I bet no one dreamed we'd be piloting the high-tech AHSMB units\and graduating ahead of everyone else. response:	Not in their wildest dreams!
context: It's the first manga I ever read.\NEW SERIALIZATION! BUDDY SPIRITS 3\Well, this is a load off.\It's nice knowing that we don't have to come back here anymore.\Sure is!\I bet no one dreamed we'd be piloting the high-tech AHSMB units\and graduating ahead of everyone else.\Not in their wildest dreams! response:	Hey, where are you going?
context: NEW SERIALIZATION! BUDDY SPIRITS 3\Well, this is a load off.\It's nice knowing that we don't have to come back here anymore.\Sure is!\I bet no one dreamed we'd be piloting the high-tech AHSMB units\and graduating ahead of everyone else.\Not in their wildest dreams!\Hey, where are you going? response:	Gonna cry?
context: Well, this is a load off.\It's nice knowing that we don't have to come back here anymore.\Sure is!\I bet no one dreamed we'd be piloting the high-tech AHSMB units\and graduating ahead of everyone else.\Not in their wildest dreams!\Hey, where are you going?\Gonna cry? response:	You're gonna cry by yourself, aren't ya?
context: It's nice knowing that we don't have to come back here anymore.\Sure is!\I bet no one dreamed we'd be piloting the high-tech AHSMB units\and graduating ahead of everyone else.\Not in their wildest dreams!\Hey, where are you going?\Gonna cry?\You're gonna cry by yourself, aren't ya? response:	I want to draw one last sketch.
context: Sure is!\I bet no one dreamed we'd be piloting the high-tech AHSMB units\and graduating ahead of everyone else.\Not in their wildest dreams!\Hey, where are you going?\Gonna cry?\You're gonna cry by yourself, aren't ya?\I want to draw one last sketch. response:	FAIL
context: I bet no one dreamed we'd be piloting the high-tech AHSMB units\and graduating ahead of everyone else.\Not in their wildest dreams!\Hey, where are you going?\Gonna cry?\You're gonna cry by yourself, aren't ya?\I want to draw one last sketch.\FAIL response:	In the end, I never could get this to come off...
context: and graduating ahead of everyone else.\Not in their wildest dreams!\Hey, where are you going?\Gonna cry?\You're gonna cry by yourself, aren't ya?\I want to draw one last sketch.\FAIL\In the end, I never could get this to come off... response:	What are you doing here?
context: Not in their wildest dreams!\Hey, where are you going?\Gonna cry?\You're gonna cry by yourself, aren't ya?\I want to draw one last sketch.\FAIL\In the end, I never could get this to come off...\What are you doing here? response:	Right back at you, Kei!
context: Hey, where are you going?\Gonna cry?\You're gonna cry by yourself, aren't ya?\I want to draw one last sketch.\FAIL\In the end, I never could get this to come off...\What are you doing here?\Right back at you, Kei! response:	We came to clean out our desks.
context: Gonna cry?\You're gonna cry by yourself, aren't ya?\I want to draw one last sketch.\FAIL\In the end, I never could get this to come off...\What are you doing here?\Right back at you, Kei!\We came to clean out our desks. response:	How to Get a Wonderful Girlfriend Learn how girls think! Ways for'meh' guys to find romance!
context: You're gonna cry by yourself, aren't ya?\I want to draw one last sketch.\FAIL\In the end, I never could get this to come off...\What are you doing here?\Right back at you, Kei!\We came to clean out our desks.\How to Get a Wonderful Girlfriend Learn how girls think! Ways for'meh' guys to find romance! response:	That's a magazine for guys.
context: I want to draw one last sketch.\FAIL\In the end, I never could get this to come off...\What are you doing here?\Right back at you, Kei!\We came to clean out our desks.\How to Get a Wonderful Girlfriend Learn how girls think! Ways for'meh' guys to find romance!\That's a magazine for guys. response:	DANCING CAKES Make dough for popular cakes, simple baked sweets that make your mouth dance, and French recipes you've always dreamt of.
context: FAIL\In the end, I never could get this to come off...\What are you doing here?\Right back at you, Kei!\We came to clean out our desks.\How to Get a Wonderful Girlfriend Learn how girls think! Ways for'meh' guys to find romance!\That's a magazine for guys.\DANCING CAKES Make dough for popular cakes, simple baked sweets that make your mouth dance, and French recipes you've always dreamt of. response:	Ladies, what were you two doing during class?
context: In the end, I never could get this to come off...\What are you doing here?\Right back at you, Kei!\We came to clean out our desks.\How to Get a Wonderful Girlfriend Learn how girls think! Ways for'meh' guys to find romance!\That's a magazine for guys.\DANCING CAKES Make dough for popular cakes, simple baked sweets that make your mouth dance, and French recipes you've always dreamt of.\Ladies, what were you two doing during class? response:	You're not one to talk!
context: What are you doing here?\Right back at you, Kei!\We came to clean out our desks.\How to Get a Wonderful Girlfriend Learn how girls think! Ways for'meh' guys to find romance!\That's a magazine for guys.\DANCING CAKES Make dough for popular cakes, simple baked sweets that make your mouth dance, and French recipes you've always dreamt of.\Ladies, what were you two doing during class?\You're not one to talk! response:	No wonder we were called the Fail Five.
context: Right back at you, Kei!\We came to clean out our desks.\How to Get a Wonderful Girlfriend Learn how girls think! Ways for'meh' guys to find romance!\That's a magazine for guys.\DANCING CAKES Make dough for popular cakes, simple baked sweets that make your mouth dance, and French recipes you've always dreamt of.\Ladies, what were you two doing during class?\You're not one to talk!\No wonder we were called the Fail Five. response:	It's seriously no wonder at all, huh?
context: We came to clean out our desks.\How to Get a Wonderful Girlfriend Learn how girls think! Ways for'meh' guys to find romance!\That's a magazine for guys.\DANCING CAKES Make dough for popular cakes, simple baked sweets that make your mouth dance, and French recipes you've always dreamt of.\Ladies, what were you two doing during class?\You're not one to talk!\No wonder we were called the Fail Five.\It's seriously no wonder at all, huh? response:	So this is where you went!
context: How to Get a Wonderful Girlfriend Learn how girls think! Ways for'meh' guys to find romance!\That's a magazine for guys.\DANCING CAKES Make dough for popular cakes, simple baked sweets that make your mouth dance, and French recipes you've always dreamt of.\Ladies, what were you two doing during class?\You're not one to talk!\No wonder we were called the Fail Five.\It's seriously no wonder at all, huh?\So this is where you went! response:	What are you up to?
context: That's a magazine for guys.\DANCING CAKES Make dough for popular cakes, simple baked sweets that make your mouth dance, and French recipes you've always dreamt of.\Ladies, what were you two doing during class?\You're not one to talk!\No wonder we were called the Fail Five.\It's seriously no wonder at all, huh?\So this is where you went!\What are you up to? response:	Uh, nothing...
context: DANCING CAKES Make dough for popular cakes, simple baked sweets that make your mouth dance, and French recipes you've always dreamt of.\Ladies, what were you two doing during class?\You're not one to talk!\No wonder we were called the Fail Five.\It's seriously no wonder at all, huh?\So this is where you went!\What are you up to?\Uh, nothing... response:	Asagi was wanting to fly one last lap around the campus.
context: Ladies, what were you two doing during class?\You're not one to talk!\No wonder we were called the Fail Five.\It's seriously no wonder at all, huh?\So this is where you went!\What are you up to?\Uh, nothing...\Asagi was wanting to fly one last lap around the campus. response:	I never said that!
context: You're not one to talk!\No wonder we were called the Fail Five.\It's seriously no wonder at all, huh?\So this is where you went!\What are you up to?\Uh, nothing...\Asagi was wanting to fly one last lap around the campus.\I never said that! response:	Your AHSMBs are currently being transported to the school.
context: No wonder we were called the Fail Five.\It's seriously no wonder at all, huh?\So this is where you went!\What are you up to?\Uh, nothing...\Asagi was wanting to fly one last lap around the campus.\I never said that!\Your AHSMBs are currently being transported to the school. response:	Lieutenant Amane.
context: It's seriously no wonder at all, huh?\So this is where you went!\What are you up to?\Uh, nothing...\Asagi was wanting to fly one last lap around the campus.\I never said that!\Your AHSMBs are currently being transported to the school.\Lieutenant Amane. response:	First Lt. Shirato.
context: So this is where you went!\What are you up to?\Uh, nothing...\Asagi was wanting to fly one last lap around the campus.\I never said that!\Your AHSMBs are currently being transported to the school.\Lieutenant Amane.\First Lt. Shirato. response:	Is something the matter?
context: What are you up to?\Uh, nothing...\Asagi was wanting to fly one last lap around the campus.\I never said that!\Your AHSMBs are currently being transported to the school.\Lieutenant Amane.\First Lt. Shirato.\Is something the matter? response:	Not really. The meeting just ended.
context: Uh, nothing...\Asagi was wanting to fly one last lap around the campus.\I never said that!\Your AHSMBs are currently being transported to the school.\Lieutenant Amane.\First Lt. Shirato.\Is something the matter?\Not really. The meeting just ended. response:	All of the economic powers
context: Asagi was wanting to fly one last lap around the campus.\I never said that!\Your AHSMBs are currently being transported to the school.\Lieutenant Amane.\First Lt. Shirato.\Is something the matter?\Not really. The meeting just ended.\All of the economic powers response:	are squabbling over the AHSMB technology and units.
context: I never said that!\Your AHSMBs are currently being transported to the school.\Lieutenant Amane.\First Lt. Shirato.\Is something the matter?\Not really. The meeting just ended.\All of the economic powers\are squabbling over the AHSMB technology and units. response:	After fighting a losing war for so long, we had our first victory.
context: Your AHSMBs are currently being transported to the school.\Lieutenant Amane.\First Lt. Shirato.\Is something the matter?\Not really. The meeting just ended.\All of the economic powers\are squabbling over the AHSMB technology and units.\After fighting a losing war for so long, we had our first victory. response:	It's only natural for the MJP and the AHSMBs to garner attention.
context: Lieutenant Amane.\First Lt. Shirato.\Is something the matter?\Not really. The meeting just ended.\All of the economic powers\are squabbling over the AHSMB technology and units.\After fighting a losing war for so long, we had our first victory.\It's only natural for the MJP and the AHSMBs to garner attention. response:	But they don't care about fighting the enemy!
context: First Lt. Shirato.\Is something the matter?\Not really. The meeting just ended.\All of the economic powers\are squabbling over the AHSMB technology and units.\After fighting a losing war for so long, we had our first victory.\It's only natural for the MJP and the AHSMBs to garner attention.\But they don't care about fighting the enemy! response:	Each country merely wants to stand above the others.
context: Is something the matter?\Not really. The meeting just ended.\All of the economic powers\are squabbling over the AHSMB technology and units.\After fighting a losing war for so long, we had our first victory.\It's only natural for the MJP and the AHSMBs to garner attention.\But they don't care about fighting the enemy!\Each country merely wants to stand above the others. response:	Fighting the Wulgaru isn't easy,
context: Not really. The meeting just ended.\All of the economic powers\are squabbling over the AHSMB technology and units.\After fighting a losing war for so long, we had our first victory.\It's only natural for the MJP and the AHSMBs to garner attention.\But they don't care about fighting the enemy!\Each country merely wants to stand above the others.\Fighting the Wulgaru isn't easy, response:	but Earth politics are no laughing matter either.
context: All of the economic powers\are squabbling over the AHSMB technology and units.\After fighting a losing war for so long, we had our first victory.\It's only natural for the MJP and the AHSMBs to garner attention.\But they don't care about fighting the enemy!\Each country merely wants to stand above the others.\Fighting the Wulgaru isn't easy,\but Earth politics are no laughing matter either. response:	They're so desperate for the technology
context: are squabbling over the AHSMB technology and units.\After fighting a losing war for so long, we had our first victory.\It's only natural for the MJP and the AHSMBs to garner attention.\But they don't care about fighting the enemy!\Each country merely wants to stand above the others.\Fighting the Wulgaru isn't easy,\but Earth politics are no laughing matter either.\They're so desperate for the technology response:	that some are asking to sponsor Gurantseere Cosmopolitan Academy.
context: After fighting a losing war for so long, we had our first victory.\It's only natural for the MJP and the AHSMBs to garner attention.\But they don't care about fighting the enemy!\Each country merely wants to stand above the others.\Fighting the Wulgaru isn't easy,\but Earth politics are no laughing matter either.\They're so desperate for the technology\that some are asking to sponsor Gurantseere Cosmopolitan Academy. response:	Others are trying to volunteer new students.
context: It's only natural for the MJP and the AHSMBs to garner attention.\But they don't care about fighting the enemy!\Each country merely wants to stand above the others.\Fighting the Wulgaru isn't easy,\but Earth politics are no laughing matter either.\They're so desperate for the technology\that some are asking to sponsor Gurantseere Cosmopolitan Academy.\Others are trying to volunteer new students. response:	Doesn't this fall outside of your jurisdiction?
context: But they don't care about fighting the enemy!\Each country merely wants to stand above the others.\Fighting the Wulgaru isn't easy,\but Earth politics are no laughing matter either.\They're so desperate for the technology\that some are asking to sponsor Gurantseere Cosmopolitan Academy.\Others are trying to volunteer new students.\Doesn't this fall outside of your jurisdiction? response:	Yes, but with Commander Simon away...
context: Each country merely wants to stand above the others.\Fighting the Wulgaru isn't easy,\but Earth politics are no laughing matter either.\They're so desperate for the technology\that some are asking to sponsor Gurantseere Cosmopolitan Academy.\Others are trying to volunteer new students.\Doesn't this fall outside of your jurisdiction?\Yes, but with Commander Simon away... response:	Is he visiting the academy?
context: Fighting the Wulgaru isn't easy,\but Earth politics are no laughing matter either.\They're so desperate for the technology\that some are asking to sponsor Gurantseere Cosmopolitan Academy.\Others are trying to volunteer new students.\Doesn't this fall outside of your jurisdiction?\Yes, but with Commander Simon away...\Is he visiting the academy? response:	Are they ready?
context: but Earth politics are no laughing matter either.\They're so desperate for the technology\that some are asking to sponsor Gurantseere Cosmopolitan Academy.\Others are trying to volunteer new students.\Doesn't this fall outside of your jurisdiction?\Yes, but with Commander Simon away...\Is he visiting the academy?\Are they ready? response:	Sir! They are already packed. I believe they could leave tomorrow.
context: They're so desperate for the technology\that some are asking to sponsor Gurantseere Cosmopolitan Academy.\Others are trying to volunteer new students.\Doesn't this fall outside of your jurisdiction?\Yes, but with Commander Simon away...\Is he visiting the academy?\Are they ready?\Sir! They are already packed. I believe they could leave tomorrow. response:	Very well.
context: that some are asking to sponsor Gurantseere Cosmopolitan Academy.\Others are trying to volunteer new students.\Doesn't this fall outside of your jurisdiction?\Yes, but with Commander Simon away...\Is he visiting the academy?\Are they ready?\Sir! They are already packed. I believe they could leave tomorrow.\Very well. response:	I believe it is still too soon for them
context: Others are trying to volunteer new students.\Doesn't this fall outside of your jurisdiction?\Yes, but with Commander Simon away...\Is he visiting the academy?\Are they ready?\Sir! They are already packed. I believe they could leave tomorrow.\Very well.\I believe it is still too soon for them response:	to become official members of the army...
context: Doesn't this fall outside of your jurisdiction?\Yes, but with Commander Simon away...\Is he visiting the academy?\Are they ready?\Sir! They are already packed. I believe they could leave tomorrow.\Very well.\I believe it is still too soon for them\to become official members of the army... response:	Your reasoning?
context: Yes, but with Commander Simon away...\Is he visiting the academy?\Are they ready?\Sir! They are already packed. I believe they could leave tomorrow.\Very well.\I believe it is still too soon for them\to become official members of the army...\Your reasoning? response:	They have not fully mastered their AHSMBs...
context: Is he visiting the academy?\Are they ready?\Sir! They are already packed. I believe they could leave tomorrow.\Very well.\I believe it is still too soon for them\to become official members of the army...\Your reasoning?\They have not fully mastered their AHSMBs... response:	Plus they still seem uncertain about the JURIA-SYSTEM.
context: Are they ready?\Sir! They are already packed. I believe they could leave tomorrow.\Very well.\I believe it is still too soon for them\to become official members of the army...\Your reasoning?\They have not fully mastered their AHSMBs...\Plus they still seem uncertain about the JURIA-SYSTEM. response:	Due to their innate personalities,
context: Sir! They are already packed. I believe they could leave tomorrow.\Very well.\I believe it is still too soon for them\to become official members of the army...\Your reasoning?\They have not fully mastered their AHSMBs...\Plus they still seem uncertain about the JURIA-SYSTEM.\Due to their innate personalities, response:	Tamaki Irie and Ataru Suruga are adjusting to
context: Very well.\I believe it is still too soon for them\to become official members of the army...\Your reasoning?\They have not fully mastered their AHSMBs...\Plus they still seem uncertain about the JURIA-SYSTEM.\Due to their innate personalities,\Tamaki Irie and Ataru Suruga are adjusting to response:	the SYSTEM relatively well.
context: I believe it is still too soon for them\to become official members of the army...\Your reasoning?\They have not fully mastered their AHSMBs...\Plus they still seem uncertain about the JURIA-SYSTEM.\Due to their innate personalities,\Tamaki Irie and Ataru Suruga are adjusting to\the SYSTEM relatively well. response:	However, Asagi and Kugimiya both
context: to become official members of the army...\Your reasoning?\They have not fully mastered their AHSMBs...\Plus they still seem uncertain about the JURIA-SYSTEM.\Due to their innate personalities,\Tamaki Irie and Ataru Suruga are adjusting to\the SYSTEM relatively well.\However, Asagi and Kugimiya both response:	deteriorate and freeze on the battlefield.
context: Your reasoning?\They have not fully mastered their AHSMBs...\Plus they still seem uncertain about the JURIA-SYSTEM.\Due to their innate personalities,\Tamaki Irie and Ataru Suruga are adjusting to\the SYSTEM relatively well.\However, Asagi and Kugimiya both\deteriorate and freeze on the battlefield. response:	At times, Izuru Hitachi displays bursts of power, but not reliably.
context: They have not fully mastered their AHSMBs...\Plus they still seem uncertain about the JURIA-SYSTEM.\Due to their innate personalities,\Tamaki Irie and Ataru Suruga are adjusting to\the SYSTEM relatively well.\However, Asagi and Kugimiya both\deteriorate and freeze on the battlefield.\At times, Izuru Hitachi displays bursts of power, but not reliably. response:	But there is nothing left for you to teach them here.
context: Plus they still seem uncertain about the JURIA-SYSTEM.\Due to their innate personalities,\Tamaki Irie and Ataru Suruga are adjusting to\the SYSTEM relatively well.\However, Asagi and Kugimiya both\deteriorate and freeze on the battlefield.\At times, Izuru Hitachi displays bursts of power, but not reliably.\But there is nothing left for you to teach them here. response:	I imagine the JURIA-SYSTEM can only be mastered on the battlefield.
context: Due to their innate personalities,\Tamaki Irie and Ataru Suruga are adjusting to\the SYSTEM relatively well.\However, Asagi and Kugimiya both\deteriorate and freeze on the battlefield.\At times, Izuru Hitachi displays bursts of power, but not reliably.\But there is nothing left for you to teach them here.\I imagine the JURIA-SYSTEM can only be mastered on the battlefield. response:	It requires situations where they put their very lives on the line.
context: Tamaki Irie and Ataru Suruga are adjusting to\the SYSTEM relatively well.\However, Asagi and Kugimiya both\deteriorate and freeze on the battlefield.\At times, Izuru Hitachi displays bursts of power, but not reliably.\But there is nothing left for you to teach them here.\I imagine the JURIA-SYSTEM can only be mastered on the battlefield.\It requires situations where they put their very lives on the line. response:	I will see to tomorrow's preparations.
context: the SYSTEM relatively well.\However, Asagi and Kugimiya both\deteriorate and freeze on the battlefield.\At times, Izuru Hitachi displays bursts of power, but not reliably.\But there is nothing left for you to teach them here.\I imagine the JURIA-SYSTEM can only be mastered on the battlefield.\It requires situations where they put their very lives on the line.\I will see to tomorrow's preparations. response:	What are those?
context: However, Asagi and Kugimiya both\deteriorate and freeze on the battlefield.\At times, Izuru Hitachi displays bursts of power, but not reliably.\But there is nothing left for you to teach them here.\I imagine the JURIA-SYSTEM can only be mastered on the battlefield.\It requires situations where they put their very lives on the line.\I will see to tomorrow's preparations.\What are those? response:	AHSMB?!
context: deteriorate and freeze on the battlefield.\At times, Izuru Hitachi displays bursts of power, but not reliably.\But there is nothing left for you to teach them here.\I imagine the JURIA-SYSTEM can only be mastered on the battlefield.\It requires situations where they put their very lives on the line.\I will see to tomorrow's preparations.\What are those?\AHSMB?! response:	Awesome! Are they real?
context: At times, Izuru Hitachi displays bursts of power, but not reliably.\But there is nothing left for you to teach them here.\I imagine the JURIA-SYSTEM can only be mastered on the battlefield.\It requires situations where they put their very lives on the line.\I will see to tomorrow's preparations.\What are those?\AHSMB?!\Awesome! Are they real? response:	They're nothing like our practice units.
context: But there is nothing left for you to teach them here.\I imagine the JURIA-SYSTEM can only be mastered on the battlefield.\It requires situations where they put their very lives on the line.\I will see to tomorrow's preparations.\What are those?\AHSMB?!\Awesome! Are they real?\They're nothing like our practice units. response:	Why the heck do we have to do a demonstration?
context: I imagine the JURIA-SYSTEM can only be mastered on the battlefield.\It requires situations where they put their very lives on the line.\I will see to tomorrow's preparations.\What are those?\AHSMB?!\Awesome! Are they real?\They're nothing like our practice units.\Why the heck do we have to do a demonstration? response:	Don't ask me!
context: It requires situations where they put their very lives on the line.\I will see to tomorrow's preparations.\What are those?\AHSMB?!\Awesome! Are they real?\They're nothing like our practice units.\Why the heck do we have to do a demonstration?\Don't ask me! response:	Good morning.
context: I will see to tomorrow's preparations.\What are those?\AHSMB?!\Awesome! Are they real?\They're nothing like our practice units.\Why the heck do we have to do a demonstration?\Don't ask me!\Good morning. response:	You're here early.
context: What are those?\AHSMB?!\Awesome! Are they real?\They're nothing like our practice units.\Why the heck do we have to do a demonstration?\Don't ask me!\Good morning.\You're here early. response:	This is just a demonstration.
context: AHSMB?!\Awesome! Are they real?\They're nothing like our practice units.\Why the heck do we have to do a demonstration?\Don't ask me!\Good morning.\You're here early.\This is just a demonstration. response:	It's hardly something to stress out over.
context: Awesome! Are they real?\They're nothing like our practice units.\Why the heck do we have to do a demonstration?\Don't ask me!\Good morning.\You're here early.\This is just a demonstration.\It's hardly something to stress out over. response:	We're stressed BECAUSE it's a demonstration.
context: They're nothing like our practice units.\Why the heck do we have to do a demonstration?\Don't ask me!\Good morning.\You're here early.\This is just a demonstration.\It's hardly something to stress out over.\We're stressed BECAUSE it's a demonstration. response:	It could be scarier than a real battle.
context: Why the heck do we have to do a demonstration?\Don't ask me!\Good morning.\You're here early.\This is just a demonstration.\It's hardly something to stress out over.\We're stressed BECAUSE it's a demonstration.\It could be scarier than a real battle. response:	Do we seriously have to go through with this?
context: Don't ask me!\Good morning.\You're here early.\This is just a demonstration.\It's hardly something to stress out over.\We're stressed BECAUSE it's a demonstration.\It could be scarier than a real battle.\Do we seriously have to go through with this? response:	As I explained yesterday,
context: Good morning.\You're here early.\This is just a demonstration.\It's hardly something to stress out over.\We're stressed BECAUSE it's a demonstration.\It could be scarier than a real battle.\Do we seriously have to go through with this?\As I explained yesterday, response:	Blue 1 and Red 5 will perform linkages.
context: You're here early.\This is just a demonstration.\It's hardly something to stress out over.\We're stressed BECAUSE it's a demonstration.\It could be scarier than a real battle.\Do we seriously have to go through with this?\As I explained yesterday,\Blue 1 and Red 5 will perform linkages. response:	Gold 4 will fire while under 1G.
context: This is just a demonstration.\It's hardly something to stress out over.\We're stressed BECAUSE it's a demonstration.\It could be scarier than a real battle.\Do we seriously have to go through with this?\As I explained yesterday,\Blue 1 and Red 5 will perform linkages.\Gold 4 will fire while under 1G. response:	You'll be using live ammo,
context: It's hardly something to stress out over.\We're stressed BECAUSE it's a demonstration.\It could be scarier than a real battle.\Do we seriously have to go through with this?\As I explained yesterday,\Blue 1 and Red 5 will perform linkages.\Gold 4 will fire while under 1G.\You'll be using live ammo, response:	so bear in mind the gravity, wind, humidity
context: We're stressed BECAUSE it's a demonstration.\It could be scarier than a real battle.\Do we seriously have to go through with this?\As I explained yesterday,\Blue 1 and Red 5 will perform linkages.\Gold 4 will fire while under 1G.\You'll be using live ammo,\so bear in mind the gravity, wind, humidity response:	and air density while calculating your trajectory.
context: It could be scarier than a real battle.\Do we seriously have to go through with this?\As I explained yesterday,\Blue 1 and Red 5 will perform linkages.\Gold 4 will fire while under 1G.\You'll be using live ammo,\so bear in mind the gravity, wind, humidity\and air density while calculating your trajectory. response:	Purple 2 will issue orders and Rose 3 will offer aerial support.
context: Do we seriously have to go through with this?\As I explained yesterday,\Blue 1 and Red 5 will perform linkages.\Gold 4 will fire while under 1G.\You'll be using live ammo,\so bear in mind the gravity, wind, humidity\and air density while calculating your trajectory.\Purple 2 will issue orders and Rose 3 will offer aerial support. response:	That comprises this demonstration.
context: As I explained yesterday,\Blue 1 and Red 5 will perform linkages.\Gold 4 will fire while under 1G.\You'll be using live ammo,\so bear in mind the gravity, wind, humidity\and air density while calculating your trajectory.\Purple 2 will issue orders and Rose 3 will offer aerial support.\That comprises this demonstration. response:	The one thing I suck at...
context: Blue 1 and Red 5 will perform linkages.\Gold 4 will fire while under 1G.\You'll be using live ammo,\so bear in mind the gravity, wind, humidity\and air density while calculating your trajectory.\Purple 2 will issue orders and Rose 3 will offer aerial support.\That comprises this demonstration.\The one thing I suck at... response:	You failed once in front of the entire universe, remember?
context: Gold 4 will fire while under 1G.\You'll be using live ammo,\so bear in mind the gravity, wind, humidity\and air density while calculating your trajectory.\Purple 2 will issue orders and Rose 3 will offer aerial support.\That comprises this demonstration.\The one thing I suck at...\You failed once in front of the entire universe, remember? response:	Shut it!
context: You'll be using live ammo,\so bear in mind the gravity, wind, humidity\and air density while calculating your trajectory.\Purple 2 will issue orders and Rose 3 will offer aerial support.\That comprises this demonstration.\The one thing I suck at...\You failed once in front of the entire universe, remember?\Shut it! response:	At least you get to show off!
context: so bear in mind the gravity, wind, humidity\and air density while calculating your trajectory.\Purple 2 will issue orders and Rose 3 will offer aerial support.\That comprises this demonstration.\The one thing I suck at...\You failed once in front of the entire universe, remember?\Shut it!\At least you get to show off! response:	All I get to do is shoot!
context: and air density while calculating your trajectory.\Purple 2 will issue orders and Rose 3 will offer aerial support.\That comprises this demonstration.\The one thing I suck at...\You failed once in front of the entire universe, remember?\Shut it!\At least you get to show off!\All I get to do is shoot! response:	Don't tell me...
context: Purple 2 will issue orders and Rose 3 will offer aerial support.\That comprises this demonstration.\The one thing I suck at...\You failed once in front of the entire universe, remember?\Shut it!\At least you get to show off!\All I get to do is shoot!\Don't tell me... response:	I'm issuing orders from THERE?
context: That comprises this demonstration.\The one thing I suck at...\You failed once in front of the entire universe, remember?\Shut it!\At least you get to show off!\All I get to do is shoot!\Don't tell me...\I'm issuing orders from THERE? response:	You're on stage!
context: The one thing I suck at...\You failed once in front of the entire universe, remember?\Shut it!\At least you get to show off!\All I get to do is shoot!\Don't tell me...\I'm issuing orders from THERE?\You're on stage! response:	That might be the most embarrassing job...
