context: Hey, are you the bastards trying to make a power grab around here lately? response:	Akura-oh and Tomoe, I believe it was.
context: So...\We got to talking about inviting you as his successor,\but even as a human god, you're lacking in skills, right?\We debated it quite a bit up there.\It may have been rushed, but you are the god of Mikage Shrine now,\so, well...\We decided that you may attend if you can pass a test.\Attending the Divine Assembly would be huge for you, so try not to screw this up. response:	The test...
context: We got to talking about inviting you as his successor,\but even as a human god, you're lacking in skills, right?\We debated it quite a bit up there.\It may have been rushed, but you are the god of Mikage Shrine now,\so, well...\We decided that you may attend if you can pass a test.\Attending the Divine Assembly would be huge for you, so try not to screw this up.\The test... response:	Count me out.
context: but even as a human god, you're lacking in skills, right?\We debated it quite a bit up there.\It may have been rushed, but you are the god of Mikage Shrine now,\so, well...\We decided that you may attend if you can pass a test.\Attending the Divine Assembly would be huge for you, so try not to screw this up.\The test...\Count me out. response:	What did you say?!
context: We debated it quite a bit up there.\It may have been rushed, but you are the god of Mikage Shrine now,\so, well...\We decided that you may attend if you can pass a test.\Attending the Divine Assembly would be huge for you, so try not to screw this up.\The test...\Count me out.\What did you say?! response:	You arrogantly decided that without my input.
context: It may have been rushed, but you are the god of Mikage Shrine now,\so, well...\We decided that you may attend if you can pass a test.\Attending the Divine Assembly would be huge for you, so try not to screw this up.\The test...\Count me out.\What did you say?!\You arrogantly decided that without my input. response:	Twitch
context: so, well...\We decided that you may attend if you can pass a test.\Attending the Divine Assembly would be huge for you, so try not to screw this up.\The test...\Count me out.\What did you say?!\You arrogantly decided that without my input.\Twitch response:	Twitch
context: We decided that you may attend if you can pass a test.\Attending the Divine Assembly would be huge for you, so try not to screw this up.\The test...\Count me out.\What did you say?!\You arrogantly decided that without my input.\Twitch\Twitch response:	Twitch
context: Attending the Divine Assembly would be huge for you, so try not to screw this up.\The test...\Count me out.\What did you say?!\You arrogantly decided that without my input.\Twitch\Twitch\Twitch response:	Twitch
context: The test...\Count me out.\What did you say?!\You arrogantly decided that without my input.\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Count me out.\What did you say?!\You arrogantly decided that without my input.\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: What did you say?!\You arrogantly decided that without my input.\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: You arrogantly decided that without my input.\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	I don't want to go, so I won't!
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\I don't want to go, so I won't! response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\I don't want to go, so I won't!\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\I don't want to go, so I won't!\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\I don't want to go, so I won't!\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\I don't want to go, so I won't!\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\I don't want to go, so I won't!\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\I don't want to go, so I won't!\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: I don't want to go, so I won't!\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Twitch
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch response:	Are you sure about that?
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Are you sure about that? response:	Gods from across the country gather at the Divine Assembly in Izumo.
context: Twitch\Twitch\Twitch\Twitch\Twitch\Twitch\Are you sure about that?\Gods from across the country gather at the Divine Assembly in Izumo. response:	There's a decent chance one of them knows Mikage's whereabouts.
context: Twitch\Twitch\Twitch\Twitch\Twitch\Are you sure about that?\Gods from across the country gather at the Divine Assembly in Izumo.\There's a decent chance one of them knows Mikage's whereabouts. response:	What?
context: Twitch\Twitch\Twitch\Twitch\Are you sure about that?\Gods from across the country gather at the Divine Assembly in Izumo.\There's a decent chance one of them knows Mikage's whereabouts.\What? response:	See ya!
context: Twitch\Twitch\Twitch\Are you sure about that?\Gods from across the country gather at the Divine Assembly in Izumo.\There's a decent chance one of them knows Mikage's whereabouts.\What?\See ya! response:	Mikage's...
context: Twitch\Twitch\Are you sure about that?\Gods from across the country gather at the Divine Assembly in Izumo.\There's a decent chance one of them knows Mikage's whereabouts.\What?\See ya!\Mikage's... response:	There is no need for you to go to Izumo.
context: Twitch\Are you sure about that?\Gods from across the country gather at the Divine Assembly in Izumo.\There's a decent chance one of them knows Mikage's whereabouts.\What?\See ya!\Mikage's...\There is no need for you to go to Izumo. response:	Mikage's whereabouts are also irrelevant.
context: Are you sure about that?\Gods from across the country gather at the Divine Assembly in Izumo.\There's a decent chance one of them knows Mikage's whereabouts.\What?\See ya!\Mikage's...\There is no need for you to go to Izumo.\Mikage's whereabouts are also irrelevant. response:	Morning, Nanami.
context: Gods from across the country gather at the Divine Assembly in Izumo.\There's a decent chance one of them knows Mikage's whereabouts.\What?\See ya!\Mikage's...\There is no need for you to go to Izumo.\Mikage's whereabouts are also irrelevant.\Morning, Nanami. response:	Look, look! Kei and I got matching cellphones!
context: There's a decent chance one of them knows Mikage's whereabouts.\What?\See ya!\Mikage's...\There is no need for you to go to Izumo.\Mikage's whereabouts are also irrelevant.\Morning, Nanami.\Look, look! Kei and I got matching cellphones! response:	They're adorable!
context: What?\See ya!\Mikage's...\There is no need for you to go to Izumo.\Mikage's whereabouts are also irrelevant.\Morning, Nanami.\Look, look! Kei and I got matching cellphones!\They're adorable! response:	Yo, Momozono! It's the first day of the new term, and you're already here!
context: See ya!\Mikage's...\There is no need for you to go to Izumo.\Mikage's whereabouts are also irrelevant.\Morning, Nanami.\Look, look! Kei and I got matching cellphones!\They're adorable!\Yo, Momozono! It's the first day of the new term, and you're already here! response:	Do not touch her so casually, you foul brat.
context: Mikage's...\There is no need for you to go to Izumo.\Mikage's whereabouts are also irrelevant.\Morning, Nanami.\Look, look! Kei and I got matching cellphones!\They're adorable!\Yo, Momozono! It's the first day of the new term, and you're already here!\Do not touch her so casually, you foul brat. response:	I feel like this has happened before...
context: There is no need for you to go to Izumo.\Mikage's whereabouts are also irrelevant.\Morning, Nanami.\Look, look! Kei and I got matching cellphones!\They're adorable!\Yo, Momozono! It's the first day of the new term, and you're already here!\Do not touch her so casually, you foul brat.\I feel like this has happened before... response:	Are you all right?
context: Mikage's whereabouts are also irrelevant.\Morning, Nanami.\Look, look! Kei and I got matching cellphones!\They're adorable!\Yo, Momozono! It's the first day of the new term, and you're already here!\Do not touch her so casually, you foul brat.\I feel like this has happened before...\Are you all right? response:	Y-Yeah.
context: Morning, Nanami.\Look, look! Kei and I got matching cellphones!\They're adorable!\Yo, Momozono! It's the first day of the new term, and you're already here!\Do not touch her so casually, you foul brat.\I feel like this has happened before...\Are you all right?\Y-Yeah. response:	Tomoe...
context: Look, look! Kei and I got matching cellphones!\They're adorable!\Yo, Momozono! It's the first day of the new term, and you're already here!\Do not touch her so casually, you foul brat.\I feel like this has happened before...\Are you all right?\Y-Yeah.\Tomoe... response:	Maybe he really does miss Mikage.
context: They're adorable!\Yo, Momozono! It's the first day of the new term, and you're already here!\Do not touch her so casually, you foul brat.\I feel like this has happened before...\Are you all right?\Y-Yeah.\Tomoe...\Maybe he really does miss Mikage. response:	He-she guy!
context: Yo, Momozono! It's the first day of the new term, and you're already here!\Do not touch her so casually, you foul brat.\I feel like this has happened before...\Are you all right?\Y-Yeah.\Tomoe...\Maybe he really does miss Mikage.\He-she guy! response:	It's Otohiko the wind god! Get it through your thick skull already!
context: Do not touch her so casually, you foul brat.\I feel like this has happened before...\Are you all right?\Y-Yeah.\Tomoe...\Maybe he really does miss Mikage.\He-she guy!\It's Otohiko the wind god! Get it through your thick skull already! response:	Oh, so you've decided to take the test to go to Izumo.
context: I feel like this has happened before...\Are you all right?\Y-Yeah.\Tomoe...\Maybe he really does miss Mikage.\He-she guy!\It's Otohiko the wind god! Get it through your thick skull already!\Oh, so you've decided to take the test to go to Izumo. response:	Give. The. Test. Give. The. Test.
context: Are you all right?\Y-Yeah.\Tomoe...\Maybe he really does miss Mikage.\He-she guy!\It's Otohiko the wind god! Get it through your thick skull already!\Oh, so you've decided to take the test to go to Izumo.\Give. The. Test. Give. The. Test. response:	I thought you'd say that.
context: Y-Yeah.\Tomoe...\Maybe he really does miss Mikage.\He-she guy!\It's Otohiko the wind god! Get it through your thick skull already!\Oh, so you've decided to take the test to go to Izumo.\Give. The. Test. Give. The. Test.\I thought you'd say that. response:	Hur-ry. Up. Hur-ry. Up. He. She.
context: Tomoe...\Maybe he really does miss Mikage.\He-she guy!\It's Otohiko the wind god! Get it through your thick skull already!\Oh, so you've decided to take the test to go to Izumo.\Give. The. Test. Give. The. Test.\I thought you'd say that.\Hur-ry. Up. Hur-ry. Up. He. She. response:	Shut up!
context: Maybe he really does miss Mikage.\He-she guy!\It's Otohiko the wind god! Get it through your thick skull already!\Oh, so you've decided to take the test to go to Izumo.\Give. The. Test. Give. The. Test.\I thought you'd say that.\Hur-ry. Up. Hur-ry. Up. He. She.\Shut up! response:	This is your test.
context: He-she guy!\It's Otohiko the wind god! Get it through your thick skull already!\Oh, so you've decided to take the test to go to Izumo.\Give. The. Test. Give. The. Test.\I thought you'd say that.\Hur-ry. Up. Hur-ry. Up. He. She.\Shut up!\This is your test. response:	You must raise a daemon.
context: It's Otohiko the wind god! Get it through your thick skull already!\Oh, so you've decided to take the test to go to Izumo.\Give. The. Test. Give. The. Test.\I thought you'd say that.\Hur-ry. Up. Hur-ry. Up. He. She.\Shut up!\This is your test.\You must raise a daemon. response:	Raise... a daemon?
context: Oh, so you've decided to take the test to go to Izumo.\Give. The. Test. Give. The. Test.\I thought you'd say that.\Hur-ry. Up. Hur-ry. Up. He. She.\Shut up!\This is your test.\You must raise a daemon.\Raise... a daemon? response:	This is a daemon egg.
context: Give. The. Test. Give. The. Test.\I thought you'd say that.\Hur-ry. Up. Hur-ry. Up. He. She.\Shut up!\This is your test.\You must raise a daemon.\Raise... a daemon?\This is a daemon egg. response:	It draws sustenance from its keeper's chi and grows rapidly.
context: I thought you'd say that.\Hur-ry. Up. Hur-ry. Up. He. She.\Shut up!\This is your test.\You must raise a daemon.\Raise... a daemon?\This is a daemon egg.\It draws sustenance from its keeper's chi and grows rapidly. response:	Until it safely hatches seven days from now, keep it with you at all times.
context: Hur-ry. Up. Hur-ry. Up. He. She.\Shut up!\This is your test.\You must raise a daemon.\Raise... a daemon?\This is a daemon egg.\It draws sustenance from its keeper's chi and grows rapidly.\Until it safely hatches seven days from now, keep it with you at all times. response:	If you can successfully raise a daemon that's to my liking, you shall pass.
context: Shut up!\This is your test.\You must raise a daemon.\Raise... a daemon?\This is a daemon egg.\It draws sustenance from its keeper's chi and grows rapidly.\Until it safely hatches seven days from now, keep it with you at all times.\If you can successfully raise a daemon that's to my liking, you shall pass. response:	He-sh... Otohiko, a question.
context: This is your test.\You must raise a daemon.\Raise... a daemon?\This is a daemon egg.\It draws sustenance from its keeper's chi and grows rapidly.\Until it safely hatches seven days from now, keep it with you at all times.\If you can successfully raise a daemon that's to my liking, you shall pass.\He-sh... Otohiko, a question. response:	What's a daemon?
context: You must raise a daemon.\Raise... a daemon?\This is a daemon egg.\It draws sustenance from its keeper's chi and grows rapidly.\Until it safely hatches seven days from now, keep it with you at all times.\If you can successfully raise a daemon that's to my liking, you shall pass.\He-sh... Otohiko, a question.\What's a daemon? response:	No. Seriously, no.
context: Raise... a daemon?\This is a daemon egg.\It draws sustenance from its keeper's chi and grows rapidly.\Until it safely hatches seven days from now, keep it with you at all times.\If you can successfully raise a daemon that's to my liking, you shall pass.\He-sh... Otohiko, a question.\What's a daemon?\No. Seriously, no. response:	You're a land god, so look it up yourself!
context: This is a daemon egg.\It draws sustenance from its keeper's chi and grows rapidly.\Until it safely hatches seven days from now, keep it with you at all times.\If you can successfully raise a daemon that's to my liking, you shall pass.\He-sh... Otohiko, a question.\What's a daemon?\No. Seriously, no.\You're a land god, so look it up yourself! response:	A daemon or whatever this thing is...
context: It draws sustenance from its keeper's chi and grows rapidly.\Until it safely hatches seven days from now, keep it with you at all times.\If you can successfully raise a daemon that's to my liking, you shall pass.\He-sh... Otohiko, a question.\What's a daemon?\No. Seriously, no.\You're a land god, so look it up yourself!\A daemon or whatever this thing is... response:	I just have to get it to hatch, right?
context: Until it safely hatches seven days from now, keep it with you at all times.\If you can successfully raise a daemon that's to my liking, you shall pass.\He-sh... Otohiko, a question.\What's a daemon?\No. Seriously, no.\You're a land god, so look it up yourself!\A daemon or whatever this thing is...\I just have to get it to hatch, right? response:	Easy enough. I can totally do that.
context: If you can successfully raise a daemon that's to my liking, you shall pass.\He-sh... Otohiko, a question.\What's a daemon?\No. Seriously, no.\You're a land god, so look it up yourself!\A daemon or whatever this thing is...\I just have to get it to hatch, right?\Easy enough. I can totally do that. response:	Mikage Shrine
context: He-sh... Otohiko, a question.\What's a daemon?\No. Seriously, no.\You're a land god, so look it up yourself!\A daemon or whatever this thing is...\I just have to get it to hatch, right?\Easy enough. I can totally do that.\Mikage Shrine response:	Probably.
context: What's a daemon?\No. Seriously, no.\You're a land god, so look it up yourself!\A daemon or whatever this thing is...\I just have to get it to hatch, right?\Easy enough. I can totally do that.\Mikage Shrine\Probably. response:	A daemon is...
context: No. Seriously, no.\You're a land god, so look it up yourself!\A daemon or whatever this thing is...\I just have to get it to hatch, right?\Easy enough. I can totally do that.\Mikage Shrine\Probably.\A daemon is... response:	power from the spirit world converted into a physical form allowing it to act upon things in this world.
context: You're a land god, so look it up yourself!\A daemon or whatever this thing is...\I just have to get it to hatch, right?\Easy enough. I can totally do that.\Mikage Shrine\Probably.\A daemon is...\power from the spirit world converted into a physical form allowing it to act upon things in this world. response:	I still don't really get it.
context: A daemon or whatever this thing is...\I just have to get it to hatch, right?\Easy enough. I can totally do that.\Mikage Shrine\Probably.\A daemon is...\power from the spirit world converted into a physical form allowing it to act upon things in this world.\I still don't really get it. response:	I am the one who does not get it!
context: I just have to get it to hatch, right?\Easy enough. I can totally do that.\Mikage Shrine\Probably.\A daemon is...\power from the spirit world converted into a physical form allowing it to act upon things in this world.\I still don't really get it.\I am the one who does not get it! response:	I told you there is no need to go to Izumo!
context: Easy enough. I can totally do that.\Mikage Shrine\Probably.\A daemon is...\power from the spirit world converted into a physical form allowing it to act upon things in this world.\I still don't really get it.\I am the one who does not get it!\I told you there is no need to go to Izumo! response:	No one asked you!
context: Mikage Shrine\Probably.\A daemon is...\power from the spirit world converted into a physical form allowing it to act upon things in this world.\I still don't really get it.\I am the one who does not get it!\I told you there is no need to go to Izumo!\No one asked you! response:	What is that egg?! Go return it!
context: Probably.\A daemon is...\power from the spirit world converted into a physical form allowing it to act upon things in this world.\I still don't really get it.\I am the one who does not get it!\I told you there is no need to go to Izumo!\No one asked you!\What is that egg?! Go return it! response:	No! No means no!
context: A daemon is...\power from the spirit world converted into a physical form allowing it to act upon things in this world.\I still don't really get it.\I am the one who does not get it!\I told you there is no need to go to Izumo!\No one asked you!\What is that egg?! Go return it!\No! No means no! response:	Guess what, Nanami? We got two whole worshipers today!
context: power from the spirit world converted into a physical form allowing it to act upon things in this world.\I still don't really get it.\I am the one who does not get it!\I told you there is no need to go to Izumo!\No one asked you!\What is that egg?! Go return it!\No! No means no!\Guess what, Nanami? We got two whole worshipers today! response:	Record of Worshipers
context: I still don't really get it.\I am the one who does not get it!\I told you there is no need to go to Izumo!\No one asked you!\What is that egg?! Go return it!\No! No means no!\Guess what, Nanami? We got two whole worshipers today!\Record of Worshipers response:	Record of Worshipers
context: I am the one who does not get it!\I told you there is no need to go to Izumo!\No one asked you!\What is that egg?! Go return it!\No! No means no!\Guess what, Nanami? We got two whole worshipers today!\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: I told you there is no need to go to Izumo!\No one asked you!\What is that egg?! Go return it!\No! No means no!\Guess what, Nanami? We got two whole worshipers today!\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: No one asked you!\What is that egg?! Go return it!\No! No means no!\Guess what, Nanami? We got two whole worshipers today!\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: What is that egg?! Go return it!\No! No means no!\Guess what, Nanami? We got two whole worshipers today!\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: No! No means no!\Guess what, Nanami? We got two whole worshipers today!\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: Guess what, Nanami? We got two whole worshipers today!\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
context: Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers\Record of Worshipers response:	Record of Worshipers
