context: I'm Gouda Takeo, a first-year in high school. response:	He's Sunakawa Makoto, a friend of mine.
context: Thanks for the food.\Great!\I thought you might get hungry.\Eat up and good luck!\I'm gonna give it everything I've got!\Takeo-kun, how's it going?\Today, there are lots of flowers blooming at school.\I only know the name of flowers like tulips and stuff, response:	but I'd like to go with you to a botanical garden sometime.
context: Great!\I thought you might get hungry.\Eat up and good luck!\I'm gonna give it everything I've got!\Takeo-kun, how's it going?\Today, there are lots of flowers blooming at school.\I only know the name of flowers like tulips and stuff,\but I'd like to go with you to a botanical garden sometime. response:	Let's do that!!
context: I thought you might get hungry.\Eat up and good luck!\I'm gonna give it everything I've got!\Takeo-kun, how's it going?\Today, there are lots of flowers blooming at school.\I only know the name of flowers like tulips and stuff,\but I'd like to go with you to a botanical garden sometime.\Let's do that!! response:	Take, you're perfect for this.
context: Eat up and good luck!\I'm gonna give it everything I've got!\Takeo-kun, how's it going?\Today, there are lots of flowers blooming at school.\I only know the name of flowers like tulips and stuff,\but I'd like to go with you to a botanical garden sometime.\Let's do that!!\Take, you're perfect for this. response:	I can't see any stars today.
context: I'm gonna give it everything I've got!\Takeo-kun, how's it going?\Today, there are lots of flowers blooming at school.\I only know the name of flowers like tulips and stuff,\but I'd like to go with you to a botanical garden sometime.\Let's do that!!\Take, you're perfect for this.\I can't see any stars today. response:	I wonder if it's going to rain tomorrow.
context: Takeo-kun, how's it going?\Today, there are lots of flowers blooming at school.\I only know the name of flowers like tulips and stuff,\but I'd like to go with you to a botanical garden sometime.\Let's do that!!\Take, you're perfect for this.\I can't see any stars today.\I wonder if it's going to rain tomorrow. response:	Takeo-kun, don't forget to take an umbrella.
context: Today, there are lots of flowers blooming at school.\I only know the name of flowers like tulips and stuff,\but I'd like to go with you to a botanical garden sometime.\Let's do that!!\Take, you're perfect for this.\I can't see any stars today.\I wonder if it's going to rain tomorrow.\Takeo-kun, don't forget to take an umbrella. response:	What kind of umbrella do you have?
context: I only know the name of flowers like tulips and stuff,\but I'd like to go with you to a botanical garden sometime.\Let's do that!!\Take, you're perfect for this.\I can't see any stars today.\I wonder if it's going to rain tomorrow.\Takeo-kun, don't forget to take an umbrella.\What kind of umbrella do you have? response:	It's black and huge.
context: but I'd like to go with you to a botanical garden sometime.\Let's do that!!\Take, you're perfect for this.\I can't see any stars today.\I wonder if it's going to rain tomorrow.\Takeo-kun, don't forget to take an umbrella.\What kind of umbrella do you have?\It's black and huge. response:	Hey, that's a beach umbrella, isn't it?
context: Let's do that!!\Take, you're perfect for this.\I can't see any stars today.\I wonder if it's going to rain tomorrow.\Takeo-kun, don't forget to take an umbrella.\What kind of umbrella do you have?\It's black and huge.\Hey, that's a beach umbrella, isn't it? response:	I've always wondered about that.
context: Take, you're perfect for this.\I can't see any stars today.\I wonder if it's going to rain tomorrow.\Takeo-kun, don't forget to take an umbrella.\What kind of umbrella do you have?\It's black and huge.\Hey, that's a beach umbrella, isn't it?\I've always wondered about that. response:	Takeo-kun, don't get hurt, okay?
context: I can't see any stars today.\I wonder if it's going to rain tomorrow.\Takeo-kun, don't forget to take an umbrella.\What kind of umbrella do you have?\It's black and huge.\Hey, that's a beach umbrella, isn't it?\I've always wondered about that.\Takeo-kun, don't get hurt, okay? response:	I'm going to make a wish right now.
context: I wonder if it's going to rain tomorrow.\Takeo-kun, don't forget to take an umbrella.\What kind of umbrella do you have?\It's black and huge.\Hey, that's a beach umbrella, isn't it?\I've always wondered about that.\Takeo-kun, don't get hurt, okay?\I'm going to make a wish right now. response:	Don't get hurt! Don't get hurt!
context: Takeo-kun, don't forget to take an umbrella.\What kind of umbrella do you have?\It's black and huge.\Hey, that's a beach umbrella, isn't it?\I've always wondered about that.\Takeo-kun, don't get hurt, okay?\I'm going to make a wish right now.\Don't get hurt! Don't get hurt! response:	I can feel the good vibes!
context: What kind of umbrella do you have?\It's black and huge.\Hey, that's a beach umbrella, isn't it?\I've always wondered about that.\Takeo-kun, don't get hurt, okay?\I'm going to make a wish right now.\Don't get hurt! Don't get hurt!\I can feel the good vibes! response:	Thanks!
context: It's black and huge.\Hey, that's a beach umbrella, isn't it?\I've always wondered about that.\Takeo-kun, don't get hurt, okay?\I'm going to make a wish right now.\Don't get hurt! Don't get hurt!\I can feel the good vibes!\Thanks! response:	Good luck, Takeo-kun!
context: Hey, that's a beach umbrella, isn't it?\I've always wondered about that.\Takeo-kun, don't get hurt, okay?\I'm going to make a wish right now.\Don't get hurt! Don't get hurt!\I can feel the good vibes!\Thanks!\Good luck, Takeo-kun! response:	I'm cheering you on 24/7.
context: I've always wondered about that.\Takeo-kun, don't get hurt, okay?\I'm going to make a wish right now.\Don't get hurt! Don't get hurt!\I can feel the good vibes!\Thanks!\Good luck, Takeo-kun!\I'm cheering you on 24/7. response:	Thanks!
context: Takeo-kun, don't get hurt, okay?\I'm going to make a wish right now.\Don't get hurt! Don't get hurt!\I can feel the good vibes!\Thanks!\Good luck, Takeo-kun!\I'm cheering you on 24/7.\Thanks! response:	What's all that?
context: I'm going to make a wish right now.\Don't get hurt! Don't get hurt!\I can feel the good vibes!\Thanks!\Good luck, Takeo-kun!\I'm cheering you on 24/7.\Thanks!\What's all that? response:	What is it?
context: Don't get hurt! Don't get hurt!\I can feel the good vibes!\Thanks!\Good luck, Takeo-kun!\I'm cheering you on 24/7.\Thanks!\What's all that?\What is it? response:	They're scones.
context: I can feel the good vibes!\Thanks!\Good luck, Takeo-kun!\I'm cheering you on 24/7.\Thanks!\What's all that?\What is it?\They're scones. response:	I found myself baking a ton when I was thinking about Takeo-kun.
context: Thanks!\Good luck, Takeo-kun!\I'm cheering you on 24/7.\Thanks!\What's all that?\What is it?\They're scones.\I found myself baking a ton when I was thinking about Takeo-kun. response:	That's a bit scary...
context: Good luck, Takeo-kun!\I'm cheering you on 24/7.\Thanks!\What's all that?\What is it?\They're scones.\I found myself baking a ton when I was thinking about Takeo-kun.\That's a bit scary... response:	Please have some, too, Sunakawa-kun.
context: I'm cheering you on 24/7.\Thanks!\What's all that?\What is it?\They're scones.\I found myself baking a ton when I was thinking about Takeo-kun.\That's a bit scary...\Please have some, too, Sunakawa-kun. response:	Oh, sorry, I guess it might feel like leftovers.
context: Thanks!\What's all that?\What is it?\They're scones.\I found myself baking a ton when I was thinking about Takeo-kun.\That's a bit scary...\Please have some, too, Sunakawa-kun.\Oh, sorry, I guess it might feel like leftovers. response:	I mean, they are, but...
context: What's all that?\What is it?\They're scones.\I found myself baking a ton when I was thinking about Takeo-kun.\That's a bit scary...\Please have some, too, Sunakawa-kun.\Oh, sorry, I guess it might feel like leftovers.\I mean, they are, but... response:	Well, why not just give them to Takeo?
context: What is it?\They're scones.\I found myself baking a ton when I was thinking about Takeo-kun.\That's a bit scary...\Please have some, too, Sunakawa-kun.\Oh, sorry, I guess it might feel like leftovers.\I mean, they are, but...\Well, why not just give them to Takeo? response:	He wouldn't have a problem eating them all, would he?
context: They're scones.\I found myself baking a ton when I was thinking about Takeo-kun.\That's a bit scary...\Please have some, too, Sunakawa-kun.\Oh, sorry, I guess it might feel like leftovers.\I mean, they are, but...\Well, why not just give them to Takeo?\He wouldn't have a problem eating them all, would he? response:	I don't know if Takeo-kun likes me anymore.
context: I found myself baking a ton when I was thinking about Takeo-kun.\That's a bit scary...\Please have some, too, Sunakawa-kun.\Oh, sorry, I guess it might feel like leftovers.\I mean, they are, but...\Well, why not just give them to Takeo?\He wouldn't have a problem eating them all, would he?\I don't know if Takeo-kun likes me anymore. response:	No way
context: That's a bit scary...\Please have some, too, Sunakawa-kun.\Oh, sorry, I guess it might feel like leftovers.\I mean, they are, but...\Well, why not just give them to Takeo?\He wouldn't have a problem eating them all, would he?\I don't know if Takeo-kun likes me anymore.\No way response:	No way.
context: Please have some, too, Sunakawa-kun.\Oh, sorry, I guess it might feel like leftovers.\I mean, they are, but...\Well, why not just give them to Takeo?\He wouldn't have a problem eating them all, would he?\I don't know if Takeo-kun likes me anymore.\No way\No way. response:	But he told me not to come.
context: Oh, sorry, I guess it might feel like leftovers.\I mean, they are, but...\Well, why not just give them to Takeo?\He wouldn't have a problem eating them all, would he?\I don't know if Takeo-kun likes me anymore.\No way\No way.\But he told me not to come. response:	It might be because I got ahead of myself and showed up with food!
context: I mean, they are, but...\Well, why not just give them to Takeo?\He wouldn't have a problem eating them all, would he?\I don't know if Takeo-kun likes me anymore.\No way\No way.\But he told me not to come.\It might be because I got ahead of myself and showed up with food! response:	Maybe it crossed a line...
context: Well, why not just give them to Takeo?\He wouldn't have a problem eating them all, would he?\I don't know if Takeo-kun likes me anymore.\No way\No way.\But he told me not to come.\It might be because I got ahead of myself and showed up with food!\Maybe it crossed a line... response:	No, I think it's just a misunderstanding or you're overthinking it.
context: He wouldn't have a problem eating them all, would he?\I don't know if Takeo-kun likes me anymore.\No way\No way.\But he told me not to come.\It might be because I got ahead of myself and showed up with food!\Maybe it crossed a line...\No, I think it's just a misunderstanding or you're overthinking it. response:	He totally isn't the type of guy to get mad about stuff like that.
context: I don't know if Takeo-kun likes me anymore.\No way\No way.\But he told me not to come.\It might be because I got ahead of myself and showed up with food!\Maybe it crossed a line...\No, I think it's just a misunderstanding or you're overthinking it.\He totally isn't the type of guy to get mad about stuff like that. response:	Right...
context: No way\No way.\But he told me not to come.\It might be because I got ahead of myself and showed up with food!\Maybe it crossed a line...\No, I think it's just a misunderstanding or you're overthinking it.\He totally isn't the type of guy to get mad about stuff like that.\Right... response:	You're right.
context: No way.\But he told me not to come.\It might be because I got ahead of myself and showed up with food!\Maybe it crossed a line...\No, I think it's just a misunderstanding or you're overthinking it.\He totally isn't the type of guy to get mad about stuff like that.\Right...\You're right. response:	Takeo-kun's not like that, yeah.
context: But he told me not to come.\It might be because I got ahead of myself and showed up with food!\Maybe it crossed a line...\No, I think it's just a misunderstanding or you're overthinking it.\He totally isn't the type of guy to get mad about stuff like that.\Right...\You're right.\Takeo-kun's not like that, yeah. response:	Yeah, yeah
context: It might be because I got ahead of myself and showed up with food!\Maybe it crossed a line...\No, I think it's just a misunderstanding or you're overthinking it.\He totally isn't the type of guy to get mad about stuff like that.\Right...\You're right.\Takeo-kun's not like that, yeah.\Yeah, yeah response:	Now that I'm calmer about it, I see it now.
context: Maybe it crossed a line...\No, I think it's just a misunderstanding or you're overthinking it.\He totally isn't the type of guy to get mad about stuff like that.\Right...\You're right.\Takeo-kun's not like that, yeah.\Yeah, yeah\Now that I'm calmer about it, I see it now. response:	Right?
context: No, I think it's just a misunderstanding or you're overthinking it.\He totally isn't the type of guy to get mad about stuff like that.\Right...\You're right.\Takeo-kun's not like that, yeah.\Yeah, yeah\Now that I'm calmer about it, I see it now.\Right? response:	Thanks, Sunakawa-kun.
context: He totally isn't the type of guy to get mad about stuff like that.\Right...\You're right.\Takeo-kun's not like that, yeah.\Yeah, yeah\Now that I'm calmer about it, I see it now.\Right?\Thanks, Sunakawa-kun. response:	I don't think you have to work yourself up over this.
context: Right...\You're right.\Takeo-kun's not like that, yeah.\Yeah, yeah\Now that I'm calmer about it, I see it now.\Right?\Thanks, Sunakawa-kun.\I don't think you have to work yourself up over this. response:	It's the first time I've fallen for anyone.
context: You're right.\Takeo-kun's not like that, yeah.\Yeah, yeah\Now that I'm calmer about it, I see it now.\Right?\Thanks, Sunakawa-kun.\I don't think you have to work yourself up over this.\It's the first time I've fallen for anyone. response:	Meeting Takeo-kun was the first time
context: Takeo-kun's not like that, yeah.\Yeah, yeah\Now that I'm calmer about it, I see it now.\Right?\Thanks, Sunakawa-kun.\I don't think you have to work yourself up over this.\It's the first time I've fallen for anyone.\Meeting Takeo-kun was the first time response:	that I felt this rush coming up from the bottom of my heart, you know?
context: Yeah, yeah\Now that I'm calmer about it, I see it now.\Right?\Thanks, Sunakawa-kun.\I don't think you have to work yourself up over this.\It's the first time I've fallen for anyone.\Meeting Takeo-kun was the first time\that I felt this rush coming up from the bottom of my heart, you know? response:	That's when I realized it's what love's like.
context: Now that I'm calmer about it, I see it now.\Right?\Thanks, Sunakawa-kun.\I don't think you have to work yourself up over this.\It's the first time I've fallen for anyone.\Meeting Takeo-kun was the first time\that I felt this rush coming up from the bottom of my heart, you know?\That's when I realized it's what love's like. response:	Every day, I'm excited about him and can't stop smiling.
context: Right?\Thanks, Sunakawa-kun.\I don't think you have to work yourself up over this.\It's the first time I've fallen for anyone.\Meeting Takeo-kun was the first time\that I felt this rush coming up from the bottom of my heart, you know?\That's when I realized it's what love's like.\Every day, I'm excited about him and can't stop smiling. response:	Every time I see him, I know I love him.
context: Thanks, Sunakawa-kun.\I don't think you have to work yourself up over this.\It's the first time I've fallen for anyone.\Meeting Takeo-kun was the first time\that I felt this rush coming up from the bottom of my heart, you know?\That's when I realized it's what love's like.\Every day, I'm excited about him and can't stop smiling.\Every time I see him, I know I love him. response:	Oh, Takeo was my first friend, too.
context: I don't think you have to work yourself up over this.\It's the first time I've fallen for anyone.\Meeting Takeo-kun was the first time\that I felt this rush coming up from the bottom of my heart, you know?\That's when I realized it's what love's like.\Every day, I'm excited about him and can't stop smiling.\Every time I see him, I know I love him.\Oh, Takeo was my first friend, too. response:	Wow, we're the same
context: It's the first time I've fallen for anyone.\Meeting Takeo-kun was the first time\that I felt this rush coming up from the bottom of my heart, you know?\That's when I realized it's what love's like.\Every day, I'm excited about him and can't stop smiling.\Every time I see him, I know I love him.\Oh, Takeo was my first friend, too.\Wow, we're the same response:	Having him as your first is pretty intense, huh?
context: Meeting Takeo-kun was the first time\that I felt this rush coming up from the bottom of my heart, you know?\That's when I realized it's what love's like.\Every day, I'm excited about him and can't stop smiling.\Every time I see him, I know I love him.\Oh, Takeo was my first friend, too.\Wow, we're the same\Having him as your first is pretty intense, huh? response:	I love him so much, I even creep myself out!
context: that I felt this rush coming up from the bottom of my heart, you know?\That's when I realized it's what love's like.\Every day, I'm excited about him and can't stop smiling.\Every time I see him, I know I love him.\Oh, Takeo was my first friend, too.\Wow, we're the same\Having him as your first is pretty intense, huh?\I love him so much, I even creep myself out! response:	I want to calm down already!
context: That's when I realized it's what love's like.\Every day, I'm excited about him and can't stop smiling.\Every time I see him, I know I love him.\Oh, Takeo was my first friend, too.\Wow, we're the same\Having him as your first is pretty intense, huh?\I love him so much, I even creep myself out!\I want to calm down already! response:	I wonder if it'll ever calm down...
context: Every day, I'm excited about him and can't stop smiling.\Every time I see him, I know I love him.\Oh, Takeo was my first friend, too.\Wow, we're the same\Having him as your first is pretty intense, huh?\I love him so much, I even creep myself out!\I want to calm down already!\I wonder if it'll ever calm down... response:	I've been friends with him for over a decade,
context: Every time I see him, I know I love him.\Oh, Takeo was my first friend, too.\Wow, we're the same\Having him as your first is pretty intense, huh?\I love him so much, I even creep myself out!\I want to calm down already!\I wonder if it'll ever calm down...\I've been friends with him for over a decade, response:	but he hasn't bored me yet.
context: Oh, Takeo was my first friend, too.\Wow, we're the same\Having him as your first is pretty intense, huh?\I love him so much, I even creep myself out!\I want to calm down already!\I wonder if it'll ever calm down...\I've been friends with him for over a decade,\but he hasn't bored me yet. response:	Oh, my god... What am I going to do?
context: Wow, we're the same\Having him as your first is pretty intense, huh?\I love him so much, I even creep myself out!\I want to calm down already!\I wonder if it'll ever calm down...\I've been friends with him for over a decade,\but he hasn't bored me yet.\Oh, my god... What am I going to do? response:	Maybe I'll feel nervous for the rest of my life!
context: Having him as your first is pretty intense, huh?\I love him so much, I even creep myself out!\I want to calm down already!\I wonder if it'll ever calm down...\I've been friends with him for over a decade,\but he hasn't bored me yet.\Oh, my god... What am I going to do?\Maybe I'll feel nervous for the rest of my life! response:	Maybe Takeo'd feel that way with you for the rest of his life, too.
context: I love him so much, I even creep myself out!\I want to calm down already!\I wonder if it'll ever calm down...\I've been friends with him for over a decade,\but he hasn't bored me yet.\Oh, my god... What am I going to do?\Maybe I'll feel nervous for the rest of my life!\Maybe Takeo'd feel that way with you for the rest of his life, too. response:	Gouda!!
context: I want to calm down already!\I wonder if it'll ever calm down...\I've been friends with him for over a decade,\but he hasn't bored me yet.\Oh, my god... What am I going to do?\Maybe I'll feel nervous for the rest of my life!\Maybe Takeo'd feel that way with you for the rest of his life, too.\Gouda!! response:	I really want to see him.
context: I wonder if it'll ever calm down...\I've been friends with him for over a decade,\but he hasn't bored me yet.\Oh, my god... What am I going to do?\Maybe I'll feel nervous for the rest of my life!\Maybe Takeo'd feel that way with you for the rest of his life, too.\Gouda!!\I really want to see him. response:	Why don't you wait for him?
context: I've been friends with him for over a decade,\but he hasn't bored me yet.\Oh, my god... What am I going to do?\Maybe I'll feel nervous for the rest of my life!\Maybe Takeo'd feel that way with you for the rest of his life, too.\Gouda!!\I really want to see him.\Why don't you wait for him? response:	No, seeing him will only make me want to see him more often.
context: but he hasn't bored me yet.\Oh, my god... What am I going to do?\Maybe I'll feel nervous for the rest of my life!\Maybe Takeo'd feel that way with you for the rest of his life, too.\Gouda!!\I really want to see him.\Why don't you wait for him?\No, seeing him will only make me want to see him more often. response:	I'll just have to hold back!
context: Oh, my god... What am I going to do?\Maybe I'll feel nervous for the rest of my life!\Maybe Takeo'd feel that way with you for the rest of his life, too.\Gouda!!\I really want to see him.\Why don't you wait for him?\No, seeing him will only make me want to see him more often.\I'll just have to hold back! response:	I don't want to get in his way!
context: Maybe I'll feel nervous for the rest of my life!\Maybe Takeo'd feel that way with you for the rest of his life, too.\Gouda!!\I really want to see him.\Why don't you wait for him?\No, seeing him will only make me want to see him more often.\I'll just have to hold back!\I don't want to get in his way! response:	I don't think he's the type to think that way, but okay.
context: Maybe Takeo'd feel that way with you for the rest of his life, too.\Gouda!!\I really want to see him.\Why don't you wait for him?\No, seeing him will only make me want to see him more often.\I'll just have to hold back!\I don't want to get in his way!\I don't think he's the type to think that way, but okay. response:	When he was training, Takeo-kun was so cool.
context: Gouda!!\I really want to see him.\Why don't you wait for him?\No, seeing him will only make me want to see him more often.\I'll just have to hold back!\I don't want to get in his way!\I don't think he's the type to think that way, but okay.\When he was training, Takeo-kun was so cool. response:	He'll be even cooler at the actual match.
context: I really want to see him.\Why don't you wait for him?\No, seeing him will only make me want to see him more often.\I'll just have to hold back!\I don't want to get in his way!\I don't think he's the type to think that way, but okay.\When he was training, Takeo-kun was so cool.\He'll be even cooler at the actual match. response:	I've seen him at a match
context: Why don't you wait for him?\No, seeing him will only make me want to see him more often.\I'll just have to hold back!\I don't want to get in his way!\I don't think he's the type to think that way, but okay.\When he was training, Takeo-kun was so cool.\He'll be even cooler at the actual match.\I've seen him at a match response:	Huh?
context: No, seeing him will only make me want to see him more often.\I'll just have to hold back!\I don't want to get in his way!\I don't think he's the type to think that way, but okay.\When he was training, Takeo-kun was so cool.\He'll be even cooler at the actual match.\I've seen him at a match\Huh? response:	More than he already is?
context: I'll just have to hold back!\I don't want to get in his way!\I don't think he's the type to think that way, but okay.\When he was training, Takeo-kun was so cool.\He'll be even cooler at the actual match.\I've seen him at a match\Huh?\More than he already is? response:	He's like a ball of concentration.
context: I don't want to get in his way!\I don't think he's the type to think that way, but okay.\When he was training, Takeo-kun was so cool.\He'll be even cooler at the actual match.\I've seen him at a match\Huh?\More than he already is?\He's like a ball of concentration. response:	He's the type that never misses a penalty kick
context: I don't think he's the type to think that way, but okay.\When he was training, Takeo-kun was so cool.\He'll be even cooler at the actual match.\I've seen him at a match\Huh?\More than he already is?\He's like a ball of concentration.\He's the type that never misses a penalty kick response:	Wow!
context: When he was training, Takeo-kun was so cool.\He'll be even cooler at the actual match.\I've seen him at a match\Huh?\More than he already is?\He's like a ball of concentration.\He's the type that never misses a penalty kick\Wow! response:	That'd be incredible!
context: He'll be even cooler at the actual match.\I've seen him at a match\Huh?\More than he already is?\He's like a ball of concentration.\He's the type that never misses a penalty kick\Wow!\That'd be incredible! response:	I wonder if I'll be okay!
context: I've seen him at a match\Huh?\More than he already is?\He's like a ball of concentration.\He's the type that never misses a penalty kick\Wow!\That'd be incredible!\I wonder if I'll be okay! response:	Oh!
context: Huh?\More than he already is?\He's like a ball of concentration.\He's the type that never misses a penalty kick\Wow!\That'd be incredible!\I wonder if I'll be okay!\Oh! response:	That star's just like Takeo-kun.
context: More than he already is?\He's like a ball of concentration.\He's the type that never misses a penalty kick\Wow!\That'd be incredible!\I wonder if I'll be okay!\Oh!\That star's just like Takeo-kun. response:	Huh?
context: He's like a ball of concentration.\He's the type that never misses a penalty kick\Wow!\That'd be incredible!\I wonder if I'll be okay!\Oh!\That star's just like Takeo-kun.\Huh? response:	Look... If you draw a line between that star and the other star,
context: He's the type that never misses a penalty kick\Wow!\That'd be incredible!\I wonder if I'll be okay!\Oh!\That star's just like Takeo-kun.\Huh?\Look... If you draw a line between that star and the other star, response:	it looks like Takeo-kun laughing!
context: Wow!\That'd be incredible!\I wonder if I'll be okay!\Oh!\That star's just like Takeo-kun.\Huh?\Look... If you draw a line between that star and the other star,\it looks like Takeo-kun laughing! response:	Huh... So it's like the Takeo constellation.
context: That'd be incredible!\I wonder if I'll be okay!\Oh!\That star's just like Takeo-kun.\Huh?\Look... If you draw a line between that star and the other star,\it looks like Takeo-kun laughing!\Huh... So it's like the Takeo constellation. response:	Yeah!
context: I wonder if I'll be okay!\Oh!\That star's just like Takeo-kun.\Huh?\Look... If you draw a line between that star and the other star,\it looks like Takeo-kun laughing!\Huh... So it's like the Takeo constellation.\Yeah! response:	Takeo Constellation
context: Oh!\That star's just like Takeo-kun.\Huh?\Look... If you draw a line between that star and the other star,\it looks like Takeo-kun laughing!\Huh... So it's like the Takeo constellation.\Yeah!\Takeo Constellation response:	Oh, those seven stars look just like Takeo-kun when he was doing a shoulder throw!
context: That star's just like Takeo-kun.\Huh?\Look... If you draw a line between that star and the other star,\it looks like Takeo-kun laughing!\Huh... So it's like the Takeo constellation.\Yeah!\Takeo Constellation\Oh, those seven stars look just like Takeo-kun when he was doing a shoulder throw! response:	Huh...
context: Huh?\Look... If you draw a line between that star and the other star,\it looks like Takeo-kun laughing!\Huh... So it's like the Takeo constellation.\Yeah!\Takeo Constellation\Oh, those seven stars look just like Takeo-kun when he was doing a shoulder throw!\Huh... response:	Takeo 2
context: Look... If you draw a line between that star and the other star,\it looks like Takeo-kun laughing!\Huh... So it's like the Takeo constellation.\Yeah!\Takeo Constellation\Oh, those seven stars look just like Takeo-kun when he was doing a shoulder throw!\Huh...\Takeo 2 response:	Guess that'd be Takeo 2.
context: it looks like Takeo-kun laughing!\Huh... So it's like the Takeo constellation.\Yeah!\Takeo Constellation\Oh, those seven stars look just like Takeo-kun when he was doing a shoulder throw!\Huh...\Takeo 2\Guess that'd be Takeo 2. response:	And those over there are when he saved me on the train.
context: Huh... So it's like the Takeo constellation.\Yeah!\Takeo Constellation\Oh, those seven stars look just like Takeo-kun when he was doing a shoulder throw!\Huh...\Takeo 2\Guess that'd be Takeo 2.\And those over there are when he saved me on the train. response:	Takeo 3, then.
context: Yeah!\Takeo Constellation\Oh, those seven stars look just like Takeo-kun when he was doing a shoulder throw!\Huh...\Takeo 2\Guess that'd be Takeo 2.\And those over there are when he saved me on the train.\Takeo 3, then. response:	I think you can see anything you want in the stars.
context: Takeo Constellation\Oh, those seven stars look just like Takeo-kun when he was doing a shoulder throw!\Huh...\Takeo 2\Guess that'd be Takeo 2.\And those over there are when he saved me on the train.\Takeo 3, then.\I think you can see anything you want in the stars. response:	Right...
context: Oh, those seven stars look just like Takeo-kun when he was doing a shoulder throw!\Huh...\Takeo 2\Guess that'd be Takeo 2.\And those over there are when he saved me on the train.\Takeo 3, then.\I think you can see anything you want in the stars.\Right... response:	Oh, that one is when Takeo-kun escaped from the fire!
context: Huh...\Takeo 2\Guess that'd be Takeo 2.\And those over there are when he saved me on the train.\Takeo 3, then.\I think you can see anything you want in the stars.\Right...\Oh, that one is when Takeo-kun escaped from the fire! response:	I'm starting to see him in the stars, too.
context: Takeo 2\Guess that'd be Takeo 2.\And those over there are when he saved me on the train.\Takeo 3, then.\I think you can see anything you want in the stars.\Right...\Oh, that one is when Takeo-kun escaped from the fire!\I'm starting to see him in the stars, too. response:	Next!
context: Guess that'd be Takeo 2.\And those over there are when he saved me on the train.\Takeo 3, then.\I think you can see anything you want in the stars.\Right...\Oh, that one is when Takeo-kun escaped from the fire!\I'm starting to see him in the stars, too.\Next! response:	Next!
context: And those over there are when he saved me on the train.\Takeo 3, then.\I think you can see anything you want in the stars.\Right...\Oh, that one is when Takeo-kun escaped from the fire!\I'm starting to see him in the stars, too.\Next!\Next! response:	Takeo-kun, please spar with me next.
context: Takeo 3, then.\I think you can see anything you want in the stars.\Right...\Oh, that one is when Takeo-kun escaped from the fire!\I'm starting to see him in the stars, too.\Next!\Next!\Takeo-kun, please spar with me next. response:	And me, after that.
context: I think you can see anything you want in the stars.\Right...\Oh, that one is when Takeo-kun escaped from the fire!\I'm starting to see him in the stars, too.\Next!\Next!\Takeo-kun, please spar with me next.\And me, after that. response:	Then me.
context: Right...\Oh, that one is when Takeo-kun escaped from the fire!\I'm starting to see him in the stars, too.\Next!\Next!\Takeo-kun, please spar with me next.\And me, after that.\Then me. response:	Gouda, you're doing this for us...
context: Oh, that one is when Takeo-kun escaped from the fire!\I'm starting to see him in the stars, too.\Next!\Next!\Takeo-kun, please spar with me next.\And me, after that.\Then me.\Gouda, you're doing this for us... response:	All for us...
context: I'm starting to see him in the stars, too.\Next!\Next!\Takeo-kun, please spar with me next.\And me, after that.\Then me.\Gouda, you're doing this for us...\All for us... response:	All right! We'll follow suit, men!
context: Next!\Next!\Takeo-kun, please spar with me next.\And me, after that.\Then me.\Gouda, you're doing this for us...\All for us...\All right! We'll follow suit, men! response:	Got it!
context: Next!\Takeo-kun, please spar with me next.\And me, after that.\Then me.\Gouda, you're doing this for us...\All for us...\All right! We'll follow suit, men!\Got it! response:	It's true that I want to give everything I have to this,
context: Takeo-kun, please spar with me next.\And me, after that.\Then me.\Gouda, you're doing this for us...\All for us...\All right! We'll follow suit, men!\Got it!\It's true that I want to give everything I have to this, response:	given that a man bowed his head to me
context: And me, after that.\Then me.\Gouda, you're doing this for us...\All for us...\All right! We'll follow suit, men!\Got it!\It's true that I want to give everything I have to this,\given that a man bowed his head to me response:	and I've agreed to help.
context: Then me.\Gouda, you're doing this for us...\All for us...\All right! We'll follow suit, men!\Got it!\It's true that I want to give everything I have to this,\given that a man bowed his head to me\and I've agreed to help. response:	But it's more because Yamato wished me good luck.
context: Gouda, you're doing this for us...\All for us...\All right! We'll follow suit, men!\Got it!\It's true that I want to give everything I have to this,\given that a man bowed his head to me\and I've agreed to help.\But it's more because Yamato wished me good luck. response:	Yamato...
context: All for us...\All right! We'll follow suit, men!\Got it!\It's true that I want to give everything I have to this,\given that a man bowed his head to me\and I've agreed to help.\But it's more because Yamato wished me good luck.\Yamato... response:	I haven't heard her voice in a while.
context: All right! We'll follow suit, men!\Got it!\It's true that I want to give everything I have to this,\given that a man bowed his head to me\and I've agreed to help.\But it's more because Yamato wished me good luck.\Yamato...\I haven't heard her voice in a while. response:	Fight
context: Got it!\It's true that I want to give everything I have to this,\given that a man bowed his head to me\and I've agreed to help.\But it's more because Yamato wished me good luck.\Yamato...\I haven't heard her voice in a while.\Fight response:	It's the first time I've gone this long without talking to her.
context: It's true that I want to give everything I have to this,\given that a man bowed his head to me\and I've agreed to help.\But it's more because Yamato wished me good luck.\Yamato...\I haven't heard her voice in a while.\Fight\It's the first time I've gone this long without talking to her. response:	Evening.
context: given that a man bowed his head to me\and I've agreed to help.\But it's more because Yamato wished me good luck.\Yamato...\I haven't heard her voice in a while.\Fight\It's the first time I've gone this long without talking to her.\Evening. response:	Evening. Can I call you?
context: and I've agreed to help.\But it's more because Yamato wished me good luck.\Yamato...\I haven't heard her voice in a while.\Fight\It's the first time I've gone this long without talking to her.\Evening.\Evening. Can I call you? response:	Send
